@English@|@Georgian@
@organdie@|@ორგანდი@
@organ-grinder@|@მეარღნე@
@organ-grinders@|@მეარღნეები@
@organic@|@ორგანული@
@organically@|@ორგანულად@
@organism@|@ორგანიზმი@
@organisms@|@ორგანიზმები@
@organist@|@ორგანისტი@
@organists@|@ორგანისტები@
@organization@|@ორგანიზაცია@
@organizational@|@ორგანიზაციული@
@organizationally@|@ორგანიზაციურად@
@organizations@|@ორგანიზაციები@
@organize@|@ორგანიზება@
@organized@|@ორგანიზაცია გაუკეთა, ორგანიზებული, ორგანიზებული@
@organizer@|@ორგანიზატორი@
@organizers@|@ორგანიზატორები@
@organizes@|@ორგანიზაციას უკეთებს@
@organizing@|@ორგანიზაციას უკეთებს@
@organs@|@ორგნები@
@orgasm@|@ორგაზმი@
@orgasms@|@ორგაზმები@
@orgiastic@|@ორგიული@
@orgies@|@ორგიები@
@orgy@|@ორგია@
@oriel@|@ნიში@
@oriels@|@ნიშები@
@orient@|@აღმოსავლეთი, აღმოსავლური, ორიენტირება@
@oriental@|@აღმოსავლეთის მკვიდრი, აღმოსავლური@
@orientalist@|@ორიენტალისტი@
@orientalists@|@ორიენტალისტები@
@orientals@|@აღმოსავლეთის მკვიდრნი@
@orientate@|@ორიენტირება@
@orientated@|@ორიენტირებდა, ორიენტირებული@
@orientates@|@ორიენტირებს@
@orientating@|@ორიენტირებს@
@orientation@|@ორიენტაცია@
@oriented@|@ორიენტირებდა, ორიენტირებული@
@orienting@|@ორიენტირებს@
@orients@|@ორიენტირებს@
@orifice@|@ნახვრეტი@
@orifices@|@ნახვრეტები@
@origin@|@წყარო@
@original@|@ორიგინალი, პირველდაწყებითი@
@originality@|@ორიგინალობა@
@originally@|@ორიგინალურად, პირველდაწყებითად@
@originals@|@ორიგინალები@
@originate@|@დასაბამის მიცემა@
@originated@|@აღმოცენებული, დასაბამი მისცა@
@originates@|@დასაბამი ეძლევა@
@originating@|@დასაბამი ეძლევა@
@originator@|@ავტორი@
@originators@|@ავტორები@
@origins@|@წყაროები@
@oriole@|@მოლაღური@
@orioles@|@მოლაღურები@
@orison@|@ლოცვა@
@orisons@|@ლოცვანი@
@Orkney@|@ორკნი@
@Orleans@|@ორლეანი@
@orlop@|@ქვედა გემბანი@
@orlops@|@ქვედა გემბანები@
@ormolu@|@მოოქროვილი ბრინჯაო@
@ormolus@|@მოოქროვილი ბრინჯაოები@
@Ormskirk@|@ორმსკირკი@
@ornament@|@ორნამენტი@
@ornamental@|@ორნამენტული@
@ornamentation@|@სამშვენისი@
@ornaments@|@ორნამენტები@
@ornate@|@მდიდრულად მორთული@
@ornately@|@მდიდრულად მორთული@
@ornateness@|@მორთულობა@
@ornithological@|@ორნიტოლოგიური@
@ornithologist@|@ორნიტოლოგი@
@ornithologists@|@ორნიტოლოგები@
@ornithology@|@ორნიტოლოგია@
@orotund@|@ჟღერადი@
@orphan@|@დაობლება, ობოლი@
@orphanage@|@ობლების თავშესაფარი@
@orphanages@|@ობლების თავშესაფრები@
@orphaned@|@დააობლა, დაობლებული@
@orphaning@|@აობლებს@
@orphans@|@აობლებს, ობლები@
@orrisroot@|@იის ძირი@
@orthodontic@|@ორთოდონტური@
@orthodontics@|@ორთოდონტიკა@
@orthodontist@|@ორთოდონტისტი@
@orthodontists@|@ორთოდონტისტები@
@orthodox@|@ორთოდოქსალური@
@orthodoxies@|@ორთოდოქსალურობანი@
@orthodoxy@|@მართლმადიდებლობა, ორთოდოქსალურობა@
@orthogonal@|@მართკუთხა@
@orthogonally@|@მართკუთხედად@
@orthographic@|@ორთოგრაფიული@
@orthographies@|@ორთოგრაფიები@
@orthography@|@ორთოგრაფია@
@orthopaedic@|@ორთოპედიული@
@orthopaedics@|@ორთოპედია@
@orthopedic@|@ორთოპედიული@
@orthopedics@|@ორთოპედია@
@ortolan@|@ყანის ჩიტი@
@ortolans@|@ყანის ჩიტები@
@oryx@|@ბეიზის ანტილოპა@
@oryxes@|@ბეიზის ანტილოპები@
@Osaka@|@ოსაკა@
@Oscar@|@ოსკარი@
@Oscars@|@ოსკარები@
@oscillate@|@ქანაობა@
@oscillated@|@მოქანავე, ქანაობდა@
@oscillates@|@ქანაობს@
@oscillating@|@ქანაობს@
@oscillation@|@ქანაობა, ვიბრაცია@
@oscillations@|@ვიბრაციები@
@oscillator@|@ვიბრატორი@
@oscillators@|@ვიბრატორები@
@oscillograph@|@ოსცილოგრაფი@
@oscillographs@|@ოსცილოგრაფები@
@oscilloscope@|@ოსცილოსკოპი@
@oscilloscopes@|@ოსცილოსკოპები@
@osier@|@ტირიფი@
@osiers@|@ტირიფები@
@Oslo@|@ოსლო@
@Osnabruck@|@ოსნაბრუკი@
@osprey@|@ეგრეტი@
@ospreys@|@ეგრეტები@
@osseous@|@ძვლოვანი@
@Ossett@|@ოსეტი@
@ossification@|@გაძვალება@
@ossified@|@გაძვალდა, გაძვალებული@
@ossifies@|@ძვალდება@
@ossify@|@გაძვალება@
@ossifying@|@ძვალდება@
@ostensible@|@საბაბად გამოყენებული@
@ostentation@|@ტრაბახი@
@ostentatious@|@მოსაჩვენებელი@
@ostentatiously@|@მოსაჩვენებლად@
@osteopath@|@ოსტეოპათი@
@osteopaths@|@ოსტეოპათები@
@osteopathy@|@ოსტეოპათია@
@ostler@|@მეჯინიბე@
@ostlers@|@მეჯინიბეები@
@ostracism@|@ოსტრაკიზმი@
@ostracize@|@საზოგადოებიდან განდევნა@
@ostracized@|@საზოგადოებიდან განდევნა, საზოგადოებიდან განდევნილი@
@ostracizes@|@საზოგადოებიდან განდევნის@
@ostracizing@|@საზოგადოებიდან განდევნის@
@ostrich@|@სირაქლემა@
@ostriches@|@სირაქლემები@
@Oswald@|@ოსვალდი@
@Oswestry@|@ოსვესტრი@
@Otago@|@ოტაგო@
@other@|@სხვა, სხვა, სხვაგვარად@
@others@|@სხვები@
@otherwise@|@სხვაგვარად, სხვაგვარად@
@otherworldly@|@არაამქვეყნიურად@
@otiose@|@ამაო@
@Otley@|@ოტლი@
@Ottawa@|@ოტავა@
@otter@|@წავი@
@otters@|@წავები@
@ottoman@|@ოტომანი@
@ottomans@|@ოტომანები@
@oubliette@|@საიდუმლო დილეგი ლიუკით@
@oubliettes@|@საიდუმლო დილეგები ლიუკებით@
@ouch@|@ბალთა, გულსაბნევი@
@ought@|@უნდა@
@oughtn't@|@არ უნდა@
@ouija-board@|@სპირიტიზმის დროს გამოსაყენებელი დაფა@
@ouija-boards@|@სპირიტიზმის დროს გამოსაყენებელი დაფები@
@ounce@|@უნცია@
@ounces@|@უნციები@
@our@|@ჩვენი@
@ours@|@ჩვენი, ჩვენი@
@ourselves@|@ჩვენ ვითონ@
@oust@|@გაგდება@
@ousted@|@გააგდო, გაგდებული@
@ousting@|@აგდებს@
@ousts@|@აგდებს@
@out@|@გაგდება, გარეთ@
@outbalance@|@გადაწონვა@
@outbalanced@|@გადაწონა, გადაწონილი@
@outbalances@|@გადაწონის@
@outbalancing@|@გადაწონის@
@outbid@|@აჯობა, ნაჯობნი, ჯობნა@
@outbidding@|@ჯობნის@
@outbids@|@ჯობნის@
@outboard@|@ბორტს გარეთ@
@outbound@|@შორეულ ნაოსნობაში გამგზავრებული@
@outbrave@|@სიმამაცით ჯობნა@
@outbraved@|@სიმამაცით აჯობა, სიმამაცით ნაჯობნი@
@outbraves@|@სიმამაცით ჯობნის@
@outbraving@|@სიმამაცით ჯობნის@
@outbreaks@|@ფეთქდება@
@outbuilding@|@ფლიგელი@
@outbuildings@|@ფლიგელები@
@outbursts@|@ფეთქდება@
@outcast@|@მოკვეთილი, მოკვეთილი@
@outcasts@|@მოკვეთილნი@
@outclass@|@ჯობნა@
@outclassed@|@აჯობა, ნაჯობნი@
@outclasses@|@ჯობნის@
@outclassing@|@ჯობნის@
@outcrop@|@ქანების გაშიშვლება@
@outdated@|@ძველმოდური@
@outdid@|@ჯობნა@
@outdistance@|@გასწრება@
@outdistanced@|@გაასწრო, გასწრებული@
@outdistances@|@ასწრებს@
@outdistancing@|@ასწრებს@
@outdo@|@ჯობნა@
@outdoes@|@ჯობნის@
@outdoor@|@გარეთ@
@outdoors@|@გარეთ@
@outed@|@გააგდო, გაგდებული@
@outer@|@გარეგნული@
@outermost@|@ცენტრიდან ყველაზე მოშორებული@
@outfaced@|@შემცბარი@
@outfall@|@სათავე@
@outfalls@|@სათავეები@
@outfield@|@შეუსწავლელი სფერო, შორეული მინდორი@
@outfields@|@შეუსწავლელი სფეროები, შორეული მინდვრები@
@outfit@|@ეკიპირება, ეკიპირება@
@outfits@|@ეკიპირებას აკეთებს, ეკიპირებები@
@outfitted@|@ეკიპირებას აკეთებდა, ეკიპირებული@
@outfitter@|@ცალობით მოვაჭრე@
@outfitters@|@ცალობით მოვაჭრეები@
@outfitting@|@ეკიპირებას აკეთებს@
@outflank@|@ეშმაკობაში ჯობნა, ფლანგზე გამოსვლა@
@outflanked@|@ეშმაკობაში აჯობა, ფლანგზე გამოვიდა, ფლანგზე გამოსული@
@outflanking@|@ეშმაკობაში ჯობნის, ფლანგზე გამოდის@
@outflanks@|@ეშმაკობაში ჯობნის, ფლანგზე გამოდის@
@outflow@|@მიწურვა@
@outflows@|@იწურება@
@outfox@|@ეშმაკობაში ჯობნა@
@outfoxed@|@ეშმაკობაში აჯობა@
@outfoxes@|@ეშმაკობაში ჯობნის@
@outfoxing@|@ეშმაკობაში ჯობნის@
@outgo@|@გამგზავრება, გამგზავრება@
@outgoes@|@გამგზავრებები, მიემგზავრება@
@outgoing@|@მიემგზავრება@
@outgoings@|@ხარჯები@
@outgone@|@გამგზავრებული@
@outgrew@|@გაიზარდა@
@outgrow@|@გაზრდა@
@outgrown@|@გაზრდილი@
@outgrowth@|@პირმშო@
@outgrowths@|@პირმშოები@
@out-herod@|@ჰეროდეს აჯობო სისასტიკით@
@out-heroded@|@ჰეროდეს აჯობა სისასტიკით@
@out-heroding@|@ჰეროდეს სჯობნის სისასტიკით@
@out-herods@|@ჰეროდეს სჯობნის სისასტიკით@
@outhouse@|@ფლიგელი@
@outhouses@|@ფლიგელები@
@outing@|@პიკნიკი@
@outings@|@პიკნიკები@
@outlandish@|@უცხო@
@outlandishly@|@უცხოდ@
@outlandishness@|@უცხოობა@
@outlast@|@გაგრძელება@
@outlasted@|@გაგრძელდა, გარძელებული@
@outlasting@|@გრძელდება@
@outlasts@|@გრძელდება@
@outlaw@|@კანონგარეშე ადამიანი, კანონგარეშედ გამოცხადება@
@outlawed@|@კანონგარეშე გამოაცხადა, კანონგარეშე გამოხცადებული@
@outlawing@|@კანონგარეშე აცხადებს@
@outlawry@|@კანონგარეშე აცხადებს@
@outlaws@|@კანონგარეშე ადამიანები, კანონგარეშე აცხადებს@
@outlay@|@ხარჯი@
@outlays@|@ხარჯები@
@outlet@|@შტეფსელის როზეტი@
@outlets@|@შტეფსელის როზეტები@
@outlier@|@ჯარისკაცი, რომელიც კაზარმაში არ ცხოვრობს@
@outliers@|@ჯარისკაცები, რომლებიც კაზარმაში არ ცხოვრობენ@
@outline@|@კონტური, კონტურის მოხაზვა@
@outlined@|@კონტური მოხაზა, მოხაზული კონტური@
@outlines@|@კონტურები, კონტურს ხაზავს@
@outlining@|@კონტურს ხაზავს@
@outlive@|@ვინმეზე მეტხანს იცოცხლო@
@outlived@|@ვინმეზე მეტხანს იცოცხლა, ვინმეზე მეტხანს ნაცოცხლი@
@outlives@|@ვინმეზე მეტხანს ცოცხლობს@
@outliving@|@ვინმეზე მეტხანს ცოცხლობს@
@outlook@|@ხედი, პერსპექტივა@
@outlooks@|@ხედები,პერსპექტივები@
@outmanoeuvre@|@ეშმაკობაში ჯობნა@
@outmanoeuvred@|@ეშმაკობაში აჯობა@
@outmarch@|@მარშირება@
@outmarched@|@მარშირებდა, მარშირებული@
@outmarches@|@მარშირებს@
@outmarching@|@მარშირებს@
@outmatch@|@ჯობნა@
@outmatched@|@სძლია@
@outmatches@|@სძლევს@
@outmatching@|@სძლევს@
@outmoded@|@მოდიდან გამოსული@
@outmost@|@ცენტრიდან მოშორებული@
@outnumber@|@რიცხობრივად გადაჭარბება@
@outnumbered@|@რიცხობრივად გადააჭარბა, რიცხობრივად გადაჭარბებული@
@outnumbering@|@რიცხობრივად აჭარბებს@
@outnumbers@|@რიცხობრივად აჭარბებს@
@out-of-date@|@ძველმოდური@
@out-of-door@|@ღია ცის ქვეშ@
@outof-doors@|@ღია ცის ქვეშ@
@out-of-the-way@|@მოშორებით, შორეული@
@out-of-work@|@უმუშევარი@
@outpatient@|@ამბულატორიული ავადმყოფი@
@outpatients@|@ამბულატორიული ავადმყოფები@
@outplay@|@თამაშში მოგება@
@outplayed@|@თამაშში მოუგო, თამაშში წაგებული@
@outplaying@|@თამაშში უგებს@
@outplays@|@თამაშში უგებს@
@outpoint@|@ქულებში მოგება@
@outpointed@|@ქულებში მოუგო, ქულებში წაგებული@
@outpointing@|@ქულებში უგებს@
@outpoints@|@ქულებში უგებს@
@outport@|@სათევზაო სოფელი@
@outports@|@სათევზაო სოფლები@
@outpost@|@ავანპოსტი@
@outposts@|@ავანპოსტები@
@outpouring@|@ღვარი@
@outpourings@|@ღვარები@
@output@|@პროდუქცია@
@outrage@|@კანონის დარღვევა, კანონის უხეში დარღვევა@
@outraged@|@კანონი დაარღვია@
@outrages@|@კანონის უხეში დარღვევები@
@outraging@|@კანონს არღვევს@
@outran@|@გაასწრო@
@outrange@|@გასწრება@
@outranged@|@გაასწრო, გასწრებული@
@outranges@|@ასწრებს@
@outranging@|@ასწრებს@
@outrank@|@რანგით გასწრება@
@outranked@|@რანგით გაასწრო@
@outranking@|@რანგით ასწრებს@
@outranks@|@რანგით ასწრებს@
@outride@|@გასწრება@
@outrider@|@კომივოიაჟერი@
@outriders@|@კომივოიაჟერები@
@outrigger@|@უტლეგარი@
@outriggers@|@უტლეგარები@
@outright@|@პირდაპირ, ღიად, პირდაპირი, ღია@
@outrivalled@|@აჯობა, ნაჯობნი@
@outrode@|@გაასწრო@
@outrun@|@გასწრება@
@outsail@|@გასწრება გემის@
@outsailed@|@გაასწრო გემს@
@outsailing@|@ასწრებს გემს@
@outsails@|@ასწრებს გემს@
@outset@|@დასაწყისი@
@outsets@|@დასაწყისები@
@outshine@|@დაჩრდილვა@
@outshines@|@ჩრდილავს@
@outshining@|@ჩრდილავს@
@outshone@|@დაჩრდილული, ჩრდილავდა@
@outside@|@გარე ნაწილი, გარეგანი, გარეგნობა, გარედან, გარეთ, გარეშე@
@outsider@|@აუტსაიდერი, გარეშე ადამიანი@
@outsiders@|@აუტსაიდერები, გარეშე ადამიანები@
@outsides@|@გარე ნაწილები, გარეგნობები@
@outskirts@|@გარეუბნები@
@outsmart@|@ჭკუაში მოტყუება@
@outsmarted@|@ჭკუაში მოატყუა@
@outsmarting@|@ჭკუაში ატყუებს@
@outsmarts@|@ჭკუაში ატყუებს@
@outspanned@|@გამოხსნილი@
@outspoken@|@გამოთქმული, წრფელი@
@outspokenly@|@წრფელად@
@outspokenness@|@სიწრფელე@
@outspread@|@განრთხმული@
@outstanding@|@გამოჩენილი@
@outstandingly@|@გამოჩენილად@
@outstay@|@დიდხანს დარჩენა@
@outstayed@|@დიდხანს დარჩა, დიდხანს დარჩენილი@
@outstaying@|@დიდხანს რჩება@
@outstays@|@დიდხანს რჩება@
@outstretched@|@გადაჭიმული@
@outstrip@|@გადასწრება@
@outstripped@|@გადაასწრო, გადასწრებული@
@outvie@|@შეჯიბრებაში ჯობნა@
@outvied@|@შეჯიბრებაში აჯობა, შეჯიბრებაში ნაჯობნი@
@outvies@|@შეჯიბრებაში ჯობნის@
@outvote@|@ხმის უმრავლესობის ქონა@
@outvoted@|@ხმის უმრავლესობა ქონდა@
@outvotes@|@ხმის უმრავლესობა აქვს@
@outvoting@|@ხმის უმრავლესობა აქვს@
@outward@|@გარეთ, გარეთა, ზედაპირული@
@outwear@|@გაცვეთა@
@outwearing@|@ცვეთს@
@outwears@|@ცვეთს@
@outwent@|@წავიდა@
@outwit@|@ჭკუაში ჯობნა@
@outwits@|@ჭკუაში ჯობნის@
@outwitted@|@ჭკუაში აჯობა, ჭკუაში ნაჯობნი@
@outwitting@|@ჭკუაში ჯობნის@
@outwore@|@გაცვითა@
@outworn@|@გაცვეთილი@
@ouzel@|@შაშვი@
@ouzels@|@შაშვები@
@ova@|@კვერცხები@
@oval@|@ოვალი, ოვალური@
@ovals@|@ოვალები@
@ovaries@|@საკვერცხეები@
@ovary@|@საკვერცხე@
@ovation@|@ოვაცია@
@ovations@|@ოვაციები@
@oven@|@ღუმელი@
@ovens@|@ღუმელები@
@over@|@გადა-, ნამატი@
@overabundance@|@სიუხვე@
@overabundant@|@მოჭარბებული@
@overact@|@გადათამაშება, გადაჭარბება@
@overacted@|@გადააჭარბა, გადათამაშებული, გადაითამაშა, გადაჭარბებული@
@overacting@|@აჭარბებს@
@overactive@|@ზეაქტიური@
@overacts@|@აჭარბებს@
@overall@|@სავსებით, სამუშაო ხალათი, სრული@
@overalls@|@სამუშაო ხალათები@
@overambitious@|@ზეამბიციური@
@overanxiety@|@მეტისმეტი წუხილი@
@overanxious@|@მეტისმეტად შეწუხებული@
@overarch@|@თაღით დაფარვა@
@overarched@|@თაღით დაფარა, თაღით დაფარული@
@overarches@|@თაღით ფარავს@
@overarching@|@თაღით ფარავს@
@overate@|@გადაჭაა, ზედმეტი ჭამა@
@overawe@|@მოწიწებული შიშის ჩანერგვა@
@overawed@|@მოწიწებული შიში ჩაუნერგა@
@overawes@|@მოწიწებულ შიშს უნერგავს@
@overawing@|@მოწიწებულ შიშს უნერგავს@
@overbalance@|@გადაწონვა@
@overbalanced@|@გადაწონა, გადაწონილი@
@overbalances@|@წონის@
@overbalancing@|@წონის@
@overbear@|@დაძლევა@
@overbearing@|@მბრძანებლური, ძლევს@
@overbears@|@ძლევს@
@overbold@|@მეტისმეტად მამაცი@
@overbore@|@დაძლია@
@overborne@|@დაძლეული@
@overburden@|@გადატვირთვა@
@overburdened@|@გადატვირთა, გადატვირთული@
@overbusy@|@გადატვირთული@
@overcame@|@დაძლია@
@overcapitalization@|@კაპიტალის ძალზე მაღალი განსაზღვრა@
@overcapitalized@|@კაპიტალი ძალზე მაღლა განსაზღვრა, ძალზე მაღლა განსაზღვრული კაპიტალი@
@overcapitalizes@|@ძალზე მაღლა განსაზღვრავს კაპიტალს@
@overcareful@|@ზედმეტად ფრთხილი@
@overcast@|@მოღუშული, ღრუბლებით დაფარული, ჩაბნელება@
@overcautious@|@ზედმეტად წინდახედული@
@overcharge@|@მაღალი ფასის მოთხოვნა, ძალიან მაღალი ფასი@
@overcharged@|@მაღალი ფასი მოითხოვა@
@overcharges@|@მაღალ ფასს ითხოვს, მაღალი ფასები@
@overcharging@|@მაღალ ფასს ითხოვს@
@overclothe@|@გადაცმა@
@overclothed@|@ზედა ტანსაცმელგადაცმული, ზედა ტანსაცმელი ჩაიცვა@
@overclothes@|@ზედა ტანსაცმელს იცვამს@
@overclothing@|@ზედა ტანსაცმელს იცვამს@
@overcloud@|@ღრუბლებით დაფარვა@
@overclouded@|@ღრუბლებით დაფარა, ღრუბლებით დაფარული@
@overclouding@|@ღრუბლებით ფარავს@
@overclouds@|@ღრუბლებით ფარავს@
@overcoat@|@პალტო@
@overcoats@|@პალტოები@
@overcome@|@დაძლევა, დაძლეული@
@overcomes@|@ძლევს@
@overconfident@|@ზედმეტად დაჯერებული@
@overcook@|@ჩახარშვა@
@overcooked@|@ჩახარშა, ჩახარშული@
@overcooking@|@ჩახარშავს@
@overcooks@|@ჩახარშავს@
@overcredulity@|@ზედმეტი მიმნდობლობა@
@overcredulous@|@ზედმეტად მიმნდობი@
@overcritical@|@ზედმეტად კრიტიკული@
@overcrop@|@მიწის გამოფიტვა@
@overcropped@|@გამოფიტული მიწა, მიწა გამოფიტა@
@overcropping@|@მიწას ფიტავს@
@overcrops@|@მიწას ფიტავს@
@overcrowd@|@ავსება ხალხით@
@overcrowded@|@ავსებული ხალხით, აივსო ხალხით@
@overcrowding@|@ივსება ხალხით@
@overcrowds@|@ივსება ხალხით@
@overcurious@|@ზედმეტად ცნობისმოყვარე@
@overdelicate@|@ზედმეტად დელიკატური@
@overdid@|@ზედმეტი მოუვიდა@
@overdo@|@ზედმეტის გაკეთება@
@overdoes@|@ზედმეტი მოსდის@
@overdoing@|@ზედმეტი მოსდის@
@overdone@|@ზედმეტია გაკეთებული@
@overdraft@|@ზედმეტად გაწურვა@
@overdrafts@|@ზედმეტად წურავს@
@overdress@|@ზედა ტანსაცმლის ჩაცმა@
@overdressed@|@ზედა ტანსაცმელგადაცმული, ზედა ტანსაცმელი ჩაიცვა@
@overdresses@|@ზედა ტანსაცმელს იცვამს@
@overdrive@|@არაქათის გამოცლა@
@overdrives@|@არაქათი გამოაცალა@
@overdue@|@დროგასული@
@overeager@|@ზედმეტად@
@overeat@|@ზედმეტი ჭამა@
@overeaten@|@ზედმეტი ნაჭამი@
@overeating@|@ზედმეტს ჭამს@
@overeats@|@ზედმეტს ჭამს@
@overemotional@|@ზედმეტად ემოციური@
@overemphasize@|@ზედმეტი ხაზგასმა@
@overemphasized@|@ზედმეტად გაუსვა ხაზი, ზედმეტად ხაზგასმული@
@overemphasizes@|@ზედმეტად უსვამს ხაზს@
@overemphasizing@|@ზედმეტად უსვამს ხაზს@
@overenthusiastic@|@ზედმეტად ენთუზიასტური@
@overestimate@|@გადამეტფასება@
@overestimated@|@გადაამეტფასა, გადამეტფასებული@
@overestimates@|@ამეტფასებს@
@overestimating@|@ამეტფასებს@
@overexcited@|@ზედმეტად აღელვებული@
@overexert@|@ზედმეტად დაძაბვა@
@overexerted@|@ზედმეტად დაიძაბა, ზედმეტად დაძაბული@
@overexerting@|@ზედმეტად იძაბება@
@overexertion@|@ზედმეტი დაძაბვა@
@overexertions@|@ზედმეტი დაძაბვები@
@overexerts@|@ზედმეტად იძაბება@
@overexpose@|@გადმოფენა@
@overexposed@|@გადმოფენილი, გადმოფინა@
@overexposes@|@გადმოფენს@
@overexposing@|@გადმოფენს@
@overexposure@|@გადმოფენა@
@overfed@|@ზედმეტად ნაკვები, ზედმეტი აჭამა@
@overfeed@|@ზედმეტი კვება@
@overfeeding@|@ზედმეტი კვება, ზედმეტს აჭმევს@
@overfeeds@|@ზედმეტს აჭმევს@
@overflew@|@სხვის ტერიტორიაზე დაფრინავდა@
@overflies@|@სხვის ტერიტორიაზე დაფრინავს@
@overflow@|@გადაღვრა, გადაღვრა@
@overflowed@|@გადაღვარა, გადაღვრილი@
@overflowing@|@გადაიღვრება@
@overflown@|@გადაღვრილი@
@overflows@|@გადაიღვრება@
@overfly@|@სხვის ტერიტორიაზე ფრენა@
@overflying@|@გადაიფრენს@
@overfond@|@ზედმეტად მოყვარული@
@overfull@|@გადავსებული@
@overgenerous@|@ზედმეტად გულუხვი@
@overgreedy@|@ზედმეტად ძუნწი@
@overgrown@|@სწრაფად გაზრდილი@
@overgrowth@|@სწრაფი ზრდა@
@overgrowths@|@ზრდაში გადამეტებები@
@overhang@|@გამოშვერა, შვერილი@
@overhanging@|@გამოშვერილია@
@overhangs@|@გამოშვერილია, შვერილები@
@overhasty@|@ზედმეტად აჩქარებული@
@overhaul@|@გულდასმით გასინჯვა, გულდასმით გასინჯვა@
@overhauled@|@გულდასმით გასინჯა, გულდასმით გასინჯული@
@overhauling@|@გულდასმით სიჯავს@
@overhauls@|@გულდასმით სინჯავს, გულდასმითი გასინჯვები@
@overhead@|@ზედა, ზევით@
@overheads@|@ზედნადები ხარჯები@
@overhear@|@მიყურადება@
@overheard@|@მიაყურადა, მიყურადებული, შემთხვევით გაგონილი@
@overhearing@|@აყურადებს@
@overhears@|@აყურადებს@
@overheat@|@გადახურება@
@overheated@|@გადაახურა, გადახურებული@
@overheating@|@ზედმეტად ახურებს@
@overheats@|@ზედმეტად ახურებს@
@overhung@|@გამოშვერილი, გამოშვერილი იყო@
@overindulge@|@ბოროტად გამოყენება@
@overindulged@|@ბოროტად გამოიყენა, ბოროტად გამოყენებული@
@overindulges@|@ბოროტად იყენებს@
@overindulging@|@ბოროტად იყენებს@
@overjealous@|@ზედმეტად ეჭვიანი@
@overjoyed@|@ძალიან კმაყოფილი@
@overladen@|@გადატვირთული@
@overlaid@|@დაფარა, დაფარული@
@overlain@|@გადაწოლილი@
@overland@|@სახმელეთო@
@overlap@|@ნაწილობრივ გადახურვა@
@overlapped@|@ნაწილობრივ გადახურა, ნაწილობრივ გადახურული@
@overlapping@|@ნაწილობრივ ხურავს@
@overlaps@|@ნაწილობრივ ხურავს@
@overlarge@|@ზედმეტად დიდი@
@overlay@|@საბურავი@
@overlays@|@საბურავები@
@overleaf@|@უკანა გვერდზე@
@overleap@|@გადახტომა@
@overleaped@|@გადამხტარი, გადახტა@
@overleaping@|@ხტება@
@overleaps@|@ხტება@
@overlie@|@გადაწოლა@
@overlies@|@აწევს@
@overload@|@გადატვირთვა@
@overloaded@|@გადატვირთა, გადატვირთული@
@overloading@|@გადატვირთავს@
@overloads@|@გადატვირთავს@
@overlook@|@აღმართვა@
@overlooked@|@აღმართა, აღმართული@
@overlooking@|@აღმართავს@
@overlooks@|@აღმართავს@
@overlord@|@სიუზერენი@
@overlords@|@სიუზერენები@
@overly@|@ზედმეტად@
@overlying@|@აწევს@
@overmantel@|@ბუხრისთავი@
@overmantels@|@ბუხრისთავები@
@overmaster@|@დამორჩილება@
@overmastered@|@დაიმორჩილა, დამორჩილებული@
@overmastering@|@იმორჩილებს@
@overmasters@|@იმორჩილებს@
@overmodest@|@ზედმეტად მოკრძალებული@
@overmuch@|@ზედმეტად, ზედმეტი@
@overnervous@|@ზედმეტად ნერვიული@
@overnight@|@წინა ღამით, წინა ღამით მომხდარი@
@overpaid@|@ზედმეტგადახდილი, ზედმეტი გადაიხადა@
@overpass@|@ამოწურვა, გადასვლა@
@overpasses@|@გადადის, იწურება@
@overpay@|@ზედმეტის გადახდა@
@overpaying@|@ზედმეტს იხდის@
@overpayment@|@ზედმეტის გადახდა@
@overpays@|@ზედმეტს იხდის@
@overplay@|@გადაჭარბება@
@overplayed@|@გადააჭარბა, გადაჭარბებული@
@overplaying@|@აჭარბებს@
@overplays@|@აჭარბებს@
@overplus@|@სიჭარბე@
@overpluses@|@სიჭარბენი@
@overpopulation@|@ჭარბად დასახლება@
@overpower@|@დაძლევა@
@overpowered@|@დაძლეული, დაძლია@
@overpowering@|@დაუძლეველი, სძლევს@
@overpowers@|@სძლევს@
@overpraise@|@ქების შესხმა@
@overpraised@|@ქება შეასხა, ქებაშესხმული@
@overpraises@|@ქებას ასხამს@
@overpraising@|@ქებას ასხამს@
@overprint@|@ბეჭდებით გადატვირთვა@
@overprinted@|@ბეჭდებით გადატვირთა, ბეჭდებით გადატვირთული@
@overprinting@|@ბეჭდებით იტვირთება@
@overprints@|@ბეჭდებით იტვირთება@
@overproduce@|@ჭარბწარმოება@
@overproduced@|@ჭარბწარმოება მოახდინა, ჭარბწარმოებული@
@overproduces@|@ჭარბწარმოებას ახდენს@
@overproducing@|@ჭარბწარმოებას ახდენს@
@overproduction@|@ჭარბწარმოება@
@overproud@|@ზედმეტად ამაყი@
@overran@|@გადაღვრა@
@overrate@|@გადამეტფასება@
@overrated@|@გადაამეტფასა, გადამეტფასებული@
@overrates@|@გადაამეტფასებს@
@overrating@|@გადაამეტფასებს@
@overreached@|@მიაღწია, მიღწეული@
@overridden@|@გატანილი@
@override@|@გატანა@
@overrides@|@გაიტანს@
@overriding@|@გაიტანს@
@overripe@|@გადამწიფებული@
@overrode@|@გაიტანა@
@overrule@|@მეფობა@
@overruled@|@გამეფებული, მეფობდა@
@overrules@|@მეფობს@
@overruling@|@მეფობს@
