@Italian (Theology)@|@English@
@fissato@|@fixed, set, established, arranged, obsessed (past part. of fissare)@
@fitta@|@(f- la)- sharp pain, pang, crowd, large quantity@
@fitto@|@(m- il)- the depths, (adj.)- stuck in, embedded in, thick, dense, full of, packed with, crammed with@
@fiume@|@(m- il)- river, stream@
@folla@|@(f- la)- crowd@
@fondamento@|@(m- il)- foundation, basis, ground@
@fondare@|@to found, to build up, to establish@
@fondere@|@to melt, to fuse, to cast, to mold, to blend, to merge@
@fondo@|@(m- il)- bottom, background (ambientazione- ambiente- sfondo), nature, (adj.)- deep@
@fonte@|@(f- la) - spring, source, origin, cause, root, fountain, font (germe- origine- principio- provenienza- sorgente)@
@forestiero@|@(m- il)- foreigner, stranger, guest, (adj.)- foreign, strange@
@forma@|@(f- la)- shape, form, figure, type, style, manner, procedure, mold@
@formato@|@(m- il)- format, size, shape, (adj.)- formed, made up of, shaped, grown-up, fully-developed (past part. of formare)@
@fornire@|@(isc verb)- to supply, to furnish, to provide @
@forno@|@(m- il)- oven, bakery@
@forza@|@(f- la)- strength, force, power (potestà- potenza- potere)@
@foschia@|@(f- la)- haze, haziness, mist@
@fossa@|@(f- la)- grave, ditch, trench, pit, hole@
@fra@|@(m- il)- brother (religious), (prep.)- between, among, amidst, through, in, within, of, among (tra)@
@frapposto@|@in between, interposed@
@frate@|@(m- il)- friar, monk, brother@
@fratellanza@|@(f- la)- brotherhood, brotherliness, fraternity@
@fratello@|@(m- il)- brother, comrad@
@frattanto@|@in the meantime, meanwhile (intanto)@
@frattempo@|@(m- il)- meanwhile, meantime, interval@
@frenare@|@to brake, to stop, to restrain@
@fronte@|@(m or f- il or la)- front, forehead, facade@
@fronteggiare@|@to confront, to face, to stand up to, to withstand (affrontare)@
@frontiera@|@(f- la)- frontier, border, dividing line, borderline@
@frugare@|@to rummage, to search@
@fuga@|@(f- la)- flight, escape, leak, series, suite, sprint@
@fuggire@|@to flee, to escape, to avoid, to shun, to fly (rifuggire- scappare) (ex:  Come fugge il tempo! = How time flies!)@
@fungere@|@to act as, to function as, to exercise the office of@
@fungibile@|@replacable, fungible @
@fuoco@|@(m- il)- focus, fire, ardor, passion@
@furbo@|@(m- il)- clever one, (adj.)- smart, clever, cunning @
@galleria@|@(f- la)- tunnel, gallery@
@gallo@|@(m- il)- cock, rooster, (adj.)- Gallic, French@
@gamba@|@(f- la)- leg, stem@
@gamma@|@(f- la)- range, gamut, set, array, scale, (m- il)- gamma ray@
@gancio@|@(m- il)- hook, fastener, cunning person@
@garanzia@|@(f- la)- guarantee, warranty, security@
@gaudio@|@(m- il)- joy, happiness, bliss@
@geloso @|@jealous, envious, particular about@
@gemello@|@(m- il)- twin@
@genere@|@(m- il)- kind, sort, type, genre, genus, race@
@genesi@|@(f- la)- genesis, origin, birth@
@geniale@|@clever, ingenius, cheerful, genial, nupital@
@genio@|@(m- il)- genius, talent, gift, genie, spirit@
@gerarchia@|@(f- la)- hierarchy@
@germe@|@(m- il)- germ, origin, seed, source (fonte- origine- principio- provenienza- sorgente)@
@gestione@|@(f- la)- management, direction, operation, conduct@
@gestire@|@(isc verb)- to manage, to run, to operate, to conduct, to organize, to handle@
@gesto@|@(m- il)- gesture, sign, deed, attitude, position, (pl. = gesta)- deeds, feats, noble achievements@
@gettare@|@to throw, to cast, to put forth@
@ghiacciare@|@to freeze, to chill@
@già@|@already, by now, formerly, since, from, yes, that's right, of course@
@giacchè@|@as, since, now that@
@gioia @|@(f- la)- joy, delight, happiness, jewel, precious stone, treasure@
@giovare@|@to be of use, to be beneficial, to be good@
@girare@|@to turn, to revolve, to stir, to go around, to avoid, to evade@
@gita@|@(f- la)- trip, excursion, outing@
@giù@|@down, downstairs, below, depressed, low in spirits@
@Giudeo@|@(m- il)- Jew, (adj.)- Jewish @
@giudicare@|@to judge, to consider@
@giudice@|@(m- il)- judge@
@giudizio@|@(m- il)- judgment, verdict, opinion@
@giunco@|@(m- il)- reed@
@giungere@|@to arrive, to reach, to succeed, to manage, to join@
@giungere a@|@to arrive at@
@giunta @|@(f- la)- addition, council, committee@
@giunto@|@(m- il)- joint, (adj.)- joined@
@giuramento@|@(m- il)- oath, vow@
@giurare@|@to swear, to take an oath@
@giustapporre@|@to juxtapose@
@giustizia@|@(f- la)- justice, fairness, equity, law@
@giustiziare@|@to execute, to put to death@
@giusto @|@just, fair, right, exact@
@gola@|@(f- la)- throat, gluttony, greed (avarizia- brama- cupidigia- ingordigia)@
@gradino@|@(m- il)- step, stair@
@gradire@|@(isc verb)- to accept, to welcome, to appreciate, to like, to enjoy, to care for@
@gradito@|@welcome, appreciated, pleasant, agreeable (past part. of gradire)@
@grado@|@(m- il)- degree, level, rank, status, pleasure, liking@
@gratis@|@free@
@grato@|@grateful, thankful, welcome@
@grattare@|@to scratch@
@gratuitamente@|@free, without cost, gratuitously@
@gravidanza@|@(f- la)- pregnancy@
@gregge@|@(m- il)- herd, flock, crowd@
@grembo@|@(m- il)- lap, womb, bosom (seno- viscere)@
@gridare@|@to cry out, to shout@
@grosso@|@large, thick, heavy@
@grotta@|@(f- la)- cave, cavern@
@guadagnare@|@to earn, to gain, to reach, to win@
@guado@|@(m- il)- ford (of a river)@
@guai@|@(inter.) - woe, heaven help (ex: "Guai ai voi- scribi e farisei ipocriti..."  - "Woe to you scribes and Pharisees- you hypocrites…" Mt 23:13), the plural form of "guaio," meaning troubles (amarezze)@
@guaio@|@(m- il)- trouble, affliction, woe, mess, jam, (pl. = guai)- troubles@
@guaire@|@(isc verb)- to cry, to whine @
@guarigione@|@(f- la)- recovery, healing, cure@
@guarire@|@(isc verb)- to cure, to heal, to recover @
@guidare@|@to drive, to guide, to lead, to govern, to manage, to run@
@gustare@|@to taste, to enjoy, to like, to savor@
@gusto@|@(m- il)- taste, flavor@
@idolo@|@(m- il)- idol@
@idoneo@|@suitable, fit, appropriate, eligible, qualified, worthy@
@illudere@|@to deceive, to delude, to fool@
@imbarazzare@|@to embarrass, to hamper, to obstruct@
@imbarazzo@|@(m- l')- embarrassment, awkwardness, difficulty, obstacle, encumbrance, trouble@
@immagine@|@(f- l')- image, picture, illustration, idea, impression@
@immergere@|@to immerse, to plunge@
@immettere@|@to introduce, to let in, to lead to@
@impacciato@|@awkward, clumsy, uncomfortable (past part. of impacciare)@
@impagabile@|@priceless, invaluable@
@imparare@|@to learn (apprendere)@
@impari@|@unequal, uneven, unfit for, odd@
@impartire@|@(isc verb)- to impart, to give @
@impatto@|@(m- l')- impact, collision, effect@
@impedire@|@(isc verb)- to impede, to prevent, to hinder, to obstruct @
@impedito@|@occupied, hampered, encumbered, clumsy, awkward, disabled@
@impegnarsi@|@to obligate or commit oneself, to devote oneself, to get involved, to get entangled@
@impegnativo@|@binding, compelling, demanding, exacting@
@impegnato@|@engaged, occupied, tied up, bound, committed, entangled (past part. of impegnare)@
@impegno@|@(m- l')- task, undertaking (assunto- impresa- incarico), commitment, obligation, promise, appointment, zeal, care, diligence@
@imperare@|@to rule over, to reign over@
@imperativo@|@(m- l')- imperative, (adj.)- imperative, commanding, authoritative@
@impiegare@|@to employ, to use@
@impiego@|@(m- l')- use, utilization, employment, job, position, situation, investment@
@implicare@|@to imply, to mean, to involve, to entail, to require (comportare- esigere- imporre- occorrere- richiedere), to involve, to implicate (coinvolgere- involgere)@
@imponente@|@imposing, impressive, stately, grand, majestic, commanding, awesome@
@imporre@|@to impose, to lay hands on, to order, to charge, to force, to compel, to call for, to require (comportare- esigere- occorrere- richiedere)@
@imporsi@|@to impose onself upon or dominate, to assert oneself, to stand out, to be successful, to become necessary, to be called for (ex:  Si impone un cambiamento. = A change is necessary.)@
@impositivo@|@imperative, categorical@
@impossibilitato@|@prevented from, unable to (past part. of impossibilitare)@
@imposta@|@(f- l')- tax, duty, shutter@
@impostare@|@to formulate, to define, to state, to build, to lay the foundation of, to design, to outline, to place, to set, to post, to mail@
@impostazione@|@(f- l')- formulation, definition, statement, foundation, base, approach, planning, start, mailing, posting@
@impoverire@|@to impoverish, to deplete@
@imprecisabile@|@indeterminate, indefinite@
@imprecisione@|@(f- l')- inaccuracy, lack of precision@
@impreciso@|@imprecise, inaccurate, vague@
@impregnare@|@to soak, to saturate, to impregnate@
@imprendibile@|@elusive, uncatchable, invincible, impregnable@
@impresa@|@(f- l')- task, undertaking, deed (assunto- impegno- incarico), concern, business, company@
@imprescindibile @|@indispensable, absolutely necessary, that cannot be disregarded@
@impressionante@|@impressive, striking, stunning, breathtaking, shocking, horrifying@
@imprevedibile@|@unexpected, unforseen, unpredictable (imprevisto- improvviso)@
@imprevisto@|@(m- l')- unforseen event, unexpected occurrence, surprise, contingency, (adj.)- unexpected, unforseen, unplanned, surprise (imprevedibile- improvviso)@
@imprimere@|@to imprint, to mark, to print, to give, to impart, to transmit@
@impronta@|@(f- l')- imprint, impression, mark, print, stamp, mold@
@improntare@|@to stamp, to mark, to characterize, to give an expression to@
@improntarsi@|@to take on a look (ex:  Il suo volto si impronta a tristezza. = His face takes on a look of sadness.)@
@improvvisamente@|@suddenly, all of a sudden, unexpectedly @
@improvviso@|@sudden, unexpected, unforseen (imprevedibile- imprevisto)@
@impulso@|@(m- l')- impulse, push, instinct, drive@
@in@|@in, into@
@in apparenza@|@apparently, on the surface@
@in balia di@|@in the power of, at the mercy of@
@in confronto a@|@compared with@
@in cui@|@in which (al quale)@
@in disparte@|@aside, to one side, by oneself@
@in eterno@|@forever@
@in grado di@|@able to, can, capable of @
@in ordine a@|@with regard to@
@in parte@|@partially, in part, to some extent@
@in principio@|@in the beginning@
@in qualche modo@|@somehow, in some way or other@
@in quanto@|@because, since, as, in that@
@in quanto tale@|@as such (come tale)@
@inafferrabile@|@elusive@
@inapparenza@|@seemingly, outwardly, on the surface@
@inaridire@|@(isc verb)- to dry up, to wither @
@inattaccabile@|@irreprochable, unassailable@
@inaudito @|@unheard of@
@inaugurare@|@to inaugurate, to open, to unveil, to initiate, to start, to usher in@
@incannarsi@|@to wind, to spool@
@incantevole@|@delightful, charming, enchanting@
@incaricare@|@to charge, to entrust, to commission@
@incaricarsi@|@to take upon oneself, to undertake@
@incarico@|@(m- l')- task, job, assignment (assunto- impegno- impresa), appointment, nomination, post@
@incauto@|@imprudent, rash, unwise, incautious@
@incentrarsi@|@to center on, to be based on@
@incerto@|@(m- l')- uncertainty, risk, hazard, (pl.)- perks, extras, (adj.)- uncertain, dubious, doubtful, hesitant, undecided, insecure, indefinite, vague@
@inchiesta@|@(f- l')- inquiry, investigation, report, survey, poll@
@inchinarsi@|@to bow, to bend down, to yield@
@incidente@|@(m- l')- accident, objection, argument, incident@
@incidenza@|@(f- l')- incidence, impact, effect@
@incinta@|@pregnant@
@incisivo@|@incisive, sharp, acute, penetrating, deep@
@incollare@|@to glue, to stick, to paste@
@incolmabile@|@unfillable, unbridgable, too big to be closed@
@incompatible@|@incompatible, inconsistent, unjustified@
@incondizionato@|@unconditional, complete@
@inconfondibile@|@unmistakable, unique@
@incontrastato@|@uncontested, undisputed, unopposed@
@incontro@|@(m- l')- meeting, encounter, fight, collision, occasion, success, reception (accolta- raduno), (adv.)- opposite, on the contrary@
@incoraggiare@|@to encourage, to urge, to stir, to incite, to promote, to foster@
@incrinare@|@to crack, to damage, to spoil, to deteriorate, to become strained@
@incrocio@|@(m- l')- crossing, intersection, junction, combination, mixture@
@incrollabile@|@undestructible, unshakeable, firm@
@incubo@|@(m- l')- nightmare@
@inculcare@|@to instill, to inculcate (infondere)@
@indagine@|@(f- l')- research, study, inquiry, investigation@
@indegno@|@unworthy, undeserving, contemptible, shameful@
@indietro@|@back, behind, backward, slow@
@indifeso@|@undefended, unprotected, helpless, defenseless (inerme)@
@indigenza@|@(f- l')- indigence, poverty, need, destitution, scarcity, shortage@
@indimenticabile@|@unforgettable@
@indiretto@|@indirect@
@indirizzare@|@to address, to send, to direct@
@indirizzo@|@(m- l')- address, course, trend, direction, policy@
@individuare@|@to characterize, to individualize, to single out, to identify, to locate, to pinpoint@
@indizio@|@(m- l')- indication, clue, sign, symptom, evidence@
@indole@|@(f- l')- nature, disposition, character@
@indolenza@|@(f- l')- sloth, laziness, apathy (accidia)@
@indotto@|@illiterate, uncultured, unlearned, induced, driven @
@indovino@|@(m or f- l')- soothsayer, divinizer, fortune-teller, (adj.)- prophetic (veggente)@
@indugiare@|@to delay, to hesitate, to linger, to stall@
@indugio@|@(m- l')- delay, postponement@
@inequivocabile@|@unequivocable, clear, certain, unambigious@
@inerente@|@inherent, intrinsic, concerning, pertaining, related to@
@inerme@|@defenseless, helpless, unarmed (indifeso)@
@inesauribile@|@inexhaustible, endless, unlimited@
@inetto@|@inept, incompetent, incapable, unsuitable, unfit@
@infatti@|@in fact, as a matter of fact, really, indeed, actually@
@infecondità@|@(f- l')- sterility, infertility, barrenness@
@infine@|@at last, finally, ultimately, after all, well@
@infliggere@|@to inflict, to impose@
@infondere@|@to infuse, to instill (inculcare)@
@infranto@|@broken, shattered@
@ingannare@|@to deceive, to fool, to betray, to evade@
@ingannarsi@|@to be mistaken, to be wrong@
@inganno@|@(m- l')- deceit, deception, trickery, fraud, delusion@
@ingenito@|@inborn, innate (insito)@
@ingerenza@|@(f- l')- interference, meddling@
@inginocchiamento@|@(m- l')- genuflection, kneeling@
@inginocchiarsi@|@to kneel, to fall on one's knees@
@inginocchiatoio@|@(m- l')- kneeler@
@inglobare@|@to absorb, to incorporate, to take in@
@ingordigia@|@(f- l')- greed (avarizia- brama- cupidigia- gola)@
@ingrassare@|@to become fat@
@ingraziare@|@to get on someone's good side, to get on the right side of@
@ingresso@|@(m- l')- entrance, doorway, admission, entry, admittance@
@iniquo@|@(m- l')- wicked person, (adj.)- wicked, evil, unjust@
@innamorarsi di@|@to fall in love with@
@innanzi@|@previous, before, (prep.)- before, (adv.)- further, on, onward, before@
@innanzi a @|@before, in front of, in someone's presence@
@innanzitutto@|@first of all, before all else@
@innestare@|@to graft, to add, to insert, to plug in@
@innestarsi@|@to join, to be inserted into, to be grafted onto@
@inno@|@(m- l')- hymn@
@inoltre@|@besides, in addition to, as well, moreover, furthermore@
@inoppugnabile@|@incontestable, indisputable@
@inquadramento@|@(m- l')- organization, classification, assignment, arrangement@
@inquadrare@|@to frame, to organize, to clasify, to arrange, to define, to place, to set (…something in context)@
@inquadrarsi@|@to fit into, to form part of, to be set in@
@inquietante@|@disturbing, worrying @
@inquietare@|@to disturb, to worry, to alarm@
@inquieto@|@restless, anxious, agitated, angry, annoyed@
@inquietudine@|@(f- l')- restlessness, agitation, anxiety, worry@
@inquilino@|@(m- l')- tenant, lodger@
@inscindibile@|@indissoluble, inseparable, indivisible@
@insegnamento@|@(m- l')- teaching, education, instruction, advice@
@inseguitore@|@(m- l')- follower, pursuer, (adj.)- following, pursuing@
@inserire@|@(isc verb)- to insert, to plug in, to connect, to place @
@inserito@|@integrated, well-accepted, on, switched-on, connected@
@insieme@|@(m- l')- whole, totality, unity, set, combination, ensemble, (adv.)- together, jointly, at the same time (assieme)@
@insito@|@inborn, innate, inherent (ingenito), implied, implicit@
@insomma@|@in conclusion, in other words, well, then@
@instaurare@|@to set up, to establish, to found@
@instaurazione@|@(f- la)- foundation, establishment, institution, introduction @
@insultare@|@to insult, to abuse@
@intaccare@|@to damage, to injure, to impair, to corrode, to eat into, to draw on, to dip into, to make a dent in, to stutter@
@intanto@|@meanwhile, while, anyway, but (frattanto)@
@intendenza@|@(f- l')- intendancy, office@
@intendere@|@to understand, to grasp, to listen to, to hear, to mean, to intend@
@intenerire@|@(isc verb)- to touch, to move, to move to pity (commuovere- muovere- toccare), to soften@
@intenerirsi@|@(isc verb)- to be touched, to be moved, to be moved to pity, to soften, to make tender@
@interamente@|@entirely, fully, completely@
@interessare@|@to concern, to be of interest, to involve, to affect, to be interested in@
@interezza@|@(f- l')- wholeness, entirety, totality@
@interlocutore@|@(m- l')- interlocutor, person one is talking to, conversation partner@
@interminabile@|@endless, never-ending, interminable@
@intero@|@(m- l')- whole, entirety, (adj.)- whole, complete, all@
@interpellare@|@to ask, to question, to summon@
@interpretativo@|@explanatory, interpretative@
@interrompere@|@to interrupt, to break up, to block@
@intervenire@|@to intervene, to interfere, to meddle, to take part in, to participate, to happen, to occur@
@intervento@|@(m- l')- intervention, participation, interference, speech, statement, operation@
@intesa@|@(f- l')- understanding, agreement (accordo)@
@inteso@|@understood, agreed upon, intended to, designed to@
@intoccabile@|@untouchable@
@intorno@|@(m- l')- neighborhood, (adv.)- round, around, about, (adj.)- surrounding, around, neighboring@
@intraprendere@|@to undertake, to engage in, to embark upon, to set out to do@
@intravedere@|@to catch a glimpse of, to see indistinctly, to have a vague idea of, to sense, to forsee@
@intravisto@|@glimpsed, half-seen @
@intrecciare@|@to weave together, to intertwine, to link, to make, to establish@
@intreccio@|@(m- l')- interweaving, web, network, plot, intrigue, action@
@intricare@|@to tangle, to confuse, to complicate, to mix up@
@intricarsi@|@to become entangled, to get complicated@
@intrigare@|@to tangle, to confuse, to complicate, to mix up, to intrigue, to fascinate, to plot, to scheme @
@intrigarsi@|@to interfere, to meddle@
@introdurre@|@to insert, to put, to introduce@
@intuire@|@(isc verb)- to intuit, to sense, to guess@
@invadere@|@to invade, to flood, to encroach on@
@invalere@|@to prevail, to become established, to catch on, to spread@
@invano@|@in vain, uselessly, to no purpose@
@invecchiare@|@to age, to grow old, to become dated or old-fashioned, to go out of date@
@invece@|@on the contrary, instead (anzi- al contrario)@
@inviare@|@to send, to ship (mandare)@
@inviato @|@(m- l')- messenger, correspondent, envoy, representative (past part. of inviare)@
@invidia@|@(f- l')- envy@
@inviso @|@disliked, hated@
@invito@|@(m- l') - invitation, request, call, inducement, charm@
@invogliare@|@to tempt, to induce, to entice, to make someone want to do something@
@invogliarsi@|@to desire, to take a fancy to@
@involare@|@to steal, to abduct@
@involarsi@|@to vanish, to fly away, to take off@
@involgere@|@to involve, to implicate (coinvolgere- implicare), to imply, to envelop, to wrap up@
@involuto@|@convoluted, complicated, involved, complex, obscure@
@ira@|@(f- l')- anger, wrath, fury, rage@
@irradiare@|@to illumine, to shed light upon, to shine, to emanate, to give off, to broadcast@
@irrefragabile@|@irrefutable, indisputable@
@irridere@|@to mock, to jeer at, to deride@
@irripetibile@|@unrepeatable, unique@
@istanza@|@(f- l')- request, appeal, petition, application, need, requirement, expectation, aspiration, insistence@
@itinerario@|@(m- l')- itinerary, route, way@
@Iudeo@|@(m- l')- Jew, (adj.)- Jewish @
@ivi@|@there, therein, ibid.@
@lacrima@|@(f- la)- tear, drop@
@lacrimare@|@to weep, to cry, to water@
@laddove@|@where, whereas, while, if, in case@
@laggiù@|@down there, over there@
@laico@|@(m- il)- lay person, (adj.)- lay, secular, non-ideological@
@l'al di là@|@(m)- the afterlife@
@lanciare@|@to throw, to launch@
@lapalissiano@|@obvious, self-evident@
@larghezza@|@(f- la)- width, breadth, largeness, abundance (largo)@
@largo@|@(m- il)- width, breath, (adj.)- broad, wide, large, loose, free, liberal, generous (larghezza)@
@lassista@|@(m or f- il)- lax person, (adj.)- lax, permissive@
@lato @|@(m- il)- side, point of view, standpoint, (adj.)- wide@
@lecito@|@(m- il)- right, legality, (adj)- lawful, licit, legitimate, right@
@legame@|@(m- il)- tie, bond, connection, link (aggancio- collegamento- nesso- raccordo- rapporto- vincolo)@
@legare@|@to tie, to bind, to link, to connect, to be connected, to get along well, to fit in well (agganciare- collegare- congiungere- mettere in collegamento- unire)@
@legato@|@tied, bound, connected (collegato- congiunto), attached to, fond of, legate (ex: Legato Apostolico = Apostolic Legate), ambassador, envoy, legacy (past part. of legare)@
@legge@|@(f- la)- law, rule, act@
@legno@|@(m- il)- wood, stick, ship@
@lento@|@slow, sluggish, slowly, loose fitting@
@lessico@|@(m- il)- lexicon, dictionary, vocabulary, language@
@lettore@|@(m- il)- reader, lector@
@lettura@|@(f- la)- reading, interpretation, lecture@
@levare@|@(m- il)- rise, rising, (verb)- to raise, to lift, to remove, to take away@
@levatrice@|@(f- la)- mid-wife (a woman who helps another woman in childbirth)@
@li@|@them, there@
@licenza@|@(f- la)- licence, permission, authorization, leave, liberty@
@lieto@|@happy, glad, cheerful, serene@
@limitrofo@|@neighboring, bordering@
@limpido@|@clear, limpid, transparent@
@lodare@|@to praise, to commend, to glorify, to laud@
@lode@|@(f- la)- praise, commendation, merit, honors@
@Logavista@|@Yahwist @
@lotta@|@(f- la)- struggle, fight, wrestling, quarrel, dispute@
@lottare@|@to struggle, to fight, to wrestle@
@lucido @|@bright, lucid@
@lunghezza@|@(f- la)- length, size@
@lungimiranza@|@(f- la)- farsightedness@
@lungo@|@long, tall, slow, weak, thin, (prep.)- along, during, over@
@lusso@|@(m- il)- luxury, wealth, abundance@
@lussuria@|@(f- la)- lust (brama- voglia), lewdness@
@macchia@|@(f- la)- stain, spot, blemish@
@macchiato@|@stained, spotted, bloched (past part. of macchiare)@
@madornale@|@huge, enormous@
@maestro@|@(m- il)- master, teacher, instructor, expert, guide, maestro, musician, (adj.)- main, masterly, skillful, artful@
@magari@|@maybe, perhaps, even, (conj.)- if only, even if, how I wish, (inter.)- of course!, you bet! (beninteso- certo- senz'altro), I wish it were so!, no such luck!@
@maggiormente@|@more, even more, all the more, mostly, to a greater extent@
@malattia@|@(f- la)- sickness, illness, disease@
@maledetto@|@(m- il)- damned soul, (adj.)- cursed, damned, horrible, awful@
@malfattore@|@(m- il)- malefactor, evil doer, criminal@
@malgrado@|@in spite of, despite, notwithstanding (ciononostante- nondimento- nonostante- tuttavia), (conj.)- though, although@
@malinteso@|@(m- il)- misunderstanding, (adj.)- mistaken, misinterpreted@
@malvagio@|@(m- il)- wicked man (il malvagio = the devil), (adj.)- wicked, evil@
@malvagità@|@(f- la)- wickedness, evil, malice, evil deed@
@mandare@|@to send, to give off, to emit (inviare)@
@mangiatoia@|@(f- la)- manger, dining table, food, cushy job@
@mansueto@|@meek, mild, gentle, docile, tame, submissive@
@mantenere@|@to keep, to maintain, to preserve, to keep up, to hold, to support, to maintain, to provide for, to uphold, to support, to defend, to finance, to fund, to fulfill (sorregere- sostenere)@
@mantenimento@|@(m- il)- maintenance, preservation, upkeep@
@manto@|@(m- il)- mantle, cloak, coat, disguise@
@marcia@|@(f- la)- march, walk, gear, speed@
@marcio@|@(m- il)- rottenness, badness, corruption, (adj.)- rotten, bad, corrupt@
@marcire@|@(isc verb)- to rot, to decay, to fester, to go bad @
@maschio@|@(m- il)- male, man, (adj.)- masculine, virile@
@massa@|@(f- la)- mass, body, crowd, load, earth, ground@
@medesimo@|@same, very, like, himself, herself, myself (dem. pron.)- the same, the same thing@
@mediamente@|@on the average@
@mediante@|@through, by, by means of@
@meno@|@less, not so, not as much@
@mensa@|@(f- la)- altar, table, dining hall, income, revenue@
@mentire@|@to lie, to be a liar, to falsify, to misrepresent@
@mentre@|@while, as long as, whereas@
@menzogna@|@(f- la)- lie, falsehood (bugia)@
@meramente@|@merely, simply, purely, barely, only @
@meraviglia@|@(f- la)- wonder, marvel, astonishment, surprise@
@meridionale@|@(m or f- il or la)- southerner, (adj.)- southern, southerly, south@
@mescere@|@to pour out, to mix@
@meta@|@(f- la)- destination, aim, goal, pile@
@metà@|@(f- la)- half, middle@
@metafora@|@(f- la)- metaphor@
@mettere a punto@|@to define, to state clearly, to get ready, to adjust@
@mettere a riscontro@|@to compare (paragonare- raffrontare)@
@mettere in cantiere@|@to begin something, to get something going@
@mettere in collegamento@|@to connect (agganciare- collegare- congiungere- legare- unire)@
@mettere in rilievo@|@to emphasize, to stress, to give prominence to (mettere in risalto)@
@mettere in risalto@|@to emphasize, to stress, to give prominence to (mettere in rilievo)@
@mettersi@|@to place oneself, to get oneself, to join, to associate with, to begin dating@
@mezzo@|@(m- il)- half, middle, center, means, way, resources (adj.)- half, middle, almost, near, overripe, rotten, corrupt@
@midollo@|@(m- il)- marrow, pith, core, heart@
@miele@|@(m- il) - honey@
@minaccia@|@(f- la)- threat, menace@
@miniera@|@(f- la)- mine, pit@
@ministero@|@(m- il)- ministry, office, function@
@ministro@|@(m- il)- minister@
@mira@|@(f- la)- aim, target, goal, intention, sight@
@mirabile@|@marvelous, wonderful, admirable@
@mirare@|@to look at, to aim at@
@mischia@|@(f- la)- fight, scuffle, brawl, mixing, blending@
@missiva@|@(m- il)- message, letter, missive@
@misura@|@(f- la)- measure, measurment, size, limit, time, distance, reach@
@mite@|@(m- il)- meek person, (adj.)- gentle, meek, mild, moderate, lenient, benevolent@
@mitezza@|@(f- la)- meekness, mildness, gentleness, moderation, reasonableness, leniency@
@mitico@|@mythical, legendary, imaginary, fantasy, utopian, ideal@
@mito@|@(m- il)- myth, legend, utopia@
@mitra@|@(f- la)- miter, (m- il)- submachine gun@
@mittente@|@(m or f- il or la)- sender, cosigner@
@moda@|@(f- la)- mode, manner, custom, style, fashion@
@modalità@|@(f- la)- method, manner, procedure, condition, formality@
@modo@|@(m- il)- way, manner, mode, means, opportunity, chance, mood, phrase, measure, (pl.)- manners@
@molteplice@|@multiple, multi-faceted, numerous, various@
@monacale@|@monastic, austere@
@monachesimo@|@(m- il)- monasticism@
@monaco@|@(m- il)- monk@
@mondano@|@worldly, earthly@
@monito@|@(m- il)- warning, admonition (avvertenza- avvertimento- avviso- ammonimento- richiamo)@
@montano@|@(adj.)- mountain@
@montare@|@to mount, to ascend, to climb, to ride, to exaggerate, to amount, to matter@
@monte@|@(m- il)- mountain, heap, pile, lot, load, great deal@
@morbido@|@soft, smooth, delicate, pliable@
@mordere@|@to bite, to sting@
@mulo@|@(m- il)- mule, stubborn person, workhorse@
@muovere@|@to move, to induce, to prompt (commuovere- intenerire- toccare)@
@muta@|@(f- la)- change, set@
@mutamento@|@(m- il)- change, variation, transformation@
@mutare@|@to change, to transform, to alter (tramutare, trasmutare)@
@mutevole@|@changeable, mutable, variable, unsettled, inconstant, fickle@
@nascituro@|@unborn@
@nascondere@|@to hide, to lurk (ascondere- celare- ricoprire)@
@nascosto@|@hidden, concealed (celato- coperto) (past part. of nascondere)@
@Natale@|@(m- il)- Christmas, birthday, (pl.)- birth, birthplace, (adj.)- native@
@navata@|@(f- la)- nave, aisle (of a church)@
@nave@|@(f- la)- ship, boat@
@ne@|@of- about- by or with him/her/it, some, any, none, from it, out of it, (adv.)- from there, from here, out of it, out of there, (prep.)- in@
@né@|@nor, and not  @
@né…né@|@neither…nor, either…or@
@neanche@|@neither, nor, not even@
@negare@|@to deny@
@nei confronti di@|@against, towards, to, with@
@nei dintorni@|@close to (vicino a)@
@nemmeno@|@neither, nor, even, not so much as@
@neppure@|@neither, nor, not even@
@nesso@|@(m- il)- nexus, connection, relation, link (aggancio- collegamento- legame- raccordo- rapporto- vincolo)@
@nessuno@|@nobody, no one, anybody, anyone@
@nevrotico@|@(m- il & adj)- neurotic@
@nevvero@|@Isn't that so? (ex:  Sei felice- nevvero? = You're happy- aren't you?)@
@Nilo@|@(m- il)- Nile@
@nocchio@|@(m- il)- knot, knob@
@nocivo@|@harmful, noxious, hurtful, injurious@
@noia@|@(f- la)- boredom, annoyance, nuisance, trouble@
@nome@|@(m- il)- name, reputation, noun@
@nomina@|@(f- la)- nomination, appointment, election, assignment@
@non di rado@|@often, frequently (sovente- spesso)@
@nonché@|@as well as, let alone, still less@
@nondimento@|@however (benchè- comunque- per quanto- peraltro- pure- tuttavia), nevertheless (ciononostante- malgrado- nonostante- tuttavia)@
@nonostante@|@notwithstanding, in spite of, despite (ciononostante- malgrado- nondimento- tuttavia)@
@norma@|@(f- la)- norm, rule, standard, principle, instruction, direction, custom, tradition (abitudine- consueto- consuetudine- prassi- regola- uso)@
@nota@|@(f- la)- sign, mark, note, list, bill, invoice@
@notabile@|@(m- il)- notable, person of note, (adj.)- notable, noteworthy, remarkable@
