@Haitian creole@|@English@
@lakizin@|@kitchen@
@lakòl@|@glue@
@lakomun@|@city hall@
@lakou@|@yard, court@
@lakou siprèm@|@supreme court@
@lakòz@|@cause@
@lakre@|@chalk@
@lakretyente@|@Christendom@
@lalin@|@moon@
@lalwa@|@law@
@lam@|@blade@
@lamè@|@blade, mother, elderly woman used as a title@
@lame a@|@army@
@lamè a@|@sea, ocean@
@lamedsin@|@medical sciences, medicine@
@lamenm@|@on the spot, immediately@
@lamitye a@|@friendship, type of parasitic plant like sp moss@
@lamòd@|@fashion, vogue@
@lan@|@annual, in, the, slow, at the@
@lan fon lanmè a@|@in the depth of the ocean@
@lan mitan@|@in the middle of@
@lan vis@|@licentious, dissoulute, profligate@
@lanbe@|@lick@
@lanbinen@|@dawdle, dally@
@lanbisyon an@|@ambition, greed, covetousness, pretentiousness@
@lane@|@year@
@lanèj@|@snow@
@lanfè@|@hell@
@lang@|@tongue, language@
@lang alèlè@|@indiscreet mouth, indiscreet tongue, blabbermouth@
@langaj@|@language, crazy talk, unintelligible speach@
@lani an@|@anise@
@lanj gadyen@|@guardian angel@
@lanj la@|@angel@
@lanjelis la@|@angelus, dusk@
@lank@|@ink@
@lankriye a@|@inkwell@
@lanm@|@wave of the sea, blade, sword@
@lanmè@|@sea@
@lanmò@|@death@
@lanmou an@|@love, loving, sex@
@lanni an@|@anise@
@lanperè@|@Emperor@
@lanpèrè@|@Emperor@
@lanprè@|@Emperor@
@lans la@|@lance, handle, creek, bay@
@lans la@|@lance@
@lant@|@slow@
@lantèman@|@funeral@
@lantiray la@|@fence, enclosure@
@lantouray@|@fence, enclosure@
@lanuit@|@night@
@lapè@|@peace, fear@
@lapèch@|@catch@
@lapen@|@rabbit@
@lapenn@|@sorrow, grief, distress, sadness, mental pain@
@laperèz@|@fright@
@lapeti a@|@appetite@
@laplenn@|@plain, lowland@
@lapli@|@rain@
@lapli pral tonbe@|@it is going to rain@
@lapli tonbe@|@the rain fell@
@lapolis@|@police@
@lapolitès@|@politeness@
@lapòs@|@post office@
@lapoula@|@immediately, right then and there, right away@
@lapoula 2@|@right on the spot, without delay@
@laprès@|@press (news)@
@lapriyè@|@prayer, prayer meeting@
@lapryè@|@prayer@
@lapsent la@|@absinthe (a plant); type of beverage@
@lapsent la@|@a type of beverage@
@larezon@|@reason, motive@
@lari@|@street@
@lari a blanch@|@the street is empty@
@larotè@|@height, high place@
@larout@|@road, way, trip, track, route@
@larouze@|@dew@
@lasajès@|@wisdom@
@lasante@|@health@
@lase@|@lace@
@lasosyete@|@society@
@lasoup@|@soup@
@latchak@|@a disease of chickens@
@latè@|@earth@
@latè a@|@earth, land, soil, ground, estate@
@Laten@|@Latin@
@laterè@|@terror@
@lavalas@|@torrential rain@
@lavaltay@|@servant, domestic, worthless person@
@lavant@|@sale@
@lave@|@wash@
@laverite@|@truth@
@lavi@|@life, sight, view@
@lavi di@|@hard time, hard life@
@laviktwa@|@victory@
@lavil@|@town, downtown, city@
@lavni@|@the future, destiny@
@lavyeyès@|@old age@
@lay@|@garlic@
@le@|@on, the (definite articles to indicate dates)@
@lè@|@when, at the time when@
@lè (when)@|@time@
@lè a@|@time (hour, moment), air, appearance, musical tune@
@lè a rive@|@the time has come@
@lè konsa@|@at those times, by now@
@lè li te rive@|@when he arrived@
@le maten@|@every morning@
@le matin@|@in the morning@
@lè mo@|@the dead@
@lè mò@|@the dead@
@le pa fe ni de ni twa@|@without further ado, without doing anything else@
@le pli vit ke posib@|@as soon as possible@
@lè sa a@|@at that time, then@
@lè sen@|@the saints@
@lè solèy la frèt@|@In the evening when it is cool@
@le swa@|@in the evening@
@lèd@|@ugly, hideous@
@lèd la@|@aid, help, relief, helper@
@ledikasyon an@|@instruction, education, manners, upbringing@
@ledwa@|@law@
@Ledyab@|@Devil, the devil@
@lefètke@|@the fact that, due to the fact, because@
@legal@|@just, legal@
@legal rezidan@|@legal resident@
@legim@|@vegetable, produce@
@legliz@|@church@
@lejand@|@caption@
@leje (adj)@|@light@
@lekèl segondè@|@high school@
@lekòl@|@school@
@lekòl de medsin@|@medical school@
@lekòl la@|@school, college, school building, class@
@lekòl militè@|@Military acadamy@
@lèkonsa@|@at those times, by now@
@lekontrè@|@the opposite@
@lemal@|@evil, harm@
@lemoman@|@at the moment when, the time for that@
@lemonn@|@world@
@lemonnantye@|@worldwide, the whole world@
@lendi@|@Monday@
@lenkyetid@|@anxiety, concern, restlessness, worry@
@lenmi@|@enemy, foe@
@lenn@|@quilt, linen, wool@
@lentansyon@|@intent@
@lepase@|@past@
@lès@|@east@
@lese@|@leave@
@lesiv@|@wash@
@leson@|@lesson@
@lesovè@|@savior@
@lespir@|@spirit@
@lespri@|@mind, spirit, ghost, intelligence@
@lèspri@|@intelligence@
@lespwa@|@hope, trust@
@lèst@|@agile@
@leswa@|@at night@
@lèt@|@milk, sap, letter to mail, letter of the alphabet@
@lèt apòy@|@last milk taken from a cow during milking@
@lèt bèf@|@cows milk@
@lèt kaye@|@curdled milk@
@lèt kokoye@|@coconut milk@
@lèt kondanse@|@condensed milk@
@lèt la@|@letter of the alphabet or a written message@
@lèt metsiyen@|@latex sap from metsiyen tree used as laxative@
@leta a@|@government authority, official of the state@
@leta sivil@|@bureau of vital statistics@
@letajè a@|@shelf@
@letan@|@pond, lake, pool@
@letan sèl@|@salt lake@
@lete@|@summer@
@leten@|@tin@
@letikèt@|@sticker, label, ticket@
@lètkaye@|@curd@
@leton@|@brass@
@lèv@|@lip@
@levanjil@|@evangel@
@leve@|@get up, raise, lift, protrude, wake up@
@leve a tè a@|@Stand up@
@leve kanpe@|@rise, rose, stood up@
@leven@|@yeast@
@levènman@|@a rare event, happening, calamity@
@lèz@|@ease@
@leza@|@lizard@
@lezanj@|@angel@
@leze@|@light(weight)@
@lèzòm@|@mankind, men, human, humans, man, world@
@lezòt@|@other, else, next@
@li@|@read, she, her, he, it@
@li akrèk pou fanm@|@he is always going after women@
@li an ve@|@he has made a vow@
@Li bay fi a priyè pou l sa bon@|@he sweet talked the girl in order to seduce her@
@li byen aji@|@he acted well@
@li foule pye'l@|@he sprained his foot@
@li gen bouch alèlè@|@he is a blabbermouth, he can not keep a secret@
@li gen lè l@|@he has his times@
@li gen move jan@|@he has a bad temper@
@li gen pou fèt@|@it must or will be done, it will surely happen@
@li gen vizit@|@he has a visitor@
@li gro lontan pase ou@|@he is much bigger than you@
@li lè li tan@|@it is high time@
@li mal aji ak mwen@|@he did not act properly with me@
@li menm menm@|@as for him@
@li pa di mwik@|@he did not open his mouth, he did not say anything@
@li pa fe ni de ni twa@|@he lost no time, he went straight ahead@
@li pa ri@|@he does not laugh@
@li pa se@|@he didn't say a word@
@li pase pa l@|@he or she went through tough times@
@li pretann di@|@he says (that is his version)@
@li rann tèt li@|@he surrendered himself@
@li se doktè@|@He is a doctor.@
@li se wa mantè@|@he is the king of liars@
@li ta ye@|@it would be@
@li te fèk fet@|@he was just born@
@lib@|@free@
@liberal@|@broad@
@liberasyon@|@release@
@libere@|@release@
@libète@|@liberty, freedom@
@lide@|@idea, leader, mind, opinion, purpose, instinct@
@lide 2@|@intention, intuition, come to ones mind, occur to@
@likè@|@when, liqeur@
@likid@|@fluid, liquid@
@limanite@|@mankind@
@limen@|@light@
@limen@|@on@
@limenm@|@himself, herself, itself@
@li-menm@|@herself, itself@
@limit@|@extent@
@limite@|@limit@
@limyè@|@light, guiding light, flash@
@limyè bouji@|@candlelight@
@limyè chandèl@|@candlelight@
@lin@|@moon, menstruation, menstrual period@
@linèt@|@eyeglasses@
@linivè@|@universe, the universe@
@liny@|@trip@
@lis@|@smooth, polished@
@lis la@|@list, register@
@lisans@|@permit@
@lisid@|@lucid, sane@
@listwa@|@tale, story, fable, history, account@
@lit@|@struggle@
@lite@|@struggle, wrestle@
@literati@|@literature@
@liv@|@manual@
@liv@|@book@
@liv sa a fe moun ri anpil@|@this book is very funny@
@livè@|@book, winter@
@liy@|@line, lane@
@liy dwat@|@straight line@
@liyaplon@|@plumb line@
@lizib@|@legible@
@lizin@|@factory@
@lizyè@|@border, hedge@
@lò@|@when, at the time when@
@lo a@|@pile, batch, lot, prize@
@lò a@|@gold@
@lobèy@|@commotion, unrest@
@lòbèy@|@commotion, unrest, fuss, rowdy@
@lòd@|@commend, order@
@lodas@|@daring, boldness, audacity@
@lòdè@|@odor@
@lodyans@|@jokes, chatting, chit chat, talk, conversation@
@lodyans 2@|@stories whether true or not@
@lofis@|@scullery, supply room, pantry, cabinet, office@
@lògèy@|@pride, anger, arrogance, conceit@
@lokal@|@local@
@lokalize@|@locate@
@lokatè@|@tenant@
@lokipasyon@|@occupation, work, business, job@
@lòlàj@|@clock@
@lòm@|@mankind, men@
@lomisyon@|@errand@
@lon@|@long@
@lon tan@|@a long time@
@lonbraj@|@shadow, shade@
@lonè@|@honor@
@long@|@long@
@longè@|@length@
@lonje@|@hold out, stretch out, to lengthen, to reach@
@lonje algo bay@|@to hand, to pass@
@lonje dwèt sou@|@to point a finger at@
@lonje dyòl@|@to pout@
@lonje kò@|@to stretch out, to lounge@
@lonje l ban m@|@pass it to me@
@lonnè@|@honor (can be greeting, answer respè)@
@lontan@|@a long time, for a long time, long, long ago@
@lontan 2@|@a longtime ago, much, by a long shot, by far@
@loraj@|@storm@
@loray@|@thunder@
@loseyan@|@ocean, sea@
@lòt@|@other, else, next, other one, others@
@lòt 2@|@Youn lòt, each other, one another@
@lòt bò dlo@|@on the other side of the ocean (sea)@
@lòt kote@|@elsewhere, somewhere else@
@lòt moun@|@other persons, others@
@lota@|@spot on the skin, skin sickness@
@lòtbò@|@beyond, yonder, over there@
@lòtbò dlo@|@abroad@
@lote@|@allot, divide into lots, piles@
@lotè@|@cause, reason@
@lotèl@|@hotel@
@lotèl la@|@altar@
@lotòn@|@autumn@
@lòtrejou@|@the other day, recently@
@lotri@|@lottery, raffle@
@lou@|@heavy, loud, hard, wold, corpulent@
@louch@|@ladle@
@louch la@|@dipper@
@louchèt la@|@spade, divel bar@
@loudo@|@slow poke, straggler, lazy@
@lougal@|@a little bit, something, a little leeway@
@lougarou@|@werewolf, devil, sorcerer@
@louk la@|@swelling@
@loulou@|@a delight, tasty@
@loulou a@|@body worm, tape worm@
@loulout@|@a delight, tasty@
@louvri@|@open@
@louwanj@|@praise, praiseworthy@
@luil@|@oil@
@luile@|@oil@
@lwa@|@law, god@
@lwanj la@|@praise@
@lwanje@|@to praise@
@lwanjè@|@boastful@
@lwaye@|@rent, lease, the price of a room, hire@
@lwazi@|@leisure@
@lwe@|@rent, to let, to lease, to freight@
@lwe (v)@|@lease@
@lwen@|@remote, away, aloof, far, far off, far away@
@lwen 2@|@away from base, absentmindedly@
@lwen ak isit@|@far from here@
@lwès@|@west@
@lwijanboje@|@quarrelsome person, dictatorial, self-centered@
@lwil satan@|@booze, alcoholic beverages@
@lyan@|@resilient, pliable, flexible@
@lyas@|@bundle@
@lye a@|@league (4 kilometers), place@
@lyèj la@|@cork@
@lyen@|@link@
@lyezon@|@affair@
@lyon@|@lion@
@m@|@mwen, I, me@
@m a etale ou@|@I will knock you down, I will floor you@
@m a pase wè ou a midi@|@I will stop by to see you at noon@
@m ale@|@I am going, goodbye@
@m ap ba ou sa sou de chèz@|@I will give you that with ease, in a jiffy@
@m ap blende wawa ou@|@I am going to fix you@
@m ap chante@|@I am singing@
@m ap fè acha@|@I am shopping@
@m ap tchatcha@|@I am getting along@
@m ap wè w@|@I will see you@
@m ape chante@|@I am singing@
@m atann mwen a sa@|@I expect that@
@M byen kontan@|@I am very happy@
@m fe ou ponn@|@I socked it to you, I got you@
@m fe pou@|@I have done for@
@m fèk di sa@|@I just said that@
@m gan@|@I have@
@m gen youn@|@I have one@
@m gran pasa ou@|@i am older than you@
@m konprann ka yo@|@I understand their situation.@
@m kont sa@|@I object to that, I am opposed to that@
@m krache twa fwa@|@I spit three times, to swear off or abstain from@
@m pa gen je m@|@I do not have my glasses. I can not read.@
@m pa konn dlo@|@I cannot swim.@
@m pa vle wè l de pa@|@I do not desire to see him at all.@
@m pè fredi@|@I am sensitive to cold@
@M plase lajan m alentere laban@|@I deposit my money in the bank@
@m priye ou an gras@|@I beg of you@
@m resi fini ak lekòl sa a@|@I finally finished school.@
@m reveye trò bonè@|@I woke up too early.@
@m sou kont ou@|@I rely on you, am your responsibility, in ur hands@
@ma chè sè@|@my dear sister (nun)@
@ma dlo@|@puddle, pond, stagnant water@
@mach@|@step@
@machandaj@|@bargaining@
@machande@|@bargain@
@machande@|@haggle@
@machann dlo@|@water carrier, water vender@
@mache@|@function@
@machè@|@step, my dear@
@mache 2@|@work (to function), walk, chew, market@
@mache ansanm@|@to match, to walk together@
@mache bwete@|@walk with a limp@
@mache opa@|@to be in step@
@mache prese@|@to walk hurridly@
@machin@|@engine, car, machine, vehicle@
@machwa@|@jaw@
@machwè@|@snout@
@madanm@|@wife, lady, woman@
@madi@|@Tuesday@
@madjigridji@|@scribble@
@magazen@|@shop, store@
@magouy@|@enigma@
@magouyè@|@lucre@
@majik@|@magic@
@majistra@|@madistrate@
@majò@|@major@
@majore@|@overcharge@
@majorite@|@majority@
@mak@|@mark, make, feature@
@makak@|@monkey@
@make@|@mark, miss@
@makònen@|@to tie together, to tangle, entangle, lock horns@
@makònen 2@|@linked@
@makonnen@|@to tie together, to tangle, entangle, lock horns@
@mal@|@evil, harm, wrong, sick, in bad shape@
@mal 2@|@clumsy, ignorant, badly, poorly, improperly, wrong@
@mal 3@|@hurt, ache, pain, cramps, feel bad@
@mal akeyi@|@to give a bad reception to@
@mal chen@|@male dog@
@mal damou@|@love sickness@
@mal fet@|@sloppy, poorly made@
@mal la@|@male, huge, immense, very big, trunk, suitcase@
@mal la 2@|@ache, pain, sickness@
@mal; move@|@bad@
@malad@|@sick, ill, patient, sick person@
@maladi@|@disease, sickness, illness@
@maladi pwatrin@|@tuberculosis@
@maladi tonbe@|@epilepsy@
@maladrès la@|@lack of skill, awkwardness@
@maladwa@|@clumsy, awkward@
@malagòch@|@clumsy, awkward@
@maldanfan@|@labor pain, labor pains@
@maldemè@|@seasickness@
@malè@|@misfortune@
@malediksyon@|@curse@
@malen@|@cunning@
@maleng nan@|@sore, ulcer, malignant wound@
@malenge@|@afflicted with many sores@
@malere@|@poor, unfortunate, poverty stricken, unhappy@
@malere 2@|@unhappy, miserable, penniless, pauper@
@malèrèz@|@poor, wretched (female only)@
@malerezman@|@unfortunately@
@maleve@|@ill bred, ill mannered, rude, impolite, discourteo@
@malfini@|@eagle, hawk@
@malgre@|@although, despite, in spite of@
@malis@|@malice@
@malmennen@|@torture@
@malozye@|@conjunctivitis@
@maltaye@|@badly made, trade off, kont maltaye trade off@
@maltaye 2@|@fè yon kont maltaye, to make a private arrangement@
@maltèt@|@headache@
@maltrete@|@harm, mistreat, maltreat@
@maman poul@|@hen@
@mamè@|@nun, mother, sister (religious)@
@mamonnen@|@to mumble@
@manb@|@member@
@manch@|@sleeve, handle@
@manda@|@warrant@
@mande@|@request@
@mande@|@ask, beg, demand@
@mande gras@|@to ask for mercy@
@mande konsèy@|@consult@
@mande tèt ou@|@ask yourself@
@mandyan@|@beggar@
@mane lèmò@|@vodou food offering for the dead@
@mango@|@mango@
@mangousa@|@a badly dressed person@
@mangouyan@|@lame, with distorted body, ugly@
@mani@|@vice@
@manifoul@|@manifold@
@maniganse kont@|@to plot against@
@maniskri@|@manuscript@
@manje@|@aliment, meal, food, eat@
@manje a dlololo@|@that food is nothing but water@
@manje chiklet@|@chew gum@
@manje dlo@|@food that is too watery@
@manje gate@|@spoiled food@
@manje lèzanj@|@vodou ceremony for loas@
@manje midi@|@lunch@
@manje pou pote ale@|@food to carry out@
@manje vant deboutonnen@|@to eat to ones hearts content, eat plenty@
@manje wawa@|@to beset, to affect@
@mank@|@lack@
@manke (v)@|@lack@
@manke kenbe (almost catch)@|@almost@
@mànken an@|@model, dummy, plastic manikin, mannequin@
@manm@|@member, limb@
@manman@|@moth@
@manman an@|@mother, mama, parent, female@
@manman bèf@|@cow@
@manman bourik@|@she-ass@
@manman chat@|@pussy cat, female thief@
@manman chen@|@female dog, bitch@
@manman kabrit@|@nanny goat@
@manman kochon@|@sow@
@manman lajan@|@the principal, main portion, bulk@
@manman pans@|@stomach of a ruminant@
@manman pitit@|@mother@
@manman poul@|@hen, huge, immense@
@mannken@|@puppet@
@mansyo@|@mansion@
@mansyone@|@mention@
@mant@|@mint@
@mantal@|@mental@
@manti@|@lie, false, fib@
@mantlè@|@liar@
@manto@|@coat@
@manto fouri@|@fur coat@
@manton@|@chin@
@manyak@|@captious@
@manyèl@|@manual@
@manyen@|@touch@
@manyen (v)@|@handle@
@manyifik@|@magnificent@
@mare@|@weave, bind, clench, tie, unite, chained, fasten@
@mare 2@|@tighten, tie down@
@mare min@|@frown@
@marekaj@|@marsh@
@mari@|@husband@
@maron@|@brown@
@maryaj@|@union, wedding, marriage@
@marye@|@couple, marry@
@mas@|@lump, mass, March@
@masaje@|@rub@
@mask@|@cloak@
@mat@|@dull@
@matant@|@aunt, auntie@
@match@|@match@
@matche@|@match@
@matematik@|@mathematics@
@maten@|@morning@
@matènite@|@maternity@
@materyèl@|@material@
@materyo@|@material@
@Matia@|@Martinique@
@matlo@|@mate@
@mato@|@hammer@
@maton@|@adroit, become proficient, skilled, fluent@
@matoral la@|@prairie@
@matris la@|@womb@
@matyè@|@material, matter@
@matyè a@|@matter, purulent matter, fecal matter@
@may la@|@link in a chain@
@mayèt la@|@mallet, clout, blow, authority, power@
@mayèt la 2@|@the matter@
@mayetizè a@|@hypnotist@
@mayi@|@maize, corn@
@mayi a@|@corn, maiz@
@mayi a pa pouse@|@the corn did not grow@
@mayi diven@|@violet colored corn@
@mayi moulen@|@ground corn, cornmeal, mush, polenta@
@mayi ole@|@fresh tender corn@
@mayilò a@|@game in which a child pivots around@
@mayizena@|@corn flour@
@maylo@|@game in which a child pivots around@
@mayo a@|@teeshirt, jersey, sweater, polo shirt, swimsuit@
@mayo a 2@|@a special shirt worn to conteract a magic spell@
@mayodben an@|@swimsuit, bathing suit@
@mayonèz la@|@mayonnaise@
@mayoyo a@|@stupid ass, dumbell, who cant see beyond his nose@
@mayoyo egare@|@a bewildered fool@
@mazenga a@|@peasants work bee@
@mazèt@|@awkward person, novice, unskilled, one who misses@
@mazi a@|@hovel, shanty@
@mazonbèl la@|@type of root vegetable@
@mazonnen@|@to deceive@
@mazora@|@persons with no front teeth, ugly person@
@me@|@May@
@mè a@|@nun, mother, sister (religious)@
@mèb@|@furniture@
@mèb la@|@furniture@
@meble@|@to furnish@
@mèch la@|@wick, lock of hair, drill bit, drill@
@mechan@|@wicked, bad, evil, cruel, mean, ruthless, vicious@
@mechan 2@|@furious, ungodly@
@mechanste a@|@naughtiness, wickedness, something wicked, cruel@
@mechanste a 2@|@cruelty, violence, wickedness, nastiness, malice@
@medam@|@ladies, women@
@medanm (pl.)@|@woman@
@meday la@|@medal@
@medaye@|@to award a medal@
@medi@|@to speak evil of@
@medikal@|@medical@
@medikaman an@|@medicine, remedy prepared in drugstore, medicament@
@medizan@|@slanderer, slanderous person, backbiting@
@medizans la@|@slander, calumny@
@medsin@|@medical sciences, medicine@
@medsiyen an@|@castor oil plant@
@medyòm nan@|@spirit medium@
@mefyan@|@distrustful, mistrustful@
@mefyans@|@mistrust@
@mefye@|@beware, mistrust, to be suspicious of@
@mèg@|@thin, skinny, lean, emaciated, meager@
@mèg kon kas@|@thin as a leaf@
@mèg kon taso@|@thin as a leaf@
@megri@|@to become thin, lean, meager, to lose weight@
@mèji@|@mercury@
@mekanik la@|@mechanics@
@mekanisyen an@|@mechanic@
@mèkirokòm nan@|@mercurochrome@
@mekontan@|@displeased, dissatisfied, unhappy, malcontent@
@mekontantman@|@discontent, dissatisfaction@
@mekontantnan an@|@dissatisfaction@
@mèkredi@|@Wednesday@
@mèkredi lèsann@|@Ash Wednesday@
@mekreyan@|@unbeliever, atheist@
@mèl@|@variant of mele (Ki mèl mwen? I don't care)@
@mèl la@|@whetstone, grindstone, blackbird@
@melanj@|@mix@
@melanj la@|@mix, blend, mixture@
@melanje@|@mix, entangle@
@mele@|@ravel, mixed up, confused, tangle, entangle@
@meli melo@|@fuss@
@mèmman@|@equally, same@
@memwa a@|@memory@
@men@|@however, here, but, hand, behold, act, yet, still@
@men 2@|@get going, and yet, here is, here are, look here@
@men 3@|@and@
@men dwat@|@right hand@
@men n@|@our hands, your hands@
@men wi@|@of course@
@menaj kay@|@house chores@
@menas@|@menace, threat@
@menase@|@threaten@
@menm@|@the same, as much as, as little as@
@menm@|@alike, same, identical, exact, self same, very@
@menm@|@even@
@menm 2@|@precisely, as for, at all, even, just like@
@menm ak@|@as, as much as, as little as@
@menm fòs@|@as much as, as little as@
@menm jan@|@in the same manner, in the same way or fashion@
@menm kantite@|@as much as, as little as@
@menm mezi@|@as much as, as little as@
@menm si@|@even if@
@menm valè@|@as much as, as little as@
@menmen@|@enormous@
@menmman@|@equally, same@
@menmman parèyman@|@it is the same thing, likewise@
@menmsi@|@even if@
@menmwa@|@memory@
@mennen@|@bring, to lead, to take away@
@menòt@|@handcuffs@
@mens@|@slim@
@mentni@|@maintain, argue@
@mepri@|@contempt@
@meprize@|@scorn@
@meriken an@|@American@
@merit@|@merit@
@merite@|@worthy, merit, deserve@
@mesaj@|@message@
@mèsi chen@|@said to someone who forgets to say thank you@
@mesiyen@|@castor oil plant@
@mesye@|@man@
@met@|@contraction meaning mete, to put, wear@
@mèt@|@owner, master, teacher, title of respect, meter@
@mèt 2@|@to be able, to be allowed@
@mèt a koulis@|@tape measure@
@met atè@|@to give birth, put something on the ground@
@mèt boutik la@|@shop owner, store keeper@
@met dlo nan diven@|@put water in wine, calm down, simmer down, relax@
@met fanm sou ou@|@be courageous, be brave, toughen up female@
@met gason sou ou@|@toughen up  speaking to a man@
@mèt kay@|@landlord@
@mèt kay la@|@host, owner@
@mèt kont@|@professional storyteller@
@met nan tèt@|@bear in mind@
@met pran@|@may take@
@mèt tè@|@landowner@
@mètakoulis@|@tape measure@
@mètdam@|@sly, crafty, sharp, trickster@
@mete@|@to wear, get down, put, place, insert, put on@
@mete 2@|@act as, to make, set, to begin, to start to@
@mete a tè@|@to bear, give birth@
@mete ak@|@to compare with@
@mete annm@|@putting the soul back into a body@
@mete ansanm@|@connect, link, join, put together, assemble, unite@
@mete avèk@|@to take sides with, associate with@
@mete avèk@|@to take sides with, to associate with@
@mete ba@|@to give birth, to bear (animals)@
@mete bab ou alatranp@|@prepare for what is coming, get ready for anything@
@mete bege@|@start to stammer@
@mete bouch@|@to meddle, add your two cents worth, opinion@
@mete dlo@|@calm down@
@mete dlo nan diven w@|@calm down, dont get excited@
@mete fren@|@to put a stop to@
@mete kap sou@|@to head toward@
@mete klou sou abse@|@to add insult to injury, to make matters worse@
@Mete klou sou abse@|@To add insult to injury, to make matters worse@
@mete kran@|@on with it, do it@
@mete ladan@|@to include@
@mete lapat sou@|@to lay hands on, to grab@
@mete lekòl@|@to put in school, to pawn, to found a school@
@mete lemetik sou lepika@|@to make matters worse@
@mete nanm sou ou@|@watch what you are doing, be alert@
@mete okouran@|@to inform, to acquaint@
@mete ola@|@to stop, put an end to@
@mete pase genyen@|@to exaggerate, to put more than there is@
@mete sou pye@|@put under way@
@mete sou sa@|@moreover, on top of that@
@mete tire@|@to open fire@
@mete vant atè pou ri@|@to double up laughing@
@metisiyen@|@castor oil plant@
@mètkay@|@host@
@metrès@|@mistress@
@mètri@|@bruise@
@metriz@|@to master, mastery of, to overpower@
@metriz tèt ou@|@self control@
@metrize@|@master@
@metye@|@trade@
@mèvèy@|@wonder@
@meyè@|@best@
@meyèt@|@a go between (adult female) btwn young ones@
@mezi@|@measure@
@mezire@|@measure@
@mezon@|@home, house, brothel, publisher@
@mezon retrèt@|@nursing home, retirement home@
@mi@|@mature, ripe, wall@
@michan@|@wicked, bad, evil, cruel, mean, ruthless, vicious@
@michan 2@|@furious, ungodly@
@midi@|@noon@
@midi pat ko sonnen@|@it was not yet noon, pat ko past tense of poko@
@mijote@|@smoulder@
@mil@|@thousand@
@milisyen@|@militia man@
@milpat la@|@millipede, centipede@
@milpye a@|@millipede, centipede@
@milyon@|@million@
@milyon ven@|@a very large quantity@
@min@|@mine@
@minè@|@minor@
@minit@|@minute@
@minrè@|@ore@
@mirak@|@miracle@
@mis@|@nurse@
@misk@|@brawn@
@miskle@|@brawny@
@mistik@|@mysterious@
@misye@|@sir, gentleman, master, husband, mister, Mr@
@misyon@|@mission, assignment, task@
@misyonè@|@missionary@
@mitan@|@heart, middle@
@miwa@|@mirror@
@miwate@|@gleam@
@miyò@|@best@
@mizè@|@misery, wretch@
@mizerab@|@wretched@
@mizèrikòd@|@mercy, interjection My God!@
@mizik@|@music, tune@
@mo@|@pain, ache@
@mò@|@evil spirit, death spell, numb, dead in marbles@
@mo a@|@word@
@mò a@|@death, dead person, corpse, cadaver, bridle, bit@
@mòde@|@to bite, sting, or sa mòde, it was successful@
@modèl@|@pattern@
@modele@|@pattern@
@modere@|@moderate@
@modès@|@humble@
@modi@|@curse, damn@
@modil@|@model@
@mòflè@|@exhaust@
@moke@|@mock@
@mòksis@|@sullen@
@moldan@|@toothache@
@moleste@|@molest@
@moman@|@moment@
@moman (n)@|@instant@
@moman an@|@moment, instant@
@mòn@|@hill, mount, mountain@
@mon chè@|@my friend@
@mon chè ou fri@|@my friend, your goose is cooked@
@monchè@|@my dear@
@monn@|@world@
@monn nan@|@the world@
@monnen@|@change, coin, money@
@monnonk@|@uncle@
@mons@|@monster@
@monsenyè@|@archbishop@
@mont@|@watch@
@montan@|@proceeds, amount@
@montay@|@mountain@
@monte@|@ascent, ascend, erect, go up, ride, lift, sew@
@monte 2@|@to go up, get up, assemble, confer magic pwrs@
@monte abò@|@to go aboard, on board@
@monte grad@|@promote@
@monte paten@|@skate@
@monte Pyè kont Pòl@|@to incite Peter against Paul@
@monte volim nan@|@raise the volume@
@montre@|@instruct, point, index, teach, impart, show, prove@
@montre@|@show@
@moso@|@part, piece@
@motè@|@motor, engine@
@mou@|@soft@
@mouch@|@fly@
@mouche@|@blow@
@mouchwa@|@handkerchief@
@moulen@|@grind, mill, chew, grinder@
@moumou@|@bathrobe@
@moun@|@human, people, person, man@
@moun anbetan@|@people who tease, sprite, elf, leprechaun, goblin@
@moun andeyò@|@peasant@
@moun fou@|@lunatic, crazy people@
@moun ki gen@|@people with@
@moun ki gen@|@person, people, or individuals with@
@moun ki gen 2@|@those who have@
@moun lespri@|@wise, intelligent, educated person, clever people@
@moun mòn@|@hillbilly@
@moun pòv@|@poor folks@
@moun rich@|@a rich person@
@moun rouj@|@light skinned person, mulatto@
@moun tout laj@|@people of all ages@
@moun vini@|@a newcomer, stranger, foreigner@
@mouri@|@die, dead, deaden@
@mouri frèt@|@to die suddenly@
@mouri grangou@|@starve@
@mouri ront@|@to die of shame@
@moustach@|@moustache@
@moute@|@to go up, get up, climb, ascend, step up, to build@
@moute 2@|@to ride, assemble, sew, to raise, put together@
@mouton@|@mutton, lamb, sheep@
@moutre@|@instruct, point, index, teach, impart, show@
@mouvman@|@motion@
@mouye@|@wet, moist, humid, damp@
@mouye an tranp@|@soaking wet@
@mov@|@purple, mauve@
@mòv@|@purple, mauve@
@move@|@evil, wrong, bad, wicked, angry, dirty, mean@
@move@|@mean, bad, wicked, angry, very angry, quite upset@
@move 2@|@terrible, underhanded, treacherous, moody@
@move akèy@|@to receive a poor reception, unwelcome@
@move je@|@scoundrel@
@move lèy@|@evil eye@
@move mès@|@bad manners@
@move moun@|@treacherous person, sorcerer, werewolf@
@move tan@|@bad weather, storm, hard times@
@move trafik@|@machinations, underhanded schemes@
