@English@|@Q'anjob'al@
@nest@|@wayub'@
@net@|@txim@
@new@|@ak', tolto', yak'il@
@newborn baby@|@ak'is unin, ak'ixh unin@
@next@|@xew tu@
@next to@|@sk'atan@
@next year@|@junab'@
@night@|@aq'b'al, aq'b'alil, aq'walil, a'walil, noche@
@nine@|@b'aloneb, b'aloneb', b'aluneb'@
@nineteen@|@b'alonlajuneb'@
@nipple@|@sjolom imej@
@nit@|@sa uk'@
@nixtamal@|@b'utx@
@nixtamal metate@|@ka'@
@nixtamal of corn that is beginning to mature@|@ajan b'utx@
@no@|@k'am, k'amaq, k'aq, maj, toq@
@no change (Our neighbor is still very sick there has been no change)@|@ak'ala'@
@no there isn't any@|@k'am@
@nose@|@txam, txamej@
@nosy (Maria is very nosy)@|@ab'om yet@
@not@|@k'am@
@notebook@|@un, unej@
@nothing@|@k'am tzet, k'amtzet@
@notice@|@ab'ix@
@noun classifier for plants and clothing and liquor (An spichil naq unin  'The boy's clothes' literally 'The clothes his boy')@|@an@
@numeric classifier denoting a piece of something able to be separated into sections like the piece of cane between two knots@|@xiqan@
@numeric classifier for a pinch of something like a pinch of salt@|@b'utan@
@numeric classifier for animals@|@-k'on@
@numeric classifier for half of something like half an orange@|@q'axep@
@numeric classifier for people@|@-wan@
@numeric classifier for things@|@-eb'@
@numeric classifier for use in measuring a piece of something@|@lisan@
@numeric classifier meaning a thin sliver of something@|@jasan@
@numeric classifier used in measurements for items that are long@|@jab'an@
@numerical classifier meaning one unit (jun k'otan keneya one banana)@|@k'otan@
@nursed (a baby at the breast)@|@maxstz'ub'u'@
@oak@|@ji, k'olol@
@object used to stand on in order to reach something (such as a step-stool or chair etc)@|@alub'ej@
@obligatory (He is obligated to come)@|@yowalil@
@obligatory classifier that indicates respect and is used with an older woman or one in a superior position or for natural elements that are considered to be related to the woman or a person's superiors@|@xal, xala@
@observed it@|@maxyila'@
@obstructed@|@max sten ek'oq@
@occult@|@ewantaq, ewantaqil@
@occurs@|@yeloloq@
@ocellated turkey@|@skultaqil ak'atx@
@odor@|@jab'@
@old@|@icham@
@old house@|@icham na@
@old man@|@icham winaq@
@old religion@|@kostunbre@
@old woman@|@ixnam@
@older adult male@|@cham@
@older woman@|@xal@
@oldest brother (literally first brother)@|@b'abel winaq nuhej@
@oldest sister (literally first sister)@|@b'ab'el ix huhej@
@on@|@yib'an@
@on its side@|@tz'eyan@
@on the other side@|@jun xa pak'@
@on the quiet@|@ewan@
@on the right@|@b'ay kowatx'@
@on top of@|@yib'an@
@on you all@|@heyib'an@
@one@|@jun, ya mi maktxel@
@one-hundred-twenty (six times twenty)@|@waqk'al@
@one day@|@k'u@
@one hundred (five times twenty)@|@hok'al@
@one more@|@junoq xa@
@one night@|@jun aq'wal@
@one or more people or things (indeterminate)@|@ya mi maktxel@
@only@|@asan@
@only two@|@kab'nej@
@open@|@jaqan@
@open-mouthed@|@jaqan sti'@
@open wound@|@yax q'ayil@
@opened it@|@max jaqchaji@
@opossum@|@utxum@
@or@|@mi@
@or (A ix Malin ma a ix Mikin - It is Malin or it is Mikin)@|@ma@
@orange (fruit - te china 'the orange')@|@china@
@ordinary hunger@|@wajil@
@orphan@|@meb'a', meb'ixh@
@other@|@junoq xa, junxa@
@our@|@j-, ko, ko-@
@our backpack (back pack belongs to the speaker and the listener as well as to others)@|@kopa heq@
@our backpack (backpack belonging to the speaker and others but not to the one spoken to)@|@kopa hon@
@our backpack (yours and mine)@|@kopa@
@our clothes@|@kopichil@
@our cornfield@|@jawal@
@our father (dual - mine and yours)@|@komam@
@our father (exclusive - ours but not yours)@|@komam hon@
@our father (inclusive - ours and yours)@|@koman heq@
@our father cloud@|@komam asun@
@our Father God (often said of the sun)@|@komam Dyos@
@our father sun@|@cham komam k'u@
@Our father sun is out (The sun is shining)@|@Max ajol cham komam k'u@
@our father wind (or air)@|@komam kaq'eq@
@our fathers@|@komam kotxutx@
@Our God@|@Cham Komandihos@
@our grandparents@|@a heb' jixhmam tu@
@our land (land belonging to the speaker and others but not to the one spoken to)@|@kotx'otx' hon@
@our land (land that belongs to the speaker the one spoken to and others)@|@kotx'otx' heq@
@our land (yours and mine)@|@kotx'otx'@
@our mother moon@|@xal kotxutx xajaw@
@our parents@|@a heb' komam tu@
@our parents (literally -komam 'our father' kotxutx 'our mother')@|@komam kotxutx@
@ours@|@he-, j-, ko-@
@ours (everyones - when used with a stative verb)@|@honeq@
@ours (not including the person spoken to - this is used with stative verbs)@|@honon@
@ourselves (ourselves not including the one spoken to - b'a plus a person from Set A indicates that the person who does tha action is the one who suffers the effects of that action so - we did it to ourselves)@|@kob'a hon@
@ourselves (you and I - b'a plus a person from Set A indicates that the person who does the action is the one who suffers the effects of that action so - we did it to ourselves)@|@kob'a@
@ourselves (you and I and others - b'a plus a person from Set A indicates that the person who does the action is the one who suffers the effects of that action so - we did it to ourselves)@|@kob'a heq@
@out (as a preposition)@|@yin@
@out of control@|@somk'ulal, wajk'ulal@
@outer layer that surrounds eggs and fruits etc@|@tz'umalej@
@over there@|@kaytu'@
@owl@|@tonton@
@owned it@|@max'ejek' yetoq@
@owner@|@aj'et, yajawil@
@owner of the land@|@ajtx'otx'@
@page@|@xaq un@
@paid attention to it@|@maxyab'ekoq@
@pain (Ya' hinka' literally is My molar aches or I have a toothache)@|@ya'@
@painted it@|@max sb'ono'@
@pair@|@mojan@
@palm-tree@|@aqak'@
@palm (tree)@|@xan@
@palm of the hand@|@yul q'ab', yul q'ab'ej@
@pan or tray (especially one made of wood that is painted and adorned with straw)@|@jukub'@
@pants@|@wex, wexej@
@pants (of ladinos)@|@wexej@
@paper@|@hun, tx'an unej, un, unej@
@papers or birds that fly in the air@|@jeneni@
@parakeet@|@ch'el@
@pardon@|@mimank'ulal@
@parents@|@mamej txutxej@
@parents (of a family)@|@mamej txutxej@
@part of the body that has been hit or kicked@|@t'isan xak'al yeji@
@participant in an activity@|@wajanoq@
@particle of exhortation (wayan wal is a way of requesting or commanding that someone go to sleep)@|@wal@
@particle of negation (used with incomplete actions and imperitive verbs) that negates the action that follows (K'am k'al hab' chta'wi 'He or she isn't answering' - K'am cha man jun txutx kaxhlan te' 'Don't buy a hen')@|@k'am@
@particle of negation for a stative  (Man ya'oj ay no' tx'i' - The dog is not sick) or a verb in the potential time aspect (Man hoj sman kaxhlan ix q'opo - The woman will not buy the hen)@|@man@
@particle of negation for actions that would have been completed or would have taken place in the future@|@maj@
@particle of negation for imperitive verbs (Manchaj haman jun no' txutxe kaxhlan - Don't buy a hen)@|@manchaj@
@particle of negation that indicates a negative answer (K'amaj manaj naj unin 'No this isn't the boy' - Maxach b'et mulnajil? K'amaq 'Did you go to work? No)@|@k'amaq@
@particle of negation to indicate a negative answer to a question@|@k'aq@
@particle of negation tumi with the required emphatic particle ja' together meaning 'is that not' or 'it isn't'@|@tumi ja'@
@particle that can mean 'but' in a sentence@|@asan@
@particle that can mean 'but' or 'but it' in a sentence it can be understood that the main phrase of the sentence would have taken place but for the condition mentioned by the secondary phrase@|@asan tol@
@particle that can mean and in a phrase@|@axa@
@particle that functionas as a subordinator meaning 'what'@|@tol@
@particle that introduces a non-verbal predicate and functions as the object of the main clause@|@tol@
@particle that introduces an adverbial clause of reason (I stayed home because I got sick)@|@tol@
@particle that introduces the adverbial clause concerning the time something happened@|@yet@
@particle that introduces the adverbial clause of purpose explaining why the primary action took place@|@yet ka@
@particle that is used to introduce a clause that explains the purpose for which the principal action is carried out@|@axka tu, axka tu'@
@particle that is used to introduce an adverbial clause of purpose@|@kaytu@
@particle used to introduce a clause of reason or cause (The child is sleeping because he wore himself out playing)@|@yuj tol@
@party@|@q'in@
@Pascual@|@Kuwin@
@passive marker@|@-cha@
@past tense marker@|@max@
@patch@|@nip@
@paternal uncle@|@uxtaq@
@patio@|@yamaq'il@
@pay@|@toj@
@peach (te turusna 'the peach')@|@turusna@
@peak@|@sjolom witz@
@pee@|@chul, txul, txulj@
@peed@|@txuljinaq@
@peel@|@tz'umalej, yin te te', yinej@
@peeled it@|@maxsq'ol eloq@
@pencil@|@laps@
@people@|@anema, anima, anina@
@pepper@|@ich@
@peppermint@|@alawen@
@perhaps@|@amwal, amwali, yamita@
@perhaps not@|@teqan maj@
@person@|@anima, anina@
@person charged with responsibility for the Maya ceremony@|@alusel@
@person or animal in a weakened state@|@chiqan@
@person very short and fat@|@lesan yeji@
@person who causes severe physical or moral damage (usually by blows or insults) to a person or animal@|@b'ajwajwom@
@person who doesn't like to work obligate himself to do something or do anything that requires him to exert himself@|@isaj@
@person who is poorly arranged (Westaq spichay naq winaq The man is poorly dressed)@|@westaq@
@person who likes to talk@|@ajq'anej@
@person who plays the marimba@|@ajson@
@person who weaves on a loom@|@chemwajom@
@persons who harvest coffee beans by hand@|@uxwom kapey@
@Peter@|@Luhin@
@petticoat@|@chan@
@phantom@|@xib'tomb'al@
@photo@|@yechel, yechel satej@
@picked it out@|@maxsik'a'@
@piece@|@b'ijan, kucham, lisan@
@piece of paper@|@xaq un@
@pig@|@txitam@
@pigeon (fledgling)@|@yune tz'ikin@
@pigweed@|@tzes@
@piled up@|@b'ulan@
@pillar@|@oy, pilalixh@
@pillow@|@q'anej@
@pimple@|@yab'il@
@pin@|@tx'ap te'@
@pinched it@|@max yetx'a'@
@pine@|@taj@
@pine needles or straw etc that is mixed with mud to make it stronger when making adobe@|@tzihap@
@pineapple (te matzaj 'the pineapple')@|@matzaj@
@pineapple (te matzak 'the pineapple')@|@matzak@
@pitch@|@q'ol@
@pitcher@|@mok@
@place@|@aq'@
@place to do laundry@|@xojb'al@
@place to plant seeds@|@awb'al@
@place to sit something (Like a night stand where you can sit your lamp)@|@chotb'al@
@place where something can be tied (like an animal)@|@pixb'al@
@place where something can stop (like a bus stop)@|@wab'al@
@place where they cut firewood@|@si'b'al@
@plains of (hills or mountians etc)@|@yak'alil@
@plane@|@panan@
@plank@|@chemte'@
@planted it (the seed)@|@maxstz'unu'@
@planting stick (of)@|@yawb'al@
@plants@|@ak'um, ak'un@
@plate@|@sek'ej@
@play@|@saqchi@
@player (in a game)@|@saqachwom@
@plaza@|@txonb'al@
@plenty@|@yelxal@
@plural particle indicates many (heb' naq winaq kami The men who died)@|@heb'@
@pock mark@|@b'olob' tx'ak@
@point (it's point)@|@stxam@
@pointed it out@|@maxstx'oxo'@
@pole@|@te', te'ej@
@pole used for seeding@|@awb'al@
@poncho@|@txowej@
@pond@|@lian a'ej@
@poop@|@tza', tzayej@
@poor@|@meb'a'@
@poorly made or done (The student wrote the lesson poorly)@|@b'al'utb'il@
@porcupine@|@k'ix utxum@
@positional meaning lying down@|@tel@
@positional meaning seated@|@chot@
@positional root that indicates the placement or form of the object@|@tan@
@possessed it@|@max'ejek' yetoq@
@possum@|@utxum@
@pot (for cooking)@|@xij@
@potato@|@is@
@poultry lice or mites@|@latx'@
@prayer leader@|@alkal@
@prediction@|@enel@
@prefix indicating a completed action@|@x-@
@prefix that indicates a place (kayti' - here - kaytu' - there)@|@kay-@
@pregnant woman@|@yob' ix@
@preoccupied@|@wajk'ulal@
@press down@|@chemej ayoq@
@press to the ground or floor (such as stepping on something)@|@chemej ayoq@
@pressed down@|@chememi@
@pressed or mashed some parts (The people mashed the flowers when the walked through)@|@chemkiltaq@
@price@|@stojol@
@prickly pear@|@petxaq'@
@profound@|@miman yich@
@prohibited@|@awas@
@protect@|@kol@
@protected@|@max kol@
@psychologist@|@ajtxum@
@puddle@|@oyal a'ej@
@pull@|@tok'elteq@
@puma@|@koj@
@pus@|@pojow@
@push@|@tena', tenaj toq@
@pushed it@|@maxsten toq@
@put@|@aq'@
@put in@|@aktoq@
@put inside@|@aktoq@
@put it in@|@max yak toq@
@put it out@|@maxsb'utu'@
@quail@|@ub'@
@question@|@q'alneb'al, q'anleb'al@
@quetzal (Quetzals are beautiful birds with iridescent green or golden-green bodies and red bellies)@|@q'u', q'uq'@
@quickly@|@amank'uhan, yelk'ulal@
@quickly (ayman chex lowi Eat fast)@|@ayman@
@quiet (environment)@|@tz'inan@
@quite so!@|@kaytu'@
@quotative verb@|@chi@
@rabbit@|@txitx@
@rafter@|@patzab'@
@rain@|@nab'@
@rainbow@|@tz'ab'@
@raised it up@|@max yahaj toq@
@raised up@|@max 'ajwan@
@ram (sheep)@|@me@
@ran it off@|@maxyuqte'@
@rapidly@|@ayman, yelk'ulal@
@rat@|@tx'ow@
@rattle@|@tziktzik@
@rattlepod@|@tx'ab'in@
@raven@|@joj@
@raw@|@yax@
@re-seed@|@awennej@
@really@|@atoni, puro, wal yel@
@receive@|@cha@
@received it@|@max smajane', maxscha'@
@recent@|@yek@
@recently@|@yektoq@
@red@|@kaqin, kaqyin@
@red (kaq yin)@|@kaq@
@reflexive pronoun suffix (sb'a means 'himself' or 'herself' or 'itself' while hinb'a means 'myself' etc.)@|@-b'a@
@rejoiced@|@max tzaleji@
@related it@|@maxyala'@
@relational noun meaning 'inside of' (yul tx'otx xij - Inside the pot)@|@yul@
@relational noun that indicates the theme or topic@|@yib'an@
@relational noun that indicates who benefited from the action@|@b'ay@
@relational noun that indicates with whom or with what something was done@|@yetoq@
@relational noun that introduces a clause of reason and means by or because of@|@yuj@
@relational noun that introduces the patient of a transitive verb to make it intransitive (A jun ix max q oqwaj yin no tx'i' - It was a woman who shot the dog)@|@in@
@relative@|@ikannej@
@relative in-law@|@ikanej@
@remedy@|@an, anb'al, yanil@
@remembered it@|@max sna teq@
@remove the grains from something (especially the corn from the cob once it is dried)@|@k'och@
@removed the grain from it (especially the corn from the cob once it is dried)@|@maxsk'ocho'@
@requested@|@maxsq'ana'@
@rested@|@max xewi@
@resting@|@telan@
@returned it@|@max yaq' meltzajok@
@reunion@|@wajanil@
@Rhoda@|@Lotaxh@
@rice@|@aros@
@rich person@|@b'eyom@
@right@|@tojol, watx'@
@right (hand)@|@watx'q'ab'ej@
@right hand@|@watx'@
@right now@|@anani', axa tinani@
@rigid@|@kaw pitinaq@
@rind@|@tz'umalej, yinej@
@ring@|@kolq'ab', kolq'ab'ej@
@ripe@|@tanaq@
@river@|@b'eytoqb'al a'ej, elom a'ej, miman hayej@
@river rock@|@yax ch'en@
@riverside@|@sti@
@road@|@b'e@
@roasted it@|@maxsb'olo'@
@roasting ear@|@ajan@
@robbed@|@max yelq'ene'@
@robber@|@elq'om@
@rock@|@ch'enej@
@rocket@|@aj@
@rod@|@ja'@
@roll@|@b'alan@
@rolled it@|@maxsb'al toq@
@rolled it up@|@maxsb'alejoq@
@rolled up@|@b'ak'an, chulan@
@rolling hill@|@ak'al witz, witz ak'al@
@roof@|@yib'an na@
@rooster@|@mamej kaxhlan@
@root@|@xe', xe'ej, xehej@
@root word meaning closed@|@maq-@
@rope@|@tx'an, tx'anej, tx'etx@
@rope made from agave fiber@|@saq ch'ech@
@rose@|@patan@
@roses@|@roxax@
@rotten@|@q'ayil@
@round@|@setan yeji, xetan yeji@
@round (2 dimensional)@|@xoyan yaji@
@round (ball)@|@k'ololi@
@round (the pan lid is round)@|@setan yayji@
@round or oval object such as ball or egg (K'olan yeji ch'en ton The marbles we play with are round)@|@k'olan@
@round shaped (like a ball or an egg or a sphere)@|@k'olan yeji@
@rubbed it (softly)@|@maxsmasa'@
@rubber@|@tz'um@
@run@|@anej@
@rustic bag-shaped net made of vegetable fibers and used to transport fruits and other loads@|@ab'ejal@
@rustic bag-shaped net that is made from vegetable fibers (such as maguey) to transport fruits and other loads@|@pa@
@rustic bag-shaped net that is made from vegetable fibers (such as maguey) to transport fruits and other loads on the arm@|@txim pa@
@sacred@|@awas@
@sad@|@kusiltaq@
@said@|@max yala', xhi@
@sale@|@txon@
@saliva@|@tzub', tzub'eh, tzub'ej, yal tihej@
@salt@|@atz'am@
@salty@|@k'achi'@
@sample it@|@ab'lej to@
@sand@|@arena, ch'en, ch'en poq, k'aj ch'en, poq, poqoqal@
@sandal@|@xanab'ej@
@sap (as in sap from a tree)@|@yal te'@
@sapodilla plum@|@chulul@
@sash@|@k'alilej@
@saturated with mud@|@b'akan@
@sauna@|@ika@
@save@|@kolon@
@saved it@|@maxskolo', maxsk'ub'e'@
@saw it@|@max yila', maxyila'@
@say@|@chi, yala'@
@Say it slowly@|@k'ojank'ulal heyaloni@
@says@|@xhi@
@scale@|@xaq@
@scales (of fish)@|@stz'umal@
@scar@|@yechel yas@
@scare@|@xhib'@
@scare away@|@xhib'@
@scarlet@|@kaq@
@scent@|@jab'@
@scissors@|@texhelixh@
@scorpion@|@k'etz@
@scrape it@|@maxstxal toq@
@scratch@|@txala'@
@scratch it@|@maxstxal toq@
@scratched it@|@maxstxala'@
@scratched it (especially with something sharp like scratching the paint of a car)@|@maxsjitz'toq@
@scratched it (with a sharp instrument or the fingernails)@|@maxstxal toq@
@scream@|@aw@
@screech owl@|@xotx'@
@scripture@|@tz'ib'@
@scroll@|@b'alan@
@sculling oar for a canoe@|@sq'ab' jakub'@
@sculpt@|@maxsjoso'@
@sea@|@mar, najab', txutxa'@
@search@|@say@
@searched for it@|@maxsaya'@
@seated@|@chotan@
@seated on his feet@|@petzan@
@second@|@skab'@
@second person plural possessive@|@hey-@
@second person plural possessor of a noun that begins with a consonant@|@he-@
@second person singular possessive@|@h-@
@secretary@|@ajtz'ib'@
@secretly@|@ewan@
@see@|@yila'@
@see you (said to more than one person)@|@jileq@
@see you (said to one person)@|@jila@
@seed@|@inat@
@seed (for hanging fruit)@|@b'aq@
@seed (squash)@|@satxil@
@seeded it@|@maxstz'unu'@
@seedling@|@alep te', alip te'@
@selected it@|@maxsik'a'@
@sell@|@txon@
@send@|@bandar@
@separated or put away empty@|@b'es@
@set it on fire@|@max tz'a toq@
@seven@|@huqeb', uqeb'@
@seven at a time@|@uqtaq@
@seven days ago@|@uqub'ixi@
@seven little goats (this has to do with the children's story of The Wolf And Seven Little Goats)@|@motz@
@seventeen@|@huqlajuneb'@
@sew@|@tz'is@
@sewed it@|@maxstz'isa'@
@shack@|@pat@
@shade@|@enel, enelej, ewan@
@shade (shade of a tree)@|@wewan@
@shade cloth@|@patzab'@
@shade of@|@yenel@
@shade of the house@|@yenel na@
@shadow (of a person or animal)@|@enelej@
@shadow of@|@yenel@
@shame@|@k'ixwil@
@sharp@|@el@
@sharp pain@|@yatz'atz'i@
@sharpening stone@|@niqb'al@
@shaved (head)@|@t'erjolom@
@she@|@a ix@
@she already knows@|@yojtaqxa@
@she defended or protected herself@|@maxskol sb'a@
@she knows@|@yojtaq@
@she pushes you (ch- is the incomplete action marker -ach is the second person singular marker s- is the third person singular marker -ten- means to push -a' is a category suffix)@|@chach stena'@
@she says@|@xhi@
@she went@|@xtoj@
@sheep@|@kalnel@
@shell@|@yinej@
@shell (of a shellfish)@|@mich'@
@shin@|@sat penekej@
@ship@|@iqb'il@
@shoe@|@sapato, xanab'ej@
@short@|@k'otxan, kutan, letan yeji, tzapan, yal, yalixh tel@
@short and fat person@|@sit'an yeji@
@short soft hair that covers some parts of the human body@|@k'un xilej@
@shoulder@|@sjolom xik', xik'ej, xik'esj@
@shout@|@aw@
@showed it@|@mastx'oxo'@
@sick@|@ya'ay@
@sickness@|@hayayilal@
@sickness of the eyes (Ya'ay naq wune' yuj yasatej Sick my son because of sickness of the eyes)@|@ya'sat@
@sideways@|@tz'eyan@
@sifter (for nixtamal)@|@txayib'@
@sign@|@yechel, yechel@
@signal@|@yechel@
@silent (environment)@|@tz'inan@
@silk-cotton tree@|@inup@
@similar@|@lajan yoki@
@simple@|@pojil@
@sin@|@mul, mulej@
@sin (It is a sin to work during the holy week)@|@awas@
@since before@|@payxa@
@sing@|@b'it, b'itni@
@singer@|@ajb'it@
@sinner@|@ajmul@
@sir@|@icham winaq@
@sister@|@ix nuhej@
@sister (a man's sister)@|@anab', anab'ej@
@sister (of)@|@yanab'@
@sister in law (man's sister in law)@|@muhej@
@sit@|@chotan ayoq@
@six@|@waqeb'@
@sixteen@|@waqlajuneb'@
@size@|@stel@
@skin@|@tz'um, tz'umal, yin te te'@
@skin (of a human)@|@tz'umalej@
@skin (of a person)@|@tz'umal@
@skirt@|@chanej@
@skull@|@sb'aqil jolomej@
@skunk@|@pay@
@sky@|@sat kan, satkan@
@sky (when there is bad weather)@|@moyan@
@sky blue@|@yaxyin@
@sleep@|@way, wayi, wayitx@
@slept@|@max wayi, maxwayi, xwayi@
@slip@|@chan@
@sliver@|@lisan@
@slow@|@pural@
@slowly (k'ojank'ulal max oktoq cham icham The old man entered slowly)@|@k'ojan k'ulal@
@small@|@unin, yalixh@
@small child@|@yal unin@
@small cord@|@yal tx'an@
@small corn tamale@|@tx'ix@
@small hard seeds of fleshy fruits and vegetables (such as grapes apples melons or tomatoes)@|@b'aq', sachil@
@small house@|@pat@
@small monkey with a long tail@|@maltin k'oy@
@small pine@|@unin taj@
@small sapodilla plum@|@ix chulul@
@smallpox@|@b'olob' tx'ak@
@smeared it with mud@|@max b'on toq@
@smeared with something greasy@|@b'akan okoq@
@smell@|@jab', jab'il, suq'te'@
@smoke@|@mub'@
@smoke or a cloud that extends over an area and covers a specific place (like clouds or smoke blanketing the ground or a layer of smoke inside the house)@|@b'ak'an ayok@
@smoked@|@tzij@
@smoked it@|@maxstz'ub'u'@
@smooh@|@t'eb'eb'i@
@smooth@|@tutz'utz'i@
@smooth hill@|@ak'al witz, witz ak'al@
@snake@|@lab'a, lab'aj@
@snake that is resting (just lying in the sun maybe)@|@kosan@
@snake that is resting (perhaps lying in the sun)@|@koxan@
@sneeze@|@at'is, at'ixh@
@snored@|@maxjorxi yul snuq'@
@snoring sound@|@jorori@
@snot@|@txamej@
@snout or muzzle shaped@|@xeyan yeji@
@snow@|@chew@
@so@|@axka, wal, yuj tu, yuj xan@
@so be it@|@yun hoqab'i, yun hoqab'i axka tu@
@so it is@|@kaytu, kaytu'@
@so that@|@yuj@
@soap@|@xapon, xhapon@
@sociable person@|@ajq'anej@
@soft@|@b'iq, jib'an yeji, k'un@
@softened@|@k'umb'inaq@
@soil@|@tx'otx'@
@sold it@|@maxstxono'@
@soldier@|@aq'om owal@
@solid@|@kaw@
@some@|@tzan@
@some (jan no tz'ikin some birds)@|@jan@
@some (juntzan no tz'ikin 'some birds')@|@juntzan@
@some (tzan winaq iloni Those men who saw)@|@tzan@
@someone@|@ya mi maktxel@
@someone's mother in law@|@yalib'@
@someone left with their mouth open wide due to surprise or awe@|@jaqan sti'@
@someone weak that walks slowly (like an older person with bad knees)@|@k'ojank'ulal@
@something long@|@jab'an@
@something sent to a person through someone else@|@yab'en@
@something that hangs over or projects beyond something@|@b'atx@
@something that hurts@|@ya'@
@something that is very hard and cannot be chewed@|@kawk'uxinaq@
@something that makes people laugh (That act makes people laugh)@|@tzeyejtaq@
@something very hard@|@kawpitinaq@
@son@|@k'ajol, une', winaq unin@
@son (a man's son)@|@k'ajolej@
@son in law@|@nihej@
@song@|@b'it@
@soon@|@yelk'ulal@
@soot@|@ab'aq@
@sorcerer@|@ajb'al@
@sore@|@yax q'ayil@
@sour@|@paj@
@source of running water@|@snuq' ha'@
@sowing@|@awnub'@
@Spanish Bayonet (a type of yucca with sharp pointy leaves)@|@k'oyol@
@sparrow@|@tz'unun@
@spell@|@b'al@
@spent it (money)@|@max sk'ay eloq@
@spicy hot@|@ya'@
@spicy stew made with pork and hominy called pozol in Guatemala@|@k'oxox@
@spider@|@xim@
@spinal column@|@ten@
@spindle@|@petet@
@spine@|@k'ix@
@spirit (The spirit of God is with us)@|@yesalil@
@spit@|@tzub'e, tzub'ej@
@spittle@|@yal tihej@
@split@|@b'ija', jat, pojan@
@split it@|@maxsmaq' pojoq@
@split it (halved it)@|@maxspoj ayoq@
@split it (with an instrument)@|@maspoj ayoq@
@split it (with the hand)@|@maxpoj ayoq@
@spoiled it@|@maxyetne toq@
@spotted paca@|@alaw, halaw@
@spouse@|@mojan, yetb'i@
@spread it@|@max b'on toq@
@spread out on something or someone@|@chemanoq@
@spring@|@snuq' ha'@
@squab@|@yune tz'ikin@
@squash@|@k'um, mukun@
@squash or pumpkin seed@|@sachilal k'um@
@squash seed@|@sachil@
@squeeze@|@pitz'okoq@
@squeezed it out@|@maxsyatz'el yal@
@squirrel@|@kuk@
@Sr. Rodas@|@cham Lotaxh@
@stab@|@t'eq'@
@stack firewood tightly so that it occupies the least possible space@|@latz'on@
@stained by something greasy@|@b'akan okoq@
@stake@|@oy, te'@
@stalk@|@yaqan@
@stand@|@wahan ayoq@
@standing@|@lekan, tek'an, wahan, wahan okoq@
@star@|@waykan@
@state of measure@|@jib'an yeji@
@state shape or position marker@|@yeji@
@stature@|@stel@
@steel@|@ch'en@
@stem@|@yaqan@
@stench from rotting matter@|@yaq@
@stepmother@|@kab' txutxej@
@stepped on it@|@maxstek' toq@
@stick@|@te', te'ej@
@sticky@|@lak' taq@
@stiff@|@kaw pitinaq@
@stiff things that are spread out (for example a tortilla)@|@k'etxan@
@still (I still have that book you gave me)@|@to@
@stinging nettle@|@la@
@stingly@|@b'asne', b'asnej@
@stingy@|@b'as@
@stirring stick@|@chukul@
@stomach@|@k'ul, k'ulej@
@stomach ache (Ya' sk'ul naq unin yuj no' luqum literally His stomach aches boy because of worm)@|@ya'k'ul@
@stone@|@ch'en, ch'enej@
@stong pain@|@yatz'atz'i@
@stood up@|@max 'ajwan@
@stopped@|@tek'an, wa, wahan okoq@
@story@|@ab'ix, yab'ixal@
@story of@|@yab'ixal@
@straight@|@jilan, t'inan, tjol, tojol@
@straight ahead from below upward@|@akan ajteq@
@straight ahead upwards@|@akajtoq@
@strained it@|@maxstxaya'@
@stranger@|@konb'laq anima@
@straw@|@ch'im@
@street@|@b'e@
@strength@|@hep, ip@
@strip of cloth@|@lesan yeji@
@strong@|@kaw, kaw yib'@
@student@|@kuywom@
@studious@|@kuywom@
@study@|@kuyoj@
@stung him@|@maxschi'@
@stupid@|@mem@
@subordinator telling who@|@mak@
@suck@|@tz'ub'u'@
@sucked it (candy or whatever)@|@maxstz'ub'u'@
@suffered@|@maxtechaj yuj@
@suffering@|@yayilal@
@suffix added to a numeric root to indicate that the indicated elements participate in the same action or have the same characteristics or state (skank'onal means 'all four animals' - s marks possession because sumative numbers are always possessed - kan 'four' k'on is a numeric classifier for animals -al)@|@-al@
@suffix added to a positional root that makes it a positional adjective describing something that has the position indicated by the root (chotan ayoq - sitting down)@|@-an@
@suffix added to an adjective turning it into an abstract noun (k'un means 'soft' - sk'unal means 'it's softness')@|@-al@
@suffix added to derived transitive verbs (it does not change the meaning of the word)@|@-j@
@suffix added to some nouns when they are possessed@|@-al@
@suffix indicating an intransitive verb derived from a noun@|@-j, -l, -n@
@suffix indicating an intransitive verb derived from a positional@|@-ay@
@suffix indicating that something strongly has the quality of the adjective that it is attached to (saq tanenaq@|@-enaq@
@suffix indicating the antipassive of incorporation where the patient is incorporated in the verb that is made antipassive it doesn't include a relational noun and the verb agrees with the agent and implies a general or habitual action (A naq winaq xmuqwi kamnaq tx'i' - He is the man who burried dead dogs)@|@-w@
@suffix that can be used to express the desire to get something done or wish you had done something or the desire to do something in the future (choq lowi 'I hope that he or she eats')@|@-ok@
@suffix that changes a word into the person who does that type of action (mulnajil means work - mulnajwom means worker)@|@-wom@
@suffix that classifies a verb as intransitive in the incompletive and progressive aspects (Yekal hoqon jayoq - We will come tomorrow)@|@-i@
@suffix that classifies verbs as intransitive in the potential aspect@|@-oq@
@suffix that forms the causitive transitive base when added to an intransitive root (q'ayi means accustom  - max q'aytej means got accustomed to it)@|@-tze@
@suffix that indicates that (in part) something has the quality of the adjective that it is joined to (chi' means 'sweet' while chitaq means 'half sweet' and kawtaq means 'a little hard' or 'kind of hard' or 'a bit hard' or even 'a little stiff')@|@-taq@
