@Laotian@|@English@
@ຊົງໂປດເກົ້າໂປດຂະໝ່ອມ@|@permit@
@ຊົງພະສວນ@|@laugh@
@ຊົງພະນາມ@|@be named@
@ຊົງພະຣາຊດຳຣັດ@|@permit (royal)@
@ຊົງມ້າ@|@ride a horse (royal)@
@ຊົງໃບຊາ@|@make tea@
@ຊົງງົງ@|@vine@
@ຊົ້ງ@|@peninsula@
@ຊົ້ງ@|@overhang@
@ໂຊງໂລງ@|@parallel (as the horns of cattle)@
@ຊົ້ງໂລງ@|@parallel@
@ຊອງ@|@envelope@
@ຊອງ@|@box@
@ຊອງ@|@case@
@ຊອງ@|@banana leaves folded in the shape of a cone to carry flowers@
@ຊອງກອກຢາ@|@pack of cigarettes@
@ຊອງເຂົາ@|@gap@
@ຊອງເຂົາ@|@defile@
@ຊອງຢາ@|@pack of cigarettes@
@ຊອງຈົດຫມາຍ@|@envelope@
@ຊອງຈົດໝາຍ@|@envelope@
@ຊອງພູ@|@betel nut@
@ຊອງພູ@|@carrier@
@ຊອງພູ@|@conical shape@
@ຊອງແມວ@|@type of thorny bush@
@ຊອງແມວ@|@used medicinally@
@ຊອງລອງ@|@tall narrow oxcart tapering at bottom@
@ຊອງລູກປືນ@|@cartridge pouch@
@ຊອງຫນັງສື@|@envelope@
@ຊ່ອງ@|@slot@
@ຊ່ອງ@|@hold@
@ຊ່ອງ@|@opening@
@ຊ່ອງ@|@clearing@
@ຊ່ອງ@|@pre@
@ຊ່ອງກະແຈ@|@keyhole@
@ຊ່ອງຄໍ@|@pharynx@
@ຊ່ອງເຄບ@|@straite@
@ຊ່ອງທາງ@|@road@
@ຊ່ອງທາງ@|@way@
@ຊ່ອງທາງ@|@means@
@ຊ່ອງທາງ@|@propitious movement@
@ຊ້ອງ@|@wig@
@ຊ້ອງ@|@false hair for chignon transformation or switch@
@ຊ້ອງຫນ້າຊ້ອງຕາ@|@be present@
@ຊ້ອງຫນ້າຊ້ອງຕາ@|@all together@
@ຊ້ອງໜ້າຊ້ອງຕາ@|@be present@
@ຊ້ອງໜ້າຊ້ອງຕາ@|@all together@
@ເຊິ່ງ@|@strait@
@ເຊິ່ງ@|@direction@
@ເຊີງ@|@fringe@
@ເຊີງ@|@model@
@ເຊີງ@|@sort@
@ເຊີງ@|@kind@
@ເຊີງ@|@attitude@
@ເຊີງ@|@outlook@
@ເຊີງ@|@character@
@ເຊີງກັນ@|@couple@
@ເຊີງກັນ@|@breed@
@ເຊີງກັນ@|@fuck@
@ເຊີງກັນ@|@make love@
@ເຊີງຊະກອນ@|@crematory@
@ເຊີງຜ້າ@|@fringe@
@ເຊີງຜ້າ@|@border@
@ເຊີ້ງ@|@sing and dance in groups during the rocket festival and boat races@
@ເຊີ້ງນາງແມວ@|@ceremony to bring rain in which a cat in a basket is taken in procession all around the village and each household pouring water on the cat@
@ຊຽງ@|@a title given to one who served as novice@
@ຊຽງ@|@former of novice@
@ຊຽງຂວາງ@|@Xiengkhuang province in north province of Laos@
@ຊຽງໄຫມ່@|@Xiengmai province in the north of Thailand@
@ຊຽງຫມ້ຽງ@|@Xiengmieng named of Lao folk hero@
@ຊຽງໝ້ຽງ@|@Xiengmieng named of Lao folk hero@
@ເຊືອງ@|@servant@
@ເຊືອງ@|@servants@
@ເຊືອງໃຊ້@|@servant@
@ເຊືອງໃຊ້@|@minster@
@ເຊື່ອງ@|@conceal@
@ເຊື່ອງ@|@hide@
@ເຊື່ອງ@|@hide away@
@ຊວງ@|@name of large snake in the romance, sin xai@
@ຊວງ@|@sin xai@
@ຊວງ@|@name of disease caused by a worm parasite which causes barrenness in women@
@ຊວງເອິກ@|@breast@
@ຊວງເອິກ@|@chest@
@ຊວງເອິກ@|@bosom@
@ຊ່ວງ@|@race@
@ຊ່ວງ@|@complete@
@ຊ່ວງຊິງ@|@contest for@
@ຊ່ວງຊິງ@|@wrest from@
@ຊ່ວງຊິງ@|@snatch@
@ຊ່ວງໃຊ້@|@serve@
@ຊ່ວງໃຊ້@|@use@
@ຊ່ວງສັ້ນ@|@short interval@
@ຊ່ວງມ້າ@|@race horse@
@ຊ່ວງ້ຮືອ@|@race boats@
@ຊ່ວງຍາວ@|@long interval@
@ຊາຍ@|@male@
@ຊາຍ@|@man@
@ຊາຍສະກັນ@|@able-body man@
@ຊາຍໂສດ@|@single man@
@ຊາຍຊາຕຣີ@|@he-man@
@ຊາຍຊູ້@|@adulterer@
@ຊາຍຊູ້@|@boyfriend@
@ຊາຍຊູ້@|@she has husband and she still has boyfriend@
@ຊາຍຊູ້@|@kind of terrestrial plant having large leaves and red and write flowers@
@ຊາຍຍິງ@|@men and women@
@ຊາຍຝັ່ງ@|@coastline@
@ຊາຍຫາດ@|@sandy beach@
@ຊາຍຈວງ@|@medical tree@
@ຊາຍຈວງ@|@cinnamamum iners reinu@
@ຊາຍເຄືອ@|@vine@
@ຊາຍເຄືອ@|@copparis zeylanica@
@ຊາຍສົງ@|@vine whose latex is used medicinally for abrasions@
@ຊາຍສົງ@|@streptocaulon tomentosum@
@ຊາຍສະເດັນ@|@medicinal plants@
@ຊາຍຕົ້ນ@|@kind of terrestrial plant having large leaves and red and write flowers@
@ຊາຍວານ@|@bush or vine Cephalantus naucleoides@
@ຊາຍເຫີນ@|@type of plant having yellow flowers@
@ຊ້າຍ@|@left (direction)@
@ຊ້າຍສຸດ@|@extreme left@
@ຊ້າຍທາງຊ້າຍ@|@to the left@
@ຊ້າຍເບື້ອງຊ້າຍ@|@left-handed@
@ຊ້າຍແຮງຊ້າຍ@|@left-handed@
@ຊຸຍ@|@name of a sharp knife used for splitting bamboo into slivers@
@ຊຸຍເຢ@|@July@
@ຊຸ່ຍ@|@sound of wind blowing@
@ຊອຍ@|@dice@
@ຊອຍ@|@shred@
@ຊອຍ@|@shop up@
@ຊອຍ@|@cut into strips@
@ຊອຍ@|@mince@
@ຊອຍວອຍ@|@serenely@
@ຊອຍວອຍ@|@peacefully@
@ຊ່ອຍ@|@do or speak on behalf of@
@ຊ່ອຍ@|@for not pay@
@ຊ່ອຍເຫລືອ@|@help@
@ຊ່ອຍເຫລືອ@|@assist@
@ຊ່ອຍເຫຼືອ@|
@ຊ້ອຍ@|@the youngest of children@
@ຊ້ອຍ@|@the last@
@ເຊີຍ@|@spy@
@ເຊີຍ@|@prisoner of war@
@ເຊີຍ@|@liaison man@
@ເຊີຍ@|@accomplice@
@ເຊີຍ@|@the gust of wind which precedes a tempest@
@ເຊີຍກັນ@|@in connivance@
@ເຊີຍສົມ@|@fondle@
@ເຊີຍສົມ@|@caress@
@ເຊີຍສົມ@|@admire@
@ເຊີຍສົມ@|@praise@
@ເຊື່ອຍ@|@cave in@
@ເຊື່ອຍໆ@|@refreshingly as the feeling experienced from a light breeze@
@ຊວຍ@|@conical container made of banana leaves used to carry flowers, candles and incense sticks, kind of scaleless fish, adv@
@ຊວຍມື@|@artificial finger-nails worn in Lao dances@
@ຊ່ວຍ@|@help@
@ຊ່ວຍ@|@aid@
@ຊ່ວຍ@|@assist@
@ຊ່ວຍກັນ@|@help each other@
@ຊ່ວຍກັນທຳ@|@help each other@
@ຊ່ວຍກັນເຣັດ@|@help each other@
@ຊ່ວຍຂອ້ຍແດ່@|@please help me@
@ຊ່ວຍຂອ້ຍແດ່@|@please give me a hand@
@ຊ່ວຍຊີວິດ@|@save of life@
@ຊ່ວຍທຳ(ເຮັດ)ແທນຂ້ອຍແດ່@|@please do it in my place@
@ຊ່ວຍບໍ່ໄດ້@|@it can not be helped@
@ຊ່ວຍໄປບອກ@|@please go to tell him@
@ຊ່ວຍແປ@|@help to translate@
@ຊ່ວຍມື@|@lend a hand@
@ຊ່ວຍວິ່ງວອນ@|@intercede for@
@ຊ່ວຍໃຫ້@|@help@
@ຊ່ວຍໃຫ້ໄປບອກລາວແດ່@|@please go and tell him@
@ຊ່ວຍລາວແດ່@|@please help him@
@ຊ່ວຍເຫລືອ@|@help, lend a hand@
@ຊ່ວຍເຫລືອເຊິ່ງກັນແລະກັນ@|@helping one another@
@ຊ່ວຍເຫຼືອເຊິ່ງກັນແລະກັນ@|@helping one another@
@ຊ່ວຍເຫຼືອ@|@help@
@ຊ່ວຍເຫຼືອ@|@lend a hand@
@ຊ່ວຍເຮັດ@|@please do in my place@
@ຊ່ວຍແຮງ@|@help out@
@ຊັດ@|@hurl throw a long object vigorously@
@ຊັດ@|@wash against the shore@
@ຊັດກຳປັ້ນ@|@hit with the fist@
@ຊັດຂື້ນຝັ່ງ@|@cast ashore@
@ຊັດຄວາມເວົ້າ@|@deny one’s words and place the blame on another@
@ຊັດຄວາມເວົ້າ@|@impeach@
@ຊັດຊະວານ@|@bright@
@ຊັດຊະວານ@|@brilliant@
@ຊັດຊະວານ@|@growing@
@ຊັດຊະວານ@|@glaring@
@ຊັດຊະວານ@|@civilized@
@ຊັດເຊ@|@proceed without evidence@
@ຊັດເຊ@|@wander@
@ຊັດເຊ@|@roam@
@ຊັດຊ້ອນ@|@integrate@
@ຊັດເຈນ@|@exactly@
@ຊັດເຈນ@|@distinctly by rote@
@ຊັດໂທດ@|@pass the blame@
@ຊັດທອດ@|@blame@
@ຊັດທອດ@|@implicate@
@ຊັດອອກ@|@deny one’s act and blame another@
@ຊັດຫອກ@|@hurl a spear@
@ຊາດ@|@nation@
@ຊາດ@|@country@
@ຊາດ@|@race@
@ຊາດ@|@group@
@ຊາດ@|@tribe@
@ຊາດ@|@pedigree@
@ຊາດ@|@incarnation@
@ຊາດ@|@caste@
@ຊາດ@|@species@
@ຊາດ@|@birth@
@ຊາດ@|@life@
@ຊາດ@|@type@
@ຊາດ@|@kind@
@ຊາດ@|@rank@
@ຊາດ@|@vermilion@
@ຊາດ@|@power used to make ink@
@ຊາດ@|@animal which is savage protecting its young@
@ຊາດ@|@annatto tree@
@ຊາດ@|@animal which is savage protecting its young@
@ຊາດ@|@annatto tree@
@ຊາດ@|@bixa orellana@
@ຊາດ@|@oleoresinous hard wood tree@
@ຊາດ@|@dipterocarpus@
@ຊາດກ່ອນ@|@previous life@
@ຊາດກ່ອນ@|@former incarnation@
@ຊາດແຂກດຳ@|@Negro race@
@ຊາດຄົນ@|@humanity@
@ຊາດຄົນ@|@mankind@
@ຊາດເຊື້ອ@|@family@
@ຊາດເຊື້ອ@|@lineage@
@ຊາດໄທ@|@Thai race@
@ຊາດມະນຸດ@|@mankind@
@ຊາດມະນຸດ@|@the race of man@
@ຊາດໂລກ@|@mankind@
@ຊາດໂລກ@|@inhabitants of the world@
@ຊາດລາວ@|@the Lao people@
@ຊາດລາວ@|@Lao race@
@ຊາດນີ້@|@this life@
@ຊາດນີ້@|@this incarnation@
@ຊາດຜິວຂາວ@|@white race@
@ຊາດອັນແນ່ນອນ@|@independent country@
@ຊາດຕິ@|@ordinary@
@ຊາດຫນ້າ@|@the next life@
@ຊາດຫນ້າ@|@the next incarnation@
@ຊິດ@|@clip of the top@
@ຊິດ@|@graze@
@ຊິດ@|@touch lightly@
@ຊິດ@|@pull or hit sharply@
@ຊິດຕະມານ@|@the victorious@
@ຊິດຕະມານ@|@Buddha@
@ຊີດ@|@pale@
@ຊີດ@|@faded@
@ຊີດ@|@tasteless@
@ຊີດ@|@insipid@
@ຊີດສະຫລົດ@|@fade with sadness@
@ຊີດສະຫຼົດ@|@fade with sadness@
@ຊີດປານຜີຕາຍ@|@whiten@
@ຊີດປານຜີຕາຍ@|@blanch as corpse@
@ຊຸດ@|@decline@
@ຊຸດ@|@deteriorate@
@ຊຸດໂຊມ@|@worsen@
@ຊຸດໂຊມ@|@age@
@ຊຸດໂຊມ@|@grow old@
@ຊຸດໂຊມລົງ@|@worsen@
@ຊຸດໂຊມລົງ@|@decline@
@ຊຸດໂຊມລົງ@|@deteriorate@
@ຊຸດໂຊມລົງ@|@age@
@ຊຸດໂຊມລົງ@|@grow old@
@ຊຸດອາບນ້ຳ@|@bathing suit@
@ຊຸດ (ເຄື່ອງຊຸດ)@|@swoop down@
@ຊຸດຊາດ@|@sound of sucking or breathing@
@ເຊັດ@|@dry@
@ເຊັດ@|@wipe@
@ເຊັດ@|@rub@
@ເຊັດ@|@set hair@
@ເຊັດແກ້ວປ່ອງຢຽມ@|@clean the windows@
@ເຊັດຕາ@|@wipe one’s eyes@
@ເຊັດຕົວ@|@dry oneself@
@ເຊັດນ້ຳຕາ@|@wipe away the tears@
@ເຊັດປາກ@|@wipe the mouth@
@ເຊັດມື@|@dry the hands@
@ເຊັດມື@|@wipe the hands@
@ເຊັດລົດ@|@clean the car@
@ເຊັດເຫື່ອ@|@wipe off the perspiration@
@ເຊັດຫນ້າ@|@dry one’s face@
@ເຊັດຫນ້າ@|@wipe the face@
@ເຊັດໜ້າ@|@dry one’s face@
@ເຊັດໜ້າ@|@wipe the face@
@ແຊດ@|@splashing, humming or buzzing soud@
@ໂຊດ@|@name of largest type of deer@
@ໂຊດຕະການ@|@civilization@
@ໂຊດຕະການ@|@prosperity@
@ໂຊດຕະການ@|@beauty@
@ໂຊດໂລດ@|@large and ugly@
@ຊົດ@|@eat soup@
@ຊົດ@|@sip@
@ຊົດແກງ@|@eat soup@
@ຊົດຊ່ວຍ@|@help@
@ຊົດຊ່ວຍ@|@aid@
@ຊົດຊ່ວຍ@|@assist@
@ຊົດໃຊ້@|@reimburse@
@ຊົດໃຊ້@|@compensete@
@ຊົດເຊີຍ@|@reimburse@
@ຊົດເຊີຍ@|@pay@
@ຊົດເຊີຍ@|@add@
@ຊົດນ້ຳແກງ@|@eat soup@
@ຊົດໆ@|@dripping@
@ຊົດໆ@|@falling continuously as a waterfall@
@ຊົດໆຮ້ອນໆ@|@just@
@ຊົດໆຮ້ອນໆ@|@just now@
@ຊົດໆຮ້ອນໆ@|@recently@
@ຊົດໆຮ້ອນໆ@|@immedicately@
@ຊອດ@|@puncture@
@ຊອດ@|@pierce@
@ຊອດ@|@see clearly@
@ຊອດ@|@understand completely@
@ຊອດ@|@appear@
@ຊອດ@|@seem@
@ຊອດ@|@arrive@
@ຊອດຫູ@|@reach the ears@
@ຊອດຂື້ນ@|@rise out of@
@ຊອດຂື້ນ@|@come up as a plant or the sun@
@ຊອດກະຈາ@|@mixed@
@ຊອດກະຈາ@|@not origin@
@ເຊີດ@|@sled@
@ເຊີດ@|@with runnerscoronet@
@ເຊີດ@|@music played on the departure of a high personage@
@ເຊີດ@|@kind of dance@
@ເຊີດ@|@imitating flight@
@ເຊີດ@|@coronet@
@ເຊີດ@|@crown@
@ເຊີດ@|@tiara@
@ເຊີດຄຳ@|@golden crown@
@ເຊີດຊູ@|@elevate@
@ເຊີດຊູ@|@raise@
@ເຊີດຊູ@|@further@
@ເຊີດຊູ@|@foster@
@ເຊີດສິ່ງ@|@a Lao song@
@ເຊີດສິ່ງ@|@name of a type of classical dance@
@ເຊີດເນື້ອ@|@go hunting@
@ເຊືອດ@|@slice@
@ເຊືອດ@|@cut@
@ເຊືອດ@|@carve@
@ຊວດ@|@mouse@
@ຊວດ@|@rat@
@ຊວດ@|@name of the first year of the twelve-year cycle@
@ຊວດ@|@year of rat@
@ຊວດນ້ຳ@|@dive into water@
@ຊວດລວດ@|@without character@
@ຊວດຮູ້ເມື່ອ@|@wake up@
@ຊວດຮູ້ເມື່ອ@|@regain contentiousness@
@ຊັນ@|@steep@
@ຊັນ@|@vertical@
@ຊັນຄໍ@|@straighten the neck@
@ຊັນຕຸ@|@anything alive@
@ຊັນຕຸ@|@flora or fauna@
@ຊັນນະສາ@|@age (of a living being)@
@ຊັນນະສູດ@|@examine@
@ຊັນນະສູດ@|@investigate@
@ຊັນນະສູດ@|@inspect@
@ຊັນນະສູດ@|@verify@
@ຊັນນະສູດພິກສົບ@|@conduct a postmortem@
@ຊັນນຸ@|@knee@
@ຊັ່ນ@|@tremble@
@ຊັ່ນ@|@vibrate@
@ຊັ່ນ@|@sway@
@ຊັ່ນ@|@shake@
@ຊັ້ນ@|@grade@
@ຊັ້ນ@|@rank@
@ຊັ້ນ@|@class@
@ຊັ້ນ@|@stage@
@ຊັ້ນ@|@level@
@ຊັ້ນ@|@floor@
@ຊັ້ນ@|@storey@
@ຊັ້ນ@|@layer@
@ຊັ້ນ@|@quality@
@ຊັ້ນ@|@shelf@
@ຊັ້ນກໍກາ@|@first grade@
@ຊັ້ນກໍກາ@|@primary course@
@ຊັ້ນກາງ@|@middle ranks or grade@
@ຊັ້ນຄົນທຳມະດາ@|@civil service grades@
@ຊັ້ນຈັດຕະວາ@|@fourth grade@
@ຊັ້ນສູງ@|@high-ranking@
@ຊັ້ນຊົ່ວ@|@low class@
@ຊັ້ນຊົ່ວ@|@inferior@
@ຊັ້ນດີ@|@good class@
@ຊັ້ນຕຣີ@|@third grade@
@ຊັ້ນຕ່ຳ@|@low-ranking@
@ຊັ້ນຕົ້ນ@|@stage@
@ຊັ້ນຕົ້ນ@|@primary@
@ຊັ້ນຕົ້ນ@|@basic or firstage@
@ຊັ້ນໂທ@|@second stage@
@ຊັ້ນເທິງ@|@upstairs@
@ຊັ້ນເທິງ@|@upper floor@
@ຊັ້ນເທິງ@|@higher level@
@ຊັ້ນໃນ@|@inside layer@
@ຊັ້ນນອກ@|@outer layer@
@ຊັ້ນນອກ@|@right side of fabric@
@ຊັ້ນບັນດາສັກ@|@hierarchy@
@ຊັ້ບົນ@|@upstairs@
@ຊັ້ນພິເສດ@|@special grade@
@ຊັ້ນຟ້າ@|@levels of heaven@
@ຊັ້ນຟ້າ@|@heaven@
@ຊັ້ນຢ້ຽມ@|@first-class@
@ຊັ້ນຢ້ຽມ@|@top class@
@ຊັ້ນຢ້ຽມ@|@top grade@
@ຊັ້ນຣາຊະການພົນລະເມືອງ@|@civil service grades@
@ຊັ້ນລ່າງ@|@ground floor@
@ຊັ້ນລ່າງ@|@downstairs@
@ຊັ້ນລຸ່ມ@|@lower ranks or grades@
@ຊັ້ນລຸ່ມ@|@ground floor@
@ຊັ້ນລຸ່ມ@|@downstairs@
@ຊັ້ນວັນນະ@|@caste@
@ຊັ້ນວັນນະ@|@class@
@ຊັ້ນງອກ@|@first grade@
@ຊັ້ນນຳ@|@leader in quality@
@ຊັ້ນເລີດ@|@excellent@
@ຊັ້ນເລີດ@|@superior@
@ຊານ@|@outside stair@
@ຊານ@|@porch@
@ຊານ@|@back porch@
@ຊານ@|@platform@
@ຊານ@|@back of house@
@ຊານຊາລາ@|@platform@
@ຊານນ້ຳຝົນ@|@front porch@
@ຊານພຽງ@|@platform for what@
@ຊານພຽງ@|@that@
@ຊານພຽງ@|@pagoda@
@ຊານເຮືອນ@|@house flatform@
@ຊານເມືອງ@|@outskirts@
@ຊ່ານ@|@spread out, expand, scatter, be scatted, be dispersed, be rounted@
@ຊ່ານ@|@spread out, expand, scatter, be scatted, be dispersed, be rounted@
@ຊ່ານ@|@spread out, expand, scatter, be scatted, be dispersed, be rounted@
@ຊ່ານ@|@spread out, expand, scatter, be scatted, be dispersed, be rounted@
@ຊ່ານ@|@spread out, expand, scatter, be scatted, be dispersed, be rounted@
@ຊິນ@|@knowledge@
@ຊິນ@|@experience@
@ຊິນ@|@change of one’s lot in life@
@ຊິນ@|@fate@
@ຊິນ@|@luck@
@ຊິນ@|@derive from memory@
@ຊິນ@|@imagination@
@ຊິນນະ@|@old@
@ຊິນນະພຣາມ@|@the old@
@ຊິນນະພຣາມ@|@poor people@
@ຊິນນະບຸດ@|@bonze@
@ຊິ່ນ@|@many@
@ຊິ່ນ@|@much@
@ຊິ່ນ@|@too much@
@ຊິ້ນ@|@meat@
@ຊິ້ນ@|@flash@
@ຊິ້ນດິບ@|@raw meat@
@ຊິ້ນປາ@|@fish flesh@
@ຊິ້ນຢ້າງ@|@smoked meat@
@ຊິ້ນລາບ@|@hash@
@ຊິ້ນແຫ້ງ@|@dried meat@
@ຊິ້ນຫຍາບ@|@tough meat@
@ຊິ້ນຫມູ@|@pork@
@ຊິ້ນໝູ@|@pork@
@ຊິ້ນອ້ອຍຕ້ອຍ@|@meat without fat or bone@
@ຊືນ@|@lead (metal)@
@ຊື່ນ@|@happy, gay, vivacious, cheerful@
@ຊື່ນ@|@happy, gay, vivacious, cheerful@
@ຊື່ນ@|@happy, gay, vivacious, cheerful@
@ຊື່ນໃຈ@|@gay@
@ຊື່ນໃຈ@|@pleasant@
@ຊື່ນໃຈ@|@refreshing@
@ຊື່ນໃຈ@|@refreshing@
@ຊື່ນຊົມ@|@joyous@
@ຊື່ນຊົມ@|@cheerful@
@ຊື່ນຊົມ@|@happy@
@ຊື່ນຊົມ@|@satisfied@
@ຊື່ນຊົມຍິນດີ@|@appreciate@
@ຊື່ນບານ@|@happy, joyful@
@ຊື່ນມ່ວນ@|@pleasant, joyful, cheerful@
@ຊື່ນແລ້ວ@|@feel better@
@ຊຸນ@|@dam@
@ຊູນ@|@hit against a little bit@
@ເຊັນ@|@sign, tremble, shake, vibrate, tremble with fear n@
@ເຊັນສັນຍາ@|@sign an agreement@
@ເຊັນຊື່@|@sign, n@
@ເຊັນຊາບ@|@sign of acknowledgement@
@ເຊັນຢ້ານ@|@tremble with fear@
@ເຊັນໆ@|@dripping continuously, continuously@
@ເຊັ່ນ@|@just as, for instance, thus, to wit, n@
@ເຊັ່ນກັນ@|@likewise, the same as@
@ເຊັ່ນກ່ອນ@|@formerly@
@ເຊັ່ນດຽວກັນ@|@likewise, in the same way@
@ເຊັ່ນໃດ@|@how@
@ເຊັ່ນຕົວຢ່າງ@|@for example@
@ເຊັ່ນນີ້@|@like this@
@ເຊັ່ນນັ້ນ@|@like that@
@ເຊັ່ນວ່າ@|@for example@
@ແຊນ@|@promontory; sandspit@
@ແຊ້ນ@|@skim@
@ໂຊນ@|@carry in the cloth, sack, bag@
@ໂຊ່ນ@|@dig up by the roots@
@ໂຊ້ນ@|@great grandmother, very old@
@ຊົນ@|@butt as of buffalo, collide with, resist@
@ຊົນກັນ@|@fight; but each other; collide @
@ຊົນກັມມາຊີບ@|@proletariat@
@ຊົນກຳມາຊີບ@|@proletariat@
@ຊົນຊາດ@|@citizen; national, nationality@
@ຊົນຊັ້ນ@|@social class@
@ຊົນໄຊ@|@name of an old Lao romance@
@ຊົນປະທານ@|@irrigation@
@ຊົນລະຈອນ@|@watercourse@
@ຊົນລະສະຖານ@|@well; marsh; dam, reservoir@
@ຊົນລະຍານ@|@water vehicle@
@ຊົນລະທາ@|@water, river; tear@
@ຊົນລະທີ@|@water, river; tear@
@ຊົນລະທານ@|@water, river; tear@
@ຊົນລະທານເທັງ@|@rain falls@
@ຊົນລະນາ@|@tear@
@ຊົນລະປະທານ@|@irrigation@
@ຊົນລະມະນຸດ@|@mythical water creature@
@ຊົນລະມາກ@|@waterway; water gate@
@ຊົນລະຈັນ@|@alcohol@
@ຊົນນະບົດ@|@outskirts@
@ຊົນນະວັດສາ@|@age@
@ຊົນນີ@|@mother@
@ຊົນມາຍຸ@|@age@
@ຊົ້ນ@|@take refuge@
@ຊອນ@|@insert@
@ຊອນເຂົ້າ@|@insert@
@ຊອນໃສ່@|@add on@
@ຊອນໄປ@|@make a way through; squeeze through a crowd@
@ຊອນລອນ@|@pretty, beautiful, well-aligned@
@ຊ່ອນ@|@hide, conceal@
@ຊ່ອນເຄື່ອງ@|@conceal something@
@ຊ່ອນເງື່ອນ@|@conceal@
@ຊ້ອນ@|@spoon@
@ຊ້ອນເກີບ@|@shoehorn@
@ຊ້ອນຊາ@|@teaspoon@
@ຊ້ອນຊົມ@|@sexual relations@
@ຊ້ອນຊາມ@|@stack plates@
@ຊ້ອນໂຕະ@|@tablespoon@
@ຊ້ອນປາ@|@fish with a triangular net@
@ຊ້ອນທາງຫລັງ@|@back seat of a cycle@
@ຊ້ອນທາງຫຼັງ@|@back seat of a cycle@
@ຊ້ອນນ້ອຍ@|@ornamental shrub@
@ຊ້ອນປ້ອມ@|@medicinal@
@ຊ້ອນລົດ@|@two persons ride on one bike@
@ຊ້ອນຫໍ້@|@bush having a medicinal root@
@ຊອບ@|@like@
@ຊອບ@|@satisfied@
@ຊອບໃຈ@|@satisfied@
@ຊອບທັມ@|@righteous@
@ຊອບທັມ@|@ethical@
@ຊອບທັມ@|@fair@
@ຊອບທຳ@|@righteous@
@ຊອບທຳ@|@ethical@
@ຊອບທຳ@|@fair@
@ຊອມ@|@observe@
@ຊອມ@|@spy@
@ຊອມ@|@peep@
@ຊອມຊໍ່@|@bending forward to look down at (of people and small animals only)@
@ຊອມເບິ່ງ@|@watch@
@ຊອມເບິ່ງ@|@spy on@
@ຊ່ອມ@|@small storehouse for paddy rice@
@ຊ້ອມ@|@train@
@ຊ້ອມ@|@practice@
@ຊ້ອມ@|@drill@
@ຊ້ອມເຂົ້າ@|@give rice a final polishing@
@ຊ້ອມມວຍ@|@practice boxing@
@ຊ້ອມຮົບ@|@military exercise@
@ຊ້ອມໃຫຍ່@|@final rehearsal@
@ເຊິ່ງ@|@which@
@ເຊິ່ງ@|@that@
@ເຊິ່ງກັນແລະກັນ@|@mutual@
@ເຊິ້@|@be surprised@
@ເຊິ້@|@faint@
@ເຊິ້ງ@|@sing bawdy festival songs@
@ເຊີດຊູ@|@admire@
@ເຊີດຊູ@|@exalt@
@ເຊີນ@|@invite@
@ເຊີນ@|@please@
@ເຊີນກ່ອນ@|@please go ahead@
@ເຊີນກ່ອນ@|@after you@
@ເຊີນຂະນ້ອຍ@|@please@
@ເຊີນເຂົ້າມາ@|@Please come in !@
@ເຊີນດື່ມ@|@your health !@
@ເຊີນດື່ມນ້ຳເດີ້@|@please take some water@
@ເຊີນຕາມສະບາຍ@|@please make yourself at home@
@ເຊີນຕາມສະບາຍ@|@take it@
@ເຊີນຕາມສະບາຍ@|@make ypurself comfortable@
@ເຊີນຖ້າກ່ອນ@|@please wait@
@ເຊີນທາງນີ້@|@this way@
@ເຊີນທາງນີ້@|@please@
@ເຊີນທາງນັ້ນ@|@that way@
@ເຊີນທາງນັ້ນ@|@please@
@ເຊີນນັ່ງ@|@please@
@ເຊີນນັ່ງ@|@sit down@
@ເຊີນນັ່ງລົງ@|@please@
@ເຊີນນັ່ງລົງ@|@sit down@
@ເຊີນໄປ@|@invite to go@
@ເຊີນເພິ່ນເຂົ້າມາ@|@please show him in@
@ເຊີນລາວເຂົ້າມາ@|@please show him in@
@ເຊີນຮັບປະທານນຳກັນເດີ້@|@please join us@
@ເຊີນຮັບອາຫານ@|@invite to eat@
@ເຊີນລໍຖ້ານ້ອຍຫນື່ງ@|@please wait a moment@
@ເຊີນລໍຖ້ານ້ອຍຫນື່ງ@|@please wait a little@
@ເຊີນລໍຖ້ານ້ອຍໜື່ງ@|@please wait a moment@
@ເຊີນລໍຖ້ານ້ອຍໜື່ງ@|@please wait a little@
@ເຊີນໂລດເດີ້@|@please help yourself@
@ເຊີນໂລດເດີ້@|@please go ahead@
@ເຊີ່ນ@|@glide@
@ຊ່ຽນ@|@smooth off@
@ເຊື່ອນ@|@go away@
@ເຊື່ອນ@|@flee@
@ເຊື່ອນແຊ@|@go away@
@ເຊື່ອນແຊ@|@flee@
@ຊຽງ@|@ex-novice@
@ຊຽງຫມ້ຽງ@|@Lao folk hero@
@ຊຽງຫມ້ຽງ@|@a punster@
@ຊຽງໝ້ຽງ@|@Lao folk hero@
@ຊຽງໝ້ຽງ@|@a punster@
@ເຊື່ອ@|@to believe@
@ເຊື່ອ@|@trust@
@ເຊື່ອຖື@|@to believe in@
@ເຊື່ອຖື@|@worship@
@ເຊື່ອຖ້ອຍຝັງຄວາມ@|@to obey@
@ເຊື່ອຟັງ@|@to obey@
@ເຊື່ອຫມັ້ນ@|@to believe firmly@
@ເຊື່ອໝັ້ນ@|@to believe firmly@
@ເຊື່ອອົກເຊື່ອໃຈ@|@to have confidence in@
@ເຊື້ອ@|@ancestry@
