@English@|@Sanskrit@
@marutta)@|@aavikshita@
@masc@|@brahmaa@
@masculine@|@pu.nlingaM, pu.nstriiliN^ge@
@master@|@svaami@
@master of speech@|@vaagmii@
@master of the gunas@|@guNabhoktR^i@
@Master Time@|@kaalaH@
@mastery of the senses by controlling the desires@|@indriyajaya@
@Matang@|@maata.nga@
@material@|@bhautika@
@material bodies@|@dehaaH@
@material enjoyment@|@bhogaaH@
@material miseries@|@duHkhaanaaM@
@material sense gratification@|@kaamebhyaH@
@materialistic@|@praakR^itaH@
@maternal uncle@|@maatula@
@maternal uncles@|@maatulaaH, maatulaan.h@
@mathematics@|@gaNita@
@matiH + ApaneyA:mind + to be led@|@matiraapaneyaa@
@matter@|@asat.h@
@maturity@|@praagalbhya@
@maxim of seed and shoot@|@biijaaN^kuranyaaya@
@may be@|@syaat.h@
@may be studied@|@nityamadhiiyataaM@
@may do@|@kurvantu@
@may exist as many@|@bahusyaaM@
@may go@|@prayantu@
@may go to@|@prayaantu@
@may have@|@aapnuyaaM@
@may he protect@|@paatu@
@may kill@|@hanyuH@
@may look upon@|@niriikshe@
@may read@|@paThet.h@
@may the builder of bridge (over the sea) protect@|@setukR^itpaatu@
@may us not quarrel or hate@|@vidvishhaavahai@
@May we  hear@|@shR^iNuyaama@
@may we do@|@karavaavahai@
@may we live@|@jiivemaH@
@may we meditate@|@dhyaayed.h@
@May we satisfy or  make  them happy?@|@tushhTuvaa.nsaH@
@May we see through the eyes@|@pashyemaakshabhiH@
@may we see with eyes?@|@pashyemaakshabhiryajatraaH@
@mayi+asahishhNuH@|@mayyasahishhNu@
@me@|@asmad.h, maaM, maam.h@
@meaning@|@atha.rH@
@meaning hood)@|@bhogi@
@means@|@saadhakaM, upakaraNa@
@means; method@|@prakaareNa@
@meant@|@arthiyaM@
@meant for liberation@|@vimokshaaya@
@mediators between belligerents@|@madhyastha@
@medicinal garden@|@aushhadhivana@
@medicine@|@aushadha, aushhadha, aushhadhaM, bheshhaja@
@meditate or think@|@dhyaaya.nti@
@meditates@|@dhyaayati@
@meditating@|@dhyaayantaH@
@meditation@|@dhyaanaM, dhyaanam.h, tantra, tapasyaa@
@meditation and contemplation@|@nididhyaasana@
@medium@|@madhyama@
@Medium span of life 32-75 years@|@madhyaayu@
@meet@|@milati@
@meeting@|@sabhaa@
@melted butter@|@aajyaM@
@melting@|@dravaNa@
@memory@|@smR^itiH, smR^itii@
@men with a poor fund of knowledge@|@avipashchitaH@
@Mendicant@|@yati@
@mental aggitation@|@vikshipta@
@mental and bodily cleanliness@|@shaucha@
@mental tranquillity@|@shamaM@
@mercantile people@|@vaishyaH@
@mercy@|@dayaa@
@merges entirely@|@praviliiyate@
@Meru@|@meruH@
@message@|@sandesha@
@messenger@|@duuta@
@metaphysical ignorance@|@avidyaa@
@method for cleaning the intestines@|@basti@
@methods of worship@|@puujaavidhiM@
@metre (poetic)@|@chha.ndaH@
@middle@|@madhya, madhyaM@
@mighty@|@vikraantaH@
@mighty bowmen@|@maheshvaasaaH@
@mighty-armed@|@mahaabaahuH@
@military force@|@chamuuM@
@milk@|@dugdha, kshiira@
@milks (from duh.h : to milk )@|@dogdhi@
@millennium@|@yuge@
@mind@|@budhiH, chetas.h, chitta, chittaa, chittaH, chittaM, maanasa, manas.h@
@Mind@|@antaHkaraNa, mana@
@mind +different (different opinions or views)@|@matirbhinnaH@
@mind and intelligence@|@chittaatmaa@
@mind attached@|@aasaktamanaaH@
@mind-fainting@|@murchhaa@
@mine@|@mama, me@
@Mine@|@madiiya, mahyam.h@
@mineral@|@lavana@
@minute@|@suukshma@
@mirage@|@mR^iga-tR^ishhNikaa@
@mirror@|@adarshaH@
@Mirror@|@darpaNa@
@mischievous@|@kruuraan.h@
@miscreants@|@dushhkR^itinaH@
@misers@|@kR^ipaNaaH@
@mission@|@pravR^ittiM@
@mistakes@|@truTayaH, truTi@
@mixed@|@mishraM, saMmishraNaM@
@mixes@|@upalipyate@
@mobility@|@rajasa@
@modesty@|@hriiH, lajjaa@
@modify@|@vikR^i@
@moistens@|@kledayanti@
@Moment@|@pala@
@momentary separation@|@kshaNaviyoga@
@Monday@|@somavaara@
@money@|@artha, dhana, vitta@
@monkey@|@kapi, vaanara@
@monsoon@|@varshhaa@
@month@|@maasa@
@month of August@|@agastamaasa@
@moon@|@indu, rajaniichara, shashaaN^ka, shashi@
@Moon@|@sudhaakar@
@moon (??? I may be wrong here)@|@kalaanaatha@
@moon disc@|@chandrabimba@
@moonlight@|@chandrika, jyotsna@
@moon-rise@|@chandrodaya@
@morality@|@niitiH@
@more@|@adhikaM@
@more dear@|@priyakR^ittamaH@
@more painful@|@duHkhataraM@
@more than enough@|@vipulaM@
@more than the intelligence@|@buddheH@
@more than the mind@|@manasaH@
@more than the senses@|@indriyebhyaH@
@morning@|@praataH, praataHkaala, prabhaata@
@morning-studied man@|@praataradhiiyaano@
@morose@|@vishhaadi@
@moroseness@|@vishhaadaM@
@morsel of food@|@piNDa@
@mortal@|@martya@
@most excellent@|@parama@
@most perfect in yoga@|@yuktatamaaH@
@mother@|@akka, ambaa, aMbaa, jananii, maata, maataa, maatR^i, matR^i@
@Mother Kali's@|@kaaliimaatuH@
@mother of the daityas demons@|@diti@
@moths@|@pataN^gaaH@
@mountain@|@bhuubhR^it.h, giri, parvata@
@mountain coming in the way@|@maargaachala@
@mountain top@|@shikharam.h@
@mountain used by the gods to stir the cosmic ocea@|@mandaara@
@mouse@|@aakhu@
@moustache@|@shmashru@
@mouth@|@mukha, mukhaM@
@move or travel or wander@|@charanti@
@Moveable signs@|@chara-raashi@
@movie@|@chalachchitra@
@moving@|@chala, chara, charaM, jaN^gamaM, vidhuuta@
@moving and nonmoving@|@charaacharaM@
@Mrs@|@saubhaagyavatii@
@much@|@bhuuri@
@mud@|@mR^ittikaa, pa.nka, paN^ka@
@multifarious situations@|@naanaabhaavaan.h@
@mumble@|@japati@
@music@|@sa.ngiita, saN^giita@
@musical instrument resembling a cow's face@|@gomukha@
@Musical notes@|@svraa.njalii@
@Muslim@|@muslima@
@must be performed@|@yashhTavyaM@
@must be practiced@|@yoktavyaH@
@must bring under@|@nayet.h@
@must come upon@|@aashrayet.h@
@must concentrate in KRishhNa consciousness@|@yuJNjiita@
@must do@|@kuryaat.h@
@must know@|@avagachchha@
@mutual@|@anyonya, itaretara@
@mutually@|@paraspara, parasparaM@
@My@|@maamikaaM@
@My devotee@|@mad.hbhaktaH@
@My devotional service@|@mad.hbhaktiM@
@My friend@|@taata@
@My nature@|@madbhaavaM@
@my opinion@|@matirmama@
@my party (sons)@|@maamakaaH@
@My plenary portion as the digesting fire@|@vaishvaanaraH@
@My work@|@matkarma@
@My worshiper@|@madyaajii@
@mystery@|@rahasyaM@
@mystics@|@yoginaH@
@na + anR\^itaM: not untruth@|@naanR^itaM@
@na + eshA:no + this(fem.)@|@naishaa@
@na+anyaM@|@naanyaM@
@na+asti@|@naasti@
@nAbhI+deshaM@|@naabhiideshaM@
@nail@|@aaNiH, nakha@
@nalinI+dala+gata@|@naliniidalagata@
@namAmi+ahaM@|@namaamyaham.h@
@name@|@naaman.h, vyapadesha@
@Name@|@naama@
@Name for the Moon@|@chandra@
@name of a deformed(at eight places) sage@|@ashhTaavakra@
@name of a flower@|@shiriishha@
@name of a girl or title of a novel@|@kaadaMbarii@
@name of Brahma@|@viiraJNcha@
@name of Vishnu@|@avinaasha@
@named@|@aakhya, sa.nGYaiH@
@nanda@|@nandaH@
@nandati+eva@|@nandatyeva@
@Narada@|@naaradaH@
@narrow@|@saN^kuchit.h@
@nation@|@raashTra@
@Nativity@|@jaataka@
@naturally@|@anuloma@
@nature@|@bhaavaM, charita, prakR^itiH, prakR^itiM, svabhaava@
@Nature@|@prakR^iti, prakR^itii@
@natures@|@bhaavaaH@
@natures cintyah@|@bhaaveshhu@
@navel@|@naabhiM@
@navel+region/country@|@naabhiideshaM@
@navy blue colour@|@niilalohitaH@
@near@|@antike, upa@
@neck@|@gala, griivaM, ka.nThaM, kandha, kaNThaH@
@Nectar@|@sudhaa@
@needlessly@|@nirarthakaM@
@neem@|@nimba@
@nefarious@|@kuTiilbuddhii@
@neglected or distracted@|@kshipta@
@nescience@|@aGYaanaM@
@net@|@jaala@
@nether-world@|@paataala@
@neut)@|@kaaya, vraNa@
@neut) nest@|@niiDa@
@neut) piece@|@khaNDa@
@neuter@|@napu.nsakaM@
@neutral@|@anapekshaH@
@neutrals between belligerents@|@udaasiina@
@never@|@kadaachan.h@
@never is it so@|@naiva@
@never seen before@|@adR^ishhTapuurvaM@
@never to be destroyed@|@anaashinaH@
@never to be satisfied@|@dushhpuureNa@
@New article@|@navavastu@
@new garments@|@navaani@
@news@|@vaartaa@
@night@|@nishiitha, raatra, raatri, raatriH, raatriM, rajani, rajanii, yaamini@
@Night@|@nishaa@
@night lily@|@kunda@
@night-done@|@raatrikR^itaM@
@'nigth@|@Nactan'@
@nija+karma@|@nijakarma@
@Nineteenth nakshatra@|@muuLa@
@Ninth house of Luck@|@bhaagya-bhaava@
@Ninth nakshatra@|@aashleshhaa@
@Ninth Tithi of the Moon@|@navami@
@no end@|@naantaM@
@no one  is except from rAma@|@raamaannaasti@
@no opposition@|@avirodha@
@no other@|@naanyaM@
@no return@|@anaavR^ittiM@
@No; never@|@nahi@
@noble@|@ugra@
@noise@|@ghoshha@
@nom.sing.) servant@|@daasaH@
@non. sing of brahman@|@brahmaa@
@Non-attachment/desirelessness@|@viraagaH@
@non-beginning@|@anaaditva@
@non-direction@|@vidishaaM@
@non-disciple i.e.non-believer@|@ashishhyaaya@
@non-duality of the universal spirit@|@advaita@
@nonenvious@|@adveshhTaa@
@non-infatuated state/clearheadedness@|@nirmohatvaM@
@non-inspectional meditation@|@nirvitarka@
@non-investigational meditation@|@nirvichaara@
@nonmanifested@|@avyakta, avyaktaM@
@nonpermanent@|@anityaH@
@non-possessiveness@|@aparigraha@
@non-stealing@|@asteya@
@non-violence@|@ahi.nsaa@
@nor@|@no@
@North Lunar Node. Caput Draconis or Dragon's head@|@raahuu@
@nose@|@naasikaa@
@not@|@a, na, ne@
@not able to be dried@|@ashoshhyaH@
@not acting improperly@|@nivR^ittiM@
@not against religious principles@|@dharmaaviruddhaH@
@not agitating@|@anudvegakaraM@
@not desiring physical objects@|@vairaagya@
@not destroyed@|@avinashyantaM@
@not envious@|@anasuuyaH@
@not expressed@|@avyaakR^itaa@
@not feeling the hit?@|@avyaahataaGYaH@
@not fleeing@|@apalaayanaM@
@not good fruitless@|@viphalaH@
@not in the scriptures@|@ashaastra@
@not killing@|@ahatvaa@
@Not kosher@|@abrahmaNya@
@not looking@|@anavalokayaan.h@
@not moving@|@sthaavara@
@not past@|@agata@
@not related or joined@|@vikalaM@
@not so@|@neti@
@not straight@|@vakragati@
@not taking any side@|@taTasthaH@
@not there@|@naasti@
@not touching@|@asparshana@
@not worthy of lamentation@|@ashochyaan.h@
@note@|@patram.h@
@nourisher?@|@bharjanaM@
@nourishment@|@pushhTiH@
@now@|@idaaniiM@
@Nr.nom.pl.)the Sama Veda@|@saamaani@
@Number@|@gaNa@
@number 23@|@trayovi.nshati@
@number sixteen@|@shhoDashaH@
@numinous knowledge@|@viGYaanaM@
@O@|@muuDhamate@
@O !@|@hanta@
@O Arjuna@|@guDaakesha, parantapa@
@O beloved child of the Kurus@|@kurunandana@
@O best among men@|@purushharshhabha@
@O best among the Kuru warriors@|@kurupraviira@
@O best amongst the Kurus@|@kurusattama@
@O best of the Bharatas@|@bharatasattama@
@O best of the brahmanas@|@dvijottama@
@O best of the Kurus@|@kurushreshhTha@
@O chastiser of the enemies@|@para.ntapa@
@O chief amongst the descendants of Bharata@|@bharatarshhabha@
@O chief of the Bharatas@|@bharatashreshhTha@
@O conqueror of wealth@|@dhanaJNjaya@
@O descendant of Bharata@|@bhaarata@
@O descendant of VRishhNi@|@vaarshhNeya@
@O Destroyer of Tripura@|@puramathana@
@O great one amongst the demigods@|@devavara@
@O immeasurable power@|@apratimaprabhaava@
@O infallible one@|@achyuta@
@O killer of the demon Kesi (KRishhNa)@|@keshava@
@O killer of the demon Madhu (KRishhNa)@|@madhusuudana@
@O killer of the enemies@|@arisuudana@
@O killer of the Kesi demon@|@keshinishuudana@
@O King@|@mahiipate, pR^ithiviipate@
@O Lord of all demigods@|@devadeva@
@O Lord of all lords@|@devesha@
@O Lord of all mystic power@|@yogeshvara@
@O Lord of everything@|@bhuutesha@
@O Lord of the entire universe@|@jagatpate@
@O Lord of the universe@|@vishveshvara@
@O Lord Visnu@|@vishhNo@
@O lotus-eyed one@|@kamalapatraaksha@
@O maintainer of all living entities@|@janaardana@
@O master of all senses@|@hR^ishhiikesha@
@O mighty-armed one@|@mahaabaaho@
@O origin of everything@|@bhuutabhaavana@
@O Personality of Godhead@|@bhagavaan.h@
@O refuge of the worlds@|@jagannivaasa@
@O Sanjaya@|@saJNjaya@
@O Savyasaci@|@savyasaachin.h@
@O sinless one@|@anagha@
@O son of Kunti@|@kaunteya@
@O son of Pandu@|@paaNDava@
@O son of Pritha@|@paartha@
@O Supreme@|@bhagavan.h@
@O Supreme Lord@|@parameshvara@
@O Supreme Person@|@purushhottama@
@O thousand-handed one@|@sahasrabaaho@
@O tiger among human beings@|@purushhavyaaghra@
@O universal form@|@vishvamuurte@
@O unlimited form@|@anantaruupa@
@object@|@atha.rH@
@object of wonder@|@vismayapadaM@
@objects@|@vastuuni@
@oblation@|@svadhaa@
@observance/governance@|@paripaalanaM@
@observed@|@dR^ishhTaH@
@observing@|@anudarshanaM@
@observing or outlook@|@dR^ishhTiibheda@
@obsolete@|@kaalabaahyam.h@
@obstacles@|@vighnaiH@
@obstinate@|@pratinivishhTa@
@obstruction in the chitrini@|@granthii@
@obtained@|@apraaptat.h, upaatta@
@obtaining@|@arjana@
@obtaining(literally standing) in his very hands@|@karasthaaH@
@obtains@|@sukhamedhate@
@occupation@|@dharmasya@
@occur@|@sambhavati@
@occurred@|@praapta@
@ocean@|@mahodadhi, payodhi, sindhuH@
@odd (as in odd or even)@|@vishhama@
@of a high grade@|@parayaa@
@of a ksatriya@|@kshaatraM@
@of a man@|@purushhasya@
@of a person@|@pu.nsaH@
@of abominable@|@jaghanya@
@of age@|@vayasi@
@of all@|@sarvebhyaH@
@of all activities@|@sarvakarma@
@of all aquatics@|@yaadasaaM@
@of all beings@|@jaataH@
@of all cheats@|@chhalayataaM@
@of all commanders@|@senaaniinaaM@
@of all creations@|@sargaaNaaM@
@of all desirable things@|@ishhTa@
@of all education@|@vidyaanaaM@
@of all embodied beings@|@sarvadehinaaM@
@of all endeavors@|@sarvaarambha@
@of all fish@|@jhashhaaNaaM@
@of all great thinkers@|@kaviinaaM@
@of all knowledge@|@GYaanaanaaM@
@of all living entities@|@praaNinaaM, sarvabhuutaanaaM@
@of all luminaries@|@jyotiishhaaM@
@of all material desires@|@sarvasaN^kalpa@
@of all means of suppression@|@damayataaM@
@of all of them@|@taasaaM@
@of all planets and the demigods thereof@|@sarvaloka@
@of all poetry@|@chhandasaaM@
@of all priests@|@purodhasaaM@
@of all regulators@|@sa.nyamataaM@
@of all reservoirs of water@|@sarasaaM@
@of all seasons@|@R^ituunaaM@
@of all shooters (bow@|@sarvadhanushhmataam.h@
@of all that purifies@|@pavataaM@
@of all the Rudras@|@rudraaNaaM@
@of all the sages amongst the demigods@|@devarshhiiNaaM@
@of all the Vedas@|@vedaanaaM@
@of all trees@|@sarvavR^ikshaaNaaM@
@of all weapons@|@aayudhaanaaM@
@of ambrosia@|@amR^ita@
@of animals@|@mR^igaaNaaM@
@of arguments@|@pravadataaM@
@of birds@|@pakshiNaaaM@
@of borned@|@prabhavasya@
@of Brihaspati (the teacher of Gods)@|@suraguroH@
@of clothes@|@vasav@
@of compounds@|@saamaasikasya@
@of controlling the mind@|@aatmasa.nyama@
@of course@|@nu@
@of cows@|@dhenuunaaM@
@of days@|@divasasya@
@of daytime@|@ahaH@
@of death@|@mR^ityu, prayaaNa@
@of demon mahisha@|@mahishhaasurasya@
@of demons@|@asuraaNaaM@
@of Dhritarashtra@|@dhR^itaraashhTrasya@
@of different kinds@|@pR^ithag.hvidhaM@
@of everyone@|@sarvasya@
@of exceedingly bad conduct@|@atidurvR^itta@
@of false ego@|@ahaN^kR^itaH@
@of flowing rivers@|@srotasaaM@
@of food taken after performance of yajna@|@yaGYashishhTaa@
@of forbidden work@|@vikarmaNaH@
@of forms@|@bhuutasya@
@of full life-span@|@saarvaayushha@
@of future@|@bhavishya@
@of future bondage@|@anubandhaM@
@of future manifestations@|@bhavishhyataaM@
@of good character@|@sushiila@
@of good things@|@shubhasya@
@of greatness@|@mahimnaH@
@of happiness@|@sukhasya@
@of hell@|@narakasya@
@of immovable things@|@sthaavaraaNaaM@
@of irreligion@|@adharmasya@
@of it@|@asya@
@of knowledge@|@GYaanasya@
@of knowledge and sound@|@GYaanashabdayoH@
@of knowledge of the truth@|@tattvaGYaana@
@of KRishhNa@|@keshavasya, vaasudevasya@
@of letters@|@aksharaaNaaM@
@of living beings@|@jantoH@
@of living entities@|@bhuutaanaaM@
@of Lord KRishhNa@|@hareH@
@of lordly elephants@|@gajendraaNaaM@
@of many thousands@|@sahasrasya@
@of material nature@|@prakR^iteH@
@of material possessions@|@dravyamayaat.h@
@of memory@|@smR^iti@
@of mental concoction@|@manogataan.h@
@of miserliness@|@kaarpaNya@
@of months@|@maasaanaaM@
@of Myself@|@svaaM@
@of noble people@|@kulajanaa@
@of one situated in trance@|@samaadhisthasya@
@of one unattached to the modes of material nature@|@gatasaN^gasya@
@of one who does not know@|@avidushaH@
@of one who eats@|@ashnataH@
@of one who has attained@|@aaruuDhasya@
@of one who has conquered his mind@|@jitaatmanaH@
@of one who has failed to control the mind@|@anaatmanaH@
@of one who has taken his birth@|@jaatasya@
@of one who is born of@|@abhijaatasya@
@of one who is not fixed@|@abhaavayataH@
@of one who sleeps@|@svapnashiilasya@
@of one who works for maintenance@|@cheshhTasya@
@of one's own@|@svyaM@
@of opulences@|@vibhuuteH@
@of ours@|@aavayoH@
@of philosophical discussion@|@saaN^khyena@
@of prescribed duties@|@karmaNaaM@
@of pride@|@dambha@
@of Ramakrishna@|@raamakR^ishhNasya@
@of renunciation@|@sa.nnyaasa, sa.nnyaasasya, tyaagasya@
@of saintly people@|@sataaM@
@of sanes (stable-minded)@|@kR^itadhiyaaM@
@of secrets@|@guhyaanaaM@
@of serpents@|@sarpaaNaaM@
@of sinful reactions@|@kalmashhaaH@
@of sinners@|@paapebhyaH@
@of soft cloth and deerskin@|@chailaajina@
@of steadiness@|@dhR^iteH@
@of subduers@|@kalayataaM@
@of such men@|@manushhyaaNaaM@
@of teaching@|@shikshaNaM@
@of that which is unavoidable@|@aparihaarye@
@of the Adityas@|@aadityaanaaM@
@of the ancestors@|@pitR^iiNaaM@
@of the armies@|@senayoH@
@of the author@|@nirmitavataH@
@of the carriers of weapons@|@shastrabhR^itaaM@
@of the citizens of the Gandharva planet@|@gandharvaaNaaM@
@of the dead@|@mR^itasya@
@of the demigods@|@devaanaaM, suraaNaaM@
@of the demons@|@daityaanaaM@
@of the descendants of VRishhNi@|@vR^ishhNiinaaM@
@of the devotees@|@saadhuunaaM, yoginaaM@
@of the divine@|@divyaanaaM@
@of the doubt@|@sa.nshayasya@
@of the embodied@|@dehabhR^itaaM, dehiinaH, dehinaaM, dehinaM@
@of the embodied soul@|@shariiriNaH@
@of the empiric philosophers@|@saaN^khyaanaaM@
@of the eternal@|@sataH, shaashvatasya@
@of the foolish@|@aGYaanaaM@
@of the Gandharvas@|@gandharva@
@of the ganga river@|@gaaN^ga@
@of the good-doer@|@sukR^itinaaM@
@of the great sages@|@maharshhiiNaaM, uttamavidaaM@
@of the happiness and wealth@|@sukhasampadaam.h@
@of the happy-minded@|@prasannachetasaH@
@of the immortal@|@amR^itasya@
@of the imperishable@|@avyayasya@
@of the intelligent@|@buddhimataaM@
@of the knower@|@GYaaninaH@
@of the ksatriya@|@kshatriyasya@
@of the liberated@|@muktasya@
@of the man who knows the Supreme Brahman@|@braahmaNasya@
@of the manyhooded serpents@|@naagaanaaM@
@of the mind@|@maanasaM, maanasika@
@of the miscreants@|@dushhkR^itaaM@
@of the miseries of material contact@|@duHkhasa.nyoga@
@of the mode of passion@|@rajasi@
@of the moon and the sun@|@shashisuuryayoH@
@of the nonexistent@|@asataH@
@of the opposite side@|@vipaksha@
@of the Pandavas@|@eteshhaaM, paaNDavaanaaM@
@of the people@|@lokasya@
@of the person@|@aatmanaH@
@of the persons@|@janaanaaM@
@of the pious@|@puNyakarmaNaaM, shuchiinaaM@
@of the powerful@|@tejasvinaaM@
@of the prosperous@|@shriimataM@
@of the result of such performances of yajna@|@yaGYashishhTa@
@of the rivers@|@nadiinaaM@
@of the sages@|@muniinaaM@
@of the saintly persons@|@yatiinaaM@
@of the Sama Veda songs@|@saamnaM@
@of the self@|@aatma@
@of the senses@|@indriyaaNaaM, indriyasya@
@of the shudra@|@shuudrasya@
@of the shudras@|@shuudraaNaaM@
@of the soldiers@|@sainyasya@
@of the sons of Dhritarashtra@|@dhaartaraashhTraaNaaM@
@of the sons of Pandu@|@paaNDuputraaNaaM@
@of the stars@|@nakshatraaNaaM@
@of the strong@|@balavataaM, sattvavataM@
@of the sun-god@|@vivasvataH@
@of the Supreme Personality of Godhead@|@devadevasya@
@of the three worlds@|@trailokya@
@of the transcendentalists@|@brahmavaadinaaM@
@of the Universe@|@jagataaM@
@of the unpeaceful@|@ashaantasya@
@of the Vasus@|@vasaunaaM@
@of the Vedanta@|@brahmasuutra@
@of the Vedas@|@shaashvate@
@of the voice@|@vaaN^mayaM@
@of the whole earth@|@saarvabhauma@
@of the wicked people@|@paapaatmanaaM@
@of the wind@|@vaayoH@
@of the wise@|@GYaanavataaM@
@of the world@|@jagataH@
@of the Yaksas and Raksasas@|@yaksharakshasaaM@
@of the yamunaa river@|@yaamuna@
@of them@|@anayoH, eshhaaM, tayoH@
@of these two@|@etayoH@
@of this@|@etasya@
@of those of small intelligence@|@alpamedhasaaM@
@of those so endeavoring@|@yatataaM@
@of those who are endowed with great wisdom@|@dhiimataaM@
@of those who are liberated@|@vimuktaanaaM@
@of those who are not in KRishhNa consciousness@|@avyavasaayinaaM@
@of those who are seeing@|@vilokayataaM@
@of those who are self-realized@|@viditaatmanaaM@
@of those who have achieved perfection@|@siddhaanaaM@
@of those who have the family traditions@|@kuladharmaaNaaM@
@of those who performed pious activities@|@puNyakR^itaM@
@of those who seek victory@|@jigishhataaM@
@of those whose minds@|@chetasaaM@
@of three kinds@|@tridhaa, trividhaa, trividhaH, trividhaM@
@of transference of the body@|@dehaantara@
@of truth@|@satyasya@
@of unwanted children@|@varNasaN^kara@
@of unwanted population@|@saN^karasya@
@of valients@|@paraakramaaNaaM@
@of vibrations@|@giraaM@
@of warrior kings@|@avanipaala@
@of wealth and false prestige@|@dhanamaana@
@of women@|@naariiNaaM@
@of works under material influence@|@guNakarma@
@offer@|@juhvati, upajuhvati@
@Offer@|@arpaNa@
@offer obeisances@|@namaskuru@
@offered@|@hutaM@
@offered in devotion@|@bhaktyupahR^itaM@
@offering my respects unto You@|@namaste@
@offering obeisances@|@namaskR^itvaa, namasyantaH, praNamya@
@offerings@|@havishhaa@
@offerings (usually made to a fire)@|@huta@
@offers@|@prayachchhati@
@Oh !@|@aho@
@Oh Lord@|@prabho@
@Oh Muraa's enemy!(KrishhNa)@|@muraare@
@Oh! lady having the best face!@|@varaanane@
@oil@|@taila@
@okra@|@bhiNDiH@
@old@|@vriddha@
@old (also heard as aashiina)@|@aashina@
@old age@|@jaraa@
@old and useless@|@jiirNaani@
@old man@|@vR^iddhaH@
@old/digested (by disease etc)@|@jarjara@
@on a thread@|@suutre@
@on account of being subtle@|@suukshmatvaat.h@
@on achievement of the causeless mercy of the Lord@|@prasaade@
@on all sides@|@dishaH@
@on earth@|@ahi@
@on enemies@|@arishhu, vairishhu@
@on seeing@|@vilokya@
@on the arrival@|@aagame@
@on the battlefield@|@raNe@
@on the day@|@divase@
@on the earth@|@bhumau@
@on the head@|@muurdhni@
@on the opposite sides@|@pratyaaniikeshhu@
@on the path@|@pathi, vartmani@
@on the seat@|@aasane, upasthe@
@on the strength of KRishhNa consciousness@|@buddhiyogaat.h@
@on the subject matter@|@vishhayaaH@
@on the surface of the earth@|@bhuutala@
@on the water@|@ambhasi@
@on them@|@teshhu@
@on/from all sides (indecl)@|@sarvataH@
@once even@|@sakR^idapi@
@one@|@eka, ekaaH, ekaM@
@one attains@|@R^ichchhati@
@one by one@|@ekaikaM@
@one can attain@|@gamyate@
@one committing the most abominable actions@|@suduraachaaraH@
@one falls down@|@praNashyati@
@one fixed in KRishhNa consciousness@|@sthitadhiiH@
@one gives up@|@vimuJNchati@
@one has to enjoy@|@bhuJNjiiya@
@one is bewildered@|@vimuhyati@
@one knowable thro' `upanishat.h'@|@vedaantavedyo@
@one must deliver@|@uddharet.h@
@one must give up@|@tyajet.h@
@one necessarily engages@|@anushhajjate@
@one of the forms of Shiva@|@bhairava@
@one of the mudras@|@shaktichaalanii@
@one of the schools (systems) of Indian philosophy@|@mimaa.nsaa, vaisheshikaa@
@one of the schools(systems) of Indian philosophy@|@saaN^khya@
@one of the vital airs@|@devadatta@
@one of Vishnu's jewels@|@kaustubha@
@one second@|@kshaNaM@
@one should come@|@aagachchhet.h@
@one should hold back@|@uparamet.h@
@one sustains@|@dhaarayate@
@one that belongs to earth@|@siitha@
@one that bestows@|@pradaa@
@one that burns@|@dahat.h@
@one that changes@|@parivartin.h@
@one that has a nice fragrance@|@sugandhiM@
@one that has flowered@|@pushhpita@
@one that is wearing vasu@|@vasudhara@
@one thousand@|@sahasra@
@one to whom@|@yaM@
@one tries to see through authority@|@anupashyati@
@one who  does@|@kurvaaNa@
@one who cannot judge value correctly@|@ku-pariikshaka@
@one who carries@|@bhR^it.h@
@one who desires material gain@|@arthaarthii@
@one who desires to fulfill desires@|@kaamakaamii@
@one who disregards@|@alakshamaana@
@one who does not have any brothers / kinmen@|@abandhu@
@one who eats@|@khaadat.h@
@one who enjoys@|@bhoktiaa@
@one who follows regulated freedom@|@vidheyaatmaa@
@one who gives@|@daataaram.h@
@one who has a single tusk@|@ekada.ntaM@
@one who has killed Mura - Lord Vishnu@|@murabhit.h@
@one who has no desire@|@nisspR^iha@
@one who has no limits@|@apaaraa@
@one who has renounced@|@sa.nnyasta@
@one who has renounced the world@|@sa.nnyasi@
@one who has tej (brilliance)@|@tejasvin.h@
@one who has the abode@|@dhaama@
@one who has understood the world(vishva)@|@vishvavedaaH@
@one who hears@|@shrotaaram.h@
@one who holds flute attribute to Krishna@|@muraliidhara@
@one who is controlled@|@vashii@
@one who is cut up@|@utkR^ityamaana@
@one who is dovetailed in KRishhNa consciousness@|@yogayuktaatmaa@
@one who is engaged in auspicious activities@|@kalyaaNakR^it.h@
@one who is engaged in devotional service@|@buddhiyuktaH@
@one who is in factual knowledge@|@kR^itsnavit.h@
@one who is in knowledge@|@GYaanii@
@one who is not attached@|@asaktaatmaa@
@one who is not in KRishhNa consciousness@|@ayuktaH@
@one who is thoughtful and just@|@vivekin.h@
@one who knows (suffix)@|@GYa@
@one who knows everything@|@sarvavid.h@
@one who knows the Supreme perfectly@|@brahmavit.h@
@one who leads to the greatest happiness@|@paramaananda@
@one who lives@|@jiivamaana, vasat.h@
@one who lives / behaves@|@vartin.h@
@one who performs herculean tasks@|@bhiimakarmaa@
@one who practices yoga (Female)@|@yoginii@
@one who practices yoga (Male)@|@yogii, yogin.h@
@one who rides the elephant@|@hastipakaH@
@one who speaks nice things@|@priyavaadii@
@one who strolls@|@vihaariNi@
@one who takes a dip@|@majjat.h@
