@English@|@Italian (Theology)@
@nupital@|@geniale@
@obedience@|@sottomissione@
@obedient@|@sottomesso@
@object@|@proposito, scopo@
@objection@|@incidente@
@objective@|@fine@
@obligation@|@dovere, impegno, vincolo@
@obscure@|@involuto, oscuro@
@observation@|@constatazione@
@obsessed (past part. of fissare)@|@fissato@
@obstacle@|@imbarazzo@
@obstinate@|@ostinato@
@obtained@|@ricavato@
@obvious@|@lapalissiano, palese@
@obviousness@|@evidenza@
@occasion@|@argomento, incontro, ricorrenza, spunto, volta@
@occasional@|@rado, sparso@
@occasionally@|@a volte, di tanto in tanto@
@occupied@|@impedito, impegnato@
@occurrence@|@vicenda@
@odd@|@impari@
@of@|@fra, tra@
@of a proposal@|@propositivo@
@of- about@|@di@
@of- about- by or with him/her/it@|@ne@
@of course@|@beninteso, già, per forza@
@of course (beninteso- certo- magari)@|@senz'altro@
@of course (beninteso- magari- senz'altro)@|@certo@
@of no importance@|@nullo@
@of no use@|@nullo@
@of time@|@temporale@
@of today@|@odierno@
@of which@|@cui@
@of whom@|@cui@
@off@|@via@
@offender@|@colpevole@
@offense@|@ferita@
@offer@|@proposta@
@offering of firstlings@|@primizia@
@office@|@carica, intendenza, ministero@
@offspring@|@progenie@
@often@|@non di rado, sovente@
@oil@|@unto@
@Old Testament@|@veterotestamentario@
@omen@|@prodigio@
@omission@|@salto@
@on@|@acceso, addosso, innanzi, inserito, su@
@on account of@|@stante@
@on all sides@|@dappertutto@
@on behalf of@|@per incarico di@
@on earth@|@quaggiù@
@on one's back@|@rovescio@
@on one's side@|@solidale@
@on par with@|@paragonabile@
@on purpose@|@appositamente, apposta@
@on the average@|@mediamente@
@on the condition that@|@purchè@
@on the contrary@|@al contrario, anzi, incontro, invece@
@on the face of it@|@apparentemente@
@on the one hand…- on the other hand@|@da un canto…- dall'altro canto@
@on the other hand@|@d'altra parte, oppure@
@on the other hand (benchè- comunque- nondimento- per quanto- pure- tuttavia)@|@peraltro@
@on the other side@|@al di là@
@on the surface@|@in apparenza, inapparenza@
@on top of@|@addosso@
@once more (da capo- da principio- sin dall'inizio)@|@daccapo@
@once more (dacappo- da principio- sin dall'inizio)@|@da capo@
@one@|@singolo, unico@
@one another@|@a vicenda@
@one's best@|@fattibile@
@one's own@|@proprio@
@only@|@appena, meramente, puramente, solo, soltanto, unigenito@
@onto@|@su@
@onward@|@innanzi@
@open@|@patente, scoperto@
@opening@|@prospettiva, sbocco, uscita@
@openly@|@apertamente@
@open-mindedness@|@disponibilità@
@openness@|@apertura@
@operating@|@attivo@
@operation@|@gestione, intervento@
@operative@|@dispositivo@
@opinion@|@apprezzamento, avviso, concetto, giudizio, pensiero, sentenza, sentimento@
@opponent@|@rivale@
@opportunity@|@agio, modo, sbocco, sorte, spunto, taglio@
@opposed@|@contrario@
@opposing@|@avversario, contrapposto, opposto@
@opposite@|@contrapposto, contrario, davanti a, di fronte a@
@optional@|@facoltativo@
@or@|@oppure, ovvero@
@or else@|@altrimenti, oppure@
@or rather@|@cioè, ovvero@
@or rather (cioè)@|@ossia@
@ordeal (calvario- ordalia)@|@prova@
@order@|@disposizione, disposizione, precetto, regola@
@ordinary@|@corrente, qualunque, volgare@
@ordinary (qualsiasi- qualsivoglia)@|@qualsivoglia@
@ordinary (qualunque- qualsivoglia)@|@qualsiasi@
@organized@|@organico@
@origin@|@fonte, genesi, germe, principio, sorgente, stirpe@
@originality@|@novità@
@ostentatious@|@appariscente@
@other@|@altro@
@other people's@|@altrui@
@other side@|@rovescio@
@otherwise@|@altrimenti, oppure, sennò@
@out of it@|@ne, ne@
@out of there@|@ne@
@outbreak@|@scoppio@
@outburst@|@accesso, crisi, scoppio@
@outcome@|@conseguenza, esito, risultato, riuscita@
@outflow@|@sbocco, uscita@
@outing@|@gita@
@outlet@|@sfogo, uscita@
@outline@|@compendio, quadro, traccia, tracciato@
@outlook@|@prospettiva@
@outside@|@davanti a@
@outstanding@|@notevole@
@outstretched@|@disteso, teso@
@outwardly@|@inapparenza@
@over@|@al di sopra di, compiuto, lungo, oltre, su@
@over again@|@da capo, daccapo@
@over there@|@laggiù@
@overbearing person@|@prepotente@
@overburdened@|@sovraccarico@
@overindulgence@|@disordine@
@overly@|@oltremisura, oltremodo@
@overpowering@|@travolgente@
@overripe@|@mezzo@
@oversight@|@scorso@
@overwhelming@|@travolgente@
@owing to@|@stante@
@owner@|@detentore, padrone@
@ownership@|@proprietà@
@pace@|@passo@
@pack@|@progenie@
@packed@|@affollato@
@packed with@|@fitto@
@pain@|@pena, pianto, travaglio@
@painful@|@angoscioso@
@pain-stricken@|@sofferente@
@painting@|@quadro@
@pair@|@binomio, coppia@
@paired@|@pari@
@pang@|@fitta@
@paragraph@|@capitolo@
@parallel@|@accostamento, riscontro@
@parapet@|@sponda@
@parenesis@|@paranese@
@parish priest@|@parroco, proposto@
@part@|@componente, ruolo, tratto@
@parte@|@pezzo@
@partiality@|@predilezione@
@partially@|@in parte@
@participating@|@partecipe@
@participation@|@coinvolgimento, intervento@
@particular@|@dettaglio@
@particular about@|@geloso@
@particularly@|@soprattutto@
@parting@|@allontanamento, commiato@
@partition@|@spartizione@
@partner@|@compagno@
@pass@|@tessera@
@passage@|@passo, tragitto, tramite, tratto@
@passing@|@scomparsa@
@passion@|@fuoco@
@passionate@|@travolgente@
@Passover@|@Pasqua@
@past@|@precedente@
@past (past part. of scorrere)@|@scorso@
@pastor@|@pastore@
@path@|@cammino, percorso, pista, via@
@pathetic@|@patetico@
@pathway@|@sentiero@
@patrimony@|@patrimonio@
@pattern@|@specchio@
@pause@|@sosta@
@pawn@|@pegno@
@payable@|@dovuto@
@peace@|@sosta@
@peacefulness@|@pacato@
@peak@|@culmine, pienezza, punta, vertice@
@peasant@|@contadino, contadino@
@peer@|@pari@
@penetrating@|@incisivo@
@perennial@|@perenne@
@perfection@|@finitezza@
@performance@|@esplicazione, rendimento@
@perfume@|@profumo@
@perhaps@|@chissà, magari@
@perhaps (ex:  Può darsi che venga domani. = Maybe he will come tomorrow.)@|@può darsi@
@peril@|@azzardo, rischio@
@period@|@epoca, età, spazio, stadio@
@period of time@|@tratto@
@perishable@|@caduco@
@permission@|@consenso, licenza@
@permissive@|@lassista@
@perpetual@|@perenne@
@perplexity@|@sconcerto@
@perservering@|@costante@
@persistent@|@ostinato@
@person@|@creatura@
@person in charge@|@preposto@
@person of note@|@notabile@
@person one is talking to@|@interlocutore@
@person without importance@|@comparsa@
@personal@|@privato, soggettivo@
@personnel@|@effettivo@
@perspective@|@scorcio@
@pertaining@|@inerente@
@petition@|@istanza, richiesta, ricorso, supplica@
@phase@|@stadio@
@philosophy@|@pensiero@
@photo@|@scatto@
@phrase@|@modo@
@physicist@|@fisico@
@physique@|@fisico@
@picked@|@colto, raccolto@
@picture@|@immagine, quadro, ritratto@
@picturesque@|@suggestivo@
@piece@|@brano, tratto@
@piety@|@pietà@
@pile@|@meta, monte@
@pillage@|@sacco@
@pillar@|@colonna@
@piously@|@santamente@
@pipe (comportamento)@|@condotta@
@pit@|@fossa, miniera, osso, pozzo@
@pith@|@midollo@
@pitiful@|@sconfortante@
@pitiless@|@empio@
@pius@|@pio@
@place of residence@|@stanza@
@plague@|@piaga@
@plain@|@diritto, dritto, palese, piano@
@plainly@|@apertamente@
@plainness@|@evidenza@
@plan@|@concetto, piano, pianta, proposito, traccia, trama@
@plane@|@piano@
@planning@|@impostazione@
@plausible@|@verosimile@
@plea@|@sollecitazione@
@pleasant@|@gradito@
@pleasantness@|@sorriso@
@pleasure@|@grado@
@pledge@|@caparra@
@plenty of@|@parecchio@
@pliable@|@morbido@
@plot@|@congiura, intreccio, pianta@
@plot (past part. of tracciare)@|@tracciato@
@plunder@|@sacco@
@point@|@proposito, scopo@
@point of view@|@lato, prospettiva@
@pointing out@|@prospettazione@
@policy@|@indirizzo, politica@
@politeness@|@civiltà@
@political life@|@politica@
@poll@|@inchiesta, sondaggio@
@pomposity@|@enfasi@
@poor@|@bisognoso, scarso@
@portion@|@parte@
@portrayal@|@ritratto@
@position@|@atteggiamento, attitudine, gesto, impiego, postazione, rango, ruolo@
@position;@|@carica@
@positive@|@propositivo@
@positively@|@addirittura@
@possession@|@avere, proprietà@
@possible@|@fattibile@
@possibly@|@chissà@
@post@|@incarico@
@posting@|@impostazione@
@postponed@|@sospeso@
@postponement@|@aggiornamento, indugio, rimando, rinvio@
@posture (atteggiamento- atto)@|@attitudine@
@pot@|@vaso@
@poverty@|@indigenza@
@powder@|@polvere@
@power@|@carica, diritto, potestà@
@power (potestà- potenza- potere)@|@forza@
@power of attorney@|@delega@
@power to sign@|@firma@
@practicable@|@fattibile@
@practice@|@abitudine@
@preamble@|@cappello, esordio@
@precaution@|@avvertenza, provvedimento@
@preceeding@|@antecedente, precedente, premesso, previo@
@precious@|@aureo@
@precious stone@|@gioia@
@precise@|@preciso, stretto@
@precisely@|@appunto@
@predicament@|@stretta@
@predication@|@predicazione@
@predictable@|@prevedibile@
@predominance@|@prevalenza@
@predominantly@|@prevalentemente@
@preface@|@proemio@
@preference@|@propensione@
@pregnant@|@incinta@
@preliminary agreement@|@compromesso@
@premise@|@premessa@
@premises@|@premessa@
@premonition@|@presagio@
@prescribed@|@canonico@
@present@|@dono@
@preservation@|@mantenimento, tutela@
@preservative@|@conservatore@
@press@|@pressa, stretta@
@pressed@|@stretto@
@pressing@|@prepotente, serrato@
@pressure@|@spinta@
@presumptiousness@|@presunzione@
@prevalently@|@prevalentemente@
@prevented from@|@impossibilitato@
@previous@|@antecedente, innanzi, premesso, previo@
@price@|@taglia, valore@
@priceless@|@impagabile@
@pride@|@superbia@
@priest@|@pastore@
@primarily@|@anzitutto@
@principal@|@principe@
@principally@|@prevalentemente@
@principle@|@norma, principio@
@print@|@copia, impronta@
@prior@|@antecedente, precedente, previo@
@priority@|@precedenza@
@proactive@|@propositivo@
@probable@|@verosimile@
@probably@|@verosimilmente@
@procedure@|@forma, modalità, procedimento@
@proceedings@|@procedimento@
@proceeds@|@profitto@
@process@|@procedimento@
@product@|@ritrovato@
@production@|@realizazzione@
@profit@|@resa, ricavato@
@progeny@|@stirpe@
@progress@|@profitto, svolgimento@
@progress (percorso- tragitto)@|@cammino@
@prohibited (past part. of vietare)@|@vietato@
@project@|@concetto@
@prominent@|@eminente@
@promise@|@impegno@
@promoted@|@promosso@
@prompt@|@spiccio@
@proof@|@argomento, bozza, prova@
@prop@|@sostegno@
@proper@|@adatto, apposito, congruo, conveniente, dicevole, doveroso, dovuto, proprio, volgare@
@properly@|@propriamente@
@property@|@campagna@
@prophecy@|@presagio@
@prophet@|@veggente@
@prophetic@|@delfico@
@proposable@|@proponibile@
@proposed@|@propositivo@
@proposition@|@tesi@
@proprietor@|@proprietario@
@prospect@|@prospettiva, sbocco@
@prostrate@|@affranto@
@protection@|@scudo@
@protective@|@cautelare@
@protocal@|@cerimoniale@
@proud@|@orgoglioso@
@proven@|@sperimentato@
@proverb@|@adagio, dettato@
@provided@|@disposto, provvisto@
@provided that@|@purchè, sempre che@
@providential event@|@provvidenza@
@providing@|@provvidenza@
@provision@|@clausola, clausola, convenzione, disposizione, provvidenza@
@proximity@|@vicinanza@
@proxy@|@delega@
@prudence@|@avvertenza, cautela@
@prudent@|@avveduto@
@publication@|@uscita@
@puff@|@sospiro@
@punishment@|@pena@
@pupil@|@allievo@
@pure@|@casto, fino@
@purely@|@castamente, meramente, puramente@
@purpose@|@fine@
@pursuer@|@inseguitore@
@pursuing@|@inseguitore@
@push@|@impulso, urto@
@pushed@|@spinto@
@putting into perspective@|@ridimensionamento@
@qualified@|@idoneo@
@quarrel@|@lotta@
@quest@|@ricerca@
@questionable@|@discutibile, preteso@
@quick@|@spiccio@
@quickness@|@prontezza@
@quietly@|@piano@
@quietness@|@pacato@
@quite@|@affatto, piuttosto, propriamente@
@quite a few@|@diverso@
@quite a long@|@parecchio@
@quite a lot@|@parecchio@
@quite a lot of@|@parecchio@
@quite the opposite!@|@tutt'altro@
@race@|@genere, stirpe@
@rage@|@collera, ira@
@raise@|@rilancio@
@raising@|@rilancio@
@range@|@ambito, ampiezza, catena, portata, respiro, serie@
@range (ambito- portata)@|@sfera@
@rank@|@grado@
@ransom@|@riscatto, taglia@
@rapture@|@estasi@
@rare@|@rado@
@rarely@|@di rado@
@rash@|@incauto@
@rather@|@alquanto, anzi, bensì, parecchio, piuttosto@
@rather than@|@anzichè@
@ratified@|@omologato@
@ratio@|@rapporto@
@rational@|@ragionevole@
@ray@|@razza@
@reach@|@misura, portata@
@readiness@|@propensione, sollecitudine@
@ready@|@spinto@
@real@|@verace@
@realization@|@attuazione, esplicazione, realizazzione@
@really@|@davvero, difatti, infatti, propriamente, proprio, veramente@
@really!@|@addirittura@
@reason@|@causa, raziocinio, scopo@
@reasonable@|@agevole, contenuto, conveniente, ragionevole, sensato@
@reasonableness@|@mitezza@
@reasoning@|@raziocinio@
@reassuring@|@rassicurante@
@rebellion@|@rivolta, sommossa@
@rebuke@|@ammonimento@
@recapitulation@|@epilogo, riassunto@
@receipts@|@ricavato@
@recent (vicino- nei dintorni)@|@prossimo@
@reception@|@accoglienza@
@reception (accolta- raduno)@|@incontro@
@reception room@|@salone@
@recipe@|@ricetta@
@reciprocal@|@vicendevole@
@recognizable@|@ravvisabile, riconoscibile@
@recognized (past part. of omologare)@|@omologato@
@reconnoitering@|@scoperta@
@record@|@precedente, primato@
@recovery@|@ripresa, risveglio@
@rector@|@proposto@
@recurrence@|@ricorso@
@reduced@|@ridotto@
@reduction@|@ridimensionamento@
@reference@|@attestato, richiamo@
@refinement@|@finezza@
@refuge@|@rifugio@
@refused@|@respinto@
@regard@|@conto, pregio@
@regarding@|@circa, per quanto riguarda, riguardante@
@regardless (a parte- a prescindendo da)@|@a prescindere da@
@regardless (a parte- a prescindere da)@|@a prescindendo da@
@regards@|@dovere@
@region@|@parte@
@regret@|@pentimento@
@regular@|@abituale@
@regulation@|@provvedimento@
@reinforced with iron@|@ferrato@
@reintroduction@|@rilancio@
@rejected@|@respinto@
@rejection@|@rifiuto@
@related@|@collegato@
@related to@|@inerente@
@relation@|@nesso, rapporto@
@relation (aggancio- legame- nesso- raccordo- rapporto- vincolo)@|@collegamento@
@relationship@|@apparentamento, rapporto@
@relaunching@|@rilancio@
@relaxed@|@disteso@
@relaxed (past part. of pacare)@|@pacato@
@releasable@|@rinunciabile@
@release@|@scatto, sfogo, uscita@
@releasing@|@sganciamento@
@reliability@|@affidabilità@
@reliable@|@affidabile, attendibile, fidato@
@reliance@|@fiducia@
@religion@|@culto@
@religious@|@cultuale@
@remainder@|@resto@
@remains@|@resto@
@remains (cadavere)@|@salma@
@remains (orme)@|@vestigio@
@remark@|@appunto, avvertimento, commento, constatazione, rilievo, uscita@
@remarkable@|@eminente, notabile, notevole, pregevole, sorprendente@
@remedy@|@farmaco, ricetta@
@remorse@|@pentimento@
@removal@|@allontanamento@
@removed@|@rimosso@
@removed (past part. of sconfiggere)@|@sconfitto@
@rendering (prestazione)@|@rendimento@
@renewal@|@ripresa@
@renounceable@|@rinunciabile@
@renovation@|@rinnovamento@
@renowned@|@rinomato@
@reorganization@|@ridimensionamento@
@repeated@|@spesso@
@repelled@|@respinto@
@repercussion@|@ricaduta@
@replacable@|@fungibile@
@report@|@inchiesta, rapporto@
@representative (past part. of inviare)@|@inviato@
@repressed@|@rimosso@
@reprimand@|@ammonimento, appunto@
@reproduction@|@copia@
@reputation@|@nome@
@request@|@invito, sollecitazione@
@requirement@|@esigenza, istanza, presupposto, richiesta@
@resemblance@|@affinità@
@resort@|@ricorso@
@resources (adj.)- half@|@mezzo@
@respectable (ex:  È tutto a posto - everything is in order@|@a posto@
@respectful@|@timorato@
@respects@|@dovere@
@respite@|@respiro, tregua@
@responsible@|@colpevole, cosciente@
@rest@|@respiro, restante, sosta, tregua@
@restitution@|@resa@
@restless@|@inquieto@
@restraint@|@sobrietà@
@restricted@|@ristretto@
@restriction (aggancio- collegamento- legame- nesso- raccordo- rapporto)@|@vincolo@
@restrictive@|@riduttivo@
@result@|@conseguenza, fine@
@resurrected@|@risorto@
@retirement@|@esilio, ritiro@
@retreat@|@ritiro@
@return@|@rendimento, resa@
@revenue@|@mensa@
@reverse@|@rovescio, verso@
@revision@|@rivista@
@revival@|@ripresa, risveglio@
@revived@|@risorto@
@revokation@|@ritiro@
@revolt@|@sommossa@
@revolution@|@rivolgimento@
@reward@|@premio, taglia@
@rib (past part. of costare)@|@costato@
@riches@|@avere, ricchezza@
@rift@|@spaccatura@
@rigged (past part. of truccare)@|@truccato@
@right@|@adatto, allora, diritto, diritto, doveroso, dritto, giusto, lecito, retto@
@right (past part. of adeguare)@|@adeguato@
@right hand or side@|@destra@
@right side@|@diritto@
@rightful@|@dovuto@
@rightly@|@rettamente@
@rigorous@|@rigoroso@
@ring@|@cerchio@
@riot@|@sommossa@
@rise@|@ascesa, aumento@
@rise and falling@|@parabola@
@risen@|@risorto@
@rising@|@crescente, levare, spuntare@
@risk@|@azzardo, incerto, scommessa@
@risky (past part. of spingere)@|@spinto@
@rival@|@concorrente, concorrente@
@road@|@via@
@rock@|@rocca@
@role@|@parte, ruolo@
@roll@|@elenco, organico, rotolo@
@roll call@|@appello@
@room@|@ambiente, spazio@
@roomy@|@ampio@
@rooster@|@gallo@
@root@|@fonte, tema@
@rooted@|@radicato@
@rot@|@carie@
@rotten@|@mezzo@
@roughly@|@bruscamente, dipresso, su@
@round@|@attorno a, scarica@
@route@|@cammino, circuito, itinerario, tracciato, via@
@routine@|@prassi@
@row@|@distesa, riga@
@royalty@|@regalità@
@rude@|@volgare@
@rudely@|@bruscamente@
@ruin@|@rovina@
@rule@|@consuetudine, legge, norma, precetto@
@ruler@|@reggente@
@rules@|@ordinamento@
@run@|@affondo@
@running@|@condotta@
@rural@|@contadino@
@ruthlessness@|@crudeltà@
@sack@|@sacco@
@sackcloth@|@sacco@
@sacred@|@sacro@
@saddening@|@rattristamento@
@sadness@|@amarezza@
@safe@|@salvo@
@safety@|@scampo@
@sailing@|@partenza@
@sale@|@saldo@
@same@|@medesimo, preciso@
@satisfiable@|@appagabile@
@saying@|@adagio, dettato@
@scale@|@bilancia, gamma@
@scarce@|@scarso@
@scarcity@|@carenza, indigenza@
@scarsley@|@appena@
@scattered@|@sparso@
@scene@|@quadro@
@scenery@|@scena@
@scent@|@effluvio@
@schedule@|@elenco, piano, quadro, specchio@
@scheduling@|@pianificazione@
@scholar@|@chierico@
@scholarship@|@dottrina@
@scope (ambito- sfera)@|@portata@
@scorn@|@disprezzo, sdegno@
@scrupulous@|@timorato@
@scuffle@|@mischia@
@seal@|@bolla@
@search@|@ricerca@
@seat@|@banco, sede@
@secluded spot@|@ritiro@
@seclusion@|@clausura, ritiro@
@second thoughts@|@pentimento@
@secret@|@celato@
@secret (celato- nascosto) (past part. of coprire)@|@coperto@
@secret society@|@setta@
@section@|@tratto@
@secular@|@laico, temporale@
@secure@|@saldo, salvo@
@security@|@garanzia, pegno, sicurezza@
@seed@|@germe@
@seeing that@|@dato che@
@seemingly@|@apparentemente, inapparenza@
@segregation@|@emarginazione@
@seigniory@|@signoria@
@seizing@|@presa@
@seldom@|@di rado, rado@
@selection@|@scelta@
@self-evident@|@lapalissiano@
@seminarian- altar boy@|@chierico@
@seminary@|@seminario@
@sending away@|@allontanamento@
@sending back@|@rimando, rinvio@
@senior@|@anziano@
@sensation@|@senso@
@sense@|@senso, sentimento, significato@
@sense of direction@|@orientamento@
@senses@|@senno, sentimento@
@sensibility@|@senso@
@sensible@|@ragionevole, sensato@
@sentiment@|@sentimento@
@sentry@|@scolta@
@separate@|@a parte, a sé stante, singolo@
@separately@|@a parte@
@separation@|@distacco@
@sequence@|@catena, compendio, serie, vicenda@
@serene@|@lieto@
@series@|@compendio, fuga, sequela, ventaglio, vicenda@
@sermon@|@predica@
@service@|@prestazione@
@set@|@aggregato, assieme, complesso, fissato, gamma, insieme, muta, parrocchia, serie@
@setback@|@rovescio@
@setting@|@cornice@
@setting (ambientazione- ambiente- fondo)@|@sfondo@
@settled@|@a posto@
@settlement@|@compromesso@
@several@|@alquanto, parecchio@
@severe@|@rigoroso@
@severity@|@durezza@
@shade@|@sfumatura@
@shadow@|@ombra@
@shadows@|@tenebre@
@shaft@|@pozzo@
@shallow@|@basso@
@sham@|@finta@
@shameful@|@indegno@
@shape@|@formato@
@shaped@|@formato@
@share@|@parte@
@sharing@|@partecipe, spartizione@
@sharp@|@fino, incisivo, preciso@
@sharpness@|@finezza@
@shattered@|@affranto, infranto@
@shed@|@sparso@
@sheer@|@puro@
@shelter@|@ricetto@
@sheltered@|@coperto@
@shift@|@spostamento, svolta@
@ship@|@legno@
@shocked@|@sconvolto@
@shocking@|@impressionante, sconvolgente@
@shore@|@sponda@
@short@|@basso, ridotto@
@short period@|@scorcio@
@shortage@|@carenza, indigenza@
@shortcoming@|@carenza@
@short-lived@|@caduco@
@should@|@dovere@
@shove@|@spinta, urto@
@shower@|@rovescio, scarica, tempesta@
@showy@|@appariscente@
@shrewd@|@avveduto@
@shrewdness@|@politica@
@shrinkage@|@ritiro@
@shut@|@serrato@
@shutter@|@imposta@
@shutting@|@chiusura@
@shy@|@vergognoso@
@shyness@|@vergonia@
@side@|@canto, costato, faccia, parete, parte, spalla, sponda@
@sigh@|@respiro@
@sighing@|@sospiro@
@sight@|@mira, quadro@
@sign@|@accenno, attestazione, atto, gesto, indizio, prodigio, segno, traccia@
@significance@|@portata, valore@
@significance (past part. of significare)@|@significato@
@significant@|@significativo@
@signing@|@firma@
@silliness@|@sciocchezza@
@similar@|@affine, cosifatto, pari@
@similar (nei dintorni- prossimo)@|@vicino@
@similarity@|@assomiglianza, rassomiglianza, somiglianza, vicinanza@
@similiarity@|@affinità@
@simple@|@piano, singolo@
@simplicity@|@sobrietà@
@simply@|@meramente, puramente@
@simultaneously@|@contemporaneamente@
@since@|@dato che, già, giacchè, in quanto, poichè, premesso che, siccome, sino@
@sincerity@|@verità@
@sinful@|@peccaminoso@
@singing@|@canto@
@single@|@solo, unico@
@singleness@|@unicità@
@situation@|@impiego@
@size@|@formato, lunghezza, misura, taglio@
@skeleton (salma)@|@cadavere@
@sketch@|@tracciato@
@skill@|@capacità@
@skilled@|@dotto, sperimentato@
@skillful@|@abile, maestro, valente@
@skillful in@|@destro@
@slander@|@calunnia@
@slave@|@servo@
@slavedriver@|@schiavista@
@slender@|@sottile@
@sliding@|@scorrevole@
@slope@|@dicesa, discesa@
@slow@|@indietro, lento, lungo@
@slowly@|@lento, piano@
@sluggish@|@lento@
@sly@|@sottile@
@sly one@|@dritto@
@small@|@pargolo, ridotto@
@smooth@|@morbido, piano@
@snare@|@rete@
@so@|@così, così che, cosicchè, orbene, per cui, sicchè, tale, talmente@
@so (allora- così- dunque- per cui- perciò- pertanto- sicchè)@|@quindi@
@so (allora- così- dunque- per cui- perciò- quindi- sicchè)@|@pertanto@
@so (così- dunque- per cui- perciò- pertanto- quindi- sicchè)@|@allora@
@so far@|@finora@
@so far (finora)@|@sinora@
@so it seems (a quanto sembra)@|@a quanto pare@
@so many@|@tanto@
@so much@|@talmente, tanto@
@so that@|@affinchè, onde@
@so that (così che)@|@cosicchè@
@so that (cosicchè)@|@così che@
@so-called@|@cosidetto, preteso@
@society@|@civiltà@
@soft@|@basso, morbido@
@soil@|@suolo@
@sole@|@singolo@
@solely@|@unicamente@
@solidity@|@solidità@
@solidly behind@|@solidale@
@solution@|@rimedio, risultato@
@some@|@alquanto, ne, qualche, qualcheduno, qualcuno, quale, taluno@
@somebody (alcunchè)@|@qualcosa@
@somehow@|@in qualche modo@
@someone@|@qualcheduno, qualcuno, taluno, tizio@
@someone else's@|@altrui@
@something@|@alcunchè@
@sometimes@|@a volte, talora, talvolta@
@somewhat@|@alquanto, piuttosto@
@soon@|@ben presto, subito@
@sorrow@|@danno, piaga@
@sorrows@|@amarezza@
@sort@|@genere, razza, specie@
@sorted out@|@a posto@
@sound@|@duraturo, saldo, sussistente@
@soundness@|@solidità@
@source@|@fonte, sorgente@
@source (fonte- germe- origine- principio- sorgente)@|@provenienza@
@source (fonte- origine- principio- provenienza- sorgente)@|@germe@
@south@|@meridionale@
@southerly@|@meridionale@
@sovereignty@|@regalità@
@space@|@vouto@
@spare@|@scarno@
@sparse@|@rado, sparso@
@speaking of@|@a proposito di@
@special@|@apposito@
@speech@|@battuta, intervento@
@speed@|@marcia@
@sphere (ambientazione- fondo- sfondo)@|@ambiente@
@spirit@|@genio@
@splendid@|@superbo@
@split@|@rotto@
@splitting@|@spaccatura@
@spontaneous@|@volontario@
@sportingly@|@sportivamente@
@spot@|@macchia@
@spotted@|@macchiato@
@sprint@|@fuga@
@sprouting@|@spuntare@
@squeeze@|@stretta@
@staff@|@effettivo, organico@
@stag@|@cervo@
@stage@|@scena, stadio, tappa@
@stained@|@macchiato@
@stair@|@gradino@
@stamina@|@tenuta@
@stamp@|@impronta@
@stamped (past part. of affrancare)@|@affrancato@
@stance (attitudine- atto)@|@atteggiamento@
@standard@|@norma@
@standard or usual procedure@|@prassi@
@standing@|@rango@
@standpoint@|@lato@
@standstill@|@blocco@
@stare@|@sguardo@
@start@|@impostazione, partenza@
@starting from@|@a partire@
@starting point@|@spunto@
@starting signal@|@via@
@state@|@sorte@
@stated@|@esposto@
@stately@|@imponente@
@statement@|@attestazione, impostazione, intervento, rapporto@
@statement of fact@|@constatazione@
@status@|@grado, rango, stato@
@steadfast@|@saldo@
@steadfastness@|@fermezza@
@steadiness@|@fermezza@
@stem@|@gamba@
@stem (of a word)@|@tema@
@step@|@passo@
@stern@|@rigoroso@
@stick@|@bastone, legno@
@still@|@anche, ancora, pure@
@still (ancora)@|@tuttora@
@still less@|@nonché@
@stimulating (i.e. discussion)@|@suggestivo@
@stimulus@|@sollecitazione, spinta@
@stinginess@|@avarizia@
@stirred@|@commosso@
@stone@|@osso@
@stop@|@tappa@
@stoppage@|@blocco@
@storm@|@scarica@
@story@|@favola@
@straight@|@addirittura, diretto, diritto, dritto@
@straight (diritto- dritto)@|@retto@
@straight line@|@retta@
@strain@|@sforzo, sollecitazione@
@strained@|@teso@
@strange@|@forestiero@
@stranger@|@forestiero@
@stray@|@sparso@
@streak@|@vena@
@stream@|@corrente, filone, fiume@
@streamlining@|@ridimensionamento@
@strength@|@potenza, tenuta@
@strengthened@|@rinsaldato@
@strengthening@|@sviluppo@
@strengthing@|@rafforzamento@
@stress@|@enfasi, rilievo, sforzo, sollecitazione@
@stretch@|@distesa, specchio@
@stretching@|@allargata@
@strict@|@rigoroso@
@strictly@|@strettamente@
@striking@|@appariscente, impressionante, suggestivo@
@string@|@filo@
@stripe@|@balzo, riga@
@striped@|@variegato@
@stroke@|@tratto@
@strong@|@saldo@
@struck@|@battuto@
@structure@|@assetto@
@stubborn@|@ostinato@
@stubborn person@|@mulo@
@stuck-up@|@superbioso@
@study@|@indagine@
@stunning@|@impressionante@
@stupid@|@sciocco, stolto@
@style@|@forma, moda, uso@
@subdued@|@sottomesso@
@subject@|@proposito, sottomesso, tema, tematica@
@subject matter@|@argomento, contenuto@
@subject to@|@previo@
@subjection@|@sottomissione@
@subjective@|@soggettivo@
@submissive@|@mansueto, sottomesso@
@subordinate@|@sottostante@
@subsequent@|@seguente, successivo, susseguente@
@subsequently@|@successivamente, ulteriormente@
@subsidy@|@sussidio@
@subsistence@|@sussistenza@
@subsisting@|@sussistente@
@substantiation@|@comprova, riscontro@
@subtle@|@fine, sottile@
@subtlety@|@sfumatura@
@success@|@incontro, riuscita, trionfo@
@successful@|@efficace@
@successful (past part. of riuscire)@|@riuscito@
@successful candidate@|@promosso@
@succession@|@catena, sequela, serie, vicenda@
@successive@|@successivo@
@successively@|@successivamente@
