@English@|@Nauruan@
@rust@|@erara, rara@
@sacred@|@ebwigaga, edereder@
@sacrifice@|@iwim, te ei etotow, wimei@
@sail@|@batsiei, dòbatsi@
@sail (mat)@|@dobatsi@
@sailfish@|@iriname@
@salary@|@ekamarumwi, ekamarùmwi@
@salt@|@barajitedei, ebarajited, ebarayited@
@salvation@|@ekatsimor, itsimor ñea eko tokin@
@sand@|@erauro, eraürò@
@sand ball game@|@derebu@
@satiated@|@marañ@
@satisfied with food@|@marañ@
@savage@|@karedùòñ@
@save@|@òtsimor, ôtsimor@
@save up@|@òaiji@
@savior@|@amen katsimor@
@savory@|@eta@
@saw@|@etoa, toai@
@say@|@dorer, kakairù@
@scale@|@oñet iù@
@scale (weight)@|@epaun@
@scar (his)@|@witen@
@scarcely@|@enij, ta, te, ti, to@
@scarlet sea bass@|@ianen@
@scholar@|@amen òman@
@school@|@ekereri, ewak in kereri@
@scissors@|@ekaruru@
@scoff@|@owidu@
@scorch@|@oñ@
@scorn@|@ekawiduemin@
@scoundrel@|@amen baka, amen iqui@
@scourge@|@dowip@
@scout@|@amen òñaneme@
@scrape away@|@wiwi@
@scream@|@daredar, warewar@
@screams@|@ewarewar@
@screw@|@âm, emei@
@screw on or off@|@eat, eatsida, emei@
@scribe@|@amen edar@
@sea@|@emago, ijited@
@sea bass@|@ianit@
@seam@|@jimen@
@search for@|@òñaneme@
@seat@|@bait emegeda@
@seaward@|@imago@
@secret@|@eò nüñida@
@secret(ive)@|@eò nùñida, ewewin@
@see@|@aia, ât@
@seed@|@ebaba@
@seek@|@ònani@
@seek out@|@ònani, rarouw@
@see-saw@|@ekarimama@
@seize@|@iba@
@select@|@ijij@
@sell@|@row-iow@
@send@|@òijòn@
@send here@|@òijòtòruwei@
@sennit@|@anakeba, emane@
@separate@|@òekae@
@serene@|@eamagage, edereder, ògarò@
@servant@|@itsiò@
@serve@|@itsiò, tsiô@
@service@|@emakur@
@set@|@ñaeow, ororai, rogi@
@settle a boundary@|@wemai@
@seven@|@aeiu, aeu@
@seven hundred@|@aewer@
@seventeen@|@ata ma aeiu@
@seventy@|@aemo@
@several@|@ibùn, inon@
@sew@|@jir, tsir@
@sexual@|@ikiriri@
@shade@|@itùr@
@shadow@|@aturin, itùr@
@shake@|@memòri@
@shall@|@enim, inan@
@shallow water close to shore@|@ibu@
@shame@|@egadükùrañ, emaiùr, gadûkùrañ, ibaka, maiùr@
@share@|@dùbwañai, dûbwañin, itùbwañ@
@shark@|@ebawo@
@sharp@|@eòkòn@
@sharp (as knife)@|@eokong@
@shatter@|@òbakoro@
@she@|@aita@
@shepherd@|@amen raña imin gògòrò@
@shield@|@ekabina@
@shine@|@òeaò, òPiej@
@ship@|@deimanu@
@shoe@|@itut@
@shoot@|@gatoi@
@short@|@ebo@
@shoulder@|@eanukwe, onuquen@
@shout with joy@|@eaeuwak in ibibòki@
@shovel@|@debùgibùg@
@show@|@oduwen, òmeata, ôpan@
@shun@|@garò@
@shut@|@tsima, wei@
@shutting@|@magin@
@shy@|@maiûr@
@sick@|@arag, arak, ema@
@sickness@|@earak@
@siege@|@erogi@
@sift@|@ininiei@
@sigh@|@eôñ in maga@
@signal@|@itema@
@silent@|@eô mwòmwi@
@silk@|@tsirùk@
@silvery mullet@|@eatar@
@similar@|@etsitobo, ògain etsitobo@
@sin@|@idùra@
@since@|@ñaga@
@sing@|@riañ@
@singe@|@oñ@
@singer@|@àinimwen riañ, amen riañ@
@singing@|@iriañ@
@singing voice of daguiduba@|@ederegaka@
@single@|@eñame ñabùn eitsiôk ijad@
@single frigate bird perch@|@etowong@
@sink@|@òreñodujow@
@sinner@|@amet dùra@
@sister@|@edin-en, etsit ân, idit en@
@sister-in-law@|@agen àn@
@sister's daughter@|@ngain idit en@
@sit in conference@|@baôin iaòin@
@six@|@ango, año@
@six hundred@|@añower@
@sixteen@|@ata ma año@
@sixty@|@añama, angoma@
@skeleton@|@ròt eñame@
@skid@|@jid@
@skin@|@witsin, witsit imin gògòrò@
@skin of pandanus fruit@|@eongepo@
@skipping stones game@|@ikapinaro@
@sky@|@Ianweron@
@slave@|@etsiò, itsiò, itsiyora@
@sleep@|@imijimi, mijimi@
@sleepy@|@eninedu@
@slender@|@oroeò@
@slime@|@ebaubo@
@sling@|@eabio, egato-kumododo, ime, jid, tsiwa@
@sloping@|@epa, òkeno@
@slumber@|@mijimi@
@small@|@eijoñ, kadudu, oniñ, oroeò@
@small boat@|@dobot@
@small coconut@|@tuberini@
@small fuit@|@dedagadaga@
@small mat@|@kadowawo@
@small spear of coconut wood@|@betyake@
@smell@|@bon, obobo, waij-bon, way@
@smith@|@amen makur debitsi@
@smithy@|@etañ in makur debitsi@
@smoke@|@badedi, badedi, ebadetsi, ebadetsi, tsiw, tsiw (ia tabak)@
@smooth@|@òramae, ramae@
@smut@|@ebwedùbwet, emwarere@
@snake@|@emwe, slange@
@snare@|@eabio, egato-kumododo, ime@
@snatch@|@iba@
@sneak@|@amen kababaite, ewewò, kababaite@
@sneeze@|@mwer@
@snore@|@gurgùr bodin@
@so@|@ùga@
@soft@|@eò quinòñòk, meroro@
@soiled@|@ômwarere@
@soldier@|@amen ake@
@solid@|@eògedujow, òaio@
@some@|@tamo@
@something@|@eken, imit ton@
@sometime@|@aiwòrin, ewòrin@
@sometimes@|@gatuwòri@
@son@|@ñait eman, ngain@
@son of Baguewa in legend@|@Bagawer@
@son of Dabague in legend@|@Dogonun@
@song@|@iriañ@
@songbook@|@buch in riañ@
@soon@|@etùren, naga@
@sooner@|@ian obwen@
@sorry@|@mwijiña@
@sort@|@eòrin@
@soul@|@anin@
@sound@|@nòñin@
@sour@|@emangimang, emañimañ@
@source@|@burodaût ebòk@
@sowing@|@ebaba@
@spawn@|@ebaba, edouman@
@speak@|@dorer, kakairù@
@speaker@|@amen kakairù, amet dorer@
@spear@|@ekado@
@species@|@eòrin, eôrin@
@speech@|@edorer, ekakairù@
@spend@|@onuaiw, otow@
@sperm@|@ebaba@
@sphere@|@epengato@
@spider@|@ááreow, areow@
@spike@|@nearei@
@spirit@|@anin@
@spit@|@quraò@
@spittle@|@eberere@
@splendor@|@eraitsit@
@sponge@|@emanor@
@spoon@|@ipun@
@spotted surgeon fish@|@yab ereber@
@spread@|@baedu, baida@
@spring@|@burodaüt-ebòk, burodaût ebòk, ebòken-eren, gòrò, waweta@
@spring up@|@ròñidòda@
@sprinkle@|@dudu@
@spy@|@amen ober, amen òñaneme, amen ôñaneme@
@squabble@|@ekañaeot@
@squander@|@onuaiw, otow@
@squeeze@|@ijen, mwat@
@stab@|@ebu, wataba@
@stab to death@|@ebu, watamwit@
@stable@|@eñat imin gògòrò@
@staff@|@edabwike, ewew@
@staircase@|@dògaide@
@stall@|@eñat imin gògòrò@
@stand@|@weijo@
@standing stone@|@tabuerik@
@star@|@edetañ, edetong@
@stay@|@meg, mek@
@steadfast@|@weijo òaio@
@steal@|@iqui@
@stealthy@|@eò nùñida, ewewin@
@steam@|@ebadetsi@
@steam from kabayeri oven@|@kanom@
@steel@|@detsir@
@steer@|@kaededei@
@stem@|@aròen, aròn@
@step@|@jor, jorgageñ@
@stick@|@edabwike, edubwike, ewew, iwit eta, òereribe@
@stick dividing 2 parts of itsibweb field@|@emanokwo@
@stick on@|@eri, òPieij, pinei@
@stiffen@|@enòwewe@
@still@|@eô mwòmwi@
@sting@|@ebu, wataba@
@stingfish@|@ngope@
@stir@|@memòri@
@stitch@|@jir, tsir@
@stomach@|@bwereton, ebwer, ije, ijen@
@stone@|@epe@
@stone (pebble)@|@epe (enge)@
@stone and line tool for eokwong@|@epe-iareu@
@stone of dead@|@ebwiyeye@
@stones@|@iwange@
@store@|@mequòr@
@storehouse@|@ewag in yeyi@
@storm@|@eñin òaio@
@story@|@ekadaedaenigawae, ekañae, eotoroñab, etoroñab@
@straight@|@eimwi, eimwirara, or@
@strand@|@aròùrö@
@stranded (be)@|@akerow@
@strangle@|@ñeida@
@strap@|@epear@
@stream@|@ekaw kadudu@
@street@|@emedena@
@strength@|@eoaio@
@stretch@|@òñabida@
@stride@|@ararû, òebwepoi@
@string figure@|@amen ranga ekwan, ekawada, etegerer me etogarit@
@string figure: hero@|@raminada@
@string figure: ipo fish@|@ipo@
@string figure: sun@|@ekwan@
@string figure: woman who "lives on air"@|@Enogog@
@striped jack@|@eaeo@
@strong@|@Eaeo, oaio, òaio@
@struggle@|@ake@
@student@|@rat ekereri@
@study@|@kereri@
@stupid@|@emaiür, ikùba, kabaàt@
@style@|@aren@
@submerge@|@godu@
@subsequently@|@iamwan, imùr@
@subtle@|@òka, òman@
@succeed@|@eà erowin, ñeijùbwen@
@successor@|@amen eà erowin, amen ñeijùb@
@suffer@|@jen bùriòûn@
@suitor@|@amen àtet@
@summit@|@mwit imin@
@sun@|@equan@
@supplication@|@egegae, ekòñòñ@
@supply@|@etañ in mequòr@
@supporters of ball team@|@im itsibweb@
@surf@|@añan@
@surrender@|@te ei etotow@
@surveyor@|@amen keòweò@
@swallow@|@òmwaneow, ôrareow@
@swap@|@erow, tuwab@
@sweat@|@ameong, eamoñ@
@sweep@|@brumei, iwit, òdereder@
@sweet@|@eta@
@swell@|@òPe@
@swift@|@epar, kapapar@
@swim@|@àw, eaw@
@swindler@|@amen tabaite, amen torere, amet derùga@
@swing@|@ekarimama@
@swing game@|@karimama@
@swollen@|@oPe@
@swollen gland@|@dearoga@
@sword@|@ipudutubwin, ipudutùbwin@
@taboo@|@ebwi@
@tail@|@iwin@
@take@|@barû, òbù@
@take with@|@òbù@
@tale@|@ekadaedaenigawae, eotoroñab@
@talk@|@dorer, kakairù@
@talon@|@quit imin gògòrò@
@tame@|@bòñòbòñ@
@tap@|@domo eman@
@taste@|@öij, òmanen, ômanen, pûmwet imin@
@tasteless@|@enòùga@
@tasty@|@eta@
@tax@|@eñabai@
@teach@|@wereri@
@teacher@|@amen kereri@
@teaching@|@ekereri@
@tear@|@erenime, òmwijow@
@tear in pieces@|@ôbaò, òmwijow@
@tear up@|@ôbaò, òmwijow@
@techinique for ipo fishing@|@tuwin emederer@
@technique for catching egow@|@tuwin ibwij@
@technique for eokwong fishing@|@tuwin edet@
@telescope@|@dòbairatsi@
@tell@|@mwinenei, ñatsin@
@tell a lie@|@baite, iqui@
@temper@|@ekamarar, ibùriò@
@temple@|@ewak it taramawir@
@ten@|@ata@
@ten thousand@|@ata erañan@
@tend@|@raña@
@tender@|@eò quinòñòk@
@terrible@|@ebakogin@
@thank@|@òtùba@
@thanks@|@itûba@
@that@|@bita@
@thatch@|@anim@
@the news@|@imuinãn@
@the street@|@emedena@
@the sun@|@eokwan@
@theft@|@iqui, itorere@
@then@|@eat edae ñaga, ngagan@
@there@|@ina, yet ibuiya@
@therefore@|@me ñagan, ûga@
@they@|@ura@
@thick@|@emei, emeij, mey@
@thief@|@amen iqui, amen torere@
@thigh@|@onan, wekangan@
@thin@|@gerager, ôgeròger@
@thing@|@imin@
@think@|@kamararei@
@thirst@|@ibòñ@
@thirsty@|@bong, òbòñ@
@thirteen@|@ata ma aiju@
@thirty@|@animo@
@this@|@âita, âitune, âituno, bitune, ñaiune, nune, ñune@
@this (1)@|@amea, amune, amuno@
@thorn@|@eòkòñ@
@thou@|@auwe@
@thought@|@ekamar@
@thousand@|@araña@
@thread@|@ewetaeò, tûreit@
@three@|@aiju, ayu@
@three hundred@|@aijubu@
@throat@|@anorin@
@throb@|@ònakanak@
@through@|@eow ean@
@throw@|@jid, okwe, ôrai, oreiy@
@thumb@|@itùñab@
@thunder@|@debao, debaò@
@thus@|@me ñagan, ùga, ûga@
@thwart@|@eitsitsit@
@ticket@|@ekorob@
@tickle@|@gerigeri, girùgiri@
@ticklish@|@egirùgir@
@tidy@|@edereder@
@tie@|@dedegai in òretsitsi@
@tight@|@ôwañada@
@till@|@ea@
@tilt@|@emeiwedu, eròñidoeow@
@time@|@edae@
@tin@|@tsiribout@
@tin utensil@|@tsiribout@
@tip over@|@emeiwedu, eròñidoeow@
@tired@|@eago, jùrùñ@
@to@|@animwen, ean, i, ian@
@to adore@|@eredu@
@to ask@|@kido@
@to awake@|@torer@
@to be afraid@|@òbòñòbòñ@
@to bear@|@obu@
@to beat@|@eira@
@to belch@|@oro@
@to bite@|@kamwit@
@to blow@|@yiw@
@to boil@|@otar@
@to braid@|@id@
@to break@|@ba, ijababa, tsiba@
@to bring@|@orean@
@to burn@|@ong@
@to button@|@badenei@
@to buy@|@erow, rouw, tuwab, tuwab, tuwabei@
@to call@|@ekekur@
@to chew@|@mama@
@to choose@|@ij, iy@
@to clean@|@odereder@
@to comb@|@komei@
@to come@|@tuko@
@to cook@|@tsim, tsitsin@
@to copulate@|@meir@
@to count@|@odu@
@to cry@|@daredar, warewar@
@to cry (weep)@|@iong@
@to cut@|@eaij, tow@
@to dance@|@ruwo@
@to desire@|@òñaueme, teng@
@to dig@|@iri@
@to dispute@|@ake@
@to do@|@riring@
@to drag@|@urure@
@to dream@|@erenimi@
@to drink@|@eren, min@
@to drive@|@eòd iat ekabiroro òa deimanu@
@to drown@|@paroe@
@to eat@|@ijeiji, yeyi@
@to fall@|@pudu@
@to fear@|@miow@
@to fight@|@abi, akaberere, ake, eake, etetowen, ira@
@to find@|@onani@
@to float@|@pi@
@to flow@|@goriro, goruro@
@to fly@|@demen, eñan, oeta@
@to forget@|@meyion@
@to give@|@totow@
@to go@|@nuaw@
@to go down@|@rodu@
@to go in@|@metu@
@to go out@|@meta@
@to go up@|@roga@
@to grind@|@òrô@
@to grow@|@ñabeda@
@to hatch@|@bao@
@to hear@|@kayot@
@to hide@|@ewewin@
@to hit@|@ebo ean, tamwit@
@to hold (in hand)@|@babwiyi@
@to hope@|@obei, tobei@
@to hunt@|@ukwe@
@to implore@|@mañada@
@to jump@|@ri@
@to know@|@ititsiet, tsied@
@to land@|@ebu ibû@
@to laugh@|@idodo@
@to lie@|@mekwor@
@to look for@|@onani, rarouw@
@to lose@|@goro@
@to make@|@ririñ@
@to marry@|@tùebòn@
@to moan@|@mwiynga@
@to murder@|@abab ñame@
@to plait@|@ee@
@to plant@|@imin ere, oyon@
@to play@|@karamwen@
@to point@|@òmeata, ôpan@
@to polish@|@òrô@
@to pound@|@ogoge@
@to pull@|@ninenin@
@to push@|@youw@
@to put@|@totu@
@to rain@|@ed oeron@
@to return@|@redo@
@to ring@|@òeòñ@
@to rub@|@mwinumwin@
@to say@|@pan@
@to scratch@|@oror@
@to see@|@ed@
@to sew@|@jir, tsir@
@to shoot@|@gato@
@to show@|@omeata@
@to sing@|@riang@
@to sink@|@rengoduyow@
@to sit@|@megeda@
@to sleep@|@mijimij, miyimiy@
@to smell@|@bobo@
@to sniff@|@waij bon@
@to spit@|@kwurao@
@to split@|@dubwangai@
@to squeeze@|@jima, mwat, yima@
@to stand@|@oeyo@
@to steal@|@añan, torere@
@to string@|@yir@
@to suck@|@kimwamwai@
@to swallow@|@orareow@
@to sweat@|@eamong@
@to think@|@jamarar, kamarar@
@to throw@|@orai@
@to thunder@|@nòñit debaò@
@to tie@|@kwor, òretsitsi, quòr@
@to torment@|@maga@
@to turn@|@ewido@
@to turn over@|@iwid@
@to twist@|@mwad@
@to urinate@|@okabebe@
@to vomit@|@ean-oano@
@to walk@|@dugidugo@
@to wash@|@gabur@
@to watch@|@ober@
@to water@|@dudu@
@to wipe@|@omag@
@to work@|@magur, makur@
@to wrap up@|@iyim@
@tobacco@|@debaike@
@today@|@ngabumine@
@toddy@|@ekarawe, karewe@
@toddy syrup@|@kamwerara@
@toe@|@itsinana@
@tomorrow@|@ijaran, yaran@
@tongue@|@eo@
@tooth@|@imwi@
@top@|@mwit imin@
@top (spinning)@|@egapae@
@torch@|@itsij@
@torch fishing for flying fish@|@tuwin idij@
@torch used on reef@|@ram@
@torment@|@emaga@
@torture@|@emaga@
@towards@|@ekowòñ@
@town@|@tekawa@
@trade@|@erow, tuwab@
@tradesman@|@amen erow@
@training game for frigate bird game@|@itsi demen@
@translate@|@gait@
@trap fishing@|@tuwin ten@
@tread@|@jor, jorgageñ@
@treasure@|@imin ñau ouwak pùmwen@
@tree@|@imin ero, imin erò ogoda@
@tree used for eel trap sticks@|@eteweyo@
@tree: calophyllum@|@tomano@
@tree: grows on beach@|@irin@
@tribe@|@aròen, aròn, Eamwidimwit, Emangum, Emea, Eoaaru, Reneback, Yamidara@
@tribe most important@|@Eamwit@
@tribe second in prestige@|@Deboe@
@tribe: extinct@|@Iruti@
@trifling@|@eijoñ@
@triumph@|@doganigae, edoganigae@
@trough@|@equen eren@
@trousers@|@eotanijòñ@
@true@|@edòbweduwen, iduwen@
@trunk@|@aròen, aròn, dòrabat, ije@
@trunk (of tree)@|@badon@
@trust@|@tùebòn@
@truth@|@iduwen@
@try@|@òij, òmanen, pûmwet imin, quiawieij@
@turf@|@etañ in bùgibûgi@
@turn@|@oberei@
@turn on@|@eat@
@turtle@|@ebake@
@twelve@|@ata ma aro@
@twenty@|@anarama@
@twenty eight@|@anarama ma aoju@
@twenty five@|@anarama ma aijimo@
@twenty four@|@anarama ma aeoq@
@twenty nine@|@anarama ma ado@
@twenty one@|@anarama ma aiquen@
@twenty seven@|@anarama ma aeiu@
@twenty six@|@anarama ma año@
@twenty three@|@anarama ma aiju@
@twenty two@|@anarama ma aro@
@twenty-eight@|@anarama ma aoju@
@twenty-five@|@anarama ma aijimo@
@twenty-four@|@anarama ma aeoq@
@twenty-nine@|@anarama ma ado@
@twenty-one@|@anarama ma aiquen@
@twenty-seven@|@anarama ma aeiu@
@twenty-six@|@anarama ma año@
@twenty-three@|@anarama ma aiju@
@twenty-two@|@anarama ma aro@
@twine@|@tûreit@
@twins@|@ibijaro@
@two@|@aro@
@two hundred@|@arobu@
@typhoon@|@eñin òaio@
@ugly@|@bakogin@
@unconscious@|@ògòb men@
@uncover@|@baedu, baida@
@uncultivated land@|@etomagage@
@under@|@ijòñ, ijòñin@
@undersea place where people live@|@Omon@
@undo@|@baida, eat@
@unfaithful (be)@|@mequòr it düra@
@unripe@|@eò-mer@
@untie@|@eat@
@until now@|@ea ñage@
@untruth@|@ebaite@
@up and down@|@akodu akoda@
@up to@|@ea@
@upon@|@atsiu@
@uproar@|@eareaûrùò, ewarewar@
@upstairs@|@itùga@
@upward@|@ada ituga@
@urge@|@owañada@
@urine@|@ekabebe@
@usage@|@eòrin@
@use up@|@òñan@
@useful@|@etsimine woun@
@vagina@|@iduw@
@valley@|@epañ, epang@
@vassal@|@itsiò@
@vat@|@ekad@
@vehicle@|@ekabiroro@
@vein@|@wan@
@venerable@|@ebwigaga, edereder@
@venerate@|@eredu@
@venture@|@tùebòn@
@vertigo@|@etsietsio@
@victim@|@iwim@
@victor@|@amet doganigae@
@victorious (be)@|@doganigae@
@victory@|@edoganigae@
@victuals@|@bait ijeiji@
@village@|@Denigomody, etañmek, tekawa, tekawa kadudu, Waboe@
@village Nibok dist@|@Domaneb@
@vinegar@|@biniga@
@virgin@|@ân ñea eò dòg@
@viscera@|@erierin@
@voice@|@aen@
@volume@|@band, reben@
@vomit@|@ean òanò, mùmwida@
@voracious@|@teiji@
@waddle@|@memòri@
@wager@|@eraban@
@wages@|@ekamarùmwi@
@wagon@|@ekabiroro@
@wait@|@daiñ@
@wait on@|@tsiô@
@walk@|@dûgidugo@
@wall@|@eoror, eoror it ewak@
@wand@|@edabwike, ewew@
@warm@|@enemoñ, kinijow, òkuñijow@
@warm (of weather)@|@enemong@
@warm up@|@òdòn anàe, òkùñijow@
@warn@|@metsimetsi@
@warranty@|@egato@
@warrior@|@amen ake@
@warrior killed in Ganaba@|@Abanokwe, Biogorengwe@
@watch@|@krak@
@water@|@dudu, Ebok, ebòk@
@waterspout@|@dogogounaidi@
@wave@|@mwinangan@
@way@|@emedena, eôrin@
@we@|@ada, adei, amei, añ@
@weak@|@ijùrùñ@
@wedding@|@mere@
@wedding celebration@|@ekadaro n mere@
@weed@|@ebwedùbwet@
@weed out@|@ininiei@
@weep@|@eòñ@
@weight@|@epaun, eroe@
@well@|@burodaüt-ebòk, ebòken-eren@
@well liked@|@â-auwà@
@well-bred@|@edabùg@
@wet@|@dudu, òriare, riare@
@wet nurse@|@âinimwen okimwamwa eoniñ, âinimwen raña eoniñ@
@whale@|@dogua, edagowe, edagua@
@what@|@ekeken@
@what?@|@ekegen, ekeken@
@wheelwright@|@amen ririñ ekabiroro@
@when@|@ijet@
@when?@|@ijet, ngato@
@where@|@iña@
@where are my grandchildren?@|@inga ibuna@
@Where is my room?@|@Inga wanga daroom?@
@Where is the bar?@|@Inga etangan ren?@
@Where is the beach?@|@Imeg i anor?@
@where?@|@i, i?, iña, inga?@
@whether@|@ia, ie, iò@
@which@|@ijegen@
@while@|@ñaga@
@whip@|@dowip@
@whirl in channel Gadu@|@arowong@
@whistle@|@döpaim, garapi, garapiei@
@white@|@burbur, òbùrùbûr@
@who?@|@ijegen, iyegen@
@whole@|@memak@
@whore@|@àinimwen te toreda@
@why@|@adaga@
@wick@|@bûriòùt lampe@
@wide@|@ereab, ereàb, ogoeow@
@widow@|@âton ñea ema agen@
@wife@|@agen, aget eman, ân@
@wild@|@karedùòñ@
@wind@|@engin, eñin@
@wind clock@|@kiñei@
@window@|@iwinòr@
@wing(s)@|@bet imin öeta@
@wink@|@eremòñimòñ@
@wipe@|@mwinùmwin@
@wire@|@ewetaeò@
@wisdom@|@eka, eman@
@witch@|@âinimwen mweaeo@
@with@|@ean, epoa, ian obwen, itûrin, me@
@withdrawal@|@ewak in ibò@
@within@|@i, ian@
@witness@|@amen oduwet eñòg@
@woman@|@aget eman, ân, eman@
@woman (not 'wife')@|@en@
@womb@|@dòrabat, ije@
@woo@|@âtet, ijad@
@wood@|@edabwike@
@word to beg for fish from catch@|@ipwibwi@
@work@|@emakur, makur@
@worker (f.)@|@âinimwen makur@
@worker (m.)@|@amen makur@
@workshop@|@ewak in makur@
@world@|@eb mi imin memak ean@
@worm@|@emwe, imin ewewò@
@worship@|@adorei, taramawirei@
@worshiper@|@amen ador, amet taramawir@
@wound (his)@|@witen@
@wreath@|@òkauwe@
@wreathe@|@eàe, ôkauwe@
@wrestle@|@akaberere, etetowen@
@wrestling game@|@ekabarere@
@wrestling game for children@|@idow@
@write@|@eare, edar@
@write down@|@eare@
@writer@|@amen edar@
@yawn@|@mamae@
@ye@|@amie@
@year@|@eobwani, eobweni@
@yellow@|@bababo, ebabobo@
@yes@|@eh@
@yesterday@|@nane, ngago nane@
@you@|@auwe, awe, ñauwe, wo@
@young girl in legend@|@Eguigu@
@young pig@|@ñait ikumo@
@young tame frigate bird@|@eap@
@young tame frigate bird used as lure@|@arew@
@your@|@am, wam@
@yours@|@amià, wamià@
@youth@|@eoniñ in eman@
@zebra surgeon fish@|@iwiji@
@zebrafish@|@eyongco@

