@English@|@Maliseet@
@hurry: SB is in a ~@|@wisayu (vai), wiwisanaqsu (vai)@
@hurt SB by pulling SB hair: SB ~s@|@kosuwenal (vta)@
@hurt SB feelings: SB ~s@|@cileyuwal (vta)@
@hurt SB neck by holding too tight: SB ~s@|@kosahqiskipenal (vta)@
@hurt SB with hands: SB ~s@|@kosonal (vta)@
@hurt SB: SB ~s (physically)@|@kosehlal (vta)@
@hurt some part of SB body: SB ~s@|@kosehtuwan (vt2o)@
@hurt ST by hitting it@|@t-oltestun (vti)@
@hurt ST by pulling its hair: SB ~s@|@kosuwenomon (vti)@
@hurt ST: SB ~s@|@kosehtun (vti)@
@hurt: SB is ~@|@ksihtehsin (vai)@
@huSB and: her ~@|@nisuwihticil (na-d)@
@hut@|@wikuwamsis (-ol)(ni)@
@I@|@nil (pr)@
@ice@|@pqom (-iyik)(na)@
@ice cream@|@tekcokek (-il)(ni)@
@ice giant (figure in oral tradition)@|@kiwahq (na)@
@ice is forming on the water@|@pomoloqiton (vii)@
@ice on water: there is a thin layer of ~@|@kolotopekoton (vii)@
@ice reef@|@posson (-ok)(na)@
@ice storm: there is an ~@|@pqomisiye (vii)@
@ice: on the@|@milawiw (pc)@
@ice: ST is turning into ~@|@pqomuwessu (vii)@
@ice: the ~ is smooth@|@wolloqe (vii)@
@ice-auger@|@pimonikon (-ol)(ni)@
@iceskate@|@olonahqakom (-ok)(na)@
@icicle@|@pqomis (-ok)(na)@
@icy: ST is ~@|@sahsoloqe (vii)@
@idea@|@tpitahasuwakon (-ol)(ni)@
@idea: have a different ~@|@piluwitahasu (vai)@
@idolize SB@|@wisokitahamal (vta)@
@if@|@nehtaw (pc), tokec (pc)@
@if only@|@kinaq (pc), nopal (pc), on-op-al (pc), tokec-op (pc)@
@ignite SB@|@posqolehlal (vta)@
@ignite ST@|@posqolehtun (vti)@
@ill uses SB: SB ~@|@kotomakiyal (vta)@
@ill: make SB feel ~@|@mocomolsikhal (vta)@
@ill: SB feels ~@|@mocomolsu (vai)@
@illegitimate child@|@pkutonans (-ok)(na), pqotonans (ok)(na)@
@illness@|@ksinuhkewakon (ni)@
@ill-tempered: SB is ~@|@mocahkomiksu (vai)@
@imagine: unable to ~ ST@|@sesomitahatomon (vti)@
@imagine: unable to ~ ST about SB@|@sesomitahamal (vta)@
@imitate SB@|@t-okehkoluhtuwal (vta)@
@imitate: SB ~s@|@kehkoluhtomakesku (vai), papehtomahtu (vai)@
@immediately@|@nit-tehna (pc), woli-te (pc), woliw (pc)@
@immediately: and then ~@|@nit-te-na (pc)@
@immediately: then ~@|@nit-te toqc (pc)@
@immerse SB@|@namoqicehlal (vta), namoqiciphal (vta)@
@important: make SB feel ~@|@palomolsikhal (vta)@
@impound ST@|@tahqonomon (vti)@
@impound ST of SB's@|@tahqonomuwan (vt2o)@
@impregnate SB@|@nicankewal (vta)@
@improperly@|@wapol- (pv)@
@in@|@tep- (pv), tepiw (pc), tuw- (pv)@
@in a hurry@|@wisay- (pv)@
@in a while@|@mahkiyew (pc)@
@in back@|@akuwiw (pc)@
@in case@|@nehtaw (pc)@
@in detail@|@papehc- (pv), papeht- (pv), papet- (pv)@
@in fact@|@kal (pc)@
@in order that@|@ci ('c- 't-)(pv/pn), weci- (pv)@
@in spite of@|@cika (pc), cikaw (pc), cikawi (cikaw-)(pv)@
@in spite of self (ones fears)@|@cikawi (cikaw-)(pv)@
@in that way@|@nit (pc)@
@in the past@|@mecimiw (pc)@
@in through boundary@|@pis- (pv), pisiw (pc)@
@in: SB goes ~@|@pisessu (vai)@
@in: SB is ~ there@|@tuwopu (vai)@
@in: ST goes ~ (body of water)@|@pithaweyu (vii)@
@in: ST is ~ there@|@tuhte (vii)@
@inaccessible: is ~@|@celte (vii)@
@inch worm@|@atpahqonikehs (-uwok)(na)@
@incite: SB ~s@|@macotake (vai), macotakesku (vai)@
@included: ST is ~@|@wiciye (vii)@
@incorrect: ST is ~@|@mocikon (vii)@
@incorrectly@|@wapol- (pv)@
@increase: SB ~s in quantity@|@olomel (vai)@
@indeed@|@kal (pc)@
@indented: SB is ~@|@waleyu (vai)@
@indented: ST is ~@|@waleyu (vii)@
@independent: SB is ~@|@tpelomosu (vai)@
@index finger@|@t-oluwikonilcum (-iyil)(ni), toluwikonilc (-iyil)(ni)@
@Indian@|@skicinuw- (pv/pn)@
@indigenous@|@skicinuw- (pv/pn)@
@indigestion: SB has pain from ~@|@pokikite (vai)@
@indiscriminately@|@kapi (kap-)(pv), kapiw (pc)@
@indoors@|@lamikuwam (pc)@
@indoors: SB brings ST ~@|@kosse-ihin (vti)@
@inebriated: SB is ~@|@aqanehsomu (vai)@
@infect SB@|@mosiyal (vta)@
@infected: SB is ~@|@matsehkessu (vai)@
@infected: ST is ~@|@matsehkessu (vii)@
@infielder (baseball)@|@nutskuwipit (na)@
@infirm@|@wahkattu (vai)@
@inform SB@|@tahkinuwehtuwal (vta)@
@inform SB: SB ~s@|@kinuwehtuwal (vta)@
@inhale from SB (pipe/cigarette)@|@wiqsonepal (vta)@
@inhale SB (pipe) deeply and exhale through nose@|@t-osahlal (vta)@
@inhale ST (smoke/etc.)@|@wiqsonehtomon (vti)@
@inhale: SB ~s tobacco smoke@|@wihqipkotehtamu (vai)@
@inhale: SB ~s tobacco smoke repeatedly@|@wihqipkotehtamiye (vai)@
@inhibit self: SB ~s@|@cecononsu (vai)@
@inject SB with pain reliever or anesthetic@|@pilsewokehlal (vta)@
@inject ST of SB's@|@saphomuwan (vt2o)@
@injecting: the people are ~ one another@|@saphutin (vai)@
@injection to SB: give an ~@|@saphal (vta)@
@injection: give an ~ to SB@|@saphal (vta)@
@injure: SB ~s self by handling ST clumsily@|@nasoluhta (vai), nasoluhte (vai)@
@injure: SB ~s self by handling ST too hurriedly@|@nasoluhtan (vai+o)@
@injured in fall or crash: SB is ~@|@ksihtehsin (vai)@
@inlet: ST is an ~ (body of water)@|@pitsoqehe (vii)@
@inlet: ST is an ~ (water)@|@pithaweyu (vii)@
@inn@|@tapon (-ol)(ni)@
@inning (baseball)@|@kelonomumok (ni)@
@innoculate SB@|@saphal (vta), saphal (vta)@
@inquire: SB ~s@|@papehcikesu (vai)@
@insect@|@wahantuhs (-ok)(na)@
@insert finger into SB's ear@|@napalokossenal (vta)@
@insert finger into SB's mouth@|@naptunenal (vta)@
@insert finger into SB's rectum@|@napalokiqenal (vta)@
@insert SB@|@pisehlal (vta)@
@insert ST as far as ST will go@|@tetoqomehtun (vti)@
@inserted: SB is ~@|@nashutasu (vai)@
@inserted: ST is ~@|@nashutasu (vii)@
@inside@|@lamiw (pc), tepiw (pc)@
@inside a house@|@lamikuwam (pc)@
@inside out: SB puts SB clothes on ~@|@aputsewhutolal (vta)@
@insite SB@|@macitake (vai)@
@install SB in rank or position@|@nastuwal (vta)@
@installed: ST is ~@|@punasu (vii)@
@instant: at that ~@|@miya-te (pc)@
@instead@|@awonehe (pc)@
@instructing: SB is ~@|@yalokitom (vai)@
@instrument: stringed musical ~@|@lapektuhusut (ni)@
@insulation@|@kisuwehtikon (ni)@
@intact: SB is ~@|@psqeyu (vai)@
@intact: ST is ~@|@psqeyu (vii)@
@intellectual: person who is an ~@|@kcicihtuwin (na)@
@intellegent: SB is ~@|@nokosatahasessu (vai)@
@intelligent: person who is ~@|@kcicihtuwin (na)@
@intelligent: SB is ~@|@wawapiyiw (vai)@
@intensely@|@ksi (ks-)(pv)@
@inter SB@|@puskonal (vta)@
@intercede on SB behalf: SB ~s@|@kolusihtomuwewal (vta)@
@interfere with ST@|@utomeyutomon (vti)@
@interfere: SB ~s@|@mittunehtaqsu (vai)@
@interjection in sudden contact with ST cold/hot@|@akocu (pc)@
@interjection indicating ST is time to do something@|@nehe (pc)@
@interjection used suddenly contacting cold/heat@|@okocu (pc)@
@interpret for SB@|@napoluhmuwal (vta)@
@interpret for SB: SB ~s@|@ankuwacomuwewal (vta)@
@interpret: SB ~s@|@ankuwacomu (vai)@
@interrupt or distract SB by talking@|@utomimal (vta)@
@interrupt: SB ~s@|@mittunehtaqsu (vai)@
@interrupt: SB ~s by speaking@|@mitewestu (vai), tomikesu (vai)@
@intersection@|@cipiyatqawt (ni)@
@intersection: there is a ~@|@cipiyatqawtosson (vii)@
@intervals: at ~@|@qasqew (pc), qasqihiw (pc), qasqiy- (pv)@
@intestinal disease: SB has ~@|@woloksine (vai)@
@intestinal: SB has ~ disease@|@woloksine (vai)@
@intestine@|@woloks (-iyil)(ni)@
@intestine: ST made from ~@|@woloqsey (-ak) (na/ni)@
@intimidate SB@|@t-oqetpawolal (vta)@
@into@|@pis- (pv), pisiw (pc)@
@into two separate pieces@|@tom- (pv), tomi (pv)@
@intoxicated: SB is ~@|@aqanehsomu (vai), ksossomu (vai)@
@investigate: SB ~s@|@naskahsu (vai), wewisu (vai)@
@involved: SB ~ in too much@|@sispenoma (vai)@
@iron (for ironing clothes)@|@citonekisawakon (na)@
@iron (metal)@|@olonahq (ni)@
@iron: piece of ~@|@skonahq (ni)@
@iron: pieces of ~@|@olonahkul (ni-pl)@
@iron: SB ~s@|@citonekisawe (vai)@
@ironwood tree@|@malus (-iyik)(na)@
@iron-wood tree@|@malahqimus (-iyik)(na)@
@is: the way ST ~@|@-tpiya- (v rt)@
@island@|@monihq (ni)@
@island of rock@|@monossapsq (ni)@
@islands@|@monihkul (ni-pl)@
@it@|@not (pra)@
@it is in its place@|@ihte (vii)@
@itch: SB has an ~ y mouth@|@misuwestune (vai)@
@itch: SB or ST ~s@|@kikcokiye (vai)@
@it's a good thing that@|@akun (pc)@
@ivy: poison ~@|@moci-pskihq (ni)@
@jacket@|@cehkit (na)@
@jack-in-the-pulpit@|@pukcinsqehsuwi-wasis (-ok)(na)@
@jail@|@ihtoli-kpuhutimok (ni)@
@jam@|@-ap (ni rt f), sunap (-iyil)(ni)@
@jam: SB makes ~@|@sunapke (vai)@
@janitor@|@nuci-wisuniket (na)@
@janitors@|@nuci-wisunikecik (na-pl)@
@January@|@apolahsomuwehsuwi-kisuhs (na), opolahsomuwehsuwi-kisuhs (na), pqotonansuwi-kisuhs (na), punamuwi-kisuhs (na)@
@jaundiced: SB is ~@|@wisawiye (vai)@
@jaw of insect/lobster/tool@|@pokehtamut (-iyil)(ni)@
@jealous: SB ~ ly mouths off@|@piluwotune (vai)@
@jealous: SB is ~@|@piluwikemu (vai)@
@jealous: SB is a ~ person@|@piluwikemosku (vai)@
@jealous: wish SB luck: ~ ly@|@mociyelomal (vta)@
@jealousy of SB indicated by speech@|@piluwimal (vta)@
@jelly@|@-ap (ni rt f), sunap (-iyil)(ni)@
@jellyfish@|@sahsap (-iyik)(na)@
@jerk: ST ~s forward@|@nihkanotoqqiw (vii)@
@Jesus@|@Sesuhs (na)@
@Jew@|@lehsuwis (na)@
@jewel@|@seskahtuwahak (-il)(ni)@
@jewelry@|@woliyusut (-iyil)(ni)@
@jewelry box@|@amalhi-woliyusinut (ni)@
@jewelweed@|@apuckolotokkuwewossok (ni)@
@jewel-weed@|@peskotehsok (-il)(ni)@
@Jewish: SB is ~@|@lehsuwisuwiw (vai)@
@jigger of liquor: SB drinks a ~@|@cilakonehta (vai)@
@jimsonweed@|@kikcokalokiqemins (na)@
@jimsonweed (plant)@|@kikcokalokiqeminsimus (na)@
@job: SB has two ~s@|@nisoluhke (vai)@
@join in ST@|@wiciyewtomon (vti)@
@join in: SB ~s@|@witahke (vai)@
@join them together@|@mawiya (vta)@
@joint@|@pekkuwoskak (ni)@
@joint: SB's ~@|@pekkuwoskat (na-d)@
@joints: SB has ~@|@pkuwoske (vai)@
@joist@|@lamikaney (na)@
@joke: SB ~s@|@pahpu (vai)@
@joker: SB is a ~@|@cikawoluhke (vai), milehtakesku (vai)@
@jokingly@|@cikawi (cikaw-)(pv)@
@jolly: SB is ~@|@wikelomu (vai)@
@judge@|@nuci-tpolukemit (na)@
@judge of law@|@tpolutomuwin (-ok)(na)@
@jug@|@pihcol (-ok)(na)@
@jug of earthenware@|@pukcinsqehs (-ok)(na)@
@juice@|@-ap (ni rt f)@
@July@|@accihtewi-kisuhs (na), apsqewi-kisuhs (na)@
@July: lunar month approx. ~@|@accihte (vii)@
@jump@|@-toqqi- (v rt)@
@jump around: SB ~s@|@yalenskiye (vai), yalotokku (vai), yalotoqqiye (vai)@
@jump down: SB ~s@|@poneqotokku (vai)@
@jump from place to place: SB ~s@|@ankuwotkuhu (vai), ankuwotokku (vai)@
@jump into water: SB ~s@|@cuwapotokku (vai)@
@jump out of sight: SB ~s@|@akuwotokku (vai)@
@jump rope: SB ~s@|@amalhotkuhu (vai), amalhotokku (vai)@
@jump up: SB ~s (to standing position)@|@amikotokku (vai)@
@jump: SB ~s@|@olotokku (vai), tokku (vai)@
@jump: SB ~s around@|@yalenskiye (vai), yalotokku (vai), yalotoqqiye (vai)@
@jump: SB ~s backward@|@sehtatkuhu (vai)@
@jump: SB ~s down@|@poneqotokku (vai)@
@jump: SB ~s into view@|@sakhotkuhu (vai)@
@jump: SB ~s on top@|@tehsaqotokku (vai)@
@jump: SB ~s over@|@pasittokku (vai)@
@jump: SB ~s up and down quickly@|@sasotokku (vai)@
@jump: SB starts to ~@|@macetkuhu (vai)@
@jump: set SB up for ~ (checkers)@|@t-oqehtuwal (vta)@
@jump: ST ~s forward@|@nihkanotoqqiw (vii)@
@jump: they ~ away in all directions@|@sissetokkultuwok (vai)@
@jumped up: SB ~@|@kisamikotokku (vai)@
@jumps out of sight: SB she ~@|@akuwotkuhu (vai)@
@June@|@niponi-kisuhs (na)@
@june bug@|@mihkonaqoss (-ok)(na)@
@just@|@tehpu (pc)@
@just the one@|@miyaw (pc)@
@jut: ST ~s@|@kcahkomu (vii)@
@keep flying: SB ~s@|@apcituwiye (vai)@
@keep going: SB ~s@|@apciye (vai)@
@keep looking at SB: SB ~s@|@ahtolapomal (vta)@
@keep on@|@ahtoli (ahtol-)(pv)@
@keep on in spite of adversity: SB ~s@|@cikawiyusu (vai)@
@keep on in spite of obstacle: SB ~s@|@cikawiyusu (vai)@
@keep part of ST@|@monuwehkan (vti)@
@keep pushing SB: SB ~s@|@kosomiphal (vta)@
@keep SB@|@monuwehkahal (vta)@
@keep SB warm@|@uloposal (vta)@
@keep ST for self: SB ~s@|@kolikatomon (vti)@
@keep what is left of SB@|@monuwehkahal (vta)@
@keeping on@|@mec (pc)@
@keg@|@malihkiyehsis (-ok)(na)@
@kelp@|@kaskolos (ni)@
@Kendall's Head (ME)(by Eastport)@|@Wapikonok (ni)@
@kerchief@|@latpep (ni)@
@kerchief: head ~@|@wissatpep (-iyil)(ni)@
@kerchief: small ~@|@latpepossis (ni dim)@
@kettle@|@tuwakomitehtikon (-ok)(na)@
@kettle stick@|@cipolahqakon (ni)@
@kettle stick: small ~@|@cipolahqakonossis (ni dim)@
@key@|@apqasokihikon (ni)@
@kick SB@|@toktehkuwal (vta)@
@kick SB around: SB ~s@|@iyaltehkuwal (vta)@
@kick SB in the legs@|@nahkakonahtehkuwal (vta)@
@kick SB quickly@|@nokosahtehkuwal (vta)@
@kick ST around: SB ~s@|@altehkomon (vti), iyaltehkomon (vti)@
@kick: ST ~s back@|@osassu (vii)@
@kicked around: SB is ~@|@yaltehkasu (vai)@
@kicked around: ST is ~@|@yaltehkasu (vii)@
@kicked: SB is ~ around@|@yaltehkasu (vai)@
@kicked: ST is ~ around@|@yaltehkasu (vii)@
@kidnap: SB ~s@|@komutonalal (vta)@
@kidney@|@puhkiluwan (-ok)(na)@
@kidney: SB has ~ disease@|@puhkiluwanine (vai)@
@kill SB@|@nehpahal (vta)@
@kill SB by hitting@|@siktahal (vta)@
@kill SB by running into him with vehicle@|@siktehkuwal (vta)@
@kill ST@|@nehpahtun (vti)@
@kill ST of SB's by running into with vehicle@|@siktehkomuwan (vt2o) ¹@
@kill: SB ~s@|@nehpahtike (vai)@
@kindle fire for SB@|@motutuwahal (vta)@
@kindle ST@|@posqolenomon (vti)@
@kindled a fire: SB ~@|@kisamkolenike (vai)@
@kindling@|@spasuweyal (ni)@
@king@|@ciksotaqsit (na)@
@kinship@|@lakutuwakon (ni)@
@kinship: they are related by ~@|@lakutuwok (vai)@
@kiss and fondle SB (as a mother and child)@|@ucemuhkalal (vta)@
@kiss SB@|@ucemal (vta)@
@kiss SB again and again@|@munsacemal (vta)@
@kiss SB constantly: SB ~s@|@iyalcemal (vta)@
@kiss SB for a certain length of time@|@qoncemal (vta)@
@kiss SB in return: SB ~s@|@asitecemal (vta)@
@kiss SB: SB wants to ~@|@kotuwocemal (vta)@
@kiss SB: start to ~@|@macecemal (vta)@
@kiss ST@|@ucetomon (vti)@
@kiss: start to ~ SB@|@macecemal (vta)@
@kite (toy)@|@pucamoss (-ok)(na)@
@knead SB (dough)@|@t-olcokonal (vta)@
@knee: SB is on ~s@|@petkupu (vai)@
@knee: SB's ~@|@wotkul (ni-d)@
@kneecap: SB's ~@|@wotqisol (na-d)@
@kneel: SB ~s@|@petkupiye (vai), petkupu (vai)@
@kneel: SB ~s down@|@petkupiye (vai)@
@kneels: SB ~s@|@petkupu (vai)@
@knife@|@mihkutan (-ol)(ni), mihqotan (-ol)(ni)@
@knife: crooked ~@|@pkahkonikon (-ol)(ni)@
@knock all the liquid out of SB@|@metpektahal (vta)@
@knock off easily: ST could be ~ ed@|@nenehsawte (vii)@
@knock SB flat on back@|@susqihtahal (vta)@
@knock SB off: SB ~s@|@kettahal (vta)@
@knock SB over: SB ~s@|@kotqihtahal (vta)@
@knock ST off: SB ~s@|@kettehmon (vti)@
@knock: ST could be ~ ed off easily@|@nenehsawte (vii)@
@knock-kneed: SB is ~@|@toqolukheku (vai)@
@knot@|@cihpolehtikon (ni)@
@knot in wood@|@psketqon (-ul)(ni)@
@knot: SB ~s permanently@|@mecimtokehtahsu (vai)@
@knotted up: hair is ~ (in order to curl it)@|@cihpolaltoqe (vai)@
@knotty inside: SB (tree) is ~@|@lamatqoniw (vai)@
@know how to use SB (string-like)@|@nihtawtokiphal (vta)@
@know how to use ST (chain)@|@nihtawtokiptun (vti)@
@know SB@|@nonuwal (vta)@
@know ST about SB: SB ~s@|@kocicihtuwan (vt2o)@
@know ST of SB: SB ~s@|@kocicihtuwan (vt2o)@
@know ST: SB ~s@|@kocicihtun (vti)@
@know what ST is like: SB ~s@|@kocicihtun (vti)@
@know: SB ~s what SB is talking about@|@wewewestu (vai)@
@know: SB ~s what to do@|@wewoluhke (vai)@
@know: SB ~s where SB is going@|@wewiye (vai)@
@knowing how to-@|@taw- (pv)@
@knowledgeable: person who is ~@|@kcicihtuwin (na)@
@knowledgeably@|@wewewestu (pv), wewi (pv)@
@known: SB is ~@|@nonaqsu (vai)@
@known: SB is well ~@|@woli-nonaqsu (vai)@
@known: ST is well ~@|@nonaqot (vii)@
@knuckleball (baseball)@|@milamit (na)@
@labrador tea@|@pahsipokehsok (-il)(ni)@
@lacing: leather ~@|@motekonap (-iyil)(ni)@
@lack: ST is ~ ing@|@pawalqot (vii)@
@lacking: ST is ~@|@puwalqot (vii)@
@ladder@|@latuwakon (ni)@
@ladder: small ~@|@latuwakonossis (ni dim)@
@ladle: large ~@|@suhpin (-ok)(na)@
@lady@|@motaqs (na)@
@lady: old ~@|@kosqehsuhs (na)@
@lady's slipper@|@Sakomawi-Mali maksonol (na), wiphulakson (-ok)(na)@
@lagoon@|@oqimut (-iyil)(ni), qotasq (ni)@
@laid: SB is ~ back in nature@|@nakanoma (vai)@
@lake@|@kuspem (ni), qospem (-ol)(ni)@
@lake bed@|@psahkoniw (pc)@
@lake: across a ~@|@ksokayakom (pc), ksokayakomew (pc), ksokayakomiw (pc)@
@lake: large ~@|@kci-lontoq (ni)@
@lake: ST is a long ~@|@pihtakome (vii)@
@lamb@|@osipis (-ok)(na)@
@lamp@|@possaqhenomakon (-ol)(vii)@
@lamp: oil/kerosene ~@|@possaqhenomakon (-ok)(na)@
@lamprey eel@|@sakapsqehtom (uk)(na)@
@land@|@ktahkomiq (ni)@
@land: sandy point of ~@|@qonasqamk (-ul)(ni)@
@land: SB ~s@|@pokossin (vai)@
@land: SB ~s  boat on shore in shallow water@|@oqehe (vai)@
@land: SB ~s  softly@|@nuhkonahtehsin (vai)@
@land: ST ~s@|@pokossin (vii), pokosson (vii)@
@land: ST is flat ~@|@tetpahkomike (vii)@
@landing for boats@|@oqessut (-iyil)(ni)@
@language@|@latuwewakon (ni)@
@language: SB uses bad ~@|@mocalokotune (vai)@
@language: SB uses foul ~@|@mocatuwe (vai)@
@lantern@|@possaqhenomakon (-ol)(vii)@
@lap: on SB ~@|@ahsomeluk (ni)@
@larch: American ~@|@pqomus (-iyik)(na)@
@lard@|@piksipom (-ol)(ni)@
@larder@|@micuwakoninut (-iyil)(ni)@
@large@|@kini (kin-)(pv)@
@large and round: SB is ~@|@kinapskosu (vai)@
@large lake@|@kci-lontoq (ni)@
@large: SB is fairly ~@|@natomokil (vai)@
@large: ST is extremely ~@|@kinahantukihqon (vii)@
@large: ST is fairly ~@|@natomokihqon (vii)@
@larger: ST is ~@|@aqamkihqon (vii)@
@laser: treat ST of SB with ~@|@t-oleyisahmuwan (vt2o)@
@last a long time: ST ~s@|@sipkiye (vii)@
@last night@|@welaqik (pc)@
@last one@|@pcossolewey (na/ni)@
@last: for the ~ time@|@pcossolewey (pc)@
@last: SB ~s a long time@|@sipkiye (vai)@
@last: SB's ~ is name@|@mehciwisu (vai)@
@last: ST ~s a long time@|@sipkiye (vii)@
@last: the ~@|@pcossolewey (na/ni)@
@last: the ~ time@|@pcossolewey (pc)@
@latch unto SB@|@nimapekhal (vta)@
@late at night@|@tpuhk (pc)@
@late: SB is ~ coming or going@|@metsiye (vai)@
@late: SB sleeps ~@|@metsoqsu (vai)@
@late: ST is ~@|@metsiw (vii)@
@later@|@temonu (pc)@
@lath@|@akiyaqhikon (ni)@
@lather: ST is in a ~ (horse's coat)@|@pihtewiye (vii)@
@latrine@|@wikuwamsis (-ol)(ni)@
@laugh at SB@|@t-otoli-malikimal (vta)@
@laugh very hard: SB ~s@|@siktiyelomu (vai)@
@laugh: SB  ~s a lot@|@wikelomu (vai)@
@laugh: SB ~s easily@|@skewelomu (vai)@
@laugh: SB ~s so hard@|@tutelomu (vai)@
@laugh: SB ~s very hard@|@siktiyelomu (vai)@
@launder SB clothes: SB ~s@|@kostokonal (vta)@
@laundry: SB does ~@|@kostokonike (vai)@
@laundry: SB does own ~@|@kostokonosu (vai)@
@laundry: SB washes SB's own ~@|@sahkossuwi-kostokonosu (vai)@
@law@|@tpaskuwakon (-ol)(ni)@
@lawn maintanance person@|@nutasksawet (na)@
@lay head on it: SB ~s@|@t-opqehsinon (vai/vai+o)@
@lay head on SB@|@t-opqehsimuhtuwal (vta), t-opqehsimuhtuwal (vta)@
@lay: SB ~s head@|@luhkehsin (vai), olqehsin (vai)@
@lay: she ~s eggs@|@ponatom (vai)@
@layer like rows (bricks)@|@-sekon- (v rt)@
@layered: ST is ~ red@|@pqanokahte (vii)@
@layers (paper clotSB etc.)@|@-sekon- (v rt)@
@lazy: SB is ~@|@maleyu (vai)@
@lead@|@piltal (-ol)(ni)@
@lead SB out by rope/rein/leash@|@nutiyapekuhsolal (vta)@
@lead ST out on rope or string@|@nutiyapekustun (vti)@
@leader: SB is the ~@|@nihkanatpe (vai)@
@leaf@|@-oskip- (v rt), -pok- (v rt), mip (-iyil)(ni)@
@leaf bud@|@punasqahtoq (-iyik)(na)@
@leaf that has changed color in autumn@|@pqiptes (-ol)(ni)@
@leaf: green ~@|@skipoq (ni)@
@leaf: SB ~s out@|@nutepokiye (vai), paskipokessu (vai)@
@leaf: SB has ~ ed out@|@nutepokiw (vai)@
@leaf: ST ~s ~ out@|@nutepokiye (vii)@
@leaf: ST ~s out (plant)@|@paskipokesson (vii)@
@leaf: ST has ~ ed out@|@nutepokiw (vii)@
@leafy: ST is ~@|@skipokahte (vii)@
@leak: SB ~s (liquid running in or out)@|@ciwciye (vai/vii)@
@leaks through: ST ~@|@ecicuwon (vii)@
@lean SB: SB lean ~s (against ST)@|@apotehlal (vta)@
@lean: SB ~s over@|@pasituhucin (vai)@
@leaning against@|@apote (apotiy-)(pv/pn)@
@leaning against it: SB sits ~@|@apotepin (vai/vai+o)@
@leaning: ST is ~@|@apotehte (vii)@
@lean-to (shelter open on one side)@|@anepikan (ni)@
@leap@|@-toqqi- (v rt)@
@leap: SB ~s@|@tokku (vai)@
@learn: SB ~s@|@kehkimsu (vai)@
@learn: SB ~s slowly@|@naka-nonom (vai)@
@leather@|@motekon (-ol)(ni)@
@leather lacing@|@motekonap (-iyil)(ni)@
@leather prepared to sew@|@motekoninaqahk (vii)@
@leather strap around thigh for protection (basket@|@cikikpihikoney (ni)@
@leather strap to protect thigh in basketmaking@|@cikikpihikoney (ni)@
@leather thong@|@wolokesqis (-ol)(ni)@
@leave on foot: they ~@|@maciyapasuwok (vai)@
@leave SB a little food: SB ~s@|@asqotomuwal (vta)@
@leave SB alone: SB ~s@|@cikihtuwal (vta)@
@leave SB as scrap when cutting@|@piyesal (vta)@
@leave SB behind@|@nokolal (vta)@
@leave SB behind (by leaving in vehicle or boat)@|@nokothal (vta)@
@leave SB untouched: SB ~s@|@asqihtahal (vta)@
@leave ST alone: SB ~s@|@cikihtomon (vti)@
@leave ST as scrap when cutting@|@piyesomon (vti)@
@leave ST behind@|@nokotomon (vti)@
@leave ST behind (by leaving in vehicle or boat)@|@nokothomon (vti)@
@leave ST for SB@|@t-asqihtehmuwal (vta)@
@leave: SB ~s@|@macehe (vai)@
@leave: SB ~s bloody tracks@|@pokahkonaptu (vai)@
@leave: SB ~s by boat@|@pusu (vai)@
@leave: SB ~s by car@|@pusu (vai)@
@leave: SB ~s on foot@|@macewse (vai)@
@leave: SB ~s untouched@|@sqihtehma (vai)@
@leave: SB does not let SB ~@|@kosacehlal (vta)@
@leave: SB is going to ~@|@kotuwi-macehe (vai)@
@leave: they ~ on foot@|@maciyapasuwok (vai)@
@leaves: green ~@|@skipokul (ni-pl)@
@lecture to SB@|@mihkumal (vta)@
@ledge of rock@|@monossapsq (ni)@
@leech@|@kihkamq (na)@
@leech: small ~@|@kihkamqehsis (na dim)@
@left: on SB's ~@|@pahtatuhtak (nl)@
@left: on the ~@|@pahtay- (pv)@
@left: pass ST on the ~@|@pahtatuhkomon (vti)@
@left: SB looks to the ~@|@pahtayapu (vai)@
@left: SB turns to the ~@|@pahtaptokessu (vai)@
@left: SB's ~ hand@|@pahtat (ni-d), pahtat (ni-d)@
@left: to SB's ~@|@pahtatuhtak (nl)@
@left-handed@|@pahtay- (pv)@
@left-handed: SB is ~@|@pahtanom (vai)@
@left-over: ST is ~ (e.g.food/supplies/etc.)@|@piyemiye (vii)@
@leg: it's ~s give out (table/chair)@|@musikonassu (vii)@
@leg: SB ~ (excluding foot)@|@katahqem (ni-d)@
@leg: SB breaks ~@|@tomikonatessu (vai)@
@leg: SB little ~ (excluding foot)@|@katahqemossis (ni-d dim)@
@leg: SB's ~@|@kat (-ol)(ni-d), qat (-ol)(ni-d)@
@leg: SB's ~s give out@|@musikonassu (vai)@
@legend@|@atkuhkakon (-ol)(ni)@
@legend: SB tells a ~@|@atkuhke (vai)@
@legging: SB's ~s@|@tahqonesunol (ni-d)@
@legislative chamber@|@putuwosuwikuwam (-ol)(ni)@
@legislator@|@nuci-putuwosit (na)@
@legislators@|@nuci-putuwosicik (na-pl)@
@legislature@|@tpolutikuwam (-ol)(ni)@
@legs crossed: SB sits with ~@|@asuwikonatepu (vai)@
@lemon@|@lemons (ni)@
@lemon: small ~@|@lemonsis (ni dim)@
@lend ST@|@mahkuwyan (vai+o)@
@lend ST out: SB ~s@|@kiseltomon (vti)@
