@English@|@Basque@
@ironic@|@burdinazko@
@ironical@|@burdinazko@
@ironing board@|@lisatzeko mahaia@
@ironing table@|@lisatzeko mahaia@
@irony@|@ironia@
@is@|@da@
@is coming@|@dator@
@island@|@uharte@
@it (non-absolutive stem)@|@hon@
@it is fundamentally correct@|@funtsean zuzena da@
@it is your turn@|@zure txanda da@
@item@|@ale@
@It's a pity!@|@Pena!@
@It's damn good!@|@Oso ona duk!@
@it's machine made@|@makinaz egindakoa da@
@it's none of your business@|@ez dizu axola!@
@it's not worth the risk@|@ez du arriskatzea merezi@
@it's your fault@|@erruduna zara@
@jacket@|@abrigue@
@jackfish@|@jaka arrain@
@jam in@|@sartu@
@January@|@Urtarrila@
@jaw@|@matraila@
@jeans@|@bakero@
@jelly@|@jelatina@
@jersey@|@jertse@
@jewel@|@harribitxi@
@jog@|@(r)i bultza egin@
@jog along@|@aurrera egin@
@join in!@|@denok batera!@
@joke@|@txantxa, txiste@
@jolly@|@alai@
@Joshua tree@|@Josueren juka@
@journalist@|@kazetari@
@journey@|@bidai, bidaia@
@Judas tree@|@Judasen arbola@
@judge@|@epaile, magistratu@
@judgement@|@ebazpen@
@jujube tree@|@jujubondo@
@jumble@|@nahas-mahas@
@jumble up@|@nahasi@
@jumping@|@saltoka@
@June@|@Ekaina@
@jungle@|@oihan@
@jurisprudence@|@jurisprudentzia@
@jury@|@epaimahaikoak@
@just a second@|@egon pixka batean!@
@just so@|@olantxe@
@justice@|@justizia@
@Justice of the Peace@|@Bake-Epaile@
@kangaroo@|@kanguru@
@keen@|@zuhur@
@keepsake@|@oroigarri@
@keg@|@upel@
@kettle@|@lapiko@
@key@|@giltza@
@key in@|@teklatu@
@keyboard@|@teklatu@
@keys of the kingdom@|@erreinuaren giltza@
@kid@|@haur@
@kidnap@|@bahitu@
@kidney@|@giltzurrun@
@kidney bean@|@babarrun gorri@
@kidney-shaped@|@giltzurrun-formako@
@kill@|@hilketa@
@killer@|@hiltzaile@
@kilograme@|@kilo@
@kiss@|@apa, musu@
@kitchen@|@sukalde@
@kitchen sink@|@harraska@
@knave@|@zital@
@knee@|@belaun@
@knife@|@ganibet, labana@
@knit@|@puntu(a) egin, puntua(a) egin@
@know@|@ezagutzen@
@know the ropes@|@badaki nondik norakoa@
@knuckle@|@esku-koskor@
@label@|@etiketa, label@
@laboratory@|@laborategi@
@Labourd@|@Lapurdi@
@Labourdin@|@Lapurdiera@
@lace@|@farfail@
@lace up@|@lotu@
@lack@|@-kabe@
@lack of (suffix)@|@-gabe@
@ladder@|@esku-eskailera, zurubi (I)@
@ladle@|@burruntzali@
@lady@|@andere@
@lake@|@laku@
@lake dwellers@|@lakuko biztanleak@
@lamb@|@arkume, bildots@
@lament for the dead@|@hil-eta@
@lamp@|@lanpara@
@lampshade@|@argi-pantaila@
@lance@|@lantza@
@land@|@lur@
@landlord@|@jabe, jabe@
@landscape@|@paisaia@
@lane@|@bide@
@language@|@hizkuntza@
@language change@|@hizkuntz aldaketa@
@large intestine@|@heste lodi@
@large spotted dog-fish@|@momar@
@large-mouth bass@|@perka amerikar@
@large-scaled scorpionfish@|@krabarroka gorri@
@lark@|@hegatxabal, kutturlio, txoriandre@
@larva@|@larba@
@larynx@|@laringe@
@laser@|@laser@
@laser gun@|@laser-pistola@
@laser printer@|@laser inprimagailu@
@last@|@azken@
@last night@|@bart@
@last year@|@iaz@
@lastly@|@azkenik@
@late@|@berandu@
@later@|@gero@
@Later!@|@Gero ante!@
@lateral@|@aldeko@
@laugh@|@par@
@lawyer@|@abogau@
@lazy@|@alfer, nagi@
@lead@|@berun@
@lead (Metal)@|@berunezko@
@leaded (to have lead in)@|@berundun@
@leaf@|@hosto, orri, osto@
@league@|@liga@
@lean part of meat@|@giharre@
@lease@|@akura, alokairu@
@leave@|@aldegin@
@leek@|@porru@
@left@|@ezker@
@leg@|@hank, hanka@
@legal@|@legezko@
@legal advice@|@zuzenbide-aholkularitza@
@legal aid@|@ofizioko defentsa@
@legal expenses@|@abokatuaren ordainsariak@
@legal organization@|@legezko erakunda@
@legal profession@|@aboka-tutza@
@legion@|@talde@
@legitimate@|@zilegizko@
@lemon@|@limoi@
@lemon shark@|@limoi-marrazo@
@lemon tree@|@limoiondo@
@lens@|@lente@
@lentil@|@dilista@
@lessen@|@bigundu@
@lesson@|@eskarmentu@
@lethal@|@hiltzeko@
@lethal weapon@|@hiltzeko@
@let's get down to business!@|@goazen harira!@
@letter@|@eskutitz, gutun@
@letter of credit@|@kreditu-letra@
@lettuce@|@letxua@
@level (flat place)@|@lautada@
@level of production@|@ekoizpen-maila@
@lexicon@|@lexikoi@
@liar@|@gezurti@
@libel@|@gezur-beltz@
@liberation@|@burujabetze, libratze@
@liberty@|@libertate@
@library@|@liburutegi, liburutegia@
@license@|@baimen@
@license plate@|@matrikula@
@licentiousness@|@galdukeria, zikin-keria@
@licorice@|@erregaliz, makilgoxo@
@lid@|@tapa@
@lie down@|@etzan@
@lieutenant@|@lotinant, teniente@
@light@|@argi@
@light boat@|@itsasargi-ontzi@
@light exposure@|@argi-inpresio@
@light industry@|@industria arin@
@light ship@|@ontzi huts@
@light up@|@argittu@
@light vessel@|@itsasargi-ontzi@
@lightning@|@tximist@
@lightship@|@itsasargi-ontzi@
@like@|@bezala, olan@
@like so@|@olan@
@like this@|@honelako, olan@
@likelihood@|@litekeen@
@likewise@|@berdin@
@lilac@|@lila@
@limb@|@adar@
@lime@|@limondo@
@lime tree@|@limondo@
@limestone@|@karaitz@
@linden@|@ezku@
@linen@|@arropa zuri, hari@
@linguistic change@|@hizkuntz aldaketa@
@lion@|@lehoi@
@lip@|@ezpain@
@liquid@|@likido@
@liquor@|@likore@
@list@|@zerrenda@
@little@|@guti@
@little by little@|@pixkanaka@
@little finger@|@hatz ttiki@
@little squid@|@txibia txiki@
@little tune@|@soinutxo@
@little; defective@|@urri@
@live@|@bizi izan, bizi(izan)@
@liver@|@gibel@
@livid@|@ubel@
@living room@|@egongela@
@lizard@|@musker@
@load@|@zama@
@lobster@|@abakando@
@lock@|@sarraila@
@lock away@|@giltza-pean gorde@
@lock in@|@barruan gorde, giltzapean gorde@
@lock onto@|@zurian jo@
@lock up@|@atea giltzas itxi, giltzapean gorde@
@locomotive@|@lokomotore@
@locust@|@zomorroa@
@log@|@enbor@
@logbook@|@untziko liburu@
@logical rule@|@logika-erregela@
@long@|@luze@
@longitudinal wind@|@luzetarako haize@
@look after@|@zaindu@
@look of@|@antz@
@loose@|@lasai@
@lord@|@jaun@
@lost@|@galduta@
@lotion@|@lozio@
@lots@|@elemenia@
@loud noise@|@durrunda@
@louse@|@zorri@
@love@|@maite@
@lover@|@amorante, maitale@
@low grade@|@kaskar@
@low pressure@|@behe-presio@
@luck@|@sorte, zori, zorte@
@lucky@|@zorioneko@
@lukewarm@|@epel@
@lunch@|@bazkaldu, bazkari@
@lung@|@birika, pulmonatu@
@lung congestion@|@birika-kongestio@
@machine@|@makina@
@machine bolt@|@berno dekoletatu@
@machine gun@|@metraileta@
@machine gunner@|@metrailatzaile@
@machine shop@|@makina-lantegi@
@machine tool@|@makina-erreminta@
@machine translation@|@itzulpen automatiko@
@mackrel@|@txitxarro@
@mad@|@ero@
@made of slate@|@arbelezko@
@made of stone@|@harrizko@
@magazine@|@aldizkari@
@magic@|@magiko@
@magic spell@|@sorginkeria@
@magician@|@azti@
@magistrate@|@epaile, magistratu@
@magnetic@|@magnetiko@
@magnetic field@|@eremu magnetiko@
@mahogany@|@kaoba@
@mahogany table@|@kaobazko mahai@
@main shafting@|@ardatz eragile@
@maize@|@arto@
@make a claim to@|@aldarrikatu@
@make an incision@|@sakitu@
@make-up@|@egitura@
@making gestures@|@keinuka@
@mako shark@|@marrazo muturluze@
@male@|@ar@
@man@|@gizon@
@man of steel@|@altzairuzko gizon@
@manager@|@zuzendari@
@manifest@|@garraio-agiri, manifestu@
@manipulate@|@eragin (ad.)@
@mantle@|@burusi, kapa, ohazal@
@manufacture@|@egite, fabrikatze@
@manufacture of textiles@|@ehungintza@
@manufactured goods@|@fabrikatutako produktuak@
@many@|@anitz, asko, hainbat@
@many thanks (lit. a thousand)@|@mila esker@
@map@|@mapa@
@map out@|@planeatu@
@maple@|@astigar@
@March@|@Martxoa@
@mare@|@behor@
@margarine@|@margarina@
@marine worm@|@itsas zizare@
@maritime@|@itsasoko@
@maritime climate@|@itsasaldeko klima@
@maritime law@|@itsas-zuzenbide@
@mark@|@keinu, marka@
@market@|@azoka, merkatu@
@marmalade@|@marmelada@
@marquise@|@markes@
@marry@|@ezkondu@
@martyr@|@martiri@
@marzipan@|@mazapan@
@masculine@|@gizonezko@
@mask@|@maskara, mozorro@
@mass (rel.)@|@Meza@
@mass meeting@|@bilkura jendetsu@
@mass murders@|@mordoka egindako hilketak@
@mast@|@masta@
@masturbate@|@masturbatu@
@masturbation@|@masturbazio@
@match@|@partidu@
@mathematics@|@matematika@
@mattled@|@pinttokari@
@May@|@Maiatza@
@meadow@|@larre@
@measles@|@elgorri@
@meat@|@haragi, okela@
@mechanical drive@|@aginte mekaniko, eragintza mekaniko@
@mechansim@|@mekanismo@
@mediate@|@artekari@
@medicinal herbs@|@sendabelarrak@
@medicine@|@medikuntza, sendagailu@
@medicine cabinet@|@botika-kutxa@
@medicine chest@|@botika-kutxa@
@melancholy@|@malenkonia, tristura@
@melody@|@melodia@
@member@|@kide@
@membrane@|@pintza@
@menstrual period@|@hileko@
@mention@|@aipatu@
@menu@|@menua@
@merchant ship@|@merkatalontzi@
@mermaid@|@sirena@
@message@|@mezu@
@metamorphosis@|@metamorfosi@
@microphone@|@mikrofono@
@middle class@|@klase ertaina@
@middle finger@|@hatz luze@
@midnight@|@gauerdia@
@military science@|@gudajakintza@
@milk@|@esne, esnea@
@mill@|@errot, errota@
@miller's dog-fish@|@gelba@
@millet@|@arto@
@mind@|@gogo@
@mine@|@meatze@
@mineral water@|@ur minerala@
@minister@|@ministro@
@mink@|@bisoi@
@mink coat@|@bisoi-larruzko beroki@
@minstrel@|@koblakari@
@mint@|@menda@
@mint (coinage)@|@diruetxe@
@mirror@|@ispilu, ispilua, mirail@
@mischevious@|@bihurri@
@miserly@|@xuhur, zeken@
@Miss@|@andereñoa@
@mission@|@eginkizun, misio, misioko@
@mission office@|@misioko bulego@
@mistake@|@erru@
@mistress@|@maitale@
@mite@|@zeden@
@mitigate; alleviate@|@bigundu@
@mixture@|@nahaste@
@moat@|@babes-erreten@
@mob@|@jende mordo, jendetza@
@mob rule@|@populajearen legea@
@model@|@eredu@
@modelling clay@|@plastilina@
@modest@|@isil@
@molar@|@hagin@
@mole@|@sator@
@molten (metal) (galda-)@|@galdatu@
@monarch@|@errege@
@monarchy@|@monarkia@
@Monday@|@Astelehen@
@money@|@diru@
@monkey@|@tximino@
@monkey wrench@|@giltza ingeles, giltza zabalgarri@
@monstrosity@|@itsuskeria, munstrokeria@
@month@|@ila@
@moon@|@hilargi, ilargi@
@moonbeams@|@ilargi-izpiak@
@moose@|@altze@
@mop@|@txima, zoru-garbigailu@
@morality@|@moraltasun@
@more@|@areago, gehiago@
@more black@|@beltzago@
@more slowly@|@polikiago@
@moreover@|@gainera@
@morning@|@goiz@
@morning star@|@argi ixerra@
@morphological change@|@aldaketa morfologiko@
@most@|@gehien@
@mota (division)@|@class@
@moth@|@sits, zeden@
@mother@|@ama@
@Mother Church@|@Eliza-Ama@
@motion@|@higi-dura@
@motor@|@motore@
@motor drive@|@motorrezko eragintza@
@motorcycle@|@motor@
@mottled@|@nabar@
@motz@|@mendizale@
@mount@|@txalmatu@
@mount up@|@txalmatu@
@mountain@|@mendi@
@mountainous@|@menditsu@
@mouse@|@sagu@
@moustache@|@bibote@
@mouth@|@aho@
@movement@|@higi-dura@
@movie screen@|@pantaila@
@Mrs.@|@anderea@
@much@|@hainbat@
@mud@|@buztina, lohi@
@mule@|@mando@
@multiplication sign@|@biderketa-ikur@
@multiplication table@|@bider katzeko taula@
@municipal police@|@udaltzaingoa@
@murder@|@gizahilketa, hilketa@
@murder case@|@gizahilketa-kasu@
@muscle@|@gihar@
@museum@|@museo, museoaren@
@music@|@musika@
@musician@|@musikari@
@mustard@|@ziape@
@mutation@|@mutazio@
@mute@|@mutu@
@my@|@ene, nire@
@myriad@|@elemenia, guztiz ugari@
@myself (anaph. pron.)@|@neure burua@
@mystery@|@misterio@
@mystery man@|@misteriopeko gizon@
@nail polish@|@esmalte@
@naked@|@biluzik@
@name@|@izen@
@nape of the neck@|@garondo@
@napkin@|@dafaila@
@narrow@|@estu, mehar@
@nasal@|@sudurkari@
@national parliament@|@estatuaren parlamentu@
@nationalist@|@abertzale@
@natural light@|@argi natural@
@natural lighting@|@argi natural@
@natural sciences@|@natur zientziak@
@naughty@|@gaizto@
@Navarre@|@Nafaroa, Nafarroa@
@navel@|@zilbor@
@navigation light@|@nabigazio-argi@
@necessary@|@beharrezko@
@neck@|@lepo, sama@
@need@|@behar@
@needle@|@orratz@
@negation sign@|@ukapen-ikur@
@negative sign@|@zeinu negatibo@
@neighborhood@|@auzo@
@nephew@|@iloba@
@nervous@|@urduri@
@net@|@sare@
@net assets@|@aktibo garbi@
@net income@|@errenta garbi@
@net result@|@azkenako ondorio@
@net weight@|@pisu garbi@
@network@|@sare@
@never@|@inoiz@
@new@|@berri@
@new born lamb@|@axuri@
@new moon@|@ilargi berri@
@newspaper@|@egunkari@
@newt@|@uhandre@
@next@|@hurbileneko, hurrengo@
@next time@|@hurrengoan@
@next to@|@ia-ia, ondoan, ondoko@
@nice@|@atsegin, eder, jatorra, sinpatiko@
@night@|@gau@
@nightmare@|@amesgaitz@
@nine@|@bederatzi@
@nineteen@|@hemeretzi@
@ninety@|@laurogeitahamar@
@ninth@|@bederatzigarren@
@nitrogen@|@nitrogeno@
@no@|@ez@
@no comment!@|@zeresanik ez!@
@no smoking@|@ez erre@
@No way@|@inola ere ez@
@no?@|@etza?@
@nobility@|@noblezia@
@noble@|@aitonen seme, noble@
@nobody@|@inor@
@noise@|@otsa, zarata@
@non-Basque speaker@|@eraldun@
@noodle@|@fideo@
@noodle soup@|@fideo-zopa@
@noon@|@eguerdi@
@nor even...@|@ezta...ere@
@nor...either@|@ezta...ere@
@norm@|@arau, erregela@
@north@|@ipar, iparralde@
@north wind@|@ipar-haize, iparraldeko haize@
@northeast@|@ipar-ekialdeko haize@
@northeasterly wind@|@ipar-ekialdeko haize@
@northerly wind@|@ipar-haize, iparraldeko haize@
@northwest@|@iparmendebalde, zehar-haize@
@northwesterly wind@|@ipar-mendebaldeko haize, zehar-haize@
@nose@|@dudur, sudur@
@not@|@ez@
@not anybody@|@inor ez@
@not anyone@|@inor ez@
@note@|@eskalako notak, nota@
@notebook@|@koaderno@
@notes (Mus)@|@eskalako notak@
@nothing@|@ezer@
@notice@|@ohar@
@noun@|@izen@
@noun phrase@|@izen sintagma@
@nourishment@|@elikatze@
@nouveau-riche@|@aberastue@
@novel@|@elaberri@
@now@|@orain@
@nuclear@|@nuklear@
@nuclear device@|@tresna nuklear@
@nuclear family@|@oinarrizko familia@
@nuclear power station@|@zentral nuklear@
@nude@|@larrubizi@
@number@|@zenbak@
@numbers@|@zenbakiak@
@nun@|@moja@
@nurse@|@erizain@
@nursehound@|@momar@
@nut@|@hur@
@nut and screw@|@torloju azkoin@
@nutmeg@|@intxaur muskatu@
@nutmeg tree@|@miristika@
@nylon@|@nylon@
@nymph@|@lamia, ninfa@
@oak@|@aritz, haritz@
@oak tree@|@haritz@
@oar@|@arraun@
@oath@|@zin@
@oats@|@olo@
@obese@|@lodi@
@obligation@|@betebehar@
@oblique@|@zeihar@
@occur@|@gertatu@
@occurence@|@gertaera@
@ocean@|@itsaso@
@October@|@Urria@
@octopus@|@olagarro, olagarro arrunt@
@odd@|@arraro, bitxi@
@of copper@|@kobrezko@
@of course@|@noski@
@of flesh and blood@|@hezur-haragizko@
@of noon@|@eguerdiko@
@of poor quality@|@kaskar@
@of that town@|@herri hartako@
@of the day@|@eguneko@
@of the son@|@eguzkiko@
@of vapor@|@lurrinez@
@offer@|@eskaini@
@offering@|@opari@
@office@|@bulego@
@officer@|@ofizial@
@official stamp@|@tinbre@
@often@|@sarri@
@oil@|@olio@
@okay@|@bale, ondo@
@old@|@zahar@
@olive tree@|@olibondo@
@on@|@gainean@
@on balance@|@ongi pentsatuta@
@on easy terms@|@epeka@
@on foot@|@oinez@
@on hand@|@eskumenean@
@on his own accord@|@bere kabuz@
@on his own account@|@bere kabuz@
@on no account@|@inola ere ez@
@on the left side@|@ezkerraldean@
@on the one hand@|@alde batetik@
@on the other hand@|@beste aldetik@
@on top of@|@gainean@
@one@|@bat@
@one each@|@bana@
@one reunion@|@bilera bat@
@ones@|@batzuk@
@one's fellow@|@norberaren hurkoak@
@only@|@bakarrik@
@ooze@|@jario@
@open@|@ireki, irekita, zabal, zabalik@
@opening@|@aho@
@operate@|@erabili, eragin (ad.)@
@operation@|@erabiltze, gidatze@
@opinion@|@eritziz, iritzi, uste, ustez@
@optional rule@|@aukerazko erregela@
@or@|@ala, edo@
@orange@|@laranja@
@orange grove@|@laranjadi@
@orange tree@|@laranjondo@
@orchard@|@arboladi, ortu@
@ordinary@|@arrunta@
@organic@|@organiko@
@organization@|@antolabide, antolakuntza, antolatze, erakunde@
@orgy@|@orgia@
@origin@|@erro, etorki@
@original version@|@jatorrizko bertsio@
@other@|@beste@
@our@|@gure@
@ourselves (anaph. pron.)@|@geure burua(k)@
@out of breath@|@arnasestuka@
@out of hand@|@berehala@
@out of order@|@ez dabil@
@out of perspective@|@ikuspuntuz kanpo@
@outcome@|@ondorio@
@oven@|@labe@
@oven door@|@labeko ate@
@overcoat@|@abrigue, gaban@
@overhead@|@gastu orokorrak@
@owe@|@zor izan@
@owl@|@hontza@
@ox@|@idi@
@package@|@fardel, pakete@
@package deal@|@hitzarmen orokor@
@packet@|@pakete, zorro@
@paddle@|@arraun@
@paddle steamer@|@gurpil-bapore@
@page@|@orrialde@
@pain@|@min@
@pain perception@|@minaren hautemate@
@pain sensation@|@min-sentipen@
@paint@|@margotu, margotze, pintatze, pintura@
@pair@|@txekmena@
@pair of scissors@|@guraize batzuk@
@pale@|@haga, hits@
@pallid@|@hits@
@palm@|@zehe@
@palm tree@|@palmondo@
@paltry@|@kaskar@
@Pamplona@|@Iruña@
@pancreas@|@pankreas@
@panel@|@panel, zapi@
@panel discussion@|@mahainguru@
@pants@|@praka@
@papaya tree@|@papaiondo@
@paper@|@paper@
@paper klip@|@klip@
@parade@|@agerraldi, parada@
@parallel@|@paralelo@
@parasol@|@eguzki-babes@
@parcel@|@fardel, pakete@
@parents@|@guraso, gurasoak@
@parish priest@|@erretore@
@parity@|@paritate@
@park@|@aparkatu, parke@
@parking@|@aparkaleku, aparkalekua@
@parlimentary@|@parlamentu@
@parody@|@parodia@
@parrot@|@loro@
@parrot fish@|@papagai arrain@
@part@|@alde, zati@
@particular@|@berezi, zehatz@
@partridge@|@eper@
@party@|@festa@
@pass@|@pasatu@
@passed@|@pasatuta@
@passport@|@pasaporte, pasaportea@
@paste@|@lekeda, ore@
@pasture@|@belardi@
@path@|@bide@
@patriotic@|@abertzale@
@patron@|@bezero@
@patron saint@|@santu zaindari@
@paw@|@hanka@
@pay@|@ordaindu@
@pea@|@ilar@
@peace@|@bake@
@peach tree@|@mertxikondo@
@peacock@|@pauma@
@peak@|@puntu@
@pear@|@udari@
@pear tree@|@udareondo@
@peasant@|@nekazari@
@pen@|@axota, luma@
@pencil@|@arkatz@
@penguin@|@pinguino@
@penis@|@zakil@
@people@|@jente@
@people (singular collective)@|@jende@
@people of the old school@|@zaharreko jendea@
@per day@|@eguneko@
@per night@|@gaueko@
@perfume@|@lurrin@
@perhaps (dare)@|@ote@
@period@|@periodo, puntu@
@period of time@|@epe@
@permission@|@baimen@
@perpendicular@|@perpendikular@
@person@|@pertsona@
@personality@|@nortasun@
@persons at risk@|@arriskuan dauden pertsonak@
@perspective@|@perspektiba@
@perversion@|@galdukeria@
@peseta@|@pezeta, pezta@
@petty cash@|@eskuko diru@
@phantom@|@iratxo@
@pharmacy@|@botika, farmazia@
@phase of the moon@|@ilargialdi@
@pheasant@|@faisai@
@phlegm@|@gorro, karkaisa@
@phone (verb)@|@deitu@
@phonological change@|@aldaketa fonologiko@
@phosphorus@|@fosforo@
@photo@|@foto@
@photographer@|@argazkilari@
@photography@|@argazkilaritza, fotografia@
@phrases@|@esaldiak@
@physician@|@mediku@
@piece@|@zati@
@pig@|@txerri, urde, zerri@
@pigeon@|@uso@
@pillar@|@zutabe@
@pillow@|@burko@
@pimple@|@pikor@
@pin@|@orratz@
@pine@|@pinu@
@pine forest@|@pinudi@
@pine needle@|@pinuaren hosto@
@pineapple@|@anana@
@pink@|@arrosa@
@pioneer@|@esploratzaile@
@pipe@|@tutu@
@pistachio tree@|@pistatxondo@
@piston@|@pistoi@
@pitch@|@bikeztatu, jaurtiketa, tiro@
@pitched battle@|@gudu gorri@
@pity@|@ondiko@
@place@|@aga, ezarri, leku, toki@
@place of@|@-aga@
@place of birth@|@jaioterri@
@place of canyons@|@arroita@
@place of chasms@|@arruza@
@place of work@|@lantegi@
@plague@|@izurri@
@plain@|@zelai@
@plan@|@asmo@
@plane@|@hegazkin@
@plant@|@landare@
@plant shoot@|@kimu@
@plastic@|@plastika, plastiko@
@plastic explosive@|@lehergai plastiko@
@plasticine@|@plastilina@
@plastics@|@plastikozko gaiak@
@platoon@|@pelotoi@
@play@|@antzerki, drama@
@plaza@|@plaza@
@plead for mercy@|@errukia oihuka eskatu@
@pleasant@|@atsegin@
@please@|@mesedez@
@plenteous@|@ugari@
@plenty@|@ugaritasun@
@plot@|@gidoi@
@plum tree@|@aranondo@
@pneumatic hammer@|@mailu pneumatiko@
@pocket@|@patrika@
@poem@|@poema@
@poet@|@olerkari, poetiko@
@poetic@|@poetiko@
@poetry@|@poesia@
@police interrogation@|@poliziaren galdeketa@
@polish@|@zira@
@politician@|@politikari@
@politics@|@politika@
@pomegranate tree@|@mingranondo@
@pony@|@pottoka@
@poor@|@pobre@
@poor thing!@|@gizagaixoa!@
@popcorn@|@artokiak@
@poplar@|@ezki, ezku, zuzun@
@population explosion@|@demografi eztanda@
@porcelain@|@portzelana@
@pork@|@txerriki@
@porridge@|@ahi@
@port@|@portu@
@portico@|@arkupe@
@portion@|@ano, zati@
@portrait@|@erretratoa@
@pose@|@jarrera@
@positive sign@|@zeinu positivo@
@possibility@|@ahalegina@
@post@|@posta@
@post office@|@postetxe@
@postcard@|@postal@
@posted mail@|@posta frankeatua@
@postman@|@postari@
@potato@|@patata@
@pottery@|@eltzetegi@
@pottery factor@|@buztinola@
@power@|@ahalmen@
@powerful@|@indartsu@
@practical jokes@|@ziri mingarri@
@prefer@|@nahiago@
@preferable@|@hobe@
@prepared@|@prestatuta@
@preposition@|@preposizio@
@present@|@eszenaratu@
@president@|@lehendakari@
@pressure@|@presio@
@pressure cooker@|@presio-eltze@
@pretty@|@eder, polit@
@price@|@prezio@
@priest@|@apaiz@
@print@|@aztarren, marka@
@prisoner@|@preso@
@privation (suffix)@|@-kabe@
@procession@|@prozesio@
@product@|@ekoizkin, produkto@
@promise@|@promesa@
@propeller-shaft@|@ardatz eragile@
@propulsion@|@propultsio@
@protection@|@babeste@
@protection money@|@babes-diru@
@protest@|@protesta@
@prove@|@egiztatu@
@proverb@|@esaera@
@province@|@probintzia@
@proximate@|@hurbileneko@
@prudent@|@zuhur@
@pumpkin@|@kui@
@punishment@|@zigor, zigortze@
@pupil@|@begi-nini, ikasle@
@purify@|@xahutu@
@purple@|@more, ubel@
@purpose@|@zeregin@
@put@|@ezarri@
@put on@|@eszenaratu@
@pyramid@|@piramide@
@quarry@|@arrobi@
@quarter@|@laurden@
@queer@|@bitxi, maritxu@
@question@|@galde, galdera, zalantza@
@questioning of a witness@|@lekukoen galdeketa@
@questions and answers@|@galde-erantzunak@
@quickly@|@arin@
@quiet@|@isil@
@rabbit@|@untsei, untxi@
@rabbit hutch@|@untxitegi@
@racket@|@pala@
@radio@|@irrati@
@radiography@|@erradigrafia@
@rain@|@euri@
@raisin@|@mahats@
@ram@|@ahari@
@rancour@|@gorroto, gorroto@
@random variable@|@aldagai estokastiko@
@ransom@|@erreskate@
@rare@|@urri@
@rasp@|@karraskailu@
@rat@|@arratoi@
@ratche wrench@|@matraka-giltza@
@raven@|@bele@
@ravine@|@erreka@
@raw@|@gordin@
@razor@|@bizar-labana@
@razor blade@|@bizar-xafla@
@razor brush@|@bizar-brotxa@
@reach@|@irispide@
@Really?@|@Benetan?@
@reason@|@arrazoi@
@rebel@|@asaldari@
@recommend@|@gomendatzen@
@recording@|@grabatze@
@recount@|@kontatu@
@rectangle@|@laukizuzen@
@red@|@gorri@
@red bass@|@lutiano gorri@
@red scorpionfish@|@krabarroka gorri@
@red wine@|@ardo beltza@
@red-tailed hawk@|@zapelatz buztangorri@
@reed@|@ihi@
@reef fish@|@kastainola@
@referee@|@arbitro@
@reflected light@|@argi berrispilatu@
@refrigerator@|@hozkailu@
@refugee@|@iheslari@
@region@|@eskualde, herrialde@
@registration@|@erregistratze@
@registration number@|@matrikula zenbaki@
@registration of letters@|@eskutitzak ziurtatze@
@relate@|@kontatu@
@relations@|@harremanak@
@relax@|@lasai@
@relieve@|@bigundu@
@religion@|@erlijio@
@religious@|@elizkoi, jainkozale@
@religious instruction@|@erlijio-heziketa@
@remain@|@gelditu@
@remarks@|@azalpen@
@remnant@|@hondakin@
@remora@|@erromero txiki@
@renegade@|@arnegari@
@representative@|@ordezkari@
@reptile@|@narrasti@
@require@|@behar izan@
@research@|@ikerketa@
@resemblance@|@antz@
@resemble@|@-(r)en antzekoa izan, kidetu@
@reservation@|@erreserba@
@reserve fund@|@erreserba@
@reserved@|@isil@
@reservoir@|@urtegi@
@residence@|@bizileku@
@residence permit@|@herri batean biziteko baimen@
@residential area@|@bizitegi-auzo@
@residential area (adj.)@|@area bizitegi-auzo@
@resitdential@|@area bizitegi-auzo@
@respect@|@begirmen, errespetu@
@responsibility@|@ardura, kontu@
@restaurant@|@jatetxe, jatetxea@
@result@|@ondore, ondoren, ondorengo, ondorio@
@result in@|@ekarri@
@results@|@emaitza@
@return (journey@|@joan-etorri@
@reunion@|@bilera@
@revolution@|@iraultza@
@revolve@|@bira-tu@
@rich@|@aberats, aberatz@
@ridge@|@egi, hegi@
@riding crop@|@zaldi-zaharo@
@riding whip@|@zartailu, zigor@
@right@|@eskuin@
@right to vote@|@boto-eskubide@
@ring@|@eraztun, korru@
@ring back@|@i-i berriz hots egin@
@ring finger@|@hatz nagi@
@ring up@|@telefonoz hots egin/deitu@
@rings of Saturn@|@Saturnoren eraztunak@
@rinse@|@xaboia-kentze@
@rip@|@urratu@
@risk@|@arrisku@
@river@|@ibai@
@river bank@|@ibai ertze@
@river fish@|@ibaiko arrainak@
@river police@|@ibaizaintza@
@road@|@bide, errepide@
@road accidents@|@errepideko@
@roar@|@orroe@
@roast chicken@|@oilasko errea@
@robber@|@lapur@
@robin@|@txantxangorri@
@robust@|@sendo@
@rock@|@haitz@
@rock quarry@|@arrobi@
@roof@|@teilatu@
@roof tile@|@teila@
@rook@|@ipar-bele@
@rook (chess piece)@|@dorre (xake jokoa)@
@room@|@gela@
@root@|@erro, sustrai@
@root beer@|@sustraiardo@
@root cause@|@oinarrizko@
@rope@|@korda, soka@
@rope off@|@sokaz inguratu@
@rosy soldierfish@|@erloju-arrain@
@rotate@|@bira-tu@
@rotten@|@ustel@
@rough@|@zakar@
@rough shark@|@piku pikortsu@
@round@|@borobil@
@rousing (something@|@kiña@
@Royal Academy of the Basque Language@|@Euskaltzaindia@
@rubber@|@goma@
