@English@|@Sami@
@improperly@|@fastit@
@in addition@|@dasa lássin@
@in fary tales@|@áhchešeatni@
@in Finnish language@|@suomagillii@
@in Finnland@|@Biedjovággi@
@in late summer@|@chakchageasi@
@in my opinion@|@mu mielas@
@in Norwegian@|@dárogillii@
@in other words@|@dahjege@
@in Sámi@|@sámás@
@in Sámi (language)@|@sámegillii@
@in someone's opinion@|@mielas@
@in spring@|@giððat@
@in summer@|@geasset, geassit@
@in Swedish@|@ruotagillii@
@in the beginning@|@álggos, vuoch'chân@
@in the eastern dialect@|@nuortasuopmanin@
@in the evening@|@eahkedis, eahkes@
@in the fall@|@chakchat@
@in the morning@|@iððes@
@in the old days@|@áigi dolin, dolin@
@in the same fashion@|@seammaláhkái@
@in the same place@|@seammá sajis@
@in the south@|@máddin@
@in the southeast@|@máddinnuortan, máttanuortin@
@in the southwest@|@máddinoarjin, máttaoarjin@
@in the western dialect@|@oarjesuopmanin@
@in which place?@|@gos@
@in winter@|@dálvet@
@in writing@|@chálalachchat@
@in~@|@eahpe~@
@Inari@|@Anár@
@Inarijärvi@|@Anárjávri@
@inauguration@|@virgáiásahan@
@incest@|@inseasta, varraheahpad, varraheahpat@
@income tax return form@|@vearrodieðáhus@
@incorrect@|@feaillalaš, vearrut@
@increase@|@lassáneapmi@
@incredibly X@|@jalla@
@incurable@|@buorránkeahtes@
@independence@|@iehchanasvuohta@
@index@|@indeaksa@
@index finger@|@chuvdi@
@index number@|@indeksalohku@
@India@|@India@
@indicative@|@duohtavuohki, indikatiiva@
@indirect cost@|@chuovvogolut, gaskkalašgollu@
@indirect production cost@|@gaskkalaš buvttadangollu@
@individual@|@individuála, oktagas, oktagaslaš, ovttaskas olmmoš@
@individuality@|@individualitehta@
@induction@|@indukšuvdna@
@industrial park@|@industriijaguovlu@
@industrialized country@|@industririika@
@industry@|@industriija@
@inessive@|@inessiiva@
@inexpensive@|@hálbi@
@infection@|@infekšuvdna@
@infiltration@|@infiltrašuvdna@
@infinitive@|@infinitiiva@
@inflated@|@dievva@
@inflation@|@inflašuvdna@
@influence on something@|@váikkohus@
@informal@|@eahpeformálalaš@
@information@|@informašuvdna@
@infrastructure@|@infrastruktuvra@
@initialling@|@paraferen@
@innocent@|@sivaheapme, sivaheapmi@
@input (computer)@|@dihtorbiebmu@
@inquisitiveness@|@sáhkiivuohta@
@insect@|@inseakta@
@insecurity@|@eahpedorvvu@
@inside of something@|@siskkobeale, siste@
@inside-out clothes@|@jorggotbeliid@
@inspiration@|@inspirašuvdna, inspirášuvdna@
@instead of something@|@sadjái, sajis@
@instinct@|@gapmu@
@institute@|@instituhtta@
@institution@|@institušuvdna@
@instructive@|@diehtovallji@
@instrument (musical)@|@chuojanas@
@insulin@|@insuliidna@
@insurance@|@oadju@
@integration@|@integraášuvdna@
@intelligence@|@intelligeansa@
@intent@|@áigumuš@
@intention of doing something@|@áigumuš@
@interest@|@reantu@
@interference@|@interferensa@
@interjection@|@interjekšuvdna@
@international@|@riikkaidgaskasaš@
@Internet@|@Interneahtta@
@interpellation@|@interpellašuvdna@
@interpsychological@|@interpsykologalaš@
@interpsychological process@|@interpsykologalaš proseassa@
@interrogative pronoun@|@gažaldatpronomen, interrogatiivapronomen@
@intersection@|@ruossa@
@intertextuality@|@intertekstualitehtta@
@interval@|@gaska, gaskkadat@
@interview@|@jearahallan@
@into something@|@njeaigi@
@intrapsychological@|@intrapsykologalaš@
@intrapsychological process@|@intrapsykologalaš proseassa@
@Introduction to X@|@vuoððofága@
@introductory level@|@vuoððofága@
@Inuit@|@inuhkka, inuihtta@
@investigator@|@dutki@
@Iraq@|@Irak@
@Ireland@|@Irlánda@
@Irish@|@irlándalaš@
@iron@|@ruovdi, sriikaruovdi@
@island@|@dievva, suolu@
@islet@|@sulloš@
@isolation@|@isolašuvdna@
@Israel@|@Israel@
@Israeli@|@israelaš@
@Italy@|@Itália@
@It's going well@|@Bures dat manná@
@itsy bitsy@|@smávis@
@Ivalo@|@Avvil@
@Ivalojoki@|@Avviljohka@
@jack snipe@|@uhcameahkástat@
@January@|@oððajagimánnu@
@Japan@|@Japána@
@Japanese@|@japánalaš@
@javelin sports@|@sáiti@
@jaw@|@gáibi@
@jeans@|@donggárbuvssat@
@jellyfish@|@bossucholga@
@jewelry@|@chiknga@
@joint@|@jumik, juomek, juomek@
@joint responsibility@|@ovttasvástu@
@Jokkmokk@|@Johkamohkki@
@journey@|@muotki@
@joyful@|@ilolaš@
@joyfully@|@ilolachchat@
@Judas@|@behtolaš@
@judge@|@duopmár@
@judgement@|@duopmu@
@jug@|@gádnu@
@juice@|@sákta@
@July@|@suoidnemánnu@
@jump rope@|@njuikunbáddi@
@June@|@geassemánnu@
@junior high@|@badjedássi@
@juniper berry@|@gaskkasmuorji, reatkámuorji@
@jurisprudential@|@láhkadieðalaš@
@just@|@~bat, ~han, nugo@
@Justice Minister@|@Riekteministtar@
@Kåfjord@|@Gáivuonna@
@Kandalakša@|@Gáddoluokta@
@Karesuvanto@|@Gárasavvon@
@Karigasniemi@|@Gáregasnjárga@
@Karlebotn@|@Stuorravuonna@
@kayak@|@kajáhkka@
@Kemi@|@Giepma@
@Kemijärvi@|@Giemajávri@
@Kemijoki@|@Giemajohka@
@kettle for cooking meat@|@biergogievdnipot@
@Keuruu@|@Keuruu@
@key@|@choavdda@
@key word@|@choavddasátni@
@keyboard@|@boallobeavdi@
@Kiberg@|@Biergi@
@kidney@|@monimuš, monin@
@killer whale@|@fahkon@
@kilo@|@kilo@
@kilometer@|@kilomehter@
@kilovolt@|@kilovolta@
@kilowatt@|@kilováhtta@
@Kilpisjärvi@|@Gilbbesjávri, Gilpisjávri@
@king@|@gonagas@
@king eider@|@áhpehávda@
@Kirkenes@|@Girkonjárga, Kirkonjárga@
@Kiruna@|@Giron@
@kiss@|@cummá@
@kitchen@|@gievkkan@
@kitten@|@bussáchivga@
@Kittilä@|@Gihttel@
@Kjøllefjord@|@Gilivuotna@
@knee@|@chibbi@
@kneecap@|@chibbeskálžu@
@knife@|@niibi@
@knot@|@chuolbma@
@know@|@damte-, dowdâ-, tabata-, tomtø-@
@knowledge@|@diehtu@
@Kobbholmfjord@|@Vuorkelvuotna@
@Kobbholmvassdraget@|@Vuorkeljohka@
@Korsfjorden@|@Ruossavuotna@
@kuru@|@gurra@
@Kuusamo@|@Guossan@
@Kvaløya@|@Fálá@
@Kvalsund@|@Fálesnuorri@
@Kyrgyzstan@|@Kirgisia@
@laboratory@|@laboratoria@
@Labour Party@|@Bargiidbellodat@
@Labrador tea@|@uulo@
@labyrinth@|@labyrinta@
@lake@|@jávri@
@lakefront@|@jávregáddi@
@Lakselv@|@Leavdnja@
@lamb@|@láppis@
@lame@|@rámbi@
@lamp@|@lámpa@
@land@|@eana@
@land register@|@giddodatgirji@
@language@|@giella@
@language policy@|@giellapolitihkka@
@language validation@|@giellagáhtten@
@lantern@|@likta@
@lap@|@aski@
@Lapland longspur@|@cizopaš@
@large@|@stuoris@
@larva@|@máhtu@
@laser printer@|@laserchálán@
@last@|@ovddit@
@last autumn@|@mannan chavchcha@
@last Monday@|@mannan mánnodaga@
@last night@|@mannan ija@
@last spring@|@mannan giða@
@last summer@|@mannan gease@
@last Sunday in the church year@|@duopmosotnabeaivi@
@last week@|@mannan vahkus, ovddit vahkus@
@last weekend@|@mannan vahkkoloahpa@
@last winter@|@mannan dálvve@
@last year@|@diibmá, mannan jagi, ovditjahki@
@late summer@|@chakchageassi@
@later@|@mangngil@
@Latvia@|@Látvia@
@law@|@juridihkka, láhka@
@law book@|@láhkagirji@
@lazy@|@láiki@
@leaf@|@lasta@
@leap year@|@gárgádusjahki@
@Lebesby@|@Davvesiida@
@lecture@|@logaldallan@
@left-wing party@|@gurutbellodat@
@leg@|@juolgi@
@leg of a pair of pants@|@buksa@
@leg pant's@|@leagga@
@legal history@|@riektehistorjá, riektehistorjjálaš@
@legal right@|@vuoigatvuohta@
@legally@|@juridihkalachchat@
@leisure time@|@asttoáigi@
@lemon@|@sitrovdna@
@Leo@|@ledjon@
@lesbian@|@lesba@
@lesser black-backed gull@|@sildegáiru@
@lesser white-fronted goose@|@giljobaš@
@lesser whitethroat@|@heartavizar@
@lesser-spotted woodpecker@|@uhcaçáihni@
@let loose@|@dikte-@
@letter@|@reive@
@letter (alphabet)@|@bustávva@
@letter (mail)@|@reive@
@letter (of the alphabet)@|@bustávva@
@letter of pledge@|@pántagirji@
@lettuce@|@saláhtta@
@level@|@cháhcechalbmi, dássi@
@lexicon@|@sátnegirjjáš@
@liberal@|@liberalalaš@
@Libra@|@Viehkat@
@library@|@girjerádju@
@license plate@|@nummargalba@
@lichen@|@ækkal, jeagil@
@lid@|@goaw'de, lohkki@
@lie@|@oaððe@
@Liechtenstein@|@Liechtenstein@
@life@|@eallin@
@lifethreatening@|@heaggavárálaš@
@light@|@chuovgat, chuovggas@
@lightning@|@álttágas, bajánnjuolla@
@like@|@dego@
@like something@|@láhkái@
@lily-of-the-valley@|@gieganjuolla@
@limited partnership@|@kommandihttavuoððudus@
@line printer@|@sáhcochálán@
@lines (for an actor/actress)@|@vuorrodajaldat@
@linguistic@|@gielladieðalaš, lingvistihkalaš@
@linguistics@|@gielladieða, lingvistihkka@
@lion@|@ledjon@
@lip@|@bavssa, sulla, sullâ@
@list@|@listu@
@list of books@|@girjelistu@
@listener@|@guldaleaddji@
@listening@|@guldaleapmi@
@liter@|@lihtar, lihttar, lihtter@
@literary@|@chálalaš, girjjálaš@
@Lithuania@|@Lietuva@
@little@|@veaháš@
@little auk@|@áhpecizaš, buvvodat, diksugutnar, gunnebiroš, hálkagonagas@
@little brother@|@uhcaviellja, unnavieljaš@
@little bunting@|@uhcacihci@
@little father@|@áhcháš@
@little finger@|@chelchchen, chelkiš, chengkkeš, chenkiš, chingiš@
@little finger (1)@|@cheelchim, cheelchin, chengkiš, skenkiš@
@little gull@|@uhcabáiski@
@little plover@|@uhcabuvvedat@
@little sister@|@uhcaoabbá, unnaoappáš@
@little star@|@násttáš@
@little stint@|@uhcaviroš@
@lively@|@barok@
@liver@|@vuoivvas@
@livestock@|@šibit@
@living room@|@beaivelatnja@
@load@|@guorbmi@
@loan@|@loatna@
@local@|@báikkálaš@
@locative@|@lokatiiva@
@log@|@beaivegirji, hirsa@
@London@|@London, Londonis@
@long-eared owl@|@bealljeloaðgu@
@long-haired dog@|@barfe@
@longing@|@áibbašeapmi@
@longitude@|@guhkkodatgierdu, guhkkodatriekkis@
@long-tailed duck@|@hangngá@
@long-tailed skua@|@háskil@
@long-tailed tit@|@bangošgaccet@
@long-term parking@|@guhkesáigi orosteapmi@
@look@|@niegadi@
@look for s.t. for s.t.@|@ohcat@
@look!@|@gea!@
@loose@|@lause@
@Loppa@|@Láhppi@
@lord@|@isit@
@lorry@|@guorbmebiila@
@lorry driver@|@guorbmebiilavuoddji@
@loss@|@dáhpa@
@lost@|@láhppán@
@loudly@|@garrasit@
@louse@|@dihkki@
@love@|@ráhkesvuohta, ráhkisvuohta@
@Lovozero@|@Lujávri@
@lowland@|@argo, choal'bme, læk'ša, læk'ša@
@luck in something@|@lihkku@
@lucky number@|@lihkolohku@
@Luleå@|@Luleju@
@lunch@|@beaivebiebmu, beaiveborran@
@lung@|@geahpis, suow'de@
@lung cancer@|@geahpesboras@
@Luxembourg@|@Luxemburg@
@lye@|@gudna@
@Lyngen@|@Ivgu@
@lyrics@|@lyrihkka@
@macaroni@|@makaruvnnat@
@machine@|@biergas, mašiidna@
@mackerel@|@makrealla@
@magazine@|@áigechála@
@Magerøya@|@Máhkarávju@
@Magerøysundet@|@Máhkarainuorri@
@magnet@|@magnehtta@
@magnetic@|@magnehtalaš@
@magnetic field@|@magnehttagieddi@
@magnetophone@|@magnetogovdna@
@maid@|@biiga@
@mail@|@poasta@
@mailing list@|@boastalistu@
@main page@|@váldosiidu@
@main road@|@váldogeaidnu, váldoratti@
@main verb@|@váldovearba@
@major@|@váldoánnas@
@majority@|@eanetlohku@
@make Sámi unleavened breads@|@gáhkket@
@make-believe@|@duhkoras-@
@maker@|@dahkki@
@male@|@almmái, vâr'ras, vareek, vâres, vârras-, vârres@
@male reindeer castrated@|@spáillit@
@mallard@|@duoršu@
@malt@|@vuolamálddis@
@Malta@|@Malta@
@mammal@|@njichchehas@
@man@|@almmáiolmmoš, dievdu, olmmái, olu galore, vaikko, vaikko@
@managing director@|@doaibmajoðiheaddji@
@Manndalen@|@Olmmáivákki@
@manuscript@|@giehtachálus, mánus@
@many@|@guktot, mángga, ollu, olu@
@many X@|@mángga@
@map lichen@|@skártagatna@
@March@|@njukchamánnu@
@marinade@|@marináda@
@marine biology@|@áhpebiologiija@
@maritime museum@|@mearrajohtindávvirvuorká@
@mark (currency)@|@márki@
@mark-up@|@haddenbajideapmi@
@Mårøyfjord@|@Dáibaravuotna@
@marriage@|@heajat@
@married woman@|@niso, nisoi, nison, nisov, nissun@
@marsh@|@jeaggi@
@marsh tit@|@rohtogaccet@
@marshy river valley@|@vuopmi@
@Masi@|@Máze@
@Måsøy@|@Muosát@
@master plan@|@oppalaš plána@
@match@|@rišša@
@matchbox@|@riššadoassa@
@matches@|@dolat, riššasággi, riššat@
@mathematics@|@matematihkka, mátematihkka@
@matter@|@ášši@
@Mauritius@|@Mauritius@
@maximum@|@badjerádji@
@May@|@miessemánnu@
@may do something@|@dáidat@
@mayonnaise@|@majonesa@
@mayor@|@gielddahoavda@
@meadow@|@kedde, njor'ma@
@meadow pipit@|@niitocivkkán@
@mean@|@gaskaárvu, gaskamearálaš@
@meaning@|@mearkkašupmi@
@measurement@|@mihttu@
@measurements@|@mahtodat@
@meat@|@bæšše, biergu@
@meat sandwich@|@biergoláibi@
@meat soup@|@biergomálli@
@mechanical engineering@|@mášenteknihkka@
@mechanics@|@mekánihkka@
@media@|@preassa@
@medicine@|@medisiidna@
@meeting@|@choahkkin@
@meeting room@|@choahkkinlatnja@
@melody@|@melodiija@
@melon@|@melovdna@
@member@|@lahttu, láhttu@
@membership@|@lahttovuohta@
@men's restroom@|@dievdduid hivsset@
@mental@|@mielalaš@
@mental health@|@mielalaš dearvvašvuohta@
@merlin@|@cizášfálli@
@message@|@sáhka@
@metal@|@metálla@
@metaphor@|@metafora@
@meteorit@|@ráttáš@
@meteorite@|@meteorihtta@
@meteorology@|@meteorologiija@
@meter@|@metrum@
@meter in a poem@|@diktamihttu@
@methodics@|@metodihkka@
@metonym@|@metonymiija@
@mew gull@|@báiski@
@Mexico@|@Meksiko@
@microphone@|@mikrofovdna@
@middle age@|@gaskaahki, gáskaahki@
@middle finger@|@gaskasuorbma@
@midge@|@chuoi'ka@
@midmost@|@gaskaleamos@
@midnight@|@gaskaidja@
@midnight sun@|@gaskaijabeaivváš@
@midway through X@|@gaskkamuttos@
@might@|@fápmu@
@migraine@|@migrena@
@migraine sufferer@|@migrenabuohcci@
@mile@|@miila@
@milk@|@mai'tu, maito, majt, majta, mielki@
@milk allergy@|@mielkeallergiija@
@milk protein@|@mielkeproteidna@
@milking machine@|@mielkemášiidna@
@milkshake@|@soarpemielki@
@million@|@miljovdna@
@mine@|@mu, ruvke@
@mineral@|@minerála@
@minister@|@ministtar@
@Minister of Culture@|@kulturministtar@
@Minister of Justice@|@vuoigatvuohtaministter@
@Minister of Labour@|@bargoministtar@
@ministry@|@ministeriija@
@Ministry of Education@|@Oahpahusministeriija@
@Ministry of Justice@|@vuoigatvuohtaministeriija@
@Ministry of Labour@|@Bargoministeriija@
@Ministry of the Environment@|@Birasministeriija@
@Ministry of the Interior@|@Sisáššiidministeriija@
@Ministry of Transport and Communications@|@ja kommunikašuvdnaministeriija@
@minor@|@agivuloš, oalgeánnas@
@minority@|@minoritehta, unnitlohku@
@minus@|@eret@
@minutes@|@beavdegirji@
@miracle@|@imaš@
@miraculous@|@imašlaš@
@mirror@|@speadjal@
@miscellaneous@|@buotlágan@
@miss@|@mieddaal, mieddaala@
@mistle thrush@|@vuovderásttis@
@mitten@|@fáhcca@
@mobile phone@|@mátketelefuvdna@
@modern@|@oððaáigásaš@
@module@|@modula@
@molecule@|@molekyla@
@moment@|@momeanta@
@Monday@|@mánnodat, vuossárga@
@money@|@ruhta@
@monkey@|@áhppa@
@monkfish@|@áhkábiddu angler@
@monocle@|@chalbmeláse@
@monologue@|@monologa@
@monopoly@|@monopola@
@monopoly on alcohol@|@viidnemonopola@
@month@|@mánotbadji@
@monthly@|@mánnosachchat@
@monthly salary@|@mánnobálka@
@monument@|@muitogeaðgi, muitomearka@
@mood@|@miella@
@moon@|@mánnu@
@moose@|@ealga@
@moped@|@mopeda@
@moral@|@morála, morchesuotna, morchi@
@more@|@lasi, šat@
@more something@|@eanet@
@morning@|@iðit@
@morphology@|@morfologiija@
@Moscow@|@Moskva@
@mosquito@|@chuoika@
@mosquito netting@|@chuoikaluvra@
@moss@|@lap'po@
@mother@|@ädnee, æd'ne, eadni, iednee, jienne@
@mother tongue@|@eatnigiella@
@motherhood@|@eadnivuohta@
@mother's brother@|@eanu uncle@
@mother's younger sister@|@muottá@
@motive@|@motiiva@
@motor@|@motorihkalaš@
@motor boat@|@mášinvanca@
@motor skills@|@motorihkka@
@motorcross@|@mohtorcross@
@motorcycle@|@mohtorsihkkel@
@motorway@|@mohtorgeaidnu@
@mould@|@guohpa, guoppa, p'pag@
@mound@|@dievvá, miek'ta@
@mountain@|@vaairre, vairr, várri, virr@
@mountain avens@|@noarsa@
@mountain in Lapland@|@várri@
@mountain sorrel@|@eavru@
@mouse@|@sáhpán@
@mouth@|@njálbmi@
@mouth-organ@|@fidjol@
@mug@|@mugga@
@muitogeaðgi@|@monument@
@muitomearka@|@monument@
@multicultural@|@mángggakultuvrralaš@
@multiculturalism@|@mángggakultuvrralašvuohta@
@multilingual@|@mángggagielalaš@
@multinational@|@multichearddalaš@
@multitude@|@labmele-, vâl've@
@municipal authorities@|@gieldda eiseválddát@
@municipal road@|@suohkangeaidnu@
@municipality@|@gielda@
@Muotkatunturi@|@Muokteduottar@
@murderer@|@olmmošgoddi@
@Murmansk@|@Murmánska@
@mushroom@|@guobbâr@
@music@|@musihkka, nuohttebahta, nuotanperä@
@Muslim@|@musliima@
@mustard@|@sennet@
@mute swan@|@boallonjukcha@
@myself@|@mun ieš@
@mythology@|@mytologiija@
@n a bad mood@|@bahán gomas@
@n the beginning@|@álgogeahchen@
@nail tools@|@spiikkár@
@name@|@jnk nimeen, jnk tarkoituksessa, namma, nammii@
@nape@|@hvetekorn, nisogordni@
@narcotics@|@narkoávnnes@
@narrator@|@muitaleaddji@
@Narvik@|@Hålogaland, Hålogalánda, Narviika@
@nation@|@álbmot@
@national@|@riikkavuloš@
@national bank@|@stáhtabángku@
@National Board of Forestry@|@Meahcceráððehus@
@national budget@|@stáhtabušeahtta@
@national income@|@álbmotsisaboahtu@
@National Insurance Administ.@|@Oadjoetáhta@
@national insurance scheme@|@álbmotoadju@
@national park@|@álbmotmeahcci@
@National Pensions Institute@|@ÁEL (Álbmotealáhatlágádus)@
@national team@|@riikkajoavku@
@nationality@|@chearddalašvuohta@
@natron@|@natrovdna@
@natural state@|@luonddudilli@
@naturally@|@lunddolachchat@
@nature@|@luondu@
@nature reserve@|@luonddupárka@
@near something@|@bokte@
@nearby@|@lahkosis@
@necessary@|@dárbbašlaš@
@neck@|@cheabát, cheabet, cheahpát@
@nee@|@riegádan@
@needle@|@nállu@
@negative@|@gieldin-, negatiiva@
@negative verb@|@gieldinvearba@
@Neiden@|@Njávdán@
@neighbor@|@kránnjá@
@neighbour@|@ránnja@
@neighbouring country@|@kránnjáriika@
@Nenets@|@nenetsalaš@
@nerve@|@nearva@
@nervous system@|@nearvafierbmi, nearvasystema@
@Nesseby@|@Unjárga@
@net@|@fierbmi@
@net income@|@nettoboahtu@
@network@|@fierpmádat@
@neurological@|@nevrologalaš@
@neurological disorder@|@nearvasystema dávda@
@never@|@goassege@
@new@|@oðða@
@New Year's Eve@|@oððabeairuohta, oððabeaivvi ruohta@
@New Zealand@|@Oðða Selánda@
@New Zealander@|@oðða-selándalaš@
@newspaper@|@áviisa, bláðði@
@next@|@chuovvovaš@
@next week@|@boahtte vahkus, boahttevahkku@
@next year@|@boahtte jagi@
@Nicaragua@|@Nicaragua@
@Nigeria@|@Nigeria@
@night@|@idja@
@nightmare@|@deattán@
@nimbus@|@arvebalva@
@nine@|@akce, aktse, axc, ovcci, ovce, oxc@
@nineteen@|@ovccinuppilohkái@
@ninety@|@ovccilogi@
@ninth@|@ovccát@
@nits@|@chiwros@
@Nivkh@|@nivhalaš@
@no@|@mihkkege@
@nobody@|@oktage@
@nomination@|@nominašuvdna@
@nominative@|@nominatiiva@
@non~@|@eahpe~@
@non-fiction book@|@fágagirji@
@non-Sámi@|@dáža@
@non-Sámi woman@|@rivgu@
@noon@|@gaskabeaivi@
@noose@|@virruu-säGGI@
@Nordic@|@davviriikkalaš@
@Nordkapp@|@Nordkáhppa@
@Nordkapp plateau@|@Nordkáhppašleaððu@
@Nordkinn@|@Chorgaš@
@Nordmannset@|@Riimmat@
@Nordreisa@|@Ráisa@
@Nordvågen@|@Nuortaváhki@
@normal@|@dábálaš@
@normally@|@dábálachchat@
@north@|@davvi@
@North America@|@Davvi-Amerihkká@
@northeast@|@davvenuorti@
@northerly wind@|@davvebiegga@
@northern gannet@|@suvlá@
@northern goshawk@|@goahppilfálli@
@northern lapwing@|@vuoktaláfol@
@northern lights@|@guovssahasat@
@northern reindeer lichen@|@oaivejeagil@
@northern shoveler@|@spoaððoduoršu@
@northern wheatear@|@geaðgerásttis, rásttáš@
@northwest@|@davveoarji@
@Norway@|@Budejju, Divtasvuotna, Norga@
@Norwegian@|@norgalaš@
@Norwegian (language)@|@dárogiella@
@Norwegian Tax Administration@|@Vearroetáhta@
@nose@|@njunni, njuohpa, njuohppi@
@not@|@ii, in@
@not (2.sg.)@|@it@
@not even X@|@oppa..@
@not good@|@heittot@
@notice@|@gæch'cha@
@novel@|@romána@
@November@|@skábmamánnu@
@now@|@dal, dál, na@
@now and then@|@duollet dálle@
@nowadays@|@otnábeaivi@
@nuclear accident@|@atomlihkuhisvuohta@
@nude@|@álás, rihccut@
@number@|@lohkosátni, numerála, nummar@
@Nuorgam@|@Nuorggán@
@nurse@|@buohccedikšu, buohccedoarjja, psychiatric@
@nut@|@muhtter, niehtti@
@o scrape skin@|@næs'ke-, näskää-, nieske-, nieskem@
@oakmoss lichen@|@simsejeagil@
@oar@|@áiru@
@objectively@|@áššálachchat, objektiivalachchat@
@oblique@|@vadnjal, vanjal@
@obliquus@|@vannaija@
@observatory@|@observatoriija@
@occasionally@|@muhtimin@
@occupational injury benefit@|@fitnovihkeoadju, fitnovihkeruhta@
@ocean@|@áhpi@
@October@|@golggotmánnu@
@of course@|@dieðusge@
@of directors@|@stivra board@
@offering@|@kolleakta@
@office@|@kantuvra, kántuvra, virgi@
@official@|@almmolaš, virggálaš@
@officially@|@virggálaççat@
@often@|@dávjá, nu dávjá@
@oh; no!@|@vuoi, vuoi!@
@oh; really?@|@vai nu@
@oil@|@biebmoolju, olju@
@old@|@boares@
@old (not young)@|@boaris@
@old age@|@boaresvuohta@
@old snow dug up by a reindeer@|@chiegar@
@Olderfjord@|@Leaibevuotna@
@omasum@|@cheaksa@
@on average@|@gaskaárvvu mielde, gaskamearálažžat@
@on average (1)@|@gáskamearalachchat, gáskamearálachchat@
@on Friday@|@bearjadaga@
@on Monday@|@mánnodaga, vuossárgga@
@on sale@|@vuovdinláhkai@
@on Saturday@|@lávvardaga@
@on Sunday@|@sotnabeaivvi@
@on the contrary@|@fal@
@on the same day@|@seammá beaivve@
@on Thursday@|@duorastaga@
@on top@|@âl; allee-, âlas, âlde, alleen, âllen, jillie@
@on top of something@|@alde, nalde@
@on Tuesday@|@disdaga, distaga, mangngebárgga@
@on Wednesday@|@gaskavahku@
@on what day@|@guðe beaivve@
@once again@|@vuot@
@one@|@okta@
@one after another@|@mangngálágaid@
@one and a half@|@bealnot, bealnubbi, beannot@
@one hundred@|@chuoði@
@one mitten of a pair@|@fáhccabealle@
@one month old@|@mánnosaš@
@one needs to do something@|@berret@
@one thousand@|@duhát@
@one time@|@oktii@
@one-fourth@|@njealjádas@
@one-room apartment@|@ovttalanjadat@
@one-sixth@|@guðadas@
@one-tenth@|@logádas@
@onion@|@lávki@
@only@|@áidna, áidnu, dušše@
@only child@|@áidnamánná@
@open@|@njuol'ga@
@opening ceremony@|@rahpan@
@opportunity@|@dilálašvuohta@
@opposition@|@opposišuvdna@
@optics@|@optihkka@
@optimist@|@optimista@
@optimistic@|@optimistalaš@
@option@|@molssaeaktu@
@or@|@dahje, vai@
@or (in questions)@|@vai@
@orange@|@appelsiidna@
@orange (color)@|@oránša@
@orchestra@|@orkeasttar@
@order@|@gœrde@
@ordinal number@|@ortnetlohku@
@organ@|@ásahus@
@organ (instrument)@|@orgel@
@organization@|@organisašuvdna@
@organizer@|@lágideaddji@
@originating traffic@|@álgi johtolat@
@ornamental band@|@hearvabáddi@
@Oroch@|@orohkalaš@
@orphan@|@oarbbis@
@Orthodox@|@ortodoksalaš@
@orthography@|@chállinvuohki, ortografiija@
@ortolan bunting@|@bealdocihci@
@Oslo@|@Oslo@
@osprey@|@chiekchá@
@Østerbotton@|@Soggovuotna@
@Ostrobothnia@|@Nuortabaðaeana@
@other@|@nub'be, nuppe@
@Ounasjoki@|@Ovnnesjohka@
@our@|@min, munno@
@Our Father@|@áhchchemin@
@out the window@|@lássaráigi@
@Outakoski@|@Vuovdaguoika@
@out-patient department@|@poliklinihkka@
@output@|@buktu@
@output (computer)@|@dihtorchollu@
@outside@|@olggos, olgun@
@ovary@|@monneráksá@
@oven@|@uvdna@
@overhead@|@dábálaš golut@
@overload@|@badjelmeari guorbmi@
@overproduction@|@badjelmearebuvttadeapmi@
@overtime@|@badjeláiggebargu@
@owner@|@eaiggát, oamastaddji@
@oystercatcher@|@cagan@
@P.O. box@|@boastaboksa@
@package@|@báhkka@
@package holiday@|@páhkejuvvon mátki@
@packed lunch@|@niesti@
@paddle@|@mealli@
@page@|@siidu@
@pain@|@bávchchas@
@paint@|@fearga, mola@
@painter@|@molejeaddji@
@pair@|@bárra@
@Pajala@|@Pajala@
@Pakistani@|@pakistánalaš@
@pal@|@skihpár@
@Palestinian@|@palestinalaš@
@palm of the hand@|@giehtaváibmu@
@Palm Sunday@|@bálbmasotnabeaivi@
@pan@|@bánno@
@pantheism@|@panteisma@
@pant's pocket@|@buksalumma@
@paper@|@bábir@
@parachute@|@ivdnerákkas@
@paragon@|@ovdagovva@
@parallelism@|@parallellisma@
@parantheses@|@ruoðut@
@paraphrase@|@parafrása@
@parapsychology@|@parapsykologiija@
@parasite@|@párasihtta, sismáhtu@
@parcel@|@páhkka@
@parental benefit@|@riegádahttinruhta@
@parents@|@váhnemat@
@Paris@|@Parisa@
@parlamentary session@|@riikkabeaivvit@
@parliament@|@parlameanta@
@parliamentary@|@parlamentáralaš@
@Parliamentary Ombudsman@|@Justisombudsmánni@
@Parmelia olivacea@|@beassegatna@
@Parmelia saxatilis@|@smarvegatna@
@parrot crossbill@|@beahcebáhcatloddi@
@part of shoe@|@chulgum@
@part of something@|@oassi@
@participant@|@oasseváldi@
@particle@|@partihkal@
@part-time job@|@oasseáigibargu@
@party@|@bellodat, feasta@
@pass between mountains@|@chahca@
@passage@|@oassi@
@passion fruit@|@passionšattus@
@Passion Week@|@biidnovahkku@
@password@|@beassansátni@
@past participle@|@perfeavtta partisihppa@
@pastor@|@báhppa@
@pastry cutter@|@gáhkkojuvla@
@patch@|@duog'ngâ-@
@patent@|@pateanta@
@paternity allowance@|@áhchiidruhta@
@path@|@oarre, porus@
@patient@|@pasieanta@
@patron@|@kunddár@
