@Esperanto@|@English@
@malplimulto@|@minority@
@malplipeziĝi@|@lose weight@
@malplivarmiĝi@|@get cold@
@malplivarmigi@|@cool down@
@malplivarmigi@|@cool@
@malplivarmiĝo@|@cooling@
@malpolurita@|@frosted@
@malprava@|@wrong@
@malpravi@|@be wrong@
@malpreciza@|@imprecise@
@malpreferi@|@subordinate@
@malprefero@|@slighting, neglect(2)@
@malprofito@|@loss@
@malprofunda@|@superficial, shallow@
@malprogresi@|@decline(2), recede@
@malproksima@|@far, remote, distant@
@Malproksima Oriento@|@Far East@
@malproksime@|@remotely, far away@
@malproksimeco@|@distance@
@malproksimiĝi@|@blow over@
@malpropra@|@another man's, other people's@
@malprosperi@|@decline(2), recede@
@malprospero@|@decay@
@malprotesto@|@resignation, submission, acquiescence@
@malpruda@|@lewd, unabashed, ribald@
@malpura@|@nasty(2), soiled, filthy, unclean, dirty@
@malpureco@|@dirtiness, untidiness@
@malpurega@|@nasty(5)@
@malpurigi@|@soil@
@malracia@|@irrational@
@malrapida@|@slow@
@malrapide@|@leisurely, slowly@
@malregula@|@irregular@
@malrekta@|@curved, indirect@
@malrespektigi@|@abase@
@malrespektigo@|@abasement(2)@
@malrespekto@|@disrespect@
@malriĉa@|@poor, miserable(2)@
@malriĉeco@|@poverty@
@malriĉulejo@|@almshouse, workhouse, almonry@
@malriĉulo@|@poor man, pauper@
@malriĉulprizorgado@|@almonership@
@malriĉulprizorgisto@|@almoner@
@malrigi@|@dismantle, unrig@
@malsaĝa@|@foolish@
@malsaĝulo@|@fool@
@malŝalti@|@turn off, stop, shut off, switch off@
@malsama@|@different@
@malsameco@|@difference@
@malsamkreda@|@dissenting@
@malsana@|@sick, ill@
@malsanejo@|@hospital@
@malsaneta@|@not well, upset(2)@
@malsani@|@be ailing@
@malsaniga@|@causing illness, pathogenic@
@malsano@|@disease, illness@
@malsanulejo@|@hospital@
@malsanulo@|@patient@
@malŝarĝi@|@unload@
@malŝargi@|@fire, fire off, discharge(2), let off@
@malŝargiĝi@|@go off@
@malsata@|@hungry@
@malsatego@|@famine@
@malsati@|@be hungry@
@malŝati@|@hate@
@malŝati@|@dislike@
@malŝato@|@dislike@
@malŝato@|@disdain@
@malsato@|@hunger@
@malseka@|@wet@
@malsekaĵo@|@damp@
@malsekeco@|@damp@
@malseketa@|@moist@
@malseketigi@|@dampen@
@malsekiĝi@|@get wet@
@malserena@|@dreary, dismal@
@malseriozaĵo@|@old wives' tale@
@malservi@|@be detrimental to, do harm to, detract from@
@malsevera@|@lenient, indulgent, mild-mannered@
@malsimetria@|@asymmetrical, asymmetric, dissymmetric@
@malsimila@|@different@
@malsimpatia@|@nasty@
@malsimpatio@|@antipathy@
@malsimpla@|@complex, complicated@
@malsincera@|@underhanded@
@malŝlosi@|@unlock@
@malŝminki@|@take off make-up@
@malsovaĝa@|@tame@
@malsovaĝigi@|@tame@
@malŝpari@|@waste@
@malŝparita@|@wasted, spoiled@
@malŝparo@|@waste@
@malsperta@|@inexperienced@
@malsprita@|@dull, stupid@
@malŝraŭbi@|@unscrew@
@malstabila@|@unstable@
@malŝtopi@|@unplug@
@malstreĉiĝi@|@relax@
@malstreĉo@|@d‚tente@
@malstrikta@|@loose(2)@
@malsubstanca@|@light(2), insubstantial@
@malsukcesa@|@abortive@
@malsukcesego@|@flop, failure@
@malsukcesi@|@fail, abort(2)@
@malsukcesigi@|@abort, quash@
@malsukceso@|@abortion@
@malsupera@|@inferior@
@malsupra flanko@|@bottom@
@malsupre@|@downstairs, below, underneath@
@malsupre de@|@beneath, below, under@
@malsupren@|@down@
@malsuprenirejo@|@slope@
@malsupreniri@|@descend, get off, go down@
@malsupreniro@|@descent@
@malsuprenpendi@|@hang down, depend@
@malsuprensalti@|@jump off, leap down@
@malta@|@Maltese@
@maltano@|@Maltese@
@maltaŭga@|@unsuited@
@malteni@|@release@
@maltima@|@daring@
@maltimi@|@dare@
@Malto@|@Malta@
@maltrafi@|@miss@
@maltrankvila@|@anxious@
@maltrankvile@|@anxiously@
@maltrankviliga@|@serious, anxious, grave@
@maltrankviligi@|@oppress@
@malutila@|@harmful@
@malutile@|@detrimentally, prejudicially, disadvantageously@
@malutili@|@harm@
@malutilo@|@harm@
@malvalida@|@void, invalid@
@malvarma@|@chilly, cold, bleak@
@malvarmeta@|@cool@
@malvarmiĝi@|@cool off@
@malvarmigi@|@cool off@
@malvarmo@|@cold@
@malvarmsanga@|@cold-blooded@
@malvarmumo@|@cold@
@malvasta@|@cramped, close(2)@
@malvastejo@|@narrow space@
@malvenki@|@be defeated, lose@
@malvenko@|@defeat@
@malvera@|@false, untrue@
@malveraĵo@|@untruth@
@malvero@|@untruth@
@malversacio@|@embezzlement, misappropriation@
@malvesti@|@undress@
@malvestiĝi@|@strip, undress(2)@
@malvigla@|@sluggish, indolent, slack@
@malvirto@|@vice@
@malvirtulo@|@evil-doer@
@malviva@|@lifeless, dead@
@malvolo@|@disinclination, unwillingness@
@malvolonta@|@unwilling@
@malvolvado@|@unwinding@
@malvolvi@|@unroll; develop@
@malzipi@|@unzip@
@malzorga@|@negligent(2), careless, neglectful, remiss@
@malzorgeco@|@negligence, remissness, carelessness@
@mambesto@|@mammal@
@mamego@|@udder@
@mamnutri@|@suckle@
@mamo@|@breast, udder, teat@
@Mamono@|@Mammon@
@mampinto@|@nipple@
@mamsuĉi@|@nurse@
@mamulo@|@mammal@
@mamuto@|@mammoth@
@mamzono@|@bra@
@manaĝi@|@manage@
@manaĝisto@|@manager@
@manĉua@|@Manchurian@
@manĉuo@|@Manchurian@
@manĉura@|@Manchurian@
@Manĉurio@|@Manchuria@
@mandarino@|@tangerine@
@mandato@|@mandate@
@mandatulo@|@bearer of a mandate@
@manekeno@|@fashion model, mannequin@
@manfaritaĵo@|@handiwork@
@manĝaĵo@|@food@
@manĝaĵoŝranko@|@larder, pantry, store-cupboard@
@mangano@|@manganese@
@manĝebla@|@edible@
@manĝejo@|@dining-room@
@manĝeti@|@snack, nibble@
@manĝeto@|@snack, small meal@
@manĝi@|@feed, eat@
@manĝigi@|@feed@
@manĝilaro@|@forks, knives and spoons@
@mango@|@mango@
@manĝo@|@meal@
@manĝobastonetoj@|@chopsticks@
@manĝoĉambro@|@dining-room@
@manĝokarto@|@menu@
@manĝoprovizejo@|@pantry@
@mangostano@|@mangosteen@
@mangujo@|@mango tree, mango-tree@
@Manĝurio@|@Manchuria@
@maniero@|@mode, way, manner@
@manifestacii@|@demonstrate@
@manifestacio@|@demonstration@
@manifesti@|@demonstrate, manifest, show(2)@
@manifestiĝi@|@manifest itself@
@manifesto@|@manifest@
@Manika Kolo@|@Street of Dover@
@Manikaj Insuloj@|@Channel Islands@
@maniko@|@sleeve@
@Maniko@|@the English Channel, the Channel@
@Manikuagano@|@Manikuagan@
@manikuri@|@manicure@
@manilo@|@handle@
@Manilo@|@Manila@
@manio@|@mania@
@manioko@|@cassava@
@manipulado@|@treatment@
@manipuli@|@manipulate, handle@
@Manitobolago@|@Lake Manitoba@
@maniulo@|@maniac@
@manka@|@flawed, missing, imperfect@
@mankanta@|@absent@
@manke de@|@in the absence of@
@manki@|@be lacking, be missing@
@mankiso@|@hand-kiss@
@manko@|@shortage, lack, absence, shortcoming@
@manlaboro@|@handiwork; manual labour@
@manlibro@|@manual, handbook@
@mano@|@hand@
@manovri@|@maneuver, manoeuvre, manouvre@
@manovro@|@manouvre, maneuver, manoeuvre@
@manpilkado@|@handball@
@manplato@|@palm@
@manpremi@|@shake hands@
@manpremo@|@handshake@
@manradiko@|@wrist@
@mansaketo@|@hand-bag, handbag@
@mansako@|@handbag, hand-bag@
@mansardo@|@garret, attic@
@mansigni@|@wave@
@mansigno@|@hand signal@
@manskribita@|@hand-written@
@manskribo@|@handwriting@
@mantelo@|@cloak, mantle@
@manteni@|@have got hold of@
@manto@|@mantis@
@mantuko@|@towel@
@manufakturo@|@factory@
@manumo@|@cuff@
@manuskripto@|@manuscript@
@maoria lingvo@|@Maori language, Maori@
@maparo@|@atlas@
@mapo@|@map@
@mararmeo@|@navy@
@marbordo@|@coast, shore, seaside@
@marĉandi@|@haggle, bargain@
@marcipano@|@marzipan@
@marĉo@|@marsh, swamp@
@mardo@|@Tuesday@
@marfundo@|@bottom of the sea, sea-bottom@
@margarino@|@margarine@
@margarito@|@daisy@
@marĝena@|@marginal@
@marĝeno@|@margin@
@marĝenulo@|@marginalised person, fringe existence@
@Marianoj@|@Mariana Islands@
@mariĥuano@|@marijuana@
@marini@|@marinate@
@marioneto@|@puppet, marionette@
@marista bluo@|@navy blue@
@mariste blua@|@navy blue@
@maristo@|@sailor@
@markezo@|@shed(2), penthouse@
@marki@|@mark@
@Markisoj@|@Marquesas Islands@
@markizo@|@marquis@
@marko@|@mark@
@markolo@|@strait@
@Markolo de Forto@|@Firth of Forth@
@markoti@|@layer@
@markoto@|@layer@
@marmalsano@|@seasickness@
@marmelado@|@jam, marmalade@
@marmito@|@cooking pot@
@marmora@|@marble@
@marmoro@|@marble@
@marnivelo@|@sea level@
@maro@|@sea@
@maroka@|@Moroccan@
@marokanino@|@Moroccan woman@
@marokano@|@Moroccan@
@Maroko@|@Morocco@
@maroto@|@quirk, eccentricity@
@Marŝalinsuloj@|@Marshall Islands@
@marŝalo@|@marshal@
@marsano@|@Martian@
@marŝi@|@march, walk@
@marŝo@|@walk@
@Marso@|@Mars@
@martagono@|@martagon lily@
@martelado@|@hammering@
@marteli@|@hammer@
@martelo@|@hammer@
@martireco@|@martyrdom@
@martiriĝo@|@martyrdom@
@martiro@|@martyr@
@marto@|@March@
@masaĝi@|@massage@
@masaĝo@|@massage@
@masakri@|@massacre@
@masakro@|@massacre@
@maŝinaro@|@machinery@
@maŝino@|@engine, machine@
@maŝinpafilo@|@machine gun@
@maŝinskribi@|@type@
@masiva@|@massive@
@maskado@|@masquerade@
@maskerado@|@masquerade@
@maski@|@mask@
@maskla@|@male@
@masklo@|@male@
@masko@|@mask@
@maskobalo@|@masked ball@
@maŝo@|@loop@
@maso@|@mass@
@maŝo@|@mesh@
@maso@|@lump@
@masonaĵo@|@masonry@
@masoni@|@build@
@masonisto@|@mason@
@mastiko@|@putty@
@masto@|@mast@
@mastri@|@dominate, be master over@
@Mastriĥto@|@Mĉstricht@
@mastrino@|@mistress@
@mastro@|@master, boss@
@mastruma sistemo@|@operating system@
@mastrumado@|@housekeeping, management(2)@
@mastrumi@|@keep house, manage@
@mastrumistino@|@housekeeper@
@matĉo@|@match, game@
@matematika@|@mathematical@
@matematikisto@|@mathematician@
@matematiko@|@mathematics@
@matene@|@in the morning@
@matenhoro@|@morning time@
@matenkoncerto@|@aubade@
@matenmanĝo@|@breakfast@
@mateno@|@morning@
@matenruĝo@|@red of dawn@
@matenstelo@|@morning star@
@Materhorno@|@Matterhorn@
@materia@|@material@
@materialo@|@material, data@
@materiiĝi@|@materialise@
@materiismo@|@materialism@
@materio@|@matter@
@mato@|@mat@
@matraco@|@mattress@
@matrico@|@matrix@
@matrikulo@|@roll(2), list of members@
@matura@|@mature, ripe@
@matureco@|@maturity@
@maturiĝi@|@ripen@
@maŭismo@|@Maoism@
@Maŭricio@|@Mauritius@
@Maŭrujo@|@Mauritania@
@mava@|@bad@
@meblaro@|@furniture@
@mebli@|@furnish@
@meblita@|@furnished@
@meblo@|@piece of furniture@
@mebloj@|@furniture@
@mecenato@|@patron@
@meĉo@|@fuse, wick@
@medalo@|@medal@
@mediacii@|@mediate@
@mediacio@|@mediation@
@medicina@|@medical@
@medicinaĵo@|@medicine, drug, pharmaceutical@
@medicino@|@practice of medicine, medicine@
@medikamento@|@medicine, pharmaceutical, drug@
@Medino@|@Medina@
@medio@|@environment@
@meditema@|@thoughtful, meditative, pensive, thinking@
@Mediteraneo@|@Mediterranean@
@mediti@|@think to oneself, meditate@
@medo@|@mead@
@medolo@|@pith, marrow@
@Meduzo@|@Medusa@
@Mefisto@|@Mephistopheles@
@Mefistofelo@|@Mephistopheles@
@mefito@|@skunk@
@megera@|@bitchy, shrewish@
@megero@|@shrew@
@meĥanika@|@mechanical@
@meĥanikisto@|@mechanic@
@meĥaniko@|@mechanics@
@Meĥlino@|@Mechlin, Malines@
@mejlo@|@mile@
@mejloþtono@|@milepost, landmark, milestone@
@mekanika@|@mechanical@
@mekanikisto@|@mechanic@
@mekaniko@|@mechanics@
@meki@|@bleat@
@Mekko@|@Mecca@
@Mekongo@|@Mekong@
@meksikia@|@Mexican@
@Meksikia Golfo@|@Gulf of Mexico@
@meksikianino@|@Mexican woman@
@meksikiano@|@Mexican@
@Meksikio@|@Mexico@
@Meksiko@|@Mexico City@
@melanezia@|@Melanesian@
@melaneziano@|@Melanesian@
@Melanezio@|@Melanesia@
@melankolia@|@dreary(3), gaunt(3), dismal(2), melancholy@
@melankolio@|@melancholy@
@melaso@|@molasses@
@meleagro@|@turkey@
@melki@|@milk@
@melo@|@badger@
@melodia@|@tuneful@
@melodio@|@tune, melody@
@melodrama@|@melodramatic@
@melodramo@|@melodrama@
@melongeno@|@aubergine; eggplant@
@melono@|@melon@
@melopepo@|@squash@
@mem@|@herself, self, himself, itself@
@memamo@|@love of self@
@membraro@|@membership@
@membreco@|@membership@
@membriĝi@|@accede@
@membro@|@member, limb@
@membrokotizo@|@dues@
@memcerta@|@self-assured@
@memdecido@|@self-determination@
@memdetermino@|@self-determination@
@memestimo@|@self-esteem@
@memevidenta@|@self-evident@
@memfarita@|@self-produced, home-made@
@memfida@|@self-assured, confident@
@memfido@|@self-confidence@
@meminstruito@|@autodidact, self-taught man@
@memkompato@|@self-pity@
@memkomprenebla@|@natural, self-evident@
@memkontraŭdiro@|@self-contradiction@
@memkritiko@|@self-criticism@
@memlerninto@|@self-taught man, autodidact@
@memmortigi@|@commit suicide@
@memoraĵo@|@souvenir, memento, keepsake@
@memori@|@recollect, recall, remember@
@memorigaĵo@|@souvenir, memento, keepsake@
@memorigi@|@remind, recall@
@memorigo@|@reminder; memorialisation@
@memorinda@|@memorable@
@memorkapablo@|@memory@
@memoro@|@recollection, memory@
@memortabulo@|@memorial plaque@
@memortago@|@anniversary@
@memregado@|@self-control; self-rule@
@memserva@|@self-service@
@memserva vendejo@|@supermarket@
@memstara@|@independent@
@memstareco@|@independence@
@memsufiĉa@|@self-sufficient@
@memvola@|@voluntary, willing@
@mencii@|@mention@
@mencii mallonge@|@touch lightly on, touch on@
@menciinda@|@worth mentioning@
@mencio@|@mention@
@mendelevio@|@mendelevium@
@mendi@|@reserve, order(2), book@
@mendilo@|@order-form@
@mendo@|@order(2)@
@mensa@|@mental@
@mensmalsana@|@mentally ill@
@menso@|@mind@
@mensogi@|@lie, tell a lie@
@mensogisto@|@deceiver, cheat, impostor@
@mensogo@|@lie@
@mensogulo@|@lier@
@mensostato@|@mentality, state of mind@
@mentaleco@|@mentality@
@mento@|@mint@
@mentono@|@chin@
@menuo@|@menu@
@merdo@|@shit@
@mergi@|@immerse@
@mergiĝi@|@submerge@
@meriti@|@deserve, merit, be worthy of@
@merito@|@merit@
@merizo@|@wild cherry@
@merkatado@|@marketing@
@merkato@|@market, sales activity@
@merkredo@|@Wednesday@
@Merkuro@|@Mercury@
@merlo@|@blackbird@
@mesaĝo@|@errand, message@
@Mesino@|@Messina@
@mesio@|@Messiah@
@meso@|@mass@
@metaforo@|@metaphor@
@metala@|@metal, metallic@
@metalgarnaĵo@|@studs, mounting, ironwork@
@metalo@|@metal@
@metamorfozi@|@transform@
@metamorfozo@|@transformation, metamorphosis@
@metano@|@methane@
@metapsikio@|@parapsychology@
@meteo@|@atmospheric phenomenon@
@meteologio@|@meteorology@
@meteorito@|@meteorite@
@meteoro@|@meteor@
@meteorologio@|@meteorology@
@meti@|@put down, place, lay down, put@
@metiejo@|@workshop@
@metiisto@|@artisan@
@metilernanto@|@apprentice@
@metilernejo@|@trade school@
@metilo@|@methyl@
@metio@|@trade, handicraft, occupation@
@metoda@|@methodical@
@metodista@|@Methodist@
@metodisto@|@Methodist@
@metodo@|@method@
@metra@|@metric@
@metro@|@meter, metre@
@metroo@|@subway, underground@
@metropolito@|@archbishop@
@metropolo@|@metropolis@
@metrostacio@|@subway station, underground station@
@Metuþelaĥo@|@Methuselah@
@mevo@|@seagull@
@mez@|@average@
@meza@|@middle, mean, average@
@Meza Oriento@|@Middle East@
@Mezafrika Respubliko@|@Central African Republic@
@mezaĝa@|@middle-aged@
@Mezameriko@|@Central America@
@Mezazio@|@Central Asia@
@meze@|@rather@
@meze de@|@in the middle of, among, amidst@
@mezepoka@|@medieval@
@Mezepoko@|@Middle Ages@
@mezepoko@|@Middle Ages@
@Mezeŭropo@|@Central Europe@
@mezgrada@|@medium-grade@
@mezkvalita@|@mediocre@
@Mezmaro@|@Mediterranean@
@meznokto@|@midnight@
@meznombra@|@mean(2), average@
@meznombro@|@average@
@mezo@|@middle, mean(2)@
@Mezolitiko@|@Mesolithic Age, Mesolithic@
@Mezopotamio@|@Mesopotamia@
@Mezoriento@|@Middle East@
@Mezozoiko@|@Mesozoic, Mesozoic era@
@meztagmanĝi@|@lunch@
@mezurado@|@measurement@
@mezurebla@|@measurable@
@mezuri@|@measure@
@mezurilo@|@measure@
@mezurita@|@measured@
@mezuro@|@measure, measurement@
@mezurunuo@|@unit of measurement@
@mezvoje@|@half-way@
@mi@|@I@
@mia@|@my@
@miaj@|@my@
@miaopinie@|@to my thinking, in my view, in my opinion@
@miaŭi@|@meow@
@midþipmano@|@naval cadet, midshipsman, middy@
@midzi@|@perform oral sex on@
@miela monato@|@honeymoon@
@mielĉelaro@|@honeycomb@
@mielo@|@honey@
@mieno@|@expression@
@migdalkukaĵo@|@almond pastry@
@migdalo@|@almond@
@migdalokula@|@almond-eyed@
@migdalujo@|@almond tree@
@migrado@|@migration; hiking@
@migranto@|@migrant; hiker, wanderer@
@migrema@|@migrant@
@migreno@|@migraine@
@migri@|@roam, wander, wander about, migrate@
@Mikeno@|@Mycenĉ@
@mikrobo@|@microbe, germ@
@mikrofilmo@|@microfilm@
@mikrofono@|@microphone@
@mikrokanela disko@|@LP@
@Mikronezio@|@Micronesia@
@mikroskopo@|@microscope@
@miksado@|@mixing@
@miksaĵo@|@mixture@
@miksedziĝo@|@mixed marriage@
@miksi@|@shuffle, blend, mix, mingle@
@miksiĝi@|@mix, mingle, blend@
@miksilo@|@mixer@
@miksomatozo@|@myxomatosis@
@mikspoto@|@potpourri, pot-pourri@
@miksta@|@coeducational, desegregated(racially), mixed@
@mil@|@thousand, one thousand@
@Milano@|@Milan@
@milda@|@mild, gentle@
@mildeco@|@mildness, meekness, gentleness, leniency@
@mildigi@|@soften, alleviate@
@milibaro@|@millibar@
@milicano@|@militiaman@
@milico@|@militia@
@milimetro@|@millimetre@
@milio@|@millet@
@miliono@|@million@
@milionulo@|@millionaire@
@milita@|@military@
@militbazo@|@military base@
@militdeklaro@|@declaration of war@
@militi@|@wage war, make war@
@militi kontraŭ@|@make war on, wage war against@
@militista@|@military@
@militista vesperkoncerto@|@tattoo@
@militistaro@|@army@
@militisto@|@military man, warrior@
@militkaptito@|@prisoner of war@
@milito@|@war@
@militpastro@|@chaplain, padre@
@militpaŭzo@|@truce@
@militservo@|@military service@
@militŝipo@|@warship@
@miljaro@|@millennium@
@mimozo@|@mimosa@
@min@|@me@
@min mem@|@myself@
@minaca@|@menacing, threatening@
@minacanta@|@threatening, menacing@
@minaci@|@threaten, menace@
@minaco@|@menace, threat@
@minbalaa ŝipo@|@mine sweeper@
@minca@|@slender@
@Minĉo@|@Minch@
@minejo@|@mine@
@minejoligno@|@pitwood, pit-props@
@minekspluatado@|@mining@
@minerala@|@mineral@
@mineralo@|@mineral@
@Minervo@|@Minerva@
@mingalerio@|@gallery of a mine@
@mingaso@|@fire-damp@
@miniaturigi@|@miniaturise@
@minimuma@|@minimum@
@minimume@|@at least@
@minimumigi@|@minimise@
@minimumo@|@minimum@
@mininĝeniero@|@mining-engineer@
@ministerio@|@ministry@
@ministo@|@miner@
@ministra@|@ministerial@
@ministrejo@|@ministry@
@ministro@|@minister@
@minlampo@|@safety-lamp, davy@
@mino@|@mine@
@minoritata@|@minority@
@minoritato@|@minority@
@minus@|@minus@
@minusklo@|@lower case letter, small letter@
@minussigno@|@minus sign@
@minuto@|@minute@
@Mioceno@|@Miocene@
@miopa@|@shortsighted, nearsighted@
@miopeco@|@nearsightedness, myopia@
@miozoto@|@forget-me-not@
@miraĝo@|@mirage@
@mirakla@|@miraculous@
@miraklo@|@miracle@
@mirho@|@myrrh@
@miri@|@wonder, marvel at, marvel@
@miriado@|@myriad@
@miriga@|@amazing, astonishing@
@mirigi@|@amaze@
@mirinda@|@wonderful@
@mirindaĵo@|@wonder@
@mirlando@|@wonderland@
@mirmekofago@|@anteater@
@mirtelo@|@blueberry@
@misa@|@incorrect, amiss@
@misago@|@misdeed@
@misagordi@|@put out of tune@
@misdecidi@|@make a bad decision@
@misdigesto@|@dyspepsia, indigestion@
@misfaro@|@misdeed@
@misformita@|@deformed@
@misfunkcii@|@malfunction@
@misgvidi@|@misguide@
@misiisto@|@missionary@
@misio@|@mission@
@miskalkuli@|@miscalculate@
@miskompreni@|@misunderstand@
@miskompreno@|@misunderstanding@
@misloki@|@misplace@
@mispaŝo@|@false step, aberration@
@misprezenti@|@misrepresent@
@mistera@|@mysterious, abstruse@
@mistero@|@mystery@
@mistifikaĉi@|@swindle, fool, defraud, cheat@
@mistifiki@|@fool, hoax, mystify, trick@
@mistifiko@|@mystification@
@mistika@|@mystical, mystic@
@mistikismo@|@mysticism@
@mistikisto@|@mystic@
@mistraduki@|@mistranslate@
@mistrakti@|@mistreat, abuse(3)@
@misuzi@|@abuse(2)@
@misuzo@|@abuse(2)@
@mita@|@mythical@
@mitingo@|@meeting, political meeting; rally@
@mito@|@myth@
@mitologiisto@|@mythologist@
@mitologio@|@mythology@
@mitralo@|@machine gun@
@mitro@|@miter, mitre@
@mitulejo@|@mussel-bed, mussel-bank@
@mitulo@|@mussel@
@mizantropo@|@misanthrope@
@mizera@|@abject, miserable, wretched, meagre, dismal(3)@
@mizera salajro@|@starvation wage@
@mizere@|@miserably@
@mizerikordo@|@mercy@
@mizerkvartalo@|@slum@
@mizero@|@misery@
@mizerulo@|@pauper, poor man, poor devil@
@mjelo@|@spinal cord@
@mnemonika@|@mnemonic@
@mobilizi@|@mobilise@
@mocio@|@motion@
@moda@|@fashionable@
@modalo@|@modality, mode@
@modelfolio@|@pattern@
@modeli@|@model@
@modelo@|@model@
@modemo@|@modem@
@modera@|@moderate, reasonable@
@modere@|@modestly@
@moderigi@|@moderate@
@moderkosta@|@reasonable@
@moderna@|@modern@
@modernigi@|@modernise@
@modero@|@moderation@
@moderpreza@|@reasonable@
@moderulo@|@moderate, temperate person@
@modesta@|@modest@
@modesteco@|@modesty@
@modesto@|@modesty@
@modifi@|@modify@
@modistino@|@milliner@
@modjulo@|@module@
@modli@|@mold, mould, model@
@modo@|@mode, fashion@
@moduli@|@modulate@
@mokado@|@ridicule, mockery, derision@
@mokaĵo@|@mockery@
@moki@|@make fun of, jeer at, mock@
@mokimiti@|@echo, imitate, mock@
@mokinsulti@|@jeer at, jeer, taunt@
@moknomo@|@dirty name, term of derision@
@moko@|@mockery@
@mokridi pri@|@laugh at@
@mola@|@soft@
@moldava@|@Moldavian@
@Moldavio@|@Moldavia@
@moldavo@|@Moldavian@
@moleco@|@softness, mellowness, tenderness@
@molekulo@|@molecule@
@moleo@|@breakwater, mole@
@molibdeno@|@molybdenum@
@moligi@|@soften up@
@moliĝi@|@soften up@
@molkoreco@|@tenderness@
@Moloĥo@|@Moloch@
@molotovkoktelo@|@Molotov cocktail@
@moluka@|@Moluccan@
@molukano@|@Moluccan@
@Molukoj@|@Moluccas@
@momenta@|@momentary@
@momento@|@moment, instant@
@momenton@|@a few minutes, a moment@
@mona@|@monetary, pecuniary@
@monaĥejo@|@monastery@
@monaĥino@|@nun@
@monaĥo@|@monk@
@monaka@|@Monegasque@
@monakano@|@Monacan@
@Monako@|@Monaco@
@monarko@|@monarch@
@monata@|@monthly@
@monataĵo@|@period, menses@
@monate@|@monthly@
@monato@|@month@
@monavida@|@greedy@
@monbileto@|@bank-note@
@monbiletujo@|@wallet@
@monda@|@world-wide@
@Monda Banko@|@World Bank@
@mondcivitano@|@world citizen@
@mondfama@|@world-famous@
@mondkoncepto@|@world view@
@mondmilito@|@world-war@
@mondo@|@world@
@mondparto@|@area of the world@
@mondskala@|@world-wide@
@mondumo@|@high society@
@mondvojaĝo@|@world trip@
@monereta mono@|@change(2)@
@monerfiguro@|@head, effigy@
@monero@|@coin@
@monfarejestro@|@mint-master, Master of the Mint@
@monfarejo@|@mint@
@monfari@|@coin, mint@
@mongola@|@Mongolian@
@Mongolio@|@Mongolia@
@mongolo@|@Mongol, Mongolian@
@monkolekto@|@collection (of money)@
@monkompenso@|@monetary compensation@
@monludi@|@gamble@
@mono@|@money@
@monofonio@|@mono, monophony@
@monoklo@|@monocle@
@monolito@|@monolith@
@monologo@|@monologue, soliloquy@
@monopola vendo@|@sole sale, sole agency@
@monopoligi@|@monopolise@
@monopolo@|@monopoly@
@monotona@|@monotonous@
@monperdo@|@loss@
@monpuni@|@fine(2)@
@monpuno@|@fine(2)@
@monþanĝejo@|@money exchange@
@monsinjoro@|@monsignor@
@monsistemo@|@monetary system@
@monŝranko@|@strong-box@
@monstra@|@monstrous@
@monstraĵo@|@monstrosity@
@monstreco@|@monstrosity@
@monstro@|@monster@
@monsumo@|@sum of money@
@montarano@|@mountaineer, hillbilly@
@montaro@|@mountain range@
@montbretio@|@montbretia@
@montenegra@|@Montenegrin@
@montenegrano@|@Montenegrin@
@Montenegro@|@Montenegro@
@monteta deklivo@|@hillside@
@monteto@|@hill@
@montfendo@|@cleft, ravine, chasm, gorge, gully@
@montgrimpado@|@mountain climbing@
@montgrimpanto@|@Alpinist, climber, mountaineer, mountain climber@
@montkabano@|@Alpine hut, mountain hut, climber's hut@
@montkresto@|@mountain ridge@
@monto@|@mountain@
@montobiciklo@|@mountain bicycle@
@montoĉeno@|@mountain range, chain of mountains, mountain chain@
@montodeklivo@|@mountain slope@
@montodorso@|@mountain ridge@
@montopinto@|@peak, summit, mountaintop@
@montpasejo@|@pass(2)@
@montra pronomo@|@demonstrative pronoun, demonstrative@
@montrebla@|@apparent@
@montri@|@point out, indicate, show@
@montriĉa@|@mountainous@
@montriĝi@|@point out to be@
@montrilo@|@indicator, pointer@
@montrofenestro@|@show window@
@Montrozo@|@Montrose@
@montspino@|@mountain ridge@
@monujo@|@purse, wallet@
@monumenta@|@monumental@
@monumento@|@monument@
@monunio@|@monetary union@
@monunuo@|@currency unit, monetary unit@
@mopedo@|@moped@
@mopso@|@pug-dog, pug@
@morala@|@moral@
@moralaĵo@|@moral@
@moraleco@|@morality@
@moralinstruo@|@moral@
@moralisto@|@moralist@
@moralo@|@morals@
@moratorio@|@moratorium@
@moravia frato@|@Moravian brother, Moravian@
@Moravio@|@Moravia@
@morbilo@|@measles@
@morbo@|@disease@
@mordaĵo@|@wood-stain, wood-dye, stain, mordant@
@mordema@|@scathing, biting@
@mordeti@|@nibble@
@mordi@|@bite@
@mordo@|@bite@
@moreno@|@moraine@
@morfemo@|@morpheme@
@morfemscienco@|@morphology@
@Morfeo@|@Morpheus@
@morfinmaniulo@|@morphinist, morphine addict@
@morfino@|@morphine@
@morfologio@|@accidence@
@morganata@|@morganatic@
@morgaŭ@|@tomorrow@
@morgaŭ matene@|@tomorrow morning@
@morgaŭ posttagmeze@|@tomorrow afternoon@
@morgaŭ vespere@|@tomorrow evening@
@morgaŭa@|@of tomorrow@
@morgaŭo@|@tomorrow@
@morĥelo@|@morel@
@Morifirto@|@Moray Firth@
@morkelo@|@morel@
