@Koine Greek@|@English@
@κολλούριον -ου -τό @|@eye-salve@
@κολλυβιστής -ου -ὁ @|@a money-changer@
@κολοβόω @|@I cut short, shorten@
@Κολοσσαί -ῆς -ἡ @|@Colossae@
@κόλπος -ου -ὁ @|@bosom, bosom of a garment, a bay, gulf@
@κολυμβάω @|@I swim@
@κολυμβήθρα -ας -ἡ @|@a pool, swimming-place@
@κολωνία -ας -ἡ @|@a colony, garrison city@
@κομάω @|@I wear the hair long@
@κόμη -ης -ἡ @|@hair, long hair@
@κομίζω @|@I bring, receive, recover@
@κομψότερον @|@in better health@
@κονιάω @|@I whitewash@
@κονιορτός -ου -ὁ @|@dust@
@κοπάζω @|@I cease, drop@
@κοπετός -οῦ -ὁ @|@lamentation@
@κοπή -ῆς -ἡ @|@slaughter@
@κοπιάω @|@I grow weary, toil@
@κόπος -ου -ὁ @|@trouble, toil, labor@
@κοπρία -ας -ἡ @|@manure@
@κόπτω @|@I cut off, mourn@
@κόραξ -ός -ὁ @|@a raven@
@κοράσιον -ου -τό @|@a girl, little girl@
@κορβᾶν @|@a gift, offering@
@Κορέ -ὁ @|@Korah@
@κορέννυμι @|@I fill, feed full@
@Κορίνθιος -ου -ὁ @|@Corinthian@
@Κόρινθος -ου -ἡ @|@Corinth@
@Κορνήλιος -ου -ὁ @|@Cornelius@
@κόρος -ου -ὁ @|@a dry measure,  gallons@
@κοσμέω @|@I put into order, adorn@
@κοσμικός -ή -όν @|@earthly, worldly@
@κόσμιος -ία -ον @|@orderly, virtuous@
@κοσμοκράτωρ -ορος -ὁ @|@ruler of this world@
@κόσμος -ου -ὁ @|@the world, universe@
@Κούαρτος -ου -ὁ @|@Quartus@
@κοῦμι @|@arise@
@κουστωδία -ας -ἡ @|@a guard@
@κουφίζω @|@I lighten@
@κόφινος -ου -ὁ @|@a large basket@
@κράβαττος -ου -ὁ @|@a bed, mattress, mat@
@κράζω @|@I cry aloud, shriek@
@κραιπάλη -ης -ἡ @|@drunken dissipation@
@κρανίον -ου -τό @|@a skull@
@κράσπεδον -ου -τό @|@the fringe, edge@
@κραταιός -ά -όν @|@strong, powerful@
@κραταιόω @|@I strengthen, confirm, grow strong@
@κρατέω @|@I lay hold of, obtain@
@κράτιστος -η -ον @|@most excellent@
@κράτος -ους -τό @|@dominion, strength, power@
@κραυγάζω @|@I cry aloud, shout@
@κραυγή -ῆς -ἡ @|@a shout, clamor, outcry@
@κρέας -έως -τό @|@flesh, kinds of flesh@
@κρείσσων -ον @|@stronger, more excellent@
@κρείττων -ον @|@stronger, more excellent@
@κρεμάννυμι @|@I hang up, suspend@
@κρημνός -οῦ -ὁ @|@a crag, precipice@
@Κρής -ητός -ὁ @|@a Cretan@
@Κρήσκης -κεντος -ὁ @|@Crescens@
@Κρήτη -ης -ἡ @|@Crete@
@κριθή -ῆς -ἡ @|@barley@
@κρίθινος -η -ον @|@made of barley@
@κρίμα -ατος -τό @|@a judgment, verdict, lawsuit@
@κρίνον -ου -τό @|@a lily@
@κρίνω @|@I judge, decide, think good@
@κρίσις -εως -ἡ @|@judging, divine judgment@
@Κρίσπος -ου -ὁ @|@Crispus@
@κριτήριον -ου -τό @|@criterion, a law-court@
@κριτής -ου -ὁ @|@a judge@
@κριτικός -ή -όν @|@able to judge@
@κρούω @|@I knock@
@κρύπτη -ης -ἡ @|@a cellar, vault@
@κρυπτός -ή -όν @|@hidden, secret@
@κρύπτω @|@I hide, conceal, lay up@
@κρυσταλλίζω @|@I am clear as crystal@
@κρύσταλλος -ου -ὁ @|@crystal@
@κρυφῇ @|@in secret, secretly@
@κτάομαι @|@I win, get, buy, possess@
@κτῆμα -ατος -τό @|@a field, property@
@κτῆνος -ους -τό @|@a beast of burden@
@κτήτωρ -ορος -ὁ @|@a possessor, owner@
@κτίζω @|@I create, form, shape, make@
@κτίσις -εως -ἡ @|@creation, creature, institution@
@κτίσμα -ατος -τό @|@a created thing, creature@
@κτίστης -ου -ὁ @|@a founder, creator, God@
@κυβεία -ας -ἡ @|@trickery, sleight@
@κυβέρνησις -εως -ἡ @|@governing, government@
@κυβερνήτης -ου -ὁ @|@a steersman, pilot@
@κυκλόθεν @|@in a circle round@
@κυκλόω @|@I encircle, besiege, surround@
@κύκλος -ου -ὁ @|@a circle@
@κύλισμα -ατος -τό @|@rolling, wallowing@
@κυλίω @|@I roll@
@κυλλός -ή -όν @|@crippled, lame@
@κῦμα -ατος -τό @|@a wave@
@κύμβαλον -ου -τό @|@a cymbal@
@κύμινον -ου -τό @|@cumin@
@κυνάριον -ου -τό @|@a little dog@
@Κύπριος -ου -ὁ @|@a Cypriote, belonging to Cyprus@
@Κύπρος -ου -ἡ @|@Cyprus@
@κύπτω @|@I bend, stoop down@
@Κυρηναῖος -ου -ὁ @|@belonging to Cyrene, a Cyrenaean@
@Κυρήνη -ης -ἡ @|@Cyrene@
@Κυρήνιος -ου -ὁ @|@Quirinius@
@κυρία -ας -ἡ @|@a lady@
@κυριακός -ή -όν @|@of the Lord@
@κυριεύω @|@I have authority, rule over@
@κύριος -ου -ὁ @|@lord, Lord, master, sir@
@κυριότης -τητος -ἡ @|@lordship, domination, dignity@
@κυρόω @|@I ratify, confirm@
@κύων -κυνός -ὁ -ἡ @|@a dog@
@κῶλον -ου -τό @|@a limb, bodies@
@κωλύω @|@I prevent, hinder@
@κώμη -ης -ἡ @|@a village@
@κωμόπολις -εως -ἡ @|@a large village@
@κῶμος -ου -ὁ @|@a feasting, reveling@
@κώνωψ -ωπος -ὁ @|@a gnat, mosquito@
@Κῶς -ῶ -ἡ @|@Cos@
@Κωσάμ -ὁ @|@Cosam@
@κωφός -ή -όν @|@dumb, deaf@
@λαγχάνω @|@I obtain by lot, cast lots@
@Λάζαρος -ου -ὁ @|@Lazarus, Eliezer@
@λάθρᾳ @|@secretly@
@λαῖλαψ -απος -ἡ @|@a sudden storm, squall@
@λακτίζω @|@I kick@
@λαλέω @|@I speak, say@
@λαλιά -ας -ἡ @|@speech, talk, dialect@
@λιμά @|@why@
@λαμβάνω @|@I receive, take@
@Λάμεχ -ὁ @|@Lamech@
@λαμπάς -άδος -ἡ @|@a torch, lamp, lantern@
@λαμπρός -ά -όν @|@shining, magnificent, bright@
@λαμπρότης -τητος -ἡ @|@splendor, brightness@
@λαμπρῶς @|@magnificently, sumptuously@
@λάμπω @|@I shine@
@λανθάνω @|@I am hidden, escape notice@
@λαξευτός -ή -όν @|@hewn out of the rock@
@λαός -οῦ -ὁ @|@a people, the crowd@
@Λαοδικεία -ας -ἡ @|@Laodicea@
@Λαοδικεύς -έως -ὁ @|@a Laodicean@
@λάρυγξ -υγγος -ὁ @|@the throat@
@Λασαία -ας -ἡ @|@Lasea@
@λάσκω @|@I burst asunder with a loud noise@
@λατομέω @|@I hew stones@
@λατρεία -ας -ἡ @|@service, worship@
@λατρεύω @|@I serve, worship@
@λάχανον -ου -τό @|@an herb, garden plant@
@Λεββαῖος -ου -ὁ @|@Lebbaeus@
@λεγεών -ῶνος -ἡ @|@a legion, very large number@
@λέγω @|@I say, speak@
@λεῖμμα -ατος -τό @|@a remnant, remainder@
@λεῖος -α -ον @|@smooth, level@
@λείπω @|@I am wanting, am left behind@
@λειτουργέω @|@I minister, serve publicly@
@λειτουργία -ας -ἡ @|@a charitable gift, public service@
@λειτουργικός -ή -όν @|@ministering@
@λειτουργός -ου -ὁ @|@a minister, servant@
@λέντιον -ου -τό @|@a towel, apron@
@λεπίς -ίδος -ἡ @|@a scale, scaly substance@
@λέπρα -ας -ἡ @|@leprosy@
@λεπρός -οῦ -ὁ @|@a leper@
@λεπτόν -οῦ -τό @|@a small piece of money@
@Λευΐ -ὁ @|@Levi@
@Λευΐς -ὁ @|@Levi@
@Λευΐτης -ου -ὁ @|@a Levite@
@Λευϊτικός -ή -όν @|@Levitical@
@λευκαίνω @|@I whiten@
@λευκός -ή -όν @|@white, bright@
@λέων -οντος -ὁ @|@a lion@
@λήθη -ῆς -ἡ @|@forgetfulness@
@ληνός -οῦ -ὁ -ἡ @|@a winepress@
@λῆρος -ου -ὁ @|@folly, nonsense, idle talk@
@λῃστής -οῦ -ὁ @|@a robber, brigand, bandit@
@λῆψις -εως -ἡ @|@a receiving@
@λίαν @|@very, very much, exceedingly@
@λίβανος -ου -ὁ @|@incense@
@λιβανωτός -οῦ -ὁ @|@a censer@
@Λιβερτῖνος -ου -ὁ @|@a freedman@
@Λιβύη -ης -ἡ @|@Libya, Africa@
@λιθάζω @|@I stone@
@λίθινος -η -ον @|@made of stone@
@λιθοβολέω @|@I stone, cast stones at@
@λίθος -ου -ὁ @|@a stone@
@λιθόστρωτον -ου -τό @|@a mosaic pavement@
@λικμάω @|@I crush to powder@
@λιμήν -ένος -ὁ @|@a harbor, port@
@λίμνη -ης -ἡ @|@a lake@
@λιμός -οῦ -ὁ -ἡ @|@a famine, hunger@
@λίνον -ου -τό @|@flax, linen@
@Λῖνος -ου -ὁ @|@Linus@
@λιπαρός -ά -όν @|@rich, sumptuous@
@λίτρα -ας -ἡ @|@a Roman pound@
@λίψ -λιβός -ὁ @|@the south-west wind@
@λογία -ας -ἡ @|@a collection, collecting@
@λογίζομαι @|@I reckon, count, decide@
@λογικός -ή -όν @|@reasonable, rational, metaphorical@
@λόγιον -ου -τό @|@divine communication@
@λόγιος -α -ον @|@eloquent@
@λογισμός -οῦ -ὁ @|@reasoning, thinking@
@λογομαχέω @|@I contend about words@
@λογομαχία -ας -ἡ @|@contention about words@
@λόγος -ου -ὁ @|@a word, speech, divine utterance, analogy@
@λόγχη -ης -ἡ @|@a lance, spear@
@λοιδορέω @|@I revile, abuse@
@λοιδορία -ας -ἡ @|@reviling, abuse@
@λοίδορος -ου -ὁ @|@a railer, reviler, abuser@
@λοιμός -οῦ -ὁ @|@a pestilence@
@λοιπός -ή -όν @|@left, left behind, the remainder@
@λοιπόν @|@finally, from now on, henceforth, beyond that@
@λοιποῦ @|@from now on, henceforth, finally@
@Λουκᾶς -ᾶ -ὁ @|@Lucas, Luke@
@Λούκιος -ου -ὁ @|@Lucius@
@λουτρόν -οῦ -τό @|@a bath, washing, baptism@
@λούω @|@I wash, bathe@
@Λύδδα -Λύδδης -ἡ @|@Lydda, Diospolis, Lod@
@Λυδία -ας -ἡ @|@Lydia@
@Λυκαονία -ας -ἡ @|@Lycaonia@
@Λυκαονιστί @|@in the Lycaonian language@
@Λυκία -ας -ἡ @|@Lycia@
@λύκος -ου -ὁ @|@a wolf, jackal@
@λυμαίνομαι @|@I ravage, harry, devastate@
@λυπέω @|@I pain, grieve, vex@
@λύπη -ης -ἡ @|@pain, grief@
@Λυσανίας -ου -ὁ @|@Lysanias@
@Λυσίας -ου -ὁ @|@Claudius Lysias@
@λύσις -εως -ἡ @|@dissolution, release@
@λυσιτελέω @|@it profits@
@Λύστρα -ας -ἡ -ων -τά @|@Lystra@
@λύτρον -ου -τό @|@a ransom, an offering of expiation@
@λυτρόω @|@I ransom, liberate, deliver@
@λύτρωσις -εως -ἡ @|@liberation, deliverance, release@
@λυτρωτής -οῦ -ὁ @|@a redeemer, liberator@
@λυχνία -ας -ἡ @|@a lamp-stand@
@λύχνος -ου -ὁ @|@a lamp@
@λύω @|@I loose, untie, release, destroy@
@Λωΐς -ΐδος -ἡ @|@Lois@
@Λώτ -ὁ @|@Lot@
@Μαάθ -ὁ @|@Maath@
@Μαγδαλά -ἡ @|@Magdala@
@Μαγδαληνή -ῆς -ἡ @|@Magdalene@
@μαγεία -ας -ἡ @|@magic@
@μαγεύω @|@I practice sorcery or magic@
@μάγος -ου -ὁ @|@a sorcerer, magician, wizard@
@Μαγώγ -ὁ @|@Magog@
@Μαδιάμ -ἡ @|@Midian@
@μαθητεύω @|@I make disciples, make into disciples@
@μαθητής -οῦ -ὁ @|@a learner, disciple, pupil@
@μαθήτρια -ας -ἡ @|@a female disciple@
@Μαθουσάλα -ὁ @|@Methuselah@
@Μαϊνάν -ὁ @|@Menna, Mainan@
@μαίνομαι @|@I am raving mad@
@μακαρίζω @|@I deem happy@
@μακάριος -α -ον @|@happy, blessed@
@μακαρισμός -οῦ -ὁ @|@regarding as happy, blessed, or enviable@
@Μακεδονία -ας -ἡ @|@Macedonia@
@Μακεδών -όνος -ὁ @|@a Macedonian@
@μάκελλον -ου -τό @|@a meat-market@
@μακράν @|@far away@
@μακρόθεν @|@from a distance@
@μακροθυμέω @|@I suffer long, have patience, am forbearing@
@μακροθυμία -ας -ἡ @|@patience, forbearance@
@μακροθύμως @|@patiently@
@μακρός -ά -όν @|@long, distant@
@μακροχρόνιος -ον @|@long-lived@
@μαλακία -ας -ἡ @|@weakness, illness@
@μαλακός -ή -όν @|@soft, effeminate@
@Μαλελεήλ -ὁ @|@Mahalaleel, Maleleel@
@μάλιστα @|@most of all, especially@
@μᾶλλον @|@more, rather@
@Μάλχος -ου -ὁ @|@Malchus@
@μάμμη -ης -ἡ @|@a grandmother@
@μαμωνᾶς -ᾶ -ὁ @|@riches, money, possessions@
@Μαναήν -ὁ @|@Manaen@
@Μανασσῆς -ῆ -ὁ @|@Manasseh@
@μανθάνω @|@I learn, ascertain@
@μανία -ας -ἡ @|@raving madness@
@μάννα -τό @|@manna@
@μαντεύομαι @|@I practice soothsaying@
@μαραίνω @|@I die, wither@
@μαρὰν ἀθά @|@our Lord cometh@
@μαργαρίτης -ου -ὁ @|@a pearl@
@Μάρθα -ας -ἡ @|@Martha@
@Μαρία -ας -ἡ @|@Mary, Miriam@
@Μάρκος -ου -ὁ @|@Mark@
@μάρμαρος -ου -ὁ -ἡ @|@marble@
@μαρτυρέω @|@I witness, testify@
@μαρτυρία -ας -ἡ @|@witness, evidence, testimony@
@μαρτύριον -ου -τό @|@witness, evidence, testimony@
@μαρτύρομαι @|@I call to witness, testify, solemnly charge@
@μάρτυς -υρος -ὁ @|@a witness@
@μασσάομαι @|@I bite, gnaw@
@μαστιγόω @|@I flog, scourge@
@μαστίζω @|@I flog, scourge@
@μάστιξ -ιγος -ἡ @|@a scourge, lash, sufferings@
@μαστός -οῦ -ὁ @|@a breast, pap@
@ματαιολογία -ας -ἡ @|@foolish talking@
@ματαιολόγος -ου -ὁ @|@a vain, empty talker@
@μάταιος -αία -αιον @|@vain, unproductive, godless@
@ματαιότης -τητος -ἡ @|@vanity, purposelessness@
@ματαιόω @|@I become vain@
@μάτην @|@in vain@
@Ματθαῖος -ου -ὁ @|@Matthew@
@Ματθάν -ὁ @|@Matthan@
@Ματθάτ -ὁ @|@Matthat@
@Ματθίας -α -ὁ @|@Matthias@
@Ματταθά -ὁ @|@Mattatha@
@Ματταθίας -ου -ὁ @|@Mattathias@
@μάχαιρα -ας -ἡ @|@a sword@
@μάχη -ης -ἡ @|@strife, contention, quarrel@
@μάχομαι @|@I engage in battle, fight, strive@
@μεγαλαυχέω @|@I boast, am arrogant, vaunt@
@μεγαλεῖος -εία -εῖον @|@grand, magnificent@
@μεγαλειότης -τητος -ἡ @|@majesty@
@μεγαλοπρεπής -ές @|@magnificent, superb, transcendent@
@μεγαλύνω @|@I enlarge, magnify, extol@
@μεγάλως @|@greatly@
@μεγαλωσύνη -ης -ἡ @|@majesty@
@μέγας -μεγάλη -μέγα @|@large, great@
@μέγεθος -ους -τό @|@greatness, vastness@
@μεγιστάν -ᾶνος -ὁ @|@a great one, a lord@
@μεθερμηνεύω @|@I translate, interpret@
@μέθη -ης -ἡ @|@drunkenness@
@μεθίστημι @|@I move out of its place, transfer@
@μεθοδεία -ας -ἡ @|@scheming, craftiness@
@μεθόριον -ου -τό @|@confine, border@
@μεθύσκω @|@I make drunk@
@μέθυσος -ου -ὁ @|@a drunkard@
@μεθύω @|@I am drunk@
@μεῖζον @|@greater, greatest@
@μειζότερος -α -ον @|@greater@
@μείζων @|@greater, greatest@
@μέλαν -ανος -τό @|@ink@
@μέλας -αινα -αν @|@black@
@Μελεᾶς -ᾶ -ὁ @|@Melea@
@μελετάω @|@I devise, plan@
@μέλι -ιτος -τό @|@honey@
@μελίσσιος -α -ον @|@coming from bees@
@Μελίτη -ης -ἡ @|@Melita, Malta@
@μέλλω @|@I am about to@
@μέλος -ους -τό @|@a limb, member@
@Μελχί -ὁ @|@Melchi@
@Μελχισεδέκ -ὁ @|@Melchizedek@
@μέλει @|@it is a care, it concerns@
@μεμβράνα -ης -ἡ @|@a parchment leaf@
@μέμφομαι @|@I blame, censure@
@μεμψίμοιρος -ον @|@discontented, complaining@
@μέν @|@truly, indeed@
@μενοῦνγε @|@nay rather@
@μέντοι @|@indeed, yet, however@
@μένω @|@I remain, abide@
@μερίζω @|@I divide, part, share@
@μέριμνα -ης -ἡ @|@care, worry, anxiety@
@μεριμνάω @|@I am anxious, distracted@
@μερίς -ίδος -ἡ @|@a part, portion@
@μερισμός -οῦ -ὁ @|@a distribution, separation@
@μεριστής -οῦ -ὁ @|@a divider, distributor@
@μέρος -ους -τό @|@a part, portion@
@μεσημβρία -ας -ἡ @|@the South@
@μεσιτεύω @|@I mediate, interpose@
@μεσίτης -ου -ὁ @|@a mediator, go-between@
@μεσονύκτιον -ου -τό @|@midnight@
@Μεσοποταμία -ας -ἡ @|@Mesopotamia@
@μέσος -η -ον @|@middle, in the middle@
@μεσότοιχον -ου -τό @|@a middle wall, partition wall@
@μεσουράνημα -ατος -τό @|@the middle of heaven@
@μεσόω @|@I am in the middle@
@Μεσσίας -ου -ὁ @|@Messiah@
@μεστός -ή -όν @|@full@
@μεστόω @|@I fill@
@μετά @|@with, after@
@μεταβαίνω @|@I leave, depart, remove, pass over@
@μεταβάλλω @|@I change, change my mind@
@μετάγω @|@I turn about, change the position of@
@μεταδίδωμι @|@I share, impart@
@μετάθεσις -εως -ἡ @|@change, transformation, removal@
@μεταίρω @|@I change my position, depart, remove@
@μετακαλέω @|@I send for@
@μετακινέω @|@I move away, dislodge@
@μεταλαμβάνω @|@I share in, partake of@
@μετάληψις -εως -ἡ @|@participation, sharing in@
@μεταλλάσσω @|@I change, transform, alter@
@μεταμέλομαι @|@I change my mind@
@μεταμορφόω @|@I change the form, transform@
@μετανοέω @|@I repent, change my mind@
@μετάνοια -ας -ἡ @|@repentance, a change of mind@
@μεταξύ @|@meanwhile, afterwards, between@
@μεταπέμπω @|@I send for, summon@
@μεταστρέφω @|@I turn, change, corrupt, pervert@
@μετασχηματίζω hippo -@|@I change the outward appearance, transfigure, adapt@
@μετατίθημι @|@I transfer, desert, change@
@μετέπειτα @|@afterwards@
@μετέχω @|@I participate in, share@
@μετεωρίζομαι @|@I am anxious@
@μετοικεσία -ας -ἡ @|@change of abode, migration, deportation@
@μετοικίζω @|@I transport, cause to migrate@
@μετοχή -ῆς -ἡ @|@sharing, partnership, fellowship@
@μέτοχος -ου -ὁ @|@a sharer, partner@
@μετρέω @|@I measure, estimate@
@μετρητής -οῦ -ὁ @|@a measure, amphora@
@μετριοπαθέω @|@I bear gently with, have compassion@
@μετρίως @|@moderately, greatly@
@μέτρον -ου -τό @|@a measure, measuring rod@
@μέτωπον -ου -τό @|@the forehead@
@μέχρι @|@as far as, until@
@μή @|@not, lest@
@μηδαμῶς @|@no means, not at all@
@μηδέ @|@and not, not even@
@μηδείς -μηδεμία -μηδέν @|@no one, nothing@
@μηδέποτε @|@not at any time, never@
@μηδέπω @|@not yet@
@Μῆδος -ου -ὁ @|@a Mede@
@μηκέτι @|@no longer@
@μῆκος -ους -τό @|@length@
@μηκύνω @|@I lengthen@
@μηλωτή -ῆς -ἡ @|@a sheepskin@
@μήν @|@certainly@
@μήν -μηνός -ὁ @|@a month@
@μηνύω @|@I reveal, inform@
@μήποτε @|@lest at any time, lest, perhaps@
@μήπω @|@not yet@
@μήπως @|@lest in any way, lest perhaps@
@μηρός -οῦ -ὁ @|@the thigh@
@μήτε @|@nor, neither, not even@
@μήτηρ -μητρός -ἡ @|@a mother@
@μήτι @|@if not, unless@
@μήτρα -ας -ἡ @|@the womb@
@μητραλῴας -ου -ὁ @|@a matricide@
@μιαίνω @|@I stain, pollute, defile@
@μίασμα -ατος -τό @|@pollution, defilement@
@μιασμός -οῦ -ὁ @|@the act of pollution, defilement@
@μίγμα -ατος -τό @|@a mixture@
@μίγνυμι @|@I mix, mingle@
@μικρόν -ου -τό @|@a little, little while@
@μικρός -ά -όν @|@little, small@
@Μίλητος -ου -ἡ @|@Miletus@
@μίλιον -ου -τό @|@a Roman mile@
@μιμέομαι @|@I imitate@
@μιμητής -οῦ -ὁ @|@an imitator@
@μιμνήσκομαι @|@I remember, recall@
@μισέω @|@I hate, detest@
@μισθαποδοσία -ας -ἡ @|@reward, due punishment@
@μισθαποδότης -ου -ὁ @|@a rewarder@
@μίσθιος -ου -ὁ @|@a paid worker@
@μισθός -οῦ -ὁ @|@wages, reward@
@μισθόω @|@I hire out, hire, engage@
@μίσθωμα -ατος -τό @|@a rented house@
@μισθωτός -οῦ -ὁ @|@a hired servant@
@Μιτυλήνη -ης -ἡ @|@Mitylene@
@Μιχαήλ -ὁ @|@Michael@
@μνᾶ -ᾶς -ἡ @|@a mina@
@μνάομαι @|@I remember, recollect@
@Μνάσων -ωνος -ὁ @|@Mnason@
@μνεία -ας -ἡ @|@remembrance, recollection@
@μνῆμα -ατος -τό @|@a tomb, monument@
@μνημεῖον -ου -τό @|@a tomb, sepulcher@
@μνήμη -ης -ἡ @|@memory, remembrance, mention@
@μνημονεύω @|@I remember, make mention of@
@μνημόσυνον -ου -τό @|@reminder, memorial, remembrance offering@
@μνηστεύω @|@I ask in marriage@
@μογγιλάλος -ου -ὁ @|@one speaking with difficulty, a stammerer@
@μόγις @|@with difficulty, scarcely, hardly@
@μόδιος -ου -ὁ @|@a dry measure, nearly two English gallons@
@μοιχαλίς -ίδος -ἡ @|@an adulteress@
@μοιχάομαι @|@I commit adultery@
@μοιχεία -ας -ἡ @|@adultery@
@μοιχεύω @|@I commit adultery@
@μοιχός -οῦ -ὁ @|@an adulterer@
@μόλις @|@with difficulty, hardly@
@Μολόχ -ὁ @|@Moloch@
@μολύνω @|@I soil, stain, pollute, defile@
@μολυσμός -οῦ -ὁ @|@staining, defilement, pollution@
@μομφή -ῆς -ἡ @|@a complaint, fault@
@μονή -ῆς -ἡ -@|@lodging, dwelling-place, room@
@μονογενής -ές -@|@only, only-begotten, unique@
@μόνον @|@alone, but, only@
@μόνος -η -ον @|@only, solitary, desolate@
@μονόφθαλμος -ον @|@one-eyed@
@μονόω @|@I leave alone@
@μορφή -ῆς -ἡ @|@form, shape, outward appearance@
@μορφόω @|@I form, fashion, shape@
@μόρφωσις -εως -ἡ @|@form, outline@
@μοσχοποιέω @|@I make a model of a calf@
@μόσχος -ου -ὁ -ἡ @|@a calf@
@μόχθος -ου -ὁ @|@wearisome labor, toil, hardship@
@μουσικός -ή -όν @|@skilled in music, a musician@
@μυελός -οῦ -ὁ @|@marrow@
@μυέω @|@I initiate, instruct@
@μῦθος -ου -ὁ @|@an idle tale, fable@
@μυκάομαι @|@I bellow, roar@
@μυκτηρίζω @|@I sneer at, disdain@
@μυλικός -ή -όν @|@belonging to a mill@
@μύλος -ου -ὁ @|@a millstone@
@μυλών -ῶνος -ὁ @|@a mill-house@
@Μύρα -ων -τά @|@Myra@
@μυριάς -άδος -ἡ @|@a myriad, ten thousand@
@μυρίζω @|@I anoint@
@μυρίοι -ίαι -ία @|@ten thousand, innumerable@
@μύρον -ου -τό -@|@anointing-oil, ointment@
@Μυσία -ας -ἡ @|@Mysia@
@μυστήριον -ου -τό @|@anything hidden, a mystery@
@μυωπάζω @|@I blink, see dimly@
@μώλωψ -ωπος -ὁ @|@a bruise, stripe@
@μωμάομαι @|@I blame, slander@
@μῶμος -ου -ὁ @|@a blemish, disgrace@
@μωραίνω @|@I make foolish, taint, make useless@
@μωρία -ας -ἡ @|@folly, absurdity@
@μωρολογία -ας -ἡ @|@foolish talking@
@μωρός -ά -όν @|@stupid, foolish@
@Μωσῆς -έως -ὁ @|@Moses@
@Ναασσών -ὁ @|@Nahshon@
@Ναγγαί -ὁ @|@Naggai@
@Ναζαρέτ -ἡ @|@Nazareth@
@Ναζαρηνός -ή -όν @|@of Nazareth@
@Ναζωραῖος -ου -ὁ @|@Nazarene@
@Ναθάν -ὁ @|@Nathan@
@Ναθαναήλ -ὁ @|@Nathanael@
@ναί @|@yes, certainly, even so@
@Ναΐν -ἡ @|@Nain@
@ναός -οῦ -ὁ @|@a temple, shrine@
@Ναούμ -ὁ @|@Nahum@
@νάρδος -ου -ἡ @|@spikenard, a perfume@
@Νάρκισσος -ου -ὁ @|@Narcissus@
@ναυαγέω @|@I am shipwrecked, ruined@
@ναύκληρος -ου -ὁ @|@a master of a ship@
@ναῦς -νεώς -ἡ @|@a ship, vessel@
@ναύτης -ου -ὁ @|@a sailor@
@Ναχώρ -ὁ @|@Nahor@
@νεανίας -ου -ὁ @|@a young man, youth@
@νεανίσκος -ου -ὁ @|@a young man@
@Νεάπολις -εως -ἡ @|@Neapolis@
@Νεεμάν -ὁ @|@Naaman@
@νεκρός -ά -όν @|@dead, a corpse@
@νεκρόω @|@I put to death, render weak@
@νέκρωσις -εως -ἡ @|@putting to death, lifeless condition@
@νέος -α -ον @|@young, new, fresh@
@νεοσσός -οῦ -ὁ @|@a young bird, young one@
@νεότης -τητος -ἡ @|@youth, youthfulness@
@νεόφυτος -ον -@|@newly-planted, recent convert@
@νεύω @|@I nod, make a sign@
@νεφέλη -ης -ἡ @|@a cloud@
@Νεφθαλείμ -ὁ @|@Naphtali@
@νέφος -ους -τό @|@a cloud, multitude, great company@
@νεφρός -οῦ -ὁ @|@a kidney as a general emotional center@
@νεωκόρος -ου -ὁ -ἡ @|@temple-warden@
@νεωτερικός -ή -όν @|@youthful, juvenile@
@νή @|@swearing by@
@νήθω @|@I spin@
@νηπιάζω @|@I am childish, infantile@
@νήπιος -α -ον @|@an infant, child, unlearned@
@Νηρεύς -έως -ὁ @|@Nereus@
@Νηρί -ὁ @|@Neri@
@νησίον -ου -τό @|@a little island@
@νῆσος -ου -ἡ @|@an island@
@νηστεία -ας -ἡ @|@fasting, the day of atonement@
@νηστεύω @|@I fast@
@νῆστις -ιος -ὁ -ἡ @|@fasting, without food@
@νηφαλέος -α -ον @|@sober, temperate@
@νήφω @|@I am calm, vigilant, sober@
@Νίγερ -ὁ @|@Niger@
@Νικάνωρ -ορος -ὁ @|@Nicanor@
@νικάω @|@I conquer, overcome@
@νίκη -ης -ἡ @|@victory@
@Νικόδημος -ου -ὁ @|@Nicodemus@
@Νικολαΐτης -ου -ὁ @|@a Nicolaitan@
@Νικόλαος -ου -ὁ @|@Nicolaus@
@Νικόπολις -εως -ἡ @|@Nicopolis@
@νῖκος -ους -τό @|@victory@
@Νινευΐ -ἡ @|@Nineveh@
@Νινευίτης -ου -ὁ @|@a Ninevite@
@νιπτήρ -ῆρος -ὁ @|@a basin@
@νίπτω @|@I wash@
@νοέω @|@I understand, consider@
@νόημα -ατος -τό @|@a thought, design, the mind@
@νόθος -η -ον @|@illegitimate, bastard@
@νομή -ῆς -ἡ @|@pasturage, growth@
@νομίζω @|@I think, suppose@
@νομικός -ή -όν @|@about law, one learned in the Law@
@νομίμως @|@lawfully@
@νόμισμα -ατος -τό @|@money, coin@
@νομοδιδάσκαλος -ου -ὁ @|@a teacher and interpreter of the Mosaic Law@
@ νομοθεσία -ας -ἡ @|@lawgiving, legislation@
@νομοθετέω @|@I ordain, enact@
@νομοθέτης -ου -ὁ -@|@a law-giver, legislator@
@νόμος -ου -ὁ @|@a law, the Mosaic Law@
@νοσέω @|@I am diseased@
@νόσημα -ατος -τό @|@a trouble, disease@
@νόσος -ου -ἡ @|@a disease, malady@
@νοσσιά -ᾶς -ἡ @|@a brood of young birds@
@νοσσίον -ου -τό @|@a nestling, the young of birds@
