@English@|@Mam Todos Santos@
@push someone that is sitting down@|@qejpu-@
@push someone that is stooped over@|@t'ojpi@
@push someone unkempt@|@kyitxpu-@
@push someone who is standing@|@txak'pu-@
@put@|@ok, q'on, q'o'n, tq'o'n@
@put away@|@k'u'@
@put firewood in a fire@|@set@
@put in a fenced area@|@pe'et@
@put in or inside@|@tz'okx@
@put in order@|@nak'ul, nuk'il@
@put it@|@ma kub' tq'o'n@
@put out@|@polil, poqj, tyupa, yupna, yupnaj@
@put out (as to put out the fire)@|@yupat@
@put out fire@|@yup@
@put something straight@|@jikb'al@
@put to one side@|@txalb'a, txale'@
@put together@|@b'inchb'en, b'inchb'il, tb'ichb'en@
@put upside down@|@mutzb'a@
@put yourself (in a place - Q'onk tib'a tewin - put yourself in the shade)@|@q'onk tib'a@
@pyrotecnic bombs or fire-crackers that are used especially in Maya ceremonies or parties@|@tq'aq'il yo'xh@
@q'aq' 'fire' ma 'past tense' -j 'what happened')@|@-j@
@Qetzaltenango@|@txeljub'@
@qman is prefixed to the names of some hills where religious ceremonies are carried out@|@qman@
@quail@|@pipa, txluk, tz'uchin@
@qualities@|@tnab'el@
@quality and characteristic of things that are large in size@|@nintzku'@
@quality of a branch that is easily broken@|@jachachan@
@quality of a child that cries for no reason@|@xhqi'n@
@quality of a climate or place where a breeze blows and there is shade@|@xhb'ajin@
@quality of a crop that has plants very close together@|@jupin@
@quality of a food that has already been chewed@|@b'e'n@
@quality of a person in respect to their being prepared intellectually for something@|@b'anan@
@quality of a person or animal that makes them worthy of placing confidence in them@|@q'uqb'aj k'u'jil@
@quality of a person or thing that is upright and just in a moral sense@|@jykyin@
@quality of a person that has a fro (big curly hair)@|@xitx'@
@quality of a person who doesn't pay attention to anything@|@pi's@
@quality of a person who is easily tickled@|@xk'aqach@
@quality of a person who quickly answers a call (When I call my boys for supper they come right away)@|@txokokon@
@quality of a person who saves his money and doesn't tend to spend money unwisely@|@xhk'u'xh@
@quality of a planting where the seed germinates uniformily (My cornfield germinated uniformily)@|@jechan@
@quality of a porous fruit when it is about to dry out or rot (This apple tree is porous when it matures or There are some porous apples)@|@jaxhin@
@quality of a woman who likes to flirt and is excessively informal or casual@|@kitx'@
@quality of an animal that has a full stomach@|@chb'ej@
@quality of animals with short legs so their bellies almost drag the ground (such as lizards)@|@b'e'tz@
@quality of cooked nixtamal when it has a lot of lime (calcium oxide)@|@txun tuj@
@quality of grains or tubers difficult to cook (Perhaps the potatoes didn't get done because they weren't started early enough)@|@xhwe'j@
@quality of grasses that are lush green (especially pasturage for animals)@|@xhq'itin@
@quality of liquids that are barely warm@|@sq'ulin@
@quality of long rounded objects without any branches or knots (like a straight tree)@|@jilin@
@quality of mud when it is very watery@|@ch'ul@
@quality of objects that to large a size for the person using them (My pants are too loose)@|@ko'ch@
@quality of some edible things that apart from having no flavor their texture is hard and unpalatable@|@xhjaw@
@quality of something that cooks rapidly (especially greens)@|@yulin@
@quality of something that has been kept by someone@|@potzinj@
@quality of something that is full of holes (This bag is full of holes)@|@xawuk'@
@quality of something that is usually a particular size (These apples are smaller than normal)@|@kok'@
@quality of something that when it is squeeded tends to get thinner where it is being squeezed@|@xhininin@
@quality of something well made or finely finished@|@tz'umin@
@quality of speech that is clear and intelligible (This man speaks clearly it is easy to understand everything that he says)@|@jechan@
@quality of things that have no flavor@|@xhul@
@quality that new or recently made woven materials have (Wash the woven skirt to soften the fabric)@|@txaw@
@quantity adverb that indicates something scarce short or limited in quantity@|@ch'in@
@quantity of salt that is added to food@|@tatz'mil@
@quantity of something that can fit and be carried in one load in the arms@|@jaj@
@quantity of something that is sufficient@|@xonku'@
@question@|@xjel, xjelb'il, xka'mil@
@quetzal@|@q'uq'@
@quetzal (the currency of Guatemala)@|@kisal@
@Quetzaltenango@|@T-xol jub'@
@Quezaltenango@|@Meq'maja'@
@quicklime@|@txun@
@quicklime (I used only quicklime in the construction of my house)@|@itz'aj txun@
@quickly@|@chiux, jorat, junpaqx, junya', lwey, nix, ojqel, tz'ajqel, wex@
@quiet@|@numil, numl, txul, txul-, txulch@
@quiet (of a crybaby)@|@uch'@
@quiet (uch- is a positional root)@|@k'otz-, uch-@
@quince@|@tx'om qan@
@quite so@|@kyja'tzun@
@rabbit@|@shik, xhik, xhiky, xiky@
@rabbit lettuce@|@tlo'saq@
@raccoon@|@xpachaq', xpichaq'@
@racoon@|@wech@
@radiator (for a car)@|@chewsb'il a'@
@radio@|@b'ib'il, radyo, xob'lyol@
@radish@|@kyaq txe'@
@raffle drum@|@chi'l saqchb'il@
@rag@|@b'us, b'u'xh@
@rail (hospital bed rail)@|@tpe'nal, txlajil@
@rain@|@jb'al, qman jb'al, xli's@
@rain is coming down@|@nkub' jb'al@
@rain water in a well@|@schew@
@rain water that gathers on roofs and falls to the ground@|@tz'uj@
@rainbow@|@taqin kan, t-xew lab'aj, txewkan@
@raining@|@nkub' jb'al@
@rainy season@|@jb'alil@
@raise animals (My brother raises rabbits)@|@alemil, alumil@
@raised@|@jolin@
@raised (moved from one place to one higher up)@|@tkab'nab@
@raised up@|@jaw q'i'n@
@raising@|@a'lan@
@rake@|@b'u'yb'il tz'is, skatb'il@
@ram (male sheep)@|@moch@
@rampage@|@el tilj@
@ran it off@|@ma tlaj, ma txi tlajo'n@
@ranch (finca)@|@pink@
@range (cooking stove)@|@q'aq'b'il@
@rapid@|@ojqelan@
@rapid (like a plane)@|@jun paqx@
@rapidly@|@jorat, joratx, junpaqx, ojqal, ojqel@
@rapidly (ligera quick)@|@lijer@
@rare@|@kankaj@
@rascally@|@najn@
@rash caused by two parts of the body rubbing together@|@poq'le'n@
@rat@|@ich', ttxu ich'@
@rather@|@mas byen@
@rattle@|@chil, tzo'k@
@rattle (especially those made of a dried gourd filled with pebbles)@|@tzo'tz@
@rattlesnake@|@wotz lab'aj@
@ravine@|@b'ya', jokaj, twitz xaq, witz xaq, xaq@
@raw@|@cha'x, raxh, tcha'xal@
@re-heated corn@|@jotx'@
@reach@|@xika@
@reach (it was sufficient)@|@ma xikan@
@reach (kye'- is an intransitive root)@|@kye'-@
@read@|@sch'i-@
@read (k- is third person singular marker for actions that have not yet been carried out jawil is a directional meaning 'go up' and u'jil means 'to read' but here the l is replaced by a -t which is a suffix indicating a passive act)@|@kjawil u'jit@
@reader@|@aju'j, aj-u'j, tol@
@ready@|@sek', tajlal@
@real (this is the real one)@|@axtok@
@really@|@axix tok@
@really necessary@|@ilxix@
@really what (ti means 'what' xix means 'really or exactly' ti' means what)@|@tixixti'@
@rear view mirror (in a car)@|@ka'yb'il ti'jxa@
@reason@|@nab'il, nab'l, tlaj@
@reason clause meaning for the reason of or because etc@|@tu'nj@
@rebar@|@jisink'uxb'il@
@rebellious@|@jawna twitz, xmiletz'@
@recado (a spice made of achiote nixtamal masa and spices)@|@jk'o'nich@
@recado (a spice made of achiote nixtamal masa black pepper and chili)@|@jk'o'n ich@
@receipt for a water bill payment@|@tu'jil chojb'il a'@
@receipt for an electricity payment@|@tu'jil chojb'il txaqb'il@
@receipt for telephone bill payment@|@tu'jil chojb'il yolb'il@
@received it@|@ma tk'am@
@recent@|@ak'aj, etzqeku@
@recent past absolutive marker for the second and third person singular (where x- synthesizes with the 2nd and 3rd person singular markers tz and tz' to indicate a recent past action)@|@s-@
@recent past dependent tense marker (marks recently completed actions in dependent phrases)@|@xh-@
@recent past marker with the intensifier '-yax' (this means that what ever happened it was recently and it happened a lot or intensely)@|@mayax@
@recent past subordinated (dependent) tense marker@|@x-@
@recent past tense marker ma with -al added for emphasis@|@mal@
@recent past tense marker with the directional ku' meaning 'down'@|@xku'@
@recently@|@axtaq, etzqeku, may@
@recently ground masa (my grinding got dirty when I fell)@|@che'j@
@recently hatched chick@|@b'i'xh, xhi'k, xhi'l@
@recipient@|@b'el, tb'el@
@recipient made from the calabash@|@qe'n@
@recipient made of clay in which broth or soup is served@|@laq@
@recipient that is used to add a little water to the masa when one is making tortillas@|@q'umb'il@
@reclining@|@qejli@
@record@|@syutib'itz@
@record player@|@q'ajtzal syutib'itz@
@record player needle@|@b'aq@
@record sleeve (that protects a record from scratches)@|@tkub'il syutib'itz@
@recreation center (like a park or ball field or place to swim)@|@saqachb'il@
@rectangular@|@ch'a'l@
@recumbent@|@qejli@
@red@|@kyaq, kyeq, yox@
@red (the color)@|@yoxh@
@red earth@|@yoxh tx'otx'@
@red earth (dirt)@|@kyaq tx'otx'@
@red garment@|@kreyt@
@red mushroom with white spots on top that is poisonous and will burn the hands if touched@|@xq'antzu@
@red oak tree@|@kyeq k'ol@
@red skinned people@|@chmek@
@red skinned potato native to Guatamala@|@kyeq sqal@
@red thread@|@kreyt@
@red wasp@|@b'ansichil@
@red wasp (that has many queens)@|@b'ansichil@
@redness@|@tyoxhal@
@reduced or smaller than normal (The sower left a very reduced space between the been plants)@|@kok'a@
@reed@|@aj, ajlaj@
@referee@|@ka'yixpo'tzil@
@referring to the last day of a fiesta@|@b'aj q'ij@
@refers to the rotten part of something (They fed their pigs the rotten corn)@|@q'aynaqil, tq'aynaqil@
@refine@|@kok'sal@
@refining@|@kok'san@
@reflect@|@qopil@
@reflection (Reflection is a dialog with yourself)@|@iltib'@
@reflexive particle indicating that the effect of something falls on the person carrying out the action (tib' 'himself' - Ma b'aj ntx'ajon wib'a 'I washed myself' - kyib' 'themselves)@|@ib'@
@reflexive relational noun@|@-lib'@
@reflexive relational noun (indicates an action that falls upon the person who did the action)@|@tib'@
@reflexive that shows the action falls upon the doer of the action@|@tib'aj@
@refrigerate@|@xhkulsil@
@refrigerator@|@chewsb'il@
@refrigerator or freezer@|@chewsab'il@
@Reginald (Reginaldo)@|@Nalo@
@registration of births (name of baby etc)@|@tz'ib'aj tb'i nu'x@
@reheat@|@moq'sal, moq'tzet@
@reheated@|@moq'sa'n@
@reinforcement (He had to attach a board to the side of the support to reinforce it after it began to rot)@|@t-xtok, xtok@
@rejoice@|@ma tzalaj, tzaljil@
@relational noun (that can be possessed by any ergative marker I you he we etc) that means 'around' (Ma tz'ok ch'laj ti'j qjaye 'We recently put a fence around our house')@|@kyi'j@
@relational noun emphasises that its possessor is the object of a verb@|@l'j@
@relational noun inside of (functions with third persons only)@|@toj@
@relational noun meaning 'among' (functions with third persons only)@|@t-xol@
@relational noun meaning among (functions with third persons only)@|@xol@
@relational noun meaning at the bottom of (functions with third persons only)@|@t-xe@
@relational noun meaning at the edge of or at the extremity of (functions with third persons only)@|@ttxa'n@
@relational noun meaning at the edge or entrance of (functions with third persons only)@|@ttzi@
@relational noun meaning at the side of (He left his shovel alongside the house)@|@ttxlaj@
@relational noun meaning behind@|@ljxi'@
@relational noun meaning contiguous with@|@tky'itz@
@relational noun meaning in@|@uj@
@relational noun meaning in front of@|@witz@
@relational noun meaning in or inside@|@oj@
@relational noun meaning in or inside of (functions with third persons only)@|@tuj@
@relational noun meaning inside of (functions with third persons only)@|@-oj@
@relational noun meaning instead of@|@t-xel@
@relational noun meaning on or on top of@|@twi'@
@relational noun meaning on the surface of something or the topic of discussion@|@tib'aj@
@relational noun meaning over@|@lib'aj@
@relational noun meaning under@|@jaq'@
@relational noun meaning underneath@|@tjaq'@
@relational noun meaning with@|@uk'il, uky'e', uky'i'l@
@relational noun that emphasises that its possessor is the object of a verb can be used as noun to which something is given as the recipient of the action or as a possessive@|@e@
@relational noun that functions as a dative- can be used for emphasis - can be used as a receiver and marker for the possessive- and it changes with the third person marker@|@-e@
@relational noun that in an antipassive sentence introduces the recipient of a purposeful action (Ma tzyun Mal ti'j txin- Ma is the past tense marker - the absence of a person marker on the verb marks the third person singular absolutive and in this case it is marking 'she' - the tzyu means 'grab' - the -n is the antipassive marker - Mal translates to Maria - the 't' marks the third person singular ergative in this case meaning 'her' - the -i'j introduces the recipient of the action txin and txin means 'little girl' - Maria grabbed the little girl)@|@-i'j@
@relational noun that indicates in back of@|@i'jxi@
@relational noun that indicates that something is close to or even with another thing (The banana is right next to the refrigerator)@|@k'itz@
@relational noun that indicates the cause or initiator of an event or action (Yolin kan tu'n anjel lu 'He was the angel that made the snake talk' or literally 'Talk snake by angel this')@|@tu'n@
@relational noun that indicates the doer of the action (tzaj a' tu'na you brought water or literally 'arrive here water by you')@|@tu'n@
@relational noun that indicates the recipient of an action (kyi'j 'them' ti'j 'he she or it' etc)@|@i'j@
@relational noun that introduces a sentence or clause of reason@|@tu'natzun, tuntzun@
@relational noun that introduces the companion with whom an action is carried out@|@tuky'il@
@relational noun that introduces the companion with whom the action is done or the instrument with which an action is realized@|@tuk'il, tuky'e@
@relational noun that is inflected by plural markers (we or us or you all or them etc) from the ergative set and indicate the whole group (jwe' qb'aja 'All five of us' - kab'e kyb'aj 'the two of them' - tal kyb'aja 'little flock' meaning all of you in the little flock)@|@kyb'aj@
@relational noun that is suffixed to a word to mark the recipient of an action that was accidental or by surprise or not completed (the word following this marker is the one receiving the action of the verb ie- Alkye tzyun kye xinaq - in this sentence kye is the combination of the third person plural ergative marker meaning 'they or them' and the relational noun patient marker -e so the word following kye or 'xinaq' meaning 'men' is the recipient of the action)@|@-e@
@relational noun that marks reflexivity (an action that was done to oneself) the possessor of which should be the subject of the verb it is used with@|@lib'@
@relational noun that refers to the recipient of an action (him or her or it) or the one who benefits or is damaged by an action or it can refer to the theme of the conversation in progress (it or them etc)@|@ti'j@
@relational noun that tells who or what is being affected (Jatumel jaku kanet tzaq'web'il kyi'j qxjelb'itz - Where can we find answers 'about them' our questions)@|@kyi'j@
@relational noun used in comparison of two things whether singular or plural (an example - mas nim b'et toj toxin maj twitzju tuj tkab' maj tqan 'farther walk in third time than in second time' or as we would say 'he walked farther on this third trip than he did on his second trip)@|@twitzju@
@relational noun used in comparison of two things whether singular or plural (an example B'a'nqe kye tx'yan lu kywitz txqantl - These dogs are better than those)@|@kywitz@
@relational noun used in comparison of two things whether singular or plural (an example B'a'nxch'intl ja lu twitz juntl - This house is better than that one)@|@twitz@
@relational noun used to mark the one who deliberately performs the action (Tze'n jaku b'ant jlu wu'ne? 'How can this be done by me?' or 'How can I do this?') or the instrument used to carry out the action (Jun anjel ajb'en tu'n Dios tu'n tyolin 'It was God speaking by means of an angel') or why the action occurred (Ma tz'oq' ne' Wan tu'n q'anb'il 'The baby John cried because of the medicine')@|@u'n@
@relative@|@witze'l@
@relieve someone of their post (We change the guard at midnight)@|@ch'expul@
@religious@|@okslal@
@religious person@|@tnaq@
@religious statutes in some areas require placing this classifier in front of priest - 'qman pale'@|@qman@
@reluctance@|@k'ajil@
@remain@|@ten@
@remainder@|@-b'an@
@remaining@|@kyaj@
@remains of food@|@wab'an@
@remember@|@nab'l@
@remnant (cloth)@|@ttx'aqan xb'alan@
@remove@|@kjayayas, k'ojpil@
@remove grain from something@|@b'uju@
@remove something from where it is hanging@|@kotpil@
@remove something that is jammed in somewhere (He removed the pole that detained his horse)@|@kolpil@
@remove the inside from anything (The cook removed the seeds and membrane from her tomatoes before serving them)@|@ky'aqil@
@remove the peel from long things like a banana@|@tz'olil@
@remove water from a recipient using a calabash container (Container made with the fruit of the calabash tree split in half)@|@plul@
@removed the dried corn from its cob@|@ma tz'el tixi'n@
@removing the corn from the cob@|@axin@
@removing the grains of corn from the cob@|@axi'tl@
@repaired it@|@ma b'aj t-xb'uqan@
@repeatedly touch a person or thing@|@xpilil@
@replace@|@ank'ajtz, tx'ixpul, xelil@
@replacement@|@xelb'aj@
@replacing@|@amelil, ank'an, ch'ixponel@
@replant@|@sik'ol@
@replenish@|@xelil@
@reply to something@|@tzaq'web'il@
@report@|@b'ib'il, pakb'alil, qanil, tqanil, tx'olb'ab'il@
@representation of something in a drawing or photo or painting or sculpture@|@tilb'ilal@
@request@|@xjel@
@rescue@|@colbil@
@rescue unit@|@iqal yab'@
@reseeding@|@awb'an@
@resentment (There is a lot of resentment in the heart of the people who suffered in the war)@|@ik'b'il@
@reserved@|@kalo'n@
@resident card@|@tu'jal xjal@
@residing@|@najan@
@residue@|@tx'a@
@resin@|@q'olil@
@resin specific to a particular plant or tree@|@tq'olil@
@resistant@|@qrinin@
@resonate@|@tzinil, tzlinil@
@resound@|@tinil, tzinaj, tzinil, tzlinil@
@respiration@|@xewb'aj@
@responsibility@|@matoklen@
@rest@|@ajlal, take'@
@restaurant@|@k'eyb'il wab'j, ninwab'il@
@rested@|@ma' ojlan@
@retain@|@k'u', k'u'yit@
@retire@|@lajb'a@
@return@|@aj, aj-, ajsal, ajtz, anjtz, samo-@
@return (possessed by the second or third person absolutive 'it' in this case - ma tz'aj wi'na - I took it on my return)@|@tz'aj@
@return from a specific point@|@a'jal, a'jal-@
@return from there@|@ajtz@
@return something@|@ajsal@
@return toward (possessed by the second or third person absolutive 'it' in this case - ma tz'ajtz wi'na - I brought it on my return)@|@tz'ajtz@
@returned@|@aj, anjtz@
@returning@|@aj@
@returning down@|@ajk@
@reversed@|@ma b'aj tmeltz'u'n@
@reversed it (especially a skirt that is reversible)@|@ma tz'aj tmeltz'u'n@
@revolting@|@tz'il@
@reward@|@chojb'el@
@rhino@|@tx'ukutxa'n@
@rhomboid figure used to decorate huipiles and skirts of San Ildefenso@|@tal xwo'tz@
@ribbon@|@si'paj@
@rice@|@saqji'l, saqtriy@
@rich@|@k'ok'aj, qinan, q'inan, q'inin, q'inun@
@riches@|@q'inamal, tq'inimal@
@richness@|@tq'inamil, tq'inimal@
@ride a horse@|@q'a'j@
@rifle@|@ub'l@
@right@|@kisan, teq'x@
@right (rhetorical verdad sp)@|@berda@
@right (said to direct oxen or other work animal)@|@b'as@
@right (tuj b'a'n q'ob' - on the right)@|@tuj b'anq'ob'@
@right arm@|@b'anq'ab@
@right away@|@alolx, b'e'x, liwey, noqx, tnejilxix@
@right hand@|@b'anq'ab, b'anq'ab'aj, b'anq'ob'@
@right hand (including the fore arm)@|@b'a'nq'ob'@
@right hand (tb'anq'aba - your right hand)@|@b'anq'ab@
@right now@|@ataq, ch'ix, ja'linxi'x, ja'lxix@
@right now (He is going to leave right now to wait for his brother until he gets here)@|@ja'lin@
@right side up@|@pak'al@
@right there@|@axtzu'@
@rigid@|@txak'@
@rind@|@t-xk'omil@
@ring@|@xmolq'ab'j, xmulq'ab'aj, xmulq'ab'j@
@ring (as jewelry)@|@xmilq'ob'aj@
@ring (that one wears on a finger)@|@xko't@
@ring around the rosie@|@sutb'il@
@ringmaster@|@xnaq'tzitxuk, xq'umsal jil@
@rinse out@|@sq'unil@
@rinse water that comes from nixtamal when it is washed@|@ta'l b'utx@
@riot@|@el tilj@
@ripe@|@q'an, tzkaj, tzq'aj@
@ripped@|@sb'it'an, sb'it'anmaj@
@rites (mayan or witches)@|@q'olb'ena@
@ritual burying of objects (for ones who have died)@|@tz'is@
@ritual that a grandfather performs twenty days after a baby is born@|@masb'il@
@river@|@a', juxan, lama', nim a', nima, nima'@
@river bank@|@tziya'@
@river current@|@le'an@
@river Jordan@|@nima Jordan@
@river sand@|@ttxa tz'a, tz'awin@
@riverside@|@tziya'@
@rivet (noun)@|@tx'inonatob'@
@rivulet@|@b'ya'@
@roach@|@xhk'il@
@road@|@b'e, ma' b'et@
@road builder@|@b'inchal b'e @
@road laborer@|@b'inchal b'e @
@road that was already made or in existence@|@b'eyin@
@roadrunner@|@xq'u'n, xq'unub'@
@roasted it@|@ma ku'x ttxo'n@
@roasting ear of corn@|@k'uxb'aj@
@rob@|@alq'al, elq'a-@
@Rob!@|@alq'an@
@robbed@|@alq'a'n, elq'an@
@robber@|@alaq', aleq', eleq'@
@robbery@|@elq'@
@rock@|@ab'aj, xaq@
@rock (noun)@|@ab'j@
@rock on which women wash their clothes (located in or at the edge of a stream)@|@tx'ajol@
@rock on which women wash their clothes in the stream@|@txjol@
@rock that falls from the lightning bolt (They say that when a lightning bolt falls it brings with it a rock that is called B'ujb'il)@|@b'ujb'il@
@rock that is used especially for constructing something@|@tab'jil@
@rockiness@|@t-xqanil@
@rocks on which ladies wash their laundry@|@tx'ajb'il@
@rocky@|@xaqan@
@rod@|@k'ixhlob', kxhlab', tzeyil@
@rodents@|@k'uxul tze'jil@
@rogue@|@najn@
@role@|@aq'unl@
@roll@|@katxuj@
@roll (of paper - like the big rolls of paper grocers use to wrap things in)@|@tolu'j@
@roll (of paper etc)@|@katxuj@
@roll down@|@b'alq'u@
@roll up string@|@b'altz'i, b'altz'i-@
@rolled cloth or pad that is placed on the head so one can carry heavy objects comfortably and balance the load (used in lands where loads are often carried on the head)@|@xpetzeky@
@rolled up@|@b'alq'et, b'unli@
@rolled up cloth that women put on their heads upon which to transport objects@|@sipj@
@rolling pin@|@tolb'il@
@rolling up@|@b'alq'in, b'alq'i'n@
@rolling up (Nqob'altz'ina qxb'alina - We are packing our clothing)@|@b'altz'in@
@roof@|@wi' ja, xk'on@
@roof of the house@|@twi' ja@
@roof of the mouth@|@k'o'n@
@room divider (used as a privacy screen in a clinic)@|@pab'ituja@
@rooster@|@ch'ar, tman eky', tmaneky', tzeky'@
@rooster's crest or comb@|@tz'er@
@rooster's penis@|@tpich eky'@
@root@|@lok', t-lok', t-xe'@
@root of a specific plant or tree@|@lok'il@
@root of a specific tree or plant@|@tlok'il@
@roots@|@tlok'tze'@
@rope@|@ch'ech', chjaj, jitz'b'il@
@rope for a specific use@|@taqwilil@
@rope made from agave fiber@|@saqchi@
@rope made of agave fiber@|@ko'y@
@rope or thick twine initially made of agave fibers but now includes many different types of materials@|@saqb'aq@
@rope or twine used for tying something specific@|@tky'jajil@
@rosary (religious)@|@ajlab'il tna'l Qajaw@
@rose@|@ma jaw we', rb'ech@
@rose colored@|@squt, xkyaq@
@rot@|@q'ay@
@rotten@|@q'anaq, q'ayle'n, q'aynaj, q'ayni, tx'om@
@rotten (specifically rotten wood)@|@q'u'chin@
@rotten corn@|@q'anaq@
@rotten fruit@|@q'ayna lo'j@
@rotten or pecked grains of corn@|@b'u'ch@
@rottenness@|@tq'aynajil@
@rough@|@ch'ikych'aj, ch'ix, txak', txaw@
@rough surface@|@kratx'@
@round@|@b'a'l, b'alin, sew, se'w, sewin, tolin, tolo'ch@
@round (face)@|@b'e'tz@
@round object@|@tulin@
@round small objects on some surface@|@kub' tq'o'n@
@round them@|@kyi'j@
@rounded piece of bamboo or elder that is used in back strap looms to separate threads of the weaving among other things@|@mut@
@row@|@jun txol, txol@
@row boat@|@tal tib'aja'@
@rubber boots@|@ulexjab'@
@rubber tree@|@chiky'tze'@
@rubber used for a specific end (such as to coat cloth to make it waterproof or the rubber sole of a shoe etc)@|@tchiky'tzeyil@
@rule@|@jikyb'il@
@ruler@|@ajkawil@
@rumble@|@ju'min, jumn, tinil, tzinaj@
@ruminate (a cow)@|@kok'sal, kok'sil@
@run@|@qel, qela-@
@run away@|@oq@
@run every few minutes@|@qelnaje'@
@run every little while@|@qelnaje'@
@run with energy from one side to the other without stopping (Young boys can run around all day without getting tired)@|@tzinajlab'il@
@runner in a race@|@ajqelil, ajrinil@
@running@|@wakakan@
@runny nose@|@sjoq', sjor@
@rural area administrated by the majority of its inhabitants@|@kojb'il@
@rustic water jar made from the calabash or other gourd@|@tzu@
@rusty from disuse@|@akom@
@rut@|@txol@
@ruta plant that is a genus of strongly scented evergreen subshrubs that grow in Guatemala and the Mediterranean region@|@nu'la@
@rythm@|@tik'@
@sack@|@kstal, saku@
@sacred@|@t-xjanil@
@sacred (Don't touch that sacred vase)@|@xjan@
@Sacred Day (used in regard to the Passover meal in the Jewish system)@|@Xjan Q'ij@
@sacristan@|@ka'yil tja Dyos@
@sad@|@b'is, b'isin@
@sad (B'eyb'il twitza n-ok nki'na - It makes me feel sad to see your face)@|@b'eyb'il@
@sad (It pains me to see the poor man)@|@b'e'k'b'il@
@saddle used for putting burdens on the back of pack animals@|@arkiy@
@sadness@|@b'is@
@safety pin@|@tzuyb'il xb'alan@
@said@|@chila, q'ma'n@
@said of a plant that sprouts up without having been intentionally planted@|@anq'il@
@said of water that suddenly springs up somewhere@|@anq'il@
@said when someone is leaving (similar to saying 'take care')@|@kut-xi'ya@
@said when someone is leaving to bid them go with care@|@kutxiya@
@saint@|@sant@
@saints@|@sant@
@salamander@|@xmakan@
@salary@|@twi'k'u'j@
@sale@|@k'a'xh@
@saline solution@|@ta'yil xmilalb'aj@
@saliva@|@ta'l tzi, t'al tzib'aj, ta'ltzib'aj, tzub'aj, xheri@
@salt@|@a'tz'a, atz'am, atz'an, atz'n@
@salty@|@k'a atz'an, pitz'moj@
@salutation of a letter@|@q'olb'eb'il@
@salvation@|@colbil, kolb'il@
@salve@|@b'ansab'il@
@same@|@junxqe@
@sample@|@yek'b'il@
@Samuel arrived at my house@|@Ik'u'l Samuel njaye@
@San Cristobal Cuchoman@|@kuchej@
@Sanchez@|@Chantz@
@sanctuary@|@ttenb'il Dyos, xjanasan, xjanasa'n@
@sand@|@poqlaj, puqlaj, txatz'a'n@
@sand flea@|@xjuch@
@sandal (especially those made of rough leather and worn by the poor)@|@xjab'@
@sandals whose soles are made from old tires with rawhide upper@|@chlaq'@
@sandpaper@|@qichob'il@
@Santiaga@|@Ya'gua@
@Santiago (James)@|@Santyay@
@sap@|@ta'l, t'al tze'@
@sapodilla (zapote in Guatemala)@|@chulil@
@sapodilla fruit@|@chulal, chulul@
@sarcasticly or indirectly insult@|@pa'l yol@
@Sarcoptes scabiei the itch mite that causes scabies@|@xkameky@
@Sarcoptic mange also known as scabies (The dog has mange)@|@kyaq'@
@sash@|@k'alb'il, k'alk'itz, pasj@
@Satan@|@Satanás@
@satelite@|@q'ol tqanil@
@satisfactory@|@teq'x@
@satisfied@|@xhk'atk'aj@
@saturate@|@t'aqal, t'aqsal, t'eb'sil, t'oqsil@
@Saturday@|@qaq'ij@
@sauce pan@|@tx'i'lsb'il@
@sauna@|@chuj@
@sausage@|@tz'ipijan@
@sausage similar to chorizo@|@ximo'n@
@save@|@k'u'@
@saved back@|@potzinj@
@savor@|@neb'e-@
@savory@|@txub'txaj@
@saw@|@qitb'il@
@say@|@chi, chila, chitzan, q'ajt, q'ama, q'ama-, q'met@
@say (tma'n meaning 'he said' is formed by the third person singular 't' plus ma meaning 'say' and the directional suffix 'n)@|@ma@
@say softly@|@jask'u@
@say then@|@chitzen@
@say your goodbyes (Ma' q'olb'in we'y 'Goodbye' or literally 'Saying my goodbyes I am')@|@q'olb'el, q'olb'il@
@says@|@chi, chitzan@
@says there are@|@at chitzan@
@says this@|@chi kyjalu@
@scab@|@k'oj@
@scabies mite (arador de la sarna)@|@xmexh@
@scabies mite that adheres to the skin and feeds on blood@|@xkamexh@
@scaffold@|@xwe'tzb'il@
@scale (of a fish)@|@tpuwaq kyixh@
@scale that accumulates inside water pipes@|@saq tzkob'@
@scales (for weighing things)@|@malob'il, pex, chi'lb'il@
@scales (of a fish)@|@tpwaq kyix@
@scaly dry skin@|@spuqwi'@
@scar@|@axhil, axil, b'antlen, iky'len, tb'antlen, tikylen, tiky'len, tiky'lin, txa'k@
@scarab@|@moxh@
@scarce@|@niky'xa@
@scarcely@|@baqa, ma'xpa@
@scarcity@|@tyajlal@
@scare@|@saky'puje, tb'iku, yutzpi@
@scarecrow@|@pox, poxh@
@scared@|@seypaj nim@
@scarf@|@qulb'il, su't@
@scarob beetle@|@mox txa'@
@scathing remarks@|@poq'lil@
@scatter@|@tilj@
@scattered@|@xitj@
@scattered groups of germinated seeds@|@sweji'n@
@scattered groups of things@|@sweji'n@
@scent@|@siqil, siqol, sqol@
@schedule@|@txolb'aq'untl@
@school@|@jaxnaq'tzab'il, tja xnaq'tzb'l, xnaq'tzb'il@
@school (escuela)@|@skwel@
@school (They didn't put me in school)@|@jaxnaq'tzb'il@
@school house@|@jaxnaq'tzab'il@
@school party@|@kyninq'ij skwel@
