@English@|@Romanian@
@raven@|@corb@
@raw@|@brut@
@ray@|@rază@
@reaction@|@reacţie@
@read@|@citi@
@reader@|@cititor@
@ready@|@gata@
@ready-made clothes@|@confecţii@
@reality@|@realitate@
@really@|@realmente@
@really!@|@zău@
@reap@|@secera@
@reason@|@motiv, pricină, raţiune@
@rebuke@|@certa@
@receipt@|@chitanţă@
@receive@|@primi@
@reception@|@recepţie@
@reckon@|@socoti@
@recognise@|@recunoaşte@
@recognised@|@recunoscut@
@recommend@|@recomanda@
@reconcile@|@împăca@
@record@|@disc, înregistra, palmares@
@record player@|@picup@
@red@|@roşu@
@reduce@|@reduce, scădea@
@reduced@|@redus, scăzut@
@refectory@|@cantină@
@reflect@|@oglindi@
@region@|@regiune, ţinut@
@registered@|@recomandat@
@regular@|@regulat@
@regularity@|@regularitate@
@reign@|@domnie@
@rein@|@frîu@
@reindeer@|@ren@
@reject@|@respinge@
@rejected@|@respins@
@relate@|@povesti@
@related@|@înrudit@
@relation@|@relaţie@
@relationship. relation@|@înrudire@
@relative@|@rudă@
@relief@|@relief@
@religious service@|@slujbă@
@remain@|@rămîne@
@remark@|@remarca@
@remedy@|@leac@
@remember@|@şi aduce, şi aminti, ţine minte@
@remind@|@aminti@
@remove@|@departă, depărta@
@renaissance@|@renaştere@
@renowned@|@vestit@
@repair@|@repara@
@repeat@|@repeta@
@replace@|@înlocui@
@reply@|@răspunde@
@report@|@raport@
@represent@|@reprezenta@
@representative@|@reprezentant@
@reproach@|@reproş, reproşa@
@reptile@|@reptilă@
@republic@|@republica@
@request@|@cerere, rugăminte@
@requested@|@cerut@
@resemblance@|@asemănare@
@resemble@|@semăna@
@reserve@|@rezerva@
@reserved@|@rezervat@
@resource@|@resursă@
@respect@|@privinţă, stimă@
@response@|@răspuns@
@responsibility@|@răspundere@
@responsible@|@răspunzător@
@rest@|@odihnă, se odihni@
@restaurant@|@restaurant@
@restaurant car@|@vagon restaurant@
@restless@|@neastîmpărat@
@result@|@rezultat@
@resurrection@|@înviere@
@retain@|@reţine@
@retained@|@reţinut@
@return@|@întoarce, se întoarce@
@reward@|@premiu, răsplată@
@Rhine@|@Rinul@
@rice@|@orez@
@rich@|@bogat@
@ridge@|@creastă@
@rifle@|@puşcă@
@right@|@dreapta@
@right hand@|@dreaptă@
@ring@|@inel, suna@
@ripe@|@copt@
@rise@|@răsări@
@risk@|@risc, risca@
@rivalry@|@concurenţă@
@river@|@fluviu@
@roast@|@frige, fript@
@roast meat@|@friptură@
@robust@|@voinic@
@rocket@|@rachetă@
@rod@|@nuia@
@role@|@rol@
@roll@|@chiflă@
@Romania@|@România, Romînia@
@Romanian@|@român, românesc, romînesc@
@Romanian man@|@romîn@
@Romanian woman@|@romîncă@
@Rome@|@Roma@
@room@|@cameră, odaie@
@root@|@rădăcină@
@rope@|@frînghie, funie@
@rose@|@trandafir@
@rotten@|@putrezit@
@rough@|@aspru@
@round@|@împrejur, rotund@
@round dance@|@horă@
@row@|@rînd@
@rub@|@freca@
@rude@|@răstit@
@rule@|@domni, regulă@
@ruler@|@domnitor@
@rumour@|@zvon@
@run@|@alerga@
@runny nose@|@guturai@
@Russia@|@Rusia@
@Russian@|@rusesc@
@Russian man@|@rus@
@rust@|@rugină@
@rye@|@secară@
@sack@|@sac@
@sacrifice@|@jertfă@
@sad@|@abătut, trist@
@sadden@|@întrista@
@saddle@|@şa@
@saddles@|@şei@
@sadness@|@jale, tristeţe@
@safety@|@siguranţă@
@said@|@spus, zis@
@sailing ship@|@corabie@
@salami@|@salam@
@salary@|@leafă, salariu@
@sales assistant@|@vînzătoare@
@salt@|@sare@
@sand@|@nisip@
@sat@|@şezut@
@satiated@|@sătul@
@satisfied@|@mulţumit@
@Saturday@|@sîmbătă@
@saucepan@|@cratiţă@
@sausage@|@cîrnat@
@savage@|@crunt@
@save@|@salva@
@say@|@spune, zice@
@scaffolding@|@schelă, schelărie@
@scales@|@cîntar@
@scandal@|@scandal@
@scarf@|@fular@
@scatter brained@|@aiurit@
@scenario@|@scenariu@
@scene@|@scenă@
@sceptre@|@sceptru@
@scheme@|@schemă@
@schnitzel@|@şniţel@
@school@|@şcoală@
@schoolboy@|@elev@
@schoolgirl@|@elevă@
@science@|@ştiinţă@
@scold@|@mustra@
@Scotland@|@Scoţia@
@scratch@|@scărpina, zgîria@
@scratching@|@scărpinat@
@scream@|@ţipa, ţipăt@
@screen@|@ecran@
@scythe@|@coasă@
@search@|@căutare@
@seaside@|@litoral@
@season@|@anotimp@
@second@|@al doilea, doilea@
@second fem.@|@doua@
@secondary school@|@liceu@
@second-hand bookshop@|@anticariat@
@secret@|@taină@
@see@|@vedea@
@see you soon@|@pe curînd@
@seed@|@sămînţă@
@seedy district@|@mahala@
@seem@|@părea, se părea@
@seen@|@văzut@
@seize@|@apuca@
@self service@|@autoservire@
@self-denial@|@abnegaţie@
@sell@|@vinde@
@semolina@|@griş@
@send@|@expedia, trimite@
@send out@|@scăpăra@
@sent@|@trimis@
@sentence@|@propoziţie@
@separate@|@despărţi@
@September@|@septembrie@
@serf@|@şerb@
@series@|@serie, şir@
@serious@|@grav, serios@
@serious crime@|@crimă@
@serve@|@servi@
@session@|@sesiune@
@set@|@apus@
@set (the sun)@|@apune@
@set out@|@porni@
@setting@|@decor@
@seven@|@şapte@
@seven hundred@|@şapte sute@
@seventeen@|@şaptesprezece@
@seventeenth@|@şaptesprezecea, şaptesprezecelea@
@seventh@|@şaptea, şaptelea@
@seventieth@|@şaptezecea, şaptezecilea@
@seventy@|@şaptezeci@
@sew@|@coase@
@shade@|@nuanţa@
@shadow@|@umbră@
@shaggy@|@lăţos@
@shake@|@scutura, se scutura@
@shame@|@ruşine@
@sharp@|@ascuţit@
@sharpen@|@ascuţi@
@shave@|@rade, ras, se rade@
@she@|@dumneaei, ea@
@she saw him@|@l-a văzut@
@she was out@|@era plecată@
@sheep@|@oaie, oi@
@sheepskin coat@|@cojoc@
@shelf@|@raft@
@shelter@|@adăpost, adăposti@
@shepherd@|@cioban@
@sheriff@|@şerif@
@ship@|@vapor@
@shirt@|@cămaşă@
@shoe@|@pantof@
@shoemaker@|@pantofar@
@shoot@|@împuşca@
@shop@|@magazin, prăvălie@
@short@|@scurt@
@short story@|@nuvelă@
@shorten@|@scurta@
@shoulder@|@umăr@
@shout@|@se răsti@
@show@|@arăta, spectacol@
@show one's teeth@|@şi arăta dinţii@
@shower@|@duş@
@sick@|@bolnav@
@sick of@|@dezgustat@
@side car@|@ataş@
@sift@|@cerne@
@sign@|@semn, semna@
@silence@|@tăcere@
@silk@|@mătase@
@silver@|@argint@
@similarly@|@de asemenea@
@simple@|@simplu@
@sin@|@păcat@
@since then@|@de atunci@
@since when@|@de cînd@
@sincere@|@sincer@
@sing@|@cînta@
@single@|@singur@
@singular@|@singular@
@sip@|@sorbi@
@sirloin steak@|@muşchi@
@sister@|@soră@
@sister-in-law .@|@cumnată@
@sit@|@şedea@
@sit down@|@se aşeza, sta jos@
@situated@|@situat@
@situation@|@situaţie@
@six@|@şase@
@six hundred@|@şase sute@
@sixteen@|@şaisprezece@
@sixteenth@|@şaisprezecea, şaisprezecelea@
@sixth@|@şasea, şaselea@
@sixtieth@|@şaizecea, şaizecilea@
@sixty@|@şaizeci, şasezeci@
@size@|@mărime@
@skating@|@patinaj@
@sketch@|@scenetă@
@ski@|@schi, schia@
@skilful@|@iscusit@
@skill@|@iscusinţă@
@skin@|@piele@
@skirt@|@fustă@
@skull@|@scăfîrlie@
@sky@|@cer@
@skylark@|@ciocîrlie@
@slab@|@lespede@
@slave@|@rob@
@sledge@|@sanie@
@sleep@|@dormi, somn@
@slice@|@felie@
@slip@|@aluneca@
@slipper@|@papuc@
@slope@|@pantă@
@Slovakia@|@Slovacia@
@slow@|@lent@
@slowly@|@agale, încet@
@small@|@mic@
@smart@|@abil@
@smell@|@mirosi@
@smile@|@surîde, zîmbi@
@smiled@|@surîs@
@smoke@|@fum, fuma@
@smoked@|@afumat@
@smooth@|@neted@
@snack@|@gustare@
@snail@|@melc@
@snake@|@şarpe@
@snore@|@sforăi@
@snout@|@bot@
@snow@|@nea, ninge, zăpadă@
@so@|@aşa, deci@
@so and so@|@cutare@
@so as to@|@ca să@
@so much@|@atît@
@so so@|@aşa şi aşa@
@so that@|@aşa că@
@soap@|@săpun@
@social@|@social@
@socialist@|@socialist@
@soda water@|@sifon@
@sodium@|@natriu@
@sofa@|@divan@
@soft@|@moale, moi@
@sold@|@vîndut@
@solder@|@suda@
@soldier@|@soldat@
@solve@|@rezolva@
@some@|@cîţiva, nişte, unii@
@some other time@|@altădată@
@somebody@|@cineva@
@somebody else@|@altcineva@
@something@|@ceva@
@something else@|@altceva@
@sometimes@|@cîteodata, uneori@
@somewhere@|@undeva@
@son@|@fiu@
@song@|@cîntec@
@son-in-law@|@ginere@
@soon@|@curînd@
@sorrowful@|@duios@
@sorrz@|@scuzaţi@
@soul@|@suflet@
@soup@|@supă@
@sour@|@acru@
@sour cream@|@smîntînă@
@south@|@miazăzi, sud@
@South Africa@|@Africa de Sud@
@South America@|@America de Sud@
@south west@|@sud-vest@
@southern@|@austral@
@Soviet Union@|@Uniunea Sovietică@
@Spain@|@Spania@
@spare@|@cruţa@
@sparkle@|@luci, scînteia@
@speak@|@vorbi@
@speak Greek@|@vorbi greceşte@
@speak plainly@|@vorbi pe şleau@
@special@|@deosebit, special@
@speculation@|@speculaţie@
@speculator@|@speculant@
@speech@|@grai@
@speed@|@viteză@
@speleology@|@speologie@
@spend@|@cheltui@
@spend (time)@|@petrece@
@spent (time)@|@petrecut@
@spill@|@vărsa@
@spin@|@depăna, învîrti, se învîrti@
@spinster@|@celibatară@
@spirit@|@duh, spirit, spirt@
@spit@|@scuipa@
@spleen@|@splină@
@splendid@|@splendid@
@splendour@|@splendoare@
@splinter@|@schijă@
@split@|@despica@
@sponge@|@burete@
@spoon@|@lingură@
@spore@|@spor@
@sport@|@sport@
@spread@|@întins, răspîndi, se răspîndi@
@spring@|@izvor, primăvarä, primăvară@
@Spritz@|@şpriţ@
@square@|@echer, pătrat, piaţă@
@squeeze@|@stoarce@
@stab@|@înjunghia@
@stag@|@cerb@
@stagger@|@împletici@
@stain@|@pată, păta@
@stamp@|@ştampila, timbru@
@stand@|@sta@
@star@|@stea@
@stare@|@se holba@
@starling@|@graur@
@state@|@stare, stat@
@state of intoxication@|@ebrietate@
@station@|@gară@
@stationer’s@|@papetărie@
@statue@|@statuie@
@steak@|@biftec@
@steal@|@fura@
@steal into@|@se fofila în@
@steam@|@abur@
@steam up@|@se aburi@
@steamboat@|@pachebot@
@step@|@treaptă@
@stick@|@băţ, lipi@
@stick in@|@înfige@
@stitch@|@însăila@
@stomach@|@stomac@
@stone@|@piatră@
@stool@|@taburet@
@stop@|@opri, se opri@
@store@|@depozita@
@story@|@poveste@
@story teller@|@nuvelist@
@stove@|@sobă@
@straight@|@drept@
@straightaway@|@imediat@
@strange@|@ciudat@
@straw@|@pai@
@strawberry@|@căpşună@
@street@|@cale, stradă@
@strength@|@tărie@
@strengthen@|@consolida, întări@
@stress@|@accentua@
@stretch@|@întinde@
@strike@|@izbi@
@stripe@|@dungă@
@strong@|@tare@
@student@|@student@
@study@|@birou, studiu@
@stupidity@|@prostie@
@sturgeon@|@morun@
@style@|@stil@
@subject@|@subiect@
@subscribe@|@abona@
@subscription@|@cotizaţie@
@substitution@|@înlocuire@
@succeed@|@reuşi@
@succesive@|@succesiv@
@succesor@|@succesor@
@success@|@ispravă, reuşită, succes@
@such@|@asemenea, atare@
@such as@|@ca de exemplu@
@suck@|@suge@
@sucked@|@supt@
@sudden@|@brusc, bruse@
@suddenly@|@deodată@
@suffer@|@suferi@
@suffering@|@suferinţă@
@sufficient@|@de ajuns@
@sugar@|@zahăr@
@suit@|@conveni, costum@
@suitable@|@potrivit@
@suitcase@|@geamantan, valiză@
@sum@|@sumă@
@summer@|@vară@
@summit@|@culme@
@sun@|@soare@
@Sunday@|@duminică@
@sunflower oil@|@ulei de floarea, ulei de floarea soarelui@
@sunset@|@asfinţit@
@support@|@sprijini@
@suppose@|@presupune@
@supposed@|@presupus@
@sure@|@cert@
@surface@|@suprafaţă@
@surgery@|@cabinet@
@surprise@|@nedumerire, surprinde, surpriză, uimi@
@surprised@|@surprins@
@surround@|@înconjura@
@suspect@|@bănui@
@swallow@|@înghiţi@
@swan@|@lebădă@
@swarthy@|@oacheş@
@swear@|@jura@
@sweat@|@năduşi, sudoare@
@Swede@|@suedez@
@Sweden@|@Suedia@
@Swedish woman@|@suedeză@
@sweep@|@mătura@
@sweep off@|@spulbera@
@sweet@|@bomboană, drăgălaş, dulce@
@swim@|@înota@
@swimming@|@înot@
@swimming pool@|@bazin de înot@
@swimming pool (open-air)@|@ştrand@
@swing@|@legăna, se legăna@
@Switzerland@|@Elveţia@
@swoon@|@leşin@
@syrup@|@sirop@
@system@|@sistem@
@table@|@masă@
@tablecloth@|@faţă de masă@
@take@|@lua@
@take care of@|@avea grijă de@
@take place@|@se petrece@
@take the wrong road@|@greşi drumul@
@take up@|@relua@
@taken out@|@scos@
@takes@|@ia@
@talent@|@talent@
@talented@|@talentat@
@talk@|@convorbire@
@tall@|@înalt@
@tangle@|@încurca@
@tape@|@bandă@
@tape recorder@|@magnetofon@
@taste@|@gust, gusta@
@taste of@|@avea gust de@
@tasty@|@gustos@
@tax@|@impozit, taxă@
@taxi@|@taxi@
@tea@|@ceai@
@teacher@|@învăţător, profesoară, profesor@
@team@|@echipă@
@tear@|@lacrimă@
@teaspoon@|@linguriţă@
@technical@|@tehnic@
@telegram@|@telegramă@
@telephone@|@telefon, telefona@
@television@|@televiziune, televizor@
@temperate@|@temperat@
@temperature@|@temperatură@
@tempt@|@ispiti@
@temptation@|@ispită@
@tempting@|@ispititor@
@ten@|@zece@
@tendency@|@tendinţă@
@tent@|@cort@
@tenth@|@al zecelea, zecea, zecelea@
@term@|@termen@
@terminate@|@isprăvi@
@terrible@|@groaznic@
@terribly@|@grozav de@
@terrific@|@grozav@
@terrified@|@îngrozit@
@terrify@|@îngrozi@
@territory@|@teritoriu@
@testimony@|@depoziţie@
@text@|@text@
@text book@|@manual@
@Thames@|@Tamisa@
@than@|@ca, că, decît@
@thank@|@mulţumi@
@thank you@|@mulţumesc@
@thanks to@|@graţie, mulţumită@
@that@|@acel, acela, incît@
@that is to say@|@adică@
@thaw@|@dezgheţ, dezgheţa, se înmuia@
@the@|@cel@
@the best@|@cel mai bun@
@the essence of the problem@|@fondul problemei@
@the last@|@ultimul@
@the little finger@|@degetul mic@
@the next@|@următorul@
@the other day@|@deunăzi@
@the same@|@aceeaşi, aceiaşi, acelaşi, aceleaşi, la fel@
@theatre@|@teatru@
@their@|@lor@
@theme@|@temă@
@then@|@apoi, pe urmă@
@there@|@dincolo@
@there is@|@se află@
@therefore@|@aşadar, de aceea@
@they@|@dumnealor, ei, ele@
@they are@|@sînt@
@they give@|@dau@
@they have@|@au@
@they want@|@vor@
@thick@|@dens, gros@
@thick forest@|@codru@
@thickness@|@grosime@
@thief@|@hoţ@
@thigh@|@coapsă@
@thin@|@subţire@
@thing@|@lucru@
@think@|@crede, gîndi, se gîndi@
@thinker@|@gînditor@
@third@|@al treilea, treia, treilea, treime@
@thirst@|@sete@
@thirsty@|@însetat@
@thirteen@|@treisprezece@
@thirteenth@|@treisprezecea, treisprezecelea@
@thirtieth@|@treizecea, treizecilea@
@thirty@|@treizeci@
@this@|@aceasta, acest@
@this thing@|@acesta@
@thither@|@încolo@
@thorn@|@spin@
@thorny@|@spinos@
@thought@|@gînd, gîndire@
@thousand@|@mie@
@thousand million@|@miliard@
@thousandth@|@mia, mielea@
@thread@|@fir@
@threaten@|@ameninţa@
@three@|@trei@
@three fourths@|@trei pătrimi@
@three hundred@|@trei sute@
@three quarters@|@trei sferturi@
@thrill@|@palpita@
@through@|@prin@
@throw@|@arunca@
@thunder@|@bubui@
@thunderbolt@|@trăsnet@
@Thursday@|@joi@
@thus@|@astfel@
@ticket@|@bilet, bon@
@tickle@|@gîdila@
@tie@|@cravată, înnoda, lega@
@tiger@|@tigru@
@time@|@cronometra, timp, vreme@
@timetable@|@orar@
@tinned fruit@|@compot@
@tire@|@obosi@
@tired@|@obosit@
@title@|@titlu@
@Tnansylvania@|@Transilvania@
@to@|@după, la, până@
@to blind@|@orbi@
@to drill@|@fora@
@to fight@|@lupta@
@to fine@|@amenda@
@to furrow@|@brăzda@
@to me@|@îmi@
@to my knowledge@|@după câte ştiu@
@to plant@|@planta@
@to plough@|@ara@
@to post@|@poşta@
@to the end@|@până la capăt@
@to the festival@|@la sărbătoare@
@toast@|@închina@
@tobacco@|@tutun@
@tobacconist’s@|@tutungerie@
@tobacconist's kiosk@|@debit de tutun@
@today@|@astăzi, azi@
@together@|@împreună@
@tomato@|@roşie@
@tomb@|@mormînt@
@tomcat@|@motan@
@tomorrow@|@mîine@
@ton@|@tonă@
@tone@|@ton@
@too@|@prea@
@tooth@|@dinte@
@toothless@|@fără dinţi@
@topsy-turvy@|@anapoda@
@torrent@|@puhoi@
@torture@|@chinui@
@touch@|@atinge@
@touched@|@atins@
@tourist@|@turist@
@tow@|@remorca@
@towards@|@către, înspre, spre@
@towards midday@|@înspre prinz@
@towel@|@prosop@
@tower@|@turn@
@town@|@oraş@
@toy@|@jucărie@
@track@|@urmă@
@trade@|@comerţ, meserie@
@tradition@|@tradiţie@
@traditional@|@tradiţional@
@traffic@|@circulaţie@
@traffic lights@|@semafor@
@train@|@dresa, tren@
@trained@|@dresat@
@trainer@|@dresor@
@tram@|@tramvai@
@transform@|@transforma@
@translate@|@traduce@
@translated@|@tradus@
@translation@|@traducere@
@Transylvania@|@Ardealul@
@travel@|@călători@
@travel agency@|@agenţie de turism@
@traveller@|@călător, drumeţ@
@treasure@|@comoară@
@treat@|@trata@
@treatment@|@tratament@
@tree@|@arbone, copac, pom@
@tremble@|@tremura@
@tributary@|@afluent@
@trolley@|@troleibuz@
@trouble@|@bucluc, necaz@
@trousers@|@pantaloni@
@true@|@adevărat@
@trump@|@atu@
@trumpet@|@trompetă@
@truth@|@adevăr@
@try@|@încerca, proba@
@Tuesday@|@marţi@
@tuft@|@moţ@
@Turk@|@turc@
@Turkey@|@Turcia@
@turn on@|@aprinde@
@turn over@|@răsturna@
@turn up one's nose@|@strîmba din nas@
@turnip@|@nap@
@twelfth@|@doisprezecelea@
@twelfth fem.@|@douăsprezecea@
@twelve@|@doisprezece, douăsprezece@
@twentieth@|@douăzecilea@
@twentieth fem.@|@douăzecea@
@twenty@|@douăzeci@
@twice@|@două ori@
@twilight@|@amurg@
@twist@|@suci@
@twisted@|@sucit@
@two@|@doi, două@
@two hundred@|@două sute@
@two thirds@|@două treimi@
@two thousand@|@două mii@
@typist@|@dactilografă@
@ugly@|@urît@
@Ukraine@|@Ucraina@
@uncle@|@unchi@
@uncover@|@dezgoli@
@under@|@sub@
@understand@|@întelege, înţelege, pricepe@
@understood@|@înţeles, priceput@
@undertaker@|@dricar@
@undo@|@desface@
@undress@|@dezbrăca@
@undressed@|@dezbrăcat@
@unexpected@|@neaşteptat@
@unfortunately@|@din păcate@
@union@|@sindicat, unire@
@unique@|@unic@
@unite@|@uni@
@United Kingdom@|@Regatul Unit@
@United Nations@|@Organizaţia Naţiunilor Unite@
@United States@|@Statele Unite@
@university@|@universitate@
@unlimited@|@fără limită@
@unload@|@descărca@
@unpleasant@|@neplăcut@
@unprecedented@|@nemaipomenit@
@unseen@|@nevăzut@
@unsurpassed@|@neîntrecut@
@untie@|@dezlega@
@until@|@pînă, pînă cînd@
@up@|@sus@
@uprising@|@răscoală@
@upset@|@deranja@
@upstairs@|@etaj - la@
@urge@|@îndemna@
@urgent@|@urgent@
@use@|@folos, folosi@
@useful@|@folositor, util@
@useless@|@inutil, nefolositor@
@usual@|@obişnuit@
@usually@|@de obicei@
@vacuum cleaner@|@aspirator@
@valid@|@valabil@
@valley@|@vale@
@value@|@valoare@
@varied@|@variat@
@various@|@diferit@
@varnish@|@lăcui@
@vegetable@|@legumă@
@very@|@foarte@
@vextrouble@|@necăji@
@VIad the Devil@|@Vlad Dracul@
@Viad The Impaler@|@Vlad Ţepel@
@vicinity@|@apropiere@
@victory@|@biruinţă@
@view@|@privelişte, vedere@
@villa@|@vilă@
@village@|@sat@
@vinegar@|@oţet@
@vineyard@|@vie@
@violation@|@încălcare@
@violin@|@vioară@
@visa@|@viză@
@visit@|@vizita, vizită@
@vocabulary@|@vocabular@
@vocative@|@vocativ@
@voice@|@glas, voce@
@volume@|@volum@
@vomit@|@voma@
@wait@|@aştepta@
@waiter@|@chelner@
@wake up@|@deştepta, se trezi, trezi@
@Wales@|@Ţara Galilor@
@walk@|@plimbare, umbla@
@wall@|@perete@
@Wallachia@|@Ţara Romînească@
@wallet@|@portofel@
@walnut@|@nucă@
@walnut tree@|@nuc@
@wander@|@rătăci, se rătăci@
@want@|@vrea@
@wanted@|@vrut@
@war@|@război@
@wardrobe@|@dulap@
@warehouse@|@depozit@
@warm up@|@încălzi@
@warmth@|@cald@
@was@|@a fost@
@was the secretary@|@a fost secretar@
@wash@|@se spăla, spăla@
@washing@|@spălat@
@watch@|@ceas@
@water@|@apă@
@water lily@|@nufăr@
@wave@|@undă, val@
@wax@|@ceară, cerui@
@we@|@noi@
@we are@|@sîntem, suntem@
@we do@|@facem@
@we give@|@dăm@
@we have@|@avem@
@weak@|@slab@
@weakness@|@slăbiciune@
@wealth@|@avere, bogăţie@
@wean@|@purta@
@weapon@|@armă@
@weather forecast@|@pronostic@
@weave@|@ţese@
@wedding@|@nuntă@
@Wednesday@|@miercuri@
@week@|@săptămînă@
@weight@|@greutate@
@welcome@|@bine ai venit, bine aţi venit, binevenit, bun venit@
@well done@|@bravo@
@well-behaved@|@cuminte@
@west@|@vest@
@wet@|@ud, uda@
@wetake@|@luăm@
@what@|@ce@
@what does it matter@|@ce contează@
@what is the time@|@cît e ceasul, cît e ora@
@what kind of@|@ce fel de@
@wheat@|@grîu@
@when@|@cînd@
@where@|@unde@
@where from@|@de unde@
@which@|@care@
@whistle@|@şuiera@
@white@|@alb@
@whither@|@încotro@
@who@|@cine@
@whole@|@întreg@
@why@|@de ce@
@wicked@|@hain@
@wickedness@|@răutate@
@wide@|@larg, lat@
@widen@|@lărgi, lăţi@
@widespread@|@răspîndit@
@widower@|@văduv@
@width@|@lărgime, lăţime@
@wife@|@nevastă, soţie@
@wild@|@sălbatic@
@will@|@voie, voinţă@
@willow tree@|@salcie@
@winch@|@cric@
@wind@|@vînt@
@window@|@fereastră@
@window pane@|@geam@
@wine@|@vin@
@wing@|@aripă@
@winter@|@iarnă@
@wipe@|@şterge@
@wiped@|@şters@
@wise@|@înţelept@
@wish@|@dori, dorinţă, ura@
@with@|@cu@
@withdraw@|@retrage@
@withdrawn@|@retras@
@without@|@fără@
@without fail@|@neapărat@
@witty@|@spiritual@
@wolf@|@lup@
@woman@|@femeie, muiere@
@woman doctor@|@doctoriţa@
@wonder@|@se întreba@
@wonderful@|@minunat@
@wood@|@lemn@
@wooden@|@de lemn@
@wool@|@lînă@
@word@|@cuvînt, vorbă@
@work@|@lucra@
@work hard@|@munci@
@worker@|@muncitor@
@worlclabour@|@muncă@
@worlcopera@|@operă@
@world@|@mondial@
@worldwide@|@universal@
@worm@|@vierme@
@worried@|@îngrijorat@
@worry@|@agasa@
@woven@|@ţesut@
@wreath@|@cunună@
@wretched@|@nenorocit@
@wring one's hands@|@şi frînge mîinile@
@write@|@scrie@
@writer@|@scriitor@
@written@|@scris@
@wurst@|@mezeluri@
@yard@|@curte@
@year@|@an@
@yeast@|@drojdie@
@yellow@|@galben@
@yelp@|@scheuna, scheunat@
@yes@|@da@
@yesterday@|@ieri@
@yet@|@încă@
@yoghurt@|@iaurt@
@you@|@dumneata, dumneavoastră, tu, vă, voi@
@you are@|@eşti, sînteţi, sunteţi@
@you give@|@dai@
@you have@|@ai, aveţi@
@you take@|@iei, luaţi@
@young@|@tînăr@
@your@|@tău, vostru@
@youth@|@tinereţe@
@Yugoslavia@|@Iugoslavia@
@zero@|@zero@
@zone@|@zonă@

