@English@|@Hawaiian@
@pile@|@paila@
@pile (a heap)@|@paila@
@pilot@|@pailaka@
@pin@|@kui@
@pine@|@pine@
@pine (as in tree)@|@paina@
@pine tree@|@la`au paina@
@pineapple@|@hala-kahiki@
@pine-tree@|@pine@
@pink@|@`akala@
@Pink@|@`Âkala@
@Pink eye@|@maka `ula`ula@
@Pink mist@|@noe `ula@
@pipe@|@paipu@
@pitcher flower@|@pika pua@
@pizza@|@pika@
@place of worship or a shrine@|@heiau@
@planet@|@hökü hele@
@plant@|@meakanu@
@plant stalk (main)@|@makua@
@plate@|@pâ@
@plate lunch@|@pâ mea`ai@
@play@|@pâ`ani@
@play (drama)@|@hana keaka@
@play (music)@|@ho`okani@
@play (recreation)@|@pa`ani@
@Playfulness@|@Ka Le`ale`a@
@playground@|@kahua pâ`ani@
@pleasantly cool@|@`olu `olu@
@please@|@E'olu'olu@
@Please@|@`Olu`Olu, E `olu `olu `oe, Hó`olu@
@Please bring the bill@|@`E `oli`oli `oe, e lawe mai palapala kú`ai ko`u@
@please speak more slowly@|@E `ölelo mälie@
@please write it down@|@e käkau iho 'oe@
@pleasure@|@le`ale`a@
@plenty@|@nui@
@plum@|@palama@
@plumeria@|@puamêlia@
@plural)@|@o`u@
@Pluvialis fulva ([Pacific golden] plover)@|@kölea@
@poem@|@mele@
@poetic or traditional)@|@`olelo no`eau@
@poetry@|@mele@
@poison@|@lä'au make@
@poked (as a wound); stand; stop@|@kü@
@police officer@|@mâka`i@
@Police station@|@hale máka`i@
@pond@|@ki`owai@
@pond (of water); bowels@|@ki`o@
@poorly done@|@kâpulu, käpulu@
@Pork@|@`i`o pua`a@
@port@|@awa@
@Portuguese@|@Pukikî@
@possessed@|@loa`a@
@possible; arrive@|@hiki@
@post office@|@hale leka, haleleka@
@Post office@|@hale leka@
@Postcard@|@pepa po`oleka@
@pot@|@ipuhao, ipuhao@
@Potato@|@`uala kahiki@
@pound@|@ku`i `opihi@
@pour@|@ninini@
@pouty@|@nuha@
@pracice@|@ho`oma`ama`a@
@praise@|@mahalo@
@prayer@|@pule@
@Prayer@|@pule@
@pregnant@|@häpai@
@prepare@|@ho`omâkaukau, ho`omäkaukau@
@preservation@|@malama@
@preserve@|@malama@
@press (button)@|@kaomi@
@press button@|@kaomi@
@pretty@|@maika`i`u`i, nani, nani, nohea@
@previously@|@mua@
@priest@|@kahua pä`ani, kahuna@
@priest; skilled person@|@kahuna@
@print@|@pa`i@
@procrastinate@|@ho`olohi, loloiahili@
@proper@|@pono@
@prophet@|@käula@
@protect@|@kia`i, malama@
@proud@|@ha`aheo@
@proverb@|@`olelo no`eau, `ôlelo no`eau@
@pull out@|@huki, huki@
@punch@|@ku`i@
@pure@|@ma`ema`e@
@purge@|@ho`oma`ema`e@
@purple@|@maku`e, poni@
@Purple@|@Poni, Pôpolohua@
@purpose@|@kumu@
@purse@|@`eke, pâiki, pâisi@
@putrid@|@hohono@
@quarter@|@hapahâ, hapahä@
@queen@|@mô`î@
@question@|@nïnau@
@quick@|@wikiwiki, wikiwiki@
@quiet@|@mâlie@
@race@|@heihei, heihei, lahui@
@radio@|@lêkiô@
@rain@|@ua, ua@
@rainbow@|@ânuenue@
@rainy@|@ua@
@raise@|@hânai@
@raise (animals@|@hänai@
@rake@|@kope@
@rapid@|@wikiwiki@
@rare@|@malihini@
@rascal@|@kolohe, kolohe@
@rat@|@'iole@
@razor@|@pahi`umi`umi@
@read@|@heluhelu@
@ready@|@pau@
@really@|@ho`i`ê, nô@
@reason@|@kumu@
@Reciprocity@|@Ka Pâna`i@
@rectum@|@`amo, `okole, hulu@
@red@|@`ula, `ula[`ula], mea, wena@
@Red@|@`Ula`ula@
@Red above@|@`Ula o luna@
@Red below@|@`Ula o lalo@
@red bird@|@manu `ula`ula@
@Red Cross@|@Hui Ke`a `Ula`ula@
@red hair@|@`ehu, po`o `ula`ula@
@Red pepper@|@nîoi@
@Red River@|@Muliwai `Ula`ula@
@Red Sea@|@Kai `Ula@
@red snapper@|@`ula`ula@
@reddish hair@|@`ehu@
@redeem@|@uku pana`i@
@red-eyed@|@makole@
@Red-eyed@|@mâkole@
@red-hot@|@`ena[`ena]@
@Red-hot@|@`ena@
@reduce@|@ho`emi, ho`o`u`uku@
@regal@|@lani@
@regards@|@mahalo@
@regrettably@|@auê@
@related (kin)@|@`ohana@
@relative@|@`ohana@
@religion@|@ho'omana@
@remain@|@koe@
@request@|@noi@
@research@|@`imi i ke kumu@
@research (literary)@|@huli puke@
@Reservation@|@ka`awale@
@reserve a seat@|@ho`opa`a noho@
@Respect@|@Ka Hô`ihi@
@respects@|@mahalo@
@responsibility@|@kuleana@
@restaurant@|@hale `aina, hale`aina@
@Restaurant@|@hale `aina@
@Restrooms@|@lumi ho`omaha@
@return@|@ho`i@
@Return to the water@|@Ho`iho`i i ka wai@
@reverse@|@huli@
@rice@|@laiki, laiki@
@rice (long grain)@|@laiki loloa@
@rich@|@waiwai@
@ride a vehicle@|@kau, kau@
@ride around@|@holoholo@
@ride on@|@holo@
@right@|@pono@
@Right@|@`ákau@
@rip@|@nahae, nohae@
@ripe@|@pala@
@river@|@kahawai@
@River@|@kahawai@
@road@|@ala, alanui@
@rock@|@pôhaku@
@rocking chair@|@noho paipai@
@roof@|@ako, kaupoku@
@room@|@ke'ena@
@Room@|@lumi@
@root@|@a`a, a`a@
@root; reason@|@kumu@
@rope@|@kaula, kaula@
@rose@|@loke, rose@
@rotten@|@`ino`ino, palaho, palahu, pilau, popopo, popopo@
@round@|@poepoe@
@round onion@|@`aka`akaipoepoe@
@royal@|@ali`i, ali`i, lani@
@rub softly between fingers@|@lomi@
@rum@|@lama@
@sacred@|@kapu@
@sad@|@kaumaha, kaumaha@
@Salad@|@lua `ai@
@sale@|@kû`ai `emi, kü`aiemi@
@Salt@|@pa`akai@
@same as usual@|@`O ia mau nô@
@sand@|@one, one@
@Santa Claus@|@Kanakaloka@
@Saturday@|@po`aono, pó`aono@
@savor@|@`ono, `ono@
@savory@|@`ono@
@say@|@`olelo, ha`i@
@say no@|@hö`ole@
@saying (wise@|@`olelo no`eau@
@schedule@|@papamanawa@
@school@|@kula@
@School@|@kula@
@school building@|@hale kula, halekula@
@school teacher@|@kumu kula, kumukula@
@scissors@|@`ûpâ@
@scond (as in time)@|@kekona@
@sea@|@kai, moana, moana, poluea@
@Sea@|@kai@
@sea snails@|@pipipi@
@Sea urchin@|@wana@
@sea water@|@kai@
@sea-dog@|@sila@
@seal@|@sila@
@search@|@`imi@
@seaside@|@kai@
@season@|@kau@
@seaward@|@makai@
@seaweed@|@limu, manauea, wâwae`iole@
@second@|@kekona@
@second (of time)@|@kekona@
@see@|@`ike@
@See you later!@|@A hui hou!@
@seed@|@`ano`ano, `ano`ano, hua@
@seedling@|@kawowo, kawowo@
@seize@|@lälau@
@Self-reliance@|@Ke Kûha`o@
@sell@|@kû`ai aku@
@senior@|@makua@
@sentinal@|@kia`i@
@September@|@kepakemapa, kepakemapa@
@serrated@|@nihoniho@
@seven@|@`ehiku, [`e]hiku, hiku@
@seven hundred@|@`ehiku haneli@
@Seven thirteen@|@Hiku mau hola `umi-kúmá-kolu@
@seventeen@|@`umi kumakiku, `umi-kúmá-hiku, `umikumahiku@
@seventy@|@kana-hiku, kanahiku, kanahiku, kanahiku@
@seventy-one@|@kanahiku kumakahi@
@sex@|@keka@
@shade@|@malu@
@shadow@|@malu@
@shallow@|@pâpa`u@
@shark@|@mano, manô@
@sharp@|@'oi@
@sharp jagged lava rock@|@a'a@
@she@|@'oia, ia@
@she (the aforesaid thing)@|@ia@
@She also remarked that@|@Ua hoopuka pu ae la oia@
@shed@|@helele`i@
@sheep@|@hipa, hipa@
@sheet@|@lau, pâ@
@sheet (paper)@|@`apana pepa@
@shelf@|@haka@
@shell@|@iwi, iwi, lei, pupu@
@shells@|@pûpû@
@shine@|@hulai@
@shiny@|@hinuhinu@
@ship@|@moku@
@shipwreck (go aground)@|@ili@
@shirt@|@pâlule@
@shit [vulg.] (see "lepo")@|@kükae@
@shoe@|@kama`a, kâma`a, käma`a@
@shoelace@|@li kama`a@
@shoes (pair)@|@pa`a kama`a@
@shoot@|@kîkî, kïkï@
@shop@|@hale kü'ai@
@short@|@pôkole@
@Short@|@pókole@
@short and husky@|@poupou@
@shoulder@|@po'ohiwi@
@shovel@|@kopalâ, kopalä@
@show off@|@hô`oio@
@shy@|@hilahila, hilahila@
@sick@|@ma`i@
@sick/ill@|@`ôma`ima`i, ma`i@
@sign@|@hö`ailona@
@signify@|@mana`o@
@silk@|@kilika@
@silver@|@kälä ke'oke'o@
@similar to@|@like@
@similar to water@|@wai@
@simple@|@ma`alahi@
@since@|@a, o@
@sing@|@hîmeni, mele@
@sing (bird)@|@kani@
@singular)@|@ko`u@
@sister@|@tita@
@sister (of a male)@|@kaikuahine@
@sister (older of a female)@|@kaikua`ana@
@sister (younger of a female)@|@kaikaina@
@sister of a male@|@kaikuahine@
@sister-in-law@|@wahine [makua]@
@sit@|@noho@
@six@|@`eono, [`e]ono, ono@
@six hundred@|@`eono haneli@
@sixteen@|@`umi kumaono, `umi kumaono, `umi-kúmá-ono@
@sixty@|@kana-ono, kanaono, kanaono, kanaono@
@sixty-one@|@kanaono kumakani, kanaonokumakani@
@skilled person@|@kahua pä`ani@
@skin@|@`ili, `ili@
@skinny@|@wîwî@
@sky@|@lani, lewa@
@slab@|@pâ@
@Slang for Chinese@|@pake@
@Slang for Portuguese@|@po'tagee@
@slant@|@hiö@
@sleep@|@hiamoe, hiamoe@
@Sleep in heavenly peace@|@Moe me ka maluhia lani@
@slipper@|@kalipa, kalipa, kalipa@
@sloppy@|@käpulu@
@slow@|@lohi@
@small@|@iki, li`ili`i, li'i, manini, na`ina`i@
@Small Chinese dumplings@|@gau gee@
@Small Japanese dumplings@|@gyoza@
@smash@|@naha@
@smell@|@`ala@
@smell fragrant@|@`a`ala@
@smoke@|@puhi, uahi@
@Smooth@|@pähoehoe@
@smooth lava rock@|@pahoehoe@
@snake@|@naheka@
@snow@|@hau@
@So long@|@Á hui hou aku@
@So so@|@`Oia mau nó@
@soap@|@kopa@
@socialize@|@launa@
@soda water@|@koloaka@
@soft@|@nahenahe, palupalu@
@solution (answer)@|@ha`ina@
@solution (liquid)@|@wai pa`ipa`i@
@someone@|@kahi@
@something@|@kekahi mea@
@son@|@keiki kane, keiki käne, keikikâne@
@Son@|@Keiki káne@
@Son of a bitch!@|@Kanapapiki!@
@song@|@mele@
@Song@|@mele@
@song or chant used for hula@|@hula@
@sorcerer@|@kahuna@
@soup@|@kupa@
@source@|@kumu, kupuna@
@south@|@hema@
@South America@|@`Amelika-Hema@
@Spanish@|@Kepania@
@sparkle@|@`a, hulali@
@speak@|@`ôlelo@
@speech@|@`olelo@
@speedy@|@wikiwiki, wikiwiki, wikiwiki@
@spelling@|@pi apa@
@spider@|@lanalana, lanalana@
@spine@|@iwikuamo`o, iwikuamo`o@
@Spirituality@|@Ka Haipule, Ka Ho`omana@
@spoon@|@puna@
@spot@|@kikokiko@
@spray (as water or insecticide)@|@kïkï@
@spread out@|@hâli`i@
@spread out (mat@|@häli`i@
@spring@|@kau 'o makalapua, la'a 'ulu@
@Spring@|@kupulau@
@spring (season)@|@kupulau@
@Spring season@|@kupulau@
@sprinkle on (as salt)@|@kâpî, käpï@
@Square@|@kúlanakauhale@
@squeeze out@|@`uî@
@staff of life from taro@|@poi@
@Stamps@|@ná po`oleka@
@star@|@höku, kökü@
@start@|@ho`omaka@
@starting point; grandparent@|@kupuna@
@startled@|@pû`iwa@
@state@|@`olelo@
@statement@|@`olelo@
@Steadfastness@|@Ka `Onipa`a@
@steel@|@kila@
@stem@|@`au@
@stench@|@pîlau@
@stephanotis@|@puamale@
@Stephanotis floribunda (Madagascar jasmine)@|@pua male@
@steward[ess]@|@kuene@
@stomach@|@`opu@
@stone@|@pôhaku@
@stone carving@|@ki`i pohaku@
@Stone carving@|@ki'i pohaku@
@stop@|@kû@
@store@|@hale kü`ai, halekû`ai@
@Store@|@hale kú`ai@
@storm@|@'ino@
@story@|@mo`olelo@
@stove@|@kapuahi, kapuahi@
@Straight@|@pololei@
@strange; peculiar@|@`ano `ë@
@stranger@|@malihini@
@Stranger@|@malihini@
@stream@|@kahawai, kahawai@
@street@|@alanui@
@Street@|@alanui@
@strike@|@pepehi@
@string@|@kaula@
@strong@|@ikaika, ikaika@
@student@|@haumâna, haumäna@
@study@|@ho`opa`a ha`awina@
@style@|@kaila@
@Such is the fashion now@|@O ka paikini ia i keia wa@
@sugar@|@köpa'a@
@sugar plantation@|@mahikô@
@sulphur@|@küaepele@
@summer@|@kau wela, kau wela, kauwela@
@Summer@|@kau@
@sun@|@la, lâ@
@Sunday@|@lapule, Lâpule, pópule@
@Sunday school@|@Kula kapaki@
@sunken@|@po`opo`o@
@sunny@|@mâlie@
@sunrise@|@puka `ana o ka la@
@sunset@|@puka `ana@
@sunshine@|@pukana la@
@superior@|@ali`i@
@support@|@malama, paipai@
@surf@|@nalu, nanea@
@surface@|@`ili@
@surname@|@inoa hope@
@sustained@|@mau@
@swan@|@nokekula@
@sweater@|@kueka@
@sweet@|@nahenahe@
@sweet potato@|@`uala@
@sweet potato greens@|@palula@
@sweet-tasting@|@momona@
@swift@|@wikiwiki, wikiwiki@
@swim@|@`au@
@swim around in the water@|@`au`au@
@swim clothes@|@lole`au`au@
@Swimming Pool@|@ki`o wai@
@swine@|@pua`a@
@symbol@|@hô`ailona, hö`ailona@
@T.V.@|@kîwî@
@table@|@pakaukau, pâkaukau@
@tablecloth@|@uhi pakaukau@
@tablet@|@kalana kakau@
@taboo@|@kapu, kapu@
@tail@|@huelo@
@take@|@lawe@
@take care of@|@mâlama@
@take instruction@|@a`o@
@talent@|@kalena@
@talk@|@`olelo@
@tall@|@lô`ihi@
@tall (elevation)@|@ki`eki`e@
@tall (stature)@|@[lo]loa@
@tap root@|@mole@
@tapa (made from inner bark of various plants)@|@kapa@
@tapioca@|@kapioka@
@taro@|@kalo, kalo@
@Taro patch@|@kalo lo'i@
@taro slip@|@huli@
@taro slip; search@|@huli@
@taro tops@|@lû`au@
@tasty@|@`ono, `ono, 'ono@
@tea@|@kï@
@Tea@|@ki@
@teach@|@a`o, a`o@
@teacher@|@kumu, kumu@
@Teacher@|@kumu@
@tears@|@waimaka@
@telephone@|@kelepona, kelepona@
@tell@|@ha`i@
@ten@|@`umi, `umi, anahulu@
@tenant@|@ho`aina@
@tend@|@malama@
@tender@|@nahenahe@
@tender (of meat)@|@palupalu@
@tennis@|@kenika@
@tent@|@hale lole, hale pe`a, halepe`a@
@tentacle@|@`awe@
@tenure@|@kuleana@
@termite@|@mû@
@territory@|@kelikoli, kuleana@
@thank you@|@Mahalo nui@
@Thank you@|@Mahalo, Mahalo iâ `oe!@
@Thank you very much@|@Mahalo nui, mahalo nui loa@
@thanks@|@mahalo@
@Thanks@|@Mahalo@
@Thanks so very much@|@mahalo nui loa@
@Thanks!@|@Mahalo!@
@that@|@aha, kêlâ, këlä, kënä, la, na@
@that (by you)@|@kênâ@
@that (near you)@|@kënä@
@the@|@ka, ka, ke, ke (singular); na (plural)@
@The angels sing hallelujah@|@Mele na `anela haleluia@
@The bamboo@|@Ka `ohe@
@The beloved mother@|@Ka makuahine aloha e@
@the jaw bone@|@a, iwia@
@the language@|@ka `ôlelo@
@The large mackerel-type fish@|@ono@
@The pleasure is mine@|@Ka hau`oli na`u@
@The red-footed@|@'ä@
@The shepherds come@|@Oni na kahu hipa e@
@The skillful@|@nä pua no'eau@
@The taro@|@Ke kalo@
@The whiteness of the waves@|@Ke ke`oke`o mai o ka nalu@
@the woman's@|@kâ ka wahine@
@their@|@kâ lâkou@
@them@|@ia kakou, ia laua@
@then@|@a laila, a laila, i laila, ma laila@
@there@|@laila@
@there (always used with preposition - i@|@laila@
@there always@|@i laila, ma leila@
@therefore@|@no ia mea, no laila@
@thermometer@|@kelemomeka@
@they@|@lakou, lakou, laua@
@They@|@lákou, láua@
@they (three or more of them)@|@lâkou@
@they (two of them)@|@lâua@
@they (two people)@|@lâua@
@thick@|@mäkolukolu@
@Thick Japanese noodles@|@udon@
@thief@|@`aihue@
@thin@|@lahi@
@thing@|@mea@
@think@|@mana`o, no`ono`o@
@think up@|@no`ono`o@
@think you are too good@|@ho`okano@
@thirsty@|@makewai@
@thirteen@|@`umi kumakolu, `umi-kúmá-kolu@
@thirty@|@kana-kolu, kanakolu@
@thirty (30)@|@kanakolu@
@thirty-one@|@kanakolu kumakahi@
@this@|@kêia, këia, nei@
@this side of@|@`ane`i mai@
@thorn@|@kukû@
@thou@|@`oukou, 'oe@
@thought@|@mana`o@
@Threadfish@|@moi@
@three@|@`ekolu, `ekolu, kolu@
@Three fifteen@|@Lua mau hola `umi-kúmá-lima@
@three hundred@|@`ekolu haneli@
@through@|@pau@
@throw@|@kiloi@
@throw off@|@helele`i@
@thunder@|@hekili@
@Thursday@|@po`aha, pó`ahá@
@ti plant@|@lä`ï@
@Ticket@|@kikiki@
@tide@|@kai@
@tie@|@nâki`i@
@tiger@|@kika@
@time@|@hola, hola, manawa, manawa, wä@
@time period; I@|@au@
@tin (as in tin can)@|@kini@
@tip@|@welelau@
@tired@|@luhi, mâluhiluhi@
@title (heading)@|@inoa@
@title (rank)@|@kulana@
@title (right)@|@kuleana@
@to@|@i, i, i, ma@
@to abandon (something); to leave a place@|@ha`alele@
@to ask a blessing@|@pule@
@to be careful of@|@akahele@
@To be inquisitive@|@nïele@
@to be spilled@|@hanini, hanini@
@to bear@|@hapai@
@to beat@|@ho-a@
@to begin@|@ho`omaka@
@to bite@|@nahu@
@to blow@|@puhi pä@
@to breathe@|@aho, aho, hä, hanu@
@to bring ashore@|@ho`opae@
@To broil@|@pülehu@
@to burn@|@'ä, kuni@
@to buy@|@kü'ai@
@to camp@|@ho`omoana, ho`omoana@
@to chant@|@mele@
@to chant thus@|@oli@
@to chew@|@mama@
@to chime@|@kani@
@to choose@|@koho, wae@
@to clean something@|@ho`oma`ema`e@
@to climb@|@pi'i@
@to comb@|@kahi, kahi@
@to come@|@helemai@
@to compare@|@ho`ohälike@
@to conceive@|@häpai, häpai@
@to cook@|@ho`omo`a, ho'omo'a@
@to cook in an imu@|@kä läkou, kâlua@
@to count@|@helu@
@to crave@|@`ono@
@to cry@|@uwë@
@to curl over (as a breaker)@|@huli@
@to cut@|@'oki, moku@
@to cut crosswise into pieces@|@poke@
@to dance the hula@|@hula@
@to die@|@make@
@to dig@|@'eli@
@to direct@|@ka`i@
@To do again@|@hana hou@
@to do fun things@|@ho`ohau`oli@
@to dream@|@moe'uhane@
@to drink@|@inu@
@to eat@|@'ai@
@To eat@|@grind (grine)@
@to fall@|@hä`ule, hä'ule@
@to fear@|@maka'u@
@to fill something up@|@ho`opiha, ho`opiha@
@to flow@|@kahe, wai@
@to fly@|@lele@
@to form waves@|@nalu@
@to freeze something@|@ho`opa`a hau, ho`opa`a hau@
@to give@|@hä`awi@
@to give birth@|@hänau, hanua@
@to glance downward@|@`alawa@
@to go@|@hele@
@To go@|@hele@
@to go back@|@ho`i@
@To go out@|@E puka aku ai@
@to grow@|@kupu, ulu@
@to grow (something)@|@ho`oulu@
@to grow up@|@ulu@
@to handle@|@lawelawe, limalima@
@to have a groove@|@pû`ali@
@to have fun@|@ho`ohau`oli@
@to have victory@|@lanakila@
@to hear@|@ho'olono@
@to hide@|@hünä@
@to hit@|@hahau@
@to hoe@|@kâlai, kälai@
@to hold@|@ho'o'pa'a@
@to hunt@|@hakai@
@to hurry@|@wikiwiki@
@to inform@|@ha`i@
@to introduce (someone)@|@ho`olauna@
@to join things together@|@ho`oku`i@
@to kill@|@ho'omake@
@to know@|@'ike@
@to laugh@|@'aka@
@to lead@|@ka`i@
@to leave a place@|@ha`alele@
@to lie down@|@hina moe@
@to line up@|@lâlani@
@to live@|@ola@
@to loaf@|@noho hana `ole@
@to make firm@|@ho`opa`a@
@to march@|@naue@
@to mix (poi)@|@ho`owali@
@to open@|@wehe@
@to plant@|@kanu, kanu@
@to point out@|@kuhikuhi@
@To pool thoughts and prayers@|@kükulu kumuhana@
@to pound@|@ku'i@
@to pound [pick] `opihi@|@ku`i `opihi@
@to practice@|@ho`oma`ama`a@
@to pray@|@pule@
@To pull@|@huki@
@to put something some place@|@waiho@
@to raise plants@|@ho`oulu@
@to rake@|@kopekope, kopekope@
@to read@|@heluhelu@
@to record (music); to make firm; to learn@|@ho`opa`a@
@to regard with reverence@|@ao@
@To relax and chat with friends@|@talk story@
@to relish@|@`ono@
@to reserve a seat@|@ho`opa`a noho@
@to reveal@|@ha`i@
@to say@|@'ölelo@
@to scratch@|@walu@
@to see@|@'ike@
@to sew@|@humuhumu@
@to shave; comb; smooth out@|@kahi@
@to shoot@|@pana@
@to sing@|@mele@
@to sing for a hula@|@hula@
@to sing or chant for a hula@|@hula@
@to sit@|@noho@
@to sleep@|@moe@
@to sniff@|@honi@
@to speak@|@`olelo@
@to spit@|@pupuhi@
@to split@|@wähi@
@to squeeze@|@'uwï@
@to stab@|@hou@
@to stand@|@ku@
@to start@|@ho`omaka@
@to steal@|@'aihue@
@to string (as a lei); needle@|@kui@
@to strip stem from vine@|@`u`u@
@to suck@|@omo@
@to swell@|@hü, pehu@
@to swim@|@'au@
@to take care of@|@malama@
@To take care of@|@malama, mälama@
@to tell@|@ha`i@
@to think@|@mana'o@
@to throw@|@ho'olei, nou@
@to tie up@|@hïki'i@
@to turn@|@huli, wili@
@To turn@|@huli@
@to vomit@|@lua'i@
@to wake up (someone)@|@ho`äla@
@to walk@|@hele@
@to weed@|@waele@
@to work@|@hana@
@to worship@|@pule@
@to yawn@|@hämama@
@tobacco@|@paka@
@today@|@i kêia lâ@
@Today@|@kéia lá@
@toe@|@manamana wawae@
@toenail@|@mai`ao, manea o ka manamana wawae@
@toilet@|@lua@
@toilet paper@|@pepa haleu@
@tomato@|@`ôhi`alomi, 'öhi'a@
@tomorrow@|@i ka lâ `apôpô@
@Tomorrow@|@`apópó@
@tongue@|@alelo, alelo, alelo@
@Too bad@|@`Auê!@
@tooth@|@niho, niho@
@toothache@|@niho hu`i@
@toothbrush@|@palaki hino@
@toothpick@|@la`au `ohikihiki niho@
@torn@|@naha@
@tortoise@|@honu@
@tour@|@mâka`ika`i@
@tourist@|@malihini, malihini mâka`ika`i@
@Tourist Information@|@Po`e máka`ika`i `ike@
@toward@|@i, ma@
@Toward the mountains@|@mauka@
@Toward the ocean@|@makai@
@towards the mountain@|@mauka@
@towel@|@käwele@
@Tower@|@`ale`o@
@town@|@kaona, kaona@
@Traditional Hawaiian dish@|@lau lau@
@traditional healing medicine@|@la`au lapa`au@
@tragedy@|@pilikia@
@Train@|@ka`aahi@
@Train station@|@alahao@
@tranquil@|@mâlie@
@tranquility@|@la`i, la`i@
@transport (cargo@|@halihali@
@trash@|@`ôpala@
@treat hospitably@|@ho`okipa, ho`okipa@
@tree@|@kumu, kumula`au, kumulâ`au, kumulä`au, lä'au@
@tree fern@|@hâpu`u@
@tribe@|@lahui@
@tripe stew@|@`ôpûkû@
@Trouble@|@pilikia@
@Trouble of any kind@|@pilikia@
@truck@|@kalaka, kalaka@
@truly@|@`oia`i`o, ho`i`ê, nô@
@trunk (of a tree)@|@kumu@
@truth@|@'oia'i'o@
@tuber@|@hua@
@Tuesday@|@pó`alua, Po'alua@
@tulip@|@kulipa@
@tumble@|@hiolo@
@tuna@|@aku@
@turn off@|@ho`opio@
@turn on@|@ho`â@
@turn on (light@|@ho`ä@
@turn something over@|@ho`ohuli@
@turtle@|@honu@
@tutor@|@kumu@
@twelve@|@`umi-kúmá-lua, `umikumalua@
@twenty@|@`iwakálua, iwakalua, iwakälua@
@twenty one@|@`iwakálua-kúmá-kahi@
@twenty-one@|@iwakalua kumakahi@
@twinkle@|@`amo, `amo@
@twist something around st@|@wili@
@two@|@`elua, [`e]lua, lua@
@two endemic raspberries@|@`Akala@
@two hundred@|@`elua haneli@
@type [of]@|@'ano@
@type of wood@|@koa@
@ugly@|@pupuka@
@uncle@|@`anakala, `anakala, makuakane@
@unclean@|@haumia, hawa, kapulu, ma`ema`e `ole, pe`a@
@under@|@lalo@
@Underground oven@|@imu@
@underneath@|@iho, lalo@
@understand@|@maopopo@
@unfamiliar@|@malihini@
@unfastened@|@hemo@
@unfortunately@|@auê@
@United States of America@|@`Amelika-hui(-pu-`ia)@
@unload@|@wehewehe i ka ukana@
@unlock@|@wehe me ke ki@
@unlucky@|@pakalaki@
@unobstructed@|@hämama@
@unskilled@|@hemahema@
@untie@|@`uwehe, kala, wehe@
@unusual@|@malihini@
@Unwoven cloth made from tree@|@kapa@
@Up@|@luna@
@upland@|@mauka, mauka@
@us@|@kâkou, kâua, mâkou, mâua@
@used to@|@ma`a@
@used up@|@pau@
@utterance@|@`olelo@
@vagina@|@kohi, peo@
@Valley@|@awaawa@
@valuable@|@waiwai@
@valuable tree used for canoes@|@koa@
@vanilla@|@wanila@
@Vegetable@|@mea ulu@
@Vegetarian@|@wale mea ulu@
@vehicle@|@ka`a@
@velvet@|@weleweka@
@veranda@|@lânai@
@verbal@|@`olelo, `olelo@
@verbatim@|@`olelo, `olelo@
@Very many@|@uku million, uku pile@
@very much@|@nui loa@
@Very well@|@Maika`i nô@
@vessel@|@kâ@
@village@|@külanakauhale@
@vine@|@lâ`auhihi@
@vinegar@|@pinika, wîneka@
@violin@|@waiolina@
@visit@|@kipa@
@visitor@|@malihini@
@vocal music@|@mele@
@voice@|@leo@
@voilin@|@pila, pila@
@Volcano goddess@|@Pele@
@Volcano on the island of Maui@|@Haleakalä@
@volume (book)@|@helu@
@volume (quantity)@|@nui@
@vomit@|@lua`i@
@wait@|@kali, kali@
@wait for@|@kali@
@wake up@|@ho`âla@
@walk@|@hele@
@walk around for fun@|@holoholo, holoholo@
@wall@|@pa, pä, paia@
@wall (of house)@|@paia@
@wallpaper@|@pepa hale@
@walnut@|@walanuka@
@want@|@makemake, makemake@
@war@|@kaua@
@warm@|@hahana, mahana, pumehana, wela@
@wash@|@holoi@
@wasted@|@pohô@
@watch@|@uaki, uaki@
@water@|@wai@
@Water@|@wai@
@water faucet handle@|@kï wai, kîwai@
@watercress@|@lêkô@
@waterfall@|@wailele@
@waterhose@|@`iliwai@
@watery@|@wai@
@wave@|@nalu@
@Wave@|@nalu@
@wavy (as wood grain)@|@nalu@
@we@|@kâkou, kâua, mâkou, mäkou, mâua, mäua@
@We@|@kákou, Káua@
@we (dual@|@kaua@
@we (dual exclusive)@|@maua@
@we (he and I)@|@mâua@
@we (I and you all [plural])@|@käkou@
@we (plural@|@kakou, makou@
@we (they and I)@|@mâkou@
@we (you and I)@|@kâua, käua@
@we (you folks and I)@|@kâkou@
@wealth@|@lako, loa`a, waiwai@
@weapon@|@mea make, mea pepehi kanaka, mea-kaua@
@wear@|@`a`ahu, komo, komo@
@weary@|@luhi, maluhiluhi, pa`a luhi, pauaho@
@weather@|@ke `ano o ka manawa, ke 'ano o ka manawa@
@wedding@|@male `ana@
@Wednesday@|@po`akolu, pó`akolu@
@Week@|@pule@
@weekend@|@hopena pule, hopenapule@
@weeping@|@waimaka@
@welcome@|@Aloha, komo mai@
@well@|@ipu `înika, lua@
@wet@|@pulu@
@whale@|@kohola, palaoa@
@whale tooth@|@niho palaoa@
@what@|@aha@
@What is this?@|@He aha kéia?@
@What is your name?@|@`O wai kou inoa?, 'O wai kou inoa?@
@What time is it?@|@Hola `ehia kéia?@
@what?@|@aha@
@What?@|@He aha?@
@wheat@|@huika@
@when?@|@ähea, ähea, inähea@
@When?@|@I ka wâ hea?@
@where@|@hea@
@where (always i hea@|@hea@
@Where are you from?@|@No hea mai `oe?@
