@English@|@Greenlandic@
@keept it@|@ajaamivaa@
@kerchief@|@kakkissaat@
@kerchief to be tied round the forehead@|@qaarut@
@key@|@matuersaat@
@key on piano@|@pattaffik@
@key on piano or organ@|@patittariaq, patiffik@
@keyboard@|@patittarissat, patiffiit, pattaffiit@
@keyhole@|@matuersaaserfik@
@killed@|@maleritaq@
@killed with a sling.@|@illusagaq@
@kills a reinbuck@|@panniligarpoq@
@kills it@|@maappaa@
@kills the hunted sea mammal@|@malerippaa@
@kinsmen@|@naggueqatigiit@
@kitchen@|@igaleq@
@kitchen range@|@iggavik, igaffik@
@kneading trough@|@naqittaavik@
@kneads clay@|@marriorpoq@
@kneads dough@|@naqittaavoq@
@kneads it (the dough)@|@assalittarpaa@
@knits nets@|@qassusiorpoq, qassusivoq@
@knits nets for him@|@qassusiorpaa, qassusivaa@
@knits them together@|@uiguleriippai@
@knits them together several times@|@uiguleriissorpai@
@knob@|@sakamattaq@
@knocks at a door@|@kasuttorpoq@
@knocks at it several times@|@kasuttorpaa@
@knocks it loose@|@kassuppaa@
@knowledge@|@nalunnginneq, nalunngissuseq@
@knows@|@kalallivoq@
@knows about it@|@nalorninngilaa@
@knows about something@|@nalunngilaq@
@knows everything@|@nalusaqanngilaq@
@knows it or him@|@nalunngilaa@
@laaja@|@laaja, laajaq@
@laajaq@|@laaja, laajaq@
@labours in the waves@|@malliorpoq@
@lacks feathers in its tail@|@papilluppoq@
@lacks firmness@|@aanneqanngilaq@
@lacks it@|@ajorsaatigaa@
@ladder@|@majuartarfiit@
@ladle@|@qalutaat@
@lady@|@arnap@
@lady's collar@|@uliusaaq @
@lady bird@|@oqilaaluk@
@lady bird (Coccinella)@|@qalerualik@
@lakes in the shape or terraces@|@tatsit qaliariit@
@lama. (loan word)@|@laama@
@laments@|@kappialavoq@
@lamp rod@|@qulliup kanaartaa@
@lamp smoke@|@qulliup ikinnera@
@lamp stool@|@nalikkagut, nalikkak@
@lance@|@qalugiusaq@
@lance for hunting from a kayak@|@qajarmiu@
@lances it (the whale)@|@qalugiarpaa@
@land-bear@|@allaq@
@land vegetation@|@nunap meqqui@
@landwards@|@kangimut, qaqqap kangia@
@lantern@|@naneruarfik, naneruartaat@
@large knife@|@pana@
@large object@|@persuaq @
@large species of gull@|@qaqullunnaq@
@larva of mosquito@|@equsaavaq, eqisaavaq@
@lashes it@|@naqitaruserpaa, panaarsorpaa, parnaarpaa, pajannaarpaa@
@lashes it (fast)@|@naqitarivaa@
@lashing@|@aaliut, naqissut, naqitarut, parnaarut@
@last@|@kaassivik@
@last Sunday@|@sapaatiummat@
@last winter@|@ukiigatta@
@last year@|@siorna@
@later@|@kingorna@
@lateral point@|@aaq@
@laughs@|@illarpoq@
@laughs at it@|@illaatigaa@
@laughs mischievously@|@illaruarpoq@
@laughter@|@illaq@
@law suit@|@eqqartuussissut@
@lays a burden on him@|@nammakkerpaa@
@lays a wager about it@|@eqqoriarniutigaa@
@lays a wager against him@|@eqqoriarniuppaa@
@lays burdens on him@|@nammakkersorpaa@
@lays hands on him@|@patippaa@
@lays him on his stomach@|@lies down on his stomach@
@lead ashes@|@aqerlup qajua@
@leader (of team) which has lost its leadership@|@makutaq@
@leads a purposeless life@|@maangaannaq inuuvoq@
@leads a sinful life@|@ajortuliarpoq@
@leads the singing@|@appippoq@
@leaf-stalk@|@qanallak@
@lean@|@salloq (sak, saluppoq)@
@leans@|@iigarpoq@
@leans against something@|@talippoq@
@leans it against it@|@iigartippaa@
@leans or places it against something@|@talippaa@
@leaps with joy@|@papavoq, papattappoq@
@learning it@|@eqaraa@
@leave me alone!@|@tasa eller asu!@
@leaves a message with him@|@oqqersuiffigaa@
@leaves his kayak@|@qaannivoq@
@ledge (in a wall or rock)@|@illernaq@
@ledge (in rock)@|@salliartaq@
@lee side@|@oqqoq@
@left@|@saamilleq, saamerleq@
@left over from yesterday@|@aqagutaaq, aqagumisaaq@
@left side@|@saamiup tungaa@
@left-handed@|@saamik@
@legal provision@|@eqqartuussit@
@legendary animal@|@qappik@
@leister@|@kakkersarpaa, kakkersorpaa, v. kakivaa, kakiak (kakivaa)@
@lemming@|@maajooq@
@length@|@takissuseq@
@lengthens it by adding a piece@|@uigunnerpaa@
@lengthens it by several additions@|@uigunnersorpaa@
@lernean@|@masimmiu, qanngoq@
@let go!@|@kii, keermi@
@let him come here!@|@qaali, qaatsiarli@
@let it be brought! let me get it@|@qaalli@
@let me be@|@na`aana@
@let me disentangle the traces@|@allaarsigallarlanga@
@let me first arrange my kayak@|@qajara iluarsarallarlara@
@let me first pull my storckings@|@kamikka taakkallarlakka@
@let me have it@|@pilara aat?@
@let me sleep@|@sinillanga@
@let one of us go@|@ilarput aallarli@
@let one of you remain behind@|@ilarsi unikkili@
@let us seek shelter@|@oqquusimaariartorta@
@lets him cross to the other side@|@ikaartippaa@
@lets him eat the tail@|@paperortortippaa@
@lets him give evidence@|@nalunaarsippaa@
@lets him imbibe@|@najorsippaa@
@lets him or it be fetched@|@piartortippaa@
@lets him take a mouthful@|@oqummersivaa@
@lets him tow@|@kalitippaa@
@lets himself be bled@|@taqarsiortippoq@
@lets himself be seen@|@takkuppoq@
@lets it (the animal) get the scent of him@|@naallerpaa@
@lets it appear@|@takorliuppaa@
@lets it be continued@|@nangitippaa@
@lets it be lost@|@tammartippaa@
@lets it be removed or taken away@|@peersippaa@
@lets it be singed@|@uulinertippaa@
@lets it get jammed@|@kiggisippaa@
@lets it go@|@sapassivaa@
@lets it happen@|@eqquutippaa@
@lets it pass@|@qaangiussivaa@
@lets it rise@|@qafferpaa@
@letter@|@allagarsiaq, allanneq@
@letter (printed)@|@naqinneq@
@lettter@|@allakkat@
@Levi's tribe@|@liivikkut naggueqatigiit@
@liar@|@sallutooq@
@Library@|@Atuakkanik atorniartarfik@
@lies around@|@sakaluuvoq@
@lies awake@|@eqeersoorpoq@
@lies down@|@nalavoq@
@lies down on his stomach@|@pallorpoq (paluvoq)@
@lies fiat.@|@mappaarpoq@
@lies in a wrong manner@|@mumingavoq@
@lies in his kayak waiting for a seal@|@qamavoq@
@lies in waiting for it@|@qamaaraa, qamavaa@
@lies obliquely in the water@|@qapeqarppoq@
@lies on its belly (a seal)@|@paluvoq@
@lies on the scaffold@|@napasorpoq@
@lies on the stomach@|@pallungavoq@
@lies to him@|@salloqittarpaa@
@lies up in the mountains@|@qaqqasippoq@
@lies upside down@|@miminngavoq@
@lies well@|@nalalluarpoq@
@lies wide awake@|@eqqumavoq@
@lies with regard to him@|@sallutigaa@
@lies with the end across it and weighs it down@|@pakinippaa, pakanippaa@
@lighthouse@|@naaralaartitsivik@
@lights a bonfire@|@naaralaartitsivoq@
@lights the lamp@|@ikitsivoq@
@likes him@|@nakkoraa@
@likes the taste of it@|@mamaraa@
@likewise@|@taamattaaq, taamatut@
@limit@|@killik@
@line (from the stern of the umiak).@|@kaamisaat@
@line for fishing sea scorpion@|@kanajorsiut, kaniorsiut@
@line of direction@|@missik, missi@
@line which was to run out@|@nassikarpoq@
@line with a bait by which gulls are caught@|@ujukkuartuut@
@lion. (loan word)@|@liiveq@
@list along the upper edge of the sledge runners@|@ajalunaveeqqut@
@listen@|@aa, ikkorsii, ikkuakkut-aa, ta, taa@
@listen you (pl.)@|@pakkorsii, pakkorsii-aa, pakkuakkut-aa@
@listen you (pl.) in there!@|@qakkorsii, qakkorsii-aa, qakkuakkut-aa@
@listen you (sing.)@|@passumaak@
@listen you (sing.) in there!@|@qassumaak@
@listens@|@naalappoq@
@listens for it@|@naalappaa@
@listens to him or it@|@naalaarpaa@
@listens with pleasure to them or it@|@naalannaarpaa@
@lists because of that@|@orrutigaa@
@literature@|@uppersaarut@
@little auk (Arctica alle)@|@appaliarsuk@
@little by little@|@kigaatsumik@
@little sweet!@|@aannguaq@
@lives in a snow or earthen hut@|@illuigarpoq@
@lives in the neighbourhood of it@|@eqqaasiorpaa@
@lives with him@|@illusimmavigaa@
@load  of wood@|@nammaaq@
@loadstone@|@saviit kajungerisaat@
@loan-word@|@illersartoq@
@loan word)@|@kaffit@
@loathsome@|@eernarpoq@
@Local hall@|@Katersortarfik@
@lock@|@matuersaaserfiit@
@locks him or it in@|@mattuppaa@
@locks him or it up@|@parnaaruppaa@
@loin.@|@makiseq, makit@
@loin-belt@|@makisequt@
@long@|@takisooq@
@long-haired dog@|@meqqujooq@
@long ago@|@qangarsuaq@
@long boat@|@orsiaat@
@long knife@|@sanarfit@
@longs violently for him@|@erinitsaappaa@
@long-tailed otter@|@pamiortooq@
@looks after something@|@ujaappaa, ujarliuppaa@
@looks at him or it fixedly@|@nakkuppaa@
@looks at it fixedly@|@nakuniuppaa@
@looks down upon him@|@makuppaa (makippoq)@
@looks famished@|@qammungavoq@
@looks fixedly at someone@|@nakuniarpoq@
@looks for day labourers@|@laajarsiorpoq@
@looks for eggs@|@mannissiorpoq@
@looks for his own@|@namminissarsiorpoq@
@looks for thin@|@saatorsiorpoq@
@looks ugly@|@takussunarpoq@
@loom@|@ikaartiterivik@
@loose and brittle driftwood@|@uligiileq, uligiilik@
@loose to tread on@|@maagaarpoq, maavaarpoq, maavarpoq@
@loose woman@|@kannaaliaq@
@loosens@|@kaavoq@
@loosens it@|@kaanngartippaa@
@loosens the skin with the blubber attached to it (the caught seal)@|@massappaa (makippoq), malliukkaarpoq, massalaannguaq@
@loses@|@aajarpoq@
@loses his kayak@|@qajaarserpoq@
@loses his kayak paddle@|@paataarserpoq@
@loses his way@|@tammarpoq, tammartajaarpoq, tammartakajaarpoq@
@loses its shoeing@|@perlaarpoq@
@loses sight of it@|@qapippaa, qapivaa@
@loses strength@|@merfivoq@
@louse egg@|@eqqeq@
@louses him@|@sanngiaat@
@lovely@|@panaavoq@
@low hilly country@|@nuna naqittoq@
@lowers the missile in order to take aim@|@orlerpoq@
@Luther's small catechism@|@saattunnguit@
@lying-in woman@|@ernisoq@
@made of wool@|@meqqulualik@
@mail carrier@|@paartoq@
@makes@|@sanavaa@
@makes a coat of water-tight skin@|@erfivoq@
@makes a coat of water-tight skin for him@|@erfivaa@
@makes a dike across it@|@sapuserpaa@
@makes a kayak@|@qaanniorpoq@
@makes a kayak for him@|@qaaniorpaa@
@makes a mistake regarding it@|@tammaappaa@
@makes a notch or an incision in it@|@kigarpaa @
@makes a petting song@|@aqaatiliorpoq@
@makes a petting song for it@|@aqaatiliuuppaa@
@makes a water-proof jacket  him@|@kapitsiorpaa@
@makes a water-proofjacket@|@kapitsiorpoq@
@makes a water-tight skin@|@erisassivoq@
@makes a wry face@|@kiinarsorpoq@
@makes an effort@|@assororpoq, agsorôrpoq@
@makes an effort not to sneeze@|@tangajorsarpoq@
@makes coffee@|@kaffiliorpoq@
@makes fun of him@|@takuluppaa@
@makes glass windows@|@igalaaliorpoq@
@makes him afraid@|@ersisaarpaa@
@makes him brown@|@palerpaa (paaq)@
@makes him commit a folly@|@nakutippaa@
@makes him confused@|@ulerussisippaa@
@makes him drop something@|@sapassisippaa@
@makes him give it up@|@ajorsippaa@
@makes him give way@|@malartipaa@
@makes him humble@|@qanilaartippaa@
@makes him hurt himself@|@ajunaarsarpaa@
@makes him long for@|@illigussaarpaa@
@makes him open his eyes wide@|@uippallersippaa, uisatippaa@
@makes him see@|@uisippaa@
@makes him subservient@|@naalagarsiortippaa@
@makes him suspected@|@pasisaarpaa@
@makes him tell a falsehood@|@sallutippaa@
@makes him vomit@|@meriarsarpaa@
@makes him weak@|@sanngiillivoq@
@makes himself ready@|@piareersarpoq@
@makes his grumpy@|@orulutippaa, orulusarpaa@
@makes it@|@maqisarpaa@
@makes it burn@|@ikuallappaa, ikuallatsippaa@
@makes it burn well@|@ikummarissarpaa@
@makes it dirty@|@sammukarpoq@
@makes it disappear below the water@|@qappuppaa@
@makes it evident@|@nalunarunnaarsippaa@
@makes it fertile (the soil)@|@naggorissarpaa@
@makes it heavier@|@oqimaallisippaa@
@makes it into a rug for the sleeping platform@|@qassiuppaa@
@makes it known@|@nalunaarpaa@
@makes it large to look at@|@taanertunarpoq@
@makes it lighter@|@oqilisippaa, oqillisippaa@
@makes it loathsome@|@maajorluerpaa@
@makes it longer@|@tallisippaa@
@makes it lower@|@naqillisarpaa, naqillisippaa@
@makes it narrow or thin@|@sallilerpaa@
@makes it rise@|@qaffarsarpaa, qaffartippaa@
@makes it shorter@|@naalisippaa@
@makes it shrink@|@taqisaarpaa@
@makes it smaller@|@millilerpaa, millisarpaa, millisippaa@
@makes it soft@|@eqaallisarpaa@
@makes it stand firm@|@patanaarpaa@
@makes it thinner@|@saalilerpaa, sallivaa@
@makes it too short.@|@naanaarpaa@
@makes it white@|@qaqorsarpaa@
@makes medicine@|@nakorsaasiorpoq@
@makes net work@|@qassutaasiorpoq@
@makes no difference between them@|@nassoqippai@
@makes rhymes@|@naggateqatigiissaavoq@
@makes several notches@|@kigartorpaa@
@makes signs@|@nalunaaqqutiliorpoq@
@makes something@|@sanavoq@
@makes soup of dried blood@|@assiorpoq@
@makes the platform ready@|@illitsersuuppoq, illisilersuuppoq@
@makes them fewer@|@ikillivai, ikilivai, ikillisippai, ikillisarpai@
@makes them two@|@marlunngorpai@
@makes too much of it@|@peqqarniippoq@
@makes verses@|@versiliorpoq@
@makes water-tight skin for him@|@erisassivaa@
@mallemoke@|@qaqulluk@
@man@|@angut@
@man out in a kayak for several days@|@qajartuaq@
@man with two wives@|@marloralik@
@manages it@|@sapinngilaa@
@manifolds (of ruminants)@|@errortoriaq@
@manner of sitting@|@issiffaseq@
@man's jacket@|@mamoqqaaq@
@mantle@|@qallersaat, uliguaq@
@manure@|@naggorissaat@
@many of the dogs died@|@qimmit ilarpassui toqorarput@
@marine animal@|@qaattaq, qaattugaq@
@mark@|@nalunaaqqutaq@
@mark of direction@|@naleraq@
@marks it off@|@nalunaaqqutserpaa@
@married@|@aappalik@
@marries@|@aappanippoq (S.G.)@
@marries them@|@katitippai@
@marrow@|@pateq@
@marrow extractor@|@paterut, paqqut, patiiaat@
@Mary's dogs@|@Mariap qimmii@
@massippoq@|@massippoq@
@mast@|@napparut@
@master@|@naalagaq@
@master of a house@|@illup naalagaa@
@masticatory organ@|@tamuaat@
@match@|@ikitsit@
@material for manufacturing something@|@sanaassaq@
@maternal aunt@|@aja@
@matter gathers@|@marniliorpoq@
@matter in a boil or inflamed part@|@marneq@
@meadow@|@masarsuk@
@meanders@|@sangujaarpoq, sangujoraarpoq, sangujoqisaarpoq, sangujoqilaarpoq@
@means of grace@|@sammaassut@
@means of heating@|@kiaqut@
@means of kindling a lire@|@ikuallaatissaq@
@means to further delivery@|@ernissussiut@
@measure@|@uuttuut@
@measures@|@uuttorpaa@
@measures it@|@uuppaa, uutortaavoq@
@measures it by something (-mut)@|@uuttuuppaa@
@measures something (-mik) out to him@|@uuttorfigaa, uuttuiffigaa@
@measures something by it@|@uuttuutigaa@
@meat or balls in soup@|@tangertaq@
@meat spit@|@mumitsit@
@meddler@|@paaminnartoq@
@medicine@|@katsorsaat, nakorsaat, nakorsaatissaq, peqqissaat@
@meditates on@|@eqqarsarpoq@
@meets an obstacle@|@kanngippoq@
@meets difficulties@|@ajornatoorpoq@
@meets him@|@naapippaa, nalaappaa, paarpaa@
@melts (blubber@|@iggiaqanngilaq@
@memorial gift@|@tammajuitsoq, tammajuitsussaq@
@memorial stone@|@ujarattassaq@
@memory@|@eqqaamannissuseq@
@mentions him as his relative@|@eqqarlimaarpaa@
@mentions him or it@|@eqqartorpaa, oqaluuseraa@
@mentions it@|@taajorpaa, taagorpaa@
@mentions it as a cause@|@patsisigaa@
@mentions them in succession@|@taajorarpai@
@merchandise@|@qaliata pii@
@message@|@oqaassut, oqqersuut@
@Metaphorically@|@ersarut@
@Metaphorically: awakening@|@eqeersarneq@
@metaphorically: on the other hand@|@illuata tungaatigut, illuatungaatigut@
@microscope@|@allisitsiut, allisisiut@
@middle piece of strap@|@qaqitaq@
@midwife@|@ernisussiortoq@
@mildness (the weather)@|@mannguk (maavoq)@
@milk@|@immuk@
@milt@|@massak@
@minor third (in music)@|@pingajua allisaq@
@miscarriage@|@allerpaa, allerutigaa, ernigaluaat@
@miscarries@|@ussuppoq@
@miscarry@|@allerpoq@
@misdeed@|@ajortuliaq@
@miser.@|@erlitooq@
@misfortune@|@perluk, perluut@
@missed him@|@passarluppaa@
@misses him@|@maqaasivaa, maqaasigaa@
@misses him or it@|@persaqquppaa@
@misses it@|@ajussivaa@
@misses someone for that reason@|@persaqutigaa@
@misses something@|@ujariatsivoq@
@missionary@|@ajoqersuiartortitaq@
@missionary society@|@ajoqersuiartortitseqatigiit@
@mistakes it@|@paarlaappaa@
@mistakes it for something else@|@takkorluppaa, takussaarpaa@
@mistakes something@|@mangussappoq@
@mistakes them@|@ulassupai (uleruppai)@
@misunderstands@|@paattuutitarpoq@
@misunderstands him.@|@paatsoorpaa@
@misunderstands it@|@paasiluuserpaa, paasinerluppaa@
@mocks him@|@qaqajaraa@
@moistens@|@masatserpaa@
@moistens it@|@malimaarpaa@
@moistens it much@|@matsatserpaa@
@moisture@|@masak@
@molar@|@erlippak@
@monastery@|@mattuffik@
@money@|@aningaasat@
@monk@|@mattuttoq@
@monumental stone@|@ujarak eqqaassutissiaq@
@more@|@aamma@
@morsel@|@tamorasaaq, tamorasassaq, tamorasisassaq, tamuasassaq, tamuagassaq@
@mosqouito bite@|@ippernat kiggii@
@mosquito larva@|@pequsaavaq@
@moss (used for kindling a fire).@|@maneq@
@mostly in pI. perssũpât they attack@|@persuuppaa@
@mother@|@anaana@
@mother-in-law@|@saki@
@motley@|@allagissaarpoq@
@mould (on something)@|@oquk@
@moults (hairs or skin)@|@mamaarpoq@
@mountain@|@qaqqaq (qaa)@
@mountain ash@|@napaartoq@
@mountain azalea@|@oqaasat@
@mountain pass@|@kiggaq@
@mounting for a paddle@|@qaaqqusaq@
@mouth@|@qaneq@
@mouth wash@|@qanerissaat@
@mouth-organ@|@qanersoriaq@
@mouthful@|@tamuaq, tamuaaq@
@move a little!@|@illuaamiit@
@move towards the west@|@sammersorneq@
@moves@|@saqippoq@
@moves a little to the side@|@illuaamivoq@
@moves backwards and forwards@|@illerarpoq@
@moves farther in@|@kangiarpoq, kangujarpoq@
@moves farther towards the land@|@kangerparpoq@
@moves him or it aside@|@saqippaa, saqitippaa@
@moves it a little to the side@|@illuaamivaa@
@moves it from one side to the other@|@illerarpaa@
@moves it to the side@|@illuarpaa@
@moves to the side@|@illuarpoq@
@moves up and down@|@qaffiavoq@
@much@|@assut@
@muddy place@|@maralluk@
@muff@|@kaasimaarfik, kaasariaq, paarlattarfik@
@mumbles@|@tamuluppoq@
@munches@|@qanersorpoq@
@Museum@|@Katersugaasivik@
@Musk ox@|@umimmak@
@must be obeyed@|@naalannarpoq@
@must make water frequently@|@nakasukippoq@
@mutters to himself@|@oqalunguserpoq@
@my@|@uppernera@
@my bed is warm@|@siniffiga oqorpoq@
@my boots@|@kamikka, kammakka@
@my boots fit me@|@kamikka naammagaakka@
@my com-panions have already gone@|@ilakka aallareerput@
@my conscience@|@tarnima nalunngissusia@
@my dogs have gone adrift with the ice@|@qimmikka uisaasimapput@
@my eyes@|@isikka eqeerluanngillat@
@my family@|@ilaqutakka@
@my fingers got jammed in the door@|@assakka matumut kiggisippakka@
@my first bear@|@nannuttara pernartara@
@my half-sleeves@|@aaqakka@
@my helper@|@ikiortiga@
@my house@|@illora@
@my houses@|@illukka@
@my knife is not there@|@saviga peqanngilaq@
@my left hand leader dog@|@saamerlequtiga@
@my little sweetheart@|@aappassiannguara@
@my mittens@|@aaqqatikka@
@my name is...@|@.... imik ateqarpunga@
@my own dogs@|@nammineq qimmikka@
@my own family@|@ilakka namminikka@
@my plaits@|@perlarnikka@
@my regards to your family@|@ilatit inuulluarilit@
@my stomach@|@naakka, nassakka@
@my trousers@|@qarlikka, qarliikka@
@my trousers are too short for me@|@qarlikka naagaakka@
@nalumasortoq@|@naluumavoq@
@name@|@ateq, taggit@
@name his name!@|@aqqa taaguk@
@names him@|@taavaa@
@nape@|@qaratserfik@
@narrative@|@oqalualaaq, oqalualaarut, oqaluasaaq, oqaluttuaq@
@nature of belief@|@upperuseq@
@nausea@|@meriannguneq@
@near in time@|@qanittukkut, qanitunnguakkut@
@necklace@|@ujammit@
@needle cushion@|@kakkivik@
@neighbour@|@eqqaamiu, sanileq@
@net for open water@|@qassutit imarsiutit@
@net for white whale@|@qassutit qilaluarniutit@
@net work@|@qassutaasiukkat@
@never gets lost@|@tammajuippoq@
@never shows pity@|@naakinniuippoq@
@never tells falsehoods@|@sallusuippoq@
@new shoot@|@naarlaaq@
@new year@|@ukiortaaq@
@newly married@|@katernaaq (katippai)@
@newspaper@|@aviisi@
@next year@|@aappaagu, aappaagut, aappaagu@
@night watch@|@pigaassisoq@
@nightbutterfly@|@taqaleqisaaq@
@nine@|@qulingiluat@
@ninepin alley@|@nakatarfik@
@nineteen@|@nitten (from 13 and on it's used Danish numbers)@
@ninety@|@halvfems (from 13 and on it's used Danish numbers)@
@no@|@Ilaananngila, naagga, naamik@
@no (Frederikshaab)@|@aaja@
@no and no once more@|@naaggalerujussuaq@
@no hotel@|@hotelimi@
@No thank you@|@Naamik qujanaq@
@no!@|@naagga, naakka@
@north@|@avannaq@
@north Greeland@|@avannaa@
@northeasterly wind@|@tamakkii@
@not at all@|@Ilaananngila, naamerluinnaqqinnaaq@
@not matching@|@illoqanngilaq@
@not to be seen@|@takussaanngilaq@
@note book@|@allattuiffik@
@note paper@|@allagassiaq@
@now@|@maanna, massakkut@
@now and then@|@qaqutigu, qaqutigut@
@now I shall have trouble with my mouth@|@qanneriinnaleqaanga@
@now my Iood is boiling@|@qalappunga@
@now my knife is gone@|@saviga taamak@
@now only did I perceive that there were two@|@aatsaat malugilerpakka marluusut@
@now there is no longer anything to keep me busy@|@maanna ulapissutaruppunga@
@nowadays@|@maanakkut@
@nurse@|@meeqqanik paarsisoq@
@ny thighs are numb (with cold)@|@uppatikka ilisimanngillat@
@oak or beech timber@|@manngertoq@
@oakum@|@allunaassat ingitsikkat@
@oath@|@uppernarsaarut, uppernarsaat@
@obedience@|@naalanneq, naalassuseq@
@obliging@|@ajunngisaarpoq@
@observes@|@malugaa@
@obstacle@|@ajoqut, persaqqut@
@obstacle.@|@kanngisaarut@
@obtains grace for him with someone@|@saammaatitippaa@
@occurs at this very moment@|@nalaatsorpoq@
@odiferous heather plant@|@qajaasat@
@of louse wort@|@ulammusaq, ulannerusaq@
@offence@|@ajuallanneq@
@offends him@|@ajuallatsippaa, mamiasaarpaa@
@offers it to someone@|@manivaa@
@offers something (-mik) to him@|@mannivigaa, manilerfigaa@
@office@|@allaffik@
@officer@|@sakkutuut naalagaat@
@often gets something@|@pigajuppoq@
@oh that looks bad!@|@iasilat, iasilarattuaq@
@oil@|@uulia@
@oil from beaten blubber@|@kaavartaq@
@oil painting@|@qalipagaq@
@oil-cloth carpet@|@masannaveeqqut@
@oil tree@|@uuliaqut@
@old-fashioned@|@qanganisaq@
@old name for heathens@|@uppinngitsut@
@old North-Greenlandic surname@|@uppernanngitsoq@
@old skin (for tent covering)@|@qaleqqat@
@Ole's book@|@Olip atuagal@
@omnipotence@|@ajugaqanngissuseq@
@on a fishing line@|@aalisaatip ujaraa@
@on a line with it@|@missinga, missaa@
@on all hands@|@tamaginnut@
@on behalf of the survivors@|@ujaasivoq, ujaasivoq@
@on both sides@|@illuttut@
@on our own accord or from ourselves@|@namminitsinnit@
@on purpose@|@piaaraluni@
@on Sunday@|@sapaatiuppat@
@on the platform@|@illermippoq@
@on top of@|@qaani, qaavani@
@once in a while@|@qaqutigut ilaanni@
@once in a while they came to visit us@|@ilaanni tikeraartarpaatigut@
@one@|@ataaseq@
@one becomes languid@|@kajoranaqaaq@
@one can hear that the inland ice calves@|@sermersuaq uukkarpaluppoq@
@one hesitates to go out in that cold@|@qaajornaqaaq@
@one hundred@|@et hundrede (from 13 and on it's used Danish numbers)@
@one hundted and one@|@et hundrede og en (from 13 and on it's used Danish numbers)@
@one is apt to catch at the bottom of the sea with the fishing hook@|@nassinarpoq@
@One language is never enough@|@Oqaatsit ataasiinnaat naammanngillat@
@one misses that which one was accustomed@|@ujaritsinarpoq, ujariatsinaqaaq@
@one must beware of him or it@|@mianernarpoq@
@one must humble oneself before him@|@maniguunnarpoq@
@one must strain one's eyes in order to see it@|@nakuniarnarpoq@
@one of them said to me@|@ilaata oqarfigaanga@
@one of two things@|@illuk@
@one thousend@|@et tusinde (from 13 and on it's used Danish numbers)@
@one which can be made into two@|@marlussaq@
@one who fetches wood@|@orpiliaq@
@one who has great strength@|@sakkortusoq, sakkortooq@
@one who has many or large tools@|@sakkoqqortooq@
@one who has recently got weapons@|@sakkunerlaaq@
@one who is able to think of something new@|@qaqersaq, qaqersartoq@
@one who sleeps in his clothes@|@aggaatsoq (S.G.)@
@one who tows@|@kalittoq@
@one whose mouth waters for something@|@illiguttoq@
@one-legged@|@illuinnarmik talilik, niulik@
@only a few@|@marlussuit@
@only child@|@piaaqqusiaq@
@only in@|@ujameriak@
@only take off the charred part of the wick@|@ipeqqap palersinera  piiginnaruk@
@only tell me@|@taasinnannaga@
@only thinks of that@|@ukkappaa@
@open@|@ammavoq@
@Opening hours@|@Ammasarfiit@
@opening of shot pouch@|@paaqut@
@opens@|@maqivoq@
@opens his eyes@|@uippoq, uinngiarpoq@
@opens his eyes wide with fright@|@uippallerpoq, uippallappoq@
@opens it@|@mapperpaa (makippoq)@
@opens it ajar@|@ikersippaa@
@opens its eyes@|@uisivoq@
@opens the door for him@|@matuiiffigaa, matuiuppaa@
@opens the door on him.@|@matuerfigaa@
@operates him for cataract@|@qaleruaajarpaa@
@opponent@|@assortuisoq@
@opposition@|@assortuineq@
@or@|@imalluunnit@
@ordinance@|@naalakkiut@
@our belief@|@uppernerput@
@our boots@|@kamivut, kammavut@
@our country is part of it@|@nunatta manna ilagaa@
@our deeds@|@qanoq-iliornivut@
@our house@|@illorput@
@our houses@|@illuvut@
@our passengers@|@issimasortavut@
@out of the way with you!@|@peerit@
@out there@|@qamani, qamunga@
@outer covering@|@qaleruaq, qalipak@
@outer side@|@qaa, qaava@
@outer skin (of tent)@|@qaleraq@
@outwardly@|@qallikkut, qalliinnakkut@
@outwards it looks fine enough@|@qaatigut kusanarpalukkarluarpoq@
@over there@|@ikani@
@over there in the south@|@kigani@
@Over there!@|@ikka@
@over-clothing@|@qaatigooq, qallersaat@
@overgrown@|@talleqqajuppoq@
@overlord@|@naalagaaneq@
@overturns@|@perlataarpoq@
@owing to moisture@|@matsamit@
@owl@|@uppik@
@own@|@nammineq@
@ox@|@ussik@
@oxen@|@ussigit@
@pad@|@maannak@
@paddIes a kayak on the Iittle lake@|@tasinnguaq tajartorpaa@
@paddle wheel@|@mappikaartoq, mappilappoq@
@paddles a kayak@|@paarpoq, qajartorpoq@
@paddles hard@|@paangarpoq@
@paddles his kayak towards the beach@|@majorassaarpoq mallorpaa@
@paddles in a kayak for his pleasure@|@qajarujoorpoq@
@padlock@|@parnaarsaat naatittariaq@
@painter's brush@|@qalipaasit, qalipaasiutit@
@paints il red@|@aappaluttumik qalipappaa@
@paints it a second time@|@qalleqqippaa@
@pancake (loan-word)@|@panikaaq, pannakaaq@
@pane@|@igalaamineq, igalaassiaq@
@pangalluppaa@|@pangalluppaa@
@paper (loan-word)@|@pappiara, pappiala, pappilia@
@paralellizes it with something@|@nalequtsippaa@
@parents@|@angajoqqaat@
@parries it@|@pakkerpaa, pakkivaa@
@parries it time after time@|@pakkerarpaa, pakkisarpaa@
@parrot@|@papikuuju@
@part of back above rump@|@uliut@
@part of the stone is black@|@ujaqqap ilaa qernerpoq ilaa aappalulluni@
