@English@|@Old Nahuatl@
@sweet potato@|@tlalcamohtli (ipommea batatas@
@swim (to)@|@tlamaneloa@
@swimming pool@|@acaxitl@
@table@|@acopechtli@
@tadpole@|@atepocatl@
@take (to)@|@ana, itqui@
@take off (to)@|@cocui@
@take something (to)@|@huica@
@tale@|@zazanilli@
@talk (to)@|@ihtoa, tlahtoa@
@talk with someone (to)@|@notza@
@talker@|@tlacatlahtoani@
@tall@|@cuauhtic@
@tamale@|@tamalli@
@tanga@|@maxtli@
@tasty@|@huelic@
@tea (beverage)@|@xihuatl@
@teach@|@machtia@
@teach (to)@|@nemachtia@
@teacher@|@nemachtiani, temachtiani@
@teachers@|@temachtianimeh@
@teeth@|@tlantin@
@tejocote@|@texocotl@
@tejocote jam@|@texocotzopellotl@
@tell (to)@|@ilhuia@
@tempe@|@canahuacantli@
@temple@|@teocalli, teopantli@
@temptation@|@teneyeyecoitiliztli@
@ten@|@matlactli@
@tender@|@celic@
@terrifying@|@temamauhtic, teocuitlamatemecatl@
@testicle@|@ahuacatl@
@testimony@|@tlacatlahtolli@
@thank you@|@tlazohcamati@
@Thank you@|@tlazohcamati@
@thanks@|@tlazohcamati@
@Thanks@|@tlazohcamati@
@that has branches@|@cuauhmayoh@
@that’s why@|@ic@
@the@|@in@
@the one that@|@in tiein@
@the one which@|@in tiein@
@the one who@|@in aquin@
@the smallest@|@xocoyotl, xocoyotzin@
@the youngest@|@xocoyotl, xocoyotzin@
@there@|@ompa@
@they@|@anehuan-, anehuantin@
@They@|@yehuan, yehuantin@
@they (very polite)@|@amehuan-, amehuantin@
@they say@|@quilmach@
@thick@|@tomahuac@
@thick-fleshed@|@nacatilahuac@
@thin@|@pitzahuac@
@thin stick@|@acazacatl@
@thins@|@pitzahuaque@
@thirsty@|@amiqui@
@thirteen@|@matlactli huan yei, matlacyei@
@thirty@|@cempoalomatlactli@
@this@|@inin@
@this is it@|@izcatqui@
@this way@|@yuhquin@
@thong@|@mecatl@
@though@|@yeceh@
@three@|@yei@
@three winds@|@yehecatl@
@throat@|@tozquitl@
@throw oneself (to)@|@momayahui@
@thursday@|@nauhilhuitl@
@tick@|@chayoyatl, mazatemitl@
@time@|@cahuitl@
@tired@|@ciciamicqui@
@to be called (to)@|@motenehua@
@to come closer@|@axitia@
@to complete (to)@|@tlaaxiltia@
@to get close@|@axitia@
@to laugh@|@huetzca@
@to me@|@nech-@
@to someone’s home@|@ichantzinco@
@to us@|@tech-@
@to you@|@mitz-@
@toad@|@tamazolin, tamazolli (bufo vulgaris)@
@tobacco@|@yetl@
@today@|@ilhuitl@
@toe@|@xopilli@
@toesday@|@omeilhuitl@
@Toltec@|@toltecatl@
@tomato@|@tomatl@
@tomorrow@|@moztla@
@tongue@|@nenepilli@
@too@|@nohuican, noihuan, noyuhqui@
@tooth@|@tlantli@
@torch for singing@|@cuicatlahuilli@
@tortilla (Mexican bread)@|@tlaxcalli@
@tortoise@|@ayotl@
@touch (to)@|@aaci@
@tough@|@chicahuac@
@town@|@altepetl@
@toy@|@ahahuilli, ahuitzonxoloni, xolotl@
@track (path)@|@ohpitzactli@
@tradition@|@huehuetlahtolli@
@trail@|@ohtli@
@tranquil person@|@matcatlacatl@
@transform oneself (to)@|@mocuepa@
@travel ration@|@itacatl@
@tree@|@cuahuitl@
@tree ant@|@cuauhazcatl@
@tree cotton@|@cuauhichcatl@
@tremble (to)@|@papatlaca@
@trench@|@acopinalli@
@tribe@|@calpolli@
@triumph (to)@|@nicpehua, teaaci@
@tropical forest@|@ahuacuauhtlan@
@trot@|@aactiliztli@
@trot (to)@|@aactia@
@troublemaker@|@acomanani@
@trout@|@atoyamichin, xohuilin, xohuilli@
@Turkey@|@Turquitlan@
@turkey hen@|@cihuatotolin@
@turkey meat@|@totolnacatl@
@Turkish@|@turquiatl, turquitecatl@
@Turkish language@|@tuquitlahtolli, turquiatl@
@turn into (to)@|@mochihua, mocuepa@
@turquoise (colour)@|@xiuhtic@
@turquoise serpent mask@|@xiuhcoaxayacatl@
@turtle@|@ayotl@
@tutor@|@temachtiani@
@twelve@|@matlacome, matlactli huan ome@
@twenty@|@cempoalli, cempohualli@
@twisted@|@ilacatziuhqui@
@two@|@ome@
@ugly@|@amocualneci@
@ugly mirror@|@tlaeltezcatl@
@UK@|@(Tlahtocayotl in Cepanca), Inglatlalpan@
@uncle@|@tlahtli@
@uncultured@|@acuayollo@
@underpants@|@maxtli@
@understand (to)@|@acicamati, yeccaqui@
@understood@|@acicamatilli@
@underwear for man@|@maxtlatl, maxtli@
@undeveloped@|@tzotzocatic@
@uneducated@|@acuayollo@
@United Kingdom@|@(Tlahtocayotl in Cepanca), Inglatlalpan@
@universe@|@cemanahuac, cemanahuatl@
@university@|@telpochcalli@
@unstick (to)@|@cocui@
@up@|@aco@
@up (to)@|@acohui@
@up-bringing@|@izcatiloni@
@uproar@|@acomanaliztli@
@Uranus@|@Tetzcantzontli@
@urinate by fear (to)@|@aaxixa@
@urine@|@axiliztli@
@us@|@ti-@
@Utah (state)@|@Yutan@
@Utan@|@yutatl@
@Ute@|@yutatl@
@valley@|@ixtlahuac, tepetzalan@
@vat@|@acomitl@
@vegetable pear@|@chayotli (Sechium edule)@
@veined marble@|@achalchihuitl@
@venison@|@mazanacatl@
@Venus@|@Tonquitl, Tonquitli@
@vermilion@|@tlatlauhtic@
@vermillion flycatcher@|@tlapaltototl@
@very@|@cenca@
@very early@|@oc yohuatzinco@
@very poor person@|@icnotlacatzintli@
@very well@|@cenca cualli@
@vessel@|@acalli@
@video@|@videotl@
@vigil song@|@tozozcuicatl@
@vigilant ship@|@acalpixqui@
@violet (colour)@|@poxtic@
@violin@|@violin, violli@
@volcano@|@tletepetl@
@vulgarity@|@acualtlahtolli@
@waist@|@topitzahuayan@
@wait (to)@|@chia@
@wake@|@acochiliztli@
@walk (to)@|@nenemi@
@want (to)@|@nequi@
@war@|@yaoyotl@
@warlock@|@nahualli@
@warrior@|@teyaochihuani, teyaotlani@
@was@|@catca@
@wash (to)@|@paca, papaca@
@wash one’s hands (to)@|@momatequia@
@wash one’s mouth (to)@|@camapaca@
@wasp@|@etzatl (vespa vulgaris)@
@waste@|@tlazolli@
@water@|@atl@
@water fly@|@axayacatl@
@water gen@|@acitotolin@
@water quail@|@azolin@
@water snake@|@acoatl@
@water squirrel@|@ahuitzotl@
@watermelon@|@hueleyatl@
@wave@|@acueyotl@
@way@|@ohtli@
@we@|@tech-, tehuan-, tehuantin@
@we have arrived@|@otiacicoh@
@we need@|@totech monequi@
@wednesday@|@yeilhuitl@
@weed@|@acahuatl@
@week@|@cemanilhuitl@
@weekend@|@huehca cemanilhuitl@
@weep (to)@|@choca, choquilia@
@well@|@cualli, huel@
@were@|@catca@
@wet@|@paltic@
@whale@|@hueymichin@
@wharf@|@acalco@
@what@|@tlein@
@what kind@|@quenamicatzintli@
@what sort@|@quenamicatzintli@
@when@|@ihcuac@
@When@|@itquin@
@where@|@campa, canin, in canin@
@while@|@ihcuac, in oquic@
@whiskers@|@tentli@
@white@|@iztac, iztatic@
@white (clean)@|@chipahuac@
@white fir@|@acxoyatl (pinus lambertiana)@
@white wine@|@iztaoctli@
@whiten (to)@|@iztalia@
@who@|@aquin@
@whos@|@aquique@
@Why@|@tleica@
@Why not?@|@¿tle inic amo?@
@Why?@|@¿tle ipampa?, ¿tleca?@
@wickedness@|@acuallotl@
@wife@|@namictli, zohuatl@
@wild beast@|@tecuani@
@wild beast flesh@|@tecuannacatl@
@wild boar@|@coyametl, cuapitzotl (pecari tajacum)@
@wild grass@|@acacahuaztli@
@wild turkey@|@palachtli@
@will@|@tlanequiliztli@
@willpower@|@tlanequiliztli@
@win (to)@|@nicpehua@
@wind@|@ehecatl@
@window@|@tlachialoyan, tlanexillotl@
@windsurf table@|@acalpantli@
@windy place@|@ehecatlan@
@wine@|@octli@
@wineyard@|@xocomecamilli, xocomecamilpan@
@winter@|@tlaceceyan@
@wisdom@|@tlamatini@
@wise one@|@toltecatl@
@wise person@|@tlamatini@
@wish (to)@|@eiehuia@
@witch@|@cihuanahualli@
@with@|@ica@
@with me@|@nohuan@
@wives@|@zohuah@
@wizard@|@nahualli@
@wolf@|@cuetlachtli, nexcoyotl (canis lupus)@
@woman@|@cihuatl@
@women@|@cihuah@
@women’s song@|@cihuacuicatl@
@wonderful@|@teotl@
@wonderfully@|@hueitlamahuizoltica@
@wood@|@cuahuitl@
@wood (forest)@|@cuauhtlan@
@woodlouse@|@nochiztli (caccus cacti)@
@woodsman@|@cuauhtlacatl@
@word@|@tlahtolli@
@words of wizardry@|@tlacatecolotlahtolli@
@work (to)@|@tequipanoa@
@work of the devil@|@tlacatecoloyotl@
@world@|@cemanahuatl, cemtlalticpac@
@worm@|@ocuilin, ocuilli@
@worry (to)@|@tequipachoa@
@wrist band@|@matemecatl@
@write (to)@|@ihcuiloa@
@wrong@|@acualli, amo cualli@
@xylophone@|@cuicacuauhhuehuetl@
@year@|@xihuitl, xihuitl@
@yellow@|@coztic@
@yellow spoom@|@atoyaxocotl (spondias mombin)@
@yes@|@quemah@
@yesterday@|@yalhua@
@yet@|@oc@
@yogurt@|@xocochichihualayotl, xocoqui@
@yolk@|@atecoztic@
@yonger brother@|@teicauhtli@
@you@|@mitz-, teh-, tehuatl@
@you (prefix)@|@ti-@
@you (very polite)@|@ameh-, amehuan@
@young man@|@telpocatl, telpochtli@
@young men@|@telpopochtin@
@young turkey@|@alatl (gallopavus dosmesticus@
@young woman@|@ichpocatontli, ichpochtli@
@young women@|@ichpopochtin@
@younger sister@|@cihuatemini@
@zapote (Mexican fruit)@|@tzapotl@
@zebra@|@ocelocahuayotl@
@zero@|@amopohualli, xictli@
@zucchini@|@ayoconetl@

