@English@|@Maltese@
@Shoulder@|@Spalla@
@shovel@|@Impala@
@Shovel@|@Pala@
@show@|@Wera@
@Showelaces@|@Lazz@
@Shred@|@Tertuqa@
@shrink@|@ċekken@
@shroud@|@Keffen@
@Shroud@|@Tkeffina@
@Shrouding (v.n)@|@Tkeffin@
@shut@|@Għalaq@
@shutter@|@Temtem@
@Sicilian@|@Sqalli@
@Sick@|@Marid@
@Sickness@|@Mard@
@Side@|@Ġenb@
@Siesing@|@Qbad@
@sigh@|@Tniehed@
@Sigh@|@Tnehida@
@Sighing@|@Tnehid@
@sign@|@Iffirma@
@Signing@|@Iffirmar@
@Silent@|@Sieket@
@Silly@|@Baħnan@
@Sillyness@|@Bluha@
@Silt@|@Ħama@
@silver@|@fidda@
@Silversmith@|@Arġentier@
@Silverware@|@Fidda@
@Sin@|@Dnub@
@Since@|@Billi, La darba@
@Sincere@|@Sinċier@
@Sincerely@|@Sinċerament@
@sing@|@Kanta@
@sing verses@|@Ivversja@
@Singer@|@Kantant@
@Single/Bachelor@|@Għażeb@
@Singlng@|@Għana@
@sink@|@Għereq@
@Sinner@|@Midneb@
@sister@|@oħt@
@Sister-in-law@|@Ħtint@
@sit@|@poġġa@
@Sitting (adv)@|@Bil-qiegħda@
@Six@|@Sitta@
@Sixteen@|@Sittax@
@Sixth@|@Is-sitt@
@Sixty@|@Sittin@
@skid@|@Skiddja@
@Skidding@|@Skiddjar@
@skin@|@ġilda, Selaħ@
@Skin@|@Ġild@
@Skirt@|@Dublett@
@Skull@|@Iskutella tar-ras, Kranju@
@Sky@|@Sema@
@Slaughter@|@Qatla@
@Slave@|@Lsir, Seftur, Skjav@
@Slavery@|@Skjavitu@
@sleep@|@Raqad@
@Sleeping@|@Rieqed, Rqad@
@Sleeve@|@Komma@
@Slice@|@Felli@
@slip@|@Żelaq@
@Slipper@|@Karkur@
@Slope@|@Niżla@
@Slowly@|@Bilmod, Qajla@
@Slumber@|@Raqda@
@Small@|@Żgħir@
@Small Ball@|@Likk@
@Small oven@|@Forna@
@Small pickaxe@|@Fiesa@
@Small pocket@|@Buta@
@Small Stone@|@Żrara@
@Smaller@|@Iċken, Iżgħar@
@smash@|@Kisser@
@Smash@|@Tkissira@
@Smashing@|@Tiksir, Tiksira@
@Smashing (v.n.)@|@Tkissir@
@smear@|@Dilek@
@smear oneself@|@Dellek@
@smell@|@xamm@
@smelt@|@Xamm@
@smoke@|@Pejjep@
@Smoke@|@Duħħan@
@Snake@|@Serp@
@snatch@|@Ħataf@
@snow@|@borra@
@Snow@|@Silġ@
@So@|@Hekk@
@So long@|@Ċaw@
@So much@|@Tant@
@soap@|@Issapna@
@Soap@|@Sapun@
@sock@|@kalzetta@
@Sock@|@Ġiża@
@Soft@|@Artab, Ratba@
@Softening@|@Tirtib@
@Softness@|@Rtuba@
@Sold@|@Mibugħ@
@Soldier@|@Suldat@
@Solid@|@Samm@
@solve@|@Solva@
@Some@|@Xi@
@Some time before@|@Ftit qabel@
@Someone@|@Xi ħadd@
@Someone else@|@Ħaddieħor@
@Sometimes@|@Xidrabi@
@Son@|@Bin@
@song@|@kanzunetta@
@Soon@|@Delwaqt@
@Sorry@|@Skużani@
@Soul@|@Ruħ@
@sound@|@Daqq@
@Sound@|@Ħoss@
@Soup@|@Soppa@
@Sour@|@Qares@
@Souvenir@|@Tifkira@
@sow@|@Żara'@
@Sown Field@|@Mizirgħa@
@Spade@|@Mgħażqa@
@Span@|@Xiber@
@Spanish@|@Spanjol@
@speak@|@kellem, Tkellem@
@Speaking (v.n.)@|@Għajdut@
@spend@|@Nefaq@
@Spendthrift@|@Ħali@
@spill@|@ċarċar@
@Spindle@|@Marden@
@Spirit@|@Spiritu@
@spit@|@Beżaq@
@spite@|@Skappriċċa@
@split@|@qasam@
@Spool@|@Mserka@
@Spoon@|@Mgħarfa@
@Sport@|@Sport@
@spread@|@Firex@
@sprinkle@|@Bexx@
@spur on@|@Spruna@
@sqeeze@|@Għasar@
@Square@|@Pjazza@
@squeeze@|@għasar@
@stab@|@mewwes@
@Stack of hay@|@Munżell@
@Staff@|@Ħatar@
@Staircase@|@Torġien@
@Stallion@|@Faħal@
@Stammering@|@Temtumi@
@Stamp@|@Bolla@
@stand@|@qagħad@
@standardize@|@Standardizza@
@Standing@|@Wieqef@
@Standing (adv)@|@Bil-wieqfa@
@star@|@stilla@
@Star@|@Kewkba@
@starch@|@Illamta@
@Starch@|@Lamtu@
@start@|@Beda, Startja@
@start + verb@|@Qabad + verb@
@Started@|@Mibdi, Startjat@
@stay@|@Qagħad@
@steel@|@azzar@
@Steel@|@Ażżil@
@Steeple@|@Kampnar@
@Step@|@Taraġ@
@stick@|@lasta@
@Stick@|@Għasluġ@
@still@|@Għad@
@stimulate@|@Ħeġġeġ@
@Stimulating@|@Tħeġġeġ@
@Stimulation@|@Tħeġġeġa@
@stink@|@Niten@
@stitch@|@Pannet@
@stock@|@Stokkja@
@Stomach upset@|@Dardir@
@stone@|@ġebla@
@Stone@|@Ħaġra@
@Stony@|@Muħġar@
@stop@|@Waqaf@
@stop s.o.@|@Waqqaf@
@store@|@ħażen, Iċċasa, Storja@
@Store@|@Ħanut@
@storm@|@Lanġas@
@Story@|@Fatt@
@Stout@|@Oħxon, Ħoxna@
@Stouter@|@Eħxen@
@stove@|@kuker@
@Strange@|@Stramb@
@Strangeness@|@Stramberija@
@Stranger@|@Barrani@
@strangle@|@Ħanaq@
@Strawberry@|@Frawla@
@Street@|@Triq@
@strengthen@|@Issoda@
@strike@|@Ħabat, Laqat, Sawwat@
@Strike@|@Strajk@
@strike lightning@|@Berraq@
@String@|@Spaga@
@string together@|@Damm@
@Stroll@|@Passiġġata@
@Strong@|@Qawi@
@Stronger@|@Aqwa@
@student@|@student@
@Study@|@Studju@
@Sturdy@|@Musħaħ@
@subjugate@|@Taħħat@
@succeed@|@Irnexxa@
@suck@|@rada’@
@suffer@|@Bata, Sofra@
@Sugar@|@Zokkor@
@Summer@|@Sajf@
@Sun@|@Xemx@
@Sunny@|@Xemxi@
@Superficially@|@Fuq Fuq@
@Superfluous@|@Żejjed@
@support@|@Appoġġa@
@Supposed@|@Suppost@
@Sure@|@Żgur@
@surrender@|@ċieda@
@sustain@|@Sostna@
@Swaddling Cloth@|@Ħarqa@
@swallow@|@Bala'@
@Swallowing@|@Bligħ@
@swear@|@Ħalef@
@Swear word@|@Dagħwa@
@sweep@|@Kines@
@Sweet@|@Ħelu@
@Sweeter@|@Oħla@
@swell@|@ntefaħ@
@swim@|@Għam@
@swing@|@Bandal, Xengel@
@Swing@|@Tbandila@
@Swinging@|@Tbandil@
@switch8off@|@tefa@
@switch8on@|@xegħel@
@swoon@|@Għoxa@
@Sword@|@Sejf, Xabla@
@Table@|@Mejda@
@Tail@|@Denb@
@Tailor@|@Ħajjat@
@take@|@ħa@
@take alot of time@|@Dam@
@take off@|@Tefa@
@take place@|@Sar@
@take s.o.'s virginity@|@Żverġna@
@take shelter@|@Stkenn@
@take umbrage@|@Tfantas@
@Taken@|@Meħud@
@Taking (v.n.)@|@Uħid@
@talk@|@kellem@
@Tall@|@Twil@
@tame@|@Feddel, Immansa@
@Tame@|@Mans@
@Tank@|@Tank@
@Tap@|@Vit@
@taste@|@Daq, Dieq, Tiegħem@
@Tasted@|@Midjuq@
@tax@|@Intaxxa@
@teach@|@għallem@
@teacher@|@għalliem@
@Teaching@|@Tagħlim@
@Tear@|@Demgħa@
@tear pieces@|@żbrana@
@Television@|@Televixin@
@Temple@|@Ngħas@
@Ten@|@Għaxra@
@Tender@|@Tari@
@Tenth@|@L-għaxar@
@Terror@|@Twerwir, -a@
@Than@|@Milli@
@thank you@|@Tajjeb ħafna, grazzi@
@Thank you@|@Grazzi@
@Thank you very much@|@Grazzi ħafna@
@That@|@Dak (Daka), Li, Illi@
@That (f)@|@Dik (Dika)@
@The@|@Il@
@The day after tomorrow@|@Pitgħada@
@The day before yesterday@|@Ilbieraħtlula@
@Then@|@Mbagħad@
@Ther is@|@Fi + p.s.@
@There@|@L hemm@
@There is@|@Hemm hu/hi@
@These@|@Dawn (Dawna)@
@They@|@Huma, Huma (neg: M'humiex)@
@Thief@|@Ħalliel@
@Thigh@|@Koxxa@
@Thin@|@Rqiq@
@thin s.o.@|@Raqqaq@
@Thing@|@Ħaġa@
@think@|@Ħaseb@
@Thinking@|@ħsieb@
@Thinner@|@Irqaq@
@Third@|@It-tielet@
@Third (1/3)@|@Terz@
@Thirst@|@Għatx@
@Thirstily@|@Bil-għatx@
@Thirsty@|@Għatxan@
@Thirteen@|@Tlettax@
@Thirty@|@Tletin@
@This@|@Dan (Dana)@
@This f@|@Din (Dina)@
@This month@|@Dax-xahar@
@This morning@|@Dalgħodu@
@This week@|@Dil-ġimgħa@
@This year@|@Das-sena@
@Those@|@Dawk (Dawka)@
@Thought@|@Ħsieb, ħsieba@
@Thousand@|@Elf@
@Thread@|@Ħajt@
@Threat@|@Tehdida@
@threaten@|@Hedded@
@Threatening@|@Tehdid@
@Three@|@Tlieta@
@Threshhold@|@Għatba@
@Thrice@|@Tliet darbiet@
@Throat@|@Ġerżuma@
@throw@|@Tefa', waddab, Xeħet@
@Throw@|@Tefgħa@
@throw away@|@Rema@
@throw oneself@|@Xtieħet@
@Throwing (v.n.)@|@Tfigħ@
@Throwing away@|@Rimi@
@Thrown@|@Mitfugħ, Mormi@
@thunder@|@Riegħed@
@Thunder@|@Ragħad@
@tie@|@qafel, Rabat@
@Tiger@|@Tigra@
@Time@|@Ħin, Żmien@
@Timid@|@Mistħi@
@Today@|@Illum@
@Together@|@Flimkien@
@Tomb@|@Qabar@
@Tomorrow@|@Għada@
@tongue@|@lsien@
@Tongue@|@Ilsien@
@Tonite@|@Illejla@
@Tonsil@|@Tonsil@
@Too much@|@Wisq@
@Tooth@|@Sinna@
@Torn@|@Imqattagħ@
@touch@|@Mess@
@Touched@|@Mimsus@
@Toward@|@Lejn@
@Toward the ground@|@Lejn l-art@
@Toward the left@|@Lejn ix-xellug@
@Toward the right@|@Lejn il-lemin@
@Toward the sea@|@Lejn il-baħar@
@Towel@|@Xugaman@
@Trade@|@Sengħa@
@Tragedy@|@Traġedja@
@train@|@ferrovija@
@Trappist@|@Trappista@
@travel@|@Ivvjaġġa, vvjaġġa@
@Traveling@|@Vjaġġar@
@Treachery@|@Qerq@
@Treasure@|@Teżor@
@Treasurer@|@Tezorier@
@treat@|@Ittratta@
@Treatment@|@Trattament@
@Tree@|@Siġra@
@tremble@|@Triegħed@
@Tremble@|@Tregħida@
@Trembling@|@Tregħid@
@Trifle@|@Fettuqa@
@triple@|@Ittrippla@
@Trouble@|@Taħbita@
@trouble s.o.@|@ħabbat@
@Troubling (v.n.)@|@Taħbit@
@Trough@|@Ħawt@
@Truly@|@Tabilħaqq, Verament@
@Truss@|@Qatta@
@trust@|@Fada@
@Turkey@|@Dundjan@
@turn@|@Dar@
@turn over@|@Sfratti@
@turn sour@|@Qras@
@Turning@|@Dawran@
@Turtle@|@Fekruna@
@TV@|@Televizjoni@
@Twelve@|@Tnax@
@Twenty@|@Għoxrin@
@Twentyone@|@Wieħed u għoxrin@
@Twice@|@Darbtejn@
@twine@|@Xeblek@
@Twine@|@Xeblika@
@Twining (v.n)@|@Xeblik@
@twist@|@Baram@
@Two@|@Tnejn, Żewġ@
@Two by two@|@Tnejn tnejn@
@type@|@Ittajpja@
@Typing@|@Ittajpjar@
@Ugliness@|@Kruħa@
@Ugly@|@Ikrah, Kerha@
@Uglyness@|@Kruhija@
@Ulcer@|@Dabra@
@unbalance@|@żbilanċja@
@Uncle@|@Ziju@
@Unconsciously@|@Inkonxjament@
@uncover@|@Kixef@
@Undecided@|@Indeċiż@
@Under@|@Taħt@
@Under medical attention@|@Taħt il-kura tat-tabib@
@Underage@|@Taħt l-eta@
@understand@|@Fehem@
@undress@|@Naża'@
@Unfortunately@|@Sfortunament@
@Unfounded@|@Infondat@
@unhook@|@Żganċa@
@university@|@università@
@Unless@|@Għejr jekk@
@unscrew@|@Żvita@
@unstitch@|@Fetaq@
@Until@|@Sa, Sakemm@
@Until where?@|@Safejn?@
@unveil@|@Kixef@
@Unwillingly@|@Fuq il-qalb@
@Upbringing@|@Trobbija@
@Uphill@|@Telgħa@
@Upright@|@Rett@
@upset stomach@|@Dardar@
@Upset stomach@|@Dardira@
@Upwards@|@Fuq, il fuq@
@use@|@Uża@
@Vacation@|@Btala@
@Valley@|@Wied@
@Value@|@Siwi@
@Variety@|@Varjeta@
@Various@|@Varju@
@Vase@|@Vażun@
@Veil@|@Velu@
@Vein@|@Vina@
@Venerated@|@Meqjum@
@Verse@|@Vers@
@Versifying@|@Taqbil@
@very@|@Varja@
@Very@|@Ħafna@
@Very well@|@Tajjeb ħafna, grazzi@
@vex@|@Kedd@
@Victorious@|@Rebbieħi@
@Victory@|@Rebħ, Rebħa@
@Village@|@Raħal@
@Vinegar@|@Ħall@
@Violent@|@Vjola@
@Violet@|@Vjola@
@Virgin@|@Verġni@
@Vision@|@Dehra@
@visit@|@Nvista, żar@
@Visit@|@Żjara@
@Vocational@|@Vokazzjonali@
@Voice@|@Leħen, Vuċi@
@Volcano@|@Vulkan@
@vomit@|@qala’@
@Vote@|@Vot@
@Vow@|@Wegħda@
@Vulgar@|@Pastaż@
@Wager@|@Mħatra@
@wail@|@Xeher@
@Waist@|@Qadd@
@Waistcoat@|@Sidrija@
@wait@|@Stenna@
@walk@|@Mexa@
@Walk@|@Mawra@
@walk a long way@|@Terraq@
@walk up and down@|@Ippassiġġa@
@Walking@|@Mixi@
@Walking (p.p)@|@Miexi@
@Wall@|@Ħajt@
@wallow@|@Tmiegħek@
@Wallowing@|@Tmegħika@
@Wallowing (v.n.)@|@Tmegħik@
@want@|@Ried@
@War@|@Gwerra@
@wash@|@Ħasel@
@waste@|@ħela@
@Waste@|@Ħala@
@Wasted@|@Moħli@
@watch@|@ra@
@Watch maker@|@Arluġġier@
@Watching@|@Ħarsien@
@Water@|@Ilma@
@Water cooler@|@Barrada@
@water s.th.@|@Saqqa@
@Water well@|@Bir@
@Watering@|@Tisqija@
@Waterwheel@|@Sienja@
@wave@|@Xejjer@
@We@|@Aħna (neg: Maħniex)@
@Weather@|@It-temp@
@weave@|@Niseġ@
@Weaver@|@Nissieġ@
@wedge@|@Felles@
@Week@|@Ġimgħa@
@weep@|@Tines@
@weigh@|@Wiżen@
@welcome@|@Laqa'@
@Well behaved@|@Bravu@
@wet@|@Bell@
@Wet@|@Niedi@
@Wet-nurse@|@Mreddgħa@
@What@|@Xi, Xi?@
@Whatever@|@Kullma@
@Wheel@|@Raddiena@
@When@|@La, Meta@
@Whence@|@Mnejn@
@Whenever@|@Kull meta@
@Where@|@Fejn@
@Where are you from?@|@Minn fejn int?@
@Whereto@|@Għalfejn@
@Wherever@|@Kullfejn@
@Which@|@Li, Illi, Liema@
@Whim@|@Kapriċċ@
@whir@|@Barbar@
@Whistle@|@Suffara@
@White@|@Abjad, Bajda@
@White of eye@|@L-abjad tal-għajn@
@Whiteness@|@Bjuda@
@whitewash@|@Bajjad@
@Whitewasher@|@Bajjad@
@Whitness@|@Xiehed@
@Who@|@Li, Illi, Min, Min?@
@Whoever@|@Kullmin@
@Whose (relative)@|@Li + noun + ta' + p.s.@
@Why@|@Għala?, Għaliex@
@Wide@|@Wiesa'@
@Wider@|@Usa'@
@Widow/-er@|@Armel@
@Widsom tooth@|@Nejba@
@wife@|@mara@
@Wild Duck@|@Borka@
@Will@|@Sa, Ħa@
@win@|@Rebaħ@
@Win@|@Rebħa@
@wind@|@Fiera@
@Wind@|@Riħ@
@window@|@tieqa@
@wine@|@nbid@
@Wing@|@Ġewnaħ@
@Winning@|@Rebħ@
@Winnowing fork@|@Midra@
@Winter@|@Xitwa@
@wipe@|@mesaħ@
@Wisdom@|@Għerf@
@Wise@|@Għaref@
@Wiser@|@Egħref@
@Wish@|@Xewqa@
@With@|@Ma'@
@With what?@|@Biex?@
@with Which@|@Li ma' + p.s.@
@With which@|@Li bi + p.s.@
@wither@|@Dbiel@
@Withered@|@Midbiel@
@Without@|@Bla, Mingħajr@
@Without + verb@|@Bla ma…, Mingħajr ma…@
@Wolf@|@Lupu@
@Woman@|@Mara@
@wonder@|@kkuntempla@
@wood@|@injam@
@Wood@|@Għuda@
@Wooly@|@Muswaf@
@Word@|@Kelma@
@work@|@Ħadem@
@Work@|@Ħidm, Xogħol@
@work overtime@|@Sahal@
@Worker@|@Ħaddiem@
@World@|@Dinja@
@worm@|@dudu@
@Worse@|@Eħżen@
@Worth@|@Siwi@
@Worthy of@|@Ta' min + verb@
@Wound@|@Ġerħa@
@wrinkle@|@Kemmex@
@Wrinkle@|@Tikmixa@
@Wrinkling (v.n.)@|@Tikmix@
@write@|@Kiteb@
@Writer@|@Kittieb@
@Written@|@Kewba, Miktub@
@yawn@|@Ttewwab@
@Year@|@Sena@
@Yellow@|@Isfar, Safra@
@Yellowish@|@Musfar, Safrani@
@Yes@|@Iva@
@Yesterday@|@Ilbieraħ@
@Yet@|@Għad@
@You@|@Inti (neg: Mintiex)@
@You (pl)@|@Intom (neg: Mintomx)@
@Young@|@Żagħżugħ@
@Young man@|@Sabi@
@You're welcome@|@M'hemmx imn'hiex@
@Zeal@|@Żelu@
@Zigzag@|@Tisripa@
@Zigzagging (v.n.)@|@Tisrip@

