@English@|@Turkish@
@inflate@|@şişirmek enflasyon@
@inform@|@haber vermek@
@infringe@|@bozma ihlal@
@inhabit@|@oturmak ikamet etmek@
@inhale@|@içine çekmek@
@inherent@|@doğuştan doğal@
@inherit@|@miras almak@
@injustice@|@adaletsizlik@
@inkling@|@ima seziş@
@inmate@|@oturan@
@inner@|@iç@
@innkeeper@|@otelci hancı@
@innumerable@|@sayısız@
@inquire@|@soruşturmak@
@insane@|@deli@
@insect@|@böcek@
@insecure@|@emniyetsiz@
@insolent@|@küstah terbiyesiz@
@inspect@|@teftiş muayene@
@inspire@|@ilham esin@
@instance@|@misal örnek@
@instant@|@hemen olan@
@intense@|@keskin şiddetli@
@intercept@|@yolunu kesmek@
@interdict@|@yasaklamak@
@interior@|@içerde@
@interpose@|@arasına koymak@
@interrogate@|@sorguya çekmek@
@intersect@|@ikiye bölmek kesişmek@
@interurban@|@şehirlerarası@
@interval@|@fasıla süre@
@intrude@|@zorla sok(ul)mak@
@intuition@|@sezgi içine doğma@
@invade@|@saldırmak istila@
@invest@|@yatırmak yatırım@
@invincible@|@yenilmez@
@irrelevant@|@konu dışı@
@irrigate@|@sulamak@
@ivy@|@sarmaşık@
@jack@|@kriko bacak vale@
@jar@|@kavanoz@
@jealous@|@kıskanç@
@jeer@|@alay yuha@
@jeopardize@|@tehlikeye koymak@
@jew@|@yahudi@
@jog@|@sarsmak yavaş gezinti@
@jolly@|@neşeli@
@joy@|@sevinç neşe@
@jug@|@testi çömlek@
@juvenile@|@gençlik@
@keen@|@keskin şiddetli düşgün olmak@
@keepsake@|@hatıra@
@kidney@|@böbrek@
@kin@|@akraba@
@kindle@|@tutuş(tur)mak yakmak@
@kindness@|@şefkat nezaket@
@kindred@|@akrabalık@
@kite@|@uçurtma@
@kitten@|@yavru kedi@
@knack@|@hüner ustalık@
@knob@|@topuz tokmak@
@labo(u)r@|@iş çalışma emek zahmet@
@lace@|@bağ şerit dantel@
@lack@|@noksan eksiklik@
@lackey@|@uşak dalkavuk@
@ladder@|@merdiven@
@lame@|@topal(lamak)@
@lance@|@mızrak deşmek yarmak@
@landscape@|@manzara@
@languish@|@gevşemek zayıf düşmek@
@lap@|@dizüstü kucak etek@
@lard@|@domuz yağı@
@lascivious@|@şehvetli@
@lash@|@kamçı kirpik@
@lassitude@|@yorgunluk@
@last@|@son devam etmek@
@latch@|@mandal sürgü@
@late@|@geç ölü rahmetli@
@lather@|@sabun köpüğü@
@latter@|@son,sonraki@
@lattice@|@kafes@
@laudable@|@övgüyedeğer@
@lavish@|@müsrif@
@lawn@|@çimen@
@lay@|@durum koymak yatırmak@
@layout@|@düzen tertip@
@lazy@|@tembel@
@lead@|@kılavuz öncü, kurşun@
@lead astray@|@baştan çıkarmak@
@leak@|@delik akıntı@
@lean@|@daya(n)mak, zayıf@
@leap@|@atlama sıçrama@
@lease@|@kira(lamak)@
@leather@|@kösele meşin deri@
@ledge@|@çıkıntı kaya tabakası@
@leek@|@pırasa@
@leer at@|@kötü niyetle bakmak@
@legacy@|@miras@
@legible@|@okunaklı@
@leisure@|@boş vakit@
@lest@|@olmasın diye, belki@
@let alone@|@şöyle dursun!@
@lettuce@|@salata@
@lewd@|@şehvet düşkünü@
@liability@|@sorumluluk@
@lick@|@yalamak dayak atmak@
@likelihood@|@ihtimal@
@lily@|@zambak@
@linen@|@keten iççamaşırı@
@lining@|@astar@
@literal@|@sözlü, edebiyat@
@livelihood@|@geçim@
@liver@|@karaciğer@
@loaf@|@ekmek vakit geçirmek@
@loath@|@isteksiz@
@loathe@|@iğrenç@
@lobe@|@kulakmemesi@
@lobster@|@istakoz@
@locust@|@çekirge@
@lodge@|@kulübe,loca yerleştirmek barı@
@log@|@kütük@
@loiter@|@gezmek dolaşmak@
@long for@|@can atmak çok istemek@
@long run@|@eninde sonunda@
@longing@|@özlem arzu@
@loop@|@ilmek düğüm@
@loose@|@gevşek başıboş@
@loot@|@ganimet yağma@
@lorry@|@üstü açık yük arabası@
@lot@|@hisse pay talih çok miktar@
@lounge@|@dinlenme salonu@
@lout@|@kaba adam@
@low@|@böğürmek alçak@
@loyal@|@sadık@
@lubricate@|@yağlamak@
@luck@|@talih kader şans@
@ludicrous@|@gülünç@
@lug@|@sürüklemek@
@lull@|@uyuşturmak@
@lump@|@topak yumru@
@lung@|@akciğer@
@lunge at@|@ileri atılmak@
@lure@|@cazibe tuzak@
@lust@|@şehvet hırs@
@mad@|@çılgın kuduz öfkeli@
@magnet@|@mıknatıs@
@magnificence@|@görkem ihtişam@
@magnify@|@büyütmek@
@maid@|@hizmetçi kız@
@main@|@esas başlıca@
@maintain@|@sürdürmek korumak@
@maize@|@mısır@
@make for@|@_in yolunu tutmak@
@make out@|@anlamak çözmek@
@make over@|@devretmek@
@malice@|@kötü niyet@
@malignant@|@kötü yürekli@
@malnutrion@|@kötü beslenme@
@mammal@|@memeli@
@mandate@|@vekillik manda@
@manifest@|@açıkça göstermek@
@manifold@|@türlü türlü, çoğaltmak@
@manipulate@|@hünerle kullanmak@
@manure@|@gübre@
@marble@|@mermer bilye@
@margin@|@kenar ara kazanç@
@maritime@|@denizciliğe ait@
@mark@|@işaret iz leke marka@
@martial@|@harbe ait@
@martyr@|@şehit@
@marvel@|@mucize hayret@
@masculine@|@erkeğe ait erkeksi@
@mash@|@ezme püre@
@mason@|@duvarcı@
@mass@|@yığın küme kilise ayini@
@massacre@|@katliam@
@mast@|@gemi direği@
@mat@|@hasır paspas@
@mate@|@eş arkadaş evlenmek@
@maternal@|@anaya ait@
@matron@|@amir kadın@
@mature@|@olgun erişkin reşit@
@mayor@|@belediye başkanı@
@maze@|@labirent@
@measles@|@kızamık@
@medieval@|@ortaçağa ait@
@meditate@|@düşünceye dalmak@
@mellow@|@olgun yumuşak@
@melt@|@eri(t)mek@
@member@|@üye organ uzuv@
@membrane@|@zar@
@menace@|@tehdit@
@mend@|@onarmak yamamak@
@menstruation@|@aybaşı@
@mention@|@anma zikretme@
@mercantile@|@ticari@
@mercenary@|@ücretli asker@
@merchandise@|@ticari eşya@
@merciful@|@merhametli@
@mere@|@sade saf@
@merely@|@sadece ancak@
@merge@|@birleştirmek@
@merit@|@değer fazilet@
@meticulous@|@çok titiz@
@migrate@|@göçmek@
@mild@|@hafif yumuşak@
@mill@|@değirmen öğütmek@
@minaret@|@minare@
@mince@|@kıyma@
@mindful@|@dikkatli@
@mine@|@maden mayın kazmak@
@mingle@|@karış(tır)mak@
@minister@|@bakan papaz@
@minstrel@|@halk ozanı@
@mint@|@darphane, nane@
@mirage@|@serap@
@mire@|@çamur pislik@
@mirth@|@neşe@
@mischief@|@yaramaz fesat@
@misdeed@|@kötülük@
@miser@|@cimri@
@miserable@|@sefalet@
@misfortune@|@talihsizlik@
@misgiving@|@şüphe@
@misguide@|@yanlış kılavuzluk@
@mishap@|@kaza aksilik@
@mislay@|@kaybetmek@
@misprint@|@baskı hatası@
@mispronounce@|@yanlış söylemek@
@miss@|@bayan, vuramamak@
@misspell@|@yanlış yazmak@
@mist@|@sis duman@
@misty@|@bulanık@
@moderate@|@ılımlı hafifletmek@
@modest@|@alçakgönüllü gösterişsiz@
@modification@|@değişiklik@
@moist@|@nem rutubet@
@mold@|@küf kalıp@
@mole@|@leke dalgakıran köstebek@
@molest@|@rahatsız etmek@
@mollify@|@yumuşatmak@
@moment@|@an@
@momentary@|@geçici@
@momentous@|@önemli@
@monogamy@|@tekeşlilik@
@monument@|@anıt abide@
@mood@|@mizaç ruhsal durum@
@mop@|@silme bezi paspas@
@morsel@|@lokma parça@
@moth@|@güve pervane@
@motto@|@özdeyiş@
@mourn@|@yas tutmak@
@mow@|@biçmek@
@muffle@|@sarmak (sesi)boğmak@
@mug@|@bardak@
@mumble@|@mırılda(n)mak@
@mummy@|@mumya@
@municipal@|@belediyeye ait@
@mushroom@|@mantar@
@mussel@|@midye@
@mustard@|@hardal@
@mute@|@sessiz dilsiz@
@mutineer@|@asi@
@mutter@|@mırıltı@
@mutual@|@karşılıklı ortak@
@nag@|@dırdır etmek@
@nail@|@tırnak çivi(lemek)@
@naive@|@saf bön@
@naked@|@çıplak@
@namely@|@yani şöyleki@
@nanny@|@dadı@
@nap@|@şekerleme kısa uyku@
@nape@|@ense@
@napkin@|@peçete kundak bezi@
@narrate@|@anlatmak hikaye@
@nasty@|@kötü pis fena@
@native@|@yerli doğuştan@
@native language@|@anadil@
@nature@|@doğa yaradılış@
@naughty@|@yaramaz haylaz@
@nausea@|@bulantı iğrenme@
@nautical@|@gemiciliğe ait@
@naval@|@şavaş gemileriyle ilgili@
@navel@|@göbek@
@navy@|@donanma@
@neat@|@temiz zarif@
@neck@|@boyun gerdan boğaz@
@needle@|@iğne ibre@
@negate@|@inkar etmek@
@neglect@|@ihmal etmek@
@negotiate@|@müzakere@
@negress@|@zenci kadın@
@negro@|@zenci@
@neigh@|@kişnemek@
@nephew@|@erkek yeğen@
@nerve@|@sinir cesaret@
@neutral@|@yansız tarafsız@
@nevertheless@|@bununla beraber yinede@
@nibble@|@kemirmek@
@niece@|@kız yeğen@
@nil@|@hiç sıfır@
@nimble@|@çevik tez@
@nip@|@ayaz çimdik azıcık içki@
@nipple@|@memebaşı@
@nobility@|@asalet soyluluk@
@nocturnal@|@geceye ait@
@nomad@|@göçebe@
@nominate@|@atamak@
@nosegay@|@çiçek demeti@
@nostril@|@burun deliği@
@notation@|@sembolle gösterim@
@nought@|@sıfır@
@novice@|@çırak@
@nozzle@|@ağızlık meme@
@nudge@|@dürtme@
@nuisance@|@sıkıcı@
@numb@|@uyuşuk duygusuz@
@numerous@|@pekçok@
@nun@|@rahibe@
@nuptial@|@düğün nikah@
@nurse@|@hemşire dadı emzirmek@
@nursery@|@çocuk odası fidanlık@
@nut@|@fındık ceviz vida@
@nutriment@|@gıda@
@oar@|@kürek@
@oasis@|@vaha@
@oath@|@yemin küfür@
@obedience@|@itaat@
@obituary@|@ölüm ilanı@
@oblige@|@zorunlu minnettar@
@oblique@|@eğri meyilli@
@obliterate@|@silmek yok etmek@
@oblivious@|@unutkan@
@oblong@|@dikdörtgen@
@obscure@|@çapraşık karanlık@
@obsess@|@musallat olmak@
@obsolete@|@eskimiş@
@obstacle@|@engel@
@obstinate@|@inatçı dikkafalı@
@obstruct@|@tıkamak engel olmak@
@obtain@|@bulmak ele geçirmek@
@obvious@|@belli açık@
@occasion@|@fırsat vesile sebep@
@occupation@|@işgal meslek iş@
@ocular@|@göze ait@
@odd@|@tuhaf acaip tek seyrek fark@
@offence@|@suç kabahat hakaret@
@offensive@|@saldırı çirkin@
@officious@|@işgüzar@
@offset@|@denkleştirmek@
@offspring@|@döl ürün@
@olive@|@zeytin@
@omit@|@atlamak ihmal etmek@
@on credit@|@veresiye@
@on edge@|@sinirli@
@onion@|@soğan@
@opponent@|@rakip karşıt@
@oppose@|@direnmek engel olmak@
@oppress@|@sıkıştırmak zulmetmek@
@order@|@düzen dizi sipariş sınıf@
@orient@|@doğuya ait@
@orphan@|@yetim@
@out of place@|@yersiz@
@outcome@|@sonuç@
@outlet@|@çıkış yeri delik@
@outline@|@taslak@
@output@|@verim@
@overcast@|@bulutlu@
@overcharge@|@aşırı yükleme@
@overcome@|@yenmek@
@overdo@|@abartmak@
@overdraw@|@fazla para çekmek@
@overdue@|@vadesi geçmiş@
@overestimate@|@fazla tahmin etmek@
@overflow@|@taşma baskın@
@overrate@|@fazla önem vermek@
@oversee@|@yönetmek@
@oversight@|@kusur@
@oversize@|@fazla büyük@
@overturn@|@devirmek@
@owe@|@borçlu olmak@
@pace@|@adım yürüyüş@
@pact@|@anlaşma sözleşme@
@padlock@|@asma kilit@
@pamper@|@şımartmak@
@parade@|@gösteri@
@paramount@|@üstün en önemli@
@pare@|@yontmak kabuğunu soymak@
@parish@|@cemaat@
@parlour@|@oturma odası@
@parrot@|@papağan@
@parsley@|@maydonoz@
@partial@|@eksik taraflı@
@participant@|@katılan paylaşan@
@particular@|@belirli özel titiz ayrıntı@
@partition@|@taksim bölme@
@partly@|@kısmen@
@pass@|@boğaz geçit aşmak@
@passion@|@ihtiras tutku aşk@
@pastry@|@hamurişi@
@pasture@|@otlak çayır@
@pat@|@elle vurmak@
@patch@|@yama arazi parçası@
@path@|@keçiyolu patika@
@patience@|@sabırlı hasta@
@patriot@|@yurtsever@
@patrol@|@devriye@
@paw@|@pençe ellemek@
@pawn@|@rehin@
@payday@|@maaşgünü@
@peach@|@şeftali@
@peal@|@gürültü çan çalmak@
@pear@|@armut@
@pearl@|@inci@
@peasant@|@köylü@
@peculiar@|@özel tuhaf garip@
@pedlar@|@seyyar satıcı@
@peek@|@dikiz röntgen@
@peel@|@kabuk, soymak@
@peep@|@bakış dikiz@
@penance@|@kefaret ceza pişmanlık@
@penetrate@|@delip girmek@
@peninsula@|@yarımada@
@penitentiary@|@ıslahevi cezaevi@
@penniless@|@parasız@
@pensive@|@dalgın düşünceli@
@pepper@|@biber@
@per@|@vasıtasıyla@
@perceive@|@görmek anlamak@
@percussion@|@vurma çarpma@
@perfect@|@tam kusursuz@
@perforate@|@delmek@
@perform@|@yapmak yerine getirmek@
@peril@|@tehlike@
@perish@|@ölmek mahvolmak@
@perjury@|@yalanyere yemin eden@
@permanent@|@sürekli@
@permeable@|@geçirgen@
@permit@|@müsaade kabul@
@perpendicular@|@dikey düşey@
@perpetual@|@sürekli kalıcı@
@persevere@|@sebat@
@persian@|@iranlı@
@persist@|@ısrar etmek@
@person@|@şahıs kimse@
@personage@|@şahsiyet zat@
@perspiration@|@ter(leme)@
@persuade@|@ikna etmek@
@pert@|@şımarık arsız@
@perturb@|@altüst etmek@
@perusal@|@dikkatle okumak@
@pervade@|@kaplamak yayılmak@
@perverse@|@ters aksi sapık@
@pessimism@|@kötümserlik@
@pest@|@veba baş belası@
@pet@|@ev hayvanı@
@petition@|@dilekçe@
@petrify@|@taşlaşmak@
@petticoat@|@iç etek@
@petty@|@küçük önemsiz@
@pew@|@(kilisede)sıra@
@phantom@|@hayal görüntü@
@phase@|@safha evre@
@phony@|@sahte düzme@
@phrase@|@deyim@
@pick@|@kazmak delmek toplamak seçmek@
@pickle@|@turşu@
@pictorial@|@resimli@
@pie@|@börek turta@
@pier@|@iskele rıhtım@
@pierce@|@delmek nufuz etmek@
@pile@|@yığın küme istif@
@pilfer@|@aşırmak@
@pilgrim@|@hacı@
@pill@|@hap@
@pillar@|@direk sütun@
@pillow@|@yastık@
@pimp@|@pezevenk@
@pimple@|@sivilce@
@pin@|@topluiğne@
@pincers@|@kerpeten@
@pinch@|@çimdik tutam@
@pine@|@çam zayıflamak@
@pineapple@|@ananas@
@pink@|@karanfil pembe@
@pinnacle@|@kule zirve doruk@
@pioneer@|@öncü istihkam@
@pip@|@çekirdek@
@piracy@|@korsanlık@
@pirate@|@korsan@
@pistachio@|@çamfıstığı@
@pistol@|@tabanca@
@pitch@|@kumak atmak fırlatmak@
@piteous@|@acınacak@
@pitfail@|@tuzak@
@pith@|@öz ilik@
@pitiabla@|@acıklı@
@pity@|@acıma merhamet@
@pivot@|@eksen@
@placard@|@afiş poster@
@placid@|@sakin uysal@
@plague@|@veba nusibet@
@plain@|@ova düz@
@plaint@|@şikayet@
@plait@|@örme örgü@
@plane@|@düzlem rende uçak@
@plant@|@bitki fabrika dikmek kurmak@
@plaster@|@sıva alçı@
@plate@|@tabak levha kaplamak@
@playful@|@oyunbaz şakacı@
@plea@|@savunma rica bahane@
@plead@|@ileri sürmek savunmak@
@pleasant@|@hoş latif@
@pledge@|@rehin söz vaat@
@pliers@|@kıskaç pense@
@plod@|@ağır yürümek ağır çalışmak@
@plot@|@suikast entrika@
@pluck@|@koparmak yolmak cesaret yiğit@
@plug@|@tapa tıkaç@
@plum@|@erik@
@plunder@|@yağma@
@poem@|@şiir@
@poignant@|@acı keskin@
@poise@|@denge duruş hal@
@poke@|@dürtmek dirsek@
@pole@|@kutup direk kazık@
@polish@|@cila perdah polonyalı@
@poll@|@oy anket@
@pollute@|@kirletmek@
@polygamy@|@çokeşlilik@
@pomp@|@gösteriş tantana@
@pond@|@havuz gölcük@
@pool@|@havuz toplamak@
@poor@|@yoksul az fena@
@pop@|@çat pat@
@porch@|@sundurma veranda@
@pore@|@gözenek derin düşünmek@
@pork@|@domuz eti@
@porter@|@hamal kapıcı@
@portion@|@hisse pay çeyiz@
@pose@|@tavır duruş poz@
@possess@|@sahip malik@
@possession@|@tasarruf mal@
@posterity@|@gelecek nesiller@
@pot@|@çömlek kavanoz@
@potent@|@kuvvetli etkili@
@potter@|@oyalanmak@
@pounce on@|@_in üzerine atılmak@
@pound@|@dövmek yumruklamak@
@pour@|@ak(ıl)mak dök(ül)mek@
@pout@|@somurtmak@
@poverty@|@yoksulluk@
@powder@|@toz pudra barut@
@praise@|@övgü@
@prank@|@kaba şaka oyun@
@prattle@|@gevezelik@
@pray@|@dua yalvarma@
@preach@|@vaaz@
@preamble@|@önsöz@
@precarious@|@kararsız güvenilmez@
@precaution@|@önlem tedbir@
@precedence@|@önde gelme üstünlük@
@precept@|@hüküm kural@
@precinct@|@bölge çevre@
@precious@|@kıymetli pahalı@
@precipice@|@uçurum@
@precipitate@|@zamanından önce hızlı acele@
@precision@|@tam kesin@
@preconception@|@önyargı@
@predatory@|@yağma ile geçinen yırtıcı@
@predicament@|@kötü durum@
@predict@|@önceden bildirmek@
@prefer@|@tercih@
@preference@|@üstünlük@
@preferment@|@terfi@
@prelude@|@giriş başlangıç@
@premier@|@baştaki ilk@
@premium@|@ödül ikramiye@
@prepay@|@peşin ödemek@
@prescription@|@reçete@
@presence@|@hazır bulunma@
@presence of mind@|@soğukkanlılık@
@presentation@|@sunma takdim temsil@
@presently@|@birazdan derhal şimdi@
@preside@|@başkanlık etmek@
@presume@|@tahmin varsayım@
@presuming@|@küstah haddini aşan@
@pretence@|@bahane iddia@
@pretend@|@yalandan yapmak@
@pretender@|@hak iddia eden@
@pretext@|@bahane@
@pretty@|@güzel sevimli oldukça hayli@
@prevalent@|@hüküm süren yaygın@
@prevent@|@önlemek durdurmak@
@prey@|@soymak yağma etmek@
@prick@|@sokmak delmek diken@
@pride@|@gurur kibir iftihar@
@primary@|@ilk asıl başlıca@
@prime@|@birinci başlıca@
@primitive@|@ilkel kaba@
@prior@|@önce@
@privacy@|@özellik gizlilik@
@private@|@kişisel gizli@
@privilege@|@imtiyaz ayrıcalık@
@prize@|@mükafat ödül@
@probation@|@deneme süresi gözaltı@
@proceed@|@ilerlemek çıkmak@
@process@|@yöntem metod işlem@
@proclaim@|@ilan beyan@
@proclamation@|@ilan bildiri@
@procure@|@elde etmek edinmek@
@prodigious@|@kocaman şaşılacak@
@produce@|@çıkarmak üretmek@
@profess@|@açıkça söylemek ikrar@
@professed@|@açıklanmış@
@proffer@|@sunmak@
@proficiency@|@yeterlik beceriklilik@
@profit@|@kar kazanç yarar@
@profound@|@derin engin@
@progress@|@ilerleme gelişme@
@prohibit@|@yasak etme engel olma@
@prominent@|@seçkin tanınmış@
@promise@|@söz vermek@
@promote@|@ilerleme terfi@
@prompt@|@hemen çabuk harekete geçme@
@pronoun@|@zamir@
@pronounce@|@söylemek telaffuz etmek@
@proof@|@delil deneme prova@
@propagate@|@üretmek yaymak@
@propel@|@sevketmek@
@proper@|@uygun özel gerçek doğru@
@prophecy@|@önceden bildirme kahinlik@
@proportion@|@orantı nispet@
@proposal@|@öneri teklif@
@propulsion@|@itici güç@
@prose@|@nesir düzyazı@
@prosecute@|@kovuşturma takip@
@prospect@|@manzara görüş ihtimal@
@prosper@|@başarılı olmak gelişmek@
@prosperity@|@bolluk refah@
@prostitute@|@fahişe@
@protect@|@korumak@
@proud@|@gururlu@
@prove@|@kanıtlamak@
@proverb@|@atasözü@
@provide@|@tedarik etmek@
@province@|@vilayet taşra yetki alanı@
@provision@|@tedarik şart koşul@
@prowl@|@dolaşmak gezinmek@
@proximity@|@yakınlık@
@proxy@|@vekillik@
@puberty@|@ergenlik çağı@
@public@|@halk aleni genel@
@publish@|@yayınlamak@
@puff@|@üflemek şişirmek@
@pull@|@çekme çekiş@
@pullover@|@kazak süveter@
@pulverize@|@ezmek toz yapmak@
@pump@|@tulumba pompa@
@punch@|@yumruklama zımbalama@
@punctual@|@dakik@
@punctuate@|@noktalama@
@puncture@|@patlak delik@
@punish@|@cezalandırmak@
@pupil@|@öğrenci gözbebeği@
@puppet@|@kukla@
@puppy@|@köpek yavrusu@
@purchase@|@satın alma@
@pure@|@saf temiz@
@purple@|@mor@
@purpose@|@maksat niyet@
@purposely@|@bile bile@
@pursue@|@takip kovalama@
@push@|@itmek dürtmek@
@pussy@|@kedi@
@put@|@koymak yerleştirmek@
@put right@|@düzeltmek@
@putaway@|@saklamak@
@putdown@|@indirmek bastırmak@
@putoff@|@sonraya bırakmak@
@puton@|@giymek takınmak@
@putout@|@söndürmek çıkarmak@
@puzzle@|@bilmece bulmaca@
@quaint@|@tuhaf garip hoş@
@quake@|@sarsıntı deprem@
@quantity@|@nicelik miktar@
@quarrel@|@kavga@
@query@|@soru sormak@
@queue@|@sıra kuyruk@
@quick@|@çabuk tez çevik@
@quicksilver@|@civa@
@quiet@|@sakin sessiz@
@quite@|@hayli oldukça@
@quota@|@hisse pay@
@rabbit@|@tavşan@
@race@|@yarış koşu soy nesil@
@rack@|@yorma işkence parmaklık@
@racket@|@raket velvele gürültü@
@racy@|@canlı açık saçık@
@radiance@|@parlaklık(yaymak)@
@radius@|@yarıçap@
@raffle@|@piyango@
@ragged@|@yırtık pürüzlü@
@raid@|@akın baskın@
@rail@|@sövmek tırabzan@
@raise@|@kaldırmak yükseltmek@
@ram@|@koç(vuruşu)@
@ranch@|@büyük çiftlik@
@range@|@sıra dizi erim menzil@
@rank@|@rütbe sıra dizi@
@ransom@|@fidye@
@rapacious@|@açgözlü@
@rape@|@ırzına geçme@
@rapid@|@çabuk hızlı@
@rapture@|@dalgın dalmış@
@rare@|@seyrek ender@
@rascal@|@çapkın serseri@
@rash@|@kızarıklık, sabırsız düşüncesiz@
@rat@|@sıçan@
@rate@|@fiyat ücret, nispet oran@
@rather@|@oldukça tersine@
@ratification@|@onay tasdik@
@ration@|@pay tayın miktar@
@rational@|@akıl sahibi@
@rattle@|@takırtı çıtırtı@
@ravage@|@tahrip etmek@
@raw@|@ham çiğ tecrübesiz@
@ray@|@ışın@
@reach@|@uzatma menzil erişim@
@react@|@tepki vermek@
@read@|@okumak göstermek@
@readily@|@seve seve@
@realestate@|@taşınmaz mal@
@realize@|@anlamak@
@realm@|@krallık ülke@
@rear@|@dikmek yetiştirmek, geri arka, yükselmek şahlanmak@
@rearmament@|@silahlandırma@
@reason@|@akıl idrak sebep mantık@
@reasonable@|@akla uygun@
@reassure@|@tekrar güven vermek@
@rebel@|@isyancı asi@
@rebound@|@geri tepmek@
@rebuke@|@azar paylama@
@recede@|@geri çekilme@
@receipt@|@reçete alındı@
@receive@|@almak kabul etmek@
@recent@|@yeni(olmuş)@
@recipe@|@yemek tarifi@
@recipient@|@alıcı@
@reckless@|@dikkatsiz pervasız@
@reckon@|@hesap etmek saymak, tahmin etmek güvenmek@
@reclaim@|@geri istemek elverişli yapmak@
@recline@|@uzanmak dayanmak@
@recollect@|@hatırlamak@
@recompense@|@ödüllendirme telafi@
@reconcile@|@barıştırma@
@recreation@|@dinlenme eğlence@
@recruit@|@acemi er toplamak@
@reduce@|@azaltmak indirmek@
@reel@|@makara@
@refine@|@arıtma tasfiye@
@reflect@|@yansıtmak düşünmek@
@refract@|@(ışınları)kırmak@
@refrain@|@çekinmek sakınmak@
@refund@|@parayı geri vermek@
@refuse@|@reddetmek@
@refute@|@yalanlamak@
@regard@|@bakış nazar dikkat@
@regarding@|@_ hakkında@
@register@|@kütük sicil kayıt@
@registeration@|@tescil@
@regret@|@üzüntü pişmanlık@
@regular@|@kural düzen intizam@
@rehearsal@|@prova tekrar@
@reinforce@|@kuvvetlendirmek@
@reject@|@reddetmek atmak@
@rejoice@|@sevin(dir)mek@
@relate@|@anlatmak ilgili olmak@
@relation@|@ilişki ilgi akrabalık@
@relative@|@bağıntılı ilişkin@
@release@|@kurtarma salıverme@
@relent@|@yumuşamak@
@relevance@|@ilgi uygunluk@
@reliable@|@güvenilir@
@relief@|@yardım imdat kabartma@
@rely@|@güvenmek@
@remand@|@geri göndermek@
@remedy@|@çare ilaç@
@remind@|@hatırlatmak@
@remit@|@affetmek bağışlamak@
@remote@|@uzak@
@removal@|@kaldırma taşıma yolverme@
@render@|@kılmak yapmak geri vermek@
@renovate@|@yenileştirmek@
@repartee@|@hazırcevap@
@repay@|@geri ödemek@
@repel@|@püskürtmek defetmek@
@repent@|@pişman olmak@
@repetition@|@tekrarlama@
@replace@|@tekrar yerine koymak@
@reply@|@cevap karşılık@
@reprieve@|@geçici erteleme@
@reprimand@|@azarlama@
@reprove@|@ayıplama@
@reputation@|@ün şöhret@
@requisite@|@gerekli elzem@
@requite@|@mükafatlandırmak@
@resemble@|@benzemek@
@resent@|@gücenmek@
@reside@|@oturmak ikamet@
@residue@|@artık@
@resign@|@bırakmak vazgeçmek@
@resist@|@karşı durmak@
@resolute@|@kararlı cesur@
@resort@|@dinlenme barınak@
@respect@|@münasebet saygı itibar@
@respite@|@paydos erteleme@
@respond@|@cevap vermek@
@response@|@cevap sorumluluk@
@rest@|@dinlenmek, geri kalan artan@
@restrain@|@geri tutmak sınırlamak@
@restrict@|@kısıtlamak sınırlamak@
@result@|@sonuç son@
@resume@|@yeniden başlamak@
@resurrection@|@yeniden diriltme@
@retail@|@perakende satış@
@retain@|@alıkoymak tutmak@
@retard@|@geciktirmek@
@retire@|@çekilmek emekli olmak@
@retrieve@|@tekrar ele geçirmek@
@reunion@|@yeniden birleşme@
@revaluation@|@yeniden değerlendirme@
@reveal@|@açığa vurmak göstermek@
@revel@|@eğlenmek mest olmak@
@revenge@|@öç intikam@
@reverse@|@ters arka aksilik@
@review@|@inceleme teftiş@
@revise@|@gözden geçirme düzeltme@
@revival@|@yeniden canlanma@
@revoke@|@geri alma iptal@
@revolt@|@ayaklanmak tiksinmek@
@revolution@|@dönme devir devrim@
@revolve@|@dönmek fırıldak@
@reward@|@mükafat@
@ribbon@|@kurdela şerit@
@rid@|@kurtarmak başından atmak@
@riddle@|@bilmece kalbur@
@ride@|@binme gezinti@
@rifle@|@tüfek@
@right@|@sağ yetki doğru@
@right away@|@hemen@
@rigid@|@eğilmez sert@
@riot@|@kargaşalık@
@rip@|@yarık sökük dikiş@
@ripe@|@olgunlaşmış@
@ripple@|@küçük dalga@
@rise@|@yükseliş artış@
@rite@|@ayin tören@
@rival@|@rakip@
@roar@|@gürleme@
@roast@|@kızarmış@
@robe@|@kaftan üstlük@
@rod@|@çubuk değnek@
@rodent@|@kemirgen@
@romance@|@aşk macerası@
@rooster@|@horoz@
@root@|@kök(leştirmek)@
@rope@|@halat ip@
@rosy@|@gül gibi ümit verici@
@rough@|@pürüzlü kaba sert@
@round@|@yuvarlak toparlak daire@
@route@|@yol rota@
@row@|@kavga patırtı, kürek çekmek, sıra dizi@
@rowdy@|@külhanbeyi@
@rub@|@sürtmek ovmak@
@rubber@|@lastik kauçuk silgi@
@rubbish@|@süprüntü çöp saçma@
@rudder@|@dümen@
@ruddy@|@kırmızı yanaklı@
@rude@|@kaba terbiyesiz@
@ruffle@|@buruşturmak@
@rug@|@halı kilim@
@rugged@|@engebeli@
@ruin@|@harabe yıkım perişanlık@
@rule@|@kural usül idare@
@run down@|@bitmek@
@run into@|@rast gelmek çarpmak@
@run out@|@bitmek tükenmek@
@run up to@|@erişmek@
@runway@|@pist@
@rural@|@köye ait@
@rush@|@hamle saldırış@
@rust@|@pas(lanmak)@
@rustle@|@hışırtı@
