@English@|@Manx@
@jealous@|@eadagh, eadaghey@
@jealous person@|@eadagh@
@jealousy@|@ead@
@jenny@|@laair assyl@
@jerk@|@baic@
@jerkin@|@jerkyn@
@jestingly@|@dy spotchagh@
@jettison@|@ceau 'sy aarkey, ceau magh@
@jib@|@geag@
@jibbing@|@obbagh@
@jig@|@skibbylt(ey)@
@jigger@|@shiaulleen@
@jilt@|@treigeil@
@jingle@|@gliggin, gligginaght@
@jingling@|@gligginaght@
@job@|@kiartey, obbyr (f)@
@jobber@|@jurneilee@
@jogging@|@joggal@
@jogtrot@|@drid@
@join@|@joynal, juntaghey, juntee, kiangle, kiangle ry cheilley@
@joined@|@joynit@
@joiner@|@joyneyder, seyir@
@joing@|@junt@
@joining@|@joynal, juntaghey, juntal@
@joint@|@juntaghey, juntal, juntey, olt, perteeasagh@
@jointed@|@juntagh@
@jointer@|@junteyder@
@jointing@|@juntaghey, juntey@
@joist@|@jeays, myn-gharmin@
@joking@|@spotçhal@
@jokingly@|@dy spotchagh@
@journal@|@jurnyl@
@journalist@|@earisheyr@
@journey@|@juntaghys, jurnaa, jurnaaghey, troailt, troalaghey@
@journeying@|@jurnaahys@
@journeyman@|@eabee@
@joust@|@joost, joostey@
@jousting@|@joostey@
@jowl@|@cab (f)@
@joyless@|@gyn boggey@
@joylessness@|@neuvoggoilid@
@jubilee@|@jubilee@
@judge@|@jannoo briwnys, jannoo briwnys er@
@judicious@|@keeayllagh@
@judiciousness@|@keeayllaght@
@juggle@|@jannoo cleasaght, jannoo cluickys (lesh)@
@juggler@|@doalgaanagh@
@juicy@|@lane soo@
@July@|@Jerrey Souree@
@jumble@|@orchal@
@jumbled@|@currit fud y cheilley@
@jumped up@|@ass y jeig@
@June@|@Mean Souree@
@junior clerk@|@myn-chleragh@
@junk@|@junkey@
@junket@|@pinjean@
@jurisdiction@|@reillys@
@jury@|@daa ghooinney yeig@
@jusst like@|@cadjoor@
@just@|@cairal, dy kiart@
@just now@|@vaidjyn@
@just then@|@veih vean@
@justice@|@cairys@
@justify@|@cairyssaghey@
@jute@|@juit@
@juvenile@|@aeglagh@
@juvenile delinquency@|@kyndagh aeglagh@
@juvenile delinquent@|@kyndagh aeg@
@kangaroo@|@kangaroo@
@keel@|@kewyl, kiouyl@
@keen@|@foyragh, foyral, jeean@
@keep@|@freaylley, freill@
@keep aloof@|@freill magh@
@keep away@|@freayll ersooyl@
@keep back@|@freayll er ash@
@keep down@|@freayll sheese@
@keep in@|@freayll sthie@
@keep out@|@freayll magh@
@keep together@|@freayll ry cheilley@
@keep under@|@freayll fo, freayll fo smaght@
@keeper@|@freilleyder@
@keepership@|@freilleydys, oasteirys@
@keeping wet (as plant)@|@maanal@
@kept@|@freilt@
@kept apart@|@freilt er lheh@
@kernel@|@bee (cro)@
@kerosene@|@kerosene, ooil londeyragh@
@ketchup@|@ketchup@
@kettle@|@pash veg@
@keyed@|@ogheragh@
@keyword@|@oghey@
@kid@|@paitchey@
@kidney bean@|@poanrey Frangagh@
@killed@|@marrooit@
@killer@|@dunver@
@kiln@|@aiee@
@kind@|@kenjal@
@kindness@|@keainid@
@kindred@|@caardjys, fuill (f)@
@kine@|@maase@
@king@|@ree@
@kingdom@|@reeriaght@
@kingfisher@|@ushag awiney@
@kings (pl)@|@reeghyn@
@kirk@|@keeill (f)@
@kiss@|@cur paag da, cur smittag da, poogh@
@kit@|@trelloo@
@kite@|@famman mooar@
@kith and kin@|@caarjyn as mooinjer@
@kitten@|@pishanagh@
@knead@|@fuinney@
@knee@|@bwoalley lesh y ghlioon@
@knee joint@|@olt ghlioonagh@
@knight@|@krink@
@knighthood@|@krinkys@
@knightly@|@reejeragh@
@knit@|@nittal@
@knitting@|@nittal@
@knock@|@labbal@
@knock off@|@scuirr voish obbyr@
@knock!@|@crank!@
@knocker@|@polteyr@
@knocking@|@crankal@
@knoll@|@tullaghan@
@knot@|@knot@
@knot of hair@|@kessiag@
@knottiness@|@uddanys@
@know-how@|@oayllys@
@knowingly@|@dy tushtagh@
@knowledge@|@fys, oayllys, ynsagh@
@known@|@er fys@
@knuckle@|@uddane@
@label@|@cur lipaid er@
@labour@|@laboragh, labraghey, obbyr (f), tooilleil@
@labour (force)@|@labreeyn@
@laboured@|@labrit@
@labourer@|@labree, obbree@
@labouring@|@labraghey@
@lace@|@laatchaghey, laatchey@
@lacemaker@|@laatcheyder@
@lachrymose@|@keaynagh@
@lacing up@|@kiangley braagyn@
@lack of understanding@|@neuhoiggaltys@
@lackey@|@guilley@
@lacyr@|@lacyr@
@lad@|@guilley@
@lady@|@ben chiarn@
@laid@|@laiyt@
@lake@|@lake@
@lame@|@jannoo baccagh@
@lament@|@keayney@
@lamentable@|@keaynoil, treih-hrimshagh@
@lamenter@|@keayneyder@
@lamenting@|@keaynagh@
@lamp@|@lampey@
@lamp oil@|@ooill lampey@
@lampoon@|@lampoon@
@lampooner@|@lampooneyder@
@land@|@farran, thalloo, thalloo@
@landing net@|@kipp@
@landing stage@|@calloo@
@landlady@|@ben oast@
@landlord@|@fer oast, oasteyder@
@landmark@|@laa er lheh@
@lane@|@bayr@
@languid person@|@lambane@
@lanket@|@hopsag@
@lanky@|@keyl@
@lanolin@|@ooill olley@
@lanyard@|@lanyarn@
@lap@|@keayrt (f), lant, ught@
@larch@|@juys Albinah, larsh@
@lard@|@smarrey muc@
@large number@|@lab@
@largesse@|@jeirk@
@lark@|@ushag happagh@
@larva@|@laarvey@
@larval@|@laarvagh@
@lascivious@|@maarderagh@
@lasciviousness@|@maarderys@
@lash@|@custhey, slashey, yeealley@
@lashed@|@yeealt@
@lasher@|@yeealleyder@
@lass@|@bwoirrinagh, caillag, caillin@
@last@|@jeianagh@
@lastingness@|@beayntys@
@latch@|@pinn clickee@
@latchkey@|@ogher hie@
@late@|@anmagh, jeianagh@
@late in the day@|@fastyragh@
@laterally@|@dy lhiattagh@
@latest@|@by yerree@
@lath@|@cur riblass er, skeiltan, skeiltan@
@lather@|@kesh, kesh heeabin, keshal@
@latherer@|@kesheyder@
@lathery@|@keshagh@
@laudanum@|@laudane@
@laughing@|@gearey@
@launch@|@launshey@
@laundry@|@eaddagh nieet, niaghyn@
@laurel@|@billey laurys@
@lavender@|@lavander@
@law@|@leigh@
@law court@|@quaiylagh@
@lawful@|@rere yn leigh@
@lawless@|@meereiltagh@
@lawlessness@|@meereiltys@
@lawyer@|@leighder@
@lax@|@feayshlit, feayshlit@
@lay@|@laiyal@
@lay (as floor)@|@laaraghey@
@lay (poetry)@|@caayn@
@lay a complaint@|@accan y chur stiagh@
@lay a wager@|@cur gial er@
@lay aside@|@treigeil@
@lay out@|@cur magh@
@layed@|@laiyt@
@layered@|@currit 'sy thalloo@
@lea@|@banejagh@
@leach@|@laistey@
@lead@|@shiaullee@
@lead away@|@cur shaghey@
@lead off@|@toshiaghey@
@leader@|@ard-art, fer-toshee (pl. fir-toshee), leeideilagh@
@leaderless@|@gyn leeideilagh@
@leading@|@leeideil@
@leaf@|@duilley@
@league@|@leeg@
@leak@|@drigey@
@leaky@|@neuyeen@
@learn@|@ynsaghey@
@learn by heart@|@ynsee er dty hengey@
@learnedly@|@dyn ynsit@
@learner@|@ynseydagh@
@learner of trade@|@eabee@
@learning@|@gynsaghey, ynsagh@
@lease@|@bargane soiagh@
@least@|@sloo@
@leather@|@cur liare er@
@leatherwork@|@obbyr lhiareagh@
@leave off@|@scuirr (jeh)@
@Leave off!@|@Irree ass!@
@leave out@|@jarrood@
@leave!@|@faag!@
@leave; licence@|@kied@
@leaving@|@faagail@
@lecher@|@maarder@
@lecherousness@|@reaghid@
@ledge@|@leod, rimmey@
@leech@|@guillag, oirr shiaull@
@left@|@er chlee, toshtal@
@left hand@|@kiuttag@
@left-handed@|@kyttagh@
@leftwards@|@my hoshtal@
@legacy@|@sheckteraght@
@legal@|@rere yn leigh@
@legal proceedings@|@immeeaghtyn leigh@
@legally@|@dy leighoil@
@legislate@|@cur leigh, jannoo slattys@
@legislation@|@slattyssyn@
@legume@|@poanrey@
@lemon tree@|@billey limon@
@lend@|@yeeassaghey@
@lending@|@yeeasaght, yeeassee@
@length@|@lhiurid, liurid@
@leniency@|@trochoilys@
@lenient@|@keainal, trochoil@
@Lent@|@Yn Kargys@
@Lenten@|@Kargyssagh@
@lentil@|@pishyr lughag@
@less@|@agh, gyn bree, gyn kiarail, gyn shalee@
@lesser@|@myn-, sloo@
@lesser duckweed@|@mac-gyn-ayr@
@lesson@|@lessoon, ynsaghey lessoon da@
@lessor@|@barganeyder soiagh@
@lest@|@er aggle@
@let in@|@cur peesh ayn, ushtey y yannoo, ushtey y yannoo@
@let off@|@setrey@
@lethargic@|@gyn vree@
@let's go!@|@hooin roin!@
@letter@|@cur lettyryn er, lettyr@
@lettered@|@as lettyryn (er)@
@lettuce@|@glassyr@
@levee@|@irree (yn ree)@
@level@|@jeeraghey, leval, rea@
@liability@|@freggyraght@
@liable@|@freggyragh@
@liaison@|@kiangle@
@libation@|@jough ourallagh@
@libel@|@caartrey ayns screeuyn@
@liberate@|@feaysley (er)@
@liberation@|@feasley@
@libertine@|@maarder@
@library@|@lioarlagh@
@licensing@|@oastey@
@licentiousness@|@anstreeanaght, neusmaght@
@lichen@|@scryss ny greg@
@lid@|@skall@
@liesure@|@soccar@
@liesured@|@as corsoie (ec)@
@lieutenant@|@aachaptan@
@life@|@bea@
@life blood@|@fuill chree@
@life insurance@|@urrysaght heihill@
@life member@|@beayn-oltey, oltey bea@
@lifeboat@|@baatey sauaillagh@
@lifeless@|@gyn vioys@
@ligament@|@kiangley craue@
@light@|@eddrym, lampey@
@light blue@|@bane-ghorrym@
@light brown hair@|@gruat wuigh ouyr@
@light red@|@bane-yiarg, ruagh@
@light-fingered@|@myngyragh@
@light-headed@|@kione-earkanagh@
@lighthouse keeper@|@freaylleyder thie sollysh@
@likely@|@cosoylagh, s'cosoylagh@
@likeness@|@caslys@
@lilac@|@laylac@
@lilt@|@irree, jannoo carr er@
@limb@|@bangan@
@limbed@|@oltagh@
@limber@|@cur limbyr fo, jannoo feiosagh@
@lime@|@cur gleiy glass er@
@limit@|@cagliagh, jeorey@
@limited@|@cagleeit, jeorit, oirrit@
@limitless@|@gyn jeorey, gyn kione, gyn teorey@
@limpet@|@bayrnagh@
@linchpin@|@caag@
@line@|@linney@
@lineage@|@fuilleeaght@
@lines@|@linnaghyn@
@ling@|@freoagh@
@lining@|@eaddagh asstan@
@linnet@|@ushag y lhieen@
@linoleum@|@lainoil@
@linseed@|@rass lieen@
@linseed oil@|@ooill rass lieen@
@lint@|@cadee lieen@
@lion@|@leion@
@lipstick@|@beeal-daah@
@liquefied@|@lheieit@
@liquor@|@jough lajer@
@listen!@|@eaisht!@
@listening@|@eaishtagh, geaishtagh@
@litigate@|@leighderaght@
@litter@|@orchal, ortch@
@little@|@beg, kuse veg@
@little by little@|@veggan as ny veggan@
@little folk@|@mooinjer veggey@
@little fry@|@myneeast veggey@
@little ones@|@myn-chyrl@
@little owl@|@hullad veg@
@little stitch@|@whaalag@
@live@|@baghey, ve boi@
@live person@|@bioagh@
@livelihood@|@saase beaghee@
@livelong day@|@laa bane@
@lively@|@bioyr@
@livid@|@jiarg-chorree@
@living@|@baghey@
@living (dwelling); holding@|@cummal@
@llama@|@laamey@
@lo@|@veih shen@
@loach@|@caillagh ruy@
@load@|@dy lughtaghey, laadey@
@loaf@|@bwilleen [f]@
@loaf of cheese@|@caabaig@
@loam@|@maarley, mhollmys@
@loan@|@eeasaghey, yeeasaght@
@lobby@|@cur shilley er@
@lobe@|@bab@
@lobe of the ear@|@babban ny gleaysh@
@local@|@ynnydagh, ynnydoil@
@local government@|@gurneilys ynnydagh@
@locale@|@ynnyd (f)@
@locality@|@ynnydys@
@location@|@ynnyd (f), ynnyd mooie@
@lock@|@cur glass er@
@locked@|@glast@
@locum tenens@|@ynnydee@
@locust@|@poanrey locust@
@lodge@|@aaghtaghey@
@lodged@|@aaghtit@
@lodger@|@aaghtee@
@lodging@|@aaght@
@loftiness@|@froaishaght@
@lofty@|@ard-aignagh, ooasle@
@log@|@gleash-veih@
@London@|@Lunnin@
@lonely@|@fadanagh@
@long@|@foddey@
@long-eared owl@|@hullad eairkagh@
@longer@|@odjey@
@longing@|@miandid@
@longingly@|@dy miandagh@
@look after@|@jeeaghyn mysh@
@look for@|@shirrey son@
@look out@|@trow@
@look sideways@|@jeeaghyn ny vei lieckan@
@look through@|@jeeaghyn ny hrooid@
@looking@|@jeeaghyn@
@looking for@|@shirrey@
@loom@|@shoal@
@loony@|@ommidan@
@loose@|@feasley, feayshlit, feayshlit, lag, my reir@
@loose cash@|@myn-argid@
@loose end@|@kione skeaylt@
@loosen@|@feaysley (er)@
@loosened@|@laggit@
@loquacious@|@caayntagh@
@lore@|@oayllys@
@lose@|@caill@
@lose!@|@caill!@
@loser@|@cailjeyder@
@losing@|@cailljagh, coayl@
@loss@|@juail@
@loss of feeling@|@merriuid@
@lost@|@cailjey, caillit, caillt, er coayl@
@lotion@|@ynlagh@
@lots of@|@mooarane, ram@
@louse@|@meeyl@
@lousy@|@meeyllagh@
@lout; bungling@|@lutchey@
@love@|@cur graih da, graih, kynn, veg@
@loved@|@ennoil@
@lovely@|@bwoyagh@
@lovers@|@gliminee, gliminee@
@lovesome@|@graihagh@
@loving@|@cur graih da, graihagh@
@low@|@injil, ishil@
@low-bred (person)@|@gyn ynsagh@
@lower@|@cur neose, cur sheese, inshley@
@lower edge@|@oirr heese@
@lower end@|@heese@
@lower lip@|@meill sinshley@
@lowering@|@curthooillid@
@lowly@|@imlee@
@low-lying@|@injil@
@low-necked@|@injil@
@lowness@|@injillid, inshlid@
@low-principled@|@gyn prinsabyl@
@lucid@|@keeayllagh, keeayllagh@
@lucidity@|@keeayllaght@
@luck@|@aigh, baill@
@luckiness@|@aigharaght@
@luckless@|@gyn aigh, gyn rah@
@lucky@|@aighar, aighoil@
@lugubrious@|@trimshagh@
@lukewarm@|@blah@
@lulled@|@kiunit@
@lump@|@uddan@
@lunacy@|@doghan ny heayst@
@lunch@|@kirbyl@
@lung@|@scowan@
@lure@|@bite@
@lust@|@er cannoo lurg, yeearree ny foalley@
@lustful@|@er cannoo@
@Lutheran@|@lutheragh@
@luxuritate@|@aase dy rank@
@lynch@|@lynshall@
@lynching@|@lynshall@
@lynx@|@lynks@
@lyre@|@lyre@
@lyric@|@lyreagh@
@lyricism@|@lyreaght@
@lyricist@|@lyreagh@
@macadam@|@macadam-terr@
@mace@|@maais@
@machine gun@|@gunn jeshaght@
@machinist@|@obbreyder jeshaght@
@mad@|@baanrit@
@madcap@|@ommidjagh@
@made@|@jeant, ren@
@made of@|@jeant ass, jeant jeh@
@madness@|@baanrys@
@magazine@|@earishlioar@
@maggoty@|@er chroo@
@magisterial@|@ikagh@
@magnificent@|@ooashley@
@magnify@|@aavooadaghey@
@magpie@|@pieanat@
@maid@|@caillin, inneen veyl, inney-veyl, inney vaayl@
@mail order@|@oardagh trooid yn phost@
@main point@|@ard-red@
@main street@|@ard-straid@
@maintain@|@freayll ayns oardyr@
@maintained@|@freaylt@
@majesty@|@ard-ooasley@
@majority@|@lane eash@
@make@|@jannoo@
@make happy@|@cur gennallys er@
@making@|@jannoo@
@making music@|@kiaulley@
@maladjustment@|@meereaghys@
@maladroit@|@gyn thort@
@maladroitness@|@mertraghys@
@malcontent@|@meevreihagh@
@male@|@firrynagh@
@malefactor@|@kyndagh@
@malfeasance@|@drogh-aghtys oikoil@
@malice@|@roon@
@malign@|@ceau neose (er)@
@malignant@|@kahngyragh@
@malism@|@olkyssaght@
@mallard duck@|@laagh voirrey@
@malleable@|@caardoil@
@mallet@|@bwoaillteen@
@malt mill@|@mwyllin braghee@
@malt whiskey@|@mac ny braih@
@maltreat@|@drogh-ghellal (rish)@
@maltreated@|@drogh-ghellit (rish)@
@mammal@|@sheeintagh@
@mammary@|@keeaghagh@
@man of letters@|@dooinney lettyraght@
@manager@|@reireyder@
@managing@|@reirey@
@Manchester@|@Manchuin@
@mandarin@|@oranje heenagh@
@mandate@|@cur fo anney@
@mandible@|@cab (f)@
@mandrill@|@baboon mooar@
@mangle@|@lhianneyder, meeleyder@
@mangled@|@jeillit, meelit@
@manhood@|@amm dooinney@
@manicure@|@ingynys@
@manifold@|@ymmodee@
@manifoldness@|@ymmodaght@
@manner of life@|@ymmyrkey bea@
@mannerism@|@oash@
@manoeuvre@|@fillosher@
@mansion@|@ynnyd veaghee@
@manual labour@|@obbyr laue@
@Manx@|@Manninagh@
@Manx cat@|@kayt cuttagh, kayt Manninagh@
@Manx language@|@Gaelg, Gailck@
@Manx people@|@Manninee@
@Manx person@|@Manninagh@
@Manx sheep@|@keyrrey loaghtan@
@many@|@mooarane, ram, shimmey@
@many a day@|@laa ny ghaa@
@many a time@|@keayrt ny ghaa, ny keayrtyn, ymmodee keayrtyn@
@many happy returns@|@laa ruggyree sonney dhyt@
@many-coloured@|@yl-daahagh@
@many-sided@|@yl-heuagh@
@map@|@kaart cheerey@
@maple@|@mabbyl@
@maple tree@|@billey malpys@
@mapmaker@|@kaarteyr@
@mapmaking@|@kaarteyrys@
@marauder@|@maarliagh@
@marble floor@|@laare marmyr@
@marbles@|@jallooys marmyr@
@march@|@troagyraght@
@March@|@Mee Vayrnt@
@marching@|@troagyraght@
@mare@|@laair@
@mare's milk@|@bainney laairagh@
@marginal@|@oirragh@
@marginal notes@|@imraaghyn oirragh@
@mark off@|@towse@
@mark time@|@bwoalley yn traa@
@market day@|@laa margee@
@market place@|@ynnyd vargee@
@marl@|@cur marley er@
@maroon@|@treigeil@
@married@|@poosit, poost@
@marrow@|@roauyrys, roauyrys@
@marsh@|@anagh@
@marsh pennywort@|@ouw@
@marshes@|@curreeyn@
@marten@|@kayt billey@
@martial@|@caggoil@
@mascara@|@daah sooilley@
@masculine@|@firrynagh@
@mask@|@far-oaie, kione shynnee@
@mason@|@seyir clagh@
@masquerade@|@jannoo breageydys myr@
@masturbation@|@bwoalley chymmylt@
@mat@|@polley@
@match@|@co-chloie (pl. co-chloieaghyn)@
@matches@|@co-chloie (pl. co-chloieaghyn)@
@mate@|@aavainshter@
@material@|@eaddagh, nheeagh@
@materialist@|@oyree@
@materialistic@|@oyreeagh@
@mathematics@|@maddaght@
@matter@|@cooish, oyr@
@mattery@|@ingyragh@
@mausoleum@|@toman mooar@
@mavis@|@treshlen@
@may@|@drine@
@May@|@Mee Boaldyn@
@maybe@|@foddee@
@mayfly@|@midje@
@me@|@mee, mish@
@meal@|@meinn@
@mean@|@peajogagh@
@media@|@ym-ysseraght@
@medicine@|@medshin@
@medicine (subject)@|@lheihys@
@meeting@|@çhaglym, meeiteil, quail@
@member@|@oltey@
@men@|@deiney@
@merit@|@toilchin, toilliu@
@message@|@çhaghteraght@
@messages@|@çhaghteraghtyn@
@Michael@|@Maayl@
@midday@|@mun-laa@
@middle@|@mean, meanagh@
@miles@|@meeilaghyn@
@military action@|@cah@
@milk@|@bainney@
@mill@|@mwyllin (f)@
@mind@|@aigney@
@miniscule@|@myn, mynphenneyraght@
@minor@|@mynchomys@
@minor offence@|@mynchomys@
@minor planet@|@mynphlanaid@
@mint@|@jannoo cooinney (jeh), mwyllin argid, myndey, mynthey@
@mint condition@|@oor-noa@
@minute@|@feer veg, mynimmeeaght@
@minutes@|@imraaghyn-giarey, minnidyn, mynimmeeaghtyn@
@minutesness@|@mynnid@
@minx@|@bwoidage, byddage@
@mired@|@laaghit@
@miriness@|@laaghid@
@misapplication@|@mee-ymmyd@
@misappreciate@|@meephrisail@
@misapprehend@|@far-toiggal@
@misappropriate@|@cur gys mee-ymmyd@
@misappropriation@|@cur gys mee-ymmyd@
@misbegotten@|@neuleighoil@
@miscarriage@|@anappeeaght, ymmyrkey roish y traa@
@miscarry@|@ymmyrk roish y traa@
@mischance@|@drogh-haghyrt@
@mischevious@|@skiellagh@
@mischief@|@olkys@
@misconduct@|@meereirey (obbyr)@
@misdeal@|@mee-rheynn@
@misdelivery@|@meelivreys@
@miser@|@peajeog@
@miserable@|@moal, neughennal, trimshagh@
@miserably@|@treihagh@
@miserly@|@peajogagh@
@misery@|@gyeran, gyerid, meevaynrys, neugherjoilid@
@misfit@|@cur-oltey@
@misfortunate@|@drogh-haghyrtagh, lhag-haghyrtagh@
@misfortune@|@anraahagh, drogh, drogh-aigh@
@misgiving@|@mee-ourys@
@misgovern@|@meereill, meereilly@
@misgovernment@|@meereill@
@misguided@|@gyn cheeayll, meestiurit@
@misinformed@|@mee-yssoil@
@misinterpret@|@cur mee vaght er@
@misjudgement@|@meevriwnys@
@mismanage@|@jannoo brock jeh@
@misplaced@|@ass ynnyd@
@misread@|@meelhaih@
@misreckon@|@jannoo earroo meechiart@
@misreckoning@|@meevriwnys@
@misrule@|@meereill, meereilly@
@Miss@|@Inney@
@missing@|@assairagh@
@mist@|@kay@
@mistake@|@marran@
@mistaken identity@|@enney marranagh@
@mistiness@|@kayaraght, kayeeaght, kayid@
@mistranslate@|@cur mee-hyndaa er@
@misty@|@fo chay, kayagh, kayeeagh@
@misunderstanding@|@neuhoiggalys@
@mite@|@meeyllag@
@mitigation@|@leshtal@
@mix up@|@aavestey@
@mixture@|@mestey@
@moan@|@accan@
@mobile@|@shooylagh@
@mock@|@floutey@
@mocking@|@craidey@
@mockingbird@|@ushag chraidoil@
@model@|@cuspey@
@modeller@|@kiaddeyder@
@moderate@|@sheelt@
@moderator@|@kioneysee@
@mole@|@kyaghan@
@mollification@|@sheederys@
@momentary@|@tullaghoil@
@momentousness@|@frioosaght, imraaght@
@monarchism@|@ard-reeaghys@
@monarchist@|@ard-reeder@
@Monday@|@Jelune@
@money@|@argid@
@money changer@|@caghlaader argid@
@moneybag@|@poagey argid@
@moneyed@|@berçhagh@
@moneyless@|@gyn argid@
@mongoose@|@kayt injinagh@
@monkfish@|@guiy marrey@
@monotonous@|@unsheeanagh@
@monotony@|@dreeid, unsheean@
@monster@|@peisht@
@month@|@mee@
@monthly@|@dy meeoil, meeoil@
@months@|@meeghyn@
@monumental@|@leacoil@
@moon@|@ray@
@moonless@|@gyn eayst@
@moonrise@|@irree ny heayst@
@moose@|@feeaih mooar@
@mop@|@jiolane, jiole seose@
@mop up@|@jiole seose@
@moral@|@beaoil, mie@
@moral ill@|@olkys, olkys@
@moral perversion@|@olkeyrys@
@moral pervert@|@olkeyr@
@moralize@|@ynsaghey liorish@
@morally crooked@|@mee-yrrick@
@mordant@|@foyragh@
@more@|@lee, smoo, thooilliu, tooilley@
@more numerous@|@ny shlee@
@moreover@|@agh foast, harrish shen, tooilley elley@
@morgue@|@ynnyd ny merriu@
@moribund@|@neuvioal@
@morning@|@moghrey@
@moron@|@awaneagh@
@morose@|@s'groamee@
@morphology@|@jalloo-oaylleeaght@
@morsel@|@kyneen, sleig@
@mortal combat@|@caggey baaish@
@mortal sin@|@peccah marrooagh@
@mortally wounded@|@guint gy baase@
@mortgaged@|@er gioaldeeaght@
@mortuary@|@ynnyd ny merriu@
@moss@|@keynnagh (f)@
@most@|@smoo@
@mother@|@moir@
@mother abbess@|@abb-voir@
@mother-wit@|@keeayl vayrey@
@motion@|@obbraghey y chollane, treealtys@
@motion picture@|@jalloo roie@
@motionless@|@gyn lheitys@
@motive@|@oyr@
@motor cycle@|@cabbyl yiarn@
@mould@|@keynnagh (f)@
@mouldiness@|@taaght@
@mount@|@cabbyl@
@mountain@|@slieau@
@mountainous@|@sleitagh@
@mountains (pl)@|@sleityn@
@mourn@|@keayney@
@mournful@|@keaynoil, treihnagh, trimshagh@
@mouths (pl.)@|@beill@
@move along@|@gleash (er), gleash (er)@
@move back@|@gleash eergooyl, gleash er ash, gleash er ash@
@movies@|@jallooyn@
@mower@|@beaynee@
@much@|@kuse vooar, ram@
@much to be pitied@|@as mooarane erreeish (er)@
@much-loved@|@dy vel mooarane graih er@
@mucilage@|@gummalaght@
@mud@|@laaee, laaghey@
@muddied@|@laaghit@
@muddiness@|@laaghid@
@muddle@|@fud y cheilley, whumm@
@muddy place@|@laaghan@
@mudlark@|@guilley straiddey@
@muffler@|@kiuneyder@
@mufti@|@eaddagh cadjin@
@mugging@|@slauey@
@mugwort@|@lus yn 'eaill'Eoin@
@mulcture@|@fuilley@
@mule@|@cabbyl assyl@
@multicoloured@|@yl-daahagh@
@multilateral@|@yl-heuagh@
@multiple@|@bishan@
@multiplication@|@yl-raghey, ymmodaghey@
@multiplicity@|@yl-raght@
@multiply@|@yl-raghey, ymmodaghey@
@multitude@|@ymmodee dy leih@
@mum@|@mummig@
@mummy@|@mummig@
@mumps@|@plooghaght@
@munch@|@caigney@
@mundane@|@seihllt, seihlltagh@
@municipal@|@baljagh@
@municipality@|@baljaght@
@murderer@|@dunver@
@murkiness@|@frosh@
@murmur@|@jannoo tallagh@
@murmurer@|@trughaneagh@
@murmuring@|@trughaney@
@mush@|@meinn vroit@
@music@|@kiaull, kiaulleeaght@
@mutability@|@caghlaaid@
@mutable@|@yn-chaghlaa@
@mutant@|@caghlaader@
@mutate@|@caghlaa@
@mute@|@amloayrtagh@
@mutineer@|@irreyder magh@
@mutiny@|@irree magh@
@muttering@|@cabbaragh, mynhaggloo@
@mutton chops@|@asnaghyn keyrragh@
@my@|@my@
@My good man!@|@My ghooiney coar!@
@my pet@|@my vyrneen@
@my poppet@|@my vyrneen@
@my precious@|@My chree@
@my very best@|@my chooid share@
@my young lady@|@my chaillin@
@myriad@|@gyn earroo, jeih-thousane@
@nail@|@ingin, ingin (f), treinaghey, treiney@
@nail down@|@treinaghey@
@nailed@|@treinit@
@nailer@|@treineyder@
@nakedenss@|@aniskeer@
@name@|@ennym (pl. enmyn)@
@name and address@|@ennym as enmys@
@named@|@enmyssit@
@nameless@|@gyn ennym, neuennymagh@
@names@|@enmyn@
@narcissism@|@hene-graih@
@narcotic@|@cadlagheen@
@narrative@|@skeeallagh@
@narrow@|@coon@
@narrow examination@|@mynscrutaghey@
@narrowing@|@keyley@
@narrows@|@keyllys@
@narwhal@|@whale feeacklagh@
@nascent@|@noa-ghient@
@nasty accident@|@drogh-haghyrt graney@
@nation@|@ashoon@
@national@|@ashoonagh@
@national bank@|@banc ashoonagh@
@nationality@|@ashoonaght@
@nationalize@|@ashoonaghey@
@nationally@|@fud yn ashoon@
@nations (pl.)@|@ashoonyn@
@native customs@|@oashyn ny cheerey@
@native dress@|@eaddagh ny cheerey@
@natural@|@dooghyssagh@
@natural affection@|@keainid@
@naturalized@|@jeant dooie@
@naught@|@dyn ymmyd, gyn veg, neuhnee@
@naughtiness@|@olkys, olkys@
@naughty@|@olkyssagh@
@nautical knowledge@|@ynsagh keayin@
@naval battle@|@caggey marrey@
@navigate@|@shiaulley@
@navvy@|@obbree raad@
@nay@|@cha nee@
@near@|@er cheu, er gerrey (da)@
@nearer@|@niessey, sniessey@
@nearest@|@sniessey@
@nearly@|@bunnys@
@neat@|@ollagh (f)@
@nebs@|@gib@
@nebulous@|@kayeeagh@
@necessity@|@ymmyrch@
@neck deep@|@dys y wannal@
@neck of pipe@|@keyllane@
@neckline@|@oirrag wannalagh@
@nectarine@|@peitshag lhome@
@need@|@feme@
@needle@|@guinney@
@needless@|@fillosher, neuymmychagh@
@negate@|@obbal@
@negative@|@cur noi, jiooldagh@
@negativism@|@obballys@
@negativist@|@obballagh@
@negativity@|@obballaght@
@negator@|@obbeyder@
@neglect@|@cur shleh er, meerioose, neuyeadid@
@negligence@|@meerioose, neuyeadid@
@negligent@|@meerioosagh@
@negotiable@|@yn-dellagh@
@negotiate@|@barganey@
@negotiation@|@barganey@
@negotiator@|@barganeyder@
@neighbour@|@naboo@
@neither@|@noadyr@
@neophyte@|@noa-chredjuagh@
@nephew@|@mac shayrey@
