@Greenlandic@|@English@
@nammagaa@|@his burden@
@nammagaq@|@burden@
@nammakkerpaa@|@lays a burden on him@
@nammakkersorpaa@|@lays burdens on him@
@nammakkiuppaa, nammiuppaa@|@takes it on his back@
@nammappaa@|@carries it on his back@
@nammappoq@|@carries something on his back@
@Nammatsigaa@|@has him to carry his burden for him@
@nammerpaa@|@gives him something to carryon his back@
@nammii@|@its cross-trees@
@nammik@|@cross-tree @
@nammineerniartoq@|@an independent person@
@nammineerpoq@|@acts on his own@
@nammineq@|@own@
@nammineq iluarisassinnik@|@according to your pleasure@
@nammineq qimmikka@|@my own dogs@
@nammineraa@|@has it as his own @
@namminerinngilara@|@it is not my own@
@namminermigut@|@by himself@
@namminertorpoq@|@eats his own@
@namminiliaa@|@that which he has made himself@
@namminiliaq@|@self-made@
@namminiliaraa@|@done it himself@
@namminissarsiorpoq@|@looks for his own@
@namminitsinnit@|@on our own accord or from ourselves@
@nammissiaq@|@curved timber@
@naneqqajaqaakkit@|@I nearly fell over you@
@naneqquserpaa@|@places something heavy on it@
@nanequt@|@weight@
@nanerpaa@|@presses him or it downwards@
@nanertippaa@|@weighs it down with something @
@nanertorpaa@|@rests on him or it with all his weight@
@nanertortigaa, nanertugaassutigaa, nanertorneqaatigaa@|@is oppressed by it@
@nanertugaavoq@|@is oppressed by something @
@nanertuut@|@heaviness@
@nanertuutaavoq@|@weighs heavily upon someone @
@naneruaq@|@torch@
@naneruarfik, naneruartaat@|@lantern@
@naneruarpaa@|@uses a torch to look for something@
@naneruarpoq@|@uses a torch to light his path @
@naneruuserfik@|@candle stick@
@naneruut@|@candle@
@nangaassutigaa@|@is in doubt as to it@
@nangaavoq@|@is doubtful@
@nangarpaa@|@prevents him from doing something@
@nangartaapput, nangartuupput@|@they contradict each other@
@nangartaat, nangartuut@|@prohibition@
@nangartaatigaa, nangartuutigaa@|@forbids@
@nangartarpaa, nangartorpaa@|@forbids him something@
@nangeq@|@diaper@
@nangiajuippoq, nangiippoq@|@does not get giddy@
@nangialerpoq@|@begins to be kayak "giddy."@
@nangiaraa@|@is afraid of it@
@nangiarnarpoq@|@is enough to make one giddy@
@nangiarpoq@|@is giddy@
@nangimavoq@|@gets worse@
@nanginniarpaa, nanniarpaa@|@tries to hit it @
@nanginnippoq@|@shoots again@
@nangippaa@|@continues@
@nangippoq@|@continues after an interruption@
@nangitaq@|@continued@
@nangitinngilaq@|@is always lucky@
@nangitinngissusia@|@what luck!@
@nangitippaa@|@lets it be continued@
@nangitippoq@|@he was unlucky once more@
@nanippoq@|@is pressed down by its own weight@
@nanivaa@|@finds@
@nannannaarpoq@|@groans in constant pain @
@nannerivoq@|@is busy with a bear@
@nanngerpaa@|@puts it (the child) into a diaper@
@nannippoq@|@has a relapse @
@nannitseqqissarpoq@|@is stubborn@
@nannunniaq@|@bear-hunter@
@nannunniarpoq@|@is out bear-hunting@
@nannuppoq@|@has killed a bear@
@nannuttaa@|@his bear @
@nannuttara pernartara@|@my first bear@
@nanooraq, nanuaraq@|@bear cub@
@nanoq@|@urso polar@
@nanorluarpoq@|@holds on to something@
@nanu, nanoq@|@polar bear@
@nanunnguusaarpoq@|@plays at being a bear@
@napaannarpoq@|@stands without doing anything@
@napaartoq@|@mountain ash @
@napakkarpoq@|@falls forward and down from something@
@napaqqut@|@prop against the side of a loaded umiak@
@napariaq@|@stanchion @
@napariarsiorpoq@|@runs in the stanchions@
@naparisserpai@|@puts stanchions on it @
@naparlivoq@|@does nothing@
@naparutaq@|@dorsal fin @
@napasaqattaarpoq, napasartaarpoq@|@practises standing upon his head@
@napasariaq, napatariaq@|@sand hopper@
@napasarpoq@|@falls forward and turns a somersault@
@napasoq@|@projecting@
@napasorpaa@|@places it on the scaffold@
@napasorpoq@|@lies on the scaffold @
@napasortaasaq@|@spur on the leg of a cock@
@napasortaq@|@projecting bone @
@napasuliaq@|@support of wood or stone@
@napavoq@|@stands upright @
@naperpaa@|@has snared it @
@napiagaq, napititaq, napittortaq@|@caught in a snare@
@napiarpa@|@snares it the bird@
@napippoq@|@is caught in a snare @
@napitippaa@|@has snared it@
@napittorpoq@|@catches a seal in a net@
@napittortaq@|@a seal caught in a net@
@napivaa@|@breaks it@
@nappaalapput@|@they get ill in great numbers@
@nappaanni qaangiussivaa@|@has recovered from his illness@
@nappaat@|@illness@
@nappaat aatsornartoq@|@an infectious@
@nappaat qanimanartoq@|@illness with shivers@
@nappaataa nalissaqartinngilarput@|@we know no remedy against his illness@
@nappaatiga@|@suffers from that illness@
@nappaatini nakkaatigaa@|@he was delayed on account of his illness@
@nappaja (napavoq)@|@cooper@
@nappallattaarput@|@they seesaw@
@nappaq@|@illness@
@nappaqqut@|@pillar@
@nappararput@|@they get ill@
@napparippoq@|@projects@
@napparpaa@|@places it upright@
@napparpoq@|@gets ill@
@Napparsimavik@|@Hospital@
@napparsimavoq@|@is ill@
@napparsimmavik@|@hospital@
@napparsimmavik, napparsimaffik@|@hospital@
@napparsisoq@|@cooper@
@nappartaq@|@vessel@
@nappartippaa@|@raises it@
@napparuserpaa@|@raises a mast in it @
@napparut@|@mast@
@naqerloq@|@depression@
@naqillisarpaa, naqillisippaa@|@makes it lower@
@naqillivoq@|@has had it made lower@
@naqinneq@|@letter (printed)@
@naqinneqarpoq@|@it has something printed on it@
@naqinnerlunneq@|@printer's error@
@naqinnilerpaa@|@seals it@
@naqippaa@|@presses it down@
@naqippoq@|@depressed@
@naqissuserpaa@|@seals it@
@naqissut@|@lashing@
@naqitarivaa@|@lashes it (fast)@
@naqitaruserpaa@|@lashes it@
@naqitarut@|@lashing@
@naqiterivik@|@printer's press@
@naqitigaq@|@printed@
@naqitikkat@|@printed matter@
@naqitsit@|@sealing wax@
@naqitsivik@|@implement for pressing out the oil of the residue of blubber@
@naqittaarivoq@|@writes caligraphy@
@naqittaat@|@press (n)@
@naqittaavik@|@kneading trough@
@naqittaavoq@|@kneads dough@
@naqittarpaa@|@presses it down several times@
@narlumut@|@straight ahead@
@narornippoq, najorliivoq, najuivoq@|@is present on a particular occasion@
@nassaappaa@|@brings something for him@
@nassagaa@|@that which he has taken with him@
@nassarpaa@|@takes it with him@
@nassataq@|@that which has been taken with him@
@nassataqarpoq@|@takes something @
@nassataraa@|@drags it with him@
@nassatik Guutigaat@|@their belly is their God@
@nasseraq@|@target (in archery)@
@nasserarpoq@|@shoots at a mark@
@nassikaarpoq@|@the fisherman by the fish jerking at the line@
@nassikarpoq@|@line which was to run out@
@nassinarpoq@|@one is apt to catch at the bottom of the sea with the fishing hook@
@nassippaa (nassarpaa)@|@sends something @
@nassippoq@|@the line catches at the bottom@
@nassippoq, nassikarpoq, v. nassivoq@|@shoots at a mark@
@nassiuppaa@|@sends it for someone (-mut)@
@nassiussarsiaa@|@that which has been sent to him@
@nassiussivigaa@|@sends something @
@nassivoq@|@the harpoon line having be-come entangled)@
@nassoqippai@|@makes no difference between them@
@nassoqqippoq@|@is good horn (to work in)@
@nassuk@|@horn @
@nassulik@|@with horns or antlers@
@nassulluppoq@|@is bad horn (to work in)@
@nassummigaagajuppoq@|@is apt to butt@
@nassummigarpaa@|@butts him (several times)@
@nassummigarput@|@they butt each other@
@nassummippaa@|@butts him@
@nassuusaq@|@antennæ (or an insect)@
@nateq qaalertanartoq@|@a slippery floor@
@natsikkiartorpoq@|@it is blowing more and more@
@natsimavoq@|@there is a gale@
@natsimisaarpoq@|@it is blowing in gusts@
@natsippoq (nakerpoq)@|@the wind is getting stronger@
@natsissuppaa@|@the gale surprised him@
@nattoralaaq@|@young eagle@
@nattoralik@|@eagle@
@nattoraliusaq@|@vulture@
@nattoraq, natseraq@|@a crookedly whittled bone@
@neqit mamareqaagit?@|@do you like meat? @
@nerilluarisi@|@bon appetit@
@neriorsuunni eqquutippaa@|@fulfils his promise@
@neripput@|@they are eating@
@nerisarfik@|@restaurant@
@nerisassani ersangatigai@|@he does not like the food@
@nerivoq@|@he is eating@
@nerivugut@|@we are eating@
@nerivunga@|@i'm eating@
@nerivusi@|@you are eating (pl)@
@nerivutit@|@you are eating@
@nerrivik piiarpaa@|@clears the table@
@nerriviup qaaniippoq@|@it lies on the table@
@nerriviup qaaniippoq, qaarsoq@|@the crust has been torn oft or fallen off@
@nerriviup qalia@|@table cloth@
@nersut pigineqartoq@|@domestic animal@
@nersutit nakorsaat@|@veterinary surgeon@
@niaqqi ukuppaa@|@bends his head@
@nipi sallaatsoq@|@a gentle wind@
@nissuma kangia@|@upper part of my leg@
@Nittaappoq@|@It's snowing@
@nitten (from 13 and on it's used Danish numbers)@|@nineteen@
@Niviarsiaraq@|@Girl@
@nuannaarpisi?@|@did you enjoy yourselves? @
@nuanneq naapillutit@|@pleased to meet you@
@nuffisaa@|@his string@
@nuffisaat@|@point of bone or wood @
@nuffit@|@string on which something is strung @
@Nuiavoq@|@It's cloudy@
@nuissat qaffatsikkiartorput@|@the clouds gather morJ a@
@Nukappiaraq@|@Boy@
@nuliaminit ernertaarpoq@|@his wife has borne him a son@
@nuliaminit panissaarpoq@|@gets a daughter by his wife@
@nuna aatsarpoq@|@the earth cracked@
@Nuna asiilasooq@|@The Land of Great Length@
@nuna naqittoq@|@low hilly country@
@nuna qaqqartoorsuaq@|@a mountainous country@
@nuna sanarfisaq@|@cultivated ground@
@nunakkut aqqutaa arlalinnik nakkariaqarpoq@|@the road there across land has several steep hills@
@nunap ilaa@|@a part of the country.@
@nunap ilaagut@|@through part of the country@
@nunap kaaviffii@|@the poles of the earth@
@nunap meqqui@|@land vegetation@
@nunap naalagaa@|@ruler of the country@
@nunap naalakkersornera, runap naalakkersorneqarnera@|@the manner of government of the country@
@nunap naqinnera@|@the lowest part of the country@
@nunap pii@|@what belongs to this earth@
@nunap sajunnera@|@earth-quake@
@nunaqarfiup sallia@|@that which lies in front of the dwelling place @
@nunat kiattut@|@the hot countries@
@nunatta manna ilagaa@|@our country is part of it@
@nunatta ujarai@|@the stones of our country@
@nutsat kajungerisaat@|@amber@
@nuuk uiareerutsigu oqaluffik ersissavarput@|@when we have got round the foreland@
@nuummi naqitikkat@|@printed at Godthaab@
@Nuummi ukiiniarpugut@|@we spent the winter in Godthaab@
@nuussuup manngua@|@the stretch where the Nugssuak Peninsula joins the continent@
@Olip atuagal@|@Ole's book@
@ooqanngitsoq (uuvoq)@|@unboiled@
@ooqattaarpaa (uuppaa)@|@attempts it@
@ooqattaarpoq@|@attempts@
@ooqattaavik@|@target@
@ooqattaavoq@|@tries the gun@
@oqaappaa@|@tells him what to do@
@oqaaqqissaarpaa@|@gives him strict injunctions@
@oqaasalik@|@phonograph@
@oqaasat@|@mountain azalea@
@oqaaseq@|@word@
@oqaaseq taalluartaaserpaa@|@provides a word with an accent@
@oqaaseraa@|@uses that word@
@oqaaserinerluppaa@|@uses it (a word) in a wrong manner@
@oqaaserippoq@|@speaks prettily@
@oqaaserissaarpoq@|@flatters@
@oqaaserissannaaq@|@favourite expression@
@oqaaserluppoq@|@uses improper language@
@oqaasia@|@his word@
@oqaasia malinniassavarput@|@we must try to obey his word@
@oqaasia missiliorlugu@|@according to his word@
@oqaasii@|@his words@
@oqaasii ippigisarpakka@|@his words offend me@
@oqaasilerissutit@|@grammar@
@oqaasilerivoq@|@works with the language@
@oqaasipiluk@|@abusive term@
@oqaasipiluliorfigaa@|@uses ugly words to him@
@oqaasipilussuuvoq@|@uses ugly words@
@oqaasissaaruppoq@|@has no more to say @
@oqaasissaarutippaa@|@silences him@
@oqaasissaq@|@something to say@
@oqaasissaqarpit@|@have you anything to say@
@oqaasissiorpaa@|@tells him how to express himself@
@oqaassut@|@message@
@oqaatigaa@|@says something about him or it@
@oqaatiginerluppaa@|@speaks evil of him@
@oqaatissuarpaa@|@calumniates him@
@oqaatseriarpoq@|@is easily governed@
@oqaatseriippoq@|@is not easily governed@
@oqaatsi eqquuppaa@|@takes effect with his words@
@oqaatsi eqquutippaa@|@keeps his word@
@oqaatsini oqaasereqqippai@|@he repeated what he had said@
@oqaatsinnik eqqorpara@|@I struck home with my words@
@Oqaatsit ataasiinnaat naammanngillat@|@One language is never enough@
@oqaatsit tamalaat@|@all sorts of words @
@oqaatsoq@|@cormorant @
@oqaatsuaq@|@young cormorant.@
@oqajamaaq@|@babbler@
@oqajamaavoq@|@is a tell-tale@
@oqallipput@|@they speak at the same time@
@oqallisigaa@|@calumniates him@
@oqallorippoq@|@is talkative@
@oqalloriusaq@|@starling (Sturnus vulgaris)@
@oqallorluppoq@|@has a bad pronunciation@
@oqallortuvoq, oqqartuvoq@|@speaks for a long time@
@oqaloqatigaa@|@speaks with him@
@oqaloqatigiipput@|@they speak with each other@
@oqaloqqippoq, oqalullaqqippoq@|@is eloquent@
@oqalorujuffigaa@|@scolds him@
@oqalorujuppoq@|@says rude things@
@oqaloruusarpoq@|@babbles@
@oqalualaaq, oqalualaarut, oqaluasaaq@|@narrative@
@oqalualaarpoq@|@tells (for entertainment)@
@oqalualuffigaa, oqalukuluffigaa@|@jests with him@
@oqalualuppoq, oqalukuluppoq@|@says something in jest@
@oqalualuupput, oqalukuluupput@|@jest with each other@
@oqaluasaarpoq@|@tells something @
@oqaluavoq@|@growls in anger@
@oqaluffigaa@|@speaks to him@
@oqaluffigigaluarakku saperpara@|@I spoke to him@
@oqaluffik@|@chapel@
@Oqaluffik@|@Church@
@oqaluffiup napparutaa@|@church spire@
@oqalugiarpoq@|@gives a lecture@
@oqaluinnarpoq@|@speaks incessantly@
@oqalunguserpoq@|@mutters to himself@
@oqalungusiarpoq@|@tells@
@oqalungussarpoq@|@speaks unintelligibly@
@oqalunniutit@|@dictionary@
@oqalupiluffigaa@|@says rude things to him@
@oqalupiluppoq@|@says rude things@
@oqaluppoq@|@speaks@
@oqalutsi, oqalutseq@|@interpreter; spokesman@
@oqalutsigaa@|@has him as a spokesman@
@oqaluttarfik@|@pulpit@
@oqaluttartoq@|@grammophone@
@oqaluttualiaq@|@fiction@
@oqaluttuaq@|@narrative@
@oqaluttuaraa@|@tells of him or it@
@oqaluttuarpoq@|@tells a legend@
@oqaluttuuppaa@|@tells him something@
@oqaluuppaa@|@speaks to him@
@oqaluuseq@|@sermon@
@oqaluuseraa@|@mentions him or it@
@oqaluussaanngilaq@|@is deaf to all expostulation@
@oqaluussissutigaa@|@preaches of him or it@
@oqaluussivoq@|@preaches@
@oqaluutigaa@|@speaks of him or it@
@oqapiluffigaa@|@says something in an ugly spiteful manner@
@oqapiluppoq@|@says something in an ugly manner@
@oqaq@|@tongue@
@oqaraluarpoq@|@telephones@
@oqarasuartaat@|@telephone@
@oqarfigaa@|@says something to him@
@oqarfigineq saperpara@|@I dare not say anything to him@
@oqariartorpoq@|@goes to leave a message@
@oqariartuut@|@commission@
@oqarluarputit@|@you are right there@
@oqarpaa@|@scolds him@
@oqarpoq@|@says something@
@oqarput@|@they quarrel@
@oqarsorfigaa@|@puts out his tongue at him@
@oqarsorpoq@|@puts out his tongue@
@oqaruserfigaa@|@jests with him@
@oqaruserpoq@|@says something in jest@
@oqarusiut@|@jest@
@oqassarlerpoq@|@does not speak any more@
@oqigaa@|@considers it light@
@oqilaaluk@|@lady bird@
@oqilaappoq@|@is heavy-footed@
@oqilasaarpoq@|@hurries@
@oqilasooq@|@antilope@
@oqilavoq@|@is light-footed@
@oqilisippaa, oqillisippaa@|@makes it lighter@
@oqilivaa, oqillivaa@|@has made it lighter@
@oqilivoq, oqillivoq@|@has become lighter@
@oqimaagaa@|@considers it heavy@
@oqimaallisippaa@|@makes it heavier@
@oqimaallivaa@|@has had it made heavier@
@oqimaallivoq@|@has become heavier@
@oqimaalutaat@|@weight@
@oqimaalutaavik@|@steelyard@
@oqimaalutaq@|@weight@
@oqimaalutarpaa@|@weighs it@
@oqimaappoq@|@is heavy (to lift)@
@oqimangerpoq@|@becomes heavy@
@oqinninnguaq@|@deer@
@oqippoq@|@is light@
@oqorpoq, oqornarpoq@|@is warm@
@oqorsarpaa@|@dresses him warmly@
@oqorunarpoq@|@is warm (a garment)@
@oqoruserpaa, oqorusersorpaa@|@puts him into warm clothes@
@oqorut@|@warm garment@
@oqorutit@|@bed clothes@
@oqqakippoq, oqallukippoq@|@speaks low.@
@oqqapput@|@they abuse each other@
@oqqarliorpoq@|@the tongue fails@
@oqqersorpaa@|@gives him an order@
@oqqersuiffigaa@|@leaves a message with him@
@oqqersuut@|@message@
@oqqiorfissarsiorpoq, oqquiffissarsiorpoq, oqqiffissarsiorpoq@|@seeks shelter@
@oqqioriartorpoq, oqqioriartorpoq, oqqikkiartorpoq@|@finds shelter@
@oqqiorpoq, oqqiuppoq@|@has found shelter@
@oqqippoq@|@abuses@
@oqqoq@|@lee side@
@oqqorliorpoq@|@is sheltered@
@oqqua@|@the lee side @
@oqquaq@|@place where there is shelter@
@oqquippaa, oqqippaa@|@takes it into shelter@
@oqquippoq, oqqippoq@|@seeks shelter@
@oqquisartorpoq@|@blows in gusts from the lee side@
@oqqumukarpoq, oqumigaarpoq@|@goes before the wind@
@oqqumut, oqqummut@|@before the wind@
@oqquppaa (uterpoq)@|@takes it home with him@
@oqquusimaariartorta@|@let us seek shelter@
@oqquusimaarpoq@|@is sheltered@
@oquippoq@|@is not warm@
@oquk@|@mould (on something)@
@oqummeraq, oqummerassaq@|@a piece of blubber @
@oqummerartorpoq@|@eats a piece of blubber @
@oqummerpaa@|@puts it into his mouth@
@oqummersaq@|@fish hook@
@oqummersivaa@|@lets him take a mouthful@
@oqummersivoq@|@takes a bite@
@oqummiaq@|@something which he has in his  mouth@
@oqummiarpaa@|@holds it in his mouth@
@oqummisserpaa@|@gives him a bite@
@oqummisserpoq, oqummissivoq@|@takes a bite@
@oqummiuppaa@|@takes it into his mouth@
@oquppoq@|@is full of mould or maggots@
@oqussunnippoq@|@is mouldy@
@oquutaq@|@wind-screen@
@oriarneq@|@that which has been spit out@
@oriarpaa@|@spits it out @
@oriartorfik@|@spittoon@
@oriartorpoq@|@spits out something@
@oriorfigaa@|@chews it together with something@
@oriorneq, oriugaq@|@the seal oil spat out@
@oriorpaa@|@chews it (blubber) @
@orlerpaa@|@aims at it (with his missile)@
@orlerpoq@|@lowers the missile in order to take aim@
@orloorarput@|@they fall (one after the other)@
@orlorarput@|@they fall @
@orlungavoq@|@is declining@
@orlussutigaa@|@stumbles over it@
@orluvoq@|@falls down@
@ornavaffik@|@support for the elbow@
@ornavaffilik@|@crutch@
@ornavappoq (uneq)@|@supports the arm against  something@
@ornigaa@|@has time to set about it@
@ornigarpaat@|@they are walking towards it@
@ornigassamut illuarpugut@|@we have reached more than halfway towards our destination@
@ornigassaqanngilanga@|@I have no one to apply to@
@ornigassarput@|@the object (of our journey)@
@orniginngikkallarpara@|@for the present I have no time to engage in it@
@orniguppaa@|@brings him or it to someone@
@orniguppoq@|@goes to someone @
@ornilisit@|@hair in the armpit@
@ornippaa@|@goes to him or it@
@orpigaq@|@copse@
@orpik@|@tree@
@orpiliaq@|@one who fetches wood@
@orpiliarpoq@|@goes to the woods @
@orpimmik ikkussivoq@|@plants a tree@
@orpimmiutaq@|@wagtail@
@orpinnguaq@|@small tree@
@orpinnguarpaa, orpippaa@|@birches him@
@orpinnguartippoq@|@is being birched@
@orpippassuit, orpippalik, orpissuartooq@|@wood@
@orraavoq (uerpoq)@|@rolls@
@orrajagaa@|@thinks that it is cranky@
@orrajavoq@|@is cranky @
@orrarippoq@|@is cranky a boat@
@orrarluppoq@|@is stiff @
@orrutigaa@|@lists because of that@
@orseq@|@piece of bone or bone ring on dog traces@
@orseqanngitsumik qilissavat@|@you must tie it without a bow@
@orseraaq, orserivoq@|@works with blubber@
@orserfia@|@the opening in a lamp through which it is filled with oil@
@orserfik@|@blubber can@
@orserpaa@|@puts blubber into it@
@orsiaat@|@long boat @
@orsiarpoq@|@is out fetching blubber @
@orsilerpaa@|@ties it in a bow@
@orsiorpoq@|@works blubber @
@orsiutit@|@towing tackle @
@orsivik@|@blubber depot@
@orsivoq@|@skins the fat @
@orsoq@|@blubber@
@orsoq tamakkissavara@|@I shall take all the blubber@
@orsorpaa@|@greases it with blubber or fat@
@orsorsivoq@|@admixes blubber@
@orsuaasat@|@white moss @
@orsualikaq, orsuarnisaaq@|@smooth spot on the sea from blubber@
@orsualikarpoq, orsuarnisaarpoq@|@the water is smooth and shiny with blubber@
@orsuarleqivoq@|@the water is shiny with spilled blubber@
@orsuarlequtissaq@|@a piece of blubber for this purpose@
@orsuarlerpaa@|@puts blubber on it @
@orsuerneq@|@fir tree @
@orsuerpoq@|@sells blubber@
@orsuerukkatta qaminngavugut@|@as we have no more blubber@
@orsugasaarpoq@|@is full of spots of blubber@
@orsuiak, orsugiak@|@cryolite@
@orsuinnaavoq@|@is smeared with blubber@
@orsulinnarpoq@|@it greases@
@orsunnguvoq, orsinnguvoq@|@feels sick from having ea'ten too much blubber@
@orsupalippoq@|@is greasy@
@orsuuserpaa@|@puts blubber into it @
@orsuut@|@blubber@
@orsuutiterpaa@|@greases it@
@orsuutiterutit@|@tar brush @
@orsuuvoq@|@is blubber@
@orullugaa@|@hankers after it@
@orulluppoq@|@is grumpy@
@orulluvigaa@|@asks him for something@
@oruluffigaa@|@is grumpy towards@
@orulutippaa, orulusarpaa@|@makes his grumpy@
@oruluutigaa@|@is grumpy about it@
@oruluvoq@|@is grumpy@
@orunii@|@its great gut@
@orunit@|@great gut @
@orunitorpoq@|@eats the gut of a ptarmigan@
@paaguppaa@|@pegs it fast@
@paagut, paaguseq@|@peg@
@paagutai, paagusai@|@the pegs in it@
@paagutaq@|@guard@
@paakippoq@|@has a small mouth@
@paakkaruserpaa, paakkarusersorpaa@|@puts cross-beams on it @
@paakkarut@|@beam@
@paalerpaa@|@puts a ring into it (the kayak)@
@paalersaat@|@powder measure@
@paallorpoq, paallattoorpoq@|@slides off @
@paamaarnarpoq@|@it takes long@
@paamaarpoq@|@is slow@
@paamaaruppaa@|@takes a long time over something for him@
@paamaarutigaa@|@is slow about it@
@paamigaa@|@finds it troublesome@
@paaminnarpoq@|@is troublesome@
@paaminnartoq@|@meddler@
@paamippoq@|@is unpleasant @
@paamitsaappaa@|@is tired of his perpetual run @
@paamitsajuippoq@|@puts up with all importunity@
@paamitsappoq@|@is tired of the perpetual run @
@Paamiut@|@Frederikshaab@
@paangarpoq@|@paddles hard@
@paangerpaa@|@closes the entrance to him or it@
@paaniarpaa@|@ravishes her@
@paannaq, paannaat@|@broad-leaved willow herb@
@paannipput@|@they play @
@paappaa@|@fastens it with a peg@
@paapput@|@they wrestle@
@paaq@|@redbreasted merganser @
@paaqartippaa@|@understands it@
@paaqqisigaa, paaqqinnitsigaa@|@is nursed by him@
@paaqqivaa@|@takes care of him@
@paaqut@|@opening of shot pouch@
@paaraa (paavoq)@|@takes care of him or it@
@paaraq@|@young merganser@
@paariartorpaa@|@goes to meet him@
@paarisassakka amerlaqaat@|@there are many @
@paarisassaq@|@something which is to be taken care of@
@paarlaappaa@|@mistakes it @
@paarlaappoq@|@is mistaken or exchanged @
@paarlagaapput@|@they are tangled up with each other@
@paarlagarpoq@|@walks backwards and forwards@
@paarlallugit@|@exchange them!@
@paarlangavoq@|@is crosswise @
@paarlannera@|@cross road@
@paarlappaa@|@passes him @
@paarlapput@|@they pass each other@
@paarlatsippaa@|@puts it together crosswise@
@paarlattarfik@|@muff@
@paarlattoq@|@wrong@
@paarlattua@|@the opposite of that@
@paarleq@|@hall@
@paarmorgigaa, paarngorfigaa@|@creeps after it or on it@
@paarmorpaa@|@creeps across it@
@paarmorpoq, paarngorpoq, (paamaarpoq)@|@creeps@
@paarmortoq@|@reptile@
@paarmualaarpoq, paarngualaarpoq@|@it is drifting a little@
@paarmuliaq, paarnguliaq@|@seal creeping on the ice @
@paarmuliarpoq@|@catches a creeping seal@
@paarnaasaq@|@grey pea@
@paarnaliarpoq, paarniarpoq@|@is out gathering berries@
@paarnaq@|@a rare species of dolphin@
@paarnaq, paarmaq, paarngaq@|@tree fruit@
@paarnaqussuaq, paarnaqulluk@|@juniper@
@paarnaqut@|@berry heather@
@paarnarluk@|@acorn@
@paarnarsuaq saaneqanngitsoq@|@fig@
@paarnarsuaq saanilik@|@dried plum@
@paarpaa@|@meets him@
@paarpoq@|@paddles a kayak@
@paarsaq@|@guarded@
@paarsiartorpaa@|@goes to meet him@
@paarsisigaa@|@has him as his guardian@
@paarsisoq@|@guardian@
@paarsuaq@|@en trance @
@paartigaa@|@has him as a mail carrier@
@paartippaa@|@sends him with the mail @
@paartitsipput@|@heaves to @
@paartoq@|@mail carrier@
@paartorpoq@|@flutters the wings @
@paarutigaa@|@is a mail carrier on this occasion@
@paasiluuserpaa, paasinerluppaa@|@misunderstands it@
@paasinngilara@|@i don't understand@
@paasinngilara, paasinngilakkit, paasisinnaannginnakkumii@|@I don't understand@
@paasissaanngilaq@|@is unintelligible@
@paasissaavoq@|@is intelligible@
@paasivaa, paaqartippaa@|@understands it@
@paasivik@|@powder flask@
@paassaq@|@wood for a kayak ring.@
@paassat@|@powder@
@paasserpaa@|@puts powder into it@
@paassuppaa@|@treats him or it @
@paasutaa@|@the person or the thing which he treats@
@paataajarpaa@|@breaks his kayak paddle@
@paataajarpoq@|@breaks his kayak paddle @
@paataajartippaa@|@cuts the ground from under his feet@
@paataarserpoq@|@loses his kayak paddle@
@paaterpaa@|@blackens it with soot@
@paatit@|@kayak paddle@
@paatsoorpaa@|@misunderstands him.@
@paattorpaa@|@distends it with pegs @
@paattuut@|@peg@
@paattuutitarpoq@|@misunderstands@
@paatuvoq@|@has a large mouth or opening@
@paavaa@|@wrestles or fights with him@
@paaverluerpaa@|@blackens him with soot@
@paaverluerpoq@|@blackens himself with soot@
@paaviarpaa@|@cleans it of soot @
@paavinnaavoq@|@is sooty@
@paavinnarpoq@|@shoots with blank cartridges@
@paavoq@|@is at borne and takes care of the house or the tent@
@paffa@|@there in the east@
@paffia@|@his wrist@
@paffik@|@wrist@
@paffilluppoq@|@has a pain in his wrist@
@paggapput (paavaa)@|@they scramble for something@
@paggatigaat@|@they scramble for or fight over it@
@paggatigisaq@|@plunder@
@paggerpoq (paaq)@|@is sooty @
@pagginneq@|@quarrel@
@paggipput (paavaa)@|@they fight with each other@
@paggit@|@provisions for the waiting period@
@pajugutigaa@|@brings it as a gift@
@pajuttut@|@gift@
@pakalak@|@rose root (Rhodiola)@
@pakappaa, pakamippaa, pakammippaa@|@happens to jostle him or it.@
@pakasaarpoq@|@takes a deep breath after having lost one's breath @
@pakasarpaa, pakasappaa@|@happens to jostle it@
@pakassippaa, pakassippaa, pakassummippaa@|@pulls at hooks with him.@
@pakassipput, pakassummipput@|@pulls at hooks with him@
@pakatsisippaa, pakatsisarpaa@|@shames him@
@pakatsissutigaa@|@is ashamed of it@
@pakatsivoq@|@is ashamed@
@pakinippaa, pakanippaa@|@lies with the end across it and weighs it down @
@pakinipput@|@they lie with the ends above each other@
@pakka, papii@|@its tail@
@pakkaluaq@|@butterfly@
@pakkerarpaa, pakkisarpaa@|@parries it time after time@
@pakkerpaa, pakkivaa@|@parries it @
@pakkorsii, pakkorsii-aa, pakkuakkut-aa@|@listen you (pl.) @
@pakkuppaa (pakappaa)@|@turns him towards himself@
@pakkuserpaa@|@inserts a prop into it (the kayak)@
@pakkut (patippaa)@|@prop @
@palaavoq@|@is excellent@
@palak@|@excellent@
@palanngarpoq@|@the rheum loosens@
@palasi@|@clergyman@
@palasiat@|@their clergyman@
@palasigaa@|@has him as a clergyman @
@palasip aallarnera nalerarlugu tikippunga@|@I arrived at the same time as the clergyman left@
@palasiuneq@|@high priest@
@paleq@|@cover (of caplin bag)@
@palerpaa (paaq)@|@makes him brown@
@palersineq@|@the charred part of something@
@palersivoq@|@gets sunburnt@
@palleq@|@willow tree@
