@English@|@Macedonian@
@impregnability@|@nesovladlivost@
@impregnable (impregnably)@|@nesovladliv@
@impregnate@|@oploduva (`ena `enka)@
@impregnate 1@|@impregnira, natopuva, zasituva@
@impregnation@|@impregnacija, natopuvawe, oploduvawe, zasituvawe@
@impresario@|@impresario@
@impress@|@impresionira, voodu{evuva@
@impress (n)@|@otpe~atok, pe~at@
@impress 1@|@vgraduva, vsaduva, vtisnuva@
@impress 2@|@ostava vpe~atok, otpe~atuva@
@impression@|@izdanie, kopija, otpe~atok, pe~at, vpe~atok@
@impression 1@|@imitacija (v teatar), pretstava@
@impressionability@|@~uvstvitelnost, povodlivost, priem~ivost@
@impressionable@|@~uvstvitelen, podatliv, povodliv, priem~iv@
@impressionism@|@impresionizam (vo umetnosta)@
@impressionist@|@imitator, impresionist (vo umetnosta)@
@impressionist (adj)@|@impresionisti~ki@
@impressionistic.ally@|@impresionisti~ki@
@impressive.ly@|@impresiven, vpe~atliv@
@impressiveness@|@impresivnost, vpe~atlivost@
@imprint@|@otpe~atuva, pe~ati, vtisnuva@
@imprint (n)@|@beleg, otpe~atok, pe~at@
@imprison@|@apsi, zatvora@
@imprisonment@|@apsewe, zatvorawe@
@improbability@|@neverojatnost@
@improbable (improbably)@|@neverojaten@
@improper@|@gre{en, neprili~en, nepristoen, neto~en, neumesen@
@impropriety@|@neprili~nost, nepristojnost, neto~nost, neumesnost@
@improptu@|@bez podgotovka, improviziran@
@improptus@|@improvizacija@
@improve@|@se podobruva, se poprava, unapreduva, usovr{uva@
@improve (vi)@|@napreduva@
@improvement@|@napredok, napreduvawe, podobruvawe, usovr{uvawe@
@improver@|@pripravnik@
@improvidence@|@nebre`nost, nemarnost@
@improvident@|@bezgri`en, nebre`en, nemaren@
@improvisation@|@improvizacija@
@improvise@|@improvizira@
@improviser@|@improvizator@
@imprudence@|@nepretpazlivost, nerazboritost@
@imprudent@|@nepretpazliv, nerazborit@
@impudence@|@besramnost, drskost@
@impudent@|@besramen, drzok@
@impugn@|@negira, osporuva@
@impulse@|@impuls (elektri~en), nagon, pottik@
@impulse buying@|@poriv za tro{ewe (pari)@
@impulsion@|@dvi`ewe, impuls, nagon, pottik@
@impulsive@|@impulsiven, izbuvliv@
@impulsiveness@|@impulsivnost, izbuvlivost@
@impunity@|@nekaznetost@
@impure@|@bluden, me{an, ne~ist, rasipan, razvraten@
@impurity@|@ne~istotija, primesi@
@imputation@|@nabeduvawe, obvinuvawe, pripi{uvawe@
@impute@|@pripi{uva na@
@imroper fraction@|@nepravilna dropka@
@in (adj)@|@interen ({ega), moderen (vo sleng), vnatre{en@
@in (coll)@|@lo{o mu se pi{uva, vnatre, zagazen@
@in (prep)@|@kaj, kako, na, od, po, pri, vnatre, vo, za@
@in a body@|@kako eden, kolektivno@
@in a jiffy@|@za ~as, za moment@
@in a lather@|@zadi{en, zazbiftan@
@in a trice@|@za mig@
@in accord@|@vo soglasnost, vo spogodba so@
@in accordance@|@vo soglasnost so@
@in actual fact@|@vsu{nost@
@in addition@|@osven toa, pokraj toa@
@in addition to sb/sth@|@osven nekogo (ne{to), pokraj nekogo (ne{to)@
@in advance@|@odnapred@
@in advance of sb@|@pred nekogo@
@in all (all in all)@|@se na se@
@in all conscience@|@~esno, navistina, so ~ista sovest@
@in all modesty@|@}e bidam neskromen@
@in an evil hour@|@nesre}no, vo lo{ ~as@
@in and out@|@tu vnatre tu nadvor, vleguva izleguva@
@in any case@|@{to i da e, vo sekoj slu~aj@
@in arrears@|@vo dolg@
@in ashes@|@sru{en@
@in behalf of sb@|@vo imeto na nekogo@
@in between@|@na srede, pome|u, sred@
@in blast@|@vo rabota@
@in bloom@|@rascvetan, vo cvet@
@in blossom@|@rascuten, vo cut@
@in bond@|@vo carinski magacin@
@in cold blood@|@ladnokrvno@
@in concert@|@prireduva koncert, slo`no, zaedni~ki@
@in conclusion@|@kako zaklu~ok, na kraj@
@in concurrence with@|@zaedni~ki so@
@in confidence@|@doverlivo, privatno@
@in conformity with@|@vo soglasnost so@
@in conjunction@|@vo vrska so, zaedno@
@in consequence@|@kako posledica (na)@
@in contempt@|@nepo~ituvawe (na)@
@in days of yore@|@porano, vo damne{ni vremiwa@
@in default of@|@inaku, sprotivno@
@in duty bound@|@kako {to e red@
@in fear@|@pla{ej}i se za@
@in force@|@masovno@
@in good time@|@rano e, so vreme@
@in hugger-mugger@|@skri{no, tajno@
@in manuscript@|@nenape~aten, pi{uvan so raka@
@in mothballs@|@konzerviran, vo rezerva@
@in mufti@|@vo civilno odelo@
@in one accord@|@ednodu{no, ednoglasno@
@in short@|@nakuso, so dva zbora@
@in that@|@bidej}i@
@in the abstract@|@teoriski, voop{teno@
@in the aggregate@|@vkupno, vo celina@
@in the altogather@|@potpolno gol@
@in the article of death@|@vo ~asot na smrtta@
@in the balance@|@nere{itelen@
@in the bloom of youth@|@vo cvetot na mladosta@
@in the bosom@|@vo prijatno dru{tvo@
@in the cane@|@film gotov za prika`uvawe, vo zatvor@
@in the first instance@|@pred se@
@in the know@|@dobro informiran@
@in the lap of luxury@|@kako bubreg vo loj@
@in the lap of the gods@|@kako e pi{ano, kako e sudeno@
@in the making@|@vo faza na sozdavawe@
@in the nude@|@gol@
@in the open air@|@pod vedro nebo@
@in the saddle@|@vo sedlo (na "kow")@
@in the small hours@|@v zori, vo sitni saati@
@in the vicinity of 1 million@|@okolu milion@
@in the wee hours@|@vo ranite utrinski ~asovi@
@in this connection@|@so ogled na toa, vo vrska so toa@
@in type@|@slo`en za pe~atewe@
@in vain@|@naprazno@
@in vogue@|@moderen, vo moda@
@inability@|@nemo}, nesposobnost@
@inaccessibility@|@nedostapnost, nepristapnost@
@inaccessible (inaccessibly)@|@nedostapen@
@inaccuracy@|@gre{ka, neto~nost@
@inaccurate@|@neto~en, pogre{en@
@inaction@|@miruvawe, neaktivnost, pasivnost@
@inactive@|@neaktiven, pasiven@
@inactivity@|@neaktivnost, pasivnost@
@inadequacy@|@nedorasnatost, nedovolnost, nepotpolnost, nesoodvetnost, nesposobnost@
@inadequate@|@nedorasnat, nedostato~en, nedovolen, nesposoben, nezadovolitelen@
@inadmissibility@|@nedopustlivost, nedozvolivost@
@inadmissible@|@nedopustliv, nedozvoliv@
@inadvertence@|@nevnimanie, nevnimatelnost, slu~ajnost@
@inadvertent@|@nebre`en, nenameren, slu~aen@
@inadvisable@|@neprepora~liv@
@inalienable@|@neotu|iv@
@inalienable rights@|@neotu|ivi prava@
@inamorata@|@qubena, qubovnica@
@inane@|@besmislen, glupav, prazen (govor)@
@inanimate@|@bez`ivoten, mrtov, ne`iv@
@inanimateness@|@bez`ivotnost, mrtvilo, ne`ivost@
@inanition@|@iznemo{tenost, slabost@
@inanity@|@besmislenost, besmislica, glupost@
@inapplicability@|@neprimenlivost, nesoodvetnost@
@inapplicable@|@neprimenliv, nesoodveten@
@inapprehensible@|@nesfatliv@
@inappropriate@|@nesoodveten, neumesen@
@inappropriateness@|@nesoodvetnost, neumesnost@
@inapt@|@neiskusen, nepogoden, nesposoben, neve{t@
@inaptitude@|@nesposobnost@
@inarticulate@|@nejasen (govor), nerazbirliv@
@inarticulateness@|@nerazbirlivost@
@inattention@|@nevnimanie@
@inaudibility@|@ne~ujnost@
@inaudible@|@ne~uen@
@inaugural@|@pristapen@
@inaugurate@|@otpo~nuva, otvora, voveduva (sve~eno), zapo~nuva@
@inauguration@|@pristapuvawe (na dol`nost), voveduvawe sve~eno@
@inaugurator@|@voveduva~@
@inauspicious@|@nenade`en, nepovolen, zlokoben, zlonade`en@
@inauspiciousness@|@nepovolnost, zlonade`nost@
@inboard@|@vnatre{en (vo brod)@
@inboard motor@|@vgraden motor@
@inborn@|@priroden, vroden@
@inbred@|@nasleden, vroden@
@inbreeding@|@vkrstuvawe (na srdonici)@
@incalculable@|@bezbroen, nepredvidliv (reakcija), neprocenliv@
@inception@|@za~etok@
@incertitude@|@neizvesnost@
@inchoate@|@nedorazvien, rudimentiran, vo zarodi{@
@incivility@|@neprili~nost, nequbeznost, neu~tivost@
@inclemency@|@ostrina (na klima), surovost@
@inclement@|@burno, lo{o (vreme), studeno@
@inclination@|@naklon, naklonetost, sklonost@
@incline (n)@|@nadolnica, padina, strmnina@
@incline (v)@|@kloni kon, naklonuva, se navednuva, se stremi@
@inclined@|@naklonet, sklon@
@inclined plane@|@kosa ramnina@
@include@|@sodr`i, vklu~uva@
@included@|@vklu~en@
@including@|@vklu~itelno@
@inclusion@|@sodr`ina, vklu~uvawe@
@inclusive@|@koj vklu~uva se, vklu~itelen@
@incognito@|@inkognito, skrien, taen@
@incognito (adv)@|@pod la`no ime, skri{um@
@incognitos@|@la`en identitet, nepoznat ~ovek@
@incoherence@|@nedoslednost, nejasnost, nepovrzanost, zbrkanost@
@incoherent@|@nedosleden, nejasen, nepovrzan, zbrkan@
@incombustible@|@nesogorliv@
@income@|@dohod@
@income tax@|@danok na dohod@
@incoming@|@koj doa|a, nov, novodojden, pretstoen@
@incommensurability@|@neizmerlivost, nesporedlivost@
@incommensurable@|@neizmerliv, nemerliv, nesporedliv@
@incommode@|@dodeva, pre~i@
@incommodious@|@neudoben, nezgoden@
@incommunicable@|@neiska`liv, nepriop{tiv@
@incommunicado@|@otse~en@
@incommunicative@|@mol~eliv, nekomunikativen, povle~en@
@incomparability@|@nesporedlivost@
@incomparable@|@nesporedliv@
@incompatibility@|@inkompatibilnost, nespojlivost@
@incompatible@|@inkompatibilen, nespojliv@
@incompetence@|@nekadarnost, nesposobnost@
@incompetent@|@nekadarnik, nesposoben@
@incomplete@|@nedovr{en, nepotpoln, nesovr{en, neusovr{en@
@incompleteness@|@nedovr{enost, nepotpolnost@
@incomprehensibility@|@nesfatlivost@
@incomprehension@|@nerazbirawe, nesfa}awe@
@inconceivable@|@nesfatliv, nezamisliv@
@inconclusive@|@neodreden, nere{en, neubedliv@
@inconclusiveness@|@neodredenost, neubedlivost, nezavr{enost@
@incongruity@|@neskladnost, nezgrapnost@
@incongruous@|@inkompatibilen@
@inconsequence@|@bezna~ajnost, nedoslednost, nelogi~nost, neva`nost@
@inconsequent@|@bezna~aen, nedosleden, nelogi~en, neva`en@
@inconsequential@|@bezna~aen, neva`en@
@inconsequentiality@|@bezna~ajnost, neva`nost@
@indict@|@obvinuva@
@indictable@|@kaznliv@
@indictment@|@obvinenie@
@indigence@|@nema{tija, oskudnost@
@indigenous@|@vroden (na)@
@indigent@|@oskuden, siroma{en@
@indignant@|@ogor~en (na)@
@indignation@|@ogor~enost@
@indignity@|@poni`uvawe@
@indigo@|@indigo (boja), temno-sin@
@indiscernible@|@nevidliv, nezabele`liv@
@indiscipline@|@nedisciplina@
@indiscreet@|@nepromislen, netakti~en@
@indiscretion@|@nepromislenost@
@indistinct@|@nejasen, zamaglen@
@indistinctness@|@zamaglenost@
@indivisibility@|@nerazdelivost@
@indivisible@|@nerazdeliv@
@indolence@|@indolentnost, mrzlivost, nemarnost, opu{tenost@
@indolent@|@indolenten, mrzeliv, nemaren, opu{ten@
@indomitable@|@nepokolebliv@
@indubitable@|@neosporen, nesomnen, nesporen@
@induce@|@naveduva, predizvikuva, provocira (poroduvawe)@
@inducement@|@motivacija, pobuda, pottik, povod@
@induct@|@prima vo (vojska), voveduva@
@induction@|@elektri~na indukcija, induktivna metoda (logika), motivacija, naveduvawe, pottik, predizvik, priem, provokacija (pri poroduvawe), voveduvawe@
@induction coil@|@bobina, indukcionen kalem@
@induction course@|@pripravni~ki kurs@
@inductive@|@indukciski, induktiven (zaklu~ok)@
@indulge@|@se oddava, se predava (na), si dopu{ta, u`iva (vo), udovoluva, ugoduva@
@indulgence@|@oddavawe (na alkohol), popustlivost, predavawe, udovoluvawe, ugoduvawe@
@indulgent@|@popustliv@
@industrial@|@industriski@
@industrial action@|@{trajk, prekin na rabota@
@industrial estate@|@industrisko zemji{te@
@Industrial Revolution@|@Industriska revolucija@
@industrialist@|@industrijalec@
@industrialization@|@industrijalizacija@
@industrialize@|@se industrijalizira@
@industrious@|@rabotliv, trudoqubiv, vreden@
@industriousness@|@rabotlivost, trudoqubivost@
@industry@|@industrija, rabotlivost, trudoqubivost@
@inebriate@|@napien, napiva, opiva, pijan (~ovek)@
@inebriated@|@napien, opien, pijan@
@inebriation@|@napienost, opienost, pijanost@
@inedibility@|@nepogodnost za jadewe@
@inedible@|@ne e za jadewe@
@ineducability@|@nemo`nost da se nau~i, tapost@
@ineducable@|@koj ne mo`e da nau~i, tap@
@ineffability@|@neiska`ivost, neiska`livost, neopislivost@
@ineffable@|@neiska`liv@
@ineffaceable@|@neizbri{liv (beleg)@
@ineffective@|@beskorisen, jalov, nekadaren@
@ineffectiveness@|@beskorisnost, jalovost, nekadarnost@
@ineffectual@|@neefikasen, nekadaren@
@inefficiency@|@neefikasnost, nesposobnost@
@inefficient@|@neefikasen, nekadaren@
@inelegance@|@neprofinetost, nezgrapnost, sirovost, trapavost@
@inelegant@|@kalpav, neprefinet, nezgrapen, sirov, trapav@
@ineligibility@|@nepodobnost, nepogodnost@
@ineligible@|@nepodoben, nepogoden@
@inept@|@glupav, nesposoben (krajno)@
@ineptitude@|@nekadarnost@
@ineptness@|@krajna nesposobnost@
@inequality@|@neednakvost, neramnopravnost, nesrazmernost, razlika@
@inequitable@|@nepraveden, nepravi~en@
@inequity@|@nepravda, nepravi~nost, nespravedlivost@
@ineradicable@|@neiskorenliv@
@inert@|@baven, mrzliv, tromav@
@inertia@|@bavnost, inercija, mrzlivost, tromost@
@inescapable@|@neizbe`en, neodminliv@
@inessential@|@nebiten, nesu{testven@
@inessential (n)@|@nepotrebnost@
@inestimable@|@neprocenliv@
@inevitability@|@neizbe`nost, neminovnost@
@inevitable@|@neizbe`en, neminoven@
@inexactness@|@neto~nost@
@inexcusable@|@neopravdan, neoprostliv@
@inexhaustible@|@neiscrpen, neumoren@
@inexorability@|@bezmilosnost, neumolivost@
@inexorable@|@bezmilosen, neumoliv@
@inexpedience@|@necelishodnost@
@inexpedient@|@necelishoden, neumesen@
@inexpensive@|@eftin@
@inexperience@|@neiskustvo, neopitnost@
@inexperienced@|@neiskusen, neopiten@
@inexpert@|@neume{en@
@inexpiable@|@neiskupiv, neoprostliv, nepopravliv@
@inexplicability@|@neobjasnivost@
@inexplicable@|@neobjasniv@
@inexpressible@|@neiska`liv@
@inextinguishable@|@neugasiv, neugasliv, neuni{tliv@
@inextricable@|@nerazre{liv, zapletkan@
@infallibility@|@nepogre{livost@
@infallible@|@bezgre{en, nepogre{liv@
@infamy@|@ne~esnost, ozloglasenost, podlost@
@infancy@|@detstvo, za~etok, zarodi{@
@infant@|@bebe, doen~e@
@infant prodigy@|@~udo od dete, vunderkind@
@infant school@|@detska gradinka (v Britanija)@
@infanticide@|@~edomorec, ~edomorstvo, ~edoubiec, ~edoubistvo@
@infantile@|@detinest, detinski, detski, infantilen@
@infantile paralysis@|@detska paraliza@
@infantry@|@pe{adija@
@infantryman@|@pe{adinec@
@infatuated@|@zaluden (od qubov), zaslepen@
@infatuation@|@strast, zaludenost, zaslepenost (qubovna)@
@infect@|@inficira, zarazuva@
@infection@|@infekcija, zaraza@
@infectious@|@zarazen@
@infectiousness@|@zaraznost@
@infelicitous@|@nesre}en (izraz ~in)@
@infelicity@|@lo{o izbran izraz, neumesnost@
@infer@|@izveduva zaklu~ok, zaklu~uva@
@inference@|@zaklu~ok@
@inferential@|@deduktiven@
@inferior@|@dolen, inferioren, ni`, podreden, ponizok@
@inferior (n)@|@pot~inet (v slu`ba)@
@inferiority@|@podredenost, pomala vrednost, pot~inetost@
@inferiority complex@|@~uvstvo na ni`a vrednost@
@infernal@|@adski, pekolen, u`asen (arh)@
@inferno@|@ad@
@infertile@|@jalov, neploden@
@infertility@|@jalovost, neplodnost@
@infest@|@napa|a (masovno), navaluva, poplavuva (fig)@
@infestation@|@napad (masoven), navala, poplava (fig)@
@infidel@|@bezbo`nik, kaurin, nevernik@
@infidelity@|@bezbo`ie, nevera, nevernost@
@infighting@|@borba od blisku (v sport), vnatre{na borba (firma)@
@infiltrate@|@se probiva, se vovlekuva (kaj neprijatel)@
@infiltration@|@probivawe (kaj neprijatel), vovlekuvawe@
@infiltrator@|@infiltrator@
@infinite@|@beskone~en, beskraen, bezbroen@
@infinitesimal@|@beskone~no mal (broj)@
@infinitive@|@infinitiv (gramat)@
@infinitude@|@beskone~nost, beskraj, neograni~enost@
@infinity@|@beskone~nost, beskrajnost, bezbroj@
@inflammatory@|@vospaliv@
@infuriate@|@popizduva (od bes), razgnevuva, zbesnuva@
@ingenious@|@duhovit, genijalen@
@ingenuity@|@genijalnost@
@ingenuous@|@ednostaven, naiven, priroden@
@ingenuousness@|@ednostavnost, naivnost, otvorenost, prirodnost@
@ingest@|@prima (hrana)@
@ingestion@|@primawe (hrana)@
@inglenook@|@sedi{te kraj ogni{te@
@inglorious@|@neslaven@
@ingot@|@pra~ka zlato (srebro)@
@ingrained@|@vkorenet, zakoraven@
@ingratiate@|@se umilkuva@
@ingratiating@|@dodvoruva~ki, umilkuva~ki@
@ingratitude@|@neblagodarnost@
@ingredient@|@sostojka@
@ingrowing@|@vrasnat@
@ingurgitate@|@lakomo golta, lapa@
@ingurgitation@|@lakomo goltawe, lapawe@
@inhabit@|@`ivee (vo ku}a), naseluva (zemja oblast)@
@inhabitability@|@nepogoden za `iveewe@
@inhabitable@|@naseliv, pogoden za `iveewe@
@inhabitance@|@`itelstvo@
@inhabitancy@|@`itelstvo@
@inhabitant@|@`itel@
@inhabitation@|@`iveali{te, `iveewe (mesto na)@
@inhalant@|@lekarstvo za inhalirawe@
@inhalation@|@vdi{uvawe (vozduh), vovlekuvawe (~ad od cigara)@
@inhalation (2)@|@inhalacija, inhalirawe@
@inhalation (3)@|@lekarstvo za inhalirawe@
@inhalator@|@inhalator@
@inhale@|@inhalira (lekarstvo), vdi{uva (vozduh miris), vovlekuva (~ad od cigara)@
@inhaler@|@inhalator@
@inharmonious@|@neharmoni~en, neskladen@
@inharmoniousness@|@nesklad@
@inhere in@|@se nao|a vo, se sodr`i vo@
@inherence@|@neoddelivost, svojstvenost, vrodenost@
@inherent@|@inherenten, neoddeliv, svojstven@
@inherently@|@po (samata) priroda, vo (samata) priroda@
@inherit@|@nasleduva@
@inheritable@|@nasleden@
@inheritance@|@nasledstvo, nasleduvawe@
@inheritance tax@|@danok na nasledstvo@
@inheritor@|@naslednik@
@inheritress@|@nasledni~ka@
@inhibit@|@inhibira, popre~uva, potisnuva (~uvstva), sopira, zabranuva@
@inhibited@|@povle~en e, rezerviran e, se ~uvstvuva neprijatno@
@inhibiter@|@inhibitor@
@inhibiting@|@inhibira~ki, inhibitoren, restriktiven, zabranuva~ki@
@inhibition@|@inhibiranost, neprijatnost, povle~enost, rezerviranost@
@inhibitor@|@inhibitor@
@inhibitory@|@inhibitoren, restriktiven, zabranuva~ki@
@inhomogeneity@|@nehomogenost@
@inhomogeneous@|@nehomogen@
@inhospitable@|@negostoqubiv@
@inhospitably@|@negostoqubivo, nequbezno@
@inhuman@|@brutalen, ne~ove~ki@
@injunction@|@nalog (sudski), naredba, zabrana@
@injure@|@navreduva, povreduva@
@injured@|@navreden, o{teten, povreden@
@injurious.ly@|@{to povreduva@
@injury@|@povreda@
@injustice@|@nepravda, nepravednost@
@inlaid@|@oblo`en, vmetnat@
@inland@|@doma{en, suvozemen@
@inland (adv)@|@kon vnatre{nosta (na zemjata)@
@Inland Revenue@|@Dano~na uprava, prihod od danok@
@inlaws@|@svatovi@
@inlay@|@obloga, plomba (zabna)@
@inlay (pp pt) inlaid@|@oblo`uva, vmetnuva@
@inlet@|@protok (me|u 2 ostrova), vlezen otvor, vlo{ka, vmetnato par~e, zaliv~e@
@inmate@|@cimer (v zatvor ludnica), sostanar@
@inmost@|@najskrien, najvnatre{en@
@inn@|@an, gostilnica, kr~ma@
@innards@|@creva, utroba@
@innate@|@vroden@
@inner@|@skrien, taen@
@inner circle@|@tesen krug@
@inner city@|@centralen del (od grad)@
@inner tube@|@vnatre{na guma@
@innermost@|@najvnatre{en@
@inning@|@devetina (vo bejzbol)@
@inning (fig Br)@|@mandat@
@innkeeper@|@anxija, gostilni~ar, kr~mar@
@innocence@|@naivnost, nevinost, prostodu{nost@
@innocent@|@~ist, naiven, nevin, nevinoven, prostodu{en@
@innocent (arch)@|@idiot, maloumnik@
@innocent (n)@|@naivec, nevin, prostodu{en (~ovek)@
@innocuous@|@naiven, prostodu{en@
@innocuousness@|@naivnost, prostodu{nost@
@innovate@|@menuva, promenuva@
@innovation@|@inovacija, novost, promena@
@Inns of Court@|@advokatski komori (vo London)@
@innuendo@|@insinuacija@
@innumerable@|@bezbroen, nebroen@
@inoculate@|@vakcinira@
@inoculation@|@vakcinacija, vakcinirawe@
@inoffensive@|@bezopasen, dobrodu{en@
@inoffensiveness@|@bezopasnost, dobrodu{nost@
@inoperable@|@neizvodliv, neostvarliv, neotstranliv (operativno), nevozmo`en za operacija@
@inopportune@|@nenavremen, nepogoden (~as)@
@inopportuneness@|@nenavremenost, nepogodnost@
@inordinate@|@neodmeren, prekumeren, preteran@
@inorganic@|@neorganski, nepriroden, nesvojstven, tu|@
@inorganicchemistry@|@neorganska hemija@
@inpatient@|@bolen {to se lekuva v bolnica@
@input@|@podatoci (kompjuterski), vlez (na podatoci), vlez (za energija)@
@input (v)@|@vnesuva (podatoci)@
@inquest@|@analiza (na partija {ah karti), istraga@
@inquietude@|@nemir, nespokojstvo@
@inquire@|@pra{uva za, se interesira, se raspra{uva, vr{i ispituvawa@
@inquirer@|@ispituva~, pra{uva~@
@inquiring@|@ispituva~ki, qubopiten@
@inquiry@|@anketa, ispituvawe, istraga, pra{uvawe@
@inquisition@|@soslu{uvawe@
@Inquisition@|@inkvizicija@
@inquisitive@|@`elen za znaewe, qubopiten@
@inquisitor@|@inkvizitor, islednik@
@inquisitorial@|@inkvizitorski, qubopiten@
@inrush@|@navala, poplava (reka od turisti), priliv@
@ins and outs@|@detali, krivini (fig), podrobnosti@
@insalubrious@|@nezdrav (kraj klima)@
@insane@|@bezumen, lud, mrdnat, nenormalen, nezdrav@
@insanitary@|@nehigienski, nezdrav@
@insanity@|@bezumie, ludilo, nezdravost@
@insatiable@|@nenasiten, nezasiten@
@insatiate@|@nenasiten@
@inscribe@|@posvetuva (kniga), potpi{uva, vcrtuva, vpi{uva@
@inscription@|@natpis (vo kamen), posveta (na kniga)@
@inscrutability@|@tainstvenost, zagado~nost@
@inscrutable@|@tainstven, zagado~en, zbunuva~ki@
@insect@|@insekt@
@insect bites@|@kasnatinki, mesta kasnati od insekti@
@insecticidal@|@insekticiden@
@insecticide@|@insekticid@
@insectivorous@|@koj {to rani so insekti@
@insecurity@|@nesigurnost@
@inseminate@|@oploduva@
@insemination@|@oploduvawe@
@insensate@|@bes~uvstven, ne~uvstvitelen, nerazumen@
@insensibility@|@ne~uvstvitelnost, nesvesnost, ramnodu{nost@
@insensible@|@neosetliv, nesvesen, nezabele`itelen, nezabele`liv@
@insensitivity@|@ne~uvstvitelnost, netakti~nost@
@insentient@|@bes~uvstven, ramnodu{en@
@inseparability@|@nerazdvojnost@
@inseparable@|@nerazdvoen@
@insert@|@stava, vmetnuva@
@insert (n)@|@vlo{ka, vmetka (me|u str na kniga)@
@insertion@|@oglas (vo vesnik), vmetnuvawe@
@inset@|@prilog@
@inset (v)@|@dodava, prilo`uva, vmetnuva@
@inshore@|@kraj bregot, krajbre`en@
@inside@|@creva, utroba, vnatre{en, vnatre{nost@
@inside (adv)@|@v zatvor (sleng), vnatre@
@inside left@|@leva polutka (fudb)@
@inside man@|@na{ ~ovek@
@inside of@|@pomalku (vreme) od@
@inside out@|@naopaku@
@inside right@|@desna polutka (fudb)@
@inside track@|@vnatre{na pateka (kaj trki)@
@insider@|@vnatre{en (doma{en) ~ovek@
@insidious@|@podmolen@
@insidiousness@|@podmolnost@
@insight@|@intuicija, proniklivost, uvid@
@insignia@|@epoleti, obele`ja, oznaki, znaci@
@insignificance@|@bezna~ajnost, neva`nost, nezna~itelnost@
@insignificant@|@nezna~itelen@
@insincere@|@licemeren, neiskren@
@insincerity@|@licemerie, neiskrenost@
@insinuate@|@nafrluva, napomenuva, se potpikuva, se ulizuva@
@insinuation@|@aluzija, insinuacija, nafrluvawe, napomena, potpiknuvawe@
@insipid@|@bez`ivoten, blutkav, mrtov, nevkusen@
@insipidity@|@bez`ivotnost, blutkavost, mrtvilo, nevkusnost@
@insipidness@|@blutkavost, nevkusnost@
@insist@|@insistira, nastojuva@
@insistence@|@barawe, insistirawe, nastojuvawe, upornost@
@insistency@|@upornost@
@insistent@|@iten, nastoj~iv, uporen@
@insobriety@|@neumerenost, pijanstvo@
@insole@|@podlo{ka (za ~evel)@
@insolence@|@bezobrazie, bezobyirnost@
@insolent@|@bezobyiren@
@insolubility@|@nerastvorlivost, nere{livost@
@insoluble@|@nerastvorliv, nere{liv@
@insolvency@|@bankrotstvo, nelikvidnost@
@insolvent@|@bankrotiran, nelikviden, plate`no nesposoben@
@insomnia@|@nesonica@
@insomniac@|@nesoni~ar, nesoni~arski@
@insomuch@|@do toj stepen, tolku, vo taa merka@
@insouciance@|@bezgri`nost, nevnimatelnost@
@insouciant@|@bezgri`en, nebre`en, nevnimatelen@
@inspect@|@ispituva, istra`uva, kontrolira, nadzira, pregleduva, proveruva, razgleduva@
@inspection@|@istraga, kontrola, nadgleduvawe, nadzor, pregled, proverka@
@inspector@|@inspektor (policiski), kontrolor, nadgleduva~, nadzornik@
@inspector of taxes@|@dano~nik@
@inspectorate@|@inspekcija, inspektorstvo@
@inspectorship@|@inspektorstvo@
@inspiration@|@ideja (dobra), inspiracija, vdahnovenie, zanes@
@inspire@|@inspirira, motivira, predizvikuva, vdahnuva@
@inspired@|@vdahnoven (od Gospod)@
@inspiriting@|@ohrabruva~ki@
@instability@|@nepostojanost, nesigurnost@
@install@|@instalira, montira, namestuva, postavuva, smestuva, vostoli~uva, voveduva@
@installation@|@instalacija, namestuvawe, postavuvawe, postrojka, smestuvawe, vostoli~uvawe@
@installment plan@|@kupuvawe na kredit@
@instalment (installment)@|@del, epizoda, prodol`enie, rata@
@instance@|@primer, slu~aj@
@instance (v)@|@ilustrira, naveduva kako primer@
@instance. at someones instance@|@po barawe na@
@instant@|@brz (hrana), gotov, iten, momenten, neodlo`en@
@instantaneous@|@istovremen, momenten, neposreden@
@instantaneousness@|@istovremenost, momentnost, neposrednost@
@instantly (adv)@|@vedna{@
@instead@|@kako zamena@
@instead of@|@mesto (namesto)@
@instep (n)@|@goren del od stapaloto, ris@
@instigate@|@podbucnuva, pokrenuva, pottiknuva, voveduva@
@instigation@|@inicijativa, podbucnuvawe, pokrenuvawe, pottiknuvawe, voveduvawe@
@instigator@|@dvigatel, inicijator, podbucnuva~, pokrenuva~, vr{itel@
@instil (Am instill)@|@vleva, vsaduva@
@instilation@|@vlevawe, vsaduvawe@
@instinct@|@"nos", {esto setilo, instinkt, nagon, oset@
@instinct (adj)@|@ispolnet (so `ivot ubavina)@
@instinctive@|@instinktiven, nagonski, nesvesen@
@institute@|@institucija, institut, organizacija@
@institute (v)@|@osnova, vospostavuva, vtemeluva@
@institution@|@institucija, obi~aj, osnovawe, praktika, ustanova, vospostavuvawe, vtemeluvawe, zakon@
@institution (coll)@|@znamenitost (od ~ovek)@
@institutional@|@instituciski@
@institutionalize@|@regulira, ureduva@
@instruct@|@nalo`uva, pou~uva, upatuva@
@instruct (lit)@|@izvestuva (slu`beno), sovetuva@
@instruction@|@nalo`uvawe, naredba, pou~uvawe, sovet, upatstvo, upatuvawe@
@instructional@|@korisen, pou~en@
@instructor@|@instruktor, u~itel@
@instructor (Am)@|@lektor (na Univerzitet)@
