@English@|@Jerriais@
@luff of sail@|@lé lof, lof d'eune vaile@
@Luke@|@Luc@
@lullaby@|@la bèrcheuse@
@lumbago@|@lé mal ès reins@
@lumber-room@|@l'èrtithe-tout@
@lumpsucker@|@un paffot@
@lump-sucker@|@eune poule d'ieau@
@lunatic@|@lé leunatique@
@lung@|@lé ponmon@
@lupin@|@du pais lupîn@
@Luxembourg@|@Luxembourg@
@Macao@|@Macao@
@Mace@|@la Mâsse@
@Macedonia@|@Macédoine@
@mackerel@|@un maqu'thé@
@mackerel sky@|@un ciel dé maqu'thé@
@mad person@|@l'însensé@
@Madagascar@|@Madagascar@
@madeira@|@lé madère@
@Madeira@|@Madère@
@Madeiran@|@Madèran@
@madman@|@lé fo@
@Madonna lily@|@du sâbre dé la Vièrge@
@madwoman@|@la folle@
@magazine@|@lé magasîn@
@maggot@|@lé magot@
@magic@|@la magie@
@magician@|@lé magicien@
@magistrate@|@un magistrat@
@magnet@|@aimant@
@magnifying glass@|@un vèrre d'approche, vèrre d'approche@
@Magnolia@|@un magnolia@
@magpie (female)@|@eune mèrgot, eune pie@
@magpie (male)@|@un piêté@
@mahogany@|@méaguinné@
@Mahogany@|@l'acajou, lé méaguinné@
@Maidenhair-fern@|@du ou d'la capillaithe@
@mail@|@lé courrier@
@main topgallant-sail@|@lé grand pèrrotchet@
@Mainer@|@Mainais, Mainien@
@main-mast@|@lé grand mât@
@main-sail@|@la grand' vaile@
@main-yard@|@la grand' vèrgue@
@Majorcan@|@Majortchain@
@majority@|@la mâjorité@
@make a row@|@criailli@
@make a tack@|@couôrre eune bordée, faithe un bord@
@make fun of@|@motchi@
@making@|@faîs'sie@
@Malawi@|@Malawi@
@Malayan@|@Malais@
@Malaysia@|@Malaysie@
@Malcolm@|@Malquamme@
@malcontent@|@lé malcontent@
@Maldives@|@Maldives@
@Mali@|@Mali, Mali@
@malingering@|@la maladie au r'nard@
@mallard@|@un maillard@
@mallet@|@maîlloche@
@Malta@|@Malte@
@Maltese@|@Maltais@
@Man in the Moon@|@l'Houmme dans la Leune, Porte-Fagot@
@man of means@|@lé rentchi@
@manage@|@mênagi@
@manager@|@lé gérant, lé mênagi@
@mandrel@|@mandrîn@
@mane@|@lé crîn@
@Manitoba@|@Manitoba@
@Manitoban@|@Manitobain@
@manly woman@|@la hale-fraque@
@manrope knot@|@un noeud d'ièrrîn@
@manure@|@lé conré, lé feunmyi@
@manure (liquid)@|@l'êpu@
@Manx@|@Manx@
@Many happy returns@|@J'vouos souhaite jouaie@
@Many-seeded Goosefoot@|@d'la rouoge s'nîle, du rouoge pid@
@marble@|@du marbre, marbre@
@March@|@Mar@
@marchioness@|@la martchise@
@mare@|@la jeunment@
@Margaret@|@Marguérite, Mèrdgitte, Mèrgot, Mèrgotte, Mèrgotton@
@marjoram@|@la marjolaine@
@Mark@|@Mar@
@marker@|@lé mèrtcheu@
@market@|@lé marchi, marchi@
@market stall@|@eune halle@
@Maroccan@|@Marotchain@
@marquess@|@lé martchis@
@Marram@|@du melgreu@
@marriage@|@lé mathiage, un mathiage@
@marriage licence@|@eune dispense dé mathiage@
@marrow@|@la courge, lé m'lon@
@marry@|@mathier@
@Mars@|@Mars@
@Marseillais@|@Marseillais@
@marsh@|@lé mathais@
@Marsh Thistle@|@du tcheurdron@
@Marsh Woundwort@|@d'l'orvale@
@Marshall Islands@|@Îles Marshall@
@Marshwort@|@la sûthe-ieau, lé pavet@
@marten@|@la martre@
@Martin@|@Martîn@
@Martinique@|@Martinique@
@Martiniquese@|@Martinnitchais@
@martyr@|@lé martyr@
@marvel of Peru@|@des belles-dé-niet@
@Mary@|@Manon, Marie, Mathie, Mathotte, Mèrrotte, Micotte@
@Mary Ann@|@Mêrrienne, Micotte@
@Marylander@|@Marylandîn@
@mask@|@eune vîsagiéthe@
@masonry@|@la machonn'nie@
@Mass@|@la mêsse@
@massacre@|@la machacréthie, lé machacre, un machacre@
@masseur@|@lé masseux@
@mat@|@la natte@
@material@|@l'êtoffe, lé matériel@
@maternity@|@la matèrnité@
@maths@|@les mathématiques@
@matron@|@la matronne@
@Matthew@|@Matchi@
@mattress@|@lé matenas@
@Mauritania@|@Mauritannie@
@Mauritius@|@Île Maurice@
@Maxican@|@Mexitchain@
@May@|@Mai@
@may-bug@|@lé hanneton@
@may-fly@|@la moûque d'un jour@
@mayor@|@lé maire@
@Mayotte@|@Mayotte@
@mead@|@lé baûtchet, lé vitoué@
@meadow pipit@|@eune alouette dé mielle, un pievis@
@meadow pipit (1)@|@eune p'tite alouette@
@Meadow sweet@|@la reine des prés@
@meadowsweet@|@d'la reine-des-prés@
@measles@|@la rouogeule@
@measure@|@la m'suthe@
@mechanic@|@lé mécanicien@
@meddler@|@lé paûque-en-pot@
@medecine@|@la méd'cinn'nie, la méd'cinne@
@media release@|@un commeunitchi ès médias@
@Mediterranean@|@la Méditerrannée, lé Dêtrait@
@Medlar@|@un meîlyi@
@meet@|@rencontrer@
@meeting@|@la rêunion@
@megabyte@|@mégabouochie@
@melody@|@la mélodie@
@melon@|@lé m'lon@
@member@|@lé membre@
@memory@|@la mémouaithe@
@memory stick@|@eune badgette dé mémouaithe@
@mend@|@èrgraie, racc'moder@
@mental arithmetic@|@lé caltchul du sens d'sa tête@
@menu@|@lé m'nu@
@mercenary@|@lé mèrcénaithe@
@mercury@|@vif-argent@
@Mercury@|@Mèrtchure@
@merit@|@méthiter@
@mermaid's purse@|@eune bourse au dgiâbl'ye, un crapaud d'mé@
@mermaid's purse (1)@|@eune bourse, eune chiviéthe à bras@
@Merry Christmas@|@Bouan Noué, Jouaiyeux Noué, Un Bouan Noué@
@Merry Christmas!@|@Un Bouan Noué@
@merry person@|@lé rieux@
@messenger@|@lé messagi@
@Messiah@|@lé Messie@
@metal@|@méta@
@metal dowels@|@des g'vil'yes en fé@
@metal washer@|@rîndelle en fé@
@meter reader@|@un m'sutheux d'êlectricité@
@Methodist@|@un chap'lain, un Méthodiste, un Wesleyen@
@mew@|@vioûler@
@Mexican Fleabane@|@des mèrgots à pouochîns@
@Mexico@|@Mexique@
@miaouw@|@miaûner@
@Michael@|@Miché@
@Michaelmas Daisy@|@des mèrgots d'la St. Miché, l'îndgienne@
@Michigander@|@Michigannien@
@Micronesia@|@Micronésie@
@microphone@|@lé microphône@
@microwave@|@la micro-onde, un fou à micro-louêmes@
@Middle Ages@|@l'Mouoyen Âge@
@Middle East@|@Mouoyen Orient@
@middle man@|@lé r'vendeux@
@midge@|@lé bibet@
@'mids' (potatoes)@|@les mouoyennes@
@midwife@|@l'accouocheuse, la gardgienne, la sage-femme@
@migraine@|@les bonds d'tête@
@Milanese@|@Milannais@
@milestone@|@la pièrre dé mille@
@military@|@militaithe@
@military review@|@les mouontres@
@Militia@|@la Milice@
@militiaman@|@lé milicien@
@milk@|@doudou, lé lait, traithe@
@milk jug@|@un laitchi@
@milk o' punch@|@lé milk-é-pan'tch@
@milk on the turn@|@lé lait bidoux@
@milk straight from the cow@|@du lait doux@
@milker@|@lé triyeux@
@milking@|@la traite, la traithie@
@milking jug@|@la canne à traithe@
@milking stool@|@la scabelle à traithe@
@milkman@|@lé laitchi, un laitchi@
@milk-shake@|@un lait d'poule@
@milky@|@laiteux@
@Milky Way@|@les C'mîns d'St. Jacques@
@millennium@|@un millénaithe@
@miller@|@lé monnyi@
@millionaire@|@lé millionnaithe@
@millionth@|@lé/la millionnième@
@millipede@|@lé mille-pids@
@mill-pond@|@l'êcliuse@
@mimic@|@lé d'ganneux@
@mincemeat cake@|@la gâche fouôrrée@
@mine@|@eune minne@
@mineral@|@minnéra@
@minister@|@lé minnistre@
@ministry@|@lé ministéthe@
@Minnesotan@|@Minnesotais, Minnesotchien@
@minority@|@la minnorité@
@mint@|@la menthe@
@minuet@|@un ménuet@
@miracle@|@lé mithacl'ye@
@mirror@|@lé mitheux@
@miscarriage@|@la fausse couoche@
@miscellaneous vraic@|@du brêgeais, du brîngeais@
@mischievous child@|@lé mêché@
@miser@|@l'agravé, l'avare, lé finnailli, lé gratteux@
@miser (1)@|@lé rapinneux, lé stégrîn@
@miserly@|@stégrîn@
@misogynist@|@lé haîsseux d'femmes@
@miss@|@mantchi@
@mission@|@la mission@
@missionary@|@lé missionnaithe@
@Mississippian@|@Mississippien@
@Missourian@|@Missourien@
@mist@|@lé bliâsîn@
@mistle thrush@|@eune hèrbette, eune trâle, lé gris mêle@
@mistle thrush (1)@|@lé jaune pliacard@
@mistletoe@|@du dgi@
@mistress@|@la contchubinne@
@mite@|@eune mite@
@mitre square@|@êtchèrre d'ongliet@
@mitre-box@|@bosc à ongliet@
@mitten@|@la mitaine, lé miton@
@mixer@|@lé mixeu@
@mizzen@|@la mîsaine, la vaile d'artimon@
@mizzen mast@|@lé mât d'artimon@
@mizzen top@|@la heune d'artimon@
@mizzen topgallant-sail@|@la pèrruque@
@moan@|@geindre@
@moaner@|@lé nâdgeux@
@mobile phone@|@lé téléphône dé pouchet, un téléphone dé pouchette@
@mobilisation@|@la mobilisâtion@
@modem@|@lé modem@
@Moldavia@|@Moldova@
@mole@|@la taupe, la vèche, lé taupîn@
@mole-cricket@|@lé scorpion@
@molehill@|@eune taupinniéthe@
@Molly@|@Mollé@
@Monaco@|@Monaco@
@monastery@|@lé monastéthe@
@Monday@|@Lundi@
@money@|@les sou@
@money-spider@|@lé pêtre à sou@
@Mongolia@|@Mongolie@
@mongrel dog@|@lé tchian mêlé@
@monitor@|@l'moniteu@
@monk@|@un mouaine@
@monkey@|@lé marmoûset, lé sînge@
@monkfish@|@un mouaine, un violon@
@monkshood@|@du bliu bonnet, du bonnet turc@
@Montanan@|@Montannais, Montannien@
@Montbretia@|@d's êtchelles dé Jâcob@
@month@|@un mais@
@Montreal@|@Montréal@
@Montrealer@|@Montréalais@
@Montserrat@|@Montserrat@
@monument@|@un monûment@
@moo-cow@|@robinne@
@moon@|@la lantèrne des pouôrres gens, la leune@
@moon (1)@|@la lantèrne d'pâraîsse@
@moor@|@la lande@
@moorhen@|@eune poule dg'ieau@
@moose@|@l'orîngna@
@morning@|@lé matîn@
@Morocco@|@Maroc@
@mortal@|@mortel@
@mortality@|@la mortalité@
@mortar@|@lé mortchi, mortchi@
@mortise chisel@|@bédane@
@mortise gauge@|@caûcheux@
@Moscow@|@Moscou@
@Moses@|@Moïse@
@mosquito@|@la moustique@
@moth@|@l'ange, la cahuche, lé papillon d'niet@
@motheaten@|@mangi des vèrs@
@mother@|@la méthe, méthe@
@mother-in-law@|@la belle-méthe@
@mother-in-law's tongue@|@d'la langue dé belle-méthe@
@Mothers' Day@|@la Fête des Méthes@
@Motherwort@|@du picot@
@motion@|@la motion@
@motor@|@l'engîn@
@motorbike@|@la motor-bike, motorbike@
@mould@|@lé moûle@
@moulding@|@la moûleuse@
@moulding plane@|@moûleuse, rabot à moûleuse@
@mountain@|@la montangne@
@mouse@|@la souothis@
@mouse mat@|@la natte à souothis@
@moustache@|@eune moustache, la moustache@
@mouth@|@la bouoche@
@mouth off@|@dêdgeuler@
@move@|@bouogi@
@mower@|@eune faûcheuse@
@mowing machine@|@la faûcheuse@
@Mozambique@|@Mozambique@
@mud@|@pité@
@mudguard@|@lé garde-pité@
@mug@|@lé godîn, mogue, mogue@
@mugful@|@la modgie@
@Mugwort@|@d'l'hèrbe d'St Jean@
@mulled wine@|@lé vîn brûlé@
@mullet@|@un mulet@
@mullet (grey@|@rouoge), un mulet (gris)@
@mullion@|@l'entré-panné@
@multi-storey car park@|@bâtisse à stâtionner, lé bâtisse à stâtionner@
@mummy@|@m'mèe@
@mumps@|@l's ouothipieaux@
@municipal@|@meunicipal@
@municipality@|@la meunicipalité@
@murder@|@lé meurtre@
@murderer@|@lé meurtriyi@
@murmur@|@murmuther, prôner@
@muscle@|@lé muscle@
@Muscovite@|@Moscovite@
@muscovy duck@|@eune moscovie@
@museum@|@un musée@
@mushroom@|@lé champîngnon@
@music@|@la musique@
@musician@|@lé musicien, un musicien@
@Musk Stork's-bill@|@d's êpîles à chorchièrs@
@muskrat@|@lé rat mustchi@
@muslin@|@la mousselinne@
@mussel@|@la moûle, un bé d'corbîn, un orté dé g'niche@
@must@|@d'ver, faller@
@mustard@|@la moutarde@
@mustard pot@|@lé moutardgi@
@mutton@|@lé mouton@
@My name is ...@|@Jé m'appelle ..., Jé sis ..., Man nom est ...@
@my petal... (etc)@|@man doûdîn@
@Myanmar@|@Myanmar@
@Myrtle@|@un myrtre@
@nail@|@cliou, l'ongl'ye@
@nail-claw@|@hale-cliou@
@nails@|@l's ongl'yes@
@name@|@nommer@
@Namibia@|@Namibie@
@Nancy@|@Nancy, Nénai, Néné, Nénotte@
@napkin@|@lé drapé@
@Naples@|@Napl'yes@
@Narcissi@|@des g'zettes (f), des pipots d'avri@
@narrator@|@lé raconteux@
@narrow@|@êtrait@
@narrow beam@|@tenvre d'bord@
@Nasturtium@|@d'la capuchinne@
@nasty person@|@la rosse@
@nation@|@la nâtion@
@national@|@nâtional@
@nationalism@|@lé nâtionalisme@
@nationalist@|@lé nâtionaliste@
@nationality@|@la nâtionalité@
@Nauru@|@Nauru@
@navel@|@lé nombrîn@
@Navy@|@la Marinne@
@NCO@|@lé souos-officyi@
@neaping@|@lé r'tchiyant@
@neap-tide@|@la morte-ieau@
@Nebraskan@|@Nébrastchien@
@neck@|@lé co@
@necklace@|@lé colyi@
@needle@|@aidgulle, eune aidgulle@
@needlecase@|@un hâsif@
@needle-case@|@l'êpîndgi@
@needlework@|@la couôtuthe@
@neglect@|@néglyigi@
@neglectful person@|@lé laîsse-tout-faithe@
@neigh@|@hîngni@
@Nepal@|@Népal@
@Nepalese@|@Nepali@
@nephew@|@lé n'veu@
@Neptune@|@Nepteune@
@nerve@|@lé nèr@
@nervous breakdown@|@la maladie d'nèrfs@
@Netherlands Antilles@|@Antilles des Pays Bas@
@Nettle-leaved Goosefoot@|@d'la vèrte s'nîle@
@neuralgia@|@la ceingl'ye, lé tic douloureux@
@Nevadan@|@Névadgien@
@never@|@janmais@
@new@|@nouvé@
@New Brunswick@|@Nouvieau Brunswick@
@New Brunswicker@|@Néo-Brunswitchais, Nouvieau-Brunswitchais@
@New Caledonia@|@Nouvelle Calédonie@
@New England@|@Nouvelle Angliétèrre@
@New Hampshirite@|@Nouvieau-Hampshirais@
@New Jersey@|@Nouvieau Jèrri@
@New Jerseyan@|@Nouvieau-Jèrriais@
@New Mexican@|@Nouvieau-Mexitchain@
@New Orleans@|@Nouvelle Orléans@
@New Scotia@|@Nouvelle Êcosse@
@New South Wales@|@Nouvelle Galles du Sud@
@New Year@|@Lé Nouvel An@
@New Year's Day@|@lé Jour dé l'An@
@New Yorker@|@Nouvieau-Yortchais@
@New Zealand@|@Nouvelle Zélande@
@Newcastle@|@Lé Neuchâté@
@newel staircase@|@l'êcalyi touônnant, la montée en touothelle@
@Newfoundland@|@Tèrre-Neuve, Tèrre-neuvyi@
@news@|@les nouvelles@
@newspaper@|@la gâzette@
@newt@|@la lêzarde dg'ieau@
@next week@|@la s'maine tchi veint@
@next year@|@l'année tchi veint@
@Nicaragua@|@Nicaragua@
@Nicholas@|@Nic, Nic'lesse, Nico, Nicolas@
@Niçois@|@Niçouais@
@niece@|@la nièche@
@Niger@|@Niger@
@Nigeria@|@Nigérie@
@night@|@eune niet, eune niétchie@
@nightclub@|@clobe d'niet@
@nightie@|@bén'gône, la c'mînsole@
@nightingale@|@un rossîngno@
@nightjar@|@eune huppe@
@nightshirt@|@la c'mînsole@
@nimbus@|@des nouages d'Hivé@
@nine@|@neuf@
@nine hundred@|@neu chents@
@nine hundred and one@|@neu chents ieune@
@nine hundred and two@|@neu chents deux@
@nineteen@|@dgiêx-neuf@
@ninety@|@nénante@
@ninety one@|@nénante tch'ieune@
@ninety two@|@nénante-deux@
@nipple ring@|@la boucl'ye dé bouton@
@nipples@|@les boutons@
@nits@|@les lentes@
@Niue@|@Niue@
@noisy child@|@lé ravaûd@
@nomination@|@la nonminnâtion@
@nomination paper@|@lé papi d'nonminnâtion@
@nonconformists@|@les nonconformistes@
@noose@|@lé nez@
@Norfolk Island@|@Île dé Norfolk@
@Normand@|@Nouormand@
@Normandy@|@Nouormandie@
@north@|@nord@
@North Carolinian@|@Carolinnien du Nord@
@North Dakotan@|@Dakotais du Nord, Dakotchien du Nord@
@North Korea@|@Corée du Nord@
@North Sea@|@la Mé du Nord@
@northeast@|@nord-êt@
@Northeast Territories@|@Territouaithes du Nord-Vouêt@
@Northern Ireland@|@d'l'Irlande du Nord@
@Northern Lights@|@les Mathionnettes@
@Northern Marianas@|@Mêrriennes du Nord@
@northwest@|@nord-vouêt@
@North-West Territories@|@Nordgien@
@Norway@|@Norouague, Norouague@
@Norwegian@|@Norvégien@
@nose@|@lé nez@
@nosey parker@|@lé futh'teux@
@nostrils@|@les nâsilles@
@not guilty@|@non coupabl'ye@
@not to sleep a wink@|@n'pon dormi un clyîn@
@notary@|@lé notaithe@
@notary public@|@un notaithe@
@notes@|@des notes@
@nourrice@|@la nouôrriche@
@Nova Scotian@|@Néo-Êcossais, Nouvelle-Êcossais@
@November@|@Novembre@
@novice@|@lé novice@
@Novocastrian@|@Neuchâtélais@
@now@|@achteu, achteu@
@nuclear power@|@lé pouvé nucléaire@
@nuisance@|@l'emmèrde@
@nun@|@eune nonne@
@Nunavut@|@Nunavut, Nunavutchi@
@nurse@|@la nosse, nosse@
@nutcracker@|@craque-nouaix, lé craque-nouaix@
@nutmeg@|@la muscade@
@Oak@|@un tchêne@
@oak apple@|@eune pomme dé tchêne@
@oak dowels@|@des gouogeons@
@oak fungus@|@du parmésan dé tchêne@
@oar-weed@|@Laminaria digitata, Laminaria saccharina, lé colle@
@oar-weed stem@|@lé tangon@
@oath@|@lé sèrment@
@oats@|@l'avaine@
@occupier@|@l'otchupant@
@ocean@|@l'océan@
@Oceania@|@Ochéannie@
@October@|@Octobre@
@octopus@|@eune pieuvre@
@oculist@|@l'otchuliste@
@of Aquitaine@|@Atchitain@
@of Barfleur@|@Barflieurais@
@of Belfast@|@Belfastchais@
@of Bordeaux@|@Bordélais@
@of Brest@|@Brestchais@
@of Brussels@|@Bruxellais@
@of Bucharest@|@Bucarestchais@
@of Budapest@|@Budapestchais, Budapestchais@
@of Caen@|@Caënnais@
@of Cherbourg@|@Chèrbourgeouais@
@of Copenhagen@|@Copenhadgais@
@of Cork@|@Cortchais@
@of Coutances@|@Coutanchais@
@of Dunkirk@|@Dontchèrtchais@
@of Faldouet@|@Faldouais@
@of Gorey@|@Gouôrrelais@
@of Granville@|@Granvillais@
@of Helsinki@|@Helsîntchien@
@of Herm@|@Hèrmais@
@of Honfleur@|@Honflieurais@
@of Jethou@|@Jéthouais@
@of La Hague@|@Hadgais@
@of La Mare@|@Mathien@
@of La Moye@|@Mouaîtîn, Mouêtîn@
@of La Pulente@|@Pulentchi@
@of La Rocque (harbour)@|@Rocqu'sîn, Rocquetîn@
@of La Rocque (Vingtaine)@|@Rotchais@
@of Le Havre@|@Hâvrais@
@of Les Landes@|@Landîn@
@of L'Étacq@|@Êtacqu'so@
@of Lihou@|@Lihouard@
@of Lille@|@Lillais@
@of Lisbon@|@Lisbonnais@
@of Lyons@|@Lyonnais@
@of Madrid@|@Madridgien@
@of Munich@|@Munitchais@
@of New Jersey@|@Nouvieau-Jèrriais@
@of Rennes@|@Rennais@
@of Rouen@|@Rouënnais@
@of Rozel@|@Rôzelais@
@of St. Aubin@|@St. Aubinnais@
@of St. Brelade@|@St. Bréladais@
@of St. Clement@|@St. Cliémentais@
@of St. Helier@|@Villais@
@of St. John@|@St. Jeannais@
@of St. Lawrence@|@St. Louothachais, St. Louothenchais@
@of St. Malo@|@Mâlouîn@
@of St. Martin@|@St. Martinnais@
@of St. Mary@|@Ste. Mathiais@
@of St. Ouen@|@St. Ouonnais@
@of St. Peter@|@St. Pièrrais@
@of St. Saviour@|@St. Saûveurais@
@of the Pays de Caux@|@Cauchouais@
@of Toulouse@|@Toulousain@
@of Trinity@|@Trinn'tais, Trinnetais@
@of Valognes@|@Valonnais@
@of Vilnius@|@Vilnais, Vilniusiens@
@of Warsaw@|@Varsovien@
@off shore@|@lé bord au large@
@offer@|@eune offre, offri@
@offhanded person@|@lé dêsèrpilyi@
@office@|@l'office, office@
@officer@|@l'offici@
@official@|@lé commîns@
@offline@|@hors lîngne@
@Ohioan@|@Ohien, Ohiouais@
@oil@|@hielle@
@ointment@|@l'onguent@
@Oklahoman@|@Oklahomien@
@old@|@vyi@
@olive oil@|@l'hielle d'olives@
@Oman@|@Oman, Oman@
@on board@|@à bord@
@on credit@|@à crédit@
@on one tack or run@|@sus un bord@
@one@|@ieune@
@one has@|@nou-s-a@
@one penny@|@un pénîn@
@one pound@|@un louis@
@onion@|@l'ouognon, l'ouongnon@
@online@|@en lîngne@
@Ontarian@|@Ontarien@
@Ontario@|@Ontario@
@open@|@ouvèrt, ouvri@
@open sea@|@la plieine mé, lé large@
@opening hours@|@l's heuthes d'ouvèrtuthe@
@opening of lobster-pot@|@l'yi, la dgeule, la noe (d'un cliavé)@
@operate@|@opéther@
@operation@|@eune opéthâtion@
@opinion@|@l'opinnion@
@opposition@|@l'opposition@
@optician@|@l'opticien@
@orange@|@orange@
@Orange tree@|@un orangyi@
@orator@|@l'orateur@
@Orcadian@|@Orcadgien@
@orchard@|@un gardîn à frit@
@orchestra@|@un orchestre@
@order@|@l'ordre, ordonner@
@Oregonian@|@Orégonnien@
@organ@|@l'orgue@
@organist@|@l'organiste@
@ormer@|@un ormèr@
@orphan@|@l'orphélîn@
@orpine@|@du corpid@
@Orthodox@|@Orthodoxe@
@Osier@|@d'l'ôsyi@
@ostrich@|@eune autruche@
@Ottawan@|@Outaouais@
@our Duke@|@not' Duc@
@out of sight@|@à pèrte dé veue@
@outer keel@|@la fausse tchelle@
@outhouses@|@l's apparténances, l's offices, les bâtisses@
@outlaw@|@lé proscrit@
@oven@|@lé fou@
@ovenful@|@la fouônnée@
@overcoat@|@la cache-mînséthe, la grand' câsaque@
@owl@|@un cahouain@
@owner@|@l'aûgni, lé propriétaithe@
@ox@|@lé boeu@
@Oxeye Daisy@|@d's ièrs dé boeu, la cobohiéthe@
@Oxonian@|@Oxonnien@
@oyster@|@eune hitre@
@oyster catcher@|@eune mathanne, eune pie mathante@
@Pacific Ocean@|@l'Océan Pacifique@
@pack@|@patchi@
@packet@|@patchet@
@packing@|@paqu'thie@
@pack-saddle@|@la selle bâtchiéthe@
@pagan@|@païen@
@page@|@eune page@
@paint@|@peindre@
@paintbrush@|@pîncieau@
@painter@|@lé peintre@
@Pakistan@|@Pakistan@
@palate@|@lé palais@
@Palau Islands@|@Îles Palau@
@Palestine@|@Palestîn@
@Palestinian@|@Palestinnien@
@palm@|@lé paûmé, un palme@
@Palm@|@un palme@
@Palm Sunday@|@la Pâque flieuthie, lé Dînmanche des Rameaux@
@pan@|@la peîle@
@Panama@|@Panama@
@pancakes@|@des crêpes@
@panda@|@lé panda@
@pane@|@eune ôsaine, un palme, un vitre@
@panel@|@un panné@
@Pansy@|@des faches dé cat, la pensée@
@pants@|@braies, les drâses, p'tites braies@
@paper@|@lé papi, papi@
@paperweight@|@un paids à papi@
@Papua New Guinea@|@Papua Nouvelle Dginnée@
@parable@|@eune pathabole@
@parade@|@la pathade@
@Paraguay@|@Paraguay@
@parakeet@|@un pèrrotchet@
@parapet@|@un parapet@
@parcel@|@lé patchet@
@parcel string@|@lé fi patcheux@
@parents@|@les pathents (péthe et méthe)@
@Paris@|@Paris@
@Parish@|@la Pâraîsse@
@parish assembly@|@l'assembliée d'pâraîsse@
@Parish Hall@|@la Salle Pârouaîssiale, Salle Parouaîssiale@
@parishioner@|@lé pâraîssien@
@Parisian@|@Parisien@
@park@|@par, partchi, stâtionner@
@parking@|@parqu'thie@
@parliament@|@lé parlément@
@parliamentary@|@parlémentaithe@
@parquet@|@lé partchet@
@parrot@|@un pèrrot@
@parsley@|@lé pèrsi@
@parsnip@|@la pânnais@
@parting@|@la rîle des g'veux@
@partner@|@lé parchonnyi@
@partridge@|@eune pèrdrix@
@party@|@lé parti@
@party ownership@|@la mitouoyenneté@
@Paspébiac@|@Paspédgia@
@pass@|@pâsser@
@passenger@|@un pâssagi@
@passer by@|@lé pâssant@
@past@|@l'pâssé@
@pastor@|@lé pasteur@
@pastry@|@la pâte dé pâté@
@pasture@|@la pâtuthe@
@patch@|@eune rapièche, un cliu@
@patch kit@|@la boête ès r'pathes@
@patchwork@|@lé rapiéchage@
@path@|@la sente, lé c'mîn@
@patience@|@la pâcienche@
@pâtissier@|@lé pâtichi@
@Patrick@|@Patrice@
@pattern@|@un patron@
@pavement@|@lé pavé, lé trottouaithe, trottouaithe@
@pay@|@payi@
@payment@|@la paiethie, lé paiement, paiethie@
@Pays de Caux@|@Pays d'Caux@
@pea@|@lé pais, lé pais rond@
@peach@|@la pêche@
@Peach tree@|@lé pêchi@
@peacock@|@un paon@
@peak@|@la saluette@
@peak of sail@|@lé pic d'eune vaile@
@peaked cap@|@la teunette@
@pear@|@la paithe@
@Pear tree@|@un paithyi@
@pearl@|@pèrle@
@pebble@|@galet, lé galot, un galet, un galot@
@pebbles@|@la galiche@
@pedal@|@la pédale@
@pedals crank@|@la chanolle ès pédales@
@pedals crank axle@|@l'esseu ès pédales@
@pedestrian@|@piêton, un piêton@
@pedestrian crossing@|@pâssage à piêtons@
@pedestrian street@|@la rue pavée, rue pavée@
@pedigree dog@|@lé tchian d'race@
@peel@|@la p'liche@
@peep@|@piper@
@peep-ho@|@cou-cou@
@peephole (in door)@|@l'ouïe d'l'us@
@peephole in door@|@l'ouïe d'l'us@
@peeping tom@|@lé dgîngneux@
@pelican@|@lé pélican@
@Pellitory-of-the-wall@|@d'l'apathitouaithe@
@Pelvetia canaliculata@|@du crochet@
@pen@|@la plieunme@
@pencil@|@lé crèyon@
@pencil sharpener@|@un appointcheux@
@penguin@|@un pîngouîn@
@penknife@|@cannif@
@Pennsylvanian@|@Pennsylvannien@
@penny@|@pénîn@
@Pennywort or Navelwort@|@des cratchillons, la grâsse-g'linne@
@Peony@|@la pâsse-rose@
@people from witch families@|@les gens du grand sang@
@pepper@|@l'paîvre, lé piment@
@pepper-pot@|@la paîvriéthe, lé paîvriyi@
@perch@|@jutchi, la pèrche@
@peregrine falcon@|@un êcouffl'ye@
@Perennial Rye-grass@|@d'l'hèrbe pèrpétuelle@
@Perennial Sow-thistle@|@du laiteron@
@perforate St John's-wort@|@du cache-dgiâbl'ye@
@perfumery@|@la parfunm'thie, parfunm'thie@
@period@|@les pèrtes@
@peritonitis@|@la péritonite@
@Periwinkle@|@la bliuette, la pèrvenche@
@perry@|@lé p'ré@
@person@|@la pèrsonne@
@person who is always out@|@lé sorteux@
@Peru@|@Pérou@
@pessimist@|@lé pessimiste@
@pesterer@|@lé vengeux@
@pestle@|@pilon@
@petal@|@lé pétale@
@Pete@|@Pèrrotîn, Pièrrot@
@Peter@|@Pièrre, Piteur@
@petrol@|@pétrole@
@petrol pump@|@la pompe à pétrole@
@petty spurge@|@l'hèrbe à la reine@
@Petty Spurge@|@d'l'hèrbe à véthues@
@pewter@|@êtain@
@pheasant@|@un faîsan@
@Phil@|@Ph'lippot, Philinne, Philosse, Philot@
@Philadelphian@|@Philadelphien@
@Philip@|@Ph'lip, Ph'lippe@
@philistine@|@lé philistîn@
@phone again@|@èrtéléphoner@
@phone box@|@kiosque d'téléphone@
@phone-in@|@eune téléphôn'nie@
@photocopier@|@lé photocopieu@
@photographer@|@lé photographyi@
@pianist@|@un pianiste@
@piano@|@un piano@
@Picard@|@Picard@
@Picardy@|@Picardie@
@pick@|@bigorne, êpinnotchi, tchilyi@
@picker (of potatoes)@|@lé gliaineux@
