@English@|@Sesotho@
@John sits on the ground@|@John o dula faatshe@
@join@|@momahatsa@
@joint@|@lenonyetso, manonyetso@
@joke@|@meswaso, metlae, moswaso, motlae, swaswa@
@Jonah@|@Jonase@
@Joseph@|@Josefa@
@journey@|@leeto, maeto@
@joy@|@nyakallo, Thabo, thabo@
@Joy-bringer@|@Thabiso@
@judge@|@baahlodi, moahlodi@
@judgement@|@kahlolo@
@judiciary@|@baahlodi@
@jug@|@dijeke, jeke@
@juice@|@maro@
@Juice@|@Lero@
@July@|@Phupu@
@jumbo jet@|@dijambojete, jambojete@
@June@|@Phupjane@
@jungle@|@mofidibithi@
@junior@|@nyenyane@
@Jupiter@|@Jupita, Tosa@
@just now@|@hona jwale@
@just suddenly@|@koto-koto@
@justice@|@toka@
@justified@|@lokafaditsweng@
@Kafue lechwe@|@kgama ya metsi e tswang Kafue@
@Kalahari@|@Kgalahadi@
@Kannada culture@|@Sekannada@
@keen@|@thahasellang@
@keep afloat@|@phaphalla@
@Keep quiet@|@Thola!@
@kei@|@Noka ya Kei@
@Kei River@|@Noka ya Kei@
@kennel@|@ntlwana ya ntja@
@kenya@|@kenya@
@Kestell@|@Tlholong@
@kettle@|@diketlele, ketlele@
@key@|@dinotlolo, notlolo, senotlolo@
@key code@|@khoutu ya senotlolo@
@key field@|@lebala la senotlolo@
@key phrase@|@sekapolelo sa senotlolo@
@keyboard@|@boroto ya dinotlolo, boto ya dinoto, khipoto@
@keyhole@|@lesobana la senotlolo@
@keypad@|@dinomorokonopo, nomorokonopo@
@keyword@|@lentswe la senotlolo@
@keywords@|@mantswe a sehlooho@
@kgetheha@|@kgethetsweng@
@khabathe ya meriana@|@medicine cabinet@
@Khoe people@|@Lesarwa, Masarwa@
@kick@|@dithaho, raha, rahile, thaho@
@kid@|@potsanyane@
@kidney@|@diphio, phio@
@kill@|@bolaile, bolaya@
@killed@|@bolauwa@
@kilobyte@|@khilobaete@
@kilogram@|@dikhilokeramo, khilokeramo, kilogeramo@
@kilogram (1)@|@dikilogeramo@
@kilometer@|@dikilometera, kilometera@
@kilowatt@|@dikilowate, kilowate@
@Kimberley@|@Daemaneng, Khemele@
@kind@|@mefuta, mofuta, mofuta, mosa@
@kinetic energy@|@eneji ya motsamaobobedi@
@king@|@marena, morena@
@king cheetah@|@lengau le metsero, mangau a metsero@
@king of the Basotho@|@Morena o Moholo oa Basotho@
@King Protea@|@morena wa diporotia@
@kingdom@|@mebuso, mmuso@
@kingship@|@borena@
@kiss@|@aka, akile, dikako, kako, meta, suna@
@kitchen@|@dikitjhine, dikitjhine, kitjhine, kitjhining@
@kite@|@dikhaete, khaete@
@kitten@|@ledinyane la katse, madinyane a katse@
@klipbokkie@|@dikome, sekome@
@kloof@|@lekgalo, makgalo@
@knapsack@|@dikgetsi, kgetsi@
@knead@|@duba@
@knee@|@lengole, mangole@
@kneecap@|@theledi@
@kneel@|@kgumama@
@knife@|@dithipa, thipa@
@knitting needle@|@lemao la ho loha@
@knob@|@lekuru, makuru@
@knock@|@ho kokota, kokota@
@knock down@|@diha@
@knot@|@fina, lefito, mafito@
@know@|@tseba@
@know each other@|@tsebelana@
@knowledge@|@ditsebo, ratsebo@
@Knowledge@|@Tsebo@
@known@|@tsejwa@
@Koffiefontein@|@Ditlhake@
@koki pen@|@dikhokhi, khokhi@
@Korean culture@|@Sekorea@
@Korean person@|@Lekorea, Makorea@
@Kosher@|@Dijo tsa Kosher feela@
@kraal@|@lesaka, masaka@
@Kroonstad@|@Maokeng@
@Krypton@|@Kriptone@
@kudu@|@ditholo, tholo@
@KwaZulu-Natal@|@Kwazulu-Natala@
@label@|@leebole@
@laboratory@|@dilaboratori, laboratori@
@laboratory coat@|@dijase tsa laboratori, jase ya laboratori@
@labourer@|@basebetsi, mosebetsi@
@labyrinth@|@ditshweka, tshweka@
@lace@|@dikanta, kanta@
@laceration under the toe@|@monyokolane@
@lace-up shoe@|@seeta se tlangwang@
@Lacrimation@|@Mookho@
@lad@|@letlamorwana, matlamorwana@
@ladder@|@dilere, lere@
@Ladies@|@basetsana@
@ladies and gentlemen@|@bomme le bontate@
@lady@|@mafumahadi, mafumahadi, Mofumahadi@
@ladybird@|@maleshwane@
@Ladybrand@|@Manyatseng@
@lagoon@|@letsha la lewatle@
@lake@|@matsha@
@Lake@|@Letsha@
@lamb@|@konyama@
@lame@|@holofetseng@
@lament@|@kodiamalla@
@lamp@|@lebone, mabone@
@land@|@naha@
@landing gear@|@kere ya ho dula ha sefofane@
@landlord@|@bahirisi, mohirisi@
@language@|@dipuo, leleme, maleme, puo@
@language skills@|@bokgoni ba puo@
@languages fundamentals@|@dipuo tse tlamang@
@lantern@|@dilantere, lantere@
@Lanthanum@|@Lantanamo@
@lard@|@mafura a kolobe@
@larynx@|@diqoqothwane, qoqothwane@
@last@|@qetelang@
@last terms@|@ditheme tsa ho qetela@
@last year@|@ngwahola@
@late@|@hlokahetseng@
@latex glove@|@hanekausu ya raba, tlelafo ya raba@
@latitude@|@dilathitjhute, lathitjhute@
@laugh@|@tsheha@
@laughter@|@ditsheho@
@laundry@|@ditlhatsuong, tlhatsuong@
@lawn@|@mehlwa, mohlwa@
@lawnmower@|@motjhini o kutang mohlwa, sekutamohlwa@
@lawnmower (1)@|@dikutamohlwa@
@Lawrencium@|@Lawrensiamo@
@lawyer@|@ramolao@
@laxative@|@dihlephisi, sehlephisi@
@lay a table@|@teka@
@lay a table for@|@tekela@
@lay down to@|@beha fatshe@
@layer@|@lehapi, mahapi@
@laziness does not pay@|@Botswa ha bo jelwe@
@Laziness does not pay@|@Botswa ha bo jelwe@
@lazy@|@batho ba botswa, motha ya botswa@
@lazy person@|@dikgoba, sekgoba@
@lead@|@eta pele@
@Lead@|@Loto@
@leader@|@baetapele, moetapele@
@leadership@|@boetapele@
@leaf@|@lehlaku, mahlaku@
@leaf of grass@|@lehlokwana, mahlokwana@
@leak@|@dutla@
@lean@|@itshetleha, otileng@
@lean over to@|@sekehela@
@learn@|@ithuta@
@learn by heart@|@ithuta ka pelo@
@learner@|@baithuti, moithuti@
@learner portfolio@|@porofaele ya moithuti@
@learner profile@|@porofaele ya moithuti@
@learning context@|@maemo a tse ithutwang@
@Learning Outcomes@|@Diphetho tsa ho ithuta@
@learning programme@|@lenaneo la ho ithuta, mananeo a ho ithuta@
@least@|@bonyane@
@leather@|@letlalo, matlalo@
@leather shoe@|@dimphatjhane, mphatjhane@
@leave@|@kgaohana, lefi@
@leave behind@|@siya@
@leave oneself@|@itlohela@
@lechwe waterbuck@|@kgama ya metsi e sootho@
@ledge@|@methati, mothati@
@leech@|@dikwidi, kwidi@
@left@|@letshehadi@
@Left@|@Leqele@
@leg@|@meomo, moomo@
@legend@|@mohale@
@lemon@|@lemone@
@lender@|@baadimi, moadimi@
@length@|@bolelele@
@lens@|@dilense, lense@
@lent@|@adimilwe@
@leopard@|@dinkwe, nkoe, nkwe@
@leper@|@balepera, molepera@
@Lerato will write@|@Lerato o tla ngola@
@lesbian@|@mosadi ya ratanang le basadi@
@Lesotho@|@Lesotho@
@lesson@|@dithuto, thuto@
@let bend@|@kobela@
@let each other know@|@tsebisana@
@Let them come inside; please@|@Ha ba kene hle@
@Let them get married@|@Ha ba nyalane@
@Let them hear@|@Ba utlwe@
@let think@|@nahanisa@
@let us@|@ere@
@Let us help him@|@Ha re mo thuseng@
@letter@|@lengolo, mangolo@
@letter box@|@lebokose la mangolo@
@letters@|@mangolo@
@lettuce@|@letise, matise@
@level the ground@|@ala mobu@
@lewd@|@sekgobo@
@liar@|@ramashano@
@librarian@|@balaeborari, molaeborari, radibuka@
@library@|@dilaeborari, laeborari@
@library card@|@karete ya laeborari@
@library file@|@faele ya laeborari@
@licence@|@dilaesense, laesense@
@lie@|@bua leshano@
@Lies do not pay@|@Leshano ha le ruise motho@
@life@|@bophelo@
@Life and Agricultural Sciences@|@Tsa Bophelo le Tsa Temo@
@lifeboat@|@seketswana sa pholoso@
@lifeguard@|@bapholosi, mopholosi@
@lifetime@|@nako ya bophelo@
@lift@|@lefite@
@ligament@|@lera, mara@
@light@|@bobebe, bonesa, lesedi@
@light breeze@|@meyana, moyana@
@light brown@|@a makgunong, e kgunong, se sekgunong, tse kgunong@
@light brown (1)@|@ba bakgunong, bo bokgunong, le lekgunong@
@light brown (2)@|@e mekgunong, o mokgunong@
@light skinned girl@|@ditshehlana, tshehlana@
@lighthouse@|@molollope wa mollo, ntlwana e kgantshetsang dikepe@
@lightning@|@lehadima, letolo, matolo@
@like@|@jwalo ka, kang@
@likeness@|@ditshwano, tshwano@
@liking@|@dithato, thato@
@lime@|@kalaka@
@limit@|@dilimiti, limiti@
@limp@|@hlotsa, kgolofalo, qhiletsa@
@limpopo@|@Noka ya Limpopo@
@Limpopo@|@Limpopo@
@Limpopo River@|@Noka ya Limpopo@
@line@|@mela, metaka, mola, mola, motaka@
@linen@|@masela@
@Lingala culture@|@Selingala@
@Lingala person@|@Lelingala, Malingala@
@link@|@dikopantshano, kopantshano@
@link image@|@ponahalo ya kopantshano@
@link text@|@mongolo wa kopantshano@
@lion@|@tau@
@Lion@|@ditau@
@lion cub@|@ditawana, tawana@
@lion isn't biting wild buck@|@Tau ha e lome nyamatsane@
@lioness@|@ditauhadi, tauhadi@
@lip@|@dipounama, pounama@
@liqueur@|@lekere@
@liquid@|@mokedikedi@
@lisp@|@lehwelea@
@list@|@lenane, manane@
@list box@|@lebokoso la lenaneho, lebokoso la lethathama@
@listen@|@mamela, mametse@
@listen all of you@|@mamelang@
@listened@|@mametse@
@listening@|@ho mamela@
@literacy@|@dilitheresi, litheresi@
@literature@|@dingolo, dingolwa, sengolwa@
@Lithium@|@Litiamo@
@litmus@|@lithimase@
@litmus paper@|@pampiri ya lithimase@
@litre@|@dilitha, litha@
@little@|@a manyane, nyane, nyane, se senyane, se senyane, se senyane, tse nyane@
@little (1)@|@ba banyane, bo bonyane, e menyane, le lenyane@
@little (2)@|@o monyane@
@little finger@|@diqabatjhana, qabatjhana@
@little mouse@|@toebanya@
@little path@|@ditselanyana, tselanyana@
@little rabbit@|@mutloanyana@
@Little Tiger@|@Nkwenyane@
@little toe@|@monwana o monyenyane wa leoto@
@live@|@phedisa, phela, phetse@
@live in@|@aha@
@lively@|@phelang@
@liver@|@dibete, sebete@
@lizard@|@mokgodutswane@
@load@|@laetjha, laisa@
@load file@|@laisa faele@
@loading document@|@laisa tokomane@
@loan@|@kadimo@
@local@|@selehae@
@local file@|@faele ya selehae@
@local government@|@mmuso wa lehae@
@lock@|@notlela@
@locomotive@|@hlooho ya terene@
@locust@|@ditsie, lerutle, marutle, tsie@
@log@|@lehong, loka@
@log base directory@|@loka tshupetso ya motheo@
@logarithm@|@dilokaritimi, lokaritimi@
@logic@|@dilojiki, lojiki@
@login information@|@tshedimosetso ya keno@
@loneliness@|@bodutu@
@lonely@|@hlorileng@
@long@|@a malelele, se selelele, se selelele, telele, telele, tse telele@
@long (1)@|@ba balelele, bo bolelele, e melelele, le lelelele@
@long (2)@|@o molelele@
@long ago@|@kgale@
@longitude@|@dilongitjhute, longitjhute@
@look@|@sheba, shebile@
@look as though@|@bonahala eka@
@look at@|@tadima@
@look at each other@|@tadimana@
@look for@|@batla@
@look from above@|@nyarela@
@look good@|@tadimeha@
@looks@|@seemo@
@looks as if@|@yaka@
@loose@|@hlepha, hlephile@
@loose become@|@lokoloha@
@loosen@|@hlephisa@
@loosen soil@|@phophotha@
@loot@|@dihohedi, sehohedi@
@Lord@|@morena@
@lorry@|@dilori, lori@
@lose weight@|@theoha mmeleng@
@loss@|@tahlehelo@
@loss of appetite@|@ho se lakatse dijo@
@lost@|@lahlehileng@
@lottery@|@dilothari, lothari@
@lounge@|@dilountjhe, kamore ya ho phomola, lountjhe@
@lout@|@rametlae@
@love@|@lerato, marato, rata@
@love of mine@|@ratu@
@love oneself@|@ithata@
@lowveld@|@naha e tlase@
@loyalty@|@tshepahalo@
@Lozi culture@|@Selozi@
@Lozi person@|@Lelozi, Malozi@
@Luba culture@|@Seluba@
@Luba person@|@Leluba, Maluba@
@luck@|@lehlohonolo, mahlohonolo@
@luggage@|@diphahlo, phahlo@
@luggage trailer@|@sepalangwang sa thoto@
@Luke@|@Luka@
@lullaby@|@koeetso@
@lump@|@diketele, lehwele, mahwele, seketele@
@lunatic@|@lehlanya, mahlanya@
@Lunch@|@Dijo tsa motsheare@
@lung@|@letshwafo, matshwafo@
@Lutetium@|@Lutetiamo@
@machine@|@dimatjhini, matjhini@
@macro@|@dimakro, makro@
@mad@|@hlanya@
@made a mistake@|@fositse@
@magazine articles@|@diatekele tsa dimakasineng@
@magenta@|@magenta@
@magic@|@boloi@
@magic show@|@pontsho ya mehlolo@
@Magistrate's Court@|@Lekgotla la mmaseterata@
@Magnesium@|@Magnesiamo@
@magnet@|@dimakenete, makenete@
@mail@|@diposo, poso@
@mail server@|@seabi sa poso@
@main road@|@tsela e kgolo@
@main title@|@sehloho se seholo@
@main toolbar@|@bara ya dithulusi e kgolo@
@maize@|@dipoone, poone@
@majority@|@bongata@
@make@|@entse, etsa@
@make a bed@|@alola@
@make a mistake@|@etsa phoso, fosa@
@make beautiful@|@ntlafatsa@
@make fire@|@besa@
@make forget@|@Tebatso@
@make me happy@|@nthabi, nthabiseng@
@make raine@|@nesa@
@make the sound of a train@|@tjhutjhusela@
@make wider@|@ahlamolla@
@malaria@|@malaria@
@Malawi@|@Malawi@
@Malay language@|@Semalei@
@Malay person@|@Lemalei, Mamalei@
@male@|@a matona, banna, monna, se setona, tona, tse tona@
@male (1)@|@ba batona, bo botona, e metona, le letona@
@male (2)@|@e tona, o motona@
@Mali@|@Mali@
@malice@|@lonja@
@malt@|@mmela@
@maluti@|@maloti@
@Maluti mountains@|@maloti@
@mammal@|@dimamale, mamale@
@man@|@monna@
@man eater in basotho legends@|@dimo@
@man has not closed the door@|@Monna ha a a kwala monyako@
@management@|@bolaodi@
@Management and Service Studies@|@Dithuto tsa Ditshebeletso@
@manager@|@balaodi, molaodi@
@mane@|@moetse@
@Manganese@|@Mankanese@
@mango@|@dimengo, mengo@
@manhood@|@bonna@
@mankind@|@batho@
@mansion@|@ntlo ya moaho o moholo@
@manual labour@|@mosebetsi wa matsoho@
@manufacturing@|@ditlhahiso, tlhahiso@
@Manufacturing@|@Tlhahiso@
@manure@|@manyolo, moitedi@
@manuscript@|@dingolwa, sengolwa@
@many@|@a mangata, a mangata, ba bangata, ngata, tse ngata@
@many (1)@|@bo bongata, e mengata@
@map@|@dimmapa@
@Map@|@Mmapa@
@Marathi language@|@Semarathi@
@Marathi person@|@Lemarathi, Mamarathi@
@march@|@metsamao, motsamao@
@March@|@Hlakubele@
@mare@|@mmeri@
@margin@|@meedi, moedi@
@Maria@|@mariha@
@mark@|@dimaraka, maraka@
@Mark@|@Mareka@
@market@|@mmaraka@
@marks@|@matshwao@
@Marquard@|@Moemaneng@
@marriage@|@lenyalo, manyalo, nyala@
@marriage certificate@|@lengolo la lenyalo@
@marriage couple@|@banyadi@
@marry@|@nyala@
@Mars@|@Mase@
@martyr@|@motlatlapuwa wa tumelo@
@marvel@|@makalla@
@Mary@|@Maria@
@mascara@|@dimasekhara, masekhara@
@mask@|@lesira, masira@
@mason@|@dihahi, sehahi@
@mast of a boat@|@palo ya dikepe@
@master@|@beng, mong@
@masturbate@|@itsohedisa, sekomola@
@mat@|@meseme, mmate, moseme@
@match@|@dithutswana, thutswana@
@maternity ward@|@phaposi ya ho pepela@
@Mathematical@|@Dipalo@
@mathemical operation@|@diopareishini tsa dipalo, opareishini ya dipalo@
@matron@|@materone@
@Matthew@|@Mattheu@
@mattress@|@dimaterase, materase@
@mature@|@hodileng@
@maul@|@kgobola@
@maximum@|@pheletsong@
@May@|@Motsheanong@
@May they speak@|@Ba bue@
@maybe@|@mohlomong@
@mayor@|@ramotse@
@meadow@|@lekgulo, makgulo@
@mealie meal@|@diphoofo, phoofo@
@meaning@|@hobolelwang, moelelo@
@measles@|@mmaselese, mmoko@
@measure@|@ditekanyo, tekanyo@
@meat@|@dinama, nama@
@mechanic@|@batehi, motehi@
@mechanical energy@|@eneji ya motjhini@
@medal@|@kgau@
@media object (1)@|@diobjeke tsa diphatlalatso@
@median@|@dimediane, mediane@
@mediator@|@moemedi@
@medical care@|@dikalafo, kalafo@
@medicine@|@dihlare, meriana, moriana, sehlare@
@meditation@|@menahano, monahano@
@meet@|@kopana, teana@
@meeting place@|@kopanong@
@megabyte@|@megabaete@
@Meitnerium@|@Meitneriamo@
@melodi@|@melodi, molodi@
@melt@|@qhibidiha@
@memorandum@|@dimemorandamo, memorandamo@
@memorial@|@dihopotso, sehopotso@
@men@|@banna@
@Mendelevium@|@Mendeleviamo@
@meningitis@|@dimenenjaethisi, menenjaethisi@
@menstruate@|@ho hatlela, ho hlatswa, ho ya kgweding@
@menstruation@|@lehatlelo@
@mental disease@|@ho ferekana, lefu la kelello@
@menu@|@dimenyu, lenane la dijo, menyu@
@menu bar@|@bara ya dikgeth@
@merciful@|@lereko@
@Mercury@|@Mekhuri@
@merge@|@kopanya@
@merge cells@|@kopanya sele@
@merge tables@|@kopanya ditafole@
@meritorious@|@phihlello e kgabane@
@Merry Christmas@|@Keresemese e monate@
@message@|@melaetsa, molaetsa@
@messenger@|@baromuwa, moromuwa@
@metal@|@dimetale, metale@
@metered taxi@|@tekesi e lekanyeditsweng@
@methods of assessment@|@mekgwa ya ho etsa tekanyetso@
@methods of recording@|@mekgwa ya ho rekota@
@metric@|@metiriki@
@metric unit@|@yuniti ya metiriki@
@metropolitan council@|@lekgotla la motse toropo@
@Micah@|@Mikea@
@microlight@|@sehodisakganya@
@microphone@|@dimaekerofounu, maekerofounu@
@microscope@|@dimaekeroskoupo, maekeroskoupo@
@microwave@|@dimaekoroweife, maekoroweife@
@microwave oven@|@onto ya maekoroweife@
@midday@|@motsheare@
@middle@|@hare, hare@
@middle child@|@ngwana ya mahareng@
@middle course@|@tsela e mahareng@
@Middle East@|@Botjhabela Bohare@
@middle finger@|@diphophothomoholo, phophothomoholo@
@MIDI file@|@faele ya MIDI@
@midnight@|@kgitla@
@midwife@|@babelehesi, mobelehesi@
@migrant@|@balakolako, molakolako@
@migration@|@ho falla@
@mile@|@dimaele@
@milk@|@lebese, mabese, mashi@
@Milky Way@|@Molala@
@milldew@|@dipoya, poya@
@million@|@dimelijone, melijone@
@mime artist@|@sebini sa setshwantshisi@
@minaret@|@diminarete, minarete@
@mind@|@kelello@
@mind map@|@mmapa wa monahano@
@mind the step@|@hlokomela setepisi@
@mine@|@dimaene, maene@
@mineral@|@diminerale, minerale@
@mines@|@dimaeneng@
@minibus taxi@|@dikhombi, khombi@
@mining heap@|@ditotoma, totoma@
@ministry@|@boruti@
@minute@|@metsotso, motsotso@
@miracle@|@mehlolo, mohlolo@
@mirror@|@diipone, seipone@
@misbehave@|@itshwara hampe@
@miscarriage@|@ho senyehelwa@
@miscellaneous@|@tsohletsohle@
@misconception@|@kutlwisiso e fosahetseng@
@misery@|@bosisapelo@
@misfortune@|@bomadimabe@
@mislead@|@kgelosa@
@misleading@|@kgelosang@
@Miss ...@|@Mofumahatsana ...@
@mission station@|@dimmishone, mmishone@
@mist@|@mehodi, mohodi@
@misunderstanding@|@ho se utlwisise@
@mix@|@tswaka@
@mix bread and milk@|@mix bread and milk@
@mock@|@soma@
@mock oneself@|@itshoma@
@mode@|@dimoutu, moutu@
@modem@|@mouteme@
@modern@|@sejwalejwale@
@modest@|@imametseng@
@modesty@|@dihlong@
@modify@|@fetola, ntjhafatsa@
@modify layout@|@ntjhafatsa tulo@
@module@|@modulu@
@mohair@|@boya ba podi@
@moisten@|@kolobisa@
@mole@|@mekunyane, mokunyane@
@molecule@|@dimolekhule, molekhule@
@molten rock@|@lejwe la leraha@
@Molybdenum@|@Molibdenamo@
@moment@|@metsotso, motsotso, motsotso ona@
@Monday@|@Mantaha@
@money@|@chelete, ditjhelete, tjhelete@
@monomer@|@dimonomere, monomere@
@mont-aux-sources@|@phofung, pofung@
@month@|@dikgwedi, Kgwedi, khoeli@
@Month@|@Kgwedi@
@monument@|@diemahale, dimonyumente, monyumente, seemahale@
@monument (1)@|@difika, sefika@
@mooi@|@Tlokwe@
@Mooi River@|@Tlokwe@
@moonlight@|@ngwedi@
@mop@|@dimopo, mopo@
@mopani tree@|@sefate sa mopani@
@moreover@|@etswe@
@morning@|@hoseng@
@Moses@|@Moshe@
@moshoeshoe's father@|@mokhachane@
@moshoeshoe's real name@|@lepoqo@
@mosque@|@dimoseke, moseke@
@mosquito@|@monwang@
@motel@|@dimotele, motele@
@moth@|@dimmoto, mmoto@
@mother@|@'me, mme@
@Mother is going to the town@|@Mme o ya toropong@
@Mother is not reading book@|@Mme ha a bale buka@
@Mother is reading a book@|@Mme o bala buka@
@Mother is sitting on the chair@|@Mme o dula setulong@
@mother of death or illness@|@mmalefu@
@Mother of Job@|@Majobo@
@mother of king moshoeshoe@|@senate@
@Mother of Lesotho@|@Mmalesotho@
@Mother of prayer@|@Mmathapelo@
@Mother of ugliness@|@Mmampe@
@motherboard@|@botokgolo@
@mother-in-law@|@bahwehadi, bomatsale, matsale, mohwehadi@
@mothers@|@bomme@
@mother's milk@|@lebese la mme@
@motorbike@|@sethuthuthu@
@motto@|@lepetjo, mapetjo@
@mould@|@dibopelo, dipopo, popo, sebopelo@
@moulder@|@dibopi, sebopi@
@mountain@|@dithaba, loti, maloti, thaba, thaba@
@mountain bicycle@|@baesekele ya thaba@
@mountain range@|@maloti@
@mountain reedbuck@|@lebele, mabele@
@mountains@|@dithaba@
@mouse@|@ditweba, tweba@
@mouse (computer)@|@dimause, mause@
@mouse pad@|@moseme a tweba@
@moustache@|@matshwala@
@mouthful@|@methamo, mothamo@
@move@|@sisinyeha, sutha, treka@
@move to@|@fallela@
@moving@|@sisinyehang, tsamayang@
@mow the lawn@|@hela mohlwa@
@mozambique@|@potoketsi@
@Mozambique@|@Mozambiki@
@Mpumalanga@|@Mpumalanga@
@Mr ...@|@Monghadi ...@
@Mr.@|@Mong.@
@Mrs ...@|@Mofumahadi@
@Mrs.@|@Mof.@
@mucus@|@mamina@
@mug@|@lebekere, mabekere@
@mule@|@mmoulo@
@multilingualism@|@maleme a fapafapaneng@
@multiracial@|@matjhaba@
@mumps@|@manketeya, pampunkisi@
@municipality@|@mmasepala@
@murder@|@polao@
@murderer@|@mmolai@
@murmur@|@ditumaelo, tumaelo@
@muscle@|@mesifa, mosifa@
@museum@|@dimusiamo, pokello ya tsa boholoholo@
@Museum@|@Musiamo@
@music@|@mmino@
@musical@|@mmino@
@musical note@|@dinoutu, noutu@
@musician@|@dibini, sebini@
@Muslim@|@Lemoseleme, Mamoseleme@
@mussel@|@dimosele, mosele@
@must@|@tlamehile@
@mustard@|@mosetareta@
@mute@|@dimumu, semumu@
@mutilate@|@tamukanya@
@mutter@|@honotha@
@mutton@|@nama, nama ya nku@
@mutual understanding@|@kutloano, kutlwano@
@muzzle@|@molomo o motsu@
@my brother@|@banabeso, ngwaneso@
@My children@|@Banna ba ka@
@my dear@|@lerato wa ka@
@My friend  buys clothes@|@Motswalle wa ka o reka diaparo@
@my love@|@lerato wa ka@
@My name is ...@|@Lebitso la ka ke ...@
@My name is...@|@Lebitso laka ke ...@
@my pigeon@|@leba la ka@
@my surname is ...@|@fane ea ka ke@
@My surname is ...@|@Fane ya ka ke ...@
@my!@|@basadi@
@naartjie@|@dinarike, narike@
@nail@|@kokotela@
@nail file@|@difeile tsa manala, feile ya manala@
@nail polish@|@dipholeshe tsa manala, pholeshe ya manala@
@naked@|@hlobotseng, ponopono@
@Nama culture@|@Senama@
@Nama person@|@Lenama, Manama@
@name@|@lebitso, mabitso@
@name and path of document@|@lebitso le tsela ya tokomane@
@name of variable@|@lebitso la tse fapafapaneng@
@named after mountain@|@masilonyana@
@Namibia@|@Namibia@
@nappy@|@leleire, maleire@
@narrate@|@qoqela@
@narrow@|@tshesane@
@natal duiker@|@phuthi e kgubedu@
@national anthem@|@dipina tsa setjhaba, pina ya setjhaba@
@National Assembly@|@Seboka sa Setjhaba@
@national flag@|@folaga ya naha@
@national government@|@mmuso wa naha@
@nationalism@|@botjhaba@
@natural gas@|@gase ya tlhaho@
@Natural Sciences@|@Saense ya tlhaho@
@nature@|@ditlhaho, hlaho, tlhaho@
@nature reserve@|@poloko ya tsa hlaho@
@nature study@|@thuta-tlhaho@
@nausea@|@ho feroha@
@nauseate@|@ferola@
@navel@|@mekguba, mokguba@
@navy@|@dikepe tsa ntwa@
@NB@|@ela hloko@
@Ndebele culture@|@Sendebele@
@Ndebele person@|@Lendebele, Letebele, Mandebele, Matebele@
@near@|@bapa, haufi@
@nearby@|@haufi@
@neat@|@makgethe@
@necessary@|@hlokehang@
@necessity@|@ditlhokeko, tlhokeho@
@neck@|@melala, molala@
@necklace@|@sefaha sa molala@
@need@|@bohloki, hloka@
@needed@|@hlokahala@
@needle@|@dinale, nale@
@negative charge@|@tjhatje ya nekethifi@
@negative photo@|@dinekethifi, nekethifi@
@neighbour@|@baahisane, moahisane@
@neodymium@|@neodimiamo@
@Neon@|@Neone@
@Nepalese culture@|@Senepali@
@nephew@|@batjhana, motjhana@
@Neptune@|@Nepetjhunu@
@Neptunium@|@Neptuniamo@
@nested table@|@tafole e ntlwanesitsweng@
@nestle@|@baballa@
@net computer@|@dinete, letlowa, matlowa, nete@
@netball@|@netebolo@
@neurologist@|@tidima ya boko, tidima ya boko@
@neutron@|@dinuterone, dinyutrone, nuterone, nyutrone@
@never@|@le kgale@
@new@|@a matjha, a matjha, ba batjha, ntjha, se setjha, tse ntjha@
@new (1)@|@bo botjha, e metjha, le letjha, o motjha@
@new content@|@dikahare tse ntjha@
@new year@|@selemo se setjha@
@New Year's Day@|@Selemo se Setjha@
@newcomer@|@bafihli, mofihli@
@news@|@ditaba@
@newsletter@|@lengolo la ditaba, ngolo la ditaba@
@newspaper@|@dikoranta, koranta@
@newspaper articles@|@diatekele tsa dikoranteng@
@next@|@latelang@
@next error@|@phoso e latelang@
@next page@|@leqephe le latelang@
@next year@|@isao@
@Nice to meet you@|@Ke thabile ho kopana le wena@
@nicely@|@hantle@
@niceness@|@menate, monate@
@Nickel@|@Nikele@
@night@|@bosiu@
@nightmare@|@ho phofa@
@nightwatchman@|@matjekelane@
@nine@|@robong@
@nineteen@|@leshome le metso e robong, Shorobong@
@ninety@|@mashome a robong, Mashorobong@
@ninth@|@borobong@
@Niobium@|@Niobiamo@
@nipple@|@ditlhoko, tlhoko@
@nitric acid@|@nitriki esiti@
@Nitrogen@|@Naetrojene@
@no@|@e-e@
@No@|@Tjhee@
@no button@|@konopo ya tjhee@
@no connection@|@ha ho na kgokahano@
@no entrance@|@ha ho kenwe@
@no smoking@|@ha ho tsubiwe@
@No vacancies@|@Sebaka ha seyo@
@Nobelium@|@Nobeliamo@
@nobody@|@ha ho motho@
@nod@|@oma ka hloho@
@noise@|@lerata, marata@
@nomad@|@meroba, moroba@
@nominal relative@|@leamanyi la lebitso@
@non-fiction@|@dingolwa tsa nnete@
@nonsense@|@fofotho@
@north@|@leboya@
@North America@|@Amerika Leboya@
@North Pole@|@Ntlha ya Leboya, Palo e ka leboya@
@North West@|@Leboya Bophirimela@
@Northern Cape@|@Kapa Leboya@
@Northern Ndebele@|@Sendebele sa Leboya@
@nose@|@dinko, nko@
@nosebleed@|@mekola, mokola@
@nosewheel@|@lebidi la sefofane le ka pele@
@nostril@|@lesoba la nko@
@not enough disk space@|@sebaka sa diski ha se lekane@
@not yet@|@eso@
@notation@|@dinoteishene, noteishene@
@notebook@|@dinoutebuka, noutebuka@
@notice@|@elellwa@
@novel@|@dinobele, nobele@
