@English@|@Kiribati@
@frequentative of b'ainikirina@|@babainikirina@
@frequentative of b'ainrangirangia@|@babainrangirangia@
@frequentative of b'ainraraea@|@babainraraea@
@frequentative of baira:baba@|@babairababa@
@frequentative of b'airaraoi@|@babairaraoi@
@frequentative of bairawerawe@|@babairawerawe@
@frequentative of baitoka@|@baitokatoka@
@frequentative of baitokatoka@|@babaitokatoka@
@frequentative of baka@|@bakabaka@
@frequentative of b'aka@|@babaka@
@frequentative of bakaine@|@babakaine@
@frequentative of bakamoamoa@|@babakamoamoa@
@frequentative of bakanataei@|@babakanataei@
@frequentative of bakanateiaine@|@babakanateiaine@
@frequentative of bakanatua@|@babakanatua@
@frequentative of b'akannano@|@babakannano@
@frequentative of bakanrerei@|@babakanrerei@
@frequentative of bakanrorobuaka@|@babakanrorobuaka@
@frequentative of bakanroronga@|@babakanroronga@
@frequentative of bakantamaroa@|@babakantamaroa@
@frequentative of bakantang@|@babakantang@
@frequentative of bakantoka@|@babakantoka@
@frequentative of bakaonon@|@babakaonon@
@frequentative of bakatae@|@babakatae@
@frequentative of bakatokitoki@|@bakatoki@
@frequentative of baki@|@babaki@
@frequentative of bamaiu@|@babamaiu@
@frequentative of banake@|@banakeke@
@frequentative of banebane@|@babanebane@
@frequentative of banga ni ngure@|@bangure@
@frequentative of b'anganrino@|@babanganrino@
@frequentative of b'anganriro@|@babanganriro@
@frequentative of b'angantaeka@|@babangantaeka@
@frequentative of b'anganun@|@babanganun@
@frequentative of bangaomata@|@babangaomata@
@frequentative of b'anginikou@|@babanganikou@
@frequentative of b'aokoko@|@babaokoko@
@frequentative of b'aoua@|@babaoua@
@frequentative of b'aranikewe@|@babaraanikewe@
@frequentative of b'arantiko@|@babarantiko@
@frequentative of barekatia@|@babarekatia@
@frequentative of b'ariko@|@barikoriko@
@frequentative of b'atauti@|@babatauti@
@frequentative of batiraeia@|@babatiraeia@
@frequentative of b'ato@|@batobato@
@frequentative of b'atongotongo@|@babatongotongo@
@frequentative of baubauta@|@babaubauta@
@frequentative of baware@|@babaware@
@frequentative of bawarea@|@babawarea@
@frequentative of bebe to stagger@|@bebebebe@
@frequentative of bekorara@|@bebekorara@
@frequentative of bekua@|@bebekua@
@frequentative of bekutata@|@bebekutata@
@frequentative of bengu@|@bengubengu@
@frequentative of benono@|@bebenono@
@frequentative of berino@|@beberino, berinorino@
@frequentative of berinoa@|@beberinoa@
@frequentative of betingaingai@|@bebetingaingai@
@frequentative of bingaongao@|@bibingaongao@
@frequentative of binoti@|@binotinoti@
@frequentative of biri@|@biribiri@
@frequentative of biriaitua@|@bibiriaitua@
@frequentative of biriakina@|@bibiriakina@
@frequentative of birikatai@|@bibirikatai@
@frequentative of biro@|@bibiro@
@frequentative of bitara@|@bibitara@
@frequentative of bobaraki@|@bobobaraki@
@frequentative of bobuaka@|@bobobuaka@
@frequentative of boiautim'a@|@boboiautima@
@frequentative of boituta@|@boboituta@
@frequentative of bokarina@|@bobokarina@
@frequentative of boneao@|@boboneao@
@frequentative of bonib'a@|@boboniba@
@frequentative of bonota@|@bobonobonota, bonobonota@
@frequentative of boraoi@|@boboraoi@
@frequentative of borau@|@boborau@
@frequentative of botika@|@bobotararake@
@frequentative of botum'aka@|@bobotumaka@
@frequentative of botumara@|@bobotumara@
@frequentative of botunaba@|@bobotunaba@
@frequentative of bua@|@buabua@
@frequentative of buabeka@|@bubuabeka@
@frequentative of buako@|@bubuako@
@frequentative of buanib'ai@|@bubuane@
@frequentative of buantaawa@|@bubuantawa@
@frequentative of buira@|@bubuira@
@frequentative of bukinimata@|@bubukinimata@
@frequentative of bumoa@|@bubumoa@
@frequentative of buneinei@|@bubuneinei@
@frequentative of buoka@|@buobuoka@
@frequentative of bure@|@buretata@
@frequentative of bureinawa@|@bubureinawa@
@frequentative of bureraa@|@buburera@
@frequentative of bureti@|@buretireti@
@frequentative of buroburo@|@buburoburo@
@frequentative of buta@|@bubuta@
@frequentative of butae@|@bubutae@
@frequentative of butaio@|@bubutaio@
@frequentative of butare@|@bubutare@
@frequentative of butariri@|@bubutariri@
@frequentative of butaroaroa@|@bubutaroaroa@
@frequentative of butikara@|@bubutikara@
@frequentative of butim'aea@|@bubutimaea@
@frequentative of butim'aewe@|@butimaewewe@
@frequentative of butinaine@|@bubutinaine@
@frequentative of butinim'ane@|@bubutinimane@
@frequentative of bwenakai@|@bwebwenakai@
@frequentative of bwenarina@|@bwebwenarina@
@frequentative of bwenaua@|@bwebwenaua@
@frequentative of bwerebwere@|@bwebwerebwere@
@frequentative of bwerengaki@|@bwebwerengaki@
@frequentative of bwetua@|@bwebwetua@
@frequentative of ei@|@eiei@
@frequentative of erea.@|@ererea@
@frequentative of eria@|@erieria@
@frequentative of euta@|@eueuta@
@frequentative of ewa@|@ewaewa@
@frequentative of ewara@|@ewaewara@
@frequentative of ewata@|@ewaewata@
@frequentative of ewe jump@|@ewewe@
@frequentative of eweboti@|@eweweboti@
@frequentative of eweka@|@eweweka@
@frequentative of iarake@|@iaiarake@
@frequentative of ibea crack@|@ibeibea@
@frequentative of ibeki struggle@|@ibekibeki@
@frequentative of perfumeing@|@ariari@
@frequentative of timoi@|@timoimoi@
@frequentative of timtim@|@titimtim@
@frequentative of tinaba@|@titinaba@
@frequentative of tine to hang@|@tinetine@
@frequentative of tiotio@|@titiotio@
@frequentative of tiribaea@|@titiribaea@
@frequentative of tiribaibai@|@titiribaibai@
@frequentative of tiribo@|@tiriboa, titiribo@
@frequentative of tiribobo@|@titiribobo@
@frequentative of tiritiri@|@titiritiri@
@frequentative of tirotiroa@|@titirotiroa@
@Friday@|@buraete, Kanimabong@
@friendly@|@bwerengaki, iraorao@
@friendly word@|@te taetae n akoi@
@frightened exclamation of children@|@iakio@
@frock made of woven sinnet@|@tunta@
@frog@|@biraoki@
@from@|@mai, mairoun, man, mani@
@front part of@|@moan@
@froth@|@buíräbuir@
@fruit@|@uaa, uaanikai, wa@
@fruit of the pandanus@|@tû, tu-ni-kaina@
@fulfilling an obligation@|@kabaran te bae@
@full@|@ôn@
@full assembly@|@te kabane@
@full bud@|@butoko@
@full bunch or cluster@|@amwi@
@full grown aua@|@awakua@
@full of holes@|@bangabanga@
@full stop (period)@|@biriari@
@full up@|@on@
@fully ripe@|@titibengaua@
@funnel.@|@tauni mate@
@fur of the rat@|@buruburun te kimóa@
@gable of house@|@ram'a@
@game@|@boiri@
@game of skittles@|@te kare boua@
@game of tag@|@ikakae@
@gannet (bird)@|@kepoui@
@garfish@|@anaroro@
@gather coconut from a tree@|@aneane@
@gathering@|@ikotaki@
@gathering for feasting@|@aurama@
@genealogical tree of Samoa@|@ieretia@
@general assembly@|@maungatabu@
@general word for stone@|@atibu@
@generation@|@roro@
@generous@|@baiati, diduarô, tituaraoi@
@George@|@Tioti@
@get on my back@|@gûgû@
@get together to eat@|@boria@
@get up!@|@tekate‹rac@
@getting ready to blossom@|@butokaurake@
@Gilbert Group@|@aono ni Kiribati@
@Gilbertese@|@I Kiribati@
@Gilbertese dancing@|@m'aiee@
@Gilbertese kind of dancing using short skirts@|@tiireeree@
@Gilberts@|@Kiribati@
@giraffe@|@tirabi@
@girdle of shark's skin@|@iku@
@girdle worn by men@|@îra@
@girl@|@ahine, ataeinaine, teinnaiine@
@give@|@kamei@
@give birth@|@tehehi-paga@
@give heed@|@ainga@
@give here@|@kamai@
@give me@|@vouvouti@
@give me the thing@|@witia mai te boi@
@give me your knife@|@kamai am tap@
@give opposites@|@kaaitarai@
@give us@|@kamai ñair@
@given to anger@|@banga n un@
@gives negative sense to verbs@|@aikoa@
@giving advice but doing nothing oneself@|@bekoto@
@giving forth a strong marine odor@|@buengaenga@
@giving forth an appetizing odor with tangana@|@burorororo@
@giving forth an offensive odor@|@buneinei@
@gizzard@|@ba ni kana@
@glow of the sky at dawn@|@aibwea@
@gluttonous@|@buangata@
@gluttonous like a maneku@|@buanimaneku@
@gluttony@|@buabeka, buanrongo@
@gnaw@|@ewaka@
@go@|@naki nako@
@go above me@|@anoko ietu@
@go and break the club@|@anoko ni tawaia te tabu@
@go ashore@|@aerake@
@go away!@|@en nako@
@go before me@|@a nok iramôu@
@go before or go ahead of.@|@rimoa@
@go below@|@a noko iâ@
@go to the forest@|@nako buakonikai@
@go to windward@|@a noko iôn@
@go together or in company.@|@airi@
@go with you@|@iriko@
@go yonder@|@anoko ari@
@gobbler@|@bua n rongo@
@goblin@|@beko@
@God@|@Atua@
@Goddess of the depths@|@tinanimone@
@gods@|@baioa@
@goes towards the north@|@e bo nakoaiaki@
@going directly towards@|@ewaruru@
@going to@|@kan, kana@
@going upwards as seen from the bottom@|@atarake@
@gold fish@|@ikabaun@
@gone@|@boê@
@gone past@|@bakanako@
@good@|@bu, kan, lelei, raoi, raoiroi, ráoirói, reréi, wau@
@good (1)@|@raoioi, rap, rapa, râúirüi@
@good bye@|@Ti a boo, Ti a kabo@
@good health.@|@mauri@
@good mixture@|@borere@
@good place for shell fishing@|@aoreke@
@good sense@|@bo ma taeka@
@good smell@|@aloukia@
@good things@|@bairaroi@
@Goodbye@|@Ti a bo@
@gospel@|@euangkerio@
@gossip@|@barantiko@
@gotten@|@reke@
@govern@|@tautaeka@
@government@|@tautaeka@
@Government Headquarters@|@atuun te tautaeka@
@governor@|@koowana@
@grandfather@|@tibu to mm'aane@
@grandpa or grandma.@|@tibu@
@grandparent@|@tebû@
@grass@|@utéute@
@grate@|@ii@
@gravel@|@ätam, atama, ëtam, ëtam, gírigir, kirikiri, toninta@
@gray hair@|@iia@
@great@|@ababaki, apâpaki, bâbaki@
@great and distressing hunger@|@bakaruru@
@Great Britain@|@biritania@
@great is the heat@|@e baíbete t'irírin@
@great many@|@angi@
@greatly surprised@|@bobouru@
@greatness@|@bakin, böki@
@green@|@kiriin, mawáwa@
@green coconut@|@moimoto@
@green coconut water@|@rannimoimoto@
@greetings@|@Te Kamauri@
@grievous sin@|@te bure ae kamamate ae rawawa@
@ground@|@aontano@
@ground dove@|@bitin (taobe)@
@group of stars of Centaur@|@ana Binobino Nei Kama@
@group of stones on the reef.@|@naa@
@growing alternately on stem@|@batatara@
@growing close together@|@ibetutu@
@growing dark@|@boñiboñ@
@growing up@|@ikawaina@
@grown-up@|@ikawai@
@grumbling voice@|@bana ngurengure@
@guest@|@iriwa@
@gum on the edge of eyelids@|@te kai ni beka@
@gun@|@kati@
@gutter@|@kainikawaawaa@
@habit of telling lies@|@te banga ni kewe@
@habitually putting on airs@|@botikatika@
@Hades@|@eriti@
@hair@|@etou, ia, ira, íra n átu@
@hair of animals@|@buruburu@
@hair of the head@|@iran atu@
@hair on the breast@|@purai@
@hair scarf@|@kabaeanatu@
@hair standing up@|@atutei@
@hairdo@|@para@
@half@|@itera, titerau@
@half moon@|@itibong, raerere@
@half of@|@iteran@
@half of it@|@iterana@
@halfcaste@|@abakati@
@half-dollar@|@abetara@
@hallelujah@|@areruia@
@hammer@|@aama, ama, amaea, bai n oro@
@hand@|@bai, raou rou ni pei@
@handbag@|@bokete@
@handle roughly@|@bureka@
@handle with fingertips@|@baitangauri@
@hands covered with dirt@|@baitangako@
@handsome@|@bakuraewa, tamârua@
@handy@|@bairaoi@
@hanging@|@mama toukouai, tinerua@
@happy glad@|@kukurei@
@hard bread@|@berena@
@hard to please@|@beberino@
@hardened as the palms@|@tinanikora@
@harp@|@abi@
@harpooned fish@|@ika ni wai@
@hart@|@ate@
@has he come down or not?@|@e ruák e teua, iák?@
@hast thou crushed it?@|@ko tían totónia, ko tíau totónia@
@haste@|@kawaekoa@
@hat@|@b'ara@
@hatchet@|@angara@
@haul taut@|@arira@
@haul up the canoe on the beach@|@gonubûiki te wa@
@hauling in as a mainsheet@|@aibaba@
@have@|@tia@
@have a conversation@|@taetae ni kawai@
@have regard@|@akare@
@have you any fish?@|@iai te ika rûm?@
@have you ever been sick?@|@ko tían ôrak@
@have you finished your crop?@|@ko muti te tai rûm@
@have you washed it?@|@ko tian dibûgia?@
@having a beard only on the chin@|@buaitimoi@
@having a certain smell@|@buantinti@
@having a full breast over the sternum@|@babanura@
@having a good accent@|@eraoi@
@having a good voice@|@bana buaka@
@having a large outgrowing navel@|@butokare@
@having a number of chests@|@atiati@
@having a pleasant odor of good coconut oil@|@burungurung@
@having a rising on the back of the lower arm@|@baikiaro@
@having a scorched smell@|@bweari@
@having a sharp promecting chin@|@bangenibakoa@
@having a sour odor@|@butarotaro@
@having a sour or fermented smell@|@boimanging@
@having a strong fishy smell@|@butaroaroa@
@having a strong tingling odor@|@bukatongitong@
@having a sure aim@|@baiteke@
@having an unclean odor@|@bukunikun@
@having appearance of a fool@|@burababa@
@having black hair.@|@aturoro@
@having both ends of a canoe house@|@bangabangauatabo@
@having craze for indecent touching@|@banga n auau@
@having entrance or opening closed@|@bonomata@
@having habit of recriminating@|@banga ni kou@
@having habitually sweaty hands@|@baimaono@
@having hair on the body@|@buraenaomata@
@having hair very slightly curled@|@atumaoto@
@having hairs upon the abdomen@|@bweai@
@having large hands@|@bairababa, bairae@
@having long hair@|@atubungubung@
@having much beard@|@bubuai@
@having odour of old age@|@bukarakara@
@having red hair@|@atuuraura@
@having something inside@|@kakanoa@
@having strong unpleasant fishy odor@|@butariri@
@having the lip deformed@|@bake@
@having the odor of fish while cooking@|@bunenea@
@having the offensive odor@|@burangirang@
@having the scent of blood@|@bunokonoko@
@having the scent of old coconut oil@|@burongorongo@
@having the smell of a burning coconut kernel@|@boimanua@
@having the smell of fire@|@boboiai, boiai@
@having unusually long arms@|@bairarae@
@having very curly hair@|@atumaran, atungeri@
@having water inside@|@neinei@
@having white-caps on the sea@|@bainikiakia@
@having yellowish red hair@|@atumeamea@
@hawk's-bill tortoise@|@itibáki@
@he@|@e, ngaia, ngáia, teua@
@he cannot be angry@|@e baña tiritiri@
@he frightens me@|@kamâgai e teua@
@he got hit in the face@|@e bo ubuna@
@he has a passion for strong drink@|@e barua te manging@
@he has no property@|@ake te boi rûn@
@he is a little deaf@|@e ongo maki@
@he is a thief@|@e îra teua@
@he is absent from home@|@akea n ana auti@
@he is bad with the spear@|@teua buaka ma kai@
@he is buried@|@ia tían taunak@
@he is buried alteady@|@ia kaman taunak@
@he is crazy about that kind of food@|@ai bakanimatena te amarake ann@
@he is cutting the tree@|@taitai te kani@
@he is deaf@|@e tániña buna@
@he is done@|@ia tia teua, ia tîa teua@
@he is fastidious@|@e berino n te amarake@
@he is fat@|@ianuai teua@
@he is gone@|@e bo nako@
@he is gone long ago@|@ia kaman roko@
@he is good at making a canoe@|@e rap' e teua n' karô e te wa@
@he is hard hearted@|@e ben nanona@
@he is near@|@e kaen e teua@
@he is successful@|@e toka borana@
@he pretends to be kind@|@e baka n akoi@
@he pretends to run away@|@e baka ni birinako@
@he ran away yesterday@|@akêa bu birinok kuánano@
@he refused with all his strength@|@e bakoraea n rawa@
@he saved my life@|@e kamaiwai@
@he talks incessantly@|@beroro n taetae@
@he understands fighting@|@e tai kai teua@
@he was sacked@|@e baka man nakoana@
@he will go with thee@|@e na irigo teua@
@he works without being tired@|@e makuri n aki kua@
@head@|@atu, átu, atuu, ëdu, tapanou@
@head of@|@atuun@
@head of hair in disorder@|@atutababa@
@head of hair standing up@|@atuirauti@
@headache.@|@maraki n atuu@
@heading@|@atun taeka@
@healed@|@kamaiuaki, mao@
@healthy@|@marurung@
@heap of rubbish lying across@|@te baki ni mange@
@hear@|@ongo@
@heart@|@igîga, ikéike@
@hearts@|@buroo@
@heat@|@bue, riringa-riri@
@heat especially at night@|@bobai@
@heat of the sun is oppressive@|@e kákaña te ririn@
@heaven@|@karava, karawa@
@heavily sparred@|@baikorakora@
@heavy@|@rawaawata, rawaawata, rawata, revata, tinebu@
@heavy block of wood or stone@|@tinani kabakabaka@
@heavy handed@|@bairawata@
@heavy laden@|@beuakora@
@Hebrew@|@ebera@
@heed@|@ananea@
@heel@|@buki-ni-wai, pouki-noue@
@held@|@tauaki@
@hell@|@moone@
@hello@|@kam na mauri, Ko na mauri, Ko na mauri !, kona mauri, mauri@
@helmet@|@para@
@help@|@bukana, buoka, buoki@
@help me@|@buokai@
@help someone to succeed@|@katoka borana@
@help you@|@buokiko@
@helped@|@buokaki@
@helpful@|@ibuobuoki@
@helping@|@ibuobuoki@
@hen@|@mo'aiíne@
@henna@|@enna@
@Henry@|@Enere, Eneri, Erene@
@her@|@a, ana, ngaia@
@her bino whistles@|@e tang binona@
@her child@|@natina@
@her husband@|@kaainabana@
@her presence or arrival@|@rokona@
@here@|@ai, ai, aiei, ê, ê, i-kai, ikai, ikei, iko, kai@
@here he comes@|@akea ba e a roko@
@here is thy knife@|@iai am tap@
@herring@|@ering@
@he's taken up arms against me@|@e tabigi a kaiu teua@
@hide@|@karapa@
@hide and seek@|@ikaraaba@
@high@|@ietât, retát@
@high in the sky@|@aoniman@
@high is the land@|@ietât' 'e te ap, ietât e te ap@
@high priced@|@bomatoa@
@high tide@|@iabuti@
@high water@|@îabut@
@hilly@|@aontabuki@
@him@|@a, ngaia@
@hindered@|@baenikai@
@hip bone@|@te ri ni bebe@
@hippopotamus@|@ibobatemati@
@hire@|@bakao@
@his@|@ana@
@his bait@|@abeana@
@his child@|@atina@
@his debt is remitted@|@e bara baena@
@his head turned round@|@irik atún@
@his leg is crooked@|@e bô wain teua@
@his legs and arms are struck@|@e pô wain o bain@
@his teeth are decayed@|@e moko uîn@
@his wound is great@|@ia kamâg a kain e bô mo atan, ia kamâg e kain@
@hit@|@oreaki, titaou@
@hit with a foot@|@toua@
@hither@|@ikai@
@hoarseness@|@bakabua@
@hoist the sail@|@arirake@
@hold@|@taua@
@hold a general assembly@|@maungatabu@
@hold in possession@|@arokana@
@hold it@|@átia@
@hold of@|@tauakin@
@hole of your lips@|@buñabuña ni riêm@
@hollow@|@bana bangubangu@
@hollow out@|@ekenake@
@hollow sound@|@bongubongu@
@hollow sound of box@|@bekubeku@
@holothuria@|@baítar, boítari@
@honored@|@bainaka@
@hops@|@abiti@
@horn@|@ñîeta@
@horse@|@aoti@
@horseman@|@bantongo@
@hospital@|@oonaoraki@
@hot@|@kabuebue@
@hour@|@te tai ni bakabaun@
@house@|@auti, áuti, bät, bata, bët, pata touma, úm'a, uma@
@house for drying copra@|@te batabata@
@house for guest@|@auti n iruwa@
@house of spirits@|@ba-ni-mata@
@how (something) is done@|@iraanaki@
@How are you?@|@I marurung, Kam uara?, Ko uara?@
@how ashamed we are!@|@ti a buanna kanga!@
@how far?@|@raroara@
@How is it?@|@uara@
@how is Tabuerik among spirits?@|@e gaña Tabuerik in ent?@
@How is Tabuerik among spirits?@|@e gaña Tabuerik in anti?@
@how long?@|@maanra@
@how many are your houses?@|@erábat am bat (erâua bátam)?@
@how many days?@|@eraboña te boñ, eraboña te ñaiña@
@how many months?@|@eraman aman, eraman aman?@
@how many nights?@|@eraboña te ñain?@
@how many stars do you see?@|@era tuitui ko naoria?@
@how many suns in the sky?@|@aráua taaik i karawa@
@how many?@|@erâ, erá-bat, erá-boñ, erá-man, erâ-ua, ilawa, irâ, iraman, iraua@
@how much?@|@ilawa@
@How old is he?@|@Ai iraua ana rirki?@
@how to do (a thing)@|@iranna@
@how unlucky we are!@|@ti a bua n anti ra!@
@how?@|@gaña, kanga, kangaa@
@human@|@rimo@
@hundred@|@bubua@
@hunger@|@pake@
@hungry@|@baki@
@hurry with it!@|@berígia@
@hurry!@|@barekiko!@
@husband@|@bu, kainaba@
@husk of the cocoa-nut@|@wânïni@
@husk of the coconut@|@ewanikarau@
@husking stick@|@koro@
@hyena@|@aiina@
@hymn book@|@boki n anene@
@hyphen@|@aiben@
@hypocritical welcome@|@te baka n akoi@
@I@|@i, n, ñai, ngai, ngái@
@I aki kona@|@I cannot@
@I almost died of sickness@|@ia guri mat iw orak@
@I am (of) the size of you@|@tia bokin uñgoe@
@I am a native of Kiawe@|@kaen Kiawe e ñai@
@I am as tall as you@|@tia anânau ma uñgoe@
@I am blind@|@egêgi matau@
@I am cold@|@ia mariri@
@I am come@|@ia roko ñai@
@I am coming to oil you@|@anaginako ôt ina kabírago@
@I am coming to thee@|@nañinoko ôt@
@I am done with thee@|@tia iañai erûm, tia iañai erûm@
@I am eating it@|@tia kanáia@
@I am equal to him@|@tî te eran ñai ma teua@
@I am full@|@ia tia iañai@
@I am going@|@tia nañinako@
@I am going to drink@|@tia kana mô@
@I am going to lie down@|@nañinokou wîn@
@I am going to sew it@|@tia kana wêïa@
@I am in fault@|@tia buír@
@I am in the habit of telling lies@|@I banga ni kewe@
@I am not bound@|@I aki bae iai@
@I am satisfied@|@ia tia ianuai@
@I am sorry for it@|@tia kâw' gaña@
@I am sorry that he is coming@|@tia kaw' ina kandroko@
@I am the first comer@|@tia iramo ñai@
@I am tired of looking@|@iañai ina naoria@
@I am travelling by ship@|@baou te kaibuke@
@I am warm@|@tia buê@
@I and he@|@ñai ma teua@
@i aon@|@on@
@I beat him for stealing@|@e díriñia in îra@
@I beat them@|@tia díriñia@
@I beg of you@|@tia buñagami@
@I cannot bear to look at you@|@taikî kunan taratarago@
@I cannot swim@|@tia papaña uoua@
@I can't bear your sight@|@tiakî kuna taram@
@I can't hear@|@I aki n ongo@
@I come from my father@|@e noko mai e ñai rûn tamau@
@I come from the council-house@|@tia roko mai te maniapa@
@I do not know@|@iñkam@
@I don't care@|@nairânak@
@I don't hear at all@|@tiaki uñáp@
@I don't know@|@ngkam@
@I don't know how to swim@|@e baña uoua@
@I don't like thee@|@iribaigo@
@I don't see any thing@|@tiaki noráp@
@I don't understand you@|@tiakî igínago@
@I have a pain in my inside@|@tía tik inanu@
@I have crushed it@|@ia tîan totóia@
@I have dried it@|@ia tian tawaia@
@I have just met with you@|@e tia bu bô ma uñgoe@
@I have just thought of it@|@e tia bu maúriñia@
@I have more molasses than he@|@e mait au kamuimui a kain teua@
@I have not met with you@|@eduain bô ma uñoe@
@I have split it@|@ia tían rewáia@
@I have told him your talk@|@ia tían tuañ am tak@
@I have waited for you long her@|@anânau táiñgo ñai aikai@
@I hear@|@tia uñ@
@I kill myself@|@tia kamátai@
@I lost a day@|@e baka au bong@
@I pity you@|@tia tañírigo@
@I respect thee and love thee@|@tia iakaigo o tia tanego@
@I shall not live@|@tiaki maiu@
@I shall not reach the land@|@tiakî bô mâp (ma ap')@
@I shall sew it@|@tia na weia@
@I squeezed your waist@|@tia gôn e nukum@
@I stayed on board the ship@|@tia toka iôn te wa@
@I tie round my waist@|@tia kapêia i nugu@
@I want to borrow from you@|@I kabaeai iroum@
@I went to the wrong house@|@I karua te bata@
@I will carry you@|@tia kagûgugo@
@I will go a-fishing@|@tia noko ina kawa@
@I will kill thee@|@tia kamatego@
@I will not@|@tïakî@
@I will not come down@|@tiakî e ruák@
@I will not speak@|@tiakî ñôñô@
@I will return@|@tia ôg@
@I will see it@|@ina naoria@
@I will smother thee@|@tia tautaunago@
@I will take vengeance on him@|@tia kabuâ ma teua@
@I won't keep my hand from thee@|@tiakî tabuîia baiu a kaim@
@ibu for holding karewe to be@|@ibunikatoro@
@ice@|@aiti@
@idiom@|@boati@
@if@|@bain-ganai, kanai, ngkána@
@if I dream about you to-night@|@bain-ganai tia mîgo ineboñ@
@if I had a canoe@|@kanai iai wau@
@if only I were a doctor!@|@ai bia te taokita ngai!@
@if the fine weather comes@|@bain-ganai roko te rô, baiñanai roko te rô@
@if thou strike me@|@kanai ko pôai@
@ignorance@|@bangabai@
@ignorant of etiquette@|@banga aro@
@ill behaved@|@angabe, betoto@
@ill luck@|@bakabuaka@
@ill treatment of a foster child@|@bakara@
@I'm fine@|@I marurung@
@imperative@|@aori@
@implement for tattooing@|@bai ni taitai@
@impolements for tattooing@|@te bai ni taitai@
@impulsive@|@aotakakiau@
@in@|@i, i, in, inanon, n, ni@
@in order that@|@aonga, ina@
@in the condition of a coconut tree@|@buronikika@
@in the forest@|@i buakonikai, i buakonikai@
@in the habit of complaining@|@bangurengure@
@in the habit of tormenting@|@banga ni waru@
@inch@|@inti@
@inclined to be lazy@|@banga n taninga@
@included@|@ikotaki@
@inconsistency in speech@|@bitara@
@inconstancy in work@|@boneao@
@inconvenient@|@angabuaka@
@indeed the canoe is gone@|@akea bu boê te wa@
@independence@|@inaaomata@
@indiscreet@|@aouki@
@indocility@|@bara n taninga@
@infinitesimal@|@tingingi@
@inform me@|@kaongoraeai@
@ingenuity@|@batua ni bai@
@inhabit@|@moue moue@
@inherit as land@|@ababa@
@inhospitablee@|@aboabonran@
@injured@|@ikoaki@
@ink for tatooing@|@äntia, éntia@
@inner part of the pandanus nut@|@beti@
@inquire about@|@bobouruakina@
@insatiability@|@arengau@
@inside@|@ano, paro@
@inspect the work of a laborer@|@tiromaneka@
@instrument@|@katangitang@
@intelligence@|@iangoraoi@
@intemperance in eating@|@bua n amarake@
@intercourse@|@pani pani@
@interjection uttered upon perceiving a bad smell@|@bi@
@intestines@|@kanoa n nano@
@intoxicating drink@|@manging@
@intoxication@|@batete@
@inversion@|@kaibibiti@
@inveterate liar@|@tina ni kewe@
@invited@|@kaoaki@
@iodine.@|@aitin@
@iron@|@biti, monei@
@irritated@|@bononano@
@is it very important?@|@e akaka?@
@is the canoe in sight?@|@e uti te wa?@
@is there a current?@|@iai te ara?@
@is there another cup to thee?@|@iai te mauñga e teuana erûm@
@is there any?@|@iai? akea@
@is there?@|@iai, iê@
@is your mind at peace or not?@|@e rô nánam o iduai?@
@is your mind at rest or not?@|@e ro nanam o iduai, e rô nanam o iduai@
@Isabella@|@Itabera@
@island@|@abam'akoro, abamakoro, benua, bïnu, penoua@
@island between Abaiang and Butaritari@|@Marakei@
@island in the central Gilberts@|@Kuria@
@island in the Gilberts@|@Abaiang, Abemama@
@island in the Gilberts between Kuria and Abemama@|@Aranuka@
@island in the Gilberts between Tabiteuea and Taman@|@Onotoa@
@island south of Tarawa@|@Maiana@
@island west of Nikunau@|@Beru@
@islands of@|@abam'akoron@
@islet@|@atim'akoro@
@islet in the reef@|@atimakoro@
@it@|@a, ngaia, ngaia@
@it is a nice rod like one for...@|@bon te aeto ni mamira@
@it is bursting@|@ka ... e bukawe@
@it is dark@|@e bong@
@it is empty@|@akea kanoana@
@It is my son@|@bon natiu@
@it is nearly time to start@|@e aitau te mananga@
@it is night@|@e a bong@
@it is not so bad@|@e na bakara@
@it is not Tabura@|@tiák Tabura@
@it is not yet high water@|@iduai n'îabut@
@it is not yet low tide@|@iduai n'ôr@
@it is pounded@|@ia tían pôak@
@it is red-hot@|@e buê auraura@
@it is your canoe@|@apon wam@
@it is your time@|@e bo am tai@
@it passed before me so quickly@|@e aki bane norana irou@
@it smells fish@|@e bu ika@
@it was@|@ápon@
@it was his brother@|@apon tarina@
@it was only slightly touched@|@e bo maki (ma aki), e bo n aki@
@it won't start off@|@e aikoa mananga@
@itching@|@ngongo, teumaririe@
@its@|@ana@
@it's a lie!@|@auwára@
@its border@|@mataniwiina@
@its catch@|@konana@
@its cigarette paper@|@rauarana@
@its departure@|@nakona@
@its eyes@|@matana@
@its flesh@|@irikona@
@its food@|@kanana@
@its fruit@|@uaana@
@it's good@|@etoou@
@its leaf@|@baana@
@its meaning@|@nanona@
@its name@|@arana@
@its part@|@m'akorona@
@its people@|@kaaina@
@its rolling@|@niirakina@
@its rolling cord@|@niirana@
@its sail@|@iena@
@its shell@|@ibuna@
@its sibling of same sex@|@tarin@
@its thatch@|@rauna@
@its tobacco@|@baakeena@
@its use@|@boonganana, manena@
@its water@|@ranna@
@its window@|@kamaamana@
@its wood@|@kaina@
@ivory@|@aiwere@
@James@|@Tiemti@
@jammed@|@betanga@
@Jane@|@Tien@
@January@|@Tianuare@
@Jasmine@|@bitati@
@jasper@|@iatebi@
@javelin@|@imbo@
@jealousy of a woman for rival@|@bekari ranga@
