@English@|@Parakan@
@to there@|@kwe katy@
@to thunder@|@narog@
@to tie@|@exi@
@to tight@|@amaga@
@to tire@|@koatag@
@to turn good@|@mokato@
@to turn off@|@moxe'enag@
@to turn on@|@moxe'ekaw@
@to uncover@|@akwapetymawag@
@to unload@|@moxypaho@
@to untie@|@mohin@
@to urinate@|@korog@
@to wait@|@aaro, aro, haro, menepy@
@to walk@|@amoawyropi, ata@
@to wander@|@moron@
@to wander in the aim@|@awyxepe@
@to warm@|@akom@
@to warm up@|@mokom@
@to weed@|@kaapin@
@to wet@|@mohog, mohomohog@
@to whistle@|@emepy@
@to work@|@ma'eapo, ma’eapo, motytyg@
@to write@|@ekanam, mopinim, omopiním@
@to you@|@awa@
@toad@|@kororo@
@toad-snake@|@kororomax-a@
@toasted@|@amapytomam@
@today@|@arimoete, kare@
@today we go out@|@Arimo ke xaha@
@Today you will be with me@|@Kare erekapota xepyri@
@tomorrow@|@oxe’iwe@
@tongue@|@-ko@
@tooth@|@honia, oni@
@tooth sucher@|@akoxiwyr@
@top of roof@|@apepyk@
@Tória likes beer a lot@|@Kawiagawa toria oexete@
@toucan@|@ipytog, tokona@
@treacherous@|@exagokahar@
@tree@|@'yw@
@trench@|@koty@
@truth@|@a'ete@
@tucunaré (a kind of fish)@|@tokonare@
@Turn off him fire@|@Emowem tata@
@two@|@mokoi, mokokoi, mokotx@
@Ty'e likes to fish@|@Ooei ipirare Ty'e@
@Tyrya is killer of mosquito@|@mytoa xokatarete@
@uncle@|@exowyte@
@under@|@wyri@
@understood@|@Me nã@
@uterus@|@'aopaw@
@valiant@|@ma'exaroronahe@
@vampire@|@anyraxig@
@vegetable oil@|@inata'y@
@very dry skin@|@koixixig@
@very old person@|@awaopawa'e@
@village@|@etom@
@visitor@|@exag-kar, exakar@
@vulture@|@orowoa@
@vulva@|@eme'yw@
@wait@|@emei, emenepy@
@Waits; he said@|@Emenepy i'i@
@wake up@|@pag@
@Warape'ia brought sugar@|@Warape'ia oweron oxokaria@
@Ware'ia is the sprout of the innate@|@Innate rexonia ware'ia@
@warm@|@-akom@
@wart@|@enemax@
@was excellent come near you@|@ikatoete oron nepyri@
@water@|@'y@
@water chick@|@arakoriagaw@
@water chick eats small fish@|@Arakoriagawa o'o ipira'yna@
@watermelon@|@meraxi@
@way@|@ero@
@we@|@ara-, ore, oro-, xá-, xene-, xere-@
@we (excluding) are tired@|@ore orekani’o@
@we are tired@|@xenekani’o@
@We ate hunt meat@|@Oro'o ma'ea'a  ra'a@
@we beat ourselves@|@xaxonopo@
@we brought him@|@oroweron@
@we do bad things@|@Ma'e awaipawa xaapo@
@we followed the dog@|@araha xawara rewiri@
@we go to Altamira@|@arahapota Altamiripe@
@we go to Saint Felix@|@Arahapota Sao Feri pyri@
@We killed a big pirarara@|@Haxywytoga ixytaohoa oroxoka@
@we made bad things@|@Ma'e awaipawa xaapo@
@we plat at midday@|@areteo ke xatym@
@we ran@|@xane xaxon@
@we scalded bacaba to eat@|@Pinowa oromororo i'o@
@we sing@|@oroxe'egan, xaxe'egan@
@we walk@|@oroata, xereata@
@We went (and) we had happiness@|@Araha oroxorywamo@
@we were at our village@|@xeneawyrime xaka@
@We will eat@|@Xakaropota@
@wealth@|@ma'exiroho@
@went out@|@ohem@
@West@|@araketaw@
@wet@|@akym@
@What did you say?@|@Nakwahawihi@
@what doesn't have labial hole@|@Temekwary'yma@
@what is alive@|@ekowewa'e@
@what is behind@|@ehewewar@
@what is behind us@|@eheweakawa', Xenerehewewara@
@what is blind@|@e'apawa'e@
@what is descending@|@emominowa'e@
@what is good@|@katowa'e@
@what is not good@|@katotary'yma@
@what is strong@|@atowa'e@
@what is worth a little@|@epyytym@
@what was brought@|@emiron@
@what was cured@|@emimokato@
@what?@|@ma'e-pa@
@When he cries sheds tears@|@Oxa'a a'eramo he'yramo@
@When he repairs person@|@Goamokatoramo@
@When he saw me leaving I hid@|@Wetexagamo axemim weha@
@when he wanted@|@opotan@
@when I go; he will come@|@aharamo on ta@
@When I toast flour am tired@|@O'ia pykoita xekoatag.@
@When it dawn we will work@|@Ko'emamo ke  xama'eapo@
@When my net fell; was sleeping@|@Wetopawa 'aramo weketa@
@when rained I ate everything@|@amyna kyramo a'opam@
@When the sun put@|@Kwarahya xeroharamo@
@When you searches you find@|@Emomyro hexaka@
@Where is Koria@|@Koria. Aha Altamiripe@
@Where is Xikoa? Be here@|@Mopa Xikoa; Ogoho@
@While he sleeps; I sang@|@Ikeramo axe'egan@
@whistle@|@emepya@
@white@|@tori@
@white rum@|@kawiagaw, kawioho@
@who@|@amo@
@Who eats fish@|@Koaiwoma o'o omano iwara@
@Who get out@|@awa pa ihai@
@Who'll be that it's helping he@|@Awa rhyme opotywo; hexakato@
@widow@|@atykwer, axowy@
@wife@|@aty, hy@
@wild cocoa@|@aka'o@
@Wiliam is fatter than we@|@Towohoa ikawoho xeneohi@
@will give medicine for you@|@amanapota mo'aga tenekato'e@
@winter@|@amynime@
@Wiona sharpens the large knife@|@Oime'ete Wiona ky'e@
@with@|@opi, po@
@with force@|@-ahy@
@with him@|@hopi@
@With whom do you go?@|@awa re pa ereha@
@without any fat@|@naikyraihi@
@without fat@|@naikyrai@
@without hand@|@naipai@
@without name@|@naeri@
@woke up@|@opag@
@woman@|@gyge, koxaeto, koxo, koxoa@
@woman big@|@koxai'ymoho@
@woman's brother@|@kywyr@
@women@|@koxaneto@
@women prepared boilled corn@|@koxoa oapo awaximymonia@
@work@|@ma'eapotaw@
@wounded@|@miron@
@Xakoa is older sister of Axowy@|@Axowya renyrymyna Xakoa@
@Xenerowete made all things@|@Xenerowete oapopam ma'exiroa@
@Xikoa has a scissor@|@Xikoa i'awamanakawamo hekai@
@Xikoa's son soon borned@|@Xikoa ra'yra o'arame@
@Xirirei is son of Warape'ia@|@Warape'ia awapa'ia Xirirei@
@Xixoa crooked to pick@|@Xixoa okanam itakonia@
@Xoma is bachelor@|@awayahomynete Xoma@
@Xoma missed the bug@|@Xoma oawyxepe ma'exiroa@
@yam@|@kara, kararona@
@year@|@aripeete@
@yellow thrush bird@|@awixa@
@yesterday@|@kwexarewe, ymawe@
@you@|@e-, ene, ene, ere-, ne@
@you (pl)@|@pe-, pexe-@
@you (pl) saw me@|@pehe xerexag ipe@
@You almost forgot the writing@|@Pemokaxym werehe  imopinimawa@
@You are as our former-boss@|@Xenemoroyrokwera xowe ene@
@You are grandson of Karaxa@|@Karaxa remominoa ene@
@You are seeking what is alive@|@Pemomyro pexeka hekowewa'e@
@You arrived under the rain@|@Amyna  wyrimo erexan@
@You brought large knife@|@Ene ereron ky'e mo'aga ixope@
@you come from Altamira@|@pexan altamira hi@
@you cut us@|@orekyxi ipe@
@You did beautiful for you same@|@Pemoaro pexexope@
@you didn't see@|@nepexagi@
@you even group@|@eraha@
@You fell of the stone@|@Pehe pe'na itare@
@you fight against him@|@ene erexonopo hehe@
@you get ou@|@ekwa@
@you get out (pl)@|@pekwa@
@you have many houses@|@heta penaga peawyripe@
@You heard my speech@|@Erenom xexe'ega@
@you hit me so I cried@|@xenopo ipe a'e-ramo axa'a@
@you killed all@|@Peapixipapa@
@You left happy@|@Ene ereha xoryweteramo@
@You lied down when was cold@|@Ene ere’am ero’yramo.@
@You lied when she was cold@|@Ene ere'am ero'yramo@
@You made the labial hole in me@|@xeremekwamomog ipe@
@you ordered me although@|@ene xemana ipe@
@you ordered to do@|@xemana ipe tahane@
@you said@|@etekwer@
@you saw hismother@|@erexag ihya@
@You saw!@|@exa@
@you sing@|@erexe'egan@
@you sing (pl)@|@pexe'egan@
@You take care of my things@|@Exekaty xema'exiroa@
@you took him@|@ereraha@
@you walk@|@eata@
@you walk (pl)@|@pexeata@
@young lady@|@koxamoko@
@young person@|@awarame@
@young woman@|@koxarame@
@your blood (pl)@|@pe-n-owy-a@
@your father@|@penowa@
@your hair is dark@|@I'awa ipionete@
@your head@|@neakyga@
@your motor is hot@|@hakowete nemotoa@
@Your own painting he does lots@|@Epitom imoaroete@
@your roast@|@Neremimoka'e@
@Your son is crying@|@Oxa'a nememyra@
@your village is beautiful@|@iaroete neawyra@
@You're sorry@|@Pexeara'ag@

