@English@|@Old English@
@masonry@|@stangetimbre, stangeweorc, wealstan, wealweorc@
@mass@|@bloma, cliewen, clott, falþing, mæsse, mæsse, micelnes@
@mass book@|@þegnung@
@mass of stone@|@clud@
@mass of troops@|@hloþgecrod@
@mass priest@|@mæseepreost, mæssepreost@
@massbook@|@þenungboc@
@mass-book@|@mæsseboc, þenung@
@mass-day@|@mæssedæg@
@massive@|@great@
@massiveness@|@fæstnes@
@mass-priest@|@mæssepreost, mæsseþegn@
@mass-vestment@|@mæssegierela, mæssehacele@
@mass-vestments@|@mæssereaf@
@mast@|@mæst, mæsten, picgbread?@
@mast of trees@|@æcern@
@master@|@agend, agend, bealdor, bealdor, bebeodend, frea, frigea, hæsere, heahleornere, hearra, hlafording, lareow, magister, mandryhten@
@master of a house@|@husbonda@
@master of a ship@|@steormann, steorreðra@
@master of the horses@|@horsþegn@
@master of the house@|@hushlaford@
@mastery@|@weald@
@mastic@|@hwitcwidu@
@mastic of sweet basil?@|@mæringcwudu@
@mastiff@|@roðhund, ryþþa@
@mast-rope@|@mæstrap@
@mast-socket@|@mæstcyst@
@mat@|@matte, meatte, meatte@
@match@|@efenlæcan, geefenlæcan, gemæcca@
@mate@|@efenheafodling, gemæcca, geþofta, heafodgemæcca@
@material@|@andweorc, andweorc, geteoh, lichamlic, ontimber, ontimbernes@
@material for roofing@|@hroftimber@
@maternal@|@medren, modorlic@
@maternal aunt@|@modrige@
@maternal descent@|@modorcynn@
@maternal kindred@|@medrenmægþ@
@maternal kinsman@|@medrenmæg@
@maternal uncle@|@eam@
@math whiz?@|@rimcræftig, rimcræftiga@
@math wiz@|@getælwis@
@mathematician@|@circolwyrde, steorwiglere@
@matins@|@dægredsang, uhtgebed, uhtsang, uhtþegnung@
@matins (aftersong)@|@æftersong@
@matress@|@meatte@
@matricide@|@modorslaga@
@matrimony@|@gaderscipe, hæmedgemana@
@matron@|@forþwif@
@matter@|@andweorc, geolster, geteoh, gillister, gund, intinga, lyswen, þing, wise, worms@
@matter belched forth@|@hræcetung@
@mattery@|@gundig@
@matting@|@stræl@
@mattock@|@becca, mattuc, tyrfhaga@
@mattress@|@meatte, streownes@
@mature@|@fullripod, gestiðian, ranc, ripe@
@mature men@|@duguþ@
@mature years@|@strengþ@
@maturity@|@rip, ripung, þungennes@
@matutinal@|@ærnemergenlic, morgenlic, morgentidlic, uhtlic@
@maw@|@ceosol, maga@
@maw (of an animal)@|@feloferþ@
@may@|@mæg, magan, mot, mot, motan, moton@
@May@|@Maius, þrimeolce, þrimeolcemonaþ@
@mayor@|@burhealdor, burhgerefa, portgerefa, portgerefa@
@mayweed@|@mægþa, mageðe@
@me@|@me, me@
@mead@|@beor, mæd, meado, medodrinc, medu, medudrenc, meodu, wang@
@mead cup@|@meduful@
@mead hall@|@meduærn, meduheall, meduseld@
@mead?@|@beonbroþ@
@mead-bench@|@medobenc@
@mead-city@|@meduburg@
@mead-cup@|@meduful, meduscenc@
@mead-drinking@|@medudrinc@
@mead-excited@|@medugal@
@mead-hall@|@meduærn, meduseld, meodoheall@
@mead-joy@|@medudream@
@meadow@|@filiþleag, gærstun, gehæg, leah, mæd, mæd, mede@
@meadow land@|@feldland@
@meadow land held in common and apportioned between the holders@|@dalmæd@
@meadow liable to floods@|@wisce@
@meadow of meeting@|@gemotleah@
@meadow saffron@|@greatewyrt@
@meadow turf@|@wangturf@
@meadow which was mown as part of the rent@|@gafolmæd@
@meadow-dike@|@gærstundic@
@meadowland@|@mædland@
@meadowland?@|@læþ@
@meadow-stream@|@mædlacu@
@meadow-sweet@|@meduwyrt@
@mead-seat@|@medusetl@
@mead-server-responsibility@|@meduræden@
@meager@|@hungrig, mæger@
@meal@|@gereord, grot, mæl, mæl, melu, metscipe, reord, reordung, snæding, swæsendu, swæsendu, þenung@
@meal after nones@|@nongereord@
@meal-house@|@meluhudern, meluhus@
@meals@|@mæl@
@meal-time@|@gereordungtid, mæltid, metetid, þenung@
@mean@|@forslegenlic, hean, hneaw, hneaw, lyðerlic, lyðre, lytel, lyþerlic, mænan, mænan, mæne, mæte, medeme, medmicel, secgan, tæcnan, uncyme, uncystig, waclic, wyrslic@
@mean (signify)@|@gebicnian@
@mean looking@|@forlegenlic@
@mean wretch@|@hinderling@
@meaning@|@andgiet, andgiet, andgit, geþeode, ingehygd@
@meanly@|@medmicle@
@meanness@|@hneawnes@
@means@|@andfeng@
@means of going up@|@upastignes@
@meanwhile@|@betweonan, herongemong, þenden@
@meanwhile (dat)@|@ongemang@
@measurable@|@ametendlic, gemetlic, getælfæst@
@measure@|@amber, ametan, andefn, bolla, byden, gewæge, leap, mæl, mæl, mæþ, mearcian, mearcian, medemung, metan, metan, rihtebred, spann, tælmet@
@measure (of corn)@|@pundwæg@
@measure (small)@|@pægel@
@measure (vessel or amount)@|@gemet@
@measure by miles@|@milgemearc@
@measure of a drink@|@dryncgemett@
@measure of bulk belonging to a corporate body@|@gildsester@
@measure of corn or fodder@|@þrefe@
@measure of land@|@geocled, sul@
@measure of land?@|@manslot@
@measure of length@|@gierd, stæpe@
@measure or proportion of land@|@landefn@
@measure out@|@apundrian?@
@measure used in a town@|@burhgemet@
@measurer@|@metend@
@measuring@|@mæðung, medemung@
@measuring rod@|@gerd@
@measuring vessel@|@gemetfæt@
@measuring-rope@|@metrap@
@measuring-stick@|@metgeard@
@meat@|@æs, æt, flæscmete, mete@
@meat (salted side of)@|@flicce@
@meat market@|@flæsccyping, flæschus, flæscstræt@
@meat-hook?@|@meteawel@
@meat-knife@|@metseax@
@mechanical@|@mechanisc@
@mechanical art@|@orþanc, orþancscipe@
@mechanical engineering?@|@orþancscipe@
@mechanics@|@weorccræft@
@median vein@|@middelædr@
@median?@|@midlest@
@mediation@|@þingræden, þingung@
@mediator@|@forespreca, foreþingere, midligend, þingere@
@mediator (female)@|@þingestre@
@medical arts@|@læcecræft, læcedom@
@medical equipment@|@læcegeatwa?@
@medical treatment@|@læcewyrt@
@medication@|@lacnung, sealf@
@medicinal herb@|@læcewyrt@
@medicinal ointment@|@læcesealf@
@medicinal seed@|@lybcorn@
@medicinal spring@|@bæþ@
@medicine@|@læcedom, wyrtdrenc@
@medicine chest@|@læcecyst@
@mediocre@|@medemlic@
@mediocrity@|@medemlicnes@
@meditate@|@gastan, hycgan, þencan, þreodian@
@meditate on@|@geondþencean@
@meditate upon@|@sinnan@
@meditating mischief@|@bealuhycgende@
@meditation@|@leornung, metgung, smeaþ@
@meditative@|@smeagendlic@
@Mediterranean Sea@|@Wendelsæ@
@medlar tree@|@openærs@
@meed@|@med, med@
@meek@|@gedæft, gedæfte, gemetfæst, manswæs, manþwære, milde, modþwære@
@meekly@|@gemetfæstlice@
@meekness@|@eaþmodnes, modþwærnes@
@meesenger@|@bydel@
@meet@|@ageniernan, findan, gegegnian, gemæte, gemet, gemetan, metan, mittan, risne, samnian@
@meet with@|@becuman, geferan, geiernan, hittan, mittan, oferfaran, oferferan@
@meeting@|@æfterryne, edryne, geancyme, geancyrr, geannes, geanryne, gemot, gemot, geþinge, mæðel, meting, mitting, samnung, sinoþ, þing, þyncþo@
@meeting of kinsmen@|@mæggemot@
@meeting of people@|@folcgemot@
@meeting of the people of a town or district@|@folcgemot@
@meeting place@|@anbidstow, þingstow@
@meeting with hostile intent@|@ætsteall@
@meeting-place@|@meðelstede, sinoþstow@
@melancholia@|@gealladl@
@melancholy@|@gealga@
@mellifluous@|@hunigswete@
@mellow@|@melisc@
@melodious@|@dryme, welswengende@
@melodiously@|@myriglice@
@melody@|@dream, geswin, gliwstæf, myrgnes, sweg, sweghleoðor, swinn, swinsung, swinsweg?@
@melt@|@ageotan, amyltan, aþindan, gemeltan, gemyltan, meltan, mieltan, þindan, toflowan@
@melt (with fear)@|@toslupan@
@melt away@|@formeltan, sweðrian@
@Melvin@|@Mælwine@
@member@|@lim, lim, liþ@
@member of a brotherhood of related persons@|@gilda@
@member of a crew@|@scealc@
@member of a household@|@hiredcniht, husa@
@member of a king's bodyguard@|@huscarl@
@member of a particular order@|@hadesmann@
@member of a peace guild@|@friþgegilda@
@member of a tribe or nation@|@leod@
@members of a family@|@hiwan@
@members of a household or community of servants@|@inhiwan@
@members of the same household@|@samhiwan@
@membership of a brotherhood@|@broðorræden@
@membership of a guild@|@gegilde@
@membrane@|@filmen, reoma@
@memorable@|@gemyndiglic, myndig, þancweorþ@
@memorandum@|@myndgung@
@memorial@|@gemynd, gemyndbliðe, myndgung, myne@
@memory@|@gemynd, gemynd, gemynd, ingemynd, myne, myne@
@men@|@ælde, dryht, firas, gumcynn, ielde, ielde, leode, leodweras, mancynn, niþþas, þeod, woruld, ylde@
@Men@|@calend@
@men (pl)@|@ylde@
@menace@|@þrea, þreagan@
@mend@|@gerenian, gestrician, remian, siwian, treagian@
@menstrual blood@|@monaþblod@
@menstrual disease@|@monaþadl@
@menstruous@|@monaþadlig, monaþseoc@
@mental@|@innera@
@mental aberration@|@onweggewit@
@mental agitation@|@hygewælm@
@mentally@|@inweard@
@mentally blind@|@hygeblind@
@mention@|@gemunan, gemyndgian, mænan, namian, nemnan@
@mention before@|@foresecgan@
@mention beforehand@|@forenemnan@
@mention in advance@|@foresprecan@
@mentrual blood@|@monaþgecynd@
@mercenary@|@esnewyrhta, hyra, hyregilda@
@merchandise@|@ciepeþing, cieping, mertze@
@merchant@|@ceapmann, ciepa, ciepemann, cypa, cypend, mangere, mangere, masere, massere@
@Mercia@|@Mierce@
@Mercian@|@Miercisc@
@Mercians@|@Mierce, Mierce, Suðanhymbre, Suþhymbre@
@merciful@|@ardæde, arfæst, arfæst, arful, bilewit, bliðheort, milde, milde, mildheort, mildheort, unwælgrim@
@mercifully@|@arfæstlice, milde@
@merciless@|@unmildheort@
@Mercury@|@Woden@
@mercury (the herb)@|@cedelc, efenlaste@
@mercy@|@ælmesse, ar, ar, arfæstnes, arfæstniss, liss, mildheortnes, mildnes, milds, milts, miltsung, þanc, þanc@
@meridian@|@middæglic@
@merit@|@earnian, earnung, earnung, earnung, forgearnung, geearnung@
@mermaid@|@meremenn, merewif@
@merriment@|@bliss, gleo@
@merry@|@bliþe, mirige@
@merry journey@|@gamenwaþ@
@Mersey@|@Mæresæ@
@mesh@|@mæscre@
@meshed (of corslet)@|@geapneb@
@mess@|@sand@
@message@|@ærendboc, ærende, ærendspræc, ambiht, bod, bodscipe, bodung, bodung, lac, sand, spell, spell, spell, stefn@
@message delivered by rider@|@radstefn@
@message taken by a mounted man@|@radstefn@
@messenger@|@æboda, ærendraca, ærendraca, ærendsecg, ambiht, apostol, ar, ar, boda, boda, engel, foreboda, forridel, rynel, sand, spellboda@
@messenger of evil?@|@nydboda@
@messenger of joy@|@wilboda@
@metal@|@wecg@
@metal (lump of)@|@bloma@
@metal girder@|@beam@
@metal plate@|@læfer, platung@
@metal rod@|@wir@
@metal thread@|@wir@
@metal-worker@|@slecgwyrhta@
@mete out@|@ametan, ametan, medemian, metan, tometan@
@meter@|@gemet@
@meter (poetic rhythm)@|@meter@
@method@|@gescead@
@methodically@|@gereclice@
@metre@|@gieddung@
@metrical@|@metcund, meterlic@
@metrician@|@meterwyrhta@
@metropolis@|@ealdorburg@
@mew@|@mæw@
@mice@|@mys@
@Michael@|@Michæl@
@Michaelmas@|@Michælesmæsse@
@mid@|@midd, midde@
@midday@|@middæg, middæg@
@mid-day@|@middæglic, middeldæg, midnedæg@
@mid-day service@|@middægsang@
@middle@|@bearm, efenmid, midd, midd, midde, midde, middel, middel, middeldæl, middeweard, midlen, midlung, midnes@
@middle (in the)@|@onmiddan@
@Middle Angles (pl)@|@Middelengle@
@middle earth@|@middangeard@
@middle finger (used in saluting)@|@halettend@
@middle of the hill@|@midhilte@
@Middle Saxons@|@Middelseaxan@
@middle-age@|@midfeorh, midfyrhtnes@
@middle-finger@|@middelfinger@
@middle-ridge@|@middelhrycg@
@middling@|@medeme@
@midge@|@gnæt, mycg@
@mid-Lent@|@midfæsten, midlencten@
@midmost@|@midlen, midmest@
@midnight@|@middelniht, middeneaht, middeniht, midniht@
@midriff@|@midhrif@
@midst@|@midlen, midlung, midnes@
@mid-stream@|@midstream@
@midsummer@|@midsumer, sumormæsse@
@midsummer (June 24)@|@middansumer@
@midway@|@midd, midweg@
@midwife@|@beorðorþinen, byrðþinenu, þinen@
@midwinter@|@midwinter@
@midwinter (December 24)@|@middanwinter@
@might@|@afol, cræft, ellencræft, mægen, mægen, mægencræft, mægenscype, mægenþrymm, meaht, meaht, mieht, miht, moste, ræd, rice, riceter, þrymm, þryþ@
@might of the people@|@leodmægen@
@mightier@|@mara@
@mightily@|@mihtelice, scire@
@mighty@|@bregorof, bregorof, bresne, ðryðswyð, geþryðed, macræftig, mægenagende, mægeneacen, meagol, meagol, miht, mihtig, mihtig, onswiðlic, onweald, rice, swið, swiþ, swiþ, þearlmod, þryðig, þrymlic, þryþswyþ@
@mighty company@|@mægenfolc@
@mighty deed@|@mægendæd@
@mighty device@|@freabregd?@
@mighty help@|@mægenfultum@
@mighty host@|@mægenþreat@
@mighty in battle@|@wigstrang@
@mighty king@|@mægencyning@
@mighty minister@|@mægenþegen@
@mighty onslaught@|@mægenræs@
@mighty people@|@eormenþeod@
@mighty valor@|@mægenellen@
@mighty valour@|@mægenellen@
@mighty work@|@dædweorc, mægenweorc, miht, þryþweorc@
@migration@|@forweopnes, forweorpnes, ymbcerr@
@mild@|@friþlic, gedæft, gedæfte, gemetlic, heore, hnesce, liðe, liðelic, manþwære, melisc, milde, milisc, row, sefte, smolt, smylte, softe, tam, weðe@
@mild of speech@|@liþwyrde@
@mildew@|@mildeaw@
@mildness@|@bilewitnes, gedefnes, liþnes, mildnes, smyltnes, smyltnes, weðnes@
@Mildred@|@Mildþryþ@
@mile@|@mil, milgetæl@
@mile-measure@|@milgemæt@
@milestone@|@stan@
@milestone?@|@milgemæt@
@military@|@camplic, militisc@
@military (of young men)@|@hagosteald@
@military apparel@|@eoredgeatwe@
@military attendant@|@þegn, þegen@
@military carriage?@|@fyrdwæn@
@military dress@|@eoredgeatwe@
@military ensign@|@herebeacen@
@military expedition@|@wigsiþ@
@military force@|@manfultum, prass@
@military gear@|@heregeatu@
@military operations on land@|@landfyrding@
@military road@|@fyrdstræt, herepað, herepaþ@
@military sacrifice?@|@fyrdtiber@
@military service@|@campdom, fyrdfæreld, fyrdfor, fyrdsocn@
@military style@|@fyrdwise@
@military watch@|@fyrdweard@
@militia@|@fierd, fierd@
@milk@|@amelcan, geolca, melcan, meolcian, meoluc, meolc@
@milk for butter-making@|@butere@
@milk from wild cattle?@|@weorfemeoluc?@
@milk pail@|@fildcumb@
@milked@|@gemolcen@
@milk-pail@|@ceoldre, meolcfæt@
@milk-white@|@meolchwit@
@Milky Way@|@ringes weg@
@mill@|@cweorn, mylen, mylensteall@
@mill (small hand mill)@|@cweorn@
@mill in a fen@|@merscmylen@
@mill-conduit@|@mylentroh@
@mill-dam@|@mylewer@
@mill-dike@|@mylendic@
@miller@|@mylenwyrd@
@millet@|@mil@
@mill-field@|@mylenfeld@
@mill-pool@|@mylenpull@
@mill-rent?@|@mylengafol@
@millstone@|@byrðenstan, cweornstan@
@mill-stone@|@mylenstan@
@millstone turned by an ass@|@esulcweorn@
@mill-stream@|@cweornburna, mylestream@
@mill-tax@|@mylengafol@
@mill-trough@|@mylentroh@
@mill-weir@|@mylenwaru, mylewer@
@mill-wheel@|@mylenhweol@
@mill-yair@|@mylengear@
@milt@|@milte@
@mime@|@leasere, mima@
@mimic@|@gliwlic@
@mince@|@corflian@
@mind@|@blæd, breost, breostefa, breostgeþanc, breosthord, breostloca, breostsefa, ðanc, ferhð, ferhþ, ferþ, gehygd, gemynd, gemynd, geþanc, heorte, hige, hordloca, hreðer, hyge, hyge, hygesceaft, ingehygd, ingemynd, ingeþanc, mod, mod, mod, modgehygd, modgemynd, modgeþanc, modgeþoht, modsefa, modsefa, orþanc, orþanc, sefa, sefa, þanc, þanc, þoht, willa, witloca@
@minded@|@gehugod@
@mindful@|@gemun, gemynde, gemyndig, gemyne, myndig, þancol@
@mindless@|@ungewitful@
@mine@|@min, min@
@mineral color@|@stanwyrma@
@mingle@|@blandan, gemengan, mengan, onblandan, temprian@
@mingling@|@gemangnes, gemengednes@
@minister@|@ærendraca, ambihtsecg, ðegn, geambihtan, maguþegn, þegn, þegen, þegnian, þenian@
@minister of a church@|@ciricþen@
@minister to@|@þeowian@
@ministering spirit@|@þeninggast@
@ministry@|@þenung, þeowot@
@minnow@|@minwe, myne@
@minster@|@mynster@
@minster-book@|@mynsterboc@
@minstrel@|@gliwman, scop@
@minstrel (gleeman)@|@gleoman@
@minstrelsy@|@gliwcræft@
@mint@|@mynetsmiþþe@
@mint (plant)@|@minte@
@mint field@|@minthamm@
@minter@|@mynetere, myntere, myntere@
@minting@|@mynetslege@
@miracle@|@mægen, miht, tacen, tacen, tacn, wundor, wundor, wundortacen, wundorweorc@
@miraculously@|@mihtelice@
@mire@|@fenn, sloh, sloh, wase@
@mirror@|@sceawere, sunscin@
@mirth@|@gamen, gliw, gliwdream, gomen, myrgþ, myrgþ@
@mirthful@|@hlagol, hyhtful@
@miry place@|@syle, sylu@
@miscarry@|@mistidan@
@mischance@|@forscapung@
@mischief@|@anda, bealu, synn@
@mischievous@|@deriendlic, frecendlic@
@misconduct@|@heardsælþ, misfadung, misræd@
@miscreant@|@synscaða@
@misdeed@|@forwyrht, fracoþdæd, misdæd, misfeng, misweorc@
@miser@|@feohgitsere, gitsere@
@miserable@|@earmful, earmlic, earmsceapen, earmsceapen, feasceaft, geomor, geomorlic, rædleas, sorglic, þearfendlic, unlæd, unlædlic, wræcful@
@miserable world@|@wræcworuld@
@miserable?@|@bleat@
@miserably@|@coðlice, earme, earmlice, earmlice, swearte, ungefealice, yfle@
@miserliness@|@heamolscipe@
@miserly@|@heamol, hneaw@
@misery@|@broc, earmþu, iemiðu, iermþu, morðor, susl, þreanied, þreaweorc, torn, trega, unsælþ, wa, wa, wea, weargung, woruldgeswinc, wræc, wræc, wræcfæc, wræcsið, wræcsiþ, yfel@
@misfortune@|@ætspronung, demm, earfoþnes, gelimp, gyrn, laðscipe, laþ, misgelimp, mislimp, trega, ungelimp, ungesælignes, ungesælþ, unsælþ, unsiþ, unwyrd, wea@
@misguidance@|@misræd@
@mishap@|@forscapung, forscapung, ungelimp, ungetimu, unsiþ@
@mislead@|@forlædan, forspanan, forteon, mislædan, miswissian, spanan@
@misleader@|@lærend@
@misleading@|@gedwolsum@
@mislike@|@mislician@
@miss a mark (gen)@|@missan@
@missal@|@mæsseboc@
@missile@|@fla, gafeluc, scotung, scotung, scytel, stræl, wifer@
@mission@|@ærende, sand, sand@
@mist@|@dimnes, genip, gesweorc, lyfþelm, mist@
@mist of error@|@gedwolmist@
@mistake@|@leas, uncyst@
@mistake or variation in pleading before a court@|@miscenning@
@mistletoe@|@acmistel, mistel, misteltan@
@mistreat@|@getawian, tucian@
@mistress@|@unrihtwif@
@mistress (over servants)@|@hlæfdige@
@mistress of a house@|@husbonde@
@mistress?@|@agendfrea, cifes, nydhæmestre@
@mistrust@|@forþencan, mistriwan, ortreownes@
@misty@|@mistig@
@misty cliff@|@misthliþ@
@misty gloom@|@mistglom@
@misty hill@|@misthliþ@
@misuse@|@miswenian@
@mite@|@hielfling, mite, stycce, wyrm, ymel@
@mitigate@|@geleoðuwacian, gemildgian, leoðuwæcan, liðigian@
@mitigation@|@cwemnes@
@mitigation of penance@|@dædbotlihting@
@mix@|@blandan, blandan, blendan, mecgan, mengan, mengan, miscian@
@mix together@|@bewellan@
@mixed@|@gemengedlic@
@mixed with honey@|@gemilscad@
@mixture@|@bland, gemang, gemangnes, gemengednes, mengung@
@mixture of spice and herbs@|@wyrtgemang@
@moan@|@gierman, man, wepan@
@moaning@|@geomrung, sworetung@
@moat@|@dic, fæstendic@
@mobile@|@ferende, styrigendlic, wealcol@
@mock@|@bismerian, cancetan, gebismrian, hlacerian, hyspan, plegan@
@mock at@|@onhyscan@
@mocker@|@bismeriend, tælend@
@mockery@|@bismer, bismerung, geaþ, geflitgliw, gliw, gliwung, husc@
@mocking@|@gaffetung@
@mode of life@|@munucregol@
@mode of speech@|@spræccynn@
@model@|@bisen@
@moderate@|@gemetfæst, gemetfæstlic, gemetlæcan, gemetlic, mæte, mæþlic, medemian, medemlic, medmicel, metgian, syferlic, temprian@
@moderate sized@|@ieðelic@
@moderately@|@gemetlice, hwonlice, medemlice@
@moderation@|@gemet, gemetfæstnes, gemetnes, metgung, miltsung, syfernes, temprung@
@Modern English@|@Old English@
@modest@|@anfeald, anfeald, cusc, gemetfæst, gemetfæstlic, scamfæst, scamful, scamlic, scandful, sideful, unæwisc@
@modestly@|@gemetfæstlice, hygdig@
@modesty@|@arscamu, forscamung, gemetfæstnes, hygdignes, onwealhnes, readnes, scamu, sidefulnes@
@modulate@|@wræsnan@
@modulation@|@rad, sweglrad@
@moist@|@fuht, þan, þan, wæt, wese, wosig@
@moisten@|@bedrypan, beþwean, fyhtan, leccan, ofgeotan, þænan, þanian, þinan, þwænan, wætan, wæterian@
@moistening@|@geondleccung@
@moisture@|@fyne, seaw, steam, wæt, wæta, wætnes, wætung@
@molar@|@grindetoþ, wangtoþ@
@molars@|@cweornteþ@
@mold@|@fyne, molde@
@molder@|@molsnian, worian@
@moldy@|@fynig@
@mole@|@weargbræde@
@mole (animal)@|@wand, wandeweorpe@
@mole (on skin)@|@mal@
@mole (on the body)@|@wenspryng@
@molest@|@brocian, eglan@
@mollify@|@awacian, onwæcan@
@molt@|@mutian@
@molten@|@amolten, geotenlic, geotenlic@
@moment@|@bearhtmhwil, brachwil, preowthwil, princ?, stund@
@momentary@|@bearhtmhwæt@
@momentum@|@heolorung@
@monarch@|@ðeodcyning, þeodcyning@
@monarchy@|@sunderanweald@
@monastery@|@munuclif, munuclif, mynster, mynster, mynstercluse, mynsterham, mynsterlif, preostlif@
@monastery gate@|@mynstergeat@
@monastic@|@munuclic, mynsterlic@
@monastic buildings@|@mynsterstede@
@monastic code of rules@|@regol@
@monastic custom@|@mynsterþeaw, mynsterwise@
@monastic enclosure@|@mynstercluse@
@monastic garb@|@munucgegyrela@
@monastic law@|@regollagu@
@monastic life@|@munuclif, mynsterlif@
@monastic orders@|@munuchad@
@monastic rule@|@munucregol, munucþeaw@
@monastic service@|@mynsterþegnung@
@monastic vow@|@munucbehat@
@Monday@|@monandæg@
@Monday eve@|@monanniht@
@Monday night@|@Tiwesniht@
@money@|@bileofa, feoh, feoh, mynet, pening, sceatt, sceatt@
@money changer@|@myntere@
@money compensation@|@feohbot@
@money for buying clothes@|@scrudfeoh@
@money of account@|@sceatt@
@money paid by an outlaw for restitution of legal rights@|@lahceap@
@money paid by bridegroom to bride's father@|@mund@
@money payment@|@feohsceatt@
@money-changer@|@mynetcypa, mynetere, peninghwyrfere@
@moneylender@|@massere@
@money-lender@|@strudend@
@moneyless@|@feohleas@
@money-storing place@|@myderce@
@mongoose@|@næderbita@
@monk@|@ancra, ancra, broðor, munuc, mynstermann@
@monk living subject only to his own rules@|@selfdema@
@monk or priest appointed for a week's duty@|@wucþegn@
@monk who lives in a monastery@|@mynstermunuc@
@monkish@|@munuclic@
@monk's garb@|@munucreaf, munucscrud@
@monogamous?@|@anlegere@
@monster@|@æglæca, ælwiht, ælwiht, aglæca, aglæca, eoten, eoten, mare, mare, nicor, unholda, unmann, untydre, wrohtbora@
@monster (sea)@|@fifel@
@monster of hell@|@orcþyrs@
@monster?@|@unsceaft@
@monsters@|@orcneas@
@monstrous@|@ungecyndelic, unhiere@
@monstrous woman@|@aglæcwif@
@month@|@calend, monað, monaþ@
@month of rye-harvest@|@rugern@
@month of sacrifice@|@Blotmonaþ@
@monthly@|@monaðlic, monaþlic@
@monument@|@gemyndstow, ymbfæstnung@
@mood@|@mod@
@mood (grammatical)@|@gemet@
@moon@|@heofoncandel, mona@
@moon-shaped ornament@|@menescilling@
@moonsick@|@monseoc@
@moor@|@fenn, mearcland, mearcland, mor, mor, mor@
@moor fowl@|@fenfugol@
@moor swamp@|@morhop@
@moorcock@|@worhana@
@moor-fastness@|@morfæsten@
@moorhen@|@dopened, dopfugol@
@mooring line@|@ancorrap@
@moor-land@|@morland@
@moor-swamp@|@morhop@
@moor-wort@|@morwyrt@
@moot@|@gemot, mot, mot@
@moot-hall@|@mothus@
@moot-reeve@|@motgerefa@
@moral@|@geþeawod, þeawfæst, þeawful, þeawlic@
@moral canker@|@rust@
@moral excellence@|@cyst@
@moral necessity@|@niedscyld@
@morality@|@sidu, siodu, þeaw@
@morally sick@|@seoc@
@morals@|@þeaw@
@morass@|@mor@
@mordax@|@felaæte, numol@
@more@|@ma, ma, mara, mara, mare, swiþor@
@more acute@|@gefredra@
@more durable@|@lengfære@
@more easily@|@eþ@
@more effectually@|@sel@
@more fiercely@|@swiðor@
@more hardly@|@unieþ@
@more humbly@|@medmare@
@more middle@|@midor@
@more northern@|@norðerra@
@more often@|@oftor@
@more perfectly@|@furðorlucor@
@more powerful@|@ricra@
@more readily@|@gearor@
@more ready@|@gearora@
@more softly@|@seft@
@more violently@|@swiðor@
@more wordy@|@lengtogra@
@moreover@|@furðum, gen, heonu, swelce eac, swilce, þeah hwæðre, toeacan@
@morn@|@morgen@
@morning@|@dægrima, mergen, morgen, morgen, morgenleoht, morgenlic, morgentid, uhtlic@
@morning (9 AM to 12 PM)@|@undern@
@morning (early)@|@ærnemergen@
@morning drink@|@morgendrenc@
@morning mass@|@morgenmæsse@
@morning meal@|@morgenmete, underngereord, undernmete@
@morning prayer@|@uhtgebed@
@morning prayer time@|@morgengebedtid@
@morning rain@|@morgenren@
@morning rest@|@undernrest@
@morning sacrifice@|@dægredoffrung@
@morning sickness@|@morgenwlætung@
@morning sickness?@|@morgenseoc@
@morning song@|@uhtsang@
@morning star@|@dægsteorra, forerynel@
@morning terror@|@morgencolla@
@morning time@|@undernmæl, underntid@
@morning-news@|@morgenspell@
@morning-star@|@morgensteorra@
@morrow@|@morgen@
@morsel@|@bita, bread, gehrin, geofola, giefl, slota, snæd@
@mortal@|@deadlic, deaþlic, eorþcund@
@mortal enemy@|@ferhðgeniðla, ferhþgeniþla@
@mortal foe@|@feorhgeniðla@
@mortal injury@|@benn@
@mortal panic?@|@meduscerwen@
@mortal sin@|@morðor@
@mortal wound@|@bealubenn@
@mortality@|@cwealmbærnes, mancwealm, mancwyld, wol@
@mortally wounded@|@ellenseoc, feorhseoc, heorublac, hildeblac, hildeblac?@
@mortar@|@clam, lim, mortere, pile, stanlim, weallim@
@mortgage-money@|@sceatt@
@mortified@|@cweldeht@
@mortify@|@adeadian, adydan, cwielman@
@mosquito-net@|@mycgnet@
@moss@|@meos, mos@
@mossy@|@meos@
@most@|@betst, mæst, mæst, swiþost@
@most distinguished@|@heahyldest@
@most exalted name@|@heahnama@
@most excellent@|@heahyldest@
@Most High God@|@heahgod@
@most holy@|@þurhhalig@
@most intimate@|@innemest@
@most middle@|@midlest@
@most mighty@|@foremihtig@
@most nearly@|@niehst@
@most pleasantly@|@fægrost@
@most powerful@|@ricost@
@most ready@|@gearwost, gearwost@
@most recent@|@niehst@
@mostly@|@mæst, mæst@
@mote@|@ciþ, egl, egl, mot, sore@
@moth@|@moþþe@
@moth-eaten@|@moþfreten@
@mother@|@acennicge, bearncennicge, byrðre, cennestre, modor, sunucennicge@
@mother-church@|@mynster@
@mother-in-law@|@sweger@
@motherless@|@modorleas@
@mother's kindred@|@medrencynn@
@mother's nature@|@medrengecynd@
@mother's side of descent@|@medren, modorhealf@
@mother's sister@|@modrige@
@motion@|@astyrung, feðung, hwyrft, sið, siþ, styrung, tyht, wæg, waþ@
@motionless@|@unonstyrigendlic@
@motive@|@þing@
