@English@|@French@
@go into details@|@entrer dans les détails@
@go into hiding@|@se cacher@
@go into mourning@|@prendre le deuil@
@go into politics@|@se lancer dans la politique@
@go into rehearsal@|@commencer les répétitions@
@go into the ministry@|@devenir pasteur@
@go into town@|@descendre en ville@
@go into training@|@se mettre à l'entraînement@
@go into voluntary liquidation@|@déposer son bilan@
@go into winter quarters@|@prendre ses quartiers d'hiver@
@go into winter-quarters@|@prendre ses quartiers d'hiver@
@go it alone@|@autonomiste, cavalier seul@
@go jogging@|@faire du footing@
@go mad@|@devenir fou@
@go more deeply@|@entrer plus avant dans@
@go mouldy@|@moisir@
@go off@|@partir, s'en aller, s'éteindre, se gâter@
@go off course@|@faire fausse route@
@go off one's head@|@perdre la tête@
@go off pop@|@éclater@
@go off the line@|@dérailler, déraisonner@
@go off with sb@|@partir avec qqn@
@go off with sth@|@emporter qqch@
@go on@|@maintenir, reconduire@
@go on a cruise@|@faire une croisière@
@go on a diet@|@se mettre au régime@
@go on a dig@|@aller faire des fouilles@
@go on a journey@|@faire un voyage, partir en voyage@
@go on a refresher course@|@se recycler@
@go on a spend spree@|@faire des folies (fig)@
@go on a walkabout@|@prendre un bain de foule@
@go on board@|@monter à bord@
@go on foot@|@aller à pied@
@go on pilgrimage@|@aller en pèlerinage, pérégriner@
@go on record as saying that@|@déclarer publiquement que@
@go on shore@|@débarquer (MAR)@
@go on strike@|@se mettre en grève@
@go on the assumption that@|@présumer que@
@go on the rampage@|@se déchaîner@
@go on the stage@|@monter sur les planches@
@go on with@|@continuer, poursuivre@
@go on! [interj]@|@continuez ! [interj@
@go one's way@|@passer son chemin@
@go out@|@donner, sortir@
@go out charring@|@faire des ménages@
@go out for some fresh air@|@sortir prendre l'air@
@go out of fashion@|@se démoder@
@go out of one's mind@|@perdre la tête@
@go outside@|@sortir@
@go over@|@passer à, répéter, revoir, visiter@
@go over the same ground (fig)@|@reprendre les mêmes points@
@go over the top@|@aller trop loin@
@go past@|@passer@
@go places@|@voyager@
@go places (fig)@|@faire son chemin (fig)@
@go potholing@|@faire de la spéléologie@
@go potty@|@aller de travers, dérailler (aller mal)@
@go rancid@|@rancir@
@go red@|@rougir@
@go right on@|@continuer tout droit@
@go round@|@contourner, faire un détour, tourner@
@go round (an obstacle)@|@contourner (un obstacle)@
@go round by@|@faire le détour par@
@go round the bend@|@devenir fou@
@go round the table@|@faire un tour de table@
@go sailing@|@faire du bateau@
@go sculling@|@faire de l'aviron@
@go shares@|@partager@
@go shooting@|@chasser@
@go short of@|@manquer de@
@go sightseeing@|@faire du tourisme, visiter la ville@
@go slow@|@faire la grève perlée@
@go soft@|@mollir@
@go steady with sb@|@sortir avec qqn@
@go straight forward@|@aller droit devant soi@
@go straight on@|@aller droit devant@
@go straight to the point@|@aller droit au but@
@go the right way about it@|@savoir s'y prendre@
@go the rounds (infection)@|@circuler (infection)@
@go there and back@|@faire l'aller et retour@
@go through@|@apprendre par l'expérience, subir@
@go through (fig)@|@passer par@
@go through a bad patch@|@traverser une mauvaise passe@
@go through a red light@|@brûler un feu rouge, griller un feu rouge@
@go through customs@|@passer à la douane@
@go through fire and water for@|@se mettre en quatre pour@
@go through sb's pockets@|@faire les poches à qqn@
@go through the customs@|@passer la douane@
@go to@|@se présenter chez, se rendre à@
@go to a play@|@aller au théâtre@
@go to a show@|@aller au spectacle@
@go to arbitration@|@recourir à l'arbitrage@
@go to bed@|@se coucher@
@go to bye-byes@|@aller au dodo@
@go to confession@|@se confesser@
@go to great expense@|@faire beaucoup de frais, se mettre en frais@
@go to law@|@aller en justice@
@go to meet@|@aller au devant de@
@go to pieces@|@lâcher pied (fig), s'effondrer@
@go to press@|@être mis sous presse@
@go to prison@|@aller en prison@
@go to sb for sth@|@aller demander qqch à qqn@
@go to sb's help@|@aller au secours de qqn@
@go to school@|@aller en classe@
@go to sea@|@devenir marin, prendre la mer@
@go to the bad@|@mal tourner@
@go to the length of doing@|@aller jusqu'à faire@
@go to the pictures@|@aller au cinéma@
@go to the polls@|@aller aux urnes@
@go to the whole hog@|@aller jusqu'au bout@
@go to war@|@partir en guerre@
@go together@|@aller ensemble@
@go too far@|@dépasser les bornes, passer les bornes@
@go too far (fig)@|@exagérer@
@go touring@|@faire du tourisme@
@go under@|@passer sous, sombrer@
@go underground@|@prendre le maquis@
@go unheeded@|@rester lettre morte@
@go up@|@se soulever@
@go up again@|@remonter@
@go up for an exam@|@se présenter à un examen@
@go up in smoke@|@partir en fumée@
@go without@|@se passer de@
@go without doing@|@se passer de faire@
@go without food@|@jeûner@
@go wrong@|@se dérégler, se tromper@
@go wrong (to)@|@mal tourner, se détraquer, se tromper@
@go! [interj]@|@allez ! [interj]@
@go; at one ~ [adv phr]@|@coup; d'un seul ~ [loc adv]@
@go; to  about with@|@fréquenter [v tr]@
@go; to ~ in for@|@adonner; s'~ à [v pr]@
@go; to have a ~@|@coup; tenter le ~@
@goad@|@aiguillon, badine@
@go-ahead@|@feu vert@
@go-ahead [adj]@|@dynamique [adj], entreprenant(e) [adj]@
@goal {n}@|@but {m} [dessein], dessein {m}@
@goal {n} [SPORT]@|@but {m} [SPORT]@
@goalie@|@gardien de but@
@goalkeeper@|@gardien de but@
@goalpost@|@poteau de but@
@goatee@|@barbiche@
@goatee beard@|@barbiche@
@goat's milk cheese@|@fromage de chèvre@
@gob {n}@|@crachat {m}@
@gobbet {n}@|@bouchée {f}@
@gobble up [v tr‚ to annex]@|@absorber [v tr‚ annexer], annexer [v tr]@
@gobble up [v tr‚eat hurriedly]@|@engloutir [v tr‚ manger]@
@go-between {n}@|@entremetteur {m}, intermédiaire {m}@
@goblet {n}@|@coupe {f}@
@goblin {n}@|@gnome {m}, lutin {m}@
@god {n (s)} [in many REL]@|@dieu {m (x)}@
@God {n} [in monotheistic REL]@|@Dieu {m inv}@
@God bless you! [interj]@|@Dieu vous bénisse ! [interj]@
@god of love {n}@|@dieu {m} de l'amour@
@godchild {n}@|@filleul {m}, filleule {f}@
@goddaughter {n}@|@filleule {f}@
@goddess {n}@|@déesse {f}@
@goddess of love {n}@|@déesse {f} de l'amour@
@godfather {n}@|@parrain {m}@
@godless [adj‚ atheistic]@|@athée [adj]@
@godless [adj‚ impious]@|@impie [adj]@
@godless [adj‚ without a god]@|@dieu; sans ~ [loc adj]@
@godmother {n}@|@marraine {f}@
@God's acre {n}@|@cimetière {m}@
@godsend {n}@|@aubaine {f}@
@godson {n}@|@filleul {m}@
@goes; here ~! [interj]@|@allons-y ! [interj]@
@go-getter {n}@|@arriviste {m/f}@
@goggle [v tr]@|@ouvrir de grands yeux@
@goggle at [v tr]@|@regarder avec des yeux ronds@
@goggles {npl}@|@lunettes {fpl} de protection@
@going; to get ~@|@mettre; s'y ~@
@goitre {n} [PATHOL]@|@goitre {m} [PATHOL]@
@gold {n} [CHEM]@|@or {m} [CHIM]@
@Gold Coast {n}[HIST‚now Ghana]@|@Côte-de-l'Or [HIST], Ghana {m} [pays africain]@
@gold plating {n}@|@dorage {m}, dorure {f}@
@gold rush {n}@|@ruée {f} vers l'or@
@gold standard {n}@|@étalon {m} or@
@gold-digger {n}@|@chercheur {m} d'or, chercheuse {f} d'or@
@golden [adj]@|@doré(e) [adj]@
@Golden Fleece {n} [Greek MYTH]@|@Toison {f} d'or [MYTH grecque]@
@goldfield {n}@|@champ {m} aurifère@
@goldfinch {n} [ZOOL‚ Bird]@|@chardonneret {m} [ZOOL‚Oiseau]@
@goldfish {n} [ZOOL‚ Fish]@|@poisson {m} rouge [ZOOL]@
@goldmine {n}@|@mine {f} d'or@
@gold-plated [adj]@|@plaqué(e) or [loc adj]@
@goldsmith {n}@|@orfèvre {m}@
@goldsmith's trade {n}@|@orfèvrerie {f}@
@golf {n} [SPORT]@|@golf {m} [SPORT]@
@golf club {n} [SPORT]@|@club {m} de golf [SPORT]@
@golf course {n} [SPORT]@|@terrain {m} de golf [SPORT]@
@golfer {n} [SPORT]@|@golfeur {m} [SPORT], golfeuse {f} [SPORT]@
@Golgotha@|@Calvaire@
@gonad@|@gonade@
@gondola@|@gondole@
@gondolier@|@gondolier@
@gone by@|@passé@
@goner {n}@|@chemineau {m}@
@gong {m}@|@gong {m}@
@good [adj]@|@bon(ne) [adj]@
@good afternoon@|@bonjour@
@good as new@|@état neuf@
@good at@|@fort en@
@good at sport@|@très sportif@
@good bargain@|@bonne affaire@
@good behaviour@|@sagesse@
@good breeding {n}@|@savoir-vivre {m inv}@
@good broadcasting voice@|@voix radiogénique@
@good buzz (fam.)@|@génial (fam.)@
@good citizenship@|@civisme@
@good day@|@bonjour@
@good deed@|@bonne action@
@good evening@|@bonsoir@
@good food@|@bonne chère@
@good form@|@bon ton (le)@
@good fortune@|@bonheur, chance@
@good gracious !@|@ça par exemple !@
@good grasp of (fig)@|@solide connaissance en@
@good grounding (fig)@|@base solide (fig)@
@good in parts@|@bon en partie@
@good Lord (the)@|@bon Dieu (le)@
@good manners@|@politesse@
@good many@|@bon nombre de@
@good morning@|@bonjour@
@good night@|@bonne nuit@
@good offices@|@bons offices@
@good points@|@bons côtés@
@good riddance@|@bon débarras@
@good safety record@|@bonne tradition de sécurité@
@good sort@|@brave type@
@good; as ~ as gold (fig)@|@sage comme une image (fig)@
@good; to make ~@|@combler [v tr‚ déficit], compenser [v tr], réparer [v tr]@
@goodbye@|@adieu@
@good-bye@|@adieu@
@goodbye-@|@d'adieu@
@goodbye for now [adv phr]@|@tantôt; à ~ [loc adv]@
@goodbye! [interj]@|@adieu ! [interj], revoir; au  ~ ! [interj]@
@good-for-nothing@|@bon à rien@
@good-hearted [adj]@|@accommodant(e) [adj], affable [adj], amène [adj]@
@good-humoured@|@de bonne humeur@
@good-looking@|@de bonne apparence@
@good-natured [adj]@|@amène [adj], gentil(e) [adj]@
@good-naturedly [adv]@|@bonhomie; avec ~ [loc adv], simplement [adv]@
@good-naturedness@|@bonhomie@
@goodness {n}@|@bonté {f}@
@Goodness knows that@|@Dieu sait que@
@goodnight@|@bonne nuit@
@goods@|@biens, effets, marchandises@
@Goods Bought Ledger@|@Grand Livre d'Achat@
@goods in short supply@|@marchandises en manque@
@goods lift {n}@|@monte-charge {m (~~s)}@
@goods on demurrage@|@marchandises en souffrance@
@good-tempered@|@qui a bon caractère@
@goodwill@|@bon vouloir, bonne volonté@
@goof up@|@tout chambouler@
@google@|@ouvrir les yeux en grand@
@goose {n} [ZOOL]@|@oie {f} [ZOOL]@
@goose bumps {n} [Am.]@|@chaire {f} de poule@
@goose bumps; to give ~ [Am.]@|@chaire de poule; donner la ~@
@gooseberry {n} [BOT]@|@groseille {f} [BOT]@
@goose-flesh {n}@|@chaire {f} de poule@
@goose-step {n} [MIL]@|@pas {m} de l'oie [MIL]@
@gore@|@carnage, éventrer@
@gorge {n} [ANAT]@|@gorge {f} [ANAT]@
@gorge {n} [GEOG]@|@défilé {m} [GÉOG], gorge {f} [GÉOG]@
@gorgeous [adj‚ sumptuous]@|@fastueux (-euse) [adj]@
@gorgeous [adj‚ very pleasant]@|@splendide [adj]@
@gorilla {n} [ZOOL]@|@gorille {m} [ZOOL]@
@gorse@|@ajoncs@
@gory@|@sanglant@
@gosling@|@oison@
@go-slow strike@|@grève perlée@
@gospel@|@évangile@
@gossip@|@cancaner, jaser@
@gossip {n}@|@commère {f}@
@gossip column@|@échos (presse)@
@gossip writer@|@échotier@
@Goth {n} [HIST]@|@Goth {m} [HIST], Gothe {f} [HIST]@
@Gothic [adj‚ ARCH]@|@gothique [adj‚ ARCH]@
@Gothic [adj‚ HIST]@|@gothique [adj‚ HIST]@
@Gothic [adj‚ of a novel]@|@fantastique [adj‚ LITTER]@
@Gothic [adj‚ TYP]@|@gothique [adj‚ TYP]@
@Gothic {n} [ARCH]@|@gothique; art {m} ~@
@Gothic {n} [LING]@|@gothique {m} [LING], gotique {m} [LING]@
@Gothic film {n} [CIN]@|@fantastique; film {m} ~ [CIN]@
@gouda {n} [cheese]@|@gouda {m} [fromage]@
@Gouda {n} [town in Holland]@|@Gouda {m} [ville néerlandaise]@
@gourd {n} [BOT‚ fruit]@|@gourde {f} [BOT‚ fruit]@
@gourmet {n}@|@gourmet {m}@
@gout {n} [PATHOL]@|@goutte {f} [PATHOL]@
@govern@|@gouverner, régner@
@govern (fig)@|@maîtriser (fig)@
@governess {n}@|@gouvernante {f}@
@government {n} [POL]@|@gouvernement {m} [POL]@
@government department {n}[POL]@|@ministère {m} [POL]@
@government service {n}@|@administration {f}@
@government subsidy {n}@|@subvention {f} de l'État@
@government's policies {npl}@|@politique {f} du gouvernement@
@governor {n}@|@gouverneur {m}@
@gown {n}@|@robe {f} [toge]@
@Graafian follicle {n} [ANAT]@|@follicule {m} ovarien [ANAT]@
@grab@|@agripper@
@grab sth from sb@|@arracher qqch à qqn@
@grace@|@grâce@
@graceful@|@gracieux, mignon@
@gracefulness@|@grâce@
@gracile [adj]@|@gracile [adj]@
@gracious [adj]@|@gracieux (-euse) [adj]@
@gracious living {n}@|@vie {f} élégante@
@gradate@|@graduer@
@gradation {n}@|@graduation {f}@
@grade [v tr‚ to class]@|@classer [v tr]@
@grade {n} [a class in school]@|@classe {f} scolaire@
@grade {n} [degree in rank]@|@degré {m}, grade {m}, rang {m} [position]@
@grade {n} [quality]@|@qualité {f} [valeur]@
@grade crossing {n}[Am.]@|@passage {m} à niveau@
@grade school {n}@|@école {f} primaire@
@grade; to make the ~@|@affaire; faire l'~, qualités; avoir les ~ requises@
@grader {n}@|@correcteur {m}@
@gradient {n}@|@gradient {m}@
@grading (adm)@|@indice (adm)@
@grading {n}@|@classement {m}, tri {m}@
@gradual@|@graduel, progressif@
@gradually [adv]@|@petit à petit [loc adv], peu à peu [loc adv], proche; de ~ en ~ [loc adv]@
@graduate@|@diplômé, proche lauréat@
@graduated ruler@|@règle graduée@
@graduation (SCHOOL)@|@remise des diplômes@
@graffiti {n}@|@graffiti {m}@
@graft@|@corruption, vénalité@
@grafting (organ)@|@greffe (organe), transplantation@
@grain {n} [bois]@|@fil {m} du bois@
@grain {n} [BOT]@|@grain {m}, graine {f}, pépin {f}@
@grain {n} [PHOTO]@|@grain {m} [PHOTO]@
@grain {n} [texture]@|@grain {m} [texture]@
@grain; against the ~[loc adv]@|@contre-fil; à ~ [loc adv]@
@gram {n}@|@gramme {m}@
@grammar {n}@|@grammaire {f}@
@grammar school {n}@|@école {f} secondaire, lycée {f}@
@grammarian [adj]@|@grammairien(ne) [adj]@
@grammatical [adj]@|@grammatical(e) [adj]@
@gramme {n} [var. of gram]@|@gramme {m}@
@Grammont [city in Belgium]@|@Grammont [Brabant flamand]@
@Gram-negative [adj‚ BACTERIO]@|@Gram négatif (-ive) [loc adj]@
@gramophone {n}@|@gramophone {m} ®, phonographe {n}@
@gramophone record {n}@|@disque {m} microsillon@
@Grampian Mountains [Scotland]@|@Grampians; Monts {mpl} ~@
@Gram-positive [adj‚ BACTERIO]@|@Gram positif (-ive) [loc adj]@
@Gram's Stain {n} [BACTERIO]@|@Gram; coloration {f} de ~@
@Granada {n} [city in Spain]@|@Grenade {f} [ville espagnole]@
@Granada province {n}[in Spain]@|@Grenade; province {f} de ~@
@granary {n} [a storehouse]@|@grenier {m} [d'1 bât. rural]@
@grand [adj]@|@grandiose [adj]@
@Grand Duchy of Luxembourg {n}@|@Grand-Duché {m} de Luxembourg@
@grand jury {n}@|@jury {m} d'accusation@
@Grand Marnier {n}@|@Grand Marnier {m}@
@grand old man {n}@|@patriarche {m}@
@grand piano {n}@|@piano {m} à queue@
@grand total {n}@|@total {m} final@
@grand tour {n}@|@tour {m} complet@
@grandchild {n (-children)}@|@petit-fils {m (~s~)}, petite-fille {f (~s~s)}@
@grandchildren {npl}@|@petit-enfant {m (~s~s)}@
@granddaughter {n}@|@petite-fille {f (~s~s)}@
@grandfather {n}@|@aïeul {m}, grand-père {m (~s~s)}@
@grandiose [adj]@|@grandiose [adj], magnifique [adj]@
@grandly [adv]@|@grandement [adv]@
@grandmother {n}@|@aïeule {f}, grand-mère {f (~s~s)}@
@grand-nephew {n}@|@petit-neveu {n (~s~x)}@
@grandniece {n}@|@petite-nièce {n (~s~s)}@
@grandson {n}@|@petit-fils {m (~s~)}@
@grand-sounding [adj]@|@ronflant(e) [adj]@
@grandstand {n} [SPORT]@|@tribune {f} [SPORT]@
@granite {n} [GEOL]@|@granit {m} [GÉOL]@
@granny {n}@|@grand-maman {f (~[s]~s)}@
@grant [v tr‚ consent to]@|@exaucer [v tr]@
@grant [v tr‚ give formally]@|@allouer [v tr], donner [v tr] une subvention@
@grant {n}@|@pension {f}@
@grant {n} [SCHOOL]@|@allocation {f}, bourse {f} d'étude@
@grant a discount@|@consentir une réduction@
@grant a monopoly@|@concéder un monopole@
@grant an overdraft@|@consentir un découvert@
@grant sb's wish [v tr]@|@exaucer qqn [v tr]@
@grant that [v tr]@|@admettre que [v tr]@
@granted [adj]@|@alloué(e) [adj]@
@granted that@|@admettant; en ~ que@
@granted this@|@admis; cela ~@
@grant-holder {n} [SCHOOL]@|@boursier {m} [SCOL], boursière {f} [SCOL]@
@granular [adj]@|@granuleux (-euse) [adj]@
@granular endoplasmic reticulum@|@ergastoplasme {m} [CYTO]@
@granule {n}@|@grain {m}, graine {f}, pépin {m}@
@grape {n} [BOT]@|@raisin {m} [BOT]@
@grape harvest {n}@|@vendange {f}@
@grape hyacinth {n} [BOT]@|@muscari {m} [BOT]@
@grape; the ~ [colloq]@|@vin {m}@
@grapefruit {n} [BOT]@|@pamplemousse {m} [BOT]@
@grape-picker {n}@|@vendangeur {m}, vendangeuse {f}@
@grapevine {n}@|@vigne {f}@
@graph {n}@|@graphique {m}@
@graph paper {n}@|@papier {m} millimétré@
@graphic {n} [MATH]@|@graphique {m} [MATH]@
@graphics {npl} [graphic arts]@|@arts {mpl} graphiques@
@graphics {npl} [MATH]@|@graphique {mpl} [MATH]@
@graphics; computer ~ {npl}@|@infographie {f} [INFORM]@
@graphics; molecular ~ {npl}@|@graphisme {m} moléculaire@
@graphite {n}@|@graphite {m}@
@graphology {n}@|@graphologie {f}@
@grapnel {n}@|@grappin {m}@
@grapple [v tr]@|@attraper [v tr], capturer [v tr]@
@grapple with [v tr]@|@prises; être aux ~ avec@
@grasp [v tr]@|@agripper [v tr], saisir [v tr]@
@grasp firmly [v tr]@|@prendre [v tr] à pleines mains@
@grasping [adj]@|@âpre au gain [loc adj]@
@grass {n} [BOT]@|@herbe{f} [BOT]@
@grass roots {n} [basis]@|@base {f} [fondement]@
@grasshopper {n} [ZOOL]@|@sauterelle {f} [ZOOL]@
@grassland@|@prairie@
@grass-snake {n}@|@couleuvre {f} [ZOOL]@
@grassy [adj]@|@herbeux (-euse) [adj], herbu(e) [adj]@
@grate@|@foyer, grincer, râper@
@grated cheese {n}@|@fromage {m} râpé@
@grated window {n}@|@fenêtre {f} grillagée@
@grateful [adj]@|@reconnaissant(e) [adj]@
@grater {n}@|@râpe {f}@
@gratification {n}@|@satisfaction {f}@
@gratify [v tr]@|@combler  [v tr], plaisir; faire ~ à, satisfaire [v tr]@
@gratifying [adj]@|@flatteur (-euse) [adj]@
@grating [adj]@|@discordant(e) [adj], grinçant(e) [adj]@
@gratitude {n}@|@gratitude {f}@
@gratuitous [adj]@|@gratuit(e) [adj‚ sans raison]@
@gratuitously [adv]@|@gracieusement [adv]@
@gratuity {n} [MIL]@|@prime {f} de démobilisation@
@grave {n}@|@tombe {f}@
@gravedigger {n}@|@fossoyeur {m}, fossoyeuse {f}@
@gravel {n}@|@gravier {m}@
@gravel path {n}@|@allée {f} de gravier@
@gravel screen {n}@|@crible {m} à gravier@
@gravely [adv]@|@gravement [adv], grièvement [adv]@
@graveness {n}@|@sévérité {f}@
@gravestone {n}@|@pierre {f} tombale@
@grave-stone {n}@|@dalle {f} funéraire@
@graveyard {n}@|@cimetière {m}@
@gravitate [v intr]@|@graviter [v intr]@
@gravity {n}@|@gravitation {f}, pesanteur {f}@
@gravy {n} [COOK]@|@sauce {f} [CULIN]@
@gravy boat {n} [COOK]@|@saucière {f} [CULIN]@
@gray [adj‚ Am. s. grey]@|@gris(e) [adj]@
@gray {n} [nuclear PHYS]@|@gray {m} [PHYS nucléaire]@
@gray matter {n} [Am.‚ ANAT]@|@grise; matière {f} ~ [ANAT]@
@gray scale {n}@|@échelle {f} de gris@
@grayling {n} [ZOOL]@|@ombre {m} de rivière [ZOOL]@
@graze@|@érafler, éraflure, faire paître, frôler, paître@
@grease  {n}@|@graisse {f}@
@grease [v tr]@|@graisser [v tr]@
@greasepaint {n}@|@fard {m} gras@
@greaseproof paper {n}@|@papier {m} sulfurisé@
@greasy [adj]@|@gras(se) [adj]@
@greasy substance {n}@|@corps {m} gras@
@great [adj‚ distinguished]@|@épatant(e) [adj], excellent(e) [adj]@
@great [adj‚ important]@|@suprême [adj‚ absolu]@
@great [adj‚ imposing]@|@imposant(e) [adj]@
@great age@|@grand âge@
@great barrack of a place (pej)@|@grand bâtiment (laid)@
@Great Bear Lake@|@grand lac de l'Ours@
@great bell {n}@|@bourdon {m} [cloche]@
@Great Britain {n}@|@Grande-Bretagne {f}@
@Great Dane {n} [a dog breed]@|@danois {m} [race de chien]@
@great evils@|@grands fléaux@
@great fun@|@tout à fait rigolo@
@great idea! [interj]@|@riche idée ! [interj]@
@great prospects@|@grandes espérances d'avenir@
@Great Salt Lake@|@Grand Lac Salé@
@Great Slave Lake@|@grand lac des Esclaves@
@great strides@|@de sérieux progrès@
@great; a ~ deal [adv phr]@|@beaucoup [adv], rudement [adv]@
@great-aunt {n}@|@grand-tante {f (~s~s)}@
@greatcoat {n} [TEX]@|@capote {f} [TEX], pardessus {m} [TEX]@
@great-granddaughter {n}@|@arrière-petite-fille {f ~~s~s}@
@great-grandfather {n}@|@arrière-grand-père {m(~~s~s)}@
@great-grandmother {n}@|@arrière-grand-mère {f(~~s~s)}@
@great-grandson {n}@|@arrière-petit-fils {m (~~s~)}, arrière-petit-fils {m (~~s~s)}@
@greatly [adv]@|@beaucoup; de ~ [loc adv], grandement [adv]@
@great-nephew {n}@|@petit-neveu {m (~s~x)}@
@greatness@|@excellence, splendeur@
@great-niece {n}@|@petite-nièce {f (~s~s)}@
@great-uncle {n}@|@grand-oncle {m (~s~s)}@
@Greece {n} [Europe]@|@Grèce {f} [état européen]@
@greed {n} [gluttony]@|@gourmandise {f}@
@greed {n} [materialism]@|@cupidité {f}@
@greedhead [adj]@|@cupide [adj], rapace [adj]@
@greedily [adv]@|@avidement [adv], cupidement [adv], gloutonnement [adv], gourmandise; avec ~[loc adv]@
@greediness {n} [gluttony]@|@gourmandise {f}@
@greedy [adj]@|@âpre [adj], avide [adj], glouton(ne) [adj], gourmand(e) [adj]@
@Greek (Orthodox) Church {n}@|@Église {f} grecque (orthodoxe)@
@Greek [adj]@|@grec (-que) [adj], hellénique [adj]@
@Greek {n}@|@Grec {m}, Grecque {f}@
@Greek {n} [language]@|@grec {m} [langue], Platon; langue {f} de ~@
@Greek cross {n}@|@croix {f} grecque@
@Greek fire {n}@|@grégeois; feu {m} ~@
@Greek man {n}@|@Grec {m}@
@Greek woman {n}@|@Grecque {f}@
@Greek; its ~ to me@|@chinois; c'est du ~ pour moi@
@green [adj]@|@vert(e) [adj]@
@green area {n}@|@espace {m} vert, square {m}@
@green belt {n}@|@zone {f} de verdure@
@green foliage plant {n}@|@plante {f} verte@
@green pasta {n}@|@pâte {f} verte@
@Green River {n} [Ontario]@|@rivière {f} Verte [Ontario]@
@Green River {n} [Wyoming‚Utah]@|@Green River {f} [rivière am.]@
@green waste {n}@|@déchets {mpl} verts@
@green; turn ~ [v intr]@|@blêmir [v intr]@
@greenery {n}@|@verdure {f}@
@greenfly {n} [ZOOL‚ Insect]@|@puceron {m} [ZOOL‚ Insecte]@
@greengage {n} [BOT]@|@reine-claude {f} [BOT]@
@greengrocer {n}@|@épicier {m}, épicière {f}@
@greengrocer's {n}@|@fruiterie {f}@
@greenhorn [adj]@|@débutant(e) [adj], inexpérimenté(e) [adj]@
@greenhouse {n}@|@serre {f}@
@greenhouse effect {n} [ECOLO]@|@effet {m} de serre [ÉCOLO]@
@greenhouse gas {n} [ECOLO]@|@gaz {m} à effet de serre@
@greening [adj]@|@verdoyant(e) [adj]@
@greenish [adj]@|@verdâtre [adj]@
@Greenland {n}@|@Groenland {m}@
@Greenland; of/from ~@|@groenlandais(e) [adj]@
@Greenlander {n}@|@Groenlandais {m}, Groenlandaise {f}@
@greenness {n}@|@verdeur {f}@
@greenroom talk {n}@|@propos {mpl} de coulisse@
@greenweed {n} [BOT]@|@genêt {m} [BOT]@
@Greenwich mean time {n}@|@Greenwich;temps {m} moyen de ~@
@Greenwich Meridian {n}@|@Greenwich; méridien {m} de ~@
@greet@|@accueillir, saluer@
@greet with jeers@|@accueillir par des huées@
@greeting@|@salut, salutation@
@greetings card@|@carte de vœux@
@gregarious [adj]@|@grégaire [adj]@
@Gregorian [adj]@|@grégorien(ne) [adj]@
@Gregorian calendar {n}@|@grégorien; calendrier {m} ~@
@Gregorian chant {n}@|@grégorien; chant {m} ~@
@Gregorian Church {n} [REL]@|@arménienne; Église {f} ~ [REL]@
@Gregorian reform {n}[Cath REL]@|@grégorienne; réforme {f} ~@
@gremlin {n}@|@diablotin {m}@
@Grenada {n} [State]@|@Grenade; La ~ [État]@
@grenade {n} [MIL]@|@grenade {f} [MIL]@
@grew@|@crûrent, poussèrent@
@grey [adj]@|@gris(e) [adj]@
@grey; go ~ [v intr]@|@grisonner [v intr]@
@grey; to turn ~@|@grisonner [v intr]@
@greyhound {n} [ZOOL]@|@lévrier {m} [ZOOL]@
@greyhound bitch {n} [ZOOL]@|@levrette {f} [ZOOL]@
@greyhound; Italian ~ [ZOOL]@|@levrette {f} d'Italie [ZOOL]@
@greyish@|@grisâtre@
@greyish [adj]@|@grisâtre [adj]@
@greyish-brown@|@bis@
@greyish-green [adj]@|@vert-de-gris [adj inv]@
@greyness@|@grisaille@
@grid {n}@|@grillage {m}, grille {f}@
@grid {n}; (electricity) ~@|@réseau {m} électrique@
@griddle@|@plaque en fonte@
@grief {n}@|@chagrin {m}@
@grievance {n}@|@grief {m}@
@grieve@|@affliger, désoler@
@grieved@|@chagriné@
@grievously [adv]@|@horriblement [adv]@
@grill@|@grille@
@grill a prisoner@|@cuisiner un détenu@
@grill room@|@rôtisserie@
@grille (aut)@|@calandre@
@grim@|@désespéré, sérieux, sinistre@
@grim determination@|@volonté inflexible@
@grimace@|@faire des grimaces, faire la grimace, grimace@
@grime@|@crasse, saleté@
@grimly [adv]@|@farouchement [adv]@
@grimy@|@crasseux@
@grin@|@petit sourire, sourire@
@grin and bear it@|@garder le sourire@
@grind@|@moudre@
@grind one's teeth@|@grincer des dents@
@grind to a halt@|@s'arrêter progressivement@
@grind to dust@|@réduire en poudre@
@grind up@|@pulvériser@
@grind; to have an axe to ~@|@but; agir dans un ~ intéressé@
@grinder@|@broyeur, moulin, ponceuse@
@grinding [adj]@|@accablant(e) [adj]@
@grinding machine {n} [TECH]@|@ponceuse {f} [TECH]@
@grindingly [adv]@|@mourir; à ~ [loc adv]@
@grindstone {n}@|@meule {f}@
@grip@|@agripper@
@grip (obj)@|@sac de voyage, valise@
@gripe@|@grogner, vexation@
@gripe (fam.)@|@se plaindre@
@gripped by surprise@|@sous le coup de la surprise@
@gripping@|@saisissant@
@gripping (fig)@|@passionnant@
@gripping jaw@|@mordache@
@grips; to be at ~ with sb@|@prises; être aux ~ avec qqn@
@grisly@|@désagréable, maussade@
@gristle@|@cartilage, tendon@
@grit@|@gravier@
@grit one's teeth@|@serrer les dents@
@gritty@|@graveleux, sablonneux@
@grizzle@|@pleurnicher@
@grizzled@|@grisonnant@
@groan@|@gémir@
