@English@|@Naskapi@
@hurry in what he/she is doing: he/she ~s@|@iyaasiihchiiw (vai)@
@hurry to meet him/her on the way: he/she ~s@|@naachaapuskuwaaw (vta), tuunichiskuwaaw (vta)@
@hurt@|@usikuun (ni)@
@hurt himself/herself by falling: he/she ~s@|@usikusin (vai)@
@hurt his/her hand: he/she ~@|@usikutiihchaaw (vai)@
@hurt: he/she is ~@|@aahkusuw (vai-i)@
@husband: her ~@|@unaapaama (nad), uwiichimaakina (nad)@
@hymn book@|@nikimusinaaikin (ni)@
@hypodermic needle@|@chiistaaikin (ni)@
@I@|@niiy (pro)@
@ice box@|@miskumiiut (ni)@
@ice breaks up in spring@|@paahkutaapaautaaw (vii)@
@ice chisel@|@asuy (ni)@
@ice cream@|@kaamiskuuchich (nap)@
@ice is yellow: the ~@|@wiisaausikusuw (vai-i)@
@ice on river): it is ~@|@chispikitin (vii)@
@ice scoop@|@akwaaskupaan (na)@
@ice scoop made of antler@|@aaskin-akwaaskupaan (na)@
@ice scoop: he/she makes an ~@|@akwaaskupaaniihchaaw (vai)@
@ice: it is blocked by ~@|@aakwaasikwaaw (vii)@
@ice: patch of thin ~@|@askuwiiy (ni)@
@ice-fishes sitting down: he/she ~@|@utaaikuschaaupuw (vai-i)@
@ice-fishing: he/she is ~@|@kuschaaw (vai)@
@icy: it is ~@|@miskumiiw (vai/ii)@
@identifying smth: he/she makes a mistake in ~@|@pistaawaaihtim (vti)@
@identifying someone: he/she makes a mistake in ~@|@pistaawaaimaaw (vta)@
@idleness@|@chiihtimuun (ni)@
@idol@|@iiyiihchaawaan (na)@
@if@|@misuw (p)@
@igloo@|@kuunichiwaahp (ni)@
@illegitimate child@|@pikutusaan (na)@
@illegitimate child: he/she is an ~@|@pikutusaanuuw (vai-uu)@
@image@|@iiyiihchaawaan (na)@
@imitate it: he/she ~s@|@chistinuwaapaahtim (vti)@
@immediately@|@tiiwaach (p)@
@immorality@|@michituutimuun (ni)@
@impossible: it looks@|@aaiminaakusuw (vai-i)@
@impression on it (an.) with his/h hand: he/s makes@|@suunaaw (vta)@
@improvement: an ~@|@miiskuw (p)@
@in a short while@|@pitimaa (p)@
@in a while@|@aasku paatus (p)@
@in between@|@tistuwiihch (p)@
@in charge@|@uchimaaun (ni)@
@in charge: he she is ~@|@asutimuwaaw (vta)@
@in exchange@|@maamiiskuch (p), miiskuch (p)@
@in front of@|@tipiskuuhch (p)@
@in place of each other@|@maamaamiiskuch (p r), maamaamiiskuch (p r)@
@in return@|@kaaw (p)@
@in the bush@|@nuuhchimiihch (p)@
@in the event that@|@misuw (p)@
@in the meantime@|@misiihtuw (p)@
@in the middle@|@tistuwiihch (p)@
@in the way: it is ~@|@ustuwiiwaaw (vii)@
@in time@|@chaastinuw (p)@
@in turn@|@kwaasch (p)@
@inch: one ~@|@paaikumichiihchin (p)@
@inches: four ~@|@naaumichiihchin (p)@
@inches: many ~@|@miihchaatumichiihchin (p)@
@inches: three ~@|@nistumichiihchin (p)@
@inches: two ~@|@niisumichiihchin (p)@
@includ it: he/she ~s@|@astichitim (vti)@
@include it (an.)@|@astichitaaw (vta)@
@include it: he/she ~s@|@astichitim (vti)@
@including@|@chich (p)@
@increase (ex.@|@ispipiyuw (vai-i)@
@increase it (an.): he/she ~s@|@yaahchiiyaaw (vta)@
@increase the price@|@ispipiihtaaw (vai)@
@increase the value: he/she ~s@|@ispipiihtaaw (vai)@
@Indian@|@iiyuw-iyimuuun (ni), iiyuw-iyimuuun (ni)@
@Indian agent@|@chisaauchimaaukuuhpaanaaw (na)@
@Indian manufactured@|@iiyuuhiihchaaw (p)@
@Indian-made@|@iiyuuhiihchaaw (p)@
@infant@|@uschiwaas (na)@
@inflate: it ~s@|@puutuupiyuw (vai/ii-i)@
@inflated (an.@|@puutuwaapaachisuw (vai-i), puutuwaapischisuw (vai-i)@
@inflated (string-like): it is ~@|@puutuwaapaakin (vii)@
@inflated: it (an.@|@puutuwaachisuw (vai-i)@
@inflated: it (an.) is ~@|@puutuusiiw (vai)@
@inflated: it (sheet-like) is ~@|@puutuwaakin (vii)@
@inflated: it is ~@|@puutuwaakaastin (vii), puutuwaaw (vii)@
@inflated: it's (an.) ~@|@puutuwaakaasuw (vai-i)@
@inform him/her: he/she ~s@|@chischaaihtimwaahaaw (vta)@
@information@|@chischaaihtimuun (ni)@
@inhale: he/she ~s@|@iskutaamuw (vai-u)@
@inheritance: an ~@|@tipaaitaamuun (ni)@
@injection liquid: an ~@|@chiistaaikinaapuy (ni)@
@injure him/her by throwing him/her down: he/s ~s@|@usikusimaaw (vta)@
@injure himself/herself by straining: he/she ~s@|@usikuuw (vai-uu)@
@injure his/her foot: he/she ~s@|@usikuiistaaw (vai)@
@injure it by hitting it against smth: he/she ~s@|@usikuuhtaaw (vai+o)@
@injury@|@usikuun (ni)@
@injury resulting in miscarriage: she receives an ~@|@usikuiisuw (vai-u)@
@ink@|@misinaaikinaapuy (ni)@
@inland@|@nuuhchimiihch (p)@
@inland arctic char@|@unaan (na)@
@inland in a canoe@|@kuspaautaaw (vai+o)@
@inlet to a lake: it is an ~@|@saachuun (vii)@
@insect@|@minitusis (na d)@
@inshore@|@such (p)@
@inside a boat or canoe@|@piihtuutich (p)@
@inside out: he/she pulls it ~@|@kwaaskwaapuchipitim (vti)@
@inside out: he/she turns it (an.) ~@|@kwaaskwaaputaahwaaw (vta)@
@inside out: he/she turns it ~@|@kwaaskwaaputinim (vti)@
@inside out: he/she wears it ~@|@kwaaskwaaputiskim (vti)@
@inside out: it ~s@|@kwaaskwaapuchipiyaaw (vai/ii)@
@insomnia: he/she has ~@|@siipiihkusuw (vai-i)@
@install (an.@|@tiskimaapaakimwaahaaw (vta)@
@install it (stick-like) straight across: he/she ~s@|@tiskimaaskumuuhtaaw (vai+o)@
@install it (stone@|@tiskimaapiskimuuhtaaw (vai+o)@
@install it (string-like) straight across: he/s ~s@|@tiskimaapaakimuuhtaaw (vai+o)@
@instead of@|@maamaamiiskuch (p r)@
@instruction@|@kaachiskutimaachaaun (ni)@
@instruction: he/she gives him/her ~@|@kichaaschimaaw  (vta r)@
@instrument: stringed musical (guitar@|@chistwaawaapaakaaikin (ni)@
@insult him/her: he/she ~s@|@maayaaimaaw (vta)@
@insult it: he/she ~s@|@maayaaihtim (vti)@
@insulting: he/she is ~@|@maayaaihchaaw (vai)@
@intelligence@|@mituunaaichikin (ni)@
@intelligent: it is ~@|@iipwaahkaaw (vii)@
@intense@|@suuhch (p)@
@intensity: it lessens in ~@|@nichipiyuw (vii-i)@
@interest him/her: it ~s@|@saapiihiikuw (vai-u+o)@
@interested enough in it: he/she is ~@|@saapiihkaaw (vai+o)@
@intermittent pains@|@maatimaahchiiw (vai)@
@interrupt him/her: he/she ~s@|@naaniihkaanaaw  (vta)@
@intestine: his/her large ~@|@utichisiiya (nad)@
@intestines@|@chisaayaakutichisiiy (nid)@
@intestines out of it (an.) he/she takes the ~@|@minitichisaanaaw (vta)@
@intestines: pike (fish) ~@|@chinusaautichisiiyaapaakw (ni)@
@Inuit@|@iischimaaw (na)@
@Inuit language@|@iischimaaw-iyimuuun (ni)@
@Inuktitut@|@iischimaaw-iyimuuun (ni)@
@Inuktitut word@|@iischimaaw-iyimuuun (ni)@
@inventory of it (an.): he/she makes an ~@|@tipisinaahwaaw (vta)@
@inventory of it: he/she makes an ~@|@tipisinaaham (vti)@
@inventory: he/she makes an ~@|@tipichiihtaasuw (vai-u), tipisinaaichaaw (vai)@
@invitations: he/she sends out ~@|@nituuchaamuw (vai-u)@
@invite him/her: he/she ~s@|@nituumaaw  (vta)@
@invite: he/she ~s@|@nituuchaamuw (vai-u)@
@iodine@|@kaamiihkwaakimist (nip)@
@Iron Arm (lit 'place where it narrows)@|@kaachikaayaahch (nip loc)@
@iron it: he/she ~s@|@maakuuham (vti)@
@iron: an ~@|@maakwaaikin (ni)@
@ironing: he/she is ~@|@maakwaaichaaw (vai)@
@island@|@ministikw (ni)@
@island of mud: it is an ~@|@ministikuschuukaaw (vii)@
@island: rock ~@|@ministikwaapiskw (ni)@
@islands here and there: there are many ~@|@mimaanistikuuw (vii-uu r)@
@islands: it is a lake full of ~@|@ministikwaakimuw (vii-i)@
@it (an.@|@wiiya (pro)@
@it (an.)@|@wiiy (pro)@
@it (obv) is over there@|@maanaayaayu (dem)@
@it is ~@|@aaniskupisuw (vai-u)@
@it is there@|@tikun (vii)@
@it: he/she ~s@|@aakuskuwaaw (vta)@
@itchy bottom: he/she has an ~@|@chii'ikichisuw (vai-i)@
@itchy: he/she is ~@|@chii'ichisuw (vai-i)@
@itself: by ~@|@tipaan (p)@
@jail: he/she puts him/her in ~@|@chipaahwaaw  (vta)@
@jam@|@miinaapuy (ni), pisikwaaw (vii)@
@jammed in a door: he/she gets his/her fingers ~@|@tikuchiichaawiisuw (vai-u)@
@January (lit kissing month)@|@uchaamitunaan-piisim (na-w)@
@Japanese@|@kaaiischiimaaunaakust (nap)@
@Javex@|@kaawiichaahtit-waapaakaaikin@
@jaw: his/her ~@|@utaapischikin (nid)@
@jay (Persoreus canadensis): gray ~@|@wiiskichaan (na)@
@jealous of him/her: he/she is ~@|@kaahkwaaimaaw (vta), uuhtaaimaaw (vta)@
@jealous of it: he/she is ~@|@kaahkwaaihtim (vti), uuhtaaihtim (vti)@
@jealousy@|@uuhtaaihtimuun (ni)@
@jerk it (an. fish) up: he/she ~s@|@waapaahwaaw (vta)@
@jerk it up: he/she ~s@|@waapaaham (vti)@
@Jesus@|@chiisaas (na)@
@jet plane@|@kaachisipiit (nap)@
@jigging pole@|@kuskinaaskw (ni)@
@jigging string@|@kuskinaayaapiiy (ni)@
@job@|@atuuschaaun (ni)@
@join a cord on to extend it: he/she ~s@|@aaniskuwaapaachiihtaaw (vai+o)@
@join a piece onto it: he/she ~s@|@aaniskuuhtaaw (vai+o)@
@join another piece of cord onto it: he/she ~s@|@aaniskuwaapiihchaanaaw (vta)@
@joined on: it is ~@|@aaniskuwaaw (vii)@
@joined to another one: he/she/it (an.) is ~@|@aaniskupisuw  (vai-u)@
@joined to another stick: it (an. stick-like) is ~@|@aaniskuwaaskusin (vai)@
@joined with another: it (stick-like) is ~@|@aaniskuwaaskumuw (vii-u)@
@joined: it (an.) is ~@|@aaniskuusin (vai)@
@joined: it is ~@|@aaniskuuhtin (vii)@
@joint: ankle ~@|@piskuukinaan (ni)@
@joint: his/her ~@|@ustikin (nad)@
@joint: wrist ~@|@piskuukinaan (ni)@
@jokes: he/she makes ~@|@uwiitwaaw (vai)@
@judge@|@kaatipaaskuiichaat (nap)@
@judge him/her/it (an.): he/she ~s@|@tipaaskunaaw (vta)@
@judge it: he/she ~s@|@tipaaskunim (vti)@
@July@|@chuunaai-piisim (na-w)@
@jump aside: he/she ~s@|@paaschaakwaaskuuhtuw (vai-i)@
@jump down: he/she ~s@|@niisikwaaskuuhtuw (vai-i)@
@jump in a certain way: he/she ~s@|@isikwaaskuuhtuw (vai-i)@
@jump on top of smth: he/she ~s@|@taahkuchikwaaskuuhtuw (vai-i)@
@jump over him/her/it (an.): he/she ~s@|@paaschiikwaaskuuhtuwaaw (vta)@
@jump over it: he/she ~s@|@paaschiikwaaskuuhtim (vti)@
@jump sideways: he/she ~s@|@paaschaakwaaskuuhtuw (vai-i), pimichikwaaskuuhtuw (vai-i)@
@jump: he/she ~s@|@paaschiikwaaskuuhtuw (vai-i)@
@jumps into a canoe: he/she ~@|@puusikwaaskuuhtuw (vai-i)@
@junction of two trails: it is the ~@|@maataamaamuw (vii-u), tikwaahtiwaapiyuw (vii-i)@
@June@|@chuun-piisim (na-w)@
@juniper berry@|@kaahkaachiimin (na)@
@juniper berry bush (Juniperus communis)@|@kaahkaachiiminaahtikw (na)@
@just like@|@muyaam (p), taapiskun (p)@
@just: he/she is ~@|@kuiiskwaaihtaakusuw (vai-i)@
@just: it is ~@|@kuiiskwaaihtaakun (vii)@
@Kawawachikamach: village of ~@|@kaawaawaachikaamaach (nip)@
@keel of a canoe@|@waaukin (ni)@
@keen on him/her: he/she is ~@|@saapaaimaaw (vta)@
@keep himself/herself from getting bored: he/she ~s@|@paahkuchiihkaasuw  (vai-u), paahkuchiihkaasuw (vai-u)@
@keep it clean: he/she ~s@|@miyuuhkim (vti)@
@keep it for him/her: he/she ~s@|@maauchiihtimuwaaw (vta)@
@keep it for himself/herself: he/she ~s@|@kinuwaaihtimaasuw (vai-u), maauchiihtimaasuw (vai-u)@
@keep it warm by covering it: he/she ~s@|@chiisuukuunaaham (vti)@
@keep to one: he/she ~s@|@paaikuuhtaaw (vai+o)@
@keep warm (an.): he/she ~s@|@chiisuusiiw (vai)@
@keeper (takes care of people)@|@kaakinuwaaihchaat (nap)@
@kept: he/she/it is to be ~@|@kinuwaaihtaakusuw (vai)@
@kept: it is to be ~@|@kinuwaaihtaakun (vii)@
@kettle tips over: the ~@|@kutipischiihkwaaw (vai)@
@kettle: it (an.) is inside the ~@|@piihtisuwaaschiihkwaasin (vai)@
@key@|@piimaaikin (ni)@
@kick him/her/it (an.) into the water: he/she ~s@|@pikistuwaataahchiskuwaaw (vta)@
@kick him/her/it (an.) under: he/she ~s@|@siipaaitiskuwaaw (vta)@
@kick it (an.) inside: he/she ~s@|@piihtaataachikuwaaw (vta)@
@kick it (an.) underneath smth: he/she ~s@|@saakutaahchiskuwaaw (vta)@
@kick it inside: he/she ~s@|@piihtaataachiskim (vti)@
@kick it into the water: he/she ~s@|@pikistuwaataahchiskim (vti)@
@kick it repeatedly: he/she ~s@|@taahtaachiskim (vti r)@
@kick it under: he/she ~s@|@siipaaitiskim (vti)@
@kick it underneath smth: he/she ~s@|@saakutaahchiskim (vti)@
@kill himself/herself deliberately: he/she ~@|@nipaaitiisuw (vai-u)@
@kill it (an.@|@nipaamaasaaw (vta)@
@kill it: he/she ~s@|@nipaahtaaw (vai+o)@
@kill: he/she ~s@|@nipaaiwaaw (vai)@
@kill: it ~s@|@nipaaiwaamikin (vii)@
@killed by falling@|@nipaaisin (vai)@
@killer: he/she is a ~@|@nipaaiwaasiiw (vai)@
@kind@|@paaikuwiich (p)@
@kind to him/h-@|@chistimaachaaimaaw (vta)@
@kind: he/she is ~@|@chisaawaatisiiw (vai)@
@kindling@|@pinikaaikin (ni)@
@kindness@|@chisaawaatisiiun (ni), chistimaachaaihchaaun (ni), miywaaihtaahkusuun (ni)@
@kindness to him/her: he/she shows ~@|@chiswaawaatuutuwaaw  (vta)@
@kinds@|@miihchaatuwiich (p)@
@king@|@chisaauchimaaw  (na)@
@king: he/she is a ~@|@chisaauchimaauw (vai-u)@
@kiss him/her: he/she ~s@|@suwaaimaaw  (vta), uchaamaaw (vta)@
@kiss it: he/s ~s@|@suwaaihtim (vti)@
@kiss: he/she ~s@|@suwaaihchaaw (vai)@
@kissable: he/she is ~@|@suwaaihtaakusuw (vai-i)@
@kitten@|@miinuusis (na d)@
@knead it (an.): he/she ~s@|@maamaakunaaw (vta r)@
@knead it by hand: he/she ~s@|@maamaakunim (vti r)@
@kneading: he/she is ~@|@maamaakunichaaw (vai r)@
@knee: his/her ~@|@wiihchikun (nid)@
@knee-cap: his/her ~@|@ustikina (nad)@
@kneel crouched over: he/she ~s@|@utiitipuw (vai-i)@
@kneel to him/her: he/she ~s@|@wiihchiichikunipiistuwaaw(vta)@
@kneel: he/she ~s@|@wiihchiichikunipuw (vai-i)@
@kneel: he/she makes him/her ~@|@niipiskuutisinaaw (vta)@
@kneeling: he/she is ~@|@niipiskuw (vai-u)@
@kneeling: he/she sits ~@|@niipiskuupuw (vai-i)@
@knife@|@muuhkumaan (ni)@
@knife blade (crooked)@|@muuhkutaakinaapiskw (ni)@
@knife case@|@piihchiihkumaanaan (ni)@
@knife handle@|@muuhkumaanaaskw (ni)@
@knife: carving ~@|@mistiihkumaan (ni)@
@knife: crescent shaped ~@|@saahkwaaikin (ni)@
@knife: crooked ~@|@muuhkutaakin (ni)@
@knife: ulu ~@|@saahkwaaikin (ni)@
@knit socks: he/she ~s@|@asikiniihchaaw (vai)@
@knob@|@piiminikin (ni)@
@Knob Lake@|@nwaapiniik (ni loc)@
@knock him/her over (from sitting pos): he/she ~s@|@saasikitiskuwaaw (vta)@
@knock him/her/it (an.) down: he/she ~s@|@niihtaahwaaw (vta), niihtaahwaaw (vta), niihtiskuwaaw (vta), niihtiskuwaaw (vta), niihtiskuwaaw (vta)@
@knock him/her/it (an.) loose: he/she ~s@|@pisikuskuwaaw  (vta)@
@knock him/her/it (an.) over: he/she ~s@|@kutipiskuwaaw  (vta)@
@knock him/her/it (an.) w/smth: he/she ~s@|@aamaahwaaw (vta)@
@knock it down: he/she ~s@|@niihtiskim (vti), niihtiskim (vti)@
@knock it downhill: he/she ~s@|@niihtichiwaapaaham (vti)@
@knock it loose: he/she ~s@|@pisikuskim  (vti)@
@knock it off with his/her body or feet: he/she ~s@|@aamiskim (vti)@
@knock it over: he/she ~s@|@kutipiskim (vti), kuwaaham (vti), kuwaaham (vti), kuwaapaaham (vti)@
@knock snow off him/her/it (an.): he/she ~s@|@paahpuusimaaw (vta r)@
@knock the bottom out of it with smth: he/she ~s@|@piiskwaaham (vti)@
@knock the ice off it (an.): he/she ~s@|@paahpuusikwaahwaaw (vta r)@
@knock the ice off it: he/she ~s@|@paahpuusikwaaham (vti r)@
@knock the snow off him/her/it (an.): he/she ~s@|@paahpuwaakuunaahwaaw (vta r)@
@knock the snow off it: he/she ~s@|@paahpuwaakuunaaham (vti r)@
@knoll@|@piskwaaskwaayaaw (vii)@
@knot (in string@|@aaniskutaapaan (ni)@
@know him/her well: he/she ~s@|@chiihkaayaaimaaw (vta)@
@know him/her: he/she ~s@|@chischaaimaaw (vta)@
@know it well: he/she ~s@|@chiihkaayaaihtim (vti), chiihkaayaaihtim (vti)@
@knowledge@|@chischaaihtimuun (ni)@
@known: he/she is ~@|@chischaaihtaakusuw (vai-i)@
@known: he/she makes him/her ~@|@chischaaihtaakwaahaaw (vta)@
@known: he/she makes himself/herself ~@|@chischaaihtaakuuwiisuw (vai-u)@
@known: he/she makes it ~@|@chischaaihtaakuuhtaaw (vai+o)@
@known: it is ~@|@chischaaihtaakun (vii)@
@knuckle: his/her ~@|@aapisikupiich-utiihchiiy (nid)@
@Kuujjuaq@|@pwaat-chaaimuw (ni)@
@label it: he/she ~s@|@chistinuwaachiihtaaw (vai+o)@
@labor: he/she ~s@|@atuuschaaw (vai)@
@Labrador tea (Ledum groenlandicum)@|@iihkuutaa (ni PL)@
@lace (nets) snowshoes: he/she ~s@|@aschimaaw (vai)@
@lace it over the first layer of string: he/she ~s@|@piihtuwaaspitim (vti)@
@lacing for top of mukluk or moccasin@|@mischinaayaapiiy (ni)@
@lacing it: he/she closes it (an.) by ~@|@chipwaaspitaaw (vta)@
@lacing to close smth@|@chipwaaspitaaikin (ni)@
@ladder@|@taataahkuuskaanaan (ni)@
@ladle@|@suupaapuiaamiihkwaan (na)@
@lady: old ~@|@kuuhkuminaas (na d)@
@lake@|@apisikimaasuw (vii-i d)@
@lake bottom is ~@|@yaakaawaamiskaaw (vii)@
@lake has a good bottom: the ~@|@miywaamiskaakimaaw (vii)@
@lake surrounded by rock cliffs: it is a ~@|@chiiskaapiskaakimaaw (vii)@
@lake: it is a long ~@|@chinuukimaaw (vii)@
@lame: he/she is ~@|@maaschiiw (vai)@
@lamp@|@waastaanipimaakin (na)@
@land@|@aschiiy (ni)@
@land with green vegatation on it@|@siipaakuschiiy (ni)@
@land: it is a thin strip of ~@|@pisitaawaauhkaaw (vii)@
@landscape of cliffs: it is a ~@|@chiiskaaskimikaaw (vii)@
@language@|@iyimuuun (ni)@
@larch (Larix laricina)@|@waachinaakin (na)@
@lard@|@kuuhkuusipimiiy (ni), pimiiy (na)@
@lard to it: he/she adds ~@|@tuumiihtaaw (vai+o)@
@large (an.@|@miihchaachisuw (vai-i), miihchaapaachisuw (vai-i), miihchaapischisuw (vai-i)@
@large (sheet-like): it is ~@|@miihchaakin (vii)@
@large (stone@|@miihchaapiskaaw (vii)@
@large (string-like): it is ~@|@miihchaapaakin (vii)@
@large legs: he/she has ~@|@miihchaaskukaataaw (vai)@
@large river; Chisasibi@|@chisaasiipiiy (ni)@
@large-grained: it is ~@|@maahkaayaauhkaaw (vii)@
@last@|@maastaay (p)@
@last a long time: it ~s@|@piisaakupiyuw (vai/ii-i)@
@last for a long time: it ~s@|@piisaakun (vii)@
@last time: the ~@|@maastaay (p)@
@late to catch him/her: he/she is too ~@|@mwaastinaaw (vta)@
@late: he/she is always ~@|@piisaakusiiw (vai)@
@lately@|@aanuuhchiichaa (p)@
@later@|@aasku paatus (p), aaskw (p), pitimaa (p)@
@later on@|@taapaakaa (p)@
@later on (when it will be later)@|@naanaachaa (vii cj)@
@laugh at him/her: he/she ~s@|@usinaawaaw (vta)@
@laugh at it: he/she ~s@|@usinim (vti)@
@laugh: he/she ~s@|@paahpuw (vai-i)@
@laugh: he/she makes him/her ~@|@paahpaahaaw (vta)@
@laundry: he/she does the ~@|@waapaakaaichaaw (vai)@
@lawyer@|@kaaiyimit (nap)@
@lay eggs (an.@|@pinaayaayuw (vai-u)@
@lay eggs on him/her (an.@|@uskwaawaataaw (vta)@
@lay eggs on it (an.@|@uskwaawaatim (vti)@
@lay him/her down: he/she ~s@|@chaahkaaskwaasimaaw (vta)@
@lay them together (an.): he/she ~s@|@maamuusimaaw (vta)@
@lay things together: he/she ~s@|@maamuustaaw (vai)@
@laziness@|@chiihtimuun (ni)@
@lazy: he/she is ~@|@akwaawaatim (vti), chiihtimuw (vai-i)@
@lazy: he/she pretends to be ~@|@chiihtimiihkaasuw (vai-u)@
@lead him/her by the hand: he/she ~s@|@asitinischaanaaw (vta)@
@lead him/her: he/she ~s@|@chistinuuhtaahaaw (vta)@
@lead in prayer: he/she ~s@|@iyimaastimaachaaw (vai)@
@lead: he/s ~s@|@uchimaauw (vai-u)@
@lead: he/she ~s@|@chistinuuhtaayuwaaw (vai)@
@leader@|@uchimaaun (ni), uchimaaw (na)@
@leaf@|@niipiiy (ni)@
@leaks in: the water ~@|@piihtaapaawaaw (vii)@
@lean against him/her/it (an.): he/she ~s@|@aaspichisimutuwaaw (vta)@
@lean against: he/she ~s@|@aaspichiiw (vai), aaspitisimuw (vai-u)@
@lean on him/her/it (an.): he/she ~s@|@aasuusimutuwaaw (vta)@
@lean on smth: he/she ~s@|@aasuusimuw (vai-u)@
@lean to the side: it ~s@|@uuhpimaayaaw (vii)@
@leaned against smth: he/she ~@|@aaspichisin (vai)@
@leaning on a slant: he/she is ~@|@iyipaasiiw (vai)@
@learn how to do it from watching: he/she ~s@|@chistinuwaapuw (vai-i)@
@leash@|@chisiihkaapiihkaasuun (ni)@
@leash: it is tied on a ~@|@chisiihkaapaahaaw (vai)@
@leather@|@piisaakin (na)@
@leather jacket@|@piisaakinikuuhp (ni)@
@leave a trail@|@atiyukaamaaham (vti), nuukuwaaham (vti)@
@leave food scraps: he/she ~s@|@piiwaahtim (vti)@
@leave scraps around after planing wood: he/s ~s@|@pinikutaachaaw (vai)@
@leave scraps of it@|@piiuwaayaaw (vta)@
@leave some unchopped: he/she ~s@|@iskukaaham (vti), iskukaaischaaw (vai)@
@ledge (an.@|@kaahtipaapischisuw (vai-i)@
@ledge: he/she makes a ~@|@kaahtipiihtaaw (vai)@
@ledge: it (an.@|@kaahtipaasuw (vai-i d)@
@ledge: it (stone@|@kaahtipaapiskaaw (vii)@
@ledge: it is a ~@|@kaahtipaaw (vai/ii)@
@lee of the point: in the ~@|@taatipaaw (p)@
@lee of the storm: it is in the ~@|@aapimuutin (vii)@
@lee side of a lake@|@tipinuukaamikaanuuhch (p)@
@lee: it is a ~@|@tipinuwaaw (vii)@
@left over: there is some ~@|@iskupiyuw (vai/ii-i)@
@legend@|@aatiyuuhkin (na)@
@legend: he/she tells a ~@|@aatiyuuhchaaw (vai)@
@legging: hide ~@|@piisaakinimitaas (na)@
@legging: leather ~@|@piisaakinimitaas (na)@
@legs: he/she has long ~@|@chinukaataaw (vai)@
@legs: it (an.) has four ~@|@naaukaataaw (vai)@
@lend it to him/her: he/she ~s@|@waahaaw (vta)@
@lengthen it (an. string-like): he/she ~s@|@chinwaapaachinaaw (vta)@
@lengthen it (an.) out: he/she ~s@|@chinupiyaahaaw (vta)@
@lengthen it (string-like): he/she ~s@|@chinwaapaachinim (vti)@
@lengthen it out: he/she ~s@|@chinupiihtaaw (vai+o)@
@lengthen it: he/she ~s@|@chinuuhtaaw (vai+o)@
@lengthen: it ~s@|@chinupiyuw (vai/ii-i)@
@lengthens it (an.)@|@chinwaahaaw (vta)@
@lengthwise slats for a canoe@|@aanaaskin (na)@
@Les Escoumins@|@iisipit (ni)@
@lessen by hand:he/s ~s@|@achuunim (vti)@
@lesser yellow legs (Totanus flavipes)@|@saasaasuw (na)@
@let air in to cool him/her: he/she ~s@|@taahchiiwaayaastimaaw (vta)@
@let air inside: he/she ~s@|@yuupitim (vti)@
@let go of it: he/she ~s@|@paahchiihtaaw (vai+o), pistinim  (vti)@
@let it (an.) inside: he/she ~s@|@piihtikaahaaw (vta)@
@let the air in on him/her/it (an.): he/she ~s@|@yuupitaaw (vta)@
@let the air in: he/she ~s@|@yuupiihtaaw (vai)@
@let the wind inside: he/she ~s@|@piihtaayaastin (vai), piihtaayuutin (vai)@
@letter@|@misinaaikin (ni)@
@lettuce@|@niipiiy (ni)@
@level itself: it ~s@|@taapituupiyuw (vai/ii-i)@
@lice: he/she picks ~@|@nuutiihkumaaw (vai)@
@lice: he/she/it (an.) has ~@|@utiihkumuw (vai-i)@
@license: snowmobile ~@|@skiituw-kaayuw (na)@
@lichen (Umbilicaria pustulata): black ~@|@waahkunaapiskw (ni)@
@lick him/her: it ~s@|@nuuhkwaataaw (vta)@
@lick it (an): he/she ~s@|@nuuhkwaataaw (vta)@
@lick it: he/she ~s@|@nuuhkwaatim (vti)@
@licking: he/she/it (an.) is ~@|@nuuhkwaachaaw (vai)@
@lid@|@chipaaikin (ni)@
@lie down: he/she ~s@|@atichinisin (vai)@
@lie him/her down: he/she ~s@|@atichinisimaaw (vta)@
@lie in a group of four: they (an.) ~@|@naawaapiihchaasinich (vai pl)@
@lie in a group of three: they (an.) ~@|@nistwaapiihchaasinich (vai pl)@
@lie in a group of two: they (an.) ~@|@niiswaapiihchaasinich (vai pl)@
@lie on top of smth: he/she ~s@|@taahkuchisin (vai)@
@lie with his/her head raised: he/she ~s@|@chaahkaaskwaasin (vai)@
@life (ex. plant): it has ~@|@pimitin (vii)@
@lift and hand it (an.) up: he/she ~s@|@uuhpipitaaw (vta)@
@lift and hands it up: he/she ~s@|@uuhpipitim (vti)@
@lift and places it on top of smth: he/she ~s@|@taahkutistaaw (vai+o)@
@lift him/her/it (an.): he/she ~s@|@uuhpinaaw (vta)@
@lift him/her/it to the surface (an.): he/she ~s@|@muschipaanaaw (vta)@
@lift it to the surface: he/she ~s@|@muschipaanim (vti)@
@lift it: he/she ~s@|@uuhpinim (vti)@
@lift it: he/she is able to ~@|@saahkuuhtaaw (vai+o)@
@lift someone's head: he/she ~s@|@chaahkaaskwaanaaw (vta)@
@lift up at one end: he/she/it ~s@|@chaahkaaskwaapiyuw (vai/ii-i)@
@ligament: main head-support ~@|@uchaastaayaapiiy (nid)@
@light@|@waastaanipimaakin (na)@
@light bulb@|@waastaanipimaakin (na)@
@light fire to it: he/she ~s@|@siskaaham (vti)@
@light is good: the ~@|@miywaastaaw (vii)@
@light it (an.) from smth: he/she ~s@|@sischisimaaw (vta)@
@light it (fire) from smth: he/she ~s@|@siskaaikaachaaw (vai+o)@
@light: it gives ~@|@chiihkaayaastaaw (vii)@
@light-weight (an.@|@iyaahkaapischisuw (vai-i)@
