@English@|@Danish@
@mask (camouflage)@|@kamouflere@
@masking@|@maskering(-en)@
@masking paper@|@afdækningspapir@
@masking tape@|@afdækkertape, afdækningstape@
@maskinonge@|@gedde(-en)@
@mason@|@frimurer(-en), murer, stenhugger@
@mason jar@|@syltetøjsglas@
@mason jar(s)@|@henkogningsglas@
@masonic lodge@|@frimurerloge(-en)@
@masonic order@|@frimurerorden(-en)@
@masonite@|@masonit@
@masonry@|@murerarbejde, murværk@
@masonry heater (masonry stove)@|@finsk masseovn(-en), masseovn(-en), russisk masseovn@
@mason's guild@|@murerlav@
@mason's hammer@|@murerhammer@
@masque@|@maskespil(-et)@
@masquerade@|@maskebal(-et), maskerade(-en), spille komedie, udgive sig for@
@masquerader@|@gøgler(-en)@
@mass@|@folkemasse(-en), gros, masse(-en), mængde, samles@
@mass (church)@|@messe (kirke)@
@mass action@|@massevirkning@
@mass attack@|@masseangreb(-et)@
@mass demonstration@|@folketog (demonstration), folketog(-et)@
@mass destruction@|@masseødelæggelse@
@mass effect@|@massevirkning@
@mass grave@|@fællesgrav(-en), massegrav(-en)@
@mass media@|@massemedier@
@mass medium@|@massemedium(-et)@
@mass meeting@|@massemøde(-et)@
@mass murder@|@massemord(-et)@
@mass noun@|@masseord(-et), mængdeord@
@mass of clouds@|@skybanke@
@mass of snow@|@snemasse@
@mass procession@|@folketog(-et)@
@mass production@|@massefabrikation, masseproduktion@
@mass suggestion@|@massesuggestion@
@mass*acceleration@|@tyngdelov@
@massacre@|@blodbad(-et), massakre(-en), massakrere, myrderi, nedsable, nedsabling, nedslagte, slagte@
@Massacre of Stockholm (the~)@|@stockholmske blodbad (det~)@
@massacred@|@sablede ned@
@massage@|@massage(-en), massere@
@massage parlour@|@massageklinik(-en)@
@massage treatment@|@massagebehandling(-en)@
@massasauga@|@lille klapperslange@
@mass-classifier(s)@|@masseord(-et), mængdeord@
@massed@|@samlet@
@massed together@|@sammenklumpet@
@masseur@|@massør(-en)@
@masseuse@|@massøse(-en)@
@massif@|@bjergmassiv(-et)@
@massive@|@massiv@
@mass-produced@|@seriefremstillet@
@mast@|@mast(-en)@
@mast (oak-beech)@|@olden@
@master@|@beherske, betvinger(-en), herre, hersker, husbond, kaptajn(-en), læremester(-en), lærer(-en), magte, mester, mestre, styre, styre.@
@master (in his profession)@|@mester@
@master (ship's~)@|@skipper@
@master artisan@|@håndværksmester@
@master brewer@|@brygmester(-en)@
@master builder@|@bygmester(-en), murermester@
@master builder's association@|@murerlav@
@master cabinet-maker@|@snedkermester@
@Master card@|@betalingskort(-et)@
@master joiner@|@snedkermester@
@master key@|@hovednøgle, universalnøgle@
@master of a guild@|@oldermand@
@Master of Arts (M.A.)@|@magister(-en)@
@Master of Forestry@|@forstkandidat(-en)@
@master of pilot's guild@|@lodsoldermand(-en)@
@Master of science (M.Sc.)@|@magister(-en)@
@master of the house@|@husfader@
@master painter@|@malermester(-en)@
@master painter's guild@|@malerlav(-et)@
@master race@|@herrefolk@
@master shoemaker@|@skomagermester@
@master tailor@|@skræddermester@
@master&mistress@|@herskab@
@master-criminal@|@storforbryder@
@masterly@|@mesterlig@
@masterly shot@|@mesterskud@
@masterpiece@|@mesterstykke, mesterværk@
@master's certificate (ship-~)@|@skibsførerbevis@
@Masters degree@|@magistergrad(-en)@
@mastership@|@lærerembede(-et), mesterskab@
@mastery@|@beherskelse, herredømme, kunnen, mesterskab@
@masthead@|@avishoved(-et), mastetop(-en)@
@masthead light@|@toplanterne@
@mastic (resin from mastic tree)@|@mastiks@
@mastic tree@|@pistacietræ@
@masticate@|@tygge@
@masticating surface@|@tyggeflade@
@mastication@|@tygning@
@masticatory organ@|@tyggeorgan/~redskab@
@mastiff@|@dogge(-en)@
@masturbate@|@masturbere, onanere@
@masturbation@|@masturbation, onani@
@mat@|@filtre, gulvmåtte(-en), indfiltre, løber (tæppe), måtte (til fødderne), tøjserviet@
@mat (gymnastics)@|@springmadras@
@mat (matte)@|@mattere@
@matador@|@matador(-en)@
@match@|@duel(-en), giftermål(-et), ligemand(-en), mage (arrangere), mage(-en), match(-en), parre, parti, pendant, sidestykke, tændstik@
@match (competition)@|@væddekamp@
@match (each other)@|@modsvare@
@match (in sports)@|@sportskamp@
@match (sulphur)@|@svovlstik@
@match holder@|@tændstikstativ@
@match manufacturer@|@tændstikfabrikant@
@matchbox@|@tændstikæske@
@matchless@|@mageløs@
@match-maker@|@Kirsten giftekniv@
@matchstick@|@tændstik@
@mate@|@arbejdskammerat, kammerat(-en), mage(-en), makker(-en), parre sig, styrmand, ægtefælle(-en)@
@mate (in chess)@|@mat (i skak)@
@mate (procreation)@|@parre, parre sig@
@material@|@materiale(-et), materiel, materiel (stoflig), stof, stoflig, tøj, væsentlig@
@material for spinning@|@spindestof@
@materialism@|@madstræv, materialisme@
@materialist@|@materialist(-en)@
@materialistic@|@jordbunden, materialistisk@
@materialization@|@materialisation@
@materialize@|@blive til virkelighed, dukke op, materialisere, materialisere sig@
@maternal@|@moderlig, mødrene@
@maternal aunt@|@moster@
@maternal feeling@|@moderfølelse@
@maternal grandfather@|@morfader, morfar@
@maternal grandmother@|@mormoder, mormor@
@maternal uncle@|@morbroder@
@maternalism@|@moderlighed@
@maternity@|@barsel(-en), moderskab@
@maternity dress@|@omstændighedskjole@
@maternity frock@|@omstændighedskjole@
@maternity home@|@fødeklinik(-en)@
@maternity leave@|@barselsorlov(-en)@
@maternity ward@|@fødeafdeling(-en)@
@maternity wear@|@ventetøj@
@mate's examination@|@styrmandseksamen@
@matey@|@kammeratlig@
@mathematical@|@matematisk@
@mathematician@|@matematiker(-en)@
@mathematics@|@matematik@
@maths@|@matematik@
@matie@|@flommesild(-en)@
@matinée@|@eftermiddagsforestilling(-en), matiné@
@mating@|@parring, parring@
@mating dance@|@parringsdans, parringsleg@
@mating season@|@brunsttid, parringstid@
@matins@|@froprædiken(-en), ottesang@
@matriarchy (governed by women)@|@matriarkat(-et)@
@matricide@|@modermord@
@matriculate@|@immatrikulere@
@matriculation@|@immatrikulation, immatrikulation(-en), tilmeldelse@
@matrimony@|@ægteskab(-et)@
@matrix@|@matrice(-en), matrikel(-en), støbeform@
@matron@|@forstanderinde(-en), hustru, matrone(-en), oldfrue, økonoma(-en)@
@matron (hospital)@|@oversygeplejerske@
@matronly@|@koneagtig, konet, matroneagtig@
@matt@|@matteret@
@matte@|@mattere@
@matted@|@filtret, sammenfiltret@
@matter@|@anliggende(-et), materie, materien, pus (materie/betændelse), sag, spørgsmål, stof@
@matter (~somewhat)@|@betyde noget@
@matter (standing~)@|@sats@
@matter of choice@|@smagssag@
@matter of confidence@|@kabinetsspørgsmål(-et), tillidssag@
@matter of course@|@selvfølge, selvfølgelighed@
@matter of dispute@|@tvivlsspørgsmål@
@matter of faith@|@trossag@
@matter of feeling@|@følelsessag(-en)@
@matter of form@|@formssag(-en)@
@matter of habit@|@vanesag@
@matter of national importance@|@nationalsag(-en), samfundssag@
@matter of opinion@|@skønssag@
@matter of principle@|@principspørgsmål@
@matter of taste@|@smagssag@
@matter-of-fact@|@poesiforladt@
@matter-of-fact ~@|@saglig@
@Matthew@|@Matthæus@
@matting@|@måtte (type), måttevæv@
@mattock@|@hakke@
@mattress@|@madras(-en)@
@mature@|@fuldvoksen, lagre, lagret (f.x.ost), moden, modne, udvikle sig, voksen@
@mature(d)@|@udvokset@
@matured (fx. wine)@|@vellagret@
@maturing@|@lagring(-en)@
@maturity@|@modenhed, modenhede@
@maturity (date)@|@forfalde (betalingsfrist)@
@maudlin@|@pjokket, pladdersentimental, rørstrømsk, sentimental, sentimental@
@maul@|@kramme, mukkert, tilrede@
@maunder@|@lalle@
@maundering@|@afvigende, digression (f.x. sidespring), vag@
@Maundy Thursday@|@skærtorsdag@
@mausoleum@|@mausoleum(-et)@
@mauve@|@lilla, lyslilla, rødviolet@
@maven (mavin - Yiddish)@|@pundit@
@maven (mavin-Yiddish)@|@vismand@
@maverick@|@enspænder, enspænder(-en), ikke brændemærket (fx.kvæg), løsgænger@
@mavis (bird)@|@sangdrossel@
@mawkish@|@overstrømmende, pjokket, sentimental, sentimental@
@max - maximum@|@maksimum(-et)@
@maxilla@|@overkæbe@
@maxillary sinusitis@|@kæbehulebetændelse@
@maxillary tooth@|@overmundstand@
@maxim@|@devise(-en), leveregel(-en), maksime(-en), morale, sentens@
@maximal@|@maksimal@
@maximally@|@maksimal@
@maximum@|@højdepunkt, højest@
@maximum-@|@maksimal@
@maximum speed@|@tophastighed@
@may@|@kan, kunne, monne, må, måske@
@May@|@maj@
@May Day@|@Internationale Arbejderes Dag@
@May Day tree@|@hæg (majtræ)@
@May fly@|@døgnflue(-en)@
@May lily@|@majblomst@
@maybe@|@kanske, måske@
@mayday@|@nødsignal (SOS ... ---...)@
@Mayday (French m'aidez)@|@Nødsignal@
@mayflower@|@tjørn@
@mayfly@|@døgnflue (insekt)@
@mayhem@|@fare ødelæggende frem, hærgen, ødelæggelse(-en)@
@mayonnaise@|@mayonnaise@
@mayor@|@borgermester(-en), borgmester, borgmester(-en)@
@mayoress@|@borgmesterfrue(-en)@
@maypole@|@majstang(-en)@
@maze@|@labyrint(-en)@
@mazurka@|@mazurka (pardans i 3/4 takt)@
@me@|@jeg, mig@
@mea culpa (latin)@|@mea culpa, syndsbekendelse@
@mea culpa (Latin)@|@min fejl, min skyld@
@mead@|@mjød@
@meadow@|@eng(-en)@
@meadow fern@|@pors (porse), porse@
@meadow muffin@|@kokasse(-en)@
@meadow pipit@|@engpiber@
@meadow queen@|@mjødurt@
@meadow saffron@|@tidløs (plante)@
@meadow-grass@|@rapgræs (plænegræs)@
@meadowsweet@|@mjødurt, spiræa (busk)@
@meager@|@mager, tynd@
@meagre@|@tyndbenet@
@meagre diet@|@mager kost@
@meal@|@mad, mel, måltid@
@meal (oatmeal)@|@gryn@
@mealtime@|@spisetid@
@mealworm@|@melorm@
@mealworm beetle'@|@skyggebille (fx. melorm bille)@
@mealy@|@melagtig@
@mealy-mouthed@|@skinhellig, spagfærdig@
@mean@|@betyde, gemen, gennemsnitlig, lumpen, mene, nederdrægtig, ondskabsfuld, pjaltet, snæverhjertet@
@mean (base)@|@nedrig@
@mean (evil)@|@lavsindet@
@mean (medium)@|@middel (medium)@
@mean (number)@|@middeltal@
@mean proportional@|@mellemproportional@
@mean temperature@|@middeltemperatur@
@mean to@|@tænke@
@mean(evil)@|@lav@
@meander@|@a la grecque mønster(mæander), bugte, bugte sig (flod), drive rundt (person), mæander, slynge sig@
@meandering@|@bugtet@
@meandering (gibberish)@|@forvrøvlet@
@meandering (riverbends)@|@slangebugtninger@
@meaner@|@lavere (inddeling)@
@meaning@|@betydning(-en), hensigt@
@meaningful@|@betydende, megetsigende, vedkommende@
@meaningless@|@intetsigende, meningsløs, uden pointe@
@meanly@|@simpelt@
@meanness@|@lavhed, lumpenhed, lurvethed, nederdrægtighed(-en), nedrighed(-en), nærighed, ondskabsfuldhed, simpelhed, smålighed@
@means@|@formue(-en), middel, midler, måde, udvej, værktøj@
@means (effects)@|@virkemiddel@
@means (of subsistence)@|@subsistensmidler@
@means (often pecuniary)@|@ressourcer@
@means of communication@|@kommunikationsmidler, samfærdselsmiddel@
@means of compulsion@|@tvangsmiddel@
@means of conveyance@|@trafikmiddel@
@means of delivery@|@fremføringsmiddel(-et)@
@means of expression@|@udtryksmiddel@
@means of payment@|@betalingsmiddel(-et)@
@means of production@|@produktionsmiddel@
@means of transportation@|@transportmiddel@
@meant@|@mente (datid af at mene)@
@meantime@|@i mellemtiden@
@meanwhile@|@i mellemtiden, imedens, imens@
@measles@|@mæslinger@
@measles (in pork meat)@|@tinte (bændelorm)@
@measly@|@elendig, sølle@
@measurable@|@målelig@
@measure@|@forholdsregel(-en), grad(-en), mål, måle, måle op, måleinstrument, målestok, opmåle, registrere, takt@
@measure (out)@|@udmåle@
@measure of capacity@|@rummål@
@measure up to@|@måle sig med@
@measured@|@taktfast@
@measurement@|@mål, måling@
@measurement of degrees@|@gradmåling(-en)@
@measurements (music)@|@mensur (musik)@
@measurer@|@måler, maaler@
@measuring@|@måling, opmåling@
@measuring glass@|@måleglas@
@measuring instrument@|@måleinstrument@
@meat@|@kød(-et), kødmad(-en), sul@
@meat broth@|@kødsuppe(-en)@
@meat course@|@kødret(-en)@
@meat cube@|@suppeterning@
@meat cut in small pieces@|@småkød@
@meat dish@|@kødret(-en)@
@meat extract@|@kødekstrakt(-en)@
@meat safe@|@flueskab(-et)@
@meat tenderiser@|@kødhammer(-en)@
@meat/cheese/salad - on bread@|@pålæg (brød)@
@'meat/eggs@|@Vitamin B2 (kød/æg)@
@'meat/milk products@|@Vitamin B6 (kød/mælkeprodukt)@
@'meat/milk/eggs@|@Vitamin B7 (kød mælk/æg)@
@'meat/whole grain@|@Vitamin B5 (kød/fuldkorn)@
@meatball@|@frikadelle(-en), kødbolle(-en)@
@meatball(fried)(frikadelle@|@delle(-en)@
@meathead@|@kødhoved(-et)@
@meatless@|@kødløs@
@meatloaf@|@forloren hare, kødfars bagt i form, kødpostej(-en)@
@meatpie@|@postej@
@meaty@|@kraftig, kødfuld, svær (stor)@
@mechanic@|@maskinarbejder(-en), maskinmand(-en), mekaniker@
@mechanical@|@maskinel, maskinmæssig, mekanisk@
@mechanical action@|@mekanik@
@mechanical engineer@|@maskiningeniør(-en), maskinkonstruktør(-en)@
@mechanics@|@mekanik@
@mechanism@|@mekanik@
@mechanisme@|@mekanisme@
@mechanization@|@mekanisering@
@mechanize@|@mekanisere@
@mechanized@|@motoriseret@
@med det samme@|@straight away@
@medal@|@hæderstegn, medalje(-en)@
@medallion@|@medaljon(-en)@
@medallist@|@medaljevinder(-en), medaljør(-en)@
@meddl@|@blande@
@meddle@|@blande sig i, pille ved, rode med@
@meddler@|@pilfinger@
@meddleso@|@officiøs@
@meddlesome@|@blander sig i hvad som helst, geskæftig@
@meddling@|@indblanding(-en)@
@media@|@medier@
@mediaeval@|@middelalderlig@
@medial sound (medial vowel)@|@indlyd@
@medial strip@|@midterrabat@
@median@|@gennemsnitlig, median (midterlinie), mellemproportional, middelværdi@
@mediate@|@formidle, mægle@
@mediation@|@formidling(-en), fredsmægling(-en), mellemkomst, mægling@
@mediator@|@fredsmægler(-en), mellemmand, mægler@
@medic@|@læge(-en)@
@medic (medicago)@|@sneglebælg@
@medical@|@lægelig, lægevidenskabelig, medicinsk@
@medical association@|@lægeforening(-en)@
@medical attention@|@lægetilsyn(-et)@
@medical certificate@|@lægeattest(-en), lægecertifikat(-et), lægeerklæring(-en), sygeattest, sygemelding@
@medical corps@|@lægekorps(-et)@
@Medical Doctor (M.D.)@|@dr.med.@
@medical examination@|@lægeundersøgelse(-en)@
@medical inspection@|@lægeeftersyn(-et), lægetilsyn(-et)@
@medical jurisprudence@|@retsmedicin@
@medical leech@|@lægeigle(-en)@
@medical mistake@|@lægefejl(-en)@
@medical officer (army colonel)@|@stabslæge@
@medical officer of health@|@embedslæge(-en)@
@medical orderly@|@sygepasser@
@medical physician@|@mediciner@
@medical plant@|@lægeplante(-en)@
@medical platoon@|@sanitetsdeling@
@medical practice@|@lægepraksis(-en), lægevirksomhed(-en), praksis (også læge-)@
@medical science@|@lægevidenskab(-en)@
@Medical Student@|@stud.med.@
@medical treatment@|@lægebehandling(-en), lægehjælp(-en), medicinsk behandling@
@medical/law student~and so on@|@stud.~med./~jur. osv.@
@medicament@|@lægemiddel(-et), medikament@
@medication@|@medicin, medicinering, medicinsk behandling, ordinering@
@medication (type)@|@medikament@
@medicinal plant@|@lægeurt(-en)@
@medicine@|@lægevidenskab(-en), medicin, medikament@
@medicine bottle@|@medicinflaske@
@medicine chest@|@husapotek@
@medicine cupboard@|@medicinskab@
@medicine glass@|@medicinglas@
@medicine man@|@medicinmand@
@Medico-Legal Counsil@|@retslægeråd@
@medieval@|@middelalderlig@
@medio@|@midt i (fx. januar), midterste tredjedel af~@
@mediocre@|@halvdårlig, middelmådig, mådelig@
@mediocrity@|@middelmådighed@
@meditate@|@gruble, meditere, pønse på@
@meditate (on)@|@grunde (over)@
@meditate suicide@|@selvmordstanker@
@meditation@|@betragtning, eftertanke(-en), grunden, meditation@
@meditative@|@filosofisk, tænksom@
@meditativeness@|@tænksomhed@
@Mediterranean@|@Middelhavet@
@Mediterranean countries@|@middelhavslandene@
@mediterranean gull@|@sorthovedet måge@
@medium@|@medie, mellem, middel, middel (medium), middelgod@
@medium (fine)@|@mellemfin@
@medium (psychic)@|@medium@
@medium (size)@|@medium@
@medium crops@|@middelhøst@
@medium difficult@|@mellemsvær@
@medium faces (font)@|@halvfed@
@medium fair (haired)@|@mørkeblond@
@medium heavy@|@mellemsvær@
@medium of exchange@|@omsætningsmiddel@
@medium quality@|@mellemkvalitet@
@medium size@|@mellemstørrelse, middelstørrelse@
@medium sized@|@middelstor@
@medium waves (200-1000 m)@|@mellembølger (radio)@
@medium/lower state functionary@|@sølvsnor@
@medium-blue@|@mellemblå@
@medium-large@|@mellemstor@
@medley@|@blanding(-en), disciplin i svømning, labskovs(-en), sammensurium@
@medley (music)@|@potpourri@
@medley (the 4 swimming styles)@|@medley (de 4 svømmearter)@
@medusa@|@gople(-en)@
@medusa (Greek mythology)@|@Gorgon i græsk mytologi@
@Medusa's head@|@medusahoved@
@mee@|@opfylde@
@meek@|@forsagt, myg (blød/smidig), sagtmodig, spagfærdig, ydmyg@
@meekness@|@spagfærdighed@
@meerschaum@|@merskum@
@meet@|@forsamle, forsamles, fyldestgøre, imødegå, imødekomme, indfri, løbe sammen, møde, mødes, støde på, træde sammen, træffe@
@meet (bring@|@hente@
@meet a sticky end@|@omkomme@
@meet adversity@|@modvind@
@meet again@|@gense@
@meet opposition@|@modvind@
@meet with@|@tilstøde@
@meeting@|@forsamling(-en), sammenkomst, sammentræde, støde på@
@meeting of electors@|@vælgermøde@
@meeting-house@|@forsamlingshus(-et)@
@meeting-place@|@mødested@
@megalith@|@stensætning@
@megalomania@|@megalomani (storhedsvanvid), storhedsvanvid@
@megaphone@|@megafon, råber (megafon)@
@megapodes@|@talegalahøns@
@megrim (fish)@|@glashvarre (fladfisk)@
@megrims@|@hovedpine (fig), problemer (fig)@
@meiosis@|@kromosom deling, retorisk underdrivelse@
@melancholiac@|@melankoliker@
@melancholic@|@verdenstræt@
@melancholy@|@melankoli, melankolsk, spleen (livslede), sørgmodig, sørgmodighed, tungsind, tungsindig, vemod, vemodighed@
@Melchoir@|@de 3 vise mænd, Melchior@
@mêlée@|@håndgemængd, tummel@
@mellifluous@|@blid, honningsød, letflydende@
@mellow@|@blød, fyldig, moden, modne, mættet@
@mellowed@|@afdæmpet@
@mellowing@|@optøning@
@melodious@|@melodisk, melodiøs, velklang, velklingende@
@melodious sound@|@vellyd@
@melodious warbler (bird)@|@spottesanger (fugl)@
@melodrama@|@folkekomedie(-en), melodrama@
@melodramatic@|@melodramatisk@
@melody@|@melodi, tone, velklang@
@melon@|@melon@
@melon thistle@|@melonkaktus@
@Melpomene@|@muser (6 til 9.)@
@Melpomene (Muse of tragedy)@|@Melpomene (muse for tragedie)@
@melt@|@blive rørt, smelte@
@melt down@|@afsmelte, indsmelte, omsmelte@
@melt water@|@smeltevand@
@meltdown (nuclear reactor)@|@nedsmeltning (atomreaktor)@
@melted butter@|@smørsovs@
@melting@|@smeltning, tøvejr@
@melting notes@|@smægtende toner@
@melting snow@|@tøsne@
@melting-point@|@smeltepunkt@
@melting-pot@|@smeltedigel@
@meltwater@|@smeltevand@
@member@|@element(-et), lem(-et), medlem, tilhænger@
@member of a lodge (guild)@|@logebroder(-en)@
@member of Danish Parliament@|@folketingsmand(-en), folketingsmedlem (MF)@
@member of one's own party@|@partifælle@
@member of Parliament@|@parlamentsmedlem@
@member of resistance movement@|@modstandsmand@
@member of sentence@|@sætningsled@
@member of the family@|@familiemedlem(-et)@
@member of the Stock Exchange@|@noteringsberettiget (vekseler@
@member of the tribe@|@stammemedlem@
@members@|@medlemmer@
@membership@|@medlemmer, medlemsskab@
@membership (quantity/sum)@|@medlemstal@
@membership card@|@medlemskort@
@membership list@|@medlemsliste@
@membrane@|@hinde, membran, membran@
@membrane of the brain@|@hjernehinde@
@memento@|@souvenir@
@memo@|@huskeseddel@
@memo - memorandum@|@memorandum, notat, optegnelse@
@memoirs@|@memoirer@
@memorabilia@|@reminiscens@
@memorable@|@minderig, mindeværdig, uforglemmelig@
@memorable year(s)@|@mærkeår@
@memorandum@|@huskeseddel@
@memorandum book@|@noteringskalender@
@memorial@|@minde, mindesmærke, mindetale@
@memorial coloumn@|@mindestøtte@
@Memorial day (last monday-May)@|@mindedag for faldne (US)@
@memorial grove/park@|@mindelund@
@memorial park@|@mindepark@
@memorial service@|@mindegudstjeneste@
@memorial tablet@|@mindetavle@
@memorial wreath@|@mindekrans@
@memories of one's youth@|@ungdomserindringer@
@memorize@|@huske, lære udenad, memorere, notere sig@
@memorizing@|@indlæring(-en)@
@memory@|@erindring(-en), hu, hukommelse@
@memory (game)@|@huskespil (memory), memory (huskespil)@
@memory lane (stroll down~)@|@mindernes allé, mindernes vej(slentre ned af~)@
@memory loss@|@hukommelsessvigt@
@memory path@|@hukommelsesspor@
@men (team)@|@mandehold(-et), mandskab@
@menace@|@true, trussel@
@menacing@|@faretruende, ildevarslende, ominiøs (ildevarslende), truende@
@menagerie@|@menageri@
@menarche@|@kvindens første menstruation, menarchen@
@mend@|@bedring, bøde(-en), lappe, reparere, stoppe, udbedre@
@mend ladder/run in a stocking@|@opmaske@
@mend the fire@|@fyre@
@mendacious@|@forløjet, løgnagtig, usandfærdig@
@mendacity@|@forløjethed, løgnagtighed@
@mender@|@reparatør@
@mendicant@|@betler(-en)@
@mendicant friar@|@tiggermunk@
@mendicity@|@tiggeri@
@mending@|@lapning(-en), lappegrej(-et), reparation, stopning@
@mending (~cotton/~wool)@|@stoppegarn@
@mending of ladders/runs@|@opmaskning@
@mending period@|@rekonvalescens@
@menhir@|@bautasten(-en)@
@menial@|@husholdningspligter, underordnede@
@'menial@|@uselvstændig@
@meningitis@|@hjernebetændelse, meningitis (hjernebetændelse)@
@menopause@|@klimakterium, menopause, overgangsalder@
@menorah (7 branched)@|@syvarmet lysestage@
@men's clothes@|@herretøj, mandsdragt(-en), mandsklæder@
@men's dinner@|@herremiddag@
@men's footgear@|@herrefodtøj@
@men's footwear@|@herrefodtøj@
@men's parlor@|@herreværelse@
@men's party@|@herreselskab@
@men's ready-made clothing@|@herrekonfektion@
@men's room@|@herretoilet@
@men's shoes@|@herresko@
@men's side (in church)@|@mandsside(-en), mandssiden (sværdsiden)@
@men's taylor@|@herreskrædder@
@men's wear@|@herreekvipering, herretøj@
@menstruate@|@have menstruation, menstruere@
@menstruation@|@menses, menstruation@
@menswear@|@herretøj@
@mental@|@hjerne - mæssig, mental, sjælelig, åndelig@
@mental activity@|@tankevirksomhed@
@mental age@|@intelligensalder@
@mental arithmetic@|@hovedregning@
@mental disorder@|@sindslidelse@
@mental handicap@|@kretinisme, mongolisme@
@mental hospital@|@sindssygehospital, statshospital@
@mental hygiene@|@mentalhygiejne@
@mental instability@|@uligevægt@
@mental life@|@sjæleliv@
@mental reservations@|@stiltiende forbehold@
@mentality@|@indstilling(-en), mentalitet, psyke, tankegang, tænkemåde@
@mentally deficient@|@underbegavet, åndssvag@
@mentally handicapped@|@evnesvag@
@mentally ill@|@sindssyg@
@mentally sound@|@sjæleligt sund@
@menthol@|@mentol@
@mention@|@anføre, angive, nævne, omtale@
@mention (the imperative)@|@nævn@
@mentioned@|@omtalt@
@mentioned below@|@nedenanført, nedenstående@
@mentioned earlier@|@førnævnt@
@mentor@|@mentor, rådgiver, vejleder@
@menu@|@menu, menukort@
@menu (card)@|@spisekort, spiseseddel@
@menu bar (computer)@|@Menulinje@
@menu button@|@menuknap@
@menu command@|@menukommando@
@menu label@|@menuetiket@
@Mephistophelean@|@mefistofelisk@
@mercantile@|@handelsmæssig, merkantil@
@mercantile marine@|@handelsflåde(-en), handelsmarine, handelsmarine(-en), koffardiflåde(-en)@
@mercantile marine offi@|@mønstringskontor@
@mercenaries@|@lejetropper@
@mercenary@|@beregnende, lejesoldat(-en), pengegrisk, pengegrisk@
@mercenary soul@|@kræmmersjæl(-en)@
@mercerize@|@mercerisere (natriumhydroxid)@
@merchandis@|@sortiment@
@merchandise@|@vare (salg)@
@merchant@|@grosserer(-en), handelsmand, handelsmand(-en), købmand(-en), storkøbmand@
@merchant bank@|@forretningsbank(-en)@
@merchant flag@|@handelsflag(-et), stutflag (almindeligt flag)@
@merchant guild@|@købmandsstand(-en)@
@merchant marine@|@flåde(-en)@
@merchant navy@|@handelsflåde(-en)@
@Merchant of Venice (WS@|@kræve sit skålpund kød (WS)@
@merchant prince@|@handelsfyrste(-en)@
@merchant service@|@handelsskibssejlads, koffardifart(-en)@
@merchant ship@|@handelsskib@
@merchant ship(bound for India)@|@ostindiefarer@
@Merchant Shipping Act@|@sølov@
@merchantman@|@koffardiskib(-et)@
@merchantman (ship)@|@stykgodsskib@
@merchant's guild@|@grosserersocietetet@
@merciful@|@barmhjertig, nådig, nådigt@
@mercilessly@|@skånselsløs@
@mercilessness@|@ubarmhjertighed@
@mercurial@|@hurtigvirkende@
@mercurial barometer@|@kviksølvbarometer@
@mercurial cure@|@kviksølvkur(-en)@
@mercury (atomic number 80)@|@kviksølv@
@Mercury (planet)@|@Merkur (planet)@
@mercury coloumn@|@kviksølvsøjle(-en)@
@mercury thermometer@|@kviksølvtermometer@
@mercury(cabbalistic)@|@azoth (de vises sten)@
@mercy@|@barmhjertighed(-en), miskundhed, miskundhed (barmhjertighed), nåde, skånsel@
@mercy killing@|@medlidenhedsdrab@
@mere@|@idel, ikkun, kun, slet og ret, udelukkende@
@mere chickenfeed@|@blot/bare en slat/slant, klatskilling(-en)@
@mere detail@|@biting(-en)@
@merely@|@bare@
@mereswine@|@tumler (marsvin)@
@merganeser@|@skallesluger, skallesluger (stor)@
@merge@|@forene, fusionere, smelte sammen@
@merge field@|@fletfelt(-et)@
@merger@|@sammenslutning@
@meridian@|@længdegrad(-en), længdekreds(-en)@
@meridian altitude(f.x. zenith)@|@middagshøjde@
@meringue@|@marengs@
@merino (sheep/wool)@|@merino (får/uld)@
@merit@|@fortjene, fortjeneste(-en), fortrin(-et), udmærkelse@
@merit pay@|@præstationsløn@
@merited@|@føje (med ~)@
@meritocracy@|@præstationsræs@
@meritorious@|@fortjenstfuld, påskønnelsesværdig, veltjent@
@Merkurstaven (Hermesstaven)@|@Caduceus (Alt+9764)@
@merlin (bird)@|@dværgfalk@
@merlon@|@murtak, murtinde@
@mermaid@|@havfrue@
@merman (Agnete and the merman)@|@havmand@
@merrily@|@lystigt, muntert@
@merriment@|@gammen, lystighed@
@merry@|@glad, glædelig, lystig@
@Merry Christmas@|@Glædelig jul!@
@merry tricks@|@spilopper@
@merry-go-round@|@karrusel(-en)@
@mesh@|@indgreb(-et), maske, maske (net), net(-et), netværk(-et)@
@mesmerize@|@hypnotisere, tryllebinde@
@mesmerizing@|@hypnotisk@
@Mesopotamia@|@Mesopotamien@
@mess@|@bulteri (roderi), fumle, grød(-en), kantine(-en), kludder, makværk(-et), rod, svine, svineri, uføre, virvar, vælling@
@mess (a mess)@|@griseri(-et)@
@mess (an unsavory~)@|@snask (griseri)@
@mess (dine)@|@skaffe (spise)@
@mess (f.x. officers)@|@messe (lokale)@
@mess about in the kitchen@|@kokkerere@
@mess aound with@|@bikse@
@mess kit@|@spisegrejer@
@mess time@|@skaffetid@
@mess tin@|@kogekar(-et)@
@mess up@|@kludre@
@mess utensils/gear@|@skaffegrejer@
@message@|@besked, besked(-en), budskab, budskab(-et)@
@message by carrier pigeon@|@brevduepost, duepost, duepost(-en)@
