@English@|@Wolof@
@to be drive away@|@daaxa@
@to be drunk@|@daaju, mandi@
@to be elected@|@falu@
@to be enough@|@doy@
@to be envious@|@añaan@
@to be equipped@|@gaacaayoo@
@to be fat@|@am-yaram, duf, dungus@
@to be flayed@|@fulééku@
@to be fool@|@nax@
@to be forbiden@|@araam@
@to be full@|@reega, teb@
@to be gentle@|@yaaraam@
@to be happinees@|@baaneex@
@to be hard@|@dëgar, dëgër@
@to be heavy@|@diis@
@to be human@|@Nlt@
@to be humid@|@guus@
@to be hung@|@aju@
@to be hurried@|@yakkamti@
@to be hurt@|@gaañu@
@to be ill-fated@|@aay-gaaf@
@to be impatient@|@faraw@
@to be in a hurry@|@yaakamti@
@to be in agreement@|@deégoo@
@to be in conflict with someone@|@jotee@
@to be in debt@|@amel@
@to be in possession of smth.@|@ame@
@to be in straight@|@jubadi@
@to be inconsiderate@|@fas@
@to be inside out@|@bitarñeku@
@to be interested in@|@ebu@
@to be isolated@|@beru@
@to be jealous@|@añaan, fiir, kañaan@
@to be jealous of@|@añaanee, fiire@
@to be lack@|@ñakka@
@to be lack of front tooth@|@mefre@
@to be late for something@|@fande@
@to be level@|@maasaloo@
@to be liberal@|@fiix@
@to be light@|@oyof, oyof, woyof@
@to be located@|@feete@
@to be logical@|@jaadu@
@to be lonely for someone@|@gelu@
@to be loquacious@|@kacco-kacco@
@to be lose@|@réeba@
@to be lost@|@reer, reér@
@to be meek@|@teeng@
@to be miss@|@moy, nama@
@to be mistaken@|@juumé@
@to be more than@|@gena@
@to be near by@|@dendoo@
@to be nice@|@rafet@
@to be nosy@|@déñkumpa@
@to be numerous@|@Bare@
@to be old@|@maaget@
@to be open@|@laanga@
@to be opened@|@lañar@
@to be optimistic@|@gaanga@
@to be peep@|@yurndu@
@to be plentiful@|@jax@
@to be precocious@|@goog/@
@to be pregnant@|@biir@
@to be proud@|@fuuy@
@to be ready@|@noppi, paree@
@to be refuse@|@lanka@
@to be removed@|@deñ@
@to be respectful@|@aajo@
@to be restless@|@ñuum-ñuuttu@
@to be rude@|@beew, luubu, luugu, reew@
@to be satisfied@|@suur@
@to be saying the hips@|@duguj-dagac@
@to be selfish@|@buggé@
@to be serious@|@garaaw@
@to be shaken@|@yëngu@
@to be shame@|@gaace@
@to be sick@|@oopa@
@to be sleepy@|@geméntu, Gëmmeentu, gomantu@
@to be smart@|@am-xel@
@to be smth. that pricks@|@cuuce, cuuté@
@to be soften by soaking@|@gëjëf@
@to be stingy@|@ngoota@
@to be straight@|@jub@
@to be stupid@|@dof@
@to be sucked@|@cang@
@to be sunny@|@naaje@
@to be sweet@|@neex@
@to be swollen@|@funki@
@to be tall@|@njool@
@to be thirsty@|@mar@
@to be tight@|@dang@
@to be tired@|@soon@
@to be together@|@ómba@
@to be true@|@dégga@
@to be ugly@|@ñaaw@
@to be undo braids@|@fireeku@
@to be undressed@|@futeéku@
@to be united@|@jaappoo@
@to be unravell@|@lucéeku@
@to be well@|@mooka@
@to be wet@|@tooy@
@to be wise@|@muus@
@to be wrecked@|@kalaate@
@to be wrinkle@|@lax@
@to beat@|@buja, dngor, door, duma, duma, kaccari, ñef, ñef, nooxa, nooxa, nooxa, ñuus@
@to beat (1)@|@sar@
@to beat with tiny stick@|@caw@
@to beg@|@woyaan@
@to begin@|@dóor, kumaase, taambali@
@to begin a muslim prayer@|@kabbar@
@to behavior@|@melo@
@to belief@|@góm@
@to believe@|@gëm, gëm@
@to belong@|@moom@
@to bend@|@banka, banka, biij@
@to bend down@|@segga@
@to betray@|@janfaa@
@to bite@|@matt, xapati@
@to blacken@|@findi@
@to bleach one's skin@|@xeesal@
@to bleed@|@nacca@
@to block@|@gatandu@
@to blow air@|@fuuf@
@to blow one's nose@|@ñandu@
@to boast@|@xajaan@
@to boil@|@bax, baxal@
@to book oneself@|@bindu@
@to borrow@|@Abb, leb@
@to borrow out@|@abale, able@
@to bother@|@xatal@
@to boyfriend@|@far@
@to braid@|@létta@
@to break@|@damm, toj@
@to breathe@|@nooki@
@to brew@|@xiim@
@to bribe@|@dukku, ger@
@to bring@|@indi, isi@
@to bring along@|@indaale@
@to bring bad luck@|@um@
@to brust@|@faaca@
@to buid@|@tabax@
@to burn@|@lakka@
@to bury@|@roob, suul@
@to butt@|@mboka@
@to buy@|@jënd, jënda@
@to buzz around food@|@biiw@
@to call@|@oo, woote@
@to can@|@mën@
@to cancel@|@baay@
@to cannon@|@kënu@
@to caress@|@raay@
@to carry@|@fab@
@to carry a packet@|@ëmb@
@to carry away@|@yobbu@
@to carry on the head@|@enu@
@to carry someone on the back@|@boot@
@to castle@|@korte@
@to castrate@|@taapa@
@to catch a cold@|@soc@
@to catch up@|@Dab@
@to cause@|@waxtaan@
@to celebrate@|@baaxental@
@to change@|@wecci@
@to chase@|@riiteé@
@to chat@|@waxtaan@
@to cheat@|@muuse@
@to chew@|@saxaarmi, yëy@
@to choke@|@föt@
@to choose@|@tann@
@to circumcise@|@jonga@
@to class@|@kalaase@
@to climax@|@guu@
@to climb@|@éeg@
@to climb over@|@ñaay@
@to close@|@tëj, ubb@
@to close one's eyes@|@góma@
@to clothe@|@ooda@
@to collapse@|@maaba@
@to collect@|@for@
@to collect rain water@|@taataan@
@to comb@|@peñe@
@to come@|@dikka, ñëw@
@to come and take@|@jëmbat@
@to come back@|@delusi@
@to come from@|@baayeekoo@
@to come out suddenly@|@pól@
@to comit suicide@|@xaru@
@to commit adultery@|@saacoo@
@to compare@|@toolaale@
@to complain@|@jaambaat, tawat@
@to complete@|@éegali, fëgël, mutali@
@to confront@|@aaka, laanga@
@to confuse@|@jaawaatle@
@to congratulate@|@njukkal@
@to continue@|@kontine@
@to convert@|@tuub, tuubal@
@to convey@|@gungeé@
@to cook@|@rëndee, toog, tooga@
@to cool off@|@jeéri@
@to cough@|@sëqët, sëxat@
@to count@|@konte, lim, wañi ñi i, woññi@
@to court@|@doxaan@
@to cove oneself@|@saangu@
@to cover@|@biti, iir, muur, muur, muuril, saanga, ub@
@to cover the face@|@ngaaw@
@to crawl@|@raam@
@to crawl under@|@bóta, mbota@
@to create confusion@|@dëdale@
@to crumble@|@moxoñ@
@to cry@|@jooy@
@to cup one's chin@|@dégmu@
@to cure@|@faj@
@to cure oneself@|@faju@
@to curve@|@laaxa@
@to cut@|@Dagg, dog, dok, gaja, nama, xosi@
@to cut down@|@gor, kaja@
@to cutdown@|@jas@
@to cutr itself@|@watu@
@to dance@|@fecc, pooj@
@to dangle@|@langa@
@to dart@|@naangateku@
@to deceive@|@juum@
@to deco@|@mbool@
@to decrease@|@wañi@
@to defeat@|@Daan@
@to defecate@|@duul, puup@
@to deliver@|@jur, wosin@
@to deliver a mesage@|@éegee@
@to deliver a message@|@aagee, eegee@
@to delude@|@kolooj@
@to deprive@|@aayee@
@to descend@|@waaca, wacc@
@to desert@|@gaadaay@
@to destroy@|@kasaara, kasaara, yaaxa@
@to detach@|@yewwi@
@to dethrone@|@simi, sumi@
@to die@|@dee, faatu, saa@
@to digest@|@rees, reesal@
@to dilute@|@Njar@
@to dine@|@reer@
@to direct@|@jiite@
@to disappoint@|@lor@
@to discriminate@|@génaatle@
@to disgreed to counter@|@kontaar@
@to disregard@|@sofental@
@to distinguish@|@raañe@
@to divide@|@xaaj, xaaji@
@to do@|@def, waa@
@to down@|@raw@
@to doze@|@jinkoo@
@to drag@|@Daagu, watat@
@to draw@|@duy@
@to dream@|@genta@
@to dress@|@sol@
@to drink@|@naan@
@to drink from a bottle@|@jolu@
@to drip@|@siit, tooxa@
@to drive@|@dawal, kus@
@to drive away@|@daaxa@
@to drop@|@rot, wodda@
@to drown@|@lab, lap@
@to drum@|@sabar@
@to dwindle@|@rës@
@to dye@|@suub@
@to eat@|@Kojomtu, lekk, lumpa, muut@
@to eat lunch@|@añ@
@to eat slowly@|@ñimantalu@
@to elbow@|@cóñcó@
@to elect@|@fal@
@to empty@|@yuli@
@to enact@|@tëral@
@to encounter@|@daj@
@to encourage@|@gal-gal@
@to end@|@raj@
@to entangle@|@lëjal@
@to enter@|@dugg, dugga@
@to entertain@|@teral@
@to entertain a guest@|@ganale@
@to entrust under one's care@|@dénka@
@to erect@|@sampa@
@to escape@|@rëcca@
@to exaggerate@|@eppel@
@to exchange@|@wecci, wéecée@
@to excrete@|@gatal@
@to excuse@|@baal, baalal@
@to express condolence@|@jaale@
@to extinguish@|@fey@
@to extract@|@rooci, rucci@
@to fade@|@furi, yaabi@
@to faint@|@meéda, xóm@
@to fall@|@Daanu@
@to fall down@|@Daanu@
@to fall on one's face@|@muxa@
@to fall on someone@|@ñapaaxu@
@to fan@|@oopa@
@to farm@|@bëy@
@to fart@|@doxot, fusal@
@to fast@|@koor@
@to fatten an animal@|@duufal@
@to feed by force@|@xol@
@to feel@|@xeeñ@
@to fetch firewood@|@taxañ@
@to fetch water@|@root@
@to fight@|@xeex, xulóo@
@to file a complaint@|@kalaame@
@to fill@|@taabi@
@to filter@|@segg@
@to find@|@nekk@
@to finish@|@noppi@
@to fish@|@gét, napa, napp, nappa@
@to fit@|@xej@
@to fix@|@poose@
@to flick@|@wicax@
@to fly@|@naaw@
@to follow@|@sibooru, toopa, topp@
@to follow someone@|@toope@
@to forbid@|@tere@
@to force out lump in throat@|@xaxtandekku@
@to forget@|@faate, fatte@
@to frame@|@ów@
@to frighten@|@joomal@
@to fry@|@fiiriir, saaf@
@to garantee@|@garanti@
@to gather@|@Dajaloo, ras@
@to gather one1s havest@|@gar@
@to gather together@|@Dajaloo@
@to generate@|@jur@
@to get@|@jot@
@to get ready@|@waaj@
@to get the loincloth@|@woddu@
@to give@|@jox, may@
@to give advice@|@diggal@
@to give to@|@joxe@
@to glade@|@ñedda@
@to glorify oneself@|@baaku@
@to go@|@dem, taa@
@to go and collect@|@jëlli@
@to go back@|@deelu@
@to go fetch@|@indiji@
@to go home@|@ñibbi@
@to go on pilgrimage@|@aji@
@to go out@|@geéna@
@to go straight@|@jubal@
@to go straight ahead@|@talal@
@to go through@|@fóla@
@to go to bed@|@tëdda@
@to go to school@|@jangoro@
@to go together@|@aanda@
@to gobble@|@xaabu@
@to gossip@|@joow@
@to grain a fabric@|@fici@
@to graw@|@nget@
@to greet@|@nuyu@
@to grimace@|@gaññ, ngiin@
@to grimmace@|@giiñ, luci@
@to grind@|@nij@
@to grommace@|@ngoobi@
@to grope@|@laambaatu@
@to grow@|@mag@
@to grumble@|@xultu@
@to guard@|@garde@
@to hammer@|@marto@
@to hang@|@weer@
@to happen@|@jib, xew@
@to harvest@|@goob@
@to have@|@am@
@To have@|@Amko@
@to have a bond in agreement@|@digaale@
@to have a gap in memory@|@gag@
@to have a sprain@|@foxoju@
@to have measles@|@ngas@
@to have no regard@|@yabaate@
@to have no respect@|@yab@
@to have the nostalgy@|@namm@
@to head@|@ilif, jëm@
@to hear@|@déega, degg, juboo, moy@
@to heard over@|@jotali@
@to help@|@dimbale, dimbële, jaappale, xeetali@
@to hem@|@oomba@
@to hide@|@nëbb@
@to hint@|@gaaral@
@to hit@|@mboku@
@to hit on the back@|@rëkka@
@to hoe@|@ngoos-ngoosi@
@to hold@|@tiye, yor, yor, yore@
@to hold unto@|@jaappandeku@
@to hold up@|@taxaw@
@to hold water in one's mouth@|@guuj@
@to home@|@daral@
@to hug@|@lënga@
@to hunt@|@rëb, rëbba, robba@
@to hurry@|@Gaawantu@
@to hurt@|@gaañ@
@to hurt intensionally@|@gaañe@
@to illuminate@|@niit@
@to imitate@|@roy, toopandoor@
@to impede@|@naj@
@to implicate@|@moolu, ñaax@
@to impress someone@|@faaru@
@to increase@|@yóoku@
@to incubate@|@bóóf@
@to indicate@|@joxoñ, tektal@
@to inform@|@xamal@
@to inject@|@penku, pikiir@
@to insert@|@roof, sooti@
@to insult@|@tañca, waas@
@to interrogate@|@laaj@
@to intimidate@|@gësëm@
@to iron@|@fudda, paase@
@to is@|@be@
@to jerk@|@bippa@
@to joke@|@caaxaan, kaf@
@to joke with@|@foee, foyee@
@to judge@|@aatee, atte@
@to keep@|@deñc, deñca, log@
@to keep fast@|@oor@
@to kick@|@weexu, wexxa@
@to kill@|@bóóm, rey@
@to kiss@|@foon@
@to knock@|@fogga@
@to knock at the door@|@fëgg@
@to knock down@|@daanel@
@to know@|@xam@
@to lack@|@manke@
@to lake out@|@lokarbi@
@to land@|@dal, teer@
@to last@|@yagg@
@to laugh@|@kex-kexi, ree@
@to leap@|@soox@
@to learn@|@jang, janga, njang@
@to leave@|@baayi, dem, gennë, wocca, xiix@
@to leave a message for someone@|@baatale@
@to leave with@|@baayee@
@to lend@|@Abal@
@to lend out to someone@|@able@
@to lengthem@|@ñambaas@
@to lep@|@tëb, tob@
@to lick@|@mar@
@to lie@|@fen, nar@
@to lie down@|@tëdd@
@to lie flat on one's back@|@jaaxaan@
@to lift@|@dukat, ëkati, xaaci@
@to lift up@|@eñ@
@to lift up a garment@|@og@
@to light@|@taal@
@to lighten@|@oyofal@
@to like@|@nobe@
@to like love@|@nob@
@to limit@|@aapal@
@to listen@|@deglu@
@to live@|@dëkk, dëkka@
@to load@|@eb, sëf, sëf, sof, sof, sóf@
@to lock@|@soo@
@to look for@|@seet, wut, wuti@
@to look like@|@mel@
@to loose interest@|@yooxi@
@to lose@|@reéral@
@to lull@|@baambaane@
@to lunch at@|@añee@
@to make@|@def, defar@
@to make a face@|@gañaxu@
@to make a fist@|@danka@
@to make a hole@|@kopati@
@to make a knot@|@fas@
@to make a mistake@|@juum@
@to make clean@|@setal@
@to make pancake@|@beñe@
@to make the court@|@doxaan, ndoxaan@
@to mark@|@marlu@
@to mash@|@rigiñ@
@to massage@|@bós, damp, dampa, fuy@
@to masturbate@|@mbalu@
@to measure@|@natt, xayma@
@to meet@|@tase, tasee@
@to meet smth on the way@|@Dab@
@to meet with@|@dajee@
@to melt@|@seey, yooy@
@to memorise@|@tanka@
@to merit@|@eeloo@
@to mislead@|@juuwé, juwé@
@to miss an appointment@|@juuyoo@
@to miss someone@|@naama@
@to mix@|@bon, siim@
@to moan@|@onka@
@to motive@|@xiir@
@to nail@|@daaj@
@to name@|@tuddee@
@to narrate@|@netali@
@to negate@|@te@
@to obey@|@deggal@
@to obliged@|@war@
@to observe@|@seetlu@
@to obstruct to@|@dogandu@
@to offer@|@maye@
@to on duties@|@aye@
@to open@|@laanga-langaral, ubbi@
@to open one's eye@|@xippi@
@to open one's mouth@|@ngaang@
@to open the lips@|@siiñ@
@to operate@|@xar@
@to over power@|@noot@
@to owner@|@borom@
@to pack@|@pajale@
@to paint@|@pentuur@
@to park@|@gaare@
@to part@|@waala@
@to pass@|@romba, wees@
@to patch@|@gaar@
@to pay@|@fay@
@to peel@|@xolli, xooli@
@to peep over one's face@|@wedaañaamu@
@to peeping@|@yurndoo@
@to perforate@|@bónna@
@to pick a lock@|@jaabal@
@to pick up@|@fab, fob, seepi, sipi@
@to piece of music@|@galan@
@to pile@|@naaf@
@to pin@|@keppa@
@to pinch@|@dompat, tëcca, ticca@
@to place@|@laa, laa, laa, palaase, taaj, teg@
@to plaster a floor@|@dar@
@to plaster with cement@|@raax@
@to play@|@fo@
@to play love@|@kooca, koocax@
@to pluck@|@wita@
@to plunge@|@sóbu@
@to point@|@joxoñ@
@to poke@|@cuxuñ, ruux, subux@
@to poke one's forehead@|@pangas@
@to pound@|@wol@
@to pour@|@tuur@
@to pour slowly@|@xeeli@
@to praise@|@taga@
@to pray@|@julli, ñaan@
@to pray for@|@ñaanal@
@to preach@|@waar, waare@
@to precede@|@njêk@
@to prepare for@|@pareel@
@to prevent@|@fanxa, kal, tere@
@to prick@|@cuuc, cuut@
@to proceed@|@jiitu@
@to promise@|@dig@
@to promisse@|@dig@
@to prop@|@toñ@
@to protect@|@saama@
@to pull off from@|@fuxi@
@to pull out@|@loxati@
@to punch with the fist@|@këmëx@
@to push@|@puus@
@to put in front@|@jiital@
@to put out@|@kamaj, óf@
@to put to sleep@|@xomal@
@to quarrel@|@ngiiroo-ngaaroo@
@to quit@|@Bayyi@
@to rain@|@taw@
@to raise@|@jog, yëkkëti@
@to rape@|@yeketaan@
@to rare@|@yafal@
@to reach@|@eega@
@to reach one's limit@|@sës, teesal@
@to read syllable by syllable@|@ijji@
@to receive@|@deekali@
@to recognise@|@xaamaleku, xaamee@
@to recognize@|@neemeeku@
@to recorver from a faint@|@ximi@
@to recover from@|@ximaleku@
@to rectify@|@gaaganti@
@to reduce@|@waañi@
@to reduced@|@Talaata@
@to refuse@|@Bañ, gantu@
@to regret@|@reccu, reécu@
@to reject@|@geeda@
@to relieve@|@noppal@
@to remain@|@des@
@to remember@|@faateleku@
@to remove@|@dindi, laali, randal, teegi@
@to renounce@|@xaacee@
@to repeat@|@woxaat@
@to resemble@|@xelmati@
@to respect@|@fonka@
@to respond@|@wuyoo@
@to respond rudely@|@gédda, jaadi, jaani@
@to rest@|@noppaleku, noppalu@
@to restrain@|@xañ@
@to retaliate@|@fipu@
@to retract@|@weedi@
@to return@|@baakanti, deeloo, dellu, woñeeku@
@to return at home@|@ñibbi@
@to reverse@|@këpp@
@to ridicule@|@fontoo@
@to ring worm@|@gëgër@
@to rinse@|@yalandi@
@to rinse the mouth@|@galaxndeku@
@to ripen@|@rënxa@
@to roast@|@fuur@
@to roll@|@bóróñ, laxal@
@to rool on the ground@|@caadi-caadi@
@to rot@|@nëb, nób@
@to rub@|@raay, riib@
@to rub the eye@|@toxoñ@
@to rule@|@dogal, saytu@
@to run@|@bór-bóri, bori, daangi-daangi, daw@
@to run after@|@daaxe@
@to run helter skelter@|@dangi-dangi@
@to rush@|@Gaawantu@
@to salivate@|@yuut@
@to save@|@musal, musal, sutura, sutura, wollu, wollu, wolu@
@to say@|@ko, ko, ko, nel, nel, wax, wox@
@to say nothing about@|@noppi@
@to scatter@|@tasaare@
@to scoop@|@buub@
@to scramble@|@ngiiroo, njiiroo, njiiroó@
@to scrape@|@xoos@
@to scratch@|@esen, ooka, ooka, ookatu@
@to scrowl@|@ñangal@
@to scrub@|@ragga, sooca@
@to search@|@kisi-kisi, niit, ut@
@to search for@|@ut, wut@
@to see@|@gis, seet, xool@
@to see each other@|@gisee@
@to select@|@taanal@
@to sell@|@jaay@
@to send@|@ebal, kii, yonni@
@to send for someone@|@yoonée@
@to separate@|@taaiy@
@to set@|@way@
@to sew@|@ñaw@
@to shake@|@yëngal@
@to share@|@biti@
@to sharpen@|@les@
@to shave@|@ndel, nel, wat, wat, watu@
@to shed@|@ruus@
@to shelter@|@fat@
@to shine@|@melaxal@
@to shoe shine@|@siraas@
@to shop in the market@|@duggo@
@to shout@|@yuuxu@
@to shove@|@pomax@
@to show@|@wan, won@
@to show off@|@wonewu@
@to sift@|@seega@
@to sight@|@seén@
@to sing@|@woy@
@to sink@|@diig, suux@
@to sit@|@toog@
@to sit down@|@field@
@to skid@|@mbar, mbarateko@
@to skim@|@ooyi, ooyi, oy, oy@
@to slap@|@mbej@
@to slaughter@|@reendi@
@to sleep@|@nelaw@
@to sleep on floor@|@ndëstan@
@to sleeve@|@maas@
@to smear@|@dlw@
@to smell@|@xeeñ@
@to smell bad@|@xesew@
@to smoke@|@tux@
@to smother@|@moppa@
@to smuggle@|@rawal@
@to snatch@|@kóf, paka@
@to sneak@|@yooleeku@
@to sneeze@|@tisoóli, tissoli@
@to sniff@|@xeeñtu@
@to snival@|@ñisabu@
@to snore@|@xandoor@
@to solilogy@|@waxtu, woxtu@
@to soliloquise@|@woxtu@
@to sound@|@riir@
@to speak@|@laajte, laajte, laaka, wax, wox@
@to spend the day@|@endu, yendu@
@to spend the night@|@fanaan, fanaanal, fanaane@
@to spin@|@wondaal@
@to spit@|@tufli@
@to splash@|@tis@
@to splay one's legs open@|@ngaapeeku@
@to spread@|@firi, lal, law, raaca, roy@
@to sprinkle@|@suy, wis@
@to squat@|@jonkon@
@to squeeze@|@nal@
@to stain@|@gaaka-gaaka, taxa@
@to stammer@|@bar, dët@
@to stamp@|@ding-dingi, joggi@
@to stand@|@taxaw@
@to stare@|@xoole@
@to start@|@sañca@
@to start early@|@njëlu@
@to steal@|@njiin, njoof, saaca@
@to steam@|@muusal, tang@
@to step on something@|@dégaat@
@to stick@|@taf, tapa@
@to still have@|@dese@
@to stood@|@loota@
@to stop@|@tees@
@to straddle@|@war@
@to stretch@|@nooy@
@to stretch oneself@|@fuddu@
@to strike@|@gerew@
@to strike on the head@|@ong@
@to strike with backhand@|@bitiloxo@
@to stuff@|@ñuux@
@to stumble@|@fakatalu@
@to succeed@|@teeki@
@to suck@|@moca@
@to suckle@|@nampa@
@to support@|@attan@
@to surprise@|@jaaxal@
@to surround@|@sëm@
@to swallow@|@wana, warax, wona@
@to swear@|@giñ, waat@
@to sweat@|@ñaqq@
@to sweep@|@fita@
@to swim@|@noo@
@to swin@|@feey@
@to take@|@bii, bii, jël, yoóbu@
@to take a bite@|@ngapati, ngopati@
@to take a rest@|@fiixlu, nopalu@
@to take a small bit@|@compa@
@to take a walk@|@doxantu@
@to take abite@|@ngaañ@
@to take air@|@feexlu@
@to take care of@|@faj, toopatoo@
@to take charge@|@jiité@
@to take out@|@geénee@
@to take sides@|@faral, fétéé@
@to tan@|@wulli@
@to taste@|@mos, ñam@
@to teach@|@jangale@
@to tear@|@xooti@
@to tease@|@ñaawal, njoos, tooñ@
@to tell@|@nettali@
@to tell off@|@xas@
@to tend sheep@|@saami@
@to terminate@|@neef@
@to thank@|@Gërëm, ngëmande, sant, sant@
@to that@|@ne@
@to think@|@fog, foog, xalaat@
@to thread@|@nas@
@to thresh@|@baaca, lii@
@to throw@|@saani, sani, wal, wal, weng@
@to throw with fare@|@cooral@
@to tickle@|@raf@
@to tie@|@jënga, takka, waatiir@
@to tilt@|@moyal@
@to touch@|@laal, laamba, maa@
@to train@|@yar@
@to translate@|@tekki@
@to trap@|@tër@
@to travel@|@woyaas@
@to tremble@|@kar-kari, kar-kari, kof-koffi, lox@
@to trespass@|@tooñ@
@to trouble@|@tapaas@
@to trust@|@oólu@
@to try@|@jeem, koli-koli, kotor-koto@
@to turn@|@olbati, ruuj, xeelu@
@to turn a corner@|@jaada@
@to turn back@|@deppa, dóppa@
@to unbend@|@bijanti@
@to uncover@|@dipi, muuril@
@to undermine@|@ronu@
@to undress@|@futi, simmeeku@
@to unhook@|@aaji@
@to unload@|@eebi@
@to unstuff@|@ñuxi@
@to uproot@|@buddi, suxi@
@to upside down@|@juutal@
@to urinate@|@Gaanuwaay, saw, seben@
@to urinate on onself@|@sebenu@
@to vaccinate@|@ñakku, njënda, njënda@
@to veil@|@waal@
@to volumteer@|@waakirlu@
@to volunteer@|@walanteeru@
@to vomit@|@gala, wacu, wocu@
@to vote@|@wote@
@to wager@|@gase@
@to wait@|@neg, xaar@
@to wait for@|@gaapa, haar@
@to wake someone up@|@ee, yee@
@to wake up@|@yeewu@
@to walk@|@dox, leru, taama, taama, yuus-yaas@
@to walk fastly@|@farax-raxi@
@to walk quickly@|@waaxu@
@to walk very slow@|@Daagu@
@to walk with@|@doxee@
@to wander@|@wór, yaay@
@to want@|@Bes, bugga@
@to warm oneself@|@jaaru@
@to wash@|@laab, raxas, sanggu@
@to wash clothes@|@gumpa, guppa@
@to wash oneself@|@raxasu@
@to wash rice@|@sebet@
@to wash the face@|@sël6em@
@to watch@|@seetaan, xool@
@to water@|@roose, tanxa@
@to weave@|@raaba, rabb@
@to weigh@|@peese@
@to welcome@|@teertu@
@to wet@|@daas, gaas@
@to win@|@Daan@
@to wink@|@piis@
@to winnow@|@bees@
@to wipe@|@fomp, fompa, fómpu, ngeeteeku@
@to wish@|@Sunnu Buga Buga@
@to wish whole heartedly@|@éené@
@to witness@|@teewee@
@to work@|@ligeey, ligeéy@
@to work in afternoon@|@gontu@
@to worship@|@dagaan, jaamu@
@to wound@|@gaañ@
@to wrap@|@lomas@
@to wriggle@|@luux-luuxi@
@to wristle@|@wolis@
@to write@|@biir, biir, binda, fitaxu, rëdda@
@to yawn@|@bóóbali, obbëli, óbbëli@
@tobacco@|@poon@
@today@|@bii@
@Today@|@tey@
@toes@|@Barami Tanca@
@toilet@|@kama, wanag@
@toilet paper@|@ngeeteekukaay@
@toilets@|@Wanak@
@tomato paste@|@tomaate-loxati@
@tomatoes@|@tamaate@
@tomorrow@|@Elak, elak, ëllëk, suba, subba@
@Tomorrow@|@elaik@
@Tomorrow morning@|@Elak-ci-suba@
@tom-tom@|@tama@
@tongue@|@laameñ, lammiñ@
@Tonight@|@Tey-ci-gudi@
@too@|@it@
@too big@|@ep@
@tool@|@suti@
@tooth@|@begg, bóñ@
@tortoise@|@mbonaat@
@tourist@|@tooris@
@trader@|@jula@
@tradition@|@cosaan@
@train@|@otoraay, saxaar@
@Train@|@Ottorai@
@transaction@|@duggoo@
@translation@|@firndé@
@trash@|@mbalit@
@tree@|@Garab@
@tribe@|@firdu, xeet@
@trick@|@pexe@
@tripe@|@mbaaxa@
@trough@|@mbalka@
@trousers@|@tubey@
@truely@|@lënxa@
@try the most on can do@|@kem-kattan@
@tuesday@|@Taalata@
@Tuesday@|@Talaata@
@tuna@|@waxandor@
@Turkey@|@kóopin@
@turtle@|@nduumaar@
@twelve@|@fuka ak nyaar, fukk ak ñaar@
@Twelve@|@Fuka Nyaar@
@twenty@|@ñaar-fukk, nyaar fuka@
@twenty six@|@ñaar-fukk ak juróom-benn@
@twenty-one@|@nyaar fuka ak bena@
@Twenty-one@|@Nyaar-Fuka-Bena@
@twenty-two@|@Nyaar-Fuka-Nyaar@
@twilight@|@timis@
@two@|@ñaar, nyaar, yaar@
@type@|@fasong@
@ugly@|@ñaaw@
@umbilical cord@|@xuca@
@umbrella@|@palansoor, palasoor@
@uncle@|@nijaay@
@under@|@ron, suuf@
@under water@|@suwetmaa@
@underwear@|@genso, jiital@
@unit of currency@|@dalasi, dérém@
@united@|@donkaasi, mankoo@
@university@|@iniwersité@
@unsmooth@|@ñagas@
@unstuffed@|@ñuxti@
@until@|@be@
@until now@|@Batey@
@unwanted@|@lamba@
@up@|@kaw@
@Up@|@chi kow, kow@
@upside down@|@juutu@
@urgent@|@jamp@
@urine@|@saw@
@us@|@dañu, ñun@
@used for scrubbling@|@xiis@
@usual@|@meena@
@utility@|@njariñ@
@vaccinate@|@penku@
@vaccine@|@njënda@
@vagina@|@caapa, lëf@
@value@|@wulóor@
@van@|@waan@
@Vegetable@|@Leguum@
@vegetables@|@lëjum@
@Vegetarian@|@bu dul yapp@
@vehicle@|@moto, oto, woto@
@verb predicator 1st p.s.@|@dama@
@verenda@|@perong@
@verse in the Quran@|@saar@
@very@|@kak, këng, law, law, lew, lew, lool, set, tek, tek, torop@
@very black@|@kuk@
@very red@|@coy, cur@
@very solid@|@këcc@
@victory@|@ndam@
@village@|@dëkk@
@violin@|@riiti@
@voice@|@baat, bat@
@vulture@|@tan@
@waif@|@doxandéem@
@waist@|@ndigga@
@wait@|@nég@
@wake someone up@|@ee@
@walking@|@bañar-bañari@
@wall@|@maraaj@
@wall gecko@|@unka@
@war@|@xare@
@warrior@|@jambaar@
@washing pan@|@beñuwaar@
@wasp@|@nguri@
@water@|@ndoh, ndox@
@water container@|@ndaa, ndaal@
@water lilly@|@mbaapa@
@watermelon@|@beref@
@watery@|@ndoxe@
@waves@|@gandax@
@way of dress@|@colin@
@we@|@leñu, ñu, ñu, ñun, nyun, nyunn@
@we will@|@dineñu@
@weapon@|@gaanaay@
@weaver@|@raabakat@
@wedding@|@sëy@
@wedding ceremony@|@céét@
@wednesday@|@aalarba, aaralba@
@Wednesday@|@Alarba, Allarba@
@week@|@Bes Bu Aay@
@Week@|@bes bu eye@
@welcome@|@sarga, sërica@
@well@|@téen@
@west@|@sowu@
@wetness@|@tooyaay, tooye@
@whale@|@mbonkana@
