@English@|@Welsh@
@lover@|@carwr@
@loving@|@cariadus@
@low@|@isel@
@lower@|@yn is@
@lowest@|@isaf@
@lowland@|@bro, iseldir@
@loyal@|@cywir@
@luck@|@lwc@
@lucky@|@lwcus@
@lucrative@|@enillgar@
@lumpy@|@cnyciog@
@lunatic@|@lloerig@
@lunch@|@cinio@
@lust@|@gwy^n@
@luxuries@|@moethau@
@luxurious@|@yn foethus@
@lyric@|@telyneg@
@machine@|@peiriant@
@mackerel@|@macrell@
@mad@|@gorffwyll, gwallgof@
@magazine@|@cylchgrawn@
@magazines@|@cylchgronau@
@magic@|@dewindabaeth, dewiniaeth@
@magic wand@|@hudlath@
@magical@|@dewiniaidd@
@magician@|@dewin@
@magistrate@|@ustus@
@magnanimous@|@mawrfrydig@
@maid@|@morwyn@
@maiden@|@rhiain@
@main@|@prif, prif@
@maintain@|@cynnal@
@maintenance@|@cynhaliaeth@
@majestically@|@mawreddog@
@majority@|@mwyafrif, y rhan fwya@
@make@|@gwneud, gwneuthuriad@
@make a date@|@gwneud oed@
@make a mess@|@gwneud cawl@
@make famous@|@enwogi@
@make one's way@|@ymlwybro@
@make poor@|@tlodi@
@make sure@|@sichrau@
@maker@|@gwneuthurwr@
@making@|@gwneuthuriad@
@malice@|@malais@
@malicious@|@maleisus@
@man@|@dyn, gw^r@
@manager@|@rheolwr@
@mankind@|@dynoliaeth@
@manners@|@moesau@
@mansion@|@mansiwn, plasty@
@mantle@|@mantell@
@manure@|@gwrtaith, teilo@
@manuscript@|@llawsgrif@
@Manx@|@Manaweg@
@many@|@llawer, pw^er@
@March@|@Mawrth@
@mare@|@caseg@
@mark@|@nodi, olion@
@married@|@priod@
@marry@|@priodi@
@marsh@|@mign@
@marshland@|@corstir@
@martyr@|@merthyr@
@martyrdom@|@merthyrdod@
@masculine@|@gwrywaidd@
@masculinity@|@gwrywdod@
@mass media@|@cyfryngau torfol@
@master@|@meistroli@
@masterly@|@yn feistraidd@
@mat]@|@mat@
@match@|@matsh, matsien@
@material@|@defnydd, deunydd, materol@
@materialism@|@materoliaeth@
@mathematical@|@mathemategol@
@mathematician@|@mathemategwr@
@maths@|@mathemateg@
@matter@|@deunydd, mater, pwynt@
@mattock@|@caib, matog@
@mattress@|@matras@
@mature@|@aeddfed, aeddfedu, aeddfedu@
@May@|@mai@
@may God forgive you@|@Duw faddeuo iti@
@me@|@fi, i, i@
@mead@|@medd@
@meadow@|@dôl, gwaun@
@meal@|@pryd@
@mean@|@golygu@
@means@|@cyfrwng, modd@
@measure@|@mesur@
@meat@|@cig@
@mechanic@|@mecanyd@
@medal@|@tlws@
@mediate@|@cyfryngu@
@meditate@|@synfyfyrio@
@medium@|@cyfrwng@
@meekness@|@gwarder@
@meet@|@cwrdd â, cyfarfod â@
@meet with@|@cyfarfod ag@
@meeting@|@cyfarfod, dadlau@
@melody@|@peroriaeth@
@melt@|@toddi@
@member@|@aelod@
@members@|@aelodau@
@membership@|@aelodaeth@
@memorable@|@cofiadwy@
@memory@|@atgof, cof, cof@
@mend@|@gwella, mendio, trwsio@
@mental anguish@|@gwewyr meddwl@
@mention@|@crybwyll, sôn am@
@menu@|@arlwy, bwydlen@
@merchant@|@masnachwr@
@merit@|@haeddu, teilyngdod@
@merry@|@masw@
@mess@|@cawdel, galanas, llanast@
@message@|@neges@
@midday@|@hanner dydd@
@middle@|@canol@
@might@|@grym@
@mildew@|@llwydni@
@milk@|@llaeth@
@mill@|@melin@
@million@|@miliwn@
@mind@|@gwarchod@
@mint@|@mahtu@
@minute@|@munud@
@mirror@|@drych@
@miser@|@cybydd@
@miserable@|@ddiflas@
@misery@|@diflastod@
@misfortune@|@anffawd@
@miss@|@colli, methu@
@mist@|@tarth@
@mistake@|@camgymeriad@
@misty@|@niwliog@
@misunderstand@|@camddeall@
@misuse@|@camarfer@
@mixed@|@cymysg@
@mixture@|@cymsygedd@
@mode@|@dull@
@modern@|@diweddar@
@moisten@|@gwlychu@
@moisture@|@gwlybaniaeth, gwlybwr@
@molten@|@tawdd@
@moment@|@ennyd@
@Monday@|@Llun@
@money@|@arian, da, pres@
@monkey@|@simach@
@month@|@mis@
@moods@|@hwyliau@
@moor@|@rhos@
@moorland@|@rhostir@
@moral@|@moesol@
@morality@|@moes@
@more@|@rhagor@
@more intense@|@yn ddwysach@
@morning@|@bore@
@morose@|@dreng@
@most beautiful@|@hardda@
@most part@|@rhan helaeth@
@most sober@|@sobraf@
@mostly@|@gan amla, gan fwya@
@motivate@|@symbylu@
@motivation@|@cymhelliant@
@motives@|@cymhellion@
@mould@|@pridd@
@mountain@|@mynydd@
@mouth@|@ceg, mant, pen, safn@
@move@|@symud@
@movement@|@mudiad@
@much@|@yn fawr@
@mud@|@llaid@
@muddler@|@codlwr@
@mule@|@mul@
@mullet@|@hyrddyn@
@multi-storey@|@aml-lawr@
@mum@|@mam@
@mumble@|@mwmial@
@mumps@|@pensach@
@murder@|@llofruddiaeth@
@murderer@|@llofrudd@
@muscles@|@cyhyrau@
@museum@|@amgueddfa, amguedffa@
@music@|@cerddoriaeth, miwsig@
@must@|@rhaid@
@muzzle@|@pennor@
@myriad@|@myrdd@
@nail@|@ewin@
@naive@|@naif@
@name@|@enw, enw, enwi@
@namely@|@sef, sef@
@nape of the neck@|@gwar@
@narrator@|@adroddwr@
@narrow@|@cul@
@narrow-minded@|@cul@
@nation@|@cenedl@
@national@|@cenedlaethol@
@nationalist@|@cenedlaetholwr@
@nationalists@|@cenedlaetholwyr@
@native@|@brodor, cartrefig@
@natural@|@cynhenid@
@near@|@agos, ar bwys, ger@
@nearer@|@nes@
@nearly@|@bron, bron, bron â@
@necessary@|@anghenrheidiol, gofynnol@
@need@|@angen@
@needless@|@diachos@
@negative@|@nacol@
@neighbour@|@cymydog@
@neighbours@|@cymdogion@
@neither@|@na@
@neither before nor after@|@na chynt nac wedyn@
@nephews@|@neiod@
@nerve@|@nerf@
@nest@|@nyth@
@net@|@rhwyd@
@never again@|@byth eto@
@never mind@|@na hidiwch@
@nevertheless@|@serch hynny@
@new@|@newydd@
@news@|@newyddion@
@next@|@nesaf@
@next to nothing@|@nesaf peth@
@nicely@|@yn dwt@
@niece@|@nith@
@nieces@|@nithoedd@
@night@|@nos, noson@
@nightingale@|@eos@
@nightmare@|@hunllef@
@nimble@|@sionc, ysgut@
@nimbleness@|@sioncrwydd@
@nine@|@naw@
@nineteen@|@pedawr ar bymtheg@
@ninth@|@nawfed@
@ninty@|@nawdeg@
@no matter@|@dim gwahaniaeth@
@no one@|@neb@
@nobility@|@bonedd, boneddigion@
@noble@|@mawreddog, urddasol@
@nod@|@amnaid@
@noise@|@s^wn, trwst, trwyn, twrw@
@nominal@|@enwol@
@nominate@|@enwebu@
@nomination@|@enwad, enwebiad@
@nominative@|@enwol@
@nonesense@|@codl@
@nonsense@|@dwli, sothach, twt lol@
@north@|@gogledd@
@northener@|@gogleddwr@
@northern@|@gogleddol@
@nostrils@|@ffroenau@
@not much@|@dim gwerth@
@not only@|@nid yn unig@
@not to do@|@peidio, peidio@
@not yet@|@dim eto@
@note@|@nodi, nodiad, nodyn@
@notes@|@nodau@
@nothing@|@dim, dim byd@
@nothing better than@|@yn ddim amgen@
@notice@|@sylw, sylwi ar@
@notion@|@tybiant@
@noun@|@enw, enw@
@nourish@|@meithrin, meithrin@
@nourishing@|@maethlon@
@novel@|@nofel@
@November@|@Tachwedd@
@now@|@bellach, nawr, r^wan@
@now then@|@nawr 'te@
@nudge@|@pwnad, pwnio@
@nuisance@|@casbeth, llymbar@
@number@|@cyfrif, maint, nifer, rhif@
@numerous@|@cryn, niferus@
@nurse@|@mamaeth, nyrs@
@nursery@|@meithrin@
@nurture@|@magu@
@nuts@|@cnau@
@oak@|@derw@
@oak tree@|@derwen@
@oak trees@|@deri@
@oar@|@rhwyf@
@oath@|@llw@
@obedient@|@ufudd@
@obey@|@ufuddhau@
@object@|@diben@
@objectives@|@nodau@
@objector@|@gwrthwynebydd@
@obligation@|@dyled, rhwymedigaeth@
@oblige@|@gorfodi i@
@obliged to@|@dyledus@
@oblivion@|@angof@
@observant@|@craff@
@obvious@|@amlwg, eglur@
@obviously@|@yn amlwg@
@occasions@|@achlysuron@
@October@|@Hydref@
@odd@|@rhyfedd@
@of course@|@wrth gwrs, wrth reswm@
@of every kind@|@o bob math@
@of importance@|@o bwys@
@of no importance@|@o ddim pwys@
@of noble lineage@|@ucheldras@
@of spring@|@gwanwynol@
@off we go@|@i ffwrdd â ni@
@Offa's Dyke@|@Clawdd Offa@
@offend@|@tarfu@
@offer@|@cynnig, cynnig, taclau@
@offer to do@|@osio@
@office@|@swyddfa@
@official@|@swyddog, swyddogol@
@offspring@|@epil@
@often@|@yn aml@
@oil@|@olew@
@OK@|@gweddol@
@old@|@hen@
@old age@|@henaint, henoed@
@old man@|@henwr@
@old mansion@|@henllys@
@oldness@|@hender@
@old-womanish@|@gwrachiaidd@
@omit@|@hepgor@
@on@|@ar, ar, ymlaen@
@on any account@|@ar unrhyw gyfrif@
@on average@|@ar gyfartal@
@on both sides@|@o'r ddeutu@
@on his oath@|@ar ei lw@
@on the borders@|@ar gyrion, ar gyrion@
@on the edge of@|@ar fin@
@on the outskirts of@|@ar gyrion@
@on the point of@|@ar fin@
@on the point of starving@|@ar newynu@
@on top of@|@ar ben, ar ben@
@once@|@ar unwaith, unwaith@
@once in a while@|@bob hyn a hyn@
@one@|@un@
@one hundred and ten@|@can a deg@
@one needs@|@rhaid wrth@
@one to the other@|@y naill wrth y llall@
@only@|@dim ond, unig, yn unig@
@open@|@agor, agored@
@open wide@|@led y pen@
@opinion@|@barn, cyfrif@
@opportunities@|@cyfleusterau@
@opportunity@|@cyfle@
@opposite@|@gyferbyn â@
@opposition@|@gwrthwynebiad@
@opposition party@|@gwrthblaid@
@oppressive@|@llethol@
@or@|@neu@
@or not@|@ai peidio@
@or whether@|@ynteu@
@orange@|@oren@
@ordained@|@actiedig@
@order@|@archeb, archebu, cyfundrefn, cywair, gorchymyn, ordro, trefn, trefn, trefnu@
@orderly@|@trefnus, trefnus@
@ordinary@|@cyffredin@
@organ@|@ermyg@
@organis@|@cyfundrefnu@
@organised@|@trefnus@
@originality@|@gwreddioldeb@
@other@|@arall@
@otherwise@|@fel arall@
@our@|@ein@
@out of sight@|@o'r golwg@
@outlaw@|@herwr@
@outline@|@amlinellu@
@outside@|@allan, tu allan, tu fas@
@outside half@|@maswr@
@outskirts@|@ffiniau@
@oven@|@ffwrn, pobty, popty@
@over@|@dros, drossodd@
@over there@|@acw@
@overalls@|@ofyrôls@
@overcome@|@trechu@
@overseas@|@tramor@
@owl@|@tylluan@
@own@|@perchenogi@
@owner@|@perchen, perchennog@
@ox@|@bustach, ych@
@oyster@|@llymarch@
@pacifist@|@heddychwr@
@pack@|@pac, pacio@
@page@|@tudalen@
@pain@|@gwynio, loes, poen, poeni@
@painful@|@poenus, tost@
@painting@|@arlunio@
@palace@|@blas, palas@
@palce@|@man@
@pale@|@llwyd@
@palm of the hand@|@bos@
@palm trees@|@palmwydd@
@pamper@|@maldodi@
@pampering@|@maldod, moethau@
@paper@|@papur@
@paperback@|@clawr papur@
@paralysis@|@parlys@
@parchment@|@memrwn@
@parent@|@rhiant@
@parents@|@rhieni@
@park@|@parc@
@parlaiment@|@senedd@
@parliamentary@|@seneddol@
@parlours@|@parlyrau@
@parsley@|@persli@
@parsnips@|@pannas@
@part@|@rhan@
@particle@|@geiryn@
@particular@|@penodol@
@partner@|@partner@
@partnership@|@partneriaeth@
@pass@|@pasio@
@past@|@gorffennol, gorffenol, heibio i, wedi@
@pasture@|@porfa, poriant@
@pat@|@pratio@
@patch@|@clwt@
@patched@|@clytiog@
@patchy@|@bratiog, bylchog@
@path@|@llwybr@
@patience@|@amynedd@
@patient@|@amyneddgar, dioddefgar@
@patriotic@|@gwlatgar@
@patronage@|@nawdd@
@pattern@|@patrwm@
@patterns@|@patrymau@
@pause@|@saib@
@pay@|@talu@
@pay for@|@talu am@
@payment@|@tâl@
@peace@|@heddwch, llonydd@
@peace and quiet@|@distawrwydd, distawrwydd@
@peaceful@|@heddychlon@
@peas@|@pys@
@peat@|@mawn@
@peat bog@|@mawnog@
@pebble@|@gro@
@pedestrian@|@troediwr@
@penalty@|@cosb, cosb@
@penguin@|@pengwin@
@penny@|@ceiniog@
@people@|@pobl, pobol@
@pepper@|@pupur@
@perceive@|@canfod@
@percentage@|@canran@
@perch@|@draenogiad@
@perhaps@|@efallai, hwyrach@
@period@|@adeg, cyfnod, cyfnod@
@permission@|@caniatâd@
@perpetual@|@parhaol@
@perplexity@|@penbleth@
@persecution@|@erledigaeth@
@personal organiser@|@trefniadur@
@persuade@|@cymell, darbwyllo, perswadio@
@pertaining to Wales or the Welsh@|@Cymreig@
@petrified@|@stond@
@pheasant@|@ffesant@
@philosophy@|@athroniaeth@
@picnic@|@picnic@
@picture@|@darlun, llun@
@piece@|@darn, pisin@
@pierc@|@gwanu@
@pig@|@mochyn@
@pigeons@|@colomennod@
@pike@|@penhwyad@
@pillow@|@clustog, gobennydd@
@pink@|@pinc@
@pinnacles@|@pinaclau@
@pint@|@peint@
@pirate ship@|@herwlong@
@pit@|@pwll@
@pitchfork@|@picfforch@
@place@|@blas, dodi, lle, lle, safle, taro@
@plaice@|@lleden@
@plait@|@plethu@
@plan@|@amcan, amcan, cynllun@
@plant@|@planhigyn@
@plaster@|@plastr@
@plate@|@plât@
@platform@|@platfform@
@play for@|@chwarae am, chwarae dros@
@play tricks@|@chwarae triciau@
@player@|@chwaraewr@
@playful@|@cellweirus@
@plead@|@crefu@
@plead for@|@dadlau dros@
@pleasant@|@anniddan, hyfryd, hyfryd@
@please@|@os gwelwch yn dda@
@pleased@|@yn foddhaus@
@pleasure@|@pleser@
@plot@|@cynllun@
@plough@|@aredig@
@plums@|@eirin@
@plural@|@llusog@
@plywood@|@pren haenog@
@poach@|@herwhela@
@pocket@|@poced@
@pod@|@cod@
@poem@|@cerdd@
@poet@|@bardd@
@poetry@|@barddoniaeth@
@poets@|@beirdd@
@point@|@blaen, blaen, pwynt, pwynt@
@policeman@|@heddwas@
@polished@|@graenus@
@political@|@gwleidiadol, gwleidyddol@
@political party@|@plaid@
@politician@|@gwleidydd, gwleidyddwr@
@politics@|@gwleidiadaeth, gwleidyddiaeth@
@pony@|@merlyn@
@pool@|@pwll@
@poor@|@gwael, gwantan, tlawd@
@pope@|@pab@
@popular@|@poblogaidd@
@popularize@|@poblogeiddio@
@population@|@poblogaeth@
@pork@|@cig moch@
@porridge@|@uwd@
@port@|@porth, porthfa@
@porter@|@porthor@
@portion@|@cyfran, dogn@
@portray@|@portreadu@
@possessions@|@meddiannau@
@possible@|@posib, posibl@
@possibly@|@o bosib@
@post@|@postio, swydd@
@post office@|@swyddfa bost@
@postpone@|@gohirio@
@posture@|@ystum@
@potatoes@|@tatws@
@potential@|@potensial@
@pouch@|@cod@
@poultry@|@dofednod@
@pound@|@punt, pwys@
@pour@|@arllwys, goferu@
@pout@|@pwdu@
@poverty@|@tlodi@
@powder@|@powdr@
@powe@|@pw^er@
@power@|@nerth@
@powerful@|@cadarn, grymus@
@practise@|@ymarfer@
@praise@|@canmol, mawl, mawlhau@
@prank@|@pranc@
@prawn@|@corgimwch@
@pray@|@erfyn@
@pray to@|@gweddïo ar@
@pray unto@|@gweddio ar@
@prayer@|@awr, erfyniad@
@preach@|@pregethu@
@precious@|@drud, gwerthfawr@
@precipice@|@dibyn@
@preface@|@rhagair, rhaglith@
@prefer@|@gwell gan@
@preference@|@blaenoriaeth@
@prefix@|@rhagddodiad@
@prejudice@|@rhagfarn@
@prelacy@|@preladiaeth@
@prelate@|@prelad@
@preparation@|@darpariaeth@
@prepare@|@darparu, paratoi@
@preparers@|@darparwyr@
@preposition@|@arddodiad@
@presence@|@presenoldeb@
@present@|@anrheg, cynrychiol, presennol, present@
@presentation@|@cyflwyniad@
@presently@|@maes o law, yn y man@
@president@|@llywydd@
@press@|@gwasg@
@pressure@|@pwysedd@
@pretend@|@cymryd ar@
@pretext@|@esgus@
@prevent@|@atal@
@price@|@prid, pris@
@pricipal@|@pennaf@
@prickle@|@draen@
@pride@|@balchder@
@priest@|@offeiriad@
@primary@|@cynradd@
@primary school@|@ysgol gynnradd@
@primeval@|@cynoesol@
@prince@|@tywysog@
@princess@|@tywysoges@
@principles@|@egwyddorion@
@print@|@argraffu@
@printer@|@argraffwr, argraffydd@
@prison@|@carchar@
@prisoner@|@carcharor@
@private@|@preifat@
@privilege@|@braint@
@prize@|@gwobr@
@probable@|@tebygol@
@probably@|@mae´n debyg@
@problem@|@problem@
@problems@|@problemau, trafferth@
@process@|@proses@
@procreate@|@cenhedlu@
@procreation@|@epiliad@
@produce@|@cynhyrchu, cynnyrch@
@production@|@epiliad@
@productive@|@cyndfawr, cyndiol@
@profession@|@galwad@
@professional@|@galwedigaethol@
@professor@|@proffeswr@
@proficiency@|@hyfedredd@
@profit@|@elw, elwa, ennill, proffid, proffidio@
@profitable@|@proffidiol@
@programme@|@rhaglen@
@progress@|@cynnydd@
@prolific@|@epilgar@
@prominent@|@blaengar@
@promise@|@addewid, addo@
@promising@|@addawol@
@pronoun@|@rhagenw@
@pronounce@|@yngannu, ynganu@
@proofs@|@profion@
@proper place@|@priod le@
@property@|@eiddo@
@proposal@|@cynigiad@
@propose@|@cynnig@
@prosecutor@|@erlynydd@
@prosperous@|@llewyrchus@
@prostitute@|@putain@
@protect@|@amddiffyn rhag, noddi@
@protest@|@gwrthdystiad@
@proud@|@balch@
@provoke@|@pryfocio@
@provoking@|@pryfôc@
@prowler@|@herwr@
@prudent@|@pwyllog@
@psychological@|@seicolegol@
@psychology@|@seicoleg@
@pub@|@tafarn@
@public@|@cyhoedd, cyhoeddus@
@publicity@|@cyhoeddusrwydd@
@publish@|@cyhoeddi@
@publishr@|@cyhoeddwyr@
@pull@|@tynnu, tynnu@
@pullover@|@pwlofer@
@punch@|@pwnio@
@punctual@|@prydlon@
@punish@|@cosbi@
@punishment@|@cosb, cosbedigaeth@
@punitive@|@cosbol@
@pupils@|@disgyblion@
@purchase@|@pryniad@
@pure@|@coeth, coeth, diledryw, pur@
@purest@|@glanaf@
@purgatory@|@purdan@
@purity@|@puredd@
@purple@|@cochlas@
@purpose@|@amcan, arfaeth, bwriad, diben@
@purr@|@canu grwndi@
@purse@|@pwrs@
@pursue@|@erlyn@
@push@|@hergwd@
@put@|@dodi, dodi, rhoi, taro@
@put up with@|@dygymod@
@quail@|@sofliar@
@qualification@|@cymhwyster@
@quality@|@ansawdd@
@quarrel@|@ffrae, ffraeo@
@quarter@|@chwarter@
@queen@|@brenhines@
@question@|@cwestiwn, gofyniad@
@question mark@|@holnod@
@quick@|@cyflym, esgud, ysgut@
@quiet@|@tawel, tawel, tawelwch@
@quietness@|@llonydd@
@quite@|@eithaf@
@quite a lot@|@cryn tipyn@
@quite a variety of@|@cryn amrywiaeth@
@quite heavily@|@yn drwm@
@quite profitable@|@pur broffidiol@
@quivering@|@cryndod@
@quota@|@cyfran@
@quotation@|@dyfyniad@
@rabbit@|@cwingen@
@race@|@hil, ras, rhedegfa@
@racial@|@hiliol@
@racist@|@hiliwr@
@rack@|@rhac@
@racket@|@mwstwr, raced@
@radar@|@radar@
@radical@|@gwreiddiol, rhyddfrydol@
@radio@|@radio@
@radioactive@|@ymbelydrol@
@radioactivity@|@ymbelydredd@
@radish@|@rhuddygl@
@radius@|@radiws@
@raffle@|@raffl@
@raft@|@rafft@
@rag@|@rhecsyn@
@rage@|@dicter, ffyrnigo@
@rags@|@rhacs@
@raid@|@herw, herwa@
@railway@|@rheilffordd@
@rain@|@glaw@
@rainy@|@glawog, gwlybyrog@
@raisin@|@rhesin@
@rake@|@rhaca, rhacanu@
@ram@|@maharen@
@rank@|@safle@
@ransom@|@pridwerth@
@rape@|@trais, treisio@
@rascals@|@taclau@
@rate@|@cyfradd@
@rate of interest@|@cyfradd llog@
@rather@|@yn hytrach@
@rather than@|@yn hytrach na@
@ration@|@dogni@
@rattle@|@clecian, rhuglo@
@raven@|@brân, brân@
@ravine@|@ceunant@
@reach@|@cyrraedd, hercyd@
@react@|@adweithio@
@read@|@darllen@
@ready@|@parod@
@realise@|@sylweddoli@
@really@|@wir@
@reason@|@rheswm@
@reasonable@|@rhesymol@
@rebellion@|@gwrthryfel@
@rebellious@|@gwrthnysig, gwrthryfelgar@
@rebound@|@adlam@
@recede@|@cilio@
@receipt@|@rysait@
@receive@|@derbyn@
@receiver@|@derbynnydd@
@recite@|@adrodd, adrodd@
@recite to@|@adrodd wrth@
@reckoning@|@cyfrifiad@
@recognise@|@adnabu, cydnabod@
@recognize@|@adnabod@
@recommend@|@argymell, cymeradwyo@
@reconcile@|@cymodi@
@record@|@cofnodi, cofnodi@
@recovery@|@adferiad@
@red@|@coch@
@redden@|@cochi@
@re-employ@|@ail-gyflogi@
@refer@|@cyfeirio@
@refer to@|@cyfeirio at@
@reference@|@crybwyll@
@reflect@|@adlewyrchu@
@reflection@|@adlewyrchiad@
@refrain from@|@peidio ag@
@refuse@|@gomedd@
@region@|@bro@
@register@|@cofnodi, cofnodi, cofrestr, cofrestrcywair, cofrestru@
@registrar@|@cofrestrydd@
@regrettably@|@ysywaeth@
@regular@|@cyson, cyson@
@reinforce@|@atgyfnerthu@
@reinforcing@|@atgyfnerthol@
@relate@|@adrodd, adrodd, adrodd wrth@
@relationship@|@perthynas@
@release@|@gollwng, rhyddhau@
@relevant@|@perthnasol@
@relief@|@rhyddhad@
@religion@|@crefydd@
@remainder@|@gweddill@
@remaining@|@ar ôl, ar ôl@
@remarkable@|@hynod@
@remember@|@cofio@
@remember about@|@cofio am@
@remember to@|@cofio at@
@remembrance@|@cof, cof@
@reminiscent@|@atgofus@
@renounce@|@ymwadu@
@rent@|@rhentu@
@repeat@|@ailadrodd@
@repent@|@edifaru@
@repentance@|@edifeirwch@
@report@|@adroddiad, hanes, hanes@
@represent@|@cynrychioli@
@representation@|@cynrychiolaeth, cynrychioliad@
@representatives@|@cynrychiolwyr@
@reprimand@|@cerydd, ceryddu@
@reproach@|@testun@
@request@|@gofyn i@
@research@|@ymchwil@
@resemble@|@tebygu@
@reserved seat@|@sedd gadw@
@residential@|@preswyl, preswyl@
@resolved@|@penderfynol@
@resources@|@adnoddau@
@resourcesresources@|@adnoddau@
@respect@|@parch@
@respectful@|@parchus@
@responsibility@|@cyfrifoldeb@
@responsible@|@cyfrifol@
@rest@|@gorffwys@
@restaurant@|@t^y bwyta@
@restless@|@aflonydd@
@restlessness@|@anesmwythyd@
@restrain@|@ymatal@
@result@|@canylniad@
@results@|@canlyniadau@
@retreat from@|@cilio rhag@
@return@|@adfer, ymchwel@
@revelation@|@datgudd@
@review@|@adolygu@
@revise@|@adolygu@
@revive@|@adfywio@
@revolution@|@atchwyl, chwyldro@
@revolutionary@|@chwyldroadol@
@reward@|@gwobr, gwobrwyo@
@rewarder@|@gwobrwywr@
@rheumatism@|@crydcymalau@
@rhyme@|@odli@
@rib@|@asen@
@rich@|@bras, bras, cefnog, codog, cyfoethog@
@rick@|@tas@
@riddle@|@pos@
@ride@|@marchogaeth@
@ridge@|@esgair@
@right@|@hawl, y dde@
@rim@|@cantal@
@ringed@|@dolennog@
@rinse@|@strelio@
@ripe@|@aeddfed@
@ripen@|@aeddfedu@
@rise@|@codi, codi, codiad@
@rising@|@codiad@
@river@|@afon@
@river bank@|@torlan@
@road@|@ffordd, heol@
@roar@|@rhuo@
@roast@|@crasu@
@robber@|@herwr@
@rock music@|@cerddoriaeth roc@
@roll@|@corn, powlio@
@Roman Catholic@|@pabydd@
@romance@|@rhamant@
@roof@|@to@
@room@|@stafell@
@root@|@gwreiddio, gwreiddyn@
@rooted@|@gwreiddiol@
@roots@|@gwraidd@
@rope@|@rhaff@
@rose@|@rhosyn@
@rosy-cheeked@|@gwridog@
@rot@|@malltod, mallu, pydru@
@rough@|@anesmwyth, bras, cras@
@round@|@crwn@
@rove@|@herwa@
@row@|@rhes@
@royal palace@|@brenhindy@
@rub@|@rhwbio@
@rubbish@|@sothach@
@rude@|@di-foes@
@rugby@|@rygbi@
@ruin@|@adfail, difwyno@
@ruins@|@adfeilion@
@rule@|@dosbarth@
@ruler@|@llyw@
@rumour@|@sôn@
@run@|@rhedeg@
@run to@|@rhedeg at@
@runner@|@rhedwr@
@rush@|@rhuthro@
@rushes@|@pabwyr@
@Russian@|@Rwsiad, Rwsieg@
@rust@|@rhwd@
@sacrifice@|@aberth, aberthu@
@sad@|@prudd, trist@
@safe@|@diogel@
@said@|@meddai@
@sail@|@hwylio@
@sailor@|@morwr@
@sale@|@gwerthiant@
@salmon@|@eog, gleisiad, samwn@
@salt@|@halen@
@sanctuary@|@lloches@
@sand@|@tywod@
@Santa Claus@|@Siôn Corn@
@satelite@|@lloeren@
@satellite dish@|@soser lloeren@
@satisfied@|@bodlon, wedi bodloni@
@satisfy@|@diwallu@
@Saturday@|@dydd Sadwrn@
@sausage@|@selsig@
@save@|@achub, arbed@
@save from@|@cadw rhag@
@say@|@dweud@
@say grace@|@gofyn bendith@
@says@|@meddai@
@scales@|@clorian@
@scarcely@|@prin@
@scare@|@tarfu@
@scarecrow@|@bwgan brain@
@scatter@|@tarfu@
@scented@|@aroglus@
@scents@|@arogleuon@
@scheme@|@cynllun, dull@
@scholar@|@ysgolhaig@
@scholarship@|@ysgoloriaeth@
@school@|@ysgol, ysgol@
@scold@|@dwrdio@
@score@|@sgôr@
@scorn@|@dirmyg, dirmyg@
@Scot@|@Albanes, Albanwr@
@Scots Gaelic@|@Gaeleg yr Alban@
@scotswoman@|@Albanes@
@scraps@|@manion@
@screw@|@sgriw@
@sea@|@môr@
@seal@|@morlo, selio@
@seamstress@|@gwniadwraig, gwniadyddes@
@search@|@ymchwil@
@search for@|@chwilio am@
@season@|@tymor@
@second@|@ail@
@second class@|@eilradd@
@second hand@|@ail law@
@second-hand@|@ail-law@
@secret@|@cyfrinach@
@secretary@|@sgrifenyddes@
@sectarian@|@enwadol@
@sectarianism@|@enwadaeth@
@section@|@adran@
@sections@|@adrannau@
@security@|@gwarant@
@see@|@gweld@
@seed@|@had@
@seek@|@ceisio@
@seek or marry a husband@|@gwra@
@seek or marry a wife@|@gwreica@
@select@|@dewis@
@self esteem@|@hunanbarch@
@selfish@|@hunanol@
@self-possession@|@hunanfeddiant@
@sell@|@gwerthu@
@send@|@anfon, danfon@
@send to@|@anfon at, danfon at, hala at@
@sensation@|@teimlad@
@sense@|@synhwyro@
@sensible@|@call, synhwyrol@
@separate@|@ar wahân, gwahanu@
@series@|@cyfres@
@serious@|@difrifol@
@seriousness@|@difrifwch@
@sermon@|@pregeth@
@servant@|@gwas@
@servile@|@gwasaidd@
@set on fire@|@goddeithio@
@set out@|@cychwy@
@setting@|@lleoliad@
@settlers@|@gwladychwyr@
@seven@|@saith@
@seventeen@|@dau ar bymtheg@
@seventh@|@seithfed@
@seventy@|@saithdeg@
@several@|@amryw@
@several times@|@droeon@
@severely@|@yn llym@
@sew@|@gwnio@
@sewing@|@gwniad@
@sex@|@rhyw@
@shake@|@crynu@
@shake off@|@ymysgwyd@
@shallow@|@bas@
@shame@|@cywilydd, gwaradwydd, gwaradyddo@
@shape@|@ffurf@
@shapely@|@lluniaidd@
@share@|@cyfran, dogn, rhannu, siâr@
@shark@|@morgi, siarc@
@sharp@|@miniog@
@sharpen@|@hogi@
@shatter@|@chwalu, dryllio@
@shattered@|@deilchion@
@shave@|@siafio@
@she her@|@hi@
@sheep@|@dafad@
@shelf@|@silff@
@shelter@|@cysgodi, noddi@
@sherrif@|@siryf@
@shield@|@tarian@
@shilling@|@swllt@
@shine@|@sglein@
