@English@|@Tamil@
@Pinch@|@Chuļļu@
@Pink@|@Rōjāvarńa@
@Pintail@|@Markaliyan@
@Pipit@|@Nettaikali, Pulkuruvi, Pulla Purake@
@Pisces@|@Mīnarāsi (S)@
@Pistachio@|@Pisthā Paruppu@
@Place@|@Idam, Ūr@
@Plaintain@|@Vāłakkāy, Vāłappałam@
@Planet@|@Kōńmīn@
@Plant@|@Chedi@
@Plate@|@Thattu@
@Platform@|@Thińńai@
@Play@|@Vilayādal, Vilayāttu@
@Playing Cards@|@Chīttu@
@Pleiades@|@Āŗāmīn, Kiruththikkā (S)@
@plenty@|@Adhigam@
@Plover@|@Kottan@
@Plural suffix@|@-gaļ@
@Poem@|@Kāviyam (S)@
@Poet@|@Kavignar (S)@
@Poetry@|@Kāviyam (S)@
@Poets' Assembly@|@Sangam@
@Poison@|@Visham (S)@
@Pole@|@Kōl@
@Pole Star@|@Dhuruva Natchaththiram (S)@
@Police@|@Kāval@
@Political Party@|@Kałagam@
@Politician@|@Arasiyavādhi@
@Politics@|@Arasiyal@
@Pomfret (Stromateus paru)@|@Vavvālmīn@
@Pond@|@Kuļam@
@Pond Fish@|@Kuļamīn@
@Pond Heron@|@Kuļathukkokku@
@Pongal Festival@|@Thaippongal@
@Poor@|@Ēłai@
@Population@|@Janathogai@
@Porcupine@|@Muļļampanŗi@
@Porpoise@|@Kołumīn@
@Port@|@Patnam@
@Possible@|@Mudiyum@
@Post@|@Anchal, Thabāļ (S)@
@Post Office@|@Thabāl Nilayam@
@Postbox@|@Thabāļpetti@
@Postcard@|@Anjal Attai, Thabāļ Attai@
@Pot@|@Chatti@
@Potato@|@Uruļankiłangu@
@Powder@|@Thūļ@
@Power Of Speech@|@Vāypētchu@
@Praise@|@Pugał, Vāłththu@
@Praise of God@|@Thiruppugał@
@Praised@|@Pugałndha@
@Prefix for Lower@|@Kił-@
@Prefix for Upper@|@Mēl-@
@Pregnancy@|@Pirasavam (S)@
@Pregnant (Informal)@|@Garbbam (S)@
@Premier@|@Piradhamar@
@Present@|@Anbadippu@
@Present Tense@|@Edhirkālam@
@President@|@Janādhipadhi (S)@
@President of assembly@|@Vaikō@
@President of Assembly@|@Sabāpadhi (S)@
@Presiding Star of a Family@|@Kulamīn@
@Prestige@|@Gauravam (S)@
@Price Rise@|@Vilaiyēŗŗam@
@Pride@|@Gauravam, Perumai, Rōsham (S)@
@Priest@|@Pattar (S)@
@Prime Minister@|@Piradhamar@
@Prince@|@Kō@
@Prisoner@|@Kaidhi (S)@
@Privilege@|@Urimai@
@Prize@|@Parisu (E)@
@Procedure@|@Muŗai@
@Profession@|@Thołiļ, Thoyiļ@
@Professional@|@Thoyiļāļi@
@Professor@|@Āsiriyar@
@Programme (On Television)@|@Nigałchi@
@Progress@|@Munēŗŗam, Munnēŗŗam@
@Promise@|@Saththiyam (S)@
@Properly@|@Sariyāga@
@Proprietor@|@Mudhalāļi, Yajamān (S)@
@Proprietress@|@Yajamāni (S)@
@Prosperity@|@Aisvariyam (S)@
@Prostitute@|@Vibachāri (S)@
@Prostitution@|@Vibachāram (S)@
@Protest@|@Pōrādam@
@Proverb@|@Pałamołi@
@Province@|@Mānilam@
@Public@|@Makkaļ@
@Pulp@|@Chakkai@
@Pulses@|@Paŗuppu@
@Pumpkin@|@Pūshinikkāy, Pūshnikāy@
@Puppy@|@Nāykutti@
@Purana@|@Pūrāńam@
@Purity@|@Aruļ@
@Purple Heron@|@Periya Veļļai Kokku@
@Purple Sunbird@|@Thēnkudi@
@Purple-black Flatfish (Psettodes erumier)@|@Nākkumīn@
@Purple-glossed Golden Herring (Pellona brachysoma)@|@Kuttuvāmīn@
@Purple-red Seafish (Upeneus indicus)@|@Mańalaimmīn@
@Purvashadha@|@Murkuļamīn, Udaikuļamīn@
@Python@|@Malaippāmbu@
@Quail@|@Kadai@
@Quarter@|@Kāl@
@Queen@|@Arasi, Rāńi@
@Question@|@Keļvi@
@Queue@|@Varisai@
@Quickly@|@Chīkkiram, Vēgamā@
@R as in 'R'ubble@|@R@
@Rabbit@|@Moyal@
@Racket-tailed Drongo@|@Końdai Karichan@
@Raga@|@Rāgam (S)@
@Rail@|@Irayil, Kanan Kōłi@
@Railway@|@Irayil@
@Rain@|@Małai@
@Rapid@|@Avasara@
@Rat@|@Elī@
@Ratel@|@Tharaikkaradi@
@Raven@|@Ańdankākkai@
@Raw Banana@|@Vāłakkāy@
@Raw Fruit@|@Kāy@
@Raw Mango@|@Māngāy@
@Readily@|@Thayārā@
@Ready@|@Thayār (S), Thayārāga@
@Realm@|@Mańdalam (S)@
@Reason@|@Kārańam (S)@
@Receipt@|@Rasīthu (E)@
@Red@|@Chigappu@
@Red Mullet (Upeneoides sulphurens)@|@Navarai@
@Red Spurfowl@|@Sarava Kōłi@
@Red Wasp (Ropalidia)@|@Chengkoļavi@
@Redshank@|@Chegappu Kāl Uļļan@
@Redwinged Crested Cuckoo@|@Końdai Kuyil@
@Reed Warbler@|@Kosu Kattai, Nunni Chirai@
@Reef Heron@|@Kaŗaikkokku@
@Rehearsal@|@Oththigai@
@Reign@|@Ātchi@
@Relationship@|@Uravu@
@Relative@|@Uravukkāran@
@Religious Observance by Women@|@Nōmbu@
@Remembrance@|@Nińaivu@
@Renaissance@|@Marumaļarchi@
@Renowned@|@Prabala (S), Pugałpeŗŗa@
@Rent@|@Vādagai@
@Republic@|@Kudiyarasu@
@Research@|@Ārāychi@
@Resident of Kerala@|@Malayāļi@
@Respects@|@Mariyādhai (S)@
@Responsibilty@|@Akkarai@
@Retroflex L@|@Ļ@
@Retroflex N@|@Ń@
@Revathi@|@Kadaimīn@
@Reverend@|@Aruļmīgu@
@Revolution@|@Puratchi@
@Rhinoceros@|@Kāńdāmirugam (S)@
@Rice@|@Amudham (S), Arisi@
@Rice Harvest Festival@|@Pongal@
@Rice Noodles@|@Sēvai@
@Rich Person@|@Pańakkāran@
@Rickshaw Driver@|@Ritchākkāran@
@Ride@|@Savāri (S)@
@Rifle-green Climbing Fish (Anabas scandens)@|@Pańaimīn@
@Rifle-green Freshwater Fish (Polyacanthus cupanus)@|@Pańaimīn@
@Right@|@Urimai@
@Ring@|@Mōdhiram@
@Ring Dove@|@Kalli Purā@
@Riot@|@Amarkaļam, Kaļavaram@
@Ripe Banana@|@Vāłappałam@
@Ripe Mango@|@Māmbałam@
@Rising octave@|@Ārōhanam (S)@
@River@|@Āŗ, Nadhi (S)@
@River Fish@|@Āŗŗumīn@
@River of Milk@|@Pālāŗ@
@Riverside@|@Āthankarai@
@Road@|@Sālai@
@Roasted@|@Chutta@
@Robber@|@Kaļļan@
@Robbery@|@Kaļļai@
@Rock@|@Kallu, Pāŗai@
@Rock Bush Quail@|@Chinna Kadai@
@Rohini@|@Aimmīn, Vayamīn@
@Rohu (Labeo rohita)@|@Rōgidhamīn@
@Role@|@Pangu@
@Roller@|@Kāttukkadei, Pal Kuruvi@
@Roof@|@Mēy@
@Room@|@Aŗai@
@Root@|@Vēr@
@Root vegetable@|@Kałangu@
@Rose@|@Rōjā (E)@
@Rose Seafish (Priacanthus holocentrum)@|@Pachuvamīn@
@Rosy Pastor@|@Chōļam Kuruvi, Surai Kuruvi@
@Route@|@Vałi@
@Row@|@Pandhi@
@Rowdy@|@Porukki@
@Rufousbacked Shrike@|@Pēy Kuruvi@
@Ruin@|@Mōsam@
@Ruined@|@Nāsam Āga@
@Rule@|@Ātchi@
@Running@|@Ōttam@
@Running Race@|@Ōtta Pandhayam@
@Rupee@|@Rupāy@
@Rural Areas@|@Pattikādu@
@S as in 'S'ilver@|@S (Borrowed Letter)@
@Sack@|@Chākku (E), Mūttai@
@sacred text@|@Nannūl@
@Sacred Thread@|@Pūńal@
@Sacred Thread Ceremony@|@Upanayanam (S)@
@Sadness@|@Dhukkam (S)@
@Sagittarius@|@Dhanurāsi (S)@
@Sail-fish (Histiophorus gladius)@|@Mayilmīn@
@Saivite Poet-saint@|@Nāyanār, Nāyanmār@
@Salary@|@Chambaļam@
@Salmon@|@Edhirmīn@
@Salt@|@Uppu@
@Salt Water Fish@|@Kałimīn@
@Salty@|@Uppāna@
@Sambar@|@Kādumān@
@Sambhar@|@Kułambu@
@Sand@|@Mańal@
@Sandgrouse@|@Kal Koudari@
@Sandpiper@|@Kottan@
@Sanskrit or other North Indian Loan Word@|@(S)@
@Sapling@|@Nāttu@
@Sapphire@|@Nīlam@
@Saree@|@Pudavai, Sēlai@
@Sarsaparilla@|@Nannāri@
@Satellite@|@Upagiraham (S)@
@Satisfaction@|@Sandhōsham (S)@
@Saturday@|@Chańi (S), Chańikkiłamai@
@Saturn@|@Chańi (S), Maimmīn@
@Savage@|@Kāttumirāńdi@
@Scarlet Minivet@|@Māmbałakuruvi@
@Scheme@|@Yōjanai (S)@
@Scholar@|@Arignar, Pulavar, Vādhyār (S)@
@School@|@Pallikūdam@
@Scissors@|@Kaththirikōl@
@Scops Owl/Owlet@|@Chinna Āńdai@
@Scorpio@|@Viruchchikarāsi (S)@
@Scorpion@|@Thēļ@
@Screen@|@Thiŗai, Thirai@
@Screw@|@Thirugu@
@Sea@|@Kadal@
@Sea Coast@|@Kadarkkarai@
@Sea-Cow@|@Kadalpanŗi@
@Season@|@Kālam (S)@
@Second@|@Ireńdām, Kshańam (S)@
@Second Tamil Month@|@Vaikasi@
@Secret@|@Marumam, Ragasiyam (S)@
@Secretary@|@Cheyalāļar@
@Seed@|@Kottai@
@Seer (Indian Weight Measure)@|@Padi@
@Seerfish (Cybium commersonnii)@|@Aŗakkuļāmīn@
@Self@|@Thān@
@Sensation@|@Paŗapaŗappu@
@Sentence@|@Vaŗi@
@Sentiments@|@Uńarchchi@
@Separation@|@Piraivu@
@Sequence@|@Varisai@
@Serial@|@Thodarkadhai@
@Service@|@Sēvai@
@Servitor@|@Adiyāļi@
@Settlement@|@Paļļi, Pālayam@
@Seven@|@Ēłu@
@Seventh Tamil Month@|@Aippāsi@
@Seventy@|@Ełupadhu@
@Severe@|@Kadu@
@Sewing@|@Theyal, Theyyil@
@Sh as in 'Sh'op@|@Sh (Borrowed Letter)@
@Shade@|@Niłaļ@
@Shaivite Brahmin Caste@|@Aiyyar@
@Shame@|@Vetkam@
@Share@|@Pangu@
@Shark@|@Chuŗā, Kadumīn, Kottumīn, Makaramīn@
@Sharpness@|@Kadi@
@She@|@Avaļ@
@She-@|@Peń-@
@She (Emphatic)@|@Avaļdhān@
@She Also@|@Avaļum@
@She by Herself@|@Avaļē@
@She Will Not@|@Māttaļ@
@Sheep@|@Ādu@
@Shell@|@Chippi@
@Shellfish@|@Chippimīn, Ottumīn@
@Sherbet@|@Sarbaththu (S)@
@Shield@|@E:hu@
@Ship@|@Kappal@
@Shirt@|@Chattai (E)@
@Shiva@|@Perumān@
@Shiva's Abode@|@Kailāsam (S)@
@Shoeflower@|@Chembaraththi, Chembaruththi@
@Shop@|@Kadai@
@Shopkeeper@|@Kadaikkāran@
@Shore@|@Kaŗai@
@Short@|@Kuļļa, Kuļļamāna, Kuŗu@
@Short (Adverb)@|@Kuļļamā@
@Short A as in Elephant@|@A@
@Short E as in Pet@|@E@
@Short O is in Pot@|@O@
@Short Person@|@Kuļļan@
@Short U as in Put@|@U@
@Shortness@|@Kuļļam@
@Short-toed Eagle@|@Pāmbu Parundu@
@Shoulder@|@Thōļ@
@Shoveller@|@Mattimūkku Siravi@
@Shyness@|@Adakkam, Vetkam@
@Side@|@Pakkam@
@Side By Side@|@Akkam Pakkam@
@Sight@|@Kātchi, Pārvai@
@Sign@|@Chinnam@
@Sign of the Zodiac@|@Rāsi (S)@
@Signature@|@Kai Ełuththu@
@Silence@|@Maunam (S)@
@Silent Approval@|@Maunam Sammadham (S)@
@Silk@|@Pattu@
@Silk Saree@|@Pattuppudavai@
@Silver@|@Veļļi@
@Silver Jubilee@|@Veļļiviłā@
@Silvery Grey Cod@|@Mattivāyan@
@Silvery-grey Seafish (Chrysophrys datnia)@|@Mattivāy Mīn@
@Similar To@|@Mādhiri, Pōl@
@Sin@|@Pāpam (S), Thavar@
@Singer@|@Pādagar@
@Singing@|@Pādal@
@Single@|@Oththai@
@Single Person@|@Oruvar@
@Sinhala@|@Singaļam@
@Sirius@|@Viyādham (S)@
@Sisiter@|@Sagōdhari (S)@
@Six@|@Āru@
@Sixth Tamil Month@|@Purattāsi@
@Sixty@|@Arupadhu@
@Skanda@|@Mańikańdan@
@Skanda (Brought up by the Pleiades)@|@Āŗumīn-kātalan@
@Skanda (Muruga)@|@Kańdan, Vēlan@
@Skirt@|@Dāvani, Pāvadai, Pāvādai@
@Skull@|@Mańdai@
@Sky@|@Vāń, Vānam@
@Slave@|@Adimai@
@Sleep@|@Thūkkam@
@Slender Loris@|@Dhēvāngu@
@Slight@|@Lēs@
@Slightly@|@Lēsā@
@Slow@|@Medhu, Medhuvāna@
@Slowly@|@Medhuvā, Meļļa@
@Small@|@Chinna, Chiŗu, Kuŗu@
@Small (stand alone adjective)@|@Chinnadhu@
@Small Black Ant (Monomorium)@|@Piļļaiyār Erumbu@
@Small Fish@|@Kuŗumīn@
@Small Grey Cock-up (Cromileptes altivelis)@|@Panŗimīn@
@Small Indian Civet@|@Puńaguppūnai@
@Small Ladle@|@Karańdi@
@Smaller Egret@|@Veļļaikkokku@
@Smart@|@Gettikāra@
@Smell@|@Nāththam@
@Smile@|@Punnagai@
@Smoke@|@Pugai@
@Smuggled or Stolen Goods@|@Kaļļapoŗuł@
@Snake@|@Pāmbu@
@Snake Gourd@|@Podalangāy@
@Snake-bird/Darter@|@Pāmbuttara@
@Snipe@|@Uļļan Kuruvi@
@Snoring@|@Kuŗattai@
@So Be It@|@Āgatttum@
@So Many@|@Eththiravō@
@Soap Opera@|@Thodarkadhai@
@Socialism@|@Samūgavādham (S)@
@Socialist@|@Samūgavādhi (S)@
@Society@|@Samūgam (S)@
@Soil@|@Mań@
@Solar@|@Sūriya (S)@
@Solitude@|@Kaivalyam (S)@
@Some beans@|@Chauļi@
@Some Girl@|@Evaļō@
@Some Guy@|@Evanō@
@Somebody@|@Yārō@
@Something Very Small@|@Chuńdakkāy@
@Sometimes@|@Sila Nēram@
@Son@|@Magan, Piļļai, Puththiran (S)@
@Son (Informal)@|@Paiyan@
@Song@|@Pāttu@
@Son-in-Law@|@Maŗumagan, Māppiļļai@
@Sorrow@|@Sōgam (S)@
@Sorry@|@Mannikka Vēńdum@
@Soul@|@Āthman (S)@
@Sound@|@Vāńi (S)@
@South@|@Then, Therkku@
@South Africa@|@Therkkā:ppirika@
@South America@|@Therkkamērikā@
@South Korea@|@Thenkoriya@
@Sow@|@Panni@
@Space@|@Idam, Vāń@
@Sparing A Life@|@Uyirpichchai@
@Sparkler@|@Maththāppu@
@Sparrow@|@Gubbi, Kuruvi@
@Spear@|@Sūlam (S), Vēl@
@Special@|@Chirappu@
@Spectacles@|@Kannādi@
@Speech@|@Pētchu@
@Speed@|@Vēgam (S)@
@Sperm Whale (Euphysetes macrocephalus)@|@Chemmīn, Perunthalaith-thimingiļam@
@Spider@|@Silandhi@
@Spinach@|@Kīrai@
@Spinning Top@|@Bambaram@
@Spinster@|@Kumari (S)@
@Spiritual Knowledge@|@Gnānam (S)@
@Spoonbill@|@Chappai Chondan, Karańdimūkku Narai@
@Sport@|@Āttam@
@Sportsman@|@Vīran (S)@
@Spot@|@Puļļi@
@Spotted Babbler@|@Saruhunni Kuruvi@
@Spotted Dove@|@Puļļi Purā@
@Spring@|@Vasandham (S)@
@Squirrel@|@Ańīl@
@Sri Lanka@|@Singaļam@
@St. Thomas Mount@|@Parangimalai@
@Stage@|@Arangam (S), Mēdai@
@Star@|@Mīn, Mottumīn, Natchaththiram (S), Vāńmīn, Vińmīn@
@Starved Person (Colloquial)@|@Ollipichchān@
@State President@|@Kudiyarasu Thalaivar@
@Statue@|@Selai@
@Steam@|@Āvī@
@Steam Engine@|@Karivańdi, Pugaivańdi@
@Step-mother@|@Chiththi@
@Stewed Vegetable@|@Kūttu@
@Stick@|@Kambi, Kambu, Kōl@
@Sting@|@Kottu@
@Stink@|@Nāththam@
@Stint@|@Kosu Uļļan@
@Stitch@|@Theyal@
@Stomach@|@Vayiru@
@Stone@|@Kal, Kallu@
@Stone Curlew@|@Kannādi Alkatti@
@Storm@|@Puyal@
@Story@|@Kadhai (S)@
@Straight@|@Nēr@
@Stranger@|@Anniyan@
@Streaked Weaver Bird@|@Manja Kuruvi@
@Street@|@Theru@
@Streetplay@|@Therukūthu@
@Strength@|@Balam (S)@
@Stripenecked Mongoose@|@Chengīrī@
@Struuggle@|@Pōrāttam@
@Sturgeon (Achanthurus gahm)@|@Kołimīn@
@Subject@|@Vishayam (S)@
@Subway@|@Sūrangapādhai@
@Suckling Infant@|@Kaikkułandhai@
@Suddenly@|@Dhidir@
@Suffix attached to verb infinitive to make a noun@|@-al@
@Suffix for And@|@-um@
@Suffix for King of a Region@|@-man@
@Suffix for place@|@-agam@
@Suffix indicating raw fruit@|@-kāy@
@Suffix indicating ripe fruit@|@-pałam@
@Suffix indicating tree@|@-maram@
@Sugar@|@Chakkarai (S), Jīnī (S)@
@Suicide@|@Tharkolai@
@Summer@|@Veyilkālam@
@Summer Paddy Crop@|@Kuruvai@
@Summit@|@Sigaram (S)@
@Sun@|@Nyāyiŗu, Sūriyan (S)@
@Sunbird@|@Pon Chittu, Thēn Chittu@
@Sunday@|@Niyāłan, Nyāyiŗŗikkiłamai@
@Sunshine@|@Veyil@
@Suppression@|@Adakkam@
@Supreme Goddess@|@Parāsakthi@
@Surprise@|@Āchariyam (S)@
@Swallow@|@Adai Kaļļan Kuruvi, Tampadi, Thalai Illādha Kuruvi@
@Sweat@|@Vērvai@
@Sweat-Itch@|@Vērkuru@
@Sweet@|@Iniya, Mittāy (S)@
@Sweet Pickle@|@Thokku@
@Sweet Pongal@|@Veńpongal@
@Swimming@|@Nīchchal@
@Swing@|@Ūnjal@
@Sword@|@Vāļ@
@Swordfish@|@Vaļmīn@
@Syllable@|@Mūchchu@
@Symbol@|@Chinnam@
@T as in 'T'rouble@|@T@
@Tail@|@Vāl@
@Tailor@|@Theyyakkāran@
@Tailor Bird@|@Thaiyal Chittu@
@Talented@|@Thiramaiyāna@
@Talented Person@|@Vallavan@
@Tall@|@Uyiramāna@
@Tall (Adverb)@|@Uyiramā@
@Tallness@|@Uyiram@
@Taluka@|@Thāllukku@
@Tamarind@|@Puļi@
@Tamarind-flavoured Fish Curry@|@Puļimīn@
@Tamil@|@Thamił@
@Tamil Month@|@Panguni@
@Tamilian@|@Thambī@
@Tanjavur@|@Thanjai@
@Tank@|@Kuļam@
@Tap@|@Kołāy, Kułāy@
@Target@|@Latchiyam (S)@
@Taurus@|@Virushabarāsi (S)@
@Tax@|@Vay@
@Tea@|@Chāyā, Tī@
@Teacher@|@Guru (S), Vādhiyār, Vādhyār (S)@
@Teal@|@Siravi@
@Tears@|@Kańńīr@
@Teeth@|@Parkaļ@
@Telegram@|@Thandhi@
@Telephone@|@Thōlaippēsi@
@Television@|@Chinnaththiŗai, Thōlaikātchi@
@Temper@|@Thimiru@
@Temple@|@Kōvil@
@Temple Offering (Prasad)@|@Pirasādham@
@Temple Procession@|@Pūram@
@Temple Tower@|@Gōburam@
@Temporary Acquaintance (Colloquial)@|@Rayil Snēgidham (E,S)@
@Ten@|@Paththu@
@Ten Million@|@Kōdi (S)@
@Tern@|@Kadal Kuruvi@
@Terrible@|@Bayangaram (S)@
@Terrific@|@Bayangaram (S)@
@Terrorist@|@Thīviravādhi@
@Th as in fai'th' (Don't aspirate)@|@Th@
@Than Her@|@Avaļudan@
@Than Him@|@Avanudan@
@Than Him/Her (Respectful)@|@Avarudan@
@Than It@|@Adhudan@
@Than Me@|@Ennudan@
@Than Thee@|@Unnudan@
@Than Them@|@Avargaļudan@
@Than Us@|@Engaļudan@
@Than You@|@Ungaļudan@
@Than You (Respectful)@|@Thangaļudan@
@Thanks@|@Nanŗi@
@That@|@Adhu@
@That Day@|@Anŗu@
@That Day (Informal)@|@Annikki@
@That Manner@|@Appadi@
@That Much@|@Avvaļavu@
@That One@|@Andha@
@The Back@|@Mudhugu@
@The Bhagavad-gita@|@Bāgavadham (S)@
@The Carnatic@|@Karnādagam@
@The Cauvery@|@Kāveri@
@The First Book of 400 Verses@|@Ahanānūru@
@The Five Elements@|@Panjabūdham (S)@
@The Great Bear Constellation@|@Ēłumīn@
@The Mahabharata@|@Baradham (S)@
@The Moon@|@Thingaļ@
@The Nine Gems@|@Navarathnam (S)@
@The Nine Planets@|@Navagiraham (S)@
@The Nine Principal Emotions@|@Navarasam (S)@
@The Pleiades@|@Āŗumīn@
@The Ramayana@|@Irāmāyańan@
@The Second@|@Ireńdāvadhu@
@The Second Book of 400 Verses@|@Puranānūru@
@The Seven Seas@|@Ēłukadal@
@The Sun@|@Niyāłan@
@The Tamil Cult God Skanda or Muruga@|@Murugan@
@The Tamil Script@|@Vattełuththu@
@Thee (Accusative)@|@Unnai@
@Theft@|@Thiruttu@
@Their@|@Avargaļin@
@Theirs@|@Avargaļudaya@
@Them (Accusative)@|@Avargaļai@
@Then (Colloquial)@|@Appō@
@Then (Formal)@|@Appołudhu@
@Thence@|@Angirandhu@
@There@|@Angu@
@There Too@|@Angum@
@These Many@|@Iththira@
@They@|@Avargaļ@
@They (Emphatic)@|@Avargaļdhān@
@They (Formal)@|@Avai@
@They Also@|@Avargaļum@
@They by Themselves@|@Avargaļē@
@They Will Not@|@Māttārgaļ@
@Thick@|@Getti@
@Thief@|@Thirudan@
@Thigh@|@Thudai@
@Thin@|@Olli@
@Thine@|@Unnudaya@
@Thing@|@Poruļ@
@Things@|@Sāmān (S)@
@Things Improve With Learning@|@Karkka Karkka Kasadarum@
@Third@|@Mūnŗām@
@Third Tamil Month@|@Āni@
@Thirty@|@Muppadhu@
@This Man/Boy@|@Ivan@
@This Manner@|@Ippadi@
@This Much@|@Ivvaļavu@
@This One@|@Indha@
@This Side Of The River@|@Ikkaŗai@
@This Thing@|@Idhu@
@This Woman/Girl@|@Ivaļ@
@Thorn@|@Muļ@
@Those Many@|@Aththira@
@Thou@|@Nī@
@Thou (Emphatic)@|@Nīdhān@
@Thou Also@|@Nīyum@
@Thou by Thyself@|@Nīyē@
@Thou Wilst Not@|@Māttāy@
@Thousand@|@Āyiram@
@Thread@|@Nūl@
@Three (casual)@|@Mūnu@
@Three (Formal)@|@Mūnŗu@
@Three-Quarters@|@Murkāl@
@Threshold@|@Vāsappadi@
@Throat@|@Thońdai@
@Thumb@|@Kattaviral@
@Thunder@|@Idi@
@Thursday@|@Chevvāykkiłamai, Viyāłakkiłamai, Viyāłan@
@Thy@|@Un@
@Tickell's Blue Flycatcher@|@Nīlakkuruvi@
@Tiger@|@Puli@
@Time@|@Kālam (S), Nēram, Vēļai (S)@
@Time of Rough Sea Weather@|@Āŗāmīn Āŗāvottu@
@Times@|@Nērangaļ@
@Tin@|@Thagaram@
@Tiny@|@Podisu@
@Tiruchirapalli@|@Thiruchi@
@Tirunelveli@|@Nellai@
@Tirupati Hill@|@Vēngadam@
@To Abolish@|@Ołukka@
@To Ache@|@Valikka@
@To Age@|@Vayasu Āga@
@To Approach@|@Kitta Pōga@
@To Arrange For@|@Amaikka@
@To Attend@|@Gavanikka@
@To Babble@|@Uļara@
@To Bargain@|@Vilai Pēsa@
@To Bark@|@Kulaikka@
@To Bash@|@Idikka@
@To bathe@|@Muługa@
@To Bathe@|@Kuļikka@
@To Be@|@Irukka@
@To Be A Yes-man@|@Jālarā Adikka@
@To Be Able@|@Mudiya@
@To Be Ashamed@|@Vetkappada@
@To be Awake@|@Mułikka@
@To Be Born@|@Pirakka@
@To Be Cheated@|@Ēmāra@
@To Be Covered@|@Maŗaiya@
@To Be Defeated@|@Thōkka, Thōlvi Adaya@
@To Be Ground@|@Araiya, Thiriya@
@To Be Hungry@|@Pasikka@
@To be Hurt@|@Kāyam Peŗa@
@To Be Kneaded@|@Pisiya@
@To Be Left Behind@|@Minja@
@To Be Lost@|@Thulaya@
@To Be Lucky@|@Koduththu Vaikka@
@To be of Help@|@Udhavāga@
@To Be Powdered@|@Podiya@
@To Be Ruined@|@Mōsam Pōga, Nāsamā Pōga@
@To Be Seen@|@Theriya@
@To be Separated@|@Piriya@
@To Be Set Aside@|@Thaļļipada@
@To Be Shy@|@Vetkappada@
@To Be Submerged@|@Munga@
@To Be Successful@|@Veŗŗi Adaya@
@To Be Thirsty@|@Dāhikka@
@To Be Wrecked@|@Nāsam Āga@
@To Bear@|@Chumaikka@
@To Become Night@|@Irutta@
@To Beg For Alms@|@Pichchai Kētka@
@To Begin@|@Āramikka@
@To Believe@|@Namba@
@To Bend@|@Vaļaikka@
@To Bequeath@|@Ełudhi Vaikka@
@To Bite@|@Kadikka@
@To Blacken@|@Karunga@
@To Blacken (transitive)@|@Karukka@
@To Blossom@|@Malarkka, Muļaya@
@To Blow@|@Ūdha@
@To Bluff@|@Kākkai Pidikka@
@To Boil@|@Kodhikka, Vēga@
@To Boil (Transitive)@|@Vēga Vaikka@
@To Bore@|@Arukka@
@To Bother@|@Paduththa@
@To Break@|@Udaikka@
@To Break-up@|@Udaya@
@To Bring Down@|@Erakka@
@To Bring Up@|@Vaļakka@
@To Build@|@Katta@
@To Burn@|@Eriya, Posunga@
@To Burn (transitive)@|@Erikka@
@To Burn (Transitive)@|@Posukka@
@To Burst@|@Vediya@
@To Burst (Transitive)@|@Vedikka@
@To Burst into Tears@|@Kańńīr Kalanga@
@To Bury@|@Pudhaya@
@To Buy@|@Vānga@
@To Call@|@Kūppida@
@To Capsize@|@Kavura@
@To Catch@|@Pidikka@
@To Change@|@Māŗa, Māŗŗa@
@To Chase@|@Thuraththa@
@To Cheat@|@Ēmāŗŗa@
@To Cheat (Lit. to Place a Dot on the Forehead)@|@Pottu Vaikka@
@To Clap@|@Kai Thatta@
@To climb@|@Ēra@
@To climb down@|@Eranga@
@To Close@|@Mūda@
@To Collect@|@Kūtta@
@To come@|@Vara@
@To Complete@|@Thīrkka@
@To Continue@|@Thodara@
@To Cook@|@Chamaikka@
@To Correct@|@Thiruththa@
@To Cough@|@Iŗumba@
@To Cover@|@Maŗaikka@
@To Crash@|@Mōdha@
@To Crawl@|@Thāva@
@To Crush@|@Norukka@
@To Cry@|@Ała@
@To Cry (colloquial)@|@Aļuga@
@To Cut@|@Vetta@
@To Dance@|@Āda@
@To Darken@|@Irutta@
@To Dawn@|@Vidiya@
@To Decay@|@Ūsa@
@To Defeat@|@Thōlvi Adaikka@
@To Descend@|@Iŗanga@
@To Destroy@|@Ołukka@
@To Die@|@Chāga@
@To Dip@|@Mukku (verb)@
@To Disappear@|@Maŗaiya@
@To Discover@|@Kańdu Pidikka, Kańdup Pidikka@
@To Disown@|@Thaļļivvaikka@
@To Dissolve@|@Karaikka@
@To Do@|@Cheyga, Cheyya, Pańńa@
@To Download@|@Erakka@
@To Drag@|@Iłukka@
@To Draw@|@Varaiya@
@To Dream@|@Kańavu Kańda@
@To Drink@|@Kudikka@
@To Drive@|@Ōtta@
@To Drizzle@|@Thūra@
@To Dry Grind@|@Thirikka@
@To Eat (A Meal)@|@Chāppida@
@To Eat (A Snack)@|@Thinga@
@To Eliminate@|@Ałikka@
@To Emit Smoke@|@Pugaya@
@To Enjoy@|@Rasikka@
@To Enquire@|@Vijārikka@
@To Escort@|@Ałaiththukondu Pōga@
@To Extend (Informal)@|@Nītta@
@To Face Hardship@|@Kashta Pada@
@To Faint@|@Mayanga@
@To fall@|@Viła@
@To Fall For@|@Mayanga@
@To Feed@|@Ūtta@
@To Feel@|@Pada@
@To Feel Cold@|@Kuļura@
@To Fell (A Fabric etc.)@|@Thuttu Pārkka@
@To Fill@|@Niŗaiya@
