@Lakota@|@English@
@Táku ečíyapi he/hwo? (F/M speaker)@|@What is his/her name?@
@Táku eníčiyapi he@|@What's your name?@
@Táku eníčiyapi he/hwo? (F/M speaker)@|@What is your name?@
@Táku imákakiže kštó/ló (F/M speaker)@|@I have a problem, I've got a problem@
@Táku iníčakiža he/hwo? (F/M speaker)@|@Do you have a problem?, Have you got a problem?@
@Taku kaheci@|@Whatever@
@Taku ko?@|@Anything else?, What else?@
@Táku latkáŋ yačhíŋ he?@|@What do you want to drink?, What would you like to dirink?@
@Táku luhá he?@|@What do you have? (Female speaker), What have you got? (Female speaker)@
@Táku luhá hwo?@|@What do you have? (Male speaker), What have you got? (Male speaker)@
@Taku un oyate oshpaya witap@|@Controlled group, For a purpose, the people are gathered@
@Taku un unspepi khtacha iutha (pi/pelo)@|@Experimentalist, They will learn something so they try it@
@Taku wan iciyunga wacin@|@I wanted to ask you something@
@Taku yacin hwo/he? (M/F speaker)@|@What do you want?@
@Taku yaka hwo/he?@|@What do you mean?@
@Táku yatá yačhíŋ he?@|@What do you want to eat?, What would you like to eat?@
@takukiciyapi@|@Relatives@
@Tákuwe@|@Why@
@Takuwe ca hecanun hwo/he?@|@Why did you do that?"@
@Takuwe wastenic'ila hwo/he?@|@Why do you act too good?@
@takuya@|@Have as a relative, to (v)@
@takúya@|@Have for a relative, to (v)@
@tákuya@|@Make use of something, to  (v)@
@takuye@|@Consider to be related, to (v)@
@ȟtálehaŋ@|@Yesterday@
@tȟaló@|@Meat@
@tȟamáheča@|@Skinny@
@tȟanáǧila@|@Hummingbird@
@tȟaníǧa@|@Tripe@
@Tanyan nankab hwo/he?@|@Are you all doing/sitting okay?@
@tȟaŋčháŋ@|@Body, the@
@tȟaŋháŋ (M speaker)@|@Brother-in-law@
@Tȟaŋháŋši (male speaker)@|@Male cousin@
@Tȟaŋké - (male speaker)@|@Older sister@
@Tȟaŋkší (male speaker@|@Younger sister@
@taŋní@|@Old@
@tȟáŋničala@|@Gnats@
@tȟaŋpá@|@White birch@
@Taŋyáŋ@|@Fine@
@Taŋyáŋ ečhánuŋ kštó/yeló (F/M speaker)@|@You did well@
@Taŋyáŋ ímaphi kštó/yeló (F/M speaker)@|@I am good and full@
@Taŋyáŋ ománi (m>sg)@|@Bon voyage!, Have a good journey!@
@Taŋyáŋ ománi pe (f>pl)@|@Bon voyage!, Have a good journey!@
@Taŋyáŋ ománi po (m>pl)@|@Bon voyage!, Have a good journey!@
@Taŋyáŋ ománi ye (f>sg)@|@Bon voyage!, Have a good journey!@
@taŋyáŋ waúŋ@|@I am fine@
@Taŋyáŋ waúŋ@|@ I am fine, and you?@
@Taŋyáŋ waúŋ kštó/weló (F/M speaker)@|@I am doing fine@
@Taŋyáŋ yahí@|@It is good that you came, Welcome (to one)@
@Taŋyáŋ yahí kštó/yeló (F/M speaker)@|@I’m glad you came.@
@Taŋyáŋ yahípi@|@Welcome (more than one)@
@Taŋyáŋ yaúŋ he/hwo@|@How are you?@
@Tȟápa Waŋkál Yeyápi / Tȟápa Kaȟ’ól Iyéyapi@|@Throwing of the Ball Rite@
@tȟapȟúŋ@|@Cheek, the@
@tȟaskákpa@|@Tick (insect)@
@tȟašnáheča@|@Gopher@
@tȟaspáŋ@|@Apple@
@tȟaspáŋ opémnipi@|@Pies@
@tȟaspáŋ zí@|@Orange@
@tȟaspáŋ zí pȟá@|@Lemon@
@tȟaspáŋ zí tȟáŋka@|@Grapefruit@
@tȟašúpa@|@Hot dog@
@tȟat’éčhaŋnuǧa@|@Dotted greyfeather@
@tȟatȟáŋka@|@Buffalo bull@
@tȟatȟáwabluška@|@Horsefly@
@tȟaté@|@Wind@
@Tate owe topa na ate Wakan Tanka namahun po@|@Four winds and also Father Great Spirit, hear me@
@tȟaté tȟáŋka@|@Strong wind@
@tȟatéte@|@Windy@
@tȟatíye tópa@|@four winds (the)@
@tȟatȟókala@|@Goat@
@tatunka oyate kin ahitonwan po@|@To the north, Buffalo people, look upon me@
@Tȟawá@|@Belonging to (posessive pronoun)@
@Ȟtayétu@|@Evening@
@Ȟtayétu wašté@|@Good evening@
@tȟažúška@|@Ant@
@Tebya yo/ye@|@Eat it up@
@tȟéča@|@Young@
@Tecihila@|@I love you@
@Tehan wahpayin kte@|@I'm going to sleep late@
@Tehan wanciyanke sni@|@I haven't seen you for a while, Long time no see@
@teȟmúǧa@|@a, Fly, Fly (insect)@
@th@|@English T in Tin@
@Th th@|@[tʰ]    (IPA)@
@tháȟča@|@Deer@
@tĥahá@|@Deer hide@
@Tȟakóža (M or F speaker)@|@Grandchild@
@tĥaŋháŋ@|@Brother-in-law (of man)@
@Tȟápa waƞ bluhá.@|@I have a ball, I've got a ball@
@Tȟaté@|@Windy@
@thečhíȟila@|@I cherish you@
@Thečhíȟila@|@I love you@
@Théhaŋ waŋčhíŋyaŋke šni@|@Long time, No see@
@theȟmúŋǧa@|@Fly (insect)@
@thezí@|@Stomach@
@Thezí mayázaŋ kštó/yeló (F/M speaker)@|@I have a stomach ache@
@Thezí niyázaŋ he/hwo? (F/M speaker)@|@Do you have a stomach ache?@
@thiáphiya@|@Carpenter@
@Thimá hiyú we/wo (F/M speaker)@|@Come in@
@thíŋpsila@|@Turnip@
@THIÓŠPAYE@|@Extended family@
@thípi@|@House@
@thípi ská@|@White house@
@Thítȟuŋwaŋ@|@The Lakota@
@thiwáhe@|@Family@
@thiwákiŋyela@|@Rock dove@
@Thiyáta Lakȟól Wičhóiye Úŋpi Kte@|@Lakóta Phrases for Home Use@
@thiyópa awáŋyaŋka@|@Door man@
@thiyóšlola@|@Cricket (insect)@
@thiyóšpaye@|@extended family@
@thiyúžaža wičháša@|@Janitor@
@Tȟó@|@Blue@
@Tȟózi@|@Green@
@thučhúhu@|@Ribs@
@thúki@|@Clam@
@Tȟuƞkášila@|@Grandfather@
@thuswéčha@|@Dragonfly@
@Tȟí@|@Live at, to (v)@
@tibló - (female speaker)@|@Older brother@
@Tiole wahi@|@I came to scam some food@
@Titakuye@|@Relative from his/her side of the family@
@Tiwáhe@|@Family@
@Tiyopa kin yugan yo/ye@|@Open the door@
@Tó@|@Yes@
@Tóhaŋ@|@When?@
@Tóhaŋl@|@When - (in the future)@
@Tókȟa@|@How is it?, What's happening?@
@Toka hwo/he?@|@What's up?"@
@Toka sni@|@It doesn't matter, Who cares@
@Tokah'an@|@It disappeared@
@Tokala Luta@|@Red Fox@
@tȟokápȟa@|@First-born@
@Tókča@|@What kind of?@
@Tókheškhe@|@How@
@Tókheškhe yaúŋ he/hwo@|@How are you?@
@tókheškhe yaúŋ hwo/he?@|@Hello, Good morning, how are you?@
@Tókhi wániphika ní!@|@Good Luck!@
@Tókhiya@|@Destination, Where to?@
@Tókhiya lá he/hwo? (F/M speaker)@|@Where are you going?@
@Tókhiya yaúŋhaŋ he/hwo? (F/M speaker)@|@Where have you been?@
@tókša@|@Bye@
@Toksa ake wanciyanka kte@|@I'll see you later@
@Toksa ake wanciyankapi kte@|@I'll see you all later@
@Tókša akhé@|@I’ll see you again later@
@Tókša akhé waŋčhíyaŋkiŋ kte@|@I will see you again sometime@
@Tókša akhé waŋčhíyaŋkiŋ kte kštó/ló (F/M speaker)@|@I’ll see you again later@
@Toksa mayuhla yo/ye@|@Give me a call later@
@Tomakca s'eleca@|@I feel strange for some reason@
@Tóna@|@How many@
@Tónakča@|@How much?@
@Tonikca hwo/he?@|@What's wrong with you?"@
@Toníktuha he/hwo@|@How are you?@
@Tópa@|@4@
@tȟóša@|@Purple@
@tȟošká (female speaker)@|@Nephew@
@Toske ilukcan hwo/he?@|@What do you think?@
@Toske yau hwo/he? (M/F speaker)@|@How did you come?@
@Toske yaun hwo/he?@|@How are you doing?@
@Toskeya?@|@How's it going?@
@Tóskhe yaúŋ he/hwo? (F/M speaker)@|@How are you?@
@tȟožáŋ (female speaker)@|@Niece@
@Túktel@|@Location, Where@
@Tuktel ilotakin kta hwo/he?@|@Where are you going to sit?@
@tuktél yathí he/hwo? (F/M speaker)@|@And you, where do you live?@
@Túktel yathí hwo/he? (M/F speaker)@|@Where do you live?@
@Tukténitáŋhaŋ he/hwo? (F/M speaker)@|@Where are you from?@
@Tuktétaŋhaŋ yaú he/hwo? (F/M speaker)@|@Where do you come from?@
@Tuktogna?@|@Which way?@
@Tuktunma?@|@Which one?"@
@tȟuŋkáši (M or F speaker)@|@Father-in-law@
@Tȟuŋkášila@|@Term of respect and should be used for addressing anyone who is  near the same age as our own grandfather@
@tȟuŋkášila (M or F speaker)@|@Paternal grandfather@
@tȟuŋkášilayapi@|@President@
@Tȟuŋšká (male speaker)@|@Nephew@
@tuŋwáŋ@|@Glance, Look, to (v)@
@Tȟuŋwíŋ (M or F speaker)@|@Aunt@
@Tȟuŋžáŋ (male speaker)@|@Niece@
@tuwá@|@Who@
@Tuwa onile@|@Someone was looking for you@
@Tuwá pápa etáƞ yuhá he?@|@Who has some dried meat? (Female speaker), Who's got some dried meat? (Female speaker)@
@Tuwá pápa etáƞ yuhá hwo?@|@Who has some dried meat?, Who's got some dried meat?@
@túwe@|@Who@
@Túwe até ya hwo/he?@|@Who is your father?@
@Túwe iná ya hwo/he?@|@Who is your mother?@
@Tuwe sece k'un@|@Somebody (used in a memorial song)@
@Tuweni hecun sni@|@Nobody does that@
@Tuwéni hí šni kštó/yeló (F/M speaker)@|@No one came@
@Tuweni tiyata un sni@|@No one is home@
@U u@|@[ʊ]    (IPA)@
@Ú welo.@|@He is coming, She is coming@
@Ú wo!@|@Come here!@
@U yunkan iyaye@|@He came and then he left@
@ȟuhá@|@Hide scrapings@
@umá@|@Nut@
@Uƞčí@|@Grandmother@
@Unčí Makȟá@|@Grandmother Earth@
@Unkokihi kin he unkotanin kte lo@|@We can tell the whole world what we're doing (song line)@
@Unmacetkia@|@The other way@
@Unmagma icu wo/we@|@Take either one@
@Unsimala yo/ye@|@Have pity on me@
@Uƞyúha@|@You and I have (Inclusive - dual)@
@Uƞyúhapelo@|@We have (Male speaking)@
@Uƞyúhapi@|@We have (Female speaker)@
@Úŋ@|@Be, state of being (v) {the verb to be}, to (v)@
@Uŋ uŋ@|@[ʊ̃]    (IPA)@
@uŋčí (M or Female speaker)@|@Maternal grandmother@
@uŋčíši (M or F speaker)@|@Mother-in-law@
@úŋglakčapi@|@Coneflower@
@Uŋjiŋjintka Wakpa@|@Rosebud River@
@uŋk’úŋpi@|@We are@
@uŋk’úpi@|@He gave us (He/she)@
@uŋkčéla pȟepȟé@|@Cactus@
@uŋmá@|@The other one@
@Uŋmáspe šni kštó/yeló (F/M speaker)@|@I don’t know how@
@uŋȟnáǧičala hotȟúŋpi@|@Trill, Calling of the spirit@
@uŋpȟáŋ@|@Female elk@
@Uŋpaŋ Gleška@|@Spotted Elk@
@úŋšičhila@|@I have compassion for you@
@úŋšičhilake@|@I have compassion for you@
@Uŋspémakhiya ye/yo (F/M speaker)@|@Teach me@
@uŋwaŋží@|@We are one of ....@
@uŋyáŋpi@|@We go@
@uŋžíŋžiŋtka@|@Tomato, Tomatoes@
@uŋzóǧe@|@pants@
@uyápi@|@They sent him@
@W w@|@[w]    (IPA)@
@ȟwá@|@Drowsy@
@Wá@|@Snow@
@wá hiŋhé@|@Snowing@
@waȟ’éča@|@Sleet@
@Waanataŋ@|@Charger, The@
@wábloša@|@Red winged blackbird@
@wablúška@|@Bug, a@
@Wablúška@|@Insect@
@Wac'ap'e@|@Stabber@
@Wacemiciciya yo/ye@|@Pray for me@
@wačháŋǧa@|@Sweetgrass@
@wačháŋtognáka@|@generosity@
@wačhékiya@|@I pray@
@wačhét’uŋgla@|@Skeptical@
@wačhí@|@dance (v)@
@Wačhíŋ@|@I want@
@wačhíŋkȟo@|@pout (v)@
@Wacinko sni yo/ye@|@Don't pout@
@wáǧačhaŋ@|@Cottonwood@
@Wagla wacin@|@I want to go home@
@Waglékšuŋ  (male)@|@Turkey@
@Waglékšuŋ Yútapi Aŋpétu@|@Thanksgiving, Turkey Eating Day@
@waglúla@|@Worm@
@Waglula Wakpala@|@Maggot River@
@wáglutapi@|@Table@
@Wagmíza@|@Corn@
@Wagmú@|@a, Squash@
@Wahac'aŋka Cik’ala@|@Little Shield@
@Wahac'aŋkayapi@|@Shield@
@waháŋpi@|@Soup@
@Wahiŋkpe Wakpala@|@Arrow River @
@Wahuk'eza Wakpala@|@Spear River@
@Wahuk'eza Wašte@|@Good Lance@
@wahúwapa@|@Corn with husk on@
@Wahwala waun ke le takuni blutokecha owakihisni ki le wichake malayo@|@Grant me the serenity to accept the things I cannot change@
@Wak'aŋ Hdi Oḣ'aŋk'o (Santee Sioux)@|@Fast Lightning, Lively Spirit@
@Wak'ute (Santee Sioux)@|@Shooter@
@Wakačha Ša@|@Red Rose@
@Wakȟálapi@|@Coffee@
@Wakȟálapi etáŋ yačhíŋ he/hwo? (F/M speaker)@|@Would you like some coffee?@
@wakȟáŋ@|@Sacred@
@Wakȟáŋ Tȟáŋka@|@Creator, Great Spirit, Creator@
@wakȟáŋ woȟpa@|@Shooting star@
@wakȟáŋyeža@|@Child, Children@
@wakápȟapi@|@Dried pounded meat, Jerky@
@wákhiya itȟáŋčhaŋ@|@Attorney General@
@wákhiya wičháša@|@Lawyer@
@wakinya oyate kin ahitonwan po@|@Oh West, Thunder Being people, look upon me@
@wakinyan niktepi@|@Friend, the thunders have killed you  (Said when killing a spider)@
@wakíŋyan hotȟúŋpi@|@Thunder@
@wakíŋyaŋ aglí@|@Return of thunder beings, Storm@
@Wakiŋyaŋ Ska@|@White Thunder@
@Wakiŋyaŋ T'aŋka  (Santee Sioux)@|@Big Thunder@
@Wakiŋyaŋ T'asuŋke@|@Thunder Horse@
@wakíŋyaŋ tuŋwáŋpi@|@Lightning@
@wakȟógla@|@Canyon, Valley@
@wakȟókpȟa@|@Fearful@
@Wakokpe sni yo/ye@|@Don't be scared@
@Wakpa Šice@|@Bad River @
@Wakpa Šice (Bad River)@|@Pierre (SD)@
@Wakpá Wašté@|@Cheyenne River@
@wakší škopá@|@Bowl@
@Wakšíča@|@Plate@
@Wakta po/pe!@|@Watch out!@
@Wamákȟaskaŋ@|@Wild Animal, Wild Animals@
@wamákȟaškaŋ@|@Animals, Living things that walk on the earth (Animals)@
@Wambdi Ape Duta (Santee Sioux)@|@Scarlet Plume@
@Wambdi T'aŋka  (Santee Sioux)@|@Big Eagle @
@wambli gleska ahitonwan po@|@To the center, Spotted Eagle, look upon me@
@wambli oyate kin ahitonwan po@|@To the south, Eagle people, look upon me@
@wamníomni@|@Whirlwind@
@wamníyomni - (pronounced  wamuhníomuhni)@|@Cocoon@
@Wamniyomni Ska@|@White Whirlwind@
@Wan le wan@|@Here you are, Here you go@
@Wana glihunni@|@He / She is back now@
@Wana iyehantu@|@It's time now@
@Wana skinciya po/pe@|@Get to work now@
@Wana unyanpi heci?@|@Should we go now?@
@Waná uŋškátapi kte kštó (F/M speaker)@|@We are going to play now@
@Wana wacekiya yo/ye@|@Pray now@
@Wana yakiyagla hwo/he?@|@Are you going home now?@
@wanáȟ’uŋ šni@|@Stubborn, Not listening@
@wanáǧi@|@Shadow, Spirit@
@wanáǧi tȟačháŋku@|@Milky Way@
@wanáǧi tȟašóše@|@Cuckoo spit (on plants), Ghost spittle (on plants)@
@wánaǧoptaŋ šni@|@Disobedient@
@wanáȟtagyapi oágle@|@Keyboard@
@wanciyanka wau na waun welo@|@Dearie, I'm here and I want to see you (song line)@
@Wani wacin yelo/ye@|@I want to live@
@Waníčhokaŋ Wí@|@December - Moon of Mid-winter@
@Waníyaŋpi@|@Domestic Animals@
@waníyetu@|@Winter@
@Waníyetu@|@Year@
@Waníyetu ma _______@|@I am ______(years old)@
@Waníyetu nitóna hwo/he? (M/F speaker)@|@How old are you?@
@Waníyetu Wí@|@November - Moon of Starting Winter@
@Wanun ecamun@|@I did it by accident@
@waŋ@|@a, an, One@
@Waŋbdi Owe  (Yankton Sioux)@|@Eagle Track@
@Waŋbduška Mde  (Santee Sioux)@|@Lake of the Serpents@
@Waŋbduška Wakpa (Santee Sioux)@|@Snake River@
@Waŋbláke@|@I see@
@Waŋbláke kštó/yeló (F/M speaker)@|@I saw it, I see it@
@waŋblí     (pronounced   wamlí)@|@Eagle@
@Waŋbli Hoȟpi (Eagle’s Nest)@|@Eagle Butte@
@Waŋbli K‘iyahe@|@Climbing Eagle@
@Waŋblí Pahá él he thí@|@She lives in Eagle Butte@
@Waŋblí Pahá él wathí kštó/yeló (F/M speaker)@|@I live in Eagle Butte@
@Waŋbli Sapa  (Eugene Buechel)@|@Black Eagle @
@Wáŋči@|@1 (in counting)@
@Waŋhi Ok’edaŋ Watpa (Santee Sioux)@|@Arrowstone River, La Sueur Creek@
@waŋkátakiya@|@Towards above@
@waŋkáyeič’iya@|@jump up (v)@
@Waŋláka@|@You see@
@waŋná@|@Teacher, I want the Lakota book now@
@waŋyáŋka@|@See something (v)@
@Waŋyáŋka@|@See (v)@
@waŋyéča@|@Firefly@
@waŋží@|@any, be one, Be one of a specific group, One, Someone, to (v)@
@Waŋží@|@1 (in sentences)@
@waóhola@|@Respectful@
@waóhola šni@|@Disrespectful@
@Waoka (Yankton Sioux)@|@Sharp Shooter (John Jandreau) @
@Waȟpa Ša@|@Red Leaf@
@wápaha@|@Flag@
@Waȟpé kȟalyapi@|@Tea@
@Waȟpékhute@|@Shoots among the leaves@
@Waȟpétȟuŋ@|@Dwels among the leaves@
@waphíya wičháša@|@Medicine man@
@Wapin Ohlate@|@Under Baggage@
@wapȟóštaŋ@|@Hat@
@wapȟóštaŋ tȟáŋka@|@Cowboy hat@
@Wašicu T'ašuŋka@|@American Horse@
@wašígla@|@mourn (v)@
@wašíŋ@|@Bacon@
@Wašiŋ Wakpa (Fat River)@|@South Platte@
@waskúyeča@|@Fruit@
@wašmé@|@Deep snow@
@wasná@|@Dried meat w/cherries & pemmican@
@Wašté@|@Good@
@Waste Chicago!@|@Great!@
@waštéčhilake@|@I like you@
@waštúŋkala@|@Dried corn@
@Wasú@|@Hail@
@wasú hiŋhé@|@Hailstorm@
@Wasútȟuŋ Wí@|@August - Moon of Ripening/Harvest Moon@
@watá wačhíŋ@|@I want to eat this...@
@Wáta waƞ yuhá@|@He has a boat@
@watȟéča@|@Left over food@
@Watȟéča etáŋ ayágli he/hwo? (F/M speaker)@|@Did you bring some leftovers home?@
@waȟtéla šni@|@despise (v)@
@Wathí@|@I live at@
@Watpa Ipakšaŋ@|@Big Sioux, Upper@
@Watpa Ipakšaŋ  (River Bend)  (Santee Sioux)@|@Big Sioux, Upper, Upper Big Sioux River@
@watúkȟa@|@Tired out, Weary@
@Wau kte sece@|@I expect I'll come, I suppose I'll come@
@Waúŋ@|@I am, I be@
@waúŋčhala@|@Monkey@
@Waúŋspekhiya@|@Teacher, I want the Lakota book now@
@waúŋspewičhákhiya@|@Teacher@
@waúŋspewičhákhiya ókiya@|@Teachers aide@
@Wawatin ktehcin@|@I really need to eat@
@Wawátiŋ kte kštó/ló (F/M speaker)@|@ I am going to eat@
@Wayáčhi yačhíŋ he?@|@Would you like to dance with me?@
@wayáka@|@Captive, a@
@wayáwa@|@Student@
@wayáwa itȟókšu@|@Bus@
@Wayé@|@I call this one@
@wazí@|@Pine tree@
@Wazí Aháŋhaŋ@|@Pine Ridge@
@Wazí Aháŋhaŋ él wathí kštó/yeló (F/M speaker)@|@I live in Pine Ridge@
@Wazi Blo@|@Pine Ridge@
@wazí čhaŋ@|@Pine tree@
@wazíyata@|@North@
@Wé@|@Blood, DNA@
@Wé imahél wichoichagha ki um pelo (pi)@|@Genetics, In the blood the generations are in@
@Weksuya owakihi sni@|@I can't remember@
@welo@|@(If a verb ends in u, o, or uƞ, the gender ending yelo becomes )@
@wétu@|@Spring (season)@
@What's your name?@|@Táku eníčiyapi he@
@wí@|@Sun@
@wí hinápȟe@|@Sunrise@
@wí mahél iyáya@|@Sunset@
@Wi Wáŋyaŋg Wačhípi@|@Sundance Rite@
@wiáčheič’ithi@|@Sun dogs (reflections of colored light on either side of the sun in cold weather) @
@Wic'aȟpi Itet'uŋ@|@Star Face@
@wic'aša waŋ waŋblake@|@I saw a man@
@Wic'ite Kakaŋpi (Face Carvings)@|@Mount Rushmore, Rushmore (Mount)@
@wícahiyutapi šá@|@Ketchup@
@wícahiyutapi zí@|@Mustard@
@Wicaka yo/ye@|@Tell the truth@
@Wicay/we@|@Get away; go on@
@wičáyakȟa peló’@|@You are right@
@wíčazo@|@Pencil@
@Wíčazo bluhá@|@I have a pencil@
@Wíčazo luhá he@|@Do you have a pencil?@
@wičháȟčala@|@Elderly man@
@Wičháȟčala kiŋ heyá peló’@|@The old men say@
@wichákhiyuhapi@|@Big Dipper, The Plough@
@wíčhapȟe@|@Fork@
@wičháȟpi@|@Star@
@wičháša@|@Man@
@Wičháša kiƞ hé pápa etáƞ yuhá@|@That man has got some dried meat, That man has some dried meat@
@wichasha@|@Man@
@wičháwoȟa@|@Son-in-law@
@wičháyažipa - (pronounced  wičháažipa)@|@Wasp@
@wichazo waŋji luha hwo@|@Have you got a pencil?@
@wičhíŋčala@|@Girl@
@wichítegleǧa@|@Raccoon@
@Wičhóiye@|@Vocabulary@
@wičhóiye wówapi@|@Dictionary@
@wičhóni@|@Life@
@wičhóthi itȟáŋčhaŋ@|@Mayor@
@wičhózani@|@Health@
@wicogluze hokšila@|@Boy from an incestuous relationship@
@wicogluzewin@|@Girl from an incestuous relationship@
@wícokaŋhiyaya@|@Afternoon@
@wígli@|@Lard, Shortening (lard)@
@Wigli nawasote@|@I ran out of gas, I ran out of petrol@
@wígli uŋ káǧapi@|@Fry bread@
@wígmuŋke@|@Rainbow@
@wíhaŋbla@|@dream (v)@
@wiíyowata@|@Rays of the sun streaming upwards before sunrise@
@wikčémna@|@10@
@wikčémna napčíyuŋka@|@90@
@wikčémna núŋpa@|@20@
@wikčémna núŋpa sáŋm napčíyuŋka@|@29@
@wikčémna núŋpa sáŋm núŋpa@|@22@
@wikčémna núŋpa sáŋm šaglóǧaŋ@|@28@
@wikčémna núŋpa sáŋm šakówiŋ@|@27@
@wikčémna núŋpa sáŋm šákpe@|@26@
@wikčémna núŋpa sáŋm tópa@|@24@
@wikčémna núŋpa sáŋm waŋží@|@21@
@wikčémna núŋpa sáŋm yámni@|@23@
@wikčémna núŋpa sáŋm záptaŋ@|@25@
@wikčémna šaglóǧaŋ@|@80@
@wikčémna šakówiŋ@|@70@
@wikčémna šakówiŋ sáŋm šakówiŋ@|@77@
@wikčémna šákpe@|@60@
@wikčémna šákpe sáŋm waŋží@|@61@
@wikčémna tópa@|@40@
@wikčémna tópa sáŋm záptaŋ@|@45@
@wikčémna yámni@|@30@
@wikčémna yámni sáŋm šaglóǧaŋ@|@38@
@wikčémna záptaŋ@|@50@
@wikčémna záptaŋ sáŋm yámni@|@53@
@wikȟóškalaka@|@Teenage girl@
@wímahíyaya@|@Sunset@
@wínaskilye@|@Stapler@
@winúȟčala@|@Elderly woman@
@Winuŋȟca Ktepi Watpadaŋ (Where they Killed the Old Woman)  (Santee Sioux)@|@Riley Creek@
@Winyeya nankab hwo/he?@|@Are you all ready?@
@winyuze@|@Catch a woman, Marry, to (v)@
@Wiŋyan Taŋka@|@Big Woman (aka Mary Big Woman Under Baggage)  see Under Baggage@
@wíŋyaŋ@|@Woman@
@Wiŋyaŋ Wakpala (Woman River)@|@Loup Fork (on the Platte River)@
@Wiótheȟika Wí@|@January -  Moon of Hard Times@
@Wípazuŋkȟa Sápa Wí@|@June - Moon of Juneberries@
@wíslolye@|@Calculator@
@wíšteča@|@Shy@
@Wistece sni yo/ye@|@Don't be shy@
@wíta@|@Island@
@Witayela oyate taku kpahsi yakel wóichuƞ@|@Collaboration, Together the people pursue a purpose@
@wítka@|@Egg@
@witkótkoka@|@naughty, unruly, act crazy (v)@
@witkótkokA@|@naughty, unruly, act crazy (v)@
@wiwila@|@Spring water, Well@
@wiwóȟa@|@Daughter-in-law@
@wíyaka@|@Feather@
@Wiyaka Luta@|@Red Feather@
@wíyaskabye@|@Glue@
@wíyatke@|@Cup@
@wiyóhiyaŋpata@|@East@
@Wiyohpeyata@|@Oh West, Thunder Being people, look upon me@
@wiyóȟpeyata@|@West@
@wíyukse@|@Scissors@
@Wíyuškiŋyaŋ waŋčhíŋyaŋke (f)@|@Pleased to meet you@
@Wíyuškiŋyaŋ waŋčhíŋyaŋke ló (m)@|@Pleased to meet you@
@wo@|@(If a verb ends in u, o, or uƞ, the gender ending yo becomes )@
@Woayupte kin slolyaya hwo/he?@|@Do you know the answer?@
@wóčhekiye@|@Prayer@
@Wóčhičiyaka wačhíŋ kštó/yeló (F/M speaker)@|@I wish to speak to you, I would like to speak to you@
@wóglaka@|@talk (v)@
@wogluze@|@Incest, Taboo@
@wóhAŋ@|@Cook, to (v)@
@wóihaŋble@|@Vision (in the Vision quest)@
@Woiyunge wanji luha hwo/he?@|@Do you have a question?, Have you got a question?@
@wóksape@|@Wisdom@
@Wol nin kta hwo/he?@|@Are you going to go to eat?@
@wólakȟota@|@Peace@
@wóohitika@|@Bravery@
@wóphila@|@Giving thanks@
@Wóphila Aŋpétu@|@Appreciation ceremony with food@
@Wopila eciciyapi@|@I say thank you to you all, Thank you all@
@Wopila heca@|@Thank you very much@
@wóš’iŋ@|@Bullfrog@
@Wosice sni yo/ye@|@Don't cause trouble@
@Woslá inážiŋ pe/po (F/M speaker)@|@Stand up. (to more than one or to a group)@
@Woslá inážiŋ ye/yo (F/M speaker)@|@Stand up. (to one person)@
@Wosla yanka yo/ye@|@Sit up@
@wóta@|@Eat, to (v)@
@wótA@|@Eat, to (v)@
@Wóta pe/po (F/M speaker)@|@Eat (to more than one personor to a group)@
@Wóta ye/yo (F/M speaker)@|@Eat (to one person)@
@Wóunspé aphasiya aphantun (pi/pelo)@|@Applied science, apply a pursuit, Learning a pursuit, put it together (v), to (v)@
@wóuŋspe omnáye@|@Computer@
@wóuŋspe wówapi sutá@|@Diploma@
@WÓUŠPE YÁMNI@|@Kinship terms@
@wówapi@|@Book@
@Wowapi kin le owalota wacin@|@I want to borrow this book, I would like to borrow this book@
@wówapi Lakȟóta wačhíŋ@|@Teacher, I want the Lakota book now@
@Wówapi mitȟáwa iwáču@|@I got my book@
@Wówapi nitȟáwa iyáču wo/we@|@You get your book? (male/female speaker)@
@wówapi ožúha@|@Envelope@
@wowapi waŋ bluha@|@I have a book@
@wowapi waŋji op'et'uŋ mniŋ kte lo@|@I will go and buy a book@
@wówauŋšila@|@compassion@
@WÓYATKE@|@Drinks@
@wóyuonihaŋ@|@Honor@
@Wóyute@|@Foods@
@WÓYUTE@|@Food@
@Wóyute kíŋ oyúl wašté@|@The food is good and tasty@
@wóžapi@|@Pudding@
@X até waye@|@I call X father@
@X él wathí kštó/yeló (F/M speaker)@|@I live in X@
@X iyá wóyaglaka he?@|@Do you speak X?@
@Y iná waye@|@I call Y mother@
@Y y@|@[j]    (IPA)@
@Ya@|@(shows relationship)@
@Yačhíŋ@|@You want@
@Yagle inceye?@|@You're going home now, right?@
@yamní@|@You spread it out for drying@
@yámni@|@Three@
@Yámni@|@3@
@Yamnúmnuǧapi@|@Pepper@
@Yanuni hwo/he? (M/F speaker)@|@Are you lost?@
@Yathi@|@You live at@
@Yaúŋ@|@You are, You be@
@ye@|@(Command statement - Female singular)@
@Yé@|@Please@
@yeló@|@(Male gender ending in statement  - singular)@
@yo@|@(Command statement - Male singular)@
@yuǧó@|@Tired@
@Yuhá@|@Have, to (v)@
@yukčá@|@Untie, to (v)@
@yukčáŋ@|@Guess, Think, to (v)@
@Yupiya waecanun welo/we@|@You did very well@
@yuš’íŋš’iŋ@|@tickle (v)@
@yuš’íŋyaya@|@Frightened, Shocked@
