@English@|@Lakota@
@Peas@|@Omníča gmigmi@
@Pemmican@|@pápa@
@Pen@|@mnisápa wíčazo@
@Pencil@|@wíčazo@
@Penny (money)@|@mázaša waŋží, mázašala@
@People@|@oyáte, Oyáte@
@People of the spirit lake@|@Mniwákȟaŋtȟuŋwaŋ@
@People of the swamp@|@Sisítȟuŋ, Sisítȟuŋwaŋ@
@Pepper@|@Yamnúmnuǧapi@
@Pharmacist@|@pȟežúta wičhák’u@
@Pickles@|@Kuŋkúŋ pȟá@
@Pierre (SD)@|@Wakpa Šice (Bad River)@
@Pies@|@tȟaspáŋ opémnipi@
@Pig@|@kȟukȟúše@
@Pills@|@pȟežúta gmigméla@
@Pine Ridge@|@Wazí Aháŋhaŋ, Wazi Blo@
@Pine Ridge Reservation@|@Oglala Owakpamni, Owakpamni Oyaŋke@
@Pine tree@|@wazí, wazí čhaŋ@
@Pink@|@šamná, šásaŋ, šástaŋ@
@Pipe@|@čhaŋnúŋpa@
@Pipe song@|@čhaŋnúŋpa olówaŋ@
@Pipe Stone Quarry@|@C'aŋnuŋpa Ok’e, C'aŋnuŋpa Ša K’api, Iŋyaŋ Ša K’api@
@Place of obtaining@|@Ok’e, Oyuze@
@Plains@|@makȟóblaye, obláye@
@Planters by the stream@|@Mnikȟówožu@
@Planters by the stream or water@|@Hoȟwóžu@
@Plaster@|@ȟáŋ wíyaskabye@
@Plate@|@Wakšíča@
@Platte River@|@P'aŋkeska Wakpa (Shell River)@
@play (v)@|@škáta@
@Please@|@Ičhé, Yé@
@Please say that again@|@Akhé eyá pe (f>pl), Akhé eyá po (m>pl), Akhé eyá ye (f>sg), Akhé eyá yo (m>sg)@
@Please speak more slowly@|@Ȟ’ahíya wóglaka yo (m>sg), Ȟ’ahíya wóglaka ye (f>sg), Ȟ’ahíya wóglaka po (m>pl), Ȟ’ahíya wóglaka pe (f>pl)@
@Please write it down@|@Owá pe (f>pl), Owá po (m>pl), Owá ye (f>sg), Owá yo (m>sg)@
@Pleased to meet you@|@Wíyuškiŋyaŋ waŋčhíŋyaŋke (f), Wíyuškiŋyaŋ waŋčhíŋyaŋke ló (m)@
@Plenty Strikes@|@Ota Ap'api@
@Plum@|@kĥáŋta@
@point (v)@|@épazo@
@Police person@|@akíčhita wawóyuspa, čhaŋksáyuha@
@Pollution@|@oníya yušíčapi@
@Pond@|@bléla@
@Poorly behaved@|@oȟ’áŋ šíčA@
@Pop (fizzy drink)@|@Kapȟópapi@
@Porcupine@|@P'ahiŋ Siŋte, pȟahíŋ@
@Pot@|@čhéǧa@
@Potato@|@bló@
@Poultry@|@kȟokȟóyaȟ’aŋla@
@pout (v)@|@wačhíŋkȟo@
@Powder River@|@C'aȟli Wakpala@
@Prairie@|@makȟóblaye, obláye@
@Prarie dog@|@pispíza@
@pray (v)@|@čhékiya@
@Pray for me@|@Wacemiciciya yo/ye@
@Pray now@|@Wana wacekiya yo/ye@
@Prayer@|@wóčhekiye@
@President@|@tȟuŋkášilayapi@
@Pretty Rock  (Felix T Brunot)@|@T'uŋkaŋ Waštena (Yankton Sioux)@
@Pretty Weasel@|@It'uŋkasaŋ Wašte@
@Principal  (a person)@|@owáyawa itȟáŋčhaŋ@
@produce a heavy crunching sound@|@-mnuža  (root word)@
@produce a light crunching@|@-mnuza  (root word)@
@Pronghorn@|@ikpísaŋla@
@Proud@|@ítan@
@Prunes@|@kȟáŋta sápa@
@Pudding@|@wóžapi@
@pull (v)@|@yutítaŋ@
@Pumpkin River@|@Ptaŋnuŋpi Wakpala@
@Purple@|@tȟóša@
@Pursue common learning@|@Ikčé wóunspé ki aphasya (pi/pelo)@
@push (v)@|@patítaŋ@
@put it together (v)@|@Wóunspé aphasiya aphantun (pi/pelo)@
@Put something into something else@|@ógle@
@Put that away@|@He egnaka yo/ye@
@Quapaw@|@Pȟésa@
@Quarry@|@Ok’e, Oyuze@
@Quarter (money)@|@kȟaŋǧí waŋží, šókela@
@Quiet everyone (Female speaker)@|@Iníla yaƞká pe@
@Quiet everyone (Male speaker)@|@Iníla yaƞká po@
@Rabbit@|@maštíŋčala@
@Raccoon@|@wichítegleǧa@
@Raging Buffalo@|@Mat'o Gnaškiŋyaŋ@
@Rain@|@Maǧážu@
@Rain In The Face@|@Exa Magozua, Ite Maǧažu, Ito Magaju, Ito Nagaju@
@Rainbow@|@wígmuŋke@
@Raise your hands@|@Nape yugata po/pe@
@Rapid City@|@Mniluzahaŋ Ot'uŋwahe@
@Rapid water@|@mničáluza@
@Rays of the sun streaming upwards before sunrise@|@iyówata, wiíyowata@
@Reaches For The Wind@|@T'ate Iyohi Wiŋ@
@Read this@|@Le yawa po/pe@
@Red@|@lúta, Šá@
@Red Bird (Gertrude Simmons Bonnin)@|@Ziŋtkala Ša@
@Red Cloud@|@Maȟpiya Luta@
@Red Feather@|@Wiyaka Luta@
@Red Fox@|@Tokala Luta@
@Red Iron@|@Maza Ša (Santee Sioux)@
@Red Leaf@|@Waȟpa Ša@
@Red Owl@|@Hiŋhaŋ Ša, Hiŋhaŋ Ša  (Yankton Sioux)@
@Red Rose@|@Wakačha Ša@
@Red Sack@|@Ojuta Luta@
@Red squirrel@|@zičá@
@Red tailed hawk@|@čaŋšká@
@Red willow bark@|@čhaŋšáša@
@Red winged blackbird@|@wábloša@
@Relations@|@otakuye@
@Relative from his/her side of the family@|@Titakuye@
@Relatives@|@otakuye, takukiciyapi@
@Remember this@|@Le kiksuya yo/ye@
@Remember!@|@Kikšúya@
@Respectful@|@waóhola@
@Return of thunder beings@|@wakíŋyaŋ aglí@
@Returning home@|@kú@
@Ribs@|@thučhúhu@
@Rice@|@psíŋ@
@Right here@|@léna@
@Right side@|@išláyatahaŋ@
@Right there@|@héna@
@right?@|@Yagle inceye?@
@Riley Creek@|@Winuŋȟca Ktepi Watpadaŋ (Where they Killed the Old Woman)  (Santee Sioux)@
@Roan Horse@|@T'ašuŋke Hiŋša@
@Rock@|@íŋyaŋ@
@Rock dove@|@thiwákiŋyela@
@Rock wren@|@iǧúǧaothila@
@Rocky Mountains@|@Ȟe Ška (White Mountains)@
@Rodent@|@itȟúŋkala@
@Root of a plant@|@húte, hutkȟáŋ@
@Rosebud Reservation@|@Sic'aŋǧu Oyaŋke, Sic'aŋǧu T'ipi@
@Rosebud River@|@Uŋjiŋjintka Wakpa@
@Rotten wood@|@čhaŋpúŋpuŋ@
@Rough land@|@ȟeóškiške, oškíške@
@run (v)@|@íŋyaŋkA@
@Running Horse@|@Šuŋg Luzahaŋ@
@Rushmore (Mount)@|@Wic'ite Kakaŋpi (Face Carvings)@
@Rushville@|@Owat'okšu (Hauling Place)@
@Sacred@|@wakȟáŋ@
@Sacred tree@|@čhaŋwákȟaŋ@
@Sad@|@čhaŋtéšičA, iyókšičA@
@Sage@|@pȟeží ȟóta@
@Salamender@|@asápazila@
@Salt@|@Mniskúya@
@Salve@|@ȟáŋ isláye@
@Sand lizard@|@t’élanuwé@
@Saskatchewan River@|@Mni Duza (Fast River) (Santee Sioux)@
@Saturday (6th day)@|@Owáŋka Yužážapi , Aŋpétu Šákpe@
@Say after me@|@Mihakab eya yo/ye@
@Say it loudly@|@Hotankaya eya yo/ye@
@Say it out loud@|@Hotankaya eya yo/ye@
@Say repeatedly@|@eyáya@
@Scarlet Plume@|@Wambdi Ape Duta (Santee Sioux)@
@Scatters his own@|@Oglála@
@School@|@owáyawa@
@Science@|@Slolya ktauƞ wóunspé pasi (yupi/pasiya pelo)@
@Scissors@|@iyúšla, wíyukse@
@Scorpion@|@siŋtíčhapȟe@
@See (v)@|@Waŋyáŋka@
@See something (v)@|@waŋyáŋka@
@September - Moon of Colored Leaves@|@Čhaŋwápe Ǧí Wí@
@Serviette@|@ité ipákiŋte@
@Seven Council Fires@|@Očhéthi Šakówiŋ@
@Shadow@|@naǧí, wanáǧi@
@Shadows on the ground caused by the passage of clouds@|@maȟpíyohaŋzizi@
@Shaggy dog@|@khechá. - (pronounced  khecháh.)@
@Share with each other@|@Okicic'u po/pe@
@Sharp Shooter (John Jandreau)@|@Waoka (Yankton Sioux)@
@She broke her arm@|@Isto kawege@
@She has a headache@|@Hé natá yazáŋ kštó/yeló (F/M speaker)@
@She is coming@|@Ú welo.@
@She is very poor@|@Hé líla waȟpániča kštó/ló (F/M speaker)@
@She lives in Eagle Butte@|@Waŋblí Pahá él he thí@
@Sheep@|@tȟáȟčašuŋkala@
@Shell River@|@T'uki Wakpa@
@Shield@|@Wahac'aŋkayapi@
@Shin Buttes@|@Jaŋjaŋ Blaska (Flat Bottle)@
@Shirt@|@ógle@
@Shocked@|@yuš’íŋyaya@
@Shoes@|@háŋpa@
@Shooter@|@Wak'ute (Santee Sioux)@
@Shooting Hawk@|@C'etaŋ Wak'ute (Yankton Sioux)@
@Shooting star@|@wakȟáŋ woȟpa@
@Shoots among the leaves@|@Waȟpékhute@
@Short@|@ptéčela@
@Shortening (lard)@|@wígli@
@Should we go now?@|@Wana unyanpi heci?@
@Shoulder@|@hiŋyéte@
@Shoulder blade@|@abló@
@Show me!@|@Makípazo wo!@
@Shsh. Be quiet! (Female speaker)@|@Iníla yaƞká ye@
@Shsh. Be quiet! (Male speaker)@|@Iníla yaƞká yo@
@Shy@|@sču, wíšteča@
@Sick@|@khúža@
@Silver@|@mázaska, mázaskaska@
@Sioux Falls@|@Ȟaȟa@
@Sister-in-law@|@haŋká (M speaker), sčépȟaŋ (F speaker)@
@Sit down@|@Iyotaka po/pe@
@Sit quietly. (to more than one or to a group)@|@Iníla yaŋká pe/po (F/M speaker)@
@Sit quietly. (to one person)@|@Iníla yaŋká ye/yo (F/M speaker)@
@Sit quietly/Be quiet@|@Inila yanka po/pe@
@Sit still!@|@Owanjila yanka yo/ye!@
@Sit up@|@Wosla yanka yo/ye@
@Sitting Bull@|@T'at'aŋka Iyotake@
@Six (Shakopee)@|@Šakpe@
@Skeptical@|@wačhét’uŋgla@
@Skin@|@há@
@Skinny@|@tȟamáheča@
@Skull@|@natáhu@
@Skunk@|@maká@
@Sleepy Eyes@|@Išta Ištiŋba  (Santee Sioux)@
@Sleet@|@waȟ’éča@
@Slippery@|@šlušlúte@
@Slow@|@ȟ’aŋhí@
@Small@|@čík'ala@
@smell (v)@|@ómna@
@Smoke (n)@|@šóta@
@Smoking Earth@|@Mak'izita Wakpala (a place on the White River)@
@Smudge@|@azílya (v)@
@Snake@|@zuzéča@
@Snake River@|@Waŋbduška Wakpa (Santee Sioux)@
@Snapping turtle@|@khéya@
@Snow@|@Wá@
@Snow flurries@|@ičámna@
@Snowing@|@wá hiŋhé@
@Sober up@|@Kibleza yo/ye@
@Socks@|@huŋyákȟuŋ@
@Somebody (used in a memorial song)@|@Tuwe sece k'un@
@Someone@|@waŋží@
@Someone was looking for you@|@Tuwa onile@
@Son@|@Čhiƞkší, Čhíŋkš (M or F speaker)@
@Song@|@olówaŋ@
@Son-in-law@|@tȟakó (M or F speaker), wičháwoȟa@
@Sore@|@boo-boo - (children’s term)@
@Soup@|@waháŋpi@
@South@|@itókaǧata@
@South Dakota@|@Pažóla Otȟúŋwahe@
@South Platte@|@T'ate T'acaŋku (Wind Road), Wašiŋ Wakpa (Fat River)@
@South Scatterwood Lake@|@C'aŋ Ȟaȟacedaŋ (Santee Sioux)@
@Spanish J in Roja@|@ȟ@
@Speafiish@|@Hoc'ap'e@
@Spear River@|@Wahuk'eza Wakpala@
@Spider@|@iktómi@
@Spirit@|@naǧí, wanáǧi@
@Spirit Lake@|@Mde Wak'aŋ (Santee Sioux)@
@split something with ease (v)@|@-sléčA  (root word)@
@Spoon@|@čhiŋšká@
@Spotted Crow@|@K'aŋǧi Gleška@
@Spotted Eagle@|@Na hocunka, wambli gleska ahitonwan po@
@Spotted Elk@|@Uŋpaŋ Gleška@
@Spotted Elk (Chief)@|@Hehaka Gleška@
@Spotted Tail@|@Šiŋte Gleška@
@Spotted Weasel@|@It'uŋkasaŋ Gleška@
@Spread@|@otȟáŋiŋ@
@Spring (season)@|@wétu@
@Spring Creek@|@T'aŋpa Oju Wakpadaŋ (White Birch Creek) (Santee Sioux)@
@Spring water@|@mniówe, wiwila@
@Sprinkle (weather)@|@mni š’éš’e@
@Squash@|@Wagmú@
@St Francis@|@Sapa Uŋ Ot'i (Home of the Black Robes)@
@Stabber@|@Wac'ap'e@
@Stand up and remove your hat@|@Inajin na wapostan glusloka po/pe.@
@Stand up and remove your hats@|@Inajinpi na wapostan glusloka po/pe@
@Stand up. (to more than one or to a group)@|@Woslá inážiŋ pe/po (F/M speaker)@
@Stand up. (to one person)@|@Woslá inážiŋ ye/yo (F/M speaker)@
@Standing Bull@|@T'at'aŋka Najiŋ@
@Standing Bull Walking@|@T'at'aŋka Wosla Mani@
@Standing Cloud@|@Mahpiya Najiŋ@
@Standing Elk@|@Hehaka Najiŋ (Yankton Sioux)@
@Standing Rock@|@Iŋyaŋ Bosdata  (Santee Sioux), Iŋyaŋ Woslal Haŋ@
@Stapler@|@wínaskilye@
@Star@|@wičháȟpi@
@Star Face@|@Wic'aȟpi Itet'uŋ@
@state of being (v) {the verb to be}@|@Úŋ@
@Steady rain@|@mniwózaŋ@
@Steam oneself@|@ap’óič’iya (v)@
@Stem@|@hútela@
@Stink turtle@|@khes’ámna@
@Stomach@|@thezí@
@Stone@|@íŋyaŋ@
@Stop!@|@Ayúštaŋ yo (m>sg)@
@Storm@|@wakíŋyaŋ aglí@
@Straw hat@|@psá wapȟóštaŋ@
@stretch (v)@|@iglúzičA@
@Strong@|@sutá@
@Strong wind@|@tȟaté tȟáŋka@
@Struck By The Ree@|@P'adani Ap'api (Yankton Sioux)@
@Stubborn@|@wanáȟ’uŋ šni@
@Stud horse@|@šuŋngblóka@
@Student@|@wayáwa@
@Sugar@|@čhaŋháŋpi@
@Summer@|@blokétu@
@Sun@|@wí@
@Sun dogs (reflections of colored light on either side of the sun in cold weather)@|@wiáčheič’ithi@
@Sundance Rite@|@Wi Wáŋyaŋg Wačhípi@
@Sunday (Holy day) (7th day)@|@Aŋpétu Wakȟáŋ / Aŋpétu Šakówiŋ@
@Sunny@|@Mašté@
@Sunny weather@|@maštešte@
@Sunrise@|@wí hinápȟe@
@Sunset@|@wí mahél iyáya, wímahíyaya@
@Sunshine@|@mašté@
@Sure@|@oháŋ@
@Surprised@|@itȟúŋpȟa@
@Swamp@|@pteǧá@
@Swan@|@maǧáska@
@Swan Lake@|@Maǧa T'aŋka Ota@
@Sweat/Purification Rite@|@Inípi / Iníkaǧapi@
@Sweetgrass@|@wačháŋǧa@
@Sweets@|@čhaŋháŋpšaša, čhaŋmskúya@
@Table@|@akáŋ wówapi, wáglutapi@
@Tablets@|@pȟežúta gmigméla@
@Taboo@|@wogluze@
@Take either one@|@Unmagma icu wo/we@
@Take it@|@Icu wo/we@
@Take something to one@|@kakhí@
@Táku eníčiyapi he@|@What's your name?@
@talk (v)@|@wóglaka@
@talk about (v)@|@Iwoglaka@
@Tall@|@háŋska@
@taste (v)@|@iyútȟA@
@Tawny@|@ži@
@Tea@|@Waȟpé kȟalyapi@
@Teach me@|@Uŋspémakhiya ye/yo (F/M speaker)@
@Teacher@|@waŋná, Waúŋspekhiya, waúŋspewičhákhiya, wówapi Lakȟóta wačhíŋ@
@Teachers aide@|@waúŋspewičhákhiya ókiya@
@Teenage boy@|@kȟoškálaka@
@Teenage girl@|@wikȟóškalaka@
@Teeth@|@hí@
@Tell the truth@|@Wicaka yo/ye@
@Term of endearment used only for those we have developed a close relationship with@|@Lalá@
@Term of respect and should be used for addressing anyone who is  near the same age as our own grandfather@|@Tȟuŋkášila@
@Thank you@|@hahó hahó! - (expression of gratitude), Hayé hayé - (used in addressing sacred beings)@
@Thank you all@|@Wopila eciciyapi@
@Thank you very much@|@Wopila heca@
@Thanks@|@philámayaye@
@Thanksgiving@|@Waglékšuŋ Yútapi Aŋpétu@
@That is not right@|@Héčhetu šni kštó/yeló (F/M speaker)@
@That man has got some dried meat@|@Wičháša kiƞ hé pápa etáƞ yuhá@
@That man has some dried meat@|@Wičháša kiƞ hé pápa etáƞ yuhá@
@That one doesn't listen@|@He wanah'un sni@
@That person is nuts/wild@|@He witkotkoke@
@That startled/scared me@|@He yus'inyemaye@
@That's all@|@Hecegla!@
@That's good enough@|@Hehan waste@
@That's it!@|@Hecegla!@
@the@|@tȟaŋčháŋ, tȟapȟúŋ@
@The@|@Waanataŋ@
@The baby is so cute@|@Hoksicala kin wastela@
@The bell's going to ring soon@|@Ecani kahla kte@
@The Black Hills@|@Ȟesápa@
@The car doesn't run@|@Iyecinkinyanke kin iyaye sni@
@The car won't start@|@Iyecinkinyanke kin iyaye sni@
@The chief is here now@|@Itancan kin wana hi@
@The Courage to change the things I can@|@Nahan taku ohitiya bluto kecha okihi maya yo@
@The deed made me feel good@|@Philámayaye ló - (masculine speaker)@
@The earth only endures@|@makȟá kiŋ lečhála tȟéhan yuŋké ló’@
@The food is good and tasty@|@Wóyute kíŋ oyúl wašté@
@the gender ending yelo becomes )@|@welo@
@the gender ending yo becomes )@|@wo@
@The Lakota@|@Thítȟuŋwaŋ@
@The old men say@|@Wičháȟčala kiŋ heyá peló’@
@The other one@|@uŋmá@
@The other way@|@Unmacetkia@
@the people are gathered@|@Taku un oyate oshpaya witap@
@The Plough@|@wichákhiyuhapi@
@the thunders have killed you  (Said when killing a spider)@|@Kola, wakinyan niktepi@
@The tire is flat@|@Hugmiyan kin nasnije@
@There's no relationship over here (song line refering to incest probability)@|@Leciya otakuye wanice lo@
@These@|@lená@
@they always pursue learning@|@Pejuta ounye uha wóunspé ki henna wa yasu yakel pasi (pi/pelo)@
@They are good@|@Hená wašté peló@
@They are good (female speaking)@|@Hená waštépi ksto@
@They are good (Female speaking)@|@Hená waštépe@
@They call me Mike@|@Mike emáčiyapi@
@They called me to the office@|@Office ekta micob@
@They came to pick you up@|@Hiyonihipi@
@They have (Female speaker) [hena can be dropped]@|@(hená) yúhapi@
@They have (Male speaker) [hena can be dropped]@|@(hená) yúhapeló@
@They left@|@éyaya@
@They pursue learning@|@Slolya ktauƞ wóunspé pasi (yupi/pasiya pelo)@
@They say it's going to be hot@|@Okatin kta keyapi@
@They sent him@|@uyápi@
@They will learn something so they try it@|@Taku un unspepi khtacha iutha (pi/pelo)@
@Thigh@|@čhečá@
@Think@|@yukčáŋ@
@This I ask so that these people may live@|@ho hecel lena oyate kin nipi kte, Lecel wacin@
@This is mine@|@Lé mitȟáwa kštó/yeló (F/M speaker)@
@This morning@|@híŋhaŋni@
@Those@|@hená@
@Three@|@yámni@
@Three Bears@|@Mat'o Yamni@
@Throat@|@loté@
@Throw it away!@|@Ihpeya yo/ye!@
@Throwing of the Ball Rite@|@Tȟápa Waŋkál Yeyápi / Tȟápa Kaȟ’ól Iyéyapi@
@Thumb@|@napȟáhuŋka@
@Thunder@|@wakíŋyan hotȟúŋpi@
@Thunder Being people@|@wakinya oyate kin ahitonwan po, Wiyohpeyata@
@Thunder Face@|@Ite Wakiŋyaŋ@
@Thunder Horse@|@Wakiŋyaŋ T'asuŋke@
@Thursday (4th day)@|@Aŋpétu Tópa@
@Tick (insect)@|@tȟaskákpa@
@tickle (v)@|@yuš’íŋš’iŋ@
@Tired@|@yuǧó@
@Tired out@|@watúkȟa@
@to@|@-mnuža  (root word), ȟá, Ikčé wóunspé ki aphasya (pi/pelo)@
@to   (like packed snow)@|@-mnuza  (root word)@
@to  (v)@|@tákuya@
@to - they pursue learning@|@Slolya ktauƞ wóunspé pasi (yupi/pasiya pelo)@
@to (v)@|@apéhaŋ, eyáya, Ičú, íŋ, íputȟaka, íputȟakA, iyágle, kakhí, Khiyéla Iwaƞyaƞka pi/pelo, kúŋ, naká, ógle, otȟáŋiŋ, takuya, takúya, takuye, Tȟí, tuŋwáŋ, Úŋ, waŋží, winyuze, wóhAŋ, wóta, wótA, Wóunspé aphasiya aphantun (pi/pelo), Yuhá, yukčá, yukčáŋ@
@to be (v)@|@Ečíyapi, kĥáta, kú, ótȟaŋiŋ@
@To the center@|@Na hocunka, wambli gleska ahitonwan po@
@To the Earth@|@makȟátakiya@
@To the east@|@Na wiyohinyanpata, sinte sapila oyate ahitonwan po@
@To the north@|@Na waziyata, tatunka oyate kin ahitonwan po@
@To the south@|@Na itokagata, wambli oyate kin ahitonwan po@
@Tobacco@|@canlí@
@Tobacco ties@|@čhaŋlí wapȟáȟta@
@Today@|@Aŋpétu kiŋ lé, Lé aŋpétu kiŋ@
@Toe@|@siókaza, sipȟá@
@Toenail@|@sí šáke@
@Together@|@ptáya@
@Together people pursue learning@|@Pta yela oyate ki takuƞ wounspe itahan pasiyakel skan (pi/pelo)@
@Together the people pursue a purpose@|@Witayela oyate taku kpahsi yakel wóichuƞ@
@Tomato@|@uŋžíŋžiŋtka@
@Tomatoes@|@uŋžíŋžiŋtka@
@Tomorrow@|@híŋhaŋni kiŋ@
@Tongue@|@čheží@
@Tongue River@|@T'ac'eji Wakpa@
@Tonight@|@haŋhépi kiŋ@
@touch (v)@|@épatȟaŋ@
@Toward the hills@|@ȟeyátakiya@
@Towards above@|@waŋkátakiya@
@Transparent@|@sóta@
@Tree@|@čháŋ@
@Tree branch@|@alétka, čhaŋáletka@
@Tree fungus@|@čhaŋnákpa@
@tremble (v)@|@čhaŋčháŋ@
@Tribal chairman@|@oyáte itȟáŋčhaŋ@
@Tribal councilman@|@omníčiye wičháša, pȟoǧó wičháša@
@Tribal councilwoman@|@omníčiye wíŋyaŋ, pȟoǧó wíŋyaŋ@
@Trill@|@uŋȟnáǧičala hotȟúŋpi@
@Tripe@|@tȟaníǧa@
@Try it@|@Iyuta yo/ye@
@Tuesday (2nd day)@|@Aŋpétu Núŋpa@
@Turkey@|@Waglékšuŋ  (male), Zizíčha@
@Turkey Eating Day@|@Waglékšuŋ Yútapi Aŋpétu@
@Turkey vulture@|@hečá@
@Turn off the lights@|@Okpasya yo/ye@
@Turn on the lights@|@Ojanjan kin yuile yo@
@Turn out the lights@|@Okpasya yo/ye@
@Turnip@|@thíŋpsila@
@Turtle@|@khéya@
@Twitch@|@naká@
@Two kettles@|@Oóhenuŋpa@
@Two Strikes@|@Num Kaȟpa@
@Two Woods Lake@|@C'aŋ Nuŋpa Mde (Santee Sioux)@
@Two year old deer@|@tȟáhežata@
@Two year old elk@|@tȟáhežata@
@Uncle@|@até (if father’s brother), Lekší (M or F speaker)@
@Under Baggage@|@Wapin Ohlate@
@Universe@|@makȟásitómniyaŋ@
@unruly@|@witkótkoka, witkótkokA@
@Untie@|@yukčá@
@Upper@|@Watpa Ipakšaŋ, Watpa Ipakšaŋ  (River Bend)  (Santee Sioux)@
@Upper arm@|@aȟčó@
@Upper Big Sioux River@|@Watpa Ipakšaŋ  (River Bend)  (Santee Sioux)@
@Valentine Nebraska@|@Oinajiŋ Ot'uŋwahe (Stopping Place), Oinajiŋta (Stopping Place)@
@Valley@|@ósmaka, wakȟógla@
@Very good@|@Líla wašté ksto  (Female speaking), Líla wašté yeló@
@Very well@|@Líla wašté yeló@
@visible@|@ótȟaŋiŋ@
@Vision (in the Vision quest)@|@wóihaŋble@
@Vision Quest Rite@|@Hanbléčheya@
@Vocabulary@|@Wičhóiye@
@Waist@|@pȟaǧé@
@Wait now…@|@Hinyanka@
@Wake up! (to more than one or to a group)@|@Kiktá pe/po! (F/M speaker)@
@Wake up! (to one person)@|@Kiktá ye/yo! (F/M speaker)@
@walk (v)@|@máni@
@Walking Buffalo@|@T'at'aŋka Mani  (Santee Sioux)@
@want (v)@|@Čhiŋ@
@want for someone (v)@|@kičhíŋ@
@Wasp@|@wičháyažipa - (pronounced  wičháažipa)@
@Watch out!@|@Wakta po/pe!@
@Water@|@mni@
@Waterfalls@|@mni-íyoȟaȟa@
@Watermelon@|@špáŋ šni yútapi@
@We are@|@uŋk’úŋpi@
@We are going to play now@|@Waná uŋškátapi kte kštó (F/M speaker)@
@We are one of ....@|@uŋwaŋží@
@We can tell the whole world what we're doing (song line)@|@Unkokihi kin he unkotanin kte lo@
@We go@|@uŋyáŋpi@
@We have (Female speaker)@|@Uƞyúhapi@
@We have (Male speaking)@|@Uƞyúhapelo@
@Wear around the shoulders@|@íŋ@
@Weary@|@watúkȟa@
@weasel@|@itȟúŋkasaŋ@
@Wednesday (3rd day)@|@Aŋpétu Yámni@
@Welcome (more than one)@|@Taŋyáŋ yahípi@
@Welcome (to my home)@|@hókahé!@
@Welcome (to one)@|@Taŋyáŋ yahí@
@Well@|@mničápi (noun), mniówe, wiwila, zaŋní (opposite to sick), zaŋniyaŋ (adjective)@
@Well!@|@éya@
@Well…@|@Eya le…/Ho eya…@
@West@|@wiyóȟpeyata@
@Wet@|@spáya@
@What@|@Táku@
@What are you doing?@|@Tak tokanunhan hwo/he?@
@What day is it today?@|@Lehanl taku anpetu hwo/he?@
@What did I just say?@|@Lecas tak epa hwo/he?@
@What did you do last night?@|@Hanhepi tak tokanun hwo/he?@
@What do you have? (Female speaker)@|@Táku luhá he?@
@What do you have? (Male speaker)@|@Táku luhá hwo?@
@What do you mean?@|@Taku yaka hwo/he?@
@What do you think?@|@Toske ilukcan hwo/he?@
@What do you want to drink?@|@Táku latkáŋ yačhíŋ he?@
@What do you want to eat?@|@Táku yatá yačhíŋ he?@
@What do you want?@|@Taku yacin hwo/he? (M/F speaker)@
@What does the boy have?  (Male speaking)@|@Hokšíla kiƞ lé táku yuhá hwo?@
@What does the boy have? (Female speaker)@|@Hokšíla kiƞ lé táku yuhá he?@
@What else?@|@Taku ko?@
@What has the boy got?  (Female speaker)@|@Hokšíla kiƞ lé táku yuhá he?@
@What have you got? (Female speaker)@|@Táku luhá he?@
@What have you got? (Male speaker)@|@Táku luhá hwo?@
@What is his/her name?@|@Táku ečíyapi he/hwo? (F/M speaker)@
@What is that?@|@Hé táku he/hwo? (F/M speaker)@
@What is your name?@|@Ták eníčiyab he/hwo? (F/M speaker), Táku eníčiyapi he/hwo? (F/M speaker)@
@What kind of day is it now?@|@eháƞ aƞpétu tókča he?@
@What kind of day is it over there?@|@Héčiya aƞpétu tókča he?@
@What kind of?@|@Tókča@
@What time is it?@|@Mázaškaŋškaŋ tóna he/hwo? (F/M speaker), Oápȟe tóna he/hwo? (F/M speaker)@
@What would you like to dirink?@|@Táku latkáŋ yačhíŋ he?@
@What would you like to eat?@|@Táku yatá yačhíŋ he?@
@Whatever@|@Taku kaheci@
@What's happening?@|@Tókȟa@
@What's his/her name?@|@Tak eciyap so....@
@What's up?"@|@Toka hwo/he?@
@What's wrong with you?"@|@Tonikca hwo/he?@
@What's your name?@|@Táku eníčiyapi he@
@When - (in the future)@|@Tóhaŋl@
@When?@|@Tóhaŋ@
@Where@|@Túktel@
@Where are you from?@|@Tukténitáŋhaŋ he/hwo? (F/M speaker)@
@Where are you going to sit?@|@Tuktel ilotakin kta hwo/he?@
@Where are you going?@|@Tókhiya lá he/hwo? (F/M speaker)@
@Where do you come from?@|@Tuktétaŋhaŋ yaú he/hwo? (F/M speaker)@
@where do you live?@|@Na níš, tuktél yathí he/hwo? (F/M speaker)@
@Where do you live?@|@Túktel yathí hwo/he? (M/F speaker)@
@Where does your aunt live?@|@Nitȟúŋwiŋ  túktel thí he?@
@Where have you been?@|@Tókhiya yaúŋhaŋ he/hwo? (F/M speaker)@
@Where is the toilet?@|@Otȟáŋkaye kiŋ tuktél úŋ he?@
@Where to?@|@Tókhiya@
@Whetstone@|@Miyogli Oyuze@
@Which one?"@|@Tuktunma?@
@Which way?@|@Tuktogna?@
@Whirlwind@|@wamníomni@
@White@|@Ská@
@White birch@|@tȟaŋpá@
@White Buffalo Calf Maiden@|@Pté Sáŋ Wíŋ@
@White Buffalo Calf Woman@|@Ptehiŋcala Saŋ Wiŋ@
