@English@|@Persian@
@liaison officer@|@afsare ertebât, râbet@
@libel@|@nâfre akâzib@
@liberal@|@âzâdikhâh, karim@
@liberalism@|@âzâdikhâhi@
@liberality@|@hâtembakhshi, sakhâvat@
@liberated@|@khalâs@
@liberation@|@nejât@
@liberty@|@âzâdi, horriyat@
@librarian@|@ketâbdâr@
@library@|@ketâbkhâne@
@licence@|@ejâzenâme, parvâne@
@lichen@|@pise@
@lichen [kind of]@|@pise@
@lick [to]@|@leshtan, lisidan@
@lid@|@dahane@
@lie@|@dorugh@
@lie [to]@|@dorugh goftan@
@lies@|@akâzib@
@lieu@|@ezâ@
@lieutenant@|@setvân@
@lieutenant-colonel@|@nâebsarhang, sarhang dovvom@
@lieutenant-commander (naval)@|@nâkhodâ sevvom@
@lieutenant-general@|@sarlashkar@
@life@|@hayât, jân, omr, zendegi, zist@
@lift [to]@|@boland kardan@
@lifting@|@raf'@
@ligament@|@peivand@
@ligature@|@râbet, râbete@
@light@|@nur, partou, roushan, roushanâi, sho'â'@
@light (not heavy)@|@sabok@
@light (of a fire; intr.) [to]@|@dar gereftan@
@light (of the sun)@|@tâbesh@
@light of my eye(s)@|@nure cashmi@
@light touch with the finger@|@angolak@
@lightning@|@barq@
@lights@|@nirân (pl. of nur)@
@like@|@mânand(e), mesl(e), nazir, shabih@
@like [to]@|@dust dâshtan@
@like a madman@|@divânevâr@
@like that@|@conân@
@like this@|@conin, kazâ@
@likeness@|@amsâl (pl. of masal), shabâhat@
@likewise@|@ham@
@lily@|@susan@
@limb@|@ozv@
@lime@|@âhak, gac@
@limekiln@|@kure@
@limit@|@hadd@
@limitation@|@tahdid@
@limited@|@ma'dud@
@limited (to)@|@monhaser@
@limits@|@hodud (pl. of hadd)@
@limp [to]@|@lang zadan, langidan@
@limpid@|@sâf@
@line@|@khatt, masir, reshte, saff@
@lineage@|@nasab, rag@
@linen@|@katân, kattân@
@lines@|@khotut (pl. of khatt)@
@link@|@râbet, râbete@
@linked@|@mosalsal@
@linseed@|@bazrak@
@lion@|@shir@
@lip@|@lab@
@listen [to]@|@gush dâdan, gush kardan, shenidan@
@listener@|@shenavande@
@literacy@|@savâd@
@literal@|@lafzi, loghavi, taht ol-lafzi@
@literary@|@adab parvar@
@literary composition@|@tasnif@
@literary remains@|@âsâr (pl. of asar)@
@literary work@|@ta'lif@
@literary works@|@tasânif (pl. of tasnif)@
@literate@|@bâsâvâd@
@litigation@|@da'vâ, khosumat, nezâ'@
@little@|@andak, kam, kucek, qalilan@
@little (noun)@|@sheme@
@little [subs]@|@kami, qadri@
@little by little@|@kam kam@
@little small@|@qalil@
@live [to]@|@zistan@
@livelihood@|@ma'âsh@
@liver@|@jegar@
@load@|@bâr@
@loading [subs]@|@bârgiri@
@loam@|@tin@
@loan@|@vâm@
@local@|@mahalli@
@local troops@|@jond@
@lock@|@qofl@
@locks@|@gis, gisu@
@locust@|@malakh, senn@
@lofty@|@shâmekh@
@logic@|@manteq@
@loincloth@|@long@
@loins@|@kamar@
@long@|@darâz, derâz, tulâni@
@long (of time)@|@madid@
@long for [to]@|@havâ(ye cizi) kardan@
@long sighted@|@durbin@
@long-suffering@|@tahammol@
@look@|@lahze, nazar, negâh@
@look [to]@|@negâh kardan, negarestan@
@look for [to]@|@jostan@
@look into [to]@|@rasidegi kardan@
@looking after@|@morâqeb, morâqebat@
@looking at@|@nazar@
@looking attentively@|@molâheze@
@loom@|@dastgâh@
@loose@|@shol@
@lord@|@rabb@
@lord [obs]@|@khodâvand@
@lorry@|@mâshine bâri@
@lose (a wager; game) [to]@|@bâkhtan@
@lose [to]@|@az dast dâdan@
@loss@|@âsib, kasr, latme, noqsân, sadame, talaf, ziân@
@loss (damage)@|@khesârat@
@loss of dignity@|@kasr osh-sha'n@
@losses@|@talafât@
@lost@|@gom, mafqud, zaye'@
@lottery@|@qor'e@
@louse@|@shepesh@
@love@|@eshq, hobb, mavaddat, mehr, mohabbat@
@lover@|@âsheq@
@low@|@foru, past@
@lower@|@pâin@
@lower part@|@pâin@
@loyal@|@mokhles@
@loyalty@|@sadâqat@
@lucid@|@sâhebnazar@
@luck@|@bakht@
@lump sugar@|@qand@
@lunar@|@qamari@
@lunatic asylum@|@timârestân@
@lunch@|@nâhâr@
@lung@|@rie, shosh@
@lust@|@havâ, havas@
@lustre@|@darakhshandegi, jelve, seiqal, sho'â'@
@lute@|@cang@
@luxury@|@aiyâshi, eish, tafannon@
@macaroni@|@reshte@
@macaroni [kind of]@|@reshte@
@mace@|@gorz@
@machination@|@sâkhtegi@
@machine-gun@|@mosalsal@
@machinery@|@mâshinâlât@
@machine-tools@|@mâshinâlât@
@mad@|@divâne, hâr@
@made@|@masnu', sâkhte@
@made into three@|@mosallas@
@made light@|@mokhaffaf@
@made of brass@|@berenji@
@made of lapis lazuli@|@lâjvardi@
@made over@|@vâgozâr@
@madhouse@|@dâr ol-majânin@
@madman@|@divâne@
@madness@|@jonun@
@magazine@|@khazine, majalle@
@magazine (of a gun)@|@khazâne@
@magic@|@jâdu@
@magician@|@jâdugar@
@magnet@|@kahrobâ@
@magnifying glass@|@zarretin@
@magpie@|@zâgh@
@main road@|@shâhrâh@
@maintaining (an opinion)@|@qâel, qâyel@
@maize@|@zorrat@
@majesty@|@hazrat, jalâl, veqâr@
@major (mil) [obs]@|@yâvar@
@major (military officer)@|@sargord@
@major-general@|@sartip@
@majority@|@aksariyat@
@make@|@sâkht@
@make [to]@|@kardan, sâkhtan@
@make a marriage contract [to]@|@aqd bastan@
@make a plan [to]@|@naqshe kashidan@
@make a recommendation [to]@|@sefâresh kardan@
@make a speech [to]@|@notq irâd kardan@
@make a surgical operation [to]@|@jarrahi kardan@
@make a will [to]@|@vasiyat kardan@
@make allusions (to) [to]@|@gushe zadan@
@make amends [to]@|@talâfi kardan@
@make an agreement [to]@|@qarârdâd bastan@
@make an assault [to]@|@tâkhtan@
@make an attack [to]@|@hamle bordan@
@make an effect [to]@|@ta'sir bakhshidan@
@make an estimate [to]@|@barâvard kardan@
@make an excuse [to]@|@shâne khâli kardan@
@make available [to]@|@farâham sâkhtan@
@make compliments [to]@|@ta'ârof kardan@
@make conformable (with) [to]@|@tatbiq kardan (bâ)@
@make do [to]@|@qanâ'at kardan@
@make good [to]@|@talâfi kardan@
@make insinuations [to]@|@ta'ne zadan@
@make manifest [to]@|@boruz dâdan@
@make over [to]@|@sepordan, vâ gozâshtan@
@make prisoner [to]@|@gereftan@
@make public [to]@|@boruz dâdan@
@make ready [to]@|@hâzer kardan@
@make up [to]@|@talâfi kardan@
@make up one's mind [to]@|@tasmim gereftan@
@maker of sugar candy@|@qannâdi@
@making a pronunciation error@|@tashif@
@making a speech [subs]@|@sokhanvari@
@making an ostentatious display@|@tazâhor@
@making clear@|@touzih@
@making exception@|@tab'iz@
@making known@|@ta'rif@
@making manifest@|@boruz@
@making over@|@vâgozâri@
@making public@|@boruz@
@making ready@|@tahiye@
@malaria@|@tab o noube@
@male@|@nar@
@malevolence@|@kin, kine@
@malice@|@hasad, kin, kine@
@malignant@|@sharir@
@malignity@|@gharaz@
@man@|@âdam, bashar, ensân, mard@
@man of letters@|@adib, dabir@
@manage [to]@|@edâre kardan@
@managed@|@mazbut@
@manager@|@kârpardâz, ra'is@
@managing@|@edâre@
@mandarin@|@nârangi@
@mandate@|@qeimumiyat@
@mane (of an animal)@|@yâl@
@mange@|@gar@
@manifest@|@fâhesh, fâsh, padid, padidâr, zâher@
@manifesto@|@e'lâmiye@
@mankind@|@bani âdam, ensân@
@manliness@|@mardânegi, mardi@
@manly@|@mardâne@
@manner@|@cegunegi, khui, navâkht, nou', tariqe, tarz, tour@
@manner (method)@|@shive@
@manner (mode)@|@dastur, vajh@
@manner (way)@|@envân, nahv@
@manners@|@âdâb (pl. of adab)@
@manufacture@|@sâkht@
@manufacture of armaments@|@tokhshaiye artesh@
@manufactured@|@masnu'@
@manure@|@kud, kut@
@many@|@besyâr, candân, ziâd@
@many a@|@basi@
@map@|@naqshe@
@marble@|@marmar@
@marching@|@kuc@
@march-past@|@rezhe@
@mare@|@mâdiân@
@margin@|@hâshie@
@mark@|@alâmat, dâgh, neshân, she'âr@
@markedly@|@be marâteb@
@market@|@bâzâr@
@marking out@|@rasm@
@marriage@|@ezdevâj@
@marriage contract@|@aqd@
@marrow@|@maghz@
@marrow (plant)@|@kadu@
@marry [intrans] [to]@|@ezdevâj kardan@
@marsh@|@batlâq, bâtlâq, botlâq@
@martyr@|@shahid@
@martyrdom@|@shahâdat@
@marvel@|@ajibe@
@marvellous@|@ajab@
@masculine@|@mozakkar, nar@
@mass@|@tude@
@massage@|@moshtmâl, moshtmâli@
@mast@|@dakal, sotun@
@master@|@âqâ, arbâb (pl. of rabb), khodâvand, ostâd, sâheb@
@master [to]@|@dast yâftan@
@master craftsman@|@ostâd@
@master of the house@|@mizbân@
@masters@|@ulu (used as plural of zu)@
@match@|@lenge, mosâbeqe@
@match (for lighting)@|@kebrit@
@material@|@pârce@
@material (opp. to spiritual)@|@mâddi@
@materials@|@masâleh (pl. of maslahat), mavâdd (pl. of mâdde)@
@maternal aunt@|@khâle@
@maternal uncle@|@dâi@
@mathematical solid@|@jesm@
@matrimony@|@zanâshui@
@matter@|@amr, bâb, matlab, mouzu'@
@matter (as opposed to spirit)@|@mâdde@
@matters@|@matâleb, mavâdd (pl. of mâdde), omur@
@matting@|@hasir@
@mattress@|@doshak@
@mature (of a person)@|@pokhte@
@maturity@|@bolugh, pokhtegi, rasidegi, roshd@
@maturity (of a bill)@|@sarrasid@
@mausoleum@|@maqbare@
@may God be pleased with him@|@razia 'llâh anhu@
@may God bless (you)@|@bârak allâh@
@mayor (of a town)@|@shahrdâr@
@meadow@|@caman, camanzâr, margh, marghzâr, marta'@
@meadow-land@|@camanzâr@
@mean@|@dun, haqir, nâkas, nâmard, past@
@meaning@|@fahvâ, mafhum, ma'nâ, ma'ni, mazmun, mesdâq@
@meanings@|@ma'âni (pl. of ma'nâ)@
@meanness@|@mazallat@
@means@|@vasâ'el, vasâyel (pl. of vasile), vasile@
@means of subsistence@|@ma'âsh@
@means of transport@|@vasâ'ete naqliye@
@meanwhile@|@dar eine hâl, dar in zemn, dar zarf(e), zemnan@
@measles@|@sorkhak@
@measure@|@eqdâm, meqyâs, mizân, peimân, qadr, sanj@
@measure [to]@|@peimudan@
@measure of 40 sir@|@man@
@measure of ground@|@qafiz@
@measure of length@|@farsakh@
@measure of water@|@jorre, sabu, tâq@
@measure of weight@|@sang@
@measures@|@mavâzin (pl. of mizân)@
@meat@|@gusht@
@meat roasted on a skewer@|@kabâb@
@medal@|@neshân@
@meddling@|@fozul, fozuli, modâkhele@
@mediation@|@miânjigari, shefâ'at, tavassot@
@mediator@|@miânji, motavassel, vâset, vâsete@
@medical treatment@|@modâvâ@
@medicinal draught@|@sharbat@
@medicine@|@dâru, davâ, hekmat, pezeshki, tebb@
@mediocre@|@motavasset@
@meditation@|@andife@
@meet [to]@|@bar khordan, be ham rasidan@
@meeting@|@ejtemâ', leqâ, molâqât, talaqqi@
@meeting face to face [adj]@|@movâjeh@
@meeting with@|@docâr@
@melancholy@|@delgir@
@melody@|@âhang, naghme@
@melon@|@kharboze, kharbuze, tâlebi@
@melon [kind of]@|@tâlebi@
@melt [trans] [to]@|@godâkhtan@
@melting@|@godâz@
@member@|@ozv@
@membership@|@ozviyat@
@memorandum@|@yâddâsht@
@memorial@|@yâdbud@
@memorials@|@âsâr (pl. of asar)@
@memory@|@khâter, yâd, zehn@
@men@|@rejâl (pl. of rajol)@
@mention@|@zekr@
@mention (by name) [to]@|@esm bordan@
@mention [to]@|@zekr kardan@
@mentioned@|@mazkur, nâmborde@
@mercantile@|@tejârati@
@mercenary@|@mozdur@
@merchandise@|@bazâ'at@
@merchant@|@bâzargân, bâzârgân, tâjer@
@merchants@|@tojjâr (pl. of tâjer)@
@merciful@|@karim, rahim, rahmân@
@mercury@|@simâb@
@mercy@|@marhamat, rahmat, shafaqat@
@mere@|@mahz, vize@
@merely@|@faqat, serf@
@merit@|@liâqat@
@message@|@mokhâbere, peighâm, peyâm@
@Messiah@|@masih@
@metal@|@felezz@
@metalled (of a road)@|@shose@
@metallic@|@felazzi@
@method@|@sabk, shive@
@metre@|@mizân, vazn@
@metres@|@mavâzin (pl. of mizân)@
@microbe@|@mikrob@
@microscope@|@rizbin@
@midday@|@zohr@
@middle@|@miân, miâne@
@middle [adj]@|@vâset@
@middle [subs]@|@vasat@
@middle school@|@dabirestân@
@middling@|@motavasset@
@midnight@|@nesfe shab@
@midwife@|@mâmâ@
@midwifery@|@mâmâi@
@migration@|@kuc@
@mild@|@molâem, molâyem, narm@
@mile@|@mil@
@military@|@nezâmi@
@military affairs@|@nezâm@
@military band@|@muzik@
@military officer@|@sâhebmansab@
@military parade@|@sân@
@military policeman@|@dezhbân@
@military service@|@nezâmvazife@
@milk@|@shir@
@milk [to]@|@dukhtan, dushidan@
@milkman@|@shiri@
@miller@|@âsiâbân@
@millet@|@zorrat@
@million@|@meliun@
@mimic [to] [trans]@|@adâ dar âvardan@
@mimicry@|@adâ@
@minaret@|@menâr@
@mind@|@hush, khâter@
@mine@|@kân, ma'dan, min@
@mineral [adj]@|@felazzi, ma'dani@
@mineral deposit@|@kân, ma'dan@
@mineralogist@|@kânshenâs@
@mineralogy@|@kânshenâsi@
@minesweeper@|@minrub@
@minister (political)@|@vazir@
@minister plenipotentiary@|@safir@
@ministers plenipotentiary@|@sofarâ (pl. of safir)@
@ministry (political)@|@vezârat@
@Ministry of Education@|@vezârate farhang, vezarate ma'âref@
@Ministry of Finance@|@vezârate dârâi@
@Ministry of Finance's official@|@pishkâr@
@Ministry of Food@|@vezârate khârbâr@
@Ministry of Foreign Affairs@|@vezârate omure khâreje@
@Ministry of Health@|@vezârate behdâri@
@Ministry of Industry@|@vezârate pishe o honar, vezârate pishe va honar@
@Ministry of Justice@|@adliye, vezârate dâdgostari@
@Ministry of Roads@|@vezârate râh@
@Ministry of the Interior@|@vezârate keshvar@
@Ministry of Trade@|@vezârate bâzargâni@
@minor@|@saghir@
@minority@|@aqalliyat@
@mint (coinage)@|@zarrâtkhâne@
@minus@|@menhâ@
@minute@|@daqiq, daqiqe, khorde, pishnevis, riz, rize@
@minutes of a meeting@|@surate jalse@
@miracle@|@mo'jeze@
@mirror@|@âbgine@
@mirth@|@shukhi@
@mirthful@|@shukh@
@misappropriation@|@su'e estefâde@
@misappropriations@|@tasarrofât (pl. of tasarrof)@
@mischief-maker@|@mâ jara ju@
@mischievous@|@mofsed, sheitâni@
@mischievousness@|@sheitanat, sheitâni@
@miserable@|@reqqatbâr@
@misery@|@darmândegi, mazallat@
@misfortune@|@ghâ'ele, mosibat@
@missing@|@mafqud@
@mission@|@resâle, sefârat@
@mist@|@meh@
@mistake@|@eshtebâh, ghalat@
@misuse@|@su'e estefâde@
@mix [to]@|@âmikhtan, sereshtan@
@mix up [to]@|@be ham zadan@
@mixed@|@mokhtalet, qâti@
@mixture@|@ekhtelât, tarkib@
@mixture of mud and straw@|@kâhgel@
@mobile@|@motaharrek@
@mobilization@|@basij@
@mobilize (capital) [to]@|@be râh andâkhtan@
@mode@|@dastur, khui, nasaq, ravesh, tarz, vajh@
@model@|@dastur, mashq, nasb ol-ain@
@moderate@|@mo'tadel, motavasset@
@moderating@|@ta'dil@
@moderation@|@e'tedâl, modârâ@
@moderns (opp.to the ancients)@|@mota'akhkherin@
@modest@|@mazlum@
@modesty@|@nâmus@
@modifying [subs]@|@ta'dil@
@Mohammadan era@|@hejre@
@Mohammadan law@|@shar', shari'at@
@moist@|@martub, tar@
@moisture@|@nam, tarâvat@
@mole@|@khâl@
@moment@|@dam, daqiqe, lahze, vahle@
@monarch@|@farmânravâ@
@Monday@|@do shambe@
@money@|@pul@
@money-changer@|@sarrâf@
@Mongol@|@moghul@
@monkey@|@meimun@
@monopoly@|@enhesâr@
@monotonous@|@yaknavâkht@
@month@|@mâh@
@monthly@|@mâhâne, mâhi, mâhiâne@
@moon@|@mâh@
@moonlight@|@mahtâb, mâhtâb, mahtâbi@
@moonlike@|@mâhvash@
@morale@|@ruhiye@
@morals@|@akhlâq (pl. of kholq)@
@more@|@bish, bishtar@
@more high@|@olyâ (f. of a'lâ)@
@morello cherry@|@âlubâlu@
@moreover@|@alâve@
@morning@|@sobh@
@morrow@|@bâmdâd@
@mortal@|@jahâni@
@mortar@|@sâruj@
@Moslem@|@mosalmân, moslem@
@mosque@|@masjed@
@moss@|@khaze@
@most@|@aghlab@
@most high@|@olyâ (f. of a'lâ)@
@mostly@|@aghlab@
@moth@|@parvâne@
@mother@|@mâdar@
@mother-in-law (of husband)@|@mâdarzan@
@motherland@|@mihan@
@motto@|@she'âr@
@mould@|@kâlbod, qâleb@
@mount@|@mâl, markab@
@mountain@|@jabal, kuh@
@mountain pass@|@gardane, kotal@
@mounted@|@savâr@
@mounter of machines@|@mâshinsavârkon@
@mourning@|@sougvâri@
@mouse@|@mush@
@mouth@|@dahan@
@mouth (of a river)@|@dahane@
@move [to]@|@harakat kardan, jombidan@
@moved@|@motaharrek@
@movement@|@harakat, jombesh@
@movement [fig]@|@nahzat, nehzat@
@moving@|@harakat, motaharrek@
@much@|@basi, candân, ziâd@
@much that@|@candânke@
@mud@|@gel@
@muddy@|@tire@
@mulberry@|@shâhtut@
@mulberry (white)@|@tut@
@mulct@|@jarime@
@mule@|@qâter@
@muleteer@|@cârvâdâr, mokâri@
@mulla@|@âkhond@
@multitude@|@jam'iyat, janjâl@
@mummification@|@mumiâkâri@
@mummy@|@mumiâ@
@municipal clinic@|@timârgâh@
@municipal council@|@anjomane shahrdâri@
@municipality@|@shahrdâri@
@murder@|@qatl@
@murmur@|@hamhame@
@murmuring@|@ghorghor, hamhame@
@muscle@|@azole, mâhice@
@museum@|@muze@
@mushroom@|@qârc@
@music@|@museqi, musiqi, muzik@
@musician@|@motreb@
@musk@|@meshk, moshk@
@muslin@|@malmal@
@must@|@bâyad [impers. verb]@
@mustard@|@khardal@
@muster-roll@|@divân@
@mutter [to]@|@lond lond kardan@
@muttering@|@ghorghor@
@mutual aid@|@ta'âvon@
@mutually opposed@|@motazâdd@
@my brother@|@akhavi@
@my father@|@abavi@
@myologist@|@mâhiceshenâs@
@myology@|@mahiceshenâsi@
@mystery@|@râz, serr@
@mystic@|@sufi@
@mysticism@|@erfân@
@nail@|@mikh, nâkhon@
@naked@|@barâhne, lokht@
@nakedness@|@lokhti@
@namby-pamby@|@lus@
@name@|@esm, nâm@
@name [to]@|@esm gozâshtan, nâmidan@
@nameless@|@binâm, gomnâm@
@namely@|@a'ni, ya'ni@
@nape of the neck@|@qafâ@
@napkin@|@dastmâl@
@narcissus@|@narges@
@narration@|@revâyat@
@narrative@|@hekâyat, revâyat@
@narrow@|@bârik, tang@
@nation@|@mellat, ommat, qoum, tâyefe@
@national@|@melli@
@national anthem@|@sorude melli@
@National Consultative Assembly@|@majlese shourâye melli@
@nationalise [to]@|@melli kardan@
@native@|@bumi, vatani@
@native country@|@vatan@
@native of Tabriz@|@tabrizi@
@natural@|@jebelli, tabi'i@
@naturally@|@bet-tab'@
@nature@|@heisiyat, jouhar, khui, qarihe, sirat, tabi'at@
@nature (disposition)@|@tab'@
@naughtiness@|@sheitanat@
@naughty@|@sheitân@
@navel@|@nâf@
@navigation@|@nâvbari@
@navigator@|@nâvbar@
@navy@|@niruye daryâi@
@nay@|@bal@
@nay rather@|@balke@
@near@|@moqâren, nazd(e), nazdik, qarib@
@nearly@|@moqâren@
@nearness@|@nazdiki@
@neat@|@tamiz, tamyiz@
@neatness@|@nezâfat@
@necessarily@|@lâ bodd, lâ jaram@
@necessary@|@lâzem, vâjeb, zaruri@
@necessities@|@lavâzem (pl. of lazern), mâ yahtâj@
@necessity@|@lozum, zarurat@
@neck@|@gardan, garibân, yâl@
@neck of land@|@gardane@
@necklace@|@gardanband@
@nectarine@|@shalil@
@need@|@ehteyâj, hâjat, lozum, niâz@
@need [to]@|@hâjat dâshtan, lâzem dâshtan, niâz dâshtan@
@needy@|@mohtâj, niâzmand@
@negative@|@manfi, manfibâf@
@negative criticism@|@manfibâfi@
@negligence@|@bie'tenâ'i, gheflat, mosâmahe, taghâfol@
@negligent@|@bie'tenâ, ghâfel@
@neigh@|@sheihe@
@neighbour@|@hamsâye, jâr@
@neighbourhood@|@nâhie@
@neighing@|@sheihe@
@neither...nor@|@na...na@
@nephew@|@barâdarzâde, khâharzâde@
@nerve@|@asab@
@nervous diseases@|@amrâze asabi@
@net@|@tale, tur@
@net (of prices)@|@khâles@
@net profit@|@sude vize@
@never@|@aslan (with negative verb), hic@
@never (with negative verb)@|@hargez, hic vaqt@
@nevertheless@|@laken, ma'a hâzâ, ma'a zalek@
@new@|@jadid, nou, tâze@
@new milk@|@lur@
@new moon@|@helâl@
@New Year@|@nouruz@
@newly@|@mojaddadan@
@news@|@khabar@
@news agency@|@khabargozâri@
@newspaper@|@ruznâme@
@next@|@digar@
@niche@|@tâqce@
@niece (brother's child)@|@barâdarzâde@
@niece (sister's child)@|@khâharzâde@
@night@|@shab@
@nightingale@|@bolbol@
@nimble@|@câbok@
@nine@|@noh, tes'a@
@nineteen@|@nuzdah@
@ninety@|@navad@
@ninth day of Moharram@|@tâsu'â@
@no@|@bal, lâ, na, nakheir@
@no (opp. of yes)@|@kheir@
@no one (with negative verb)@|@hic kas@
@nobility@|@sharaf, sharâfat@
@noble@|@bozorgvâr, khâss, najib, sharif@
@nobles@|@ashrâf (pl. of sharif), a'yân (pl. of ain)@
@noise@|@sadâ@
@nomad@|@câdorneshin@
@nomadic@|@câdorneshin, khâne be dush@
@nominated@|@nâmzad@
@non@|@gheir(e)@
@nonchalant@|@lâ obâli@
@none (with negative verb)@|@hic@
@none of two or more (neg. v.)@|@hic kodâm@
@non-existence@|@adam, fanâ@
@nonsense@|@carand, harze, mohmalât, mozakhrafât@
@nonsensical@|@mohmal, mozakhraf@
@nonstop@|@yaksar@
@nook@|@konj@
@north@|@shamâl, shomâl@
@northern@|@shamâli, shomâli@
@nose@|@bini, damâgh@
@nosiness@|@konjkâvi@
@not@|@lâ@
@not at all@|@aslan (with negative verb)@
@not capable of suspension@|@ta'tildardar nabudan@
@not of age@|@saghir@
@not right@|@nâdorost, nâsavâb@
@not true@|@nâdorost@
@not withstanding@|@ma'a hâzâ, ma'a zalek@
@note@|@yâddâsht@
@note (to a document)@|@tabsere@
@note [to]@|@yâddâsht kardan@
@notebook@|@ketâbce@
@notification@|@eblâgh ¹, e'lâm@
@notify [to]@|@gushzad kardan@
@notifying@|@eblâgh, e'lâm@
@notorious@|@fâhesh, shâye'@
@notwithstanding@|@bâ inke@
@nought@|@sefr@
@nourishing@|@parvaresh@
@nourishment@|@taghzie@
@novel (book)@|@român@
@novice@|@nouâmuz@
@novitiate@|@nouâmuz@
@now@|@aknun, alân, hâlâ, konun@
@now 1/100 part of one rial@|@dinâr@
@now that@|@hâlânke@
@null@|@bâtel@
@number@|@adad, nomre, shomâre, te'dâd@
@number (of persons)@|@edde@
@numbered@|@ma'dud@
@nurse@|@parastâr@
@nut@|@jouz@
@nutrition@|@taghzie@
@o!@|@yâ@
@oak@|@darâkhte balut@
@oar@|@pâru@
@oath@|@ahd, sougand@
@obedient@|@farmânbardâr, moti'@
@obelisk@|@mil@
@object@|@gharaz, hadaf, manzur, maqsud, marâm, mouzu'@
@objecting (to; adj)@|@mo'tarez@
@objection@|@irâd@
@obligation@|@mennat, ohde@
@obligation (favour received)@|@emtenân@
@obligatory@|@vâjeb@
@obliged@|@vâdâr@
@obliterating@|@mahv@
@obscene@|@fâhesh, fahhâsh@
@obscenity@|@fahhâshi@
@obscure@|@ghâmez, marmuz, mobham, tire@
@observance@|@re'âyat, tariqe@
@observation@|@molâheze, morâ'ât, moshâhede, re'âyat@
@observed@|@malhuz@
@observing@|@moshâhede@
@obsolete@|@matruk@
@obstacle@|@mâne'@
@obstacles@|@mavâne' (pl. of mâne)@
@obstinacy@|@lejâjat, semâjat@
@obstinate@|@gardankash, lajbâz, lajj, lajuj, sarkash, semej@
@obstructed@|@masdud@
@obstruction@|@momâne'at, sadd@
@obtain [to]@|@gir âvardan@
@obtaining@|@nâel, nâyel@
@obtaining advantage [adj]@|@mostafid@
@occasion@|@martabe, mouqe'@
@occult@|@marmuz@
@occupant@|@motasarref@
@occupation@|@eshteghâl, kâr, shoghl@
@occupation (of a country)@|@eshghâl@
@occupied@|@mashghul, mazbut@
@occupying@|@eshghâl@
@occur [to]@|@pish âmadan, rokh dâdan, rui dâdan@
@occurrence@|@pishâmad, vâqe'@
@occurrences@|@havâdes (pl. of hâdese)@
@occurring@|@vâqe'@
@occurring [adj]@|@ârez@
@oculist@|@kahhâl@
@odd (of numbers over nineteen)@|@and@
@odd-job man@|@shâgerd@
@ode@|@ghazal@
@ode (longer than a ghazal)@|@qaside@
@odour@|@bu, bui@
@of@|@az, az@
@of course@|@albatté, lâ bodd, lâ jaram@
@of different kinds@|@gunâgun@
@of the Christian era@|@milâdi@
@of the Mohammedan era@|@hejri@
@of the same opinion@|@hamaqide@
@of this kind@|@az in qabil, az in radif@
@of this nature@|@az in qarâr@
@of this world@|@donyavi@
@of various hues@|@buqalamuni@
@off (from)@|@az ru(ye)@
@offend (against the law) [to]@|@khelâf kardan@
@offend [to]@|@bar khordan@
@offensive@|@zanande@
@offer (by way of a gift) [to]@|@ta'ârof kardan@
@offer congratulations [to]@|@shâdbâsh goftan@
@offering@|@hadiye, taqdim@
@office@|@daftar, edâre, mansab, maqâm@
@office of a deputy@|@vekâlat@
@office servant@|@farrâsh@
@offices of a bakhshdâr@|@bakhshdâri@
@offices of a governor@|@farmândâri@
@offices of a governor-general@|@ostândâri@
@official@|@âmel, kârgozâr, rasmi@
@official (water distribution)@|@mirâb@
@official [n]@|@ma'mur@
@official circular@|@bakhshnâme@
@official in charge of a bakhsh@|@bakhshdâr@
@official notice@|@eblâghiye@
@officious@|@fozul@
@officiousness@|@fozuli@
@offspring@|@natije@
@often@|@bas@
@old@|@atiq, dirin, dirine, kohne, qadim@
@old (of persons)@|@mosenn@
@old (usually of persons)@|@pir@
@old man@|@pire mard, sheikh@
@old person@|@pir@
@old woman@|@ajuz, ajuze, pire zan@
@old-fashioned type of school@|@maktab, maktabkhâne@
@olive (fruit)@|@zeitun@
@omen@|@fâl@
@omission@|@sahv@
@on@|@bar, bar ru(ye), be, dar, ru(ye)@
@on account of@|@az bâbat(e), bâbat(e), barâye@
@on alternate days@|@yak ruz dar miân@
@on behalf of@|@az jâneb(e), az jehat(e), az taraf(e)@
@on condition that@|@be sharte inke@
@on credit (of purchase)@|@nesie@
@on foot@|@piâde@
@on purpose@|@amdan@
@on the contrary@|@bal, bar aks@
@on the part@|@az jâneb(e)@
@on the point of@|@dar shorof(e)@
@on the verge of@|@dar shorof(e)@
@on the whole@|@ruye ham rafte@
@on this account@|@az bahre in, az in heis@
@once@|@yak bâr@
@one@|@ahad, vâhed, yak, yaki, yek, yeki@
@one another@|@yak digar, yek digar@
@one fifth@|@khoms@
@one fortieth of a man@|@sir@
@one fourth@|@rob'@
@one hundred@|@mi'a, sad@
@one pack on a beast of burden@|@lenge@
@one ready to serve@|@khedmatgozâr@
@one sixth of anything@|@dâng@
@one suffering oppression@|@setamkash@
@one tenth@|@oshr@
@one third@|@sols@
@one thousand@|@hazâr@
@one who acts for another@|@kafil@
@one who advances to meet s.o.@|@mostaqbel@
@one who asks@|@motamanni, tâleb@
@one who conducts an enquiry@|@bâzju@
@one who confirms@|@mo'âyyed@
@one who delays@|@mo'akhkher@
@one who denies@|@monker@
@one who divulges@|@nâsher@
@one who does good@|@mohsen@
@one who executes an order@|@mojri@
