@English@|@Nahuatl@
@leather shield@|@ehuachimalli@
@leather-like@|@cuetlaxiuhqui@
@leathery@|@cuetlaxtic@
@leave it; stop it@|@xiccahua@
@leech@|@acuicuiyachi, acuicuiyachin@
@lef of a turkey@|@totolicxitl@
@left-handed person@|@opochmaye@
@lepidium@|@mexixin@
@leprosy; divine sickness@|@teococoliztli@
@let@|@ma@
@let not@|@naca@
@let us await his word@|@tictotlatolchialican@
@let us behold@|@tontlachiecan@
@let us see@|@tontlachiecan@
@let's find her@|@tiquittaca@
@let's go@|@tihuian@
@let's look@|@titlachiacan@
@let's scratch for water@|@tatatacazque@
@liar@|@iztlacatini@
@lie@|@tencualactli@
@lie; falsehood@|@iztlacatiliztli, iztlacatlatolli@
@life@|@nenemiliztli, yoliliztli@
@life of an old woman@|@ilamanemiliztli@
@life; conduct; way of life@|@nemiliztli@
@light@|@acohuetzqui, ahcohuetzqui@
@light blue; very blue@|@tetexotic@
@light green@|@ihiztaquiltic, xoxoxocpatic@
@light of dawn@|@tlahuizcalli@
@light; brightness; lightness@|@tlahuilli@
@light; brilliance@|@tlanextli@
@light; not heavy@|@ayetic@
@lightning@|@onotlapetlan@
@lightning flash@|@tlahuitequiliztli, tlapetlanaliztli, tlapetlaniliztli@
@lightning; lightning flash@|@tlapetlanillotl@
@like "raven-stone"@|@cacalotetic@
@like a barn owl@|@chicuatic@
@like a gourd vine@|@ayomecatic@
@like a jar@|@tecontic@
@like a metal awl@|@tentepozomitic@
@like a pot@|@contic@
@like a quail; quail-like@|@zoltic@
@like a round stone; round@|@teololtic@
@like a slender cord@|@mecapitzahuac@
@like a spindle whorl@|@malacachiuhqui, malacachtic, mamalacachiuhqui@
@like a spiral; twisted@|@ilacatziuhqui@
@like a tamal@|@tamaltic@
@like a wooden beam@|@huapaltic@
@like an arrow; within you@|@mitic@
@like an ocelot@|@ocelotic@
@like carbon; like charcoal@|@teconaltic@
@like charcoal@|@tetecoltic@
@like crystal@|@tehuilotic@
@like doughy excrement@|@nextamalcuitlatic@
@like earth@|@tlaltic@
@like fine sand@|@xalpitzactic@
@like flecks of cotton@|@ichcatetic@
@like flint@|@tecpatetic@
@like glass; transparent@|@tehuilotic@
@like limestone@|@tenextetic@
@like mucus@|@tzoncualactic@
@like mud; wet@|@zoquitic@
@like pitch; like bitumen@|@chapopotic@
@like sand; sand-like; sandy@|@xaltic@
@like sinews@|@tlalhuatic@
@like soil@|@tlaltic@
@like tender bone@|@omicelic@
@like the mano of the metate; mano-shaped@|@metlapiltic@
@like the sound of a bell@|@coyoltic@
@lime seller@|@tenexnamacac@
@lime water@|@tenexatl@
@lime; limestone@|@tenextli@
@limestone@|@tetizatl@
@limestone land@|@tenextlalli@
@lineage@|@tlacamecayotl@
@lip@|@tentli@
@lip plug@|@tentetl@
@lip rod@|@tezacatl@
@liquidambar@|@xochiocotzotl@
@listen@|@xitlacaqui@
@listen (command@|@xitlacaquican@
@listen to it@|@quicaquiz@
@litter@|@tlapechtli@
@littl one@|@tepitzin@
@little@|@tepito, xocoyoton@
@little animal@|@yolcatzintli@
@little animals@|@yoyolitzin@
@little arrows; small arrows@|@mitotonti@
@little bag@|@chichicuatzin@
@little bird; small bird@|@tototzintli@
@little bit of diarrhea@|@apitzaltontli@
@little bow@|@tlahuitoltontli@
@little chick@|@totolconetontli@
@little chile@|@chiltzintli@
@little creatures@|@yoyolitzin@
@little dog; small dog@|@chichiton@
@little dove@|@cocotzin@
@little finger@|@mapilxocoyotl@
@little fly@|@zayoltoton@
@little leaf; small herb@|@xiuhtontli@
@little maize basket@|@cintanaton@
@little moon@|@metzpil@
@little mouse@|@quimichpil@
@little old lady; little old woman@|@ilamaton@
@little old man@|@huehuento@
@little old woman@|@ilamato, illamato@
@little old woman; old woman; respected old woman@|@ilamatzin@
@little oyster@|@atzacltontli@
@little poult@|@totolconetontli@
@little rabbit@|@tochton@
@little road@|@otontli@
@little root@|@tlanelhuatontli@
@little serpent@|@cohuatontli@
@little shield@|@chimaltontli@
@little skirt@|@cuetontli@
@little snake@|@cohuatontli@
@little sparks@|@tlemoyototonti@
@little tree; sapling; tree@|@cuauhtzintli@
@little worm; small worm@|@ocuilton@
@little worms@|@ocuiltoton@
@litttle fly@|@yoyoliton@
@live coal@|@tlexochtli@
@live coals@|@tletlexochio@
@liver@|@eltapachtli@
@lizard@|@cuetzpali, cuetzpalin@
@lizard excrement@|@cuetzpalcuitlatl@
@loafer@|@moquequetzani@
@locust; grasshopper@|@chapolin@
@log@|@tlacotl@
@long@|@huihuiyac, huiyac, piaztic@
@long and slender; long and thin; slender; thin@|@pipiaztic@
@long and thin at the root@|@tzinpitzahuac@
@long at the end@|@yacahuiac@
@long hand@|@mahueyac@
@long hands@|@mahuihuiyac@
@long; long and straight; straight@|@melactic@
@long-bodied@|@tlachueyac, tlachuiac@
@long-clawed; having long claws@|@iztihuihuiyac@
@long-finned@|@amatlapalhuiac@
@long-legged@|@xohuiac@
@long-tailed@|@cuetlapilhuiac, cuitlapilheyac, cuitlapilhuiyac@
@look@|@xontlachia@
@look at him; witness him; see to him@|@xoconitta@
@look at it; see it; examine it; look upon her@|@xiquitta@
@look at me@|@xinechitta@
@look at us@|@xitechitta@
@look joyously or happily at him@|@xicpaccaitta@
@look; be careful; pay attention; see; observe@|@xitlachia@
@looked at it fearfully@|@quimauhcaittac@
@loose; porous; soft; spongy@|@poxahuac@
@loose; sparse; watery; dissolved in water; liquid@|@atic@
@lord of the earth@|@tlalteuctli@
@lord of the heavens; owner of the heavens@|@ilhuicahua@
@lord; a master; o my lord; a ruler@|@tlacotle@
@lords@|@teteuctin@
@lords; rulers; principal (merchants)@|@tlatoque@
@lousy@|@atenio@
@lovely cotinga@|@xiuhtototic@
@lovely cotinga cape@|@xiuhtotoquemitl@
@lovely cotinga tailfeather@|@xiuhtotocuitlapilli@
@lovely cotinga; blue cotinga@|@xiuhtototl@
@lovely cotingas@|@xiuhtotome@
@loving word@|@tetlazotlaliztlatolli@
@low-backed; squat@|@cuitlapachtic@
@lump of flesh@|@tlacamimil@
@lump-like@|@tohpoltic@
@lust and debauchery@|@ahuilnemilizzotl@
@lynx skin; bobcat skin@|@ocotochehuatl@
@magnolia@|@yolloxochitl@
@maguey fiber@|@ichtli@
@maguey fiber breechcloth@|@ichmaxtlatzintli@
@maguey fiber cape@|@ichtilmatli@
@maguey fiber paper@|@ichamatl@
@maguey root@|@menelhuatl@
@maguey spine@|@mehuitztli@
@maguey spine; thorn; spine@|@huitztli@
@maguey syrup seller@|@neucnamacac@
@maguey wine; pulque; wine@|@octli@
@maguey worm@|@metzonocuilin@
@maguey)@|@tlachiqui@
@maguey; maguey leaf@|@metl@
@maiden@|@ichpochtzintli, iichpochtontli@
@maiden; one's daughter@|@teichpoch@
@maidens@|@ichpopochtzitzinti@
@maidens; young girls; young women@|@ichpopochti@
@main road@|@ochpantli@
@maize bin@|@tonacacuezcomac, tonacacuezcomatl@
@maize field@|@milli@
@maize gruel@|@yollatolli@
@maize plot@|@miltontli@
@maize stalk@|@elozacatl@
@maize; corn@|@intonacayouh@
@majordomo; house steward; steward@|@calpixqui@
@majordomos@|@calpixque@
@make it@|@quichihuazque@
@maker@|@techichihuani, techihuani@
@maker of man@|@techichihuani, techihuani@
@makes one grow@|@tehueilia@
@male turkey@|@oquichtotoli@
@male; cockerel; manly; brave; husband@|@oquichtli@
@mallard@|@zolcanauhtli@
@man of the river banks@|@atenhua@
@mano@|@metlapilli@
@man's heart; one's heart; someone's heart@|@teyollo@
@mantle sellers@|@tilmanamacaque@
@many@|@miectin, miequin, miequinti, miequintin, miyequintin@
@many places@|@miyeccan@
@many places; many; much@|@mieccan@
@many things@|@quezquitlamantli@
@many times; often@|@miyecpa@
@many times; often; frequent@|@meicpa@
@many; much; all@|@miec@
@many-colored@|@tlatlapalli@
@marchpane@|@chiancaca@
@marigold@|@cempoalxochitl@
@market food@|@tianquiztlacualli@
@market place; marketplace@|@tianquiztli@
@marketplace folk@|@tianquizpantlaca@
@married persons@|@namiqueque@
@marsh hawk@|@cuauhtlotli, tlacocuauhtli, tlhocuauhtli, tlocuauhtli@
@marshy land@|@chiauhtlalli@
@marvel@|@tlamahuizolli@
@marvelous; wonderful@|@tlamahuizoltic@
@massage@|@nepapacholiztli@
@master@|@tlacahua@
@masters of the youths; rulers of the youths@|@telpochtlatoque@
@mat cord@|@petlamecatl@
@mat maker; reed mat weaver@|@petlachiuhqui@
@mat; reed mat@|@petlatl@
@matted; tangled; snarled@|@pahzoltic@
@mature woman; valiant woman; brave woman@|@cuauhcihuatl@
@may@|@ma@
@may it become good; it becomes pure@|@yectia@
@may not@|@naca@
@may they sigh@|@onelcicihuican@
@me@|@nehuapol@
@means for reddening@|@tlatlahuiloni@
@meat eater; flesh eater@|@nacacuani@
@meat owner@|@nacahua@
@meat seller@|@nacamacac, nacanamacac@
@meat tamale@|@nacatamalli@
@mediator; prudent person@|@ixtli nacaztli@
@medicine man; midwife; physician@|@ticitl@
@medicine seller@|@panamacac@
@medicine; remedy; potion@|@patli@
@meekly@|@ihuian, ihuiantzin@
@mellow; soft; softened; tender; tepid@|@yamanqui@
@men; males; brave warriors; warrior@|@oquichtin@
@men's array@|@oquichtlatlquitl@
@merchant@|@pochtecatl@
@merchants@|@pochteca@
@merciful@|@tlaocollo@
@meriting wonder; worthy of honor; estimable@|@mahuiztililoni@
@mesquite tree; mesquite wood@|@mizquicuahuitl@
@messengers@|@titlanti@
@metal awls@|@tepozomitotonti@
@metal drill@|@tepoztlacopintli@
@metal hook@|@tepozhicolli@
@mica@|@metzcuitlatl@
@mice@|@quimichme, quiquimichtin, quiquimichtin@
@middle-aged woman@|@yollococihuatl@
@midnight@|@tlacoyohuan, yoalnepantla@
@midwife@|@tetlacachihuiliani@
@militarily@|@yaoyotica@
@military establishment; realm@|@cuappetlatl ocelopetlatl@
@milk@|@chichihualayotl@
@minute@|@cualteton, piciltic, piciltontli@
@mirror@|@nettoni@
@mirror of the noblemen@|@tecpiltezcatl@
@mirror of the ruler@|@tlatocatezcatl@
@mirror stone earth; pulverized mirror-stone@|@tezcatlalli@
@mirror; example; model; mirror-stone@|@tezcatl@
@mirror-head; purple gallinule@|@cuatezcatl@
@mirror-stone amaranth@|@tezcahuauhtli@
@mischance; misery; poverty; misfortune@|@icnoyotl@
@miserable cape@|@ayazolli@
@miserable old man; poor old man; poor old men@|@icnohuehue@
@miserable old woman; poor old woman@|@icnoilama@
@misery of a man's old age@|@icnohuehueyotl@
@misery of a woman's old age@|@icnoilamayotl@
@misery; orphanhood@|@icnotlacayotl@
@mist@|@ayahuitl, mixayahuitl@
@mist cape@|@ayauhquemitl@
@mist grasshopper@|@ayauhchapoli@
@mist house@|@ayauhcalli@
@mist rattle board@|@ayauhchicahuaztli, iyauhchicahuaztli@
@misty@|@ayauhtic@
@mixed with lime@|@tenexio@
@mixed; mixed together; stirred@|@neneliuhqui@
@mixture@|@tlanelolli@
@modest; calmly; peacefully; deliberately@|@yocoxca@
@moist@|@cuechahuac, paltic@
@molars emerge@|@tlancochquiza@
@moldy@|@poxcuahqui@
@molted@|@moxinqui@
@monkey@|@ozomahtli, ozomatli@
@monkeys@|@ozomati@
@monster@|@tetzahuitl@
@montezuma quail; quail@|@zolin@
@month; moon@|@metztli@
@moon)@|@tona@
@morning star@|@citlalpol@
@mother@|@nantli, tenantzin@
@mother of the parents-in-law@|@moncitli@
@mother; one's mother@|@tenan@
@motherhood@|@nayotl@
@motherliness; your motherliness@|@monayotzin@
@mothers@|@nantin, tenahuan@
@mothers; their mothers@|@tenanhuan@
@mothers-in-law@|@monnanti@
@mottled bean@|@ecuicuilli@
@mottled green@|@ixxoxoxoctic@
@mottled with black; spotted with black@|@tlilcuicuiltic@
@mottled with white; spotted with white@|@iztacacuicuiltic@
@mouldy excrement@|@cuitlapoxcahuilizilli@
@mountain goat@|@temazatl@
@mountain lion@|@miztli@
@mountain-like@|@tepetic@
@mountains@|@tetepe@
@mourning@|@choquiztli ixayotl@
@mouse@|@quimichi, quimichin@
@mouse bean@|@quimichetl@
@mouse-gnawed maize or corn@|@quimichtlaolli@
@mouth washing is done@|@tecamapaco@
@movement@|@olin@
@much@|@huel@
@much; great; greatly; strongly; very@|@cenca@
@much; many@|@miyec@
@much; very@|@cencan@
@mucus of the throat; phlegm; throat mucus@|@tozcayacacuitlatl@
@mucus; phlegm; humor; slick; slimy; slippery@|@alahuac@
@mud (for adobes)@|@pololli@
@mulberry@|@amacapoli@
@murder@|@nemictiliztli@
@mushroom@|@nanacatl@
@mushy; soft@|@atoltic@
@my animal@|@noyolacauh@
@my arrow; my dart@|@nomiuh@
@my aunt@|@nahui, nahuin@
@my beloved boy@|@noquichpiltzin@
@my beloved father@|@notatzi, notatzin@
@my beloved grandson@|@noxhuiuhtze, noxhuiutze@
@my beloved noblewoman; my noblewoman@|@nocihuapiltzin@
@my beloved sons; my sons@|@nonopilhuantzitzin@
@my beloved youth@|@notelpochtzin@
@my body@|@nonacayo@
@my burden; my task@|@notequiuh@
@my captive@|@nomal@
@my child@|@noconetzin@
@my commandment@|@notenahuatil@
@my daughter; my beloved maiden@|@nochpochtzin@
@my dear daughter@|@nochpotzin@
@my destruction@|@nopolihua@
@my duty; my obligation@|@nonequixtil@
@my face@|@noxayac, noxayac@
@my food@|@notlacual@
@my god@|@noteouh@
@my goods; my possession@|@notlatqui@
@my hair@|@notzotzon@
@my heart@|@noyollo@
@my heart is delighted@|@niyolpaqui@
@my home; my house@|@nochan@
@my lady; my lord; my noble woman@|@noteucyo@
@my louse nits@|@nacel@
@my name@|@notocatzin@
@my nose@|@noyacauh@
@my older brothers@|@noquichtihuan@
@my precious daughter@|@notlacoichpochtzin@
@my precious maiden@|@notlacoichpochtzin@
@my precious noble one@|@notlazopiltan@
@my precious son@|@notlazopiltan@
@my property@|@naxca@
@my rags@|@notzotzoma@
@my song@|@nocuica@
@my speech@|@notlatol@
@my staff@|@notopil@
@my sun@|@notonatiuh@
@my talk@|@notlatol@
@my tears@|@nixayo@
@my teeth are set on edge@|@nixococihui@
@my tortilla@|@notlaxcal@
@my wife@|@nonamic@
@my word; my words@|@notlatol@
@my youngest child@|@noxocoyouh@
@myself@|@nixcoyan@
@nail@|@iztitl@
@name; title@|@tocaitl@
@nape of the neck@|@cuexcochtli@
@narrow at the base or bottom@|@tzimpitzahuac@
@narrow mat@|@petlapitzahuac@
@narrow road; path@|@ohpitzactli@
@narrow-muzzled@|@tenpitzactic@
@nasal mucus@|@netzomilli, yacatolli@
@nasal mucus; nose mucus@|@yacacuitlatl@
@natives; local people@|@nican tlaca@
@nature@|@yelizyotl@
@navel@|@xictli@
@near dawn@|@tlathinahuac@
@near him; near it@|@itlan@
@near it; about it; around it@|@oitlan@
@near it; in the vicinity of it@|@inahuac@
@near it; to him; toward him; to them; toward them@|@ihuicpa@
@near others@|@tenahuac@
@near our ear@|@tonacaztlan@
@near our foot@|@tocxitlan@
@near the mountain@|@tepetitech@
@near them@|@ointech@
@near us@|@totlan, totlan@
@neck@|@quechtli@
@neck bone@|@quechomitl@
@needle@|@huitzmallotl@
@needle seller@|@huitzmallonamacac@
@needy people; poor people@|@icnotlaca@
@negligent@|@tlanemmatini@
@neither; not@|@amono@
@nerve@|@tlalhuatl@
@nerve-like; sinewy@|@tlalhuatic@
@nest maker@|@motapazoltiani@
@net@|@matlatl@
@net-like@|@matlayo@
@netted breechcloth@|@tlalpilmaxtlatl@
@netted cape@|@tlapiltilmatli@
@never@|@ahquenman, aic, aquenman@
@nevermore@|@aoquic@
@nevertheless; but@|@tel@
@new; newly; recently caught; uncooked@|@yancuic@
@newly delivered woman@|@mixiuhqui@
@newly-hatched turkeys@|@totolcocone@
@next to its root@|@inelhuayotitech@
@night@|@yoalli@
@nightly@|@yoyohuac@
@nighttime; night; darkness; shadow@|@yohualli@
@nine@|@chiconahui@
@nine places of the dead@|@chiconamictlan@
@nine years@|@chiconauhxihuitl@
@nineteen@|@caxtollonnahui@
@nitrous earth; nitrous soil@|@tequixquitlalli@
@no@|@ahmo, amo, hamo@
@no longer@|@aoc, aoquic, yaocmo@
@no longer anything@|@aoctle@
@no longer; no more; not anymore; nevermore@|@aocmo@
@no longer; not any more; no more; nevermore@|@ayocmo@
@no matter; even though@|@manel@
@no more; not yet@|@aoc@
@no one@|@ayac, ayayac@
@no one any longer@|@acoac@
@no where; nowhere@|@aoccan@
@nobility@|@eztli tlapalli@
@noble@|@tecpilli@
@noblemen@|@pipiltin@
@noblemen; nobles@|@pipilti@
@noblewoman@|@cihuapiltzintli, cihuateuctli, tocihuateucyo, toteucyocihuatl@
@noblewoman; vulva@|@cihuapilli@
@nobody@|@ayac@
@nocturnal eagle@|@yohualcuauhtli@
@nopal patch@|@nopalia@
@nor anyone@|@anoac@
@north; to the north@|@mictlampa@
@northern mockingbird@|@centzontlatole@
@northern phalarope@|@atzitzicuilotl@
@not@|@ahmo, amo, hamo@
@not bony@|@aomio@
@not fit to be said@|@aitoloni@
@not heavy@|@acohuetzqui, ahcohuetzqui@
@not his food@|@aitlacual@
@not of pleasing odor; of no fragrance@|@ahuelic@
@not yet; before@|@ayamo@
@note haplology@|@xitlatocan@
@nothing@|@ahtle, atle, atleh, atlei, atletzin, hatle@
@nothing is his food)@|@aitlacualiz@
@nourishment@|@yolcayotl@
@novice priest@|@tlamacazto@
@now@|@axcanpa@
@now vigorously (command@|@xitequitlanelocan@
@now; for the moment; present; presently@|@axcan@
@nowhere@|@acan, acanin, ahcan, aoccampa@
@nowhere; this@|@inin@
@numbed neck@|@quechcoacihuiztli@
@nursemaids@|@chichihuame@
@o creator@|@techichihuanie, teyocoyanie@
@o eagle warriors@|@cuauhte@
@o gods@|@teteoye@
@o hair@|@tzontle@
@o hiar@|@tzontle@
@o little one@|@tepitzintle@
@O Mexicans@|@mexicae@
@o my beloved lady@|@cihuapiltzintle@
@o my beloved sons; o my sons@|@nopilhuantzitzine@
@o my daughter; o my maiden@|@nochpochtzin@
@o my grandson@|@noxhuiuhticatzine, noxhuiuhticatzine, noxhuiuhtzine@
@o my lady; o noblewoman@|@cihuapille@
@o my noble youth@|@notelpotzine@
@o my sons@|@nopilhuane@
@o my youngest child@|@noxocoyohue@
@o my youth@|@notelpotzine@
@o ocelot warrior@|@ocelotle@
@o ocelot warriors@|@oceloe@
@o our lady; o our lord@|@totecue, toteucyoe@
@o our lords; o our lord@|@toteucyohuane@
@o precious one@|@tlazotzintle@
@o precious person@|@tlazotitlacatle@
@o wind@|@ehecatle@
@o youngest child; o younges son@|@xocoyotle@
@oak leaf@|@ahuazhuatl, cuahuacazhuatl@
@oak log; oak tree@|@ahuacuahuitl@
@oak tree@|@teocuahuitl@
@oar; paddle@|@ahuictli@
@obedient@|@tecacqui@
@obedient person@|@tetlacamatini, tlatlacamatini@
@obsidian chip@|@itztapalcatl@
@obsidian ear plug@|@itznacochtili@
@obsidian medicine@|@itzpactli@
@obsidian necklace@|@itzcozcatl@
@obsidian razor; razor@|@neximalitztli@
@obsidian sandal@|@itzcac, itzcactli@
@obsidian; obsidian blade; obsidian knife@|@itztli@
@obsidian-pointed arro@|@itzmitl@
@ocean sand@|@ilhuicaaxalli@
@ocean shore; seashore@|@huei atenco@
@ocean shore; seashore; seacoast@|@ilhuicaatenco@
@ocean; sea@|@ilhuicaatl@
@ocelot@|@tlacoocelotl@
@ocelot cape; cape with ocelot design@|@ocelotilmatli@
@ocelot drum@|@ocelohuehuetl@
@ocelot gate@|@ocelotlatzacuillotl@
@ocelot mat@|@ocelopetlatl@
@ocelot skin@|@oceloehuatl@
@ocelot skin sandal@|@oceloehuacactli@
@ocelot skin seat@|@oceloehuaicpalli, ocelotepotzoicpalli@
@ocelot skin seat with a back rest@|@oceloehuatepotzoicpalli@
@ocelot skirt@|@ocelocueitl@
@ocelot warriors@|@ocelo@
@ocelot wine jar@|@ocelotlachicomitl, ocelotlachiconmitl@
@ocelot; ocelot warrior@|@ocelotl@
@ocelots@|@ocelo, ocelome@
@of a drink)@|@nahmapilli@
@of a town)@|@inacaztlan@
@of him; about him; on her; on him; upon him@|@ipan@
@of pleasing odor; pleasing@|@ahuixtic@
@of the body@|@tonacayotica@
@of the body)@|@toxillan@
@of very fine texture; very fine-textured@|@cuechpatic@
@offensive to people@|@teyolitlaco@
@offering@|@nextlahualli, tlamanaliztli@
@offering of thorns@|@nehuitzmanaliztli@
@offering priest; priest; fire priest; provider@|@tlamacazqui@
@offering priestesses@|@cihuatlamacazque@
@often; frequently@|@miecca@
@oh@|@tonantze@
@oily@|@chiactic, chiahuac, chiahuacaayo@
@old@|@maxtlazoltzintli, petlazolli@
@old bear@|@cuitlachhuehue@
@old cape@|@tilmazolli@
@old female; old woman; old women@|@ilama@
@old main road@|@ochpanzolli@
@old man; aged man@|@huehuetlactl@
@old man; revered old man@|@huehuentzin@
@old men@|@huehuetqueh@
@old men; ancients; old people@|@huehuetque@
@old people; ancient people@|@huehuetlaca@
@old road@|@ohzolli@
@old sandal@|@caczolli@
@old tree@|@huehuecuahuitl@
@old turkey hen@|@ilamatotoli@
@old women@|@ilamapipil, ilamatoton, ilamatque@
@old worn cape; old maguey cape@|@ayazolli@
@old; old male; old man; aged man; aged; ole@|@huehue@
@oldest daughter@|@tepi@
@omen@|@tetzahuitl@
@omen of death@|@miquiztetzahuitl@
@omen of war@|@yaotetzahuitl@
@on a board; on wood; on a cradle board@|@cuahuic@
@on a maguey leaf; on the maguey@|@mepan@
@on a plain; on a desert; on the plain@|@ixtlahuacan@
@on a reed mat@|@petlapan@
@on a roof@|@calcuac, tlapanco@
@on behalf of him; on account of it; for sake of@|@ipampa@
@on both ends; on both sides@|@necoc@
@on both sides@|@innenecoc, necocampa@
@on both sides; at both ends@|@necoccampa@
@on bushes@|@tlacotla@
@on chalk@|@tizapan@
@on dried mud@|@ahuatzalpan@
@on earth@|@otlalticpac@
@on earth; in the world; of the earth; the world@|@tlalticpac@
@on foot@|@icxipan@
@on grass; on straw; on the grass; on the straw@|@zacapan@
@on her feet; on his feet; on his foot; on his leg@|@icxic@
@on her legs@|@iicxic@
@on him; on it@|@itech@
@on his legs)@|@cotze@
@on his reed mat@|@ipetlapan@
@on his shoulder@|@iacolpan, iyacolpan@
@on his thigh@|@imetzpan@
@on his tongue@|@inenepilco@
@on his wrist@|@imaquechtlan@
@on it@|@oipan@
@on its branches@|@imatitlan@
@on its neck@|@oiquechtlan@
@on its outskirts (e.g.@|@inacaztlan@
@on its shoulder; from its shoulder@|@iquechpan@
@on its tail@|@icuitlapiltitech@
@on its throat@|@itozcatlan@
@on its wing; on its wings@|@iatlapaltitech@
@on its wings@|@iatlapalpan@
@on live coals; on embers@|@tlexochpan@
@on me@|@notech, onopan@
@on me; to me@|@nopan@
@on my own responsibility@|@nixcoyan@
@on one side@|@centlapal@
@on one; at one; on people; on men; on someone@|@tepan@
@on our abdomen@|@titipa@
@on our account@|@topampa@
@on our back@|@tocuitlapa, tocuitlapan@
@on our body@|@tonacayopan@
@on our foes; on our adversaries or enemies@|@toyaopan@
@on our shoulder@|@tacolpa@
@on our thigh@|@tometzpa@
@on our throat@|@toquechtlan@
@on shrubs@|@tlacotla@
@on someone@|@tetech@
@on someone's account@|@tepal@
@on someone's throat@|@tequechtlan@
@on the ankle@|@xoquechtlan@
@on the board@|@huapalpan@
@on the body@|@inacayocan@
@on the breast@|@elpan@
@on the calf of his leg@|@itlanitzco@
@on the coast@|@anahuac@
@on the crags@|@texcaltitech@
@on the earth; on the ground@|@tlalpan@
@on the eyelid@|@teixtenco@
@on the eyelids@|@ixcuatoltitech@
@on the fire; in the fire@|@tleco@
@on the frame@|@colotitech@
@on the griddle@|@comalco@
@on the ground@|@tlaltech@
@on the ground; groundward@|@tlalchi@
@on the morrow; on the next day; following day@|@imoztlayoc@
@on the mountain top@|@tepeticpac@
@on the ocelot mat@|@ocelopetlapan@
@on the rope@|@mecatitech@
@on the surface of the ground@|@tlallixco@
@on the thigh@|@metzpan@
@on their ankles; on their feet@|@imicxic@
@on their forearms@|@inmatzotzopazpan@
@on their heels@|@incotztitech@
@on their knees@|@intlancuac@
@on their lips@|@intenco@
@on their neck@|@inquechtlan@
@on their seat@|@inyeyan@
@on their shins@|@intlanitzco@
@on their shoulders; on their upper arms@|@imacolpan@
@on their temples; their temples@|@incanahuacan@
@on them@|@inpan, oimpan@
@on them; among them; at them@|@impan@
@on top of a clod@|@tlachcuiticpac@
@on top of it@|@iicpac@
@on top of them; on their heads@|@imicpac@
@on top; over it; upwards@|@pani@
@on top; up above@|@tlacpac@
@on two hands; on two sides@|@omac@
@on us; upon us@|@otopan@
@on white earth@|@tizapan@
@on you@|@motech, omopan@
@on you; at you; about you; for you; to you@|@mopan@
@on your back@|@cuitlapan@
@on your neck@|@moquechtlan@
@once@|@cepa@
@once again@|@no ceppa@
@once; one time; first; first time@|@ceppa@
@one (h.)@|@cetzin@
@one dies; people die; there is death@|@micoa@
@one drinks; there is drinking@|@atlihua@
@one eats; there is eating; people eat@|@tlacualo@
@one fights@|@yaotihua@
@one finger (measure)@|@cenmapilli@
@one hundred and twenty days@|@chicuacempoalihuitl@
@one hundred sixty years@|@chicuepoalxihuitl@
@one hundred years@|@macuilpoalxihuitl@
@one is fattened@|@mopochquiotia@
@one lives; people live@|@nemoa@
@one that buzzes@|@zozolocani@
@one that darts@|@motlaminani@
@one that hisses@|@mipotzani@
@one that hunts food@|@motlayecoltiani@
@one that is agile@|@tzitzicuicani@
@one that stores things; one that hides things@|@motlatlatiliani@
@one that sucks people@|@tepachichinani@
@one that sucks something@|@tlachichinami@
@one time@|@cepa@
@one went; people went@|@huiloaya@
@one which shoots forth@|@cuecuepocani@
@one who abuses people@|@tetoliniani@
@one who adopts grandchildren@|@motepiltzintiani@
@one who bathes herself@|@maltiani@
@one who bears a burden@|@tlamamani@
@one who beats something@|@tlatzotzonque@
@one who becomes enraged@|@mozomani@
@one who bleeds himself@|@mizoni@
@one who boassts of being an eagle warrior@|@mocuauhitoani@
@one who boasts of being an ocelot warrior@|@moceloitoani@
@one who burns limestone@|@tenextlati@
@one who carries something@|@tlatquini@
@one who delivers babies@|@temixihuitiani@
@one who destroys people@|@tepoloani@
@one who died in war@|@yaomicqui@
@one who dishonors herself@|@mahuilquixtiani@
@one who fasts@|@mozahuani@
@one who fears people@|@teimacazqui@
@one who feels shame; modest person@|@pinahuani@
@one who follows it@|@quitocani@
@one who goes; she is accustomed to going@|@yani@
@one who grinds@|@tecini@
@one who guards@|@tlapiani@
@one who has a daughter-in-law@|@cihuamone@
@one who has a paramour@|@momecatiani@
@one who has a righteous life@|@yecnemilice@
@one who has a son-in-law@|@mone@
@one who has co-parents-in-law@|@huexihua@
@one who has experience; one with great experience@|@tlaiximatini@
@one who has good drink@|@yecahua@
@one who has grandchildren@|@ixhuihua@
@one who has knowledge@|@tlaiximati@
@one who has stepchildren@|@tlacpahuitequini@
@one who hates us@|@totecocolicauh@
@one who hurls; overthrower@|@mayahuini@
@one who is advised@|@nenonotzale@
@one who is appreciative@|@mocnelilmatini@
@one who is brave@|@oquichtini, oquichtini@
@one who is experienced; one who is learned@|@tlaiximatini@
@one who is full of anxiety; one who is fearful@|@mizahuiani@
@one who is given to women@|@cihuanequini@
@one who is grateful@|@tlatlazocamatini@
@one who is humble@|@mocnomatini@
@one who is in charge of childbirth@|@tlacatihuani@
@one who is indiscreet@|@amozcaliani@
@one who is poor@|@motoliniani@
@one who is prudent@|@mihmatini@
@one who is respectful; they are attentive@|@temauhcaittani@
@one who is reverent@|@tlamahuiztiliani@
@one who is troubled; sympathetic@|@motequipachoani@
@one who is very learned@|@huellaiximatini@
@one who keeps watch@|@tlapiani@
