@English@|@Rajasthani@
@To be trodden as grain by oxen@|@gato@
@to be with child@|@nhamyam@
@To beat severely@|@suntha karanakhabo@
@to become@|@mandabo@
@To become angry@|@adanabo@
@to become red@|@racabo@
@to become withered@|@Alsano@
@To begin@|@bhkumabo@
@To begin to sing@|@girabo@
@to boil@|@Ukal@
@To bore the ear@|@bindabo@
@To bray as an ass@|@haunkabo@
@To build@|@cugabo@
@to burn@|@bal, dajabo@
@to call out@|@dakalabo@
@To cause to quarrel@|@gotakya@
@To change money@|@bhandabo@
@To chatter@|@cikalata, ciraparacirapara@
@to clutch@|@gapato@
@To coil@|@ghero ghalabo@
@To come to hand@|@baparabo@
@To come to one's senses@|@savaceta@
@to complain@|@Olamon@
@to confuse@|@Ghol-mathol@
@to cook boiling food@|@randabo@
@To count@|@ganabo@
@To cover the body entirely@|@dapatabo@
@to crush@|@Chintho@
@to cry@|@bara ghalabo@
@To cry like a child@|@re mrem@
@To defecate@|@hadhoba jabo@
@to depart@|@bhira vhaibo@
@To desire@|@umabo@
@To desire eagerly@|@lala@
@To die of starvation@|@basyo marabo@
@To dig a hole@|@aindolagabo@
@To divorce@|@chitakadebo@
@to do udyapan egg@|@Ujano@
@to drink@|@pabo@
@To drizzle@|@tanapana tanapana barasabo@
@To earnestly desire@|@arailagabo@
@to eat@|@Kha'ba@
@To eat greedily@|@cyonhabo@
@To eat liquid food@|@sava@
@To eat shrubs@|@sura@
@To economise@|@kelabo@
@To embrace@|@balumbabo@
@to empty@|@dholabo@
@To empty a cart@|@ulalabo@
@to engage@|@pelabo@
@To enter@|@ulabo, ulagabo@
@To entrust@|@audabo@
@to fail@|@pocabo@
@To fall to pieces@|@bikasabo@
@To feel pity for@|@karnakarna karabo@
@To fill in the chinks@|@ralathala@
@To find fault with unnecessary@|@bakhana@
@To flatter@|@lhalasya khabo@
@To flicker@|@taramarabo@
@To foil@|@thamsa marabo@
@to follow@|@dagabo@
@To follow one with the object@|@geraso@
@To form@|@upabo@
@to fulfil@|@Saro@
@to gabble@|@lapalapa@
@to get@|@ladabo@
@to give@|@Ghal@
@To give@|@tirabo@
@To give a gift@|@ukatabo@
@to give birth@|@Jalamo@
@To give to eat@|@khuvabo@
@To give utterance@|@uthiabo@
@To go astray@|@dulabo@
@to grow@|@badhnon, nipajabo, Pangarai@
@to grow gradually@|@panapabo@
@To grumble@|@nakalyo bajabo, tantanata@
@To guess@|@byopabo@
@To have diarrhœa@|@cherabo, taralabo@
@to have influence@|@dhaka@
@to help@|@dhababo@
@to hide face@|@Olo@
@To indent@|@tañcabo@
@to jump@|@dankabo@
@to kill@|@katagerabo@
@To kill@|@mara ralabo@
@to lead@|@bagabo@
@To let down@|@urasabo@
@To lie in wait@|@chapalabo@
@to long for@|@hevako@
@To make a good use of@|@barolabo@
@To make an effort@|@macaki debo@
@To make one's breast@|@chatigadi@
@To manage@|@khebo@
@To marry a wife@|@paranabo@
@To meet together@|@bhelo vhaibo@
@to melt@|@Gal@
@to milk@|@dobo@
@to miscarry@|@tujabo@
@to miss@|@Olun@
@to mix@|@sandabo@
@To mix@|@bhelabo@
@to mix the powder@|@ausan@
@To moan@|@kunarabo, kurnabo@
@to move@|@rakasabo@
@to no purpose@|@hakanaka@
@to obliterate@|@lapalopa@
@To offend@|@tanaka utaralebo@
@To pass the hand gently@|@papolabo@
@To pass wind@|@bava sarabo@
@to passa@|@badita hobo@
@To perform a marriage@|@phëra@
@To pick a quarrel@|@aupatalebo@
@To pick up food@|@cejo@
@To pick up grain@|@cukaba@
@to pile up@|@mimatavaba@
@to pine for@|@hiñjarabo@
@To place@|@melabo@
@To please one@|@mana ki rakhabo@
@To pour the grain in a mill@|@orabo@
@to praise@|@sarabo@
@to present@|@vapasa@
@to press@|@bhinci@
@To press@|@ghavabo@
@to prick@|@khabo@
@To profess inability@|@tyatya@
@To provoke@|@kucarani@
@to pull@|@Khinch@
@To pull and push@|@khalamasatamim@
@To pull out in a disorderly@|@ucindabo@
@To put to sleep@|@suvanabo@
@to quarrel@|@bhanta@
@To rage@|@amvamsabo@
@to read@|@banch@
@to recognise@|@olakhabo@
@to recognize@|@Pichhan@
@to reprimand@|@akabo, khara@
@To revive@|@sarajivata vhibo@
@To rinse@|@khakolabo@
@To roar as a lion@|@galarabo@
@To scratch@|@kucarabo@
@To seat one with some@|@dacokabo@
@To see@|@cogabo@
@To send@|@khinadebo@
@To send cattle@|@ucherabo@
@to separate grains from husk@|@Khalo kado@
@To set as the sun@|@anthabo@
@to shampoo@|@dabbo@
@to shave the head@|@samvara@
@To show unwillingness@|@thanakabo@
@to smear@|@bhandabo@
@To smile@|@gilkabo@
@to sob@|@habakabo@
@to speak@|@bakarabo@
@to stand@|@ubo@
@To stop@|@dhababo@
@To strangle@|@tintu ghotabo@
@to strike@|@hatanala@
@To strike the hand@|@bothabo@
@to suck up@|@sosabo@
@To swell@|@babarabo@
@to swing@|@hindabo@
@To take in marriage@|@Phera@
@to take out@|@barai kado@
@to take out green seeds@|@Maur@
@To take the flour@|@sammarabo@
@To take to task@|@adhakkai lebo@
@To talk nonsense@|@atapatagabo@
@To tattoo@|@khinabo@
@To taunt@|@mimhanu debo, taraka sunabo@
@To tease@|@cañcali@
@To the full@|@macakara@
@to the ground@|@tala@
@to threaten@|@hela, santari@
@to throw@|@hadilabo, ralabo@
@To throw@|@abo@
@To trample on@|@dabacinthi@
@to uproot@|@Upad@
@to urge@|@manavara@
@to us@|@Mhanai@
@to use@|@babo@
@To value as cloth@|@kuntabo@
@to vanish@|@Nimdai@
@to vomit@|@nakhabo@
@To vomit@|@chadabo, hadukabo@
@to wait@|@Udiko@
@To wait for@|@bata nhalabo, udikabo@
@To walk very carefully@|@thogabo@
@To watch a person's conduct@|@kheto@
@To wave a rupee@|@usarabo@
@to wheedle@|@pavasabo@
@To wheedle@|@tamolabo, tilaka catabo@
@To wring@|@nicobo@
@to write@|@Mand, mándabo@
@to you with respect@|@Thanai@
@Tobacco@|@jarado@
@tobacco mixture@|@pan@
@toffy@|@pata@
@tomorrow@|@Ka'l, Tadkai@
@Tomorrow@|@kyala@
@too much@|@chabo@
@totouch@|@abo@
@touchy@|@nakelo@
@Tough@|@citho@
@towards@|@gela, mamum, o, o@
@trace@|@Khur-khoj, thaga, thaga, thaha@
@traditional blouse worn@|@angi@
@traditional chunni@|@peela, Pilo@
@traditional Chunni@|@Chundi, peela, Pomcho@
@traditional kasheeda@|@Lawan@
@traditional ornament worn@|@tewato@
@traditional petticoat@|@Dhabalo@
@traditional Rajasthani ladies@|@Mauchadi@
@transparent@|@Jhini@
@tree@|@Runkh@
@true@|@sakar, Sanchi@
@tuesday@|@Budh-var@
@tumour@|@meda@
@turban@|@Phito, Safo@
@turning on one side@|@kalauta@
@twigs of jhadberi@|@Dhiro, Kheyi@
@Two earthen vessels@|@beva@
@Two hands full@|@andalo@
@Two walls built close@|@carapeto@
@type of ladies garment@|@Kurti@
@umbrella@|@changi@
@uncle@|@Kako@
@Uncontrolable@|@babaramanda@
@uncover@|@Ughado@
@under-wear@|@Janghiyo@
@unexpected@|@anacintyo@
@Unfortunate@|@aundakaramako@
@ungreatful@|@nugaro, nungera@
@unity@|@Eko@
@Unlucky@|@catyakaramako@
@unmannered one@|@ädhü@
@unripe@|@Kacho@
@Unslaked limestone@|@tanta@
@untensil made of first stick@|@Chhalo@
@unwanted shrubs@|@Sud@
@Upside down@|@hutala phutala@
@Usage@|@jurda@
@Used as an intensive in words@|@hata@
@used in sense for things@|@Dhani Dhori@
@Useless@|@ailo@
@useless old man@|@Chigdo@
@Uselessness@|@aphanda@
@utensils@|@Dat@
@Uterus of an animal@|@ghabasa@
@valuable timber tree@|@Rohido@
@valuator@|@bhakaro@
@value@|@Dam@
@variety of axe@|@Gandasi@
@variety of watermelon@|@Lampli@
@Veer Teja was a Jat folk-deity@|@Tejaji@
@vegetable@|@lunnakyo, Sagala, sangara@
@veil which conceals the face@|@Ghunghato@
@very little@|@namva@
@very much@|@bolo, Ghana@
@very recently@|@Aba'r@
@vessel used to carry mortar@|@Kathadi@
@village boundary@|@Kankad@
@village common place@|@Guwad@
@village head@|@Chaudhary@
@village tour@|@Gaontaro@
@wale@|@kuka@
@Walk@|@Chaal@
@wall@|@bhint@
@wall press with doors@|@vari@
@walls of a brick house@|@chano@
@wander without purpose@|@Rulta@
@Want@|@taso@
@warm quilt@|@sau@
@Warmth@|@nivañca@
@was@|@ho@
@Was accustomed@|@gidaro ho@
@watermelon@|@Matiro@
@wave hands to call some body@|@Jhalo@
@wave of spread-viral infection@|@Runsadio@
@way@|@thatta@
@we@|@Mhe@
@We and you@|@hamma tamma@
@weak@|@Ghang, polyo, rammarayo@
@weak and lazy boy@|@Gero@
@Weakness after disease@|@bodayana@
@Wearing apparel@|@ramasa@
@wednesday@|@Brahaspati-var@
@weed resembling bajra@|@baru@
@weeding@|@Ninan@
@well@|@Kuo@
@well having no masonry@|@bhkera@
@well-dressed@|@ticana@
@Well-stricken in years@|@barasa mme mpuro@
@were@|@Ha@
@western direction@|@athuni@
@wet@|@alo@
@what@|@ka, Kaain, Kae, Kae, Kain, kamim@
@What@|@Kaain, Kaain?, kamim, ke@
@What are the questions?@|@Sawaal kaain chhe?@
@What can I do?@|@Main kaain kar sakoon choon?@
@What did you do?@|@Tu kaain kiyo?@
@What is the last question?@|@Aakhri sawaal kun so hai?@
@What is written in the letter?@|@Chitthi maay kaain likhyo hai?@
@What is your name?@|@Tharo naam kaain chhe?@
@What name@|@kami nnamva@
@What remains after sifting@|@bagaro@
@What should I do?@|@Main kaain karoon?@
@What were the questions?@|@Sawaal kaain chaa?@
@What will be the answer?@|@Jawab kaain ho si?@
@What you had been told?@|@Tanne kaain batayo?@
@Wheat and gram@|@ghugari@
@When@|@am, jadayam, jadayam, jida, kadyam, kaina, kaina@
@when a male child is born@|@Sathia mandana@
@where@|@Kathai, Kijan@
@Where@|@bhkam, jadai, jadai, jandai, jathai, jathai, kadai, kauthai, kite, konai, konai, Koni, konyam, konyam, konyam@
@Where (1)@|@jainthai@
@Where did you come from?@|@kathi se aayo?, Tu kaude?@
@Where did you sleep?@|@Tu kaude/kathi ne soyo?@
@Where is the manager's cabin?@|@Manager ko cabin kathi ne hai?, Manager ko cabin kaude?@
@Where should I go?@|@Main kathi ne jaaon?, Main kaune ne jaaon?@
@Which is the sweetest fruit?@|@Sabse mitho fal kun so chhe?@
@Which story did you tell?@|@Tanne kun si katha sunai?@
@Which way did you come?@|@Tu kun sa rasta se aayo?@
@whirlwind@|@bhangulio@
@white@|@Dhaulo@
@white ants@|@Dival@
@Whither@|@jadinai, jadinai, jaindinai, kathinai, kinai, kunai@
@who@|@Kun@
@Who@|@kuna@
@who knows@|@kanni@
@Who knows@|@kanna@
@Whom should I contact?@|@Main kun se miloon?@
@who's not blessed with a sun@|@Niputa@
@whose@|@Kiko@
@Why@|@kinkara, kyanda@
@Why did she pay the money?@|@Une kaain waate pisa diya?@
@Why did you come?@|@Tu kaain waaste aayo ho?@
@Why did you sleep?@|@Tu kaaine so gayo?@
@widow@|@Rand@
@wife@|@bhautiya, binani, Gordi, launthi@
@wife of a Jat@|@Jatani@
@wife of husband's elder bro@|@Jithani@
@wife of husband's younger bro@|@Dyorani@
@wild@|@ramai@
@will come@|@availi@
@Will come@|@Aawega@
@will have to do@|@Karnon padsi@
@Will open@|@Khul jawega@
@Will you come with me?@|@Tu mhaare sang chaale lo?@
@Will you give me your pen?@|@They manne thari kalam dyoga?@
@Win@|@Jeet@
@wind@|@bhala@
@windstorm@|@a'ni@
@winter season@|@Sialo@
@wise@|@sugara@
@with@|@laraim, sagai@
@with fast speed@|@Kha'to@
@With great difficulty@|@nithyam@
@with hobo@|@dhavapela@
@with moisture@|@Silo@
@With partiality@|@dhabam@
@within@|@mamvam@
@without@|@barannai, bina@
@woman@|@Lugai@
@woman who deserts her husband@|@udalabo@
@woman who draws water@|@paniyari@
@woman whose husband is alive@|@suvagana@
@woman's chádar@|@saluva@
@wonderful thing@|@cilattara@
@wood of which is used for fuel@|@dhauka@
@wood placed on the shoulders@|@sanga@
@wooden gate@|@Kiwad@
@wooden rod to fasten the leave@|@agal@
@woolen blanket made of sheep@|@Kamal, Kamalo@
@woolen wear used by children@|@Chotiyo@
@word@|@bataka, bataka, bhakya, samaco@
@Words@|@athamyam@
@work@|@Karaj, mudara@
@workers@|@Kamkaraniya@
@worthless objects@|@Banth-bojha@
@wound on the forehead@|@tinca@
@wrapper of coarse@|@khesalo@
@Wrapping one's self@|@mumsau@
@Wreck and ruin@|@dhaisamaisa@
@wristlet@|@biliyo@
@Wrong@|@upata@
@Wrongside of anything@|@aumlo@
@xerophitic plant@|@Hingun, Kair@
@yellowish red flowers@|@kesulo@
@yes@|@hammala, Ho@
@Yes@|@ho, um@
@Yes; of course@|@Haan; jaroor@
@you@|@Thae, Tu, Tun@
@You@|@They@
@You come@|@Aawo, padharo@
@young bullock@|@nara@
@young camel@|@toradiyo@
@young cow@|@bachhi@
@young female buffalow@|@Padi@
@young male buffalow@|@Pado@
@young sheep@|@khajaru, Uranio@
@young snake@|@sapaleto@
@younger brother of husband@|@Devar@
@youngman@|@Motyar@
@Your@|@thaan ko, Tharo@
@yours@|@Tharo@

