@English@|@Uyghur@
@rain@|@jahmur, jamhu, jamhur, jehin, yamghur@
@raise@|@kötär-@
@raison@|@kixmix@
@ram@|@qochqa, qochqar, qošqa, qošqar@
@rash@|@uchuq@
@rat@|@qaxkhan@
@ray@|@jalqun@
@ready@|@eniq@
@recently@|@baja@
@recite@|@oqu-@
@red@|@qizil@
@reed@|@chih, qomuš@
@regret@|@echin-@
@relative-in-law@|@qejin@
@religion@|@din@
@remain@|@qal-@
@Remarks about the weather@|@Hava toghrisida@
@resin@|@sehiz@
@restaurant@|@axhana@
@restrain@|@jih-@
@rheumatism@|@qujang@
@rhymed verse@|@tujuq@
@rice weevil@|@mite@
@rich@|@baj@
@riddle@|@žumboq@
@right@|@ong, toghra@
@Right!@|@ong gha!@
@ripe@|@piš-@
@rise@|@ün-@
@river@|@derya@
@road@|@jol, yol@
@rock@|@qija, tash@
@roof@|@ögze@
@rooster@|@horaz@
@root@|@iltiz, tüp@
@rope for calves@|@žili@
@rose@|@etirgül@
@round@|@dügläk, jumlaq@
@round thing@|@dop, top@
@Row M; seats l and 3@|@biz M-khur 1-orungha keldukh@
@rug@|@kebez, kevez@
@run@|@žügü-, žügür-@
@sack@|@qap@
@Sacrifice@|@Pidakarlikh@
@saddle@|@egä, egär@
@salt@|@tuz@
@salty@|@tuzlukh@
@sand@|@qum@
@saturated@|@qojuq@
@Saturday@|@Xembe@
@say hello to your kids@|@balliringha salam berip khoy@
@scabbard@|@qin@
@scarlet@|@al@
@scatter@|@sowu(r)-@
@school@|@mektep@
@scoop@|@chömüch@
@scorpion@|@chajan@
@scrape@|@qiq-, qirq-@
@screen@|@köšüke@
@scrotum@|@tašaq@
@scruff@|@jal@
@scythe@|@chalha@
@sea@|@déngiz@
@sea otter@|@kemqet@
@season@|@pesil@
@Seasons@|@Pesiller@
@second@|@ikkinqi, sékunt@
@See that tall building?@|@Egiz binani kordingizma?@
@See you@|@Hox@
@See you later@|@Keyin koruxeyli, Selle turup koruxeyli@
@See you later (1)@|@Keyin koruxermiz@
@See You Later!@|@kiyin kOrishayli !@
@See you tomorrow@|@Ete koruxeyli@
@seed@|@aš-lyq, uruq@
@Seeing A Doctor@|@Dohturgha Korunux@
@send@|@eber-@
@separate@|@bö-, böl-@
@September@|@Sintebir@
@servant@|@qul@
@set teeth on edge@|@qamaš-@
@seven@|@jätti, Yättä, yet'te@
@seventy@|@yetmish, yetmix@
@shadow@|@kölengge, kölige@
@shake@|@täwrä-@
@Shall I open the window?@|@Penjirni aqsam bolamdu?@
@Shall we go to the cinema?@|@Kinogha berip kelemdukh?@
@Shall we go together?@|@Bille barsakh bolamdu?@
@shame@|@ubat, ujat, uvat@
@shark@|@ixt belighi, leheng@
@sharp@|@ištik, qujuch@
@shave@|@qi-, qir-@
@she@|@u@
@She dressed herself hastily@|@U aldirapla kiyinip qikhti@
@She had a bad cold@|@U eghir zukam bolup khaptu@
@She has been collecting stamps@|@U poxta markisini yighivatidu@
@She has been to school@|@U mektepke ketti@
@She has good taste in clothes@|@U kiyim tallaxkha usta@
@She hates boxing@|@U boksurlukhni bek oq koridu@
@She hired a car by the hour@|@U maxinini saat boyqe kiralidi@
@She is a good-looking girl@|@U bir qiraylikh khiz@
@She is a very nice lady@|@U nahayti isil ayal@
@She is really a nice girl@|@U hekhekheten bir yahxi khiz@
@she isn't@|@u okhughuqi emes@
@She mended the broken doll@|@U yirtilghan khoqakhni yamidi@
@She must be a model@|@U jezmen bir modulghu deymen?@
@She was totally exhausted@|@U tamamen qarqap ketti@
@sheep@|@khoy, khoza, qoy@
@shell@|@qavaq@
@She'll certainly remain single@|@U qokhum yalghuz otidu@
@She's a member of the ski club@|@U muz teylix khulubining ezasi@
@She's engaged to John@|@U John bilen toy khilghan@
@She's married to John@|@U John bilen qay iqirulgen@
@She's under the weather@|@Uning mijezi yahxi emes@
@shin@|@san@
@shinbone@|@baqalchäq@
@shin-bone of animal@|@qaja@
@ship@|@keme, paraxot@
@shirt@|@köngläk, köngnek@
@shoot@|@at-@
@short@|@qisqa, uzun-khiskha@
@shoulder@|@mure, öšne, öšni@
@shovel@|@kurek, qalaq@
@shut@|@yepikh@
@Shut up!@|@Aghizingni yum!, Yume aghizingni!@
@side@|@jan, jaq, jaq, qaptal, terep yan@
@sieve@|@älgäk@
@silk@|@yipek@
@silver@|@kömüx reng, kümüsh@
@sinew@|@taram@
@sister@|@acha, khiz kherinda, singil@
@sister-in-law@|@kheyin singil@
@sister-in-law's husband@|@baja@
@Sit down@|@Olturung@
@six@|@alte@
@sixty@|@atmish, atmix@
@skin@|@terä@
@skin of kid@|@älterä@
@skin without hair@|@jahaq, jarhaq@
@sky@|@asman@
@Sky@|@kök@
@sky blue@|@hava reng@
@skylark@|@torghay@
@slander@|@uššaq@
@sleeve@|@jäng@
@slim@|@orukh@
@slime@|@šilim, šillik@
@slow@|@asta@
@Slow down!@|@Asta!@
@small@|@buyuk-kiqik@
@small finger@|@chimalik@
@small path@|@chihir jol@
@smock@|@syry-@
@smoke@|@is@
@snake@|@atan, ilan, yilan@
@snout@|@tumšuq@
@snow@|@khar, qaa, qar@
@snow cock@|@ular@
@So do I@|@Menmu mangimen, Menmu xundakh@
@So far-so good@|@Hazirqe yaman emes@
@So long@|@Hox emise@
@soak@|@ivi-@
@soap@|@sopun@
@soil@|@tofraq, topraq@
@sole@|@tapan, ultang@
@Some of them are mine@|@Bir khisimi mening@
@Someone is ringing the bell@|@Birsi ixikni qikivatidu@
@son@|@Oghul, oghul bala, ohul@
@son-in-law@|@küjohul@
@soot@|@qurum@
@Sorry@|@Kequrung@
@So-So@|@balan@
@sow@|@chach-@
@space between@|@ara@
@space between legs@|@chivä@
@span@|@herich, heriš@
@sparrow@|@tumuchuq@
@Speak louder; please@|@Avazingizni qongrakh khiling@
@speech@|@söz@
@spider@|@ömqük, ömüchük@
@spin@|@igir-, jiger-@
@spinal marrow@|@julun@
@spirit@|@tin@
@spoke@|@gügä@
@spoon@|@qašuq, qoshuq, qošuq@
@sporty@|@tälvä@
@spring@|@etiyaz@
@Spring@|@bahar (etiyaz)@
@Spring is a pretty season@|@Bahar bir yahxi pesil@
@sprinkle@|@säp-@
@squirrel@|@kirpe, tijin, tiyin@
@star@|@jultuz, yultuz@
@static@|@turghun@
@steam@|@buh@
@steel@|@polat@
@steep bank@|@jar@
@step father@|@ogey ata@
@step mother@|@ogey ana@
@steppe@|@jazi, jezi, qir@
@stick to@|@jepiš-, jopuš-@
@sticks supporting the yurt@|@oq@
@stir up@|@bulhu-@
@stomach@|@ax khazan, qosaq@
@stone@|@taš, tash@
@Stop complaining!@|@Tola kotuldima!@
@Stop making such a noise@|@Varang-qorung khilmanglar@
@stork@|@leglek, leylek@
@storm@|@boran@
@straw@|@saman@
@strawberry@|@qilek@
@street@|@kocha@
@Strength and endurance@|@Küqlük ve qidamlikh@
@stretch out@|@sun-@
@stubborn@|@qašang@
@student@|@okhughuqi@
@submerge@|@sing-@
@suffering@|@mung@
@sugar@|@qent@
@summer@|@jaz, yaz@
@sun@|@kün, qojaš@
@Sunday@|@Yekxembe@
@support@|@tiräk@
@Suppose I let you know later@|@Sanga keyin dep berey@
@Sure@|@Bolidu@
@swaddling clothes@|@qondaq@
@swallow@|@qalhach, sümür-@
@swan@|@akh'khu, aq qu, qodaj, quw@
@swear@|@sök-@
@sweat@|@tär@
@sweet@|@tatliq@
@swelling@|@bäz@
@sword@|@qilich@
@table@|@joza@
@tack@|@kök@
@tail@|@qujruq@
@take@|@alin@
@Take a hike!@|@Kete! Bu yerdin@
@Take care!@|@Ozengni sahla@
@Take it easy@|@Jiddilexmeng, Khorkhmang@
@Take the bus #1@|@1-yol aptovuzgha qüxüp bering@
@talking about activities@|@paaliyetler toghrisida@
@Talking About Time@|@Vakhit Toghrisida@
@Talking With Friends@|@Dostlar Bilen Paranglaxmakh@
@tall@|@egiz-paka@
@tamarisk@|@süksük, žulhun@
@tangarine@|@margarin@
@taste@|@tatq@
@tea@|@chay@
@Tea@|@Qay bolsla bolidu@
@teacher@|@okhutkhuqi@
@teapot@|@qaydan@
@tear@|@jaš, qaq-@
@tear apart@|@sök-@
@temple@|@chekä@
@ten@|@on@
@Ten minus two is eight@|@Ondin ikkini alsakh sekkiz@
@tent@|@otaq@
@thank you@|@Rehmet@
@Thank you@|@Rehmet sizge@
@Thank You@|@kop rahmat@
@Thank you for all your trouble@|@Sizni kop avare khildim@
@Thank you for your advice@|@Pikiringizge rehmet@
@Thank you very much@|@Sizge kop rehmet@
@Thanks@|@Rehmet@
@Thanks a lot@|@Kop texekkur bildurumen@
@Thanks for your flattering me@|@Mahtighiningizgha kop rehmet@
@Thanks so much@|@Kop rehmet@
@that@|@u@
@That house is for sale@|@Bu oy ijragha berilidiken@
@that in the class@|@siniptiki@
@That is how I like it@|@Xundakh boluxni kotken idim@
@That is just right@|@Digendek boldi@
@That makes no difference@|@Hiqkhandakh perkhi yokh@
@That one@|@Uni@
@That's a good idea@|@Bu yahxi pikir boldi@
@That's a terrific idea!@|@Bu intayin obdan pikir boldi@
@That's all for today@|@Bugun muxu yergiqe bolsun@
@That's all I need@|@Emdi boldi khilay, Manga muxu lazim@
@that's all right@|@Hiqkhisi yokh@
@That's all right@|@Qatakh yokh@
@That's all!@|@Xundakh bolsun!@
@That's always the case@|@U adettiki bir ix@
@That's excellent@|@Bek esil boldi.@
@That's neat@|@Bu yahxi iken@
@that's not good@|@undakh yahxi bolmaptu@
@That's ok@|@Boliveridu@
@That's rather disappointing@|@Kixini bek umitsizlendurdi@
@That's terrible@|@Huy; kasapet@
@That's the latest fashion@|@Bu eng yengi pasun@
@That's the point@|@Bu mesilingin nekh meghizi@
@That's what you think!@|@Sen xundakh oylapsende!@
@That's your problem@|@U ozengning ixi@
@The answer is zero@|@Bikargha japa tartipsiz@
@the best@|@eng yahxi@
@The bigger one@|@Qongaraghi mening@
@The coat doesn't suit you@|@Bu qapan sizge del kelmeptu@
@The dinner was wonderful@|@Tamakhlar bek esil boptu@
@The eggs are sold by the dozen@|@Tuhumni 12lep satimiz@
@the essential part@|@öz@
@The flight is delayed@|@Ayruplan keqikiptu@
@The meeting is put off@|@Yighin keqikturuluptu@
@The one on your left@|@Sol khol teripingizdiki@
@The one on your right@|@Sizning ong teripingizdikisi@
@The price is fixed@|@bahasi bekitilgen@
@The price is reasonable@|@Bahasi jayida iken@
@The price just covers the cost@|@Bahasi qikhim bilen teng boldi@
@The road divides here@|@Yol buyerdin ayrildu@
@The road on the right side@|@Ong tereptiki yol@
@The rumor had no basis@|@Ighvaning pakiti yokh@
@The shoes are worn-out@|@Bu ayakh konirap ketti@
@The Smiths are my neighbors@|@Smithler mening hoxnam bolidu@
@The stars are too far away@|@Yultuzlar bek yirakhta@
@The sun comes up in the east@|@Khuyax xerkhtin qikhidu@
@The sweater is of good quality@|@Bu popaykining supiti yahxi@
@The teacher got a little angry@|@Mualimning biraz aqqikhi keldi@
@The train arrived on time@|@Poyuz vahtida yetip keldi@
@The view is great@|@Nime digen qiraylikh menzir!@
@The wall has ears@|@Tamning arkhida kulakh bar@
@The whole world knows that@|@Putun alem bilidu@
@the worst@|@eng eski@
@their child@|@balisi@
@their name@|@ismi@
@Then Turn Left@|@anden solgha burlung@
@there@|@uyer@
@There are only 2 minutes left@|@Pekhet ikki minutla khaldi.@
@There comes a bus@|@Aptovuz keldi@
@There go the house lights@|@Oyning qirakhliri oqup ketti@
@there is@|@ba, bar@
@there is not@|@joq@
@These shoes don't fit right@|@Bu ayakh del kelmidi@
@they@|@ular@
@They charged the fault on him@|@Ular gunani buninggha artti@
@They crowned him king@|@Ular uni padixah khildi@
@They hurt@|@Aghirivatidu@
@They praised him highly@|@Ular buni bek mahtap ketti@
@they took@|@aldi@
@they will go@|@baridu@
@They work well together@|@Ular bille ixleydu@
@They've been divorced@|@Ular ajrixip ketken@
@thick@|@inqik-khilin, qelin, qova@
@thick wood@|@bük@
@thief@|@ohri, ohur@
@thigh@|@biqin, jota@
@thin@|@inchikä, nipiz-khilin@
@thin bread@|@chälpäk@
@thirty@|@ottuz@
@this@|@bu@
@This boy has no job@|@U balining ixi yokh@
@This car is in good condition@|@Maxina yahxi halette@
@This house is for rent@|@Bu oy ijragha berilidu@
@This house is my own@|@Bu ozemning oyi@
@This is Mary Speaking@|@Men Mary bolimen@
@This is Tom@|@Bu Tom bolidu@
@This is too small for me@|@Bu manga bek kiqik keldi@
@this month@|@bu ay@
@This one@|@Buni@
@This way@|@Bu terepte, Bu yerge keling@
@this week@|@bu hepte@
@This work itself is very easy@|@Bu ix bek asan ix@
@this year@|@bu yil@
@Those are watermelons@|@Ular tavuz@
@thou@|@sän@
@thousand@|@ming@
@thread@|@jip@
@three@|@üq@
@Three plus six is nine@|@Uqke altini khoxsakh tokh'khuz@
@three years later@|@üq yildin keyin@
@throat@|@boghuz, bohuz, gel@
@throw@|@sa-, sal-@
@thumb@|@barmaq, bax barmakh@
@Thursday@|@Peyxembe@
@ticket@|@bilet@
@tie@|@žala@
@tie to@|@qat-@
@tiger@|@jolbars, yolvas@
@till evening@|@keqkiqe@
@time@|@waqit@
@Time is money@|@Vakhit-altungha baraber@
@Time is running out@|@Vakhit khalmidi@
@Time is up@|@Vakhit toxti@
@to advise@|@kängäš-@
@to ask@|@jalbä, jalbär-, jalvar-, jelin-, sora-@
@to attach@|@uli-@
@to baptize@|@choqun-@
@to be@|@e-@
@to be afraid@|@ürkü-@
@to be ashamed@|@ujal-, ujat-@
@to be beneficial@|@jara-@
@to be broken@|@sin-@
@To be careful!@|@Dikhkhet khiling, Itibar bering@
@to be directed towards@|@jönel-@
@to be ended@|@büt-@
@to be jealous@|@kün-lü-@
@to be lost@|@jit-, jüt-@
@to be mistaken@|@adaš-@
@to be satisfied@|@jalchi-, qan-@
@to be tired@|@ar-@
@to bead@|@tiz-@
@to beat@|@ur-@
@to become@|@bol-@
@to become mad@|@qutu(r)-@
@to become old@|@qeri-@
@to belch@|@keki-, kekir-@
@to believe@|@püt-@
@to boil@|@qajna-@
@to bow@|@jükün-@
@to break through@|@bös-@
@to bring@|@ilt-@
@to burn@|@jan-, jaq-, jaq-@
@to burn (itr.)@|@köj-, küj-@
@to burn (tr.)@|@köjdür-@
@to bury@|@köm-@
@to change@|@tegiš-@
@to chew@|@chajna-, köjši-@
@to choke in smoke@|@burux-t-un bolmaq@
@to chop@|@chap-@
@to chop off splinters@|@tapta-@
@to close eyes@|@jum-, žum-@
@to collect@|@jih-@
@to come@|@käl-, kil-@
@to come near@|@jaq-@
@to come to an end@|@tügü-@
@to constrict@|@qasa-@
@to cover@|@jap-@
@to cover up@|@pükä-, pürkä-@
@to crawl@|@ingäklä-@
@to create@|@jasa-@
@to cross a mountain@|@aš-@
@to crush@|@jänch-, jimir-@
@to cultivate ground@|@teri-@
@to curve@|@pük-@
@to cut@|@kes-, pich-@
@to cut branches@|@puta-@
@to cut into slices@|@tohra-@
@to dawn@|@at-@
@to deceive@|@aldi-@
@to decrease@|@ögsü-@
@to die@|@öl-@
@to dig@|@qaz-@
@to dive@|@chom-, chom-ul-@
@to divide@|@üläš-@
@to drag@|@soz-@
@to draw@|@siz-(maq)@
@to drink@|@ich-@
@to drive away@|@sü-, sür-@
@to drop@|@tam-@
@to earn wages by labour@|@qazan-@
@to eat@|@jä-@
@to enter@|@kir-@
@to erect a building@|@qu(r)-@
@to err@|@jangliš-@
@to explain@|@žoru-@
@to extinguish@|@öch-@
@to feel@|@säz-@
@to find@|@tap-@
@to flap@|@jälpü-@
@to flow@|@aq-@
@to forget@|@unut-@
@to give@|@bär-@
@to gnaw@|@kemi-, kemir-@
@to go astray@|@az-@
@to go away@|@kät-@
@to grasp@|@tut-@
@to grow@|@ös-@
@to hang@|@as-, ker-, tart-, tat-@
@to hang on (smth.)@|@il-@
@to hate@|@jäklä-@
@to hear@|@angla-, angla-, ešet-, tingla-@
@to hide@|@abajla-, avajla-@
@to hit with front hooves@|@tabyj-@
@to hobble@|@chušä-@
@to howl@|@möri-@
@to infuse pride@|@öktäm@
@to itch@|@qichi-@
@to jump@|@säkrä-@
@to kill@|@öltür-@
@to kindle@|@tamet-@
@to knead@|@äz, juhu-, juhu(r)-, žuhu-, žuhu(r)-@
@to kneel down@|@chök-@
@to knock down@|@chal-@
@to know@|@bil-@
@to lean@|@tajan-@
@to lick@|@jala-@
@to lose strength@|@tal-@
@to make@|@qil-@
@to make holes@|@täš-@
@to make magic@|@aba-, arba-@
@to melt@|@iri-, sys-@
@to migrate@|@köch-@
@to milk@|@sah-@
@to miss@|@sehin-@
@to open@|@ach-@
@to order@|@bujru-, bujur-@
@to overflow@|@taš-@
@to pain@|@saj-@
@to paint@|@boja-, boju-@
@to patch@|@jama-@
@to peck@|@choqu-@
@to perceive@|@tuj-@
@to pick@|@oj-@
@to pinch@|@chimdi-, chimqi-@
@to pity@|@aji-@
@to plait@|@ö, ör-@
@to plant vertically@|@tik-@
@to plaster@|@chap-li-@
@to play@|@ojni-@
@to pour out@|@tök-@
@to pour out water@|@quj-@
@to press@|@bas-, siq-@
@to prop@|@süjü-@
@to punish@|@kes-@
@to rain@|@jah-@
@to rake@|@küre-@
@to reach@|@jät-, täg-@
@to rest@|@tin-@
@to revolve@|@ajlan-@
@to rize@|@min-@
@to roast@|@qoru-@
@to rob@|@tala-@
@to roll down@|@hula-, qula-@
@to roll over@|@ah-@
@to rot@|@chiri-@
@to rub teeth@|@qejre-@
@to run away@|@qach-, täz-@
@to say@|@dä-, ejt-@
@to scold@|@žekir-@
@to scoop@|@us-@
@to search@|@tinti-@
@to see@|@kör-@
@to sell@|@sat-@
@to separate@|@ajra-, ajri-@
@to shake@|@silki-@
@to sharpen@|@bilä-@
@to shine@|@joru-@
@to shiver@|@bäz-@
@to sift@|@ägli-@
@to sit@|@oltur-@
@to sleep@|@jat-, uxla-@
@to slide@|@taj-@
@to smear@|@suwa-@
@to snatch@|@qap-@
@to sow@|@ek-@
@to spit@|@tükär-, tükür-@
@to split@|@ja-, jar-@
@to split lengthwise@|@jir-, žir-@
@to spread@|@jaj-, jaz-@
@to stand@|@tur-@
@to step@|@atli-@
@to stick into@|@qada-@
@to stick to@|@juq-@
@to strain@|@süz-@
@to strangle@|@boh-@
@to suck@|@äm-, šora-@
@to suffer@|@emgen-, köj-, köj-, köjün-@
@to surround@|@Gäba-@
@to swallow@|@jut-@
@to sweep@|@süpär-@
@to swell@|@köp-, qapa-, qapar-@
@to swim@|@juj-, juw-@
@to tack@|@kökle-@
@to take@|@al-@
@to tan@|@aš-la-@
@to taste@|@teti-@
@to tear out@|@jul-, žul-@
@to test@|@sini-@
@to thread a needle@|@sap-@
@to threaten@|@säskin-, žonu-@
@to tie in a knot@|@chig-, tüg-@
@to torture@|@qijna-@
@to trot@|@mang-@
@to turn back@|@jan-@
@To Turpan@|@Turpangha baridu@
@to twist@|@chäbir-@
@to understand@|@uq-@
@to vomit@|@qus-@
@to wait@|@küt-@
@to wake up@|@ohan, ojhan-@
@to walk@|@ba-, bar-, jörü-, jür-, žür-@
@to wave@|@tola-@
@to weave@|@toqu-@
@to win@|@jäng-, ut-@
@to wipe@|@sila-@
@to wish@|@qizhan-@
@to wrap round@|@tolhu-@
@to wrinkle@|@pü-, pür-@
@to write@|@jaz-@
@tobacco@|@tamaka, tütün@
@today@|@bügün@
@Today I am going to the store@|@Men bugun dukangha barimen@
@Today is a sunny day@|@Bugun bir oqukh kun@
@Today is May 21st@|@Bugun Mayning 21-kuni@
@Today is Monday@|@Bugun Doxembe@
@toe@|@put baxbarmighi@
@together@|@tü-, tür-@
@tomato@|@pemidur@
@tomorrow@|@ete@
@tomorrow morning@|@ete etken@
@Tomorrow will be a holiday@|@Ete bayram bolidu@
@tongue@|@til@
@tooth@|@chiš, qix, tiš@
@top@|@üst@
@top of head@|@töpä@
@top(s) of boots@|@qonža@
@towards the front of@|@al-ha@
@tower@|@munar@
@town@|@sheher@
@Town center@|@Xeher merkizini depbersingiz?@
@trace@|@iz@
@tramp@|@täp-@
@tree@|@dereh, derex, jahach@
@trouble@|@žut, žüt@
@trust@|@išan-, išän-@
@truth@|@heqiqet@
@Try again@|@Yene bir sinap kor@
@Tuesday@|@Sixembe@
@tulip@|@lale@
@turf@|@chim@
@turkey@|@hindi, körke@
@Turn down the radio please@|@Avazini peslitip khoyunge@
@turtle@|@tax pakha@
@twelve@|@on ikki@
@twenty@|@yigrime@
@twenty million@|@yigrime milyon@
@twin@|@khox-kezek@
@twin sister@|@khox-kezek@
@twist@|@äš-@
@two@|@ikki@
@two hundred@|@Ikki yüz@
@Two hundred fifty U.S. dollar@|@Ikki yüz atmix Amerika dolliri@
@two years ago@|@ikki yildin burun@
@typhus@|@kezik@
@udder@|@jelin, jilim, žilim@
@ugly@|@güzel-set@
@umbrella@|@künlük@
@uncle@|@taha@
@uncle (father side)@|@amja, kiqik data@
@uncle (mother side)@|@tagha@
@unclear@|@ënikhsiz@
@understand@|@chüšün-, tüšün-@
@undisciplined@|@tosun@
@uninhabited@|@ongche@
@unite@|@qoš-@
@unsubstantial@|@jupqa, juqa, župqa, žuqu@
@until 40@|@khirikhkhiqe@
@upper part@|@chomchak@
@useless@|@paydisiz@
@uyghurs@|@uyghurlar@
@valley@|@ova, qol, wadi@
@variegated@|@ala@
@various measures of length@|@qeri@
@vein@|@tomur@
@vertical@|@tik@
@very@|@äng@
@very much@|@tümän@
@vessel@|@kunek@
@viburnum@|@balan@
@village@|@yéza@
@vinegar@|@achchiqsu, sirkä@
@virtuous@|@ehlakhiy@
@voice@|@awaz, ün@
@vulture@|@tasqara@
@waist@|@bäl, bel@
@walk through@|@gäz, käz-@
@wall@|@tam@
@walnut@|@jangaq, janghaq, yang'akh@
@war@|@jahy, jähy, jaw, urush@
@wares@|@tavar@
@warm@|@ilman@
@warrior@|@alpawut@
@wart@|@sögäl@
@wasp@|@exek herisi@
@watch@|@baq-@
@Watch out!@|@Dikhkhet!@
@water@|@su@
@water bucket@|@suha@
@watermelon@|@tavuz@
@way@|@yol@
@we@|@biz@
@We are good friends@|@Biz yekhin dost@
@We are sure to defeat them@|@Biz qokhum ularni utalaymiz@
@we came to an agreement@|@Ahiri biz bir yerge keldukh@
@We enjoyed ourselves very much@|@Ikkimiz bek yahxi oynivaldukh@
@We go to bed at 10:30@|@Biz saat 10:30de uhlaymiz@
@We had a good time@|@Yahxi oynivaldukh@
@We have 50 provinces@|@Bizde ellik olke bar@
@we only take cash@|@biz pekhet nekh pul alimiz@
@we took@|@aldukh@
@we will go@|@barimiz@
@weasel@|@küzen@
@weather@|@hawa@
@Weather is too cold@|@Hava bek soghukh iken@
@wedge between trouser legs@|@ah@
@Wednesday@|@Qarxembe@
@week@|@hepte@
@weft@|@arqaq@
@Welcome!@|@Qarshi alimiz !@
@well@|@bulaq@
@Well it depends@|@Ehvalgha kharapbakhayli@
@we'll let him know@|@bolghan ixni uhturimiz@
@Well; it depends@|@Ehvalgha kharaymiz@
@We're all for it@|@Bir niyetke keldukh, Hemmimiz khoxuldukh@
@We're through@|@Biz togextukh@
@wet@|@höl@
@whale@|@kit@
@what@|@nä@
@What a boring movie it is!@|@Nimidigen zirikixlik kino he@
@What a good deal!@|@Bu bak erzan boldi@
@What a lovely day@|@Nimedigan yahxi hava@
@What a nice day it is!@|@Bugunki hava nime digen yahxi!@
@What a nice day?@|@Nimedigen yahxi kun?@
@What a pity!@|@Biqqare!, Puxaymanlikh ix boldi@
@What a stupid idiot!@|@Huy; dot!@
@What about you?@|@Sizqu?@
@What about your opinion?@|@Sizning pikiringiz khandakh?@
@What are you doing?@|@Siz nime ix khilivatisiz?@
@What are you interested in?@|@Siz nimilerge khizikhisiz?@
@What day is it today?@|@Bugun heptige khanqe?@
@What day is today?@|@Bugun heptige khanqe?, Bugun kunge khanqe?@
@What did he say in the letter?@|@U hetida nimilerni deptu?@
@What did the doctor say?@|@Dohtur nime didi?@
@What did you have for lunch?@|@Quxte nimilerni yidingiz@
@What did you say?@|@Nime diding?@
@What do think about this poem?@|@Bu xeirni khandakh kharaysiz?@
@What do you do at work?@|@Siz ixta nime khilisiz?@
@What do you think of this one?@|@Buni khandakh kharaysiz@
@What do you think?@|@Siz khandakh kharaysiz?@
@What do you want?@|@Nime khilmakhqisen?@
@What does he do?@|@U nime ix khilidu?@
@what does it say?@|@uningda nime didi?@
@What does she like?@|@U nimini yahxi koridu?@
@What does your father do?@|@Dadingiz nime ix khilidu?@
@What happened to you?@|@Nime boldingiz?@
@What horrible weather!@|@Nime digen eski kun bu!@
@What is she doing now?@|@U nime ix khilivatidu?@
@What is the date today?@|@Bügün ayning khanqisi?@
@What month is this?@|@Bu khanqinqi ay?@
@What position do you play?@|@Siz khaysi orunda oynaysiz?@
@What shall we do tonight?@|@Ahxam nime ix khilimiz?@
@What should I do?@|@Men khandakh khilay emdi?@
@What time do you close?@|@Khanqide takhaysiz(yapisiz)?@
@What time do you finish work?@|@Saat khanqide ixtin quxisiz?@
@What time is it now?@|@Saat khanqe boldi?@
@What time is it?@|@Saet khanqe boldi?@
@What time?@|@Saat khanqide?@
@What to say to apologize@|@Khandakh kequrum soraymiz@
@What to say to reassure people@|@Kequrmige javap khayturux@
@What to Say... (English)@|@Neme Deymiz... (Uyghurqe)@
@What were you thinking?@|@Kallangda su barmu nime?@
@What will you do about it?@|@Bu ixni khandakh hel khilisiz?@
@What will you wear?@|@Siz nime kiyisiz?@
@What would you like to eat?@|@Siz nime yemekqi?@
@What year is this?@|@Bu yil khanqinqi yil?@
@What you need is just rest@|@Sizge pekhet dem elix lazim@
@What you need is just rest (1)@|@Siz biraz dem eliveling@
@What's new?@|@Nime yengilikh bar?@
@What's New?@|@nima boldi?@
@What's the date today?@|@Bugun qislagha khanqe boldi?@
@What's the date today? (1)@|@Bugun qislagha khanqe?@
@What's the height of the build@|@Bu bina khanqilik egizdur?@
@What's the meaning of this?@|@Bu khandakh gep?@
@What's the name of the cat?@|@Bu moxukning ismi nime?@
@What's the size of your shoes?@|@Ayighingining rezmi khanqe?@
@What's the time by your watch?@|@Sizning saatingiz khanqe boldi@
@What's the weather like to day@|@Bugun hava khandakh?@
@What's this?@|@Bu nime?@
@What's up?@|@Nime ixing bar?@
@What's wrong with you?@|@Nime boldingiz?, Zadi nime boldung?@
@What's your family name?@|@Sizning famlingiz nime?@
@What's your motherland?@|@Ana-vetiningiz khaysi?@
@What's your name?@|@Sizning ismingiz nime?@
@What's Your Name?@|@ismingiz nimu?@
@What's your nationality?@|@Siz khaysi devletlik?@
@What's your problem?@|@Khandakh geping bar?@
@What's your size?@|@Khanqe rezmilik kerek?@
@What's your trouble?@|@Neringiz aghiridu?, Nime boldingiz?@
@wheat@|@bughday@
@When did you buy the car?@|@Maxiningizni khaqan aldingiz?@
@When she leaves@|@U ketip khalsila@
@When was the house built?@|@Bu oyni khaqan salghan@
@When were you born?@|@Siz khaqan tughulghan?@
@When will he come to see you?@|@U khaqan sizni korgili kelidu?@
@where@|@kheyer@
@Where are my glasses?@|@Mening koz-eynigim kheni?@
@Where are the shops?@|@Dukanlar nerde?@
@Where are the stairs?@|@Pelampay nerde?@
@Where are you from?@|@Siz nedin keldingiz?@
@Where Are You From?@|@siz qayardin?@
@Where are you going?@|@Siz nerge barisiz?@
@Where can I buy bread?@|@Nanni nedin aliman?@
@Where do I pay?@|@Pulni nede töleymen@
@where do you live now?@|@siz hazir nerde turisiz?@
@Where Do You Live?@|@siz Qayarda tursiz?@
@Where do you want to meet?@|@Nede koruxeyli?@
@Where does this road lead to?@|@Bu koqa nerge baridu?@
@Where is my room?@|@Mening odam khaysi?, Mening odam nerde?@
@Where is No.5 Street?@|@Bexinqi koqa nerde?@
