@English@|@Ojibwe@
@moccasin: old fashioned ~@|@jiibodoonekizin+an@
@moccasin: pointed ~@|@jiiboshkizhii-makizin+an (NW), minjikaawanakizin+an@
@moccasin: pointed toe ~@|@jiibodoonekizin+an@
@moccasin: rabbit ~s [cut and folded pointed-toe ~]@|@waaboozodoondanekizin+an (CN)@
@moccasin: round puckered ~@|@maangozidewakizin+an (NW)@
@moccasin: string of a ~/shoe@|@makizineyaab+iin@
@moccasin: worked ~@|@biimigakizin+an@
@moccasin’s heel tab@|@odoondanegwaajigan+an@
@moccasins: make ~s@|@makizinike (vai)@
@moccasins: make ~s for SO@|@makizinikaw (vta)@
@mock@|@babaapinenjige (vai)(RD), baapinootam (vai2), maanenjige (vai), nanaapaagaanzonge (vai), nanaapaagaanzonge (vii)@
@mock (in speaking)@|@nanaapigiizhwe (vai)@
@mock OA@|@nanaapaagaanzondi+wag (vaip)@
@mock OP@|@miikinji'iwe (vai)@
@mock OT@|@baapinodaage (vai), baapinootaage (vai), naabinootaage (vai), nishibaapinootaage (vai)@
@mock OT frequently@|@babaapinodaage (vai)@
@mock SO@|@babaapinenim (vta)(RD), babaapinodaw (vta)(RD), baapinodaw (vta), gaanj-baapi' (vta), maanenim (vta), miikinjii' (vta)(CN/NW/CS), miikinzom (vta)(NO/NW/WO), naabinootaw (vta), nanaapaagaanji' (vta), nanaapaagaanzom (vta), nishibaapinootaw (vta)@
@mock ST@|@babaapinendan (vti)(RD), babaapinodan (vti)(RD), baapitoon (vti2), baapinodan (vti), baapinootan (vti), maanendan (vti), nanaapaagaanjitoon (vti2), nanaapaagaanzondan (vti), nishibaapinootan (vti)@
@mock TH@|@baapinootaage (vii), nanaapaagaanji'iwe (vai)@
@mock with words@|@nanaapidotam (vai2)@
@mock words of SO@|@nanaapidotaw (vta)@
@mock(ing) -@|@nanaapi- (pv4)@
@mock: be heard ~ing@|@nanaapaagaanzitaagozi (vai)@
@mock: speak in a ~ing manner@|@nanaapigiizhwe (vai)@
@mock: use ~ing language@|@nanaapaagaanzonge (vai)@
@mocker@|@neshibaapinootang+ig, nenaapidotang+ig, nenaapigiizhwed+jig@
@mocker: be a ~@|@baapinootaageshki (vai)@
@mockery@|@baapinodaagewin+an, baapinootaagewin+an, baapinootamowin+an, maanenjigewin+an, nanaapidotamowin+an, nishibaapinootaagewin+an@
@mockery (in speaking)@|@nanaapigiizhwewin+an@
@mockery: frequent ~@|@babaapinodaagewin+an@
@mocking language@|@nanaapidotamowin+an, nishibaapinootaagewin+an@
@mocking laughter@|@gaanj-baapiwin+an@
@mockingly repeat SO’s words@|@inootaw (vta)@
@mode@|@izhichigewin+an@
@model@|@gikinoowaabanda'iwe (vai), gikinoowaabanda'iwewin+an, gikinoowaabanjigan+an@
@model (to copy)@|@gikinawaabanjigan+an@
@model (to follow)@|@gikinawaabanjigan+an@
@model: provide a ~@|@gikinoowaabanjige (vai)@
@model: use SO as a ~@|@naabaabam (vta)@
@modelling@|@gikinoo'amaagewin+an, gikinoowaabanjigewin+an@
@moderate OS@|@dibaamenimo (vai)@
@moderately@|@aganaa (pc), gomaa (pc!)@
@moderation@|@dibaamenimowin+an, minjiminidizowin+an@
@modern: be ~ized@|@oshkichigaade (vii), oshkichigaazo (vai)@
@modest narration@|@biinaajimowin+an@
@modest story@|@biinaajimowin+an@
@modest: be ~@|@dabasenindizo (vai)@
@modest: tell ST ~ly@|@biinaajimo (vai)@
@modification@|@aanjichigetamaagewin+an@
@modify@|@aanjichige (vai)@
@modify SO@|@aanjichigetamaw (vta)@
@modify TH@|@aanjichigetamaage (vai)@
@MOE@|@wegimaawaadizij gaa-naanaagajitoowaaj akiini (NW)@
@Mohawk person@|@Amo'waa+g, Naadawe+g, Naadowe+g (AL/NE)@
@Mohawk woman@|@Amo'waakwe+g@
@Mohawk: be ~@|@naadowewi (vai)@
@Mohawk: St.Regis ~@|@Wezhaashiniinan+oog@
@Mohawk: St.Regis ~ Reserve@|@Wezhaashinii (n0), Wezhaashiniing (loc)@
@Mohigan person@|@Ma'iingan+ag@
@Moingwena person@|@Moowiingwenaa+g@
@moise: make sleeping ~@|@madwengwashi (vai)@
@moist -@|@dip= (pv4)@
@moist: be ~@|@dipaa (vii), dipiiwan (vii)(NW), dipizi (vai)@
@moist: be ~ leaves@|@dipaabagaa (vii), dipaabagizi (vai)@
@moist: become ~@|@dipaabaawe (vai)(AL/CN/NW), dipaabaawe (vii)(AL/CN/NW/WO)@
@moist: make ST swell by ~ening@|@dipaabaawadoon (vti2)@
@moisten OS@|@dipaabaawanidizo (vai)@
@moisten SO@|@dipaabaawazh (vta), dipawazh (vta)@
@moisten ST@|@dipaabaawadoon (vti2), dipaabaawidoon (vti2), dipawadoon (vti2), nisaabaawadoon (vti2)@
@moisten TH@|@dipaabaawajige (vai)@
@molar@|@bigishkaabid+an (NW), gitaabid+an, gitaabidaan+an (NW), ishkweyaabid+an@
@molar [tooth]@|@ishkweyaabid+an (NW)@
@molar: have ~s@|@bigishkaabide (vai)(NW)@
@molar: my ~ [tooth]@|@indaamikanaabid+an, nindaamikanaabid+an@
@molasses@|@gichi-zhiiwaagamizigan+an, zhiiwaagamizigan+an, naamenaas+an, ziibwaaganaaboo+n, ziiwaagamizigan+an (SE)@
@mold [shape] TH@|@ziiga'ige (vai)@
@mold SO@|@onadin (vta)@
@mold ST@|@onadinan (vti)@
@mold sugar cake/cone@|@ziiga'ige (vai)@
@mold TH@|@onadinige (vai)@
@mold: be ~ed [shaped]@|@ziiga'igaade (vii), ziiga'igaazo (vai)@
@mold: be ~y@|@agwaagwishi (vai), agwaagwisin (vii), agwaagoshi (vai), agwaagoshin (vai)(NE/SE), agwaagoshiwan (vii), agwaagosin (vii)@
@mold: be ~y leaves@|@agwaagobagaa (vii), agwaagobagizi (vai)@
@mold: black ~@|@makadewaakamig+oon (SE)@
@mold: smell ~y@|@agwaagomaagwad (vii), agwaagomaagozi (vai)@
@mold: taste ~y@|@agwaagopogwad (vii), agwaagopogozi (vai)@
@mold: turn ~y@|@agwaagoshin (vai)(NE/SE), agwaagosin (vii)@
@molding: sugar cake ~@|@ziiga'iganaatig+oon@
@moldy -@|@agwaago- (pv4)@
@moldy floor: be ~@|@agwaagwisagaa (vii), agwaagosagaa (vii)@
@moldy leaf@|@agwaagobag+oon@
@mole@|@boodaajiipingwesii+g@
@mole [animal]@|@gichi-gagiibiingwekwe+g, memookiwidoo+g, nepaajinikesi+wag (SE), nepaaji-ninkesenh+yag (SE), nenaapaajinikesi+wag (SE), nenepaajinikesi+wag (SE)@
@mole [pier]@|@aazhogan+an@
@Mole Lake (WI)@|@Dewegishigamiing, Dewe'igan-madwewe-agaamiing-zaaga'igan, Gegiibiingwekwe-zaaga'igaans, Zaka'aaganing@
@mole: small ~ type@|@gagiibiingwekwe+g@
@mole-hill@|@memookiwidoowigamig+oon@
@molest SO@|@ayekwi' (vta), migoshkaaji' (vta), mookawaazh (vta), ojaanimi' (vta)@
@molest SO (carrying a load/pack)@|@aakoshkaw (vta)@
@molest ST@|@mookawaadan (vti)@
@molest: be ~d@|@migoshkaaji-ayaa (vai)@
@molt@|@binaawe (vai), binaaweshkaa (vai)@
@mom@|@omaamaamimaa (n3D)@
@moment just passed@|@aazhaye (pc)(AL)@
@moment: at the ~@|@megwaa (pc), mengwaa (pc)(NW)@
@moment: for a ~@|@ajiina (pc)(NW), ajina (pc)(AL/CS/SW), wenibik (pc)@
@moment: in a ~@|@ningim (pc), zezikaa (pc), zesikad (pc)(NE), zesikaaj (pc)(NE), zesikana (pc)(NE)@
@moment: one ~@|@ningo-basangwaabiwin+an@
@momentarily@|@binamaa (pc)@
@momentarily forget@|@waniikese (vai)@
@monarch butterfly@|@ashkibag+oog (NW/WO)@
@monarda fistulosa@|@aamoogaawanzh+iig@
@Monday@|@gii-ishkwaa-anami'e-giizhigak (pc)@
@Monday: be ~@|@anokiiwi-giizhigaa (vii), bezhigo-giizhigan (vii)(WO), ishkwaa-anama'e-giizhigad (vii), ishkwaa-anami'e-giizhigad (vii), Niizhoo-giizhigad (vii)(SE), oshki-giizhigad (vii)(NW/WO)@
@money@|@bigishki-zhooniyaans+ag, zhooniyaa+g, zhooniyaa+n (SE/CN/WO), zhooniyaans+ag, meshkwadoonigan+an (NW/NO)@
@Money@|@Zhooniyaa (nom)@
@money [as silver/gold pieces]@|@mitaabik+oon@
@Money Lady@|@Zhooniyaakwe (nom)@
@money order@|@zhooniyaawibii'igan+an (WO)@
@money: ask for ~@|@andawizhooniyaawe (vai)@
@money: be ~@|@zhooniyaamisin (vai), zhooniyaawi (vai)@
@money: collect ~ as donation@|@asigizhooniyaawe (vai)@
@money: earn ~@|@zhooniyaake (vai), zhooniyaake (vii), ondizi (vai), ondisin (vii)@
@money: give SO ~@|@zhoon (vta)@
@money: have ~@|@ozhooniyaami (vai)(NW)@
@money: have no ~@|@bookoshkaa (vai)@
@money: make ~@|@zhooniyaake (vai), zhooniyaake (vii)@
@money: paper ~@|@mazinibiigaazod-zhooniyaa (WO)@
@money: ready ~@|@gwayako-zhooniyaa (n3)@
@money: run out of ~@|@jaagaaboojige (vai)@
@money: spend ~@|@jaagaabikinige (vai)(NW), jaagaaboojige (vai)@
@money: try not to spend ST [~]@|@manaaji'an (vti)(NW/WO)@
@money: use up ~@|@jaagaaboojige (vai)@
@money: use up all of the ~@|@jaagizhooniyaaweshin (vai)@
@money-box@|@zhooniyaa-makak+oon@
@Mongo (IN)@|@Mamaangokwinong@
@monitor@|@naanaagajichige (vai), naanaagajichigewin+an (NO/NW)@
@monitor: be ~ed@|@naanaagajichigaade (vii), naanaagajichigaazo (vai)@
@monitoring@|@naanaagajichigewin+an (NO/NW)@
@monkey@|@andookomesii+wag (WO), andomaakomeshiinh+yag (NE/SE), gidimaakomens+ag (WO), majinaashaweshii+g, nanaandookomesi+wag (NW/WO), nandamaakomeshiinh+yag (SE), nandookomeshiinh+yag (SW), nandoomaakomeshiinh+yag, zaagoonh+yag (SE)@
@monkey-flower@|@wezaawaanagak+in@
@monnth: each and every ~@|@neningo-giizis (pc)(RD)@
@monocle@|@dooskaabandjigaans+an, oshkiinzhigokaan+an@
@monotropa uniflora@|@jiibay opwaagan+ag, mishoomis opwaagan+ag@
@monster: be a ~@|@wiindigoowi (vai)@
@monster: become a ~@|@wiindigoowi (vai)@
@Montagnais language@|@baakwaagamii-inwewin+an, baagwaagamiimowin+an@
@Montagnais man@|@baakwaagamii-inini+wag@
@Montagnais person@|@baakwaagamii-anishinaabe+g, baagwaagamii+g@
@Montagnais woman@|@baagwaagamiikwe+g, baakwaagamii-ikwe+wag@
@Montagnais: at the ~@|@baagwaagamiining (loc)@
@Montagnais: speak ~@|@baagwaagamiimo (vai)@
@Montauk (NY)@|@minisi-akiing@
@month@|@giizis+oog@
@month begins@|@maadaginzo (vai)@
@month starts@|@maadaginzo (vai)@
@month: all ~ (long)@|@gabe-giizis (pc)@
@month: be eight ~s old@|@ishwaaso-giiziswagizi (vai), nishwaaso-giiziswagizi (vai)@
@month: be five ~s old@|@naano-giiziswagizi (vai)@
@month: be four ~s old@|@niiyo-giiziswagizi (vai), niiwo-giiziswagizi (vai)@
@month: be nine ~s old@|@zhaangaso-giiziswagizi (vai)@
@month: be one ~ old@|@ningo-giiziswagizi (vai)@
@month: be one ~ since __@|@ningo-giiziswagad (vii)@
@month: be seven ~s old@|@niizhwaaso-giiziswagizi (vai)@
@month: be six ~s old@|@ningodwaaso-giiziswagizi (vai)@
@month: be so many ~s old@|@daso-giiziswagizi (vai)@
@month: be ten ~s old@|@midaaso-giiziswagizi (vai)@
@month: be the end of the ~@|@ishkwaaginzo (vai)@
@month: be three ~s old@|@niso-giiziswagizi (vai)@
@month: be two ~s old@|@niizho-giiziswagizi (vai)@
@month: every ~ monthly@|@endaso-giizis (pc)@
@month: so many ~s@|@daso-giizis (pc)@
@month: the end of the ~@|@ishkwaayaasige giizis (pc)@
@monthly@|@neningo-giizis (pc)(RD)@
@Monticello (MN)@|@Miigaadiwining@
@Montréal (QC)@|@mooniyaa, Mooniyaang (loc)@
@Montreal River (MI)@|@Gakaabikaansijiwan@
@Montreal River (MI/WI)@|@Agaawaa-zaasijiwan-ziibi, Gaa-waasijiwaang-ziibi@
@Montreal River (QC)@|@Mooniyaang-ziibi@
@Montreal River (WI)[West Fork]@|@Gagakaakwad-aazhogan-ziibi@
@Montréal: be from ~@|@Mooniyaang-dazhe (vai)@
@Montréaler@|@mooniyashis (WO), mooniyaawinini+wag@
@moo@|@bizhiki-mazitaagozi (vai)@
@moon@|@dibik-giizis+oog, dibiki-giizhis+oog (WO), dibiki-giizis+oog (CN/NW), giizis+oog, niibaad-giizis+oog (SE)@
@moon [menses]@|@winewiziwin+an, onewiziwin+an (AL/NE)@
@moon [of the nail]@|@gayaashkokanzaan+an@
@moon [show buttocks]@|@mishwediyetaa (vai)@
@Moon [Solis planet 3 satellite]@|@Gookomisinaan (nom)@
@moon has pointed horns@|@bajiishkiwine giizis (pc)@
@moon is a crescent@|@bajiishkiwine giizis (pc)@
@Moon Lake (MN)[Cass]@|@Mashkiigwaagamaa-zaaga'igan@
@moon phase@|@epiitaagoojing+ig@
@Moon River (ON)@|@moonz-ziibi@
@moon SO@|@mishwediyetaw (vta)@
@moon stage@|@epiitaagoojing+ig@
@moon: be a full ~@|@oshkaasige (vai)(NW)@
@moon: be a full/round ~@|@giizis waawiyezi (vai)@
@moon: be a half full ~@|@aabitawaabikizi (vai), izhiganezi (vai)@
@moon: be a half-~@|@aabitawaasige (vai)@
@moon: be a new ~@|@oshkagoojin (vai)@
@moon: be at the ~ [menses]@|@winewizi (vai), onewizi (vai)(AL/NE)@
@moon: be full ~@|@giizhaabikizi (vai)(NW), giizhaabikogoojin (vai)(NW)@
@moon: be on OS ~@|@bakaan-ishkodawe (vai)@
@moon: be on the ~ [period]@|@agwajiing ayaa (vai), agwajiing boodawe (vai)@
@moon: be the last quarter of the ~@|@akajigisin (vii)(SE)@
@moon: be waning [~]@|@ishkwaawaasige (vai)(NO/NW)@
@moon: first ~ [period/menstruation]@|@oshkizagizi (vai)@
@moon: full ~@|@waawiye-dibiki-giizis+oog (CS), waawiyezi-dibik-giizis+oog@
@moon: growing ~@|@oshki-giizis+oog@
@moon: hang [star/~/sun]@|@agoojin (vai)@
@moon: new ~@|@oshki-agoojin (vai)@
@moon: waxing ~@|@oshki-giizis+oog@
@moonlight: be ~@|@giizhigaate (vii)@
@moonrise@|@mooka'am (vai2)@
@moonrise: at sunrise/~@|@mooka'ang (loc)@
@moonseed: Canada ~@|@biimaakwid waabigwaans+an (SW)@
@moonwart [plant]@|@ozagadigam+ag@
@Moore Lake (MB)@|@Bine-zaaga'igan@
@Moosalamoo:  Mt. ~ (VT)@|@Moozanoomo-wajiw@
@moose@|@moozhoo+g (PO), moonz+oog (NW/WO), mooz+oog, moozoo+g (PO)@
@moose beard@|@omooday+an (NW), omoodayaan+an (NW), omooden+an (NW)@
@moose bone@|@moozogan+an@
@Moose Clan@|@Mooz (nom)@
@Moose Dung@|@Moozomoo (nom)@
@Moose Dung Reserve (MN)[Pennington]{historical Reservation}@|@Moozomoo Ishkonigan@
@moose ear [plant]@|@waabiziipin+iig@
@moose gut@|@ashkaakwaa-onagizh+iin@
@Moose Gut Island (MN)[Aitkin]{Big Sandy Lake}@|@Moozo-onagizh-minis@
@moose has full antlers@|@emikwaaniwane (vai)(NW/WO)@
@moose hide@|@moozowayaan+ag@
@moose horn@|@moonz-eshkan+ag@
@Moose Horn River (MN)[Carlton]@|@Mooz-eshkani-ziibi@
@moose jerky@|@gaaskide-wiiyaas+an@
@Moose Lake (MN)[Aitkin]@|@Moozoshtigwaani-zaaga'igan@
@Moose Lake (MN)[city]@|@Moozoshtigwaani-zaaga'iganiing@
@Moose Lake (MN)[St. Louis]{by Namakan Lake}@|@Moozo-zaaga'igan@
@Moose Lake (MN[Cook]/ON[Thunder Bay])@|@Moozo-zaaga'igan@
@Moose Lake [by Oconomowoc](WI)@|@Waawaabiganoojiinh-zaaga'igan@
@Moose Lake: Big ~ (MN)[St. Louis]{by Burntside Lake}@|@Moozo-zaaga'igan@
@moose meat@|@moonz-wiiyaas+an, moozowiiyaas+an@
@Moose Mountain Saulteaux Band (SK)@|@Moozwajiwing-inini+wag@
@moose nose@|@moozoshkiin+an, ojaash+an@
@Moose Rapids (MN)[Aitkin]{by Palasaide}@|@Moozo-zaasijiwan@
@Moose River (MN)[Aitkin]@|@Moozoshtigwaani-ziibi@
@Moose River (MN)[Marshall/Beltrami]@|@Moozo-ziibi@
@Moose River (MN)[St. Louis]{by Burntside Lake}@|@Moozo-ziibi@
@Moose River (MN)[St. Louis]{by Namakan Lake}@|@Moozo-ziibi@
@moose skin@|@moozwegin+oon@
@moose tail@|@moozwaanow+an, moozoonow+an (NO/CN)@
@moose trail@|@moozomii+n (NW/WO)@
@moose tripe@|@baabiitoos+an@
@moose: bull ~@|@ayaabe+g@
@moose: cow ~@|@noozhe-moonz+oog (NW), noozhe-mooz+oog, oniijaane-moonsk (WO), oniijaane-moonz+oog (NW)@
@moose: feel like hunting for ~@|@moonzwendam (vai2)(NW/WO)@
@moose: female ~@|@noozhe-moonz+oog (NW), noozhe-mooz+oog, noozhez+oog@
@moose: hunt ~@|@andomoozwe (vai)(NW), nandoomoozwe (vai)@
@moose: hunt ~ only@|@noojimoonzwe (vai)(NW/WO)@
@moose: hunt for ~s@|@nanaandomoonzwe (vai)(NW), nanaandoomoozwe (vai)@
@Moose: Little ~ Clan@|@Moozooniih+yag (nom)@
@moose: little/young ~@|@moozoons+ag@
@moose: pretend to be a ~@|@moozokaazo (vai)@
@moose: two-year-old ~@|@nabonaakosens+ag (WO)@
@moose: unborn ~@|@anaamidensiins+ag@
@moose: young ~@|@moonzoons+ag@
@moose: young bull-~@|@ayaabens+ag@
@mooseberry@|@moozomin+an (NO/NW/WO)@
@Moosehead Lake (MN)[Carlton]@|@Moozoshtigwaani-zaaga'igan@
@moosehide moccasin@|@bashkweginekizin+an (NW), moozwayaanekizin+an (NW/WO)@
@moose-horn@|@mooz-eshkan+ag@
@moose-meat@|@mooz-wiiyaas+an@
@moosemeat: dried@|@gaaskide-wiiyaas+an@
@moosewood@|@jiibegob+iin, moozo-gaawanzh+iig, moozo-gaawinzh+iig (CS), moozomizh+iig@
@Moosonee (WI)@|@Naabedikoonsi gakaabikaanging@
@Moowingwenaa person@|@Ininwe+g@
@mop@|@giziisaga'igan+an, giziisaga'ige (vai), naanaazhisaga'igan+an@
@mop ST@|@naanaazhisaga'an (vti)@
@mop the floor@|@naanaazhisaga'ige (vai)@
@mope: make SO to ~@|@aamaw (vta)(AL)@
@Moqua Lake (WI)@|@Makwa-zaaga'igan@
@Moquah (WI)@|@Makwa-oodenaang@
@Moquah Lake (WI)@|@Makwa-zaaga'igan@
@Mora (MN)@|@Gashkikaawaak-zaaga'iganiing@
@Mora Lake (MN)[Kanabec]@|@Gashkikaawaak-zaaga'igan@
@morain: be a sand ~@|@bikwadaawangaa (vii), bikodaawangaa (vii)(NE)@
@morain: be made into a sand ~@|@bikwadaawangisin (vii)@
@moral: be a ~ person@|@na'inawaadizi (vai)@
@moral: be without ~s@|@bishigwaadizi (vai)@
@morality@|@biinaadiziwin+an, na'inawaadiziwin+an@
@morass@|@dootoobijiishkiwag (pc), dootoogan+oon@
@morass: be a ~@|@dootooganowan (vii)@
@morass: in/at the ~@|@dootooganong (loc)@
@morass-water@|@dootooganaaboo+n@
@Moraviantown (ON)@|@Bingoonaang@
@more@|@aanjigo (pc)(NO/NW/WO), awashime (pc), enigok (pc), geyaabaj (pc), geyaabi (pc), giyaabaj (pc)(AL/NO), giyaabij (pc)(NE/CN/NO), maawach (pc)(NO/NW), nawaj (pc), nawanj (pc)(NE/SE)@
@more and more@|@eshkam (pc), miinawaa (pc)@
@more over@|@awashime (pc)@
@more than __@|@nawaj (pc), nawanj (pc)(NE/SE)@
@more than enough: be ~@|@aniwise (vai), aniwise (vii)@
@more: considerably ~@|@awashime (pc)@
@more: even ~@|@aanjigo (pc)(NO/NW/WO), nawaj (pc), nawanj (pc)(NE/SE)@
@more: little ~@|@babena (pc)(RD), babenak (pc)(RD), benak (pc)@
@more: much ~@|@nawaj (pc), nawanj (pc)(NE/SE)@
@more: much/a lot ~@|@awashime (pc)@
@more: once ~@|@miinawaaj (pc)(AL/NE)@
@morel mushroom@|@moozonadow+ag (NW), wazhashkwedoons+ag@
@morning comes@|@biidaaban (vii)@
@morning star@|@waaban-anang (n3), waabanang (n3)(AL/CS/WO)@
@Morning Star Woman@|@Waaban-anangokwe (nom)@
@morning time: be ~@|@gigizhebaawagad (vii)>(pc)>(vii)@
@morning: all ~@|@gabe-zhebaa (pc)@
@morning: be ~@|@gigizhebaawagad (vii)>(pc)>(vii), gizhebaawagad (vii)(NW/WO), waaban (vii)@
@morning: be early ~@|@waateyaa (vii)(NW), waaseyaa (vii)(NW)@
@morning: be late ~@|@ishpi-giizhigad (vii)@
@morning: early in the ~@|@gichi-gigizheb (pc), gigizheb (pc)@
@morning: every ~@|@endaso-gigizheb (pc)(SE), endaso-gigizheg (pc), endaso-gizhebaawag (pc)(NW/WO)@
@morning: in the ~@|@gagizheb (pc)(NE), gegizhebaawagakin (pc), gigizheb (pc)@
@morning: this ~ [passed]@|@zhebaa (pc)@
@morning: very early in the ~@|@aapiji-gigizheb (pc)@
@morose: be ~@|@goshkwaawaadenindam (vai2)(AL/NO/CS), goshkwaawaadizi (vai)@
@Morris@|@Mwaanas (nom)@
@mortally wounded: be ~@|@giiwine (vai)@
@mortar@|@bootaagan+an (SE)@
@mortar and pestle (for corn-grinding)@|@niimaagan+an@
@mortar for wild rice [grinding]@|@bootaagan+ag@
@mortar hole@|@bootaagan+an (SE)@
@mortify@|@bigishkanani (vai)@
@mortise ST@|@wiimbiga'an (vti)@
@mortise TH@|@wiimbiga'ige (vai)@
@mortise: make a ~@|@bagwane'ige (vai), bagone'ige (vai)@
@mortise: put SO in a ~@|@biindaakoshim (vta)@
@mortise: put ST in a ~@|@biindaakosidoon (vti2)@
@mortise: tool for making ~@|@bagwane'igan+an, bagone'igan+an@
@mortuary@|@niboowigamig+oon@
@Morus rubra [fruit]@|@mitigwaabimin+ag (PO)@
@Morus rubra [tree]@|@mitigwaabimizh+iig (PO)@
@Moses@|@Moozis (nom)@
@Moses: the Law of ~ (XP)@|@Moozis odoonashowewin+an, odoonashowewin+an Moozis@
@Mosinee (WI)@|@Gaa-gaawaandagokaa-gakijiwan, Moozoone, Moozowane, Moozozow@
@Mosomo Lake (MN)[Itasca]@|@Moozomoo-zaaga'igan@
@Mosomo Point (MN)[Itasca]@|@Moozomoo-neyaashi@
@mosquito@|@zagime+g, zagimenh+yag (SE)@
@mosquito coil@|@baashkinejiisijigan+an@
@mosquito netting@|@asabiinsiwegin+oon (NW)@
@Mosquito Rapids (MN)[Sherburne\Stearns]{by Grand Island}@|@Zagime-zaasijiwan@
@mosquito repellant@|@zagime-mashkiki+wan@
@mosquito: be many ~es@|@zagimekaa (vii)@
@mosquito: make smudge to chase off ~es@|@ashawi-zagimeweke (vai)@
@mosquito: smudge to keep ~es away@|@baashkinejiisijige (vai)(NW)@
@mosqutio net@|@zagimewayaan+ag@
@moss@|@ataagib+iin, adakii+g (WO), awasayi'iikamig+oon (NW), waakon+an (AL), ozhaashaakon+ag, ozhaashagon+an (AL)@
@moss [edible]@|@asaakamig+oon@
@moss bag@|@waabijiipizon+an@
@Moss Lake (MI)@|@Asaakamig-zaaga'igan@
@moss that grows on (cedar) trees@|@wiisapenjaakon+an (AL)@
@moss used as diapers@|@asaakamig+oon@
@moss: be a ~-covered rock@|@waakonaabikaa (vii)@
@moss: bristly club~@|@miishibag+oon@
@moss: caribou ~@|@waabikamig+oon@
@moss: cedar ~ [edible]@|@waakon+ag (CS)@
@moss: club ~@|@miishibag+oon@
@moss: club~@|@zhegonigan+an@
@moss: common club ~@|@bebaamakii+g (PO)@
@moss: feather ~@|@ozhaakamig+oon@
@moss: fetch ~@|@naadakiiwe (vai)@
@moss: giant ~@|@wiindigoowaakon+ag@
@moss: green lake-bottom ~@|@ataagib+iin@
@moss: haircap ~@|@asaakamig+oon@
@moss: have beard ~ on fir tree@|@wiisaandagaa (vii)(NW), wiisaandagizi (vai)(NW)@
@moss: marsh ~@|@asaakamig+oon@
@moss: peat ~@|@akii+g (WO)@
@moss: pine ~@|@zhingwaakwaakon+ag@
@moss: red sphagum ~@|@miskokamig+oon@
@moss: reindeer ~@|@asaakamig+oon@
@moss: running club~@|@miishibag+oon@
@moss: sheet ~@|@asasa'ekamig+oon (CS)@
@moss: spagnum ~@|@asekamig+oon@
@moss: sphagnum ~@|@akii+g (NO/WO), asaakamig+oon, asekamig+oon, mashkiigokamig+oon@
@moss: stiff club~@|@miishibag+oon@
@moss: tree club~@|@zhegonigan+an, miishibag+oon@
@moss: tree-club ~@|@zhingwaakoonsing ezhinaagwak@
@moss: white caribou ~@|@waabide'okamig+oon@
@moss-broth@|@waakonaaboo+n@
@mossycup oak@|@mitigomizhiins-mitigomizh+iig@
@most@|@maawach (pc)(NO/NW)@
@most - [rare usage]@|@maamawi- (pv4)²@
@most certainly@|@geget igo (pc)@
@most important one@|@mayaawose (vai)@
@most important..@|@mayaa= (pv4)@
@most power: the ~ful one@|@maawach igo gaa-mashkawiziid+jig@
@mote@|@binzinewin+an (NW), binziniwin+an (AL/NE/CN/CS/SW), biziniwin+an (AL/NO/NW/WO)@
@mote: have a ~@|@binzini (vai)(AL/NE/CN/CS/SW), bizini (vai)(AL/NO/CN/NW/WO)@
@motel@|@nibaawigamig+oon (CS)@
@moth@|@animikiiwidikom+ag, bines-odikom+ag (NO), doodoowesii+g, dootoowesii+g, dootoowesi+wag (CS), gokowesii+g, gokowesi+wag (CS), manijoosh+ag (NW/WO)@
@moth: be full of ~s@|@gokowesiikaade (vii), gokowesiikaazo (vai)@
@mother@|@weniijaanid+jig, oga (n3D), omaamaamaa+g (NO/NW/WO)@
@mother earth@|@gidoodoonaan (n3D)(CN), gimaamaayinaan (geo)(SW), gookomisinaan (n3D)(NW), maamaanaan aki (geo)(NW)@
@Mother Earth@|@Ashkaakamigokwe (nom)(SE), Omizakamigokwe (nom)@
@Mother Earth Day: be ~@|@Ashkaakamigokwe-giizhigad (vii)(SE)@
@mother: adopted ~@|@maamaahikaawin+an, ogikaawin+ag (n3D), omaamaayikaawin+ag@
@mother: god~@|@maamaahikaawin+an, ogikaawin+ag (n3D), omaamaayikaawin+ag@
@mother: have a ~@|@ogashii (vai)(SE), ogi (vai), omaamaayi (vai)@
@mother: have SO as a ~@|@ogashiim (vta)(SE), ogiim (vta)@
@mother: have SO as adopted ~@|@ogikaa (vai+o), omaamaayikaa (vai+o)@
@mother: have SO as god~@|@ogikaa (vai+o), omaamaayikaa (vai+o)@
@mother: have SO for ~@|@ogi (vai+o)@
@mother: have SO for a ~@|@omaamaayi (vai)@
@mother: have the same ~@|@wiij'ogiindi+wag (vaip)@
@mother: have the same ~ as SO@|@wiij'ogiim (vta)@
@mother: his/her (3') ~@|@omaamaayini (n3D)@
@mother: his/her ~@|@ogiin (n3D), ogini (n3")@
@mother: his/her ~ [archaic]@|@ogin (n3D)@
@mother: his/her ~s [archaic]@|@ogin (n3D)@
@mother: his/her late ~@|@omaamaayibanen (n3D)@
@mother: my ~@|@ingashi+wag (n3D)(NE), ingye (n3D)(PO), nimaamaah+yag (n3D)², nimaamaam+ag (n3D)(SE), nindoodoo (n3D)(voc)(SE), nindoodoom (n3D)(SE), ningashi+wag (n3D)(SE)@
