@Georgian@|@English@
@კვერცხსავალი@|@oviduct@
@კვეტცალები@|@quetzals@
@კვეტცალი@|@quetzal@
@კვეცავს@|@abbreviates@
@კვეხნა@|@boast, brag@
@კვიეტიზმი@|@quietism@
@კვიეტისტები@|@quietists@
@კვიეტისტი@|@quietist@
@კვინტესენცია@|@quintessence@
@კვინტესენციები@|@quintessences@
@კვინტეტები@|@quintets@
@კვინტეტი@|@quintet@
@კვიპაროსები@|@cypresses@
@კვიპაროსი@|@cypress@
@კვიპროსელები@|@Cypriots@
@კვიპროსელი@|@Cypriot@
@კვიპროსი@|@Cyprus@
@კვიპროსული@|@Cyprian, Cypriot@
@კვირა@|@Sabbath, Sunday, week@
@კვირები@|@Sabbaths, Sundays, weeks@
@კვირის@|@sabbatical@
@კვირის დღე@|@weekday@
@კვირის დღეები@|@weekdays@
@კვირისტავა@|@zinnia@
@კვირისტავები@|@zinnias@
@კვირტები@|@buds, leaf-buds@
@კვირტები გამოაქვს@|@buds@
@კვირტი@|@bud, leaf-bud@
@კვირტის გამოღება@|@bud@
@კვიცები@|@colts@
@კვიცები, ჩოჩრები@|@foals@
@კვიცი@|@colt@
@კვიცი, ჩოჩორი@|@foal@
@კვიცი, ჩოჩორი მოიგო@|@foaled@
@კვიცის, ჩოჩრის მოგება@|@foal@
@კვიცს, ჩოჩორს იგებს@|@foaling, foals@
@კვლავ@|@again@
@კვლავ აყენებს@|@resets, resetting@
@კვლავ აცოცხლებს@|@revitalizes, revitalizing@
@კვლავ გამოაცოცხლა@|@revitalized@
@კვლავ გამოცოცხლება@|@revitalize@
@კვლავ გამოცოცხლებული@|@revitalized@
@კვლავ დააყენა@|@reset@
@კვლავ დათესა@|@reseeded@
@კვლავ დათესვა@|@reseed@
@კვლავ დათესილი@|@reseeded@
@კვლავ დასვა@|@reseated@
@კვლავ დასმა@|@reseat@
@კვლავ დასმული@|@reseated@
@კვლავ დაფუძნდა@|@resettled@
@კვლავ დაფუძნება@|@resettle, resettlement@
@კვლავ დაფუძნებული@|@resettled@
@კვლავ დაყენება@|@reset@
@კვლავ დაყენებული@|@reset@
@კვლავ თესავს@|@reseeding, reseeds@
@კვლავ სვამს@|@reseating, reseats@
@კვლები@|@seedbeds@
@კვლევის შედეგები@|@findings@
@კვლიავები@|@caraways@
@კვლიავი@|@caraway@
@კვნესა@|@groan, groan, lament, moan, moan@
@კვნესები@|@groans, moans@
@კვნესის@|@groaning, groans, lamenting, laments, moaning, moans@
@კვნესოდა@|@groaned, lamented, moaned@
@კვნეტა@|@nibble, nibble@
@კვნეტდა@|@nibbled@
@კვნეტს@|@nibbles, nibbling@
@კვორუმები@|@quorums@
@კვორუმი@|@quorum@
@კვოტა@|@quota@
@კვოტები@|@quotas@
@კვრინჩხები@|@blackthorns, sloes@
@კვრინჩხი@|@blackthorn, sloe@
@კვრინჩხის ნაყენი@|@sloe-gin@
@კიანტი@|@Chianti@
@კიბე@|@ladder, stair, staircase, stairway@
@კიბეები@|@ladders, staircases, stairs, stairways@
@კიბეზე დასაგები ხალიჩა@|@stair-carpet@
@კიბეზე დასაგები ხალიჩები@|@stair-carpets@
@კიბეზე ხალიჩის დასამაგრებელი@|@stair-rod, stair-rods@
@კიბერნეტიკა@|@cybernetics@
@კიბერნეტიკული@|@cybernetic@
@კიბის მოაჯირის რიკულები@|@balusters@
@კიბის მოაჯირის რიკული@|@baluster@
@კიბო@|@barnacle@
@კიბორჩხალა@|@crab@
@კიბორჩხალები@|@crabs@
@კიბორჩხალების ჭერა@|@crab@
@კიბორჩხალებს იჭერდა@|@crabbed@
@კიბორჩხალებს იჭერს@|@crabbing, crabs@
@კიბოსნაირი@|@crustacean@
@კიბოსნაირნი@|@crustaceans@
@კიბუცი@|@kibbutz@
@კიდე@|@brink, edging, flange, margin@
@კიდე გადაკერა@|@oversewed@
@კიდებს@|@hanging, hangs, swinging, swings, upholstering,@
@კიდეგადაკერილი@|@oversewn, oversewn@
@კიდეებზე დაწერილი@|@marginal@
@კიდეები@|@brinks, edgings, flanges, margins@
@კიდევ ერთი@|@another@
@კიდევ რა@|@bah@
@კიდევ, გარდა@|@else@
@კიდეს გადაკერავს@|@oversewing, oversews@
@კიდის გადაკერვა@|@oversew@
@კიდობანი@|@arc, ark, reliquary@
@კიდობნები@|@arks, reliquaries@
@კიდულად@|@aweigh@
@კიდურები@|@extremities, limbs@
@კიდური@|@limb@
@კიევი@|@Kiev@
@კივი-კივები@|@kiwis@
@კივი-კივი@|@kiwi@
@კივკივებდა@|@gobbled@
@კივკივებს@|@gobbles, gobbling@
@კივკივი@|@gobble@
@კითხა@|@asked@
@კითხვა@|@ask, read, reading, reckon@
@კითხვა-პასუხის სახით გადმოსცა@|@catechized@
@კითხვა-პასუხის სახით გადმოსცემს@|@catechizes, catechizing@
@კითხვა-პასუხის სახით გადმოცემა@|@catechize@
@კითხვა-პასუხის სახით გადმოცემული@|@catechized@
@კითხვარები@|@questionnaires@
@კითხვარი@|@questionnaire@
@კითხვები@|@readings@
@კითხვითი@|@interrogative@
@კითხვის ნიშანი@|@question-mark@
@კითხვის ნიშნები@|@question-marks@
@კითხვის უნარის მოშლა@|@alexia@
@კითხულობდა@|@reckoned@
@კითხულობს@|@reading, reads, reckoning, reckons@
@კილაბორაციონისტები@|@collaborationists@
@კილები@|@keels@
@კილერები@|@gunmen@
@კილერი@|@gunman@
@კილი@|@keel@
@კილიტა@|@spangle@
@კილიტები@|@spangles@
@კილიტებით აწყობს@|@spangles, spangling@
@კილიტებით გააწყო@|@spangled@
@კილიტებით გაწყობა@|@spangle@
@კილიტებით გაწყობილი@|@spangled@
@კილკა, შპროტი@|@sprat@
@კილკები, შპროტები@|@sprats@
@კილოგრამები@|@kilograms, kilos@
@კილოგჰერცი@|@kilocycle@
@კილოების ამოხვევა@|@buttonhole@
@კილოვატები@|@kilowatts@
@კილოვატი@|@kilowatt@
@კილოლიტრები@|@kilolitres@
@კილოლიტრი@|@kilolitre@
@კილომეტრები@|@kilometres@
@კილოჰერცები@|@kilocycles@
@კიმანო@|@kimono@
@კიმანოები@|@kimonos@
@კიმიტეტი@|@committee@
@კიმპონენტები@|@components@
@კინდიტერი@|@confectioner@
@კინემატოგრაფია@|@cinematography@
@კინემატოგრაფიული@|@cinematic@
@კინეტიკური@|@kinetic@
@კინეტოსკოპები@|@peepshows@
@კინეტოსკოპი@|@peepshow@
@კინკლაობა@|@bicker, squabble, squabble@
@კინკლაობდა@|@squabbled@
@კინკლაობები@|@squabbles@
@კინკლაობს@|@bickers, squabbles, squabbling@
@კინო@|@cinema, movie@
@კინოაპარატები@|@cameras@
@კინოაპარატი@|@camera@
@კინოები@|@cinemas, movies@
@კინოვარსკვლავები@|@film-stars@
@კინოვარსკვლავი@|@film-star@
@კინოკამერა@|@cine-camera@
@კინოკამერები@|@cine-cameras@
@კინოოპერატორები@|@cameramen@
@კინოოპერატორი@|@cameraman@
@კინოპროექტორები@|@cine-projectors@
@კინოპროექტორი@|@cine-projector@
@კინოჟურნალები@|@newsreels@
@კინოჟურნალი@|@newsreel@
@კინოფილმები@|@cine-films@
@კინოფილმი@|@cine-film@
@კიოლნი@|@Cologne@
@კიოსკები@|@booths@
@კიოსკი@|@booth@
@კიოტო@|@Kyoto@
@კირად გადაქცევა@|@calcify@
@კირად გადაქცეული@|@calcified@
@კირასირები@|@cuirassiers@
@კირასირი@|@cuirassier@
@კირი@|@lime@
@კირით ათეთრებს@|@limes, liming@
@კირით შეათეთრა@|@limed@
@კირით შეთეთრება@|@lime@
@კირით შეთეთრებული@|@limed@
@კირილიცა@|@Cyrillic@
@კირის გამოსაწვავი ღუმელები@|@limekilns@
@კირის გამოსაწვავი ღუმელი@|@limekiln@
@კირკიტა@|@kestrel@
@კირკიტები@|@kestrels@
@კირქვა@|@limestone@
@კირწყლავს@|@cobbling, paves, paving@
@კირხსნარით აკავშირებს@|@mortaring, mortars@
@კირხსნარით შეაკავშირა@|@mortared@
@კირხსნარით შეკავშირება@|@mortar@
@კირხსნარით შეკავშირებული@|@mortared@
@კისერი@|@neck@
@კისრება@|@assume, assumption@
@კისრები@|@necks@
@კისრის@|@jugular@
@კისრის მოსახვევები@|@neckerchiefs@
@კისრის მოსახვევი@|@neckerchief@
@კისრისა, კეფისა@|@cervical@
@კისრულობს@|@assumes, assuming@
@კიტელები@|@blouses@
@კიტელი@|@blouse@
@კიტრები@|@cucumbers@
@კიტრი@|@cucumber@
@კიტრისუნა@|@borage@
@კიჩო@|@fanny, poop, stern@
@კიჩოები@|@fannies, poops, sterns@
@კიჩოზე@|@aft, astern@
@კიჩოს ჯიხურები@|@roundhouses@
@კიჩოს ჯიხური@|@roundhouse@
@კიჩოსთან ახლოს მჯდომი მენიჩბე@|@bowman@
@კიჩოსთან ახლოს მჯდომი მენიჩბეები@|@bowmen@
@კიცხავს@|@censures, censuring, condemning, condemns, denounces,@
@კიცხავს, საყვედურობს@|@reproves, reproving@
@კლავიატურა@|@fingerboard, keyboard@
@კლავიატურები@|@fingerboards, keyboards@
@კლავიკორდები@|@clavichords@
@კლავიკორდი@|@clavichord@
@კლავისინები@|@harpsichords@
@კლავისინი@|@harpsichord@
@კლავისინისტები@|@harpsichordists@
@კლავისინისტი@|@harpsichordist@
@კლავიშები ინტერვალებისათვის@|@space-bars@
@კლავიში ინტერვალებისათვის@|@space-bar@
@კლავს@|@butchers, deadening, deadens, killing, kills, murdering,@
@კლაკიორთა ჯგუფები@|@claques@
@კლაკიორთა ჯგუფი@|@claque@
@კლაკნა@|@crinkle, meander, squirm@
@კლაკნილი@|@meandered@
@კლაკნის@|@crinkles@
@კლანები@|@clans, tribes@
@კლანი@|@tribe@
@კლანი, გვარი@|@clan@
@კლარი@|@Clarrie@
@კლარკსტონი@|@Clarkston@
@კლარნეტები@|@clarinets@
@კლარნეტი@|@clarinet@
@კლარნეტისტები@|@clarinetists, clarinettists@
@კლარნეტისტი@|@clarinetist, clarinettist@
@კლასები@|@classes@
@კლასი@|@class@
@კლასიკოსები@|@classics@
@კლასიკოსი@|@classic@
@კლასიკურად@|@classically@
@კლასიკური@|@classical@
@კლასიკური, ანტიკური@|@classic@
@კლასიფიკაცია@|@classification@
@კლასიფიკაცია გაუკეთა@|@classified@
@კლასიფიკაცია რამდენიმე ნიშნის მიხედვით@|@cross-division@
@კლასიფიკაციები@|@classifications@
@კლასიფიკაციები რამდენიმე ნიშნის მიხედვით@|@cross-divisions@
@კლასიფიკაციის მოხდენა@|@classify@
@კლასიფიცირება@|@pigeonhole@
@კლასიფიცირება გაუკეთა@|@pigeonholed@
@კლასიფიცირებას უკეთებს@|@classifies, classifying, pigeonholes,@
@კლასიფიცირებული@|@assorted, classified, classified, pigeonholed@
@კლასიციზმი@|@classicism@
@კლასიცისტები@|@classicists@
@კლასიცისტი@|@classicist@
@კლაუსტროფობია@|@claustrophobia@
@კლაუსტროფობიური@|@claustrophobic@
@კლაქსონები@|@klaxons@
@კლაქსონი@|@klaxon@
@კლდე@|@crag, scar@
@კლდე, ქვა@|@rock@
@კლდეები@|@crags, scars@
@კლდიანი@|@cragged, craggy@
@კლდის მცენარე@|@rock-plant@
@კლდის მცენარეები@|@rock-plants@
@კლდოვანი საფუძველი@|@bedrock@
@კლდოვანი საფუძვლები@|@bedrocks@
@კლება@|@subside, subsidence, subsidences@
@კლემენტი@|@Clement@
@კლემი@|@Clem@
@კლეპტომანები@|@kleptomaniacs@
@კლეპტომანი@|@kleptomaniac@
@კლეპტომანია@|@kleptomania@
@კლერი@|@Clare@
@კლერიკალური@|@clerical@
@კლერკები@|@clerks@
@კლერკი@|@clerk@
@კლერმონ-ფერანი@|@Clermont-Ferrand@
@კლიენტები@|@clients@
@კლიენტი@|@client@
@კლიენტურა@|@clientele@
@კლიენტურები@|@clienteles@
@კლივერები@|@jibs@
@კლივერი@|@jib@
@კლივლენდი@|@Cleveland@
@კლიმატები@|@climates@
@კლიმატი@|@climate@
@კლიმატოლოგია@|@climatology@
@კლიმატურად@|@climatically@
@კლიმატური@|@climatic@
@კლიმაქტერიული პერიოდები@|@menopauses@
@კლიმაქტერიული პერიოდი@|@menopause@
@კლინიკა@|@clinic@
@კლინიკები@|@clinics@
@კლინიკურად@|@clinically@
@კლინიკური@|@clinical@
@კლინკერები@|@clinkers@
@კლინკერი@|@clinker@
@კლიტე@|@lock@
@კლიტეები@|@locks@
@კლიტორები@|@clitorises@
@კლიტორი@|@clitoris@
@კლიფი@|@Cliff@
@კლიფორდი@|@Clifford@
@კლიშე@|@cliché@
@კლიშეები@|@clichés@
@კლოდი@|@Claud, Claude@
@კლონები@|@clones@
@კლონი@|@clone@
@კლოუნები@|@buffoons, clowns@
@კლოუნი@|@buffoon, clown@
@კლოშიანი@|@bell-bottomed@
@კლუბები@|@clubs@
@კლუბი@|@club@
@კლუბის შენობა@|@clubhouse@
@კლუბის შენობები@|@clubhouses@
@კლუბის წევრობის ღირსი@|@clubbable@
@კლუმბები@|@flowerbeds@
@კლუმბი@|@flowerbed@
@კმაზავს@|@savouring, savours@
@კმაყოფილად@|@contentedly@
@კმაყოფილება@|@content, contentment, satisfaction, satisfactions@
@კმაყოფილი@|@amused, content, contented, glad@
@კმევა@|@fumigate, fumigation@
@კნავილები@|@mules@
@კნავილი@|@miaou, miaou, miaous, miaow, miaow, miaows, mule@
@კნავის@|@miaouing, miaous, miaowing, miaows@
@კნაოდა@|@miaoued, miaowed@
@კნარკომანები@|@addicts@
@კნესეტები@|@Knessets@
@კნესეტი@|@Knesset@
@კნინობითად@|@diminutive@
@კნინობითი არსებითი სახელები@|@diminutives@
@კნინობითი არსებითი სახელი@|@diminutive@
@კნუტები@|@kittens, kitties@
@კნუტი@|@kitten, kitty@
@კნუტივით მოთამაშე@|@kittenish@
@კოაგულაცია, შედედება@|@coagulation@
@კოალა@|@koala@
@კოალები@|@koalas@
@კოალიცია@|@coalition@
@კოალიციები@|@coalitions@
@კობალტი@|@cobalt@
@კობე@|@Kobe@
@კობრა@|@cobra@
@კობრები@|@cobras@
@კობრი@|@carp@
@კობრისებრთა ოჯახი@|@carps@
@კოდა@|@coda@
@კოდავს@|@castrates, castrating, emasculates, emasculating@
@კოდალა@|@woodpecker@
@კოდალები@|@woodpeckers@
@კოდები@|@codas@
@კოდეინი@|@codeine@
@კოდექსები@|@codes, codices@
@კოდექსი@|@codex@
@კოდექსი, კანონთა კრებული@|@code@
@კოდიფიკაცია@|@codification@
@კოდიფიკაცია მოახდინა@|@coded, codified@
@კოდიფიკაციას ახდენს@|@codes, codifying, coding@
@კოდიფიკაციები@|@codifications@
@კოდიფიკაციის მოხდენა@|@code, codify@
@კოდიფიცირებას ახდენს@|@codifies@
@კოდიფიცირებული@|@coded, codified@
@კოეფიციენტები@|@quotients@
@კოეფიციენტი@|@coefficient, coefficients, quotient@
@კოვბოები@|@cowboys@
@კოვბოი@|@cowboy@
@კოვზები@|@spoons@
@კოვზი@|@spoon@
@კოვზით აიღო@|@spooned@
@კოვზით აღება@|@spoon, spooning@
@კოვზით აღებული@|@spooned@
@კოვზით აჭმევდა@|@spoonfed@
@კოვზით აჭმევს@|@spoonfeeding, spoonfeeds@
@კოვზით იღებს@|@spoons@
@კოვზით ნაჭამი@|@spoonfed@
@კოვზით ჭმევა@|@spoonfeed, spoonfeeding@
@კოზირები@|@trumps@
@კოზირი@|@trump@
@კოზირით დაარტყა@|@ruffed@
@კოზირით დარტყმა@|@ruff, ruffed@
@კოზირით ურტყამს@|@ruffing, ruffs@
@კოზირის ჩამოსვლა@|@trump@
@კოზირს ჩამოდის@|@trumping, trumps@
@კოზირს ჩამოვიდა@|@trumped@
@კოზირჩამოსული@|@trumped@
@კოიოტები@|@coyotes@
@კოიოტი@|@coyote@
@კოიტუსი@|@coition, coitus@
@კოკაინი@|@cocaine@
@კოკა-კოლა@|@Coca-Cola, coke@
@კოკა-კოლები@|@Coca-Colas, cokes@
@კოკარდა@|@cockade@
@კოკარდები@|@cockades@
@კოკისპირულად წვიმდა@|@showered@
@კოკისპირულად წვიმს@|@showering, showers@
@კოკისპირული წვიმა@|@shower, soak, soaker@
@კოკისპირული წვიმები@|@soakers, soaks@
@კოკნი@|@cockney, cockney@
@კოკოტები@|@cocottes@
@კოკოტი@|@cocotte@
@კოლა@|@kola@
@კოლაბორაციონისტები@|@collaborators@
@კოლაბორაციონისტი@|@collaborationist, collaborator@
@კოლაჟები@|@collages@
@კოლაჟი@|@collage@
@კოლები@|@collies@
@კოლეგა, თანამშრომელი@|@colleague@
@კოლეგები, თანამშრომლები@|@colleagues@
@კოლენკორი@|@calico@
@კოლექტივიზაცია@|@collectivization@
@კოლექტივიზაციას ახდენს@|@collectivizes, collectivizing@
@კოლექტივიზაციები@|@collectivizations@
@კოლექტივიზირება მოახდინა@|@collectivize, collectivized@
@კოლექტივიზირებული@|@collectivized@
@კოლექტიური, ერთობლივი@|@collective@
@კოლეჯების დირექტორები@|@principals@
@კოლეჯის დირექტორი@|@principal@
@კოლეჯის ტერიტორიიდან სტუდენტთა გასვლა აკრძალა@|@gated@
@კოლეჯის ტერიტორიიდან სტუდენტთა გასვლის აკრძალვა@|@gate@
@კოლი@|@collie@
@კოლიბრები@|@hummingbirds@
@კოლიბრი@|@hummingbird@
@კოლინი@|@Colin@
@კოლიტი@|@colitis@
@კოლოკვიალიზმები@|@colloquialisms@
@კოლოკვიალიზმი@|@colloquialism@
@კოლომბო@|@Colombo@
@კოლონადა@|@colonnade@
@კოლონადები@|@colonnades@
@კოლონებით შემკული@|@colonnaded@
@კოლონია@|@colony@
@კოლონიად აქცევს@|@colonizes, colonizing@
@კოლონიად აქცია@|@colonized@
@კოლონიად ქცევა@|@colonize@
@კოლონიად ქცეული@|@colonized@
@კოლონიალიზმი@|@colonialism@
@კოლონიალისტი@|@colonialist@
@კოლონიები@|@colonies@
@კოლონიზატორები@|@colonizers@
@კოლონიზატორი@|@colonizer@
@კოლონიზაცია@|@colonization, settlement@
@კოლონიზაციები@|@settlements@
@კოლონიის მცხოვრები@|@colonial@
@კოლონიის მცხოვრებლები@|@colonials@
@კოლონისტები@|@colonists@
@კოლონისტი@|@colonist@
@კოლონიური@|@colonial@
@კოლონოალისტები@|@colonialists@
@კოლორადო@|@Colorado@
@კოლორატურა@|@coloratura@
@კოლოსალური@|@colossal@
@კოლოსი@|@colossi, colossus@
@კოლოფა ფრანები@|@box-kites@
@კოლოფა ფრანი@|@box-kite@
@კოლოფები@|@arks@
@კოლოფი@|@ark@
@კოლრაბები@|@kohlrabis@
@კოლრაბი@|@kohlrabi@
@კოლუმბი@|@Columbus@
@კოლუმბია@|@Colombia@
@კოლუმბიელები@|@Colombians@
@კოლუმბიელი@|@Colombian, Colombian@
@კოლუმბის მიწა, ამერიკა@|@Columbia@
@კომა@|@coma@
@კომანდოსები, სადესანტო-დივერსიული რაზმები@|@commandoes, commandos@
@კომანდოსი, სადესანტო-დივერსიული რაზმი@|@commando@
@კომატოზური@|@comatose@
@კომბინაციები@|@combinations@
@კომბინეზონი@|@dungarees@
@კომბინირება@|@piece@
@კომბინირება გაუკეთა@|@pieced@
@კომბინირებას უკეთებს@|@pieces, piecing@
@კომბინირებული@|@pieced@
@კომბოსტო@|@cabbage@
@კომბოსტოები@|@cabbages@
@კომბოსტოს სალათა@|@slaw@
@კომედია@|@comedy@
@კომედიები@|@comedies@
@კომედიური მსახიობი@|@comic@
@კომედიური როლების შემსრულებელი ქალები@|@comediennes@
@კომედიური როლების შემსრულებელი ქალი@|@comedienne@
@კომენდანტის საათი@|@curfew@
@კომენდანტის საატები@|@curfews@
@კომენტარები@|@annotation, annotations, comments@
@კომენტარები გაუკეთა@|@commented@
@კომენტარების გაკეთება@|@comment@
@კომენტარებს უკეთებს@|@commentated, commentates, commentating,@
@კომენტარი@|@comment, commentary@
@კომენტატორები@|@commentators@
@კომენტატორი@|@commentator@
@კომენტირება@|@commentate@
@კომენტირებული@|@commentated, commented, descanted@
@კომერცია@|@commerce@
@კომერციული@|@commercial, mercantile@
@კომერციული თვალსაზრისით@|@commercially@
@კომეტა@|@comet@
@კომეტები@|@comets@
@კომივოიაჟერები@|@outriders@
@კომივოიაჟერი@|@outrider@
@კომიკოსები@|@comedians@
@კომიკოსი@|@comedian@
@კომიკოსის პარტნიორები@|@stooges@
@კომიკოსის პარტნიორი@|@stooge@
@კომიკურად წარმოადგენს@|@burlesques@
@კომიკურად წარმოდგენა@|@burlesque@
@კომიკურად წარმოდგენილი@|@burlesqued@
@კომიკური@|@comic@
@კომინგსი@|@coaming, coamings@
@კომისიაში ხელმეორე გადასინჯვისთვის დაბრუნებული@|@recommitted@
@კომისიის მუშაობა@|@proceedings@
@კომიტეტები@|@committees@
@კომიქსები@|@comics@
@კომოდები@|@commodes@
@კომოდი@|@commode@
@კომოდორები@|@commodores@
@კომოდორი@|@commodore@
@კომპანია@|@company@
@კომპანიები@|@companies@
@კომპანიონები@|@associates, companions@
@კომპანიონი@|@associate, companion@
@კომპანიონობა@|@companionship@
@კომპასები@|@compasses@
@კომპასი@|@compass@
@კომპაქტურად@|@compactly@
@კომპაქტური@|@compact@
@კომპაქტურობა@|@compactness@
@კომპენდიუმები@|@compendiums@
@კომპენდიუმი@|@compendium@
@კომპენსაცია@|@amends, compensation, recompense, reimbursement@
@კომპენსაციები@|@compensations, recompenses, reimbursements@
@კომპენსირება@|@recompense, recoup@
@კომპენსირება გაუკეთა@|@recompensed, recouped@
@კომპენსირებას ახდენს@|@recouping, recoups@
@კომპენსირებას უკეთებს@|@recompenses, recompensing@
@კომპენსირებული@|@recompensed, recouped@
@კომპეტენტურად@|@competently@
@კომპეტენტური@|@competent@
@კომპეტენტურობა@|@expertise@
@კომპეტენცია@|@purview@
@კომპეტენციაში შესვლა@|@appertain@
@კომპეტენციები@|@purviews@
@კომპილატორები@|@bookmakers@
@კომპილატორი@|@bookmaker@
@კომპილაციები@|@compilations@
@კომპიუტერები@|@computers@
@კომპიუტერი@|@computer@
@კომპიუტერიზება@|@computerize@
@კომპიუტერიზება მოახდინა@|@computerized@
@კომპიუტერიზებას ახდენს@|@computerizes, computerizing@
@კომპიუტერიზებული@|@computerized@
@კომპიუტერულად@|@computationally@
@კომპიუტერული@|@computational@
@კომპლემენტარული, შემავსებელი რიცხვები@|@complements@
@კომპლექსები@|@complexes@
@კომპლექსი@|@complex@
@კომპლექტები@|@sets, suites, suits@
@კომპლექტი@|@set, suit, suite@
@კომპლიმენტები@|@compliments@
@კომპლიმენტი@|@compliment@
@კომპლიმენტი თქვა@|@complimented@
@კომპლიმენტის თქმა@|@compliment@
@კომპლიმენტს ამბობს@|@complimenting, compliments@
@კომპოზიტორები@|@composers@
@კომპოზიტორი@|@composer@
@კომპონენტი@|@component@
@კომპოსტერები@|@punches@
@კომპოსტერი@|@punch@
@კომპოსტი@|@compost@
@კომპოსტით აპატივებს@|@composting, composts@
@კომპოსტით გააპატივა@|@composted@
@კომპოსტით გაპატივება@|@compost@
@კომპოსტით გაპატივებული@|@composted@
@კომპოსტირება@|@punch@
@კომპოსტირება გაუკეთა@|@punched@
@კომპოტები@|@compotes@
@კომპოტი@|@compote@
@კომპრესები@|@compresses@
@კომპრესი@|@compress@
@კომპრესორები@|@compressors@
@კომპრესორი@|@compressor@
@კომპრომეტირებული@|@discredited@
@კომპრომისები@|@compromises@
@კომპრომისების მოწინააღმდეგე@|@hardliner@
@კომპრომისების მოწინააღმდეგეები@|@hardliners@
@კომპრომისზე მიდის@|@compromises, compromising@
@კომპრომისზე წავიდა@|@compromised@
@კომპრომისზე წასვლა@|@compromise@
@კომპრომისი@|@compromise@
@კომუნა@|@commune@
@კომუნალურად@|@communally@
@კომუნალური@|@communal@
@კომუნები@|@communes@
@კომუნიზმი@|@communism@
@კომუნიკაციები, საკომუნიკაციო ხაზები@|@communications@
@კომუნიკე@|@communiqué@
@კომუნიკეები@|@communiqués@
@კომუნისტები@|@communists@
@კომუნისტი@|@communist@
@კომუნისტური@|@communist@
@კომუტატორები@|@commutators, switchboards, switches@
@კომუტატორი@|@commutator, switch, switchboard@
@კომფორტაბელურად@|@comfortably@
@კომფორტაბელური@|@comfortable, comfy@
@კომშები@|@quinces@
@კომში@|@quince@
@კონა@|@wisp@
@კონად კრავს@|@trusses, trussing@
@კონად შეკვრა@|@truss@
@კონად შეკრა@|@trussed@
@კონად შეკრული@|@trussed@
@კონგენიალურად@|@congenially@
@კონგლომერატები@|@conglomerates@
@კონგლომერატი@|@conglomerate@
@კონგლომერაცია@|@conglomeration@
@კონგლომერაციები@|@conglomerations@
@კონგო@|@Congo@
@კონგრესები@|@congresses@
@კონგრესი@|@congress@
@კონგრესის წევრები@|@congressmen@
@კონგრესის წევრი@|@congressman@
@კონგრესის წევრი ქალები@|@congresswomen@
@კონგრესის წევრი ქალი@|@congresswoman@
@კონგრესისა@|@congressional@
@კონდენსატორები@|@condensers@
@კონდენსატორი@|@condenser@
@კონდენსირების სითბო@|@steam-heat@
@კონდიტერები@|@confectioners, pastry-cooks@
@კონდიტერი@|@pastry-cook@
@კონდიციონერები@|@conditioners@
@კონდიციონერი@|@conditioner@
@კონდიცირება@|@conditioning@
@კონდიცირებული ჰაერის მქონე@|@air-conditioned@
@კონდომინიუმები@|@condominiums@
@კონდომინიუმი@|@condominium@
@კონდორები@|@condors@
@კონდორი@|@condor@
@კონდუქტორები@|@trainmen@
@კონდუქტორი@|@trainman@
@კონებად კრავს@|@bunches@
@კონებად შეკვრა@|@bunch@
@კონებად შეკრული@|@bunched@
@კონები@|@wisps@
@კონვეიერები@|@conveyers, conveyors, transporters@
@კონვეიერი@|@conveyer, conveyor, transporter@
@კონვენცია@|@convention@
@კონვენციები@|@conventions@
@კონვერგენტული@|@convergent@
@კონვერგენცია@|@convergence@
@კონვერგენციები@|@convergences@
@კონვერტები ხელფასით@|@pay-packets@
@კონვერტერები@|@converters@
@კონვერტერი@|@converter@
@კონვერტი@|@envelope@
@კონვერტი ხელფასით@|@pay-packet@
@კონვექტორები@|@convectors@
@კონვექტორი@|@convector@
@კონვექცია@|@convection@
@კონვულსიურად@|@convulsively@
@კონიაკები@|@brandies@
@კონიაკი@|@brandy, cognac, eau-de-vie@
@კონიუნქტურა@|@conjuncture@
@კონიუნქტურები@|@conjunctures@
@კონკია@|@Cinderella, tatterdemalion@
@კონკიები@|@Cinderellas, tatterdemalions@
@კონკისტადორები@|@conquistadors@
@კონკისტადორი@|@conquistador@
@კონკორდატები@|@concordats@
@კონკორდატი@|@concordat@
@კონკრემენტები@|@concretions@
@კონკრეტულად@|@concretely@
@კონკრეტული@|@concrete@
@კონკურენტუნარიანობა@|@competitiveness@
@კონკურენცია@|@rivalry@
@კონკურენციები@|@rivalries@
@კონსერვატიზმი@|@conservatism@
@კონსერვატიულად@|@conservatively@
@კონსერვატიული@|@conservative@
@კონსერვატორები@|@conservatives@
@კონსერვატორი@|@conservative@
@კონსერვატორია@|@conservatoire@
@კონსერვატორიები@|@conservatoires@
@კონსერვები@|@preserve, preserves@
@კონსერვირება@|@pot@
@კონსერვირებული@|@tinned@
@კონსერვის დანა@|@tin-opener@
@კონსერვის დანები@|@tin-openers@
@კონსიერჟები@|@concierges@
@კონსიერჟი@|@concierge@
@კონსისტენცია@|@consistence@
@კონსისტენციები@|@consistencies@
@კონსისტორია@|@consistory@
@კონსისტორიები@|@consistories@
@კონსოლები@|@consols@
@კონსოლები, ბრჯენები@|@cantilevers@
@კონსოლი, ბრჯენი@|@cantilever@
@კონსოლიდაცია მოახდინა@|@funded@
@კონსოლიდაციას ახდენს@|@funding, funds@
@კონსოლიდაციის მოხდენა@|@fund@
@კონსოლიდირებული@|@funded@
@კონსორციუმები@|@consortia@
@კონსორციუმი@|@consortium@
