@English@|@Ukrainian@
@likenesses@|@подібності@
@likes@|@подібне@
@likewise@|@аналогічно, подібно, також@
@liking@|@вподобання, пристрасть, розташування, симпатія, смак, уподобання@
@likings@|@симпатії@
@lilac@|@бузок@
@lilacepus@|@бузковий@
@lilacs@|@бузки@
@lilies@|@лілії@
@lilliputian@|@карликовий@
@lily@|@білий, лілія@
@lily-livered@|@боягузливий@
@lily-of-the-valley@|@конвалія@
@lily-white@|@бездоганний, білосніжний, лілейно-білий@
@limb@|@віта, вітка, галуззя, галузка, гілка, кінцівка, конечність, лімб, сук, член@
@limber@|@гнучкий, моторний, м'який, піддатливий, податливий, податливим@
@limbo@|@в'язниця, лімб, невизначеність, тюрма, ув'язнення@
@limbos@|@лімби@
@limbs@|@кінцівки@
@lime@|@вапно, липа@
@lime-jucer@|@англієць@
@limerick@|@лимерик, лімерик@
@limes@|@рампи@
@limestone@|@вапняк@
@limestones@|@вапняки@
@lime-treee@|@липа@
@limey@|@англієць@
@liming@|@вапнування, побілка@
@limit@|@кордон, ліміт, межа, обмежити, обмежувати@
@limitary@|@кордонний, обмежений, обмежувальний, прикордонний@
@limitation@|@застереження, лімітування, недалеким, обмеженість, обмеження, обмовка@
@limitations@|@обмеження@
@limitative@|@лімітуючий@
@limited@|@обмежений@
@limiter@|@обмежувач@
@limiters@|@обмежувачі@
@limiting@|@обмеження, обмежувальний@
@limitless@|@безмежний@
@limits@|@обмеження@
@limn@|@змальовувати, зображати, зображувати, зобразіть, описувати, писати, пишучи@
@limner@|@портретист@
@limnetic@|@прісноводний@
@limning@|@зображення@
@limousine@|@лімузин@
@limousines@|@лімузини@
@limp@|@безвільний, безвладний, безвольний, кульгавість, кульгати, м'який, накульгувати, слабий, слабкий, шкутильгати@
@limped@|@кульгається@
@limpet@|@молюск, чиновник@
@limpets@|@молюски@
@limpid@|@прозорий@
@limpidity@|@прозорість@
@limpidly@|@прозоро@
@limping@|@кульгання@
@limply@|@слабко@
@limps@|@кульгавість@
@limy@|@вапняний, клейкий@
@linchpin@|@чека@
@linchpins@|@чеки@
@linden@|@липа@
@lindens@|@липи@
@line@|@борозна, вибудовувати, вишикувати, вишикуватися, вірьовка, встановлювати, встановляти, генеалогія, границя, дібрати, екватор, займання, зайняття, заняття, зморшка, колія, конвеєр, контур, кордон, лава, лаву, лінія, ліси, лісу, межа, межень, мотузка, набивати, нападаючі, направлення, напрям, напрямок, настанова, низка, низку, нитка, нитку, нить, облицьовувати, обрис, обриси, обрису, підібрати, поведінка, поведінку, поводження, походження, репліка, риса, риска, родовід, розбагатіти, ряд, рядок, скеровування, скерування, спеціальність, спрямування, стояти, тягнутися, установка, установлювати, фах, хвіст, черга, чорта, шнур, штрих@
@lineage@|@походження, родовід@
@lineages@|@походження@
@lineal@|@лінійний, пологовий, пологовій, пологової, родовий, спадковий, спадкоємний, фамільний@
@lineament@|@обриси, обрису, риси, рисі@
@linear@|@лінійна, лінійний@
@linearization@|@лінеаризація@
@linearly@|@лінійно@
@linebacker@|@півзахисник@
@linen@|@білизна, полотно, полотняний@
@linens@|@полотна@
@lineout@|@лінія@
@liner@|@втулка, гільза, журналіст, лайнер, облицювання, підкладка, чіп@
@liners@|@лайнери@
@lines@|@лінії@
@line-up@|@будуй, лад, стрій, устрій@
@ling@|@верес@
@linger@|@баритись, баритися, гаятись, гаятися, запізнюватись, запізнюватися, засиджуватись, засиджуватися, затриматися, затримуватись, затримуватися, затягуватися, зволікати, спізнюватися, тягнутися, тягтися@
@lingering@|@давній, довгий, затяжний, затяжній, затяжної, затяжною, повільний, томливий@
@lingers@|@баритися@
@lingo@|@жаргон@
@lingoes@|@жаргони@
@lingual@|@язиковий@
@linguist@|@лінгвіст@
@linguistic@|@лінгвістичний, мовний@
@linguistically@|@лінгвістично@
@linguistics@|@лінгвістика, мовознавство@
@liniment@|@лінімент@
@liniments@|@лінімент@
@lining@|@вирівнювання, вміст, обкладка, облицювання, підбивка, підбійка, підкладка, уміст@
@linings@|@підкладки@
@link@|@єднати, зашморг, зв'язаний, зв'язати, зв'язок, зв'язувати, з'єднання, з'єднати, з'єднування, з'єднувати, злука, злуку, кільце, колечко, куліса, ланка, ланку, локон, петля, пов'язувати, поєднання, поєднування, примикати, смолоскип, сполука, сполуку, сполучати, сполучення, стуляти, факел@
@linkage@|@зв'язок, з'єднання, з'єднування, злука, злуку, зчеплення, поєднування, сполука, сполуку, сполучення@
@linkages@|@сполучення@
@linked@|@з'єднаний@
@linking@|@зв'язок, зчеплення@
@linkman@|@посередник@
@links@|@зв'язки@
@link-up@|@зв'язок, з'єднання, з'єднування, злука, злуку, поєднування, сполука, сполуку, сполучення, стикування@
@link-verb@|@дієслово-зв'язка@
@linn@|@водоспад, міжгір'я, ущелина, ущелину@
@linnet@|@коноплянка@
@linocut@|@ліногравюра@
@linoleum@|@лінолеум@
@linoleums@|@лінолеум@
@linotype@|@лінотип@
@linsey-woolsey@|@тарабарщина@
@lintel@|@перемичка@
@liny@|@зморшкуватий, тонкий, худий, худої, худорлявий, худорлявої, худорлявою, худою@
@lion@|@знаменитість, лев, леве, левко, небезпека, небезпеку, небезпечність@
@lioness@|@левиця@
@lionesses@|@левиця@
@lionet@|@левеня@
@lion-hearted@|@хоробрий@
@lion-hunter@|@людина@
@lions@|@леви@
@lip@|@губа@
@lip-deep@|@нещирий@
@lipiodol@|@ліпіодол@
@lipomul@|@ліпомул@
@lipper@|@брижа, брижі@
@lips@|@губи@
@lipsalve@|@лестощі@
@liquate@|@плавити, плавте@
@liquefaction@|@плавлення@
@liquefactions@|@плавлення@
@liqueur@|@лікер@
@liqueurs@|@лікери@
@liquibarine@|@ліквібарін@
@liquid@|@ліквідний, рідина, рідину, рідкий@
@liquidate@|@виплатити, збанкрутувати, здихатись, знищити, ліквідовувати, ліквідувати, ліквідуйте, позбутись, позбутися, покінчити, понищити, спекатися@
@liquidated@|@ліквідований@
@liquidates@|@ліквідує@
@liquidating@|@ліквідаційний, ліквідація, ліквідування@
@liquidation@|@винищення, знищення, ліквідаційний, ліквідація, ліквідування, нищення, рятування, рятунок, сплата, сплачування@
@liquidations@|@ліквідації@
@liquidator@|@ліквідант@
@liquidee@|@ліквідат@
@liquidities@|@ліквідність@
@liquidity@|@ліквідність@
@liquidizer@|@соковижималка@
@liquids@|@рідини@
@liquipake@|@ліквіпак@
@liquor@|@крам, напій, товар@
@liquorish@|@похітливий@
@liquors@|@напої@
@lisbon@|@лісабон, лісабонський@
@lisp@|@белькотати, шепелявити, шепелявість@
@lisped@|@шепелявиться@
@lisping@|@шепелявлення@
@lisps@|@шепелявість@
@lissom@|@бистрий, гнучкий, моторний, швидкий@
@lissome@|@бистрий, гнучкий, моторний, швидкий@
@lissomely@|@гнучко@
@list@|@арена, бордюр, відомість, інвентар, каталог, край, крайка, кромка, нахил, нахиляння, облямівка, обрізків, оторочка, пасмо, перелік, поручень, реєстр, смуг, список@
@listen@|@послухати, прислухатись, прислухатися, прислуховуватися, слухайте, слухати, слухатись, слухатися@
@listened@|@слухається@
@listener@|@слухач@
@listener-in@|@радіослухач@
@listeners@|@слухачі@
@listening@|@прослуховування, прослухування, слухання@
@listening-in@|@перехват, перехоплення, радіопідслуховування@
@listens@|@слухає@
@listing@|@лістинг, перелік, список@
@listings@|@списки@
@listless@|@апатичний@
@listlessly@|@апатично@
@lists@|@списки@
@lit@|@освітлений@
@litany@|@літанія@
@liter@|@літр@
@literacies@|@письменність@
@literacy@|@письменність@
@literal@|@буквальний@
@literalism@|@буквалізм@
@literally@|@буквально, дослівно, точно@
@literary@|@буквальний, літературний@
@literate@|@грамотний, письменний@
@literately@|@письменно@
@literati@|@літератори, письменники@
@literatim@|@буквально@
@literature@|@література, літературний@
@literatures@|@літератури@
@liters@|@літри@
@lithe@|@зговірливий@
@lithesome@|@гнучкий@
@lithium@|@літій@
@lithograph@|@літографія@
@lithographer@|@літограф@
@lithographic@|@літографський@
@lithographically@|@по-літографському@
@lithographs@|@літографії@
@lithography@|@літографія@
@lithuania@|@литва@
@lithuanian@|@литовський@
@litigant@|@сторона@
@litigants@|@сторони@
@litigate@|@заперечувати, оспорювати, позивати, позиватися, судитись, судитися, судіться@
@litigation@|@позов@
@litigational@|@позовний@
@litigations@|@позови@
@litigious@|@заперечливий, спірний, сутяжний, сутяжницький@
@litmus@|@лакмус@
@litmuses@|@лакмус@
@litre@|@літр@
@litres@|@літри@
@litter@|@носилки, паланкін, потомство, сміття@
@litter-bearer@|@санітар@
@littered@|@підстелений@
@littering@|@підстення@
@litters@|@носилки@
@littery@|@безладний@
@little@|@маленький, малий, мало@
@little-known@|@маловідомий@
@littleness@|@дріб'язковість, незначність@
@littoral@|@прибережний, приморський, узбережний@
@liturgy@|@літургія@
@livable@|@годен, годний, придатний, товариський@
@live@|@бойовий, бойовій, бойової, бойовою, вогонь, дійовий, діючий, діяльний, енергійний, живий, живій, живіть, живої, животрепетний, живою, жити, життєвий, мешкати, мінливий, огонь, палаючий, перемінний, пожити, проживати, проточний, прямий, реальний, чинний, чистий, яркий, яскравий@
@livebearers@|@живородні@
@lived@|@живеться@
@live-in@|@живучий@
@livelihood@|@прожиток@
@livelihoods@|@прожитки@
@liveliness@|@веселість, жвавість@
@livelinesses@|@жвавість@
@livelong@|@весь@
@lively@|@жвавий, жваво, живий, живо, пожвавлений@
@liven@|@пожвавтеся@
@livened@|@пожвавлений@
@livening@|@пожвавлення@
@livens@|@пожвавлюється@
@live-out@|@прихожий@
@liver@|@гуляка, гурман, печінка@
@liveries@|@лівреї@
@liverish@|@жовчний@
@liverpool@|@ліверпуль, ліверпульський@
@livers@|@гурмани@
@livery@|@ліврея, прокат, убір@
@lives@|@життя@
@livestock@|@худоба@
@livid@|@блідий, злий, злій, злої, злою, лютий, лютій, лютої, лютою, посинілий@
@lividly@|@посиніло@
@living@|@живий, живій, живої, живою, живучий, житловий, життя, інтересний, існуючий, їжа, ниття, парафію, парафія, прихід, приходе, проточний, стіл, цікавий@
@lixiviate@|@вилуговуйте@
@lixiviated@|@вилуговуваний@
@lixiviating@|@вилуговування@
@lixivium@|@луг@
@lizard@|@долар, ящірка@
@lizards@|@ящірки@
@ll@|@лл@
@llama@|@лама@
@lll@|@лнд@
@lloyd's@|@першокласний@
@llq@|@лнк@
@loach@|@голець@
@load@|@вантаж, завантажити, завантажувати, заряджати, зарядити, навантажити, навантажувати, ноша, погружати, тягар@
@loaded@|@вагомий, завантажений@
@loader@|@вантажник, заряджаючий, транспортер@
@loaders@|@вантажники@
@loading@|@вантаж, вантаження, завантаження, заряджання, навантаження, навантажування@
@loadings@|@вантаження@
@loads@|@вантажі@
@loaf@|@булка, буханець, валандатися, качан, коровай, ледарювати, паляниця, сновигати, тинятись, тинятися, хлібина@
@loafer@|@бродяга, бурлака, лайдак, ледар, нероба@
@loafs@|@байдикує@
@loaf-sugar@|@цукор-рафінад@
@loam@|@суглинок@
@loamy@|@суглинковий@
@loan@|@позика, позичати, позичити, позичка@
@loaned@|@позичений@
@loaning@|@позичання@
@loans@|@позики@
@loan-translation@|@калька@
@loath@|@несхильний@
@loathe@|@ненавидіти, ненавидьте@
@loathed@|@ненавидиться@
@loathes@|@ненавидить@
@loathing@|@відраза, зненависть, ненависть, огида, огиду@
@loathings@|@огиди@
@loathsome@|@огидний@
@loathsomely@|@огидно@
@loaves@|@паляниці@
@lobbied@|@лоббі@
@lobbies@|@лоббі@
@lobby@|@кулуари, лоббі, лобі@
@lobbying@|@лоббі, лобізм@
@lobbyist@|@журналіст, лоббіст, лобіст@
@lobbyists@|@лоббісти@
@lobe@|@заглибина, заглибину, заглиблення, поглиблення, частка@
@lobes@|@частки@
@lobo@|@вовк@
@lobster@|@лангуст, омар, омаре, рак@
@lobster-box@|@казарма@
@lobster-eyed@|@витрішкуватий@
@lobsters@|@омари@
@lobule@|@часточка@
@lobules@|@часточки@
@local@|@локальний, місцевий@
@localisation@|@локалізація@
@localise@|@локалізувати@
@localism@|@місництво, провінціалізм@
@localistic@|@місницький@
@localities@|@місцевості@
@locality@|@відділок, дільницю, дільниця, ділянка, ділянку, місцевість, місцеположення, ознаки, околиця, район@
@localize@|@локалізувати, локалізуйте@
@localized@|@локалізований@
@localizes@|@локалізує@
@localizing@|@локалізування@
@locate@|@місцезнаходження, поселити, поселяти, розмістити, розмістіть, розміщати, розміщувати, розташовувати, розташувати@
@located@|@розміщений@
@locates@|@розміщує@
@locating@|@розміщення@
@location@|@виявлення, виявляння, відділок, дислокація, дільницю, дільниця, ділянка, ділянку, знаходження, місцезнаходження, місцеперебування, находження, оселення, перебування, поселення, розміщення, розташування, ферма@
@locations@|@місцезнаходження@
@locator@|@землемір@
@locators@|@землеміри@
@loch@|@озеро@
@loci@|@місцеположення@
@lock@|@волосс, вповні, гальмувати, гатку, гать, гребля, єднати, жмут, загальмуватися, замикати, замкнути, замок, запирати, запор, затвор, затор, з'єднувати, клямка, локон, повністю, пучок, сплітати, сполучати, стискати, стискувати, цілком, чека, шлюз@
@lock-away@|@замка@
@locked@|@замкнений@
@locker@|@шухляда, шухляду, ящик@
@locker-room@|@роздягальня@
@lockers@|@шухляди@
@locket@|@медальйон@
@lockets@|@медальйони@
@locking@|@блокування, запирання, засмічення, шлюзування@
@lock-nut@|@контргайка@
@lockout@|@блокування, локаут@
@lock-out@|@локаут@
@lockouts@|@блокування@
@locks@|@замки@
@locksmith@|@слюсар@
@locksmiths@|@слюсарі@
@lockup@|@в'язниця, тюрма@
@loco@|@локо@
@locomobile@|@локомобіль@
@locomotion@|@пересування@
@locomotive@|@локомотив@
@locus@|@місцеположення, траєкторія@
@locust@|@ріжки, сарана@
@locution@|@вислів@
@locutions@|@вислови@
@lode@|@жила, поклад@
@lodes@|@жили@
@lodge@|@будиночок, прибити@
@lodged@|@поселений@
@lodgement@|@житло, закріпитись, закріпитися, затор, квартира, подача, притулок, скупчення@
@lodger@|@мешканець, пожилець, постоялець@
@lodgers@|@мешканці@
@lodges@|@будиночки@
@lodging@|@житло, мешкання@
@lodgings@|@житла@
@loess@|@лес@
@loft@|@голубник, горище, плаз, сінник, хори@
@lofted@|@горище@
@loftiness@|@величність, величчя, височина, гордовитість, зарозумілість@
@lofting@|@горище@
@loft-room@|@плодосховище@
@lofts@|@горища@
@lofty@|@величний, гордовитий, зарозумілий, піднесений, погордливий@
@log@|@колода, реєструвати, формуляр@
@logarithm@|@логарифм@
@logarithmic@|@логарифмічний@
@logarithms@|@логарифми@
@logbook@|@формуляр@
@log-book@|@формуляр@
@loge@|@ложа, лягаючи@
@logged@|@болотистий, зареєстрований, обважнілий, стоячий@
@logger@|@лісоруб@
@loggers@|@лісоруби@
@logging@|@лісозаготівля@
@log-head@|@дурень@
@logic@|@алгоритм, логіка@
@logical@|@логічний, послідовний@
@logically@|@логічно@
@logician@|@логік@
@logicians@|@логіки@
@logics@|@логіки@
@logistics@|@логістика@
@logjam@|@завал, залом, залою, затор, тупик@
@log-man@|@лісоруб@
@logogram@|@анаграма, логограма@
@logogriph@|@анаграма@
@logopedics@|@логопедія@
@logotype@|@девіз, емблема@
@logs@|@колоди@
@logy@|@неповороткий, повільний, тупий, тупій, тупої, тупоумний, тупою@
@loin@|@доступити, поперек, приступити@
@loin-cloth@|@труси@
@loins@|@попереки@
@loir@|@соня@
@loiter@|@баритись, баритися, вештатися, відставати, гаятись, гаятися, копатись, копатися, сновигати, тинятися, швендяти@
@loll@|@мова, мову, язик@
@lollipop@|@цукерка@
@lollop@|@підстрибувати@
@lolly@|@ескімо@
@lombard@|@ломбардець@
@lombards@|@ломбардці@
@london@|@лондон, лондонський@
@londoner@|@лондонець@
@lone@|@відлюдний, відокремлений, самітний, самотній, усамітнений@
@loneleness@|@самітність, самотність@
@lonelily@|@самотньо@
@loneliness@|@самотність@
@lonelinesses@|@самотність@
@lonely@|@відокремлений, одинокий, пустельний, пустинний, самітний, самотинний, самотний, самотній, усамітнений@
@loner@|@індивідуаліст@
@lonesome@|@самотній, сумовитий@
@long@|@багатослівний, брюки, великий, видовжений, давно, давно-давно, довга, довгастий, довгенько, довгий, довго, довго-довго, довголітній, завбачливість, задовгий, занудливий, невдовзі, незабаром, нудний, передбачливість, повільний, подовжений, прагнути, продовгуватий, тривалий, тужити, численний, штани@
@longanimity@|@довготерпіння@
@long-awaited@|@довгожданий, довгоочікуваний@
@longboat@|@баркас@
@long-distance@|@довгостроковий, довготерміновий@
@long-drawn@|@тривалий@
@longe@|@корда, корду@
@long-eared@|@довговухий, ослиний@
@longer@|@довше@
@longeron@|@лонжерон@
@longerons@|@лонжерони@
@longest@|@найдовше@
@longevity@|@довговічність@
@longevous@|@довговічний@
@long-expected@|@довгожданий, довгоочікуваний@
@long-hair@|@довговолосий, інтелектуальний@
@long-haired@|@довговолосий, інтелектуальний@
@long-headed@|@довгоголовий, завбачливий, передбачливий, проникливий, хитрий@
@longish@|@довгуватий@
@longitude@|@довгота, довжина@
@longitudes@|@довготи@
@longitudinal@|@подовжній, поздовжня@
@longitudinally@|@подовжньо@
@long-legged@|@довгоногий@
@long-lived@|@довговічний@
@long-liver@|@довгожитель@
@long-nosed@|@довгоносий@
@long-playing@|@довгограючий@
@long-range@|@перспективний@
@long-sighted@|@далекоглядний, далекозорий@
@long-sightedness@|@далекозорість@
@longspun@|@розтягнутий@
@longstanding@|@давній@
@long-standing@|@давній, довготривалий@
@long-sufferance@|@довготерпіння@
@long-suffering@|@довготерпеливий, довготерпіння@
@long-term@|@довгостроковий, довгочасний, перспективний, тривалий@
@long-tongued@|@балакучий@
@longways@|@вздовж@
@long-winded@|@багатомовний, занудливий, нудний@
@longwise@|@вздовж@
@loo@|@мушка, туалет@
@looby@|@дурень@
@look@|@вигляд, виглядати, видаватися, дивитися, доглядати, погляд, подивитися, шукати@
@look-alike@|@імітація@
@looked@|@дивиться@
@looker@|@красень, спостерігач, телеглядач@
@looker-in@|@телеглядач@
@looker-on@|@глядач, свідок@
@lookers@|@спостерігачі@
@look-in@|@шанс@
@looking@|@виглядання@
@looking-for@|@надії, пошуки, розшуки, чекання@
@looking-glass@|@дзеркало@
@look-out@|@вахта, вигляд, вид, види, дозорці, краєвид, краєвиди, пильність, спостерігач, сторожкість@
@looks@|@погляди@
@look-see@|@бінокль, перегляд@
@look-up@|@пошук@
@loom@|@верстат, відблиск, маячити, міраж, обриси, обрису, ткацтво@
@loomed@|@маячиться@
@looming@|@загрозливий, маячення, міраж, погрозливий@
@loon@|@селюк, селючка@
@loop@|@зашморг, петля@
@loop-hole@|@амбразура, викрут, лазівка@
@looping@|@петля@
@loops@|@петлі@
@loose@|@вільний, зламати, ненатягнутий, просторий, розпускати@
@loosed@|@звільнений@
@loose-jointed@|@гнучкий@
@loose-limbed@|@гнучкий@
@loosely@|@вільно@
@loosen@|@ослаблювати, ослабляти, ослабтеся, послабити, послаблювати, послабляти, розв'язувати, розпушувати, розхитувати@
@loosened@|@ослабляється@
@loosener@|@проносне@
@looseness@|@слабість, хитання@
@loosenesses@|@слабості@
@loosening@|@ослабитися@
@loosens@|@ослабляється@
@looses@|@звільняє@
@loosing@|@звільнення@
@loot@|@грабування, грабувати, здобич, мародерство, пограбувати@
@looted@|@грабується@
@looter@|@грабіжник, здирник, мародер@
@looting@|@грабіж, грабування, грабунок@
@loots@|@здобичі@
@lop@|@відрубати, відрубувати, звисати, звішувати, обкраяти, обрубувати, підрізати, суки, урізувати@
@lopamidol@|@лопамідол@
@lop-eared@|@капловухий@
@lop-sided@|@кривобокий, нахилений, нерівномірний, однобічний, односторонній@
@loquacious@|@балакучий, гомінкий, лепетливий@
@loquacity@|@балакучість@
@lord@|@бог, лорд, мілорд, мілорде@
@lordliness@|@великодушність, зарозумілість, пишність, пишнота, пишноту@
@lordly@|@барський@
@lordosis@|@лордоз@
@lordotic@|@лордотичний@
@lords@|@лорди@
@lordship@|@влада, владу@
@lore@|@вуздечка, ерудиція@
@lores@|@ерудиції@
@lorgnette@|@лорнет@
@lorgnon@|@лорнет, монокль@
@loro@|@лоро@
@lorries@|@грузовики@
@lorry@|@вантажівка, грузовик@
@lory@|@лорі@
@lose@|@відставати, втратити, втратьте, втрачати, губити, загубити, запізнитись, запізнитися, змарнувати, зникнути, коштувати, марнувати, орієнтацію, позбавляти, позбавлятися, прірва, прірву, провалля, прогаяти, програвати, пропасти, пропустити, спізнитись, спізнитися, упустити, утрачати@
@loser@|@втрачаючий@
@losers@|@втрачаючий@
@loses@|@втрачає@
@losing@|@програш@
@loss@|@втрата, збиток, змивши, пошкодження, програш, пропажа, убуток, утрата@
@losses@|@пошкодження@
@lossmaking@|@збитковий@
@lost@|@втрачений@
@lot@|@ділянка, доля, лот, люда, люди@
@lothario@|@гульвіса@
@lotharios@|@гульвіси@
@lotic@|@проточний@
@lotion@|@лосьйон, примочка@
@lots@|@багато, долі@
@lotteries@|@лотереї@
@lottery@|@лотерея@
@lotto@|@лото@
@lotus@|@лотос@
@lotus-eater@|@людина, сибарит@
@loud@|@голосний, голосно, гучний@
@loud-hailer@|@звукопідсилювач@
@loudly@|@галасливо, голосно, шумно@
@loudness@|@гучність@
@loudspeaker@|@гучномовець@
@lough@|@озеро@
@louis@|@луїдор@
@lounge@|@вестибуль, вештатися, салон, тинятися@
@lounger@|@гультяй@
@loupe@|@лупа@
@loupes@|@лупи@
@lour@|@супитися, сутеніти, темніти@
@louringly@|@загрозливо, погрозливо@
@louse@|@воша@
@louses@|@воші@
@lousily@|@вошиво@
@lousiness@|@вошивість@
@lousy@|@вошивий, огидний, паршивий@
@loutish@|@неотесаний@
@lovable@|@привабливий@
@lovage@|@любисток@
@love@|@кохання, кохати, любити, любов, покохати, полюбити@
@love-apple@|@помідор@
@love-begotten@|@незаконнонароджений@
@love-bird@|@папуга-нерозлучник@
@loved@|@любиться, улюблений@
@lovelace@|@ловелас@
@loveless@|@нелюбий, нелюбимий, нелюблячий@
@loveliness@|@краса@
@lovelinesses@|@краса@
@lovelock@|@завиток@
@lovelorn@|@покинений, покинутий@
@love-lorn@|@покинений, покинутий@
@lovely@|@вродливий, гарний, красивий, милий, чудовий@
@love-making@|@залицяння, упадання, флірт@
@lover@|@аматор, доброзичливець, залицяльник, коханець, коханий, коханка, любитель, поклонник, прихильник, улюблений, шанувальник@
@loverly@|@любовно@
@lovers@|@кохані@
@loves@|@любов@
@loving@|@любов@
@loving-kindness@|@милосердя@
@low@|@брутальний, виснажений, відливши, вульгарний, грубий, дешево, зневіра, зневіру, знижений, кепський, ледве, ледве-ледве, мукання, мукати, невеликий, невеликій, невеликої, невеликою, невеличкий, невеличкій, невеличкої, невеличкою, невисокий, неголосний, негучний, недостатній, непристойний, низький, низько, низько-низько, нічичирк, перекинути, перша, підлий, поганий, поганій, поганої, поганою, подавлений, принижено, принижувати, слабий, слабкий, слабко, слабо, спустошений, тихенько-тихо, тихий, тихо, тихо-тихо, убогий@
@low-born@|@низько-внесений@
@low-bred@|@невихований@
@lowbrow@|@малоосвічений, невибагливий@
@lowbrowed@|@малоосвічений, навислий, низькочолий, похмурий, темний@
@low-browed@|@навислий@
@low-cost@|@дешевий@
@low-down@|@безчесний, брутальний, грубий, низький, підлий, таємниця, факти@
@lower@|@зменшувати, знижувати, знижуватися, знизити, знизитись, класи, кухня, нижній, нижче, нижчий, опускати, опускатися, опустити, опуститися, пекло, понижувати, принижати, принижувати, принизити, проковтнути, розжалувати, спускати, спускатися, спустити, спуститися, схилитися@
@lowered@|@знижений@
@lowering@|@зниження@
@loweringly@|@загрозливо, погрозливо@
@lowermost@|@найнижчий@
@lowers@|@знижується@
@lowest@|@найнижчий@
@low-grade@|@низькопробний, низькосортний@
@lowing@|@мукання@
@low-key@|@неголосний, негучний, непомітний, низько-ключовий, слабий, слабкий, стриманий@
@low-kilovoltage@|@малокіловольтажний@
@lowland@|@долина@
@lowlands@|@долини@
@lowlier@|@скромніший@
@lowliest@|@найскромніший@
@lowliness@|@скромність@
@lowlived@|@бєдний, бідний, брутальний, вульгарний, грубий@
@lowly@|@неголосно, негучно, скромний, скромно@
@low-minded@|@вульгарний@
@low-necked@|@декольтований@
@low-paid@|@низькооплачуваний@
@low-pitched@|@низький, пологий, положистий@
@low-powered@|@малопотужний@
@low-rise@|@низько-підіймається@
@low-spirited@|@пригнічений@
@low-tech@|@низькотехнологічний@
@low-tension@|@низько-напруженість@
@loyal@|@відданий, вірний, лояльний@
@loyalist@|@вірнопідданий@
@loyalists@|@вірнопідданий@
@loyally@|@лояльно@
@loyalties@|@відданість@
@loyalty@|@відданість, вірність, лояльність@
@lozenge@|@корж, перепічка, ромб, таблетка@
@lozenges@|@ромби@
@l-r@|@з-п@
@ltd@|@тов@
@lubber@|@вайло@
@lubberly@|@незграбний@
@lubricant@|@мастило@
@lubricants@|@мастила@
@lubricate@|@змазати, змазувати, змащувати, мастіть@
@lubricated@|@маститься@
@lubricates@|@мастить@
@lubricating@|@мащення@
@lubrication@|@змазка, мастіння@
@lubrications@|@мастіння@
@lubricator@|@маслюка, мастильник@
@lubricators@|@мастильники@
@lubricity@|@маслянистість, мінливість, непостійність, несталість, розбещеність, ухильність, хтивість@
@lubricous@|@верткий, гладкий, ковзкий, мінливий, непостійний, похітливий, слизький, ухильний@
@luce@|@щука@
@lucent@|@прозорий, світний, сяючий, яркий, яскравий@
@lucerne@|@люцерна@
@lucid@|@зрозумілий, прозорий, світлий, ясний@
@lucidities@|@ясності@
@lucidity@|@зрозумілість, прозорість, просвіт, просвіток, ясність, ясновидіння@
@lucidly@|@ясно@
@lucifer@|@люцифер, сатана@
@luciferous@|@світлоносний@
@luck@|@бува, випадково, випадок, доля, невдача, случай, удача, щасті, щастя@
@luckier@|@щасливіший@
@luckiest@|@найщасливіший@
@luckiness@|@щасті, щастя@
@luckless@|@нещасливий@
@lucks@|@долі@
@lucky@|@вдалий, забратись, забратися, змитися, пощастити, удалий, удачливий, успішний, щасливий, щасливчик, щастити@
@lucrative@|@вигідний, доходний, зисковний, прибутковий@
@lucratively@|@вигідно@
@lucre@|@прибуток@
@lucres@|@прибутки@
@lucubrate@|@працювати@
@ludicrous@|@смішний@
@ludicrously@|@смішно@
@lug@|@вічко, волокти, волочити, волочіння, доливши, затиск, корба, кулак, куркуль, потовщення, ручка, смикання, стовщення, тягти, шарпанина@
@luggage@|@багаж@
@luggages@|@багажі@
@lugged@|@тягнеться@
@lugging@|@тягнення@
@lugs@|@волочіння@
@lugubrious@|@похмурий@
@lugubriously@|@похмуро@
@luke@|@цибулі@
@lukewarm@|@байдужий, збайдужілий, млявий, тепленький, теплуватий@
@lull@|@стихнути@
@lullaby@|@колискова, м'які@
@lulled@|@заспокоєний@
@lulling@|@заспокоєння@
@lumbago@|@люмбаго@
@lumbar@|@поперекова, поперековий@
@lumber@|@гримотіти, грюкати, деревина, захаращувати, ліс, мотлох, незграбно, пиломатеріали@
@lumbered@|@захаращений@
@lumberer@|@лісоруб@
@lumbering@|@галасливо, громохкий, лісорозробки, незграбний, шумно@
@lumberjack@|@дроворуб@
@lumberman@|@дроворуб, лісопромисловець, лісоруб@
@lumbermen@|@лісопромисловці@
@lumber-room@|@комірка, прикомірок@
@lumbers@|@пиломатеріали@
@lumbosacral@|@попереково-крижовий@
@lumen@|@люмен@
@lumens@|@люмени@
@luminaries@|@світила@
@luminary@|@світило@
@luminescence@|@люмінесценція, свічення@
@luminescences@|@свічення@
@luminescent@|@люмінесцентний@
@luminous@|@блискучий, виблискуючий, зрозумілий, освічений, світлий, світловий, світний, ясний@
@lummox@|@вайло, простак, телепень@
@lumoxyd@|@люмоксид@
@lump@|@болванка, брила, кусень, пухлина, шматок@
@lumper@|@вантажник, підрядчик@
@lumping@|@брила, важкий, огульний, тяжкий@
