@English@|@Yiddish@
@Dowry@|@Nadan@
@dozen@|@tuts@
@drag onself@|@shlepn zikh@
@dragonfly@|@libele@
@drama@|@Pyesseh@
@draw@|@arayntsien, tseykhenen@
@draw on@|@shepn fun@
@drawing@|@tseykhenung@
@drawn-out@|@farshlept@
@dreadful@|@shoyderlekh@
@dream (ideal)@|@troym@
@dream (in sleep)@|@khaloymes, kholem, kholemen@
@Dreary@|@Kalamutneh@
@dress@|@kleyd@
@Dressed up@|@Oysgeputst@
@drill@|@aynlernen mit@
@drink@|@trinken@
@dripping lard@|@schmaltz@
@drive@|@forn, traybn, yetsorim, yeytser@
@drive (someone) crazy@|@meshuge makhn@
@drop@|@fal, tropn@
@Drop dead!@|@Geharget zolstu veren!, Zolst ligen in drerd!@
@drop of liquid@|@tropn@
@drown@|@dertrunkn vern@
@drug@|@narkotik@
@drug (medical)@|@meditsin@
@drug medical@|@refue@
@drum@|@payklen, poyk, poykn@
@drummer@|@paykler@
@drumstick@|@polke@
@drumstick (musical)@|@poykshtekl@
@drunk@|@Farshnickert, Farshnoshket, shiker, shikker, vashnukad@
@Drunk@|@Farshnickert, Ongetrunken@
@Drunkard@|@shikker@
@dual@|@tsveyik@
@duchy@|@firshtnshaft@
@duck@|@katshke@
@Duck@|@Katchka@
@duck under@|@untertukn zikh@
@duck's feet@|@Fisslach@
@Ducky@|@Katshkedik@
@duel@|@duel@
@duet@|@duet@
@duke@|@firsht@
@dull@|@nudne@
@Dullard@|@Temper kop@
@Dumbbell@|@Dumkop@
@dumpling@|@kneydl@
@dumplings filled with meat@|@krepl, kreplekh@
@dunked@|@Eingetunken@
@duplicate@|@duplikat@
@during@|@bemeshekh...fun, beshas@
@dusk@|@farnakht@
@dust@|@porekh, shtoyb@
@dusty@|@shtoybik@
@duty@|@flikht@
@dwarf@|@monts@
@dwelling@|@voynort, voynung@
@each other@|@anander, eyner dem andern@
@eagerness@|@balones, kheyshek@
@eagle@|@odler@
@ear@|@oyer, oyern@
@ear drum@|@poyk haytl@
@ear of corn@|@papshoy@
@early@|@fri, friik@
@Earn a blessing@|@Fardinen a mitzveh@
@earnest@|@ernst@
@earring@|@oyringl@
@earth@|@drerd, erd@
@easier@|@laykhter@
@east@|@mizrekh@
@Easter@|@keysekh@
@eastern@|@mizrekhdik@
@eat@|@ahklen, esn, esn@
@Eat@|@Ess@
@Eat days@|@Dine Essen teg@
@Eat in good health@|@Ess gezunterhait@
@Eat like a bird@|@Ess vie ein foygl@
@eat sweets@|@nashn@
@Eat....pig out@|@Fress@
@eating@|@ahkile@
@Eating midday@|@Essen mitik@
@echo@|@opklang@
@edification@|@muser@
@edit@|@redaktirn@
@editor@|@redaktor@
@editors@|@redaktsye@
@education@|@bildung@
@effect@|@efekt, virkung@
@effective@|@virkevdik@
@Efficient@|@Beryeh@
@effort@|@onshtrengung@
@Efrem@|@efrem@
@egg@|@ay, beytse, beytsim@
@ego@|@Ikh@
@Egypt@|@mitsraim@
@Egyptian female@|@mitsries, mitsris@
@Egyptian male@|@mitsri@
@eight@|@acht, akht@
@eight o'clock@|@akhte@
@eighteen@|@achtsn, akhtsn@
@eighth@|@akht, akhtl@
@eighty@|@achtsik, akhtsik@
@Either too much or not enough@|@Oder a klop; oder a fortz@
@either...or@|@oder...oder@
@elbow@|@elnboygn@
@elect@|@derveyln, oysveyln@
@election@|@valn@
@elegant@|@elegant@
@elements@|@yesoydes@
@elephant@|@helfand@
@eleven@|@elf@
@Eli@|@eli@
@Eliezer@|@elyezer@
@Elijah the prophet@|@elyohu-hanovi@
@emaciated@|@Oysgedart@
@e-mail@|@blitsbriv, blitsbrivl, blitspost@
@Emanuel@|@Emanuel@
@embarras@|@farshemen@
@Embittered@|@Farbissener@
@embrace@|@arumnem, arumnem, arumnem, arumnemen, arumnemen, arumnemen zikh, haldzn@
@emotion@|@emotsye@
@employ@|@banitsn, banutsn@
@empty@|@leydik, pust@
@encounter@|@bagegenen, trefn zikh mit@
@encourage@|@makhn harts, mutikn, onmutikn, oyfmuntern@
@encourage (1)@|@tsugebn mut, untergebn kheyshek@
@encyclopedia@|@entsikolpedye@
@end@|@oysloz@
@end of a loaf of bread@|@okraytshik@
@End of the world@|@Ek velt@
@endearing@|@fartsoygn@
@ending grammar@|@endung@
@endure@|@oyshaltn@
@enema@|@Kaseer@
@Enema@|@Glustiyah@
@enemy@|@sakone, sonim, soyne, soyne sonim@
@Enemy@|@Sonem@
@engage in@|@oysek zayn@
@Engaged@|@Far Knaft@
@engagement@|@T'noim@
@engineer@|@inzhenir@
@English@|@English@
@Enjoy@|@Shepen naches@
@Enjoy! (For meals…)@|@Es gezunterheyt!@
@enjoyment@|@hanoe@
@Enough is enough!@|@Genug iz genug@
@enrich@|@baraykhern@
@ensemble@|@ansambl@
@enslave@|@shklafn@
@entanglement@|@farviklenish@
@entertain@|@farvayln@
@entertainer at a Jewish weddin@|@badkhn@
@entertaining@|@farvaylerish@
@enthusiasm@|@hislayves, hispayles@
@enthusiastic@|@hislayvesdik@
@entrance@|@arayngang@
@environment@|@svive@
@envoy@|@sheliyekh, shlikhem, shlukhim@
@episode@|@epizod@
@era@|@tekufe@
@erase@|@oysmekn@
@Esau@|@eysev@
@escape@|@antloyf@
@escaped@|@antlofn@
@especially@|@der hoypt, nakhes@
@essence@|@mehus, tamtses, tokh, tsamtseysim@
@essence of...@|@dos pintele...@
@essential@|@ikerdik, tokhik@
@Ester@|@ester@
@estimate@|@shatsn@
@etcetera@|@aazv, ukhedoyme, un azoy vayter@
@eternal@|@eybik@
@eternity@|@eybikeyt@
@ethical@|@etish@
@ethics@|@etik@
@etymology@|@etimologye@
@eulogize@|@masped zayn@
@Europe@|@eyrope@
@European@|@eyropeyish@
@European man@|@eyropeyer@
@European woman@|@eyropeyerin@
@evacuate@|@evakuirn@
@evavise person@|@dreyer@
@even@|@afile@
@even then@|@i dos@
@evening@|@inem ovnt, ovnt@
@ever since@|@fun demolt on, fun zint@
@every@|@ayeder, itlekh, yeder, yetvider@
@every other@|@yeder tsveyter@
@every time@|@vos a mol@
@everyone@|@yederer@
@everything@|@alding, alemen, alemen, alemen, alts, alts, altsding@
@evidence@|@rayes@
@evident@|@bashaymperlekh@
@evil@|@shlekht@
@evil person@|@Roseh@
@Evil woman@|@Chaleria@
@Evil-Eye@|@ayen-hore, eyn-hore, eyn-ore@
@evolution@|@evolutsye@
@evolve@|@aroysvaksn@
@exact@|@aroyskrign, pinktlekh@
@exactly@|@biz a hor, punkt, punkt@
@exaggerate@|@ibertraybn, megazem zayn@
@examine@|@bakukn@
@example@|@bayshpil, dugme, mesholim, moshl@
@exasperate@|@tsereytsn@
@excel in@|@oystseykhenen zikh@
@except@|@akhuts@
@exception@|@oysnam@
@exchange@|@exchange@
@excitable@|@Kochedik@
@Excitable person@|@Hitskop@
@excited@|@oyfgehaytert, oyfgetrogn@
@exciting@|@shpanendik@
@exclaim@|@oysshrayen@
@exclamation@|@oysruf@
@exclamation to denote disgust@|@Oi!!@
@exclude@|@oysshlisn@
@exclusively@|@oysshlislekh@
@excrement@|@kak, tsoye@
@excuse@|@antshuldikn, terets, terutsim@
@excuse me@|@Zayt moykhl@
@Excuse me@|@Antshuldik(t), Zayt mir moyhl@
@Excuse me!@|@Zeit (mir) moychel@
@Excuse me! ( to pass by)@|@Zay moykhl!@
@Excuse me...! (asking)@|@Zay moykhl!@
@execute@|@oysfirn@
@execution@|@oysfirung@
@exercise@|@bavegn zikh@
@exhaust@|@oysmutshen, oysshepn@
@Exhausted@|@Oysgehorevet@
@exhibit@|@bavayzn, oysshtelung@
@exist@|@ekzistirn@
@existence@|@ekzistents@
@exit@|@aroysgang@
@exodus@|@oysvanderung, yetsie@
@expect@|@rikhtn zikh@
@expel@|@aroystraybn@
@expensive@|@Teier@
@experience@|@derfarung, iberlebn, iberlebung@
@expert@|@mevinim, meyven@
@explain@|@derklern, masbir zayn, mazber zayn@
@explanation@|@derklerung, peyresh@
@explicitly@|@befeyresh@
@explosion@|@plats@
@explosive mine@|@mine@
@express oneself@|@oysdrikn zikh@
@expression@|@oysdruk@
@Expression@|@Der oysdruk@
@exquisite@|@mehuderdik@
@extend@|@shtrekn zikh@
@extended@|@lenger@
@Extended family@|@Meshpokha@
@extensively@|@barikhes@
@external@|@oysnveynikst@
@extinction@|@oysshtarb@
@extreme@|@ektrem, letst@
@Extremely emotional@|@Verklempt@
@eye@|@oyg, oygn@
@Eye@|@Der oyg@
@eyebrow@|@brem@
@eyelash@|@viye@
@eyelet@|@eygl@
@Fabulous@|@Ta'am gan eyden@
@face@|@ponem@
@Face@|@Tseereh@
@face to face@|@oyg oyf oyg@
@fact@|@fakt@
@factor@|@faktor@
@factory@|@fabrik@
@failure@|@mapole@
@faint@|@khaloshes@
@Faint@|@chaleshen@
@fairness@|@yoysher@
@faith@|@betokhn@
@Faker@|@Zhulik@
@fall@|@aropfaln, faln, harbst@
@fall asleep@|@antshlofn vern@
@fall down dead right now@|@plotz@
@false accusation@|@bilbl, bilbul@
@false laugh@|@Lachen mit yash-tsherkes@
@falsehood@|@lign@
@family@|@mishpokhe@
@family name@|@familye@
@famished@|@farhungert, oysgemoret@
@famous@|@barimt@
@fan@|@ventilator@
@Fan@|@Focha@
@fantastic@|@fantastish@
@fantasy@|@fantazye@
@Far@|@vayt@
@Far from the eyes@|@Vayt fun di oygn@
@far from the heart@|@vayt fun hartsn@
@farmer@|@farmer, poyer@
@Farmer@|@Yeshuvnik@
@fart@|@fartsen, forts@
@Fart@|@Fortz@
@fascinating@|@farkhapndik@
@fast@|@fastn@
@fat@|@dik, fet, shmaltsik@
@fat person@|@bal-guf@
@fatal@|@fatal@
@father@|@foter, tate@
@Father@|@Tateh, tatteh, tatteh, tatteleh@
@father (1)@|@tatinka, tatteniu@
@Father dear@|@Tatenui@
@father-in-law@|@mekhutn, mekhutonim, mekhutonim, shver@
@fatherless boy@|@yesoyem, yosem@
@fault@|@feler@
@favor@|@khesed@
@favorite@|@balibt@
@fax machine@|@faksmashin@
@fear@|@moyre, tsiternish@
@feast of completion@|@siyem@
@February@|@februar@
@feeble@|@shvakh@
@Feebleminded@|@Tamavate@
@Feebleminded person@|@Tamaveter@
@feel@|@dershpirn, tapn@
@feel (an object)@|@filn, shpirn@
@feel (in onself)@|@filn zikh, shpirn zikh@
@fellow student@|@shulkoleg@
@felt (material)@|@filts, poysht@
@female@|@ishe, nekeyve, noshim@
@Female tricks@|@Veibershe shtiklach@
@feminine@|@vaybersh, vayblekh@
@Feminine form of alrightnik@|@Alrightnikeh@
@feminine gender (grammar)@|@loshn-nekeyve@
@fence@|@fartsamung, tsoym@
@ferdl@|@ferme@
@Festival of Lights@|@Chanukah@
@festive@|@yontefdik@
@Fever@|@Kadoches@
@fever marked by chills@|@kadokhes@
@few@|@veynik@
@fey; 19th letter of alphabet@|@fey@
@fiction@|@beletristik@
@fictional@|@beletristish, fiktiv@
@fiddle@|@fidl, fidlen@
@fiddler@|@fidler@
@field@|@feld@
@fifteen@|@fiftsn@
@fifteenth day of the month@|@khomishoser@
@fifth@|@finft@
@Fiftieth wedding anniversary@|@Goldeneh chasseneh@
@fifty@|@fiftsik@
@fig@|@fayg@
@fight@|@shlogn zikh@
@Fighter@|@Kemfer@
@figuratively@|@bderekh-moshl, bederekh-moshl@
@figure@|@figur@
@file@|@fayln, teke@
@file (tool)@|@fayl@
@fill@|@filn@
@film@|@film@
@filth@|@khazeray@
@filthy place@|@hegdesh, hegdeyshim@
@finally@|@lesof@
@Finally@|@Sof kol sof@
@finance@|@finantsirn@
@financial@|@finantsyel@
@find one's way to@|@dergeyn zikh tsu, dershlogn zikh tsu@
@find out@|@dervisn zikh@
@fine@|@drobne, fayn@
@finger@|@finger, fingern@
@finger nail@|@nogl@
@fingerprint@|@fingerdruk, opdrukn di finger@
@finish doing@|@opton@
@finish off@|@tsu rekht makhn@
@finish something@|@endikn@
@fire@|@bren, fayer@
@fireman@|@fayer-lesher@
@firm@|@firme@
@first@|@ersht, tsuersht@
@first of all@|@koydem@
@Fish@|@fish@
@fisherman@|@fisher@
@fit for something@|@toygik@
@fitness@|@toygikeyt@
@five@|@finef, finf@
@five-spot@|@finfer@
@fix@|@aynshteln, farrikhtn@
@flag@|@fon@
@flake@|@shup@
@flame@|@flam@
@flare up@|@oyfshaynen@
@flash@|@blits@
@Flat@|@Oisgevapt@
@flatter@|@khanfenen@
@flatterer (female)@|@khnufe@
@flatterer (male)@|@khnifenik@
@flavor@|@aromat, taam, tam@
@flax@|@flaks@
@flea@|@floy@
@flesh@|@fleysh, layb@
@flier@|@flier@
@flight@|@antloyfn, fli@
@flight (airplane)@|@kurs@
@float@|@shvebn@
@float out@|@aroysshvimen@
@flock@|@tsherede@
@floor@|@dil, padloge@
@Floorshow@|@Kabaret forshtelung@
@flour@|@mel@
@flour made of crushed matsah@|@matse-mel@
@flourish@|@tseblien zikh@
@flow@|@flisn, loyfn, shtromen@
@flower@|@blum@
@fluid@|@flisikeyt@
@flurry@|@vaye@
@flush@|@net@
@flute@|@fleyt@
@flutter@|@flatern@
@fly@|@flig@
@flying@|@fliik@
@flying past@|@durkhfliik@
@fog@|@nepl@
@foggy@|@nepldik@
@fold@|@falb@
@folksaying@|@folksvertl@
@follow@|@beze-haloshn, nokhfolgn@
@follower@|@khasidim, khosed, khosid, khsidim@
@folly@|@shmontses@
@font@|@shrift@
@food@|@esn, esn, esnvarg, mezoynes, shpayz@
@fool@|@nar, Shmegegi, shmendrik, shvants, shvents@
@Fool around@|@Potchke@
@fooled@|@Opgenart@
@foolhardy@|@rizikantish@
@foolish@|@narish@
@Foolish question@|@Klotz kasheh@
@foolishnes@|@shtus@
@foolishness@|@narishkayt@
@Foolishness@|@Foilishtik, Narishkeit@
@foot@|@fus@
@footnote@|@heore@
@footprint@|@shpur@
@for a change@|@in a novene@
@For a change@|@In a noveneh@
@for a year@|@oyf a yor@
@for appearances@|@yoytse@
@for example@|@a shteyger, lemoshl@
@for mouth@|@pisk@
@For nothing@|@umzist@
@for something@|@far@
@for spite@|@oyf tsu lehakhes, oyf tsu lokhes@
@For spite@|@Oif tsalooches@
@For sure@|@Far zikher@
@for the most part@|@merstn teyl@
@for the present@|@lesate@
@For this I went to college?@|@Darf min gehn in kolledj?@
@for worse@|@Tsum glik, tsum shlimazel@
@for years@|@yorn lang, yornlang@
@forbidden@|@oser@
@Forbidden food@|@Traif@
@Forbidden literature@|@Traifeneh bicher@
@force@|@tsvingen@
@Force of the Defense of Israel@|@tsahal, tsva hahagana leyisrael@
@forehead@|@shtern@
@foreign ministry@|@oysern-ministeryum@
@forest@|@vald@
@forested@|@baveldert@
@forever@|@oyf eybik, oyf shtendik@
@forever and ever@|@leoylem-voed@
@forger@|@felsher@
@forget@|@fargesn@
@Forget it!@|@A nechtiker tog!@
@Forgetful@|@Katzisher kop@
@forgive@|@moykhl zayn@
@forgiveness@|@mekhile@
@Forgot@|@Fargessen@
@Fork@|@Gopel@
@form@|@oysfuremen@
@former@|@amolik@
@fornicate@|@Baren@
@fortify@|@bafestikn@
@forty@|@fertsik@
@forward@|@federesht, foroys, forverts@
@found@|@farleygn, meyased zayn@
@foundation@|@yesod, yesoydes@
@foundation (fund)@|@fundatsye@
@fountain@|@fontan@
@four@|@fir@
@fourteen@|@fertsn@
@Fowl's wing@|@Fliegel@
@fox@|@fuks@
@fraction@|@brukhteyl, brukhtsol@
@Fractured English@|@Gebrochener english@
@fragrant@|@shmekedik@
@frailty@|@shvakhkeyt@
@France@|@frankraykh@
@Fraud@|@Shvindel@
@freckle@|@zumer-shprenkl@
@free@|@bafrayen, bkhinem, umzist, umzist@
@free loader@|@Umzitztiger fresser@
@freedom@|@frayheyt@
@French@|@frantsoyzish@
@frequently@|@oft mol@
@fresh@|@frish@
@friction@|@broygez@
@Friday@|@fraytik@
@friend@|@fraynd, khaver, khaveyrim@
@Friend@|@Chavver, Freint@
@Friend!@|@Khaver!@
@friendly@|@bafrayndt mit, frayndlekh, khaverish@
@Friendly term for who you like@|@Bubbee@
@friendship@|@khavershaft@
@frighten@|@ibershrekn, shrekn@
@frightened@|@dershrokn far@
@frightening@|@moyredik@
@Fringes attached@|@Tzitzis@
@frog@|@žabe, zhabe@
@frolic@|@shtiferay, shtifn@
@from@|@fun@
@from here@|@danent@
@from the@|@funem@
@from this@|@derfun@
@from where@|@fun vanent@
@from where?@|@fun vanet@
@front@|@front@
@frost@|@frost@
@frosty@|@frostik@
@froth@|@shoym, shoymen@
@Frozen@|@Farfroyren@
@fruit@|@frukht@
@Fruit@|@frucht@
@Fruitless@|@Farshlepteh krenk@
@fry@|@brotn@
@frying pan@|@fan, skovrode@
@full of@|@ful mit@
@full of holes@|@durkhgelekhert@
@fume@|@reykhern, roykhern@
@funeral@|@levaye@
@Funeral@|@Leveiyeh@
@funeral speaker@|@masped@
@funny@|@shpasik@
@Funny@|@Komisch@
@fur@|@pelts@
@furniture@|@mebl@
@furniture leg@|@fisl@
@further@|@vayterdik@
@futile@|@umzistik@
@future@|@kumedikeyt, kumedikeyt, kumendik, osed, osed, tsukunft, vet-zayt@
@future tense (grammar)@|@osed@
@futz@|@futs@
@fuzzy@|@farvisht@
@Gabby woman@|@Klipeh@
@gall@|@khutspe@
@gallows@|@tlie@
@game@|@matsh@
@gandarme@|@zhandar@
@gang of friends@|@khevre@
@garbage@|@mist, opfal@
@garbage truck@|@mistoyto@
@garden@|@gortn@
@garlic@|@knobl@
@garlic bread@|@knoblbroyt@
@garment@|@malbesh, malbushim@
@gasoline@|@benzin@
@gasp@|@dekhn@
@gate@|@toyer@
@gatekeeper@|@toyerman@
@gather@|@onzamlen@
@gather together@|@tsunoyfkumen@
@gaze at@|@shpiglen zikh@
@G-d forbid!@|@Chas v'cholileh!@
@gender (grammar)@|@min@
@general@|@algemeyn@
@generality@|@algemeynkayt@
@generally@|@bderekh-klal, bederekh-klal, in algemeyn@
@generation@|@dor@
@generosity@|@breythartsikeyt@
@generous@|@breythartsik@
@genesis@|@breyshes@
@genre@|@zhaner@
@genteel@|@eydl@
@Gentile woman@|@Goyeh@
@gentle@|@lind, tsart@
@Gentlemen!@|@raboysay@
@gentleness@|@tsartkeyt@
@genuine@|@ekht@
@German@|@daytsh, daytshish@
@German (person)@|@daytsh@
@German Jew@|@yeke@
@Germanic@|@daytsh@
@Germany@|@daytshland@
@get@|@bakumen@
@Get a move on@|@Gib zich a traisel@
@get by deception@|@aroysnarn@
@get dressed@|@onton zikh@
@get excited@|@tsekokhn zikh@
@Get killed!@|@Ver derharget!@
@Get lost@|@Gai kaken oifen yam!@
@Get lost!@|@Lig in drerd!, Ver farblondjet!@
@get married@|@khasene hobn@
@get oneself in@|@araynkrign (zikh)@
@get ready to@|@makhn zikh greyt@
@Get rid of@|@Obtshepen@
@get up@|@oyfheybn zikh, oyfshteyn@
@Getting rid of@|@Pooter veren@
@Getting rid of someone@|@Pooter veren fon emitzer@
@ghost@|@ruakh, ruekh, rukhes@
@giant@|@riz@
@gibberish@|@plapleray@
@gifts exchanged on Purim@|@shalakh-mones@
@gigantic@|@rizik@
@giggle@|@khikhen, khikhiken@
@ginger@|@ingber@
@giraffe@|@dzshiraf@
@girl@|@meydl@
@girlfriend@|@khaverte@
@girlish@|@meydlsh@
@give (as a gift)@|@shenken@
@give in@|@nokhgebn@
@give light@|@loykhtn@
@Give me this!@|@Gib mir dos!@
@give over@|@aribergebn@
@give someone a dig@|@a shtokh ton@
@give the ax to@|@unterhakn@
@Giving you the business@|@Onzaltsen@
@glare@|@bliask@
@Glass of tea@|@Glezel tai@
@glasses@|@briln@
@glitter@|@glitz@
@gloomy@|@kalemutne@
@glove@|@hentshke@
@glow@|@shayn@
@Glow with pride@|@K'velen@
@glue@|@kley@
@glutton@|@freser@
@go@|@forn zikh@
@go away@|@avekgeyn@
@Go away@|@Gai avek!@
@go bankrupt@|@bankrotirn@
@go down@|@aropgeyn, untergeyn@
@Go drive yourself crazy!@|@Fardrai zich dem kop!@
@Go fight@|@Shlog zich mit Got arum@
@Go flap you ears!@|@Ich hob dir!@
@Go fuck yourself@|@Gai tren zich@
@go in@|@arayngeyn@
@Go in good health@|@Gai gezunterhait!@
@go off@|@oysshisn@
@go out@|@aroysgeyn@
@go out of one's way to@|@matriekh zayn zikh davke tsu@
@go out of the way@|@onleygn veg@
@Go peddle your fish elsewhere!@|@Gai feifen ahfen yam!@
@go skiing@|@nartlen zikh@
@Go split your guts!@|@Gai platz!@
@Go take a bath!@|@Nem zich a vaneh!@
@Go take a shit for yourself@|@Kuck zich oys!@
@go through@|@adurkhhgeyn, durkhgeyn@
@go to bed@|@leygn zikh shlofn@
@Go to hell@|@Ver tsuzetst@
@go to hell!@|@in drerd arayn!@
@Go to hell!@|@Gai in drerd arein!@
@Go with your head'n the ground@|@Gai mit dein kop in drerd@
@goat@|@tsig@
@goatee@|@tsapnberdl, tsign-berdl@
@Go-between@|@mekler@
@goblet@|@kos, kos, koyses, koyses@
@god@|@got, got@
@God bless you!@|@lang lebn zolstu!, lang lebn zolt ir!@
@God forbid!@|@Got zol ophiten!, khas-vesholem, kholile, Um-be-shrien@
@God forbid!!!@|@kholile-vekhas@
@God in heaven@|@Oybershter in himmel, Riboynoy-shel-oylom!@
@God in heaven!@|@Got in himmel!@
@God willing@|@imyirtseshem, mirtseshem, Mirtsishem@
@gold@|@gold@
@gone@|@farbay@
@good@|@voyl@
@Good@|@goot, Gut, Kop oif di plaitses!@
@Good afternoon@|@A gutn ovent, a gutn tog@
@Good bye@|@Gutn tog@
@Good bye!@|@Zay gesunt!@
@Good day@|@A gutn tog!@
@good deed@|@mitsve@
@Good deed@|@Mitzvah@
@Good evening@|@a gut ovnt@
@Good evening!@|@Gutn ovnt!@
@Good for nothing@|@Toig ahf kapores!@
@good for you!@|@bravo!@
@good grief@|@Gevalt geshreeyeh@
@Good health to you@|@A gezunt ahf dein kop!@
@Good luck@|@Zol zayn mit mazl@
@Good Luck@|@Mazel Tov@
@Good luck to you@|@A glick ahf dir!@
@Good luck!@|@Zol zein mit glik!@
@Good Luck!@|@Zol zayn mit mazel!@
@Good morning@|@Gut morgn@
@Good morning!@|@Gutn morgn!@
@Good night@|@A gute nakht@
@Good night & sweet dreams!@|@A gute nakht un zise droymer!@
@Good night!@|@A gute nakht!@
@Good Sabbath@|@Gut Shabbos@
@Good Saturday@|@Gut-shabes!@
@good soul@|@Gitte neshomah@
@good taste@|@Ta'am@
@Good year@|@Gut-yor!@
@goodbye@|@adyé, Sholem@
@good-bye@|@a gut yor, a gutn, a gutn tog@
@Good-bye@|@Zayt gezunt@
@good-bye (1)@|@A gute nakht, zay mir gezunt, zay mir gezunt, zayt mir gezunt@
@Goodbye!@|@Zei (t) gezunt@
@goodies@|@nashvarg@
@goose@|@gandz@
@gooseberry@|@agres@
@gorgeous@|@bild sheyn, hiderdik, prekhtik@
@gospel@|@evangelyum@
@Gourmandizing@|@Fressing@
@govern@|@regirn@
@government@|@melukhish, regirung@
@grab a bite to eat@|@khap a nash@
@grabber@|@onkhaper@
@graceful@|@kheynevdik@
@gradually@|@bislekhvayz@
@grain of sand@|@zemdl@
@grain of wood@|@sloy@
@grandchild@|@eynikl, eyniklekh@
@Grandchild@|@Ainikle, eyniklekh, Shtik naches@
@granddaughter@|@eynikl, eyniklekh@
@grandfather@|@zeyde@
@Grandfather@|@Zaideh, Zayde@
@grandmother@|@bubbie, bubby@
@Grandmother@|@Bobe, Bubbeh@
@Grandmother's tale@|@Bubbe maisse@
@grandson@|@eynikl, eyniklekh@
@granny@|@bobeshi@
@grant@|@bavilikung, shtits, subvents@
@grape@|@vayntroyb@
@Gratification@|@Naches@
@gratitude@|@dankbarkeyt, dankshaft@
@grave (burial)@|@keyver (kvorim)@
@gravestone@|@matseyve@
@grease@|@shmaltsn@
@Grease@|@Shmaltz@
@great@|@elter-, oysergeveynlekh, oysergeveyntlekh@
@great-@|@ur-@
@great deal of@|@shlal (mit...)@
@great grandmother@|@elter-bobe@
@great impudence@|@chutzpah@
@greedy@|@zshedne@
@green@|@grin@
@greeting@|@bagrisung@
@grief@|@agmes-nefesh, troyer@
@grieve@|@klemen, klemen zikh@
@grieve for@|@troyern@
@grimace@|@havaye@
@Groats@|@Kasheh@
@Group of non-Jewish persons@|@Goyim@
@grove@|@veldl@
@grow@|@farlozn zikh, vaksn@
@grow something@|@hodeven@
@grow up@|@oysvaksn@
@growth@|@vuks@
@grumble@|@burtshen@
@guard@|@bavakhn, vekhter@
@guardsman@|@shomrim, shoymer@
@guess@|@hashore, trefn@
@guest@|@gast, oyrekh@
@guilt@|@shuld@
@guilty@|@shuldik@
@gut feeling@|@boykh-svore@
@guy@|@khevreman@
@guy who doesn't smell too good@|@Shtunk@
@guzzle@|@zoyfn@
@gypsy@|@tsigayner@
@gypsy-ish@|@tsigaynerish@
@habitat@|@voyn@
@hag@|@babe@
@Haggadah@|@hagodl@
@ha-ha@|@kha-kha@
@Haifa@|@yafe@
@hair@|@hor@
@half@|@halb, helft@
@hallel@|@halel@
@hallow@|@mekadesh zayn@
@hallunication@|@zeenish@
@hamlet@|@derfl@
@hammer@|@hamer, shmidern@
@hand@|@hant, hent@
@hand (out)@|@derlangen@
@hand fan@|@fokher@
@hand of a clock@|@vayzer@
@handful@|@zhmenye@
@handkerchief@|@noztikhl, tikhl@
@handle@|@klyamke@
@handouts@|@betlbroyt@
@handsome person@|@hadres-ponem@
@handwriting@|@hantshrift, ksav, ksovem@
@hang@|@hengen@
@hang (up)@|@oyfhengen@
@Hanger-on@|@Nochshlepper, Onshikenish, Tsutsheppenish@
@hangman@|@talyen, talyonim@
@Hanukkah@|@khanike@
@happen@|@pasirn@
@happy@|@tsufridn@
@Happy@|@Frailech@
@Happy anniversary@|@A gliklekhn yortog@
@Happy birthday@|@Mazl-tov tsu dayn geburtstog@
@Happy Birthday!@|@mazl-tov, Mazltov tsu dayn geboyrn-tog!@
@Happy Easter@|@A fraylekhn Pesah@
@Happy Holiday@|@Gut Yontif@
@Happy Mother's Day@|@A gliklikhn Mutertog@
@Happy New Year@|@A git yor, leshono toyvo tiko-seyvu@
@Happy New Year!@|@A gut yor!@
@hard of hearing@|@toyblekh@
@hare@|@hoz@
@harlot@|@zoyne@
@harmonica@|@harmoshke@
@harvest time@|@harbsttsayt@
@Hasidic dance@|@khosedl@
@Hasidism@|@khsides@
@Haskalah; the Jewish movement@|@haskole@
@hastily@|@bkhipozn@
@hat@|@hut, kapelyush@
@hatch@|@oyszitsn@
@hatchet@|@hekl@
@hate@|@faynt hobn, sine@
@hateful@|@heslekh@
@Hatikvah; the Israeli anthem@|@hatikvo@
@Havdole@|@havdole@
@have@|@hobn@
@have a good time@|@amuzirin zikh, hanoe hobn, vayln zikh@
@Have a happy Holiday!@|@a freylekhn yontev!@
@Have a happy Passover!@|@a freylekhn peysekh!@
@Have a happy Sukkoth Holiday!@|@a freylekhn yontev sukes!@
@have a seat@|@zitsn@
@Have a sweet Passover!@|@a zisn peysekh!@
@have a talk with@|@durkhredn zikh mit@
@Have facts at one's fingertips@|@Kenen oyf di finger@
@have in prospect@|@hobn an oyg oyf@
@Have no end of trouble@|@Hoben tsu zingen un tsu zogen@
@have one's way@|@oysfirn dayns, oysfirn mayns, oysfirnzayns, poyeln, poyeln@
@have pity@|@rakhmones hobn@
@Have pity@|@Chub Rachmones@
@Have respect@|@Hob derech erets@
@Having to do with all things@|@Yiddishkeit@
@hawk@|@falk@
@hay@|@hey@
@hay stack@|@stoyg hey@
@hazelnut@|@hozn nisl@
@he@|@er@
@He eats like a horse@|@Er frest vi a ferd@
@He has nothing at all@|@Er hot a makeh@
@He hasn't got a worry@|@Er hot nit zorg@
