@English@|@Laotian (romanized)@
@miniature shrine@|@the va khan@
@minimum@|@yang noy@
@mining: work connected with mining or metal@|@ló: há kid@
@minister@|@ák khā rar xa thoud, thut@
@minister of government(ancient)@|@kheu meung@
@minister of the old regime@|@sĕ: nar bor di:@
@minister or sub-minister@|@chao tha buang@
@minister plenipoteniary@|@thut phu me am nat tam@
@minister with portfolio@|@chao ka soung@
@minister without portfollio@|@lāt tha mon ti: loy@
@ministerial decree@|@kot ka suang@
@ministry@|@ká suang, tha buang@
@ministry charged@|@nā khon barn@
@Ministry of Agriculture@|@ka suang ka sat@
@Ministry of Communications@|@ka suang kam ma na kom@
@Ministry of Cooperation Affairs@|@ka suang sa ha kon@
@Ministry of Defence@|@ka suang phong kan pha that@
@Ministry of Defense@|@ka suang ka la hom@
@Ministry of Education@|@ka suang seuk sa thi kan@
@ministry of finance@|@ka suang kan kang@
@Ministry of Foreign Affairs@|@ka suang tang pha that@
@Ministry of Industry@|@ka suang ot sa ha kam@
@Ministry of Interior@|@ma hat thay@
@Ministry of Public Health@|@ka suang sa tha la na suk@
@Ministry of the Culture@|@ka suang vat tha na tham@
@Ministry of the Interior@|@ka suang ma hat thai@
@minnow@|@pa: paeb@
@minor detail@|@pî:k nhoy, pî:k nhoy@
@minor infraction@|@khá de ra hu tot@
@minor offense or punishment@|@thot bao@
@minor wife@|@á nū phan ra nhar@
@minority@|@sūa:n noy@
@minority vote@|@sĭa:ng suan noy, sĭa:ng suan noy@
@Minsitry of Justice@|@ka suang nyu thi tham@
@minster@|@xeung xay@
@Minstry of Economic Affairs@|@ka suang saet tha kit@
@mint@|@phak kan kam@
@minute@|@līp dar, ná: thi:@
@minute hand of a clock@|@khem yao@
@minute of hand of clock@|@khem na thi@
@miracle@|@át sa chan, kan ang sit thi, nī mid, pa: ti harn@
@miraculous@|@chin da ma ni@
@mirage@|@pha yap daet@
@mire@|@khi khon, lé:n@
@mirror@|@kájokjaengna, kájokkeo, mu ku ra, vaen, vaen nhaeng@
@Mirror@|@kájok@
@misappehension@|@kan phang phat@
@misappropriation@|@á thin nar tharn@
@miscall@|@khok sap, khot kon@
@miscarriage@|@lū thò:ng, lu thong@
@miscarry@|@thaeng@
@miscellaneous@|@bet set@
@miscellany@|@phi phit@
@mischievous@|@dek phan@
@mischievous child@|@dek kae ra@
@mischievous person@|@khon pan@
@misconduct@|@á ná: charn, át xar char@
@Misconduct consisting of falsely claiming@|@pa: ra xeuk@
@misdemeanor@|@khá de ra hu tot@
@miserable@|@khi thuk, lám khén, nya cha, nyik, pâ:k mong, pâ:k mong, thuk yak phak mong, torm torm@
@miserliness@|@mat sa ri ya@
@miserly@|@á ná: thon, á ná: thon, bor pheu phae, khi niav, khi teut@
@misery@|@khin chay, kor vaen, ma han ta thuk, sŏ: kar, sŏ: kar doun, sŏ: kar lay, sŏ: ki:, thuk chon, thuk kha, thuk khang@
@misfortune@|@á na nha, phoy, xauk hai@
@misfortune from sin@|@bap khor@
@misfortune period@|@vi bard ti karn@
@misfortune-bringing ghost@|@khet khuang@
@misinform@|@chaeng fit@
@misinterpretation@|@khor khuam kong kan kham@
@mislead@|@het hay khao chay phit, sĭa: hoy, tham hay khao chay phit, xe saeng@
@misname@|@hiak phit@
@misprint@|@phim phit@
@misrepresent@|@bit beun, bit beun chak khuam ching, pom to@
@miss@|@ang kha nar, chom ha, ma bor than, ná:t, pha nang@
@Miss@|@nā ri:, ná:ng, ná:ng sao@
@miss a menstrual period@|@ham deum\n, ham la du@
@miss an appointment@|@khat kon, khat nat, phat nat, phit nat@
@miss an opportunity@|@phat o khat, sĭa: o kard@
@miss by a hair@|@sied pay sen phom diew@
@Miss Laos@|@ná:ng sao lao@
@miss meeting by chance@|@khat nat@
@miss one’s prayers@|@ham sut@
@miss one’s timing@|@phat yang va, phit chang va@
@miss or be absent from a meeting@|@khat pha sum@
@miss sleeping@|@ham non@
@miss the bus or vehicle@|@khat lot@
@miss the target@|@khat ti may, nying fit, nying phao mai, phit thi may@
@miss the time@|@phat vae la@
@Miss Universe@|@ná:ng sao chack ka varn@
@missing a tooth or more@|@khaev vong@
@missing part@|@sūa:n thi: khard@
@missionary@|@phu phery phae sa sa na@
@missionary school@|@hong hian mor son sa sa na, hong hian son sa sa na@
@missirig a tooth or more@|@khaev hvong@
@misspell@|@sá kod phit@
@mistake@|@fot, kan phang phat, phang pher, phit, phit phaek, phit phat, phoy@
@mistake error@|@khuem pit@
@mistake the name of another@|@hiak phit, hiak xeu phit@
@mister@|@than@
@Mister Mr@|@thao@
@mistreat@|@biat, biat si, khom haeng, khom haeng kha naeng hay, khom haeng phai, khom khi@
@mistress@|@mia lap, pen xu, xu@
@mistress of the house@|@ná:y phou nhing@
@mistrest@|@khom mu@
@mistrust@|@bor vay chay, sóp saer@
@misty rain@|@fon foy@
@misunderstand@|@khao chay phit, phit khong mong chay, săm khan phid@
@misuse@|@lor luang@
@mitigate@|@ban thao, het hay thu lao long, phon pon@
@mix@|@chan cheua, cheu, cheu bpon, kaem, khuk khow, pá som, pha nuak, pon, sá marn, săm, si ri, sŏm@
@mix crowd assemble@|@khuk khi@
@mix in@|@pá pon, sáp kan@
@mix in disorder@|@sáp son@
@mix in with everybody@|@săm son@
@mix into@|@sord khao kiew@
@mix into a conversation unasked@|@sord kang khan@
@mix perfumes@|@cheu chan@
@mix together@|@cheu kan, kua, xeum khao kan@
@mix up@|@paet pon, sáp pon, sŏn, sum si: sum har@
@mix with@|@cheu doy@
@mixed@|@pha som, pon khon le, sá mid, xord ka cha@
@mixed up@|@mun, sáp pon khon lei, tua@
@Mixed with@|@pá pon nay@
@mixed with honey@|@ma thu ma thu mit@
@mixed-up@|@pon kan yung@
@mixture@|@săm pheid, săm pheid, săng kon, săng san, sŏng kon@
@mixtures with cattle excrement for certain purposes@|@kho mai@
@mnemonics@|@vi xar hard cheu cham@
@moan@|@phi lap@
@moaning@|@vi larb@
@moaning groaning@|@sĭa:ng khang@
@moat@|@khay ku@
@mob action@|@kan long thot doi pha sa son@
@mobilise@|@lā dom@
@mobilization point@|@ka la hom@
@mock@|@nyor nyan, nyor nyerny, yery, yiap yam, yiay@
@mocring buoy@|@sá mor@
@mode@|@pá karn, sá bop@
@model@|@baep, baep phen, cham long, hup pan, ka suan, kha nop, pá thad, pá ti houb pa theid, pá ti mar, pá ti mar kone, pan, sá bap, săng vard, tua baep, xerng, yim yang@
@model example@|@yiang yang@
@model person@|@buk khong tua yang@
@model sample@|@tua yang@
@modeller in clay@|@xang pan@
@modelling@|@kan bpen@
@moderate@|@nyo, nyom nyao, phor khun, să: roub@
@moderation@|@tang ton pen tham vang ton pen kang@
@modern@|@sá may may, sá may may, sá may may, sá may may@
@modern language@|@pha sa phat chu ban@
@modern or current style@|@phen phat chu ban@
@modern time@|@sá may may, sá may may@
@modest@|@cham niam, sá ngia:m, sá ngop sá ngiem, tam toy@
@modesty@|@ka dak, kádia:m@
@modification@|@kan dat phaeng@
@modify@|@dat peng@
@modifying tone marks@|@ván na nhoud@
@modulate a consonantal sound@|@phan ak son@
@Mohammed@|@ma ha mat@
@moise of machinery@|@sĭa:ng heung@
@moist@|@xum@
@molar tooth@|@khaev kok@
@molasses@|@pha nit@
@mold@|@cham long@
@mold the figure@|@hat hup@
@moldboard of a plow@|@bai pha niang@
@molder@|@xang lor@
@moldy and spoiled@|@nāo boud@
@moldy clothing@|@seua peuay@
@moldy rice@|@khao bot@
@mole@|@fay, tua on, tun@
@mole cricket@|@chi zon, meng son@
@molest@|@biat si, nyam nyi@
@molt@|@lork karp, thay khon@
@moment@|@beut, ma ha ra dee, ná: thi:@
@moment for the ceremony of arranging the pillow during the wedding@|@hiang khuam@
@momentarily@|@xua berd dieav@
@momkey@|@kok@
@momordica charantia@|@xai@
@monarch@|@á thi rà:t, chak ki, chom rat, chom tai, chom tai, ka sat ta thai, khat ti ya, ma ha bor dee, thao pha ya, thor ra nit, thor ra nit@
@monarchy@|@ra xa tI pa tai@
@monastary@|@vāt var ar harm@
@monaster@|@vi harn@
@monastery@|@vi harn@
@monastery school@|@hong hian vat@
@monastery servitor@|@nyom vat@
@Monday@|@ván chan@
@money@|@khon khep ngern, ngern, sin, tha na@
@money market@|@ta lat ngern@
@money order@|@mang da@
@money used to buy food for a Buddhist bonze@|@nid cha phad@
@money which is valueless@|@fer@
@Mongolian macu@|@pan@
@mongoose@|@chon phon, phang phon@
@monitor liazard@|@cha kuat@
@monk@|@mom, nāk sid, nya khu, pa: hou nay nha bouk khon, pap pa xit, pha, pha song, phi khu, phik khu, sá ma na, sŏng@
@monkey@|@li:ng, mak ka to, pha non, vá: non, vá:n non, vork@
@monkey fish@|@pa: ling@
@monkey year@|@pi vork@
@monocle@|@vaen tar diew@
@monopolize@|@hop ao mot, phuk khat, pit pa tu kha@
@monopoly@|@kan tat ton, săm pa tharn, săm pa tharn@
@monosyllable@|@pha yang diav@
@monotonous sound@|@beu hu@
@Monseigneur@|@fa pha baet@
@monsoon@|@mor la sum@
@monstrous@|@phi leuk kheu kheum@
@month@|@deuan@
@monthly@|@lá:y deuan, pá cham deuan@
@monthly salary@|@ngern deuan@
@monument@|@á nū sar va li:@
@monumental door@|@pá tu: xay@
@mood@|@chae ta sik, chay khor, sá ti ar lom@
@moon@|@deuan, duang ra ti, khae, nī sar bor di:, nī sar rard, pha khae, theng, tho sa kon, vóng deuan@
@moon disc@|@duang chan@
@moon’s dark part@|@deuan meut@
@moonlight@|@chan tha ra kho si ka, saeng chan, saeng deuan, saeng pha chan@
@moonlit@|@sá vang doay saeng deuan@
@moonrise@|@vé: lá: pha chan kheun@
@moonshine@|@khae@
@mop@|@pha xat heun@
@mope about@|@dorm dorm mong mong@
@moral@|@ka buan kan song serm si la tham@
@moral commandment@|@sik khar bod@
@moral consciousness@|@sá ti sam pa xan nha@
@moral disposition@|@tham ma that@
@moral education@|@cha ri nya seuk sa@
@moral law@|@tham ma sat@
@moral strength@|@săn thid@
@morale@|@sin la tham@
@moralist@|@nāk son sin la tham@
@morality@|@cha ri nya, chan nya, pha tham, tham, tham ma@
@morality and the bonzes@|@pha ra sa ta na tai@
@morality leading to the reincarnation of Buddha@|@pho thi phak khi ya tham, pho thi phak khi ya tham@
@morally@|@doy zop tham, doy zop tham, này sin@
@more@|@nying kaow, nying van nying@
@more (a household)@|@nyay khua@
@more beautiful@|@ngam nhing@
@more certain ever@|@nying nae chay@
@more easily said than done@|@vào ngai fung nhark@
@more easily said than understood@|@vào ngai fung nhark@
@more or less@|@bor lay kor noy, bor me kor noy@
@more so@|@haeng ying@
@more than@|@haeng, kam kern, kua, mak kua@
@more than any@|@kua mu@
@more than enough@|@tor heng@
@more than that@|@nying kaow nan@
@more than this@|@nying kaow ne, nying kaow ne@
@morgue@|@hong yen@
@morning@|@bup phan ha sa may, nyam tud saow, pá kai, ton xao, vé: lá: xao, xao@
@Morning@|@meu sao@
@morning and evening@|@thuk kham sao@
@morning early@|@xao@
@morning glory@|@phak bong@
@morning session@|@ton xao@
@morning star@|@dao phet, pá kai pheuk, pha kay@
@morose@|@beung@
@morose face@|@na bung@
@mortal@|@mor ran a tham, pá rar xay@
@mortally ill@|@nyao, nyao khao, pa:ng la:ng@
@mortar@|@khok tam kao, mork che, peun khok@
@mortar (for crushing)@|@khok@
@mortgage@|@cham, cham khong, cham nam, cham nong, khong chan nong@
@mortgage agency@|@sá thă:n thi: harp cham nong@
@mortification of the body@|@kan thor la man kai@
@mortify@|@sá naeng@
@mortuary celebration@|@săng sa karn@
@mosque@|@bot khek@
@mosquito@|@nyung, nyung@
@Mosquito@|@ma ka sa@
@mosquito bite@|@tum@
@mosquito net@|@mu sa, mung@
@mossy area where fungus and mushrooms grow@|@sā: heid@
@most@|@mak thi sut@
@most beautiful@|@nyao va nyot@
@most beautiful of sanctuaries@|@bor rom ma han@
@most certainly@|@tang hak@
@most excellent@|@phi saet, vā ro dom@
@most precious@|@phi saet@
@most prosperous@|@phi saet@
@most urgent@|@duan thi sut@
@most virtuous@|@pha yot tham@
@mostly@|@doy mak, mak cha suan mak, pen suan lay, pen suan sa ku@
@moth@|@meng kha beu@
@mother@|@ma da (French), ma tu, ma tu rat, ma tu rong, man da, me, xa ni ka, xon ni@
@mother land@|@ma tu phum@
@mother of a baby@|@me luk on@
@mother of the bride or groom@|@me dong@
@mother of vinegar@|@me nam som@
@mother of wife@|@me may@
@mother’s older brother@|@ma tu la@
@mother’s older sister@|@ma tu sa@
@mother-in-law@|@sá sou ri:, sát sou@
@motherland@|@ma tu phu mi@
@Motherless@|@hay mae@
@mother's image@|@ma tu phim@
@motion of object prior to breaking under the pressure of weight@|@nyuap@
@motionless@|@ning@
@motivation@|@tay vat, tay vat ta@
@motive@|@pat chay, sá mou thay, sá mút tharn, să: heid, să:y heid@
@motive force@|@kam lung ngan@
@motor@|@kheuang nyon@
@motor convoy@|@kha buan lot@
@motor road@|@thang lot@
@motor vehicle@|@nyan nyon@
@motorbike@|@lōt chack@
@Motorboat@|@heu chak@
@motorboat racing@|@kheng heu vay@
@motorcycle@|@lōt chack@
@mottled@|@ka dang ka dao, sá pha la@
@mouatache@|@mat su@
@mould@|@lor, me phim, pan@
@moulding@|@kan hor@
@Moulmein@|@ma la maeng@
@mound@|@leung, phon, phu nern@
@mound of earth raised an insect above its nest@|@khuay@
@mound savannah@|@khok@
@mount@|@pin kheun@
@Mount a horse@|@kheun ma@
@mount the throne@|@sá dét kheun sá veui rard xa som bard@
@mountain@|@doy, khao, ma ha thon, pap pha ta, pap pha to, pha nang, pha nom, pha nom, phu doy, phu pha, să: nou, sĕ: lar, si khin, sing kha, sing khon@
@mountain dweller@|@phu therng, xao khao@
@mountain jungle@|@phay pha nom@
@mountain of flowers@|@pha nom dok mai@
@Mountain or dry rice field@|@hay@
@mountain peak@|@să: nou, si khin, sing khon@
@mountain range@|@chay phu, phu khao, săn khao, săn phou@
@mountain stream frog@|@khiat ta ot@
@mountain top@|@chom phu@
@mountain tribe of the north in the Shan states and south Yunnan@|@khu la@
@mountain with a high peak@|@sing kha li:, sing kha ri:@
@mountaineer@|@thay meu, xao doy@
@mountainer@|@xao khao@
@mountainous@|@mi phu mi doy@
@mountaintop Lao@|@lá:o soung@
@mounthpiece of the khene@|@tua khen@
@mountian top@|@chom doy@
@mourish@|@lía:ng du@
@mourn@|@horng hay ram phan@
@mouse@|@nu, xuat@
@mouse deer@|@kájong@
@mouse trap@|@kap sai hang nu, kap sai nu@
@moustache@|@Nuay@
@moutain@|@phu@
@mouth@|@mu kha, muk kha, pâ:k, pâ:k, sá mack, sá mack, sóp, sóp park@
@mouth of a lane@|@pâ:k hom, pâ:k hom@
@mouth of a river@|@pâ:k nam, pâ:k nam@
@mouthful of rice@|@kham khao@
@movable property@|@săng har ri ma xap@
@move@|@het hay pip chay, kha nyap, khon yay, lā lor, nyang phai, nyok khua, nyok nyay, nyu ra nyat, pian ban, teung, ting@
@move (a household)@|@nyay, nyay heun@
@move a boat with a long stick@|@thor@
@move a house or household@|@nyay ban@
@move a little distance away@|@phiak@
@move about@|@chor la@
@move about (poetic)@|@chon cha ran@
@move along@|@thiav thang@
@move an army@|@dern thap, nyok kong thap@
@move apart@|@phing, ti@
@move article@|@khon kong@
@move aside@|@therp@
@move away leave@|@khay khay@
@move brusquely@|@lōk larn@
@move closer@|@kha nyap khao ma@
@move leg apart@|@ti kha@
@move near@|@nyap@
@move off@|@kha nyap ork@
@move one part smoothly within another@|@nyo nyan@
@move or budge an object@|@peut@
@move over@|@therp, tort lort, tut, tut lut@
@move small things@|@tort@
@move the eyebrows up and down@|@nyik liv ta@
@move the guide of the loom back and forth in order to align the threads@|@fat huk@
@move troops@|@nyok phon tha han@
@move up and down@|@dao@
@moved@|@teun tua@
@moved by calamity or catastrophe@|@kham hon@
@movement@|@cha la chon, kan kheun vai, kha buan, kha buan kheun hai, nyuk khun@
@movie@|@hong phap pha yon, phap pha yon@
@movie photographer@|@nāk thai pharb pha nhon@
@movie projector@|@kheuang say hnang, kheuang say hnang, kheuang say xi:ne ma@
@movie star@|@da ra hup ngua, da ra phap pha yon@
@moving@|@vip pa vard@
@moving in water@|@nī ra chon@
@moving slowly@|@lùa:y@
@moving the mouth convulsively@|@xá hngap@
@moving to and fro.@|@vi cha la@
@moving upward@|@dong@
@mow the grass@|@lā:o nhar@
@Mrs@|@nā ri:, ná:ng@
@Mt@|@me ru, si nei rou, sú mei rou@
@Muang Sing@|@meung sing@
@much@|@á nan ta ra, á nek, chan, chun phun, dee mak, kay kong, leun lom, nong, nong, pheung, pho, phun, pom, sá hard sar, xerm, xin@
@much more than that@|@nying nan@
@much traveled road@|@thang thia@
@mucilage@|@muk@
@mucous discharge@|@mouk@
@mucus@|@khi muk, sá leid@
@mud@|@din lom, ka la la, khi khon, khi tam, lé:n, tom@
@mud puddle@|@hong@
@muddy@|@bon lom, heum, pen tom@
@muddy field@|@ná: lom@
@muddy water@|@nàm khoun@
@mudguard@|@bang tom@
@mudhole@|@buak@
@muffle@|@het hay hue u ta lay@
@muffler@|@pha phan khor@
@mulberry bush@|@ton mon@
@mulberry leaf@|@bai mon@
@mulberry tree in medicinal use@|@mon keo@
@Mulberry used for making paper@|@por sar@
@mule@|@lúa:, ma lua@
@multicolored@|@sú chid@
@multi-colored@|@si: soud sard@
@multiple@|@pha khun@
@multiplication@|@lè:k khoun@
@multiplication table@|@bang sut@
@multiplication tables@|@sû:t khoun@
@multiplier@|@tua khun@
@multiply@|@khun lek, phae phan, pheng ork, taek mae taek luk@
@Multiply@|@mi suk sum@
@multiply by two@|@tha vi khun@
@multitude@|@chak ka van, nī kone@
@mumble@|@chom pheum phom, mam mam, ngeung, pheum phom, vào ka tauk ka tack@
@mumbling@|@phum phum@
@mumps@|@lù:k nu@
@mundane@|@lò:k ka tham@
@municipal boundary@|@khet that sa ban@
@municipal council@|@the sa mon ti@
@Municipal Council@|@sá phá: thei sa barn@
@municipal limit@|@khop meung@
@municipal ordinance@|@that sa na ban yat, the sa bat yat@
@municipal school@|@hong hian thae sa ban@
@municipal tax@|@chang kop@
@municipality@|@the sa ban, thet sa ban@
@Muntjak deer@|@fan@
@Muong Ho or China@|@meung hor@
@mural@|@phap pha nang, phap pha pa thay@
@murder@|@khá: ta kam, khá: ta kam, nā reu mon, pa: na ti bard@
@murder assassination@|@khat ta kham@
@murderer@|@khá: ta kone, phu hay kha  khon@
@murmur@|@ngeung, sim, veud veud, xap xap@
@murmur under the breath@|@vào you nai hu khor@
@muscle@|@kap, neua karm, sá nar nhou@
@muscle in the back@|@săn lung, săn lung@
@Muscovy duck@|@pet pha, pet sa phua, pet thaet@
@muscular tremor@|@ka men@
@museum@|@phi phit tha phan@
@music@|@don tri, wà:t tha@
@music played on the departure of a high personage@|@xert@
@musical band@|@vóng don ti:@
@musical composition@|@kahek mon@
@musical composition for the khene@|@sút sa naen@
@musical entrustment@|@ka chap phi@
@musical instrument@|@kheuang don tee@
@musical instrument in general@|@kheuang dit si ti pao@
@musical instrument resembling a lute with sound box@|@khim@
@musical instruments@|@du ri ya, tu li ya, wà:t tha nha@
@musical Instruments@|@kheuang seb@
@musical performance@|@wà:t tha na@
@musical profession@|@vi xar don ti:@
@musician@|@nāk don ti:, vá:, wà:t tha ka@
@Musician of an orchestra@|@nāk seib@
@muslin@|@mat sa lin, pha ma sa lin@
@must@|@cham phan tong, cham tong, chong, tong@
@must be correct@|@tong theuk@
@must do@|@cham hat@
@must go@|@cham phay@
@must mean ‘both’)@|@thang lae@
@must not@|@bor tong@
@mustard@|@phak kat heun, ya pho bat@
@muster@|@huam kong phon@
@mute@|@keuk, khon phak keuk, ngao, nger, pâ:k keuk, pâ:k keuk@
@mute or dumb child@|@dek bay@
@mutes@|@lá:y ngá:n karn pa soum@
@mutton@|@neua kae@
@mutual@|@xerng kan lae kan, xeung kan lae kan@
@mutual concessions@|@phno sen kae kan@
@muzzle@|@át sop, pâ:k ka bork peun, pâ:k ka bork peun@
@muzzle of the gun@|@thay pheun@
@my@|@khong khoy@
@My God !@|@phut tho@
@my late father@|@meu phor khoy@
@my late mother@|@meu lang mae khoy@
@my love@|@duang sa mon, duang sa mon@
@Myamar@|@mian ma@
@Myanmar@|@pá theid mien mar@
@mylabre@|@meng phak hom@
@myopia@|@saeng tar san@
@Myopia@|@fak ta@
@myrrh@|@mot nyop@
@myself@|@tua khoy@
@mysterious@|@leuk lap, leuk lap, leurk lap, rā hard, sá lord@
@myth@|@á ma rar va di:, sá mein@
@Myth@|@me kha la@
@mythical Chinese animal@|@sing to@
@mythical giant armed with an axe@|@rá:m mā sŭ:n, rá:m sŭ:n@
@mythical water creature@|@xon la ma nuy@
@mythological@|@sák mom@
@mythology@|@vi xar karn kiew kap ni tharn thei va dar@
@n@|@kha phan, phan phi hoy khuap, sae sao, xen, xen xue@
@n type of plant@|@tong ching@
@n. balance@|@tu la@
@n. daily current account@|@ka sae lary van@
@n. judge@|@tu la kan@
@nag for@|@von har@
@Naga@|@nà:k nar kho, nark@
@Naga king@|@nà:k kha rard@
@Naif@|@hay diat sa@
@nail@|@lēp, ta pu, tork ta pu@
@nailed up@|@tit duay lek ta pu@
@naive@|@hay diat sa@
@naked@|@á chei la, á chei la ka, nūng lom hom far, pá pheud, peuy, peuy kay@
@naked person@|@phi pheuy@
@naked rock@|@pha lan@
@Nam Ngum River@|@nàm ngeum@
@nam of peace@|@sá ma na@
@name@|@á phi thar, á phi tharn, á phi thay, hiak xeu, kham nam, ná: mar phi thay, ná:m, ná:m ma kon, ná:m ma thay, ná:m xeu, pha nam, sŏm nhar, tang xeu, tok xeu, xeu@
@name card business card@|@ná:m bard@
@name commonly applied to several vines of families@|@khao ngua@
@name commonly used for various species of Ardisia@|@tin cham@
@name generally applied to various epiphytic orchids@|@pherng@
@name given to a Buddhist@|@să: nhă:@
@name given to a tiger who was formerly a man@|@sá mi@
@name given to several species of Terminalia@|@sá mor@
@name given to various kinds of climbing jasmine@|@ma li van@
@name incorporating events@|@né: mid ta ka marn@
@name of a celestial garden@|@sú nan thar@
@Name of a chapter in the Buddhist Bible@|@ma ha khan@
@name of a food made by mixing cooked ground eggplant with fish sauce@|@nien@
@name of a game resembling chess@|@seua kin mou, seua kin mou@
@name of a giant in the story Vesantara@|@xu sok@
@name of a god@|@kham va@
@name of a group of gods@|@pha su@
@Name of a group of stars@|@ma ha chak@
@name of a jungle flower@|@dok ka don@
@name of a Laotian romance named after the hero@|@siew sa vard@
@name of a legendary hero@|@ta bong phet@
@name of a lotus@|@xa ta bot@
@name of a mountain in the Vesantara@|@vóng kod khee ree@
@name of a mountain north of Luang Prabang@|@ka sak@
@name of a nudist sect in India@|@thi kham phon@
@name of a Pali treatise on syntax@|@nyo za na@
@name of a sharp knife used for splitting bamboo into slivers@|@xuy@
@name of a star@|@ta khae, ta sa phao@
@name of a temple near the city of Saravasti in the kingdom of Kosala where the Buddha lived@|@xe ta van@
@name of a tribe of the Lao race in northern Thailand@|@leu@
@name of a type of cake made from rice flour and sugar@|@ta ko@
@name of a type of classical dance@|@xert sing@
@name of a type of orchid@|@xang dam@
@name of a type of Pali poem of 32 syllables in four rhymed lines@|@pat tha ya vat@
@name of a type of poetry in the book Saravilasini@|@kop ten@
@name of a venomous snake@|@kan bai mai@
@name of an arrow of the giant Indrachit which transforms itself into a serpent@|@nà:k kha bard@
@name of an article@|@xeu sing khong@
@name of an exegetic scripture@|@át tha ka thar@
@name of an old Lao romance@|@xon xay@
@name of Buddha@|@ta tha kha ta, ta tha khot@
@name of Buddha before assuming the priesthood@|@si: thard@
@name of Buddha in his tenth reincarnation@|@phet sa yan don@
@name of Buddhas who become enlightened without preaching@|@pat phut tha chao@
@name of disease caused by a worm parasite which causes barrenness in women@|@xuang@
@name of first wife of Indra@|@sú xar dar@
@name of goods@|@xeu sin kha@
@name of large snake in the romance@|@xuang@
@name of largest type of deer@|@xot@
@name of legendary elephant@|@sát than@
@name of one of the Budhist scripture@|@nī bard@
@name of one of the three sacred books of Buddhism@|@sút tan@
@name of several species of bamboo@|@xarng@
@name of the Buddhist Bible dealing with dharma@|@nya ma ka@
@name of the elephant headed god@|@vi kha nard@
@name of the first year of the twelve-year cycle@|@xuat@
@Name of the forest where the Buddha used to live@|@pa: li lay@
@name of the fourth level of paradise@|@du sit@
@name of the garden of Indra@|@chit ta ra la da@
@name of the god Indra@|@sú xam bor di:@
@name of the god Veda@|@sá roud ti@
@name of the hero in a Laotian novel@|@thao chan tai@
@name of the horse on which the Buddha mounted@|@kan tha ka@
@Name of the Indian province of Magaha@|@ma ka tha@
@name of the large pond in the Himalaya Mountain where the Buddha lived after enlightenment@|@mut cha lin@
@name of the Mekong River rapids near Khong@|@lī: phī:@
@name of the royal dynasty of Laos@|@sú ri nha vong sar@
@name of the second Buddha@|@ko na khom@
@name of the second of the five wise men in the present Buddhist epoch@|@ko tho@
@name of the seventh constellation@|@khaen nang@
@name of the stupa holding the hair of the Buddha@|@chu la ma ni@
@name of the three@|@sĕ: nar thi pard@
@name of the twelfth year in the twelve-year cycle@|@khai@
@namely@|@dai kae, pen ton@
@names as follows@|@dang xeu@
@namow road@|@thang khaep@
@nanny goat@|@bae mae@
@nap@|@ngip, non ven, xeuap pai@
@napalm@|@ná: pharm@
@nape@|@ngon don, ngon tor@
@nape of the neck@|@ká don, khaw tor@
@napkin@|@ká tiav, pha xat, pha xat meu@
@narcotic@|@ya saep tid@
@narrate@|@bork lao, lāo reuang, tha n khuam@
@narrate a film@|@phak nang, phak phap pha yon@
@narration@|@bor li yay, leuang, pá ri nhai, vā: dùa:y@
@narrative poem@|@sĕ: phar@
@narrow@|@chom, khaep, khap, khap khaep, kiv, tib@
@Narrow boat@|@heu khap@
@narrow eyes@|@ta tip@
@narrow minded@|@chay khaep@
@narrow net for small fish@|@kong pha@
@narrow place@|@bon horm@
@narrow rank@|@thaev thi@
@narrowing@|@chuang@
@narrowing to a point@|@sûa:y@
@narrow-minded@|@chay noy@
@nasal discharge@|@mouk@
@Nasturium montanum@|@phak kat nok@
@nation@|@pá theid xard, pá xar xard, the sa, xard@
@nationa@|@ban meung@
@national@|@bun sa long@
@national (ly)@|@thang ying thang say@
@national agreement@|@khuem pong dong xad@
@national anthem@|@pheng xat@
@national assembly@|@kan pha um sa pha@
@National Assembly@|@sá phá: haeng xard@
@national Buddhist patriarch@|@pha sang kha rat@
@national costume@|@kheuang teng kay pa cham sat@
@national culture@|@vāt tha na tham heang xard@
@National Day@|@ván xard@
@national day celebration@|@ngan wan sat@
@National Economic Council@|@sá phá: seid tha kid haeng xard@
@national family@|@vóng kha na nhard haeng xard@
@national flower@|@dok mai khong xat@
@national forest@|@pā: hung harm@
@national museum@|@phi phit tha phan heng sat@
@national of flag@|@thung sat@
@national radio diffusion@|@vi tha nhu ka chai sieng haeng xard@
@national redemption@|@ku sat@
@national sport stadium@|@sá nă:m ki lar haeng xard@
@national stadium@|@sá nă:m ki lar haeng xard, sá narm ki lar haeng xard, sá narm ki lar haeng xard@
@national virtues@|@vi: ra tham pa cham xard@
@nationalism@|@lāt thi ni nyom xard, lāt thi xard ni nyom, lāt xard ni: nhom@
@nationalist group@|@khá na sat ni yum@
@nationalistic@|@xa ti ni yom@
@nationality@|@săn nha xard, săn xard, thor la sat, thu ra sat, xon xat@
@nationalize@|@tham hay phen kang, tham hay phen khong sat@
@nationwide@|@thua pha that@
@native@|@chao thin, lù:k barn larn meuang, pheung meung, xao pheung meung@
@native Indigenous people@|@khon peun meung@
@native land or country@|@pi tou mar tou phoum@
@native paper@|@ka dad sa@
@native paper made from the leaves and bark of certain trees@|@chia sa@
@natives of Xieng Khouang@|@thay phuan@
@NATO@|@ná: to, né: to@
