@English@|@Cornish@
@proposal@|@kynnyk@
@prosaic@|@dyawen@
@prospect@|@gwél@
@protect@|@dyffres@
@pruning@|@gwreken@
@pub@|@diwotti@
@puberty@|@kethorýeth@
@pudding@|@pudyn@
@puissant@|@gallosek@
@pull@|@tenna@
@pumpkin@|@pompyon@
@punctual@|@a-boynt@
@puncture@|@tellyk@
@pungency@|@wherowder@
@pungent@|@wherow@
@punitive@|@kessydhyansek@
@puppet@|@popet@
@purchase@|@prenans@
@purple@|@purpur@
@purport@|@styr@
@purpose@|@mynnas@
@pursuer@|@helgyas@
@pursuit@|@helgh@
@purulent@|@podrethek@
@push@|@herdhya@
@pyramid@|@pykern@
@quality@|@gnas@
@quandary@|@tranjyak@
@quantity@|@keheseth@
@quarrel@|@tryn@
@quarry@|@moengleudh@
@quarter@|@quartron@
@quartet@|@geswarden@
@queen@|@myternes@
@question@|@govynnadow@
@quicker@|@üskyssa@
@quickly@|@üskys@
@quiet@|@hebask, kosel@
@quieten@|@spavenhé@
@quietly@|@cosel@
@rabbit@|@conyn@
@radiance@|@golewder@
@railing@|@rayl@
@railway@|@forthhorn, hyns-horn@
@raiment@|@dyllas@
@rainbow@|@gwarak an glaw@
@raisin@|@fygesen an howl@
@raising@|@derevyans@
@rambler@|@rósyer@
@rampart@|@fós@
@rapider@|@üskyssa@
@rapping@|@frappyans@
@rapture@|@rafsyans@
@rascally@|@cam@
@rasp (tool)@|@lyf@
@raspberries@|@mor ruth@
@raspberry@|@avanen@
@rat@|@logosen vras@
@ravenous@|@dyvotterek@
@rawness@|@cryfter@
@reaction@|@faryans@
@readier@|@parüssa@
@realise@|@aswonvos@
@reality@|@gwyryoneth@
@realize@|@convedhes@
@reasons@|@skyla@
@rebirth@|@daskenesygeth@
@rebuyer@|@dasprenyas@
@receipt@|@fangyans@
@recently@|@degensow@
@reckless@|@dyswár@
@recluse@|@ancar@
@recorder@|@recorda@
@recovery@|@restoryta@
@rectangle@|@peswarcornek@
@rectory@|@pronterjy@
@recusant@|@negedhys@
@red@|@rudh, ruth, rüth@
@red wine@|@gwin rudh@
@reddish@|@rüdhyk@
@redeemer@|@dasprenyas@
@redress@|@ewnans@
@redwing@|@sevellak@
@reedbog@|@cors@
@referee@|@brüsyas@
@refined@|@fýn@
@refrain@|@penpusorn@
@refugee@|@fóesyk@
@refusal@|@nagh@
@refuser@|@negedhys@
@regiment@|@cáslu@
@register@|@record@
@registry@|@cóflyverva@
@regular@|@ewn@
@related@|@ünwós@
@relation@|@cothman@
@relative@|@tüs@
@reliance@|@kyfyans@
@reliant@|@fydhyansek@
@relieve@|@dyffres@
@religion@|@cryjyans@
@remedial@|@ylyek@
@reminder@|@cofhéans@
@remnant@|@soras@
@remorse@|@edrek@
@removal@|@remosyon@
@renewal@|@nowethhéans@
@replete@|@lün@
@report@|@derivas@
@reprieve@|@spás@
@reproach@|@kereth@
@reproof@|@repref@
@reptile@|@gorthfyl@
@republic@|@republyk@
@request@|@gorholeth@
@requital@|@dýal@
@research@|@studhyans@
@resemble@|@favera@
@reserve@|@omwytha@
@resident@|@tryger@
@residue@|@remenant@
@resolute@|@stowt@
@resource@|@devýs@
@respect@|@réouta@
@response@|@gorthyp@
@restaurant@|@boesti, bosty@
@retailer@|@gwycor@
@retainer@|@omajer@
@retinue@|@mény@
@retreat@|@kylden@
@reunion@|@dasünyans@
@reunite@|@dasünya@
@revelry@|@gólyans@
@revenge@|@dýal@
@revenue@|@rent@
@reverend@|@revrond@
@reversal@|@trebüchyans@
@reverse@|@gorthenep@
@revival@|@dasserghyans@
@rhetoric@|@retoryk@
@rhubarb@|@trenkles@
@ribaldry@|@racca@
@rice@|@rys@
@rich@|@rych@
@rickets@|@léghow@
@rickety@|@brottel@
@riddance@|@delyfrans@
@riddled@|@tellys@
@ridicule@|@scorn@
@rightful@|@gwýr@
@rigidity@|@serthter@
@rigorous@|@strayt@
@rioting@|@gustlans@
@ripeness@|@athvetter@
@rippled@|@crýgh@
@rivalry@|@kestrýf@
@river@|@avon, glann@
@rivers@|@avonyow@
@rivulet@|@gover@
@road@|@fordh, forth@
@roads@|@fordhow@
@roaring@|@whyflyn@
@robbery@|@ladrans@
@robin@|@rüdhak@
@rock@|@karrek@
@roebuck@|@yorgh@
@romance@|@aneth@
@roof@|@to@
@roofless@|@dydo@
@rooftree@|@nenbren@
@room@|@róm, stevell@
@rosehip@|@agrowsen@
@rostrum@|@arethva@
@rougher@|@garwa@
@royalty@|@réouta@
@rubbish@|@plosethes@
@ruffian@|@lothen@
@rug@|@strayl@
@ruggeder@|@garwa@
@ruler@|@lynenner@
@rumbling@|@gromyans@
@rupture@|@tor@
@ruthless@|@dydrüeth@
@sad@|@trist, truedhek@
@saddler@|@dybror@
@sadness@|@trystans@
@saffron@|@safron@
@sagacity@|@dóthter@
@sailor@|@marner@
@saintly@|@grassyes@
@saleable@|@hewerth@
@salesman@|@gwerther@
@salmon@|@éok@
@salt@|@holan@
@saltless@|@dyholan@
@saltmeat@|@kyksal@
@saltwater@|@gavar-mór@
@salvage@|@salvay@
@sanction@|@cümyas@
@sanctity@|@sansoleth@
@sand@|@tewas, tewes@
@sandal@|@sandal@
@sandhill@|@towan@
@sapless@|@cryn@
@sapling@|@glaswedhen@
@sapwood@|@gwynyn@
@saracen@|@sarsyn@
@satchel@|@jypser@
@satiety@|@gwalgh@
@Saturday@|@dé-Sadorn, Dy Sadorn@
@sauce@|@sows@
@saucer@|@scala@
@sausage@|@selsygen@
@sautour@|@psalter@
@savannah@|@cryndyr@
@savings@|@erbys@
@savior@|@sylwyas@
@savory@|@saworek@
@saw (tool)@|@hesken@
@scabbard@|@gón@
@scaffold@|@soler@
@scandal@|@bysmér@
@scarcely@|@scant@
@scarf@|@gudhugen@
@scarlet@|@cough@
@scarped@|@serth@
@scarred@|@trogh@
@scatter@|@kescar@
@scenario@|@golokva@
@scenery@|@golokva@
@scented@|@saworys@
@sceptic@|@dyscryjyk@
@sceptism@|@dyscryjyans@
@sceptre@|@gwelenryal@
@scholar@|@scoler@
@school@|@scól, skol@
@schools@|@skolyow@
@science@|@scýens@
@scissors@|@gweljow, gwelsow býghan@
@scolding@|@cosk@
@Scotland@|@Alban@
@Scottish@|@Albanek@
@scourge@|@scübylen@
@scraper@|@cravell@
@scratch@|@cravas@
@screech@|@üjüs@
@screwdriver@|@goror-screw@
@scruple@|@hokkyans@
@scrutiny@|@whythrans@
@scuffle@|@omdewlel@
@scullion@|@gwaskegyn@
@sculptor@|@gravyor@
@scumbag@|@harlotwas@
@sea@|@mor@
@seabord@|@mórrep@
@seagull@|@gülla@
@seahorse@|@mórvargh@
@seashore@|@tréth@
@seasick@|@mórglaf@
@seaside@|@mórrep, morryb@
@season@|@séson@
@seaweed@|@goumman@
@secrecy@|@keladow@
@secretary@|@scryvynyas@
@section@|@trogh@
@secular@|@lék@
@securely@|@dyogel@
@security@|@sawder@
@sediment@|@godhas@
@seducer@|@tullor@
@seedling@|@plansyk@
@seething@|@bryjyon@
@seizure@|@shora@
@selfish@|@crefny@
@selfless@|@dygrefny@
@seminary@|@scól@
@senator@|@senedhor@
@sensible@|@dóth@
@sentence@|@brüs@
@sentinel@|@golyer@
@separate@|@dyblans@
@September@|@Mis Gwynngala, mýs-Gwyngala@
@serenity@|@calmynsy@
@seven@|@seyth@
@seventeen@|@seytek@
@shady bush@|@skeuswydhenn@
@shawl@|@whytel@
@sheep@|@davas@
@shellfish@|@bós-tryg@
@ship@|@gorhel, gorhol@
@shirt@|@crýs, krys@
@shirts@|@krysyow@
@shoe@|@eskis, eskys, eskys@
@shoes@|@eskisyow@
@shop@|@gwerthji, gwythjy@
@shorts@|@lavrek berr@
@shoulder@|@scóth@
@shovel@|@pál@
@shower@|@cwas@
@shrimp@|@býbyn-búbyn@
@shrub@|@prysken@
@sink@|@sedhy@
@sister@|@whór@
@sister-in-law@|@whór dré lagha@
@six@|@whégh@
@sixteen@|@whetek@
@sixty@|@trýügans@
@skin@|@croghen@
@skirt@|@heves, losten@
@sky@|@ebren@
@snake@|@gorthfyl@
@soap@|@seban@
@sock@|@pawgen@
@sofa@|@growethva@
@son@|@máp@
@song@|@cán@
@son-in-law@|@düf@
@soprano@|@trebyl@
@sparrow@|@golvan@
@spice@|@spýsa@
@spider@|@kefnysen@
@spinach@|@spynach@
@spoon@|@lo@
@spring@|@gwaynten@
@square@|@pedrak@
@stag@|@carow@
@star@|@steren@
@starfish@|@pymp-býs@
@station@|@gorsaf@
@steak@|@golyth bowyn@
@stocking@|@loder@
@stockings@|@lodrigow@
@stomach@|@cowl@
@strawberries@|@syvy@
@strawberry@|@syvyen@
@street@|@strét@
@student@|@studhyer@
@substance@|@substans@
@subway@|@keyforth@
@sugar@|@sugra@
@suit@|@desedha@
@summer@|@háf@
@sun@|@howl@
@Sunday@|@dé-Sül@
@sunrise@|@howldrehevel@
@sunset@|@howlsedhas@
@suzerain@|@gwarthevyas@
@sweeper@|@scüber@
@sweet corn@|@ys wheg@
@sweeter@|@whecca@
@sweetish@|@melys@
@swelling@|@whethfyans@
@swiftly@|@snell@
@swimmer@|@nyjer@
@swindle@|@fayntys@
@swindler@|@faytour@
@syllabic@|@syllabenek@
@syllable@|@geren@
@symbolic@|@arwedhek@
@symmetry@|@kemusür@
@sympathy@|@kescodhevyans, tregereth@
@symphony@|@kessenyans@
@symptom@|@tókyn@
@synagogue@|@synaga@
@synonym@|@leshanow@
@table@|@bord, mos@
@tablecloth@|@lýen mós@
@taciturn@|@tawesek@
@tacking@|@craf@
@tactful@|@dóth@
@tadpole@|@pendu@
@talk@|@kewsel@
@tall@|@hir@
@tameness@|@doveth@
@tankard@|@crüskyn@
@tapestry@|@strayl@
@tart@|@tart@
@tattered@|@fregys@
@tattler@|@whethlor@
@tavern@|@diwotti, tavern@
@taxation@|@tollans@
@taxi@|@tollgar@
@tea@|@té@
@tea kettle@|@chek-té@
@teacher@|@dyscajor@
@teaching@|@dyscas@
@teapot@|@tebot@
@tearful@|@dagrowek@
@teddybear@|@tedy-ors@
@tedious@|@hýr@
@telegram@|@pellscryven@
@telephone@|@pellgowser@
@television@|@pellwolok@
@temerity@|@bólder@
@tempest@|@enawel@
@template@|@scantlyn@
@ten@|@dék@
@tenancy@|@gobrenans@
@tendency@|@stüm@
@tenfold@|@dékplék@
@tennis@|@tennys@
@tension@|@tynder@
@tent@|@tylda@
@tenth@|@dégves@
@tenuous@|@gwan@
@terminus@|@penhens@
@terrace@|@terras@
@terrible@|@üthek@
@terrier@|@dorgy@
@testicles@|@kell@
@texture@|@gwýas@
@thank you@|@meur ras@
@the@|@an@
@the farmer@|@an diogyon@
@the girl@|@an vowes@
@the people@|@an bobel@
@the website@|@an wiasva@
@theater@|@gwaryva, plén-an-gwary@
@theatre@|@gwariva@
@thereby@|@dredhy@
@therein@|@ynno@
@thereof@|@anodho@
@thereon@|@warnodho@
@they do@|@i a wra@
@thickset@|@pryskel@
@thimble@|@bysken@
@thinness@|@tanowder@
@thirteen@|@tredhek@
@thirtieth@|@degveswarnügans@
@thirty@|@dék ha tryügans@
@thistle@|@ascallen, eythynen@
@thistly@|@ascallek@
@thorn@|@drénnen@
@thorough@|@dýen@
@thought@|@tybys@
@thread@|@nujyen@
@three@|@trý@
@thresher@|@drushyer@
@thrifty@|@sowyn@
@thriving@|@sowyn@
@throat@|@lonk@
@throttle@|@taga@
@through@|@dré@
@thumb@|@býs brás@
@thunder@|@taran@
@Thursday@|@dé-Yow, Dy Yow@
@tide@|@lanwes mór@
@tightly@|@fast@
@time@|@prýs@
@timely@|@a-brys@
@tin@|@sten@
@tiny@|@munys@
@tiresome@|@dyflas@
@titmouse@|@penglow@
@to abdicate@|@dascor@
@to abolish@|@dyl a@
@to absolve@|@assoylya@
@to abstain@|@sparya@
@to account@|@settya@
@to accredit@|@kemmynna@
@to achieve@|@fynsya@
@to acquaint@|@omaswonvos@
@to acquire@|@fangya@
@to add@|@keworra@
@to address@|@kewsel@
@to admonish@|@kesky@
@to advocate@|@pledya@
@to affront@|@arveth@
@to aggrieve@|@grevya@
@to agree@|@assentya@
@to allow@|@gasa@
@to analyse@|@dygmeysky@
@to analyze@|@dygemysky@
@to annotate@|@avysya@
@to announce@|@n tya@
@to answer@|@gortheby@
@to applaud@|@gormel@
@to appoint@|@dýghtya@
@to approach@|@néshé@
@to approve@|@commendya@
@to archive@|@cofscryfvah, cofscryfvahé@
@to arrange@|@araya@
@to ascribe@|@ascryfa@
@to aspirate@|@anella@
@to assenble@|@cuntell@
@to assuage@|@sewbjya@
@to astonish@|@sawthanas@
@to astound@|@sawthanas@
@to attempt@|@assaya@
@to bake@|@pobas@
@to balance@|@omhorth@
@to bandage@|@maylya@
@to baptize@|@byjydhya, bysydhya@
@to bargain@|@bargenya@
@to bathe@|@badhya@
@to be@|@bós@
@to be alive@|@bywa@
@to beguile@|@tulla@
@to bejewel@|@tegenh@
@to belabour@|@stewanny@
@to believe@|@crysy@
@to bequeath@|@kemmynna@
@to bereave@|@omdhevasy@
@to beseech@|@conjorya@
@to besiege@|@omsettya@
@to besmirch@|@plosegy@
@to bespeak@|@ordena@
@to betroth@|@demedhy@
@to bewilder@|@sawthanas@
@to bewitch@|@pystrýa@
@to bicycle@|@deurosa@
@to blacken@|@duh@
@to blemish@|@deffola@
@to blossom@|@blejyowa@
@to bluster@|@bragya@
@to boil@|@bryjyon@
@to bolster@|@crefhé@
@to brandish@|@swaysya@
@to breathe@|@anella, whetha@
@to build@|@byldya@
@to burnish@|@burnsya@
@to buy@|@prena@
@to call@|@gelwel@
@to censure@|@blamya@
@to certify@|@desta@
@to charter@|@chartourh@
@to chastise@|@keredhy@
@to chatter@|@cryghylly@
@to cherish@|@chersya@
@to christen@|@crystyonhé@
@to chucke@|@wherthyn@
@to clamber@|@crambla@
@to clarify@|@splanhé@
@to classify@|@classya@
@to clatter@|@clattra@
@to clean@|@glan@
@to cleanse@|@scúrya@
@to climb@|@crambla@
@to cocnduct@|@gonvernya@
@to cohabit@|@kesvewa@
@to collapse@|@fyllel@
@to collate@|@kescorra@
@to collect@|@cuntell@
@to collide@|@omdheghesy@
@to colonize@|@colonýsa@
@to comb@|@crýba@
@to comfort@|@confortya@
@to command@|@gorhemmyn@
@to commence@|@dalleth@
@to commend@|@kemmynna@
@to comment@|@campolla@
@to compare@|@comparya, kevelvalhé@
@to compile@|@cuntell@
@to complain@|@crothvolas@
@to compose@|@gwrüthyl@
@to compress@|@strotha@
@to comprise@|@comprehendya@
@to compute@|@amontya@
@to conceal@|@cüdha@
@to concede@|@amyttya@
@to conceive@|@concevya@
@to concoct@|@trotha@
@to condole@|@kescalary@
@to conduct@|@gedya@
@to confess@|@avowa@
@to confide@|@fydhya@
@to confine@|@strotha@
@to confirm@|@afydhya@
@to conform@|@kesomformya@
@to confound@|@confundya@
@to confront@|@apposya@
@to confuse@|@amaya@
@to confute@|@convyctya@
@to conjure@|@conjorya@
@to connect@|@junnya@
@to conquer@|@conquerrya@
@to consent@|@assentya@
@to conserve@|@gwytha@
@to consider@|@synsy@
@to consign@|@kemmynna@
@to consist@|@synsy@
@to console@|@confortya@
@to consort@|@cowethya@
@to conspire@|@brasy@
@to consume@|@consúmya, lesky@
@to contact@|@tava@
@to contain@|@contaynya, synsy@
@to contend@|@stryvya@
@to content@|@contentya@
@to continue@|@pésya@
@to contort@|@omgamma@
@to contract@|@omdenna@
@to contrast@|@contrastya@
@to contrive@|@framya@
@to control@|@rowtya@
@to convene@|@cuntell@
@to converse@|@keskewsel@
@to convict@|@convyctya@
@to convince@|@dyogelh, dyogelhé@
@to convulse@|@omgamma@
@to cook@|@parüsy@
@to copy@|@dasscryfa@
@to correct@|@ewna@
@to corrode@|@cusca@
@to count@|@comptya@
@to counter@|@gortheby@
@to crumble@|@browsy@
@to curtail@|@berh, berhé@
@to dance@|@donsya@
@to deceive@|@tulla@
@to declaim@|@arethya@
@to decline@|@dyeskynna, dyfygyans@
@to decorate@|@tacla@
@to decrease@|@slakya@
@to dedicate@|@sacra@
@to defecate@|@caca@
@to defraud@|@dyssaytya@
@to deliver@|@delyfra@
@to deplete@|@gwakh@
@to deplore@|@mornya@
@to deposit@|@gorra@
@to depress@|@yselhé@
@to deprive@|@dyvotterh@
@to derange@|@várýa@
@to descend@|@dyeskynna@
@to describe@|@descrýfa@
@to deserve@|@dyndyl@
@to despair@|@dyspérya@
@to despatch@|@gorra@
@to destroy@|@dystrewy@
@to dethrone@|@dydrónhé@
@to detonate@|@tarenna@
@to detract@|@remüvya@
@to deviate@|@gwýa@
@to dictate@|@dyctatya@
@to diminish@|@lehé, tanowhé@
@to disable@|@evredhy@
@to disagree@|@stryvya@
@to disavow@|@nagha@
@to disburse@|@pé@
@to disclaim@|@nagha@
@to discount@|@dyscontya@
@to discover@|@dyskevera@
@to discuss@|@kywhethla@
@to disdain@|@dysdaynya@
@to disguise@|@sotla@
@to disgust@|@dyflasa@
@to disinter@|@dysencledhyes@
@to disjoin@|@dygevelsy@
@to disjoint@|@dygevelsy@
@to dislike@|@casa@
@to dismiss@|@pellhé@
@to dismount@|@dyeskynna@
@to disobey@|@dysobaya@
@to dispatch@|@danvon@
@to disperse@|@dyberth@
@to displace@|@dyléa@
@to display@|@dysplétya@
@to dispute@|@argya@
@to dissect@|@dyvynya@
@to dissolve@|@tedha@
@to distend@|@dystenna@
@to distill@|@devera@
@to distort@|@stümma@
@to distract@|@amaya@
@to distrust@|@mystrestya@
@to disturb@|@tropla@
@to disunite@|@dygelmy@
@to diverge@|@dyberth@
@to divide@|@dyberth@
@to divorce@|@dydhemedhy@
@to do@|@gül@
@to dominate@|@gwarthevya@
@to draw@|@delynya@
@to dream@|@hünrosa@
@to dress@|@gwiska@
@to drink@|@eva@
@to drive@|@dryvya, dyvya@
@to earn@|@dyndyl, dyndyl@
@to eat@|@dybri, dybry@
@to educate@|@dysky@
@to elevate@|@exaltya@
@to embitter@|@wherowh@
@to embolden@|@colonnekh@
@to emigrate@|@dyvroa@
@to employ@|@arfeth@
@to emulate@|@heveleby@
@to encroach@|@omherdhya@
@to encumber@|@ancombra@
@to endanger@|@peryllya@
@to endorse@|@keynscryfa@
@to engorge@|@lenky@
@to engrave@|@gravya@
@to enjoy@|@omlowenhe@
@to enquire@|@govyn@
@to ensnare@|@bagha@
@to entangle@|@magly@
@to entreat@|@pysy@
@to entrust@|@comendya@
@to entwine@|@platya@
@to envelop@|@maylya@
@to envisage@|@gwelesh@
@to espouse@|@demedhy@
@to estimate@|@amontya@
@to evacuate@|@scumbla@
@to evaluate@|@mantolly@
@to examine@|@examnya@
@to exchange@|@changjya@
@to exclaim@|@garma@
@to exercise@|@lafürya@
@to explode@|@tardha@
@to explore@|@whythra@
@to expound@|@ygery@
@to express@|@deryvas@
@to extract@|@tenna@
@to feel@|@tava@
@to festoon@|@tacla@
@to find@|@kavoes@
@to fish@|@pyskessa@
@to fold@|@plegya@
@to freeze@|@rewy@
@to fry@|@frýa@
@to generate@|@denythy@
@to give@|@rý@
@to glisten@|@terlentry@
@to glitter@|@terlentry@
@to go@|@mós@
@to grapple@|@grabalyas@
@to grow@|@tevy@
@to happen@|@wharfos@
@to hate@|@hatya, kasa@
@to have@|@cafos@
@to heal@|@sawya@
@to hear@|@clewes@
@to help@|@gweres@
@to hunt@|@chassya@
@to impeach@|@cuhüdha@
@to implant@|@plontya@
@to implore@|@conjorya@
@to impress@|@ympryntya@
@to imprison@|@prysnerya@
@to improve@|@amendya, gwellhé@
@to incline@|@ynclynya@
@to include@|@comprehendya@
@to increase@|@encressya@
@to incubate@|@covýa@
@to indicate@|@kevarwedha@
@to indulge@|@omrý@
@to inflame@|@scaldya@
@to inflate@|@whetha@
@to inflict@|@ankenya@
@to infringe@|@deffola@
@to inhabit@|@annedhy@
@to inquire@|@govyn@
@to inscribe@|@scryfa@
@to install@|@fyttya@
@to instruct@|@erghy@
@to interest@|@hüda@
@to intrude@|@omherdhya@
@to involve@|@magly@
@to isolate@|@dyberth@
@to jog@|@trettya@
@to jump@|@lamma@
@to justify@|@avowa@
@to know@|@gothvos@
@to lacerate@|@squardya@
@to learn@|@dysky@
@to lengthen@|@hyrhé@
@to liberate@|@lyfrya@
@to lie down@|@growedha@
@to lighten@|@scafhé@
@to like@|@cara@
@to listen to@|@goslowes orth@
@to live@|@bewa@
@to lose@|@kelly@
@to magnify@|@moghhé, murhé@
@to maintain@|@mentena@
@to maltreat@|@drókhandla@
@to massacre@|@moldra@
@to maximize@|@moghahé@
@to meet@|@metya orth@
@to mention@|@kywhethla@
@to mix@|@kemysky@
@to mollify@|@medhelhé@
@to multiply@|@encressya@
@to mutilate@|@dyfasya@
@to narrate@|@leverel@
@to navigate@|@lewyas@
@to neglect@|@dysprésya@
@to nominate@|@appoyntya@
@to nourish@|@maga@
@to nullify@|@dyswül@
@to obscure@|@tewlhé@
@to observe@|@aspýa@
@to obstruct@|@lettya@
@to offer@|@profya@
@to operate@|@obery@
@to oppress@|@béghya@
@to optimize@|@dewethekhé@
@to organise@|@kempenna@
@to ornament@|@tekhé@
@to outgrow@|@gordevy@
@to outlive@|@gorvewa@
@to outpour@|@dyscarga@
@to outrage@|@deffola@
@to outweigh@|@gorpósa@
@to overcome@|@fetha@
@to overcook@|@gorbarüsy@
@to overeat@|@quoffy@
@to overfill@|@gorlenwel@
@to overgrow@|@gordevy@
@to overhang@|@gorgregy@
@to overheat@|@gordomma@
@to overload@|@béghya@
@to overlook@|@gorvyras@
@to override@|@gorerghy@
@to overrule@|@maystry@
@to overrun@|@gorresek@
@to overset@|@domhel@
@to overtake@|@cachya@
@to overwork@|@gorlafürya@
@to paralyse@|@paljya@
@to partake@|@kevranna@
@to perform@|@güthyl@
@to permeate@|@gwana@
@to perplex@|@amaya@
@to persist@|@perthy@
@to persuade@|@drý, dynya@
@to pervade@|@súba@
@to photograph@|@fotografya@
@to plan@|@devýsya@
@to play@|@gwary@
@to populate@|@pobla@
@to portray@|@portraya@
@to possess@|@perghenna@
@to practise@|@assaya@
@to precede@|@blýnya@
@to predict@|@dargana@
@to prepare@|@darbary, parüsy@
@to present@|@presentya@
@to preserve@|@kyfythya@
@to preside@|@caderya@
@to presume@|@bedha@
@to prevail@|@dynya@
@to proceed@|@kerdhes@
@to proclaim@|@avowa@
@to procure@|@provýa@
@to produce@|@denythy@
@to profess@|@omwül@
@to proffer@|@profya@
@to progress@|@spédya@
@to prohibit@|@defendya@
@to prolong@|@hýrhé@
@to promise@|@ambosa@
@to promote@|@avonsya@
@to prophesy@|@profüsa@
@to prosper@|@sowyny@
@to publish@|@dyllo@
@to purchase@|@prena@
@to purport@|@styrya@
@to putrefy@|@pedry@
@to quarrel@|@kedrynya@
@to quarter@|@quartrona@
@to question@|@apposya@
@to quicken@|@bewhé@
@to rain@|@gül glaw@
@to read@|@rédya@
@to reappear@|@dewheles@
@to rebound@|@daslemmel@
@to rebuild@|@dastrehevel@
@to receive@|@receva@
@to recline@|@growedha@
@to recount@|@derývas@
@to recover@|@yaghhé@
@to recreate@|@dasformya@
@to rectify@|@ewna@
@to recycle@|@daskelghy@
@to redirect@|@daskervawedha@
@to redouble@|@deublegya@
@to reflect@|@dastewynya@
@to refrain@|@sparya@
@to refresh@|@éshè@
@to register@|@cófscrfya@
@to regulate@|@rewlya@
@to rehearse@|@assaya, omassaya@
@to reject@|@skoellya@
@to rejoice@|@rejoycya@
@to relate@|@leverel@
@to release@|@delyfrya@
@to remember@|@cofhé@
@to renounce@|@nagha@
@to renovate@|@nowedhy@
@to rent@|@rentya@
@to repair@|@ewna@
@to replace@|@gorthry@
@to repress@|@compressa@
@to reprint@|@daspryntya@
@to reproach@|@sclandra@
@to reprove@|@rebükya@
@to request@|@requyrya@
@to require@|@requyrya@
@to requite@|@aquytya@
@to resemble@|@hevelly@
@to resolve@|@ervyra@
@to resonate@|@dasseny@
@to respect@|@enora@
@to respire@|@anella@
@to respond@|@gortheby@
@to restore@|@dasformya@
@to restrain@|@frona@
@to restrict@|@strotha@
@to retrace@|@dassewya@
@to retract@|@denagha@
@to retreat@|@kyldenna@
@to retrieve@|@dascafos@
@to revenge@|@venjya@
@to reverse@|@trebüchya@
@to rewrite@|@dasscryfa@
@to roughen@|@garowhé@
@to rummage@|@whylas@
@to run@|@poenya, resek@
@to sail@|@mora@
@to sanctify@|@sona@
@to satirize@|@scornya@
@to satisfy@|@kewera@
@to saturate@|@súba@
@to scourge@|@scorjya@
@to scramble@|@crambla@
@to scratch@|@scravynyas@
@to screech@|@üsa@
@to scribble@|@gwanscryfa@
@to see@|@gweles@
@to send@|@dannvon@
@to sentence@|@jujjya@
@to shave@|@dyvarva@
@to shower@|@cafos cowas@
@to sing@|@cana@
@to sit@|@esedha@
@to sleep@|@cuska@
@to smile@|@wherthyn@
@to snow@|@gül érgh@
@to stand@|@sevel@
@to stay@|@tryga@
@to study@|@studhya@
@to subtract@|@kemeres dywo-rth@
@to swaddle@|@maylya@
@to swather@|@mayla@
@to sweep@|@scüba@
@to sweeten@|@whékhé@
@to swim@|@nyja@
@to swindle@|@fükya@
@to talk@|@cows@
@to tarnish@|@tarnsya@
@to taste@|@blasa@
@to telephone@|@pellgows@
@to televise@|@pellvyras@
@to tell@|@leverel@
@to terrify@|@braweghy@
@to testify@|@dustunýa@
@to thicken@|@tewhé@
@to threaten@|@degensewa@
@to tie@|@kelmy@
@to travel@|@vyaja@
@to try@|@assaya@
@to use@|@úsya@
@to visit@|@mós dhe vyras@
@to walk@|@kerdhes@
@to want@|@mynnes@
@to wash oneself@|@omwolghy@
@to wash up@|@badhya@
@to watch@|@myras orth@
@to wear@|@gwysca@
@to win@|@gwaynya@
@to work@|@gonys@
@to write@|@scryfa@
@toad@|@cronek@
@toast@|@crasen, krasenn@
@toasted@|@cras@
@tobacco@|@bacca@
@today@|@hedhyu@
@toe@|@býs trós@
@toffee@|@clyjjy, gorfen-prýs@
@together@|@warbarth@
@toilet@|@pysva@
@tolerant@|@perthyansek@
@tomato@|@aval kerensa, avall kerensa@
@tomorrow@|@avorow@
@tongue@|@tavas@
@tool@|@toulen@
@tooth@|@dans@
@toothbrush@|@scüber dyns, scubylen dens@
@toothpaste@|@glus-dyns@
@towel@|@twal@
@town@|@tre@
@towns@|@trevow@
@toy@|@tegen@
@train@|@trén@
@traitor@|@traytour@
@tranquil@|@hebask@
@tree@|@gwedhen, gwydhenn@
@trees@|@gwydh@
@triangle@|@trýelyn@
@trousers@|@lavrek@
@truck@|@trok@
@Tuesday@|@dé-Mérth@
@tulip@|@tulyfant@
@turnip@|@turnypen@
@turtle@|@cronek-ervyz mór@
@twelfth@|@deuheges@
@twelve@|@deudhek@
@twentieth@|@ügansves@
@twenty@|@ügans@
@twice@|@dywwyth@
@two@|@deu@
@typewriter@|@jyn-scryfa@
@tyrant@|@týront@
@umbrella@|@glawlen@
@uncle@|@ewnter@
@underwear@|@dillas nessa, dyllas nessa@
@vacuum@|@gwakter@
@valley@|@nans@
@veal@|@kýk-lugh@
@vegetable@|@losowen-dybry@
@venison@|@kýk-ewyk@
@vest@|@ys-pows@
@vineyard@|@gwýnlan@
@viola@|@harfel@
@violin@|@fyl@
@voice@|@lev@
@volcano@|@loskyveneth@
@waiter@|@tendyer@
@waitress@|@maghteth@
@Wales@|@Kembra@
@walk@|@kerdh@
@wall@|@fos@
@wallet@|@tygen@
@walnut@|@knofen-frynk@
@war@|@on@
@wasp@|@guhyen, gúhýen@
@wasps@|@guhy@
@waste@|@atal@
@water@|@dowr@
@waterfall@|@dowrlam@
@we do@|@ni a wra@
@website@|@gwiasva@
@Wednesday@|@dé-Mergher, Dy Mergher@
@week@|@seythen@
@Welsh@|@Kembrek@
@wet@|@glyb@
