@English@|@Greek@
@man at arms@|@αρματολός@
@man in the street@|@ο μέσος άνθρωπος@
@man of his word@|@μπεσαλής@
@man/piece@|@πούλι@
@manacles@|@χειροπέδες@
@manage@|@αντεπεξέρχομαι, διευθύνω, καταφέρνω@
@manageable@|@εύκολος, εύχρηστος@
@management@|@διοίκηση@
@manager@|@διευθυντής@
@managerial@|@διαχεριστικός, διευθυντικός@
@mandarin@|@μανδαρινόπαπια, μανταρίνι@
@mandate@|@εντολή@
@mandatory@|@επιτακτικός@
@mandolin@|@μαντολίνο@
@mane@|@χαίτη@
@mange@|@ψώρα@
@manger@|@φάτνη@
@mangey@|@ψωριασμένος@
@mango@|@μάγκο@
@mango chutney@|@τσάτνυ@
@manic@|@μανιακός@
@manifestation@|@εκδήλωση@
@manifesto@|@μανιφέστο@
@manifold@|@πολλαπλός@
@manipulate@|@χειρίζoμαι@
@manipulation@|@χειρισμός, χρήση@
@manna@|@μάννα@
@mannequin@|@μανεκέν@
@manner@|@τρόπος@
@mannerism@|@ιδιομορφία, ιδιορρυθμία@
@manoeuvrablity@|@ικανότητα ελιγμών@
@manoeuvre@|@ελιγμός, κάνω ελιγμούς@
@manpower@|@ανθρωποδύναμη@
@mansard roof@|@κεκλασμένη στέγη@
@mansion@|@μέγαρο@
@manslaughter@|@φόνος εξ αμελείας@
@mantelpiece@|@πρέκι τζακιού@
@mantle@|@μανδύας@
@manual@|@εγχειρίδιο, λειτουργικό βιβλίο, με ταχύτητες@
@manual labour@|@χειρονακτική εργασία@
@manufacture@|@κατασκευάζω@
@manufactured@|@κατασκευασμένος@
@manufacturer@|@κατασκευαστής@
@manumission@|@απελευθέρωση@
@manumit@|@απελευθερώνω@
@manure@|@καβαλλίνα, κοπριά@
@Manx shearwater@|@μύχος@
@many@|@πολλοί@
@many a@|@πολλοί@
@many a quarrel@|@πολλοί καυγάδες@
@many different scenarios are being aired@|@σενάρια δίνουν και παίρνουν@
@many happy returns@|@χρόνια πολλά@
@map@|@χάρτης, χαρτογραφώ@
@maple@|@σφένδαμος@
@mar@|@βλάπτω@
@marathon@|@μαραθώνιος@
@marble@|@μαρμάρινος, μάρμαρο@
@marbled teal@|@στικτόπαπια@
@march@|@βαδίζω@
@March@|@Μάρτιος@
@march (music)@|@εμβατήριο@
@march out@|@βγάζω έξω, παρελαύνω@
@marchese@|@μαρκήσιος@
@marchioness@|@μαρκησία@
@mare@|@φοράδα@
@margarine@|@μαργαρίνη@
@margin@|@περιθώριο, τράτο@
@marginal@|@οριακός, περιθωριακός@
@marginal probability@|@οριακή πιθανότητα@
@marginally@|@οριακά@
@marigold@|@νυχτολούλουδο@
@marina@|@μαρίνα@
@marinade@|@μαρινάτα@
@marinate@|@μαρινάρω@
@marine@|@θαλάσσιος, πεζοναύτης@
@marionette@|@νευρόσπαστο@
@marital@|@σχετικά με τον γάμο@
@maritime@|@ναυτικός@
@maritime law@|@ναυτικό δίκαιο@
@mark@|@βαθμός, σημαίνω, σημειώνω@
@markdown@|@έκπτωση@
@markedly@|@έντονα, ξεκάθαρα, σαφώς@
@marker@|@σημάδι@
@market@|@αγορά@
@market price@|@αγοραία τιμή@
@market research@|@έρευνα αγοράς@
@market share@|@μερίδιο αγοράς@
@market value@|@αγοραστική αξία@
@marketing@|@μάρκετινγκ@
@marketing strategy@|@στρατηγική του μάρκετινγκ@
@marks@|@βαθμοί@
@mark-up@|@αύξηση τιμής@
@marquis@|@μαρκήσιος@
@marriage@|@γάμος@
@marriage licence@|@άδεια γάμου@
@married@|@παντρεμένη, παντρεμένος@
@married to@|@παντρεμένος με@
@marrow@|@μυελός@
@marry below oneself@|@παντρεύομαι τον παρακατιανό@
@marry off@|@παντρεύω@
@mars@|@Άρης@
@marsh@|@βάλτος, έλος, μαζεύω@
@marsh dwelling@|@ελόβιος@
@marsh harrier@|@καλαμοκίρκος@
@marsh sandpiper@|@νανοπρασινοσκέλης@
@marshal@|@επιστρατεύω, στρατάρχης, συγκεντρώνω@
@marshy@|@ελώδης@
@marsupial@|@μαρσιποφόρο@
@martial@|@πολεμικός@
@Martian@|@Αρειανός, ρειανός@
@martyr@|@μάρτυρας@
@martyrdom@|@μαρτύριο@
@marvel at@|@θαυμάζω@
@marvellous@|@θαυμάσιος@
@marvellously@|@θαυμαστά@
@mashed potatoes@|@πατάτες πουρέ@
@mask@|@μάσκα, προσωπείο@
@masked diabetes@|@λανθάνων διαβήτης@
@masked shrike@|@παρδαλοκεφαλάς@
@mass@|@θεία λειτουργία, μάζα, μαζικός@
@mass immunisation@|@μαζική ανοσοποίηση@
@mass media@|@μέσα μαζικής επικοινωνίας@
@mass production@|@μαζική παραγωγή@
@massacre@|@μακελειό, σφαγή@
@massage@|@μασάζ@
@massed@|@μαζικός@
@massive@|@ογκώδης, τεράστιος@
@mass-produced@|@μαζικής παραγωγής@
@mast@|@ιστός, κατάρτι@
@master@|@αφέντης, δεξιοτέχνης, διαφεντεύω, κύριος, κύριοςκυριαρχώ, μετρ@
@master key@|@αντικλείδι@
@mastermind@|@ιθύνων νους, οργανώνω@
@masterpiece@|@αριστούργημα@
@mastery@|@απόλυτος έλεγχος@
@mastiff@|@μολοσσός@
@mastitis@|@μαστίτιδα@
@mastoid process@|@μαστοειδής απόφυση@
@masturbation@|@αυνανισμός@
@mat@|@χαλάκι@
@matador@|@ταυρομάχος@
@match@|@αγώνας, σπίρτο, συνταιριάζω, ταιριάζω@
@match making@|@παντρολόγημα@
@mate@|@ζευγαρώνω, ταίρι, ύπαρχος, φιλαράκος@
@material@|@ύλη, υλικός, ύφασμα@
@materialisation@|@υλοποίηση@
@materialise@|@υλοποιούμαι@
@materialism@|@υλισμός@
@materialistic@|@υλιστικός@
@materials@|@υλικά@
@maternal@|@μητρικός@
@maternity@|@μητρότητα@
@maternity hospital@|@μαιευτήριο@
@maternity ward@|@μαιευτήριο@
@mathematician@|@μαθηματικός@
@maths@|@μαθηματικά@
@matinée@|@απογεματινή παράσταση@
@mating@|@ζευγάρωμα@
@matrimony@|@παντρειά@
@matrix@|@μεσοκυττάριος ουσία ιστού@
@matron@|@προϊσταμένη@
@matter@|@θέμα, νοιάζομαι, ουσία, ύλη, υπόθεση@
@mattress@|@στρώμα@
@mature@|@μεστός, μεστώνω, ωριμάζω, ώριμος@
@mature bills@|@ληξιπρόθεσμα γραμμάτια@
@maturity@|@ωριμότητα@
@maudlin@|@καλψίαρης, κλαψίαρης, μεμψίμοιρος@
@mausoleum@|@μαυσωλείο@
@maxim@|@γνωμικό@
@maximise@|@μεγιστοποιώ@
@may@|@είθε, μπορώ@
@May@|@Μάης@
@May Day@|@Πρωτομαγιά@
@mayday@|@σήμα κινδύνου@
@mayhem@|@καταστροφή@
@mayor@|@δήμαρχος@
@maze@|@λαβύρινθος@
@me@|@εμένα, με, μου@
@mead@|@υδρομέλι@
@meadow@|@λιβάδι@
@meadows@|@λιβάδια@
@meager@|@πενιχρός, φτώχικος@
@meagre@|@λιγοστός, πενιχρός@
@meal@|@γεύμα, μπλιγούρι@
@mealy-mouthed@|@ανειλικρινής@
@mean@|@εννοώ, παραδόπιστος, σημαίνω, τσιγγούνης, τσιγκούνης@
@mean by@|@εννοώ με@
@mean looking@|@που φαίνεται άγριος, που φαίνεται κακός@
@meander@|@ελίσσομαι, περιπλανώμαι@
@meaning@|@έννοια, σημασία@
@meaningless@|@χωρίς νόημα@
@means@|@μέσο, μέσον@
@means of transport@|@μεταφορικό μέσο@
@means to an end@|@μέσο να πετύχω ένα στόχο@
@meanwhile@|@εν τω μεταξύ@
@measles@|@ιλαρά, μπέμπελη@
@measure@|@μέτρο, μετρώ@
@measurement@|@καταμέτρηση, μέτρηση@
@measurement of surface area@|@εμβαδομέτρηση@
@measures@|@μέτρα@
@meat@|@κρέας, σάρκα@
@meatball@|@κεφτές@
@mechanic@|@μηχανικός@
@mechanical engineering@|@μηχανολογία@
@mechanics@|@μηχανολογία@
@mechanisation@|@μηχανοποίηση@
@mechanism@|@μηχανισμός@
@medal@|@μετάλλιο, παράσημο@
@medal of merit@|@αριστείο@
@media@|@μέσα ενημέρωσης, μέσα μαζικής ενημέρωσης@
@medial rectus@|@ο έσω ορθός του οφθαλμού@
@medical@|@ιατρικός@
@medical equipment@|@ιατρικός εξοπλισμός@
@medical record@|@ιατρικό ιστορικό@
@medical science@|@ιατρική επιστήμη@
@medical student@|@φοιτητής ιατρικής@
@medication@|@φαρμακευτική αγωγή@
@medicine@|@ιατρική, φάρμακο@
@medieval@|@μεσαιωνικός@
@mediocre@|@μέτριος, μέτριος@
@mediocrity@|@μετριότητα@
@Mediteranean@|@Μεσόγειος@
@mediterranean gull@|@σκυλοκούταβας@
@mediterranean moray@|@σμέρνα@
@medium@|@μεσαίος, μέσον, μέτριος@
@medlar@|@μούσμουλο@
@medlar tree@|@μουσμουλιά@
@meek@|@άτολμος, πειθήνιος, πράος@
@meet@|@συναντώ@
@meet someone's demands@|@ικανοποιώ τα αιτήματα@
@meet standards@|@πληρώ τις προδιαγραφές@
@meet with@|@συναντώ με@
@meeting@|@αναμέτρηση@
@melancholy@|@κατήφεια, μελανχολία@
@meldweed@|@βρωμόχορτο@
@mêlée@|@συμπλοκή@
@mellifluous@|@ηδύφωνος@
@melodic@|@μελωδικός@
@melodrama@|@μελόδραμα@
@melon@|@πεπόνι@
@melt@|@λιώνω@
@melt away@|@εξαφανίζομαι@
@member@|@μέλος, στέλεχος@
@member of parliament@|@βουλευτής@
@members@|@μέλη@
@memento@|@αναμνηστικό, ενθύμιο@
@memo@|@σημείωμα, υπομήνημα, υπομήνυμα@
@memoirs@|@απομνημονεύματα@
@memorabilia@|@αξιομνημόνευτα πράγματα@
@memorable@|@αλησμόνητος, αξέχαστος, αξιομνημόνευτος@
@memorandum@|@υπομήνυμα@
@memorial@|@μνημείο, μνημόσυνο@
@memories@|@αναμνήσεις@
@memorize@|@απομνημονεύω@
@memory@|@ανάμνηση, μνήμη@
@men@|@άνδρες@
@men at work@|@οδικά έργα@
@menacing@|@απειλητικός@
@menagerie@|@θηριοτροφείο@
@mend@|@επισκευάζω@
@meningitis@|@μηνιγγίτιδα@
@menopause@|@εμμηνοπαύση@
@men's magazine@|@ανδρικό περιοδικό@
@menstruation@|@εμμηνόρροια@
@mental@|@πνευματικός, ψυχικός@
@mental disorder@|@ψυχική πάθηση@
@mental home@|@νοσοκομείο γιά ψυχασθενείς@
@mentality@|@νοοτροπία, ψυχοσύνθεση@
@mentally@|@πνευματικά, ψυχικά@
@mention@|@αναφέρω, αναφορά@
@mention to@|@αναφέρω σε@
@menu@|@τιμοκατάλογος@
@mercenary@|@μισθοφορικός, μισθοφόρος@
@merchandise@|@εμπορεύματα, πραμάτεια@
@merchant@|@έμπορας@
@merchant seaman@|@ναύτης του εμπορικού στόλου@
@merchantman@|@πλοίο του εμπορικού στόλου@
@merciful@|@εύσπλαχνος@
@merciless@|@ανηλεής@
@mercury@|@υδράργυρος@
@mercy@|@έλεος@
@mere@|@απλός, τίποτα άλλο από@
@mere detail@|@μια ασήμαντη λεπτομέρεια@
@merely@|@απλώς@
@merge@|@συγχωνεύομαι, συγχωνεύω@
@merging@|@ενοποίηση@
@meridian@|@απόγειο, μεσημβριανός@
@meridional@|@μεσημβρινός@
@meringue@|@μαρέγκα@
@merit@|@αξία@
@meritocracy@|@αξιοκρατία@
@meritorious@|@άξιος@
@merlin@|@νανογέρακας@
@mermaid@|@γοργόνα@
@merriment@|@διασκέδαση, ευθυμία, κέφι@
@merry@|@εύθυμος, φαιδρός@
@merrymaking@|@διασκέδαση@
@mesa@|@τραπεζοειδής πέτρινη επιφάνει@
@mescal@|@οινοπνευματώδες ποτό@
@mescaline@|@μεσκαλίνη@
@mesenteric@|@μεσεντέριος@
@mesh@|@δίχτυ, ζεύξη, πλέγμα@
@mesmerised@|@υπνωτισμένος@
@mesoderm@|@μεσόδερμα@
@meson@|@μεσόνιο@
@mess@|@ακαταστασία, τραπεζαρία στο στρατό@
@mess around@|@κάνω βλακίες@
@message@|@άγγελμα, μήνυμα@
@messenger@|@αγγελιοφόρος@
@messiah@|@Μεσσίας@
@messianic@|@μεσσιανικός@
@messieurs@|@κύροι@
@messy@|@ακατάστατος@
@mestizo@|@μιγάς@
@met@|@συνάντησα@
@metabolic@|@μεταβολικός@
@metabolism@|@μεταβολισμός@
@metal@|@μέταλλο@
@metallic@|@μεταλλικός@
@metalliferous@|@μεταλλοφόρος@
@metallography@|@μεταλλογραφία@
@metalloid@|@μεταλλοειδής@
@metallurgic@|@μεταλλουργικός@
@metallurgical@|@μεταλλουργικός@
@metallurgist@|@μεταλλουργός@
@metallurgy@|@μεταλλουργία@
@metalwork@|@μεταλλουργία@
@metamorphic@|@μεταμορφικός@
@metamorphism@|@μεταμόρφωση@
@metamorphose@|@μεταμορφώνω@
@metamorphosis@|@μεταμόρφωση@
@metaphor@|@μεταφορά@
@metaphoric@|@μεταφορικός@
@metazoa@|@μετάζωα@
@metazoan@|@μεταζωϊκός@
@mete@|@διανέμω, επιβάλλω@
@meteor@|@μετέωρο@
@meteoric@|@μετεωρικός@
@meteorite@|@μετεωρίτης@
@meteoritic@|@μετεωριτικός@
@meteorologist@|@μετεωρολόγος@
@meteorology@|@μετεωρολογία@
@meter@|@μετρητής, μέτρο@
@meter maid@|@γυναίκα τροχονόμος@
@methane@|@μεθάνιο@
@methanol@|@μεθανόλη@
@methinks@|@θαρρώ@
@method@|@μέθοδος@
@methodic@|@μεθοδικός@
@methodist@|@μεθοδιστής@
@methodology@|@μεθοδολογία@
@methyl@|@μεθύλιον@
@methylated spirits@|@μετουσιωμένο οινόπνευμα@
@methylene@|@μεθυλένιον@
@meticulous@|@σχολαστικός@
@metier@|@επάγγελμα@
@metonymy@|@μετωνυμία@
@metre@|@μέτρο@
@metric@|@μετρικός@
@metro@|@μετρό@
@metronome@|@μετρητής@
@metropolis@|@μητρόπολη@
@metropolitan@|@μητροπολιτικός@
@mettle@|@θάρρος@
@mettlesome@|@γενναίος, θαρραλέος@
@mew@|@νιαουρίζω@
@mewl@|@κλαψουίζω@
@mezzanine@|@ημιόροφος@
@miaow@|@νιαουρίζω@
@miasma@|@μίασμα@
@mica@|@μαρμαρυγίας@
@mice@|@ποντίκια@
@Mickey Finn@|@μπόμπα, ποτό με ναρκωτικά@
@micro-@|@μίκρο-@
@microbe@|@μικρόβιο@
@microcosm@|@μικρόκοσμος@
@microfiche@|@μικροφίλμ@
@micrography@|@μικρογραφική@
@micron@|@μικρόν@
@microscope@|@μικροσκόπιο@
@microsurgical@|@μικροχειρουργικός@
@microwave oven@|@φούρνος μικροκυμάτων@
@middle@|@μεσαίος, μέση@
@Middle Ages@|@Μεσαίωνος@
@Middle East@|@Μέση Ανατολή@
@middle finger@|@μεσαίο δάκτυλο@
@middle voice@|@μέση διάθεση@
@middle-aged@|@μεσήλικας, μεσόκοπος@
@middleman@|@μεσάζοντας@
@middleweight@|@των μεσών βαρών@
@midge@|@μουσίτσα@
@midget@|@νάνος@
@midnight@|@μεσάνυχτα@
@midweek@|@στην μέση της εβδομάδας@
@midwife@|@μαία, μαμή@
@might@|@δύναμη, μπορούσα@
@mighty@|@δυνατός, ισχυρός@
@migrant@|@απόδημοτικός, μετανάστης@
@migrate@|@αποδημώ, μεταναστεύω@
@migration@|@αποδημία, μετανάστευση@
@mike@|@μικρόφωνο@
@mild@|@ήπιος, πράος@
@mild winter@|@ήπιος χειμώνας@
@mildew@|@μούχλα, περονόσπορος@
@mile@|@μίλι@
@mileage@|@απόσταση σε μίλια@
@miles away@|@στου διάλου τη μάννα@
@military@|@στρατιωτικός@
@Military Academy@|@Σχολή Ευελπίδων@
@military installations@|@στρατιωτικές εγκαταστάσεις@
@military service@|@θητεία, στρατιωτική θητεία@
@militia@|@εθνοφυλακή, εφεδρεία@
@milk@|@αρμέγω, γάλα@
@milk for all it is worth@|@εκμεταλλεύομαι μέχρι αμάν@
@milk teeth@|@πρώτα δόντια@
@milkman@|@γαλατάς@
@Milky Way@|@Γαλαξίας, ζωνάρι της καλογριάς@
@mill@|@αλέθω, εργοστάσιο, μύλος@
@millenia@|@χιλιετίες@
@millenium@|@χιλιετηρίδα@
@miller@|@μυλωνάς@
@millet@|@κεχρί@
@million@|@εκατομμύριο@
@millionnaire@|@εκατομμυριούχος@
@millwheel@|@τροχός νερόμυλου@
@milt@|@σπέρμα ψαριών@
@mime@|@μίμος@
@mimicry@|@μίμηση, μίμηση@
@mince@|@ακκίζομαι, κιμάς@
@mind@|@μυαλό, νοιάζομαι, νούς, πειράζω, φυλάξου@
@mind expanding@|@παραισθησιογόνος, ψυχεδελικός@
@mind over matter@|@ζήτημα θέλησης@
@mind your own business@|@κοίτα την δουλειά σου@
@mindful@|@προσεκτικός@
@mind-reading@|@τηλεπάθεια@
@mindset@|@νοοτροπία@
@mine@|@δικός μου, εξορύσσω, μεταλλείο, νάρκη, ορυχείο@
@mine shaft@|@αεραγωγός ορυχείου@
@minefield@|@ναρκοπέδιο@
@miner@|@ανθρακωρύχος@
@mineral@|@μετάλλευμα@
@mineral oil@|@ορυκτέλαιο@
@mineral water@|@μεταλλικό νερό@
@mineral waters@|@ιαματικά νερά@
@mineralogy@|@ορυκτολογία@
@minesweeper@|@ναρκαλιευτικό@
@mingle with@|@κάνω παρέα με@
@mini@|@μίνι@
@miniaturization@|@σμίκρυνση@
@minibus@|@μίνιμπας@
@minimal@|@ελάχιστος@
@minimise@|@ελαχιστοποιώ@
@minimize@|@ελαχιστοποιώ@
@minimum@|@ελάχιστος@
@mining@|@εξόρρυξη μεταλλευμάτων, εξόρυξη@
@minister@|@ιερέας, υπουργός@
@ministerial@|@υπουργικός@
@ministry@|@υπουργείο@
@miniture@|@μινιατούρα@
@mink@|@βιζόν@
@minnow@|@γόπα@
@minor@|@ασήμαντος, ελάσσων, μικρός, υπεξούσιος@
@minority@|@μειοψηφία@
@mint@|@μέντα, νομισματοκοπείο@
@mint coins@|@φτιάχνω κέρματα@
@minus@|@μείον, πλην@
@minuscule@|@μικρά γράμματα, μικροσκοπικός@
@minute@|@λεπτό, λεπτομερής, μικροσκοπικός@
@miracle@|@θαύμα@
@mire@|@βόρβορος@
@mirror@|@αντικατοπτρίζω, καθρεφτάκι, καθρέφτης@
@mirror image@|@είδωλο καθρέπτη, πανομοιότυπο αντικείμενο@
@mirth@|@ευθυμία, χαρά@
@misbehave@|@συμπεριφέρομαι λάθος@
@misbehaved@|@άτακτος@
@misbehaviour@|@κακή συμπεριφορά, λάθος συμπεριφορά@
@miscalculation@|@κακός υπολογισμός@
@miscarriage@|@αποβολή@
@miscarriage of justice@|@κακοδικία@
@miscarry@|@αποβάλλω@
@mischief@|@ζαβολίες, μοχθηρία@
@mischief maker@|@σκάνδαλος@
@misconception@|@λάθος αντίληψη, λάθος αντίλιψη, παρανόηση@
@misconduct@|@κακή διαγωγή, παράβαση καθήκοντος@
@misconstrue@|@παρεξηγώ@
@misdemeanour@|@πταίσμα@
@miser@|@φιλάργυρος@
@miserable@|@άθλιος, δυστυχισμένος, ελεεινός, κακόμοιρος, χάλια@
@miserly@|@παραδόπιστος, τσιγγούνης, φιλάργυρος@
@misery@|@δυστυχία, μιζέρια@
@misfire@|@αφλογιστία@
@misfortune@|@δυστυχία, κακοτυχία@
@misgiving@|@δισταγμός@
@misguidance@|@παραπλάνηση@
@misguided@|@άστοχος, παράλογος@
@mish mash@|@συνονθύελμα@
@mishap@|@ατύχημα@
@mishear@|@παρακούω@
@misinform@|@παραπληροφορώ@
@misinterpret@|@παρεξηγώ, παρερμηνεύω@
@misjudge@|@δεν υπολογίζω καλά@
@mislead@|@παραπλανώ@
@misleading@|@παραπλανητικός@
@misled@|@πλανημένος@
@misplace@|@χάνω προσωρινά@
@misprint@|@τυπογραφικό λάθος@
@misread@|@κακοδιαβάζω@
@miss@|@αστοχώ, δεσποινίς, χάνω@
@miss one's turning@|@χάνω το δρόμο@
@miss out@|@παραλείπω@
@missile@|@πύραυλος@
@missiles@|@αντικείμενα που εκτοξεύονται, πύραυλοι@
@missing@|@αγνοούμενος, που λείπει, χαμένος@
@missing link@|@ελλείπων κρίκος@
@mission@|@αποστολή@
@missionary@|@ιεραπόστολος@
@mist@|@αχλύς, ομίχλη, πούσι@
@mist over@|@παχνιάζομαι@
@mistake@|@λάθος, παρανοώ@
@mistake for@|@εκλαμβάνω, παραγνωρίζω@
@mistaken@|@εσφαλμένος, λαθεμένος, λανθασμένος@
@mistletoe@|@γκί@
@mistress@|@ερωμένη@
@mistrust@|@δυσπιστία@
@misty@|@ομιχλώδης@
@misunderstand@|@παρεξηγώ@
@misunderstanding@|@παρεξήγηση@
@misunderstood@|@παρεξηγημένος@
@misuse@|@κάνω κατάχρηση@
@mitt@|@γάντι@
@mittens@|@γάντια χωρίς δάκτυλα@
@mix@|@ανακατεύω, ανακατώνω, αναμιγνύω, μίγμα@
@mix up@|@μπερδεύω@
@mixer@|@μίξερ@
@mixture@|@μίγμα@
@mixture of races@|@πανσπερμία@
@moan@|@μουγκρητό, μουγκρίζω, στενάζω@
@moaner@|@τζαναμπέτης@
@mob@|@όχλος, συμμορία@
@mobile@|@κινητός@
@mobile phone@|@κινητό τηλέφωνο@
@mobile platform@|@κινητή εξέδρα@
@mobilisation@|@επιστράτευση, κινητοποίηση@
@mobility@|@κινητικότητα@
@mock@|@περιγελώ, σαρκάζω, χλευάζω@
@mockery@|@κοροϊδία, παρωδία, χλευασμός@
@mocking@|@εμπαικτικός, περιπαιχτικός@
@mod cons@|@σύγχρονες ανέσεις@
@model@|@μακέτα, μανεκέν, μοντέλο@
@modelling@|@μόντελινγκ@
@modem@|@συσκευή τηλεπικοινωνίας η/υ@
@moderate@|@μετριάζω, μετριοπαθής, μέτριος@
@moderate one's demands@|@βάζω νερό στο κρασί μου@
@moderation@|@εγκράτεια, μετριοπάθεια@
@modern@|@μοντέρνος, σύγχρονος@
@Modern Greek@|@Δημοτική@
@modernisation@|@εκσυγχρονισμός@
@moderniser@|@εκσυγχρονιστής@
@modernism@|@μοντερνισμός, νεοτερισμός@
@modernist@|@μοντερνιστής@
@modest@|@μετριόφρων, σεμνός@
@modestly@|@σεμνά@
@modesty@|@απλότητα, μετριοφροσύνη, σεμνότητα, ταπεινοφροσύνη@
@modified@|@τροποποιουμένος@
@modify@|@παραλλάζω, τροποποιώ@
@modulator@|@διαμορφωτής@
@modulator-demodulator@|@διαμορφωτής-αποδιαμορφωτής@
@moist@|@υγρός@
@moisten@|@υγραίνω@
@moisture@|@υγρασία@
@molar@|@τραπεζίτης@
@Moldavia@|@Μολδαβία@
@mole@|@μόλος, τυφλοπόντικας@
@mollusca@|@μαλάκια@
@molten@|@λιωμένος, χυτός@
@moment@|@στιγμή@
@moment of impact@|@στιγμή της σύγκρουσης@
@momentarily@|@προσωρινά@
@momentous@|@βαρυσήμαντος@
@momentum@|@κεκτημένη ορμή, φόρα@
@monarch@|@ηγεμόνας@
@monarchy@|@μοναρχία@
@Monday@|@Δευτέρα@
@Monera@|@Μονήρη@
@monetary@|@νομισματικός@
@money@|@λεφτά@
@money changer@|@σαράφης@
@moneylender@|@τοκογλύφος@
@monitor@|@οθόνη, παρακολουθώ@
@monkey@|@μαϊμού@
@monopoly@|@μονοπώλιο@
@Monopoly@|@Μονοπώλια@
@monplane@|@μονοπλάνο@
@monsoon@|@μουσώνας@
@monster@|@κτήνος, τέρας@
@monstrous@|@τραγελαφικός@
@Montagu's harrier@|@λιβαδόκιρκος@
@month@|@μήνας@
@monthly@|@μηνιαίος@
@months@|@μήνες@
@monument@|@μνημείο@
@monumental@|@μνημειώδης, πελώριος@
@moo@|@μουγκανίζω@
@mood@|@διάθεση, έγκλιση, κέφι@
@mood swings@|@αλλαγές σε διάθεση@
@moon@|@φεγγάρι, φωτερό@
@moonless@|@άναστρος@
@moonlight@|@φως του φεγγαριού@
@moonlit@|@αστροφεγγός@
@moor@|@προσδένω, χερσότοπος@
@moorhen@|@νεροπουλάδα@
@moorland@|@ρεικότοπος, χερσότοπος@
@moot@|@αμφισβητούμενος, ανακινώ θέμα@
@mop@|@σφουγγαρίζω, σφουγγαρίστρα@
@moped@|@μοτοποδήλατο, μτοποδήλατο@
@moping@|@άθυμος, ανόρεκτος@
@mopping up operations@|@εκκαθαριστικές επιχειρήσεις@
@moraine@|@λιθώνας, μοραίνη@
@moral@|@επιμύθιο, ηθικός@
@moral depravity@|@έκλυση ηθών@
@morale@|@ηθικό@
@morals@|@ηθικές αρχές, ήθος@
@more@|@περισότερος, πια, πλέον@
@more and more@|@ολοένα και περισότερα@
@more important@|@πιο σημαντικός@
@more or less@|@κατά το μάλλον, πάνω-κάτω@
@more pungent@|@οξύτερος@
@more stable@|@πιο σταθερός, σταθερότερος@
@morel@|@μορχέλλη η στρογγυλή@
@morello@|@βύσσινο@
@moreover@|@άλλωστε, επιπλέον@
@mores@|@ήθη και έθιμα@
@morgue@|@νεκροτομείο@
@moribund@|@ετοιμοθάνατος@
@morning@|@πρωί@
@morrow@|@αύριο@
@morsel@|@λιχουδιά@
@mortal@|@θανάσιμος, θνητός@
@mortality@|@θνησιμότητα@
@mortality rate@|@ποσοστό θνησιμότητας@
@mortgage@|@υποθηκεύω, υποθήκη@
@mortise lock@|@κλειδαριά χωνευτή@
@mosque@|@τζαμί@
@mosquit-borne@|@που μεταφέρεται από κουνούπια@
@mosquito@|@κουνούπι@
@moss@|@βρύο@
@most@|@ο περισσότερος, ο πιο πολύς, πλέον@
@most deeply@|@βαθύτατα@
@most interesting@|@πολύ ενδιαφέρων@
@most kindly@|@ευγενέστατα@
@most politely@|@ευγενέστατα@
@most severe@|@αυστηρότατος@
@mostly@|@πιο πολύ@
@motel@|@μοτέλ@
@moth@|@σκόρος, σκώρος@
@mother@|@μητέρα@
@mother of pearl@|@μαραγαριταρένιος, σεντέφι@
@mother tongue@|@μητρική γλώσσα@
@mother-in-law@|@πεθερά@
@motherless@|@ορφανός από μητέρα@
@motherly@|@μητρικός@
@mothers-in-law@|@πεθερές@
@motion@|@γνέφω, κίνηση, πρόταση@
@motion picture industry@|@κινηματογραφική βιομηχανία@
@motionless@|@ακίνητος@
@motivate@|@δίνω κίνητρο, παρακινώ@
@motivation@|@κίνητρο, παρακίνηση@
@motive@|@κίνητρο, μοτίβο@
@motley@|@ανακατεμένος, ετερογενής@
@motor@|@μηχανή@
@motorbike@|@μηχανή@
@motorcade@|@παρέλαση αυτοκινήτων@
@motorcar@|@αυτοκίνητο@
@motorcar racing@|@αγώνας αυτοκινήτων@
@motorcycle@|@μηχανή, μουοσύκλετα@
@motorcyclist@|@μοτοποδηλατιστής@
@motorcyle racing@|@αγώνας μοτοσικλετών@
@motoring@|@οδήγηση@
@motorist@|@αυτοκινητιστής@
@mottle@|@κηλίδα@
@motto@|@μόττο@
@mould@|@διαπλάθω, καλούπι, μήτρα, μούχλα@
@moulding@|@πλάσιμο@
@moult@|@μαδώ@
@mound@|@ανάχωμα@
@mounring@|@πένθος@
@mount@|@ανεβαίνω, αυξάνομαι, βουνό, ιππεύω, όρος@
@mountain@|@βουνό, όρος@
@mountain chain@|@οροσειρά@
@mountain fortress@|@λημέρι@
@mountaineer@|@ορειβάτης@
@mountaineering@|@ορειβασία@
@mountainous@|@ορεινός@
@mountainside@|@πλαγιά του βουνού@
@mountaintop@|@κορυφή@
@mountebank@|@αγύρτης@
@mourn@|@θρηνώ, κλαίω, πενθώ@
@mournful@|@πένθιμος, περίλυπος@
@mouse@|@ποντίκι@
@mouse (mice)@|@ποντίκι@
@mouse trap@|@φάκα@
@mousse@|@μους@
@moustache@|@μουστάκι@
@moustachioed@|@μουστακαλής@
@mouth@|@εκβολή ποταμιού, στόμα, στόμιο@
