@English@|@Albanian@
@owner@|@pronar@
@ox@|@ka@
@oxen team@|@pendë@
@pace@|@hap@
@pack-animal@|@kafshë barre@
@packet@|@pako@
@packsaddle@|@samar@
@page@|@faqe@
@pain@|@dhembje@
@paint@|@lyej@
@painted@|@pikturuar (i)@
@painter@|@piktor@
@painting@|@pikturë@
@pair@|@çift, një palë@
@palace@|@pallat@
@palaentolog@|@paleontolog@
@pale@|@hu, zbehtë (i)@
@palm@|@pëllëmbë@
@pan@|@tavë@
@pan dish with yoghurt and lamb meat@|@tavë kosi@
@pancake@|@petull@
@paper@|@letër@
@pappy@|@lluqe@
@parched@|@përzhitur@
@parent@|@prind@
@park@|@lulishte, park, parkoj@
@parson@|@famulltar@
@part@|@pjesë@
@part with@|@ndahem@
@partake@|@shijoj@
@participant@|@pjesëmarrës@
@particular@|@veçantë (i)@
@partisan@|@partizan@
@partridge@|@thëllëzë@
@parts@|@vise@
@party@|@mbrëmje, parti@
@pasha@|@pasha@
@pass@|@kaloj, qafë@
@passage@|@korridor@
@passenger@|@pasagjer@
@passer-by@|@kalimtar@
@pastry@|@brumë@
@patch@|@arnoj@
@paternal aunt@|@hallë@
@path@|@shteg@
@patriot@|@patriot@
@pattern@|@mostër@
@pause@|@pushim@
@pavement@|@trotuar@
@paw@|@putër@
@pay@|@paguaj@
@payee@|@pagë marrës@
@peace@|@paqe@
@peach@|@pjeshkë@
@peak@|@majë@
@pear@|@dardhë@
@pearl@|@perlë@
@peel@|@cipë@
@pen@|@stilolaps@
@pencil@|@laps@
@penetration@|@depërtim@
@peninsula@|@gadishull@
@penis@|@penis@
@people@|@njerëzi, popull@
@people's@|@popullor@
@perceive@|@ndiej@
@perfume@|@parfum@
@perhaps@|@kushedi, mbase, ndoshta@
@peril@|@rrezik@
@period@|@periudhë@
@permanent@|@përhershëm (i)@
@permission@|@leje, lejim, marr leje@
@permit@|@lë, leje@
@Persian carpet@|@sixhade@
@person@|@njeri@
@pest@|@dëmtues@
@petrol@|@naftë@
@phone@|@marr në telefon@
@photography@|@fotografi@
@phrase@|@frazë@
@phychic@|@psikik@
@pickles@|@turshi@
@pie@|@byrek@
@piece@|@copë, pjesë@
@pig@|@derr@
@pigeon@|@pëllumb@
@pile@|@grumbull, stivë, tog, turrë@
@pin@|@gjilpërë me kokë@
@pink@|@karafil, rozë@
@piss@|@shurrë@
@pit@|@gropë, minierë@
@pity@|@mëshirë@
@place@|@vë, vend, vendos@
@place of residence@|@vendbanim@
@plain@|@fushë@
@plait@|@gërshet@
@plan@|@plan@
@plank@|@dërrasë@
@plant@|@bimë, bimor, mbjell@
@plaster@|@suva@
@plate@|@pllakë@
@plateau@|@pllakë@
@play@|@lojë, loz, luaj@
@play the flute@|@i bie fyellit@
@pleasant@|@këndshëm (i)@
@pleasantly@|@ëmbël, këndshëm@
@please@|@ju/të lutem@
@plesure@|@qejf@
@plight@|@dertim, hall@
@plough@|@lëroj@
@pluck@|@këput, vjel@
@plum@|@kumbull@
@plump@|@brumbullak@
@plunge@|@zhys@
@pocket@|@xhep@
@pocket-knife@|@biçak@
@poem@|@poezi@
@poet@|@poet@
@poetry@|@poezi@
@point@|@pikë@
@poison@|@helm@
@polish@|@llustroj@
@Polish@|@polak@
@political@|@politik@
@politness@|@njerëzi@
@pool@|@pellg@
@poor@|@gjorë (i), shkretë (i), varfër (i)@
@poplar@|@plep@
@poplar-corpse@|@plepishte@
@popular@|@popullor@
@pork@|@mish derri@
@porridge@|@çorbë@
@portion@|@pjesë@
@possess@|@zotëroj@
@post@|@postoj@
@posterior@|@pasardhës@
@potato@|@patate@
@potent@|@potent@
@pouch@|@trastë@
@pour@|@derdh@
@pour in@|@shtie@
@poverty@|@varfëri@
@powder@|@pudër@
@power@|@pushtet@
@powerful@|@fuqishëm (i)@
@pray@|@lus@
@precipitation@|@reshje@
@precise@|@përpiktë (i)@
@precisely@|@fiks, pikërisht@
@preliminary@|@paraprak@
@prelong@|@zgjas@
@prepare@|@gatuaj, përgatit@
@prescribe@|@jap recetë@
@present@|@dhuratë, pranishëm (i)@
@present day@|@sotëm (i)@
@press@|@shtrydh@
@pretend@|@pretendoj@
@pretext@|@sebep@
@pretty@|@bukur (i), pashëm (i)@
@prey@|@gjah@
@price@|@çmim@
@prickly bush@|@ferrë@
@pride@|@krenari@
@priest@|@prift@
@prince@|@princ@
@principal@|@kryesor@
@principal castle@|@kryekështjellë@
@prison@|@burg@
@private@|@privat@
@prize@|@çmim@
@probably@|@ka mundësi@
@process@|@përpunoj@
@productive@|@pjellor@
@professor@|@profesor@
@profit@|@dobi, fitim@
@programme@|@emision@
@promise@|@premtim@
@prone@|@përmbys@
@pronounce@|@shqiptoj@
@pronunciation@|@shqiptim@
@properly@|@ashtu siç duhet, përshtatshmëri@
@property@|@pronë@
@prosperous@|@lulëzuar (i)@
@protect@|@mbroj, ruaj@
@protected@|@mbrojtur (i)@
@protector@|@mbrojtës@
@prove@|@provoj@
@proverb@|@fjalë e urtë@
@provide@|@furnizoj@
@prune@|@krasis@
@psychiatrist@|@psikiatër@
@pub@|@lokal@
@publish@|@botoj@
@puff@|@shtëllungë@
@puff pastry@|@byrek@
@puff pasty@|@petull@
@pull@|@tërheq@
@pullover@|@triko@
@punctuation@|@shenja e pikësimit@
@punish@|@dënoj@
@pupil@|@nxënës@
@purchase@|@blej@
@pure@|@pastër (i)@
@purple@|@purpurt (i)@
@pursue@|@ndjek@
@pussy@|@pidh@
@put@|@shtroj, vë@
@put in@|@fus@
@put off@|@shuaj@
@put on@|@ndez, vesh@
@put out@|@shuaj@
@quality@|@cilësi@
@quantity@|@sasi@
@quarrel@|@ngatëresë@
@quarter@|@çerek@
@queen@|@mbretëreshë@
@question@|@pyes, pyetje@
@quick@|@shpejtë (i)@
@quickly@|@shpejt@
@quiet@|@qetë (i)@
@quieten@|@qetësoj@
@quieting@|@qetësues@
@quilted jacked@|@xhup@
@quince@|@ftua@
@quite@|@fare@
@quota@|@normë@
@rabies@|@tërbim@
@radiate@|@rrezatoj@
@radiator@|@kalorifer@
@radio@|@radio@
@radiography@|@radiografi@
@radius@|@rreze@
@rag@|@leckë, zhele@
@rage@|@furi, tërbim@
@ragged@|@leckosur (i)@
@ragged man@|@zhelan@
@rahat lakoum@|@llokume@
@railway carriage@|@vagon@
@railway station@|@stacion treni@
@rain@|@shi@
@rainbow@|@ylber@
@raise@|@çoj, ngre, rrit, shtroj@
@ram@|@dash@
@rank@|@gradë, titull@
@rapid@|@shpejtë (i)@
@rare@|@rrallë (i)@
@rarery@|@rrallë@
@rat@|@mi@
@rate@|@taksë@
@rather@|@mjaft@
@raw@|@papjekur (i)@
@ray@|@rreze@
@reach@|@arrij, mbush@
@read@|@lexoj@
@readiness@|@gatishmëri@
@ready@|@gati@
@real@|@real@
@realistic@|@realist@
@really@|@vërtet@
@reap@|@korr@
@rebel@|@kryengritës, rebel@
@receive@|@marr@
@recent@|@i kohës së fundit, ri (i)@
@recently@|@rishtazi@
@reception@|@pritje@
@receptionist@|@sportelist@
@recognize@|@njoh@
@recompense@|@shpërblej@
@red@|@kuq (i)@
@reddened@|@skuqur (i)@
@reduce@|@pakësoj@
@refectory@|@mensë@
@refer@|@përmend, referohem@
@reform@|@reformoj@
@refresh@|@freskoj@
@refreshing@|@freskues@
@regain@|@rifitoj@
@region@|@krahinë, trevë@
@register@|@regjistër@
@regret@|@më vjen keq@
@regular@|@rregullt (i)@
@rejoice@|@gëzohem@
@rejoicing@|@hare@
@relative@|@fis@
@relay@|@ndërroj, trasmetoj@
@release@|@lëshoj, lirim@
@releived@|@lehtësuar (i)@
@relief@|@reliev@
@religion@|@fe@
@religious@|@fetar@
@remain@|@mbes, ngel@
@remember@|@kujtoj, mbaj mend@
@remind@|@kujtoj@
@remote@|@largët (i)@
@remove@|@heq, largoj@
@rend@|@çjerr@
@renew@|@përsëris@
@rent@|@marr/jap me qera@
@repeat@|@përsëris@
@reply@|@ia kthej, përgjigjem@
@report@|@njoftoj, raportoj@
@representativ@|@përfaqësues@
@reputation@|@famë, reputacion@
@research@|@gjurmim@
@resemble@|@përngjan@
@reserve@|@rezervë@
@reside@|@banoj@
@resident@|@banor@
@resignation@|@lirim@
@resistance@|@qëndresë@
@resolve@|@shpëtoj@
@respect@|@nderoj@
@respectively@|@përkatësisht@
@rest@|@mbetje, pushoj@
@rest home@|@shtëpi pushimi@
@restaurant@|@restorant@
@restituition@|@kthim@
@restrain@|@përmbaj@
@result@|@rezultat@
@retail@|@shitje me pakicë@
@retard@|@vonoj@
@retire@|@dal në pension@
@retreat@|@kthehem@
@return@|@kthim@
@reverly@|@zijafet@
@reverse@|@përmbys@
@reversely@|@mbrapsht@
@revived@|@gjallur (i)@
@reward@|@shpërblej, shpërblim@
@rheumatism@|@reumatizëm@
@rib@|@brinjë@
@rich@|@kamur (i), pasur (i)@
@richness@|@pasuri@
@rid@|@shpëtoj@
@riddle@|@gjëegjëzë@
@rifle@|@pushkë@
@right@|@djathtas, drejtë (i), mbarë (i), mu@
@right away@|@menjëherë@
@righthand@|@e djathta@
@rigorous@|@rreptë (i)@
@ring@|@tringëllin@
@ring up@|@telefonoj@
@rinse@|@shpërlaj@
@riot@|@trazirë@
@ripe@|@pjekur (i)@
@rise@|@e përpjetë, ngrihem@
@risk@|@rrezik@
@risotto@|@pilaf@
@rival@|@rival@
@river@|@lumë@
@road@|@rrugë@
@roar@|@buças, shungëlloj@
@rock@|@përkund, shkëmb, shkrep, tund@
@rocky@|@shkëmbor@
@rod@|@shkop@
@rogue@|@batakçi@
@roll@|@rrotullim@
@Roman@|@romak@
@roof@|@çati@
@room@|@dhomë, hapësirë, odë@
@roor@|@ulërimë@
@root@|@rrënjë@
@rose@|@trëndafil@
@rot@|@qelbet@
@rotation@|@rrotullim@
@rotten@|@prishur (i)@
@rough@|@ashpër (i)@
@round@|@përreth, rrumbullakët (i)@
@roundabout@|@tërthortë (i)@
@rouse@|@zgjoj@
@rout@|@shpartalloj@
@row@|@rradhë, rresht@
@royal@|@fisnik@
@rub@|@fërkoj@
@rub dry@|@shterron@
@ruby@|@rubin@
@rude@|@pasjellshëm (i)@
@rug@|@qilim@
@rugby@|@regbi@
@ruin@|@rrënim, shkatërroj@
@rule@|@rregull, zakon@
@Rumanian@|@rumun@
@rumble@|@shungëlloj@
@run@|@rrjedh, turrem, vrapoj@
@running@|@vrap@
@rural district@|@lokalitet@
@rush@|@hidhem, lëshohem, presion, vrull@
@Russian@|@rus@
@rustle@|@shushurin@
@rye@|@thekër@
@rythm@|@ritëm@
@sack@|@thes@
@safe@|@sigurtë (i)@
@sail@|@lundroj@
@sailor@|@detar, marinar@
@salad@|@sallatë@
@salary@|@rrogë@
@salon@|@sallon@
@salt@|@kripë@
@same@|@njëjtë (i)@
@sand@|@rërë@
@satchel@|@çantë@
@satisfied@|@kënaqur (i)@
@Saturday@|@e shtunë@
@sausage@|@sallam@
@sause@|@salcë@
@saw@|@qep, sharrë@
@say@|@them@
@scale@|@shkallë@
@scar@|@mbresë@
@scarf@|@shall@
@scatter@|@shpërndaj@
@scene@|@skenë@
@school@|@shkollë@
@school-@|@shkollor@
@scissors@|@gërshërë@
@scorched@|@përzhitur@
@scorpion@|@akrep@
@scowl@|@hakërrohem@
@scrach@|@kruaj@
@screen@|@ekran@
@sculptor@|@skulptor@
@sea@|@det@
@season@|@stinë@
@seat@|@sedile, vend@
@second@|@dytë (i), sekondë@
@secondary school@|@gjimnaz@
@secret@|@fshehur (i)@
@secretly@|@fshehurazi@
@secure@|@siguroj, sigurtë (i)@
@see@|@shikoj, shoh@
@see off@|@përcjell@
@see you later@|@mirupafshim@
@seed@|@farë@
@seize@|@kap, zë@
@seldom@|@rrallë, rrallë (i)@
@select@|@zgjedh@
@selected@|@zgjedhur (i)@
@self@|@vet (i), vetë@
@sell@|@shes@
@seller@|@shitës@
@semidarkness@|@gjysmerrësirë@
@sence@|@ndjenjë@
@send@|@çoj, shpie@
@send away@|@largoj@
@sensation@|@bujë@
@sentence@|@fjali@
@separate@|@ndaj@
@separation@|@ndarje@
@September@|@shtator@
@servant@|@shërbëtor@
@serve@|@shërbej@
@service@|@shërbim@
@set free@|@lëshoj@
@set light@|@ndez@
@set on@|@ndërsej@
@set out@|@lëshohem, nisem@
@sets (the sun)@|@perëndon@
@settle@|@ngulem@
@seven@|@shtatë@
@seventh@|@shtatë (i)@
@severe@|@ashpër (i), rreptë (i)@
@sew@|@qep@
@sex@|@gjini@
@shade@|@hije@
@shadow@|@hije@
@shah@|@chess@
@shake@|@tund@
@shallow@|@cekët (i)@
@shame@|@turp@
@sharp@|@fiks@
@shave@|@rruaj@
@she@|@ajo@
@she too@|@edhe ajo@
@she-bear@|@arushë@
@shed@|@derdh@
@sheep@|@dele@
@sheepfold@|@vathë@
@sheet@|@çarçaf, fletë@
@shell@|@guaskë@
@shelter@|@strehë, strehoj@
@shepherd@|@bari@
@shepherd's cloak@|@gunë@
@shin@|@kërci@
@shine@|@shkëlqej, shndrit@
@shirt@|@këmishë@
@shit@|@dhjes, mut@
@shoe@|@këpucë@
@shoot@|@shtie@
@shop@|@lokal@
@shop assistant@|@shitës@
@shore@|@breg@
@shoulder@|@krah, shpatull, sup@
@shoulder to shoulder@|@krah për krah@
@shout@|@britmë, thërras@
@shovel@|@lopatë@
@show green@|@bleron@
@show yellow@|@zverdhon@
@shower-bath@|@dush@
@shut@|@mbyll@
@sick@|@sëmurë@
@sickly@|@ngordhur (i)@
@side@|@anë, brinjë@
@sign@|@shenjë@
@signboard@|@tabelë@
@silence@|@heshtje, qetësi@
@silent@|@heshtur (i)@
@silver@|@argjend, argjendtë (i)@
@simple@|@thjeshtë (i)@
@sin@|@mëkat@
@since@|@ngaqë@
@sing@|@këndoj@
@singer@|@këngëtar, këngëtare@
@single@|@beqar, vetëm (i)@
@sir@|@zotëri, zotni@
@sister@|@motër@
@sit@|@rri@
@six@|@gjashtë@
@sixth@|@gjashtë (i)@
@skeleton@|@skelet@
@skewer@|@hell@
@skill@|@mjeshtëri@
@skin@|@lëkurë@
@skirmish@|@përpjekje@
@skull@|@kafkë@
@sky@|@qiell@
@slab@|@pllakë@
@slam@|@shkrep@
@slavery@|@robëri@
@sleep@|@gjumë@
@sleepily@|@përgjumësh@
@sleepyhead@|@gjumash@
@sleeve@|@mëngë@
@slide@|@rrëshqas@
@slight@|@dobët (i), hollë (i)@
@slim@|@dobët (i), hollë (i)@
@slippers@|@pandofla@
@slope@|@e përpjetë, shpat, tatëpjetë@
@slot@|@vrimë@
@Slovenian@|@slloven@
@slowly@|@dalëngadalë, ngadalë@
@slowly-slowly@|@avash-avash@
@sluggish@|@fjetur (i)@
@small@|@pakët (i), vogël (i)@
@small change@|@të holla@
@smash@|@shpartalloj@
@smashed@|@copëtuar (i)@
@smear@|@lyej@
@smell@|@lëshon erë, nuhatje@
@smile@|@buzagaz, buzëqesh, qesh@
@smiling@|@me buzë në gaz, qeshur (i)@
@smoke@|@pi duhan, tym@
@snake@|@gjarpër@
@snap of@|@këput@
@snare@|@kurth@
@snarl@|@hakërrohem@
@snow@|@borë@
@so@|@ashtu, kaq, kështu, pra@
@so much@|@kaq@
@so that@|@në mënyrë që@
@soak@|@lag, njom, qull@
@soap@|@sapun@
@sob@|@ngashërim@
@social@|@shoqëror@
@society@|@shoqëri@
@sock@|@çorape@
@sofa@|@divan@
@soft@|@butë (i)@
@sole@|@vetëm (i)@
@sole (of foot)@|@putër, shputë@
@solicitous@|@kujdesshëm (i)@
@solitary@|@vetmuar (i)@
@solve@|@zgjidh@
@some@|@ca, disa@
@some time ago@|@dikur@
@somebody@|@dikush@
@someone@|@ndonjë@
@something@|@diçka, gjësendi@
@sometimes@|@nganjëherë@
@somewhere@|@gjëkund, ndokund@
@somobody@|@kush@
@son@|@biri@
@song@|@këngë@
@son-in-law@|@dhëndër@
@soon@|@shpejt@
@sore@|@sëmurë (i)@
@sorow@|@hidhërim@
@sort@|@lloj@
@soul@|@shpirt@
@soup@|@supë@
@sour@|@thartë (i)@
@source@|@burim, gurrë@
@souvenir@|@kujtim@
@sow@|@dosë, mbjell@
@space@|@hapësirë@
@spade@|@lopatë@
@Spanish@|@spanjoll@
@spare@|@rezervë, rrallë (i), tepërt (i)@
@spark@|@xixë@
@sparkling@|@shndritshëm (i)@
@speak@|@flas@
@special@|@posaçëm (i)@
@speciality@|@specialitet@
@specialization@|@specializim@
@species@|@lloj@
@speck@|@njollëz@
@spectator@|@shikues@
@speed@|@shpejtësi@
@speeded up@|@shpejtuar (i)@
@speel@|@fle@
@spend the holiday@|@pushoj@
@spill@|@derdh@
@spindle@|@bosht@
@spirit@|@frymë, shpirt@
@spit@|@hell, pështyj@
@spleen@|@shpretkë@
@split@|@çaj@
@spoilt@|@prishur (i)@
@spoon@|@lugë@
@sporting@|@sportiv@
@sportsman@|@sportist@
@spot@|@njollë, pullë@
@spotted@|@larmë (i)@
@sprakle@|@xixëllon@
@spread@|@përhap, shtroj@
@spread out@|@shtrij@
@spring@|@bunar, burim, gurrë, krua, mbin, pranveror@
@spring (season)@|@pranverë@
@sprout@|@mbin@
@squadron@|@skuadër@
@square@|@shesh@
@squeak@|@pipëtimë@
@squezze@|@shtrydh@
@stable@|@ahur, qëndrueshëm (i)@
@staff@|@personel@
@stage@|@skenë@
@stagger@|@marrje këmbësh@
@stair@|@shkallë@
@stairs@|@shkallë@
@stake@|@hu@
@stale@|@bajat@
@stamp@|@pullë@
@stand@|@duroj, qëndroj@
@stand out@|@dallohem@
@stand up@|@ngrihem@
@standing@|@përhershëm (i)@
@star@|@yll@
@stare@|@habitem@
@start@|@fillim, filloj, lëshohem, nis, nisem@
@state@|@shtet@
@state secretary@|@ministër@
@station@|@stacion@
@statue@|@shtatore@
@stature@|@shtat@
@stay@|@qëndroj, rri@
@steady@|@qëndrueshëm (i)@
@stealthily@|@vjedhurazi@
@steep@|@thepisur (i)@
@stem@|@temë@
@step@|@hap@
@stew-pan@|@tenxhere@
@stick@|@ngjis, shkop@
@still@|@ende, heshtur (i)@
@sting@|@thumbim@
@stir@|@bujë, lëviz, lëvizje, trazoj@
@stock-breeder@|@blegtor@
@stock-breeding@|@blegtori@
@stomach@|@plëndës, stomak@
@stone@|@gur@
@stool@|@stol@
@stop@|@ndahem, ndaloj, pushoj, qëndroj@
@storey@|@kat@
@storm@|@furtunë, shtrëngatë, tufan@
@story@|@histori@
@stove@|@furrë, sobë, stufë@
@straight@|@drejtë (i)@
@strange@|@çuditshëm (i)@
@stranger@|@huaj (i)@
@strangle@|@mbys@
@straw@|@kashtë@
@street@|@rrugë@
@strength@|@forcë@
@strengthen@|@forcoj@
@stretch@|@shtrihet@
@stretch out@|@shtrij@
@strict@|@rreptë (i)@
@strike@|@përpjek, përplas, shkrep@
@string@|@spango, tel@
@striped@|@vija-vija@
@stroke@|@vijë@
@stroll@|@shëtit@
@strong@|@fortë (i), fuqishëm (i)@
@struggle@|@luftë@
@student@|@student@
@stuff@|@material@
@stumble@|@rrëzohem@
@stylized@|@stilizuar (i)@
@subject@|@subjekt, temë@
@subtraction@|@zbritje@
@suburban@|@rreth qytetit@
@success@|@sukses@
@success in your work@|@puna e mbarë@
@success to you@|@mbarë paç@
@successful@|@mbarë (i)@
@successful and honoured@|@faqebardhë@
@successor@|@pasardhës@
@such@|@tillë (i)@
@suck@|@thith@
@sucking pig@|@derrkuc@
@sudden@|@befasishëm (i)@
@suffer@|@heq@
@suffering@|@vuajtje@
@suffix@|@prapashtesë@
@suffocate@|@mbys@
@sugar@|@sheqer@
@suggestion@|@proposim, sygjerim@
@suitable@|@përshtatshëm (i)@
@suitcase@|@valixhe@
@sum@|@mbledhje, përmbedhje@
@summer@|@verë@
@summer-@|@veror@
@summit@|@çukë@
@sun@|@diell@
@sunburnt@|@nxirë (i)@
@Sunday@|@e diel@
@sunset@|@perëndim@
@supply@|@furnizoj, pajis@
@suppose@|@ma merr mendja@
@sure@|@sigurtë (i)@
@surface@|@sipërfaqe@
@surgical@|@kirurgjik@
@surname@|@mbiemër@
@surprise@|@habi, surprizë@
@surprised@|@habitur (i)@
@surround@|@rrethoj@
@survivor@|@mbijetuar (i)@
@suspect@|@dyshimtë (i)@
@swallow@|@dallëndyshe, kullufit@
@swear@|@be, betohem@
@sweat@|@djersë@
@Swedish@|@suedez@
@sweep@|@fshij, përlaj@
@sweet@|@ëmbël (i), ëmbëlsirë@
@swell@|@ënjtem@
@swift-footed@|@këmbëshpejtë@
@swill@|@shpërlaj@
@swim@|@notoj@
@swimming@|@not@
@swimming-pool@|@pishinë@
@swine@|@derr@
@swing@|@përkund@
@Swiss@|@zviceran@
@switch@|@çelës elektrik@
@sword@|@shpatë@
@systematic@|@sistematik@
@systemize@|@sistemoj@
@table@|@tabelë, tryezë@
@table clock@|@orë tryeze@
@table-cloth@|@mësallë@
@tactic@|@taktikë@
@tail@|@bisht@
@take@|@marr, zë@
@take a decision@|@marr një vendim@
@take a walk@|@shëtit@
@take away@|@heq@
@take care@|@kam kujdes, kujdesem@
@take off@|@heq, zhvesh@
@take place@|@ndodh@
@take to one's heels@|@ia mbath@
@talent@|@talent@
@talk@|@bisedë, bisedoj@
@tall@|@gjatë (i)@
@tame@|@butë (i)@
@tar@|@katran@
@target@|@nishan, shenjë@
@task@|@detyrë@
@taste@|@shijoj@
@tasteful@|@shijshëm (i)@
@tasty@|@shijshëm (i)@
@taxi@|@taksi@
@tea@|@çaj@
@teacher@|@mësues@
@team@|@skuadër@
@tear@|@çjerr, lot@
@tear off@|@këput@
@tease@|@ngacmoj, ngas@
@telegram@|@telegram@
@telephone@|@telefon, telefonoj@
@tell@|@them, tregoj@
@ten@|@dhjetë@
@tend@|@prirem, synoj@
@tendency@|@prirje@
@tennis@|@tenis@
@tent@|@çadër, tendë@
@tenth@|@dhjetë (i)@
@territory@|@trevë@
@test@|@provë, provoj@
@testify@|@dëshmoj@
@thank you@|@faleminderit@
@that@|@ai@
@that (so...)@|@saqë@
@that way@|@ashtu@
@the clock goes well@|@ora shkon mirë@
@the clock is correct@|@ora punon mirë@
@the clock is fast@|@ora shkon përpara@
@the clock is incorrect@|@ora punon keq@
@the clock is right@|@ora është në rregull@
@the clock is slow@|@ora mbetet prapa@
@the day after tomorrow@|@pasnesër@
@the day before yesterday@|@pardje@
@the end of the world@|@kiamet@
@the other way round@|@anasjelltas@
@theft@|@vjedhje@
@their@|@tyre (i)@
@theme@|@temë@
@then@|@atëherë, pastaj@
@there@|@andej, aty, ja@
@therefore@|@pra, prandaj@
@these@|@këta, këto@
@they@|@ato@
@thick@|@trashë (i)@
@thick bell-formed skirt@|@xhubletë@
@thigh@|@kofshë@
@thin@|@hollë (i)@
@think@|@ma merr mendja, mendoj@
@third@|@tretë (i)@
@this@|@kjo, ky@
@this way@|@kështu@
@this year@|@sivjet@
@thorax@|@kraharor@
@thorn@|@gjemb@
@though@|@ndonëse@
@thought@|@mendim@
@thread@|@fije@
@threaten@|@kërcënoj@
@three@|@tre@
@threshing-floor@|@lëmë@
@threshold@|@prag@
@thrifty@|@ekonomik, kursimtar@
@throat@|@grykë@
@throne@|@fron@
@through@|@nëpërmes@
@throw@|@hedh@
@throw away@|@flak@
@throw oneself@|@hidhem@
@thunder@|@bubullin, buças, gjëmon@
@thunderbolt@|@rrufe@
@Thursday@|@e enjte@
@ticket@|@biletë@
@tide@|@baticë@
@tidy@|@pastërt (i), rregullt (i)@
@tie@|@lidh, lidhje@
@tight@|@ngushtë (i)@
@tile@|@pllakë@
@till@|@lëroj@
@till now@|@deri tani@
@time@|@kohë@
@timetable@|@orar@
@tin@|@kuti konservash@
@tiny@|@imtë (i), pakët (i)@
@tip@|@majë@
@tiptoe@|@në majë të gishtave@
@tire@|@lodh@
@to@|@deri në, në, për, te/k@
@to fall into the trap@|@bie në kurth@
@to have a stroke@|@i bie pika@
@to the left@|@nga e majta@
@to the right@|@djathtas, nga e djathta@
@to wish@|@kam dëshirë@
@toast@|@dolli@
@tobacco@|@duhan@
@today@|@sot@
@today's@|@sotëm (i)@
@toe@|@gisht i këmbës@
@together@|@bashkë@
@token@|@shenjë@
@tomato@|@domate@
@tomb@|@varr@
@tomcat@|@maçok@
@tomorrow@|@nesër@
@ton@|@ton@
@tone@|@ton@
@tongs@|@darë@
@tongue@|@gjuhë@
@too@|@gjithashtu, si (e)dhe@
@tool@|@mjet, vegël@
@tooth@|@dhëmb@
@top@|@majë@
@toponym@|@toponim@
@topsy-turvy@|@tjetër për tjetër@
@torn@|@gris@
@torso@|@trung@
@tortoise@|@breshkë@
@touch@|@prek@
@tourist@|@turist@
@towel@|@peshqir@
@town@|@qytet@
@toy@|@lodër@
@trace@|@gjurmë@
@tractor@|@traktor@
@trade@|@tregti@
@tradesman@|@tregtar@
@tradition@|@traditë@
@traditional@|@tradicional@
@train@|@tren@
@training@|@stërvitje@
@trait@|@cilësi, tipar@
@translator@|@përkthyes@
@transparent@|@kulluar (i)@
@trap@|@kurth@
@travel@|@udhëtoj@
@tray@|@tabaka@
@tread@|@shkel@
@treasure@|@thesar@
@treat@|@gostis, mjekoj, përpunoj@
@treatment@|@trajtim@
@tree@|@dru, pemë@
@tress@|@gërshet@
@tribal@|@fisnor@
@tribe@|@fis@
@tripe@|@plëndës@
@trouble@|@dertim, hall, mundohem@
@trousers@|@pantallona@
@truck@|@kamion@
@trumpet@|@bori@
@trunk@|@trung@
@trust@|@besoj@
@truth@|@vërtetë (e)@
@try@|@gjykoj, mundohem, përpiqem, provoj@
@Tuesday@|@e martë@
@turbid@|@turbullt (i)@
@turkey@|@gjel deti@
@Turkish@|@turk@
@turn@|@kthej, rrotullim@
@turn back@|@ia kthej@
@turn green@|@bleron@
@turn grey@|@thinjem@
@turn over@|@përmbys@
@turn round@|@rrotullohet, sjell@
@turnover@|@xhiro@
@twelfth@|@dymbëdhjetë (i)@
@twelve@|@dymbëdhjetë@
@twenty@|@njëzet@
@twig@|@filiz@
@twinkle@|@xixëllon@
@twinkling@|@vezullues@
@twist@|@gjarpëron, përdredh, rrotullohet@
@twitter@|@cicërin@
@two@|@dy@
@two-storeyed@|@dykatësh@
@two-stringed lute@|@çifteli@
@tyrant@|@tiran@
@ugly@|@shëmtuar (i)@
@umbrella@|@çadër@
@uncle (father's brother)@|@xhaxha@
@uncovering@|@zbulim@
@under@|@nën@
@understand@|@marr vesh@
@undress@|@zhvesh@
@undressed@|@zhveshur (i)@
@unexpected@|@papritur (i)@
@unfasten@|@zgjidh@
@unforgettable@|@paharrueshëm (i)@
@unhappy@|@mjerë (i)@
@unification@|@bashkim@
@union@|@bashkim@
@united@|@bashkuar (i)@
@unknit@|@shthur@
@unmarried@|@beqar, pamartuar (i)@
@unplait@|@shthur@
@unprepared@|@papërgatitur (i)@
@unreversed decision@|@vendim i prerë@
@unsatisfactory@|@mangët (i)@
@untie@|@zgjidh@
@until@|@deri në, derisa@
@untruth@|@rrenë@
@unweave@|@shthur@
@unwritten@|@pashkruar (i)@
@up@|@sipër@
@upon@|@mbi, përmbi, përmbri@
@uprising@|@kryengritje@
@upside down@|@përmbys@
@upstairs@|@sipër@
@use@|@përdor, shfrytëzoj@
@useful@|@dobishëm (i)@
@usually@|@zakonisht@
@vagina@|@vagina@
@valley@|@luginë@
@value@|@vlerë@
@various@|@larmë (i), ndryshëm (i), shumëllojshëm (i)@
@vegetable@|@bimor@
@vegetable pie@|@lakror@
@vegetables@|@perime@
@vegetation@|@bimësi@
@ventilate@|@ajros@
@verandah@|@verandë@
@verdure@|@blerim, gjelbërin@
@vernal@|@pranveror@
@verse@|@varg@
@very@|@shumë@
@vest@|@këmishë@
@vice@|@huq, ves@
@vice-director@|@nëndrejtor@
@victor@|@fitimtar@
