@Ligurian@|@English@
@mediatô@|@mediator@
@médico@|@medical@
@Mediêvo@|@Middle Ages@
@meditâ@|@to meditate@
@meditaçión@|@meditation@
@Mediterànio@|@Mediterranean@
@mêgâ@|@to medicate, to treat@
@Mêgi@|@Megli (GE)@
@mêgio@|@better, best@
@megiorâ@|@to improve@
@megioraménto@|@improvement@
@mêgo@|@doctor, medical@
@mêgo di éuggi@|@oculist@
@mêgón@|@healer, quack, witch doctor@
@méi (nm)@|@apple@
@méi cotógno (nm)@|@quince@
@meión@|@melon@
@méistra@|@teacher (f)@
@méistro@|@teacher (m)@
@meitâ@|@to deserve@
@meitæ@|@half, middle@
@méixi (mpl)@|@months@
@meixìnn-a@|@medicine@
@meizànn-a@|@aubergine, eggplant@
@méize@|@month@
@méizia@|@kneading trough@
@méizoa@|@kneading trough@
@méizou@|@woman's veil (ancient)@
@mélica@|@maize@
@melodîa@|@melody@
@melón@|@melon@
@memöia@|@memory@
@ménbro@|@member@
@menèstra@|@soup@
@menestrón@|@soup@
@menisâ@|@to chop@
@menìsso@|@shred@
@ménn-a@|@kind, type, sort@
@mêno@|@less@
@mêno mâ!@|@thank goodness!@
@mensión@|@mention@
@mensionâ@|@to mention@
@ménte (nf)@|@mind@
@mentî@|@to lie@
@ménto@|@chin@
@méntre@|@while, whilst@
@menù@|@menu@
@menuçiôzo@|@meticulous, precise, accurate@
@menûto@|@minute@
@mèrçe (nf)@|@goods@
@mercoledì@|@Wednesday@
@mercòu@|@market@
@Mercûio@|@Mercury@
@mèrda (volg.)@|@shit@
@meréllo@|@strawberry@
@Merêxo@|@Millesimo (SV)@
@meritâ@|@to deserve@
@mèrlo@|@blackbird@
@mesagê@|@messenger@
@mesàggio@|@message@
@mescciâ@|@to mix@
@mésccio@|@mixed@
@mescciûa@|@mix, mixture@
@meschìggia@|@mix, mixing@
@meschìn@|@poor@
@meschinétto@|@poor@
@mesciâ@|@to move@
@mescicàn@|@Mexican@
@Méscico@|@Mexico@
@méscite!@|@move! (you)@
@mescùggio@|@mix, mixing@
@mesiâvo@|@grandfather@
@mesoîa@|@sickle@
@méssa@|@mass@
@mestê@|@craft, trade, profession, occupation@
@metàfora@|@metaphore@
@metafòrico@|@metaphoric@
@metàlico@|@metallic@
@metàllo@|@metal@
@metî (Savona)@|@to put@
@meticolôzo@|@meticulous, thorough@
@Metìrde@|@Matilda, Matilde, Mathilda, Mathilde@
@métise@|@to put oneself@
@métise a töa@|@to sit down at the table@
@mêtro@|@metre, meter@
@métte@|@to put@
@métte a bàgno@|@to soak@
@métte a réizego@|@to put at stake, to risk@
@métte a scabéccio@|@to marinate (food)@
@métte cû e spàlle a-a miâgia@|@to put someone in a life-or-death situation@
@métte e manétte@|@to handcuff@
@métte in ciæo@|@to make clear@
@métte o sùcou@|@to sugar, to put sugar in, to add sugar to@
@métte poîa@|@to frighten@
@meu@|@wharf, pier, quay, mole@
@mêua@|@back tooth, molar@
@méuio@|@ripe, mature@
@Méurgo@|@Morego (GE)@
@mêuve@|@to move@
@mêxìnn-a@|@medicine@
@Mezànego@|@Mezzànego (GE)@
@mêzanéutte@|@midnight@
@mezanìn@|@mezzanine floor@
@mezengón@|@shrew@
@meziâ@|@to measure@
@mêzo@|@half, middle@
@mêzo mòrto@|@half-dead@
@mêzogiórno@|@midday, noon@
@mezomainâ (nm)@|@pike pole, boat hook@
@mezuâ@|@to measure@
@mi@|@I, me@
@mi acàtto@|@I buy@
@mi açéndo@|@I turn on@
@mi aniö@|@I will go@
@mi arechéuggio@|@I pick up@
@mi arîvo@|@I arrive@
@mi aspêto@|@I wait for, I await@
@mi atrêuvo@|@I find@
@mi avéiva fæto@|@I had done@
@mi aviéiva fæto@|@I would have done@
@mi aviö@|@I will have@
@mi aviö fæto@|@I will have done@
@mi bâgio@|@I yawn@
@mi béivo@|@I drink@
@mi bóggio@|@I boil@
@mi çèrno@|@I choose@
@mi conpónn-o@|@I compose@
@mi côro@|@I run@
@mi costroîscio@|@I build@
@mi créddo@|@I believe@
@mi crêuvo@|@I cover@
@mi dàggo@|@I give@
@mi destrûo@|@I destroy@
@mi dêvo@|@I must, I owe@
@mi dìggo@|@I say@
@mi diö@|@I will say@
@mi éduco@|@I educate@
@mi êo/êa@|@I was@
@mi évito@|@I avoid@
@mi faiéiva/faiæ@|@I would do@
@mi faiö@|@I will do@
@mi fàsso@|@I do@
@mi fâva/fâvo@|@I did, I used to do@
@mi finìscio@|@I finish@
@mi gh'ò@|@I have (possess)@
@mi gh'ò bezéugno de...@|@I need...@
@mi gh'ò da@|@I must@
@mi gödo@|@I enjoy@
@mi ìnpo@|@I fill@
@mi inséiscio@|@I insert@
@mi lêzo@|@I read (present)@
@mi me dêuo@|@I am sore@
@mi me màio@|@I get married@
@mi me vésto@|@I get dressed@
@mi médito@|@I meditate@
@mi métto@|@I put (present)@
@mi mogógno@|@I complain@
@mi nêuo@|@I swim@
@mi no pòsso@|@I cannot@
@mi no sò cös'a ségge@|@I don't know what it is (f)@
@mi ò açéizo@|@I turned on@
@mi ò aspêtòu@|@I have awaited@
@mi ò destrûto@|@I destroyed@
@mi ò fæto@|@I have done@
@mi ò spêtòu@|@I have awaited@
@mi òçio@|@I idle@
@mi òdio@|@I hate@
@mi òffro@|@I offer@
@mi pàggio@|@I seem@
@mi pâo@|@I seem@
@mi pàrlo@|@I speak@
@mi péio@|@I peel@
@mi pòrto@|@I bear@
@mi pòsso@|@I can@
@mi recàmmo@|@I embroider@
@mi rîo@|@I laugh@
@mi særo@|@I close@
@mi scancèllo@|@I delete@
@mi schêuvo@|@I draw (money)@
@mi scigôo@|@I whistle@
@mi sciòrto@|@I go out@
@mi sò@|@I know@
@mi són@|@I am@
@mi són chéito@|@I fell@
@mi són existîo@|@I existed@
@mi spêto@|@I wait for, I await@
@mi stàggo@|@I am@
@mi tâxo@|@I keep silent@
@mi tòlero@|@I tolerate@
@mi tradûo@|@I translate@
@mi trêuvo@|@I find@
@mi vàddo@|@I go@
@mi vàrio@|@I vary@
@mi vêgno@|@I come@
@mi véuggio@|@I want@
@mi vêuo@|@I empty@
@mi vìxito@|@I visit@
@mi xêuo@|@I fly@
@miâ@|@to look at@
@mîa 'n pö!@|@Go figure!@
@miâco@|@miracle@
@miâcoi (mpl)@|@miracles@
@miâgétta@|@low wall@
@miâgia@|@wall@
@miâgia a sécco@|@dry-stone wall@
@miànde (fpl)@|@underpants (men's), underwear, pants (men's)@
@mìcco@|@monkey@
@micelâ (nf)@|@flick (with finger)@
@Michê@|@Michael@
@mîga@|@even, not even@
@mìgge (fpl)@|@miles@
@mìggio@|@mile@
@migiâ (nm)@|@thousand@
@migiæa (fpl)@|@thousands@
@Mignànego@|@Mignanego (GE)@
@Milàn@|@Milan@
@milanéize@|@from Milan (Lombardy)@
@milêximo@|@thousandth@
@Milêximo (Sànn-a)@|@Millesimo (SV)@
@miliàrdo@|@billion@
@milìçia@|@militia@
@milión@|@million@
@mìlle@|@thousand@
@minción@|@stupid@
@mincionàia@|@foolishness, silliness@
@minerâle@|@mineral@
@mìnimo@|@minimum, tiniest@
@minô@|@minor, lower, under age, younger@
@minorànsa@|@minority@
@minôre@|@minor, lower, under age, younger@
@mìscile@|@missile@
@mìscio@|@poor@
@miscionâio@|@missionary@
@mîto@|@myth@
@mizêia@|@misery@
@moæ (nf)@|@mother@
@Moànego@|@Moranego (GE)@
@mòbile (nm)@|@piece of furniture@
@mobìlia (nf)@|@furniture@
@mòdda@|@fashion@
@moderâ@|@to moderate@
@modèrno@|@modern@
@moderòu@|@moderate@
@modificâ@|@to modify@
@moêlo@|@purple@
@moén (fpl)@|@hands@
@mogê@|@wife@
@mogognâ@|@to complain@
@mogógno@|@complaint@
@mogognón@|@whiner@
@moî@|@to die@
@moiégna@|@stepmother@
@Moîgàllo@|@Morigallo (GE)@
@Moìn de Triêua@|@Molini di Triora (IM)@
@Moìn d'Ötàggio@|@Molini di Voltaggio (Piedmont)@
@Moînétto@|@Mulinetto (Genoese river)@
@moìnn-a@|@godmother@
@mòllo@|@soft@
@moltiplicâ@|@to multiply@
@moltiplicaçión@|@multiplication@
@Momâ@|@Muhammad@
@moménto@|@moment@
@monæa@|@coin@
@monàrca@|@monarch@
@monarchîa@|@monarchy@
@mondâ@|@to peel, to shell@
@mónega@|@nun@
@monegàsco@|@Monegasque@
@Monêgia@|@Moneglia (GE)@
@Mónego@|@Monaco@
@monetâio@|@monetary@
@Monferâ@|@Monferrato (Piedmont)@
@Mongòlia@|@Mongolia@
@mongòlico@|@Mongolian, Mongol@
@mòngolo@|@Mongolian, Mongol@
@montâ@|@to go up, to get on, to ride, to climb@
@montâ (nf)@|@rise, ascent@
@montâ sciù@|@to climb@
@montàgna@|@mountain@
@montagnìn@|@mountaineer, mountain dweller@
@Montànexi@|@Montànesi (GE)@
@Montarseu@|@Montarsolo (Emilia)@
@Montâto@|@Montalto Ligure (IM)@
@mónte@|@mount@
@Montebrùn@|@Montebruno (GE)@
@Monterósso@|@Monterosso al Mare (SP)@
@Montesciöo@|@Montessoro (GE)@
@Montéuggio@|@Montoggio (GE)@
@Montexéllo@|@Monticelli (GE)@
@Montezignàn@|@Montesignano (GE)@
@monuménto@|@monument@
@mónze@|@to milk@
@möo@|@dark-skinned, brown@
@morâle@|@moral@
@mòrde@|@to bite@
@Morêre@|@Molare (Piedmont)@
@morêua@|@crushed shipbiscuits@
@moréuia@|@crushed shipbiscuits@
@moriâgio@|@muzzle@
@mormoâ@|@to whisper@
@Mornéize@|@Mornese (Piedmont)@
@morscelâ@|@bite, mouthful@
@mortâ (nm)@|@mortar@
@mòrto@|@dead@
@mòrto da-a fàmme@|@starved to death@
@Mórtoa@|@Mortola (IM)@
@mósca@|@fly (n)@
@moschêa@|@mosque@
@móscio@|@well-off, comfortable@
@móssa@|@nonsense, humbug, poppycock, lie@
@móssa (volg.)@|@cunt, vagina@
@mostàrda@|@mustard@
@mostrâ@|@to teach, to show@
@motô@|@motor@
@motôre@|@motor@
@mòtto de sùcou@|@sugar cube, sugar lump@
@mötûa@|@milling@
@mòula@|@crumb@
@moutîa@|@ailment, illness, sickness, disease@
@mòuto@|@sick, ill@
@mû@|@mule (m)@
@mûa@|@mule (f)@
@mùggio de schéuggi@|@reef@
@mùlta@|@fine (n)@
@mùrta@|@fine (n)@
@Mùrta (Zêna)@|@Murta (GE)@
@Murtiòu@|@Multedo (GE)@
@mùscolo@|@muscle@
@mùtto@|@mute, blunt@
@mûxica@|@music@
@muxicànte@|@musician@
@muxicìsta@|@musician@
@mûza@|@muse@
@muzangón@|@shrew@
@muzêo@|@museum@
@mûzou@|@mullet (fish)@
@'n@|@a (m)@
@'n âtro@|@another (m)@
@'n pö@|@a bit@
@'na@|@a (f)@
@'na vòtta@|@once, formerly@
@naçión@|@nation, country@
@naçionâ@|@national@
@naçionâle@|@national@
@næga@|@buttock@
@næghe (fpl)@|@buttocks@
@nàixa@|@nostril@
@naixâ (nf)(pop.)@|@whiff@
@naixâ (v)(pop.)@|@to smell@
@Nànni@|@John@
@nâno@|@dwarf@
@naofragâ@|@to be wrecked@
@naofrâgio@|@shipwreck@
@nàotico@|@nautical@
@nàpia (pop.)@|@big nose@
@Nàpoli@|@Naples@
@napolitàn@|@Neapolitan@
@narcòtico@|@narcotic@
@nàsce@|@to be born@
@Nàsche@|@Nasche (GE)@
@nasciménto@|@birth@
@nàscio de patàtta@|@potato sprout@
@nàscita@|@birth@
@nasciûo@|@born@
@natâle (nm)@|@Christmas@
@natîvo@|@native@
@'n'âtra@|@another (f)@
@nàtta@|@cork@
@naturalménte@|@of course, naturally@
@nâve (nf)@|@ship@
@navegâ@|@to navigate@
@navegaçión@|@navigation@
@navegatô@|@navigator, sailor@
@nazàsso@|@big nose@
@nâzo@|@nose@
@nâzo a-a becûa@|@aquiline nose@
@nâzo rebechîo@|@turned-up nose@
@né@|@neither, nor@
@Ne (Zêna)@|@Ne (GE)@
@nebieu@|@Nebbiolo (grape/wine)@
@necesâio@|@necessary@
@necescitæ@|@need@
@neétto@|@grandson (diminutive)@
@negâ@|@to drown@
@negaçión@|@negation@
@negatîvo@|@negative@
@néggia@|@fog@
@nêgia@|@wafer@
@negoçiâ@|@to negotiate@
@negoçiaçión@|@negotiation@
@negòçio@|@shop, business, trade@
@negràstro@|@blackish@
@néie (nf)@|@snow@
@néigro@|@black@
@Neión@|@Neirone (GE)@
@néive (nf)@|@snow@
@nemîgo@|@enemy@
@nêo@|@grandson, nephew@
@nepaléize@|@Nepalese@
@Nèrvi@|@Nervi (GE)@
@Nèrvia@|@Nervia (valley)(IM)@
@nervôzo@|@nervous@
@nesciàia@|@foolishness, silliness@
@néspoa@|@loquat, medlar@
@néssa@|@granddaughter, niece@
@Nèsto@|@Ernest@
@netezâ@|@to clean@
@netézzo@|@cleaning@
@Netìn@|@Anne@
@Netìnn-a@|@Anne@
@Nétta@|@Anne@
@nétto@|@clean, net@
@Netùn@|@Neptune@
@nêua@|@daughter-in-law@
@nêuno@|@ninth@
@néutte (nf)@|@night@
@nêuve@|@nine@
@nêuvo@|@new@
@nevétto@|@grandson (diminutive)@
@nêvo@|@grandson, nephew@
@nevrastenîa@|@neurasthenia@
@nevrasténico@|@neurasthenic, hot-tempered@
@nevròtico@|@neurotic@
@ni@|@neither@
@niâtri@|@we@
@niâtri atrovémmo@|@we find@
@niâtri sémmo@|@we are, we know@
@niâtri trovémmo@|@we find@
@nìbba@|@nothing@
@nicétta@|@niche@
@ninâ@|@to rock@
@Ninìn@|@Anne@
@Nìnna@|@Anne@
@ninsêua (Savona)@|@hazelnut@
@nìnte@|@nothing@
@nìnte ciù@|@nothing else@
@nîo@|@nest@
@nisàrdo@|@from Nice (France)@
@nisciùn@|@nobody, none, no one@
@nisciùnn-a@|@nobody (f), none (f), no one (f)@
@nisêua@|@hazelnut@
@Nìssa@|@Nice (France)@
@no@|@no, not@
@no bezéugna...@|@there is no need to..., not to have to (impersonal)@
@no ghe n'é@|@there is not@
@no ghe n'é ciù@|@there is no more@
@no gh'é...@|@there is not..., there are not...@
@no silâ@|@to shut up@
@no silâ!@|@shut up!@
@no stâ a sciugâ (pop.)@|@don't bother@
@'n'ôa@|@one hour, an hour@
@nóbile@|@noble@
@nobiltæ@|@nobility@
@noêzo@|@rent@
@Nöi@|@Noli (SV)@
@nölo (it.)@|@rent, frieght@
@nòmado@|@nomadic, nomad@
@nomenclatûa@|@nomenclature@
@nomiâgio@|@nickname@
@nominâ@|@to mention@
@nómme (nm)@|@name, noun@
@nómme de famìggia@|@surname@
@nònna@|@grandmother@
@nònno@|@grandfather@
@nöno@|@ninth@
@nöo@|@rent, frieght@
@nòrd@|@North@
@nórma@|@norm, rule@
@normâle@|@normal@
@normalménte@|@normally@
@norvegéize@|@Norwegian@
@Norvêgia@|@Norway@
@nósse (fpl)@|@wedding@
@nostalgîa@|@nostalgia, homesickness@
@nòstra@|@ours (fsing)@
@nòstre@|@ours (fpl)@
@nòstri@|@ours (mpl)@
@nòstro@|@ours (msing)@
@notificâ@|@to notify@
@notoànn-a@|@night@
@'n'òtta (pop.)@|@once, formerly@
@noufragâ@|@to be wrecked@
@noufrâgio@|@shipwreck@
@noutrâle@|@neutral@
@novànta@|@ninety@
@novénbre@|@November@
@novitæ@|@novelty@
@Noxægo@|@Nozarego (GE)@
@nôxe (nf)@|@nut@
@nôxe moscâ@|@nutmeg@
@Noxòu@|@Noceto (GE)@
@nuâ@|@to swim@
@nùcca@|@back of the neck@
@nùllo@|@void, invalid@
@nùmero@|@number@
@nûo@|@naked@
@nutriménto@|@nourishment, food@
@nutritîvo@|@nutritive@
@nûvia@|@cloud@
@nûvio@|@cloudy@
@ò@|@or@
@o (msing)@|@the (msing)@
@O Çeiâ@|@Ceriale (SV)@
@o ciù@|@most@
@o ciù ... poscìbile@|@as ... as possible@
@o ciù do ténpo@|@most of the time@
@o contrâio@|@the other way about, the contrary@
@O Dé@|@Dego (SV)@
@O Gorêio@|@Gorreto (GE)@
@o l'é@|@he is, it is (m)@
@o mæ@|@my (m), mine (m)@
@o mæximo@|@the same, the same thing@
@o me mànca@|@I miss him, I miss it (m)@
@o mêgio@|@the best thing, the best (m)@
@o méize chi vêgne@|@next month@
@o méize pasòu@|@last month@
@o méize pròscimo@|@next month@
@o nòstro@|@our (msing)@
@o quæ@|@which (m)@
@o seu@|@his (m), her (m)@
@o sò@|@his (m), her (m)@
@o vòstro@|@your (you all)(msing)@
@ôa (nf)@|@hour, time@
@oæa (nf)@|@ovary@
@Òbèrto@|@Albert@
@òbligatöio@|@compulsory@
@òbligo@|@obligation@
@òbligòu@|@obliged@
@öca@|@goose@
@òcaxón@|@occasion@
@oçêano@|@ocean@
@öchìn@|@gull (bird)@
@öchìn de mâ (nm)@|@seagull, gull (bird)@
@òçiâ@|@to idle@
@Oçidénte@|@West@
@òçio@|@leisure, idleness@
@òçiôzo@|@idle@
@òcôre@|@to be necessary@
@òcorî@|@to be necessary@
@òcupâ@|@to occupy@
@òcupaçión@|@occupation, profession@
@òcupòu@|@busy, occupied@
@òdiâ@|@to hate@
@òdio@|@hatred, hate@
@odiôzo@|@hateful, odious@
@ödô@|@smell, odour@
@ödô de bruxòu@|@burning smell, smokey smell@
@ödoâ@|@to smell@
@ödoî (mpl)@|@smells (pl)@
@Oê@|@Orero (GE)@
@ôe (fpl)@|@hours@
@oêgê (nm)@|@pillow@
@oêgìn (nm)@|@earring@
@oêgio@|@ear, hearing@
@oénn-a@|@urine@
@oêxìn@|@rim, edging, crimping (pastry)@
@oféiza@|@offence@
@ofénde@|@to offend@
@ofenscîvo@|@offensive@
@òfèrta@|@offer@
@öféuggio@|@laurel@
@ofiçiâ@|@official@
@ofiçieu@|@wax candle@
@òfiçìnn-a@|@workshop@
@ofìçio@|@office@
@òfrî@|@to offer@
@ògétto@|@object@
@ògni@|@each, every@
@ògni tànto@|@from time to time, every now and then@
@ògni vòtta@|@every time@
@ògnidùn@|@each one (m)@
@ògnidùnn-a@|@each one (f)@
@ògnùn@|@each one (m)@
@öia@|@olive@
@oinâ (nm)@|@chamber pot@
@oîva@|@olive@
@òiva@|@olive@
@olìnpico@|@olympic@
@omàggio@|@homage, tribute@
@òmétte@|@to omit@
@òmmo@|@man@
@òmosesoâle@|@homosexual@
@ónbra@|@shadow@
@onbrisàllo@|@navel@
@ónda@|@wave@
@ónde@|@where@
@ónde (nfpl)@|@waves@
@ónde t'ê? (pop.)@|@where are you?@
@ondezâ@|@to ripple@
@Onêgia@|@Oneglia (IM)@
@ònestæ@|@honesty@
@ònèsto@|@honest@
@ónge (fpl)@|@nails (on fingers)@
@óngia@|@nail (on finger)@
@önô@|@honour@
@ónsa@|@onze@
@ónze@|@to anoint@
@öo@|@gold@
@òpea@|@work@
@òpera@|@work, opera@
@òperaçión@|@operation@
@òperâio@|@worker (factory/construction)@
@òperatîvo@|@operative@
@òpinâ@|@to express an opinion@
@òpinión@|@opinion@
@òpio@|@opium@
@òpónise@|@to be opposed@
@òpónn-e@|@to oppose, to object@
@òportunitæ@|@opportunity, chance@
@òpòsto@|@opposite@
@òpoxiçión@|@opposition@
@òpoxitô@|@oppositor@
@òpresción@|@oppression@
@òpsión@|@option@
@òpû@|@or@
@òpûre@|@or@
@oragàn@|@hurricane@
@orâio@|@timetable@
@orâle@|@oral@
@Órba@|@Olba (SV)@
@òrbixàn@|@short-sighted@
@òrbo@|@blind@
@òrchèstra@|@orchestra@
@ordenâ@|@to order, to put in order@
@ordenâio@|@ordinary@
@òrdenâio@|@coarse, gross@
@ordinâ@|@to order@
@órdine (nm)@|@order@
@ordîo@|@warp@
@òréndo@|@horrible@
@òrganizâ@|@to organize, to arrange, to plan@
@òrgano@|@organ@
@orghéuggio@|@pride@
@orgogiôzo@|@proud@
@òrìbile@|@horrible@
@òrido@|@horrible@
@Oriénte@|@East@
@òriginâio@|@native, primitive@
@òriginâle@|@original@
@òrìgine (nf)@|@origin@
@orizontâle@|@horizontal@
@orizónte (nm)@|@horizon@
@òrlo@|@rim@
@órma@|@footstep@
@òrmezâ@|@to moor@
@òrmézzi (mpl)@|@moorings@
@òrmézzo@|@moorings@
@órmo@|@elm tree@
@Órmo@|@Olmo (SV)@
@òrô@|@horror@
@òrsio@|@barley@
@órso@|@bear@
@òrtàggi (mpl)@|@vegetables@
@òrtàggio@|@vegetable@
@òrtîga@|@nettle (stinging)@
@òrto@|@orchard@
@ortoàn@|@truck farmer, market gardener@
@Ortoê@|@Ortovero (SV)@
@Òrtonêuvo@|@Ortonovo (SP)@
@orzeu@|@sty@
@òspite (nm)@|@guest@
@òsse (fpl)@|@bones@
@òsso@|@bone@
@òsso do pêto@|@breastbone, sternum@
@òstàcolo@|@obstacle, hindrance@
@òstrega@|@oyster@
@òtànta@|@eighty@
@òtâvo@|@eighth@
@òtico@|@optical@
@òtôbre@|@October@
@Ôtri@|@Voltri (GE)@
@òtta (pop.)@|@time (occasion)@
@òua@|@now@
@òuco@|@tawny owl@
@òuco giànco@|@barn owl@
@oudiçión@|@audition@
@òudio@|@audio@
@ouditîvo@|@auditive@
@ouféuggio@|@laurel@
@oumentâ@|@to increase, to rise@
@ouménto@|@increase, rise@
@Ouröpa@|@Europe@
@Oustràlia@|@Australia@
@oustraliàn@|@Australian@
@outéntico@|@authentic@
@outô@|@author@
@òutobo@|@bus@
@outodeterminaçión@|@self-determination@
@outògrafo@|@autograph@
@outöio@|@oratory@
@outomòbile@|@automobile, car@
@outonomîa@|@autonomy@
@outònomo@|@autonomous@
@outoritræto@|@self-portrait@
@outostràdda@|@motorway, highway@
@outrîxe (nf)@|@authoress@
@outùnno@|@fall, autumn@
@ouxiliâ@|@auxiliary@
@Òvâda@|@Ovada (Piedmont)@
@òvâia@|@ovary@
@òvest@|@West@
@òviaménte@|@obviously@
@òvio@|@obvious@
@öxelêa@|@aviary@
@öxéllo@|@bird@
@òzâ@|@to dare@
@pâ (nm)@|@pair@
@pâa@|@shovel@
@paâ (nf)@|@shovelful@
@Paæo@|@Pareto (GE)@
@pàcco@|@pack@
@pachistàn@|@Pakistani@
@pacialàn@|@chubby@
@paçiénsa@|@patience@
@paçiénte@|@patient@
@paciòrnia@|@phlegm@
@paciûgo@|@mess, muddle@
@padàn@|@Padanian (relating to river Po)@
@pàddre@|@Father (religious)@
@padelétta@|@visor (of a helmet), peak (of a cap)@
@padigión@|@pavilion@
@padrón@|@owner, chief, boss@
@pægio@|@same, equal@
@pægoa (nm)@|@umbrella@
@pæntòu@|@surname@
@pæta@|@fire shovel@
@pæta da spàlla@|@shoulder blade, scapula@
@pagâ@|@to pay@
@pagâ 'n débito@|@to solve a debt@
@pagaménto@|@payment@
@pagàn@|@pagan@
@pàggia@|@straw@
@pagiàsso@|@clown@
@pâgou@|@red porgy (fish)@
@paî@|@to seem@
@pài@|@to seem@
@paizàggio@|@landscape@
@paizàn@|@countryman, peasant@
@paizànn-a@|@countrywoman, peasant (f)@
@pàize (nm)@|@town, country@
@paizìn@|@small town, hamlet, village@
@pâla@|@shovel@
@palàçio@|@building@
@palànca@|@banknote@
@Palèrmo@|@Palermo (Sicily)@
@pàlido@|@pale@
@pâlo@|@stick@
@pâmito@|@longline (fishing)@
@pàn@|@bread@
@pàn pöso@|@stale bread@
@Pànama@|@Panama@
@panaménse@|@Panamanian@
@panê (nm)@|@ass, bin@
@panetê@|@baker@
@Pànexi@|@Pannesi (GE)@
@pànico@|@panic@
@panisón@|@simpleton, dummy, easy-minded@
@panìssa@|@chickpea-flour cakes (Liguria)@
@pànna@|@cream@
@pànno@|@cloth, woollen cloth@
@panpalûgo@|@simpleton, dummy, easy-minded@
@pànsa@|@belly@
@pantaloìn (mpl)@|@trousers@
@pantalón@|@trousers@
@pàoza@|@pause@
@papà (nm)@|@dad@
@papagàllo@|@parrot@
@papàveo@|@poppy@
@papê@|@paper@
@papê de stràssa (nm)@|@waste paper@
@parabréssa (nm)@|@windscreen, windshield@
@paràdda@|@parade@
@paradîzo@|@paradise, heaven@
@paradòsso@|@paradox@
@parægoa (nm)@|@umbrella@
@paragoaiàn@|@Paraguayan@
@paragón@|@comparison@
@paragonâ@|@to compare@
@paralêlo@|@parallel@
@paralizâ@|@to paralyze@
@parascîto@|@parasite@
@parchezâ@|@to park@
@parchézzo@|@parking@
@parçiâle@|@partial@
@pàrco@|@park@
@parcoscénico@|@stage (theatre)@
@pàreco@|@parson, parish priest@
@parénte@|@relative (n)@
@Parìggi@|@Paris@
@parisêua@|@tit (bird)@
@parlâ (nf)@|@speech@
@pàrla (nf)@|@speech@
@parlâ (v)@|@to speak, to talk@
@parlànte@|@talking, speaker@
@pàrma@|@palm@
@parmæa@|@moorings@
@Parmæa (A Parmæa)@|@Palmaria (island)@
@parmixàn@|@Parmesan@
@paròchia@|@parish church@
@parodîa@|@parody@
@paròlla@|@word@
@paròlla d'órdine@|@password@
@paròlle (fpl)@|@words@
@parpagêua@|@parpagliola (Genoese coin)@
@parpagión (nm)@|@butterfly@
@parpelâ@|@to blink@
@parpelétta@|@butterfly@
@parpélla@|@eyelid@
@parpezâ@|@to palpate@
@parpitâ@|@to throb, to beat (heart)@
@pàrte@|@part@
@parteçipâ@|@to participate@
@parteçipaçión@|@participation@
@parténsa@|@departure@
@partî@|@to leave, to go away, to depart@
@partîa@|@game, match@
@partiçipâ@|@to participate@
@partiçipaçión@|@participation@
@partìcola@|@particle@
@particolâre@|@particular@
@particolaritæ@|@particularity@
@partîo@|@party (politics)@
@partitûa@|@sheet music, score (music)@
@pasâ a-i ezàmmi@|@to pass exams@
@pasâ dotô@|@to graduate from university, to graduate@
@pasapòrto@|@passport@
@pasaténpo@|@hobby@
@pàsce@|@to graze@
@pasción (nf)@|@passion@
@pasción (nm)@|@stick@
@pascolâ@|@to pasture@
@pasegiâ (nf)@|@stroll@
@pasegiâ (v)@|@to stroll@
@pasegìn@|@pram, baby carriage@
@pàsoa@|@sparrow (bird)@
@pasoêta@|@sparrow (bird)@
@pasòu@|@past, last@
@Pàsqua@|@Easter@
@Pasquêta@|@Epiphany@
@pàsso@|@pass, step@
@pàsta@|@pasta, dough@
@pàsta de câza@|@homemade pasta@
@pàsta sféuggia@|@puff pastry@
@pastiçê@|@pastry chef@
@pastìssi (nmpl)@|@trouble@
@pâta@|@mud@
@patæli (nmpl)@|@diapers@
@pâtàn@|@mud@
@patàtta@|@potato@
@patêca@|@watermelon@
@paternitæ@|@paternity@
@patî@|@to suffer@
@pàtini (mpl)@|@skates@
@pàtria@|@homeland@
@patrimònio@|@patrimony, heritage@
@patriòtico@|@patriotic@
@pàtta@|@blow, knock, kick@
@pàtto@|@pact@
@patùggia@|@patrol@
@Pavê@|@Paveto (GE)@
@pâxe (nf)@|@peace@
@paxìfico@|@peaceful@
@paxifìsta@|@pacifist@
@pâxo@|@palace@
@pe@|@for, to (purpose)@
@pê@|@foot, feet, kick@
@Pê (nómme)@|@Peter@
@pe amô de Dîo@|@for God's sake@
@pe câxo@|@by chance@
@pe cónto pròpio@|@on one's own, by oneself alone@
@pe cóntra@|@on the contrary, on the other hand@
@pe cóntro@|@on the contrary, on the other hand@
@pe cortexîa@|@please, for pity's sake@
@pe de ciù@|@moreover, furthermore, as well@
@pe de lóngo@|@always, continuously, all the time, forever@
@pe de ôe@|@for hours@
@pe fòrsa@|@for sure, inevitably, no wonder@
@pe in davéi@|@really, indeed@
@pê into cû (nm)@|@kick in the ass@
@pe 'n davéi@|@really, indeed, truly@
@pe nìnte@|@at all, for nothing@
@pe òua@|@for the moment, for the time being, for now@
@pe piaxéi@|@please@
@pe quànte ne sò@|@as far as I know@
@pe sénpre@|@forever@
@pe stràdda@|@down the street@
@pe tæra@|@on the floor, on the ground@
@pe-a@|@for the (fsing)@
