@English@|@Shimaore@
@sickle@|@ngandi@
@side@|@bavu, mabavu, uvandre, vandre@
@sifter@|@difu, malifu@
@sifter for flour@|@shitsunga, zitsunga@
@Significance@|@Maana@
@silly@|@mujinga, wajinga@
@Silly@|@Of aba@
@silver@|@fedha@
@Similar@|@Sawa@
@sinew@|@mizipa, mshipa@
@sing@|@uhimba@
@Sinned@|@Maansui@
@sister@|@mamatiti, mwanananya mtru-mama, wamamatiti@
@sister-in-law@|@mazemedji, mwamu, shemedji, wamu, wamwamu@
@sit@|@uketsi@
@sit down@|@-ketsi@
@sit down!@|@ketsi!, namuketsi!@
@Six@|@Sita@
@sixth@|@Sita@
@sixty@|@sitini@
@size@|@utronga@
@skate@|@tra@
@skewer@|@mishakiki, Mushakiki@
@Skewer of meat@|@Mushakiki@
@skillet@|@tasa@
@skin@|@ngwezi@
@skirt@|@jipo@
@Slave@|@Matreka@
@sleep@|@-lala, tsinzi@
@sleep!@|@lala!@
@sleeves@|@mihono@
@slow heat@|@moro mtiti@
@small@|@mutiti, titi@
@small bone@|@shiba, ziba@
@small earth@|@nyambo titi@
@small yellow fruit@|@tsenavu@
@smallness@|@utiti@
@smoked@|@mesi, mwesi@
@smooth@|@Laini@
@snail@|@kowa, makowa@
@snake@|@nyoha@
@so@|@safe@
@so that@|@pare@
@soak@|@-lodza@
@soak in pepper@|@upatsa putu@
@soap@|@sabuni@
@society@|@djama, mashirika, Shirika@
@sock@|@hofu, mahofu@
@socks@|@foba za mwana@
@sofa@|@kanape@
@soft@|@Laini@
@soft banana@|@masindza., sindza@
@soil@|@utria trotro@
@sole of the foot@|@karo, makaro, mkaro@
@some@|@- vwa@
@son@|@mwanamtsa mtru-baba, mwanamtsa mutru-baba@
@son (1)@|@wanatsa watru-baba@
@song during one feast@|@tari@
@son-in-law@|@muha, wamuha@
@soon@|@tsi hauls@
@sorcery@|@ugangi@
@sort of dance@|@Diridji@
@soul@|@roho@
@soup spoon@|@sutru bole@
@sour@|@kali@
@sour mango@|@manga kali@
@soursop@|@konokono miba@
@south@|@swilihi.@
@South@|@Suheli@
@South of France@|@Adhuhuri@
@spade@|@lapeli@
@speak@|@-lagua, ulagua@
@specialist@|@mutaalamu, wataalamu@
@species@|@namna@
@speech@|@hutuba, Kauli@
@Spices@|@Masala@
@spider@|@shitrandrabwibwi@
@spitefulness@|@Shari@
@spoon@|@ma-, masutru, sutru@
@sport@|@sipori@
@spread in the sun@|@-aniha@
@squash@|@utsera@
@squid@|@pwedza langisi@
@Staff & Pupils@|@Watru@
@Staircase@|@daradja@
@stairs@|@leskalye@
@standard@|@kilasi@
@Star@|@Nyora@
@star fish@|@nyora ya baharini@
@star fruit@|@uhaju wa shihindi@
@State of health@|@Hali@
@stays up it@|@vojana@
@stepchild@|@mwana kambo@
@stepfather@|@baba kambo@
@stepmother@|@mama kambo, nyadza@
@stick clover@|@paho@
@Still@|@Daima@
@stink@|@uvundro@
@stitch@|@ufuma nguo, usona@
@stock breeder@|@mutsunga, wamutsunga@
@stomach@|@mimba, trumbo@
@stone@|@bwe, mawe@
@store@|@duka, maduka@
@storied house@|@nyumba ya dari@
@story@|@dari@
@strainer@|@difu@
@straw hat@|@sombrero@
@straw mat for meals@|@djavi, madjavi@
@straw mat for meals)@|@djavi, majavi@
@street@|@ndzia@
@Stringed instrument@|@gabusi@
@stripe@|@kuba@
@strong wind@|@mnyombeni@
@struggle mahorian@|@murenge@
@stubborn@|@mukaidi, wakaidi@
@stubbornness@|@bidia@
@student@|@mwanashioni, wanazioni@
@stump of tree@|@shihonko, zihonko@
@Stupid@|@Hayawani@
@Subjects@|@Misomo@
@Such@|@Kadha@
@suck@|@usondza@
@suddenly@|@ha uhafula@
@sugar@|@sukari@
@sugar apple@|@konokono matso@
@sugar cane@|@miya, muwa, muwa miya@
@suit@|@kotri, mahotri@
@sulphurizing@|@kali, muhali@
@sun@|@jua@
@sunday@|@mufumovili@
@superior@|@uju@
@supplies@|@mariziki, Riziki@
@surgical block@|@bloku@
@swahili language@|@shiswahili@
@swallow@|@-medza, umedza@
@sweat@|@hari@
@sweater@|@triko@
@sweep@|@-hundza@
@sweep the yard@|@uhundza lakuru@
@sweeper@|@muhundza lakuru, wamuhundza lakuru@
@sweet potato@|@batata@
@sweetens@|@sukari@
@swim@|@uheleya@
@swimsuit@|@mayo@
@switch off@|@-zima@
@sword@|@shipaza@
@swordfish@|@mtontso@
@table@|@latabu, meza@
@table cloth@|@kitambaa@
@tail@|@mishia, mushia@
@talkative@|@mubwabwa, wabwabwa@
@tamarind@|@mauhaju, uhaju, uhaju@
@tamarind tree@|@mimuhaju, muhaju@
@tambourine@|@tari@
@tamrind@|@uhaju@
@tanga@|@stringili@
@tangerine@|@balandzi, mabalandzi@
@tank-top@|@triko ya kapwani@
@taro leaves@|@feliki majimbi@
@tasting laddle@|@shiwi, ziwi@
@taxicab@|@taksi@
@tea@|@dite, tshai@
@tea spoon@|@sutru titi@
@teach@|@-somedza, -somesa@
@teacher@|@fundi, mafundi@
@tear@|@matsozi, mtsozi, tsozi, utsozi@
@tear up@|@urandrua@
@tears@|@matsozi@
@teat@|@titine@
@teddy@|@bodi@
@teenager@|@mashababi, shab'ab'i@
@teeth@|@manyo@
@television@|@tele@
@tell@|@-ambia@
@temperature@|@homa@
@tench@|@sale@
@tenth@|@kumi@
@Terrace@|@baraza@
@Thank you@|@Marahaba@
@thank you very much@|@asanta@
@that@|@amba@
@that  they don't make!@|@wasifanye !@
@that comes back from the Mecca@|@Hadji@
@That doesn't make anything@|@Haidhuru@
@That he is not there@|@Amba waye kavo@
@that him doesn't make!@|@asifanye !@
@that him makes!@|@nafanye !@
@that I come@|@nije@
@that I come!@|@nanije !@
@that I don't come@|@nisije@
@that I don't come!@|@nisije!@
@that I don't go@|@nisiendre@
@that I don't go!@|@nisiendre !@
@that I don't make@|@nisifanye !@
@that I go@|@niendre@
@that I go!@|@naniendre!@
@that I made@|@nafanya@
@that I make@|@nifanyao, nifanye@
@that I make!@|@nanifanye !@
@that I will make@|@nitsofanyao@
@That is sufficient@|@Basi@
@that it doesn't go@|@asiendre@
@that means@|@yaani@
@that she doesn't come@|@asije@
@that she doesn't come!@|@asije!@
@that she doesn't go!@|@asiendre!@
@that she doesn't make@|@asifanye@
@that she made@|@afanya@
@that she makes@|@afanyao, afanye@
@that she will make@|@atsofanyao@
@that they come@|@waje@
@that they come!@|@nawaje!@
@that they don't come@|@wasije@
@that they don't come!@|@wasije !@
@that they don't go@|@wasiendre@
@that they don't go!@|@wasiendre!@
@that they don't make@|@wasifanye@
@that they go@|@waendre@
@that they made@|@wafanya@
@that they make@|@wafanyao, wafanye@
@that they make!@|@nawafanye!@
@that they will make@|@watsofanyao@
@that way@|@hunu@
@that we came@|@rije@
@that we didn't come@|@risije@
@that we didn't go@|@risiendre@
@that we don't make@|@risifanye@
@that we made@|@rafanya@
@that we make@|@rifanyao, rifanye@
@that we went@|@riendre@
@that we will make@|@ritsofanyao@
@that you came (pl)@|@muje@
@that you come@|@uje@
@that you didn't come (pl)@|@musije@
@that you didn't go@|@musiendre@
@that you don't come@|@usije@
@that you don't go@|@usiendre@
@that you don't make@|@usifanye@
@that you don't make (pl)@|@musifanye@
@that you go@|@uendre@
@that you made@|@uafanya@
@that you made (pl)@|@mwafanya@
@that you make@|@ufanyao, ufanye@
@that you make (pl)@|@mufanyao, mufanye@
@that you went (pl)@|@muendre@
@that you will make@|@utsofanyao@
@that you will make (pl)@|@mutsofanyao@
@that?@|@afa@
@thatch@|@unyasi@
@thatch a house@|@-zimba nyumba@
@that's good@|@isitawi@
@that's his size@|@ya sawa sawa@
@the@|@i, li, ya, zi@
@The attics are full@|@Zikanya zajaya@
@The burnt lands spilled@|@Kokotsa labarizi@
@the car@|@ligari@
@the cars@|@yamagari@
@the child@|@umwana@
@the children@|@uwana@
@the day before yesterday@|@zuzi@
@the fishing is good@|@fi zisilisa@
@the furniture@|@mebli@
@the hair@|@nyele, nyole@
@the hand@|@umuhono@
@the hands@|@imihono@
@The Head@|@La Tête@
@The heat is crushing@|@Itsave yabariki@
@the house@|@nyumba@
@The Housework@|@Hazi za nyumba@
@The Inlaws@|@Waha@
@the left hand@|@muhono wa potro@
@The munyombeni arrived@|@Munyombeni washuka@
@The obscurity spilled@|@Ishidza yabarizi@
@the one that has no card@|@kapa, kapote@
@the past month@|@mwezini yavira@
@The plants pushed@|@Memea yatsanga@
@The Quran@|@Musaafu@
@The rainbow spread out@|@Mukakamba yaodza@
@The Relatives@|@Udjemaza@
@the right hand@|@muhono wa kume@
@the sea@|@bahari@
@the sea is quiet@|@bahari ilala@
@The seedtimes have been made@|@Mayela yafanyiwa@
@the sun is strong@|@juwa la kali@
@The thunder roared@|@Liguguma larema@
@The tornado fell@|@Muvumbi walimbala@
@The whole necessary@|@Nafaqa@
@the world@|@Dunia@
@their@|@awo, wa@
@them@|@wawo@
@then@|@b'asi@
@there@|@hule, oho, vale, vale, vavo@
@there are some waves@|@vwa maluja@
@there is dust@|@ina djifu@
@there is gaz@|@ina gazi@
@there is the current@|@maji yasivira, maji yawendra@
@there is wind@|@vwa pevo@
@therefore@|@Basi, safeke@
@there's no salt@|@kaina shingo@
@there's too much salt@|@ishia shingo@
@these@|@ini, zile, zizo@
@these... here@|@wanu, yale, yanu, zini@
@these... there@|@wale@
@they are came@|@waja@
@they are dressed the same@|@wapindri sawa@
@they came@|@wakoja@
@they come@|@wasuja, wawo uja@
@they didn't come@|@kawaja, kawakoja@
@they didn't go@|@kawaendra, kawakoendra@
@they didn't make@|@kawafanya, kawakofanya@
@they do@|@wasufanya@
@they don't come@|@kawasuja, wawo kawaja@
@they don't go@|@kawaswendra, wawo kawaendre@
@they don't make@|@wawo kawafanya@
@they go@|@waswendra, wawo uendra@
@they go!@|@nawaendre!@
@they had come@|@waka waja@
@they had gone@|@waka waendre@
@they had made@|@waka wafanya@
@they had not come@|@kawaka waja@
@they had not gone@|@kawaka waendra@
@they had not made@|@kawaka wafanya@
@they made@|@wafanya, wakofanya@
@they make@|@kawasufanya, wawo ufanya@
@They make affected gestures@|@wasibadza@
@they went@|@waendre, wakoendra@
@they will come@|@watsoja@
@they will go@|@watsoendra@
@they will make@|@watsofanya@
@they won't come@|@kawatsoja@
@they won't go@|@kawatsoendra@
@they won't make@|@kawatsofanya@
@they would come@|@watsoja@
@they would go@|@watsoendra@
@they would make@|@watsofanya@
@they would not come@|@kawatsoja@
@they would not go@|@kawatsoendra@
@they would not make@|@kawatsofanya@
@thief@|@mwidzi, waidzi@
@thigh@|@mavaja, paja@
@thin@|@mwiso, tsala@
@thing@|@trongo@
@third@|@raru@
@Thirty@|@Thalathini@
@this@|@lile, lilo, lini, ule, ule, unu, uwo@
@this dancer is dancing in step@|@wahimbizi wanu uzina sawa@
@this month@|@mwezi unu@
@this song is good@|@himbo iyo ndzuzuri@
@those@|@yayo@
@thought@|@fikira@
@thread@|@mauzi, uzi@
@three@|@dola, traru@
@thresh rice@|@-bubua@
@throat@|@gãndzi, mahãndzi, maumiyo, umiyo@
@throw it away@|@latsa shitru iyo@
@throw it away!@|@latsa shitru iyo!@
@thumb@|@sha ya koo@
@Thunder@|@Radi@
@thursday@|@yahoa@
@tide@|@maji yawendre@
@tide spreads@|@maji yalala@
@tie@|@karavati@
@tile@|@uru@
@Time@|@Kira, Mara, Wakati, Wakati, Zamani@
@times@|@Dakika@
@tires@|@ulemevu@
@to accept@|@kiri@
@To accept@|@uKiri@
@to accompany@|@d'ungamana (u-)@
@to add@|@engedzeha (u-)@
@to age@|@duha, uduha@
@to allow@|@ruhusu (u-)@
@to answer@|@djibu@
@To answer@|@uDjibu@
@To argue@|@uMana@
@to arrange@|@rengeledza (u-)@
@to arrive@|@aswili (u-)@
@To arrive@|@uWaswili@
@to ask@|@dai (u -), djidzisa (u -), dzisa (u -), mia (u -)@
@to attach@|@funga (u-)@
@to attend@|@uHudhuria, vidza (u-)@
@to be@|@ka (u -)@
@to be afraid@|@uria tsi-rii@
@to be afraid of@|@riya (u-), riya (u -)@
@to be alive@|@-ka na mo@
@to be allowed@|@ruhusiwa (u -)@
@To be at ease@|@uStehi, uSterehi@
@to be beaten@|@shindrwa (u -)@
@to be born@|@dzalwa (u -)@
@to be called@|@hirwa (u -)@
@to be caught@|@sikwa (u -)@
@to be changed@|@badiliwa (u -)@
@to be chosen@|@tsahulwa (u -)@
@to be clear fo@|@elea (u -)@
@to be closed@|@balwa (u -)@
@to be complete@|@kamiliha (u -)@
@to be congratulated@|@fereshewa (u -)@
@to be crushed@|@rolwa (u -)@
@to be deposited@|@hetsiwa (u -)@
@to be despised@|@onewa (u -)@
@to be drinkable@|@nweha (u -)@
@to be driven@|@usama tsi-sama@
@to be drunk@|@nolwa (u -)@
@to be eatable@|@liha (u -)@
@to be eaten@|@liwa (u -)@
@to be encouraged@|@uvendzelewa, vendzelewa (u -)@
@to be feasible@|@fanyishiha (u -)@
@to be filled@|@jaya (u -)@
@to be flown@|@ibiwa (u -), ibwa (u -)@
@to be frigid@|@-fa maushe@
@to be generated by@|@dzalikana (u -)@
@to be given@|@volwa (u -)@
@to be happy@|@furahi (u -)@
@To be held@|@uBarizi@
@to be hit@|@remwa (u -)@
@to be human@|@binadamu, mwanadamu, wanadamu@
@to be in order@|@rengelea (u -)@
@to be inflated@|@zimba (u -)@
@to be intoxicated@|@lewa (u -)@
@to be jailed@|@fungwa (u -)@
@to be known@|@jilihana (u -), jilihana (u -), jilihana (u -), juliwa (u -), juliwa (u -), julwa (u -), ujilihana, ujulwa@
@to be late@|@homa (u -)@
@to be let@|@lishwa (u -)@
@to be liked@|@uvbendzewa, vendzewa (u -)@
@to be lost@|@ãngamia (u -)@
@to be lying@|@lala (u -)@
@to be made@|@fanyiwa (u -)@
@to be married@|@lolwa (u -)@
@To be necessary@|@uLazimu@
@to be okay@|@afiki@
@To be okay@|@uKubali@
@to be paid@|@livwa (u -)@
@To be patient@|@Saburi@
@to Be pensive@|@uTafakari@
@to be put@|@trilwa (u -)@
@to be repudiated@|@funguliwa (u -)@
@to be said@|@rongolwa (u -)@
@to be sick@|@-hodza@
@to be soaked@|@lowa (u -)@
@to be sufficient@|@tosha (u -)@
@to be tired@|@lemewa (u -)@
@To be unjust@|@uDhulumu@
@to be used@|@rumwa (u -)@
@to be visible@|@onehana, uonehana@
@to be warned@|@judziwa (u -)@
@to be welcome@|@karibu (u -)@
@to be worried@|@shanga (u -)@
@to beat@|@-rema, gombana (u -), wana (u -)@
@to beg@|@umia tsi-mia@
@to begin@|@ãndrisa (u -)@
@To believe@|@uAmini@
@to believe strong@|@djikaza (u -)@
@to bend@|@uvera tsi-vere@
@to bite@|@djirema (u -), udzonya, urema manyo@
@To bless@|@Bariki@
@to blow@|@vuma (u -)@
@To bore@|@Adhibu, uAzibu@
@to break@|@pasuha (u -), upasua tsi-pasua@
@to breath@|@-hedza pumu@
@To brighten@|@uSha@
@to bring@|@vinga (u-)@
@to bring to@|@veleshea (u-), vingia (u -)@
@to burn@|@uvua tsi-vuu, vua (u -)@
@to buy@|@nunua (u-), ununua tsi-nunua@
@to buy for@|@nunulia (u-)@
@to calculate@|@hasibu (u -)@
@to call@|@hira (u-), hiriwa (u-), hiriwa (u -)@
@to calm@|@truliya (u -)@
@To can@|@Yezi, Yezi@
@to carry@|@vinga (u -)@
@to carry away it@|@upara@
@to cause the loss of@|@ãngamidza (u -)@
@to change@|@gauha (u -)@
@To change@|@uBadili@
@to chat@|@lagua (u -)@
@to cheat@|@uhibia@
@to chew@|@utsana tsi-tsana@
@to choke@|@-samuha@
@to choose@|@tsahua (u -), utsahua tsi-tsahua@
@to choose for@|@tsahulia (u -)@
@To chop@|@utahani@
@To circumcise@|@uTahiri@
@to claw@|@urema mahofu@
@to close@|@bala, baliha (u -), ubala@
@to comb@|@usuka tsi-suku@
@to come@|@ja (u -)@
@to come back@|@regeya (u -)@
@To come back@|@uRegea@
@To come in help@|@uNuzuru@
@to come of@|@laa (u -)@
@to commemorate@|@sherehi (u -)@
@To complain@|@uDay, uDayi@
@to congratulate@|@fereshea (u -)@
@to construct@|@waha (u -)@
@to continue@|@endrelea (u -)@
@to cook@|@piha (u -), upiha tsi-pihi@
@to cook for@|@pishia (u -)@
@to cool@|@ziliya (u -)@
@to cough@|@-kohola@
@to counsel@|@siya (u -)@
@To counsel@|@uUsia@
@To count@|@uHasibu@
@to cover@|@finikia (u -), suka (u -)@
@to crawl@|@uramba tsi-ramba@
@to creep@|@uramba@
@to cross@|@shia (u -), ushiya tsi-shiya@
@to crunch@|@vuruha (u -)@
@to crush@|@rwa (u -), urwa tsi-ro, urwa tsi-ro, utsera tsi-tsere@
@to cry@|@liya (u -), ulia, uliya tsi-liyi@
@to cultivate@|@files (u -), ulima tsi-limi@
@To curse@|@Lana@
@To cut@|@uKatra@
@to damage@|@menyeha, umenya tsi-menye@
@to dance@|@uzina tsi-zini, zina (u -)@
@To dare@|@uSubutu@
@To debase@|@uDhili@
@to deceive@|@danganya, djihada (u -), djihada (u -), udanganya, utratra@
@To deceive@|@uHada@
@to deceive himself@|@danganyiha (u -)@
@to decide@|@katra (u -)@
@to decrease@|@vungua (u -), vunguha (u -)@
@to defend@|@rongolea (u -)@
@To defend@|@uManilia@
@to defend a packet of "tso"@|@u-munia@
@to deliver a woman@|@dzalisa (u-), dzalisa (u -)@
@to descend@|@shuka (u -), shukidza (u -), ushuka tsi-shuku@
@to descend in city@|@shuka (u -) mjini@
@to despise@|@onea (u -)@
@To despise@|@uDarau@
@to destroy@|@menya, umenya@
@to deteriorate@|@uDhiliha@
@to die@|@-fa, ufa@
@To die@|@Fariki@
@to dig@|@utsimba tsi-tsimbi@
@to dig up@|@upua@
@to digest@|@-tahari@
@to discover@|@funukua (u -)@
@To discuss@|@uHadisi, ulagua@
@to disdain@|@uonea@
@to disembark@|@pahua (u -)@
@To disobey@|@uÃswi@
@to dispute@|@shindrana (u -)@
@to distribute the cards@|@uanisa@
@to dream@|@hora (u -), uora tsi-oro@
@to dress@|@pindra (u -), pindrisa (u -), upindra tsi-pindri@
@to drink@|@nwa (u -), unwa tsi-no@
@to drive@|@uvinga tsi-vingi@
@to drive a car@|@vinga (u -)@
@to eat@|@dya, her (u -), u-la, uali, udya, ula, Wali@
@To encourage the salute@|@Diriki@
@to endure@|@stahamili (u -)@
@To endure@|@uStahamili@
@to enter@|@ungia tsi-ngia@
@to entertain@|@jiva (u -)@
@to exchange@|@badili (u -)@
@to explain@|@eledza (u -)@
@to extinguish@|@uzima tsi-zimi, zima (u -)@
@to extract@|@hama (u -)@
@to fall@|@upuliha tsi-puliha@
@to favor@|@vendzelea (u-)@
@to feed@|@lisa (u -)@
@to feel@|@djikia (u -), unuka tsi-nuku@
@To feel@|@Nuka@
@to feel good@|@nuka (u -)@
@to feel pain@|@-kodza@
@to fight@|@uwana tsi-wana@
@to fill@|@jadza (u -)@
@to find@|@parihana (u -)@
@to finish@|@isa (u -), malidza (u -)@
@to fish@|@loa (u -)@
@to fly@|@hiba (u -), hiba (u -), iba (u -), ueuha@
@to follow@|@dunga (u -), dungana (u -)@
@to force@|@lazimisha (u -)@
@to forget@|@dala, udala@
@To forget@|@uSahau@
@to forgive@|@uswamihi tsi-swamihi@
@To forgive@|@uSwamihi@
@to fry@|@visa (u -)@
@to get@|@para (u -)@
@to get married@|@lola (u -), ulola tsi-lolo, ulola tsi-lolo, ulolwa tsi-lolwa@
@to get thin@|@-sondzeha@
@to get thinner@|@hondra (u -)@
@to give@|@go (u -)@
@to give a child to@|@dzalia (u -)@
@to give birth@|@dzaa (u-)@
@To give the permission@|@uRuhusu@
@to go@|@endra (u-)@
@to go for a walk@|@utembeya tsi-tembeya@
@to go up@|@heya (u -), pashia (u -)@
@to go up by car@|@upashiya tsi-pashiya@
@to go up in bush@|@heya (u -) liju@
@to greet@|@rongodza (u -), salimu (u -)@
@to greet for@|@salimia (u -)@
@to grill@|@uoha tsi-oho@
@to hang@|@urungiha tsi-rungiha@
@to harass@|@songa (u -)@
@to harvest@|@uvuna tsi-vunu@
@to hate@|@uyenga tsi-yenge@
@to have@|@ka (u-) na@
@to have a child@|@dzaliwa (u -)@
@to have a child (man)@|@dzaliwa (u-)@
@to have badly@|@kodza (u-)@
@to have fallen@|@wa (u -)@
@to have made@|@fanyisiwa (u -)@
@to have made make@|@fanyisiwa (u-)@
@to have mercy of@|@sikinia (u-)@
@to have the leprosy@|@eneha (u-)@
@To head@|@uKabili@
@to heal@|@uvona tsi-vono, vona (u -)@
@to help@|@usaidia tsi-saidia, vidza (u-)@
@To help@|@uSaidiya, vidza (u-)@
@to help each other@|@saidiana (u -)@
@to hiss@|@urema unyondzi@
@to hit@|@bubua, rema (u -), rema (u -), remana (u -), ububua@
@to hit (1)@|@urema tsi-reme@
@to hold@|@usika tsi-siki@
@To hold@|@uSika@
@to hurry@|@simamia (u -)@
@to imitate@|@utiba tsi-tibi@
@To imitate@|@uTiba@
@To implore@|@utafaDali@
@to increase@|@engedza (u-)@
@to inform one the other@|@jidzana (u -)@
@To inherit@|@uWariti@
@to inquire one the other@|@ujidzana@
@to instruct@|@fundra (u -), fundriha (u -)@
@to invite@|@laliha (u -)@
@to iron@|@pasi (u -)@
@to jail@|@funga (u -)@
@To joke@|@uBishi@
@To judge@|@uHukumu, uNamua@
@to jump@|@ruka (u -), uruka tsi-ruku@
@to keep@|@tsunga (u -), zia (u -)@
@to kill@|@uwula tsi-wulu, wula (u -)@
@To kiss@|@Busu@
@to kneel@|@-vundza dondro@
@to knit@|@steams (u -)@
@to know@|@fahamu (u -), jua (u -)@
@to laugh@|@-tseha, tseha (u -)@
@to laugh of@|@tseshea (u -)@
@to lay an egg@|@udzaa jwayi@
@to lead astray@|@latsiha, potea (u -)@
@to learn@|@soma (u-)@
@to learn by heart@|@twali (u-)@
@to leave@|@lawa (u -), lawana (u -)@
@to lend@|@azima (u -)@
@to let@|@hetsi (u -), lisha (u -), ulisha tsi-lishi@
@to let to@|@lishia (u -)@
@to lick@|@uhomba@
@to lie down@|@ladza (u -), tswa (u -)@
@to light@|@upatsa tsi-patsa, upatsa tsi-patsa, uvudza tsi-vudzu, vudza (u-)@
@to like@|@uvendza tsi-vendze, vendza (u-)@
@to like one the other@|@vendzana (u-)@
@to listen@|@uvulikia tsi-vulikia@
@To live@|@uYeshi@
@to look for@|@uzunguha tsi-zunguha, zunguha (u -)@
@to lose@|@latsa (u -), ushindrwa@
@to make@|@fanya (u -), fanyisa (u -)@
@to make a declaration@|@tekeleza (u -)@
@to make acquaintance@|@jiliana (u -), ujiliana@
@to make badly@|@djihodza (u -)@
@to make boil@|@rohotsa (u -)@
@to make burn@|@vudza (u -)@
@to make come back@|@regedza (u -)@
@to make cry@|@lidza (u -)@
@to make explain@|@eledzewa (u -)@
@to make fall@|@pulia (u -), upulisa tsi-pulisa@
@to make for@|@fanyia (u -)@
@to make grill for@|@oshea (u -)@
@To make his ablutions@|@uTawaza@
@to make his needs@|@nya (u -), unya tsi-nyi@
@to make hold@|@usikidza tsi-sikidza@
@to make known@|@ujudza@
@to make pleasure@|@furahisha (u -), jividza (u -)@
@to make quickly@|@rema mbio@
@to make roast@|@oha (u -)@
@to make see@|@uonesa@
@to make some worries@|@djitria (u -) hamu@
@to make the love@|@heana (u -)@
@to make the necessary@|@duburiya (u -)@
@To make the pain@|@uDhuru@
@to make travel@|@safiridza (u -)@
@to marry@|@lolea (u -)@
@To masticate@|@utsana@
@to meet@|@parana (u -)@
@To meet@|@Djumliha@
@to must@|@lazimu (u -)@
@to nest@|@uwaha kara@
@To note@|@uTanabahi@
@To offer@|@Hidiya@
@To one these days!@|@Suku yangina tsena@
@to open@|@bua, bua, buha, ubua, ubua, ubuha@
@To open@|@Fatiha@
@to open to@|@bulia, ubulia@
@to operate@|@pasua (u -)@
@To organize@|@uSarifu@
@to paint@|@uvaha tsi-vaha@
@to participate@|@renga (u -) fuvu@
@to pass@|@djiri (u -), sacks (u -), shiya (u -)@
@to pass (1)@|@uvira tsi-viri@
@to pass by@|@viria (u -)@
@to pay@|@liva (u -), uliva tsi-livi@
@To pay attention@|@uTahadhari@
@to peck@|@udzumbua@
@to peel@|@boos (u -)@
@To permit@|@uDjaãlia@
@To persist@|@uKaidi@
@to pick@|@tsi upua@
@to pierce@|@foroa (u -)@
@to piss@|@-nya kojo@
@to plant@|@utabu tsi-tabu@
@to play@|@ãngadza (- u), uangadza, ungadza tsi-ngadza, ungadza tsi-ngadza@
@to play (1)@|@u-teza@
@to play the cards@|@ungadza karata@
@to please@|@uvendzesa, vendzesa (u -)@
@to pour@|@tsi utria@
@to praise@|@djisifu (u -)@
@to pray@|@uswali tsi-swali@
@To pray@|@uDua, uSwali@
@To preach@|@uHutubu@
@To precede@|@uKadimia@
@to prepare@|@djitayarisha (u -), tayarisha (u -)@
@To preserve@|@uÃfu@
@to prosper@|@barikishiha (u -)@
@To prostrate@|@Sudjudi@
@to protect@|@djihifadhwi (u -), hafadhwi (u -)@
@to prove@|@hakikisha (u -)@
@to pull@|@pua (u-), reeks (u -), uvura tsi-vuru@
@to pull energetically@|@hashua (u-)@
@to purr@|@uvura gono@
@to push@|@boos (u -), boos (u -), sukuma (u -), usinya tsi-sinyi@
@to push (1)@|@usukuma tsi-sukuma@
@to put@|@picks (u -)@
@to put a "tso" in a corner@|@u-ladza@
@To put to the shelter@|@uGamisa@
@to raise@|@hima (u -), lela (u -), midza (u -)@
@to raise for someone@|@lelea (u -)@
@To reach age@|@uHirima@
@To read@|@uBaibihana@
@to read to@|@somea (u -)@
@to reassure@|@tratrua (u -)@
@To receive in hand@|@uTakabaDHi@
@To recognize@|@uWafiki@
@to reconcile@|@afikisha@
@to recover@|@djipara (u -)@
@to reduce@|@vungudza (u -)@
@to refuse@|@haraya (u -)@
@to regret@|@jutsa (u -)@
@to rejoice@|@jivia (u -), jiviwa (u -)@
@to remain@|@uzia tsi-zia@
@To remain@|@Baki@
@to remember@|@nahana (u -), unahana tsi-nahana@
@To remember@|@uFahamu@
@to remove@|@toa (u -), utoa tsi-towo@
@to remove the fold@|@uanua@
@To rent@|@Adjiri@
@to repair@|@urengeledza tsi-rengeledza@
@to resemble@|@fanana (u -)@
@to rest@|@vumua (u -)@
@to return@|@uregea tsi-regea, uregeza tsi-regeza@
@to reverse@|@utsomoa tsi-tsomoa@
@to ripen@|@iva (u -)@
@To rise@|@uHima@
@To roar@|@Ãziri@
@to rot@|@ola (u -), uola tsi-olo@
@to run away@|@utrala tsi-trala@
@to save@|@trala (u -)@
@To save@|@uTuma@
@to say@|@amba, ambia, urongoa tsi-rongoa@
@to say nothing about@|@buriha, tshipu (u -), uburiha@
@To scold@|@Nguruma@
@To scratch@|@uGarua@
@to see@|@ona (u -), uona tsi-ono@
@to see a lady@|@Nangaliye koko@
@to see one the other@|@onana (u -)@
@to seem@|@fana (u-)@
@to sell@|@udza (u -), uudza tsi-udzu@
@to send@|@uveleha tsi-veleha, veleha (u -)@
@To send@|@uRuma@
@to separate@|@farikisha (u -)@
@to serve of@|@rumia (u -)@
@To serve someone@|@uHudumu@
@to serve the meal@|@vahua (u -)@
@to serve the meal to someone@|@vahulia (u -)@
@to sew@|@sona (u -)@
@to shake one's head@|@-gudzusa ishitswa@
@to share@|@wanisa (u -)@
@to shit@|@-nya madzi@
@to show to@|@onesa (u -)@
@to shrug@|@-hedza mabega@
@to sing@|@himba (u -)@
@to sleep@|@u-lala@
@to smoke@|@vura (u -)@
@to sow without taking@|@u-trakatra@
@to spill@|@enea (u -)@
@to spin@|@ufuma@
@to spin (web)@|@ufuma@
@to spittle@|@-tra mare@
@to spread@|@odza (u -)@
@to spread in the sun@|@aniha@
