@English@|@Brazilian Portuguese@
@industrial relations@|@relações industriais@
@industrious@|@aplicado, diligente@
@industry@|@aplicação, diligência, indústria@
@ineffable@|@inefável@
@ineffective@|@inadequado, ineficaz@
@inefficiency@|@ineficiência@
@inefficient@|@ineficaz, ineficiente@
@ineligible@|@inelegível@
@inept@|@inepto@
@ineptitude@|@inépcia@
@inequality@|@desigualdade, disparidade@
@inequity@|@injustiça@
@inert@|@apático, inerte@
@inertia@|@apatia, inércia@
@inertial frame@|@referencial de inércia@
@inertial frame of motion@|@referencial móvel de inércia@
@inestimable@|@incalculável, inestimável@
@inevitable@|@inevitável@
@inexcusable@|@imperdoável, indesculpável@
@inexhaustible@|@inesgotável@
@inexorable@|@inexorável@
@inexpensive@|@barato, econômico@
@inexperience@|@inexperiência@
@inexperient@|@inexperiente@
@inexplicable@|@inexplicável@
@inexplicate@|@inexplicável@
@inexpressible@|@indizível, inexprimível@
@infallible@|@infalível@
@infamous@|@infame, vil@
@infamy@|@infâmia@
@infancy@|@infância@
@infant@|@bebê, menor (criança)@
@infanticide@|@infanticídio@
@infantile@|@infantil@
@infantry@|@infantaria@
@infarct@|@enfarte, enfarto@
@infatuation@|@extravagância, paixão cega@
@infeasible@|@impraticável@
@infection@|@contaminação, infecção@
@inferable@|@deduzível@
@inference@|@conclusão, dedução, inferência@
@inferior@|@inferior@
@inferiority@|@desvantagem@
@infernal@|@infernal@
@inferno@|@incêndio, inferno@
@infertility@|@infertilidade@
@infidel@|@infiel, pagão@
@infidelity@|@adultério, infidelidade@
@infinite@|@infinito@
@infinitely@|@infinitamente@
@infinitive@|@infinitivo (gramática)@
@infinity@|@infinidade, sem fim@
@infirm@|@enfermo, fraco@
@infirmary@|@enfermaria@
@infirmation@|@desconfirmação@
@infirmity@|@debilidade, enfermidade@
@inflammable@|@inflamável@
@inflammation@|@inflamação@
@inflation@|@exagero, inflação@
@inflationary@|@inflacionário@
@inflationary gap@|@hiato inflacionário@
@inflexibility@|@inflexibilidade@
@inflexible@|@férreo@
@inflorescence@|@inflorescência@
@influence@|@influência@
@influential@|@influente@
@influenza@|@gripe, influenza (vírus)@
@influx@|@influxo@
@info@|@conhecimento, informação@
@informal@|@coloquial, informal@
@information@|@aviso, informação@
@informative@|@explicativo, informativo@
@informer@|@delator, informante@
@infrastructure@|@infra-estrutura@
@infringement@|@infração@
@infuriating@|@irritante@
@infusion@|@infusão@
@ingenious@|@engenhoso, hábil@
@inglorious@|@inglório, vergonhoso@
@ingot@|@lingote@
@ingratitude@|@ingratidão@
@ingredient@|@ingrediente, substância@
@ingrown nail@|@unha encravada@
@inhabitant@|@habitante@
@inherent@|@inato, inerente@
@inheritance@|@espólio, herança@
@inhospitable@|@inóspito@
@inhuman@|@desumano, inumano@
@inhumanity@|@desumanidade@
@inimitable@|@inimitável@
@iniquitous@|@iníquo, pecador@
@iniquity@|@iniqüidade@
@initial markup@|@margem de lucro@
@initial premium@|@prêmio inicial (seguro)@
@initiation@|@iniciação@
@injection@|@injeção@
@injunction@|@injunção, interdição, mandado@
@injurious@|@lesivo, prejudicial@
@injury@|@avaria, ferimento, injúria, lesão, machucado@
@injustice@|@injustiça@
@ink@|@tinta@
@ink jet printer@|@impressora de jato de tinta@
@inking pad@|@almofada para carimbos@
@inkling@|@indício@
@inkstand@|@tinteiro@
@inland@|@interior, territorial@
@inland freight@|@frete terrestre@
@inland waterways@|@vias navegáveis interiores@
@inlay@|@incrustação, peça embutida@
@inlet@|@enseada@
@inmate@|@comensal, pensionista@
@inmost@|@íntimo, recôndito@
@inn@|@estalagem, pousada@
@innate@|@inato@
@inner@|@interno, íntimo@
@innersole@|@palmilha@
@inning@|@vez (de jogar)@
@innings@|@ciclo (beisebol), turno, volta@
@innocence@|@inocência@
@innocent@|@inocente@
@innocent of@|@livre de, sem@
@innocuous@|@inócuo@
@innovation@|@novidade@
@innovator@|@inovador, precursor@
@innuendo@|@insinuação maldosa, maledicência@
@innumerable@|@inumerável@
@inoffensive@|@inofensivo@
@inoperative@|@inoperante@
@inopportune@|@inoportuno@
@in-process inspection@|@inspeção durante o processo@
@input@|@alimentação (de dados), entrada (sinal), estímulo@
@input-throughput-output@|@insumo-transformação-produto@
@inquest@|@inquérito, investigação@
@inquiry@|@inquérito, investigação, pergunta, sindicância@
@inquisitor@|@inquisidor@
@inroad@|@incursão, intrusão, invasão@
@insane@|@insano, louco@
@insanity@|@demência, insanidade, loucura@
@insatiable@|@insaciável@
@inscription@|@dedicatória, inscrição@
@insect@|@inseto@
@insecticide@|@inseticida@
@insecure@|@arriscado, inseguro@
@insecurity@|@insegurança@
@insemination@|@inseminação@
@insensate@|@desumano, insensível, inumano@
@insensibility@|@insensibilidade@
@inseparable@|@inseparável@
@insert@|@encarte@
@inside@|@confidencial, dentro, interior, secreto@
@inside out@|@avesso@
@insidious@|@insidioso, traiçoeiro@
@insight@|@discernimento, intuição, percepção, perspicácia@
@insignia@|@insígnia@
@insignificant@|@nulo@
@insincere@|@dissimulado, falso, mentiroso@
@insinuation@|@insinuação@
@insipid@|@insípido@
@insistence@|@insistência, pressão@
@insistent@|@exigente, insistente@
@insole@|@palmilha (EUA)@
@insolence@|@petulância@
@insolent@|@engraçadinho@
@insoluble@|@insolúvel@
@insolvency@|@falência, insolvência@
@insolvent@|@falido, insolvente@
@insomnia@|@insônia@
@inspection@|@inspeção, revista@
@inspection station@|@ponto de inspeção@
@inspector@|@fiscal, inspetor@
@inspiration@|@inspiração@
@Inst. (instant)@|@do corrente mês@
@instable@|@instável@
@installation@|@instalação@
@installment@|@episódio, instalação, prestação@
@instalment@|@capítulo (de série), episódio@
@instance@|@exemplo@
@instancy@|@imperatividade, insistência@
@instant@|@corrente (mês), instantâneo, instante, momento@
@instantaneous@|@instantâneo@
@instantaneousness@|@instantaneidade@
@instead@|@alternativamente, antes, em lugar de, em vez de@
@instead of@|@em vez de@
@instigator@|@estimulador, implicador, instigador@
@instinct@|@instinto@
@institute@|@instituto@
@institution@|@asilo, instituição, instituto@
@instruction@|@conselhos, indicação, instrução@
@instrument@|@instrumento@
@instrumental@|@instrumental@
@instrumentalist@|@instrumentista@
@instrumentation@|@instrumentação@
@insubordination@|@insubordinação@
@insulant@|@isolante (material)@
@insular@|@insular, isolado, retraído@
@insulating material@|@material isolante@
@insulation@|@isolamento, isolante (material)@
@insulation tape@|@fita isolante@
@insulator@|@isolante (eletricidade etc)@
@insult@|@insulto, ofensa@
@insuperable@|@insuperável@
@insurable interest@|@interesse segurável (seguro)@
@insurance@|@garantia, seguro@
@insurance coverage@|@cobertura de seguros@
@Insurance for Legal Costs@|@Seguro de Proteção Jurídica@
@insurance policy@|@apólice de seguro, certificado de seguro@
@insurance premium@|@prêmio de seguro@
@insurance risk@|@risco de seguros@
@insurance trust@|@fideicomisso de seguros@
@insured@|@segurado@
@insurer@|@segurador(a)@
@insurmountable@|@insuperável, intransponível@
@insurrection@|@motim@
@intact@|@intacto@
@intangible@|@impalpável, intangível@
@integral@|@integral@
@intellect@|@intelecto@
@intellectual@|@intelectual@
@intellectuality@|@intelectualidade@
@intelligence@|@inteligência, sagacidade, serviço secreto@
@intelligence department@|@serviço secreto@
@intelligible@|@inteligível@
@intemperance@|@excesso, intemperança@
@intended@|@intencionado, intencional, planejado@
@intense@|@intenso@
@intensification@|@intensificação@
@intensity@|@intensidade@
@intensive@|@intensivo, intenso@
@intensive magnitude@|@grandeza intensiva@
@intent@|@absorto, intenção, intento@
@intent letter@|@carta de intenção@
@intention@|@propósito@
@intentional stance@|@postura intencional@
@inter alia (Latin)@|@entre outras coisas@
@intercession@|@intercessão@
@interchangeability@|@intercambialidade@
@intercontinental@|@intercontinental@
@intercourse@|@ato sexual, coito, cópula, intercurso, relação@
@interdenominational@|@interdenominacional@
@interdict@|@interdito@
@interdiction@|@interdição, proibição@
@interest@|@interesse, juros, prêmio@
@interest on late payment@|@juros de mora@
@interest rate@|@taxa de juros@
@interested parties@|@partes interessadas@
@interest-free@|@sem juros@
@interesting@|@interessante@
@interface@|@interface, interligação@
@interference@|@bloqueio, interferência, intervenção@
@interim@|@ínterim@
@interior@|@interior@
@interjection@|@intercalação, interjeição@
@interlude@|@entreato, interlúdio@
@intermediary@|@intermediário, mediador@
@intermediate@|@intermediário@
@interminable@|@interminável@
@intermission@|@intervalo, pausa@
@intermittent@|@intermitente@
@intermixed@|@mesclado, misturado@
@intern@|@estagiário@
@internal@|@interno@
@Internal Revenue Service@|@Receita Federal (EUA)@
@international@|@internacional@
@international fashion@|@moda internacional@
@international law@|@direito internacional@
@international standard@|@norma internacional@
@internecine@|@conflito interno, mortífero@
@Internet@|@Internet@
@Internet Service Provider@|@provedor de acesso (internet)@
@internship@|@estágio@
@interplay@|@interação@
@interpretation@|@interpretação@
@interpreter@|@intérprete@
@interrogation@|@interrogação, interrogatório@
@interrogative@|@interrogativo@
@interrogatory@|@interrogativo, interrogatório@
@interrupter@|@interruptor@
@interruption@|@interrupção@
@intersection@|@cruzamento, intersecção@
@interval@|@intervalo@
@interval scale@|@escala de intervalos@
@intervention@|@interferência, intervenção@
@intervention stocks@|@estoques reguladores@
@interview@|@entrevista@
@interviewee@|@entrevistado(a)@
@intestine@|@intestino(s), tripa@
@intimacy@|@caso (amoroso), envolvimento, intimidade@
@intimate@|@íntimo@
@intimation@|@indireta, insinuação@
@intimidation@|@intimidação@
@into@|@em direção de@
@into the bargain@|@de quebra@
@intolerable@|@intolerável@
@intolerance@|@intolerância@
@intonation@|@entonação, inflexão@
@intranet@|@rede interna de comunicações@
@intrastate@|@estadual (EUA)@
@intravenous@|@endovenoso, intravenoso@
@intricacy@|@complicação@
@intricate@|@confuso, intricado, obscuro@
@intrigue@|@enredo@
@intriguing@|@desafiador, intrigante@
@intrinsic@|@intrínseco@
@introduction@|@apresentação, introdução@
@introit@|@intróito@
@introspection@|@introspecção@
@introversion@|@introversão@
@introvert@|@introvertido@
@intruder@|@intruso@
@intrusion@|@intrusão@
@intrusive@|@intrusivo, intruso@
@intuition@|@intuição@
@intuition pump@|@sonda de intuição@
@intuitive@|@intuitivo@
@inundation@|@inundação@
@inured@|@afeito, habituado@
@inv. (invoice)@|@fatura@
@invalid@|@inválido@
@invaluable@|@inestimável@
@invasion@|@invasão@
@invention@|@ficção, invenção, invento@
@inventive@|@engenhoso, inventivo@
@inventive power@|@engenho@
@inventory@|@inventário@
@inverse@|@inverso@
@inverse methods@|@métodos da inversão@
@inversion@|@inversão@
@inverted comma@|@aspa@
@inverted commas@|@aspas (")@
@investigation@|@inquérito, investigação@
@investment (portfolio)@|@carteira de títulos e ações@
@investments@|@investimentos@
@invidia (deadly sin)@|@inveja (pecado mortal)@
@invitation@|@convite@
@invitation for a bid@|@abertura de concorrência, licitação@
@invite (colloquial)@|@convite@
@inviting@|@apetitoso, convidativo@
@invoice@|@despacho, fatura@
@invoice price@|@preço de fatura@
@involvement@|@caso (amoroso), envolvimento, participação@
@inward transfer@|@transferência do exterior@
@iodine (I)@|@iodo@
@ionosphere@|@ionosfera@
@IOU (I owe you)@|@devo-lhe (vale), nota promissória@
@IP (Internet Protocol)@|@IP (Protocolo Internet)@
@ipso facto@|@ipso facto (pelo fato)@
@IQ (intelligence quotient)@|@QI (quociente de inteligência)@
@ira (deadly sin)@|@ira (pecado mortal)@
@IRA (EUA)@|@plano de aposentadoria privada@
@Iran@|@Irã@
@Iranian@|@iraniano@
@Iraq@|@Iraque@
@Iraqi@|@iraquiano@
@irate@|@irado, zangado@
@ire@|@ira, raiva@
@Ireland@|@Irlanda@
@iridescent@|@iridescente, opalescente@
@iris@|@íris@
@Irish@|@irlandês@
@irksome@|@incômodo@
@iron@|@ferro@
@ironical@|@irônico@
@ironmonger@|@vendedor de ferragens@
@ironware@|@ferragens@
@ironwork@|@ferragem@
@irony@|@ironia@
@irreconcilable@|@irreconciliável@
@irregular@|@irregular@
@irrelevance@|@irrelevância@
@irrelevant@|@fora de propósito, inoportuno, irrelevante@
@irreparable@|@irreparável@
@irreplaceable@|@insubstituível@
@irreproachable@|@impecável, irrepreensível@
@irresistible@|@irresistível@
@irresponsible@|@irresponsável@
@irreverence@|@irreverência@
@irrevocable@|@irrevogável@
@irrevocable credit@|@crédito irrevogável@
@irrigation@|@irrigação@
@irritable@|@excitável, irritável, nervoso@
@irritant@|@irritante@
@IRS auditor@|@fiscal da Receita Federal@
@Isis@|@Ísis (deusa egípcia)@
@Islam@|@Islã@
@Islamism@|@islamismo@
@island@|@ilha@
@island dispenser@|@bomba de gasolina@
@islander@|@ilhéu@
@isle@|@ilhota@
@islet@|@ilhota@
@isogamy@|@isogamia@
@isolation@|@isolamento@
@ISP(Internet Service Provider)@|@provedor de acesso@
@issue@|@acontecimento, edição, emissão, progênie, questão@
@issued capital@|@capital emitido@
@issuing house@|@entidade emitente@
@isthmus@|@istmo@
@it@|@ele, ele, ela (animais e crianças)@
@IT (Information Technology)@|@tecnologia da informação@
@it doesn't work@|@isso não funciona@
@it follows that@|@portanto@
@it is all right@|@está bem@
@it is not fit@|@não é conveniente@
@it runs@|@assim reza@
@it takes@|@isso exige, isso requer@
@it´s awfully expensive@|@é caro pra chuchu@
@it´s beyond belief@|@é inacreditável !@
@Italian@|@italiano@
@Italy@|@Itália@
@itch@|@sarna@
@item@|@artigo, fator@
@itinerary@|@itinerário@
@its@|@seu@
@it's a small world!@|@como este mundo é pequeno!@
@it's deal@|@negócio fechado@
@itself@|@a si mesmo@
@itsy-bitsy@|@minúsculo, pequenino@
@IUD@|@DIU(Dispositivo Intra-Uterino)@
@ivory@|@marfim@
@ivy@|@hera@
@J (joule)@|@J (joule)@
@J/A (joint account)@|@conta conjunta@
@jab@|@corte, cotovelada, dedada, facada, soco@
@jabberwocky@|@algaravia, baboseira@
@jaboticaba@|@jabuticaba@
@jacaranda@|@jacarandá@
@jacinth@|@zircônio (pedra preciosa)@
@jack@|@bandeira de proa, cavalete, macaco (autom.), manivela de espeto, pessoa qualquer, tomada, valete (baralho)@
@Jack Frost@|@uma personificação do inverno@
@jack of all trades@|@homem dos sete instrumentos@
@jackal@|@chacal, impostor@
@jackass@|@burro, estúpido@
@jackdaw@|@gralha@
@jacket@|@coroa (dentária), jaqueta, sobrecapa (livro)@
@jackfruit@|@jaca@
@jack-in-the-box@|@caixa de surpresa@
@jack-o'-lantern@|@fogo-fátuo@
@jackpot@|@bolada, grande prêmio@
@Jacob´s ladder@|@escada de corda (náutica), planta herbácea@
@jade@|@adúltera, jade, mulher de má fama@
@jaguar@|@onça (animal)@
@jail@|@cadeia@
@jalopy@|@calhambeque@
@jam@|@geléia@
@JAM (Jazz After Midnight)@|@improvisação coletiva, sessão de improviso de jazz@
@jam session@|@jam session@
@janitor@|@encarregado de limpeza, zelador@
@January@|@janeiro@
@Japan@|@Japão@
@Japanese@|@japonês, nipônico@
@Japanese plum@|@ameixa-amarela@
@jar@|@botija, calão, colisão, jarro@
@jargon@|@calão@
@jaundice@|@icterícia@
@jaunt@|@excursão@
@Java plum@|@jamelão@
@javelin@|@dardo@
@jaw@|@mandíbula@
@jealous@|@ciumento@
@jealousy@|@ciúme@
@jeans@|@jeans@
@jeep@|@jipe@
@jelly@|@gelatina, geléia@
@jelly palm@|@butiá@
@jellyfish@|@água-viva@
@jerk@|@espasmo, safanão, trouxa (gíria)@
@jerked meat@|@jabá@
@jerked meat (Brazil-NE)@|@carne-de-sol, charque@
@jerked meat (Brazil-SE)@|@carne-seca@
@jerky@|@jabá@
@jersey@|@camiseta@
@jest@|@gracejo, mote@
@Jesus Christ@|@Jesus Cristo@
@jet@|@esguicho, jorro@
@jettison@|@alijamento@
@Jew@|@judeu@
@Jew-baiter@|@anti-semita@
@jewel@|@jóia@
@jewel case@|@caixa de CD, porta-jóias@
@jeweller@|@joalheiro@
@jewelry@|@adorno, jóia@
@Jewish@|@judeu@
@Jimmy Britts (AUS)@|@caganheira@
@jingle@|@jingle, propaganda musical em rimas@
@job@|@cargo, emprego, ocupação, roubo, tarefa, trabalho@
@job description@|@descrição de cargo, perfil de cargo@
@job lot@|@lote negociável de mercadorias@
@job market@|@mercado de trabalho@
@job opportunities@|@oferta de trabalho@
@job placement agency@|@agência de empregos@
@job profile@|@descrição de cargo, perfil de cargo@
@jobber@|@agente, agiota, atacadista, distribuidor@
@jock@|@atleta@
@jockey@|@jóquei@
@jocund@|@bem-disposto, jocundo, jovial@
@jogging@|@jogging@
@john (slang)@|@cliente (de prostituta), miguel (banheiro)@
@John Lackland (1167-1216)@|@João Sem Terra (rei inglês)@
@join@|@conexão, junção, ligação@
@joined@|@anexo, unido@
@joint@|@articulação, assado, baseado, boteco, junta, unido@
@joint account@|@conta conjunta, conta de participação@
@joint and severally@|@conjunta e solidariamente@
@joint stock@|@capital social (empresa)@
@Joint Stock Company@|@sociedade anônima por ações@
@joint venture@|@empreendimento conjunto, sociedade conjunta@
@Joint Whole Life Insurance@|@Seguro de Vida em Comum@
@joke@|@graça, piada@
@jolly@|@bem-disposto, bote (de navio), contente@
@jot@|@bilhete, pequena quantia@
@jotting@|@anotação@
@jouissance (French)@|@desfrute@
@journal@|@diário, jornal, periódico@
@journalism@|@jornalismo@
@journalist@|@jornalista@
@journey@|@jornada, viagem@
@journeyman@|@artesão, artífice, jornaleiro@
@joust@|@justa (medieval)@
@jovial@|@jovial@
@jowl@|@mandíbula, queixada@
@joy@|@alegria, regozijo@
@joyful@|@lépido@
@joyless@|@melancólico, tristonho@
@joyous@|@alegre, contente, jocundo@
@jubilant@|@exultante, jubiloso@
@jubilee@|@jubileu@
@Judaic@|@judaico@
@Judaism@|@judaísmo@
@judge@|@juiz@
@judgement@|@decisão, juízo, julgamento, opinião, sentença@
@judicial@|@judicial, jurídico@
@judiciary@|@judiciário@
@judicious@|@judicioso, ponderado, prudente, sábio, sensato@
@jug@|@botija, jarro, prisão (gíria)@
@juggle@|@ilusão, malabarismo@
@juice@|@essência, suco, sumo@
@juicy@|@picante (piada etc), suculento@
@July@|@julho@
@jump@|@pulo, salto@
@jumpsuit@|@macacão@
@junction@|@união@
@June@|@junho@
@Jungian@|@junguiano, seguidor de Carl Jung@
@jungle@|@floresta tropical, selva@
@junior@|@filho, júnior@
@junior accountant@|@contador auxiliar, contador subalterno@
@junk@|@sucata@
@junkie@|@viciado@
@junkyard@|@depósito de ferro-velho@
@Jupiter@|@Júpiter@
@jurisdiction@|@jurisdição@
@jurist@|@jurisconsulto@
@jury@|@júri@
@juryman@|@jurado@
@jurymen@|@júri@
@just@|@apenas, correto, justo@
@just about@|@aproximadamente, mais ou menos@
@just as@|@da mesma forma que@
@just friends@|@apenas amigos@
@just in case@|@só por precaução, só pra prevenir@
@just in time@|@no menor tempo possível, no momento exato@
@justice@|@justiça@
@justice of the peace@|@juiz de paz@
@jute@|@juta@
@juvenile@|@adolescente, juvenil@
@juvenile delinquency@|@delinqüência juvenil@
@juvenile delinquent@|@delinqüente juvenil@
@juxtaposition@|@justaposição@
@JVM (Java Virtual Machine)@|@JVM (Máquina Virtual Java)@
@K@|@1024 bytes, K (kelvin), K (potássio), um mil@
@kale@|@couve@
@kangaroo@|@canguru@
@kaolin@|@caulim@
@karaoke@|@karaokê@
@kayak@|@caiaque@
@Kbps@|@Kbps (kilobits por segundo)@
@KD (knocked down)@|@desmontado@
@keen@|@agudo, arguto, lamento, muito bom, perspicaz@
@keeper@|@guarda@
@kegger party@|@chopada@
@kennel@|@canil@
@kerb@|@meio-fio@
@kernel@|@âmago, núcleo, semente@
@kerosene@|@querosene@
@kerosene language (AUS)@|@língua do pê@
@ketchup@|@catchup, ketchup@
@kettle@|@caldeira, chaleira, marmita@
@kettle drum@|@tímpano (percussão)@
@key@|@chave, tecla@
@key money@|@luvas (de locação)@
@key ring@|@chaveiro@
@key signature@|@armadura de clave@
@key word@|@palavra-chave@
@keyboard@|@teclado@
@keyhole@|@buraco da fechadura@
@keynote@|@nota tônica (música), tema central@
@khaki@|@cáqui (cor)@
@kick@|@chute, coice, pontapé, prazer (gíria)@
@kickback@|@suborno (comercial)@
@kid@|@cabrito, criança, pelica@
@kid sis@|@irmã mais nova@
@kiddy@|@criancinha@
@kidnapper@|@raptor@
@kidnapping@|@rapto, seqüestro@
@kidney@|@rim@
@Kiev@|@Kiev (capital da Ucrânia)@
@kike@|@judeu (depreciativo)@
@kill@|@matança@
@killer@|@assassino, homicida@
@killer whale@|@orca@
@kiln@|@fornalha, forno@
@kiln wash@|@placas refratárias@
@kilo@|@quilo@
@kilobyte (kb)@|@kilobyte (kb)@
@kilogram@|@quilo@
@kilogram(me)@|@quilograma@
@kilometre@|@quilômetro@
@kimono@|@quimono@
@kin@|@família, parente, parentesco@
@kind@|@casta, gentil, tipo@
@Kindergarten@|@jardim de infância@
@kindling@|@graveto@
@kindly@|@amável, amavelmente, bondoso, gentilmente@
@kindness@|@bondade, delicadeza, gentileza@
@king@|@rei@
@king size bed@|@cama de casal grande@
@kingdom@|@reino@
@kinglet@|@pássaro (gênero Regulus), reizinho@
@kinky@|@bizarro (sexo), encaracolado, pervertido@
@kinship@|@consangüinidade, parentesco@
@kiosk@|@quiosque@
@kiss@|@beijo@
@kissing kin@|@parente distante@
@kit@|@conjunto de peças, kit, maleta@
@kitchen@|@cozinha@
@kitchen knife@|@facão@
@kitchen-garden@|@horta@
@kite@|@pandorga, papagaio (brinquedo), pipa (brinquedo)@
@kite (financial slang)@|@papagaio (promissória), vale (promissória)@
@kitsch@|@arte barata, estilo cafona, kitsch@
@kiwi fruit@|@kiwi@
@knee@|@joelho@
@knee cap@|@rótula@
@knee-length skirt@|@saia acima do joelho@
@kneeling@|@genuflexão@
@knife@|@faca@
@knife-case@|@faqueiro@
@knifelike@|@agudo, cortante, incisivo@
@knight@|@cavaleiro@
@knight errant@|@cavaleiro andante@
@knit@|@ponto (de tricô), tricô@
@knitwear@|@malha@
@knob@|@botão de controle, castão, maçaneta@
@knock@|@batida, crítica (negativa), golpe@
@knockabout@|@chalupa sem gurupés (náut.), impetuoso@
@knockabout (slang)@|@casca-grossa (gíria)@
@knocked down@|@desmontado@
@knockout@|@nocaute@
@knoll@|@outeiro@
@knot@|@nó@
@knotty@|@nodoso@
@know nothing@|@ignorante, sem educação@
@knowledge@|@ciência, conhecimento, saber@
@knowledge base@|@base de conhecimento@
@knowledge by acquaintance@|@conhecimento por contato@
@known@|@conhecido, sabido@
@knuckle@|@articulação do dedo, nó (articulação) de um dedo@
@knuckle (beef cut)@|@patinho (corte de carne)@
@koala@|@coala@
@kohlrabi@|@couve-rábano@
@Koran@|@Alcorão, Corão@
@kraft@|@papel kraft (pardo)@
@krona (monetary unit in Scandinavia)@|@coroa@
@l33t (slang)@|@elite (gamer slang), jargão usado por gamers@
@La Paz@|@La Paz (capital da Bolívia)@
@label@|@etiqueta, grife, marca, rótulo@
@laboratory@|@laboratório@
@laborer@|@obreiro, trabalhador, trabalhador(a)@
@laborious@|@árduo, cansativo, estafante@
@labour@|@labor, mão-de-obra, proletariado, trabalho@
@labour claim@|@reclamação trabalhista@
@labour contract@|@contrato de trabalho@
@labour court@|@justiça trabalhista@
@labour force@|@mão-de-obra@
@labour of love@|@trabalho voluntário@
@labour relations@|@relações industriais, relações trabalhistas@
@labour theory of value@|@teoria do valor-trabalho@
@labour union@|@sindicato de trabalhadores@
@labour-pains@|@dores de parto@
@labyrinth@|@labirinto@
@lac@|@laca@
@lace@|@fita, laçada, renda (tecido)@
@lack@|@carência, falha, falta@
@lack of preparation@|@falta de preparo@
@lackadaisical@|@apático, lânguido@
@lackadaisically@|@apaticamente, languidamente@
@lackey@|@lacaio@
@lacking@|@ausente, carente de, inexistente@
@laconic@|@lacônico@
@lacquer@|@laca, verniz@
@lactating@|@lactante@
@lad@|@garoto, rapaz@
@ladder@|@escada (de mão), escala (musical)@
@laden@|@carregado, oprimido@
@ladies' man@|@mulherengo, sedutor@
@ladle@|@colherão, concha (de sopa)@
@lady@|@dama, dona@
@lady in waiting@|@dama de honra@
@ladylove@|@amada, amante, namorada@
@lady's finger banana@|@banana-prata@
@lag@|@aduela, atraso, retardo@
@lagging phase@|@fase de retardo@
@lagoon@|@lagoa@
@Lagos@|@Lagos (capital da Nigéria)@
@laic@|@leigo@
@laid back (AUS)@|@relaxado@
@lair@|@covil@
@lake@|@laca, lago@
@Lama (Buddhist)@|@lama (religião)@
@Lamaism@|@lamaísmo@
@lamb@|@cordeiro@
@lame@|@coxo@
@lame duck@|@indefeso, negócio gorado@
@lament@|@elegia, lamento@
@lamentable@|@lamentável@
@lamer (slang)@|@panaca, principiante (gamer slang)@
@lamia@|@lâmia@
@lamp@|@candeia, lâmpada@
@lamp-post@|@lampião, poste (de iluminação)@
@lampshade@|@abajur@
@LAN (Local Area Network)@|@rede local (informática)@
@lance@|@arpão, lança@
@lancet@|@lanceta@
@land@|@terra@
@land cress (Barbarea verna)@|@agrião-da-terra@
@land mine@|@mina terrestre@
@landed price@|@posto no destino@
@landfill@|@aterro@
@landholder@|@proprietário rural@
@landing gear@|@trem de pouso@
@landlady@|@proprietária, senhoria@
@landlord@|@proprietário, senhorio@
@landmark@|@baliza, limite, marco@
@landscape@|@paisagem@
@landscaper@|@jardineiro paisagista@
@landscaping@|@paisagismo@
@landscapist@|@paisagista@
@landslide@|@deslizamento de terra, vitória consagradora@
@landslip@|@desabamento, deslizamento de terra@
@lane@|@beco, viela@
@language@|@fala, idioma, língua, linguagem@
@languid@|@lânguido@
@languor@|@langor, letargia, torpor@
@languorous@|@langoroso, lânguido@
@lank@|@bambo, descarnado, encolhido, frouxo@
@lank (hair)@|@liso@
@lantern@|@lampião, lanterna@
@lap@|@caminhada, capa, colo, dobra, lambida, regaço@
@lapel@|@lapela@
@lapse@|@deslize, lapso@
@lapse of time@|@decurso@
@lapse rate@|@taxa de caducidade (seguro)@
@laptop@|@laptop (computador portátil)@
@larboard@|@estibordo@
@larceny@|@estelionato@
@lard@|@banha, toucinho@
@larder@|@copa, despensa@
@large@|@grande@
@large intestine@|@intestino grosso@
@large knife@|@facão@
@largely@|@preponderantemente, principalmente@
@larger@|@maior (do que)@
@larger-than-life@|@épico, heróico@
@large-scale@|@em massa, grande escala, larga escala@
@lark@|@cotovia@
@larva@|@larva@
@larynx@|@laringe@
@lascivious@|@lúbrico@
@lasciviousness@|@luxúria@
@lash@|@chicote, cílio, crítica mordaz, folga (motores)@
@lass@|@jovem (solteira), moça, rapariga@
@lasso@|@laço@
@last@|@derradeiro, final, último@
@last night@|@ontem à noite@
@Last Supper@|@Última Ceia@
@lasting@|@duradouro@
@lastly@|@finalmente, por último@
@latch@|@fecho@
@late@|@atrasado(a), falecido(a), tarde@
@later@|@mais tarde, posterior@
@latest@|@mais moderno, mais recente, último@
@lathe@|@torno@
@Latin@|@latim, latino@
@latter@|@pertencente ao final, recente@
@lattice@|@reticulado@
@laudable@|@louvável@
@laugh@|@piada, risada, riso@
@laughable@|@cômico, risível@
@laughingstock@|@objeto de riso@
@laughter@|@riso@
@launch@|@lancha@
@launderette@|@lavanderia automática@
@laundry@|@lavanderia, roupas (para lavar)@
@laurel@|@louro (planta)@
@lav@|@lavatório@
@lava@|@lava@
@lavender@|@alfazema, lavanda, lilás@
@lavish@|@pródigo@
@lavishly@|@extravagantemente, prodigamente@
@law@|@direito, lei@
@law suit@|@ação judicial, demanda judicial@
@lawbreaker@|@contraventor, infrator@
@lawful@|@legal, legítimo, lícito@
@lawless@|@anárquico, fora da lei, ilegal, ilícito, sem lei@
@lawlike@|@legiforme@
@lawn@|@relva@
@lawn mower@|@cortador de grama@
@lawsuit@|@ação judicial@
@lawyer@|@advogado, jurisconsulto@
@laxative@|@laxante@
@lay@|@balada, leigo, secular (que não é do clero)@
