@English@|@Cheyenne@
@hominy: Indian ~@|@ta'emenonôtse (ni pl)@
@honest: be ~@|@xanovahe (vai)@
@honey@|@háhnomâhépano'êhaseo'o (ni)@
@honor@|@pêhéve'ót (vta)@
@honor song for SB: sing an ~@|@asénoohe (vai)@
@honorable: be ~@|@ono'átamaahe (vai)@
@honored lead: take the ~ (on warpath)@|@náheohtsé (vai)@
@hood: be wrapped in a ~@|@héva'kévoheehe (vai)@
@hooded cradleboard@|@hóhkêha'e (ni)@
@hooded cradleboard (male variant)@|@hóhtšêha'e (ni)@
@hooded cradleboards@|@hóhkêhá'êstse (ni pl)@
@hooded: be ~@|@héva'evoehá (vii)@
@hoof@|@htóohevó (na poss)@
@hoofs@|@heheso (na)@
@hoofs: have split ~@|@nésôhkonávêhahtá (vai)@
@hook SB@|@axeetoo'é'ó'h (vta)@
@hooked together during intercourse (esp dogs)@|@hestôhkó'haséetó (vai)@
@hoop@|@ahkó'ôhéó'o (ni), hohtse- (pv)@
@hoop game: play the ~@|@ahkôheöhtse (vai)@
@hoop: netted ~@|@hó'xêséme (ni), hohtsemo (na)@
@hoop: webbed ~ (for traditional game)@|@xôhéono (na pl)@
@hoot@|@éškôse'šeme (vai)@
@hop over to@|@o'evo'ešen(ná) (vai)@
@hope@|@hotséovó'setanó (vai)@
@hope about SB@|@hotsévoom (vta)@
@hope with regard to SB@|@hotséovo'tátam (vta)@
@hope with regard to ST@|@hotséovo'tátsestá (vti)@
@hopelessly@|@otáxa (p)@
@Hopi pers@|@Xaehétane (na)@
@horn@|@htsevevêstse (na poss), vevêstse (na)@
@horn break off@|@po'évésé (vai)@
@horn(s)@|@évesé (mbp)@
@horn(s): his ~@|@hestsevéveto (na poss)@
@horn: buffalo ~@|@hotóavêséhe (ni)@
@horn: sharp ~ (lit bent horn)@|@vóhkevêstse (na)@
@horns@|@véveto (na pl)@
@horns: have small ~@|@tšêhe'kêsévésé (vai)@
@horns: he has nice ~@|@épêhévévése (vai)@
@horns: he has short ~@|@éka'évése (vai)@
@horns: he has small ~@|@étšêhe'kêsévése (vai)@
@horse@|@mo'éhno'ha (na), o'ha(m) (f)@
@horse collars@|@ho'ótano'haméstotôtse (ni pl)@
@horse hide@|@mo'éhno'hamého'éeve (na)@
@horse home: ride ~@|@hóohta'haso'he (vai)@
@horse mask@|@nêhpeeséeto'hamestôtse@
@horse medicine (meadowrue a plant)@|@mo'éhno'haméheséeo'ôtse (na)@
@horse perfume (a plant)@|@mo'éhno'hamémôxêšéne@
@Horse Road@|@Mo'éhno'haméméó'o (pn)@
@horse: be a pacer ~@|@nonomêšéoná (vai)@
@horse: beautiful ~@|@vé'ho'évo'ha (na)@
@horse: black ~@|@mo'ôhtávo'hame (na)@
@horse: Cheyenne ~@|@tsêhésto'ha (na)@
@horse: fellow ~@|@vésto'hame (na poss)@
@horse: have a fast ~@|@háeohévo'hamé (vai)@
@horse: he has a fast ~@|@éháeohévo'hamé (vai)@
@horse: leave on ~@|@asêta'haso'he (vai)@
@horse: old ~@|@ma'háhkêhno'ha (na)@
@horse: ride ~@|@a'haso'he (fai)@
@horse: roping ~@|@nâha'ónôsanévo'ha (na)@
@horse: saddle ~@|@táhoévo'ha (na)@
@horse: stud ~@|@hemotséhno'ha (na)@
@horse: top quality ~@|@vé'ho'évo'ha (na)@
@horse: white ~@|@vóhpo'ha (na)@
@horse: wild ~@|@nâhahévo'ha (na)@
@horse: work ~@|@tóva'hévo'ha (na)@
@horse: yellow ~@|@heóvo'ha (na)@
@horseback: he arrived riding on ~@|@ého'a'haso'he (vai)@
@horseflies@|@pó'êháhnomaho (na pl)@
@horsefly@|@mo'éhno'haméhése (na), po'êháhnoma (na)@
@horsemint@|@vé'ôhkêheséeo'ôtse (ni)@
@horses: go after ~@|@nóhta'ovo'hamé (vta)@
@horses: have many ~@|@háestôhé'háme (vai)@
@horses: have two ~@|@néše'hamé (vai)@
@horses: he has many ~@|@éháestôhé'háme (vai)@
@horses: he shoed ~@|@éésêhahtáno'häme (vai)@
@horses: hitch up ~@|@too'eto'hamé (vai)@
@horses: race ~@|@nóvêše'évo'hamé (vai)@
@horses: shaggy legged ~@|@tsémomé'šêhahtase (na pl)@
@horses: they have many ~@|@éháestôhé'hámeo'o (vai)@
@horses: unbridle ~@|@né'tâhtsenáno'hamé (vai)@
@horseshoe (ni) (lit ironfoothorseNOM)@|@ma'aetaévêhahtáno'hamestôtse@
@horseshoes (ni pl)@|@ma'aetaévêhahtáno'haméstotôts@
@hortative suffix@|@voo'êse  (sfx)@
@hospital@|@heséeotsémâhéó'o (ni), naa'émâhéó'o (ni)@
@host (communion bread)@|@ma'heónekóhkonôheo'o (ni)@
@hot@|@háoho'tá (vii), neš- (i)@
@hot and dry weather: it is ~@|@éenêstaešeeöhtse (vii)@
@hot and dry weather: it's extremely ~@|@éáhanâhö'ta (vii)@
@hot and humid: be ~@|@hohpotómâhó'ta (vii)@
@hot flashes@|@nêšeoestâho'he (vai)@
@hot liquid: be ~@|@nêsóome'tá (vii)@
@hot plate (lit cooking thing)@|@homôsestôtse (ni nom)@
@hot quickly@|@nêšeoestâho'tá (vii)@
@hot: be ~@|@háoho'he (vai), nêšêho'he (vai), nêšêho'tá (vii)@
@hot: be so ~@|@he'xóvâho'he (vai)@
@hot: be that ~@|@he'xóvâho'he (vai)@
@hot: be very ~@|@heévâhetanévâho'tá (vii), osenâho'tá (vii)@
@hot: he is ~@|@éháoho'he (vai)@
@hot: he is very ~@|@éáhanâho'he (vai)@
@hot: it's ~@|@éháohö'ta (vii)@
@hot: it's really ~@|@éheévâhetanévaehö'ta (vii)@
@hot: it's very ~@|@éhoháoho'tá (vii)@
@hot: very ~ (lit hot)(OK)@|@heévâhetanévaeho'tá (vii)@
@hotel@|@ôhtaenémâhéó'o (ni)@
@hound@|@hótame (na)@
@hounds@|@hotäme (na pl)@
@house@|@mâhëö'o (ni)@
@house sit@|@héstanovóósané (vai)@
@house(s): make ~@|@mâheónáne (vai)@
@house: behind the ~@|@he'pa'onéome (ni@
@house: frame ~@|@oomâhóoné-mâheo'o (ni)@
@house: have a ~@|@hemâheóne (vai)@
@house: log ~@|@hótôxámâhéó'o (ni)@
@house: modern ~@|@vé'ho'émâhéó'o (ni)@
@house: on the ~@|@mâheóneva (loc)@
@house: round ~@|@a'êsemâheo'o (ni)@
@house: round ~ (variant)@|@a'kâsémâhéó'o  (ni)@
@house: sod ~@|@heše'émâheo'o (ni)@
@house: stone ~@|@ho'honáemâhëö'o (ni)@
@household belongings@|@htóo'ôhtsestôtse (ni nom poss)@
@houses@|@mâheonôtse (ni pl)@
@housework well: do ~@|@pêhévemosé (vai)@
@hover@|@tó'hoése (vai)@
@how@|@heše- (pv rr)@
@how about you?@|@naa nénéehove? (p int)@
@how act toward SB@|@tónetoéstomó'he'tov (vta)@
@how be@|@totónesta1 (vai)@
@how be the day (esp today)@|@tónêše-éšeeve (vii)@
@how big be (is) a room@|@tónetaa'ene'ho'tá (vii)@
@how called?@|@óxôhestohe (vii)@
@how come to feel physically@|@tónetomóhtâhéotse (vai)@
@How far apart in time?@|@totónetó'e'še (p)@
@how far away is it?@|@étóne'ëso? (int)@
@how feel physically@|@tónetomóhtahe (vai)@
@how have use for SB@|@tóneto'otsé'tov (vta)@
@how long did he stay?@|@étóne'éhoo'e? (int)@
@how long is it?@|@étóne'ëso? (int)@
@How many (an) are there?@|@tónêstoxe (vai)@
@how many (in) were there?@|@étónêstôhánêstse?@
@how many days@|@tónêstôhéé'êše, tónêstôhéé'êše (p)@
@how many go@|@tónêstôheohtsé (vai)@
@how many months@|@tónêstôheéše'hamá (vai)@
@how many times?@|@tónêstoha (p)@
@how many years@|@tónêstôheää'e (p)@
@How many?@|@tónesto (p)@
@how need SB@|@tónêšéh (vta)@
@how often@|@tónetó'e'še (p)@
@how old is he?@|@étónêstôheaénáma? (vai)@
@how ST feels (to SB)@|@tónetoma'tá (vii)@
@how?@|@tóneš- (i), tónêše- (pv), tónet- (i), tónet/tóneš (i)@
@however many@|@hestôhe- (pv), tónesto (p)@
@however many (an) were?@|@tónêstoxe (vai)@
@however many days@|@tónêstôhéé'êše (p)@
@however many go@|@tónêstôheohtsé (vai)@
@however many in number@|@hestôh- (pv), hestôhnóvahe (vai)@
@however much@|@hestôhe- (pv), tónetáa'e (p)@
@howl@|@ahtóohe (fai), néstoohe (vai), néstoohétó (vii)@
@Howling Bird@|@Vé'késôhnéstoohe (pn)@
@Howling Coyote@|@Ó'kôhómôhnéstooestse (pn)@
@Howling crane@|@Vóestasôhnéstoohe@
@Howling Crane@|@Vóestasôhnéstoohe (pn)@
@Howling Hawk@|@Aénôhenéstoohe (pn)@
@Howling On the Ground@|@Ho'évánéstoohe (pn)@
@Howling Rock@|@Ho'honáhkenéstoohe (pn)@
@Howling Star@|@Hotóhkenéstoohe (pn)@
@Howling Wolf@|@Ho'néheevâhtóohe (pn), Ho'néohnéstooestse (pn), Ho'néohnéstoohe (pn)@
@Howling Wolf Woman@|@Ho'néheevâhtóohé'e (pn)@
@Howling Woman@|@He'enéstoohé'e (pn), Hé'ôhnéstooestse (pn), Hé'ôhnéstoohé'e (pn)@
@howling: he's ~@|@éhohetse (vai)@
@Howls All Night@|@Vóonâhtóoestse (pn)@
@Howls Along Woman@|@Amâhtóohë'e (pn), Tóohé'e (pn)@
@hug SB at the belly@|@nêškóhtâsen (vta)@
@huge@|@mám- (i), vonêstoha (p)@
@huge: be ~@|@háahpeta  (vai)@
@huge: he's ~@|@éháahpeta  (vai)@
@huge: it is very ~@|@éhoháahpë'o (vii)@
@huge: it's ~@|@éháahpë'o (vii)@
@huge: it's extremely ~@|@éáhanaö'o (p)@
@hugged him quickly: he ~@|@éé'kotseváen (vta)@
@hugged him: he ~@|@éé'kotsenóho (vta)@
@humble (looked down upon) work@|@hetómotse'óhestôtse (ni nom)@
@humble toward SB: be ~@|@nêševátamâhé'tov (vta)@
@humble work: do ~@|@hetómotse'ohe (vai)@
@humble: be ~@|@momóxahe (vai)@
@humming: he is ~@|@éémoosenone (vai)@
@Hummingbird@|@méeškaatsêhë'e (pn)@
@hummingbird (lit metal bird)@|@ma'kaetaevé'késo (na)@
@hummingbirds@|@ma'kaetaevé'kêseho (na pl)@
@hump@|@pa'- (i), popá'ke- (pv)@
@hump (forward part of backbone or nape of neck)@|@vóoo'e (ni)@
@humpback@|@pa'e'pa'onáhe (na)@
@humpback (variant)@|@pa'e'pa'onahtôtse (na)@
@humpbacked: be ~@|@pa'ke'oná (vai)@
@humpbacked: be ~ (variant)@|@pa'e'pa'oná (vai)@
@humpbacks@|@pa'e'pa'onáhtoto (na pl)@
@humped@|@vo'ôxe- 'xe? (vai)@
@Humped Nose Crow@|@Ókôhkevóo'xénéhe (pn)@
@hung@|@é'eehe (vta)@
@hung him out (as a shirt to dry): he ~@|@éhoésemóho (vta)@
@hung over: he's ~@|@éá'avâséétó (vai)@
@hungover at the belly: become ~@|@ma'kâséotse (vai)@
@hungover: look ~@|@nó'êstoe'tóvenóohe (vai)@
@hungry: be very ~@|@hoháéána (vai), nonótovéaná (vai), oó'xeaná (vai)@
@hungry: get ~@|@homó'aná (vai)@
@hungry: he's ~@|@éháéána (vai)@
@hungry: he's become ~@|@éháeanáotse (vai)@
@hungry: I'm ~@|@náháéána@
@hunt@|@néhomo'he (vai)@
@hunt (for small game)@|@nése'neva (vai)@
@hunt for SB@|@éémôhóne'tovóho (vta)@
@hunted: he camped and ~@|@éémôhóneehe (vai)@
@hunter@|@émôhónéhe (na)@
@hunter: he is a ~@|@éémôhóne'heóneve (vai)@
@hunters@|@émôhónêheo'o (na pl)@
@hunting for small game (eg rabbits/birds): he's ~@|@énése'neva (vta)@
@hunting: he's ~@|@éémôhóne (vai)@
@hurried: become ~@|@véseotse (vai)@
@hurriedly@|@nenótove- (pv), ohe (fai)@
@hurriedly (variant)@|@nonótove- (p)@
@hurriedly move away@|@aseehéoohe (vai)@
@hurriedly: arrive moving ~@|@ho'eehéoohe (vai)@
@hurriedly: do ~@|@hešéveohe (vai)@
@hurriedly: finish ~@|@má'ta'ó'sané (vai)@
@hurriedly: prepare ~@|@éxa'ó'sané (vai)@
@hurry@|@hotáma'e (p), nonótov- (i), onetovanené (vai)@
@hurry for ST: be in a ~@|@vésetsestá (vti)@
@hurry SB@|@vésêhan (vta), vésetsêstov (vta)@
@hurry SB (through speaking)@|@nonótovévam (vta)@
@hurry up@|@onótovanéne (vai)@
@hurry up and eat@|@onótove'haná (vai)@
@Hurry!@|@otšêše (p)@
@hurry: be a pers in a ~@|@nonótovahe (vai)@
@hurry: he's in a ~@|@évésétáno (vai)@
@hurt@|@ónêšeotse (vai), vé'ôhka'ov (vta)@
@hurt eyes of SB@|@ónêše'éxanén (vta)@
@hurt feelings of SB@|@véneh (vta)@
@hurt feelings of SB (by talking)@|@ónêšem (vta)@
@hurt SB@|@a'séeh  (vta), ónêxa'o'h (ó'h?) (vta), ónêxan (vta)@
@hurt SB severely@|@hoháeh (vta)@
@hurt with respect to SB (esp body part)@|@háama'tov (vta)@
@hurt: feel ~ (be touchy)@|@vénahe (vai)@
@husband@|@éhame (na poss), má'haeso (voc), má'hahkeso (voc)@
@husband: have a ~@|@heéhamé (vai)@
@husband: have a good ~@|@pêhéveéhamá (vai)@
@husband: have SB as a ~@|@heéhamé'tov (vta ai+o)@
@husband: her ~@|@heéháme (na poss)@
@husband: look for a ~@|@nóhta'háohtsé (vai)@
@husband: my ~@|@naéhame (na poss)@
@husband: want a ~@|@heéhamétanó (vai)@
@husbands: have many ~@|@háestôheéhamá (vai)@
@husbands: she has many ~@|@éháestôheéhamá (vai)@
@hyper pers: be a ~@|@nonótovahe (vai)@
@hyper: be ~@|@nonótovêstsea'e (vai)@
@hyper: be ~ (variant)@|@onóvêstsea'e (vai)@
@hyper: become ~@|@onótoveotse (vai)@
@hyper: he's ~@|@énonótovahe (vai)@
@hypocrite (neologism) (just pretend one)@|@vá'nenêhesémanéhe (na)@
@I am the one@|@nánéehove (vai)@
@ice@|@má'ome (ni)@
@ice cream (lit that which is cold)@|@tsé-tóno (vii cj), tsétóno@
@ice: on the ~@|@ma'omëva (obl)@
@icewell@|@ma'omévotâháeno ? (ni)@
@icicle (pointed ice)@|@éškôsemá'ome (ni)@
@icy@|@hesó'xa'omohta (vii)@
@icy: be ~@|@ma'omeve (vii)@
@icy: be ~ (variant)@|@ma'omévohtá (vii)@
@ideas: have many ~@|@háestôhetanó (vai)@
@identical: it's ~@|@ésééso (vii)@
@identification card@|@ne'evávôxe'êstoo'o (ni)@
@identify@|@ne'evá- (i)@
@identify SB@|@néehóvem (vta)@
@idling well (car): it is~@|@épêhéveamévone (vti)@
@idol@|@aéstomema'heo'o (na), ma'heónêstoo'o (na)@
@idols@|@ma'heónêstoono (na pl)@
@if@|@ôh-vé'- (pv)@
@ignite ST/SB@|@éxo'âsén (vti)@
@ignore SB@|@o'omóom (vta)@
@ignore ST@|@vonémáohtá (vti)@
@ill: become critically ~@|@hótoanávomóhtâhéotse (vai)@
@illegitimate child@|@émooséso (na), mé'anéka'êškóne (na)@
@illegitimate child (variant)@|@émooseka'êškóne (na)@
@illegitimate children@|@émoosésono (na pl)@
@illegitimate girl@|@mé'anóhka'e (na)@
@illness from SB: catch ~@|@a'avó'seh (vta)@
@ill-timed@|@óeséhéóvo (p)@
@illustrate with SB@|@hetáohamé'tov (vta)@
@illustration: be an ~@|@hetáohame (vii)@
@illustrative@|@hetáohame (pv)@
@imitate@|@tóva- (i)@
@imitate SB@|@hóxe'êstséh (vta), néhenovâhé'tov (vta), néhevo'êstanéheve'tov (vta)@
@immature@|@hoxa'eta (vai)@
@immediately@|@sé'ea'a (p)@
@immobilized@|@tó'omahe (vai)@
@impede@|@ta'ome- (pv)@
@impede ST@|@ta'oma'ohtsé (vti)@
@imperative@|@(imp)@
@impersonate SB@|@hetomóét (vta)@
@impetigo: have ~@|@hemaneta (vai)@
@importance: have ~@|@he-ne'tâhéhaméstove (vai)@
@important@|@ne'tahe  (vai)@
@important: be ~@|@né'ta'e (vii)@
@important: consider ~@|@háatam (vta)@
@important: he is ~@|@éne'tahe (vai)@
@important: it's ~@|@éné'ta'e (vii)@
@important: most ~@|@náno'tahe (vai)@
@important: regard ST as ~@|@ne'tátsestá (vti)@
@important: stand ~@|@ne'tâhéóó'e (vai)@
@impregnate SB@|@hóse'etaov (vta)@
@in between@|@totó'hoveto (p)@
@in life@|@héstánóva (obl)@
@in order to@|@nóhpa- (pv)@
@in return@|@kómááhe (p)@
@In Search of Food@|@Évotseta (pn)@
@in the place of honor (opp door in a tepee)@|@vá'ôhtáma (p)@
@in the road@|@ta'ome- (pv)@
@in the way@|@ta'ome- (pv)@
@in time?@|@nâha'e- (pv)@
@in turn@|@mé'tó'e (p), tóeto (p)@
@inanimate@|@(in)@
@inanimate noun possessive form@|@(ni poss)@
@inattentive: be ~@|@no'héoo'hetanó (vai), no'hétanó (vai)@
@inattentive: become ~@|@no'hétanóotse (vai)@
@inaugurate ST@|@hó'ha'á (vti)@
@incapable@|@vovón- (i)@
@incense: burn ~ (or sage or sweetgrass)@|@tsêhetâho'hová (vai)@
@incisor (tooth)@|@ane'too'êse (ni)@
@incisors@|@ane'tóesôtse (ni pl)@
@include@|@no'- (i), no'o'eétahe (vai)@
@include design@|@no'ôhtâheve (vii)@
@include eat ST@|@no'óhtá (vti)@
@include in ceremony@|@no'o'eétahe (vai)@
@include in writing@|@no'ôxe'êstóné (vai)@
@include SB in the count@|@no'oem (vta)@
@include SB while telling@|@no'ósem (vta)@
@include ST@|@no'an (vti)@
@include ST in the count@|@no'oestá (vti)@
@include ST/SB@|@ho'xêstan (vti)@
@included@|@no'(e)- (pv)@
@included (in that area): be ~@|@no'oem (vta)@
@included: be ~@|@no'a'é (vii)@
@inclusive (1st pers pl incl pers spoken to)@|@(incl)@
@indeed@|@óatoo'êse (p)@
@independent noun@|@(Indep Noun)@
@Indian@|@xaevo'êstane (na)@
@Indian (lit ordinary pers)@|@xamaevo'êstane (na)@
@Indian baloney@|@hevé'keonéhestâhtötse (ni)@
@Indian doll@|@Mée'aahë'e, Mée'aatsêhë'e@
@Indian Doll@|@méeškaatsêhë'e (pn)@
@Indian from another tribe@|@notse (na)@
@Indian giver: be an ~ (Piegan)@|@péekave (vai)@
@Indian hominy@|@ta'emenonôtse (ni pl)@
@Indian oven bread@|@xamaekóhkonôheo'o (ni)@
@Indian woman from another tribe@|@nótá'e (na)@
@Indian: look like an ~@|@tsêhésenóohe (vai)@
@Indian: Rockyboy ~ (variant)@|@Ho'honáeka'êškóne (na)@
@Indians (lit ordinary people)@|@xamaevo'êstaneo'o (na pl)@
@Indians from other tribes@|@nótseo'o (na pl)@
@Indians from out west (ex Navahos)@|@Hotamó'keeho (na pl)@
@Indians: Rockyboy ~@|@Ho'honáeka'êškóneho (na pl)@
@indicate@|@ne'evá- (i)@
@indifferent@|@anonáve- (pv)@
@indispensable: be ~@|@héstovêheseehe (vai)@
@indoors@|@hotómá'e (p)@
@inebriate@|@mané'héó'o (na), tséháemanêstse (vai cj ppl)@
@inept: he's ~@|@éhoó'êspahe (vai)@
@inexpensive: be ~@|@he'anávoeme (vai)@
@inexperienced@|@vovónahe (vai)@
@infected@|@matse@
@inferential negative prefix sequence (past tense)@|@móxho'nó- (pfx)@
@inferior@|@kóme- (pv)@
@inflate@|@éstova'ham (vta)@
@inflated him: he ~@|@ééstova'hamóho (vta)@
@influence@|@vonôhóha'ov (vta)@
@influenced by@|@a'avó'seh (vta)@
@inform SB@|@hoton (vta)@
@information@|@(inf)@
@inhabit ST@|@hoé'tá (vti)@
@inhale ST@|@hesêhahtsé (vai)@
@inheritance: by ~@|@tóonee- (pv)@
@Inidan: Rockyboy@|@Ho'honáehetanéka'êškóne (na)@
@initial@|@(i)@
@injections: give ~@|@he'kôhová (vai)@
@injure SB@|@a'séeh  (vta)@
@ink pen@|@mâhpévoomôxe'êstónestôtse (ni)@
@inopportune@|@óeséhéóvo (p)@
@inquire about@|@nôhtsem (vai)@
@inquire about ST@|@nôhtsestá (vti)@
@insane asylum@|@mâsêháneemâhëö'o (ni)@
@insane asylum (vai cj)@|@ónonovâhéheo'o tséxhoevôse@
@insane person@|@ónonovâhéhe (na)@
@insect@|@mééhe (na), méškéso (na)@
@inseparable companion: have SB as an ~@|@he-vésta'óseoné'tov (vta)@
@inside@|@hotómá'e (p)@
@inside the house@|@hotómá'e mâheóne (p)@
@inside: sit ~@|@éstoo'e (vai)@
@insincere@|@hóome- (pv)@
@inspector: stock ~@|@hováheve'ho'e (na)@
@instantly@|@oest (m)@
@instead@|@ónétáhtse (p)@
@instead of@|@mé'tó'e (p)@
@instep@|@he'konevêhahtahtôtse (ni)@
@instigate@|@vonôhóha'ósané (vai), vonôhósem (vta)@
@instruct pledger(s) in the Sun Dance@|@mâhtôhová (vai)@
@instruct SB@|@mâhtoh(n) (vta)@
@instructed: be ~@|@éestsêstóseoneve (vai)@
@instructing (the pledgers): he is ~@|@émâhtôhóva (vai)@
@instructor: the ~@|@tsémâhtôhóvâtse@
@instrumental@|@vé'še- (pv)@
@insult SB@|@oo'hem (vta)@
@intend to know ST@|@héene'ená (vti)@
@intense@|@háeve- (pv), háome- (pv)@
@intense feeling: have intense ~@|@háatanó (vai)@
@intense weather: it's ~@|@éáhanatamáno'e (vii)@
@intensely@|@osee- (pv)@
@intercede on behalf of SB to obtain a wife@|@nêhestomótah (vta)@
@intercourse with SB: have ~@|@he-vévé'tov (vta ai+o), he-vévé'tov (vta), hestse'émé'tov (vta), hestse'émeotsé'tov (vta)@
@intercourse: have ~@|@hestse'eme (vai), nâha'éšenam (?) (vta)@
@intercourse: hooked together in ~ (dogs)@|@hestôhkó'haséetó (vai)@
@intercourse: want to have ~ (said of a man)@|@he-vévetanó (vai)@
@interpret@|@éestsêstomótâxevá (vai)@
@interpret for SB@|@éestsêstomótah (vta)@
@interpreted: he ~@|@ééestsêstomósáne (vai)@
@interpreter@|@éestsêstomósanéhe (na), éestsêstomótâxeváhe (na)@
@interpreters@|@éestsêstomósanéheo'o (na pl), éestsêstomótâxeváheo'o(na pl)@
@interval: at certain ~@|@tónetó'e'še (p)@
@intervals: at ~@|@vovó'héé'êse (p)@
@intervals: at repeated ~@|@totó'hov- (i), totó'hove- (pv), totó'hoveto (p)@
@intervals: at short ~@|@kokáse- (pv)@
@intestine: stuffed ~@|@hestâhtötse (ni)@
@intestines@|@ohtá (mbp), vé'keonþšêstse (ni pl)@
@intestines: small ~@|@hevé'keonëšêstse (ni)@
@intimidate SB@|@tó'ováeh (vta)@
@into@|@ést (p), oése- (pv), sé' (p)@
@into (go into brush)@|@séno'@
@intrepid: be ~@|@hetsevahe (vai)@
@intrigued: be ~@|@otoésetanó (vai)@
@invite@|@onóosané (vai), onóosetanevá (vai)@
@invite SB@|@onóeoesem (vta)@
@invite SB with urgency@|@onóeoesem (vta)@
@involved with SB@|@vésta'êstsém (vta)@
@iron@|@ma'aeta (ni)@
@iron (appliance) (lit smoothing thing)@|@hesó'xôhéó'o (ni)@
@iron (lit smooth by heat thing)@|@hesó'xâho'hovahtôtse (ni nom)@
@iron (lit smooth by heat)@|@hesó'xâho'hová (vai)@
@iron (variant)@|@ma'kaeta (ni)@
@Iron Hand@|@Ma'aetaévêhe'öna (pn)@
@Iron Lodge Woman@|@Ma'aetaeoméné'e (pn)@
@Iron Shirt@|@Ma'aetaéestse'henáhe (pn)@
@iron ST/SB@|@hesó'xan (vti)@
@Iron Tooth Woman@|@Ma'aetaévonené'e (pn)@
@ironing: she is ~@|@éhesó'xôhené (vai)@
@irrigate@|@amóovánené (vai)@
@irritable: be ~@|@vé'ôhkahe (vai)@
@Is he the person?@|@nêsévoohe (vooho?) (p)@
@is that it?@|@móhénêsehe? (p)@
@island person@|@manâhétane (na)@
@Isn't that right?@|@ta'sêhama (p)@
@issue@|@votséno'hová (vai)@
@issue commodities@|@hoxotá (vai)@
@issue ST/SB@|@votsén (vti)@
@itch@|@netoe- (i), netoeohtsé (vai)@
@itch: eyes ~@|@netoe'éxaneohtsé (vai)@
@itch: head ~@|@axeestaemáohtsé (vai)@
@itching: he is ~@|@énetoeöhtse (vai)@
@itchy face: have an ~@|@netoeénéohtsé (vai)@
@itchy fingers: have ~@|@netoeškôséohtsé (vai)@
@itchy hands: have ~@|@netoehe'onáohtsé (vai)@
@itchy head or scalp: have an ~@|@netoestséáohtsé (vai)@
@itchy leg(s): have ~@|@netoeškóhtáohtsé (vai)@
@itchy neck: have an ~@|@netoenotováohtsé (vai)@
@itchy throat: have an ~@|@netôhkeéstooná (vai)@
@itchy throat: have an ~ (variant)@|@netôhkeéstoonáohtsé (vai)@
@it's not that way@|@ésáanêhesóhane (vii)@
@jab@|@ováne'ôhoné (vai)@
@jack (of playing cards)@|@ma'evé'ho'e (na)@
@jacket@|@ka'eéstse'he (na)@
@jacket (lit short shirt)@|@ka'eéstse'he (na)@
@jackrabbit@|@aénôhevóhkóóhe (na)@
@jackrabbit hide@|@aénôhevóohého'eeve (na)@
@jackrabbit pelt or hide@|@aénôhevóohého'eeve (na)@
@jackrabbits@|@aénôhevóhkooheho (na pl)@
@jail (lit tied up in house)@|@too'êhémâhéó'o (ni)@
@jail: be in ~@|@too'ehe (vai)@
@jail: get thrown into ~@|@too'êhévo'emaoohe (vai)@
@jail: he put him in ~@|@éésta'hamóho (vta)@
@jail: he's in ~@|@étoo'ehe (vai)@
@jam@|@tseohke-pano'ohe (vii cj), tséohkepano'ohe (ni)@
@janitor@|@hóxe'anenéhe (na), tséohkêhóxe'anënêstse (na)@
@January (Hoop Moon)@|@hohtseeše'he (ni)@
@January (instead of November)@|@he'koneneeše'he (ni)@
@Japanese people@|@Tótšêške'êhaénêheo'o (na pl)@
@Japanese pers (lit small eyed one)@|@Tótšêške'êhaénéhe (na)@
@Japanese pers (variant)@|@Tovó'kêhaénéhe (na), Tóvó'kêhaénêheo'o (na pl)@
@jar@|@étôho'éhéó'o (ni)@
@jaundiced face: have a ~@|@heóvéné (vai)@
@jaw@|@htóo'oná (mbp), htsêstoo'o (ni poss)@
@jaw meat@|@heškóovono (ni)@
@jealous of husband: be ~@|@oesevéóna (vai)@
@jealous of SB over one's wife: be ~@|@nóvót (vta)@
@jealous of wife (over another man)@|@nóvá (vai)@
@jealous over her husband: she is ~@|@éeosevéoná (vai)@
@jealous over husband: be ~@|@eosevéoná (vai)@
@jealous: be ~@|@e'hanóhtahe (vai), no'ketanótôsané (vai)@
@jealousy in SB by seeing: cause ~@|@e'hanóhtoomeh (vta)@
@jello@|@tsénonomö'ta@
@jerk@|@hes(e)- (i), vávâhka'xe (vai), vávâhkeoesta'xe (vai)@
@jerk (ST)@|@a'hahtsé  (fti)@
@jerk away@|@pó'po'a'xe (vai)@
@jerk clothes off SB@|@né'sêsané'ham (vta)@
@jerk him off of ST@|@po'po'a'ham (vta)@
@jerk legs@|@tšêhešé'hahta'xe (vai)@
@jerk open ST@|@ónêsta'hahtsé (vti)@
@jerk out SB@|@oó'ham (vta)@
@jerk quickly@|@heseoesta'xe (vai)@
@jerk SB@|@hóesta'ham (vta)@
@jerk SB away from ST@|@pó'po'a'h (vta)@
@jerk ST@|@hesta'hahtsé (vti)@
@jerk ST aside@|@no'hé'hahtsé (vti)@
@jerk ST out of the ground@|@né'tôsa'hahtsé (vti)@
@jerk up SB@|@ka'a'ham (vta)@
@jerk up ST@|@ka'a'hahtsé (vti)@
@jerking: be tired from ~@|@kâhana'xe (vai)@
@Jesus@|@He'amavé'ho'e (na)@
@jingle@|@áxâxéva'hasené (vai), kó'kóéva'ó (vai), kó'koévone (vii)@
