@English@|@Laotian@
@majesty@|@ຣາຊານຸພາບ, ອະນຸພາບ@
@major@|@ສັກສີ່, ພັນຕີ@
@major and minor offences@|@ໂທສານຸໂທດ@
@major colonel@|@ນາຍພັນຕີ@
@major general@|@ນາຍພົນຕີ, ພົນຕີ@
@majority@|@ຈຳນວນຫລາຍ, ຈຳນວນຫຼາຍ, ສ່ວນຫລາຍ, ສ່ວນຫຼາຍ, ສ່ວນໃຫຍ່, ເປັນສ່ວນໃຫຍ່@
@majority shareholder@|@ຮຸ້ນສ່ວນໃຫຍ່@
@majority vote@|@ສຽງສ່ວນຫລາຍ, ສຽງສ່ວນຫຼາຍ@
@mak a legal error@|@ສຳຄັນຜິດໃນຂໍ້ກົດຫມາຍ, ສຳຄັນຜິດໃນຂໍ້ກົດໝາຍ@
@make@|@ກະທຳ, ສ້າງ, ຍີ່ຫໍ້, ເຍັຽະ, ປຸນແຕ່ງ, ເຮັດ@
@make a  donation@|@ສະຫລະເງິນເພື່ອການກຸສົນ, ສະຫຼະເງິນເພື່ອການກຸສົນ@
@make a bed@|@ປັດບ່ອນນອນ@
@make a boat@|@ຟັນເຮືອ@
@make a contract@|@ທຳສັນຍາ@
@make a contract to do@|@ຮັບເຫມົາ@
@make a criminal attempt@|@ພະຍາຍາມຄິດປອງຮ້າຍ@
@make a dent in the middle@|@ດຸ້ງ@
@make a disturbance@|@ທຳຮ້າຍຮາວີ@
@make a false move@|@ພາດທ່າ@
@make a false report@|@ແຈ້ງຄວາມເທັດ@
@make a figurine for magical purposes@|@ເຮັດຫຸ່ນ@
@make a friend of@|@ກໍ່ມິດ@
@make a guarantee@|@ຈັດປະກັນ@
@make a home@|@ສ້າງຢ້າວແປງເຮືອນ@
@make a loan at interest@|@ຜູກດອກ@
@make a lot of noise@|@ສົ່ງສຽງອຶກກະທຶກ@
@make a loud noise@|@ບັນລື@
@make a mistake@|@ພາດພັ້ງ, ເຮັດຜິດ@
@make a mistake in payment@|@ຈ່າຍຖະຫລຳ, ຈ່າຍຖະຫຼຳ, ຈ່າຍຜິດ@
@make a moise@|@ສຽງດັງ@
@make a motion@|@ສະເຫນີຍັດຕິ, ສະເໜີຍັດຕິ@
@make a mouthful@|@ໂມ່ມ@
@make a movement of the mouth@|@ຈຸ້ຍ@
@make a note@|@ທຳບັນທຶກ@
@make a pilgrimage@|@ນະມັດສະການ@
@make a portait@|@ຂຽນຮູບ@
@make a profit@|@ໄດ້ກຳໄລ@
@make a proposal@|@ສະເຫນີຄວາມເຫັນ, ສະເໜີຄວາມເຫັນ@
@make a protrait@|@ຂຽນພາບ@
@make a protuberance in the middle@|@ດຸ້ງ@
@make a report@|@ສະເຫນີລາຍງານ, ສະເໜີລາຍງານ, ທຳບັນທຶກ, ທຳລາຍງານ, ບອກຄວາມ@
@make a report to the police@|@ແຈ້ງຄວາມຕຳຫລວດ, ແຈ້ງຄວາມຕຳຫຼວດ@
@make a reprisal@|@ເຮັດຕອບ@
@make a rice field@|@ສ້າງທົ່ງແປງນາ@
@make a sacrifice@|@ສະຫລະຊັບ, ສະຫຼະຊັບ@
@make a show of military force@|@ສະແດງແສນຍານຸພາບ@
@make a slip of the tongue@|@ພັງປາກ@
@make a solemn vow@|@ຕັ້ງສັດຕະຍາທິຖານ@
@make a sound@|@ລັ່ນສຽງ@
@make a speech@|@ກ່າວສັ່ງກອນ@
@make a surprise attack@|@ໂຈມຕີຢ່າງບໍ່ຮູ້ສຶກຕົວ@
@make a survey of an area@|@ສຳລວດພູມີປະເທດ@
@make a top knot (in the old Lao manner)@|@ເກົ້າຈຸກ@
@make a tumult@|@ໂຮຮ້ອງ@
@make a vow to God or Buddha@|@ບະນຳພະເຈົ້າ@
@make a way through; squeeze through a crowd@|@ຊອນໄປ@
@make a wish@|@ບະ@
@make allowances@|@ຜ່ອນຜັນສັນຍາ@
@make am offering of food to the dead in a religious cermony@|@ແຈກເຂົ້າ@
@make amends@|@ສະມາໂທດ, ແປງໃຈ@
@make an air attack@|@ໂຈມທາງອາກາດ@
@make an appearance@|@ໂຜງຫນ້າ@
@make an appointment@|@ນັດ, ນັດຫມາຍ@
@make an attack by sea@|@ໂຈມທາງເຮືອ@
@make an end of@|@ຊ້ຳທ້າຍ@
@make an error in fact@|@ສຳຄັນຜິດໃນເທັດຈິ່@
@make an excuse@|@ແກ້ໂຕ@
@make an incantation with water or betel@|@ມັ໋ນ@
@make an initialal@|@ລອງເບິ່ງກ່ອນ@
@make an inventory@|@ຈົດຂອງ@
@make an offering to a priest@|@ຊົງບາດ@
@make an offering to the spirits to avoid misfortune@|@ເສຽຜີ@
@make anxious@|@ຢ່າງຫນ້າວິຕົກ@
@make candles@|@ປັ້ນທຽນ@
@make candles by rolling wax on a wick@|@ສີທຽນ@
@make candles with beeswax@|@ສີເຜີ້ງ@
@make charcoal@|@ເຜົາຖ່ານ@
@make clay image@|@ປັ້ນຮູບ@
@make clean@|@ສຸ@
@make comfortable@|@ເຮັດໃຫ້ສະບາຍດີ@
@make concessions@|@ສົມຍອມ, ຜ່ອນຕາມ, ຜ່ອນຜັນສັນຍາ@
@make demerit@|@ທຳງວນ@
@make effort to come@|@ບືນຫາ@
@make effort to go@|@ບືນໄປ@
@make effort to leave@|@ບືນຫນີ@
@make enemies@|@ສ້າງສັດຕູ@
@make equal@|@ຊັ່ງຊາ@
@make fire@|@ດັງໄຟ@
@make fire by rubbing two sticks together@|@ສີໄຟ@
@make firm@|@ເຮັດໃຫ້ແຫນ້ນແຟ້ນຂຶ້ນ@
@make fit@|@ແນບກາຍ@
@make friends with@|@ກໍ່ມິດ, ຜູກມິດ@
@make fun off@|@ຍວກ@
@make happy@|@ຢາໃຈ@
@make higher@|@ຍົກໃຫ້ສູ່@
@make incantations@|@ຮວາຍຄາຖາ@
@make inquiries@|@ສືບຄວາມ, ສືບຖາມ@
@make louder@|@ດັງຂຶ້ນ@
@make love@|@ກ້ຽວຄຽນ, ເຊີງກັນ@
@make mistake@|@ທຳຜິດ, ເຮັດຜິດ@
@make money honestly@|@ໄດ້ເງິນມາໂດຍຊອບທັມ, ໄດ້ເງິນມາໂດຍຊອບທຳ@
@make mouldy@|@ຕົກໂຫມະ@
@make music@|@ບັນເລງ@
@make no secret@|@ບໍ່ປິດບັງ@
@make one way toward@|@ເບັດໃສ່@
@make oneself at home@|@ເປັນກັນເອງ@
@make or produce domestically@|@ທຳໃນປະເທດ@
@make overtures leading to a marriage@|@ຢາມສາວ@
@make pots@|@ປັ້ນຫມໍ້@
@make progress@|@ຟູຟອງ@
@make proud@|@ເຮັດໃຫ້ທະນົງຕົວ@
@make ready@|@ກຽມພ້ອມ, ຕຽມໂຕ, ຕຽມຕົວ@
@make restitution@|@ໃຊ້, ໃຊ້ແທນ, ໃຊ້ໃຫ້@
@make sacrifices to the spirits@|@ຜອກ@
@make sense@|@ເຂົ້າທ່າ, ໄດ້ຄວາມ@
@make sleepy@|@ທຳໃຫ້ຢາກນອນ, ເຮັດໃຫ້ນອນ@
@make solution with?@|@ປົນນ້ຳ@
@make something clear@|@ສູ້ຄວາມ@
@make tea@|@ຊົງໃບຊາ@
@make the bed@|@ປູບ່ອນນອນ@
@make the round of a trip line@|@ຢາມແຮ້ວ@
@make thin@|@ລົງໂຕ@
@make thinner@|@ບາງລົງ@
@make tight@|@ຂຶງພຶດ@
@make to appear@|@ບັນດານ@
@make up@|@ເສີມສວຍ, ເສກສັນ@
@make up one’s mind@|@ປັກໃຈ, ປັກໃຈ@
@make use of@|@ໃຊ້@
@make useful@|@ປະຍຸກ@
@make war@|@ຈຳບັງ, ທຳສົງຄາມ@
@make ypurself comfortable@|@ເຊີນຕາມສະບາຍ@
@maker of flower garlands@|@ມາລາການ@
@mal ek tone mark@|@ໄມ້ເອກ@
@Malacca@|@ມາລະກາ@
@malady@|@ໂລຄາ@
@malaria@|@ໄຂ້ຈັບສັ່ນ, ໄຂ້ສັ່ນ, ພະຍາດໄຂ້ປ່າ@
@malaria (forest fever)@|@ໄຂ້ປ່າ@
@Malay@|@ມະລາຍູ@
@malay wild dog@|@ໝາໄນ@
@Malaya@|@ມາລະຢູ່@
@Malaysia@|@ປະເທດມາເລເຊຍ, ມະເລເສຍ, ມາເລເຊຍ@
@male@|@ຊາຍ, ຕົວຜູ້, ເຖິກ, ທ້າວ, ນະຣະ, ປຸງລິງ, ຜູ້, ເພດຊາຍ@
@male (animal)@|@ໂຕເຖິກ, ໂຕຜູ້@
@male angel@|@ເທບພະບຸດ@
@male bird@|@ສັກກຸນາ@
@male child (poetic)@|@ກຸມານ@
@male crow@|@ກາໂກ@
@male horse@|@ມ້າເຖິກ@
@male monkey@|@ລິງຜູ້@
@male nurse@|@ນາຍພະຍາບານ, ນາຍຫມໍຜູ້ຊາຍ@
@male relatives on the mother’s side@|@ພໍ່ຕາ@
@malediction@|@ຜູກກຳ@
@malediction curse@|@ຄຳແຊ່ງ@
@malediction malevolence@|@ຜູກພະຍາບາດ@
@malegfactor@|@ຜູ້ຮ້າຍ@
@malevolent@|@ພະຍາບາດ@
@malign@|@ໃຈລັກ@
@mall a letter@|@ຝາກຫນັງສື@
@mallet@|@ຄ້ອນຕອກຊິ່ວ, ມຸດຄະຣະ@
@malt for making beer@|@ເຂົ້າມັນ@
@maltreat@|@ທໍລະກັມ@
@mammal@|@ສັດລ້ຽງລູກດ້ວຍນ້ຳນົມ@
@man@|@ຊາຍ, ນະຣະ, ນະຣາ, ບຸຣຸດ, ບຸກຄົນ, ປະຊາ, ປຸກຄະລະ, ໂປສະ, ປຸກຄະລະ, ຜູ້, ຜູ້ຊາຍ, ມະນຸ້າ, ມານຸດ, ແມນ@
@man eligible for drafting into service@|@ສະກັນ@
@man of good family@|@ກຸນລະບຸຣຸດ@
@man of high birth@|@ຜູ້ຕະກູນສູງ@
@man of the Meo tribe@|@ຜູ້ແມ້ວ@
@man of the people@|@ສາມັນຊົນ@
@man of virtuous conduct@|@ສຸບພັດ@
@man who is over 90 years of age@|@ນາວຸຕິກະ@
@man’s long silk skirt@|@ຜ້າສະໂລ່ງ@
@manag or administer a business or affair@|@ຄອງວຽກ@
@manage@|@ດຳເນີນງານ@
@manage or administer a business or affair@|@ຄອງງານ@
@manage or direct a business@|@ຈັດກິດຈະການ@
@manage property@|@ຈັດການສັນເສິນ@
@manage to do@|@ຈັດວຽກ@
@manage work@|@ດຳເນີນການງານ@
@manageable@|@ສຸວິໄນ@
@management@|@ອະທິການ@
@manager@|@ສັມປາທິກ, ສຳປາທິກ, ຜູ້ຈັດການ, ຜູ້ບັນຊາການ@
@mandarin@|@ຜູ້ຂຸນຜູ້ໃຫຍ່@
@mandarin blackbird@|@ນົກສາລິກາ@
@mandarin or white rice@|@ຈ້າວ@
@mandarin orange@|@ສົ້ມລົດ, ສົ້ມຮົດ@
@mandate@|@ໃບມອບສັນທະ@
@mandrill@|@ລິງກັງ@
@mane@|@ແຜງ, ແຜງມ້າ@
@mange a house-hold@|@ຈັດການບ້ານເຮືອນ@
@manger@|@ຜູ້ອຳນວຍການ, ຮາງ, ຮາງຫຍ້າ@
@mangifera sp@|@ກະສໍ່@
@manglietia glauca@|@ລວງຄອນ@
@mango grove@|@ສວນຫມາກມ່ວງ, ສວນໝາກມ່ວງ@
@mango tree@|@ຕົ້ນມ່ວງ@
@Mangosteen@|@ມັງຄຸດ@
@manicure@|@ແຕ່ງເລັບ@
@manifest@|@ບັນຊີສິນຄ້າໃນເຮືອນ, ປະຈັກແຈ້ງ@
@manifest one's goodwill@|@ສະແດງນ້ຳໃຈ@
@manifold@|@ພະຫຸຄູນ@
@Manila capital of the Philippines@|@ມະນີລາ@
@Manila hemp@|@ປໍລະນີລາ@
@manioc@|@ມັນຕົ້ນ, ມັນຕົ້ນ@
@manioc with an edible tuber@|@ມັນຕົ້ນ@
@manipulate a fetus to turn its head@|@ຝຶນທ້ອງ@
@mankind@|@ຊີວະໂລກ, ຊາດຄົນ, ຊາດມະນຸດ, ຊາດໂລກ, ນະຣາ, ມະນຸດ້າດ, ໂລກາ@
@manly@|@ຢ່າງລູກຜູ້ຊາຍ@
@manly action@|@ບຸຣຸດການ@
@manmade satellite@|@ດາວທຽມ@
@manne@|@ສຸຕິ@
@manner@|@ທ່າ, ປະການ, ປະສາ, ຜະສາ, ວິທີ@
@manner of a peacock@|@ມະຍູຣະຄະຕິ@
@manner of act@|@ນ້ຳມື@
@manner of speech@|@ຄຳເວົ້າຈາ@
@manners@|@ກິຣິຍາມັຣຍາດ, ມັນຣະຍາດ, ມາຣະຍາດ@
@mannikin@|@ຮູບຫຸ່ນ@
@manpower@|@ກຳລັງຄົນ, ແຮງຄົນ@
@manservant@|@ບ່າວໃຊ້@
@manual@|@ຄູ່ມື, ສະມຸດຄູ່ມື, ໜັງສືຄູ່ມື@
@manual labor@|@ສາຫັດຖິກະ, ໂຍທາ@
@manual of prosody@|@ສັນທະລັກ@
@manufacture@|@ຜະລິດ@
@manumit@|@ປ່ອຍທາດ@
@manuscript@|@ລາຍມື@
@manuscript (original)@|@ຕົ້ນສະບັບ@
@manuscript in bundle@|@ໜັງສືຜູກ@
@many@|@ກ່າຍກອງ, ຊິ່ນ, ເຊີມ, ນອງ, ນອງ, ພະຫຸ, ພຶງ, ພູ່ນ, ມາກມາຍຫລວງຫລາຍ, ມາກມາຍຫລວງຫລາຍ, ລິບ, ອະເນກ, ອະເນກອະນັນ, ອັ່ງ, ອັ່ງ@
@many a long day past@|@ນານມາແລ້ວ@
@many colored@|@ສະພະລະ@
@many people@|@ຊະນາ, ອັ່ງ, ອັ່ງ@
@many people acting together@|@ພຶບໆ@
@map@|@ແຜນທີ່, ຜັງ@
@map an area topo-graphically@|@ສຳລວດພູມີປະເທດ@
@map of the world in two hemispheres@|@ແຜນທີ່ໂລກສອງດ້ານ@
@maquisard@|@ທະຫານມັກກີ່@
@Mara@|@ມາຣະ@
@marabou@|@ນົກເຈົ່າ@
@marbled cat@|@ເສືອຕຳນ້ອຍ@
@march@|@ກາວ, ສັນຈາຣະ@
@March@|@ເດືອນສາມ, ເດືອນມີນາ, ຜົນລະຄຸນ, ມິນາ@
@march an army@|@ຍົກທັບ@
@march an army in defense of a country against in vasion@|@ຂັດຕາທັບ@
@march in formation@|@ພະຍຸຫະຍາດຕາ@
@marching song@|@ເພງເດີນ@
@mare@|@ມ້າແມ່@
@margin@|@ຂອກ, ຂອບ@
@marigold@|@ດາວເຮືອງ@
@marine@|@ນາວິກໂຍທິນ@
@marine insurance@|@ປະກັນໄພທາງທະເລ@
@marine pine@|@ແປກທະເລ, ແປກທະເລ@
@mariner@|@ຊາວທະເລ@
@marital@|@ຖານຜົວເມຍ@
@marital affairs@|@ການຜົວເມັຍ@
@marital rights@|@ສິດທິລະຫຫວ່າງຜົວເມຍ@
@maritime frontier@|@ເຂດຊາຍຝັ່ງ@
@mark@|@ແກວດ, ຝອດ, ລິງ, ອັງກະນະ, ຮອຍ@
@mark of a lash@|@ຮອຍແສ້@
@mark on the body@|@ປ່າມ@
@mark the way in a forest by notching tress@|@ຕູຍ@
@mark time@|@ຍ່ຳຕອກ, ຍັກ@
@mark time in cadence@|@ເກັບຊຳ, ເກັບລູກຍ່າງ@
@marked@|@ສະພັງ, ອະພິຣັກຂິດ@
@market@|@ຕະຫລາດ, ລາດ@
@market price@|@ລາຄາຕະຫຼາດ@
@marking on scales weight@|@ຕາຊິງ@
@marquery@|@ການຝັງປະດັບລາຍ@
@marriage@|@ການສົມຣົດ, ສົມພົງ, ສົມຣົດ, ແຕ່ງງານ, ແຕ່ງດອງ, ປານິເຄາະ, ວິວາຫະ@
@marriage ceremony@|@ປານິທັມ, ພິທີແຕ່ງງານ, ວິວາຫະມົງຄົນ@
@married couple@|@ຄູ່ຜົວເມັຍ, ຄູ່ຜົວເມັຽ@
@married state@|@ສົມໂຍກ@
@marrow@|@ໄຂຄໍ່@
@marry@|@ສົມຣົດກັບ, ແຕ່ງງານ, ແຕ່ງດອງ@
@marry each other@|@ໄດ້ກັນ@
@Mars@|@ດາວພະອັງຄານ, ໂລກພະອັງຄານ@
@marsh@|@ທາມ, ບຶງ, ບຸ່ງ, ເບື່ອມນ້ຳ, ວາປີ@
@marsh duck@|@ເປັດຫົງ@
@marsh gas@|@ທາດເມທານ@
@marsh grass@|@ແວງ@
@marsh hen@|@ຕະຫລູມ, ນົກການ້ຳ@
@marsh water@|@ນ້ຳບຶງ@
@marshall@|@ບໍລິນາຍົກລັດ@
@martial law@|@ກົດໄອຍະການເສິກ@
@marveilous@|@ມະຫັດສະຈັນ@
@marvel-of-Peru@|@ຟອງສມຸດ@
@marvelous@|@ມະຫັດສະຈັນ@
@mascot@|@ສິ່ງໃຫ້ລາບ@
@masculine@|@ເພດຊາຍ@
@masculine gender@|@ປຸງລິງ@
@masculine prefixmercury@|@ບາ@
@mash@|@ບີ້, ພັງພິນາດ@
@mashed potatoes@|@ນ່ຽນມັນຝັ່ງ@
@masher@|@ນັກເລງຜູ້ຍິງ@
@mask@|@ຕາໂຂນ, ບັງຫນ້າ@
@mason@|@ສຸທາການ, ຊ່າງກໍ່, ຊ່າງກໍ່ອິດ@
@mass@|@ເກັບຮວບຮວມ, ມະຫາຊົນ@
@massacre@|@ຂ້າຟັນລັນແທງ@
@massage@|@ຂະຍຳ, ສັມພາຫະ, ສຳພາຫະ, ນວດ, ບີບຄັ້ນ, ບີບເອັນ, ປະຣິມັດ@
@master@|@ສະວາມີ, ສັດຖາ, ສັດຖຸ, ທ່ານຜູ້ເຈົ້າ, ບໍດີ, ມູນນາຍ@
@master and servant@|@ນາຍກັບບ່າວ@
@master of ceremonies@|@ສະມຸຫະຣາຊາພິທີ@
@master teacher@|@ຄຸຣຸ@
@master’s degree@|@ປະຣິນຍາໂທ@
@masticate@|@ບົດອາຫານ@
@masticating slowly@|@ບ້າມໆ, ບ້ອມ@
@mastoid@|@ດູກກະຫມັບ@
@masturbate@|@ສຳເລັດຄວາມໄຄ່ຂອງຕົວເອງ@
@mat@|@ສັນຖະຣະ, ສາດ, ເສື່ອສາດ, ບັນຈະຖອນ@
@mat made of woven bamboo for drying tobacco@|@ແຕະຢາ@
@match@|@ການແຂ່ງຂັນ, ປ່ຽນສີໃຫ້ເຂົ້າກັນກັບ, ໄມ້ຂີດໄຟ, ລູກຂີດໄຟ@
@match box@|@ກັບໄຟ, ກັບຂີດ@
@Match Day@|@ມື້ແຂ່ງຂັນ@
@matches box@|@ກັບຂີດ@
@matchless@|@ບໍ່ມີແນວປ່ຽບ, ບໍ່ມີບ່ອນປ່ຽນ@
@mate@|@ສືບພັນ@
@mate buffalo@|@ຄວາຍເຖິກ@
@mate spouse@|@ຄູ່ຄອງ@
@matemal grandmother@|@ແມ່ຕູ້@
@material@|@ສາດົກ, ເປັນເນືອເປັນຫນັງ, ຜ້າ, ແຜ່ນແພ, ພັດສະດຸ, ແພ, ວັດຖຸເຂົ້າຂອງ, ວັດຖາ@
@material (not religious) procedure@|@ຄະດີໂລກ@
@material and supplies used in school@|@ຄຸຣຸພັນ@
@material braided with gold thrad(originally Iraqi)@|@ເຂັ້ມຂາບ@
@material in solution@|@ສານລະລາຍ@
@material object@|@ສະສານວັດຖຸ@
@materialist@|@ກະວີອັດຖະກະວີ@
@materials@|@ເຂົ້າຂອງ@
@materiel@|@ເຄື່ອງອຸປະກອນ, ສັມພາຣະ, ສຳພາຣະ@
@matern grandmother@|@ແມ່ເຖົ້າ@
@maternal@|@ມາຕິກະ@
@maternal grandfather@|@ພໍ່ເຖົ້າ, ມາຕາມະຫະ@
@maternal grandfather or uncle@|@ພໍ່ຕາ@
@maternal grandmother@|@ຍາຍ, ແມ່ຍາຍ, ແມ່ຕາ@
@maternal grandparents@|@ພໍ່ເຖົ້າແມ່ເຖົ້າ@
@maternal great-grandfather@|@ຕາທວດ@
@maternal great-grandmother@|@ຍາຍທວດ@
@maternal uncle@|@ລຸງຕາ@
@maternal younger aunt@|@ນ້າສາວ@
@maternal younger uncle@|@ນ້າບ່າວ@
@maternity blouse@|@ເສື້ອຄຸມທ້ອງ@
@math@|@ເລກ, ອັກໂຂພິນີ, ອັກໂຂງພນີ@
@math.@|@ວິລິບດາ, ອະສິຕິ@
@math. 100@|@ປະໂກດ@
@mathematical formula@|@ສູດເລກ@
@mathematical problem@|@ໂຈດ (ເລກໂຈດ)@
@Mathematician@|@ນັກຄຳມວນ, ນັກຄະນິດສາດ@
@mathematics@|@ຄະຄິດ, ຄະສາດ, ຄະນິດສາດ, ວິທີຄິດເລກ@
@matricide@|@ມາຕຸຄາດ@
@matrix@|@ແມ່ພິມ@
@matter@|@ສັມພາຣະ, ສຳພາຣະ, ພັດສະດຸ, ວັດຖຸ, ອະທິກອນ, ຮູບທຳ, ຮູບປະທັມ@
@matting@|@ສາດ@
@mattress@|@ສະຍະນະ, ສະນອນ, ສັນຖະຣະ, ເສື່ອ, ບັນຈະຖອນ@
@mature@|@ສອນໃຫຍ່, ສອນຫນ້າ, ສອນໜ້າ@
@maturely@|@ປະສາຜູ້ໃຫຍ່@
@mauve@|@ມຸ່ຍ@
@maxim@|@ກະຖາ, ກະຖາສົລເຄາະ, ສຸພາສິດ, ພາສິດ@
@May@|@ເດືອນພຶດສະພາ, ເດືອນຫ້າ, ພຶດສະພາ@
@may be maybe@|@ຄົງຊິ@
@May Day@|@ສະຫລອງວັນກຳມະກອນ@
@may your wish be granted@|@ສົມພອນ@
@maybe@|@ຈະບໍ່ພໍມີທາງຢູ່, ບາງທີ່, ຢາກວ່າ, ເວົ້າບໍ່ຊ່າງ@
@mayor@|@ນາຍົກເທສະມົນຕີ@
@maze  labyrinth  mane of a mountain in the Vesantara@|@ວົງກົດ@
@me@|@ຂະນ້ອຍ, ຂ້ອຍ, ຕູ, ອັດຕະ@
@me ( to superiors)@|@ຂ້ານ້ອຍ@
@me (formal)@|@ຂ້າພະເຈົ້າ@
@me (humble form)@|@ກະບາດ@
@mead@|@ສຸຣານ້ຳເຜິ້ງ@
@meadow@|@ທ້ອງທົ່ງ@
@meal@|@ຂອງກິນ, ຈັງຫັນ@
@meal-hunter@|@ຜູ້ອາໄສກິນນຳເພິ່ນ@
@mean@|@ກິນຄວາມ, ຊື່ວ່າ, ບົ່ງເຖິງ, ແປວ່າ@
@meaningful@|@ມີຄວາມຫມາຍ@
@meaningless@|@ສາທານ, ບໍ່ມີຄວາມຫມາຍ@
@Meaningless@|@ໄຮ້ຄວາມຫມາຍ@
@meaningless syllable added to a word for emphasis or for tone in poetry@|@ຍັ່ງ@
@meanings@|@ພຣະ@
@means@|@ຊ່ອງທາງ, ໂດຍ, ທະວານ, ປະສາ, ພາຫະນະ@
@meant@|@ດັ່ງຫມາຍ, ດັ່ງໝາຍ@
@measles@|@ໄຂ້ຫມາກແດງ, ໄຂ້ຫັດ@
@measure@|@ການແທກ, ຊັ່ງ, ແທກ, ປຸນ, ໄມ້ແທກ@
@measure a partition@|@ແທກຝາ@
@measure depth@|@ຢັ່ງ@
@measure in capacity (with container)@|@ຜອງ@
@measure one’s self@|@ແທກກັນ@
@measure or estimate dismensions of a house in construction@|@ເຂີງເຮືອນ@
@measure rice@|@ຜອງເຂົ້າ@
@measure scale between forefinger and thumb@|@ຄືບ@
@measure the weight of@|@ຕິດນ້ຳຫນັກ@
@measure; system@|@ມາດຕາ@
@measured with the fists closed@|@ສອກກຳ@
@measurement@|@ການຊັ່ງຕວງວັດ, ນິຣະມານ, ນິມມານ, ມານະ@
@meat@|@ຊິ້ນ, ເນື້ອ, ມັງສະ@
@meat and vegetables@|@ເຂົ້າຂົ້ວ@
@meat dish@|@ຂອງສົດຄາວ@
@meat grinder or slicer@|@ເຄື່ອງບົດຊີ້ນ@
@meat market@|@ຕະຫລາດຊີ້ນ@
@meat of something@|@ເນື້ອໃນ@
@meat or fish boiled with onions@|@ຕົ້ມເຄັມ@
@meat paste@|@ຍໍ່ແຍ້@
@meat without fat or bone@|@ຊິ້ນອ້ອຍຕ້ອຍ@
@meatball@|@ລູກກອນ, ລູກຊີ້ນ@
@mechanic@|@ຊ່າງຈັກ, ຊ່າງຟິດຈັກ, ນາຍຈັກ, ນາຍຊ່າງ@
@mechanical science@|@ຍັນຕະກັມ@
@mecromancy@|@ໄສຍະສາດ@
@med@|@ຂີ້ກະຕືກຂໍ້, ຄະຍີ, ແຜບວມ, ໂລ@
@med.@|@ອະຫິວາ, ອະຫິວາຕາກະໂຣກ@
@medal@|@ກາຄຳຊອບ, ຕາຄຳຊອບ@
@meddle@|@ສະເອິເຂົ້າມາ, ເສືອກເຂົ້າມາ@
@media@|@ສື່ສຳພັນ@
@mediate@|@ໄກ່ເກັ່ຍ@
@mediation@|@ການເປັນຄົນກາງ@
@mediator@|@ຜູ້ໄກ່ເກັ່ຍ, ອະນຸຍາໂຕຕຸລາການ@
@medical@|@ເວດຊາ@
@medical plant@|@ກະຈຽວແດງ@
@medical root@|@ຊະຄ່າງ@
@medical science@|@ແພດທະຍາສາດ@
@medical science or profession@|@ວິຊາແພດ@
@medical supplies@|@ເວດຊາພັນ@
@medical treatment@|@ເວດຊາກັມ@
@medical tree@|@ຊາຍຈວງ@
@medicalscience@|@ເວດສາດ@
@medicial treatise on menstruation@|@ມະຫາໂຊຕະຣັດ@
@medicianl bush@|@ໃບຂີ້ຫນອນ@
@medicinal@|@ໂກດທັ້ງ 5, ຊະຄ່ານກິນ, ຊັກເຫລືອງ, ຊັກເຫຼືອງ, ຊ້ອນປ້ອມ, ຕຳຫຍິງ, ທອງຄັນຊັງ, ເທົ້າຫຍາວອນ, ເປັນຢາ, ພົງພີຂາວ@
@medicinal bark@|@ສະຄ້ຳ@
@medicinal bulb@|@ບົ່ວເລີຍ@
@medicinal bush@|@ກະບົວ, ແກມອົ້ນ, ແກດຳ, ກ່າມຫນາມ, ໄກດຳ, ໄກຕໍ່, ຂັດມອນນ້ອຍ, ຂັດມອນໃຫຍ່, ຂີ້ໄກ່ໂປ່, ໄຄ້ດ່ອນ, ງ່ຽງປາດຸກ, ຈອຍ, ສັງທໍຄຳ, ສົ້ມເສນ, ສົ້ມຊື່ນ, ສ່ອງຟ້າ, ສ້ຽວເງິນລຽງ, ດູກໄກ່, ດູກຂຽດ, ຕັບໄກ່@
@medicinal bush whose roots are used for yellow dye@|@ສັກບ້ານ@
@medicinal climbing plant resembling dodder@|@ສາລະພິດຄຳ@
@medicinal department@|@ກົມການແພດ@
@medicinal ginger@|@ຂີງແຄງ@
@medicinal herbs@|@ສະມຸນໄພ@
@medicinal piant@|@ເສັດຕະສັດນ້ອຍ@
@medicinal plant@|@ກະສາຄວາມນ້ອຍ, ກ້ານກ່າມນ້ຳ, ແກ້ພິດ, ໂກດສໍ່, ຂັດແມນ, ຂາງທີຮັກ, ຂົນຄວາຍ, ຂົນຂີ້ທັ່ງ, ຂົມກະເດົາ, ໂຄຍງູ, ຄ່ອຍດານ, ຈີ່ນາຍກ້ອນ, ສ່າເຫລົ້າໃຫຍ່, ສ່າເຫຼົ້າໃຫຍ່, ເສັດຕະສັດຫລວງ, ເສັດຕະສັດຫຼວງ, ຊະກຶນ, ຊະແລບບົກ, ໄຊຄຳ, ທັນທະຣົດ, ທົບຍອບ, ບີຄວາຍ, ເບັ້ຽນ້ອຍ, ປັງກີ, ປີດປີຂາວ, ແປວຈົງອາງ, ຜຽງຄວາຍ, ແຝກຂຽວ, ແຝກຫອມ, ມຸຍດຳ, ມອກບໍ່ວາຍ, ຢາງອື່ງ, ລີ້ນຫມາ, ເລັບມືນາງ, ຮຸ່ນໄຮ່, ຮົມເມືອງ@
@medicinal plant of the Curcumo family@|@ກີບແຮດ@
@medicinal plant possibly Marvel of Peru@|@ສະມຸດຂາວ@
