@English@|@Hmong@
@middle@|@nrab, nruab ntsab, nyob nruab ntsab@
@middle (1)@|@hauv nruab nrab@
@middle class@|@neeg muaj nyiaj@
@middleman@|@tsoob zeej@
@middleman in planning wedding@|@mej koob@
@midget@|@ntsias@
@midnight@|@ib tag hmo, thaum ib tag hom@
@might@|@tej saum, zog@
@migrate@|@khiav mus nyob lwm qhov@
@migration@|@kev tsis teb tsaws chaw@
@mild@|@me ntsis, tsem tsawv@
@mildew@|@pwm@
@mile@|@las, mais@
@mili..@|@ib feem ntawm ib txhiab@
@militant@|@rog tub sab@
@military@|@tub rog@
@militia@|@tub rog@
@milk@|@kua mis, mis nyuj@
@millennium@|@txhiab xyoo@
@millet@|@pias@
@million@|@lab@
@mime@|@tsis tham lus@
@mimimum@|@yam tsawg kawg kiag@
@mince@|@tsuav@
@mind@|@hlwb@
@mine@|@kuv, kuv li, qhov ua tooj, ua hlau@
@miner@|@cov neeg khawb qhov nyia, kws khawb qhov nyiaj kub@
@miner (1)@|@cov neeg khawb qhov kub@
@mineral@|@qhov kub, qhov nyiaj, yam uas yog pob zeb@
@mineral (1)@|@qhov hlau@
@miniature@|@tej yam me me@
@minimal@|@tsawg heev@
@minimum@|@tsawg kawg nkaus@
@minnow@|@tus moj txwv nuv@
@minor@|@me, tsis tau muaj hnub nyoog txaus@
@minor (1)@|@tsis tshua tseem ceeb@
@minority@|@haiv neeg tsawg@
@minus@|@Sib rho, trho tawm@
@minute@|@feeb@
@minutes@|@ib mentsis@
@mirage@|@ua zaim muag@
@mirror@|@daim iav, tsom iav@
@mis...@|@yuam kev@
@misbehave@|@ua txhaum@
@miscarriage@|@nchuav menyuam@
@miscarry@|@nchuav@
@miscellaneous@|@ntau yam@
@mischievous@|@txhoj pob, txhoj puab@
@misconduct@|@ua tsis yog@
@miser@|@neeg qia dub@
@miserable@|@tu siab heev@
@misery@|@tu siab@
@misfortune@|@hmoov phem@
@mishap@|@xwm txheej@
@misplace@|@tsis yog chaw@
@misprint@|@sau yuam kev@
@miss@|@leej muam, ntxhais uas tsis tau muaj txiv@
@miss the mark@|@xu@
@missing limb@|@nqws@
@mission@|@hom phiaj@
@missionary@|@mus tshaj Vajtswv txoj moo zoo@
@mist@|@pos huab@
@mistake@|@txhaum, ua yuam kev, yuam kev@
@misterious@|@tej yam paub tsis txog@
@mistress@|@deev hluas@
@misunderstand@|@tsis nkag siab@
@mittens@|@hnab loojtes@
@mix@|@do, nthee, nthee, sib tov, sib tsuam, xyaw@
@mix in@|@fob@
@mix together@|@hauj@
@mix up@|@fob@
@mix with water@|@tov@
@mixer@|@tov khoom@
@mixture@|@sib tov sib xyaw@
@moan@|@ntsaj@
@mob@|@neeg chim, neeg npau taws@
@mock@|@tso dag@
@mode@|@kev noj nyob, zauv ua tshwm heev tshaj plaws@
@model@|@pwm, qauv@
@model citizen@|@laj mej pej xeem zoo@
@moderate@|@hauj sim@
@modern@|@hom tshiab, neej tshiab nimno, niaj hnub nimno@
@modest@|@txaj muag@
@modification@|@kev hloov kho@
@moist@|@noo, ntub dej@
@molar@|@hniav pua@
@molar tooth@|@hniav puas@
@mold with the hands@|@puab@
@mole@|@tias@
@molecule@|@tej yam me me heev@
@molt@|@plhis plaub, plhis tawv@
@mom@|@niam@
@moment@|@ib me ntsis, ib me pliag, lub caij, ntsis@
@moment ago@|@puag ta@
@momentous@|@tseem ceeb@
@monarch@|@huab tais@
@monday@|@Hnub ib@
@money@|@nyiaj, txiaj@
@money for investment@|@peev@
@money order@|@daim ntawv nyiaj@
@mongoose@|@luj@
@monitor@|@khoo, saib xyuas, saib xyuas kom@
@monk@|@haujsam, mlom@
@monkey@|@liab, nyaj@
@monotheism@|@kev ntseeg ib tus tswv xwb@
@monster@|@dab, tus tsiaj txawv heev@
@month@|@hli ntuj@
@mood@|@cwj pwm kev coj thiab xav@
@moody@|@chim, tu siab@
@moon@|@hli@
@moonbeam@|@hli nra ci@
@moonlight@|@qaim hli@
@moose@|@mos lwj@
@mop@|@haujsam, tus so tsev, tus so tsev@
@mope@|@tu siab los ntev@
@moral@|@ncaj ncees, ntsiab lus zaj dabneeg@
@morals@|@kev ua tau yog, kev ua tau yog@
@more@|@ntau dua, ntau dua, ntau ntxiv, ntau ntxiv, tshaj, tshaj, tu siab los ntev, tu siab los ntev@
@more so@|@haj@
@more than@|@keem, ntau tshaj, ntau tshaj@
@more tired@|@nkees dua, nkees dua@
@moreover@|@tshaj tej ntawm, tshaj tej ntawm@
@moring@|@sawv ntxov@
@morning@|@ntug, sawv ntxov, sawv ntxov@
@morning sickness@|@qaug qav, qaug qav@
@morsel@|@ntxo tej kaug me me, ntxo tej kaug me me@
@mortician@|@tus cov neeg tuag@
@mortuary@|@chaw pam tuag@
@mosquito@|@yooj qaib, yoov, yoov tshaj cum@
@mosquito net@|@vij@
@mosquito netting@|@vij tsam@
@moss@|@ntxhuab, ntxhuab@
@most@|@tshaj plaws@
@most tired@|@lim, nkees kawg li, nkees tshaj plaws@
@motel@|@tsev ntiav pw@
@moth@|@npauj@
@mother@|@niam@
@mother of daughter's husband@|@poj cuag@
@mother of son's wife@|@poj cuag@
@mother-in-law@|@niam tais@
@Mother's Day@|@niam hnub@
@motion@|@kev tawm tswv yim kom ua, kev ua zog@
@motionless@|@tsis txawj@
@motive@|@vim li cas@
@motor@|@tshuab ua kom muaj zog@
@motorcycle@|@tsheb maus taus, tsheb mos taus@
@mound@|@toj@
@mountain@|@roob@
@mountain goat@|@sai@
@mountain lion@|@Tsov daj@
@mountain range@|@ib koog hav roob@
@mountain top@|@ncov@
@mourn@|@tu siab@
@mouse@|@nas tsuag, nas tsuag ntaus tus@
@mouth@|@ncau, ncauj, qhov ncauj@
@mouth cooling@|@hob@
@mouthful@|@ib khaws@
@mouth-harp@|@ncas@
@movable@|@rooj noj@
@move@|@fiav, khiav tsev, ntsaig tsev, tshais, tsiv, txav@
@move oneself or one's house@|@tsiv@
@move things on a boat@|@nquam@
@movement@|@kev ua zog@
@movie@|@yeeb yam@
@movie theater@|@tsev ntsia yeeb yam@
@mow@|@txiav nyom@
@mower@|@tshuab xiav nyom lawn@
@much@|@heev, ntau, ntau heev@
@mud@|@av nkos@
@muddy@|@nkos@
@muffle@|@nrov suab yau yau@
@muggy@|@sov heev, vaum heev@
@mule@|@luj txwv, nees zag, zag@
@multiculturalk (1)@|@ntau yam neeg kev cai@
@multiple@|@coob, ntau@
@multiplication factor@|@zauv uas coj los zaug@
@multiply@|@zaus@
@multitude@|@tibneeg ntau ntau@
@mum@|@tsis hais lus@
@mummy@|@tus tuag uas muab qhwv cia@
@mumps@|@qog, ua qog@
@murder@|@tua neeg@
@murky water@|@nro@
@murmur@|@suab ntxhe@
@muscle@|@thooj nqaij leeg@
@muscles@|@thooj nqaij@
@muscular@|@npag@
@museum@|@tsev cia puav pheej, tsev khaws puav pheej@
@mushroom@|@nceb@
@music@|@suab kwv tshiaj, suab paj nruag@
@musician@|@tshuab raj@
@must@|@yuav tau, yuav tsum, yuav tsum ua@
@mustache@|@hwj txwv@
@mustard greens@|@zaub ntsuab, zaub tsib@
@musty@|@tsw pwm@
@mutter@|@yws@
@my@|@kuv, kuv, kuv li, kuv tus@
@My arm hurts.@|@Kuv mob tes.@
@My cas won't start.@|@Kuv lub tsheb puas lawm.@
@My father lives in the town@|@Kuv txiv nyob hauv moos@
@My foot hurts.@|@Kuv mob kotaw.@
@My head hurts@|@Kuv mob taub hau@
@My name is _____@|@Kuv lub npe hu ua ____@
@My stomach hurts@|@Kuv mob plab@
@myopia@|@pom ze xwb@
@myself@|@kuv tus kheej@
@mystery@|@tej yam paub tsis txog@
@myth@|@tswvyim hais ua dabneeg@
@nag@|@ncauj ntau, tham taus@
@nail@|@ntsia, ntsia hlau, ntsia thawv, rau, teem, teem@
@naive@|@tsis paub xyov ua li cas@
@naked@|@liab qab@
@name@|@npe, tis npe, tis npe hu ua@
@namesake@|@hu npe raws qab@
@nanny@|@neeg ntiav zov menyuam@
@nap@|@pw ib me pliag@
@napkin@|@ntawv  so qhov ncauj, ntawv so tes@
@narrate@|@hais dabneeg@
@narrative@|@dabneeg@
@narrator@|@tus hais dabneeg@
@narrow@|@nqaim, ti@
@nasal@|@sab hauv lub qhov ntswm@
@nasty@|@siab phem@
@nation@|@tebchaws, tsoom neeg@
@national@|@nrig txog hauv lub tebchaws@
@nationality@|@haiv neeg@
@native@|@hom neeg@
@natural@|@yam ua nws txawm nws tuaj@
@nature@|@xub zoo xub tsuag, yam ntuj tsim los@
@naughtly@|@txhoj puab@
@nausea@|@xeev, xeev siab@
@navel@|@ntaws@
@navigate@|@nkuam hauv dej@
@neakers@|@nkawm khau ntaub@
@near@|@nyob tsis deb, nyob ze, ze@
@nearby@|@ntawm, nyob tsis deb, nyob tsis deb, nyob ze, ze, ze, ze@
@nearest@|@ze tshaj plaws@
@nearly@|@ze li ntawm@
@nearsighted@|@pom kev ze xwb, tsis pom kev zoo@
@neat@|@zoo huv si@
@necessary@|@tseemceeb heev, yam yuav tsum kom tau@
@necessity@|@tejyam uas yuav tsum muaj@
@neck@|@caj dab, da, qwb@
@necklace@|@saw, saws caj dab, xauv-poj niam, xauv ncais@
@necklace (1)@|@xauv, xauv-txiv neej@
@nectar@|@kua paj ntoo, zib paj ntoo@
@need@|@xav kom muaj, xav tau, yuav tsm tau@
@needle@|@koob, rab koob@
@neeg txhaum txim@|@ciminal@
@negative@|@cov tsis zoo, lig rov, tsis, tsis zoo@
@negative number@|@leb qis dua@
@neglect@|@kev tsis ntsej, tsis ntsej, tsis quav ntsej@
@negligent@|@tsis yoog raws@
@negociator@|@tsoob zeej@
@neigh@|@hee@
@neighbor@|@neeg zej zos@
@neighborhood@|@neeg zej zos@
@neighbour@|@kwvtij zej zog@
@nephew@|@kwv tub, muam tub, tij tub, tijlaug tub@
@nephew (1)@|@tub xeeb ntxev@
@nervous@|@tshee@
@nest@|@zes@
@net@|@vas, vijtsam@
@netting@|@vij tsam@
@neutral@|@tsis paub yuav nyob sab tw@
@never@|@tsis tau muaj dua li, tsis tau ua dua li@
@new@|@tshiab@
@new baby@|@me nyuam ab liab, me nyuam mos liab@
@new growth of plants@|@hlav@
@new moon@|@hli xiab@
@new roots@|@nrhau@
@new year@|@xyoo tshiab@
@New Year Celebration@|@Nog Peb Cuag@
@New Year's Day@|@hnub xyoo tshiab@
@newborn@|@mos liab@
@news@|@moo, tshajxov, xov, xov xwm@
@newspaper@|@ntawv xovxwm@
@newspaper delivery person@|@tub xa ntawv xov xwm@
@next@|@ntxiv mus, tom ntej, tom ntej no, txuas ntxiv@
@next (1)@|@ntawm ib sab@
@next month@|@hli tom ntej@
@next of kin@|@neeg txheeb ze@
@next time@|@lwm zaus@
@next to@|@npuas@
@next week@|@xya hnub ntxiv@
@next year@|@lwm xyoo@
@nice@|@coj zoo, zoo@
@nick name@|@siav npe@
@nickel@|@npib 5 xee, npib tsib xee@
@nickname@|@npe menyuam yaus@
@niece@|@ntxhais xeeb ntxwv, tijlaug ntxhais@
@night@|@hmo, hmo ntuj@
@night time@|@sijhawm hmo ntuj@
@night watchman@|@neeg zov tsev hmo ntuj@
@nightgown@|@tiab hnav pw@
@nightmare@|@npau suav phem@
@nine@|@cuaj@
@nineteen@|@kaum cuaj@
@ninety@|@cuaj caum@
@ninth@|@thib cuaj@
@ninth grade@|@qib cuaj@
@nipple@|@txiv mis@
@nix@|@cheem@
@no@|@tsis kam, tsis ua@
@no admission@|@tsis pub nkag mus@
@no cheating@|@tsis txhob ntsia/xauj, tsis txhob nyiag saib@
@No law to help a person@|@Tsis muaj cai@
@No left turn@|@Tsis pub lem phab laug@
@no one@|@tsis muaj leej twg@
@no parking@|@Tsis pub nres tsheb@
@No right turn@|@Tsis pub lem phab xis@
@No Smoking@|@Tsis pub haus luam yeeb@
@No thanks.@|@Nej noj nej@
@No U Turn@|@Tsis pub lem rov qab@
@No walking@|@tsis pub rhais ruam, tsis pub taug kev@
@nobility@|@nom tswv cajceg@
@nobody@|@tsis muaj leej twg, tsis muaj leej twg, tsis muaj tus twg@
@nod the head@|@ncaws hau@
@noise@|@suab nrov@
@nominee@|@neeg uas raug xaiv tsa@
@non fiction@|@phau ntawv tseeb@
@nonchalant@|@mus tau yooj yim@
@none@|@tsis muaj@
@nonexistent@|@tsis muaj zog@
@non-living@|@yam tsis muaj txojsia@
@nonskilled@|@tsis muaj kev txawj@
@nonsoon@|@caij ntuj nag@
@non-vertebrate@|@kev tsis muaj txha cajqaum@
@noodles@|@peev choj@
@noodless@|@mij, peev choj@
@noon@|@caij tav su, tavsu@
@noose to catch birds@|@tsig@
@norm@|@nruab nrab, txawm muaj@
@normal@|@tsis phem, tsis zoo, tub tom xwb, xws li qub@
@norming@|@tsim qhov nruab nrab@
@north@|@phab ntsa wall phab quam teb, sab qaum teb@
@North Pole@|@Ncov Ntiajteb@
@northern@|@qaum teb@
@northwest@|@qaum teb sab hnub poob@
@nose@|@ntswg, qhov ntswg@
@nostril@|@qhov ntswg, qhovntswg@
@not@|@tsis kam@
@not beautiful@|@phem, tsis zoo nkauj@
@not easy@|@nyuaj, tsis yoojyim@
@not have@|@tsis muaj@
@not heavy@|@sib, Tsis hnyav@
@not long@|@qis taub, teem taub, tsis ntev@
@not many@|@tsawg@
@not new@|@khaub, qub, tsis tshiab@
@not sticky@|@ntxheev@
@not tall@|@qis, tsis siab@
@not tell the truth@|@tsis qhia qhov tseeb@
@not very@|@tsis tshua@
@not yet@|@tsis tau tamsim no@
@not yet.@|@Kuv tseem tsis tau muaj., Tseem tsis tau zoo.@
@not young@|@laus, tsis hluas@
@notation@|@kev sau ua cim kom paub@
@notch@|@thais, thais ncej@
@note@|@ntawv, ntawv, yam yuav tau paub@
@notebook@|@phau ntawv sau@
@note-taker@|@tus neeg sau ntsiab lus cia@
@notetaking@|@sau ntsiab lus cia@
@nothing@|@tsis muaj dabtsi kiag li@
@Nothing special@|@Tsis muaj dabtsi.@
@notice@|@daim ntawv ceeb toom, lus ceeb toom@
@notorious@|@hais tsis zoo@
@noun@|@chaw, thiab khoom, tibneeg@
@nourish@|@muab khoom noj@
@novel@|@phau ntawv dabneeg, tshiab@
@november@|@kaum Ib hli ntuj@
@now@|@nyemno, tamsim no, tamsimno@
@Now the sun is shining@|@Nimno muaj tshav ntuj lawm@
@nude@|@liab qab@
@nudge@|@txav me me@
@nuisance@|@khaum kev thaiv kev@
@numb@|@loog, loog loog@
@number@|@naj npawb@
@number concepts@|@txawj sau lej, txawj suav zauv@
@number recognition@|@kev cim tau cov zauv, kev cim tau lej@
@numbers@|@lej@
@numeral@|@zauv@
@numerator@|@tus zauv feem tuaj saum toj@
@numerical@|@hais txog zauv, qhia txog ib cov zauv@
@numerous@|@ntau ntau@
@nuptial@|@kev sib yuav@
@nurse@|@neeg xyuas neeg mob, ntxais@
@nursing baby@|@ntxais@
@nurture@|@kwm, tsom kab tsom kwm, tsom kwm@
@nut@|@txiv ntseej@
@nutrition@|@kev noj haus, kev noj mus yug lb cev@
@oar@|@nquam nkoj@
@oasis@|@pas dej mojsab qhua@
@oats@|@qib@
@obedience@|@mloog lus@
@obedient@|@seej@
@obese@|@rog@
@obesity@|@rog heev@
@obey@|@mloog lus, mloog tus hlob, nloog lus@
@object@|@tejyam uas pom thiab kov tau, tsis pom zoo, txiav@
@object (1)@|@tsis pom zoo nrog@
@objective@|@ntsiab, qib duas kev kawm@
@obligation@|@ib yam uas yuav tsum ua@
@obscure@|@muab cais@
@obsenity@|@lus phem, ua yam phem@
@observation@|@kev soj ntsuam xyuas, kev tsom xam@
@observe@|@saib, soj ntsuam@
@obsession@|@xav xav tau@
@obsolete@|@dhau caij nyoog@
@obstacle@|@chaw khuam siab, khuam kev@
@obstetrician (1)@|@tus kho poj niam thiab menyuam@
@obstinate@|@tawv ncauj@
@obstruction@|@khuam kev@
@obvious@|@pom tseeb, tsis zais@
@occasion@|@sijhawm@
@occupant@|@muaj tibneeg nyob@
@occupation@|@haujlwm, hom haujlwm@
@occupational therapist@|@tus kws kho kom ntiv tes muag@
@occupied@|@tseem tsis tau khoom@
@occupy@|@nyob@
@occur@|@muaj tshwm@
@ocean@|@dej hiav txwv, hiavtxwv@
@o'clock@|@moos, teev@
@octagon@|@daim duab muaj yim sab@
@october@|@kaum hli ntuj@
@octopus@|@pos i hws@
@odd@|@khib@
@odd day@|@hnub tab@
@odds@|@yuav muaj tiag, yuav muaj tseeb@
@odor@|@ntxhiab@
@odyssey@|@kev ncig xyuas yam tshiab@
@oesophagus@|@hlab pas@
@of a house@|@ruv tsev@
@of course@|@tau kawg@
@off@|@tshem tawm@
@offend@|@ntsawv siab, ntsw, txaj muag@
@offended@|@chob siab, khib@
@offer@|@kev muab rau, muab pub@
@offer to the spirits@|@txi dab@
@office@|@chaw ua haujlwm, hoob, lub tsev ua num@
@office (1)@|@tsev xa ntawv post@
@officer@|@nom@
@official@|@nom, raug raws ntaub ntawv@
@offspring@|@menyuam tub ki@
@off-task@|@ua raws@
@ogle@|@saib@
@Oh!@|@Auj@
@Oh-oh! It's too late.@|@Ntshai lig dhau heev lawm@
@oil@|@roj@
@ointment@|@tshuaj hom pleev@
@ok@|@tau@
@Ok@|@aws@
@old@|@khaub, laus, qub, tsis hluas, tsis tshiab@
@old fashioned@|@kev lig kev cai@
@old people's songs@|@lus taum@
@old tales@|@kwvhuam@
@old things@|@qub txeeg qub teg@
@older@|@hlob@
@older brother@|@tijlaug@
@older father@|@txiv hlob@
@older sister@|@niam laus@
@older than@|@hlob dua@
@olive@|@txiv roj@
@omen (1)@|@npog@
@ominous@|@chov@
@omission@|@muab tso tawm@
@omit@|@tso tawm@
@on@|@saumtoj@
@on purpose@|@txhobtxwm@
@on stomach@|@pw khwb rwg@
@on task behavior@|@tus cwj pwm ua raws li hais@
@on the back@|@pw ntxeev tiaj@
@on the side@|@pw Ua Ntsais@
@on tiptoe@|@nchias taw@
@on top of@|@nyob saum, saum@
@once@|@ib zaug@
@one@|@ib, yus@
@One dollar.@|@Ib dolaj xwb@
@one hundred thousand@|@ib puas txhiab, kaum vam@
@one person@|@ib leeg@
@one sip@|@ib pas@
@One way!@|@Tib txoj kev xwb!@
@one-on-one@|@ib keev ib@
@one-way ticket@|@daim pib mus@
@onion@|@Dos@
@Onion and cauliflower@|@Dos, thiab zaub paj@
@only@|@nkaus, nkaus xwb, ruas yog ua kom@
@Only a little bit.@|@Tshuav me me xwb@
@only daughter@|@tib tug ntxhais@
@only one@|@tib@
@onward@|@tom ntej@
@ooze@|@ua paug@
@open@|@nthuav, nthuav, qheb, qhiab, qhiab, qhib, qhib, rua qhov muag@
@open eye@|@rua qhov muag@
@open eyes@|@rua@
@open mouth@|@rua@
@open sore@|@kiav txhab@
@operate@|@phais, ua haujlwm@
@operation@|@kev ua num, phais mob@
@operator@|@hauv paus saib xov tooj, neeg khiav tshuab@
@ophtalmologist@|@kev kho qhov muag@
@opium@|@yeeb@
@opponent@|@neeg sib tw nrog koj, tus nrog sib ntaus@
@opponent (1)@|@tus nrog sib tw@
@opportunity@|@ib lub caij zoo@
@oppose@|@thuam, tsis pom zoo nrog@
@opposite@|@kev txheem, lus rov, ntxeev lus@
@oppression@|@kev tsim txom@
@optical@|@kho qhov muag@
@optician@|@kws txiav tsom qhov muag@
@optimism@|@xav kom tau zoo yav tom ntej@
@or@|@losyog@
@oral@|@ncauj hais, nrig txog qhov ncauj@
@oral comprehension@|@to taub li cov lus hais@
@oral expression@|@hais tau cov lus tawm, kev ua ncauj lus qhia@
@orange@|@txiv kab ntxwv, txiv majkiab@
@orchestra@|@rooj ua kev lom zem@
@ordeal@|@teb cog txiv@
@order@|@kom, lus hais kom ua raws@
@ordinal@|@ib cov zauv xws li thib ib, thib ob, thib peb@
@ordinary@|@zoo tib yam@
@organism@|@txhua yam ua ciaj sia@
@organization@|@koom haum, koom ua ke@
@organize@|@sib kho ua ib pab, tso kom muaj qeb muaj quag@
@orientation@|@koom haum, koom ua ke, qhia txog yam tshiab@
@orientation (1)@|@kev qhuab qhia, piav txog yam tshiab@
@origin@|@hauv paus, keeb kwm@
@originate@|@chiv, hauv paus, xub pib@
@ornament@|@piav txog yam tshiab, qhia txog yam tshiab@
@orphan@|@menyuam ntsuag, nos, ntsuag, tub ntsog tub ntsuag@
@orphanage@|@chaw tu menyuam ntsuag@
@ostracize@|@cais tawm, faib tawm@
@ostrich@|@qaib ntxhw@
@other@|@lwm tus, lwm yam, ntshuab@
@other health impaired@|@lwm qhov kev tsis taus@
@others@|@lawv, luag@
@otitis media@|@mob ntsej rag@
@otter@|@ntshuab@
@ought@|@mam mus@
@ounce@|@hnyav li yim diav kasfes dej, ib txiaj/fiab, las@
@our@|@peb sawvdaws li@
@ourselves@|@peb sawvdaws kheej@
@ousider@|@haiv neeg@
@out@|@tawm sab nraum@
@out of breath@|@txogsiav@
@out of order@|@puas lawm, tsis ua haujlwm@
@outburst@|@chim heev, sib zog qwb@
@outcast@|@ntxoov, nyob tsis muaj pab muaj pawg, pos fuab, tsaus fuab@
@outcome@|@qhov tiav, qhov tshwm@
@outdoors@|@nraum zoov@
@outer@|@nyob thaiv ntug, sab nraum ntug@
@outer ear@|@pobntseg@
@outermost@|@qhov deb tshaj plaws@
@outfit@|@ib pab tub rog@
@outline@|@tus qauv npaj ua@
@outrage@|@chim heev@
@outreach@|@tawm mus cuag@
@outside@|@nraum, sab nraum, sab nraum zoov@
@outskirts@|@ntawm ntug zaus@
@outstanding@|@ua tau zoo heev@
@outter ear@|@pobntseg@
@outward@|@tawm sab nraud, ua tau zoo heev@
@oval@|@daim duab zoo nkaus li lub qe@
@oval (1)@|@muaj lub duab zoo li lub qe@
@ovary@|@zau qe menyuam@
@oven@|@qhov cub ci nqaij@
@over@|@hla saum mus@
@over and over@|@ua tas rov ua dua@
@over there@|@nyob ntawd, nyob tom, tim@
@overcoat@|@tsho sov ntev@
@overdo@|@sib zog heev@
@overdue@|@dlau caij lawm@
@overeat@|@noj ntau heev@
@overflow@|@phwj lawm, txeej@
@overgrown@|@fab, ntxhov@
@overhang@|@dia siab siab, khuam@
@overhaul@|@kho dua@
@overhead@|@nyiaj siv ua haujlwm@
@overlap@|@sib tshooj, tshaj@
@overload@|@sib tshooj, tshaj@
@overnight@|@ib hmos@
@overpower@|@muaj hwj chim dhau@
@overshoes@|@khau sab nraud, nkawm khau sab nraud@
@oversize@|@tsis haum@
@oversleep@|@pw ntev heev@
@overtime@|@tshaj sijhawm@
@overweight@|@rog, rog dhau hwv lawm@
@overwork@|@ua haujlwm heev@
@ovulate@|@poj niam cov phev@
@owe@|@tshuav nqi@
@owl@|@lib, lib, plas, plhaub@
@own@|@yus li, yus tus@
@owner@|@tswv, tus tswv@
@ox@|@twm@
@package@|@pob khoom@
@paddle@|@duav@
@paddy@|@liaj@
@page@|@phab ntawv@
@pagoda@|@pejthuam, pejthuam, tsev haujsam@
@pain@|@kev mob@
@paint@|@kua kob, pleev kua kob, pleev tshuaj@
@pair@|@nkawg, ntxivre, txwg@
@pajamas@|@ris tsho hnav pw@
@pal@|@kwvluag@
@pale@|@txheeb@
@palm@|@xib teg@
@palm head@|@xib teg@
@pamphlet@|@phau menyuam ntawv@
@pan@|@lauj lkaub@
@panther@|@pom txwv, tsov dub@
@pants@|@ris hnav@
@pantsuit@|@ris tsho ua tej ce@
@papaya@|@txiv maum kuab, txiv ntaub ntoo@
@paper@|@ntawv@
@parable@|@lus piv txwv@
@parachute@|@kaus@
@parade (1)@|@chaw xyaum mus kev@
@paragraph@|@ib sob lus, ob peb kab ntawv ua ke@
@paragraph production@|@kev txawj sau sob lus@
@parakeet@|@leeb nkaub@
@parallel@|@mus tib seem@
@paralysis@|@tes taw tuag@
@paralyzed@|@tuag tes tuag taw, txhav@
@paraphrase@|@muab hloov ua yus lus hais@
@parasite (1)@|@cab nyob hauv plab@
@pardon@|@ib sob lus, thov txim@
@parent@|@niam-txiv@
@parent-less and money-less@|@ntsuag nos@
@parents@|@niam thiab txiv, niam txiv@
@park@|@chaw ua si, vaj ua si@
@parka@|@tsho loj tiv no@
@parking@|@chaw nres tsheb@
@parking lot@|@qhov chaw nres ntsheb@
@parking space@|@chaw nres ntsheb@
@parrot@|@iam, laus old leeb nkaub, noog leeb nkaub@
@parsley@|@zaub txhwb qaib, zaub txhwj qaib@
@part@|@ib feem, muaj kev koom tes nrog lwm, sib koom ua@
@part (1)@|@ib co@
@participate@|@koom nrog, tuaj koom@
@participation@|@muab kev koom tes, sib koom siab@
@participle@|@lo lus uas muaj "ing" tom qab, tej txhais me me@
@partition@|@muab faib@
@partner@|@ua khub@
@partnership@|@muaj kev koom tes nrog lwm tws, sib koom ua@
@party@|@ib pab neeg ua "pas tij", ib pab neeg ua "pas tij", sib sau ua kev lom zem@
@pass@|@dua, hla, mus dhau@
@pass on the road@|@zam kev@
@pass through@|@dhau@
@passage@|@mus ib qho rau ib qho@
@passanger@|@neeg ntoj ke (caij tsheb, nyoob hoom...@
@passenger@|@neeg nrog caij@
@passing@|@tuag@
@passion@|@mob siab rau@
@passive@|@tsis nti, tsis teb@
@passport@|@daim ntawv hla ciam teb@
@pasture@|@tiaj tshav zaub@
@pat@|@plws@
@paternal grandfather's sister@|@phauj laug@
@path@|@ke, lw, qub kev@
@patial@|@ua tau ib qho, ua tsis tiav@
@patience@|@kev ntaus siab ntev, siab ntev, siab ntev@
@patient@|@neeg mob, siab ntev, siab ntev, tub mob@
@patio@|@chaw nyob nraum qaum tsev@
@patriarch@|@txwj laus@
@patrol@|@soj ntsuam@
@pattern@|@qauv, ua qhov qub tas li, ua yam qub tas li@
@pattern (1)@|@hom cia ntsia@
@patterns@|@chev@
@pause@|@kev nres, ncua, nres, qhuas@
@pave@|@leem, meem@
@paw@|@xib teg@
@pay@|@nyiaj, them@
@pay attention@|@mloog@
@pay back for an obligation@|@pauj@
@pay no attention@|@tsis quav ntsej@
@pea@|@taum mog@
@peace@|@kaj siab lug, kev sib haum xeeb, kev sib raug zoo@
@peace (1)@|@kev tiaj tus, siab tiaj siab tus@
@peaceful@|@cias zoo siab, thaj yeeb, thaj yeeb nyab xeeb, yee@
@peaceful (1)@|@kaj siab, yees@
@peach@|@txiv duab, txiv duaj@
@peacock@|@yaj yuam@
@peak@|@ncov@
@peanut@|@huab xeeb, txiv laum huav xeeb@
@pear@|@txiv moj coos@
@pearl@|@hlaws@
@peas@|@ib hom txiv laum huab xeeb@
@peasant@|@neeg pluag, neeg txomnyem@
@pebble@|@tsig pob ze@
@peck@|@thos@
@peculiar@|@txawv@
@pedal@|@tuam ntawm lub tsheb kauj rab@
@pedestrian@|@neeg taug kev, tibneeg hla kev@
@pediatrician@|@kws kho menyuam yaus, neeg kho menyuam yaus@
@peek at@|@xauj@
@peel off@|@de nrho, laws, tev@
@peer@|@neeg ib phaum, saib@
@peg@|@nqib hlau khuam@
@pelican@|@noog muab ntses@
@pelt@|@tawv tsiaj@
@pelvis@|@puab tais@
@pen@|@cwj mem kua@
@penalty@|@nplua, se@
@penchant@|@nyiam nyiam heev@
@pencil@|@cwj mem qhuav, cwjmem ntoo@
@pencil sharpener@|@tsuab hliav cwj mem qhuav@
@penetrate@|@txeem@
@penis@|@qau@
@penny@|@npib 1 xee@
@pension@|@nyiaj laus@
@pentagon@|@daim duab uas muaj tsib sab@
@people@|@pejxeem huabhwm, tibneeg, tsoom zeej, zeej@
@people (1)@|@pej xeem@
@people who live on the plains@|@mab@
@pepper@|@hwj txob, kua txob, kua txob liab, txob@
@pepper (1)@|@kua txob liab@
@peppers@|@fwj txob, kua txob@
@peppery@|@ntsim@
@percent@|@feem puas, ntawm ib puas@
@percentage@|@feem puas@
@percentile@|@feem pua@
