@English@|@Nepali@
@My Country Is Canada@|@mero desh Canada ho@
@My name is Sushit@|@mero naam sushit ho@
@my name is...@|@Mero nam...ho@
@My Name Is...@|@mero nam@
@my whole body aches@|@mero sarirko anga-anga dukhcha@
@my younger brother failed math@|@bhaai anka-ganitmaa phel bhayo@
@mysterious@|@rahasyamaya@
@nail@|@nang@
@naked@|@nanggo@
@name@|@naun@
@Name@|@Naam@
@name of several kings@|@manadeva@
@name of the author Kautilya@|@canakya@
@named@|@bhanne, namak@
@napkin@|@angocha@
@narrow@|@sanguro@
@narrow valley@|@bhanjyang@
@nation@|@rastra@
@national@|@jatiya, rastriya@
@national awakening@|@rastriya jagaran@
@National consciousness@|@janacetana@
@national defence@|@deshraksha@
@national language@|@rastrabhasa@
@nationalism@|@rastravad@
@nationalist@|@rastravadi@
@nationality@|@rastriyata@
@nation-state@|@rastriya rastra@
@native@|@mulvasi@
@nativity@|@janma@
@natural@|@prakritik@
@natural gas@|@prakritik gyas@
@natural vegetation@|@prakritik vanaspati@
@naturally@|@svabhavatah@
@nature@|@prakriti@
@navel@|@naito@
@near@|@najik, nira@
@near by@|@nera, neri, nikat@
@nearabout@|@asapas@
@necessary@|@avashyak@
@necessity@|@avashyakta@
@neck@|@nardan@
@need@|@avasyakta@
@needle@|@siyo@
@needy@|@daridra@
@neglect@|@avahela, avahelna@
@neglected@|@upekshit@
@neighbour@|@chimeki@
@neighbourhood@|@bhek@
@neighbouring town of Kathmandu@|@lalitpur, patan@
@Nepalese doughnut@|@selroti@
@Nepalganj town@|@nepalganj@
@netting@|@jali@
@neuter grammar@|@napunsakling@
@neutral@|@tatastha@
@nevertheless@|@sthapi@
@new@|@nayan@
@new moon@|@aunsi@
@Newar; a Nepali nationality@|@nevar@
@news@|@khabara, samacar, samcar@
@news current affair@|@halkhabar, halkhabar@
@newspaper@|@akhabar, khabarkagat@
@next year@|@aghaun@
@nicely@|@besari@
@night@|@rat@
@nine@|@nann, nau@
@Nineteen@|@unnais@
@ninety-eight@|@anthanabbe@
@ninety-five@|@pancanabbe@
@ninety-four@|@cauranabbe@
@ninety-nine@|@unansaya@
@ninety-one@|@ekanabbe@
@ninety-seven@|@santanabbe@
@ninety-six@|@chayanabbe@
@ninety-three@|@triyanabbe@
@ninety-two@|@bayanabbe@
@ninth@|@navaun@
@ninth month of the Nepali year@|@paus, pus@
@no@|@Ahaa, ahan, Chaina@
@No@|@hoina@
@noddle@|@shir@
@noise@|@halla, halla@
@nomad@|@yayavar@
@nominal@|@sangketik@
@Non Government Organization@|@gair sarkari sanstha@
@non-acceptance@|@asvikar@
@non-existence@|@abhav@
@non-honorific@|@anadarvaci@
@noon@|@madhya-din, madhyanha@
@nor@|@na@
@north@|@uttar@
@nose@|@nak@
@nostrils@|@nakka pora@
@not castrated animal@|@anduva@
@not clear@|@aspast@
@not good@|@naramro@
@not pleasing@|@bemajja@
@not to win@|@najitnu@
@note@|@tippani@
@notification@|@sucana@
@noun@|@nam@
@nourishment@|@pusti@
@novel@|@upanyas@
@now@|@ajha@
@Now@|@ahile@
@nowadays@|@ajabholi, ajakal, hijoaja@
@nowhere@|@kahan pani@
@number@|@ganti@
@numeral@|@angka, anka@
@numerical@|@sankhyabodhak@
@nutrition@|@paustik@
@nymph@|@apsara@
@o.k.@|@havas@
@obedient@|@agyakari@
@objective@|@uddeshya@
@objective term@|@padarthavacak nam@
@obscure@|@gupta@
@obstacle@|@bagha, rodh@
@obstinate@|@akado@
@obstruction@|@avarodh@
@obtained@|@hasil, prapta@
@occasion@|@bela@
@occupation@|@dhandha, pesha@
@ocean@|@samudra@
@o'clock@|@baje@
@oder@|@ki@
@of all@|@sabai bhanda@
@of course@|@bhaieehalcha ne, svabhavik@
@of fear@|@abhaya@
@offence@|@aparadh@
@offering@|@samarpan@
@officer@|@adhikari, aphisar@
@official correspondence@|@sresta@
@official language@|@sarkari bhasa@
@official of the jurisdiction@|@dharmadhikari@
@official record@|@akarna@
@often@|@aksar@
@oilseed@|@telbij@
@old person@|@budho@
@on account of that@|@tasartha@
@on all four sides@|@caraitira, cartarph, cartira, cautarph@
@on the average@|@salakhala@
@on the end@|@tayarima@
@on the other hand@|@bhane@
@on the part of@|@tarphbata@
@once@|@ek baji, ek coti, ek khep, ek palta@
@one@|@ek, eke@
@one billion@|@arab@
@one hundred and one@|@ek saya ek@
@one hundred and two@|@ek saya dui@
@one hundred thousand@|@lakh, lakkhan, laksha nIf@
@one non-human@|@euta@
@one or other@|@ek na ek@
@one thousand@|@hajar, hajar@
@One who fishes with a net@|@jalahäri@
@one who is all in all@|@hartakarta@
@oneness@|@ekta@
@one's own@|@aphno, aphnu@
@onion@|@pyaj@
@only@|@eklai, keval, keval, khali@
@opening@|@pval@
@opinion@|@mantavya, sammati@
@opponent@|@pratipakshi@
@opportunity@|@avasar, patak@
@opposit@|@viparit@
@opposite@|@samu, ulto@
@opposition@|@pratipaksha@
@oppressed class@|@utpidit varga@
@oppression@|@attyaacaar, utpidit@
@oppressor@|@utpidak@
@or@|@athava, baru@
@orange@|@junar, mosam@
@orange-coloured@|@suntale@
@order@|@adesh@
@ordinal number@|@krambodhak@
@ordinary@|@samanya@
@ordinary writing@|@gadya@
@ore@|@dhau@
@organisational@|@sanggathanik@
@organization@|@sanggathan@
@organizational@|@sanggathanatmak@
@organizing@|@vyavasthapan@
@origin@|@mul, utpatti@
@original@|@maulik, sakali@
@original place@|@thalo@
@orthodox@|@kattar@
@other@|@anya, itar@
@our@|@hamro@
@out of control@|@aincatana@
@out of fear@|@darle@
@outcaste@|@ajat@
@outside@|@bahira, bahirapatti@
@overripe@|@gilo@
@overturning@|@uthal-puthal@
@owner of free-hold land@|@birtaval@
@ox (castrated)@|@goru@
@oxygen@|@aksijan@
@package@|@latan-patan@
@page@|@patra@
@pain@|@vyatha@
@palace@|@mahal, rajprasad@
@palate@|@talu@
@palm@|@hatkelo@
@panther@|@cituva@
@papa@|@buva@
@paper@|@khagat@
@paragraph@|@paricched@
@parliament@|@sansad@
@parliamentary@|@sansadiya@
@parliamentary affairs@|@sansadiya vyavastha@
@parrot@|@suga@
@participation@|@sahabhagita@
@partner@|@sahabhagi@
@party@|@jut, paksha, parti@
@party leader@|@dalpati@
@party politics@|@dalbandi@
@passend@|@manasib@
@past@|@bhutpurva@
@patient@|@birami@
@patriot@|@deshbhakta@
@patriotism@|@deshbhakti@
@pattern@|@naksha@
@pawn@|@thati@
@pea@|@kerau@
@peach@|@aru@
@peacock@|@bhale mujur@
@peahen@|@pothi mujur@
@peak@|@cucuro@
@peanut@|@badam@
@pear@|@naspati@
@peasant@|@kisan@
@pedigree@|@vansha@
@Pen@|@Kalama@
@people's democracy@|@jantantra@
@Percent@|@pratishat@
@perfection@|@paripurti, siddhi@
@perhaps@|@shayad@
@period@|@bakhat, kal, kal, samay@
@periode@|@avadhi@
@permanence@|@sthayitva@
@permanent@|@sthayi@
@permission@|@anumati@
@perplexed@|@sambhranta@
@person@|@manche, manis, vyakti@
@personal@|@vyaktigat@
@personal pronoun@|@purusvacak sarvanam@
@personality@|@vyaktitva@
@personally@|@aphai, svayam, svayamev@
@pertaining to both sides@|@dohori@
@pestachio nut@|@pesta@
@petition@|@bintipatra@
@pheasant@|@kalij@
@Philippinen@|@philipins@
@picket@|@hadtal@
@pickles@|@acaar@
@picknick@|@vanbhoja@
@picture@|@citra@
@piece of burning wood@|@agulto@
@pig@|@bangur@
@pigeon@|@pareva@
@pig-tail@|@tupi@
@pike@|@bhala@
@pillow@|@sirani, takiya@
@pineapple@|@bhuinkatahar@
@pink@|@gulaphi@
@pious@|@bhaktiman@
@pitiable@|@dayaniya@
@place@|@sthiti, thaun@
@plaited hair@|@cultho@
@plan@|@upakram@
@planet@|@graha@
@planned@|@abhipret@
@planning@|@yojana@
@plate@|@thal@
@player@|@kheladi@
@plays@|@khelnu@
@pleasant@|@ramailo@
@pleasantly@|@sukhi, sukhiya@
@please@|@...hos, Khaanuhos, Kripaya@
@Please Bring Me A Cup of Tea@|@ek cup chia dinos@
@please lead; I'll follow@|@agi laagnos; ma pachi laagchu@
@please sit facing@|@raamko agi basnos@
@please tell me in English@|@angrejimaa bhannos@
@pleased@|@majako@
@plum@|@arubakhada@
@plum-tree@|@alubakhada@
@pocket@|@paket@
@poem@|@kavita@
@poet@|@kavi@
@poetics@|@sahityashastra@
@pole@|@dandi@
@polgamy@|@dherai vivaha@
@police@|@prahari@
@police station@|@thana@
@policy@|@niti@
@polite@|@adarvaci@
@political@|@rajnaitik, rajnitik@
@political importance@|@rajnitik labh@
@political movement@|@rajnaitik gatividhi@
@politician@|@rajnitigya@
@politics@|@rajniti@
@pollution@|@pradusan@
@pomegranate@|@anar, darim@
@pond@|@pokhari@
@poor@|@garib, kanggal@
@popcorn@|@bhuteko makai@
@popular awakening@|@jana-jagaran@
@popular movement@|@jana-andolan@
@popular participation@|@jana-sahabhagita@
@population@|@janasankhya@
@possession@|@kabja@
@possibility@|@sambhavana@
@possible@|@sambhavatah@
@post office@|@hulak adda@
@postposition@|@namyogi@
@potato@|@alu@
@potential@|@sashakta@
@pots and pans@|@bhandakunda@
@poultry farming@|@hans-kukhura palan@
@poverty@|@garibi@
@powder@|@pitho@
@power@|@parakram, yogyata@
@power of the state@|@rajyadhikar@
@powerful@|@bali, bali, prabhavashali@
@powers of imagination@|@kalpanashakti@
@practice@|@abhyas, tap@
@praise@|@prashangsa@
@prattle@|@gapashap@
@prattler@|@gapphad@
@prayer@|@binti, prarthana@
@prayer room@|@puja kotha@
@preface@|@bhumika@
@prejudice@|@duragraha, purvagraha@
@presence@|@junaph, upasthiti@
@present@|@najarana@
@present time@|@hal, hal@
@presented@|@prastut@
@pressure@|@dabau@
@prevalence@|@pracalan@
@prevention@|@nivaran@
@price@|@mulya@
@priceless@|@amol, amulya@
@Prime Minister@|@pradhanmantri@
@primeval time@|@adikal@
@prince@|@adhirajkumar, rajkumar, rajkumari@
@princess@|@kumari, maiyan, rakumari@
@principal@|@pramukh@
@printer@|@mudrak@
@printing press@|@chapakhana@
@priority@|@prathamikta@
@prison@|@bandigriha, jel, jhyalkhana, kaidkhana, kaidkhana, karagar, karagriha@
@prison sentence@|@karadanda, karavas@
@prisoner@|@bandi, kaidi@
@private sector@|@niji kshetra@
@problem@|@samasya@
@problematic@|@samasyagrasta@
@problems of making ready@|@piralnu@
@producent@|@nirmata@
@production@|@ubjani, utpadan@
@products of the land@|@kshetraphal@
@profligate@|@papi@
@programme@|@karyakram@
@progress@|@pragati, samunnati, unnati, utthan, vriddhi@
@progressive@|@pragatishil, unnatishil@
@prohibition@|@manahi, manai, rok@
@project@|@ayojana, pariyojana@
@promise@|@bhaka@
@pronominal@|@sarvanamik@
@pronoun@|@sarvanam@
@proof@|@praman@
@prop@|@ad@
@propagated@|@pracarit@
@proper@|@upayukta@
@proper name@|@vishes nam, vyaktivacak nam@
@property@|@jethaa, jyathaa@
@prophecy@|@arje@
@propitious@|@kalyanakari@
@propriety@|@aucitya@
@prose@|@gadya-kavya@
@prose composition@|@lekha@
@prose poetry@|@gadya-kavita@
@prosody@|@chand@
@prostitute@|@veshya@
@prostrate@|@lampasar, lamtann@
@protection@|@sanvarddhan, suraksha, tran@
@protection of body@|@anga-raksha@
@proverb@|@ukhan@
@province@|@pradesh@
@psychological@|@manovigyanik@
@psychology@|@manovigyan@
@public@|@janata, sarvajanik@
@public health@|@janasvasthya@
@public life@|@janajivan@
@public opinion@|@janmat@
@publication@|@prakashan@
@publicity@|@pracar@
@published@|@prakashit@
@publisher@|@prakashak@
@pulse@|@nari@
@pungent chilli@|@akbare@
@punishment@|@saja, sajaya, sasana, shasana@
@pupil@|@ankhako nani@
@purple@|@baijani@
@put on clothes@|@luga lagaunu, luga launu@
@quail@|@battai@
@qualitative@|@gunabodhak@
@quality@|@gun@
@quantitative@|@parimanbodhak@
@quarrel@|@jhagada, kacinggal, kalaha@
@quartz@|@kvartj@
@queen@|@rani@
@queer@|@anautha, anautho@
@question@|@prashna, saval@
@questionnaire@|@prashnavali@
@quick@|@cando@
@Quickly@|@chito chito@
@quilt@|@sirak@
@radio broadcast@|@akashvani@
@radish@|@mula@
@Rai; a Nepali nationality@|@rai@
@rail@|@rel@
@rain@|@Pani@
@rains@|@barkha, varsa@
@raisins@|@kismis@
@Rajvanshi; Nepali nationality@|@rajvanshi@
@rape@|@balatkar@
@rat@|@muso@
@rate@|@bhau@
@rational knowledge@|@jaan-sakti@
@raven@|@kag@
@raw@|@kanco@
@reaction@|@pratikriya@
@reading and writing@|@lekhpadh@
@ready@|@tayar, udyat@
@real@|@khas@
@real knowledge@|@anubhuti@
@reality@|@vastavikta@
@receipt@|@prapti@
@received@|@hastagat@
@receptacle@|@bhajan@
@recital@|@path@
@recognition@|@manyata, pahican@
@recognizes@|@thamaunu@
@recommendation@|@sipharish@
@reconstruction@|@punarnirman@
@red@|@rato@
@red clay to paint the wall@|@rato mato@
@red-brown@|@geru@
@reflected@|@pratibimbit@
@reflection@|@ninda, pratibimba@
@reflexive@|@atmabodhak@
@reform@|@sudharak@
@reformation@|@achutoddhar@
@refugee@|@sharanarthi@
@refutation@|@khandan@
@regiment@|@paltan@
@region@|@desh@
@regional@|@pradeshik@
@regret@|@apashoc@
@regulation@|@kanun@
@rehabilitation@|@punarvas@
@reign@|@shasankal@
@related to Akbar@|@akbari@
@related to the people@|@janapakshiya@
@related to the publisher@|@prakashkiya@
@related with@|@sambandhi@
@relating to government@|@rajkaji@
@relation@|@prasanga, sambandha@
@relative@|@jaati, natadar@
@relative pronoun@|@sambandhi sarvanam@
@release@|@chutkara@
@released@|@mukta@
@religion@|@dharma@
@religion community@|@sampradaya@
@religious@|@dharmik@
@religious centre@|@dharmik@
@religious text@|@dharmagranth@
@religious victim@|@yagya@
@remainder@|@banki@
@remark@|@ukti@
@remarkable@|@ullekhniya@
@remedy@|@upacar@
@remembrance@|@samjhana@
@reminder@|@smaran-patra, smriti-patra@
@remote@|@durgam@
@renowned@|@kirtiman, yashasvi@
@rent@|@kiraya@
@reorganization@|@punargathan@
@repeat@|@jari@
@report@|@prativedan@
@reported speech marker@|@are@
@representation@|@pratinidhitva@
@reproach@|@bhartsana@
@reproof@|@gali@
@republic@|@ganatantra@
@request@|@anurodh@
@research@|@anusandhan@
@research program@|@sodhakhoj@
@resembling@|@anurup@
@reservation@|@arakshan@
@residence@|@basobas, basovas, sadan@
@resources@|@srot ra sadhan@
@respect@|@kadar@
@respectable@|@adarniya, mani@
@responsibility@|@javaphdehi, jimma, jimmevari@
@responsible@|@uttardayi@
@rest@|@aram@
@resthouse@|@dharmashala@
@restrict@|@simit@
@restricted@|@pratibaddha, pratibandhit@
@result@|@parinam@
@retaliation@|@pratikar@
@retrogressive@|@pratigama@
@revenge@|@pratishodh@
@revenue@|@rajasva@
@revered@|@bhattarak@
@review@|@samalocana@
@revision@|@punarvalikan@
@revolt@|@vidroha@
@revolution@|@inklab, kranti@
@revolutionary@|@gaddar@
@reward@|@bakas@
@rhinoceros@|@gainda@
@rice@|@bhat@
@Rice@|@Kanah@
@rice fried in butter@|@dhakane@
@rice pudding@|@khir@
@rich@|@amir, amir, amiri, dhani, sampanna@
@riches@|@dhan@
@Ridge@|@danrah@
@ridge at the edge of a field@|@ali@
@right@|@adhikar, dahine, dayan@
@right now@|@bharkar@
@ringroad@|@cakramarg@
@rinse hair@|@kapal nuhaunu@
@ripe@|@pakeko@
@ripple@|@lahar, lahar@
@risen@|@unnat@
@rising@|@udaya@
@rivalry@|@pratisparddha, pratiyogita@
@river@|@nadi@
@River@|@khosi@
@ro raise@|@ukasnu@
@roach@|@sanglo@
@road@|@sadak, sadaka@
@roasted meat@|@sekuva@
@roh@|@khasro@
@Roman alphabet@|@roman accher@
@roman numerals@|@roman anka@
@roof@|@chana@
@room@|@kotha@
@rooster@|@kukhurako bhale@
@rope@|@dori@
@rose@|@punarjivit@
@round thing@|@dallo@
@rover@|@allare@
@royal@|@shahi@
@royal court@|@darbar@
@royal honorific pronoun@|@mausuph@
@Ruanda@|@ruvanda@
@rule@|@ain, niyam@
@ruling@|@sattarudh@
@rumor@|@janavad@
@rumour@|@janashruti, kinvadanti@
@run away with a man@|@poila janu@
@running away with a man@|@poila@
@Rupee@|@rupiyan@
@Russia@|@rasiya@
@sabotage@|@antardhvans@
@sacred thread of a Brahman@|@janai@
@sad@|@cintit, duhkhi, udas, udasi@
@saffron-coloured@|@kesari@
@saint@|@risi@
@Salt@|@nun@
@salty@|@nunilo@
@sandal-wood@|@gandhakshat@
@Sanskrit@|@sanskrit@
@sanskritized@|@sanskritmaya@
@sarcasm@|@vyangya@
@Saturday@|@sanishcavar, sanivar@
@Saturday is an office holiday@|@sanibaar aDDaa bidaa huncha@
@savage@|@jangali@
@scarlet@|@sindure@
@scent of perfumery merchant@|@gandhik@
@scholar@|@chatra, vidvan@
@school@|@pathshala, vidyalaya, vidyashram@
@science of Music@|@gandharva-ved@
@scorpion@|@bicchi@
@script@|@lipi@
@sea@|@kund, sagar@
@sea level@|@samudra sataha@
@search@|@khoji@
@seashore@|@kul@
@season of the year@|@ritu@
@seasonal@|@mausimi@
@second@|@dosro@
@second eldest of brothers@|@mailo@
@second half@|@dvitiyardha@
@second person@|@dvitiya purus vacak@
@secondary@|@gaun@
@secretariat@|@sacivalaya@
@secretary@|@saciv@
@secretly@|@pardabhitrai@
@section@|@khand, vibhag, vibhag, vibhajan@
@section of a law@|@dapha@
@sedimentary rock@|@patre cattan@
@See You@|@peri beton la@
@seed@|@bij, biu@
@segment of a circle@|@cap@
@selection@|@chanavin, cunav@
@self-born@|@anadi@
@self-confidence@|@atmavishvas@
@self-contradiction@|@antarvirodh@
@self-dependence@|@atmanirbhar@
@self-respect@|@atmabhiman, atmasamman@
@sends@|@pathaunu@
@sense@|@gyaan-gun, hosh, indriya, jaan-gun@
@sensitive@|@sanvedanshil@
@separated@|@beglo@
@sequence@|@parampara@
@series@|@kram@
@servant@|@nokar@
@service@|@seva, sevan@
@sesame@|@til@
@session@|@adhiveshan@
@seven@|@sat@
@Seventeen@|@satra@
@seventh@|@sataun@
@seventy@|@sattari@
@seventy-eight@|@athhattar@
@seventy-five@|@pachattar@
@seventy-four@|@cauhattar@
@seventy-nine@|@unasi@
@seventy-one@|@ekhattar@
@seventy-seven@|@sathattar@
@seventy-six@|@chahattar@
@seventy-three@|@trihattar@
@seventy-two@|@bahattar@
@sewing machine@|@siune kal@
@shade@|@chahari, chayan@
@shadow@|@chaya@
@shame@|@laj, lajja@
@shape@|@akar@
@share-holder@|@angshadhar@
@sharer@|@angshiyar@
@sharer of half the land@|@andhiyar@
@shawl@|@uparna@
@she@|@so@
@She came by bus yesterday@|@Uni hijo bus chadhera aayin@
@sheep@|@bhedo@
@sheet of paper@|@tau@
@she-goat@|@bakhri@
@shelter@|@sharan@
@shelves@|@almari@
@Sherpa; a Nepali nationality@|@sherpa, shyarpa@
@shin-bone@|@nalikhutto@
@shirt@|@kamej@
@shoot@|@ankuro@
@shop keeper@|@sahuni@
@shopkeeper@|@pasale, sahu@
@short@|@choto@
@short story@|@laghu-katha, laghukatha@
@shoulder@|@kandha@
@shrimp@|@jhinge macha@
@sick@|@rugna@
@sick person@|@rogi@
@sickness@|@rog@
@side@|@patti, tarph@
@side of the wall@|@bhitto@
@signature@|@hastakshar@
@Sikkim@|@sikkim@
@silence@|@mauna@
@silver@|@candi@
@similar@|@eknas, saman@
@simple@|@saminya, saral@
@sin@|@pap@
@sinfulness@|@adharma@
@Singapur@|@singgapur@
@singing of praises@|@yashogan@
@single@|@eksaro@
@sister's daughter@|@bhanji@
@sister's daughter's husband@|@bhanje jvain@
@sister's son@|@bhanij, bhanjo@
@sister's son's wife@|@bhanje buhari@
@Sit Down@|@basnos@
@six@|@cha@
@sixfold@|@cha patra@
@Sixteen@|@sohra@
@sixth@|@chaitaun@
@sixty@|@sathi@
@sixty-eight@|@athsatthi@
@sixty-five@|@painsatthi@
@sixty-four@|@causatthi@
@sixty-nine@|@unansattari@
@sixty-one@|@eksatthi@
@sixty-seven@|@satsatthi@
@sixty-six@|@chaisatthi@
@sixty-three@|@trisatthi@
@sixty-two@|@baisatthi@
@size@|@akriti@
@skeleton@|@asthipanjar@
@skilful@|@sipalu@
@skin@|@chala@
@skull@|@khappar@
@sky@|@asaman@
@sky-blue@|@akkase@
@slave@|@das@
@slavery@|@dasta@
@slight@|@upeksha@
@slippery@|@ciplo@
@slogan@|@nara@
@Slowly@|@bistari@
@small@|@kam, kam, masino, masino, mihi, sano, sanu@
@small group@|@toli@
@small metal water-pot@|@lohota@
@small moveable earthenware@|@makal@
@small piece@|@tukra@
@small plate@|@thali@
@small river@|@kholo@
@smart@|@chito, phurtilo@
@smear with red clay@|@potnu@
@smell@|@gandha@
@smuggler@|@taskar@
@smuggling@|@taskari@
@snack@|@khaja, khajasaja@
@snake@|@sanp, sarp@
@snow@|@hiun@
@snowline@|@himarekha@
@so@|@saraha, yas karan@
@so be it@|@evamastu@
@so viel@|@yatiko@
@soap@|@sabun@
@soap foam@|@sabunko, sabunko phinja@
@social@|@samajik@
@social customs@|@riti-thiti@
@socialism@|@samajvad@
@socialist@|@samajvadi@
@socialistic state@|@samajvadi rajya@
@society@|@samaj@
@sociology@|@samaj shastra@
@socks@|@moja@
@soft@|@kalilo, mulayat, naram, narama@
@soft and thick bed@|@gadda@
@soil@|@mato@
@soil erosion@|@bhu-ksharan@
@soil survey@|@matoko sarvekshan@
@solar@|@saurya@
@solar eclipse@|@surje grahaNa@
@soldier@|@sipahi@
@sole@|@paitalo@
@solemn promise@|@sangkalpa@
@solitary@|@ekaki, eklo@
@solitude@|@ekanta@
@solving the problem@|@samadhan@
@some@|@thor@
@some other time@|@aghi-pachi, agi-pachi@
@someone else@|@aru kohi@
@something@|@kehi@
@sometimes@|@kahile kahin@
@son@|@choro@
@son's father-in-law@|@samdhi@
@son's mother-in-law@|@samdhini@
@son's wife@|@buhari@
@soon@|@candai@
@sort@|@jat, prakar@
@soul@|@hansa@
@sound@|@svar@
@sound produced by little thing@|@khutrukka@
@sound produced by the feet@|@gadryak-gudruk@
@soup@|@jhol@
@sour@|@amilo@
@soured raddish@|@sinki@
@souvenir@|@smarika@
@sovereignty@|@adhirajya@
@soyabean@|@bhatamas@
@space@|@akash, antariksha@
@spacious@|@pharakilo@
@spade@|@kodali, kodalo@
@sparrow@|@bhangero@
@special court@|@vishes adalat@
@speculation@|@satta@
@speech@|@vacan, vyakhyan@
@speed@|@gati, gatiman, gatishil@
@speedily@|@ashu@
@spices@|@masala@
@spinach@|@palunggo@
@spinning wheel@|@carkha@
@spirit@|@satopuglo@
@spiritual teacher@|@guru@
@spoon@|@camca@
@spot@|@sthan@
@spotted@|@chirkemirke, thople@
@spread@|@prasar@
@spreads@|@phijinu@
@spring@|@basanta, vasanta@
@spring of water@|@dharo@
@spurlos@|@namnishan@
@square mile@|@varga mil@
@Sri Lanka@|@shrilangka@
@staff@|@tekne lauro@
@stage@|@macan@
@stairs@|@bharyang@
@standig crops@|@bali@
@star@|@tara@
@stark@|@shakta@
@start@|@arambha@
@statement@|@kaiphat, kaiphiyat@
@station@|@steshan@
@statue@|@salik@
@status@|@ijjat@
@Stay@|@basne@
@steel@|@ispat@
@steepness@|@ukalo@
@step@|@pad@
@step by step@|@kramashah@
@steps@|@khudkila, sopan@
@stick@|@lauro@
@stigma@|@lanchana@
@still@|@aja@
@stomach@|@bhundi, pet@
@stone@|@dhunga, patthar@
@stool@|@asan@
@store@|@pasala@
@store room@|@bhandar@
@storm@|@andhi, andhi, anghi, huri@
@story@|@gatha, katha@
@stove@|@culo@
@straigth@|@sojho@
@strainer@|@channe@
@strange@|@apurva@
@strategical area@|@kutnaitik kshetra@
@strategy@|@ranniti@
@stream@|@srot@
@Stream@|@khola@
@strength@|@bal, shakti@
@strength fairs@|@shaktiparikshan@
@strike@|@hadtal@
@striped@|@dharke@
@strong@|@balistha, baliyo, shaktiman, shaktishali@
@Strong and brave@|@jamä-, jawã-marda@
@structure@|@sanracana@
@struggle@|@sanggharsa@
@student@|@vidyarambha, vidyarthi@
@Student@|@shisya@
@student movement@|@vidyarthi gatividhi@
@study@|@adhyayan, padhai@
@study; or else fail@|@paaTh paRa; athabaa phel hou@
@subcaste@|@thar@
@subject@|@praja, visaya@
@subject matter@|@visayavastu@
@substantiv@|@vishesya@
@substitute@|@pratinidhi@
@subtropical@|@upa-usnakatibandhi@
@success@|@jit@
@successful@|@saphal@
@successfully@|@saphalibhut@
@successor@|@uttaradhikari@
@such@|@uso, yaso@
@suction@|@shos, shosan@
@sudden@|@akasmik, apratyashik@
@suddenly@|@acaanak, acanak, akasmat, aparjhat, ekkasi@
@Südkorea@|@dakshin koriya@
@Sugar@|@chini@
@sugar candy@|@misri@
@sugar cane@|@ukhu@
@sugary@|@guliyo@
@suggestion@|@sujhau, sujhav@
@suicide@|@atmahatya@
@sulphur@|@gandhak@
@summary@|@sar@
@summits@|@takuro@
@sun@|@surya@
@Sunday@|@adityavar, aitavar, ravivar@
@sunshine@|@gham@
@Sunuwar; a Nepali nationality@|@sunuvar@
@superb@|@mahatvapurna@
@support@|@avalamban, samarthan, sambal@
@supporter@|@samarthak@
@suppression@|@daman@
@supreme ruler@|@adhiraj@
@sure@|@nishcit@
@sure knowledge@|@nishcaya@
@surface@|@sataha@
@surface of the earth@|@dharatal@
@surprise@|@acamma@
@surprising@|@acammako, ashcaryalagdo@
@survey@|@sarvekshan@
@suspicion@|@ashangka@
@suspicious@|@shankalu@
@sustainable@|@digo@
@sustained@|@dirghakalin@
@swallow@|@gaunthali@
@swamp@|@gaddar@
@swan@|@rajhans@
@Swayambhunath@|@svayambhunath@
@sweat@|@pasina@
@sweater@|@ganji@
@sweep@|@badharnu@
@sweet potato@|@sagarkhand@
@sweets@|@mithai@
@swim@|@pauranu, pauri khelnu@
@swimming@|@pauri@
@swindler@|@cor, thag@
@symbol@|@pratik@
@symbolic@|@pratikatmak@
@symposium@|@gosthi@
@system@|@nikaya, vyavastha@
@systematic@|@vyavasthit@
@systematize@|@vyavasthapit@
@Table of contents@|@suci@
@tail@|@pucchar@
@take a bath@|@nuhaunu@
@take off clothes@|@luga phukalnu, luga phukaunu@
@take the flowers in your hands@|@phul ãjulimaa thaapa@
@talco@|@abrak@
@talent@|@pratibha@
@talk@|@carca, ganathan, kura@
@Tamang; a Nepali nationality@|@tamang@
@Tamu; a Nepali nationality@|@tamu@
@Tanahun; former small state@|@tanahun@
@tangerine@|@suntala@
@tapeworms@|@juka@
@task@|@kartavya, parityag@
@taste@|@svad@
@tax@|@kar, kar, mahasul@
@tea@|@ciya@
@Tea@|@chia@
@teacher@|@jaapak, shikshak@
@teachings@|@shikshan@
@teardrop@|@anshu@
@technician@|@kalakar, pravidhigya@
@technics@|@kala@
@technique@|@pravidhi@
@telecommunication@|@dursancar@
@temple@|@kancat, kanparo@
@temporary wall@|@bar@
@ten@|@das, dos@
@tenant@|@raiti@
@tennis@|@tenis@
@tension@|@tanav@
@tenth@|@dasaun@
@tenth month of the Nepali year@|@magh@
@terraced field@|@tari khet@
@terrestrial longitude@|@deshantar@
@terrible sound of the fall@|@gadryamma@
@terrified@|@atangkit@
@test@|@janc@
@Thakali; a Nepali nationality@|@thakali@
@Thami; a Nepali nationality@|@thami@
@Thank you@|@Dhanyabaad@
@Tharu; a Nepali nationality@|@tharu@
@That@|@Tyo@
@that is to say@|@arthat@
@that much@|@tyatiko, uti@
@that one@|@so@
@That's Expensive@|@mahango bhayo@
@the act of coming and going@|@ohar dohar, ohor dohor@
@the age of two and a half@|@aRaai barsako umer@
@the boy who came before@|@agi aaeko keTo@
