@English@|@Yupik@
@personal name meaning one who coos a child@|@Inutang@
@personal name meaning one who dips into water@|@Akurcin@
@personal name meaning one who disembarks@|@Yuvgelzria@
@personal name meaning one who farts@|@Acakcug@
@personal name meaning one who follows behind@|@Kinguiralzria@
@personal name meaning one who gestures to another@|@Nuyalzran@
@personal name meaning one who gets stuck@|@Ayaksar@
@personal name meaning one who gives@|@Cikigar@
@personal name meaning one who goes to smell@|@Naryartur@
@personal name meaning one who has a big toe@|@Angenqer@
@personal name meaning one who has a cover@|@Kangqileg@
@personal name meaning one who has become frozen@|@Cikulqaar@
@personal name meaning one who has diarrhea@|@Urr'illar@
@personal name meaning one who is angry@|@Qenuang@
@personal name meaning one who is becoming a lady@|@Arnaci'irer@
@personal name meaning one who is dark@|@Tunguyalzria@
@personal name meaning one who is dusty@|@Apsir@
@personal name meaning one who is going out@|@Anman@
@personal name meaning one who is like a seagull@|@Aalur@
@personal name meaning one who is old and barren@|@Nurr'ang@
@personal name meaning one who is only an aunt@|@Acaknginar@
@personal name meaning one who is relaxed@|@Qacngacaaqur@
@personal name meaning one who is small@|@Mikngayar@
@personal name meaning one who is taking off@|@Ayakartur@
@personal name meaning one who lost something@|@Mayuralzria@
@personal name meaning one who moves@|@Aggsirer@
@personal name meaning one who moves sideways@|@Canikuryar@
@personal name meaning one who partially turns@|@Qivcuar@
@personal name meaning one who promises@|@Akquar@
@personal name meaning one who regurgitates@|@Mirasgan@
@personal name meaning one who rises leaning@|@Ayaperalzria@
@personal name meaning one who sings during dancing@|@Angaangar@
@personal name meaning one who sits cradled@|@Qunqussin@
@personal name meaning one who stays behind@|@Paagulzria@
@personal name meaning one who taps@|@Patgulzria@
@personal name meaning one who tells@|@Aperyar@
@personal name meaning one who turns badly@|@Qivcungayag@
@personal name meaning one who wants something@|@Qirwan@
@personal name meaning one who's an imitation uncle@|@Angaangaleg@
@personal name meaning one who's struggling to move@|@Angagar@
@personal name meaning one with a bad neck@|@Ayaquullug@
@personal name meaning one with a hump@|@Ampir@
@personal name meaning one with a mother@|@Aanarakar@
@personal name meaning one with a parka@|@Atkuta'ar@
@personal name meaning one with a small kayak@|@Qayarkilzngur@
@personal name meaning one with no hand@|@Aaggalzngur@
@personal name meaning one without a belt@|@Naqugutalzngur@
@personal name meaning person who is happy@|@Qussauyar@
@personal name meaning plugged@|@Mella'ar@
@personal name meaning ring seal@|@Nayiir@
@personal name meaning salmonberry@|@Atsar@
@personal name meaning seal oil implement@|@Meciarun@
@personal name meaning seal-gut skylight@|@Tanriag@
@personal name meaning silver salmon@|@Ciayar@
@personal name meaning small awl@|@Werquka'ar@
@personal name meaning small ember@|@Arrayagar@
@personal name meaning small land with rock@|@Qiuryuggar@
@personal name meaning small younger sibling@|@Uyuracungar@
@personal name meaning snail@|@Aalaliikaar@
@personal name meaning stake@|@Paugyug@
@personal name meaning tall dark one@|@Taalegalzria@
@personal name meaning tame person@|@Nussaalar@
@personal name meaning the lady@|@Arnatqang@
@personal name meaning the men@|@Angutengiar@
@personal name meaning to be tamed@|@Nuss'an@
@personal name meaning to bother someone@|@Qinuran@
@personal name meaning to bring up the hill@|@Massualug@
@personal name meaning to dust@|@Elluwagar@
@personal name meaning to fill@|@Im'in@
@personal name meaning to grow badly@|@Nauglug@
@personal name meaning to have a prickly feeling@|@Kakianer@
@personal name meaning to pull@|@Amuqan@
@personal name meaning to rasp@|@Eggalar@
@personal name meaning to set out or to spread@|@Civlagar@
@personal name meaning to tear@|@Caq'er@
@personal name meaning to warm up next to heat@|@Macian@
@personal name meaning young lady@|@Arnaracungar, Nevviayagar@
@personal name meaning younger sibling@|@Uyuruciar@
@personal name meaning younger sister@|@Nayagar@
@personal name of a shaman-one who hunts hearts@|@Ircaqurrsurayuli@
@personal name one for a cover@|@Pantungan@
@personal name one who will be a future daughter@|@Panigarkar@
@personal name one who will be given as a daughter@|@Panigkiun@
@personal name perhaps meaning incoming tide@|@Ulzran@
@personal name perhaps meaning one who scowls@|@Miya'ar@
@pet animal or bird@|@tagutuar(ar)@
@petroleum worker@|@uquliurta@
@picture@|@taren(rar)@
@piece of flesh under the tongue@|@qelun@
@piece of rendered seal blubber@|@tanger, tangruallug@
@pierced nose@|@iingacullua@
@pigeon guillemot@|@cigurer@
@pillow@|@putuskar@
@pillow or pillows@|@akitet@
@pilot cracker@|@cugg'alir@
@pin cushion@|@kapuswig@
@pine@|@equgpigar@
@pink@|@kawivvgug@
@pipe@|@kuingir@
@pistol@|@inglupiartaryarer@
@pit for storing seal oil@|@uquuciller, uquuciwig@
@pit in the ground filled with water@|@qengner@
@place meaning land of Acakcug@|@Acakcum Nunii@
@place meaning little cormorants@|@Agayuurrit@
@place meaning one with an abundance of snail shell@|@Ciutemqurtuli@
@place on Mekoryuk river@|@canirngalzria@
@place on Nunivak across the bay from Mekoryuk@|@Igigkarrat@
@place to descend@|@ateryarer@
@place to find driftwood to make agayu (mask(s)@|@Agayurrsurwit@
@place to go fishing@|@neqsagwig@
@place to put clothing@|@akliwig (1)@
@place to remove eyes or to get snow blind@|@Iingircaun@
@place to rent a room@|@tukirwig@
@place where one ought to be careful@|@mulzngayugwig@
@place where one stands holding on to wait for fish@|@nekvawig@
@place where sour dock grows abundently@|@Ciqilitaleg@
@placenta@|@all'erpag@
@places for spearing fish@|@Kapuqarwit@
@planks in gable end of a building@|@qanag@
@plant used for the wick of a stone lamp@|@nanikiitar@
@plant which is like reindeer moss@|@cigwinguar@
@playing card@|@kaltar@
@pleasant smelling plant@|@teptukuyug@
@pliers@|@keggsuuteg@
@plover@|@teviteviar(ar)@
@plug or mouthpiece of seal harpoon float@|@kevviar@
@pocket@|@kalzmaanar@
@pocketknife@|@luquckiar(ar), taptaryarag@
@point of ice pick@|@tuger@
@point of land at Cape Etolin north of Nunivak@|@Uglir@
@point of land in a bay on the north coast@|@Iqiucirwig@
@point of land in the north coast of Nunivak@|@Qengnernar@
@point of land meaning one like an arm@|@Talliqur@
@point of land meaning one who envies@|@Aglumauralzria@
@point of land meaning one with a little broad hill@|@Qemirraleg@
@point of land meaning ones who lost an axe@|@Piqrutallret@
@point of land meaning place for walruses@|@Ugcirer@
@point of land meaning place of set-netting@|@Kuvyiller@
@point of land meaning point of Taperrnarrlugtuli@|@Taperrnarrlugtulim Cingia@
@point of land meaning point of the back side@|@Tunulim Cingia@
@point of land meaning spotted seals@|@Qayigyat@
@point of land meaning the end of a medium cliffs@|@Penaram Iqua@
@point of land meaning two who are stingy@|@Qunuug@
@poison water hemlock@|@anguturlur@
@poisonous plant that grows around ponds@|@tarnig@
@polar bear@|@arlunar@
@Polaris@|@agyarrlag@
@pole to push boat@|@assaurun@
@policeman@|@itercista@
@pollock@|@kalagar@
@pond@|@nanwar@
@poor person with tattered clothing@|@ilzgulzgar@
@poor soil@|@qikulznguyat@
@porch@|@amiik@
@portage@|@tevcarer@
@portage at a bay in the south of Nunivak@|@Tevcarer@
@portage in the north coast of Nunivak@|@Tevcara'ar@
@post@|@naparyar@
@post for oil lamp@|@ussuciar@
@post office@|@kalikiwig@
@post on cliff@|@paug@
@potholder@|@tegumialitar@
@pouch@|@kellarwig@
@pouch made from foot skin of swan@|@qesran@
@pounder for greens@|@pass'in@
@powdered snuff for snorting@|@meluskar@
@preacher@|@quliraarta@
@pregnant bearded seal@|@imlauleg@
@presence@|@taku@
@pressure ridge@|@uguner@
@principal@|@ataner@
@prospector@|@akissur@
@prostitute@|@akissur@
@protruding land point meaning place of passing@|@Kituqatar@
@prune@|@anaqupag@
@ptarmigan@|@aqesgir@
@pubic hair@|@tengag@
@puffball@|@agyam an'a@
@puffin parka@|@qilangar@
@pullover@|@uvrun@
@pulmonary vein or artery@|@cuplunqut'ag@
@pupil of an eye@|@takviun@
@purchaser@|@kiputesta@
@purple@|@paun'erngalzngur, qiuner@
@purple sandpiper@|@cenaar(ar)@
@pylorus@|@aatarruar@
@quarter dollar@|@qupcungar@
@quarter moon slanted down@|@kenirmiartur carrlugmeg@
@quarter of an animal@|@mimernar@
@queen in cards@|@arnar@
@quickly@|@patagmeg@
@quicksand@|@ang'ayanar@
@Quinhagak-Alaska@|@Kuinerrer@
@radio@|@niicugniss'un@
@rafter of building@|@qanagar@
@rain@|@ellallug@
@rainbow@|@agluryar@
@raven@|@tulukarug@
@raw food@|@qassar@
@real house@|@enpiar@
@record player@|@aturcetarrsun@
@red@|@penny@
@red coloring made with ochre@|@wiiter@
@red fox@|@kavviar@
@red salmon@|@cayag@
@red-bellied trout@|@kangitner@
@red-chested phalarope@|@augtuar(ar)@
@reddish colored fly smaller than a housefly@|@anaar(ar)@
@reddish colored wood@|@alcir@
@reddish-colored wood used for bow-drill shaft@|@ussungirkat@
@red-necked clam@|@wiilu@
@red-necked grebe@|@atateg@
@red-necked phalarope@|@ayungnaar(ar)@
@reefs on the north coast of Nunivak Island@|@Tevner@
@refrigerator@|@nengllaciriwig@
@reindeer that can no longer bear young@|@nuraniner@
@reindeer-skin parka@|@qalilurrlugar@
@relative@|@ila, tungayag@
@replacement for a person or a thing@|@cimirkar@
@residents of an estuary@|@Kangiremiut@
@residue inside a container that had liquid@|@kitnerrlug, kivyaner@
@rib below the apamar at bow and aft of kayak@|@qamenqucagar@
@rib of boat@|@inarun@
@rib support in kayak or open boat@|@nalzmag@
@ribbon seal@|@qasruleg@
@rice@|@quvlurruar@
@rich person@|@nukalpiar@
@ridge going down from the nose to the upper lip@|@kakeggliyar(ar)@
@ridge meaning spoon's handle@|@Qassuuciam Epua@
@right away@|@egmianun@
@right here@|@kua, kuani, kwani@
@right now@|@kuanirpag, kwanirpag@
@right there@|@tawatarri@
@ring@|@kulun@
@ring finger@|@ikilipig@
@ringed seal@|@nayir@
@river@|@kuig@
@river mouth meaning a horizontal log in the kiiyar@|@Tuussara'ar@
@river mouth on the east side of Nunivak@|@Qalegnilzngur@
@river of Alzer on western coast of Nunivak@|@Alzrem Kuiga@
@river of Iqangmiut@|@Iqangmiut Kuigat@
@river of Mecagmiut@|@Mecagmiut Kuigat@
@river of Mekoryuk@|@Mikuryarmiut Kuigat@
@river of Negermiut@|@Negermiut Kuigat@
@river of Paamiut@|@Paamiut Kuigat@
@river of Penacuarmiut@|@Penacuarmiut Kuigat@
@river of Pimaayug@|@Pimaayum Kuiga@
@river of Qalegnilzngur@|@Qalegnilzngum Kuiga@
@river of Qikumiut@|@Qikumiut Kuigat@
@river of Tacirmiut meaning river of a bay@|@Tacirmiut Kuigat@
@river of Talungmiut@|@Talungmiut Kuigat@
@river of Tevcarer@|@Tevcaram Kuiga@
@river of Tuqsug in the southwestern of Nunivak@|@Tuqsum Kuiga@
@river on Taprarmiut@|@Taprarmiut Kuigat@
@riverbank meaning where one casts@|@Egtarwig@
@rock@|@kaugutagar, siimar@
@rock meaning one that resembles a sealskin parka@|@Qutnguyugnar@
@rock protrusion on the cliffy@|@Napanguyar@
@rock ptarmigan@|@elciayuli@
@rock snail@|@aalemyar@
@rock that is jutting out@|@ipgeryag@
@rock-lined meaning the cormorant hunter's house@|@Uyaleggsurayulim En'i Amia-llu@
@rocks mounted in a circle and lined with mud@|@kaciitat@
@rocky islet meaning place to become discolored@|@Urwignar@
@roof of enpiar@|@mayurrvit@
@root@|@acilqur@
@root mesentery of the small and large intestine@|@akunkar@
@root tool@|@qin@
@roots flaring out from trunk of uprooted tree@|@mimer@
@rope@|@qip'arpag, uzaq@
@rope for climbing cliffs@|@qawarcir@
@rope for tying sled load@|@qelallraun@
@rosin and soot@|@angerqun@
@round bowl made for girls@|@wivvluar@
@round here@|@uivetun@
@round labret@|@wivvsag@
@round needle@|@quaguilznguar@
@round thing@|@wivngayag@
@ruddy turnstone@|@qiqiulleg@
@ruff@|@ulzganar@
@ruler@|@wiigun@
@Russian (literally: 'real white man')@|@Kass'alugpiag@
@sabine's gull@|@nacallngaar(ar)@
@saffron tom cod@|@iqalluar@
@sailboat@|@qerrarun@
@salmonberry leaf and stem@|@atsakutag@
@salmon-skin bag to hold parka@|@atkuliwig@
@salt@|@taryur@
@salted fish@|@culunar@
@sand@|@qaugyar@
@sand dune@|@peng'ur@
@sand dune eroded on the side@|@ingluirneg@
@sand dunes@|@tan'gurer@
@sand dunes in the southeast interior of Nunivak@|@Kegg'lunrat@
@sand dunes in the southeast part of Nunivak@|@Pengui@
@sand dunes meaning cormorant hunter's husband@|@Uyaleggsurayulim Uinga@
@sand dunes meaning hardwood for bows@|@Teggsagar@
@sand dunes meaning place to beckon someone@|@Nulurevv'it@
@sand dunes meaning spine@|@Culuksut@
@sand dunes near Cingim Qikerta@|@Wegtuli@
@sand island in a bay in the northwest of Nunivak@|@Qaugyar Qikertar@
@sandhill crane@|@qucilkuryug@
@sandpaper@|@keggalzrun@
@sandpiper@|@cevyira(ar)@
@sanitation man@|@qaniciurta@
@sanitation worker@|@aniurta, qerruciurta@
@Satan@|@tun'er, tunr(ar)@
@Saturday@|@Maqiner@
@sauce pan@|@ipuutar@
@saucer@|@atlirruar@
@saw@|@kegglar@
@scale of fish@|@kapcir@
@scar@|@qelengquleg@
@scarf@|@pelatug@
@school@|@eskuularwig@
@scissors@|@nunuuteg@
@scraper for fawn skins@|@nengulerciss'un@
@screened ice-scoop@|@qenuirun@
@screw@|@qivvsar@
@screwdriver@|@angicissun@
@sculpin with barbel@|@kelevyagciar@
@sculpin with pointed nose and orange spots@|@qengaruwagar@
@sea anemone@|@eter@
@sea creature with human features seen on pack ice@|@kun'unir@
@sea cucumber@|@urwagnar@
@sea debris@|@tep'arayag, tep'arrlug@
@sea lettuce@|@cenarayag@
@sea lion@|@apakcug@
@sea mammal@|@imarpillar@
@sea otter@|@aatagar@
@sea plant that is yellow and looks a bloated tree@|@tukurnar@
@sea urchin@|@utuk@
@seal@|@taqukar@
@seal flesh with blubber@|@qigag@
@seal float line@|@kuvyuarit@
@seal harpoon part@|@agarvig, aklegar, alquceta, ayeggsig, cawegpigar, egimar, imelqutaguar, keggrarag, mangqur, nagutet, nakrun, qilagturer, tukarta@
@seal intestine raincoat@|@imarniteg@
@seal intestine spreader@|@qalluarun@
@seal net@|@kuvya@
@seal netting meaning one that resembles a raven@|@Tulukarugar@
@seal netting site meaning frontal stretch of sand@|@Qaugyaaram Caanga@
@seal netting site on northwest coast of Nunivav@|@Umkuta'ar@
@seal oil@|@uqur@
@seal poke@|@caqun@
@seal-gut skylight@|@tanqiun@
@seal-harpoon part@|@kegcur, keggekur, kegglassi@
@sealskin aged to remove hair@|@meqcirer@
@sealskin bag used to keep things dry@|@akliwig@
@sealskin hunting bag seal poke@|@arrinar@
@sealskin loop to hold harpoon@|@kasmigutar@
@sealskin loop to hold harpoon shaft of a kayak@|@qasmigutar@
@sealskin material to be used for making bootsoles@|@atungagkar@
@sealskin pants@|@qerrullig@
@sealskin parka@|@qutngug@
@sealskin sole@|@atungar@
@seam ripper@|@kelugarciss'un@
@seat in a kayak@|@aqumwig@
@seat of a kayak@|@aqumgautar@
@seaweed@|@elquar@
@second top strut piece in bow of kayak@|@ayagacuar@
@secret berry patch@|@igigtaun@
@secretary@|@kalikiurta@
@sediment@|@kisner@
@see what happened@|@tawakestauna@
@seed@|@iiqupag@
@seesaw@|@aassektar@
@seine@|@caqutaugar@
@seining site meaning ones that are slippery@|@Quasqinarlit@
@seining site meaning place of tumbling@|@Ulpetat@
@sell items going from house to house@|@nawerniar-@
@semipalmated plover@|@tapruar@
@September@|@Kakeggliyarwig@
@serving dish@|@akirkarar(ar)@
@seventeen@|@akimiar malzrug@
@sewing bag@|@kakiwig@
@sewing machine@|@massiinar@
@sewing needle@|@cikur@
@sewing needle case@|@cikiwig@
@shadow@|@taliner@
@shaft of a bow-drill@|@ussungir@
@shaft of bow-drill@|@cukicungar, cuukicungar@
@shark@|@iqallugnar@
@sharpening stone@|@ipegcarissun@
@she@|@ell'i@
@she is running@|@aq'vuq@
@she will not smile@|@englaryugyugnaatur@
@sheath@|@caniurtar@
@sheath for (cawig) knife@|@kiglin@
@shelf@|@elliwig, inglerer@
@shelf at front edge of rear storage platform@|@kiacirutar@
@shirt@|@atkucuar(ar)@
@shoe@|@cap'akir@
@shooting star@|@agyam an'a@
@shore@|@cena@
@shore ice@|@kenuqautner'et@
@shore in a bay meaning just a bluff@|@Tangepraalug@
@shore-fast ice@|@tuwar@
@short harpoon used as spare@|@cavget nengciutelzget@
@short pants@|@qerrulcuarag@
@short piece of wood which goes perpendicular@|@ayagar@
@short spear thrower@|@nuq'er@
@short-eared owl@|@ungpaar(ar)@
@shortening@|@caalar@
@shoulder@|@tuyeg@
@shoulder blade@|@keggayeg@
@shoulder bone of fish@|@qutug@
@shovel@|@pekutar@
@shrew@|@casrarer@
@shrimp-like creature that is found around rocks@|@inarayuli@
@side of boat@|@caniqer@
@side-rail of a kayak@|@apamar@
@sides of nose@|@paciguag@
@sideways@|@canitmun@
@sign@|@alzngar@
@silver@|@cawigngalzngur@
@silver salmon@|@ciayuryar@
@sin@|@kenglu@
@sinew@|@iwalu@
@singer@|@aturta@
@sink@|@eruriwig@
@sister's child@|@nurr'er@
@site  meaning residents of Qavlu@|@Qavlumiut@
@site and river meaning file@|@Al'er@
@site at a bay in the north of Nunivak@|@Waatarwigarmiut@
@site at a bay meaning good old land@|@Nunarrlugarmiut@
@site at a bay meaning residents of the north@|@Waassiarmiut@
@site in a bay meaning people of the gurgling@|@Lurlingmiut@
@site in a bay meaning village of mecag@|@Mecagmiut@
@site in a bay upriver from Taprarmiut@|@Qaviayarmiut@
@site in an estuary meaning place ceremonial drums@|@Cauyarciriwigmiut@
@site in bay meaning residents of tacir (bay)@|@Tacirmiut@
@site in the bank of the Mekoryuk River@|@Angaassalurmiut@
@site in the bay on southern Nunivak Island@|@Mararremiut@
@site meaning an old point@|@Cingigarrlugarmiut@
@site meaning an ugly neck@|@Uyaqingayag@
@site meaning area with unhealthy growth of grass@|@Englullugmiut@
@site meaning old protruding land point@|@Cingigmiut@
@site meaning one who pretends to pack water@|@Miinguartarcirwig@
@site meaning people of the place with many mouths@|@Qaneryagtalegmiut@
@site meaning place to do something@|@Pimaayug@
@site meaning residents of a place to drive game@|@Unguliwigmiut@
@site meaning residents of Kuigaar@|@Kuigaaremiut@
@site meaning residents of Qanitar@|@Qanitarmiut@
@site meaning residents of Qauqer@|@Qauqermiut@
@site meaning residents of qayigyaleg@|@Qayigyalegmiut@
@site meaning residents of qiku@|@Qikumiut@
@site meaning residents of Qungar@|@Qungarmiut@
@site meaning residents of Quuyar@|@Quuyarmiut@
@site meaning residents of Tacirrar@|@Tacirrarmiut@
@site meaning residents of Talung@|@Talungmiut@
@site meaning residents of Tevcara'ar@|@Tevcararemiut@
@site meaning residents of the little back area@|@Tunuyaremiut@
@site meaning residents of the river mouth@|@Paamiut@
@site meaning residents of Urasqaarer@|@Urasqaaremiut@
@site meaning residents of Wiwukaar@|@Wiwukaaremiut@
@site meaning small cliffs@|@Penacuat@
@site meaning village of small cliffs@|@Penacuarmiut@
@site meaning villagers of the north@|@Negermiut@
@site named after Aacurlir@|@Aacurlirmiut@
@site near Iqug meaning residents of the end@|@Iqugmiut@
@site on a bay meaning residents of a spit of land@|@Taprarmiut@
@site on a bay meaning residents of Qengartaar(ar)@|@Qengartaaremiut@
@site on a bay meaning residents of Qikmirtaleg@|@Qikmirtalegmiut@
@six@|@arwinleg@
@six in cards@|@kuig@
@sixteen@|@akimiar ataucir@
@sixty@|@pingayun ipiar@
@skin diaper@|@makar@
@skin line to fasten around the hatch@|@agarun@
@skin strip around ankle of boots@|@cingir@
@skinny young seal in springtime@|@tamaqernikiyagar@
@skin-sewing needle@|@quaguleg@
@skunk@|@teprayag@
@sky@|@qilag@
@sled (one or two)@|@ikamrag@
@sled brakes@|@cetugglugayagat@
@sled floor@|@inglerun@
@sled foot brake@|@kenatagun@
@sled handle bar@|@kasmurraun@
@sled rail@|@qulzmuuyar@
@sled runner@|@assirner@
@sled runner of wood@|@qugtag@
@sledge hammer@|@kauggsipag@
@sledgehammer@|@payiggsig@
@sleeping bag@|@qawarrsun@
@sleeping bench@|@ingler@
@sleet@|@cikutagqur@
@sleeve@|@alir@
@slender-shaped clam@|@pilagtuarun@
@slime on a fish@|@cuvger@
@sling used for hunting birds@|@aturrlugar@
@slipper@|@enmiussun@
@slop bucket@|@caalliwig@
@slope@|@akitnar@
@slush ice@|@qenu@
@slush under thin ice@|@ac'irutar@
@small anemone that sticks to rocks@|@qacautar@
@small arrow for hunting ptarmigan@|@nangnenguat-@
@small birds of any kind of either sex@|@cilumcuksugar@
@small boat@|@angyaqatag@
@small chisel@|@keggiar@
@small chisel used when working wood@|@ekiar@
@small cliff@|@penacuar@
@small driftwood@|@awussag@
@small edible sea creature with various colors@|@arnaur@
@small fly related to the housefly@|@qevlerli@
@small gaff attached to caguyar@|@legcicuar@
@small intestine@|@qilunguuyar@
@small islet south of Nunivak@|@Kegcuqaleg@
@small part of sealing harpoon@|@assauqur@
@small rib at bow or stern end of kayak@|@cauyarar@
@small rocky bluff area meaning small big bad dog@|@Qimugglugpacuar@
@small rocky bluff meaning big bad dog@|@Qimugglugpag@
@small round hill@|@ekurnag@
@small saw-like tool@|@kegglassir(ar)@
@small sculpin with striped markings around jaw@|@tuqutkassuar@
@small sea anemone@|@lagturyaqleg@
@small seal intestine spreader@|@qalluaruka'ar@
@small sharp-nosed sculpin found in reefs@|@nepcar@
@smaller hill near Akitnaqeggli@|@Akitnaqegglicuar@
@smaller oval shaped container@|@alugyaraar@
@smaller tube in the throat@|@apaguar@
@smoke that is white color@|@itugenqegte-@
@smoked fish@|@puyuqer@
@smoked fish soaked in seal oil@|@uqumelzngur@
@snail@|@imartulir@
@snow@|@qanikcar@
@snow bunting@|@am'arulkara'ar@
@snow carved into a block@|@utfak@
@snow goose@|@kangu@
@snow hill@|@qengarug@
@snow shelter@|@aniguyaar@
@snow shovel@|@qanikciurun@
@snow that is soft but granular@|@puk'ag@
@snow with big soft flakes@|@qanugglug@
@snow-beater for clothing@|@katautar@
@snow-machine@|@eskiitur@
@snowshoe@|@pupsugcet'ar@
@snowy owl@|@anipar@
@snuff box@|@meluskautar@
@snuff snorter@|@melluurun@
@sock@|@ilupeqsar@
@sod house@|@enpiar@
@soft cloth@|@nerepsun'ar@
@soft melting snow@|@nutaqerrun@
@sole or instep of the foot@|@alu@
@solid ingredient@|@tuwur@
@some other time@|@allami@
@something or someone close@|@mekiyir@
@something to be used as a lace@|@nungirvigkaun@
@something to be used as a shelter@|@asguilitar@
@something to preventing accidents@|@picurlagyalkun@
@son@|@awaqutar@
@son-in-law@|@nengaugar@
@sore@|@pupig@
@sore raw skin@|@callakcug@
@sourdock@|@ciwassar@
@sourdock that grows in freshwater springs@|@niucinar@
@south@|@ungalar@
@southwest@|@nerqig@
@spark plug@|@espaanar@
@spear thrower@|@naggiiquyar@
@spear with four barbs for fishing@|@kapuutet@
@specifically father's sister@|@acagglugar@
@specifically mother's sister@|@anaanarrlugar@
@spectacled eider@|@quagger@
@spent ammunition shell tied to a piece of string@|@qapiamcet'ar@
@spider@|@neguryar@
@spinner toy@|@elevlegcet'at@
@spit meaning places to keep rolling@|@Akagarwit@
@spit of land@|@tapraar@
@spit on the southwestern coast of Nunivak@|@Tuqsum Taprarr'a@
@spoon@|@qassuciar@
@spotted seal@|@issuri, qayigyar, suuri@
@spring@|@kiapaur@
@spring at an east coast bay of Nunivak@|@Nengllinar@
@spring of cold water@|@nengllinar@
@spring seal-hunting camp@|@up'nerkiwig@
@spruce@|@equgpigar@
@square@|@kangiraluryag@
@squirrel@|@qanganar@
@stake for tying a dog@|@kangirta@
@star@|@agyar@
@starfish@|@aggsag@
@starry-flounder@|@uraru@
@steambath house@|@maqiwig@
@steel trap@|@kapkaanar@
@Steller's eider@|@qaciar(ar)@
@stem@|@epu@
@stern of boat@|@elliqeryaram nun'i@
@stern of boat or kayak@|@kingu@
@stern piece fitted to keel@|@canguyalkun@
@sternum@|@qulzmuar(ar)@
@stick for tomcod fishing@|@nuluraun@
@stickleback@|@cukileg@
@still@|@cali@
@stomach@|@aqsig@
@stomach sack@|@anrucillug@
@stone-end scraper used for scraping skin@|@calugciss'un@
@stone-tipped scraper@|@ingciukarer@
@stool@|@tuc'arer@
@stop it!@|@arca@
@stop of some sort which prevents slippage@|@cipegyalkun@
@stop!@|@ang'u@
@storage cache with small door@|@ciqlugar@
@store@|@kipuswig@
@store manager@|@kipuswilliurta@
@story@|@qanengssi, univkangssi@
@story-knife@|@igaruarun@
@stove@|@kenirwig, pelit'ar@
@straight line@|@ingciller@
@strange drifter (person)@|@atertaar(ar)@
@stranger@|@allaneq@
@stream at a bay meaning river of dreams@|@Qawangut Kuigat@
@stream at the interior bay meaning long one@|@Takli@
@stream between the two hills@|@Akulqucug@
@stream in the northeast part of Nunivak@|@Uqnassaar@
@stream meaning a place that smells like feces@|@Anarnissagar@
@stream meaning one with devils@|@Tun'ertulliar@
@stream meaning one with many grayling@|@Culugpaugaleg@
@stream meaning place to get blackfish@|@Taqiggsullret@
@stream meaning place to try to get an erection@|@Tekengcag@
@stream meaning river of mistakes@|@Alarneret Kuigat@
@stream meaning river of Taryurnilzngur@|@Taryurnilzngum Kuiga@
@stream meaning tongues@|@Ulurrug@
@stream meaning waste disposal dump@|@Qanitar@
@stream near Ingrig meaning further area@|@Yaalir@
@stream near Qanitar meaning other one like Yaalir@|@Yaaliqucir@
@stream running meaning poor old river@|@Kuigglugar@
@stringer above caaganret@|@awalitar@
@strip of sealskin to pull kayak cover seam tight@|@palliun@
@striped cloth@|@kumgar@
@sturdy rope for towing heavy loads@|@qamuutarrsun@
@successful fisherman@|@neqculi@
@suddenly crack when bending@|@ipugarte-@
@sugar@|@caarralar@
@summer@|@kiag@
@sun@|@macaq, puqlaner@
@Sunday@|@Agayuner@
@supporting post of bench in kiiyar@|@palan@
@surface@|@qaa@
@swallow@|@tulukarnara'ar@
@swallow (bird)@|@kautuaryar(ar)@
@swan@|@qugyug@
@swing@|@aalukuyar@
@syrup or container of syrup@|@paatak'ar@
@table@|@nerwig@
@tail feather of bird@|@alunar, teqsuqer@
@talkative person@|@kegg'leralzngur@
@tall coarse grass@|@patugpag@
@tall course grass@|@englullinrat@
@tall grass with pink stem@|@pekner@
@tall plant with many smooth@|@atsarrlug@
@tallow@|@kaugar, tunur@
@tanning tool@|@urugun@
@tapeworm@|@qumag@
@taproot of a tree@|@tallirnar@
@tarp of skin or cloth used for shelter@|@qilakutar(ar)@
@task to be done@|@cakngarkar@
@tassel@|@aqevyar@
@tattoo@|@alzngar@
@tattoo on chin@|@tamlurutet@
@tea@|@caayu@
@tea kettle@|@caayirissun@
@teacher@|@elissarista, liissarista@
@tear duct@|@qipallurer@
@television@|@tiiviir@
@temples of the face@|@ayakutarag@
@ten@|@qula@
@ten dollars@|@qultun@
@ten in cards@|@qula@
@tent@|@pelatekar@
@tern@|@teqiyaar(ar)@
@testicle@|@igug@
@thank you@|@quyana@
@Thanksgiving@|@Quyaner@
@that@|@tauna@
@that (not here)@|@tayima-kua@
@that one down there@|@kan'a@
@that one over there@|@ingna@
@that person@|@imna@
@thawed or melted spot in the snow@|@cingalliner@
@the area above@|@qula@
@the area behind@|@kelu@
@the area behind it@|@kellua@
@the area below@|@ket'i@
@the area closest to the wall@|@keluqlir@
@the area surrounding it@|@awati@
@the bay of Asweryagmiut@|@Asweryagmiut Taciat@
@the bay of Ellikarmiut@|@Ellikarmiut Taciat@
@the frontal part of a low pressure weather@|@call'um kengli@
@the future@|@ciuner@
@the lake of Anarnissagar stream@|@Anarnissagam Nanwa@
@the largest lake on Cape Etolin@|@Angenquyugtaleg@
@the largest mountain peak@|@Ing'errlag@
@the mark X@|@cuinarruar@
@the North Star@|@agyarrlag@
