@English@|@Balochi@
@to be married@|@sír-bíagh@
@to be published@|@shing, shing buag@
@to be scattered@|@khurdagh@
@to be silent@|@daf-dáragh@
@to be strong@|@tayt buag@
@to be tight@|@tank buag@
@to be upon@|@ur-biagh@
@to be upset@|@shighín-bíagh@
@to be useful@|@handainagh@
@to bear@|@sehnagh@
@to beckon@|@dast-mechdeagh@
@to become@|@bíagh-ravagh@
@to become hot@|@thafagh@
@to beg@|@pindag, pindagh, pindit@
@to begin@|@shru buag, shru kanag@
@to begin to do@|@khanaghá khafagh@
@to bend@|@Chot bíagh, Chot khanagh@
@to bet@|@shart bandag, shart janag@
@to bite@|@drishagh, drishtha@
@to bleed@|@hon-khashagh@
@to boast@|@daf-janagh, dafá janagh@
@to boil@|@grádhagh, grástha@
@to bore@|@sumb-janagh, sumbag, sumbit@
@to brand@|@dakhta, didhagh@
@to bray@|@zhángagh@
@to breach a wall@|@khátr janagh@
@to break@|@bhorenagh, phrushagh, phrushtha, proshag, proshag, prosht, prosht, prushag@
@to break (1)@|@prusht, sindagh@
@to break a fast@|@rochag proshag@
@to breathe@|@sáh-zíragh@
@to bribe@|@rishwat dayag@
@to bring@|@Áragh, ártha, ávardan, bi-ár, khárán@
@to broadcast@|@talan kanag@
@to brush@|@ropag, ropt@
@to burn@|@sochag, sokhta, soshagh, sotk, suchag, sukhtha, sukhtha, sushagh, sushagh, sutk@
@to burst@|@trakagh@
@to bury@|@púragh@
@to buy@|@bahá, bhá-giragh@
@to cackle@|@tarkagh, tarkatha@
@to call out@|@gwánkh janagh@
@to call together@|@gwáfagh, gwáptha@
@to canter@|@dragagh@
@to carry away@|@baragh, buytha@
@to cast down@|@er-janagh@
@to catch@|@girjagh@
@to chase@|@tachaenag, tachaent@
@to cheat@|@rad dayag, repaenag@
@to chew@|@jágh, jáitha@
@to choose@|@gishainagh, gishaintha@
@to chop@|@gudagh@
@to chop up@|@hadíragh@
@to churn@|@hínzár mathagh@
@to circumcise@|@sunnat kanag@
@to clap hands@|@cháp janagh, tárí janagh@
@to clean@|@saf kanag@
@to climb@|@sar kapag@
@to close@|@bútagh, bútatha, naz-khanagh@
@to clothe@|@poshenagh@
@to collect@|@much-khanagh@
@to come@|@ágh, ákhtha, ámadan, biyá, khán@
@to come back@|@tharagh-ágh, thartha@
@to come down@|@er-ágh@
@to cook@|@gradhagh, grastha, phakká, phashagh@
@to cough@|@kullagh@
@to count@|@lekhagh@
@to cover@|@kajagh, kajatha@
@to cry out@|@taukh janagh@
@to cultivate@|@khishagh, khishtha@
@to cut@|@buragh, buritha@
@to deal@|@Bahar-khanagh@
@to deceive@|@pharámagh@
@to defend@|@Dar-baragh@
@to demand@|@lotagh@
@to descend@|@er-khafagh@
@to die@|@mír, miragh, murtha@
@to dig@|@dighár janagh@
@to dig the ground@|@dighár-janagh@
@to discharge@|@bukhtha, bushkagh@
@to disgrace@|@ber-kanagh@
@to dismiss@|@mokal-deagh@
@to dive@|@obí deagh@
@to divide@|@bahr-khanagh@
@to divorce@|@son dayag@
@to drag apart@|@hur-janagh@
@to draw@|@khashagh, khashtha@
@to draw a line@|@líkh-khashagh@
@to draw a picture@|@taswir kashshag@
@to draw breath@|@sáh zíragh@
@to dress@|@ján-khanagh, poshagh@
@to drink@|@lawáshagh@
@to drink up@|@ting-deagh@
@to drip@|@trimagh@
@to drive@|@hakalagh, hakalatha@
@to drop@|@trapagh@
@to drown@|@budagh, budatha@
@to dry@|@hushagh, hushtha, tapag, tapag, tapt@
@to eat@|@bawar, waragh, wártha@
@to eat one's fill@|@ser kanag@
@to embrace@|@baghl giragh@
@to enter@|@mán-ravagh@
@to escape@|@dar-ravagh@
@to examine@|@Ázmáinagh@
@to exchange@|@mattainagh@
@to expend@|@kapainagh@
@to explain@|@poh-khanagh, sarpad kanag@
@to extinguish@|@thosagh, thosta, thusagh@
@to faint@|@thusagh, thustha@
@to fall@|@drattagh, drattatha, khafagh, khaptha@
@to fast@|@rochag, rochag buag, rochit@
@to favour@|@sámbagh@
@to fear@|@thursagh, thursitha@
@to feed@|@warainagh@
@to fetch@|@zíragh-áragh@
@to fetch water@|@dogh, dotha@
@to fight@|@miyagh@
@to fill@|@phur-khanagh, pur kanag, tallag, tallit@
@to flash in the pan@|@lab-chatagh@
@to flay@|@phost-khashagh@
@to flinch@|@ták-khafagh@
@to fly@|@bál-giragh, udirnu, Udragh@
@to foal@|@wadhí khanagh@
@to follow@|@randa janag@
@to forget@|@gisar-bíagh@
@to forgive@|@rahm kanag@
@to freeze@|@madhagh, mastha@
@to fry@|@talagh@
@to gallop a horse@|@thákhtha, tháshagh@
@to get@|@dast-ágh, dast-khafagh@
@to gird up the loins@|@Saren-bandagh@
@to give@|@bashkagh, bashkatha, dátha, deagh@
@to give a greeting@|@salam dayag@
@to give birth@|@zágh, zátha@
@to give trouble@|@taklif dayag@
@to gnaw@|@kutragh@
@to go@|@ravagh, ravagh, rawag, shut, shutha@
@to go before@|@pesh kapag@
@to go down@|@er-ravagh, er-shafagh@
@to go on tiptoe@|@sraf kanag@
@to go swiftly@|@dranzagh@
@to graft@|@pewand kanag@
@to greet@|@salam kanag@
@to grind@|@drushagh, drushtha@
@to grind up@|@sahag, saht@
@to groan@|@náragh, náritha@
@to grow@|@rodaenag, rodaenag, rodaent, rodaent, rudag, rudhagh, rudhagh, rust, rustha@
@to grow a beard@|@rish darag@
@to growl@|@gurkagh@
@to halt@|@otak khanagh@
@to hang@|@laykagh, laykagh, laykainagh, tangagh@
@to have@|@dáragh, dáshta@
@to have a nocturnal emission@|@shetan buag@
@to hear@|@ashkanagh, ashkutha, bi ashkun@
@to hear news@|@hál-giragh@
@to help@|@Saren-bandagh@
@to hide@|@likagh@
@to hiss@|@sindá khanagh@
@to hunger@|@shudhagh@
@to hunt@|@shikar kanag@
@to imitate@|@nakl-khanagh@
@to imprison@|@el-khanagh@
@to increase@|@vadáinagh@
@to inform@|@soj dayag@
@to interpret@|@tarjuman kanag@
@to irrigate@|@áf-deagh@
@to join@|@gandagh, gandatha@
@to jump@|@drikagh@
@to keep a fast@|@rochag darag@
@to keep watch@|@Jágrú dáragh@
@to kick@|@ladhagh janagh@
@to kill@|@khushagh, khushtha@
@to kiss@|@chukagh@
@to kneel@|@khond bhorainagh, Khond bhorenagh@
@to know@|@zánagh, zántha@
@to laugh@|@khandagh, khanditha@
@to lay@|@Adagh@
@to lay down@|@er-khanagh@
@to lead an army@|@lashkar zíragh@
@to lean@|@Ad-deagh@
@to leap@|@drik-deagh@
@to learn@|@sabak girag, sikhagh, sikkag, sikkit, sykhkhäG@
@to leave@|@bil, bilí, ilagh, ishtha, kishtha, kizagh@
@to let go@|@ilagh-deagh, ishtho-dátha@
@to let land lie fallow@|@sáhí-deagh@
@to lick@|@chatagh, chattha@
@to lie@|@Drogh-bandagh, letagh, lettha@
@to lie down@|@tachk buag@
@to lie in wait@|@Tham-bíagh@
@to light@|@rokhanagh, rokhutha@
@to like@|@pasand kanag@
@to line up@|@rid kanag@
@to lisp@|@lalla khanagh@
@to listen@|@nigoshagh, nigoshtha@
@to look at@|@sel kanag@
@to look out@|@cháragh, cháritha, dargezhagh@
@to low@|@básagh@
@to make@|@razainagh, razaintha, tháhinagh@
@to marry@|@sír-khanagh, sur kanag@
@to measure@|@kach-khanagh@
@to meet@|@gon-khafagh@
@to meet together@|@mán-guzáragh@
@to melt@|@hal bíagh@
@to mend@|@särgäräG@
@to mew@|@míkagh@
@to milk@|@doshagh, dushtha@
@to mix@|@áwár-khanagh, ralagh@
@to mix with@|@Áwár bíagh@
@to mount@|@swar kanag@
@to move@|@lodagh, lodatha, ludagh, ludagh, suragh@
@to neigh@|@hinkagh@
@to offend@|@Azáb-deagh@
@to open@|@bokhtha, bozhagh@
@to overflow@|@ambrezagh@
@to paint@|@rang kanag@
@to pass@|@guzagh, gwastha@
@to pass by@|@guzagh-ravagh@
@to peel@|@chillagh@
@to pick out@|@gíeshagh, gíeshtha@
@to pick up@|@chinagh, chitha@
@to piss@|@mishtha, mizhagh@
@to play@|@ládá khanagh, ládá khanagh, lev khanagh, sáz-kanagh@
@to play a radio@|@redyo janag@
@to play music@|@saz janag@
@to post@|@nyádhagh, nyástha@
@to pound@|@chofagh, chofitha@
@to pour@|@rikhtha, ríshagh@
@to praise@|@galágh, galáitha@
@to prepare@|@sambaragh@
@to protect@|@dar-saragh@
@to publish@|@shing, shing kanag@
@to pull@|@chikagh@
@to punish@|@sizza dayag@
@to pursue@|@resinagh@
@to push@|@Tálan deagh@
@to put in@|@mán-khanagh@
@to rain@|@gwaragh, gwárí, gwartha@
@to raise@|@zíragh, zurtha@
@to rally@|@utalagh@
@to reach puberty@|@rish buag@
@to read@|@wánagh, wántha@
@to recite ritual words@|@takbir dayag@
@to recognize@|@Phajyá áragh@
@to remember@|@Gír-áragh, saragh@
@to remind@|@girár deagh@
@to repair@|@chetagh@
@to retch@|@dil-janagh@
@to return@|@gardagh, gartha, tharagh@
@to riot@|@shor kanag@
@to rise@|@ásagh, ástha, biás, khásán@
@to roar@|@garragh@
@to rob@|@phullagh@
@to rob on the highway@|@dag janagh@
@to rub off@|@latáragh@
@to run@|@phadátha, phadeagh, rumb zíragh, thakhta, thashagh@
@to run (1)@|@tachag, tatk@
@to run away@|@gur-khanagh, ladagh@
@to saddle@|@zen-kanagh@
@to salute@|@hair khanagh@
@to search@|@pat o lot kanag@
@to search for@|@pholagh@
@to see@|@dítha, gind, gindagh@
@to sell@|@shawakhtha, shawashkagh@
@to send@|@dem-deagh, ra dayag, shastagh, shastátha@
@to send away@|@sar-deagh@
@to separate@|@nikragh@
@to set out@|@sar-giragh@
@to sew@|@dokhtha, doshagh@
@to shake@|@lodainagh, mathagh@
@to shame@|@sharminda kanag@
@to shave@|@rish sahag, sahag, sahag, saht, saht, sáinagh, sáintha@
@to shine@|@chilkagh@
@to shoot@|@túfak janagh@
@to show@|@dasagh, dasatha, pesh darag, phedáragh, phedáshta@
@to shrug the shoulders@|@khofagh juzainagh@
@to shuffle@|@táp dayag@
@to sing@|@shayr janag@
@to sit@|@nindagh, nishtha@
@to sit down@|@er-nindagh@
@to skin@|@post janag@
@to slap@|@chapol janagh, shahmat janag@
@to sleep@|@akastha, aksagh, biakas, kaksí, wapsagh, waptha.@
@to slip@|@shitirag, shitirt@
@to smell@|@bo-giragh, shúkagh@
@to smoke a cigarette@|@sigrit kashshag@
@to smother@|@ghattagh@
@to snatch@|@zinagh, zintha, zitha, zítha@
@to sneeze@|@chishagh, chishatha@
@to sniff@|@punshag, punshit@
@to snore@|@gharragh, goghrá janagh@
@to sob@|@jhatkagh, sudkagh@
@to solder@|@dak janagh, dakjanagh@
@to speak@|@gushagh, gushtha, gwashtha@
@to spill@|@richag, ritk@
@to spin@|@bresagh, brestha, resagh, restha@
@to split@|@chák-deagh@
@to spoil@|@vinyainagh@
@to spread out@|@kindagh, kindatha, nishtainagh@
@to spring upon@|@chambaragh, chambaritha@
@to squeeze@|@princhag, princhit@
@to stammer@|@thaltagh@
@to stamp@|@dápurá janagh, tappa janag@
@to stand@|@bosht, istádan, oshtagh, oshtátha@
@to stand up@|@kharo-bíagh@
@to steal@|@duzagh@
@to sting@|@dang janagh@
@to stoop@|@kwántagh@
@to strike@|@janagh, jatha@
@to stumb@|@dháburagh, dháburtha@
@to stumble@|@táphuragh, táphuritha@
@to stutter@|@habkagh@
@to suck@|@mishagh, mishta@
@to surround@|@ber-khanagh@
@to swallow@|@er-baragh@
@to swear@|@saughan zíragh@
@to swear an oath@|@soghind kanag@
@to swell@|@Áphiragh, áphirjnu, áphirta, síagh@
@to swim@|@taragh, taratha@
@to take a bribe@|@rishwat warag, rishwat zurag@
@to take a photograph@|@taswir girag@
@to take an oath@|@sanghan-zíragh@
@to take cover@|@tapag, tapit@
@to take leave@|@mokalainagh@
@to taste@|@mazágiragh@
@to teach@|@sabak dayag, sikhainagh, sikkaenag, sikkaent@
@to tear@|@dinagh, dirjagh@
@to tear up the ground@|@radhagh, rastha@
@to thrash@|@kutagh@
@to threaten@|@dalko-deagh@
@to throw@|@phirenagh, phirentha@
@to thrust@|@phehagh@
@to thunder@|@garandagh, garandatha@
@to tie@|@bandagh, bastha@
@to tire@|@mánagh, mantha@
@to toss up@|@jhapagh@
@to touch@|@dast-láinagh, láinagh, láitha, sak dayag@
@to tour@|@tarrag, tarrit@
@to track@|@saring-janagh@
@to tremble@|@larzagh@
@to trim one's beard@|@r?sh banaenag@
@to turn@|@tarraenag, tarraent@
@to turn back@|@bero-deagh@
@to turn sour@|@phitagh@
@to twist@|@maroragh@
@to understand@|@poh-bíagh, samjag, samjag, samjit, samjit, sarpad buag@
@to unfold@|@tachk kanag@
@to upset@|@Ondo khanagh@
@to use@|@Kárá áragh@
@to use influence@|@shafarast kanag@
@to vomit@|@dil janagh@
@to wait@|@sabr kanag@
@to walk@|@gámá juzagh@
@to wander@|@charagh@
@to wash@|@shodag, shodhagh, shudhagh, shudhagh, shust, shustha, shustha@
@to watch cattle@|@charainagh@
@to wean@|@gwarán dír khanugh@
@to wear@|@sara kanag@
@to weave@|@gwafagh, gwaptha@
@to weep@|@giregh, girentha@
@to whisper@|@suk suk kanag@
@to whistle@|@senzár janagh, síndá janagh, sinzarag, sinzarit@
@to wink@|@chham, chham bhorainagh, Chham bhorenagh@
@to wrap oneself up@|@pir dayag@
@to wrap up@|@pechag, pechit@
@to wring@|@nipúragh, nipúratha@
@to write@|@likhagh@
@to yield up@|@vanijagh@
@tobacco@|@tamákú, tambak@
@to-day@|@maroshí@
@toe@|@phádh-murdán@
@toe strap of sandal@|@sawas band@
@toes@|@phádh-murdánagh@
@together@|@ya-handá, ya-handá@
@together with@|@gon@
@toilet@|@pui@
@tomato@|@tamatar@
@tomb@|@kabr@
@to-morrow@|@nawáshí@
@tomorrow evening@|@nawáshí-begá@
@tongue@|@zawán@
@too many@|@sak baz@
@tool@|@auzár@
@tooth@|@dathán, nesh@
@toothache@|@dathán-dor@
@topsy-turvy@|@shighín@
@torch@|@mashál@
@touch@|@dahagh@
@towel@|@tawal@
@town@|@shahr@
@track@|@saring@
@traitor@|@namak@
@trap@|@talk@
@tray@|@tasht@
@tree@|@darashk, mínhav@
@trial@|@peshi@
@triangle@|@sai-kona@
@tribe@|@raj@
@tributary valley@|@shapch, shep@
@trip@|@sapar@
@trouble@|@dukh, dukh, khishálá, säkki, taklif@
@trousers@|@patlun, shalwar@
@true@|@rást, rást@
@truth@|@rástí, rástí@
@Tuesday@|@ángárá@
@tunic@|@pashk@
@turban@|@phágh, tond@
@turnip@|@gúngrú, zang@
@twelve@|@dwázdah@
@twentieth@|@gístumí@
@twenty@|@gíst@
@twice@|@dobarán@
@twig@|@shawar@
@twisted spirally@|@rops ritchieana@
@two@|@do@
@two days before yesterday@|@phisphairí@
@two-years-old camel@|@mázáth@
@tyrant@|@zorwálá@
@tyre@|@tayr@
@ugly@|@bad-shakl, nuhram@
@unbeliever@|@káfir@
@uncle@|@nákho@
@unclean@|@phalít@
@uncommon@|@ná-paid@
@underground aqueduct@|@kárez@
@underhang of cliff@|@talamb@
@understanding@|@aghlfam, poh, samá, sarpad@
@understood@|@sahi@
@undoubtedly@|@halení@
@uneasy@|@be-árám@
@unfolded@|@tachk@
@unhappy@|@ná-wash@
@unintelligible@|@be-fahmá@
@unjust@|@be-insáf@
@unknown@|@ná-sahí@
@unlucky@|@chapí, kambakht@
@unoccupied@|@be-kár@
@unripe@|@hámagh@
@unripe fruit@|@kílár@
@until@|@tá@
@unweaned@|@shír-wár@
@unworthy@|@ná-láik@
@up to@|@tana@
@up to that time@|@tana wakt@
@up to this time@|@tane wakt@
@upon@|@chakha, pha@
@upper@|@sarbarí, sarína@
@ups and downs@|@jahl-burz@
@urinate@|@peshap kanag@
@useless@|@be-sanátí@
@usury@|@júfá@
@vagabond@|@charokh@
@vale@|@säršäm@
@valley between two ridges@|@tokh@
@variegated@|@hingalo, kambar, khambar@
@vegetable@|@sabzi@
@vehicle cover@|@tát@
@veil@|@burqa@
@vein@|@rag, ragh@
@velvet@|@bakhmal@
@vermin@|@bot, mákúrá@
@very good@|@bathir@
@very lofty@|@burzáthir@
@very small@|@kisának@
@vessel@|@razan@
@vessel for baking bread@|@tawán@
@victorious@|@sob rasag@
@victory@|@sobh@
@village@|@halk, shahr@
@vine@|@drákh@
@violent@|@zorákh@
@violently@|@dan@
@virgin@|@kany@
@visible@|@phedhágh@
@visit@|@sapar kanag@
@voice@|@áwáz, báng, taukh, tawár, tawár@
@vomit@|@shanag, shant@
@vulva@|@kus@
@wages@|@kireh, poriyáh@
@waist@|@sren@
@waistcloth@|@lánk@
@wait for@|@ra charag@
@walk around@|@tarotab kanag@
@walking-stick@|@dast-lath@
@wall@|@bhit@
@war@|@jang@
@war news@|@dáh@
@warm@|@garm@
@warning@|@ágháhí@
@warrior@|@hot, jodh, malandrí, súrah@
@was@|@Ath@
@washerman@|@khatrí@
@washing-basin@|@astawa@
@wasp@|@dembhú, khakhar@
@wasp's nest@|@godhar, khakhar-mánáro@
@watch@|@jágrú@
@water@|@áb, áf, áfs@
@water bottle@|@tanbalu@
@water where the mouth is rinse@|@gulgul@
@water-bag@|@mashk@
@waterfall@|@áf-laghar@
@water-fall@|@laghar@
@waterfowl@|@áf-murgh@
@waterless@|@tiháf@
@water-melon@|@kítagh@
@water-parting@|@sham, shamol@
@watershed@|@áf-shef@
@way@|@pem, ra@
@we@|@má@
@weak@|@be-sek, hína@
@wealth@|@daulat@
@weapon@|@hindí, sändär@
@wear@|@poshag, poshit@
@wear webbing@|@punch bandag@
@webbing equipment@|@pünch@
@wedding@|@sur@
@Wednesday@|@sakaní@
@welcome@|@Xush amdeed!@
@welfare@|@hair@
@well@|@bhágyá, cháth, cháth, chhath, jawániyá, zirih@
@west@|@olah, rochbirkat@
@wet@|@menthagh, tar@
@what?@|@chih@
@wheat@|@gandím@
@wheel@|@phádhagh@
@wheel brace@|@pris@
@when?@|@kadhen@
@whence?@|@ash-koh@
@Where is my room?@|@Mani kat kojaa ent?, Mani kot'i kojaa ent?@
@Where is the bar?@|@Baar kojaa ent?@
@Where is the beach?@|@Saahel kojaa ent?@
@where?@|@bakhú@
@which?@|@kithán, thán@
@while@|@der@
@whinny@|@han-khanagh@
@whinnying@|@han@
@whip@|@koro@
@whirling cloud of dust@|@garphíl@
@whistle@|@siti, siti janag@
@whistling@|@senz@
@white@|@nukrá, saweth@
@white ant@|@Udohí@
@white-faced@|@saghár@
@whither?@|@thángo@
@wholesome@|@sebak@
@wick@|@wat@
@wide@|@prah@
@width@|@prahi@
@wild@|@anjír, hinjir, khohí anjír@
@wild asparagus@|@khalero@
@wild ass@|@gor@
@wild man@|@pasháng@
@wild onion@|@wasar@
@wild species of sinapis@|@sagharkha@
@wild swine@|@syáhen rastar@
@wilderness@|@bewán@
@willow@|@geth@
@wind@|@gwáth@
@window pane@|@shishag@
@windy@|@gwátho@
@winnow@|@pálenagh@
@winter@|@zawistán@
@wire@|@tár@
@wire fence@|@tat@
@wise@|@sár@
@with@|@go@
@with difficulty@|@dukhyá@
@with two turbans@|@dúmandíl@
@without@|@be, sawá@
@witness@|@shahid@
@wolf@|@gurkh@
@woman@|@jan, zál@
@woman's breast@|@gwar@
@woman's petticoat@|@chit@
@wonderful@|@Ajab@
@wood@|@dár@
@wooden arrow@|@gaj@
@wooden chock@|@tarm@
@wooden handcuffs@|@gattí@
@wooden mortar@|@bathlo@
@wool@|@phazhm@
@worm@|@kirm@
@worry@|@pikr, pikr kanag, soch, soch, soch kanag@
@worthy@|@Ábnákh@
@wound@|@tap, thap@
@wounded@|@tapí, zadhagh@
@wretched@|@laghor@
@wretched pony@|@laghoren daddav@
@wrinkle@|@gunj@
@wrist@|@dast-muchh@
@yard arm@|@pilmin@
@yawn@|@obásí@
@year@|@sal@
@year before last@|@peshtapari@
@yearling colt@|@saral@
@yellow@|@zard, zhalokh@
@yellow sweet melon@|@sarda@
@yes@|@hau@
@Yes@|@aow@
@yesterday@|@zí@
@yet@|@taninga@
@yoke@|@jogh, pánjálí@
@yolk of an egg@|@zardo@
@you (plural)@|@shuma@
@young camel from 6 months@|@kotila@
@young male camel@|@hir, kawát@
@young man@|@warná@
@young of animals@|@láwará@
@young unweaned camel@|@suhág@
@zero@|@sifr@
@zinc@|@jist@

