@English@|@Gbari@
@once more@|@de  (adv.)@
@one@|@gbmari  (num.), gbmari  (num.)@
@one thousand@|@kpago atnu  (num.)@
@onion@|@ripasa  (n.)@
@open@|@gù  (v.), guya  (n.), kyaku  (a.), là  (v.)@
@open up (cavity in the soil) to form a hole@|@bmà  (v.)@
@or wall@|@ela  (n.)@
@oracle that detects liars or thieves@|@kpaku  (n.)@
@orange@|@remuri  (n.)@
@orchard@|@kápwì  (n.)@
@origin@|@kunti  (n.)@
@ourselves@|@yidye  (pron.)@
@outdoors@|@ebmì  (n.)@
@outer covering of most food crops@|@funre  (n.)@
@outlet@|@pacenkpe  (n.)@
@outside@|@ebmì  (n.), ekpna  (n.)@
@oval@|@ekun enapiri n.@
@overdo@|@gnasnu  (n.)@
@owl@|@potokun  (n.)@
@owner of farm@|@facugo  (n.)@
@oyster@|@kulu  (n.)@
@pack away@|@ku..ya (v.)@
@packed away@|@kuyari   (a.)@
@pain@|@woshya  (v.)@
@pain (either emotional or physical)@|@basna(sna) (n.)@
@pain on the mouth@|@gbesna  (n.)@
@painful@|@gnagnagna  (a.)@
@palm@|@ºwada  (n.)@
@palm kernel@|@znigba  (n.)@
@palm kernel oil@|@znigbami  (n.)@
@palm leaves@|@kapa  (n.)@
@palm of hand@|@bwada  (n.)@
@palm-wine@|@munge  (n.)@
@pangolin (white-bellied pangolin)@|@kapaca  (n.)@
@pap@|@koko  (n.)@
@paper@|@epa  (n.)@
@parrot@|@aku (n.)@
@partner@|@zanbe  (n.)@
@pass the night@|@layaci  (v.)@
@pass through@|@duya  (v.)@
@patas monkey@|@nakpa kpyanri  (n.)@
@path@|@etso  (n.)@
@pawpaw (carica papaya)@|@kambulu  (n.), yako  (n.)@
@pay a debt@|@gbata  (v.)@
@peel (uncooked tuber)@|@she  (v.)@
@peel off skin@|@fuyari  (v.)@
@pen@|@biro  (n.)@
@pen for animal@|@ego  (n.)@
@penis@|@kpakpa  (n.)@
@penknife@|@shika  (n.)@
@persist@|@kpàkí  (v.)@
@person@|@eza  (n.)@
@person committing morally wrong actions@|@zawulu  (n.)@
@person who guards a farm@|@fagui  (n.)@
@person who leads in collective farmwork@|@gnabe  (n.)@
@person who turns around regularly while walking@|@goyezhini  (n.)@
@person with a rash all over the body@|@ciciyi   (n.)@
@person with no brother or sister@|@egba  (n.)@
@person with protruding teeth@|@nyigatsugo  (n.)@
@persuasion@|@etna  (n.)@
@pestle@|@ebe  (n.)@
@phlegm@|@cikparegede  (n.)@
@photograph@|@foto  (n.)@
@pick (groundnuts@|@tnu  (v.)@
@pick up@|@ku  (v.)@
@picture@|@foto  (n.)@
@piece of curved tree bark for carrying charcoal@|@cigwyi  (n.)@
@pied crow (corvus albus)@|@hankaka  (n.)@
@pig@|@kusu  (n.)@
@pigeon@|@lukpa  (n.)@
@pig-pen@|@kusu'go (n.)@
@piles (infection)@|@nyigbmi  (n.)@
@pineapple@|@nasara lemu  (n.)@
@pity (used with wo)@|@sunsun  (n.)@
@place where a community goes to fetch water@|@edna  (n.)@
@place where pots are fired@|@gnamita  (n.)@
@plait  (knyi tugo to plait hair)@|@knyi  (v.)@
@plant@|@be (v.), bye   (v.)@
@plant (Strychnos spinosa)@|@meme  (n.)@
@plant sp.@|@fabubwi  (n.), fajiji   (n.), gbegbe  (n.)@
@plant sp. (used to cure snake-bite)@|@wasa  (n.)@
@plant sp. [found in river]@|@giwyi  (n.)@
@plant species@|@bwampmi   (n.), bwazhigegeye  (n.)@
@plant used as broom (Sida acuta)@|@tatangiri  (n.)@
@plant with red and white seeds@|@gozhinyafi  (n.)@
@plant with spiky seeds that sticks to things@|@matema  (n.)@
@plantain@|@gbaama  (n.)@
@plantation@|@kápwì  (n.)@
@plantation planted with fruit-trees or bananas@|@kapu  (n.)@
@plastic@|@ete  (n.)@
@plastic container@|@ete  (n.)@
@play@|@bwabwe  (v.), ebwa  (n.)@
@play done by women@|@Gwodo  (n.)@
@playground@|@bmabmi n. (n.)@
@playing@|@bmagnu(ti)  (n.)@
@plead@|@tnawobwa  (n.)@
@pliers@|@kpmari   (n.), pari  (n.)@
@pluck (fruit)@|@ka  (v.)@
@pocket@|@degwu  (n.)@
@poison@|@natse  (n.)@
@pomade (commercially produced)@|@emi tsnitsni (n.), migi  (n.)@
@poor@|@saari  (a.)@
@poor man@|@zagate   (n.)@
@poor person@|@susun  (n.)@
@possess@|@wun  (v.)@
@possibly@|@dodo  (adv.)@
@postpone@|@riwyi  (v.)@
@pot for women to use in fetching water@|@dnashyawun  (n.)@
@Pot with round body and narrow neck@|@nyiwun  (n.)@
@pot: (small pot for cooking soup)@|@shyapa  (n.)@
@pot: clay pot for shea-oil@|@mishyawu  (n.)@
@pot: clay pot formerly used for bathing@|@shyapango  (n.)@
@potash@|@kanwa  (n.)@
@pounded yam@|@egni  (n.)@
@pour@|@ziya (v.)@
@praise-name@|@taki  (n.)@
@prawn@|@cace=caca  (n.)@
@prayer (usually christian)@|@duwa  (n.)@
@praying (usually Muslim)@|@sala  (n.)@
@praying mantis@|@kucinëori  (n.)@
@pregnant woman@|@nubotsugo   (n.)@
@prepare soup@|@ëu  (v.)@
@prepare soup with meat or fish@|@du   (v.)@
@pretend (e.g. when children play games)@|@gbangbe  (a.)@
@price (s.t.) cf. sugbasa to do business@|@cewo  (v.)@
@prick@|@tsun  (v.)@
@pride@|@seena  (n.)@
@private farm@|@nugba  (n.)@
@private parts@|@buga  (n.)@
@probably@|@gbogbo  (adv.)@
@problem@|@rikici  (n.)@
@profit@|@ere  (n.), riba  (n.)@
@promise@|@alikewali (n.)@
@pron. used to mark future tense@|@mà  (pron. 1st pers.)@
@pron. used to mark past tense@|@ma  (pron.1st pers.)@
@proverb@|@º«tsin  (n.)@
@puffer-fish@|@epwi  (n.)@
@pull@|@gni  (v.)@
@pursue@|@nya  (v.)@
@put on the ground@|@ci  (v.)@
@put out green leaves@|@bya  (v.)@
@put s.t. inside@|@go..dna..lo  (v.)@
@put s.t. on its side@|@mici  (v.)@
@pygmy mouse@|@banti (n.)@
@python@|@tgsaku  (n.)@
@question@|@babi (n.), ºeºi  (n.)@
@quickly@|@palapala  (adv.), zeze   (adv.)@
@quiet person@|@sunsunsun  (n.)@
@quietness@|@mashya  (n.)@
@quiver for arrows@|@tsengba  (n.)@
@rabbit@|@nasara'zhi  (n.)@
@radiate@|@bmya  (v.)@
@radio@|@ridiwo  (n.)@
@rag@|@ede cate  (n.), ede gbasanwu  (n.)@
@rain@|@shego  (n.)@
@rain showers@|@shego gbasha  (n.)@
@rainbow@|@shego mana  (n.)@
@rainy season@|@dzungo  (n.)@
@rat@|@boku (n.)@
@rat (general)@|@etsu  (n.)@
@rat: giant ~@|@boteku  (n.)@
@razor-blade@|@epmi  (n.)@
@react@|@kagu  (v.)@
@rear (animals)@|@kpanya  (v.)@
@rear young animals@|@kpa  (v.)@
@receive@|@gwo  (v.)@
@record-player@|@ridiwo  (n.)@
@recover (from illness)@|@sa  (v.)@
@recover breath@|@dna'sun  (v.p.)@
@red@|@knyari  (n.)@
@red pepper@|@jagba kyanri  (n.)@
@redden@|@bmi   (v.)@
@reduce@|@kebma   (v.)@
@reduce amount of s.t.@|@keto  (v.)@
@reduce spread (of a liquid)@|@kewo  (v.)@
@reduce strength@|@gito  (v.)@
@reduce width@|@kesa  (v.)@
@refrain@|@fa  (v.)@
@refuse@|@banzo (n.)@
@refuse heap@|@tnutnu  (n.)@
@relax@|@bwala  (v.)@
@remain@|@ke  (v.)@
@remain inside@|@kedna  (v.)@
@repair@|@jin..ba  (v.p.)@
@repeat@|@deda  (v.)@
@report s.o.@|@ceza  (v.)@
@require@|@dna  (v.)@
@resemblance@|@dogbe (n.), zadogbe  (n.)@
@resemble@|@gbè(do)  (v.)@
@reserve@|@ketu  (v.)@
@rest@|@dasun  (v.)@
@retort@|@kagu  (v.)@
@return@|@de ze kpe  (v.p.), zhni   (v.)@
@revenge@|@gba  (v.), gbata  (n.)@
@reward@|@lada  (n.)@
@rhythm used to dance gadagba@|@lala'nyi  (n.)@
@ribs (no pl.)@|@bala (n.)@
@rice@|@cewyi  (n.)@
@rich person@|@dukari  (n.)@
@riches@|@azeki  (n.), dukya  (n.)@
@ride@|@tu  (v.)@
@ride (horse)@|@gnu  (v.)@
@ridge for crops in farm@|@fula  (n.)@
@right hand@|@bwandye  (n.)@
@right-handed person@|@bwandye  (n.)@
@ring of any type@|@snibwanyi  (n.)@
@ringworm@|@eka  (n.)@
@ripe shea-fruit@|@kombwa  (n.)@
@ripen@|@bmi   (v.)@
@ritual error@|@bazeshin  (n.)@
@river@|@edna  (n.)@
@river-bank@|@dnagbe   (n.)@
@river-shell@|@kpanma  (n.)@
@road@|@zogo  (n.)@
@roast@|@pèná  (v.)@
@roasted food@|@napeye  (n.)@
@roasted yam@|@kpikpiri  (n.)@
@roasting oven for shea-nuts@|@nyando  (n.)@
@robber@|@zade  (n.)@
@roof of building@|@pisankpe  (n.)@
@roof of house@|@pyisankpe  (n.)@
@roof: make a ~@|@bmya  (v.)@
@root@|@kunti  (n.)@
@rope@|@awu   (n.)@
@rope made from raffia palm@|@eku  (n.)@
@rope made from twisted palm fronds@|@yakna  (n.)@
@roselle (Hibiscus sabdariffa)@|@ema  (n.)@
@rot@|@bo   (v.)@
@rotten@|@bodoe (a.)@
@round@|@kululu  (a.)@
@rub@|@tna  (v.), tsni  (v.)@
@rubber@|@ete  (n.)@
@rubbish@|@banzo (n.)@
@rubbish dump@|@tnutnu  (n.)@
@ruin@|@nyabi  (v.)@
@ruler@|@etsu  (n.)@
@rumble@|@de(de) v.@
@rumen@|@bugo  (n.)@
@run@|@butsi  (v.)@
@running@|@etsi  (n.)@
@sack@|@bufu (n.)@
@sacrifice@|@eshya  (n.), sun eshya  (v.p.)@
@sacrifice-song@|@kuci'nyi  (n.)@
@salary@|@epyawo  (n.)@
@saliva@|@menti  (n.)@
@salt@|@ènù  (n.)@
@salty@|@gnagnagna  (a.)@
@sand@|@munja  (n.)@
@sandbank in large river@|@edna gulo  (n.), gulo  (n.)@
@sansa (instrument)@|@gidigbo  (n.)@
@saviour@|@zagni   (n.)@
@say@|@da   (v.), gna  (n.)@
@say again@|@deda  (v.)@
@say farewell@|@gnagbe  (v.)@
@say smth. lightly@|@ma..ebe  (v.p.)@
@scene of frenzied activity@|@gidigba  (n.)@
@school@|@makata  (n.)@
@scorch (leaves when making traditional medicine)@|@nù   (v.)@
@scorpion@|@nabitsi  (n.)@
@scorpion (large type)@|@nabitsi gevun (n.)@
@scorpion: kwali ~@|@kwari nabutsi (n.)@
@secluded place@|@bakpnakpna (n.)@
@secret inner chamber of house where shrine kept@|@pyanubo   (n.)@
@secretively@|@kaka  (adv.)@
@secretly@|@fyafya  (adv.)@
@secretly and rapidly@|@kudukudu  (adv.)@
@sections of market for different commodities@|@egu  (n.)@
@see@|@dye  (v.)@
@see (s.t.)@|@dye..wye  (v.p.)@
@see off (visitor)@|@gnagbe  (v.)@
@seed@|@bere (n.), eºe  (n.), gbere  (n.)@
@seek@|@cin  (v.)@
@seet-stemmed millet@|@mawyi kuci  (n.)@
@select@|@kni  (v.)@
@sell@|@knu  (v.)@
@semen@|@yence  (n.)@
@send@|@tnu  (v.)@
@send a message@|@kna..tnutnu  (v.)@
@send off@|@gbegna  (v.)@
@senegal coucal (centropus senegalensis)@|@kpwekpwe  (n.)@
@senegal wood-hoopoe bird@|@kucilu  (n.)@
@senior brother cousin@|@dagbari  (n.)@
@servant@|@fari  (n.)@
@sesame@|@nufu  (n.)@
@sesame type (used for making soup)@|@putu   (n.)@
@sesame:  black ~  (Sesamum radiatum)@|@duruga  (n.)@
@set a trap@|@pi  (v.)@
@set fire to@|@kuna  (n.)@
@seven@|@kpnaba  (num.), tnaba  (num.)@
@seventh@|@tnabari  (num.)@
@sew@|@ki  (v.)@
@sewer@|@doncigbya  (n.)@
@shade@|@fumba  (n.)@
@shade of a tree@|@nyasere  (n.)@
@shadow@|@dambei  (n.)@
@shake@|@de(de) v., tsna  (v.)@
@shake (object)@|@knu  (v.)@
@shame@|@zunye (n.)@
@share (meat@|@kpá  (v.)@
@share out@|@gna  (v.)@
@sharp sound@|@wurere  (n.)@
@sharpen@|@re  (v.)@
@sharpen to a point (e.g. pencil)@|@di (v.)@
@sharpen tool blade@|@dna  (v.)@
@sharpened@|@didii  (a.)@
@she@|@wo  (pron.)@
@shea-butter@|@komi  (n.)@
@shea-butter tree (Vitellaria paradoxa)@|@kori  (n.)@
@shea-nut@|@eko  (n.)@
@sheep@|@kpninu  (n.)@
@she-goat@|@bunyigo  (n.)@
@shell@|@ºure  (n.)@
@shelled cob of maize@|@wyekoko  (n.)@
@shelter@|@nubwi  (n.)@
@shine (moon)@|@fnu  (v.)@
@shine (sun)@|@wo  (v.)@
@shiny@|@bmare (a.), bmarebmare (a.)@
@ship@|@eya nwani  (n.)@
@shirt@|@ede kpwekpwe  (n.)@
@shock (as an electric fish)@|@do  (v.)@
@shoot an arrow@|@ce etse  (v.p.)@
@short (person@|@temkpe  (a.)@
@shoulder@|@bwapa   (n.)@
@shoulder blade@|@bwapa tsuwun  (n.)@
@shrine@|@kuci  (n.)@
@shrine for the whole village@|@Taazhin  (p.n.)@
@shunt@|@teya  (v.)@
@sibling@|@zadugo  (n.)@
@sick person@|@guma  (n.)@
@sickle@|@rije  (adv.)@
@sickness@|@gunma  (n.)@
@sickness (caused by a masquerade)@|@kuci nubo  (n.p.)@
@side of body@|@bmari  (n.)@
@side of face@|@gnatipe  (n.)@
@silk-cotton tree@|@rimi  (n.)@
@sin@|@bazeshin  (n.), pmá  (v.)@
@since many days@|@fefe   (adv.)@
@sing@|@koni  (v.)@
@sister@|@mangoi  (n.), zadugo  (n.)@
@sit down@|@yashi(se)  (v.)@
@sitting down@|@ese  (n.)@
@situation@|@eºo  (n.)@
@six@|@kpnowi  (num.), tnunwi  (num.)@
@sixty@|@wogma kpe ebi woshi  (num.)@
@size@|@ere  (n.)@
@skin@|@epa  (n.), pata  (n.)@
@skin (animal)@|@fu  (n.)@
@skin an animal@|@fupa  (n.)@
@skink@|@wyishango  (n.)@
@skirt@|@fagba  (n.)@
@skull@|@tugo ºure  (n.p.)@
@sky@|@shengozhi  (n.), shenzhi (n.)@
@slander@|@gnazabo  (v.)@
@slap@|@epmi  (n.), epyi  (n.), kepmi  (v.)@
@slaughter@|@znucya  (v.)@
@slave@|@fenu  (n.)@
@sleep@|@ere   (n.), re..ere  (v.p.), rere  (v.)@
@slice@|@sa  (v.)@
@slightly buttressed tree@|@nakpalagun  (n.)@
@slime@|@edyi  (n.)@
@sloping land@|@bashnishni (n.)@
@slow@|@pate  (a.)@
@slowly@|@pete (adv.)@
@small@|@bírí (a.), knyaknya  (a.), kungbwi  (a.), wuri  (a.)@
@small objects@|@kpetekpete  (n.)@
@small piece of cloth@|@ede sambo  (n.)@
@small snail@|@eka  (n.)@
@smallpox@|@gbeki  (n.)@
@smell@|@etsun  (n.), mya  (v.), tsun  (v.), tsunmya  (n.)@
@smell s.t.@|@mya ....etsun  (v.)@
@smithy@|@tswaago  (n.)@
@smoke@|@ewu  (n.), sni  (v.)@
@smoking-pipe@|@eshya  (n.)@
@smooth@|@logologo  (a.)@
@smooth skin@|@pata logologo  (n.)@
@smother@|@tagbo  (v.)@
@smth. boiled@|@natwi  (n.)@
@smth. hot@|@nagwi  (n.)@
@smth. light or weightless@|@fula (n.)@
@smth. meant to attract attention@|@ºewyedyedye  (n.)@
@smth. plentiful@|@gwodo  (n.)@
@smth. practical@|@kyaku  (a.)@
@smth. thrown away@|@ciyari  (n.)@
@smth. unexpected@|@gwontsutsu  (n.)@
@smth. used for boiling@|@natwyna  (n.)@
@snail: giant African land ~@|@kpago  (n.)@
@snail-shell@|@kpagodu  (n.)@
@snake (general)@|@ewa  (n.)@
@snap@|@bmá..ya  (v.)@
@snot@|@ecni  (n.)@
@so that@|@dye  (conj. part.), ke  (conj.)@
@soak in water@|@da   (v.)@
@soap@|@ceko   (n.)@
@socket joint@|@knuri  (n.)@
@socks@|@eca  (n.)@
@softly@|@fya  (v.)@
@sole of foot@|@bwada  (n.)@
@solitary@|@benu (n.)@
@some@|@kiki  (a.)@
@some other day@|@fedozhi  (v.)@
@somebody else@|@zado  (pron.)@
@someone@|@eza  (n.), zaza(za)  (n.)@
@someone lying helplessly@|@lase  (n.)@
@someone who weeps all the time@|@ºwutingba  (n.)@
@son@|@nugu  (n.), nuwu  (n.)@
@song@|@enyi   (n.)@
@songs sung for the Gbmunu ritual@|@gbmunu'nyi  (p.n.)@
@soothsayer@|@ºeri  (n.)@
@sore@|@eti  (n.), tsukpa  (n.)@
@sorghum: sweet ~ (Sorghum mellitiferum)@|@ewyi kuci  (n.)@
@sorrel@|@ema  (n.)@
@sorrowful situation@|@besnani  (n.)@
@Sorry!@|@Bwaawye (excl.)@
@sound used to answer a call@|@hni!  (excl.)@
@sound used to indication reservation@|@hmmn!  (excl.)@
@soup@|@anyi  (n.), enyi  (n.)@
@soup made from fresh cowpea leaves@|@bwande (n.)@
@soup made from the boiled seed of kari tree@|@kari funre  (n.)@
@soup of these seeds@|@knando  (n.)@
@sour@|@mashamasha  (a.)@
@sour: become ~@|@ma  (v.)@
@source@|@kunti  (n.)@
@speak@|@da   (v.), gna  (n.)@
@spear-grass (Imperata cylindrica)@|@eto  (n.)@
@speciality@|@egba  (n.)@
@specifically@|@ciri  (a.)@
@speech@|@eza  (n.)@
@spice used in local medicines@|@tsumwa  (n.)@
@spider@|@jebojebo  (n.)@
@spider (large@|@ganadigidi  (n.)@
@spider-web@|@jebojebonwun  (n.)@
@spindle for spinning cotton@|@manzeri  (n.)@
@spine@|@budiri  (n.)@
@spirit in the form of a snake@|@dnuwa  (n.)@
@spirit of a person who has recently died@|@bantu (n.)@
@spiritual experience@|@bawyedye (n.), sheri  (n.)@
@spit@|@bu menti  (v.p.), ce manti  (v.p.)@
@split@|@gnado  (v.)@
@split (firewood)@|@sa  (v.)@
@spoil@|@nyabi  (v.)@
@spongy@|@cisociso  (adv.)@
@spread out@|@gamiba (v.)@
@spread out cf. gamiba@|@ga  (v.)@
@sprout@|@bya  (v.)@
@squat@|@yashi kuya  (v.p.)@
@squatting position@|@kuya  (n.)@
@squeeze@|@pì  (v.)@
@squirrel@|@gbwadnu  (n.)@
@squirrel: animal like a ~@|@nange   (n.)@
@stalk of guinea-corn@|@kpekpe  (n.), kuci kpekpe  (n.)@
@stamp on@|@pmà  (v.)@
@stand up@|@gnigne  (v.)@
@standard-wing nightjar@|@ere  (n.)@
@star@|@kudu  (n.)@
@star-apple (chrysophylla albida)@|@dudu  (n.)@
@start a motorbike@|@ka...'na  (v.p.)@
@steal@|@wyi  (v.)@
@step on@|@dna(..ya)  (v.), pmà  (v.)@
@stew made from boiled herbs@|@lulu  (n.)@
@stibnite (used to decorate the face)@|@teze  (n.)@
@stick@|@cimwa  (n.), shari  (n.)@
@stick together@|@fedo  (v.), fefe  (v.)@
@stilt-walkers@|@Bandoko (p.n.)@
@stink@|@etsun  (n.)@
@stink-ant@|@bmadnubmadnu  (n.)@
@stir@|@bwi  (v.)@
@stomach@|@nubo  (n.)@
@stomach complaint common in children.@|@kupaso  (n.)@
@stone@|@kuta  (n.)@
@stone (of fruit)@|@gbere  (n.)@
@stony sand@|@jata  (n.)@
@stool@|@cinkpwe  (n.), emi (n.), sashinya  (n.)@
@stop doing (s.t.)@|@fa  (v.)@
@stories told to children at night@|@etsin  (n.)@
@straight@|@ko  (a.)@
@straighten out@|@keco  (v.)@
@stranger@|@geri  (n.)@
@stream@|@edna biri  (n.), nuwa  (n.)@
@strength@|@kala   (n.)@
@stretch@|@gni  (v.)@
@stretch (rope etc.)@|@tá  (v.)@
@strike@|@de  (v.), ke  (v.), luwo  (v.)@
@strike (hard object)@|@ke..ya  (v.)@
@strike (s.o.)@|@du   (v.)@
@striped frog@|@sunya  (n.)@
@strong taste@|@shigu  (n.)@
@strong: be ~@|@gnana  (n.)@
@stuff in (obj. into container@|@kucu  (v.)@
@stump of a tree@|@kunti  (n.)@
@style of drumming for the eka dance@|@laga  (n.)@
@suck up@|@da   (v.)@
@suffering@|@ezhin  (n.)@
@sufficient: be ~@|@mwa  (v.)@
@sugar-cane@|@kuci  (n.)@
@sulk@|@ma  (v.)@
@summit of hill@|@tida  (n.)@
@sun@|@wyango  (n.)@
@sunset@|@wyizosa   (n.)@
@surpass@|@gna  (v.), pe  (v.)@
@surplus: be in ~@|@cezna (v.)@
@swallow@|@mi  (v.)@
@swamp-grass and mat made from it@|@ezhin  (n.)@
@sweat@|@wyenpe  (n.)@
@sweat-fly@|@wyesungo  (n.)@
@sweep@|@fni  (v.)@
@sweet@|@zhigbezhigbe  (a.)@
@sweet pepper@|@jagba kpeto  (n.)@
@sweet potato@|@dunku  (n.)@
@sweet type)@|@gbantsi cita  (n.)@
@swell up@|@sni  (v.)@
@swollen part of body@|@basnisni (n.)@
@sympathy@|@besna (n.)@
@table@|@tebu  (n.)@
@taboo@|@lakni  (n.)@
@tadpole@|@tugo lakpalakpa  (n.p.)@
@tail of animal@|@tsantsi  (n.)@
@tail-fin of fish@|@tseta  (n.)@
@tailor@|@dekii  (n.), nyakiyi  (n.)@
@tailoring@|@deki  (n.)@
@take@|@ku  (v.), la  (v.)@
@take (a certain direction)@|@da   (v.)@
@take all of smth. (countable objects)@|@kpma  (v.)@
@take care of@|@nwabwa  (v.)@
@take down (hanging object)@|@ka  (v.)@
@take effect (of hunger)@|@gnu  (v.)@
@take fire from a fireplace@|@kena (v.)@
@take note@|@nwawye   (v.)@
@take smth. from the top of smth. else@|@shní  (v.)@
@talk@|@eza  (n.)@
@tall@|@nakpalagun  (n.)@
@tamarind (Tamarindus indica)@|@ëari  (n.)@
@tangled up@|@cisociso  (adv.)@
@tape-worm from animals@|@eze  (n.)@
@taste@|@towo  (v.), wo  (v.)@
@tasteless@|@cisociso  (adv.), ladae  (a.), ladaeladae  (a.)@
@teach s.o. a lesson@|@gnudna  (v.)@
@tear@|@saya  (v.)@
@tears@|@wyenuwa  (n.)@
@temple@|@gnatipe  (n.)@
@ten@|@nyaawo  (num.)@
@tendon@|@edi  (n.)@
@tenth@|@wori  (num.)@
@terminalia spp.@|@kpari  (n.)@
@termite@|@eka  (n.)@
@testes@|@pyiri  (n.)@
@that@|@hnya  (dem.)@
@that day@|@feri  (adv.)@
@that one@|@deri  (dem.)@
@that other@|@dede  (dem.)@
@themselves@|@badye (pron.)@
@there@|@enya  (n.)@
@they@|@ºa (pron.)@
@thicket@|@cikna  (n.)@
@thief@|@wyigbe  (n.)@
@thigh@|@bozhingo  (n.), bwaaka  (n.)@
@thin tubular gourd@|@dungu(lu)   (n.)@
@thin: very thin ~@|@kasnuri  (n.)@
@thing@|@enya  (n.)@
@think@|@mwi(..bo)  (v.)@
@third@|@cari@
@thirteen@|@wogaaca  (num.)@
@thirty@|@wogaaca  (num.), wogaca  (num.)@
@this@|@hni  (dem.)@
@thorn@|@ekna  (n.)@
@though@|@co  (part.)@
@thought@|@ºamunu  (n.)@
@three@|@nca  (num.), nca  (num.)@
@three-striped mouse (Hybomys trivirgatus)@|@wazhigege  (n.)@
@thresh (guinea-corn)@|@ëu  (v.)@
@threshold@|@zogo  (n.)@
@throat@|@bèrè (n.)@
@throw@|@ce   (v.)@
@throw away (cf. ya to lose)@|@ciya  (v.)@
@throw down@|@laba  (v.)@
@thumb@|@bwanyilagba  (n.)@
@thumb-print a document (in lieu of signature)@|@tubwa  (v.)@
@thumb-ring used by archers@|@cego   (n.)@
@thunder@|@shegogba   (n.)@
@tie@|@fnado   (v.)@
@tie up (with rope)@|@pa  (v.)@
@tiger-fish (Hydrocynus vittatus)@|@cagnari   (n.)@
@tiger-nut@|@epwa  (n.)@
@tighten@|@yi  (v.)@
@tilapia@|@epe  (n.)@
@time (also as an affix -sa in compounds)@|@esa  (n.)@
@time of one's life@|@dandasa  (n.)@
@tire out@|@ëo  (v.)@
@tired: be ~@|@beëo (v.), re   (v.)@
@title@|@eye  (n.)@
@title (corresponds to Hausa Madaki)@|@Tswadu  (p.n.)@
@title (traditional Gbari title)@|@Pada  (p.n.)@
@title of leader of the youths in a village@|@Sekya  (p.n.)@
@to come out of@|@gbmi  (v.)@
@to crack a joke@|@ma..ebe  (v.p.)@
@to get stuck@|@kaka  (v.)@
@to go out (w. pl. subject)@|@kna  (v.)@
@to pain@|@sna  (v.)@
@to patrol@|@gwoma  (v.)@
@to refuse@|@nabo  (v.)@
@to remark@|@nwawye   (v.)@
@to spoil@|@jin gbma (v.)@
@to take out@|@gbmi  (v.)@
@to tend@|@nwabwa  (v.)@
@toad@|@bwaago  (n.), gbwago  (n.)@
@tobacco@|@taºa  (n.)@
@today@|@nini  (adv.)@
@toe@|@pítà bwani  (n.)@
@tomorrow@|@esugo  (adv.)@
@tongs@|@pari  (n.)@
@tongue@|@menta  (n.)@
@too close (to the present)@|@tsuntsun  (a.)@
@tooth@|@nyiga  (n.)@
@top of a pen@|@kpere  (n.)@
@topple over (trees)@|@miya  (v.)@
@tormenting@|@gnagnagna  (a.)@
@tortoise@|@kpagu=kpaku  (n.)@
@touch@|@to(bwa)  (v.)@
@town@|@ezhi  (n.)@
@trad. title of a man of the Azagobi society@|@Sagba   (n.)@
@trade@|@ewo  (n.)@
@tradition@|@knunu  (n.)@
@traditional believer@|@shnya sunyi  (n.)@
@train@|@eya knini    (n.)@
@trample@|@dna(..ya)  (v.), pmà  (v.)@
@trap@|@esni  (n.)@
@travelling@|@ezna  (n.)@
@tree@|@cimwa  (n.), gbwegbwe  (n.), sori  (n.)@
@tree  (Daniellia oliveri)@|@dnari  (n.)@
@tree (Moringa oleifera)@|@gandi  (n.)@
@tree planted for shade in villages.@|@gbari  (n.)@
@tree sp (bark used to poison fish)@|@sari  (n.)@
@tree sp (rough-bark)@|@sunsunya biri  (n.)@
@tree sp.@|@kutungbari  (n.)@
@tree sp. (gardenia sp.)@|@katambiri  (n.)@
@tree sp. 'like Isoberlinia'@|@párì  (n.)@
@tree species@|@bmari (n.), karikpakpa  (n.), tawunri  (n.)@
@tree species (Acacia nilotica)@|@babaruwa (n.)@
@tree species.@|@kwoge  (n.)@
@tree that has recently flowered@|@nshni  (n.)@
@tree with a hard-shelled yellow@|@mimi  (n.)@
@tree with edible fruit@|@buúrí  (n.), gogoi  (n.), lagba  (n.)@
@tree-root@|@yagbegbere  (n.)@
@tree-squirrel@|@pawyi  (n.)@
@treetop@|@esni  (n.)@
@tribal mark@|@etsa  (n.)@
@trivia@|@ºewuzu  (n.)@
@trouble@|@rikici  (n.)@
@trouble: be in ~@|@gbwi  (v.)@
@trousers@|@enya fifi  (n.), wando  (n.)@
@true@|@dyegwe  (a.)@
@trumpet@|@gbegun  (n.)@
@tsetse fly species@|@efe  (n.)@
@tsetse-fly that worries cattle@|@nago'fe  (n.)@
@turkey@|@tolotolo  (n.)@
@turn@|@pmi  (v.)@
@turn aside@|@bma  (v.)@
@turn inside out@|@bu  (v.)@
@turn out of your path@|@mare  (v.)@
@turn upside down@|@pmibma  (v.)@
@turtle@|@iyala  (n.)@
@twelve@|@wogaba  (num.), wogaba  (num.)@
@twenty@|@woshi  (num.), woshi  (num.)@
@twin@|@eba  (n.)@
@twins@|@epo  (n.)@
@twist@|@pmi  (v.)@
@two@|@mba   (num.), mba  (num.)@
@two hundred@|@kpago  (num.), kpago  (num.)@
@type of paper@|@citapulu  (n.)@
@type of ritual drumming@|@egu  (n.)@
@type of sacrifice@|@gbankaci  (n.)@
@type of vision (either sex@|@zeba  (n.)@
@typhoid@|@bantna (n.)@
@ululate@|@tiwu  (n.)@
@ululation@|@ewu  (n.), wurere  (n.)@
