@Mam Todos Santos@|@English@
@n-el tniky'@|@to calculate, to estimate, to plan, to scheme, to understand, to comprehend, to recognize@
@n-elk'u'j@|@to be dying (The man is dying of cancer)@
@n-ichin@|@swimming@
@n pakb'an@|@he (she) is preaching@
@na@|@mam (senora in Spanish)@
@na'b'il@|@feeling, foreboding, memory, presentment@
@na'j@|@over there, that (That cat stole my cookie), there@
@na'j Dios@|@prayer@
@na'j qajaw@|@the ceremony, the ritual@
@na'l@|@to be aware of, to feel, to imagine, to notice, to perceive, to pray, to realize, to recite, to remember, to remind (Qa tzaj tna'na weye You remind me), to sense ( I went outside to sense the fragrance of the roses), to worship@
@na'l Dyos@|@to pray@
@na'm@|@not yet, the function of this adverb is to indicate that an action has not yet been realized@
@na'mb'il@|@bad words, poorly chosen or offensive words@
@na'mx@|@lacking, not yet, adverb of negation leaving the possibility that circumstances could change@
@na'mxtaq@|@before, there still wasn't any, there wasn't any@
@na'nb'il@|@offensive words@
@na'nx@|@not yet, lack@
@na'tz@|@there, over there@
@na'x@|@it is lacking, still not@
@na'x nb'int yola tuj tyola@|@I haven't learned your language yet@
@na'xh@|@potato@
@na'xtzan@|@still not (na'x means 'still not'.  I am unsure why they added the tzan 'well' as it does not appear to change the meaning)@
@nab'b'il@|@memory@
@nab'il@|@abstract concept of reason, all that is done using the brain, idea, manner, motive, reason, to guess or fortell, to have full consciousness or awareness of consequences, to keep a good conscience, to think, way of thinking, worship@
@nab'l@|@everything that one does using their brain, to have conscience, idea, reason, abstract concept of reason, way of thinking, to guess, wisdom, intelligence, memory, remember@
@nab'lil@|@invent, create something new@
@nab'lilte@|@to create it@
@nach@|@bad, doesn't work, no good, ugly@
@nach'@|@flat (a flat nose comes from holding it to the grindstone), opossum@
@nachsil@|@to get worse (ie to get sicker)@
@naj@|@soon, to break down, to confuse, to decompose, to die, to disappear, to err, to forget, to get lost, to lose, to make a mistake, to misplace, to ruin, to spend, to suffer greatly the effects of something@
@naj tu'n@|@action of making someone suffer by hitting or mistreating them (The mosquitos are making me suffer)@
@naja-@|@occupy a house@
@najab'@|@deep water, lake, sea@
@najal@|@to live (focuses on residing somewhere), to reside, place of residence, to inhabit, to unite in matrimony (the act of performing this ceremony)@
@najalina@|@I am living (in a place)@
@najamna@|@smoked, smoky, charateristic of objects that have been placed in smoke@
@najan@|@residing, living@
@najayal@|@family@
@najb'en@|@use (I use this tub for washing dishes), utilize, uses (this tub has many uses), to serve the purpose of@
@najb'entaq@|@used (the tub was used to clean fish)@
@najb'il@|@a place to live@
@najchaj@|@far@
@najchaq@|@far@
@najchayolb'il@|@telephone@
@najchi'j@|@tomorrow@
@Najchi'j qo xel tuj aq'untl@|@Tomorrrow we will go to work (Tomorrow we go out to work)@
@najchi'jxi'@|@until tomorrow@
@najel@|@to commit suicide (?)@
@najen@|@to get lost, to come to an end, to finish off@
@najil@|@to lose, to forget, to misplace, to confuse, to make a mistake, to err, to break down, to decompose, to ruin, the act of losing something physically or morally@
@najl@|@to live@
@najle'n@|@permanent married life (Tb'anil nnajle'ne ja'lin My married life is very good now)@
@najn@|@rogue, rascally, bandit, outlaw, mischievous, naughty@
@najna@|@crafty, bandit, outlaw, naughty, impish, mischievous@
@najsab'il@|@object in which to hide something or make it disappear (Put the clothes in the hamper), means or instrument to make something disappear (We use an eraser to make unwanted marks on our papers disappear)@
@najsal@|@to erase, to forgive, to make someone lose or forget something (It was enough to make a meeker man lose patience), to make something disappear, to pardon, to spend or waste@
@najsam@|@pardon, excuse me, sorry@
@najsama@|@excuse (me us etc), pardon (me us etc), please (as in - Please may I have some?)@
@najset@|@destroyed (Jej anjel nya b'a'n che kb'el najset te junxmaj - The bad angels will be destroyed forever)@
@najsil@|@disappear, to confuse, to forgive, to make someone lose or forget something (It was enough to make a meeker man lose patience), to pardon, vanish@
@najsimil@|@to forget@
@najtnam@|@homeland, native@
@nak'b'al@|@for a group of people or animals to be still without making noise@
@nak'b'il@|@peace, silence, the absence of any noise@
@nak'eb'il@|@to be still without making noise@
@nak'ul@|@explain carefully, an orderly orientation, clarify, organize in a more restricted space, this word emphasizes the process or putting things in order and that it is done in a more careful and technical way, organize, put in order@
@nak nak@|@way of walking little by little and with the head ducked down (like a cat stalking its prey)@
@naka@|@near@
@nake'@|@to bow down (She was bowed down from the heavy load on her back)@
@nakli@|@to be standing still with the head facing down (thinking or sad etc)@
@nal@|@to worship, to venerate@
@Nalo@|@Reginald (Reginaldo)@
@nam ja'@|@big house@
@nan@|@grandmother, ma'am, mom, mother, term used in some variants of the south of Guatemala to refer to the grandmother@
@nana@|@lady@
@nantz@|@Hernandez (last name)@
@nanya'@|@grandmother@
@napitzaj@|@broccoli@
@napix@|@turnip@
@napixh@|@turnip@
@napx@|@a wild edible turnip like green@
@napxh@|@turnip@
@naq@|@that, that one, this@
@naq'-@|@accustomed to (naq'- is a positional root)@
@naq'et@|@indicates that the subject under discussion is a habitual action or state etc, to get accustomed to something, to have the custom of doing something, to make a habit of something, to usually do something@
@naq'etil@|@to get accustomed to something, to get used to something@
@naq'li@|@to be accustomed to something, to be familiar with something@
@naq'tza@|@teach@
@naq ju'nqa k'wal@|@all of those boys@
@naq ju'nqa xjal@|@all those people @
@naqa'@|@near, close@
@naqach@|@fence, milepost, boundary marker (a gap used to separate properties)@
@naqaku@|@near@
@naqaku'@|@near, someplace not very far from another place or object (I live close to my brothers)@
@naqch@|@far@
@naqchaq@|@far, it is far@
@naqwit@|@perhaps, maybe@
@naqxix@|@that very one, always@
@naranch@|@corn that is immature or just ripening, corn recently harvested that still tastes like fresh corn when cooked@
@nasyon@|@nation (kykyaqil qe nasyon - all nations - all of them)@
@natob'@|@button@
@natxk'ajil@|@doze, nod off, nap@
@naw@|@howling of dogs@
@nawan iyaj@|@he she plants seeds@
@nawil@|@to meow, mew@
@nayaj@|@left (left hand or left turn etc)@
@nb'anq'ab'e@|@my right hand@
@nb'ant@|@can, are able to, is able to@
@nb'aqala@|@my bone (part of my body such as shin bone)@
@nb'aqile@|@my bones@
@nb'eya@|@my road@
@nb'i'na@|@I hear, I heard@
@nb'iya@|@my name@
@nb'iye@|@I am called, my name is@
@nb'onkpi'ne@|@I knocked down a fat person@
@nbesine@|@my neighbors@
@nch'ume@|@my grass@
@nchejin@|@he or she is riding a horse@
@nchi@|@third person plural absolutive with the progressive marker 'n', they (carrying out a progressive action like they were walking toward me), them (progressive)@
@nchi'j@|@tomorrow@
@nchi'jxa@|@until tomorrow@
@Nchi'jxi qo yolin@|@We will talk tomorrow (N - continuing action marker chi'j - tomorrow xi - future marker qo - we yolin - talking)@
@nchi'ya@|@mine, me, I@
@nchi kapeyin@|@they are drinking coffee@
@nchi tz'ib'in@|@they are writing@
@Nchib'in k'wal yol tuj k'uxb'il@|@The children listen to the radio@
@nchib'jale@|@my body@
@nchij@|@tomorrow@
@nchijyon@|@they are looking for, they are searching for@
@nchik'ele@|@my blood@
@nchiky'ela@|@my blood@
@nchimele@|@my husband@
@nchin@|@I am, I was@
@nchin b'isane'@|@I am sad@
@nchin jawq'ojina@|@I got mad@
@nchin jyona jun xjal@|@I am looking for a person@
@Nchin jyone' jun u'j@|@I am looking for a book@
@nchin onine'@|@I am helping@
@nchin sipa'ne'@|@I am dividing it out@
@nchin ximane'@|@I am thinking@
@nchinjapina@|@I am arriving at the top.@
@nchinjyona@|@I am looking for, I am searching for@
@nchitzalaj k'wal@|@the children play, the children have fun@
@nchk'ele@|@my blood@
@nchmane@|@my grandfather@
@nchmile@|@my husband@
@nchokaxha@|@my thread, my thread (referring to a fine thread)@
@Nchon taq'il nqula@|@My throat is sore (paining it hurt my neck)@
@nchulala@|@my sapodilla (zapote in Guatemala)@
@nchwinqila@|@my life@
@nchwinqlale@|@my life, me life@
@ne'@|@baby, little one, small, child@
@ne'ch@|@small, characteristic of people or animals or other small things@
@ne'j@|@later, wait!@
@ne'jxa nik'y@|@understand@
@ne'l@|@sheep@
@ne'xh@|@baby, toddler@
@ne'xhil@|@time of childhood of a living being@
@neb'e-@|@savor@
@neb'eb'al@|@any kind of food that is made to accompany tortillas, food@
@nej@|@in a while, later, to go ahead of the others, to overtake, to pass, to wait@
@nej ju'l@|@the first cleaning done in a corn crop@
@neja@|@wait@
@nejb'al@|@to go ahead of, to put someone or an animal in front of someone or another animal (They put the ram in front to guide the sheep)@
@nejenel@|@authority, director, female director, mayor, the highest authority in a municipality@
@nejenel aq'untl@|@master worker@
@nejil@|@to get ahead, advance@
@nejinil@|@guide, leaders or principals of a group or community@
@nejli@|@ahead of@
@nejnel@|@to get ahead, advance@
@nejsel@|@to anticipate, to pay@
@nejxi'@|@adverb meaning until later@
@nek'uxb'il@|@large knife for cutting meat, meat cleaver@
@nel@|@to be, to pass@
@nemas@|@everyone else (los demas sp)@
@nemastl@|@the rest (others)@
@nenil@|@to visit, to spy on someone out of jealousy, to watch (or spy on) someone that you don't trust (due to jealousy), to spy on someone indirectly or from a hiding place due to jealousy (The man is spying on his wife because he is jealous) @
@neq'chil@|@pile up, this word implies a more sudden disintegration or destruction than neq'il and less orderly, this word implies that the integration is realized in groups of persons or things, to destroy, to disintegrate, to get together, to integrate, to join, to join in a group, to tear down@
@neq'il@|@focuses more in the pile that is destroyed and is stronger and done less carefully than xitil, to organize, to put in order, to put something in good condition in ample space, to put something in good condition in ample space (She separated the wood so it would dry)@
@neq'li@|@piled up@
@neqa'@|@near, close@
@neqa'ka@|@a little close@
@netz'@|@small@
@netz' wexj@|@shorts (for outer wear)@
@ni@|@small@
@ni'm@|@exclamation oof! as from sudden exertion or a blow to one's body, umph (exclamation)@
@ni'q@|@suckling lambs, suckling piglets@
@ni'xa@|@a few@
@nijun@|@none@
@nik'@|@challenge, understand, learn, know@
@nik'ajchaq@|@to be in the middle of something (He stood in the middle of the road)@
@nik'ajchaqil@|@center, abstract noun that indicates the central part of something@
@nik'al yol@|@liar@
@nik'b'eb'il@|@food (any kind of food served with tortillas), instrument that is used to remove the first taste of something that is cooking to check the seasoning@
@nik'b'el@|@test, to test if a food is done or seasoned properly, try out@
@nik'b'en@|@things that are not true, what has been invented by someone (gossip), what others say@
@nik'b'il@|@means or instrument that is used to make things up or invent things (If you go out walking they will use that to make up something about you)@
@nik'il@|@to invent, to make, to invent something new@
@nik'ilyol@|@to invent things that are not true, to lie, to make things up@
@nik'jan@|@half@
@nik'jan q'ij@|@measurement used to quantify the time of a labor (On Sunday we work only half of the day), half-day@
@nik'ul@|@an orderly orientation, clarify, explain carefully, order, organize, organize in a more restricted space, this word emphasizes the process or putting things in good order and that it is done in a more careful and technical way, to place something somewhere, to put in order@
@niky@|@idea, theory@
@niky'@|@idea, thought, mentality, theory@
@niky'aj@|@center@
@niky'al yol@|@liar@
@niky'b'eb'il@|@food@
@niky'b'el@|@to taste, to sample, to test, to try out, to savor@
@niky'b'il@|@to taste, to sample, to test, to try out, to savor@
@niky'b'itz@|@portion of food@
@niky'il@|@to calculate, to comprehend, to estimate, to examine, to explore, to investigate, to keep score, to plan, to point out, to probe into something, to recognize, to scheme, to show, to try, to understand, to wager@
@niky'il yol@|@to throw words, a person who tells lies, liar@
@niky'jan@|@half@
@niky'janchaq@|@half each (They each got half of the candy)@
@niky'jen@|@midway, halfway, middle@
@niky'pun@|@what size?@
@niky'sil@|@divide in half@
@niky'tzil@|@to recognize, to identify, to know exactly who a person is@
@niky'xa@|@scarce, little@
@nim@|@a lot, big, large, many, more, much@
@nim a'@|@stream, river, lots of water@
@nim chej@|@big horse@
@nim ja@|@big house@
@Nim kyajb'en tzaj qe@|@Pines are very useful (or literally Very they important pines)@
@Nim ma b'ant qu'n@|@We did a lot@
@Nim ntzojin at wi'ja@|@I am coughing a lot@
@nim poqlaj@|@desert, place or land that is unpopulated or uninhabited@
@nim q'ij@|@party, fair@
@nim t-xe'@|@deep@
@Nim tajb'en mejb'il@|@The mat is very useful@
@Nim tajb'en pop@|@The mat is very useful@
@nim tib'aja'@|@ship@
@nim toj@|@wide, object that can fit a lot of things inside, spacious@
@nim toklen@|@important, very important, most important, special, greater, powerful, more valuable, privileged@
@nim toklene@|@glory@
@nim toq@|@long space of time or prolonged (We waited a long time before he showed up)@
@nim tqan@|@long (literally 'big its foot')@
@nim twe'@|@tall, tall (stature)@
@nim twitz@|@ample surface of objects, big its face, linens that are wider than long, wide@
@nim tx'yan@|@big dog@
@nim txe'@|@deep@
@nima@|@river@
@nima'@|@river@
@nima Jordan@|@river Jordan@
@nimach'la'j@|@iguana@
@nimachmeky'@|@ostrich@
@nimal@|@big, important, plenty, something that is very big, to obey, to exhalt, to honor, to respect, to pay attention to, to value something, to believe, to honor, to heed, to demonstrate respect and submission to a person or law etc, to believe something respect it and willingly obey it (this is the essence of what nimal means), a believer, it, the @
@nimalob'aj@|@plantain@
@nimaltib'@|@pride@
@nimaq@|@great, big, large@
@nimaq ab'j@|@large rocks@
@nimaq chej@|@large horses@
@nimaq ja@|@big houses@
@nimaq ja'@|@big houses@
@nimaq jal@|@large ears of corn@
@nimaq tx'yan@|@big dogs@
@nimaq tze@|@big trees@
@nimaq witz@|@big hills or mountains, volcano@
@nimaqchaq@|@wide@
@nimaxar@|@vase@
@nimb'il@|@belief, faith, something that allows a person to get puffed up with pride (accolades from others or higher education etc)@
@nimchaq@|@many different, many things@
@nimil@|@a believer, faithful, loyal, obey, to heed, to honor, to pay attention to, to accept and obey a law or order, to believe, to worship, to respect, to value something, to believe something respect it and willingly obey it (this is the essence of what nimil means), to demonstrate respect and submission to a person or law etc, to exaggerate, to exhalt, to finish something, to pay something off@
@nimil tib'@|@person who presumes or is excessively prideful@
@nimin@|@big, large@
@nimixix@|@a whole lot, very much, a great deal@
@nimka'@|@too much, too many, enough@
@nimkutl@|@many other (nim 'many' - ku is a directional meaning 'down' - tl is an enclitic meaning 'other')@
@nimkyix@|@shark@
@nimpalaj@|@expression used to indicate modesty about something you have done, it was nothing, no problem, you're welcome@
@nimpatzan@|@well it's not much (nim means much pa means even and tzan means well) @
@nimq'ij@|@big day, fair (noun), party@
@nimq'ijil@|@people who attend parties or fairs (We had very poor attendance at the fair Sunday)@
@nimqe@|@a lot, many, nim means a lot the qe pluralizes the subject (there are 'many birds' flying in the park)@
@nimqe'xchaq@|@many different things@
@nimsa@|@make big@
@nimsab'il@|@praises@
@nimsal@|@to augment, to extend, to praise, to grow (Manimax tqan a' - The river grew), to amplify, to make larger, the most general term for growing or augmenting, make big@
@nimsil@|@to augment, to extend, to praise (Qman Dios nqo nimsin tb'iy Our Father God we praise your name), to grow, to amplify, to make larger, the most general term for growing or augmenting, make big@
@nimsil k'u'j@|@to advise strongly, to encourage, to exhort, to urge strongly@
@nimtwe'@|@tall@
@nimtzi'@|@toucan@
@nimx@|@abundant, extensive, lengthy@
@nimx maj@|@many times, several times, lots of times@
@nimxcha@|@different@
@nimxchaq@|@many different, many different things, many different ways@
@nimxix@|@too much, too many, enough@
@nimxix toklen@|@most high, highest@
@nin ab'j@|@large rock@
@nin jal@|@large ear of corn@
@nin q'ij@|@party@
@nin tze@|@big tree@
@ninq'ij@|@party, the fair@
@nintz@|@very big (nintz tnam a big city), a lot, very much@
@Nintz xjal e' ul@|@A lot of people came (A lot person they came)@
@nintzku'@|@big, quality and characteristic of things that are large in size@
@ninwab'il@|@restaurant@
@ninwitz@|@volcano@
@nipan@|@go@
@niq@|@piglets only a few days old@
@niq'etil@|@to become accustomed to something, to make a habit of something, to have the custom of doing something, to usually do something, indicates that the subject under discussion is a habitual action or state etc@
@niq'l@|@people or things that are gathered in one place, things that are in a pile@
@niqaku@|@near@
@nis@|@to have plugged nostrils@
@nitx'al@|@to leave suddenly, to go suddenly@
@nitx'il@|@to leave suddenly, to go suddenly@
@nitz tnam@|@city@
@nitztnam@|@city@
@niw@|@dirty@
@niwax@|@become dirty, get dirty@
@niwil@|@dirtiness, uncleanliness@
@niwiwin@|@melts easily@
@niwj@|@to melt, to dissolve, to thaw@
@niwjsal@|@to melt, to dissolve@
@niwsil@|@to get dirty@
@nix@|@hurry, quickly, hurry up@
@nixtamal@|@cooked corn used for making tortillas@
@niyx@|@very little@
@nja'@|@it isn't@
@njab'@|@lake, deep water@
@njay'@|@my house (variant)@
@njaya@|@my house@
@njaye@|@my house@
@njchaq@|@far@
@njone@|@I cut@
@njunilxe xhin@|@just me, only me, by myself@
@nk'a'ya@|@my drink@
@nk'aj@|@old, used@
@nk'ant twutz@|@eyes open (they knew the details before hand so they went into the situation with eyes open)@
@nk'itze@|@with me, next to me@
@nk'oja@|@my mask@
@nk'u'je@|@my heart, my stomach@
@nk'ub'ente@|@contents@
@nk'wa'le@|@my son (this is what the father would say)@
@nk'wa'ne@|@I drank (drank if preceded by 'ma'), I drink@
@nk'wale@|@my son@
@nka@|@near@
@nkolokol@|@step by step@
@nku@|@like this, like that, nku indicates that one thing is the same as the other@
@nku'j@|@a combination of particles that indicate that something seems to be (It looks like that is my son walking over there), looks like, seems like@
@nku'jo@|@a combination of particles that indicates something is like something else (Don't do it like those people do it), like, the same as@
@nku'tzan@|@this word is composed of 'n' which is a marker indicating a progress in action (ing) then the absence of a person marker indicating 'we' then ku' which is a directional meaning down indicating that the action remains with the speaker and 'tzan' an enclitic meaning then or well (ya nku'tzan qxi'mana Now we were thinking)@
@nku'x@|@going down@
@nkub' jb'al@|@raining, rain is coming down@
@nkuxa@|@my leg@
@nky'ajchaq@|@center, middle@
@nky'ajchaqil@|@the middle or center of something@
@nkykyine@|@my ear, my ears@
@nlaq'o'na@|@I will buy@
@nlaq'o'ne@|@I bought@
@nlay@|@can't, it is not possible@
@nlipan@|@flying@
@nlipan tuj chik'ul@|@flying in the forest@
@nlo'n@|@he or she is eating fruit@
@nlo'ya@|@my fruit@
@nlo'ye@|@my fruit@
@nloq'aja@|@my purchase@
@nma'na@|@I tell or I say (n- -a 'first person singular markers meaning 'I' ma- 'say' 'n 'directional suffix)@
@nmak@|@long as in hair, corn or weeds@
@nman@|@my father, sir@
@nmana@|@my father@
@nmane@|@my father, my parents@
@nmane'@|@my father@
@nmaq@|@big@
@nme'ale@|@my daughter (said by a man)@
@nme'le@|@my daughter@
@Nmeltz'aje' nwi'ya@|@My head is spinning@
@nmilonsqal@|@weighing potatoes@
@Nmitzon k'wal.@|@The boy cuts and paints.@
@nmoja@|@my double thread@
@nmyale@|@my daughter@
@nnane@|@my mother@
@nne'xhile@|@my childhood@
@nninq'ije@|@my party@
@no'j@|@a sacred day on the Mayan calendar@
@No'j tb'i@|@He is called No'j@
@no's@|@elephant@
@no'xh@|@cocoon@
@no'xk'ux@|@train (railroad train)@
@noj@|@fill, full, to fill up, meet@
@nojana@|@full@
@nojna@|@full@
@nojni@|@full@
@nojni txol@|@tourist, visitor, a person that is walking on a public road, pedestrian@
@nojnin@|@full@
@nojsa@|@fill it@
@nojsab'il eyb'aj@|@dental filling@
@nojsal@|@he that fills something (She will fill the glasses with water), to fill, to fill something to overflowing, to fill up, to heap up@
@nojsan@|@to fill@
@nojsel@|@to fill (the chilis are filled with cream cheese - he filled the hole with putty), to fill (the chilis are filled with cream cheese)@
@nojsil@|@to fill, to fill up, to heap up, to fill something to overflowing@
@noktz@|@entrance@
@nop@|@tropical tree with a thick trunk that has small seeds wrapped in a type of cotton (Silk cotton tree)@
@noq@|@imperative preventing an action, no, just, only@
@noq'@|@cotton, cotton plant, cotton thread, crying (noq' tk'wal crying her child), thread@
@noq'il@|@thread that is used for a particular end (I need thread to hem my jeans)@
@noq a@|@conjunction that is more or less the same as 'but' in English, it is just that, nothing more than, but@
@noq aju'@|@but@
@noq ch'intl@|@almost@
@noq qit@|@only at times, only sometimes@
@noq txi' tb'incha'na@|@you are not going to do that@
@noq tza'nx@|@just as if@
@noqanx@|@just@
@noqax chib'ajka@|@meat that is just so-so@
@noqit b'a'n@|@If (he she it or I) could@
@noqti'@|@surprise@
@noqtzan@|@but, just, only (noq means 'only'. I am unsure why they added the tzan 'well' as it doesn't appear to add anything to the meaning of noq)@
@noqwit@|@introduces a clause that would or would not have happened if something else would have happened first (We would have came had you asked - or - If they had taken care of the garbage the dog would not have strewn it over the yard)@
@noqx@|@all of a sudden, by chance, just, only, suddenly, so suddenly (The deer appeared out of nowhere and I hit him), right away, chance, accidental@
@noqxix@|@only, just (as in that's all they did or they just sat down), barely (We were barely able to get it done)@
@notz'@|@calf@
@noy@|@term of endearment used by fathers in reference to their daughters, term used by young men to refer to a young woman@
@npasa@|@my hat@
@npatz'ana@|@my sugarcane@
@nq'antze'ye@|@my alder (tree or wood)@
@nq'o'na@|@I give, I gave, I made (I made you do it)@
@nq'o'ne@|@I left, I gave, I put@
@nq'ob'e@|@my arm, my arms, my hand, my hands@
@nq'ojan@|@he or she is mad@
@Nq'olb'inx Wana toj najchayolb'il@|@Joan is calling on the telephone@
@nq'one@|@I gave, I give@
@nqa@|@close@
@nqa'n@|@my foot@
@nqaku'@|@near, close@
@nqana@|@my foot@
@nqane@|@my leg, my legs, my foot, my feet@
@nqayin@|@near, close@
@nqesj@|@cut, scratch@
@nqo'n@|@permanent teeth are coming in (children)@
@nqo kyim@|@we are dying@
@nqo sqa'yine'@|@we are drinking atol de elote (a thick drink made with young corn diluted with water or milk)@
@nqo tijen@|@we are growing old@
@nqo tze'ne@|@we were laughing@
@nqo ximen@|@we are thinking (exclusive)@
@nqo yab'te@|@we are getting sick@
@nqokamb'an@|@we (are) winning@
@nqopin@|@it is shining@
@nqul@|@we came (n is a progressive tense marker - q is the first person plural ergative marker - ul means 'come' or 'arrive here')@
@nqule@|@my neck@
@nqusj@|@is harboring resentment or holding a grudge@
@nsaky'pu'ne@|@I scare (Noq jun xwit' xtaq' k'wal tej sokx nsaky'pu'ne - The boy jumped when I scared him' or literally 'Just one jump gave boy when I scared him)@
@Nsch'in tal txin u'j.@|@The little girl reads.@
@nsemile@|@my shoulder, my shoulders@
@nsi'ya@|@my firewood@
@nsich'ina@|@you are smoking (second person singular)@
@ntaname@|@my town@
@ntaq'@|@to give@
@ntate@|@my father@
@nti@|@there is not, there are not@
@nti'@|@a past action that was not carried out, nothing, negation particle that indicates that something does not exist (there is no water), there isn't, negates verbs in the nonpotential and nonimperative@
@Nti' matz'el ntziya ti'j ttx'otx'a@|@I don't want your land@
@Nti' nchintana b'a'nxax@|@I can't sleep@
@nti' ntna'n@|@he or she is unconscious@
@Nti' wipana@|@I feel weak@
@nti'wt@|@if I hadn't (If I hadn't gone, who knows what might have happened)@
@nti alil@|@light as in light weight@
@nti talil@|@light as in light weight@
@ntintoqe'@|@I was there@
@ntna'n@|@it feels (either currently or an action that occurs repeatedly over a long period of time ie. speaking of a bad headache you might say- nku'j kelil peq'chaj ntna'n -It feels like it is going to explode)@
@ntxa'ne@|@my nose@
@ntxan@|@my nose@
@ntxaye@|@my mom@
@ntxo'we@|@my jacket@
@ntxu'ye@|@my mother@
@ntxu'ye'@|@my mother@
@ntxuqan@|@pain, sensation of pain@
@ntxuye@|@my mother@
@ntzaj@|@coming (to me)@
@ntzalaj@|@happy, content@
@ntzalaja@|@you are happy (singular)@
@ntzika@|@my older brother@
@ntzike@|@my brother, my sister@
@ntzikya@|@my older sister@
@ntziya@|@my mouth@
@ntziye@|@my mouth@
@ntzlinin sjenky@|@the guitar emits sound@
@nu'chsal@|@to make something small (She used the small muffin tins for banana muffins)@
@nu'la@|@ruta plant that is a genus of strongly scented evergreen subshrubs that grow in Guatemala and the Mediterranean region@
@nu'msil@|@to moisten or soak (in reference to clothing)@
@nu'xh@|@baby@
@nub'b'il@|@instrument used to dampen or soak something (I use this degreaser to presoak my work clothes)@
@nub'il@|@to soak or dampen (She dunks her donuts in the milk)@
@nuch@|@little, small@
@nuch'@|@small@
@nuch tqan@|@short (literally 'small its foot)@
@nuchchaq@|@small ones@
@nuchqe@|@they are small@
@nuchqine@|@I was small, I am small@
@nuchu@|@small@
@nujsam@|@to forgive@
@nujsama@|@forgive me, pardon me@
@nuk@|@only, only just@
@nuk'il@|@explain carefully, an orderly orientation, clarify, organize in a more restricted space, this word emphasizes the process or putting things in order and that it is done in a more careful and technical way, organize, put in order@
@nuk'uk'un@|@easy to organize or keep, organizable@
@nuk'ul@|@arrange, person that puts things in order, to put in order@
@nuk'ul tokya'j@|@space laboratory@
@nuk'ul tqanil@|@person that explains something carefully and systematically@
@nuk ntxuy itz'@|@only my mother is alive@
@nuk nux@|@just a bit@
@nuk ul tokya'j@|@space laboratory@
@nuk yab' kena@|@I am just sick@
@nukul tqanil@|@to explain how to do something step by step, to explain something in an orderly or systematic way@
@num-@|@tranquil (positional root that means tranquil)@
@numaj@|@to faint, to lose consciousness@
@numb'al@|@to make someone be quiet (stop talking), to calm someone down@
@numeb'il@|@to be quiet, to keep silent@
@numil@|@quiet@
@numin@|@still not (He is still not here), not yet@
@numj@|@weary, worn out, fatigued, tired, faint, exhausted@
@numjil@|@to weary, to wear out, to fatigue, to tire, to faint, to exhaust oneself, numjil emphasizes a person's attitude rather than the effects of being tired etc, to slowly lose strength (His cold weakened every day till he was better), to lower the volume of music little by little@
@numl@|@quiet, silent@
@numli@|@the state of being silent (It was silent in the hall when we entered)@
@numsil@|@to rinse@
@numtz'ajil@|@to quiet down, to lower the volume of your voice or sound equipment@
@numtz'al@|@to silence, to hush (They hushed the audience by motioning with their arms), to end something abruptlly (I had to stop working when I cut my finger)@
@nuqil@|@to stretch@
@nuqpaj@|@to relax or loosen something that is stretched out@
@nuqpil@|@to relax or loosen something that is stretched out@
@nus@|@small faced, baby with a thin face@
@nutz@|@junior, younger brother with the same name as the older@
@nutz'@|@small child@
@nutz'pa@|@small hand bag or shoulder bag used for travel@
@nux@|@a bit, little, small@
@nuxh@|@baby, small@
@nwakaxha@|@my cattle@
@nwatzelaya@|@personally (I went to call him personally)@
@nwexa@|@my pants@
@nwi'@|@my head@
@nwi'ye@|@my head@
@nwik'il@|@my cooking pot@
@nwixha@|@my cat@
@nwtan@|@he sleeps, sleeping@
@nxajb'aya@|@my shoe@
@nxb'oja@|@my friend@
@nxi'@|@going@
@nximan@|@thinking@
@nxinaqila@|@my man@
@nxjalala@|@my people@
@nxjalile@|@my neighbor@
@nxko'yya@|@my tomato@
@nxmilale@|@my body@
@nxmilale'@|@my body@
@nxmulq'ab'e@|@my ring@
@Nxo'n txin jun ab'aj@|@The girl throws a rock@
@nxob'xa@|@to frighten me@
@nxu'jala@|@my wife@
@nxu'jale@|@my wife@
@nxu'jile@|@my wife@
@nya@|@there is not, there are not, it isn't, no, adverb of negation@
@nya'@|@it isn't, negates direct agents or the recipient of the action and statives, to not be@
@nya' b'a'n@|@no good, incorrect@
@nya' kuj@|@weak, fragile@
@nya' kyekya@|@not yours@
@nya' kyeya@|@not yours@
@nya' txolb'i'n@|@unorganized, disordered@
@nya' txu'txjal@|@make unhappy, displease@
@nya' tz'aqli@|@incomplete@
@nya' wen@|@it isn't good, not correct, not good, wrong (There is something wrong with my land)@
@nya'junx@|@unequality (condition or circumstance of not having the same quantity or quality value or form as something else or that is different in one or more aspects)@
@nya'ka yaj@|@it could be, lest@
@nya'kuj@|@it looks like@
@nya'lojo@|@it can't be, out of conformance with something@
@nya'wt@|@if there hadn't been, if it hadn't been for@
@nya'ya@|@my grandmother@
@nya'yil@|@dehydrator@
@Nya at@|@isn't here (in response to a question like 'Is your mother here?')@
@nya at ntate@|@my father isn't here@
@Nya ate'@|@They aren't @
@nya ate' ntate@|@my parents aren't (in a place)@
@Nya ate' ntzike@|@My older brothers are not here@
@nya ax tok@|@lie, it is not true, not certain@
@Nya ax tok jlu@|@This is not true (or not certain)@
@nya b'a'n@|@bad, not good@
@nya chiwel@|@easy, not difficult@
@Nya chjo'n twi' u'j lu@|@There is no charge for this publication (No paying on publication this)@
