@English@|@Irish Gaelic@
@magnanimous@|@móraigeanta@
@magnet@|@maighnéad@
@magnificent@|@thar barr@
@magnify@|@formhéadaigh@
@magnifying glass@|@gloine formhéadúcháin@
@magnitude@|@méid@
@magpie@|@meaig@
@mahogany@|@mahagaine@
@maid@|@cailín@
@maiden name@|@ba de mhuintir Bhreatnach í@
@mail@|@post@
@mail order@|@postdíol@
@mailbox@|@bosca poist@
@maim@|@ciorraigh@
@main@|@príomh ceann@
@main road@|@bóthar mór, mórbhóthar@
@mainframe@|@mór-ríomhaire@
@mainland@|@mórthír@
@mainstay@|@crann taca@
@mainstream@|@cuilithe@
@maintain@|@coinnigh@
@maize@|@min@
@majesty@|@mórgacht@
@major@|@maor@
@Majorca@|@Mallarca@
@majority@|@móramh@
@make@|@déan@
@make believe@|@níl ann ach cur i gcéill@
@make up@|@smideadh@
@make up remover@|@glantóir smididh@
@makeshift@|@leithscéal@
@malaria@|@maláire@
@Malaysia@|@An Mhalaeisia@
@male@|@fireannach@
@malevolent@|@drochaigeanta@
@malfunction@|@mífheidhm@
@malice@|@mailís@
@malign@|@caith anuas ar@
@malignant@|@urchóideach@
@mall@|@malla, slow@
@mallacht@|@curse@
@mallet@|@máilléad@
@malpractice@|@míchleachtas@
@malt@|@braich@
@Malta@|@Málta@
@mám@|@yoke@
@mammal@|@mamach@
@mammoth@|@mamat@
@mammy@|@man@
@man@|@fear@
@man hour@|@daonuair@
@man made@|@de dhéantús@
@mana@|@portent, sign@
@manach@|@monk@
@manage@|@d’éirigh léi@
@managing director@|@stiúrthóir bainistíochta@
@Manchester@|@Manchain@
@mandarin@|@mandairín@
@mane@|@moing@
@mangle@|@basc@
@mango@|@mangó@
@mangy@|@clamhach@
@manhandle@|@cargáil a thabhairt do dhuine@
@manhole@|@dúnpholl@
@manhood@|@aois fir@
@manhunt@|@tóraíocht@
@mania@|@máine@
@maniac@|@máineach@
@manicure@|@lámh-mhaisiú@
@manifest@|@taispéain@
@manifesto@|@forógra@
@manipulate@|@láimhsigh@
@mankind@|@an cine daonna@
@manner@|@caoi@
@mannerism@|@dóigh@
@manoeuvre@|@bog@
@manor@|@mainéar@
@manpower@|@daonchumhacht@
@mansion@|@mainteach@
@manslaughter@|@dúnorgain@
@mantelpiece@|@matal@
@manual@|@láimhe@
@manufacturer@|@déantóir@
@manure@|@leasú@
@manuscript@|@lámhscríbhinn@
@Manx@|@Manannach@
@many@|@a lán, mórán@
@maoin@|@gift@
@maol@|@bald@
@map@|@léarscáil, léarscáil@
@maple@|@mailp@
@mar@|@loit@
@marathon@|@maratón@
@marbh@|@dead@
@marble@|@marmar@
@marc@|@target. goal@
@marcach@|@horseman, rider@
@march@|@máirseáil@
@March@|@Mí Márta@
@March (month)@|@Márta@
@mare@|@láir capall@
@margarine@|@margairín@
@margin@|@imeall@
@marigold@|@ór Muire@
@marijuana@|@marachuan@
@marina@|@muiríne@
@marine@|@mara@
@marital@|@stádas pósta@
@mark@|@smál@
@market@|@margadh@
@market research@|@taighde margaidh@
@marksman@|@aimsitheoir@
@marmalade@|@marmaláid@
@maroon@|@bheith fágtha i bponc@
@marquee@|@ollphuball@
@marriage@|@pósadh@
@marriage certificate@|@teastas pósta@
@married@|@pósta@
@married couple@|@lánúin@
@marrow@|@smior@
@marry@|@pós@
@Mars@|@Mars@
@marsh@|@seascann@
@marshal@|@marascal@
@martyr@|@mairtíreach@
@marvel@|@iontas@
@Marxist@|@Marxach@
@marzipan@|@prásóg@
@mascara@|@mascára@
@masculine@|@fireann@
@mash@|@brúigh@
@mashed potatoes@|@brúitín@
@mask@|@masc@
@mason@|@saor@
@masquerade@|@téigh i riocht@
@mass@|@aifreann, toirt@
@mass media@|@na meáin chumarsáide@
@massacre@|@ár@
@massage@|@suathaireacht@
@massive@|@oll as cuimse@
@mast@|@crann@
@master@|@máistir@
@master plan@|@máistirphlean@
@masterpiece@|@sárshaothar@
@mat@|@mata, neamhlonrach@
@match@|@lasán@
@matchbox@|@bosca lasán@
@mate@|@comrádaí@
@material@|@ábhar@
@maternal@|@máthartha@
@maternity@|@máithreachas@
@maternity dress@|@gúna máithreachais@
@maternity hospital@|@ospidéal máithreachais@
@mathematics@|@matamaitic@
@matinee@|@nóinléiriú@
@matriculation@|@máithreánach@
@matrimony@|@pósadh@
@matrix@|@maitrís@
@matron@|@mátrún@
@matter@|@ábhar@
@matter of fact@|@fuarchúiseach@
@matters@|@cursaí@
@mattress@|@tocht@
@mature@|@aibí@
@maul@|@clamhair@
@mausoleum@|@másailéam@
@mauve@|@bánchorcra@
@maverick@|@éan corr@
@maximum@|@uasmhéid@
@may@|@d’fhéadfadh sé teacht@
@May@|@Bealtaine@
@maybe@|@seans@
@Mayday@|@gairm cabhrach@
@mayhem@|@cíor thuathail@
@Mayo@|@Maigh Eo@
@mayonnaise@|@maonáis@
@mayor@|@méara@
@maze@|@lúbra@
@me@|@mé, mise@
@meá@|@balance, scales@
@meabhair@|@memory, mind@
@méadaigh@|@increase, multiply@
@meadhg@|@whey@
@meadow@|@clún, móinéar@
@meagre@|@gortach@
@meáigh@|@weigh@
@meal@|@béile@
@meall@|@ball, beguile, charm@
@mealtime@|@am béile@
@mean@|@sprionlaithe@
@meander@|@bheith ag caismirneach@
@meaning@|@séis@
@meantime@|@idir an dá linn@
@measles@|@bruitíneach@
@measly@|@scallta@
@measure@|@tomhais@
@meat@|@feoil, feoil@
@Meath@|@An Mhí@
@Mecca@|@Meice@
@mechanic@|@meicneoir@
@medal@|@bonn@
@meddle@|@do ladar a chur i@
@media@|@meáin@
@median@|@airmheán@
@mediate@|@déan eadráin@
@medicine@|@leigheas, míochnú@
@medieval@|@meánaoiseach@
@mediocre@|@lagmheasartha@
@Mediterranean@|@Meánmhuirí@
@medium wave@|@an mheántonn@
@medley@|@meascra@
@meek@|@ceansa@
@meet@|@cas, cas le@
@mega@|@meigea@
@megabyte@|@meigibheart@
@megaphone@|@callaire@
@melancholy@|@gruaim@
@mellow@|@méith@
@melody@|@fonn@
@melon@|@mealbhacán@
@melt@|@leáigh@
@member@|@ball, comhalta@
@memento@|@cuimhneachán@
@memoirs@|@cuimhní@
@memorandum@|@meamram@
@memorial@|@leacht@
@memory@|@meabhair@
@menace@|@bagairt@
@mend@|@deisigh@
@menial@|@sclábhaíochta@
@meningitis@|@meiningíteas@
@menopause@|@sos míostraithe@
@menstruation@|@míostrú@
@mental@|@intinne@
@mention@|@tagairt@
@menu@|@biachlár@
@mercenary@|@santach@
@merchandise@|@earraí@
@merchant@|@ceannaí@
@merchant bank@|@banc marsantach@
@merchant navy@|@loingeas trádála@
@mercury@|@mearcair@
@mercy@|@trócaire@
@mere@|@le barr áidh@
@merge@|@cónaisc@
@meringue@|@meireang@
@merit@|@fiúntas@
@mermaid@|@maighdean@
@merry@|@suairc@
@merry go round@|@áilleagán intreach@
@mesh@|@mogall@
@mesmerize@|@cuir faoi dhraíocht@
@mess@|@prácás@
@message@|@scéala, teachtaireacht, teachtaireacht@
@metal@|@miotal@
@metaphor@|@meafar@
@mete out@|@dáil riar@
@meteorology@|@meitéareolaíocht@
@meter@|@méadar@
@method@|@modh@
@Methodist@|@Modhach@
@methylated spirit@|@biotáille mheitileach@
@metre@|@méadar@
@mettle@|@mianach@
@Mexico@|@Meicsiceo@
@micro@|@micriríomhaire@
@microchip@|@micrishlis@
@microfiche@|@micrifís@
@microfilm@|@micreascannán@
@microphone@|@micreafón@
@microprocessor@|@micreaphróiseálaí@
@microscope@|@micreascóp@
@microwave@|@oigheann micreathoinne@
@mid@|@lár@
@midday@|@meán lae@
@middle@|@lár@
@middle aged@|@meánaosta@
@Middle Ages@|@na Meánaoiseanna@
@middle class@|@meánaicmeach@
@Middle East@|@An Meánoirthear@
@middle name@|@ainm láir@
@middleman@|@meáncheannaí@
@middleweight@|@meánmheáchan@
@midge@|@míoltóg@
@midget@|@abhac@
@midnight@|@meán oíche@
@midst@|@i lár@
@midsummer@|@lár an tsamhraidh@
@midway@|@leath bealaigh@
@midweek@|@lár na seachtaine@
@midwife@|@bean ghlúine@
@might@|@neart@
@migraine@|@mígréin@
@migrant@|@imirceach@
@mild@|@séimh@
@mile@|@míle@
@milestone@|@cloch mhíle@
@military@|@míleata@
@militia@|@míliste@
@milk@|@bainne@
@milk chocolate@|@seacláid bhainne@
@milk man@|@fear bainne@
@milk shake@|@creathán bainne@
@Milky Way@|@Bealach na Bó Finne@
@mill@|@muileann@
@milligram@|@milleagram@
@millimetre@|@milliméadar@
@million@|@milliún@
@mime@|@mím@
@mimic@|@aithriseoir@
@mince@|@mionaigh@
@mince meat@|@mionra torthaí@
@mince pie@|@pióg mionra@
@mind@|@intinn, intinn@
@mine@|@mo cheannsa@
@mine (coal)@|@mianach@
@mineral@|@mianrach@
@mineral water@|@uisce mianraí@
@mingle@|@dul i measc@
@miniature@|@mion@
@minibus@|@mionbhus@
@minim@|@ceathrú@
@minimal@|@íos@
@minimum@|@íosmhéid@
@miniskirt@|@mionsciorta@
@minister@|@aire, ministéir@
@mink@|@minc@
@minor@|@mionúr@
@mint@|@miontas@
@minus@|@míneas@
@minute@|@nóiméad, nóiméad@
@miracle@|@míorúilt@
@mirage@|@mearú@
@mirror@|@scáthán@
@mirth@|@meidhir@
@misadventure@|@míthapa@
@misapprehension@|@míthuiscint@
@misappropriate@|@cúbláil@
@misbehave@|@bheith dána@
@miscalculate@|@déan mí-áireamh@
@miscarriage@|@breith anabaí@
@miscellaneous@|@éagsúil@
@mischief@|@diabhlaíocht@
@misconception@|@míthuiscint@
@misconduct@|@mí-iompar@
@misdemeanour@|@míghníomh@
@miser@|@sprionlóir@
@miserable@|@ainnis@
@misfire@|@loic@
@misfit@|@éan corr@
@misfortune@|@mí-ádh@
@misgiving@|@amhras@
@misguided@|@ar míthreoir@
@mishap@|@taisme@
@misinform@|@tabhair saobheolas@
@misinterpret@|@bain míchiall as@
@mislead@|@míchomhairle a chur ar dhuine@
@misnomer@|@saobhainm@
@misplace@|@rud a ligean amú@
@misprint@|@dearmad cló@
@miss@|@caill@
@Miss@|@Iníon@
@misshapen@|@anchumtha@
@missile@|@diúracán@
@mission@|@misean@
@missionary@|@misinéir@
@misspent@|@óige caite ar an drabhlás@
@mist@|@ceo@
@mist]@|@smúit@
@mistake@|@dearmad, meancóg@
@mistletoe@|@drualus@
@mistress@|@bean luí@
@mistrust@|@bheith in amhras ar@
@misunderstand@|@bain míthuiscint as@
@misuse@|@mí-úsáid@
@mitch@|@bheith ag múitseáil@
@mitigate@|@maolaigh@
@mitten@|@miotóg@
@mix@|@measc@
@mixed grill@|@griolladh measctha@
@mixed up@|@trí chéile@
@mixture@|@meascán@
@mm@|@mm@
@moan@|@éagaoin@
@moat@|@móta@
@mob@|@gramaisc@
@mobile@|@soghluaiste@
@mobile home@|@teach gluaisteach@
@mobile phone@|@fón guthán@
@mobile shop@|@siopa gluaisteach@
@mock@|@déan magadh@
@mode@|@modh@
@model@|@samhail@
@modem@|@móideim@
@moderate@|@cuibheasach@
@modern@|@nua-aimseartha@
@modest@|@modhúil@
@modify@|@modhnaigh@
@module@|@modúl@
@mogul@|@mogal@
@mohair@|@móihéar@
@moist@|@tais@
@molar@|@cúlfhiacail@
@molasses@|@molás@
@mole@|@caochán@
@molest@|@cuir isteach ar@
@mollycoddle@|@déan peataireacht ar@
@molten@|@leáite@
@moment@|@nóiméad@
@momentary@|@gearrshaolach@
@momentum@|@móiminteam@
@mommy@|@mamaí@
@Monaco@|@Monacó@
@Monaghan@|@Muineachán@
@monarch@|@monarc@
@monastery@|@mainistir@
@Monday@|@An Luan@
@monetary@|@airgeadúil@
@money@|@airgead, airgead@
@money order@|@ordú airgid@
@mongrel@|@bodmhadra@
@monitor@|@monatóir@
@monk@|@manach@
@monkey@|@moncaí@
@monopoly@|@monaplacht@
@monotone@|@aonton@
@monsoon@|@monsún@
@monster@|@arracht ollphéist@
@month@|@mí@
@monument@|@séadchomhartha@
@moo@|@bheith ag géimneach@
@mood@|@aoibh@
@moon@|@gealach@
@moonlight@|@solas na gealaí@
@moor@|@móinteán@
@moorland@|@móinteach talamh@
@moose@|@mús@
@mop@|@mothall@
@mope@|@bheith i ndroim dubhach@
@moral@|@morálta@
@morale@|@meanma@
@morass@|@seascann@
@more@|@níos mó@
@moreover@|@ar a bharr sin@
@morning@|@maidin@
@morning sickness@|@tinneas maidne@
@moron@|@leathdhuine@
@Morrocco@|@Maracó@
@Morse code@|@an aibítir Mhorsach@
@morsel@|@ruainne@
@mortar@|@moirtéar@
@mortgage@|@morgáiste@
@mortgage company@|@comhlacht morgáistí@
@mortuary@|@marbhlann@
@mosaic@|@mósáic@
@Moscow@|@Moscó@
@mosque@|@mosc@
@mosquito@|@muiscít@
@moss@|@caonach@
@most@|@bunáite@
@motel@|@carróstlann@
@moth@|@féileacán@
@mothballs@|@millíní leamhan@
@mother@|@máthair@
@mother in law@|@máthair chéile@
@mother tongue@|@teanga dhúchais@
@motherhood@|@máithreachas@
@motif@|@móitíf@
@motion@|@gluaiseacht@
@motion picture@|@scannán@
@motivation@|@spreagadh@
@motive@|@cúis@
@motley@|@ilchineálach@
@motor@|@inneall@
@motor mechanic@|@meicneoir gluaisteán@
@motor racing@|@rásaíocht ghluaisteán@
@motorbike@|@gluaisrothar@
@motorboat@|@mótarbhád@
@motorcar@|@gluaisteán@
@motorway@|@mótarbhealach@
@motto@|@mana@
@mould@|@múnla@
@moult@|@bheith ag cur na gcleití@
@mount@|@cnoc@
@mountain@|@sliabh@
@mountain bike@|@rothar sléibhe@
@mountain range@|@sliabhraon@
@mountainside@|@taobh sléibhe@
@mourn@|@caoin@
@mouse@|@luch, luchóg@
@mousetrap@|@gaiste luchóg@
@mousse@|@mousse@
@moustache@|@croiméal@
@mousy@|@fionndonn@
@mouth@|@béal, béal, cab@
@mouth organ@|@orgán béil@
@mouthpiece@|@béalóg@
@mouthwash@|@folcadh béil@
@mouthwatering@|@so-bhlasta@
@move@|@bogadh@
@movement@|@cor@
@movie@|@scannán@
@movie camera@|@ceamara scannáin@
@mow@|@bain@
@Mr@|@An tUasal Smith@
@Mrs@|@Bean Smith@
@Ms@|@Iníon Smith@
@much@|@mórán, mórán@
@muck@|@salachar@
@muddle@|@cíor@
@mudguard@|@pludgharda@
@muffin@|@muifín@
@mug@|@muga@
@mugging@|@ionsaí@
@mule@|@miúil@
@mull over@|@do mharana a dhéanamh ar rud@
@multiple@|@iomadúil@
@multiple sclerosis@|@ilscléaróis@
@multistorey@|@ilstórach@
@mum@|@mam@
@mumble@|@mungail@
@mummy@|@mamaí@
@mumps@|@an plucamas@
@munch@|@mungail@
@mundane@|@leamh@
@municipal@|@cathrach@
@Munster@|@An Mhumhain@
@murder@|@dúnmharú@
@murky@|@amhrasach@
@murmur@|@monabhar@
@muscle@|@matán@
@muse@|@machnaigh@
@museum@|@músaem@
@mushroom@|@muisiriún@
@music@|@ceol@
@musical instrument@|@gléas ceoil@
@Muslim@|@Moslamach@
@muslin@|@muislín@
@mussel@|@diúilicín@
@must@|@ní mór dom é a dhéanamh@
@mustard@|@mustard@
@muster@|@cruinnigh@
@mute@|@balbh@
@mutiny@|@ceannairc@
@mutter@|@bheith ag monabhar@
@mutton@|@caoireoil@
@mutual@|@díbhlíonach@
@muzzle@|@soc@
@my@|@mo@
@myself@|@mé féin@
@mystery@|@rúndiamhair@
@mystify@|@mearaigh@
@myth@|@miotas@
@mythology@|@miotaseolaíocht@
@nag@|@tabhair amach do@
@nail@|@ionga@
@nail polish@|@vearnais iongan@
@nail polish remover@|@díobhach vearnais iongan@
@nail scissors@|@siosúr ingne@
@nailbrush@|@scuab ingne@
@nailfile@|@raspa ingne@
@naive@|@saonta@
@naked@|@lomnocht@
@name@|@ainm@
@nameless@|@gan ainm@
@namesake@|@comhainmneach@
@nanny@|@buime@
@nap@|@néal a chodladh@
@nape@|@an mhuiníl@
@napkin@|@naipcín@
@nappy@|@clúidín@
@nappy rash@|@gríos clúidín@
@narcissus@|@nairciseas@
@narcotic@|@támhshuanach@
@narrative@|@scéal@
@narrow@|@cúng@
@narrow minded@|@caolaigeanta@
@nasty@|@urchóideach@
@nation@|@náisiún@
@national dress@|@éide náisiúnta@
@National Insurance@|@Árachas Náisiúnta@
@nationwide@|@ar fud na tíre@
@native@|@dúchasach@
@native language@|@teanga dhúchais@
@natural@|@nádúrtha@
@natural gas@|@gás nádúrtha@
@nature@|@nádúr@
@naughty@|@crosta@
@nausea@|@masmas@
@naval@|@cabhlaigh@
@naval officer@|@oifigeach cabhlaigh@
@nave@|@corp@
@navel@|@imleacán@
@navigate@|@stiúir@
@navy@|@náibhí@
@navy blue@|@dúghorm@
@Nazi@|@Naitsí@
@near@|@cóngarach, gairid@
@near sighted@|@gearr-radharcach@
@nearly@|@beagnach@
@nearside@|@an taobh clé@
@neat@|@slachmhar@
@neck@|@muineál@
@necklace@|@muince@
@necktie@|@carbhat@
@need@|@gá, riachtanas, tastaigh@
@needle@|@snáthaid@
@needless@|@neamhriachtanach@
@needlework@|@obair shnáthaide@
@needy@|@bocht@
@negative@|@claonchló, diúltach@
@neglect@|@faillí@
@negligee@|@fallaing sheomra@
@negligence@|@faill@
@neigh@|@bheith ag seitreach@
@neighbour@|@comharsa@
@neighbourhood@|@comharsanacht@
@neon@|@neon@
@neon light@|@solas neoin@
@nephew@|@nia@
@nerve@|@néaróg@
@nerve racking@|@corraitheach@
@nervous@|@neirbhíseach@
@nervous breakdown@|@cliseadh néarógach@
@nest@|@nead@
@nest egg@|@taisce folachán@
@net@|@líon@
@net curtains@|@cuirtín lín@
@netball@|@líonpheil@
@Netherlands@|@An Ísiltír@
@nettles@|@neantóga@
@network@|@gréasán mogalra@
@neurotic@|@néaróiseach@
@neuter@|@seasc@
@neutral@|@neodrach@
@never@|@riamh@
@never ending@|@síor gan chríoch@
@nevertheless@|@mar sin féin@
@new@|@nua@
@new fangled@|@nuanósach@
@new found@|@nua aimsithe@
@New Year@|@An AthBhliain@
@New Years Day@|@Lá Nollag Beag@
@New Years Eve@|@Oíche Chinn Bhliana@
@New York@|@Nua-Eabhrac@
@New Zealand@|@An Nua-Shéalainn@
@newborn@|@nuabheirthe@
@newcomer@|@núíosach@
@newly weds@|@lánúin nuaphósta@
@news@|@nuacht, scéala@
@news flash@|@splanc nuachta@
@news stand@|@seastean nuachtán@
@newsagent@|@nuachtánaí@
@newscaster@|@léitheoir nuachta@
@newsletter@|@nuachtlitir@
@newspaper@|@nuachtán@
@newsprint@|@nuachtpháipéar@
@newsreel@|@nuachtspól@
@newt@|@earc@
@next@|@an chéad duine@
@next door@|@béal dorais@
@next of kin@|@neasghaol@
@nib@|@gob@
@nice@|@deas, go deas@
@nick@|@eang@
@nickel@|@nicil@
@nickname@|@leasainm@
@niece@|@neacht@
@Nigeria@|@An Nigéir@
@niggling@|@sáiteach@
@night@|@oíche@
@night club@|@club oíche@
@night dress@|@léine@
@night fall@|@titim hoíche@
@night porter@|@póirtéir oíche@
@night school@|@scoil oíche@
@night shift@|@meitheal na hoíche@
@night watchman@|@faireoir oíche@
@nightcap@|@deoch@
@nightingale@|@filiméala@
@nightlife@|@siamsaíocht@
@nightmare@|@tromluí@
@nil@|@náid@
@Nile@|@An Níl@
@nimble@|@aclaí@
@nine@|@naoi@
@nineteen@|@naoi déag@
@ninety@|@nócha@
@ninth@|@naoú@
@nip@|@liomóg@
@nipple@|@dide@
@nitrogen@|@nítrigin@
@no@|@níl@
@noble@|@uasal@
@nobody@|@níor labhair aon duine@
@nod@|@do cheann a sméideadh@
@noise@|@gleo, torann@
@nominal@|@ainmiúil@
@nominate@|@mol@
@non@|@neamh@
@non alcoholic@|@neamh-mheisciúil@
@non committal@|@faichilleach@
@non existent@|@níorbh ann dó@
@non fiction@|@neamhfhicsean@
@non smoker@|@duine nac gcaitheann@
@non stick@|@neamhghreamaitheach@
@non stop@|@gan stad@
@nondescript@|@neamhshuntasach@
@none@|@ceann ar bith@
@nonentity@|@neamhní@
@nonetheless@|@mar sin féin@
@nonplussed@|@bhí sí trína chéile@
@nonsense@|@seafóid@
@noodles@|@núdail@
@nook@|@poill@
@noon@|@nóin@
@noose@|@dol@
@norm@|@gnás@
@normal@|@gnáth@
@north@|@tuaisceart@
@North America@|@Meiriceá Thuaidh@
@north east@|@oirthuaisceart@
@North Pole@|@an Pol Thuaidh@
@north west@|@iarthuaisceart@
@Northern Ireland@|@Tuaisceart (na h)Éireann@
@northwards@|@ó thuaidh@
@Norway@|@An Iorua@
@nose@|@srón, srón@
@nose dive@|@socthumadh@
@nosebleed@|@fuil shróine@
@nostalgia@|@cumha uaigneas@
@nostril@|@polláire@
@nosy@|@fiosrach@
@not@|@ní@
@notary@|@nótaire@
@notch@|@eang@
@note@|@nóta, nóta@
@notebook@|@leabhar nótaí@
@notepad@|@ceap nótaí@
@notepaper@|@páipéar litreacha@
@nothing@|@faic@
@nothing at all@|@diabhal scéal@
@notice@|@fógra@
@notice board@|@clár fógraí@
@notion@|@nóisean@
@notorious@|@míchlúiteach@
@notwithstanding@|@in ainneoin@
@nought@|@neamhní@
@noun@|@ainmfhocal@
@nourish@|@beathaigh@
@novel@|@úrscéal@
@novelty@|@nuacht@
@November@|@Mí na Samhna, Samhain@
@now@|@anois@
@nowadays@|@sa lá atá inniu ann@
@nowhere@|@in áit ar bith@
@nozzle@|@soc@
@nuclear@|@núicléach@
@nucleus@|@núicléas@
@nude@|@lomnocht@
@nudge@|@broid@
@nuisance@|@is cur isteach mór é@
@null@|@ar neamhní@
@numb@|@bodhar@
@number@|@uimhir, uimhreacha@
@number plate@|@uimhirphláta@
@numerous@|@líonmhar@
@nun@|@bean rialta@
@nurse@|@banaltra@
@nursery@|@naíolann@
@nursery rhyme@|@rann páistí@
@nursery school@|@naíscoil@
@nursery slope@|@fánán tosaitheoirí@
@nursing home@|@teach banaltrachta@
@nursing mother@|@máthair chíche@
@nut@|@cnó@
@nutcracker@|@cnóire@
@nutmeg@|@noitmig@
@nutritious@|@scamhardach@
@nutshell@|@i mbeagán focal@
@nylon@|@níolón@
@o’clock@|@tá sé a cúig a chlog@
@oak@|@dair@
@oak grove@|@doire@
@oar@|@maide@
@oasis@|@ósais@
@oath@|@mionn@
@oatmeal@|@min choirce@
@oats@|@coirce@
@obedient@|@umhal@
@obey@|@géill do@
@obituary@|@fógra báis@
@object@|@rud@
@obligation@|@oibleagáid@
@oblique@|@fiar@
@oblivion@|@díchuimhne@
@oblong@|@leathfhada@
@obnoxious@|@gráiniúil@
@oboe@|@óbó@
@obscene@|@gáirsiúil@
@obscure@|@doiléir@
@observant@|@grinnsúileach@
@observatory@|@réadlann@
@obsess@|@lean do@
@obsolete@|@as feidhm@
@obstacle@|@constaic@
@obstinate@|@dáigh@
@obstruct@|@coisc@
@obtain@|@faigh@
@obvious@|@soiléir@
@occasion@|@ócáid@
@occupy@|@bheith i do chónaí@
@occur@|@tarlaigh@
@ocean@|@aigéan@
@October@|@Deireadh Fómhair@
@octopus@|@ochtapas@
@odd@|@aisteach@
@odd jobs@|@timireacht a dhéanamh@
@oddments@|@earraí fuíll@
@odour@|@boladh@
@of@|@cara dúinn, de@
@off@|@as@
@off licence@|@eischeadúnas@
@off line@|@as líne@
@off peak@|@uaireanta neamhghnóthacha@
@off the peg@|@réamhghearrtha@
@offal@|@miodamas@
@Offaly@|@Uíbh Fhailí@
@offence@|@coir@
@offend@|@cuir stuaic@
@offer@|@tairiscint@
@offhand@|@giorraisc@
@office@|@oifig@
@office block@|@ceap oifigí@
@office hours@|@uaireanta oifige@
@offprint@|@seach-chló@
@offset@|@déan cothrom@
@offshoot@|@craobh@
@offshore@|@amach ón gcósta@
@offside@|@as an imirt@
@offspring@|@sliocht clann@
@often@|@go minic@
@oh@|@ó@
@oil@|@ola@
@oil filter@|@scagaire ola@
@oil rig@|@rige ola@
@oil well@|@tobar ola@
@oilfield@|@olacheantar@
@oilskins@|@aidhleanna@
@ointment@|@ungadh@
@okay@|@ceart go leor@
@old@|@sean@
@old age@|@seanaois@
@old age pensioner@|@pinsinéir@
@old fashioned@|@seanfhaiseanta@
@old man@|@seanfhear@
@old people@|@seandaoine@
@old person@|@seanduine@
@old woman@|@seanbhean@
@olive@|@ológ@
@olive oil@|@ola olóige@
@Olympic@|@Oilimpeach@
@omelette@|@uibheagán@
@omen@|@tuar@
@ominous@|@tuarúil@
@omit@|@fág ar lár@
@on@|@ar@
@on account of@|@de bharr@
@on loan@|@ar iasacht@
@once@|@uair@
@one@|@aon, aon@
@one another@|@a chéile@
@one day excursion@|@ticéad fillte aonlae@
@one man@|@aonair@
@one off@|@ar leith@
@one sided@|@leataobhach@
@one to one@|@duine le duine@
@oneself@|@rud a choinneáil agat féin@
@onion@|@oinniún@
@online@|@ar líne@
@onlooker@|@féachadóir@
@only@|@amháin@
@onset@|@tús@
@onslaught@|@ionsaí@
@onus@|@freagracht@
@onwards@|@ar aghaidh@
@ooze@|@úsc@
@opaque@|@teimhneach@
@open@|@ar oscailt, oscailte@
@opera@|@ceoldráma@
@operate@|@oibrigh@
@opinion@|@barúil@
@opinion poll@|@pobalbhreith@
@opponent@|@céile comhraic@
@opportunity@|@deis@
@oppose@|@cuir i gcoinne@
@opposite@|@as comhair@
@oppressive@|@leatromach@
@opt@|@rud a roghnú@
@optical@|@radharcach@
@optician@|@radharceolaí@
@optimist@|@duine dóchasach@
@option@|@rogha@
@or@|@nó@
@oral@|@cainte@
@orange@|@oráiste@
@Orangemen@|@Fear Buí@
@orbit@|@fithis@
@orchard@|@úllord@
@orchestra@|@ceolfhoireann@
@orchid@|@magairlín@
@ordain@|@oirnigh@
@ordeal@|@triail@
@order@|@eagar@
@order form@|@foirm ordaithe@
@ordinary@|@coitianta@
@ordinary day@|@gnáthlá@
@ore@|@mianach, mianach@
@organ@|@orgán@
@organic@|@orgánach@
@organisation@|@eagrú@
@orgasm@|@orgasam@
@Orient@|@An Domhan Thoir@
@origin@|@bun, bunús@
@Orkneys@|@Inse Orc@
@ornament@|@maisiú@
@ornate@|@ornáideach@
@orphan@|@dílleachta@
@orphanage@|@dílleachtlann@
@orthopedic@|@ortaipéideach@
@ostensibly@|@in ainm@
@ostrich@|@ostrais@
@other@|@eile@
@otherwise@|@ar chuma eile@
@otter@|@dobharchú@
@ouch@|@áigh@
@ought@|@ba chóir dom é a dhéanamh@
@ounce@|@unsa@
@our@|@ár@
@oust@|@cuir amach@
@out@|@amach@
@out and out@|@cruthanta@
@out of date@|@as dáta@
@out of order@|@as ordú@
@out of the way@|@cúlráideach@
@outbreak@|@briseadh amach@
@outburst@|@racht rois@
@outcast@|@díbeartach@
@outcry@|@casaoid challánach@
@outdated@|@seanaimseartha@
@outdoor@|@lasmuigh@
@outer space@|@imspás@
@outfit@|@feisteas@
@outgoing@|@cuideachtúil@
@outgrow@|@séan@
@outhouse@|@bothán cró@
@outing@|@turas aeraíochta@
@outlandish@|@áiféiseach@
@outlaw@|@coirpeach@
@outlay@|@eisíoc@
@outline@|@fíor@
@outlook@|@dearcadh@
@outnumber@|@bheith níos líomhaire ná@
@outpatient@|@othar seachtrach@
@outpost@|@urphost@
@output@|@táirgeacht@
@outrage@|@fearg@
@outright@|@ar fad@
@outset@|@tús@
@outside@|@amuigh, an taobh amuigh@
@outskirts@|@imeall@
@outspoken@|@díreach neamhbhalbh@
@outstanding@|@suntasach@
@outstretched@|@sínte amach@
@outward@|@ón taobh amuigh@
@oval@|@ubhchruthach@
@ovary@|@síollann@
@oven@|@oigheann@
@over@|@os cionn, thall, thar@
@over here@|@i bhfus@
@overall@|@iomlán@
@overawe@|@scanraigh@
@overboard@|@thar bord@
@overcast@|@gruama@
@overcoat@|@cóta mór@
