@English@|@Mizo@
@to crumple up@|@ting-tawm@
@to cry@|@krap, tap@
@to curry favour with@|@tlawn 'tum@
@to cut@|@ri', riit, zai@
@to cut down@|@saam@
@to cut down large trees@|@a chung'tu, a chung'tuk@
@to cut off@|@root@
@to dam up water@|@tui"khuap@
@to damp@|@ti-zawp, tih-zawp@
@to dance@|@laam@
@to dare@|@huam@
@to darken@|@ti-thim, tih-thim@
@to decrease@|@zom@
@to dedicate@|@ti-thîng-bâr, tih-thîng-bâr@
@to defecate@|@é, ék@
@to demand@|@ngiat@
@to depose@|@ti-tlâwm, tih-tlâwm@
@to despise@|@tlawh-beh, tlawh-bet@
@to die@|@mang, thi, thi', tlaw@
@to dig wild yams@|@tokai 'hai@
@to dip in water@|@hnim@
@to dip up water@|@tui"thal@
@to dislike@|@hre'@
@to dislocate@|@ti-pelh-sawlh, tih-plh-sawlh@
@to disperse@|@ti-Tiau, tih-Tiau@
@to displease@|@ti-nuar, tih-nawrh@
@to disturb@|@ti-phâwk lêk, tih-phâwk lêk@
@to divert the water@|@tui-hna"paih@
@to do@|@ti, ti', ti', tlo'@
@to do a thing badly@|@ti Tha lo, tih That loh@
@to do a thing punctually@|@a hun taka thil' ti, a hun taka thil' tih@
@to do a thing well@|@ti Tha, tih That@
@to do carelessly@|@ti rawk rawk, tih rawk rawk@
@to do wrong@|@ti-sual, tih-sual@
@to double@|@thua'@
@to draw@|@tui"tlan@
@to draw in the head@|@tlum@
@to draw water@|@tui"chawi@
@to dream@|@man, mang@
@to drink@|@in@
@to drink to another's health@|@took@
@to drink water@|@tui"dâwt@
@to drink water and swear@|@tui chhe, tui chhe in, tui chhia, tui chhia"in@
@to drive@|@khal', khalh@
@to drive together@|@khalh khawm@
@to drop or cut off@|@tan@
@to dye blue yarn@|@Ting'dum@
@to eat@|@tlân@
@to eat noisily@|@tep@
@to eat out@|@lu'@
@to edify@|@ti-sâwt, tih-sâwt@
@to elope with@|@tlan-pui@
@to embolden to be aggressive@|@ti-pâwng-pawrh, tih-pâwng-pawrh@
@to embrace@|@pom@
@to empty@|@ti-ruak, tih-ruah@
@to emulate@|@el@
@to end@|@re'@
@to enlarge@|@ti-pâwr, tih-pawr, tih-pawrh@
@to enlarge as hole@|@ti-zau, tih-zau, tih-zauh@
@to equal@|@tluk@
@to erect a hranglung memorial@|@hranglung"phun@
@to escape@|@rál, rel', rol@
@to explode@|@puak@
@to express one's wishes@|@saam@
@to exterminate@|@ti-rêm, tih-rêm@
@to extract@|@thán@
@to fall@|@tlu, tlûk@
@to fall and die@|@tlu hlum, tlûk hlum@
@to fall behind@|@thlau, thlau'@
@to fall down@|@ti-tlu, tih-tlûk, tla thla, tlak thlak@
@to fall from a height@|@tla, tlaak, tlák@
@to fall from power@|@tlawm@
@to fall in@|@theep@
@to fall in the water@|@tuia 'tlak-hlum, tuia "tla-hlum@
@to fall into@|@tla-lût, tlák-luh@
@to fall low@|@tla-hniam, tlák-hniam@
@to fall off@|@tla kawlh, tlák-kawlh@
@to fall upon@|@tlák-buak@
@to fan@|@jáp', za', záp@
@to fascinate@|@ai-in' zial@
@to fast@|@nghei@
@to feed@|@hrai@
@to feed with the mouth@|@fa'@
@to feel@|@tham@
@to feel creepy@|@ti'za, ti'zat@
@to feel ill at ease@|@ti-zum, tih-zum@
@to feel pain@|@na@
@to ferment@|@tok@
@to find@|@to chhar@
@to find a home@|@tui-tla, tui-tlak@
@to finish@|@tling-tla, tling-tlak, yo, zô, zo'@
@to finish off the edge@|@tlâng' thuai@
@to finish reaping@|@chhum@
@to fire a gun@|@tlang tlir@
@to flay skin@|@hlai@
@to float@|@lang@
@to float not sink@|@laan, lang@
@to flow@|@zúl, zul'@
@to follow@|@zui@
@to follow next in succession@|@dool@
@to forestall@|@tlák khalh@
@to form an arching hollow@|@tui ' thlar@
@to form proud flesh@|@tisa'pawrh@
@to freeze@|@tui'khal@
@to frighten@|@raap, ti-zâm, tih-zâm@
@to fry@|@kan, kang@
@to fully satisfy@|@ti-tlai, tih-tlai@
@to gather together@|@phuul@
@to gather up@|@seng@
@to get to the top of a hill@|@tlâng'chhuah, tlâng'chhuak@
@to give@|@pe, pék@
@to give a good feed to@|@hrai puar, hrai tlai@
@to give a present@|@tlawn@
@to give up@|@ti-sim, tih-sim@
@to give way under pain@|@tuar zuau@
@to gnash the teeth@|@kha'khawn, kha'khâwng@
@to go around@|@vél@
@to go away and leave@|@Tîn san@
@to go away in a huff@|@tlan tau, tlan tauh@
@to go by bounds as mouse@|@so', sot@
@to go to a jhoom in a body@|@tlâng feh@
@to go to the trouble of@|@ting@
@to graze@|@tlat@
@to graze for food@|@tla fál, tlat-fál@
@to grind@|@root@
@to grip@|@hroom@
@to grow@|@tho@
@to grow long as hoofs@|@tin'vui@
@to grow tall@|@tlaan@
@to grow up@|@to san, to sang@
@to growl@|@ngur@
@to grunt@|@ngúk@
@to hammer@|@deeng, deng'@
@to hang meat@|@khai phut@
@to hang up@|@baan, baang, khai-thli@
@to hang up the above line@|@tlangbân'zâr@
@to have a chilly@|@tim@
@to have a fit@|@sual@
@to have a hangnail@|@tinhna'ai-hni@
@to have a place@|@tlan nei, tlan neih@
@to have a split nail@|@tin'ther@
@to have a square forehead@|@chal ' arh@
@to have a strong desire@|@roop@
@to have a thirst for beer@|@tui zu-hal"haal@
@to have a trial shot@|@ai te chhin@
@to have ague@|@tlun@
@to have cholera@|@tuihri"vei@
@to have erysipelas@|@tui-fulh@
@to have rheumatism@|@tuin'man@
@to have the edge turned@|@tlep@
@to have the nail split@|@tin'hîk@
@to have the neck broken@|@tukkhum thlung ruh"tliak@
@to heat@|@ro'@
@to help@|@ron, ti-zâng-khai, tih-zâng-khai@
@to herald@|@tlâng-au, tlângau-pui@
@to idle about@|@zel@
@to increase@|@pun, pung, ti-pûn, ti-vâwng, tih-pûn, tih-vawn@
@to inform against@|@a chhe lama'hriattir@
@to inter@|@phuum@
@to interrupt@|@khak buai@
@to intoxicate@|@hrai rûi, ti-rui, tih-ruih@
@to itch@|@ya, za@
@to keep@|@von, vong@
@to keep awake@|@tlaivâr piap, tlaivâr zak@
@to keep on blinking@|@khap sawk sawk@
@to keep sending on errands@|@tirhkah tirhkah, tîrkat'tîrkat@
@to keep under restraint@|@khap-beh, khap-bet@
@to kick@|@tlawh, tlo', tlo'@
@to kill@|@That, ti-thi, tih-thih@
@to kill by poisoning food@|@hrai-hlum@
@to kill with a weapon@|@tual-dawia 'dawi@
@to knead@|@hloom@
@to knit@|@phan, phiar@
@to knock@|@ti-thlu, tih-thlûk, tok@
@to knock against@|@khak@
@to know@|@hre, hria, hriat, thiam@
@to know how to swim@|@tui-thiam, tui"thiam@
@to ladle@|@sua', suak@
@to lap water@|@tui'liah, tui"liak@
@to laugh@|@m-nui, nui, nui'@
@to leave@|@hran-san@
@to let go@|@thla'@
@to level@|@ti-rual, tih-rual@
@to lever@|@kar@
@to lick@|@lia', liak@
@to lie down@|@bo', bok, tlu zal, tlûk zal@
@to lift up@|@hlaan, hlaang@
@to lighten@|@ti-zâng, tih-zân@
@to live@|@nung@
@to live simply@|@tla-sam, tlat' sam, tlat-sam, tlat-sam@
@to lop@|@tuk thla@
@to lose its hardness@|@hnual@
@to lose its savour@|@tuibûr hmuam 'da, tuibûr hmuam 'dak@
@to lower@|@Thla, thlaak@
@to maim@|@ti-sil, ti-sil-awng, tih-sil, tih-sil-awn@
@to make@|@khaukhurh'siam, siam, tuk@
@to make a booming sound@|@tuikhuang"bêng@
@to make a clicking noise@|@tlak@
@to make a noise@|@raak@
@to make an effort to eject@|@khák@
@to make as net@|@sa, sak@
@to make cloudy@|@ti-paw, tih-pâwt@
@to make comfortable@|@ti-nuam, tih-nawm@
@to make dirty by handling@|@khal-bal, khalh-balh@
@to make even@|@ti-rual-rem, tih-rual-rem@
@to make free to all@|@tlâng-phal@
@to make go wrong@|@ti-suak-bâk, tih-suak-bâk@
@to make grand@|@ti-ropui, tih-ropui@
@to make greater@|@ti-u, ti-u-chuak, tih-u, tih-u-chuak@
@to make interesting@|@ti-ngaih-nawm, tih-ngaih-nawm@
@to make into small pieces@|@ti-sawm, tih-sawm@
@to make known@|@tlâng'than, tlâng'thang, tlâng-than, tlâng-thang@
@to make milky@|@ti-nu bual, tih-nut bual@
@to make much of@|@hak@
@to make muddy@|@ti-nu, tih-nut@
@to make one feel uneasy@|@tham@
@to make poor@|@ti-rethei, tih-retheih@
@to make preparations@|@tuah@
@to make scarce@|@ti-vâng, tih-vân@
@to make soft@|@ti-no, tih-no@
@to make suffice@|@tla, tla-lam, tlák, tlák, tlák-lam@
@to make tasty@|@tui-tuah@
@to make tough as meat@|@ti-pheng, tih-phen@
@to make up a fire@|@tuah kai@
@to marry a husband@|@tlangval@
@to measure@|@buuk@
@to meet@|@ton, tong@
@to melt@|@ti-tui, tih-tui@
@to melt away@|@tui-ral@
@to minister@|@rong-bool@
@to miss fire@|@tlawlh, tlol'@
@to mix@|@pol'@
@to move@|@son, ti-phawng, tih-phawn@
@to move along by wriggling@|@tel@
@to move from one town@|@pem@
@to murder@|@tual'thah, tual 'that@
@to nauseate@|@ngei@
@to noose@|@hlin, hlíng@
@to not be nice@|@tui lo@
@to not suffer@|@tuar lo, tuar loh@
@to obtain salt by evaporation@|@ten, teng@
@to offend@|@ti-vui, tih-vui@
@to offer a khal sacrifice@|@khal'hman, khal'hmang@
@to offer a sacrifice@|@tui"ral-do@
@to offer for sale@|@zor', zuar@
@to offer oneself to another@|@san@
@to open@|@ka, phar'@
@to oppose@|@nék@
@to outstrip@|@khalh@
@to overflow@|@liam@
@to overlay with@|@tuia "luan@
@to pass from one to another@|@loon@
@to pay a debt@|@tla@
@to peel off@|@khok@
@to penetrate@|@len, leng@
@to permit@|@tir, tirh@
@to pick out with a pointed@|@kher@
@to pick the nails@|@tin'kheuh@
@to pierce@|@do', doot, vi', vit@
@to pile up@|@ti-vûm, tian, tiang, tih-vum@
@to pinch@|@si', sik@
@to place a log@|@tual 'dawl@
@to place across@|@kham-kai, khan kai, khang kai@
@to place the pieces of wood@|@khaukhurh'tun, khaukhurh'tung@
@to plait@|@luan@
@to plant@|@tuh@
@to play@|@cheen, cheeng, TingTang'kai, TingTang'kai, TingTang'tum, tlo1@
@to play a TingTang@|@TingTang'kai, TingTang'kaih@
@to play at the above game@|@tîra mei kai'ti, tîra mei kai'tih@
@to play with@|@khaal, khâl, khalh@
@to plough through@|@tui"tawn thlar pûng pûng@
@to plunder@|@rok, thual@
@to pound@|@so'@
@to pour@|@tui"leih@
@to pour as fluid@|@lei'@
@to prevent@|@ti-Thulh, ti-tlawlh, tih-Thulh, tih-tlawlh@
@to prevent loneliness@|@khawhar hnêm@
@to proclaim@|@kham@
@to prohibit@|@khap@
@to project@|@toh-lawt@
@to promise@|@tiam@
@to pronounce@|@lam@
@to prostrate@|@ti-zal, tih-zal@
@to provoke anger@|@ti-thin-ur, tih-thin-ur@
@to publish@|@tlâng'than-tîr, tlãng-than-tîr@
@to puff at a pipe@|@hrot@
@to pull@|@kai, kai'@
@to pull up the second crop@|@hram"thlo@
@to purpose@|@reel, tin-tuah@
@to push@|@hngok, hngong, nor@
@to put a dot beneath the t@|@t'pe, t'pek@
@to put forth one's strength@|@tan@
@to put into favour@|@ti-thâng-tla, tih-tlâk@
@to put on the ridging@|@tlûngkhûm 'khûm@
@to put round@|@ve', vét@
@to put the foot through@|@tla-hawlh, tlák-hawlh@
@to put to shame@|@ti-zak, tih-zah@
@to put up the framework@|@rel@
@to question@|@chhaal@
@to quicken@|@ti-rang, tih-ran@
@to quiet@|@ti-ngawi, tih-ngawih@
@to rain continuously@|@chheen, chheeng@
@to ransom@|@tlan@
@to reach@|@tlin, tling@
@to reach maturity@|@tleirawl chhuah, tleirawl chhuak@
@to reach up to@|@tong@
@to reduce@|@kiam@
@to refill a boiling pot@|@tui-hnih@
@to regret@|@ui@
@to remain@|@to fual@
@to remain awake all night@|@tlai-vâr@
@to repay@|@rul', ruul@
@to repeat@|@tlip, tlip mawi@
@to report@|@thlen@
@to rest@|@ool@
@to restrain@|@tuar dai@
@to retard@|@ti-Tuan-fûm, tih-Tuan-fûm@
@to riddle@|@hri, hrik@
@to rise as air bubbles@|@tui 'bi-birh@
@to rob@|@suam@
@to roll@|@lum, tui'fâwn@
@to roll up@|@zial@
@to romp@|@tual-chai@
@to rotate@|@vir, wir@
@to rouse to action@|@ti-tha-tho, tih-tha-tho@
@to rub against@|@nók@
@to run@|@tlân@
@to run away@|@tlân-bo, tlân-rul tlawh, tlânchhiat-tîr, tual tlan@
@to run into@|@tlan luh, tlan lût@
@to run out@|@tla-chham, tlák-chham, tlân-chhuah, tlân-chhuak@
@to satisfy@|@ti-puar, tih-puar@
@to save@|@ti-nung, tih-nun@
@to save up@|@tuak, tuak-khawm@
@to say emphatically@|@ti ngâwng, tih ngâwng@
@to say to oneself@|@ti rilru, tih rilrûk@
@to scald@|@tui sa"leih, tui saa"leih, tui so"leih, tui so"leih, tui sova"leih@
@to scatter@|@dar', ti-Tai-Tâm, ti-Tai-Tâm, ti-Teh, tih-Taih-Tâm, tih-Taih-Tâm, vor'@
@to scatter (1)@|@tih-Teh@
@to scoop up@|@ru', ruut@
@to scorch@|@ti-ul, tih-ul@
@to scrape@|@zia', ziat@
@to season@|@tuih@
@to see@|@hmu@
@to see one's great-grandchild@|@tu khûp hnih"hmu@
@to seize@|@re', reek@
@to seize as an attack@|@ti-rilah'man@
@to sell@|@hralh@
@to send@|@tiir, tir, tir', tirh@
@to send forth@|@tîr chhuak, tirh chhuah@
@to send on errands@|@tîr-kat, tirh-kah@
@to serve@|@tek@
@to set a trap@|@Kam@
@to set on edge@|@ti-ziau, tih-ziau@
@to sew on@|@bel@
@to shake@|@ti-nghawr, tih-nghawr@
@to shake in one's shoes@|@ti-rilah'khûr, ti-rilah'khurh@
@to share equally with@|@tlâng sa@
@to share with@|@toom@
@to shelter from the wind@|@ti-ûp, tih-ûp@
@to shift@|@tol'@
@to shine@|@tle, tle sur, tleet, tlêt, tlêt@
@to shoot at@|@kaap@
@to shoot with a pellet@|@sai@
@to shorten@|@ti-tawi, tih-tawi@
@to shrivel@|@soon, soong@
@to shut@|@ciip, tsiip@
@to shut as door@|@khar khalh@
@to shut the door@|@khar hnan, khar khum, khar khum, khar khung@
@to shut up@|@khar khip@
@to sing@|@sa, sak@
@to siphon@|@siak@
@to sit@|@to lar, to lêr, to lûr, to van, to vawn, to vûn@
@to sit about@|@to vên@
@to sit down@|@ti-Thu, tih-Thut@
@to skin@|@lip@
@to sleep soundly@|@tuitaka"mu@
@to slide@|@tleng@
@to slip@|@tleu@
@to smart@|@thiip@
@to smell of@|@nam@
@to smell rancid@|@tler rim 'nam, tlerh@
@to smile@|@then@
@to smoke@|@khu, khúk@
@to smooth as hair@|@thliam@
@to snuggle up@|@kuan@
@to sound forth@|@ti-ri, tih-rîk@
@to span with the thumb@|@khâp@
@to span with thumb@|@kháp@
@to spear@|@khawh@
@to spend@|@ti-ral, ti-ral ting, tih-ral, tih-ral ting@
@to spin a top@|@lam@
@to splash as water@|@ti-per, tih-per@
@to split the edge@|@ti-peh, tih-peh@
@to spoil@|@ti-pawi, tih-pawi@
@to sport about in the water@|@tui chên, tui chêng@
@to sprain@|@ul'@
@to spread@|@pha', pher'@
@to spread abroad@|@ti-puang, tih-puan@
@to spread as fame@|@ti-thang, tih-than@
@to spread out@|@ti-parh, tih-parh@
@to sprinkle@|@phul@
@to sprinkle with water@|@tui thlawr@
@to stab@|@chhun@
@to stand@|@din, ding@
@to stay away from@|@rial@
@to stay the night@|@ria', riak@
@to steal@|@ru, rúk@
@to stick on a pole@|@taar@
@to stir@|@ti-puam, tih-puam@
@to stir up water@|@tui"nut@
@to stop@|@ti-reh, tih-reh@
@to straighten@|@ti-ngîl, tih-ngîl@
@to strain@|@thli, thlit@
@to strike@|@chhu, chhut, hnek, nek@
@to strike with the fingers@|@khap@
@to strip@|@rau'@
@to stroll@|@leeng@
@to struggle@|@taal@
@to struggle in the throes@|@chalchang"tal@
@to subjugate@|@tu-dai, tu-dawl, tuk-daih, tuk-dawl@
@to suck@|@fe', feep@
@to suck the breasts@|@hne@
@to suffer@|@tuar khaw-chhuak@
@to suffer patiently@|@tuar 'peih, tuar peih@
@to suffer with@|@tuar pui@
@to sulk@|@tau, tau', tuum@
@to supply a deficiency@|@tlin bak 'chhun zawm@
@to supply a need@|@ti-phui-sui, tih-phui-sui@
@to supply the lack@|@tlakbalna phu-hrûk, tlákbalna phui-sui@
@to support@|@doom, tuam-hlawm@
@to support by the community@|@tlâng châwm@
@to surprise@|@ti-phu-zawk, tih-phûk-zawk, tih-phût-zawk@
@to surround@|@zim, zím@
@to survey@|@tlãng'teh@
@to swarm@|@rau, rau'@
@to sway to one side@|@thle, thleek@
@to sweep@|@phiat@
@to swell@|@puam@
@to swill@|@tleu@
@to take@|@la, laak@
@to take a pinch@|@so', sook@
@to take away from by force@|@ram@
@to take out@|@thur@
@to take out of pot@|@khor'@
@to take pleasure in@|@hlut@
@to take refuge@|@tlu lût, tlûk luh@
@to take to flight@|@tlân-cchiat, tlân-chhe, tlân-chhia@
@to talk about@|@titi-pui@
@to tangle@|@ti-phiar, tih-phiar@
@to taste@|@tem@
@to tear@|@ti-thlêr, tih-thlêr@
@to tell@|@a hrila' hril, a hrilha' hrilh@
@to temper@|@tuai@
@to tend@|@sor@
@to tend a fire@|@tuah@
@to the end@|@tluan chhuah, tluan chhuak@
@to the face@|@chal-chheh-takin@
@to think@|@ngai, ngai'@
@to threaten@|@tiam@
@to threaten by gesture@|@tin@
@to throw@|@deeng, den@
@to throw away@|@pai'@
@to thrust@|@thon@
@to tickle@|@ti-za, tih-zat@
@to tone down@|@ti-zûk, tih-zûk@
@to tread upon@|@ra', rap@
@to trim@|@chap@
@to try one's strength@|@chai@
@to try to eject forcibly@|@khak@
@to turn the back upon@|@tukhum chhah"chhawn@
@to turn up@|@le', lep@
@to unsettle@|@ti-sîk-sawi, tih-sîk-sawi@
@to uproot@|@pur@
@to urge@|@tur@
@to use in common@|@tlâng-lâwn@
@to use strong language@|@hram'tla-hawlh@
@to use to advantage@|@ti-zai, tih-zai@
@to visit@|@tlawh@
@to wag from side to side@|@hem, hém@
@to wait patiently@|@tui kang nghaha"nghah chhuah@
@to wake up@|@tho, ti-tho, tih-thawh@
@to walk water@|@tui dung chhir@
@to wash@|@sil, thua'@
@to wash clothes@|@sop@
@to waste away@|@roop@
@to watch for@|@chaang, chan@
@to watch for a morning@|@tûk that tûk"en@
@to water@|@tui"dawttîr@
@to water as horse@|@tui'dâwttîr@
@to water as plants@|@tuiin"chawm@
@to wear@|@pai, vua'@
@to weigh@|@khin, khín@
@to welcome@|@lom, lóm@
@to whistle@|@tuut@
@to win a game@|@kol@
@to wind@|@tlei@
@to withdraw@|@su', suut@
@to wither@|@rau@
@to withhold@|@suum@
@to withstand@|@kal'@
@to work@|@tho', thok@
@to work hard@|@kuur@
@to wound@|@ti-pem, tih-pem@
@to wound as head@|@ti-pawp, tih-pawh@
@to wrap@|@tuam@
@to wrap all round@|@tuam vêl@
@to wriggle@|@vial@
@to wring@|@soor@
@to wrinkle@|@ti-zûr, tih-zûr@
@to you@|@a che@
@together@|@a-hovin@
@tomorrow@|@nap@
@tongue@|@lei, m-lei@
@tooth@|@ha@
@trample under foot@|@chhiil@
@transfer picture@|@tui milem@
@travel along@|@hruut@
@tree with very bitter fruit@|@kha-ruan@
@tremulously@|@tlawk@
@trough for dyeing cotton yarn@|@Ting-thlêng@
@tuang@|@the bristles@
@tuang 'din@|@to bristle@
@tune@|@thlúk@
@tunnel@|@tlang verh@
@turmeric@|@ai-eng@
@turn back@|@hliim@
@twenty@|@Haka kul, m-kul@
@two@|@dun, dún, hni', k-hnis@
@ugly@|@hmelchhia@
@under@|@pil@
@unfortunately@|@khang-lang@
@unite@|@zom@
@unoiled and dry@|@hram@
@unruly@|@nghal@
@untempered@|@tuai loh@
@unusually dry weather@|@khaw awm@
@uphill and down dale@|@a chhuk a chhovin@
@use@|@tlaktlaina, tláktlaina@
@used as a bait for crabs@|@ai-bawp@
@useless@|@thlon, thloon@
@v to look after the froth@|@tui phûl"vêng@
@varieties of the hnahkhar tree@|@khar pa@
@vent one's spite@|@tuan@
@very little@|@tlêm-tê@
@very occasionally@|@a chang changin@
@very wet weather@|@khaw chêng@
@village@|@khaw din, kho, khua, nam, nam@
@violently@|@sok@
@voice@|@rool, thoom@
@walk about a village@|@tual'fan, tual 'fang@
@walk along@|@zo'@
@walk upon the hands@|@aifiar kal@
@walk with@|@hol@
@want@|@tum@
@water@|@Dui, tui@
@water boiling on the fire@|@tui chhuang so, tui"chhuan so@
@water bottle@|@tui-thawl@
@water conveyed@|@tui la, tui"lak@
@water dipper@|@tui thalna@
@water drunk when swearing@|@tui chhia, yui chhe@
@water rat@|@tui-zu@
@water snake@|@tui-rûl@
@water spirit seized him@|@tui tham@
@water spout@|@tui vir chho@
@water supply@|@tui-tlan@
@watercress@|@tui-an@
@watering@|@tuia "chawm, tuiin chawm@
@waters surrounding a child@|@tui-phûl@
@watershed@|@khan@
@watertight@|@hul@
@wave about@|@hól@
@wave the hand@|@vai@
@way@|@am, lam@
@we@|@ei@
@weak as tea@|@r-pa@
@wear continually@|@to rawt@
@weather caused by cloudy sky@|@khaw dur uap@
@weave@|@ta', tak'@
@well@|@tui-chhun-chhuah, tuichhunchhuah khur@
@well-formed@|@tlawntlai thatak@
@wet@|@hu'@
@wet and dirty@|@chiau@
@what@|@bang, éng@
@what comes first@|@tak, ták@
@when@|@khân, khan-in@
@when. . .first@|@tîr-in, tirh-in@
@Where is my room?@|@Ka pindan khawi ah nge a awm?@
@Where is the bar?@|@Zudawr khawi ah nge a awm?@
@whether difficult or easy@|@a hreh-awm a nuamin@
@which makes a thing@|@tona@
@which of two@|@a eng zawk nge@
@which see@|@kham-pa, sumhmun bang chhak, ti-uar, tih-uar, tlâm, tlawp-tlaw, tui-chhuar bang@
@which?@|@a eng-nge, a eng ber nge@
@white@|@bok, buang, Haka raang, ngô@
@white-ant@|@tlûng-pi@
@Who do you think I am?@|@Tuahnge mi ruat?@
@who?@|@tu-ah-nge, tu-chhîn, tu-in-nge@
@whole families@|@a chhûng chhûngin@
@whose?@|@tu@
@why?@|@a eng a ruangah nge@
@wide@|@váng@
@wild cardamom@|@ai-chhe, ai-chhia, ai du sên-til@
@wild duck@|@tui-va-rak@
@wild jungle produce@|@to-kai@
@will@|@ang@
@wind@|@mv-pung@
@wind preceding a wet weather@|@khaw chêng hawt@
@winding@|@kual@
@wish@|@du'@
@with a human body@|@a hring hranin@
@with difficulty@|@tal@
@with relish@|@tui ti takin@
@without a cause@|@a chhan awm lovin@
@without admixture@|@a hlîrin@
@without salt@|@a hangin@
@without violence@|@tlang, tlangtakin@
@woman's pipe@|@tui-bûr@
@wood@|@Rong, thing@
@wooden mortar@|@tual-sum@
@word@|@thu@
@worm@|@chang-paat, tang@
@worm of a screw@|@tial@
@worm upheavals@|@chalcha êk, chalchang êk@
@wormwood@|@sai@
@wound@|@Tiddim ma@
@yarn in@|@Ting-thlêng@
@yawn@|@ham, hám@
@year@|@kum, Ning@
@yellow@|@eng@
@yes@|@o@
@yew tree@|@faar@
@you@|@nang@
@younger sibling@|@nau@
@youth@|@tlang-val, tleirawl lai@

