@English@|@Icelandic@
@finance minister@|@fjármálarráðherra@
@finances@|@fjármál@
@financial status@|@fjárhagur@
@financier@|@fjármálamaður@
@find@|@finna, hitta@
@fine@|@ágætlega, ágætur, fínn@
@finger@|@fingur@
@finger tip@|@gómur@
@finish@|@enda, fullgera, ljúka við@
@finished@|@búinn@
@Finn@|@Finni@
@Finns@|@Finni@
@fire@|@bál, brenna, bruni, eldur@
@fire brigade@|@brunalið@
@fire hazard@|@eldhætta@
@fire station@|@brunastöð@
@fireplace@|@arinn, eldstæði, hlóðir@
@fireproof@|@eldfastur@
@firm@|@eindreginn, fastur, firma, fyrirtæki@
@firmly@|@fast@
@first@|@fyrri, fyrst, fyrstur@
@first cousins@|@bræðrabörn, bræðradætur@
@first rate@|@fyrsta flokks@
@firth@|@fjörður@
@fish@|@fiska, fiskur@
@fish balls@|@fiskabollur@
@fish meal@|@fiskimjöl@
@fish pudding@|@fiskbúðingur@
@fish soup@|@fiskisúpa@
@fisherman@|@sjóari@
@fishing@|@fiskiveiðar@
@fishing line@|@færi@
@fishing rod@|@fiskistöng@
@fishskin@|@roð@
@fist@|@hnefi@
@fit@|@hæfur@
@five@|@fimm@
@five (cards)@|@fimma@
@fivefold@|@fimmfaldur@
@fix@|@festa@
@fixed@|@fastur@
@fjord@|@fjörður@
@flag@|@fáni, flagg@
@flag staff@|@flaggstöng@
@flaking@|@flökun@
@flank@|@fylkingararmur@
@flat@|@daufur, flatlendur, íbúð@
@flat stone@|@hella@
@flatter@|@hæla@
@flattery@|@hól@
@flay@|@flá@
@flee@|@flýja@
@fleet@|@fljótur, floti@
@flensing a whale@|@hvalskurður@
@flesh@|@hold@
@flexible@|@beygjanlegur@
@flight@|@flótti, flug@
@fling@|@henda@
@flirting@|@daður@
@float@|@fljóta@
@flock@|@flokka@
@flood@|@flæða, flóð@
@flood tide@|@aðfall@
@floor@|@gólf, hæð@
@flounder@|@flyðra@
@flourish@|@standa í blóma@
@flower@|@blóm, blómi@
@flowering@|@blómi@
@flu@|@inflúenza@
@fluctuate@|@sveiflast@
@fluently@|@reiprennandi@
@fluvial deposit@|@árset@
@fly@|@fljúga, fluga, hrökkva@
@flying@|@flug@
@foal@|@folald@
@fodder@|@fóður@
@fog@|@þoka@
@fold@|@brot, rétt@
@folk@|@fólk@
@folktale@|@þjóðsaga@
@follow@|@fylgja@
@follow in the footsteps of@|@feta í fótspor@
@folly@|@flónska@
@food@|@áta, fæði, matur@
@food and drink@|@veitingar@
@fool@|@asni, auli, bjáni, fífl, flón, kjáni, klaufi@
@foolhardy person@|@glanni@
@foolish@|@fíflslegur, heimskur@
@foot@|@fótur@
@football@|@fótbolti@
@foothill@|@ás@
@footprint@|@fótspor@
@for@|@fyrir, handa, því að@
@for a long time@|@um langan aldur@
@for a while@|@um hríð, um stund@
@for ever@|@að eilífu@
@for example@|@til dæmis@
@for fun@|@til gamans@
@for hire@|@til leigu@
@for reasons@|@af ástæðum@
@for sale@|@falur, til sölu@
@for some reason@|@einhverra hluta vegna@
@for the good of@|@í hag@
@for the moment@|@í bíli@
@for the most part@|@að mestu leyti@
@for what reason@|@hvers vegna@
@force@|@afl@
@ford@|@brot@
@forehead@|@enni@
@foreign@|@erlendur@
@Foreign Minister@|@utanríkisráðherra@
@forenoon@|@árdegi@
@foresight@|@forsjá@
@foreword@|@formáli@
@forge@|@falsa@
@forged letter@|@falsbréf@
@forgery@|@fölsun@
@forget@|@gleyma@
@forgive@|@fyrirgefa@
@fork@|@gaffall@
@form@|@form@
@former@|@fyrri, fyrrverandi@
@formerly@|@áður, forðum@
@fort@|@virki@
@fortunate@|@heppinn@
@fortune@|@hamingja@
@forward@|@áfram, fram, framur@
@foul@|@fúll@
@found@|@grundvalla@
@foundation@|@grundvöllur@
@fountain@|@gosbrunur@
@four@|@fjarki, fjórir@
@four of each@|@fern@
@fourfold@|@ferfaldur@
@fourteen@|@fjórtán@
@fourth@|@fjórði@
@fracture@|@brot@
@fracture system@|@brotakerfi@
@fragile@|@brothættur@
@fragment@|@brot@
@fragrance@|@ilmur@
@frame of mind@|@hugarþel@
@France@|@Frakkland@
@frank@|@opinskár@
@free@|@frjáls, gefins@
@free church@|@fríkirkja@
@freedom@|@frelsi@
@freedom of action@|@frjálsræði@
@freeom of the press@|@prentfrelsi@
@freeze@|@frjósa, frysta@
@freight@|@farmgjald@
@freightage@|@farmgjald@
@French@|@franska, franskur@
@Frenchman@|@Frakki@
@frenzy@|@tryllingur@
@frequently@|@þrátt@
@fresh@|@ferskur@
@fresh fish@|@blautur fiskur@
@Friday@|@Föstudagur@
@friend@|@vinur@
@friendly@|@alúðlegur, vingjarnlegur@
@frighten@|@hræða@
@frightened@|@hræddur@
@frightful@|@skelfilegur@
@frock@|@kjóll@
@from@|@af, frá, úr@
@from afar@|@aðkominn@
@from behind@|@aftan@
@from here@|@héðan@
@from home@|@heiman@
@from the boat@|@frá borði@
@from the east@|@að austan, austan@
@from the front@|@framan@
@from the North@|@norðan@
@from the south@|@sunnan@
@from there@|@þaðan@
@from under@|@undan@
@front@|@framhlið@
@front door@|@götudyr@
@front page@|@forsiða@
@frost@|@frost@
@frost bitten@|@kalinn@
@frosted@|@frystur@
@frozen@|@frystur@
@frugality@|@sparneyti@
@fruit@|@aldin, ávöxtur@
@fruit juice@|@saft@
@fugitive@|@flóttamaður@
@fulfil@|@efna, fullnægja@
@full@|@fullur@
@fullness@|@fylli@
@fully@|@gjörla, ítarlega, til hlítar@
@fun@|@gaman@
@funeral@|@jarðarför@
@funny@|@skringilegur@
@furnish@|@birgja@
@furnished@|@mublerað@
@furniture@|@húsgögn@
@further@|@framar@
@further away@|@fjær@
@further back@|@aftar@
@further east@|@eystri@
@further in@|@innar@
@furthest away@|@fjærst@
@furtively@|@í laumi@
@fuss@|@læti@
@future@|@framtíð, vætanlegur@
@gable@|@gafl@
@gain@|@afla, ágóði, gagn@
@gain by@|@hafa gagn af@
@gait@|@gangur@
@game@|@kappleikur, leikur, spil@
@gaol@|@fangelsi@
@gap@|@eyða, gat, op@
@garden@|@garður@
@garment@|@fat@
@gas@|@gas@
@gate@|@hlið@
@gauge@|@mælitæki@
@gem@|@gimsteinn@
@gender@|@kyn@
@general@|@algengur, almennur, hershöfðingi@
@generation@|@liður@
@generosity@|@örlæti, rausn@
@generous@|@göfugur, örlátur@
@genitals@|@sköp@
@genius@|@ofviti@
@genuine@|@ekta@
@geology@|@jarðfræði@
@German@|@þýskur, þýzkur@
@Germany@|@þýzkland@
@gesticulation@|@tilburðir@
@get@|@fá, ná@
@get an education@|@mennta sig@
@get angry@|@fjúka í@
@get better@|@batna@
@get bright@|@birta@
@get by@|@bjarga sér@
@get dark@|@dimma@
@get exchanged@|@fá skift@
@get into straits@|@komast í hann krappan@
@get light@|@daga@
@get lost@|@villast@
@get married@|@giftast@
@get on@|@vegna@
@get one´s breath@|@kasta mæðinn@
@get out of the light@|@fara frá birtunni@
@get ready@|@búa sig@
@get up@|@fara á fæti, fara á fætur@
@get up with the sun@|@vakna með sólu@
@get wet@|@blotna@
@geyser@|@goshver@
@ghost@|@afturganga, draugur@
@ghost story@|@draugasaga@
@giant@|@jötunn, risi, þurs@
@gift@|@gáfa, gjöf@
@gifted@|@gáfaður@
@gild@|@gylla@
@girl@|@stúlka@
@girt@|@gáfur@
@give@|@gefa@
@give a nickname@|@uppnefna@
@give a talk@|@flytja erindi@
@give birth to@|@ala@
@give credence t@|@leggja trúnað á@
@give in@|@láta sig@
@give in marriage@|@gifta@
@give way to@|@þoka fyrir@
@glacial outwash@|@aur@
@glacier@|@jökull@
@glad@|@feginn@
@glance@|@bjarmi@
@glass@|@glas, gler, spegill@
@glass eye@|@glerauga@
@glass of water@|@glas af vatni@
@glasses@|@gleraugu@
@glide@|@renna@
@glitter@|@gljá@
@globe@|@hnöttur@
@gloomy weather@|@dumbungsveður@
@glorious@|@dýrðlegur@
@glory@|@dýrð@
@glove@|@fingravettlingur, hanzki@
@glow@|@glóa@
@go@|@fara, ganga@
@go about one´s business@|@fara ferða sinn@
@go and lie down@|@ganga til náða@
@go away@|@fara sinn veg@
@go badly@|@fara illa@
@go before@|@fara á undan@
@go hiking@|@ganga á fjöll@
@go home@|@fara heim@
@go on@|@haldast@
@go on a diet@|@grenna sig@
@go out@|@deyja, fara út, kulna út@
@go to@|@sækja@
@go to bed@|@fara í rúmið, hátta@
@go to Communion@|@ganga til altaris@
@go to school@|@fara í skóla@
@go too far@|@keyra úr hófi@
@go up into the mountains@|@ganga á fjöll@
@goat@|@geit@
@God@|@drotinn, guð@
@god fearing@|@guðhræddur@
@goddess@|@dís@
@godless@|@guðlaus@
@going@|@færð@
@gold@|@gull@
@goldsmith@|@gullsmiður@
@good@|@almennilegur, góður, hollur, vænn@
@good advice@|@heilræði@
@good fortune@|@auðna, heppni@
@Good Friday@|@föstudagurinn langi@
@good health@|@heilsa@
@good luck@|@gæfa, hamingja@
@good morning@|@góðan dag@
@good tempered@|@geðgóður@
@good turn@|@greiði@
@goose@|@gæs@
@gorge@|@gjá@
@gospell@|@guðspjall@
@govern@|@drottna@
@government@|@landstjórn, ríkisstjórn@
@grace@|@náð, vægð@
@grade@|@bekkur, einkunn@
@gramme@|@gramm@
@gramophone@|@grammófónn@
@grandfather@|@afi@
@grandmother@|@amma@
@grant@|@gefa, styrkur, veita, veiting@
@grape@|@vínber@
@grasp@|@hald, tak@
@grass@|@gras@
@grasslands@|@engjar@
@gratis@|@gefins@
@grave@|@gröf@
@gravel bank@|@eyri@
@gravel plain@|@aur@
@graze@|@beita@
@grease@|@feiti, fita@
@great number@|@fjöldi@
@greatly@|@ákaflega, stórum@
@greed@|@ágirnd, græðgi@
@green@|@grænn@
@greenhouse@|@gróðrarhús@
@greet@|@heilsa@
@grey@|@grár@
@grey haired@|@gráhærður@
@grief@|@hryggð@
@grieve@|@hryggja@
@grin@|@glotta@
@grip@|@tak@
@groin@|@nári@
@ground@|@ástæða, jarðvegur, jörð, land@
@grounds@|@forsenda@
@group@|@hópur@
@grow@|@gróa, vaxa@
@grow fat@|@fitna@
@grow old@|@eldast@
@grown up@|@fullorðinn@
@growth@|@auking, gróður, vöxtur@
@guarantee@|@ábyrgjast@
@guard against@|@varast@
@guess@|@ágizkun, geta, gizka@
@guest@|@gestur@
@guidance@|@leiðsaga@
@guidance. companionship@|@fylgd@
@guillotine@|@fallöxi@
@guise@|@gervi@
@gull@|@máfur, mávur@
@gullible@|@fávís@
@gully@|@gil@
@gun@|@byssa@
@gush@|@gjósa@
@guts@|@kjarkur@
@gymnastics@|@fimleikar@
@habit@|@vani@
@habitation@|@byggð@
@haddock@|@ýsa@
@hail@|@hagl@
@hair@|@hár@
@haircut@|@klipping@
@hairdresser´s@|@hárgreiðslustofa@
@hairpin@|@hárnál@
@half@|@hálfur, helmingur@
@half an hour@|@hálftími@
@half brother@|@hálfbróðir@
@half wit@|@hálfviti@
@half-melted@|@kramur@
@halibut@|@flyðra@
@hallow@|@helga@
@hallway@|@forstofa@
@halt@|@stansa@
@ham@|@flesk@
@hammer@|@hamar, hamra@
@hand@|@hönd@
@hand over@|@afhenda, láta af hendi@
@handbag@|@handtaska@
@handcuffs@|@handjárn@
@handicraft@|@handiðnaður@
@handkerchief@|@klútur@
@handle@|@eyra, fara með, handfang, húnn, skaft@
@handrail@|@handrið@
@hands@|@hendur@
@handsome@|@fríður, myndarlegur@
@handy@|@laginn@
@hang@|@hanga, hengja@
@hang about@|@hanga um@
@hang out flags@|@flagga@
@hanky panky@|@laumspil@
@happen@|@bera við, henda, verða, vilja til@
@happily@|@farsællega@
@happiness@|@gleði@
@happy@|@farsæll, glaður, hamingjusamur, kátur, sæll@
@Happy New Year@|@gleðilegt nýár@
@happy reunion@|@fagnaðarfundur@
@harbour@|@höfn@
@hard@|@fast, harður@
@hard boiled@|@harðsoðinn@
@hard times@|@harðindi@
@hard to follow@|@vandrataður@
@harden@|@harðna, herða@
@hardly@|@varla@
@hardware@|@járnvara@
@harm@|@mein, skaði@
@harpoon@|@skutla@
@harpooner@|@skutlari@
@harsh frost@|@harka@
@harshly@|@hart@
@haste@|@hraði@
@hasten@|@flýta, hraða@
@hat@|@hattur@
@hate@|@hata, hatur@
@hatred@|@hatur@
@haunting@|@draugagangur@
@have@|@eiga, hafa@
@have a bath@|@baða sig@
@have a good influence on@|@hafa góð áhrif á@
@have a good laugh@|@hlæja dátt@
@have a look@|@gá@
@have a mind to@|@nenna@
@have business with@|@eiga erindi við@
@have children by@|@eignast börn með@
@have done something@|@vera búinn að gera@
@have for sale@|@hafa á boðstólum@
@have something done@|@láta gera e-ð@
@have the heart to@|@tíma@
@have the time to do@|@tíma@
@have to@|@hljóta að, mega@
@having no appetite@|@lystarlaus@
@hawk@|@hryðja@
@hay@|@hey@
@hazard@|@áhætta@
@haze@|@móða@
@he@|@hann@
@he whom@|@sá sem@
@hea@|@hiti@
@head@|@haus, höfuð@
@head for@|@halda til, stefna til@
@head home@|@halda heimleiðis@
@headache@|@höfuðverkur@
@headland@|@enni@
@headmistress@|@forstöðukona@
@headquarters@|@beykisstöð@
@headword@|@uppflettiorð@
@heal@|@græða, gróa@
@health@|@heilbrigði@
@healthy@|@heilbrigður, hraustur@
@heap@|@hrúga@
@hear@|@heyra, hlusta á@
@hearing@|@heyrn, hljóð@
@hearsay@|@kvittur@
@heart@|@hjarta, hugskot@
@heart attack@|@hjartaáfall@
@heartburn@|@brjóstsviði@
@hearth@|@arinn@
@heat@|@hita@
@heathen@|@heiðinn@
@heaven@|@himinn, himnaríki@
@heavy@|@þungur@
@heavy sea@|@áfall@
@heel@|@hæll@
@hegemony@|@forræði@
@height@|@hæð@
@heir@|@arftaki@
@helicopter@|@þyrla@
@hello@|@komdu blessaður@
@helmet@|@hjálmur@
@help@|@aðstoð, duga, fylgi, gagn, hjálp, hjálpa@
@helpful@|@hjálpsamur@
@helpful advice@|@bjargráð@
@helpless@|@aðstoðarlaus@
@hen@|@hæna@
@henceforth@|@heðan í frá@
@her@|@hana, hennar, sinn@
@herb@|@jurt@
@herd@|@hjörð@
@here@|@hér, hérna, hingað@
@heredity@|@erfðir@
@hero@|@garpur, hetja, kappi@
@heroine@|@kvenhetja@
@hers@|@hennar@
@hesitantly@|@með hálfum hug@
@hesitate@|@hika@
@hesitation@|@hik@
@hew@|@höggva@
@hiccup@|@hixta, hixti@
@hidden@|@hulinn, leyndur@
@hide@|@byrgja, dylja, fela, hylja, leynast@
@hideout@|@fylgsni@
@hiding place@|@felustaður@
@high@|@hár@
@high born@|@stórættaður@
@high seat@|@hásæti@
@high tension@|@háspenna@
@high tide@|@flóð@
@highland pasture@|@afréttur@
@highly@|@hátt@
@hill@|@fell, hæð, háls@
@hillock@|@hóll@
@hillside@|@brekka, hlíð@
@hind lef@|@afturfótur@
@hinder@|@aftra, hindra@
@hinge@|@hjör@
@hint@|@bending@
@hire@|@leiga, leigja@
@his@|@sinn@
@historical@|@sögulegur@
@history@|@saga@
@hit@|@hæfa, hitta, högg, slá@
@hit on@|@leita á@
@hither@|@hingað@
@hoarfrost@|@hrím@
@hoarse@|@hás@
@hoarseness@|@hæsi@
@hold@|@bragð, fang, halda, tak@
@hold back@|@aftra@
@holder@|@handhafi@
@hole@|@gat, hol@
@holiday@|@frí, hátíð, helgidagur@
@hollow@|@dæld, holur@
@hollow out@|@hola@
@holy@|@heilagur@
@home@|@heim, heimili@
@home for the blind@|@blindraheimil@
@Home Office@|@innanríkisráðuneyti@
@home rule@|@heimastjórn@
@Home Secretary@|@innansríkisráðherra@
@homecoming@|@heimkoma@
@homefield@|@tún@
@homewards@|@heim@
@honest@|@heiðarlegur, ráðvandur@
@honey@|@hunang@
@honour@|@heiðra, heiður@
@honourable@|@heiðarlegur@
@hoof@|@hófur@
@hook@|@snagi@
@hope@|@eftirvænting, von, vona@
@hopefully@|@vonandi@
@hopeless@|@vanlaus@
@hopelessness@|@vonleysi@
@horn@|@horn@
@horrible@|@hroðalegur@
@horribly@|@hryllilegt@
@horror@|@hryllingur@
@horse@|@hestur, hross@
@horse race@|@kappreið@
@hospitable@|@gestrisinn@
@hospital@|@sjúkrahús@
@host@|@gestgjafi@
@hostile@|@fjandsamlegur@
@hostility@|@fjandskapur@
@hot@|@heitur@
@hot spring@|@hver@
@hot water@|@heitt vatn@
@hotel@|@gistihús, hótel@
@hot-tempered@|@reiðigjarn@
@hour@|@stund, tími@
@house@|@hús, hýsa@
@house keeping@|@búskapur@
@household@|@bú@
@household word@|@orð á hvers manns vörum@
@housekeeper@|@bústýra@
@housewife@|@húsmóðir@
@hovel@|@kumbaldi@
@how@|@hve, hvernig@
@how are things coming on@|@hvað líður@
@howl@|@gnauða, góla@
@howler@|@kórvilla@
@huge@|@afarstór@
@huge thing@|@bákn@
@hull@|@húfur@
@hum@|@raula@
@humiliation@|@niðurlæging@
@humility@|@auðmykt, auðmýkt@
@hundred@|@hundrað, hundruð@
@hundredfold@|@hundraðfaldur@
@hunger@|@hungur, sultur@
@hungry@|@hungraður@
@hurry@|@flýta, flýta sér@
@hurt@|@særa@
@hurtful@|@særandi@
@husband@|@bóndi, eiginmaður@
@hydrogen@|@vetni@
@hypocrisy@|@hræsni@
@hypocrite@|@hræsnari@
@I@|@ég@
@I am afraid that@|@mig uggir@
@I am amazed@|@mig undrar@
@I am astonished@|@það gengur yfir mig@
@I am bleeding@|@mér blæðir@
@I am cold@|@mér er kalt, mig kelur@
@I am dizzy@|@mig svimar@
@I am hungry@|@mig hungrar@
@I am shocked@|@mér ofbýður@
@I am thirsty@|@mig þyrstir@
@I desire@|@mig fýsir@
@I dream@|@mig dreymir@
@I feel@|@mér finnst@
@I get sleepy@|@mig syfjar@
@I have a feeling that@|@mig órar@
@I lack@|@mig skortir@
@I long@|@mig lystir@
@I need@|@mig vantar@
@I shudder@|@mig hryllir@
@I suspect@|@mig grunar@
@I think@|@mér finnst@
@I want@|@mig þrýtur@
@I´m on the mend@|@mér batnar@
@I´m recovering from@|@mér batnar@
@ice@|@ís@
@ice cold@|@ískaldur@
@ice cream@|@ís, rjómaís@
@Iceland@|@Ísland@
@Icelander@|@Íslendingur@
@Icelandic@|@íslenzka, íslenzkur@
@Icelandic curds with berries@|@berjaskyr@
@Icelandic Parliament@|@Alþingi@
@idea@|@hugmynd, hugsjón, hugtak@
@ideal@|@fyrirmynd, hugsjón@
@idealist@|@hugmyndafræðilegur, hugsjónamaður@
@ideological@|@hugmyndafræðilegur@
@ideologist@|@hugmyndafræðilegur@
@ideology@|@hugmyndafræði@
@idiot@|@fífl, þurs@
@idle@|@iðjalaus@
@idleness@|@iðjuleysi@
@if@|@ef, hvort@
@ignite@|@kveikja@
@ignorant@|@fávís@
@ill@|@illur, sjúkur, veikur@
@ill doer@|@illvirki@
@ill tempered@|@geðvondur@
@illiteracy@|@menntunarleysi@
@illusion@|@hugarburður@
@image@|@ímynd@
@imaginable@|@hugsanlegur@
@imaginative@|@hugmyndaríkur@
@imitate@|@herma eftir@
@imitation@|@eftirlíking@
@immediately@|@þegar, undir eins@
@impede@|@hindra@
@impiety@|@guðleysi@
@implement@|@áhald@
@import@|@aðflutningur, innflutningur@
@import licence@|@innflutningsleyfi@
@importing@|@innflutningur@
@impossible@|@afleitur@
@imprecation@|@bölbæn@
@impression@|@far@
@imprison@|@fangelsa@
@improve@|@bæta, batna, endurbæta@
@improvement@|@bati, endurbót@
@in@|@í, inn@
@in a class by oneself@|@sér í flokki@
@in a different form@|@í breyttum myndum@
@in a week@|@á viku@
@in addition to@|@auk@
@in addition to that@|@auk þess, þar að auki@
@in advance@|@fyrirfram@
@in any way whatsoever@|@á einhvern máta@
@in case@|@ef@
@in cold blood@|@af ásettu ráði@
@in comparison with@|@í samanburði við@
@in dark clothes@|@dökkklæddur@
@in detail@|@ítarlega@
@in distress@|@í nauðum@
@in fact@|@eiginlega, í rauninni@
@in front of@|@fyrir framan@
@in full vesments@|@alskrýddur@
@in fun@|@í gamni@
@in general@|@yfirleitt@
@in good health@|@heilsugóður@
@in Iceland@|@á Íslandi@
@in Icelandic@|@á íslenzku@
@in jest@|@í gamni@
@in large numbers@|@unnvörpum@
@in love@|@ástfanginn@
@in memory of@|@til minningar um@
@in need@|@í nauðum@
@in order that@|@til þes að@
@in poor health@|@heilsulaus@
@in question@|@sem um er að ræða@
@in reality@|@í reyndinni@
@in Scandinavia@|@á Norðurlöndum@
@in spirit@|@í anda@
@in spite of@|@þrátt fyrir@
@in stock@|@fyrirliggjandi@
@in that case@|@ef svo er@
@in the background@|@að baki@
@in the distance@|@í fjarska@
@in the east@|@eystra@
@in the evening@|@á kvöldin, að kvöldi@
@in the future@|@framvegis@
@in the initial stage@|@á byrjunarstigi@
@in the morning@|@á morganna@
@in the nineteenth century@|@á nítjándu öldinni@
@in the same moment@|@í sömu andránni@
@in the short run@|@í bráð@
@in the winter@|@á vetrum, að vetrinum@
@in their midst@|@á meðal þeirra@
@in times of yore@|@endur fyrir löngu@
@in vain@|@til einskis, til ónýtis@
@in various ways@|@allavega@
@in view@|@fyrir augum@
@in waves@|@í hrönnum@
@inactivity@|@athafnaleysi@
@inattentive@|@óvar@
@inch@|@tomma@
@incident@|@atburður, atvik@
@incidentally@|@vel á minnst@
@incline@|@halla@
@include@|@taka til@
@included@|@innifalinn@
@increase@|@auka, aukast, auki, auking, bæta, hækka, hækkun, hvessa@
@increase in number@|@fjölga@
@incredibly@|@ótrúlega@
@independent@|@frjáls, óháður@
@index finger@|@vísifingur@
@indicate@|@benda til@
@indifferent@|@tómlátur@
@indigent@|@fátækur@
@indignation@|@gremja@
@indistinct@|@ógreinilegur@
@individual@|@einstaklingur, einstakur@
@industrious@|@myndarlegur@
@industry@|@iðjusemi, iðnaður, iðni@
@inefficient@|@afkastalítill@
@infancy@|@bernska@
@infantry@|@fótgöngulið@
@inflame@|@bólgna@
@inflammable@|@eldfimur@
@inflammation@|@bólga, þroti@
@influence@|@áhrif@
@influenza@|@inflúenza@
@inform@|@fræða@
@information@|@upplýsingar@
@ingenuity@|@hugvit@
@inhabit@|@byggja@
@inhabitant@|@búandi, íbúi@
@inhabitants@|@íbúar@
@inhabited parts@|@byggðir@
@inherit@|@erfa@
@inheritance@|@arfur@
@initiative@|@frumkvæði@
@injection@|@innspýting@
@injure@|@meiða@
@injured@|@meiddur@
@injustice@|@misrétti@
@ink@|@blek@
@inkling@|@hugboð@
@inmany respects@|@að mörgu leyti@
@inn@|@gistihús@
@innate character@|@eðli@
@inner@|@innri@
@innermost@|@innstur@
@inquisitive@|@forvitinn@
@insane@|@geðveikur, vitlaus@
@inscription@|@áletrun@
@inside@|@innan, inni@
@insight@|@innsýn@
@insipid@|@andlaus@
@insolence@|@hroki@
@inspection@|@eftirlit@
@inspiration@|@innblástur@
@inspire@|@unnblása@
@instalment@|@afborgun@
@instead@|@í staðinn@
@instead of@|@í staðinn fyrir@
@instruct@|@fræða@
@instruction@|@kennsla@
@instructions@|@notkunarreglur@
@instrument@|@áhald, mælitæki@
@insulate@|@einangra@
@insurance@|@ábyrgð@
@intelligence@|@gáfur@
@intelligent@|@greindur, skynugur@
@intend@|@ætla, áforma@
@intention@|@áætlun, áform, fyrirætlun@
@inter@|@jarða, jarðsetja@
@interest@|@áhugi, hagsmunir, hugða, renta@
@interesting@|@skemmtilegur, sögulegur@
@interference@|@íhlutun@
@interjection@|@upphrópun@
@internal@|@innanlands@
@internally@|@innvortis@
@international@|@alþjóðlegur@
@interrupt@|@stöðva, taka fram í fyrir@
@into@|@í@
@intoxicating@|@áfengur@
@introduce me to@|@kynna mig fyrir@
@introduction@|@kynning@
@intuition@|@innsæi@
@intuitive@|@innsær@
@invasion@|@innrás@
@inverted commas@|@gæsalappir@
@invest@|@fjárfesta@
@investment@|@fjárfesting@
@investor@|@fjárfestandi@
@inveterate@|@rótgróinn@
@invitation@|@boð, heimboð@
@invite@|@bjóða, bjóða heim@
@Ireland@|@Írland@
@Irish@|@írskur@
@iron@|@járn, pressa@
@iron clothes@|@strauja@
@iron industry@|@járniðnaður@
@iron plate@|@járnplata@
@irregular@|@afbrigðilegur@
@irrespective@|@án tillit til@
@irrigation@|@áveita@
@irritate@|@espa@
@is it possible@|@er það hægt@
@island@|@ey, eyja@
@islet@|@smáeyja@
@isolate@|@einangra@
@issu@|@málefni@
@it@|@það@
@it doesn't matter@|@það skiptir engu@
@it is all the same to me@|@mér er sama@
@it is freezing@|@hann frýs@
@it is no use@|@ekki er gagn að því@
@it is no use crying over spilt@|@ekki tjáir að sakast um orðin@
@it is not worth@|@það er til lítils að@
@it is of no avail@|@ekki er gagn að því@
@it is said@|@sagt er@
@it makes a difference@|@mig munar@
@it pains me to@|@mér er raun að@
@it seems to me@|@mér finnst, mig minnir@
@it stands to reason@|@það er augljóst að@
@it turned out that@|@svo fór að@
@Italian@|@ítalskur@
@Italy@|@Ítalía@
@item@|@liður@
@its@|@þess@
@jacket@|@jakki@
@jail@|@fangelsi@
@jam@|@ávaxtamauk@
@japanese@|@japanskur@
@jaw@|@kjálki@
@jealous@|@afbrýðisamur, afbrýðissamur@
@jealousy@|@afbrýði, afbrýðisemi@
@jet@|@þota@
@job@|@starf, vinna@
@job security@|@starfsöryggi@
@jockey@|@knapi@
@joint@|@samvirkur@
@joint ownership@|@sameign@
@jokingly@|@í gamni@
@jolly@|@glaður@
@jolt@|@áfall@
@journalist@|@blaðamaður@
@journey@|@ferð, ferðalag, för@
@joy@|@gleði@
@judge@|@dæma, dómari@
@judgement@|@dómur@
@jug@|@kanna@
@July@|@júli@
@jump@|@hoppa, stökk, stökkva@
@junction@|@gatnamót@
@just@|@bara, einmitt, réttlátur@
@just as well@|@jafnvel@
@just for a moment@|@snöggvast@
@just now@|@aðan, áðan@
@justice@|@réttlæti@
@kangaroo@|@kengúra@
@karl@|@karfi haddock@
@kaupmaður@|@kaypfélag@
@kaupstaður@|@merchant@
@keen@|@beittur@
@keen on@|@ólmur@
@keep@|@geyma@
@keep on@|@vera að@
@keep tabs on@|@fylgjast með@
@keep to the point@|@halda sér við efnið@
@keeping@|@geymsla@
@kelp@|@þang@
@kettle@|@ketill@
@key@|@lykill@
@keyword@|@lykilorð@
@kick up a fuss@|@argast í@
@kill@|@drepa@
@killer whale@|@háhyrningur@
@killing@|@dráp, víg@
@kilo@|@kíló@
@kilometre@|@kílómetri@
@kind@|@almennilegur, gerð, tag, tegund, vænn@
@kind hearted@|@hjartagóður@
@kindness@|@góðvild@
@king@|@konungur@
@kingdom@|@ríki@
@kingdom of heaven@|@himnaríki@
@kiss@|@kyssa, kyssast@
@kitchen@|@eldhús@
@kitchen bench@|@eldhússbekkur@
@kitchen cupboard@|@eldhússskápur@
@kitchen garden@|@kálgarður@
@kitchen stove@|@eldavél, eldstó@
@kitten@|@kettlingur@
@knapsack@|@bakpoki@
@knee@|@hné, kné@
@kneel@|@knéfalla@
@knife@|@hnífur@
@knob@|@húnn@
@knock@|@banka, berja, berja að dyrum, slá@
@knock at the door@|@banka að dyrum, drepa á dyr@
@knock up@|@hrófa upp@
@knoll@|@borg@
@knot@|@hnútur@
@know@|@kunna, þekkja, vita@
@know how to@|@kunna@
@know off by heart@|@kunna utan að@
@knowledge@|@þekking, vitorð@
@knuckle@|@hnúi@
@krill@|@áta@
@labour@|@erfiði@
@labourer@|@vinnumaður@
@laccolith@|@berggeitill@
@lack@|@ekla, þrot@
@lack of@|@skortur á@
@lactose@|@laktósi@
@ladle@|@ausa@
@lady@|@dama, kona@
@lair@|@bæli@
@lame@|@haltur@
@lament@|@harma@
@lamentations@|@kveinstafir@
@lamp@|@lampi@
@land@|@land, landa, lenda@
@land of dreams@|@draumaland@
@landed property@|@jarðeign@
@landing@|@lending@
