@English@|@Maxakali@
@On the other side of the town@|@Komën hato'a ãyuhuk pet yüm@
@one@|@puxet, ü@
@only@|@puxet@
@only one@|@hãpxet, puxehnãg, yãpxehnãg@
@open@|@xõn@
@Open (the door)!@|@Hãpxõn!@
@open eyes@|@ko'a@
@open market@|@nãpet@
@open up@|@hãpxõn@
@orange@|@nanüy@
@other@|@nõy@
@Other Indians travel by canoe.@|@Yãymaih te mïpkox hã' mõg.@
@Other Indians travel on the rivers@|@Yãymaih te kõnãg kopa' mõg@
@other side@|@hato'a, künãpa, xatapa@
@Other tribes eat the land turtle@|@Yãymaih te kegmax xexka mãhã@
@Other tribes live on the plateau@|@Yãymaih te xanep tu' pet@
@otter@|@xupapox@
@Our Father@|@Ügmüg Ütak@
@out of breath@|@xit tep-tex@
@outside@|@hãptopa, künãpa@
@outsider@|@ãyuhuk@
@Outsiders often travel in motorized vehicles.@|@Ãyuhuk te mïptut mõg punethok.@
@Outsiders shout@|@Yã ãyuhuk yïy ka'ok@
@over there@|@hato'a, nõnte@
@Over there lies a large pond@|@Õnte puxhep xip@
@overripe@|@tãmnãg@
@owe@|@tanemën@
@own messenger@|@yãykutnã'ax@
@ox@|@mox@
@oyster@|@kupxat@
@pair@|@kutonnix@
@palm tree@|@paxap xexka@
@palsied@|@xu'ux@
@panting@|@he@
@papaya@|@xupxak@
@papaya tree@|@xupxakkup@
@paper@|@tappet@
@parakeet@|@ãpkahnãg@
@parallel cousin@|@tuküm, ügnõy@
@parallel female cousins@|@tutnõy@
@parasite@|@kut@
@parasol@|@xunnïm yïmãg kox@
@parrot@|@kõnnüg@
@part of a house@|@mïptut kox@
@pay@|@hõm, pago@
@peak of the hill@|@yïktix xox@
@peanut@|@künãmãtix@
@pearl from an oyster@|@kupxat xap@
@pebble@|@mïkaxxap@
@peel off bark@|@koxok@
@peer@|@nõy@
@pelvic bone@|@xapexkup@
@pen@|@tappetkup@
@pencil@|@tappetkup@
@peninsula@|@kõnãgkox kohe@
@perfumed@|@haxnãg@
@perhaps@|@pãhã@
@period of time@|@mõ'ãgmüg@
@permit@|@tux hok pu ..., ügtux@
@Permit me to leave@|@Ügtux puk mõg@
@Peter came down from the mountain@|@Pet te yïktix tu yïxoho@
@Peter slept in the jail@|@Pet mõ'õn kanet kopah@
@Peter tilled the land across the river@|@Pet te hãpxaha kõnãgkox xatapa@
@pierce@|@xuhmïy@
@pig@|@kapat, xapup@
@pinch the skin@|@kuptop@
@pineapple@|@kutitta@
@pit viper@|@kãyã xoktupnãg, kãyãnox@
@pitcher@|@heptat'ax@
@pity@|@kuxa ka@
@plant@|@xok@
@plantains@|@tepta tox@
@plants@|@mïxux@
@plastic bag@|@tappet xuk'ax@
@plate@|@kãnëy pet xax@
@plateau@|@xanep@
@play@|@hãm'ãnuxxop, kax, kutex@
@play music@|@kãyãhã@
@play on the ground@|@hãmãnuxxop@
@plenty@|@punethok@
@pock marks@|@pakanet@
@policeman@|@xonat@
@pond@|@kõnãgkox@
@ponder@|@pe'ãpaxex, pe'paxex, yãykuxop@
@porcupine@|@õnyãm@
@Pork is tasty@|@Xapup yïn xuxpex@
@pot@|@naxtox@
@potato@|@kõmïy@
@pour out@|@pux@
@powder@|@kõnnõn@
@Pradinho's dance is always on Monday@|@Pananïy hãmyã ãhïynãgXegonapet@
@Pradinho's dance is always on Mondays@|@Pananïy hãmyã ãhïynãg xegonape@
@Pray to your Lord so that He may heal you@|@Ãxuxyã tu' xax putu 'ãhittupmã@
@praying@|@mantis kaxõy@
@prefer@|@putuppax@
@pregnant@|@xuk@
@present time@|@nõmhã@
@press together in a crowd@|@yãy pu mõ'yõn@
@priest@|@ãmãnex@
@primary@|@nõmãxap@
@prison@|@kanet@
@prolonged@|@hïynãg@
@prostitute@|@xotit@
@prostrate oneself@|@nü'xup@
@protect@|@xix@
@protuberance@|@xupup@
@proud@|@nãmnãg@
@prove@|@kopit@
@pulverize@|@kãyãhã, kõnõnnãhã@
@puncture@|@tapxak, xuhmïy@
@purple@|@xutta kõmnãg@
@pursue@|@papuk@
@pus@|@payõn@
@push@|@kaxix@
@put into a sack@|@mõ'xuk@
@put on@|@mõ'tat@
@put on a shirt@|@mõ'xex@
@put out the firewood@|@xok kuhu@
@quake@|@yãynuhuk@
@question@|@ok@
@questioning@|@HOO@
@rabbit@|@künïõg@
@radio@|@kãnëy xaktux@
@ragged clothes@|@kanet@
@rags@|@xaxkunut@
@rain@|@tehex@
@Rain Child@|@Texkutok@
@Rain Child loves the Maxakalí@|@Texkutok te Tikmü'ün putup pax@
@raise@|@nõkini'a@
@rap@|@to'ok@
@rascal@|@kãy@
@rat@|@xetxox@
@rattlesnake@|@kãyãnãgxap@
@Raymond is Mary's husband@|@Haxmõn te Mãnix hã' yïpxox@
@Raymond looks like his father@|@Haxmõn te' tak pa@
@reach out@|@kutit@
@read@|@mõ'kupix, tappet mõ'kupix@
@rebuke@|@mãnõg@
@Recently I saw a turtle@|@Hõmã ãte kegmaih penãhã@
@recline@|@nõm@
@record@|@kãnëy pet xax@
@rectangle@|@mittox@
@red@|@ãta, ta, xutta@
@reflect@|@hãmpe'paxex kuxa kopa@
@reflexive@|@yãy@
@regain consciousness@|@hi tapax@
@Region's chosen messenger@|@hãmyãykutnã'ax@
@reject@|@kuyut, putupnõg@
@relative@|@xape@
@remain@|@hit@
@remote time@|@hõmã@
@remove@|@mõy, xut@
@renew@|@tupmãhã@
@repeat@|@xehe@
@repeatedly@|@kakix@
@repulsive@|@ïyã'ïgã@
@request@|@kax, ta tu' kax, ta tu' xak@
@reside@|@tihi@
@rest@|@nõm@
@return@|@putpu@
@rice@|@xuxnãg@
@rice kernels without husks@|@xuxnãg koxuk@
@rich@|@putexop xexka@
@rifle@|@kupukkox@
@right hand@|@yïpxe'e@
@ring finger@|@yïpkutok nõy@
@ripe@|@ta, yap@
@ripen@|@tapmãhã@
@ritual cleansing@|@pix@
@river@|@kõnãgkox@
@road@|@honex, putahat@
@roaring@|@UUU@
@roast@|@hap, mõ'hap@
@rob@|@xupxet@
@rock@|@mCkax@
@room@|@hãm'ãta kox, mïptut kox@
@rooster@|@xokakkak tak@
@rot@|@kunox, kutox, ügnox@
@rotate@|@mahap@
@round@|@ãnuk@
@round about@|@yïmap@
@round up@|@papuk@
@row a canoe@|@kõnãg kopa' mõg@
@rule@|@xat'ax@
@run@|@mõkka'ok@
@saddle@|@kãmãnok xax, kãtuk@
@saliva@|@yïkoxhep@
@salt@|@ãmot xuxpex@
@sap@|@gãg, hep@
@satisfy@|@hi@
@Saturday@|@nitxap@
@say farewell@|@aneo@
@scatter about@|@hãpxummãhã@
@scold@|@mãnõg@
@scorpion@|@xokpatakuhmïy@
@scram!@|@pep@
@Scram!Get out!@|@Ãpep!@
@scrap of cloth@|@topixxax yãg@
@scratch@|@xukoho@
@screaming@|@a, HO, iei@
@scythe@|@kupukhe@
@season@|@mõ'ãgmüg@
@seduce@|@xapit@
@seed@|@hãpxopxap, xap@
@seek@|@xax@
@seize@|@müg@
@self@|@hamün, hamün, mün@
@selfish@|@xupkumïy@
@sell@|@hãmenax, nõmenax@
@send@|@mõ'kutnãhã, mõ'pok, mõgkutnãhã, mõkpok@
@send here@|@nü'kutnãhã, nü'pok, nügkutnãhã@
@send one to the Post to call your brother@|@Nõpox tu mõkutnã pu ãnõy xãnã@
@separate@|@xatat, xonnix@
@serve food@|@xïnnãhã@
@sew@|@xap@
@shackled with chains@|@ha pipkup mãkxap'ax hã' hïy@
@shadow@|@koxuk@
@shake@|@nuhuk, tuhuk@
@shake up@|@yo'ok@
@shallow@|@putïynãg@
@shame@|@hupmãhã@
@sharp fragment@|@xox@
@she bought items@|@Tu hãmenax@
@She caressed the child to stop his crying@|@Ha kakxop xupit tu' hupmãhã@
@She chose colorful seeds@|@Tu xapmaih yïmõgatux@
@She cooked manioc in a kettle@|@Tute kanenãm kopa kot kutet@
@She cooked pasta with tomatoes@|@Tu xokmãg kutet xix tõmãn@
@She eviscerated (cleaned) the fish@|@Tute mãm mõkxut@
@She gave birth to her first child@|@Tuk-tok mãxap put@
@She ground the coffee beans to powder@|@Tute kapexxap kõnõnnãhã@
@She had long fingernails@|@Ha yïmmãxax tox@
@She has a sore elbow@|@Ha' yïpkuxox xüy@
@She has eleven children@|@Yãk-tok xohix tup-xet@
@She has pain in the pelvic bone@|@Yã xapexkup xüy@
@She kept the beautiful stones in the house@|@Tu xap maih xix mïptut kopa@
@She mixed the powdered medicine in water@|@Tu hehmën konãg kopa kanop@
@She poured out the milk@|@Tute xokhep pux@
@She put the manioc into a can@|@Ün te kot xuk kãnëy kopa@
@She said "Go on; go to Grandma's house"@|@Tu: -Ãpu nüy xukux pet ha mõy@
@she sold items.@|@Tu hãmenax@
@She took decorative stones and made a bracelet@|@Tute xapmaih pop nüy yïmhïy@
@sheep@|@kahnën@
@sheet of paper@|@tappetxax@
@shell@|@xax@
@shelled beans@|@pëyõg koxuk@
@shiny yellow metal@|@pipkup yãnãm@
@shirt@|@kamïn@
@shiver with cold@|@xapxüy@
@shoe@|@pataxax@
@shoot with rifle@|@mãn@
@shoreline@|@hãpkux@
@short@|@hümnãg@
@Short form of “ãmot xuxpex”@|@ãmot@
@short form of “hahãm”@|@hãm@
@shotgun@|@kupukkox@
@shoulder@|@yïpakkup@
@shout@|@yïy ka'ok@
@show@|@müg@
@show deference@|@nüktettex@
@shrink (cloth)@|@yãy nünnãhã tu hümnãg@
@shrubs@|@mïxux@
@shut@|@yïnnïn@
@shut eyes tightly@|@pa kïy ka'ok@
@shut the door@|@mõhãmyïnnïn@
@shut up@|@yïkox xatat@
@sick@|@paku@
@sickness@|@hãmpakut@
@similar@|@hãmputuk@
@Simon grabbed a hat@|@Xïmão te xapeo paha@
@sing@|@kutex@
@single@|@hok xip, hok yüm, hok yüm@
@sip@|@xup@
@sister@|@hex, tuküm, tutnõy@
@sister's son@|@putix@
@sit@|@mãhãm, yüm, yüm@
@sit (plural)@|@mãm@
@skin@|@xax@
@skin an animal@|@koxok@
@skin eruption@|@ïnxux@
@skin lesions@|@xaxkunut@
@skunk@|@ãmnïytut@
@sky@|@pexkox@
@slashes@|@ku'ïn@
@sleep@|@mõ'yõn, mõhõn, mõkyõn@
@sleepy@|@kümCïxüy, kümïm tep-tex, mïpxüy@
@sliver@|@mïpxox@
@sloth@|@xü'üy@
@slurpy mud@|@GOK@
@small@|@kutõgnãg@
@small biting insect@|@kumãyõynãg@
@small home@|@petnãg@
@small horse@|@kãmãnoknãg@
@small intestine@|@mãg@
@small piece@|@yãgnãg@
@small settlement@|@xiptuxexka@
@smallpox@|@ãpxãm@
@Smallpox killed many Indians.@|@Ãpxãm te tikmü'ün kix.@
@smell@|@hax@
@smile@|@yïxix@
@smoke@|@gõy, gõy, kugõy@
@smoke cigarette@|@kohokgõyyã'ãy@
@smoke tobacco@|@kohok gõy@
@smoky@|@gõy@
@smooth@|@kõnãhã, xutnuk@
@smooth out@|@yot@
@snail@|@ïnhip, xa'ãm@
@snake@|@kãyã@
@snapshot@|@hetanat@
@sneer@|@yïxix kummuk@
@so he bent over@|@Tik te' penãp-tup hu hãm müy.@
@so that@|@may putu, xa@
@So that the Maxakalí would seek for God@|@Puyïy tikmü'ün Topa xax@
@so they knelt before him@|@yïy nüktettex kakxop keppah@
@so they say@|@ütaknõy xop xohix te 7 tihi ãx@
@so we are going home@|@yïk-müg mõg yãy pet ha@
@soar@|@kopuk, topaha@
@soccer team@|@mõ'motxop@
@soft@|@pu'uk@
@soldier@|@xonat@
@sole of the foot@|@patakup xax@
@solidified liquid@|@xoxtix@
@solitary@|@hok xip, hok yüm@
@some@|@üm@
@Some man went to a prostitute@|@Tik üm te xotit hã' mõg@
@Some Maxakalí man caught the fish@|@Tik üm te mãm xuk@
@Some weeds have a lot of thorns@|@Mïxux üm te xãpxox punethok@
@someone@|@õm@
@Someone asked; "Why are you out on the trail?"@|@Ha: -Tep ha?@
@Someone embarrassed another person@|@Tikmü'ün te' nõy pu hupmãhã@
@Someone gave it to us@|@Ha yümü'ã' hõm@
@Someone said: Look here!@|@Haü-Hënãhã!@
@sometime later@|@hãpxip@
@somewhat@|@miax@
@son@|@kutokpit, xõnnü@
@Son; listen to me: come on down@|@Xõnnü ügãpax nüy nãhãy@
@soul@|@koxuk@
@sound of a gun shot@|@TAO@
@sound of an arrow@|@TÃG, XÕG@
@sound of arrow flying@|@XaG@
@sound of bullet@|@TENEP@
@sound of thunder@|@TANANANA'AX@
@sour@|@xumyãg@
@sow@|@xok@
@spaghetti@|@xokmãg@
@sparrow@|@tutnõpkux ata@
@sparsely inhabited area@|@panip xexka@
@speak@|@hãm'ãktux, yïy, yüy@
@spider@|@kuhiptut, xaktakak@
@spirit cult@|@yãmïy@
@spirit of the horned@|@Ãpihi@
@spirit of the horned screamer birds@|@Ãpihi@
@spirit rituals@|@yãmïyxop@
@spirit's name@|@dnmõxa, kõmãy@
@spitting@|@KÃN@
@split@|@kotit, koxip, mõ'pot@
@spoil@|@kutox@
@spoiled@|@tãmnãg@
@sprout@|@xokax@
@squat@|@yühüm@
@squeeze@|@kõmïy@
@squirrel@|@xoktux@
@staff@|@kuptõy@
@stairs@|@mïpku'ïn@
@stalk@|@kup@
@stand up@|@künïhã'pip, künïhãkxip@
@star@|@mãyõnnãg@
@stare@|@penã ka'ok@
@start@|@kõnãmãhã@
@stay@|@nox pip, nox xip@
@stay a long time@|@ti ka'ok@
@stay single@|@yãytahok@
@stay together@|@ãti@
@steal@|@xupxet@
@steep hiil@|@yïktix@
@step on@|@tonnok@
@stick@|@kup@
@stir@|@tet@
@stir dry elements into liquid@|@kanop@
@stocking@|@nãgkupxax@
@stomach@|@tex@
@stone@|@mïkax, mïkaxxap@
@stop@|@hup@
@store inside@|@xok@
@straight@|@hãmyok, yok@
@straighten up@|@yoa, yok@
@strange@|@hãmpuknõg@
@strengthen@|@ka'õgãhã@
@string fish on a stick@|@xap@
@stripes@|@ku'ïn@
@stroll@|@hãpkumep@
@strong@|@ka'ok@
@strung out@|@hïynãg@
@stubborn@|@kuxa ka'ok, putox ka'ok@
@subject indicator@|@te@
@subjunctive and imperative form of "ãpak"@|@ãpax@
@succumb@|@xakux@
@suck@|@xup@
@suckling pig@|@xapup kutok@
@Suddenly a jaguar appeared@|@Nüktu hãmgãy xip@
@suet@|@xoktop@
@suffer@|@xüy@
@sugar@|@axok@
@sugar cane@|@mïtkup@
@sun@|@mãyõn@
@sundown@|@ãmãxak, Mãyõn mõ'nãhã@
@sunrise@|@mãyõn xupep@
@sunset@|@Mãyõn mõ'nãhã@
@superlative@|@xe'ëgnãg@
@surround@|@kuyüm, xakot@
@suspend from@|@mõ'xup@
@swallow@|@kopuk, tõmãhã@
@swamp@|@pohok@
@swarm@|@yãyhi@
@sweep@|@hãpkunutxit, kunutxit@
@swell@|@mõm@
@swim@|@kõnãg kopa' mõg@
@symbolic striped pole@|@xunnïm kup@
@tail@|@ka'ax, nãgkup@
@take@|@paha, pop, put@
@take away@|@paha@
@take down@|@putxok@
@Take it away!@|@Paxmõg!@
@talk about@|@ãktux@
@tall@|@tox@
@tape recorder@|@kãnëy xaktux@
@tapir@|@ãmãxux@
@tasty@|@xuxpex@
@tears@|@pa hep@
@tease@|@hãpkutex'ex, kute'ex@
@tell@|@xuktux@
@tempt@|@xapit@
@ten@|@xohix@
@ter drizzle@|@tex tihi@
@termite@|@mïpkut, xokãnïn@
@test@|@kopit@
@test something@|@mõyãnxix@
@test verbally@|@yïkopit@
@that@|@õhõm@
@That is your ring finger@|@Õhõm üyïpkutok nõy@
@that one@|@nõm, õm@
@That one crawled in a hole@|@Õm mõ'nãhã hãpkox kopa@
@That one is an outsider's child@|@Õhõm yã ãyuhuk kutok@
@That one thinks he is important@|@Hamün te yãymün xexka pe'paxex@
@That's it@|@Yãmün@
@that's right@|@hamün@
@The adolescent boys were fooling around@|@Tiktuktup te hãpkute'ex@
@The airplane flew up to the sky@|@Mïptutmõg topaha pexkox ha@
@The anaconda is dangerous@|@Ha kãyã tut gãy@
@The ancestor cut a blood vessel@|@Mõnãyxop te' heptat'ax xak@
@The ancestor died in the thick forest@|@Mõnãyxop xok hãmhipak kopa@
@The ancestor grabbed the arrow@|@Mõnãyxop te' pa pohox@
@The ancestor rested in the house@|@Mõnãyxop te mïptut kopa' nõm@
@The ancestors chanted the spirit rituals.@|@Mõnãyxop te yãmïyxop kutex@
@The ancestors crossed rivers.@|@Mõnãyxop te kõnãg xexka mep.@
@The ancestors hunted a great deal@|@Mõnãyxopte xokxop xak punethok@
@The ancestors hunted deer@|@Mõnãyxop te münüy xak@
@The ancestors killed [their] enemies@|@Mõnãyxop te puknõg xop kix@
@The ancestors saw the ocean@|@Mõnãyxop te kõnãkxexka penãhã@
@The ancestors spoke about the moon.@|@Mõnãyxop te mãyõnhex ãktux.@
@The ancestors told about the otter@|@Mõnãyxop te xupapox ãktux@
@The ancestors travelled along when st bright@|@Mõnãyxop te hãpkumep ha' këm@
@The ancestors went to the headwaters of the river@|@Mõnãyxop mõg konãgkox putox ha@
@The angry mob gathered together@|@Ügãy xop te yãykotïnnãhã@
@The anteater ate the termites@|@Xokixnãg te' kut mãhã@
@The arrow pierced the lumbar vertebrae@|@Ha' pox te' takup xuhmïy@
@The banana is not ripe@|@Ü' ta'ah tepta@
@The bananas were overripe@|@Ha tepta tãmnãg@
@The bananas were ripe@|@Ata tepta ha' mãhã ha' xuxpe@
@The bark was smooth@|@Ha' xax xutnuk@
@The bat has poor eyesight@|@Xunnïm te penã kummuk@
@The beans are rotten@|@Ügnox peyõg@
@The beans were dried@|@Pëyõg nak yï' koxuk@
@The bees swarmed@|@Puk xop te yãyhi@
@The bell rang.@|@Ha ãmãnex xap kax.@
@The bird built a small nest@|@Putuxnãg te' petnãg mïy@
@The bird flew@|@Putuxnãg te topaha@
@The birds fly up in the sky@|@Putuxnãg te pexkox kopuk@
@The bird's wing feathers are beautiful@|@Putuxnãg yïmãg xap maih@
@The blind outsider was walking@|@Ãyuhuk penãhok te hãpkumep@
@The blood dripped here but not a lot of it@|@Nü' hep mõ'nãhã hep punet'ah@
@The board was rectangular.@|@ha mïpxap mittox.@
@The boy broke the bird's wing@|@Kakxopte putuxnãg yïmãg koxyõy@
@The boy let down the fishhook@|@Kakxop te koxãm yïxot nãhã@
@The boy made little clay balls@|@Kakxop te hãpxap mïy@
@The boys threw stones@|@Kakxop te mõg mïkaxxap yõn@
@The boys threw stones back and forth@|@Kakxop te mïkaxxap yãytux@
@The butterflies fly@|@Kututtap kopuk@
@The cat hunts rats.@|@Mëõg te xetxox xak.@
@The cattle are in the corral@|@Münüytut te kohat kopa' pip@
@The centipede crawls on the ground.@|@Kutuxxox te hãm tu' mõg@
@The chicken was in the middle of the flock@|@Xokakkak te'nõy xop nãgnõy xip@
@The chief priests denounced Jesus@|@Ãmãnex xexka xop te Yeyox kupe@
@The child ate a lime.@|@Kakxop te mãnãgyãg xup.@
@The child ate an orange@|@Kakxop te nanüy xup@
@The child blew on the fire.@|@Kakxop te kuxap mõ'kouk@
@The child catches fish with a fishhook@|@Kakxop te koxãm hã mãpxut@
@The child caught a fish@|@Kakxop te mãm xut@
@The child drinks milk@|@Kakxop te xokhep xo'op, Kakxop te xokhep xo’op, Xokhep xo’op kakxop te@
@The child drowned@|@Ümnüm kakxop@
@The child dug in the ground to take earthworms out@|@Kakxop te hãpkot nüy puxõy mõy@
@The child erased his writing@|@Kakxop te kax'ãmi'ax kuptup@
@The child fell to the ground@|@Kakxop te hãm tu' nãhã@
@The child gave milk to him@|@Kakxop te tu xokhep hõm@
@The child gave milk to the monkey@|@Kakxop te koktix pu xokhep hõm@
@The child gave milk to the monkey.@|@Kakxop te xokhep hõm koktix@
@The child had a sore throat@|@Kakxop xitkox xüy@
@The child had a tummyache@|@Kakxop te tex xüy@
@The child has a fat belly@|@Kakxop te textop@
@The child has a sore mouth@|@Kakxop yïkox xüy@
@The child has a toothache@|@Kakxop xox xüy@
@The child hunted a sparrow@|@Kakxop te' tutnõpkux ata xak@
@The child is dying to sleep@|@Kümïm tep-tex kakxop@
@The child is sick with diarrhea@|@Kakxop pakut üxakuk tu@
@The child is stubborn@|@Kakxop putox ka'ok@
@The child is three years old.@|@Kakxop ãn xohix te tikoxyuk@
@The child is tongue-tied@|@Kakxop yïy kïy ka'ok@
@The child killed a spider@|@Kakxop te kuhiptut putex@
@The child killed the skunk.@|@Ha kakxop te ãmnïytut putex.@
@The child lowered a fishhook@|@Kakxop te mãhat münüm@
@The child put the fishhook (in the water)@|@Kakxop te mãhat münüm@
@The child saw a macaw.@|@Kakxop te ãmkak penãhã.@
@The child saw a parrot@|@Kakxop te kõnnüg penãhã@
@The child saw a tyrant flycatcher@|@Kakxop te xoxmetmet penãhã@
@The child saw the guira cuckoo@|@Kakxop te ëggïy penãhã.@
@The child seized the limbless lizard@|@Kakxop te ãtonnok paha@
@The child took down a jackfruit@|@Kakxop te yak üm putxok@
@The child took the meat roasted it@|@Kakxop te xogyïn pahatu mõ'hap@
@The child was all alone@|@Kakxop te hãpxet xip@
@The child was well@|@Kakxop hittup@
@The children ate the watermelon@|@Kakxop te totxuxpex xup@
@The children dived into the water@|@Kakxop te kõnãg kopa yãy nümmã@
@The children heard it@|@Kakxop te' xupak@
@The children hunt for rabbits@|@Kakxop te künïõg xak@
@The children kick the soccer ball@|@Kakxop te mõ mot yõn üpata hã@
@The children love fruit.@|@Kakxop te mïnta putup pax.@
@The children play on the mound@|@Kakxop te hãptot tuk-tex'ex@
@The children played on the ground@|@Kakxop te hãmãnuxxop@
@The children read books@|@Kakxop te tappet mõ'kupix@
@The children removed the peanut shells@|@Kakxop te kunümãtik xax mõy@
@The children sat by the wood ashes@|@Kakxop te putok yïka' mãm@
@The children saw the tree@|@Kakxop te katamak penãhã@
@The children sit around their grandfather@|@Kakxop te' xuxyã yïmap ha' pip@
@The children wandered in the swamp@|@Kakxop te pohok kopa hãpkumep@
@The children want manioc@|@Kakxop te kot putup@
@The children were playing@|@Kakxop te hãm'ãnuxxop@
@The children write on paper@|@Kakxop te tappet tu kax'ãmi@
@The child's skin was hot because it was sick@|@Kakxop xax pukpex üpakut hah@
@The clay water pot is in my house@|@Naxtox tek pet kopa' yüm@
@The cleared land is rounded oblong@|@Hãpxanep yã mõktox@
@The cloth is rotting@|@Topixxax yã kunox@
@The cotton thread is short@|@Poxit yã hümnãg@
@The cowboy brought the cattle@|@Münüytut xuxyã te' nünnãhã@
@The cowboy looks after the cattle@|@Münüytut xuxyã te' penãhã@
@The cowboy wore a cape@|@Münüytut xuxyã te kap mõ'tat@
@The devil tempted Jesus@|@Hãmgãyãgnãg te Yeyox xapit@
@The dog jumped over.@|@Kokex teü mit.@
@The dog urinated@|@Kokex xux@
@The dog wagged his tail@|@Kokex te' ka'ax mahap@
@The dog wagged his tail.@|@Kokex te' nãkup mahap.@
@The dog wagged its tail@|@Kokex te' nãgkup mahap@
@The dove flew.@|@Kuxuxtut te topaha.@
@The dragonfly flew@|@Xokãnyïn te topaha@
@The drunk man was naked@|@Tik paptux te xaxtop hã' mõg@
@The elder has good judgment@|@Axuxyã te hãmpe'paxex üpa kopa@
@The elder led the blind man@|@Ha yãyã te tik penãhok mõgãhã@
@The elderly men are the grandfather group@|@Tik kutut xopyã yãyã münõm xop@
@The elderly men went hunting@|@Axuxyã münõpxop te xokxak@
@The elderly women went fishing@|@Xukux m:nõm xop te mãpxamut@
@The elephant has a trunk@|@Xoktox te xupuptox@
@The evil man enfuriated the others@|@Tik kummuk te' nõy xop gãyãhã@
@The evil man ran away@|@Tik kummuk te xupmãhã@
@The father ordered him to shut up@|@Ütak te' xat pu yïkox xatat@
@The fathers are wise@|@Ha' takxop te hãmyümmüg@
@The flower is pretty.@|@Mïnnut maihnãg.@
@The flower is yellow@|@Mïnnut yïxux@
@The flower was a beautiful red color@|@Mïnnut maih tu' xutta@
@The fog was thick@|@Hãmgõy xexka@
@The food is delicious.@|@Hãpxop xit'ax xuxpex@
@The food was spoiled.@|@Hãpxop yã kutox@
@The foreigners did not want it@|@Hãmpuknõg yõg xop tep-tup nõg@
@The frog croaked@|@Mattuk te:--Hak@
@The frog jumped repeatedly@|@Penex te' pün pün pün@
@The frog was leaping@|@Humnãg te:-Pün pün pün@
@The frogs are at the water's edge.@|@Mattuk te hãpkux tu' pip.@
@The fruit is not ripe@|@A' ta 'ah. Mïnta xupep hõnhã.@
@The fruit juice was sour@|@Yã mïnta hep xumyãg@
@The fruit was a ripe purple@|@Mïnta xutta kõmnãg@
@The giant ant is huge@|@Münïntut xexka@
@The girl saw the tree toad@|@Kakxop hex te ïno'at penãhã@
@The grandfather died and they buried him@|@Axuxyã xok ha nõhãpkot@
@The grandfathers are all old@|@Axuxyã xop xohix kutut@
@The harpy eagle flies up in the sky.@|@Mõyxexka te pexkox hã topaha.@
@The hawk seized a chick@|@Mõgmõka te xokakkak-tok paha@
@The hedgehog dug in the earth@|@Õnyãm xexka te hãm kopa' kot@
@The hen has eight baby chicks@|@Xokakkak kutok xohix te 8@
@The hen watches over her chicks@|@Xokakkak tut tek-tok xex@
@The horizon is far away@|@Hãpkuxyã te hãptox tu' xip@
@The hornet stung the child.@|@Ãnãmok te kakxop putop.@
@The house has three rooms.@|@Mïptut kox te tikoxyuk.@
@The immoral woman seduced the man@|@Ün kummuk te tik xapit@
@The Indian made his home at the rock@|@Tik te mïkax kaka' pet@
@The Indian saw a wasp.@|@Tik te ãmãn penãhã.@
@The intelligent man asked questions@|@Tik te hãmyümmüg te' yïkopit@
@The jacana bird lives on the beach@|@Putuxtuxnãg te kõnãkux yïka'@
@The jackfruit hangs from the tree@|@Mïnta yak te yakkup tu mõ'xup@
@The jaguar consumed the rabbit.@|@Yã hãmgãy te künïõg mãnãm.@
@The jaguar killed the ancestor with his teeth@|@Hãmgãy te mõnãyxop hãmhogãhã@
@The jaguar roared@|@Ha hãmgãy te: Eu!@
@The jaguar sank his teeth into the man@|@Ha hãmgãy teü Kanep kaxïy.@
@The jeep belonging to the Post went on the road@|@Nõ Pox yõg yip mõg honex hã@
@The Komay spirits danced@|@Kõmãy xop te hãmyã@
@The Kotkuphix is angry@|@Kotkkuphix gãy@
@The laborers did/made this@|@Kãmãnat te' mïy@
@The large intestine is inside the abdomen.@|@Amãgtap te' textop kopa' yïm@
@The large mammal is called a 'buffalo'@|@Xoktut ãxet'ax 'bufalo'@
@The law rules all of the Maxakalí@|@Üxat'ax yã' xat tikmü'ün xohix@
@The leaves floated down to the ground@|@Mïm xux te hãm tu' yïxoho@
@The lemon is very sour.@|@Mãnãgyãg xe'e yã' xïy.@
@The little bottle let off an aroma@|@Ha gahapnãg te haxyãhã@
@The little girl looked shyly at him@|@Kakxop hex te' penã pu'uk@
@The lizard clings to the wall.@|@Mãgnõg te hãm'ãta tu' xup@
@The lizard creeps on the wall@|@Xokyãm te hãm'ãta tu' y6iküy@
@the macaw spirit@|@Ãmkak@
@The man (Maxakalí) helped him@|@Tik nõ ãyonat@
@The man bears heavy things@|@Tik te hãpxop putux tot@
@The man built his own house beyond Mãkpa@|@Tik te yãy pet mïy Mãkpa homi@
@The man calculates in his head@|@Tik te hãmpe'paxex üp-tox kopa@
@The man came and returned again@|@Tik nün tu put pu' mõg@
@The man came for medicines@|@Tik nün hehmën ha@
@The man carried a log@|@Tik te mïpkup taha@
@The man carried the things on his shoulder@|@Tik te yïpakkup hã' hãpxop tat@
@The man caused the other to speak@|@Tik te' nõy yïgãhã@
@The man collected money for the government@|@Tik te gohet pu tayümak pop@
@The man counted money@|@Tik te tayümak mõ'kupix@
@The man desired the lovely woman@|@Tik te ün maih penãhã@
