@English@|@Tanacross@
@I have a taste for dry fish@|@má' edektlaa@
@I have heartburn@|@tuutthox shdatnénínts'iik@
@I have it ready@|@sudektthenh@
@I have my gun ready@|@shk'áa' u'ekshuu@
@I have nothing to eat to give@|@ts'iidee ntl'ádhékchuud há'@
@I have pain in my legs@|@shxól' tah chetkeyh@
@I have the hiccups@|@shdatch'iltthet@
@I have them@|@dhihdlah@
@I hear him@|@de'ihtth'ek@
@I hear something@|@je'ihtth'ek@
@I hear them@|@xuude'ihtth'ek@
@I hear you@|@nde'ihtth'ek@
@I hit him@|@metnedhegshos, nédhekgót@
@I hit him with a stick@|@dhektl'eth@
@I hugged him@|@meghíshdek@
@I jumped down@|@nâagheksháatl@
@I just remembered@|@naa dendeh meghegndíik@
@I keep matches way up@|@yatthiidóg tah kón' dí'ihdláx@
@I kicked it@|@mekédhekkéyh@
@I know him@|@me'ishdeyh@
@I know it@|@xe'ishdéyh@
@I know our language@|@nee'andeeg' édadishdéyh@
@I leapt over it@|@wuteth tédheksháatl@
@I like dried meat@|@shí' eegeyh shaa nsúu@
@I like soup@|@tuuthel shaa nsúu@
@I live across the river@|@yandaas ts'ey dhihdah@
@I live in the bush@|@ts'étl tah dhihdah@
@I lost@|@ladedhegneyh@
@I lost it@|@mexudheksháak@
@I lost my money@|@shlsaaz' ladedhekneyh@
@I love him@|@maa ihts'íi@
@I made a fist@|@dadhihndíik@
@I made them haul wood@|@tsets ts'í' xúníhshok@
@I mended it@|@mech'edhekkáa, nadhektsii@
@I miss him@|@wuk'et ts'axokdeyh@
@I nodded my head@|@tthi'ish-'aak@
@I only see him@|@xatáatah shée' naneg'íik@
@I owe you@|@nts'í' xéjihdéyh@
@I own it@|@ihdé'e@
@I paid him@|@mexughihkéet@
@I patched it@|@mejédhekkáa@
@I peeled it@|@wuk'et nách'ekt'áatth@
@I peeled them@|@wuk'et nâach'ekt'áatth@
@I peeling bark@|@ch'elaat'ûudz dekt'uuts@
@I picked it up@|@nidih'aa@
@I picked it up something long@|@niditaa@
@I picked them up@|@nidihdlah@
@I pretended I said that@|@cheejegnih@
@I pulled it out of the water@|@xaalúughíh'aa@
@I punctured it@|@wuch'anekch'etth@
@I put away food@|@nínekchúut@
@I put away food for the winter@|@xey de'ukah shí' nínekchúut@
@I put it away from him@|@wuch'aa yidhihdlah@
@I put it down@|@nádíh'aa, nádíhtaa, nádíkaa@
@I put it down again@|@nâadih'aa@
@I put it in slanted@|@k'áay ts'í' táxk'éghíh'aa@
@I put my hand down@|@nashég' nálághék-'ah@
@I put my hand in the mittens@|@jeyh shíi degndíik@
@I put my hand in water@|@tuu shíi táládhég'aa@
@I put on lipstick@|@shdaamel natnihmenh@
@I put them down@|@nádekchúuth, nádíhdlah@
@I quit chewing tobacco too@|@lesgih chih edihtset@
@I raised my hand@|@yetálághíhttheyh@
@I realized it@|@wuk'anegndíik@
@I received a blessing@|@shaa nítjélneyh@
@I received it@|@shaa nindéek@
@I refused it@|@éna' medíhnih@
@I released it@|@medihndíik@
@I rely on him@|@wut'adekt'eh@
@I remember@|@me'egndéyh@
@I remember it@|@me'egndéyh@
@I remembered putting it there@|@eshëg' níníh'aan me'egndéyh@
@I repaid him@|@mêexughihkéet@
@I replaced them@|@wuk'éetáa ních'éníhdlah@
@I respect him@|@dekcháax@
@I said 'no'@|@éna' dedíhnih@
@I sat back down@|@dítl'ádédhishttháat@
@I sat for a long time@|@dítl'ádédhíshdah@
@I saved him@|@dheksheyh@
@I saw him way behind the trail@|@yaadíi tah nek-'ée'@
@I saw it at that place there@|@na'atthíi esheg' deh nek-'ée@
@I saw just a few caribou@|@wudzih ntsîin shée' nek-'ée@
@I say to her@|@medíhnih@
@I scared you@|@nnekjíit@
@I scratched myself@|@edishts'ét@
@I see@|@nek-'eh@
@I see a bear cub@|@shos gaay nek-'eh@
@I see a big moose@|@dendîig chox nek-'eh@
@I see it@|@nek-'eh@
@I see lots of caribou@|@wudzih ndlâan nek-'eh@
@I see you@|@nnek-'eh@
@I sensed its presence@|@wuk'éníghíhthet@
@I sent it@|@níníh'aa@
@I separated them@|@nilk'exughihdlah@
@I served him food@|@wutl'ách'ekchuut@
@I set traps on the island@|@taanduu k'et éel dhíhdlah@
@I shoot and missed it@|@maydegdék@
@I shot it@|@dedhehk'ax, dhekdeyh@
@I showed him my house@|@shshax meech'axnek-'ee'@
@I sipped it@|@tedhegts'eek@
@I slapped him@|@nédhihkét@
@I slept well@|@xunsuu ghihté'@
@I sliced it in half@|@wuk'enektset@
@I slipped on the ice@|@luut k'et keech'édhekjaak@
@I smashed it@|@xatnekxotl@
@I smell it@|@ektsenh@
@I sold it@|@én' tedhihdlah@
@I spent the night there@|@teddh dá'a shég' nédhihháal@
@I took care of him@|@wuk'ánédhéktaa@
@I took it away from him@|@wuch'aa stáyídhihdlah, wuch'aa yudhihdiik@
@I traveled with my companion@|@shehleg' él lóníhshah@
@I turned it inside out@|@nakededhihhuuth@
@I usually peel it@|@nat'u'ekt'ii@
@I usually spend the night@|@Tok nihhaak@
@I was afraid so I escaped@|@negjed él tthítédhékshah@
@I was born@|@shexunlee@
@I was born in Fairbanks@|@Fairbanks deh ch'e shexunleen@
@I was dozing all day long@|@dzeen uudíh xámélsheltéek@
@I was fortunate@|@shaa nítjélneyh@
@I was going around the house@|@shax kendah tedhíhshah@
@I was harmed@|@shexdéghindíik@
@I went away from him@|@wuch'áa stánegkáak@
@I went through the brush@|@ts'étl tah nihshah@
@I will do that with you@|@n'él tihdíil@
@I will take care of it@|@wuk'átnektá'@
@I wish you good luck@|@naa su'eg'eh@
@I woke up way before you all@|@nuhttheh da'a tah ts'enihthet@
@I worked the entire night@|@teddh uudíh ghishndah@
@ice@|@luut@
@ice crystals in the air@|@dahsógh'@
@ice is jammed up@|@luut nilká'etdéek@
@if@|@dé'@
@if he asks you@|@nudehket dé' k'á éna' díndíil@
@ignore him@|@sú'u naa wudeghuníi'i@
@I'll be leaving here@|@natihdaal@
@I'll go there for that@|@xúu' gha' esheg' ts'í' tíhhaal@
@I'll probably go back to F.B.@|@ts'í' natihdaal@
@illness@|@ts'iik@
@I'm boating across@|@yaanáan' ts'eyh shíi tihkeel@
@I'm boating back@|@naghishkeel@
@I'm boiling it@|@ahmeets, ekmeets, ihmeets, xiyehmeets, yehmeets, yits'ehmeets@
@I'm broke@|@shlsaaz' kôl@
@I'm carrying a gun@|@k'á' ghíhtiil@
@I'm carrying it sticklike obj.@|@ghihtiil@
@I'm carrying them multiple obj@|@ghihleel@
@I'm chinking it@|@xnektthúuk@
@I'm cleaning the house@|@shax naxoksú'@
@I'm coughing@|@degkoth@
@I'm crying@|@ihtsax@
@I'm cutting it@|@ekdóts@
@I'm driving@|@h'eklel@
@I'm embarrassed@|@uníshshá'@
@I'm fine@|@shih dú' sôgh t'iht'eh, Sogh' t'iht'eh@
@I'm fishing@|@nach'eklóx@
@I'm from Mansfield@|@Dihthâad xt'een ihlee@
@I'm frying it@|@ekt'éeth@
@I'm getting ready for an event@|@súxúkleex@
@I'm going by boat@|@ghihkeel@
@I'm going down that way@|@ya'én' tíhhaal@
@I'm going home@|@tâatihdaal@
@I'm going to Mansfield@|@Dihthâad ts'í' ghíhhaal@
@I'm going to pay you@|@nexuteghihkéet@
@I'm holding it@|@u'ihtón'@
@I'm hot!@|@elok!@
@I'm hungry@|@dihtsii@
@I'm in a hurry@|@xen eg'eh@
@I'm living in Tok@|@Tok dhihdah@
@I'm looking@|@nek'eh@
@I'm melting snow in the bucket@|@nadh'âay shíi shétth ékchees@
@I'm packing@|@ghihxeel@
@I'm paddling@|@tach'iht'ox@
@I'm picking berries@|@jêg nektseyh@
@I'm pointing at it@|@mets'u'ihttheyh@
@I'm pouring@|@de'ihdiil@
@I'm really telling you truth@|@lá'a sitdíhnih@
@I'm rendering it@|@ekchaats@
@I'm rolling up my sleeves@|@shmäad' xanektaa@
@I'm running@|@ghegtthel@
@I'm shouting@|@ihsek@
@I'm sitting between my friends@|@shtlee iin daateg didhihdah@
@I'm sitting here comfortably@|@xunsuu deh didhihdah@
@I'm skinning it@|@nat'udhekch'el@
@I'm slurping@|@nach'egts'eex@
@I'm taking care of them@|@xuuk'ánektá'@
@I'm telling you@|@nedíhnih@
@I'm walking back@|@yandêdz naghihdaal@
@I'm wearing a coat@|@eek nádédhégshah@
@immediately@|@k'ah dú' t'êey@
@in@|@shíi@
@in a little while@|@nihk'odl dé' tah@
@in a while@|@k'adíidé'@
@in front@|@nandêddh@
@in front of a house@|@kón'teg@
@in front of me@|@shnandeddh@
@in it@|@wushíi@
@in motion@|@deltheeyh@
@in search of@|@de'ukah@
@in summer the grass is green@|@sheen tah tl'ox deldléets@
@in the direction of@|@ts'í'@
@in the past@|@dá'a@
@include this one too@|@jâan ch'íh wu'él@
@Indian potato@|@tsaath@
@infant@|@ts'enîin gaay@
@inland area@|@nahdóg@
@inside@|@shíi@
@instead@|@naadley@
@invited potlatch guest@|@soojee@
@Irene; cook the cranberries@|@Irene; ntl'ét níhchees@
@irresponsible@|@wudzii xninkol@
@is@|@nt'eh, t'aht'eh, t'iht'eh, t'int'eh, ts'int'eh, xint'eh@
@is all used up@|@wuk'ét'áxdálneyh@
@is chapped@|@net-ts'iits@
@is cold@|@néek'etth@
@is crowded@|@xaltl'ét@
@is crushed@|@xátnalch'úutl@
@is deep here@|@jan teexdinthaat@
@is gripping with its claw@|@xuudzek@
@is hot@|@néethel@
@is rotten@|@ghihjet@
@is running@|@tdetth@
@is this yours?@|@jâan ch'e ntsen?@
@island@|@taanduu@
@it (area) is slippery@|@xultlet@
@it (living being) fell@|@na'altth'et@
@it (weather) is calm@|@xdeexeetl@
@it (weather) is cold@|@xnéek'etth@
@it accidentally exploded@|@xá'altál@
@it airplane landed@|@nanint'ek@
@it appears to be that way@|@xúu' k'éxúltsii@
@it bark@|@naxáh'enh@
@it became dark@|@naghíhxeetl@
@it boiled over@|@dátl'ánélxots@
@it buries@|@taatsah@
@it buries it's food@|@deshí'i' taatsah@
@it burst@|@eltétl@
@it came back exhausted@|@wushíits shée' dálílthet@
@it capsized@|@nákédéexel@
@it collapsed@|@naninkaatl@
@it didn't snow yet@|@k'á tth'ihtah ihsháddh@
@it disappeared@|@mexusháak, wuk'exdalneyh@
@it dissolved@|@a'udeelet@
@it doing@|@nts'é tde'e@
@it dripped@|@del'éetl@
@it escaped@|@nedagh ghinshah@
@it exploded@|@teltétl@
@it fits him@|@meghíhchaagh@
@it flew away@|@stâanet-t'ak@
@it flooded@|@tuu níihaa@
@it foamed up@|@xatnalxots@
@it formed into that shape@|@xú' nínalk'áas@
@it getting on toward dark@|@xél t'aagh ts'í' xáathel@
@it has no edge@|@wuk'á' kól@
@it has pock marks on it@|@wuk'et xdetgú'u@
@it hatched@|@xaghih'aats@
@it is@|@sínt'eh@
@it is a good thing@|@nsuu@
@it is abstract concept@|@síxúnt'eh, xúnlee@
@it is adhered to it@|@xetnelts'étl@
@it is any single object@|@sínt'eh@
@it is apart@|@nilts'edíndlah@
@it is attached to it@|@yedeet'eyh@
@it is autumn@|@noxluu xúnlee@
@it is bandaged@|@wuk'éch'údet-tl'ûun@
@it is barking@|@ehttheh@
@it is being cut@|@et-t'aatth@
@it is being discussed@|@xighaxunhéeyh@
@it is being protective@|@ch'udelnih@
@it is being silent@|@daadehxetl@
@it is better than that one@|@êy tth'íh shíi nsuu@
@it is big@|@ncháax@
@it is bitter@|@tnínts'íik@
@it is black@|@dat-seyh@
@it is blocked@|@wudaxdéltsii@
@it is boiling@|@tnelxots@
@it is bouncing@|@yach'ehdeth@
@it is bouncing up and down on@|@shég yik'et ts'í' yach'ehdeth@
@it is bright@|@xdelgeyh@
@it is broken down@|@detxotl@
@it is brown@|@deltthox@
@it is bubbling up@|@xashotl edeex@
@it is burning@|@deek'én'@
@it is cawing@|@delgax@
@it is cloudy@|@k'oth xúnlee@
@it is crooked@|@xútgétth@
@it is curved@|@nanughalgót@
@it is dark@|@xnat-tl'éts@
@it is deep@|@dinchaax@
@it is dented@|@yunítnalch'úutl@
@it is dirty@|@gés nlee@
@it is disappearing@|@mextehkôtl@
@it is dislocated@|@nilghadalket@
@it is divided@|@nildze'elsheek@
@it is dry@|@nelgeyh@
@it is drying@|@nadeltthayh@
@it is expensive@|@diitl'eddh@
@it is fall time@|@noxluu xúnlee@
@it is far away@|@xnithaat@
@it is flat and wide@|@ch'etmets@
@it is flimsy@|@dzet-lon@
@it is floating@|@dataya'aal@
@it is flowing@|@ninleyh@
@it is flying@|@natnet-t'ax@
@it is folded@|@elxol@
@it is fresh@|@k'ah dú'u sínt'eh@
@it is frosty@|@naxúlsóx@
@it is frosty this morning@|@k'áhmén' tah naxúlsóx@
@it is frozen@|@et-tenh@
@it is frozen solid@|@nelts'íi'@
@it is full@|@datnel'aa@
@it is furry@|@detshos@
@it is getting colder@|@naxtnétk'etth@
@it is giving a warning bark@|@ch'ée'aldíik@
@it is gnawing a bone@|@tth'enh dehk'on@
@it is gnawing its teeth@|@dexú' déhchiits@
@it is gnawing on it@|@yidehk'on@
@it is golden colored@|@delmeets@
@it is good a good place@|@xunsuu@
@it is gray@|@delmaa@
@it is hailing@|@ch'inluut e'ehchaa@
@it is hanging@|@naghint'eyh@
@it is heavy@|@ndaath@
@it is hide@|@ch'ethéth@
@it is hiding behind the house@|@shax nandîidz ch'etnél'ii@
@it is hopping around@|@natjehchéek@
@it is hot outside@|@nah'ôg xnéethel@
@it is howling@|@etsax@
@it is inside out@|@nilk'edet-huudh@
@it is jumping around@|@ya'etkeyh@
@it is large@|@ncháax@
@it is laying eggs@|@etxees@
@it is licking it@|@yehtth'eex@
@it is lightweight@|@ntsûudl ts'í' ndzâag@
@it is long@|@ndéeth@
@it is loud@|@xunchâagh xedaxdetndeyh@
@it is moldy@|@u'atxáa'@
@it is molting@|@etchetth@
@it is murky@|@najalt'enh@
@it is not good for me@|@k'á shaa ihsúuy@
@it is not raining@|@k'á éhcháan@
@it is now night time@|@k'ôd nághíhxeetl@
@it is numb@|@iithúu'@
@it is old@|@atshaa@
@it is open@|@nilk'e tnintaa@
@it is packed@|@datneldok@
@it is partitioned@|@xdanint'eeyh@
@it is partly cloudy@|@xá'xuh k'oth xúnlee@
@it is peaceful@|@súu' xúu'aa@
@it is pitch black@|@natl'esaldox@
@it is pretty@|@ninsuu@
@it is put aside@|@yenínihdíik@
@it is quiet@|@daxdéexeetl@
@it is ragged@|@wugha dach'inch'el@
@it is raining@|@ehchaa@
@it is really horrible@|@lá'a él ts'áxuntleeg@
@it is really nice outside@|@loot'ëeyy' nah'óg xúnsuu, nah'ôg loot'êe' xunsuu@
@it is red@|@delt'el@
@it is ringing@|@delttheel@
@it is rotten@|@ghilhjet@
@it is rotting@|@ehjet@
@it is rough@|@xulxos@
@it is round@|@ch'etxees@
@it is rusty@|@wughatl'iits@
@it is scarce@|@nintsîin@
@it is scratching an area@|@xoots'ét@
@it is separated@|@nilts'edíndlah@
@it is shaking@|@detndiiyh@
@it is shaking from the cold@|@dlih ts'enh detndiyh@
@it is sharp@|@dehk'eyh@
@it is shining@|@neldzeeyh@
@it is shy@|@nee'exúhshaa@
@it is simple for him@|@shée' k'et'êey maa t'iyíit'eh@
@it is skinny@|@nelgeyh@
@it is slanted@|@naxk'áay tah di'ee'aa@
@it is slushy@|@naxnit-seex@
@it is small@|@ntsûudl@
@it is snowing and windy@|@xats'í'áldox@
@it is sown along the edges@|@wumâagh nanettl'uun sínt'eh@
@it is starting to freeze@|@xtét-tenh@
@it is summer@|@sheen xúnlee@
@it is there@|@ee'aa, ee'aa, eekaa, eetaa, ehchúuth@
@it is turning over and over@|@nilkedalmeth@
@it is very interesting to me@|@shaa ch'áa' díht'eh@
@it is winter@|@xey síxúnt'eh@
@it is yellow@|@deltthox@
@it is yelping@|@xedettsax@
@it looks opposite opposite@|@nilchitsedz' eltsii@
@it ran away@|@sta'ilthet@
@it really hard@|@yinelshos@
@it really is so@|@lá'a ch'e le'@
@it sank@|@tetayinin'aa@
@it smells@|@mexaltsen@
@it turned cold@|@xníik'aatth@
@it was born@|@mexunlee@
@it was delivered to him@|@maa yínindíik@
@it was raining@|@ghihchaa@
@it was sunny this morning@|@k'áhmén dá'a xesadin'á'@
@it was windy last night@|@teddh dá'a ghihts'eyh@
@it went back to where he was@|@yaandíi k'éetah nîi'itshah@
@it went out@|@natnétdek@
@it will rain@|@tahchaa@
@itch@|@ahxeeth, exeeth, ihxeeth, inxeeth, ts'exeeth, xexeeth@
@it's a beaver cap@|@tsá tthíshúuz sínt'eh@
@it's a little cold@|@xá' xuh xnéek'etth@
@it's always like that@|@nt'o xúu' dínt'êey sínt'eh@
@it's bad; not safe@|@ts'axuntleeg@
@its beak@|@wudá'@
@it's becoming winter@|@xey ts'í' xáatthel@
@it's bladder@|@wuluthéth@
@it's bottom@|@wukeetl'aa@
@its claw@|@wukelagey'@
@it's cold outside@|@nah'og' xnéek'etth@
@it's drying up outside@|@nah'og xdet-tsets@
@its eyes are sharp@|@mindaagh' déhk'eyh@
@its fleas@|@wutl'eg'@
@its flesh@|@wutthíi'@
@it's foggy@|@nátsí'áldox@
@its footprint@|@ch'eké' k'ee@
@it's getting to be fall time@|@nah'ôg naxtnéek'áatth@
@it's hair@|@wuxá'@
@its lodge@|@wukée'@
@its marrow@|@wushlagh'@
@it's muddy outside@|@nah'ôg léech'aak xúlee@
@its nest@|@ch'et'ox@
@it's nice outside@|@nah'ôg xunsuu@
@its nose cartilage@|@minjîidz@
@it's not morning@|@k'á k'áhmén' xúuléey@
@it's not sharp@|@k'á dihk'éy@
@it's paw@|@wuké'@
@its pelt@|@ch'ethéth@
@it's raining outside@|@nah'ôg ehchaa@
@it's shadow@|@wushïig', wushlig'@
@its skin is yellow@|@wuthéth deltthox@
@it's slippery because snowed@|@ghihshâaddh él xúltlet@
@it's slippery outside@|@nah'og xúltlet@
@January@|@saa xts'i'indeex de'@
@jay@|@jîiz@
@jelly@|@ch'inchees@
@jelly-like@|@det-lot@
@jerky@|@shí' geyh@
@Jesus@|@T'axdíht'eey Ts'eníin'@
@Johnson River@|@Ts'eethaay Ndiig@
@joint@|@nilxadintaa@
@Joseph Village@|@Tehluug Ninhdeex Ndiig@
@juice@|@jêg tú'@
@July@|@saa dze'edeex dé'@
@jump@|@tédhahsháatl, tédheksháatl, tédhihsháatl, téhsháatl, ts'éhsháatl, xtéhsháatl@
@junco@|@ts'est'ûud@
@June@|@wunenh ch'et'aa' nesheegh@
@keep it for good luck@|@ghalíi' il'eh@
@keep it secret@|@daxtneedhih'ii@
@keeping me company@|@shshíi dilhshaa@
@keepsake@|@käay'@
@Ketchumstuck people@|@Yaadóg Xt'een Iin@
@Ketchumstuck Village@|@Saagéscheeg@
@key@|@meldlíi'@
@kidney beans@|@ch'ets'edz gaay@
@kill more than one@|@ghinxaa@
@kill one@|@dhehxee@
@kindling@|@ch'elasées, tsets dintsuudl@
@King Bolete mushroom@|@t'aath neyy'@
@king salmon@|@luug chox@
@kingfisher@|@taach'aa@
@kneel@|@xnigót-'áah-'ah, xnigót-ts'aah-'ah, xnigótdháh-'ah, xnigótdhék-'ah, xnigótdhíh-'ah, xnigótxáah-'ah@
@knife@|@seey@
@knitted cap@|@tthíishúus ét-tl'uun@
@knitted hat@|@tthíishúus ét-tl'uun@
@knuckles@|@shinlaatthishuus my knuckles@
@Labrador tea@|@ch'elaak'éy'@
@laces made from scraps of hide@|@ch'egêddh' tl'ûul'@
@ladder@|@xkédíi'aay@
@ladybug@|@ts'axt'een@
@lake@|@menh, menh@
@lake clam@|@tl'aas@
@Lake George@|@Nxaal Menn'@
@Lake Mansfield@|@Dihthâad Menn'@
@lake outlet@|@k'eetthiig'@
@lake shore@|@menh mâagh@
@lamb@|@demee gaay@
@land@|@nén'@
@large skin boat@|@lxodz'@
@largest bull caribou@|@dzih chox@
@larynx@|@shchol'@
@last night@|@teddh dá'a@
@last summer it flooded@|@sheen dá'a tuu níihaa@
@laugh@|@ahdlóx, edlóx, ihdlóx, indlóx, ts'edlóx, xedlóx@
@lay down@|@tth'í'elt'éeyh, tth'ídhalt'éeyh, tth'ídhegt'éeyh, tth'ídhilt'éeyh, tth'íxelt'éeyh, tth1'its'elt'éeyh@
@lazy@|@ts'axdetdiig@
@leader@|@ch'enaatthí'@
@leaf@|@ch'et'aa'@
@learn@|@dzeldíix, xaxdeldíix, xdaldíix, xdegdíix, xdeldíix, xdildíix@
@leave@|@natédhíshshah, natédhítshah, natétshah@
@leave (1)@|@natédhátdeetl, nats'étdeetl, naxtétdeetl@
@leave!@|@tîinindaayh@
@leaves@|@ch'et'äa'@
@leaves are starting to fall@|@ch'et'äa natéedéek@
@leech@|@ch'iit'ûud@
@left side@|@tl'ah ts'ey@
@left-handed@|@tl'axaas@
@leftover pieces of moose@|@ch'egëddh'@
@leftovers@|@ch'e'aa teedeeg@
@lesser scaup@|@naltthogh@
@let me repay him@|@mêexughuhkêed@
@let me to take your picture@|@ch'ekanuhghuhlêel@
@liar@|@loch'ene'aag@
@lice@|@shá'@
@lid@|@ch'edaadîid@
@lie@|@dadalshék, dadegshék, dadelshék, dadilshék, dats'elshék, daxdelshék@
@lift yourself up@|@dég déníltsiit@
@light@|@dahk'aayh, dekk'aayh, dihk'aayh, dzihk'aayh, xiydih'aayh, yidihk'aayh@
@light blinks off and on@|@naneldzeyh@
@light brown mushroom@|@luudh neyy'@
@light rain@|@chaa ttheg@
@light visual@|@yitehkaa@
@lightning@|@nahtên kónn'@
@lightning strikes@|@nahtên nanint'ek@
@like@|@k'eh@
@like that@|@xúu'@
@lily water@|@kelt'addh, naxey tth'áadl'@
@line@|@tl'uul@
@lingcod@|@ts'aan@
@liquid is murky@|@tanát-t'uut@
@liquids are blended@|@niltah nenínhaa@
@little berry@|@jêg gaay@
@Little Gerstle River@|@Shos Ddhel Ndîig@
@little maggots@|@nindaa gaay@
@Little Tanana Slough@|@Tth'iitú' Gaay@
@little thunder@|@nahtên gaay@
@live@|@dédhaltth'ih, deghaltth'i, dhihdah, dhindah, dzaltth'ii, dzéltth'ih, eedah, ghihdá', ghindá', ghindá', xdalttth'ii, xdélttth'ih@
@liver@|@dhet, thét@
@loan it to me@|@shaa dhindlah@
@loan me your gloves@|@njeyy' shaa dhindlah@
@lock@|@ch'eldlíi'@
@long hair@|@tthiixá' ts'eeg xúnlee@
@long johns@|@ch'et'aathétl@
@long knife@|@wushuu@
@look at this@|@jâan nih'eh@
@look for it@|@mikah xnih'eh@
@looked it over@|@lokexdenindlah@
@lookout place@|@ndaxk'ée@
@lopsided@|@k'aay' ts'í' ée'aa@
@lots@|@ndlâan@
@lots of people@|@ndlâan iin@
@lots of something@|@ndlâan@
@low bush cranberry@|@ntl'ét@
@low clouds along mountains@|@ch'ets'étl@
@lynx@|@níidûuy@
@lynx have long legs@|@niidûuy xol' ndéeth@
@macaroni@|@gah ts'iig'@
@made it like that one@|@yik'eh yíhtsii@
@maggot@|@nindaagh, nindáayh@
@magpie@|@saxatnéy, tsaxatndiik@
@major river@|@tth'iitú'@
@make@|@ahtseyh, ektseyh, ghahxaa, ghihxaa, ghinxaa, ihtseyh, its'ehtseyh, ts'inxaa, xeyinxaa, xiyehtseyh, yehtseyh, yinxaa@
@make it like this@|@wuk'éetáa ch'íhtseeyh@
@make short pieces of sinew@|@tth'éex nink'odl ts'í' inxaa@
@making a commotion@|@shaxeh'aa@
@making each other laugh@|@nilxa tsadaxdetdlii@
@mallard@|@t'aay chox@
@mammal@|@nûun@
@man@|@dendeh@
@man's daughter-in-law@|@shtthûuy@
@Mansfield area people's lang.@|@Dihthâad Xt'een Iin aandeg'@
@Mansfield Hill@|@Mesiin Tsiits'iig@
@Mansfield People@|@Dihthâad Xt'een Iin@
@Mansfield Village@|@Dihthâad@
@manure@|@tsáa'@
@March@|@Ch'eshaan' Saa'@
@marmot@|@k'aay@
@marsh hawk@|@gah daxeel, nah daax@
@marshhawk@|@gah daaxeel@
@marten@|@tsûug@
@mat@|@téel@
@mattress@|@téel@
@maybe@|@súle'@
@me too@|@shint'ah@
@me too; I'm fine@|@shint'ah; ihsuu@
@meat@|@shí'@
@meat is par-boiled@|@xiyikadameets dehneyh@
@medicine@|@ch'óndéyh@
@melt@|@na'elxee@
@memento@|@kaay'@
@memento from a potlatch@|@kaay'@
@merganser@|@tsoth@
@messenger@|@xdek nadatde'aag@
@messy@|@xnetjak@
@metal@|@ts'íitsiy@
@meteor@|@sén' tsáan'@
@mew gull@|@mehk'âay@
@mice are small@|@teltsedz ntsûudl@
@midday@|@dzeen taatl'ed@
@middle@|@taandîidz@
@Midway Lake@|@Tohchenh Menh@
@minister@|@giihii@
@mink@|@tehts'uudz@
@minnow@|@luug shíig'@
@mischievous person@|@et-sûug@
@mittens@|@jeyh@
@mixed together@|@niltah net-tsii@
@moccasin@|@kentsiith@
@moccasin tops@|@ch'ekent'aag'@
@modern boat@|@ts'eyh@
@modern gloves with fingers@|@laajeyh@
@modern house@|@shax@
@modern shoes@|@nondlêed@
@modern things@|@k'ah dú' xá'áltsiin@
@moist@|@elsox@
@mold@|@xáa'@
@molting duck@|@etchot@
@molting ducks@|@chetth@
@mommy@|@shnaa@
@money@|@lsaaz@
@month@|@saa@
@moon@|@gheldzeey@
@Moon Lake@|@Taaxod@
@moonlight@|@ch'aldzeey@
@moose@|@dendîig@
@moose "bell"@|@wutthéet'aag'@
@moose and caribou@|@dendîig él wudzih iin él@
@moose antlers@|@dendîig dé'@
@more@|@teey'@
@morning@|@k'áhmén'@
@mosquito@|@tth'êy@
@mosquito hawk@|@tth'êy chox@
@moss@|@dlaat@
@moss covered house@|@dlaat shax@
@mother@|@shnaa@
@mother-in-law@|@stsuu@
@motion to him@|@nâan ts'í' tthí'ít-'aak@
@Mount Neuberger@|@Naaxey Xú'@
@mountain@|@ddhel@
@mountain pass@|@teth@
@mountain peak@|@ddhel tthit'aag@
@mountain range@|@luu ddhel@
@mountain top@|@ddhel tthiit'aag@
@mountain willow@|@luudh@
@mouse@|@teltsêdz@
@mouse with long tail@|@ché' ndeedh@
@mouth of a river@|@taacheeg@
@move the cup aside!@|@naa tuutiil nanéníhtsiit@
@move the cup there!@|@naa tuutii? stádénín'aay@
@mud@|@léech'aak@
@mukluks@|@kench'odl'@
@murky@|@leech'aak tanát-t'uut@
@muscle@|@wutth'ee'@
@muskrat@|@dzenh@
@muskrat buries food for winter@|@dzenh deshí'i xey ukah etsah@
@muskrat food@|@níhts'îil@
@muskrat has a narrow tail@|@dzenh wuché' dínts'eeg@
@muskrat lodge@|@dzenh kee'@
@muskrat tunnel@|@dzenh tedz'@
@mussel@|@tl'aas@
@mute person@|@wutháa kôl@
@my abdomen@|@stsäadl'@
@my Adam's apple@|@shchöl'@
@my ankle@|@shkeechënn'@
@my anus@|@shtthel@
@my arm@|@shgáan'@
@my arm is broken@|@shgáan' étxol@
@my arm is dislocated@|@shgáan' nilghadalket@
@my armpit@|@shk'éhts'ax@
@my aunt@|@shaak'ey, stsuu@
@my backbone@|@shinchenn'@
@my bag@|@ssaag'@
@my beard@|@shdaaxá'@
@my belly@|@stsladl'@
@my belly-button@|@sts'uuk'ée@
@my bicep@|@shgaanluudh'@
@my bloody nose@|@shintsii del@
@my bones are creaking@|@degk'ek@
@my brain@|@shtthiixaa'@
@my breast@|@sht'úu'@
@my breastbone@|@shyuutth'enn'@
@my breath@|@shdaasheey'@
@my brother-in-law@|@shlenh, shxeh@
@my butt@|@shtl'á'@
@my calf@|@sts'edh'@
@my cheek@|@shintl'ahmét@
@my cherished ones@|@shaa dint'eey@
@my chest@|@sdzehchíi@
@my chest area@|@sdzehtah@
@my chin@|@shdá'@
